ParlaMint-FI_2019-11-06-ps-59.u1	The fourth item in the order of business will be presented for the referral.
ParlaMint-FI_2019-11-06-ps-59.u68	Since the reserved half hour is about to begin to pass, Minister Ohio.
ParlaMint-FI_2019-11-06-ps-59.u69	Your Honor! Ladies and gentlemen of Parliament! Thank you for these important comments and questions. First of all, of course, the starting point is that this government is a new government that looks a little different from the previous governments, and that is why, as a whole, when we are discussing emergency training, we are undergoing a whole reform of the education package in the field of rescue and a reflection on what the educational prospects for the whole sector look like, not just the future of Kuopio Rescue College, but in general how we can get enough rescue professionals all over Finland. By the end of 22, this reform will be presented to Parliament, and I hope to have a constructive debate with all of you on the needs we have in various parts of the country before that. After all, the Ministry of the Interior is constantly developing the Emergency College. In Kuopio, as a national centre of expertise, it ensures its ability to produce high-quality education in the field of rescue. So it is a question of Kuopio having a strong right to a degree at the moment. The reason why such a fixed-term decision has been taken in the case of Helsinki is because it is already difficult to get rescue professionals to work. Now I want everyone's attention: The question was whether this resource was now out of Kuopio. No, there are more than 20 new people who are trained each year from now on at the Emergency College in Kuopio and Helsinki. In fact, for a few years we will be able to compensate for the deficit we have had in the whole sector. This is essential for long enough to bring the reform of the education package together to the end. So let's secure the momentary emergency we're in right now. When the question was whether I was going to Kuopio, yes, to my old study, debate city I am going. The visit has been scheduled for a long time, but of course the calendar is quite full every day. With regard to the question of whether it is enough: Paragraph 23 was asked here. This point is essentially a technical change. The Ministry of the Interior has only been upgraded to the Ministry of the Interior to reflect the current state of affairs. One section, of course, will never, on its own, secure anything. There is a great need for cooperation between the authorities in many areas. Here, too, we must take into account the fact that cooperation is being carried out in every direction and ensure that information also flows as well as possible between the various authorities. I will go back to the emergency school to the point where, as I said, it is really a matter of developing it as such a national centre of expertise, of considering training needs widely, and the government here will work together to ensure that the Ministry of Finance will also provide us with the resources to ensure that the activities of the emergency school continue to be secured as well as possible. - Thank you.
ParlaMint-FI_2019-11-06-ps-59.u70	Mr President! There are still a few points that I would like to comment on when reference was made to this in the previous speeches. Just as Minister Ohio said, so there is a shortage here in the capital region. In fact, it may not matter very much whether this school in Helsinki reads “Saves College”,but it has been the case that this staff is available. And I referred to the number of trainings because there is no capacity to take quite a large number of students, otherwise it should be extended, because, as has been said, space is not just needed to put heads there. But I think it is essential here — and it is great to hear — that this kind of overall educational reform is going on. It will probably take account of the problems and needs of the South in a way, and in that sense it is good to expect it. You can make that compromise and push some of it to Tampere if it feels better.
ParlaMint-FI_2019-11-06-ps-59.u71	Mr President! Representative Halla-aho here suspected that there was a particular reason to attack the Finns of Peru, but in the same way I listened to the differences of opinion between the representatives of the Coalition Party — how a people living in another constituency feel that they should continue to invest in Helsinki, and another, coming from Eastern Finland, sees this as important for the Kuopio Rescue College. Because there are big differences between the parties. We have parties that, in their ideology, have the idea that it is important to keep Finland as a whole inhabited. In those situations where it is possible to ensure, for example through the regionalisation of state administration, that the whole of Finland remains inhabited, the parties in which this is an ideological objective and their representatives are behind these things, regardless of which constituency they come from. They will then not just look at the matter of their own constituency. This is a good example of the last period: the reform of the district court. Here in the constituency of Uusimaa, Mr Laukkanen, who sits in the Committee on Legal Affairs, fought for spirit and blood precisely to ensure that we had managed to keep this district court network of sparsely populated areas and that we could have kept it there and that the Court of Justice office was not brought to New Zealand, but that it had been either in Joensuu or Rovaniemi, because it was important that these facilities should also be located outside Ring 3. So, in a way, this is the difference between parties that not all parties look at just what is in its own constituency’s interests, but try — as Mr Vehviläinen well said here — to look at the whole, trying to think about what would be important for the whole. And that is why we need to remember that there are differences between parties and that there are parties that see that the settlement of Finland as a whole is an absolute value. Last summer, as I recall, the future of the countryside made the poll, which asked about the whole of Finland being inhabited, and the Christian Democrats were at the top of it. Our members, our supporters, had 100% support for the idea that this should be done. We see it really important that people should be allowed to live where they want to live, and we must also make it possible for politics to do so. And that is why I would simply like to say here, as a clarification in this debate, that the parties have such different ideological differences, and then there is no particular need to attack the different views of the representatives of the individual party or of its party from different constituencies, but to concentrate on that policy line.
ParlaMint-FI_2019-11-06-ps-59.u72	In the context of the timetable, I would like to make a final contribution to this part of the debate.
ParlaMint-FI_2019-11-06-ps-59.u73	Your Honor! Thank you, ladies and gentlemen. Let me briefly mention the situation of the Emergency Response Centre Agency, which was ignored, although it is not directly related to the issue, but I would like to point out that the number of personnel of the Emergency Response Centre Agency is being increased from 585 to 620 in the coming years. In addition to this, there is an annual increase in the number of training courses, to which the government has also provided additional funding in its budget. Eli has been identified and detected the challenging situation at the Emergency Response Centre. More staff are needed, and there is also a need to address the lack of well-being of staff, which is recognised in many cases.
ParlaMint-FI_2019-11-06-ps-59.u74	The debate and proceedings shall be suspended. The proceedings shall be resumed at this sitting after consideration of the other items of the order of business.
ParlaMint-FI_2019-11-06-ps-59.u75	We will now resume the debate on item 5, which was suspended earlier in this plenary session.
ParlaMint-FI_2019-11-06-ps-59.u76	Mr President! This is where we talked about rescue training, and I say about Kuopio and Helsinki that it would be good if this training in the field of rescue were in both places. Then there was the point that the Finns began to complain that we were thinking only of growth centres when we were talking about places of education and schools. It is true that our line, the Finns of Peru, is that there is life outside the Ring Roads. The education sector must be dealt with in such a way that there is education throughout the country, which means that it is an important regional policy issue. There was also the question of whether the representative could be involved in the cause of his own province. In other words, it may be that in the party another representative drives schools to Eastern Finland and the other to Southern Finland and is still in the same party. That is why representatives have been elected all over Finland. It is very natural for a province of its own to be defended and promoted in the interests of its own province, but, of course, the representative of the whole is concerned, and it is intended that the representative of the Parliament should look at the interests of Finland as a whole. But it is not in any way harmful if the representative now also speaks for his own province and drives those things.
ParlaMint-FI_2019-11-06-ps-59.u77	The 7th item of the order of business will be presented for the referral. The Council of Presidents proposes that the matter be referred to the Committee on Social Affairs and Health. A maximum of 30 minutes will be reserved for the referral. The proceedings shall be conducted in accordance with the procedures agreed on in the case of scheduled cases.
ParlaMint-FI_2019-11-06-ps-59.u78	Mr President! Since the beginning of 94 there has been an agreement between Denmark, Finland, Iceland, Norway and Sweden on a common Nordic labour market for certain groups of health and medical personnel and veterinary surgeons. The agreement is known as the Arjeplog agreement according to its place of signature. The granting of the right to self-employment for professionals from the Nordic countries to Finland will continue to be carried out as smoothly as possible. The agreement contains provisions on mutual recognition of professional rights and the disclosure of supervisory information between the Nordic countries. The purpose of the agreement is to promote the free movement of professionals between the Nordic countries. Training leading to the professions covered by the contract has been considered to be so uniform that the right to pursue a profession can be granted directly under the contract on the basis of the right of employment granted in another Nordic country. The amendment to the Arjeplog agreement negotiated between the Nordic countries is a treaty signed by all Nordic countries in Stockholm on 11 December 2018. However, in order to be effective, the Finnish Parliament must also take a positive position on this issue. That is why this matter has yet to be referred to Parliament. The main purpose of the amending agreement is now to eliminate duplication and to clarify and align professional recognition practices with the Professional Qualifications Directive. The agreement recognises the primacy of the directive, of course, and the system of recognition of professional qualifications will be brought to the Faroe Islands and Greenland, to which the directive would otherwise not apply. The main aim of the directive is to ensure the free movement of workers, which was the starting point for the Arjeplog agreement in the past. The health professions and the veterinary profession will therefore be subject exclusively to the recognition systems of the Directive. Very many of the professions covered by the contract, such as a doctor, dentist, pharmacist, nurse and midwife, are covered by the automatic recognition of the Directive. In the professions covered by the general system for the recognition of the Directive under the contract, this amendment to the contract changes to some extent the handling of matters relating to legalisation and title protection, as the training of the applicant must be compared to the corresponding Finnish degree. In the event of differences in training, compensatory measures may be imposed on the applicant. However, there is probably no need for them, since the professions covered by the agreement have already been considered to be uniform at the time of the conclusion of the agreement. In the preparation of the amendments to the agreement between the Nordic countries, issues relating to patient safety and the exchange of surveillance information have become important. The Professional Qualifications Directive obliges the competent authorities of the Member States, such as us Valvira, to notify within a short period of time the restrictions on the professional activity of health professionals in the information system maintained by the Commission, i.e. the IMI alert system. In Finland and Denmark, the system was introduced in 2016 and other Nordic countries have become users of the system later. For this reason, and given that the implementation of the IMI alert system was still at an early stage in the preparation of the amending agreement, the provisions on the exchange of information have been included in the amending agreement, particularly in relation to patient safety and the functioning of the exchange of surveillance information. They seek to respond to the concern that EU data protection regulations will certainly be taken into account. The other Nordic countries, according to our information, are — So we have received information from the Swedish Ministry of Foreign Affairs — we have already approved the amendment agreement.
ParlaMint-FI_2019-11-06-ps-59.u79	The 8th item of the order of business will be presented for the referral. The Council of Presidents proposes that the matter be referred to the Committee on Social Affairs and Health, to which the Constitutional Committee must deliver an opinion. A maximum of 30 minutes will be reserved for the referral. The proceedings shall be conducted in accordance with the procedures agreed on in the case of scheduled cases.
ParlaMint-FI_2019-11-06-ps-59.u80	Mr President! The purpose of the current Child Welfare Act is to strengthen the integrity, rights and special protection of the child. Parents and other guardians have a primary responsibility, of course, for the welfare of children. The municipal social services have an obligation to support the family and the child through support measures for the outpatient care of children. Then, and in all child protection, emphasis will be placed on taking the best interests of the child into account in all measures taken by the authority. The law emphasises the right of the child to participate and special protection. Mr President! As in the present case, after the termination of foster care and after an investment in outpatient care, after a continuous period of at least six months, the child must receive after-care in accordance with the Child Welfare Act. We are faced with this change because Parliament adopted a bill on the increase in the aftercare age contained in the legislative reform of social welfare and health care initiative 86/2018 in the spring. The initiative therefore went through the debate in the Committee on Social Affairs and Health. It is therefore proposed that, from 1.1.2020 onwards, the municipality’s obligation to provide aftercare will continue until the young person is now 25 years old, instead of the present 21 years of age. The increase in the age limit for after-care would apply to children and young people entitled to after-care on 1 January 1920. At the same time, this proposal specifies the definition of young people as being between 18 and 24 years of age, and the last payment period for independence funds will now be changed to 25 years of age as a result of this change in order to reflect an increase in the age limit for after-care. The journey to adulthood is quite a long way from the end of post-care, and it is not possible to set a precise age limit in the legislation so that each young person who needed support would have achieved his or her independence. However, independent young people who are excluded from raising the age limit will not be left without support as a result of a legislative amendment. They must continue to receive the guidance and support they need from professionals. The Child Welfare Act will continue to guarantee that the municipality can also provide aftercare for young people and children who do not have a subjective right to post-care or whose right to post-care has been terminated before 1 January 2020 if the support is deemed necessary. The increase in the age limit for after-care has already been taken into account in the central government budget since the beginning of 2020 so that EUR 12 million has been added to the central government transfers of municipalities for the next four years. There are no changes to the content of aftercare at this stage and in this proposal, because the government started very quickly, and the matter was on the table when this change was still being made at the time of the spring, when we will then consider what changes to aftercare, its substantive development, will be made during this term of government. However, the intention is now to ensure that sufficient support is given to young people on the way to adulthood, and this is how this proposal is brought here. Mr President! At the same time, at the beginning of June, we noted that... Due to the fact that Parliament was now in the process of extending this post administration, Parliament had also adopted a new law on judicial proceedings in administrative matters, i.e. the Administrative Process Act, which repeals the existing Administrative Law. With the entry into force of the new Code of Administrative Processes, appeals to the Supreme Administrative Court will become subject to appeal in all cases. We noticed this as part of the start of our work, and we also noticed that the references in the Child Welfare Act to the repealed Administrative Law need to be corrected as references to the new Code of Administrative Processes. In the same context, it was necessary to consider whether it is now the case that, with the decision of the Parliament, it is also stated in social and health care that this is in the best interests of the child — i.e. that, with the entry into force of the Administrative Process Act on 1 January 1920, the appeal against the administrative court decision to the Supreme Administrative Court becomes subject to appeal even in matters governed by the Child Welfare Act. That is what Parliament had decided, and this does not mean, of course, a ban on appeals, but it is subject to authorisation. When we consider the matter, it is clear that the parties will retain the possibility of bringing before the Supreme Administrative Court the decision of the Administrative Court on the prohibition of the custody and custody of the child, the cessation of custody, the restriction of contact, the authorisation of the examination of the child, the protection of subsistence and housing, the right to an aftercare and the prohibition of placement in a private home. All of these are, therefore, still in this court and the possibility of being examined by the Supreme Administrative Court. If there is, therefore, one of the grounds for granting a permit to appeal which I have just read, the Supreme Administrative Court must grant a permit to appeal. The Supreme Administrative Court may grant a permit to appeal not only on the basis of a preliminary ruling but also on the basis of a manifest error or other weighty reason. In this way, measures affecting the most fundamental rights of child protection, such as involuntary custody and foster care, as well as the related decision-making processes and the appeal system as a whole, will ensure access to legal protection, sufficiency and prompt handling of the matter. Children have the right to be heard, to express their opinions and to be involved in their own affairs, including involuntarily custody and foster care. In addition, the parties may always apply for the termination of custody from the municipal social services and, if necessary, also appeal to the administrative court against the decision taken by the municipality. The best interests of the child must be a key criterion for all child protection measures and at every stage of the child protection process. Now, with this proposal, long judicial procedures are becoming more brief if this solution is accepted by Parliament. We have therefore wanted to give the committee an opportunity to consider what is in the best interests of the child. I believe that this will also be the case in Parliament, but the possibility has now been brought to the attention of the committee in the context of this recent extension of after-care. — Thank you for allowing me to speak so long.
ParlaMint-FI_2019-11-06-ps-59.u81	It's a good, thorough introduction. With regard to this half-hour limit of discussion: let us make a suitable compromise here, let us now continue the debate until ten o'clock on this subject.
ParlaMint-FI_2019-11-06-ps-59.u82	Mr President! Thus, during Father’s Day Week, it is appropriate to say that we have many children in our country who miss their lives and their daily lives, and there are also many adults who miss their lives. The breakup and breakup of families is an issue that is not sufficiently discussed in our society. In some ways it has become a taboo, something that is not spoken of for some reason. It's understandable, but it's not good for anyone. It is understandable because things are not black and white and simple, but often they are very difficult and painful. The silence around this subject is understandable, but it is certainly not good for anyone. In the context of child protection, we also have the courage to talk about how we can better support the well-being of families, but also the integrity of families. When asked questions about their concerns, one of the most common concerns has been the separation of the mother and father. A child needs a father, and a child needs a mother, a child needs a family around him. Supporting relationships serves the well-being of our children and families. It is also reflected positively in child welfare. Mr President! This government proposal is part of a package that improves the support for young people, especially those in the area of child protection, just as we heard from the Minister's good proposal. The aim of the proposal is to correct the provisions of the Child Welfare Act to be up-to-date, in line with the amendments already adopted by Parliament. Many good decisions are taken in this country and in this Chamber, even though they do not always get the attention they deserve. This decision last season to raise the age limit for child welfare after-care to 25 years of age is very important and to support and support the well-being of our young people. Today, according to the Child Welfare Act, young people are between 18 and 20 years of age. The proposal now proposes to amend the Child Welfare Act to include young people between the ages of 18 and 24. Mr President! The comprehensive evaluation section of this proposal states that ‘the purpose of the Child Protection Act is to safeguard the rights of the child in a safe and diverse environment and to The proposal also states that‘when a public authority fails to deal with This must continue to be significantly strengthened in our society: the possibility of parents and the capacity of parents to be responsible for the education and care of their children. The ideal situation would be when we did not need child protection at all. We must make every effort to reduce the need for child protection, to ensure that fathers and mothers are well placed, that families are well able, that children are given adequate protection, shelter and care for a balanced life and growth from their parents, their guardians. However, we have not made the right progress on this issue, but the high number of clients in child welfare is a constant concern. According to the National Institute for Health and Welfare, for example last year, 2018, 4390 children were placed urgently, which is 6.9 per cent more than in the previous year. Mr President! It is very important for the centre that we strengthen preventive services for children, young people and families. We are very pleased that the government is now committed to improving these preventive services in many ways. Our hope and vision is that investing in prevention will also be seen in a positive way as a reduction in the need for child protection. I consider, among other things, the following measures decided by the government as preventive measures in the field of child welfare: reducing the poverty of families with children by raising child allowances for single parents and families with multiple children. The Lappe project continues. It brings together the services of children and families under one roof, so that they are better accessible to families. The availability of home services for families with children will be improved. The size of day care groups will be reduced. In this social situation, I feel that it is particularly important and that we should support the integrity of the families I mentioned at the outset more strongly. We should do everything we can to make Father’s Day as well as Mother’s Day a truly happy and happy day for the child. I would therefore like to ask Minister Kiuru in this connection that, if possible, it would be good to hear what action the government is taking to ensure that the strengthening of the relationship work agreed in the Government Programme is carried out. It is very closely related to our subject of child protection. Mr President! Our common task is to support family integrity, parenthood and the well-being of young people. I think it is very important that the valuable development of after-care, as mentioned by the Minister, be brought forward together now. It serves our young people. And it is absolutely wonderful and valuable that we here in Parliament are able to make such decisions to strengthen the well-being of children, young people and families.
ParlaMint-FI_2019-11-06-ps-59.u83	Mr President! During the last parliamentary term, Parliament approved the amendment to the Child Welfare Act, which raised the age limit for aftercare to 25 years. The law that will come into force from the beginning of next year has been much needed and expected. Experience from the field has signalled in one direction that the support and assistance of society will end far too soon. Representative Alanko-Kahiluoto's bill collected as many as 115 representatives' names, indicating a common will to remedy the current situation. It is now proposed to amend the Child Welfare Act so that a young person would be aged between 18 and 24 when the age under the current law is between 18 and 20 years. During my visit to the Espoo Child Welfare Unit in August, this too low age limit for aftercare rose to the debate. The staff of the unit were concerned that too many young people of adult age were left without the support of a safe adult. Child welfare units may have been in contact for a few months before the 18 - year - olds, who were barely caught in the regular pace of life, out of substance abuse, in everyday activities such as laundry and cooking when they had to be released because the law did not allow for their controlled and supported guidance. Expensive child welfare savings were wasted when a young person who lacked responsibility for spending money and basic everyday skills fell into the world of debt, intoxication and crime. Although increasing after-care responsibilities brings financial consequences for the state and municipalities, it makes sense to change the law in a humane way and to consider the total cost. The current Government Programme has included: ‘Development of child protection aftercare. Provide sufficient support for young people on the way to adulthood.” But more funding is not earmarked for this separately. In this respect, therefore, we will have to come back to this at a later stage once the impact assessment has been made better. EUR 9 million was set aside to improve the human resources of child welfare, including securing the multi-professional services of children requiring special support and developing a team model. It is important that a sufficient number of people with the right education do child protection work. The excesses and illegal activities in child protection have mostly been caused by incompetence and ignorance. We legislators must also draw up laws that promote work in child protection services. The right of children and young people to self-determination is currently in conflict with practice. When the staff have sufficient rights to restrict and prevent harmful behaviour by the child or others, it improves the well-being of the child or young person, but also the working lives of child welfare professionals. Now that the Minister is here, I would like to ask: is it intended to review the Child Welfare Act in this regard? The central parliamentary group considers it essential that preventive support for families and children be improved. Throughout Finland, child protection expenditure has increased and the nausea of children and families has unfortunately increased. There seems to be a far cry from the day when more can be invested in preventive work than in costly crisis management, which is represented by custody and placement in child protection units. In the centre we are pleased that the Lappe project, which started in the last parliamentary term to improve support for children and families, has also been allowed to continue during this parliamentary term. It is important to develop well-functioning services for children and families and to get them under the same roof so that they are genuinely accessible and effective to their target groups. - Thank you.
ParlaMint-FI_2019-11-06-ps-59.u84	Mr President! Preventing the sad fates of children and families should be a priority for decision-making. This is not the case, however, but we keep putting out fires — as is the case here. According to THL statistics, the proportion of minors who have been reported for child protection has increased at a terrible rate. Compared to 2008, growth has been more than 63% at the level of the whole country. A warning example can be found in the base house, where growth has been up to 112%. The whole 21st century has been shocking. The number of people in custody or in urgent positions in Finland has doubled and in Kanta-Häme, which has been mentioned badly, has increased by up to 2.5 times. Correspondingly, in 2018 the number of minors in custody or as a matter of urgency has tripled and in Kanta-Häme it has quadrupled. Care should be taken as a last resort. However, the figures show that child protection fails to support children, young people and families in order to avoid custody. Clearly, the root causes of problems in families with children are not sufficiently addressed. Mr President! Why does child welfare fail? The current legislative amendment refers to a multi-sectoral service package. In practice, the only thing that works well and comprehensively in the process of missing children's or young people's lives is multi-sectoral and professional concern and empathy. All employees want to help children, all are committed to doing the good work, but the outcome is not enough. Sufficient, real, long - term and impressive help is not provided by families or children. The next action, which will work, will then be taken into custody. A key contribution to aftercare is not only housing, but also how the social security system is used. You'll learn that by the age of 21. Aftercare does not really help young people’s lives or child welfare before they are taken into care. The money spent until the age of 25 would be better spent at work before being taken into care. Mr President! Care decisions are large, often long-term processes. According to a study published by THL in 2018, one third of those who were stationed in 16 had been located at least half of their lives. These detentions are rarely dismantled. At 31 December 2014, 92% of children aged 0 to 15 were still in custody two years later. Therefore, decisions that are most lacking in fundamental rights should retain a direct right of appeal from the administrative court to the highest administrative court. The argument that being left to the appeal procedure at the same time would both safeguard legal certainty and speed up the overall length of the appeal process is highly contradictory. The procedures for dealing with cases most in need of legal protection are merely prolonged as a result of the appeal procedure.
ParlaMint-FI_2019-11-06-ps-59.u85	I will continue this debate until 4 p.m. and before that, Minister Kiuru will speak.
ParlaMint-FI_2019-11-06-ps-59.u86	Mr President! The Government’s proposal to amend the Child Welfare Act is an important and rare example of how the opposition can be influenced in Finland’s direction. At the end of the last period, Mr Alanko-Kahiluoto managed to put the bill through with strong cooperation from the opposition. Thank you to all those involved for their good work on child welfare after-care. The age limit for child welfare after-care is increased from 21 to 25 years of age. By raising the age limit, low-threshold services are intended to ensure that young people in care are better protected from exclusion. In its opinion, the Ombudsman notes that raising the age limit for after-care can have very positive effects on the lives of many young people and that a change in law is therefore to be welcomed. The Ombudsman for Children will make the prevention of social exclusion of young people an important objective of well-designed post-care. Increasing the age limit will help young adults to become independent and increase their life management and well-being. At the same time, however, municipal services for families with children need to be developed to be equal, effective and to meet the real needs of families. Help in time and appreciate all kinds of families in Finland. Mr President! The Government suggests that in the future, a decision of the Administrative Court relating to child protection can only be appealed to the Supreme Administrative Court through the appeal procedure. According to the opinion of the Ombudsman for Children, the introduction of a complaint authorisation procedure is justified but it is particularly important that the threshold for granting a complaint does not become too high. The child's legal protection must not be jeopardised as a result. Similarly, the involvement of children, young people and their families and the right to be genuinely heard in child protection processes must be better safeguarded in the future.
ParlaMint-FI_2019-11-06-ps-59.u87	Mr President! I thank the government for a good and necessary proposal. Child welfare is one of the central tasks of public administration, and it is certainly important for everyone in this Chamber to develop it. Aftercare provided to young people who have experienced care is a very valuable service in which the resources of society are actually used. It can help prevent exclusion. In addition, it can have a major impact on the national economy in the long term. However, most importantly, aftercare can at best facilitate the path of an independent young person towards balanced and happy adulthood from challenging points of view. It is great that the upper age limit for providing after-care services was raised to 25 years by means of a legislative amendment earlier this year. The Government's proposal clarifies the legislation on child protection in this respect, which makes sense. Of course, there is still room for improvement in after-care. In regional terms, there are large differences in services. After-care customers also have very different and unfortunately also unequal experience in the level of services. Not everyone has even been aware of their right to post-care services, and that is what we need change. In January of this year, the previous government set up a working group to investigate the need for reform of post-care. According to the report, post-care should be reformed to target and tailor-made support young people in their adulthood and independence. In addition, there is a need for comprehensive and coordinated cooperation between administrative sectors to ensure that services are not separate from each other. I hope that you, Mr President-in-Office of the Council, will make a strong contribution to these reform needs. I would like to draw attention to the provisions relating to the entry into force of the new law on this proposal. According to the proposal, the right to post-care applies to children and young people who, for their age, are covered by the law in 2020. The law therefore does not apply ex post to young people whose right of after-care expires before its entry into force. The Finnish Federation of Child Welfare is concerned that the proposal has not assessed the impact of the amendment on young people who are excluded from aftercare. In order to guarantee equal status, care must be taken to ensure that these young people receive the services they need from adult services. Services supporting independence are therefore also needed by young people who are excluded from the scope of the law. That is something that you, the honourable Government, must take into account. I warmly support the Government's objective of speeding up and shortening judicial processes in the area of child protection. Long court proceedings are very harmful to children taken into care and serve no one else’s interests. It is very important that the life of the child taken into care should be established as soon as possible without distractions and uncertainty. However, the process must take care of children's rights and adequate involvement. In addition to the changes proposed by the government, we also need broader measures to promote better protection and welfare for children and young people. I hope that you, the Government, will be prepared to do so.
ParlaMint-FI_2019-11-06-ps-59.u88	Mr President! One of the elements of the Child Welfare Act adopted during the last government term was this increase in the obligation to provide aftercare to 25 years instead of the present 21 years. And now this law is on the table. After all, after-care means comprehensive support for a child or young person after the end of foster care or long outdoor care. The purpose of post-care is to support the child’s return from foster care or to help an adult youth to achieve sufficient capacity to start an independent life. As we know, many young people aged 18 and still 21 still need a lot of parental support, and the young people who have been placed in an even more vulnerable position. It is therefore very important that this joint phase should be continued and supported. Mr Sjöblom raised the issue of young people who are not covered, and this is indeed something that the Committee on Social Affairs and Health needs to look at separately and where experts need to be consulted so that the law can be extended to all young people who now need that post-care care. I would like to highlight the importance of prevention in relation to our growing numbers of child protection. A growing number of child welfare care providers have parents’ substance abuse problems or mental health problems, which is why the smooth access of parents to mental health and substance abuse services is of paramount importance and could avoid many urgent investments while avoiding a lot of social costs and, above all, human suffering for the family and the child. Similarly, access to children's and young people's mental health services on a low threshold and, for example, access to substance abuse care on a fast-track basis is of paramount importance when considering how we can prevent the custody of children and young people.
ParlaMint-FI_2019-11-06-ps-59.u89	Mr Kivisaari and then Minister Kiuru.
ParlaMint-FI_2019-11-06-ps-59.u90	Mr President! The Centre Party was in the process of approving the change in the age limit of after-care with the rest of Parliament during the last period to 25 years. The logical consequence of this is, of course, that it is proposed to amend the Child Welfare Act to mean a young person between the ages of 18 and 24. These amendments are of a very technical nature and harmonise the implementation of the legislative amendments already adopted by Parliament. This change can mean, in particular, an increase in costs for municipalities in the early stages. I understand that there is no precise estimate of the additional costs during the last parliamentary term, since the change in the age limit was made in Parliament on the basis of a legislative initiative, and therefore no impact assessment was carried out. However, this should both be clarified and taken into account for municipalities. I would like to ask the Minister: how do the municipalities have the capacity to respond to a possible increase in cost levels? At this point, the situation in child protection and the well-being of children, young people and families has also been raised in general. The central view is that preventive support for children and families needs to be improved. Among other things, the Lappe project, which was launched during the last parliamentary term and which will continue during this parliamentary term, will help to develop the services of children and the family and gather them under one roof, so that they are better accessible to families. This means concrete and important preventive measures in relation to the protection of children, young people and families, in particular. By far the most effective way is to maintain the quality and quality of the Finnish education and training system. Every child and young person is encountered in schools, and the role of teachers, in particular, together with their homes, is extremely crucial. Schools also need multi-professional support where the exchange of information, multi-professional activities are sufficient and straightforward. Mr President! I take delight in the fact that the government is investing in these very activities. The primary responsibility for raising a child is, as Minister Kiuru rightly said, always with parents. Unfortunately, it is not always possible. In such cases, society must ensure that adequate and long-term assistance extends far enough. That is also the essence of this presentation.
