ParlaMint-NO_2016-11-30.ana.ud343e28	The representative, Rasmus Hansson, will present a proposal for a representative.
ParlaMint-NO_2016-11-30.ana.ud343e572	Then the oral question procedure is over.
ParlaMint-NO_2016-11-30.ana.ud343e586	There will be some changes to the set-up questionnaire, and in this respect the President will refer to the electronic question list. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 1, by Mr Karianne O. Heavy to the Prime Minister, transferred to the Minister of Labour and Social Affairs. At the request of the Minister for Employment and Social Affairs, the question will be moved and answered before question 21, which is answered by the same Council of State. Question 2, from the representative of Hadia Tajik to the Prime Minister, has been transferred to the Minister of Finance. Question 9, from the representative of Mr Knag Fylkesnes to the Minister for Foreign Affairs, will be answered by the Minister for Climate and Environment on behalf of the Minister for Foreign Affairs, as the Minister for Foreign Affairs has left. Question 11, from the representative Anna Ljunggren to the Minister for Climate and Environment, will be answered by the Minister for Municipal Affairs and Modernisation, who will direct him. Question 24, from the representative of Kjell-Idar Juvik to the Minister for Labour and Social Affairs, will be answered by the Minister for Transport, who will direct him.
ParlaMint-NO_2016-11-30.ana.ud343e605	We start with the first question, which after these changes becomes question 2.
ParlaMint-NO_2016-11-30.ana.ud343e613	This question, from the representative of Hadia Tajik to the Prime Minister, has been transferred to the Minister of Finance.
ParlaMint-NO_2016-11-30.ana.ud343e618	My question is: ‘My Prime Minister, it is fair that a typical low-income family will end up with a tax cut of approx. $15,200, as a result of the government's priorities, while a typical high-income family will end up with more than twice as much; $34,600, and think it's fair that the real rich families, with a total income over $9 million. crowns, get almost 10 times as much as this on the treasure?’
ParlaMint-NO_2016-11-30.ana.ud343e625	It's quite right, as the representative Tajik says, that low-income families have been taxed with this government. I think that's what they're experiencing. But the low income families have received more than lower taxes. In the last three years, this government has provided more measures to ensure a simpler and safer everyday life for these families. We have proposed significant improvements to the housing support system to create an economically safer everyday life for many thousands of families. We have provided more reasonable childcare space for low-income families and a national free core time scheme in kindergarten for all children – in low-income families – from the age of three. We have taken the initiative to have all children, regardless of their parents' finances, participate in at least one organized leisure activity together with others. We have increased the scholarship rate for students from low-income families. We have made it possible for young people to have greater income without meaning reduced social welfare for their parents. These are some measures that give low-income families a better and safer everyday life. Government policy is to preserve a society of small differences and to reduce the number of children and families living in poverty. That is why this government launched a strategy against child poverty — the first of its kind — with 64 different measures to reduce child poverty. I therefore believe that the tax relief to which the representative Tajik refers does not give an overall picture of the government's work for a safe, good and inclusive society with relatively small differences, high employment and good growth capacity. Nor should we forget that Norway is a country where income is distributed more evenly than in many other countries. The government's tax policy does not change that picture. Only 14 pst. the government’s operating rooms have gone to tax reductions. The rest of the space for action is a priority for strengthening the social security network, for schools and education, for better health care and the development of transport across the country. The changes in taxes to which the government has contributed have not had a significant effect on income inequality and the Norwegian tax system is significantly redistributive both before and after tax reliefs during that period.
ParlaMint-NO_2016-11-30.ana.ud343e636	The finance minister is quite right that low-income families also experience things other than the tax cuts that I have referred to here. For example, they're at risk. to experience a cut in holiday pay for the unemployed, cut in commuting deductions and tax on termination benefits. There's a whole bunch of changes from this government that also have consequences for exactly these families. So I've allowed myself to look at some of the polls - there will be some selection studies in this country that are quite detailed - that show that about 40 pst. by the Minister of Finance's own voters are in low-income families, while 40 pst. by the right-hand voters belong to high-income families. When one sees at the same time that the government is leading a policy that brings the high-income families to the benefit of those degrees, I'm curious what the Minister of Finance wants to say to his own voters, who are the ones who come out with their government's policies the worst.
ParlaMint-NO_2016-11-30.ana.ud343e643	I do not agree with that. I think it is important, when we are implementing tax reform and tax reduction, that tax relief is relatively evenly distributed. They have been in all the budgetary proposals that this government has put forward. Most people experience relief, and very few stand still in view of the relief. It is also a very important premise in terms of taxes, that the main function of the tax system is not in itself to be redistributive, but to redistribute through the way we finance welfare schemes in our society. It is the tax revenue that enables us to stick with good, universal welfare schemes and systems that are targeted and that meet those who need it. It's the most important function of the tax system. In addition, the tax system shall stimulate activity, work, saving, value creation and employment. And maybe one of the most important things we do is to make sure that more people get into work, and so on comes out of a low-income situation, which can be demanding for many families.
ParlaMint-NO_2016-11-30.ana.ud343e650	Here we see a fundamental political disunity: the Labour Party believes that one must also use the tax system clearly, and the tax cuts policy that this government has pursued is clearly socially unfair when ordinary people get $5 a day in tax cuts, while those who have a lot of money from before get $2,100 in tax cuts every day. At the same time, I note that the Minister of Finance emphasises the employment effect of tax cuts, i.e. that it helps to lay a better basis for value creation. I can agree with the Minister of Finance that whether one is inside or outside the labour market, it has a lot to say about what kind of commitments you have for self-employment, freedom, opportunities and income base. But then I wonder, how many people have tax cuts to the Minister of Finance got into the labour market?
ParlaMint-NO_2016-11-30.ana.ud343e657	It is probably right that the Labour Party and the government parties are fundamentally in disagreement with the need to reduce taxes in Norway. Where this government has provided tax relief on the other side of 18 billion. kr within the adopted 2016 budget, the Workers' Party has proposed to tighten up taxes. It is an honest matter to criticize the government for having had too few tax cuts, but with the Labour Party's arrangements they would have been reversed, and people would have experienced higher taxes and taxes. That is the fundamental difference between the Workers' Party and the Government Parties. It must be possible to do more than one thing at a time: we must be concerned about having a well-functioning tax system that also stimulates increased activity and value creation. At least there is no doubt that if we do not have a competitive tax system, companies will establish themselves elsewhere than in Norway. There won't be any more jobs. What we need now is competitiveness, which means that we get more and not fewer jobs and businesses.
ParlaMint-NO_2016-11-30.ana.ud343e667	‘The main economic distinction goes between those inside and those out of work. Under this government, the unemployment rate has increased by 30 pst. The proportion of persons employed is the lowest of 20 years. Almost no jobs are created in the private sector. In October, the Minister of Finance said that the unemployment peak has been reached, but recent data from the SSB and Nav show that the unemployment rate has fallen at a record high level in the last year. When can the unemployed in the West expect that the government’s tax cuts to the richest contribute to the creation of new jobs?’
ParlaMint-NO_2016-11-30.ana.ud343e674	It is in itself gratifying that the Workers' Party now seems to recognise that the main economic distinction is between those inside and those outside the labour market. Reduced activity in petroleum-related industries has led to higher unemployment. The working party often starts its party speeches by saying that the government cannot be blamed for the oil price fall, but then they follow up on blaming the government for the consequences of the oil price fall. What this government is doing is converting the Norwegian economy from a situation where the oil economy has been the largest engine of growth to an economy where growth has to be created in other parts of the economy. Then tax relief is an important contribution. I do not know exactly what taxes the representative Tvedt Solberg refers to when he says 'tax code to the richest'. Is it the inheritance tax, which the Workers' Party wrote in its alternative budget for the current year, about the importance of reducing differences? Is it the case that we agree that it should be removed, or is it the case that the Workers' Party is working on the idea of reintroducing the inheritance fee? Or is that the corporate tax? That's what I thought we agreed to reduce, for the sake of more jobs. No matter which of the taxes we're talking about, there's little connection between the Workers' Party's rhetoric and politics. In the 2017 budget, we are following up the tax reform, in line with the agreement in Stortinget. This means lower taxes on enterprises, making it more profitable to add production to Norway. Investment tax reliefs are provided, which will strengthen Norwegian private ownership and distort investment from property to jobs, and the budget includes a targeted package of measures to combat the unemployment of the South and West in the most affected industries, of 4 billion. kr. We are strengthening investment in infrastructure, research and innovation. It will increase the skills of the population, strengthen innovation and reduce the cost of transport to business. In this way, we can improve the basis of tomorrow's industries. Overall, this government puts in place a strong effort to put free hands at work and to create new, profitable jobs.
ParlaMint-NO_2016-11-30.ana.ud343e683	No, we do not blame the government for the oil price drop, but it is responsible for the handling. This government has made it more difficult to be unemployed in Norway. It has cut the holiday pay of those receiving the daily allowance, and it has introduced tax on termination benefits. This government has shown that it prioritises tax cuts for those who have the most, and in that debate the Minister of Finance knows what taxes the Workers' Party intends to pay. We need a policy that increases activity, that creates new jobs. I would like to remind the Minister of Finance that she is in the Question Time and has to answer. When the Minister of Finance and the Prime Minister visited Rosenberg Verft in Stavanger, there was a clear challenge from those who work there, where one said that tax letters do not work here. A requested concrete measure that can increase activity and put in place more jobs. When can they in Rogaland expect the Minister of Finance to listen to their input?
ParlaMint-NO_2016-11-30.ana.ud343e692	This has been done by the Minister of Finance and the Government, and we have demonstrated this through both the government budget for next year and the budget for the current year. We have taken seriously the situation that has arisen as a result of the severe fall in oil prices. That is quite correct, the government is responsible for dealing with the situation in the Norwegian economy. Who could expect us to meet the biggest oil price shock in 30 years? Who could foresee the consequences? We have known for so long that we would reach a point where oil investments would fall and that we had to convert the Norwegian economy. That work should have started a long time ago, but we're doing that job. We have been committed to combining a good and competitive tax policy with measures that address the needs of the most – both in Rogaland and in the rest of the South-West – and not least through flexibility in labour market measures.
ParlaMint-NO_2016-11-30.ana.ud343e701	Unfortunately, the conversion of the Minister of Finance here is missing, content. Despite big words and a lot of talk about conversion, new jobs are not created. It must be a paradox for the Minister of Finance – despite the great words – that no new jobs are created in the transition it is talking about. I talked about the cuts done to the unemployed. Rosenberg called for the concrete measures that could increase its activity to create more jobs. It was therefore a little shocking to see that when the Minister of Finance presented his budget, there was also a cut in the direct effort against unemployment. In 2016, it's 5 billion. kr in the South-West package of measures. In 2017, despite being on a record high level, it will still be only 4 billion. kr – a cut of 1 billion. kr. What is the background for one now, despite the fact that the unemployment rate is high, to the measures against unemployment?
ParlaMint-NO_2016-11-30.ana.ud343e710	I do not agree with that description of reality at all. In our draft government budget next year, we have maintained a high level of labour market measures, recognising that many people will need them in the transition phase into which the Norwegian economy enters. There is no doubt that those who now experience challenges of losing a job have difficulty. We must take this seriously, and we must meet it with targeted measures where the challenges are greatest, without destroying the growth and development of other parts of the country that have not encountered the unemployment challenge now facing the South and West. I think I should remind the representative that the agencies have also received assistance in the various measures and arrangements put forward by the government in their budgets. And on top of that is the criticism from the Workers' Party hole, all the time it's hard to see what is the Workers' Party alternative to the measures the Government has actually proposed.
ParlaMint-NO_2016-11-30.ana.ud343e720	I want to ask the Minister of Finance a question: ‘Vacancy is record high, and according to the Prime Minister and Finance Minister, tax cuts in property taxes are one of the most important steps to reduce unemployment. Despite the fact that all external and internal calculations have been made by the Ministry of Finance, tax cuts will have little or no effect. What does the Council of State think about her strong bet getting so little to say to all individuals and families who are now experiencing the absence of the body?"
ParlaMint-NO_2016-11-30.ana.ud343e729	Let me first correct the representative of Wickholm. It is only in the Workers' Party's rhetoric that property taxes are one of the most important measures to reduce unemployment. The truth is that the government has a wide range of actions in the toolbox, which are now in use — and which have already begun to work — to prevent unemployment. The tax relief is part of this, but only a small proportion of the instruments. I have said this before: I acknowledge every single penny this government has given in tax cuts, not because they are meant to fight unemployment here and now, but because we need a competitive tax system that makes companies want to invest, grow, create jobs in Norway. When the representative says that – and I quote – ‘tax code will have little or no effect’, I do not understand why the Workers' Party after the tax settlement, which was just about reduced tax, had the following heading on its website: ‘More profitable investment in Norwegian jobs’ I hope the Workers' Party, despite the rhetoric, is in line with the policy we have adopted. The property tax, which we agree to reduce by means of the tax settlement, is unfortunate for Norwegian private ownership. The government wants to strengthen the Norwegian private ownership. The taxes on wealth, as is known only to Norwegian owners, make it more difficult to operate under Norwegian ownership. Investment taxes can also create liquidity challenges for owners. Part of business may find it difficult to finance its investments. As a result, taxes on wealth can lead to a failure to implement projects that are profitable for society and that would provide new jobs. I therefore do not agree that taxes on wealth do not affect jobs. On the contrary, I am sure that lower taxes on wealth will increase the interest in investing in business and creating new jobs. But the government's strongest investment is not one thing; it is the whole of what we do: action packages, permitting legislation, action sites, multiple study places, increased investment in research and development, record-breaking investments in transport and much more. The sum of this hope I am also noticed among those who experience the difficult situation that it is to lose the job after the large oil price shock to which the Norwegian economy is exposed.
ParlaMint-NO_2016-11-30.ana.ud343e747	I think we now get some good examples of why it is difficult and challenging to make agreements with the Minister of Finance. She's in the middle of this day. In the case of property taxes, we and the government agree that there should be a valuation of 80 pst. of the property items. We do not agree on the rate. Nevertheless, the Minister of Finance here gives the impression in his speech to the Stortinget that the Workers' Party and the Government agree on the wealth tax in the tax settlement. That's not right. Then she also quotes me as saying that tax cuts will have no effect – when it has a direct reference to the sentence before. Then I just have to complain that Storting's systems do not allow more words to be used in the questions, so that it is possible to clarify. So this is the property tax that I'm talking about, which I'm clearly referring to in my question. But the Council of State chooses to use the broad term instead of dealing with what is the beginning of the question. That's a little neat way to answer in Stortinget. But the question remains.
ParlaMint-NO_2016-11-30.ana.ud343e756	The number is out.
ParlaMint-NO_2016-11-30.ana.ud343e761	In my previous answer, I gave a very thorough explanation as to why this government believes it is right to continue to work to reduce the wealth tax: we believe it is wrong to penalise Norwegian industry in Norway and make it a competitive disadvantage in relation to foreign business in Norway. It has not been long since we dealt with a case in this Chamber that was about deferred taxes on wealth for companies that are now experiencing challenges as a result of the difficult situation in the South and West. At least we agreed. There was a recognition from the Workers' Party that taxes on wealth can be burdensome. So it's okay for the Workers' Party to push that bill, but it's not good for the Workers' Party to make sure that the wealth tax is perceived as fair and competitive. We will continue to work to reduce taxes on wealth, because we believe that it strengthens Norwegian ownership in Norway and creates more jobs in the long term.
ParlaMint-NO_2016-11-30.ana.ud343e768	Very few are created – i.e. none – private sector jobs under this government. This is the 7th consecutive quarter where all growth in employment comes within government/government. To stand here and claim that these tax cuts, which the government has done over a long time, and which have been part of the Progress Party's programme for a long time, regardless of the economic situation in Norway, will have the effect that the Council of State says: I deeply disagree with that. The question becomes, when 57 pst. Of the unemployed, they are dissatisfied with the government's job: Should not this money be used in a way that is known to have more impact in the short term, but also in the long term, because we are building jobs and new businesses on the shoulders of already existing businesses?
ParlaMint-NO_2016-11-30.ana.ud343e775	I understand very well that people who now experience being out of work have a bad time and are impatient to get back to work. It's important, because the longer you stand on the outside of work, the harder it gets to come back. This is why the government is taking several measures. Yes, we are implementing tax reductions because we believe it is important, and we are implementing a wide range of measures and investments because we know that it is remedying the situation both in the short and longer term. But the prerequisite for creating more jobs in the private sector, i.e. in private business, is private capital. If we are to ensure that we have enough private capital available, the state must not seize it. Therefore, it has been important for this government to reduce the tax burden, both through corporate taxes and through property taxes – to facilitate more accessible private capital, which can be invested in new and more jobs.
ParlaMint-NO_2016-11-30.ana.ud343e785	My question is as follows: ‘The government’s local government economy is giving rise to increased differences in the services that people receive in tax-deficient versus tax-administrative municipalities. An example is the Lower Eiker in Buskerud, which is in a situation of coercion, where important and necessary services such as a new home need to be scrapped because of. serious loss of income. Does the State Council wish to continue to favour the inhabitants of the richest municipalities, for whom the Municipal Economic Agreement with the Progress Party and the Left opens, or will he give priority to a fairer service provision for all?’
ParlaMint-NO_2016-11-30.ana.ud343e794	A good and predictable local economy is important to ensure the further development of school and welfare services in municipalities. There have been no changes in the tax elements of the income system during this downturn period. It's the same tax rate of 40 p.p., and the level of tax equalization is the same as under the red-green government. Tax-weak municipalities like Lower Eiker are still well maintained. In 2015, no municipalities, after cohesion, had less than 93 pst. of the national average of taxes per capita. The government's plans for the local economy have given the municipalities higher growth than the red-green landscape. The average annual task-corrected real growth for municipalities in the period 2013–2016, i.e. under the Right–Fremskritsparti-regieringen, has been estimated to be 2.2 pst., while for the period 2009–2013 – under the red-green government – it was only 1.4 pst. Lower Eiker has had a higher annual task corrected real growth during today's government than under the red-green government. Under the bourgeois government, growth has been 2.7 pst. ; under the red-green government the growth of the Lower Oak has been only 2.2 pst. In 2015, Lower Eiker received 49 million. kr more in tax revenue than in 2014. Taking into account the additional costs of demography and pensions for municipalities, we see that the action space for municipalities has been clearly larger under the bourgeois government than it was under the red-green government from 2011 to 2013. Strengthening the local economy improves care services and other services for citizens.
ParlaMint-NO_2016-11-30.ana.ud343e809	Governments make a point of comparing the local economy under the red-green government with the current government situation. The fairest comparison would have been to compare today's government's arrangements for local economy with similar proposals from the Workers' Party, and we are now proposing for example. for next year, 2 billion. kr more. Lower Eiker would get $8 million. kr more with our arrangement. But that's not the main point. Both increased transfers from the country and greater redistribution to less-taxed municipalities are absolutely necessary to ensure equivalent services to the inhabitants. Lower Eiker has e.g. approx. half of the tax income of the municipality of Bærum and, for the Workers' Party, an older resident in the Lower Eiker is as much worth as an older person in the Bærum. So my question is whether the Council of State is willing to increase the redistribution of taxpayers to tax-deprived municipalities in order to ensure an equivalent service offer.
ParlaMint-NO_2016-11-30.ana.ud343e816	It is not surprising that the Workers' Party has more money in opposition than they have when they are in government. That's how it behaves. Therefore, it is very relevant to compare the current government with the red-green government, not least because in the 2013 election campaign there was one horror after another from the Labour Party representatives about how it would be with the Right-Fremskrit party government. Now we have the fasit. Scares have been put to shame. We see that the municipalities have had a positive development – yes, in fact, a more positive development than under the red-green ones. Today, the Municipal Report could report that the municipalities have the lowest debt growth in modern times. Indebtedness growth in municipalities has halved since 2010. It says a lot, both about predictable framework conditions and about good financial management in municipalities. We have not made any changes in the tax share during this large-scale period, nor have I registered that the Workers' Party has done so.
ParlaMint-NO_2016-11-30.ana.ud343e823	It is so interesting that the Council of State chooses to mention the election campaign in 2013, because it warned, among other things. signed against increasing differences between people as a result of the local economy approach of the Right. 14 of the 19 municipalities in Buskerud would be negative, and that was the municipal department's own figures. So if it's shown up some new numbers since then, it might be interesting to see them. I was then accused by the Right Team of spreading lies about Right Policy. But as I said, it was the municipal department's own numbers. For the next year, the County of Buskerud has shown that 12 of the 21 municipalities in Buskerud actually have a negative impact. KS has said that the room for action for next year's budget is equal to zero, so I'm actually repeating my question: Does the Council of State think it's fair that the inhabitants of Lower Eiker get a worse offer, for example. in the care of the elderly, than the inhabitants of a richer municipality, like Bærum? And if no, what will the Council of State do with that?
ParlaMint-NO_2016-11-30.ana.ud343e830	This Council of State is a member of local self-government, and it is quite alarming if it is that the representative Lise Christoffersen of the Workers' Party would deprive the municipalities of the opportunities for local priorities. There is no doubt that the horrors of the representative Lise Christoffersen in the 2013 big elections have been put to shame. Now we're looking at the debt growth in the municipalities, which is the lowest in modern times. We're looking at the growth of the local economy. The municipalities have been given more room for action under this government. Then it is that local politicians have a freedom of action and have to make their priorities. In addition, we have stepped up state efforts in the health and care sector. We've focused more on drug care and mental health. We've made sure that the most vulnerable among us get a better offer. But we also respect local priorities and local responsibility for our own citizens.
ParlaMint-NO_2016-11-30.ana.ud343e840	I allow myself to ask the following questions to the Minister for Municipal Affairs and Modernisation: ‘The Agreement on a New Income Scheme for Municipalities between Government Parties and the Left states that by the end of 2016 a Plan for the Localisation of New and Existing State Jobs outside Oslo will be presented. When the agreement was presented, the volume was compared to the relocation of the Bondevik II administration. 1 000 jobs. This will be of great importance to the employees and their families and to the municipality of Oslo. Will the plan be submitted before Christmas while the Stortinget is assembled, and have the employees’ organisations and the municipality of Oslo been involved in the process?’»
ParlaMint-NO_2016-11-30.ana.ud343e849	The government will develop and strengthen the competences environments throughout the country. State jobs can contribute to this. The agreement between the Government Parties and the Left emphasises the need to build up wider areas of competence throughout the country. The work on locating new and existing jobs outside Oslo shall be reinforced. In particular, localisation shall be assessed in new regional centres, even outside the major cities. New and relocated state jobs shall as a general rule be located outside Oslo. We propose that a plan for the location of state jobs be presented as part of the Communication to the UK on sustainable cities and strong districts. This message will be submitted to Stortinget in the winter of 2017. The size was in Prop. 29 S for 2016–2017, Changes in the State budget 2016, briefed on this postponement. I cannot now comment on the content of the plan, as it has not been dealt with by the government. There has not yet been formal contact with the Municipality of Oslo on this matter. Oslo Municipality has the highest number of government employees of its municipalities. The share of employees in the State tariff area is about 10 pst. of the total number of persons employed in Oslo. Oslo has a strong labour market and the consequences of the relocation of state enterprises are limited to the labour market in the capital. However, the consequences of the relocation of existing jobs may be burdensome for those involved. Therefore, it is important to set up good processes in the context of localisation and, where appropriate, relocation of state workplaces. This applies both to employees of the establishments and to the relevant local authorities. The departments responsible will focus on these considerations in the follow-up to the plan for the location of State jobs. All establishments in the country are bound by the provisions of the Main Agreement on the right of participation. Co-decision is exercised in the form of information, discussion and negotiation of specific aspects at different stages of a process. Assessment and decision on the possible relocation of jobs from Oslo is a political issue in which trustees are not to participate. The implementation of any relocation or re-establishment outside Oslo will take place in line with the applicable national migration framework. Conversion shall be as smooth and effective as possible. The process shall take place within the framework of the guidelines set out in the ‘Personnel policy in the case of conversion processes’. Migration security is a matter of good and committed cooperation between employers and employee organisations in individual activities and between the parties centrally. A number of instruments are available to facilitate migration costs for individual workers. Examples include the cost of buying and selling housing, the cost of commuting, wage subsidies, etc.
ParlaMint-NO_2016-11-30.ana.ud343e862	I thank you for your answer. In the case of new jobs, the Workers' Party has also decided that it is right to leave them outside Oslo, where possible and appropriate. So that's the agreement. But we do not agree that there should be a large-scale relocation of existing jobs from Oslo. It will affect many families, many people who have worn out an entire working life, worked and stood on. Suddenly to be told that it is politically decided that they should be moved somewhere else in the country – an understanding is needed that there can be a rather heavy burden, even for important environments here in Oslo. I would like to remind you of the strong use of the words of City Councillor Erling Lae in a heated debate during the previous emigration with then State Council Victor Norman, where he compared this with Pol Pot methods. So I'm going to ask the Council of State: does he understand that Oslo can also feel like a stickler, feel vulnerable, and that it's about caring for those who work and labor in these jobs here in the city?
ParlaMint-NO_2016-11-30.ana.ud343e871	Oslo has a strong labour market with both state and private labour markets, and it is also the case in the labour market that jobs are relocated. It happens in the private sector, and it can also happen in the state sector. On the other hand, we must note that this government has a much more offensive attitude to building up environments of competence and to use the expertise throughout the country. We have moved out more jobs, yes, more than twice as many jobs during this period as during the previous one. Then I also find that inside the Workers' Party there is obviously a great deal of disagreement on these issues. In Stavanger Aftenblad today the Workers' Party's representative, Helga Pedersen, states that state jobs are important for the development of the second largest cities. And then she says, "Oslo has little to fear."
ParlaMint-NO_2016-11-30.ana.ud343e878	I thank you for your answer. There is no doubt about what the Workers' Party's programme is. As far as existing jobs are concerned, we are not in favour of their unmovement, but new jobs are to be involved in and strengthen competences around the country, as the Council of State says. With regard to the process of relocation of a large number of existing state jobs from Oslo, it is important that the Council of State understands the uprising it created in Oslo last time. You feel that you are being bought with this, about something that seems to have little to do with the matter, that you got a majority with the Left alone about a new income system for the municipalities of the spring party, where Oslo becomes a sort of a stickler in an agreement with the Left. It is strange that the Council of State will not involve the employees, involve these jobs, in some way in the process now, so I will ask: shall there be a consultation process at any time during the process of the Storing Message, or will we get it right to the Storing without the employees being involved in any way, and where there is a danger that things are locked?
ParlaMint-NO_2016-11-30.ana.ud343e889	I explained in my answer how the employees are to be involved, and the employees are involved in the way that it is common for them to be involved in these kinds of cases. On the other hand, I am very surprised at the use of language. There's no reason Oslo should feel like some kind of prying boy. Oslo is a growing city. Oslo has a strong labour market, a strong government and public labour market, a strong private labour market. On the other hand, there are other parts of the country that need to strengthen their environments of competence, and I note that the Workers' Party appears to be the party that wants to at least strengthen the environments of competence elsewhere in the country. When I meet the Workers' Party's representatives in North Norway, in the West, in the Inland, the more public jobs are needed. I have met many representatives from the Workers' Party from South Africa who want us to move government jobs there. This government has a more offensive attitude to these issues than the Labour Party clearly has.
ParlaMint-NO_2016-11-30.ana.ud343e899	My question goes to the Minister for Transport: ‘There has been strong criticism of the route offer for the short-haul network in central and northern Norway. In many places, there is a weakening of the offer, which is unfortunate for businesses and opportunities for new jobs, as well as increasing concerns about future airport structure. This is the responsibility of the Council of State. Local and regional politicians have asked for a meeting with the Council of State but are not receiving answers. Will the Council of State accept the invitation to dialogue with stakeholders in order to ensure a better-adapted offer?’
ParlaMint-NO_2016-11-30.ana.ud343e908	Let me first just make it clear that we haven't added up to any changes in the aircraft structure. It has also been made clear in what the government has said earlier, so that uncertainty does not make sense to try to spread. We have already agreed to a meeting. It is scheduled for a meeting with the Aeronautical Forum Namdal on 20 December. As far as I am concerned, we have also met the wishes of the representative of Grande.
ParlaMint-NO_2016-11-30.ana.ud343e915	I thank you for the answer – if anything short and in cash. With regard to the future flight path structure, there is no doubt – and there is a clear feedback from Central and North Norway – that if this is implemented, this will lead to a dramatic decline in passenger traffic, which in turn will lead to pressure on the aircraft location structure. Especially for my own home country, the North Throne Team, what is now being added up to is potentially very dramatic. Then it is nice for local and regional actors to meet the Secretary of State, but it is typical for the whole matter that it is not the Council itself that sets up and listens to the signals coming. Solvik-Olsen is otherwise known for being high and low when there are matters he engages in, but here he chooses to send the State Secretary. I would like to be assured by the Council of State that the meeting on 20 December will be a real recording meeting, so that what appears at the meeting will be taken care of, and that, together with local and regional actors, better solutions are sought than has now been provided.
ParlaMint-NO_2016-11-30.ana.ud343e924	I've noticed through various debates with the representative of Grande this past week that it's about creating as much uncertainty as possible, even where things are really going very well. When he gives the impression that there is a clear feedback from all over North Norway, we should remind him that many places have actually got a much better flight offer than what you have today. It is not about what demands the government puts at the bottom, because those requirements are largely unchanged from the previous government, but it is about the fact that Onøe has had an offer where they have previously gone beyond the requirements, but where they have done something about it now. Elsewhere, they've increased sharply. For example, in Harstad and at Leknes, Onøe offers more frequencies than before, although the requirements at the bottom are exactly the same. At other places, they have slightly fewer departures, which they justify almost no passengers on board. Also from my home, Stavanger, there are now fewer departures in the evening than it has been before. It is not the government that sets up air routes, but we ensure that there is a minimum offer around the country where one does not have commercial routes, and we must take care of that further.
ParlaMint-NO_2016-11-30.ana.ud343e933	The uncertainty that exists in a number of areas for which the Council of State is responsible is, of course, that the Council of State itself has created, through what has been said about Saturday newspapers – on which we had a debate in the Storting yesterday – and the air route offer, on which we are debating today. I record that the Council of State seems satisfied and satisfied with the offer that has been made. Both this case and the matter I referred to instead, testify to a government and a council that does not understand the districts. The concern that has been expressed did not just come when the flight offer from Onderøe was submitted, it came at the moment when the Council of State submitted the offer. It has also been shown in the past that air route offers have been too poorly adapted to the need. Among other things in 2011, Meltveit Kleppa, then Minister for Transport, chose to withdraw a tender because it was too poorly adapted to the needs of Røros. Is it such that the Council of State chooses only to borrow back and not to engage in this matter, or is he willing to avail himself of the space of action he has, to ensure a better offer where there is actually a deterioration today?
ParlaMint-NO_2016-11-30.ana.ud343e942	Once again, we get an example of how the representative, Grande, distorts history a little bit to get as negative an approach as possible. In all the debates we've had on newspapers, I've said I'm not satisfied, while the representative of Grande walks around and says that the government is satisfied and does nothing. It's simply wrong, it's simply a lie, because we've said many times that we have a lot of meetings with the actors, just to solve the challenges that are. So I hope that the representative Grande can be honest with the debate out, so that we can concentrate on the real problems and not construct everything into being a problem. In the same way, we have said – and we have sent this in writing to Stortinget – that, from 1 April, the provisional timetable of Unhøes is something Unhøe now has a round with all the regions about to get a recording. Then, onions will meet with us to discuss this completely – while the representative, Grande, gives the impression that we are doing nothing. That's wrong. We should have a constructive approach to this, so that we can solve the problems that exist, rather than just paint black.
ParlaMint-NO_2016-11-30.ana.ud343e954	‘In the Official Journal of Bergen on 24 November, it appears that the Bergen-Arna railway project is about twice as expensive as it has been stated. At the same time, it appears that the construction time will increase from 5 to 9 years. The full power of the Ulriken tunnel depends on the Bergen-Fløen section being implemented as planned. Can the Council of State guarantee that full pressure will be exerted to implement Bergen-Arna with rational progress and that the deadlines set before are maintained?’
ParlaMint-NO_2016-11-30.ana.ud343e961	I will guarantee that we will do as much as possible to carry out the project as well as possible, but also within the cost framework that one originally had. We know that's going to be very challenging, because we've seen costs increase. I think it is a little strange that the representative, Rommetveit, asks for full gas to be given, almost as if nothing has happened, while the representative, from the Workers' Party, walks around these days and is very worried about the cost of the project and gives the impression that we have to both postpone and stop the project until we get more overview. So the Labour Party should soon have one vote in this debate, so that together we can find the constructive solutions. I'm worried when we see that the cost increases as much as they do. That's exactly why we have to spend time figuring out what we can do about changes in the project, so that we actually realize it as quickly and as cheap as possible. That's my goal. We need respect for taxpayers' money. I also believe that the Workers' Party knows that this is a complicated project, because the Workers' Party spent a lot of years, when they themselves put in government, to find out how to handle it, precisely because there were many unsolved challenges with it. I take the responsibility of trying to solve this. We've also informed the Storing about many times. We have also had external quality assurances go through the project. My ambition is that this project will be completed, it will be done as soon as possible, we will get costs better under control. But it's obvious that there are challenges now that we have to deal with. Then I hope we can work together on this, so that we can complete the project.
