ParlaMint-NO_2016-04-27.ana.ud1895e26	The representative Heikki Eidsvoll Holmås will present a proposal for a representative.
ParlaMint-NO_2016-04-27.ana.ud1895e894	‘In the 2016 State budget, it was decided to reduce the price of NSB’s monthly and annual cards by 20 pst, and it was set at 41,4 million. krones. In his reply to written questions by the representative Sivertsen, the Council of State answers on 20 January this year that he is doing what he can to ensure that the budget decision is implemented as quickly as possible. I have not registered that there has been any price reduction on the NSB monthly and annual card yet. Can the State Council update the status and progress of this matter?’
ParlaMint-NO_2016-04-27.ana.ud1895e901	I am very pleased that the Workers' Party is seeing to it that the government is implementing the policy that today's majority in the UK. Here it is very good for travellers, both by rail and by public transport in the cities and in the country for the rest. We are working intently to follow up the comment contained in the 2016 budget, and we are also discussing this in depth with the proposers and with those who have agreed to the reconciliation between the Right, the Advance Party, the Christian People's Party and the Left, so that we implement this in the best possible way in line with the intentions and wishes of the settlement partners. There are some technical challenges to how this is to be programmed, and how to make it work in the best possible way, but as I said, this is to be done as quickly as it can be done. But it is also important that we take care of the intentions of that proposal. So this is going to work, and it's going to work, in line with the decisions that the Storting has made. At the same time, let me say that I am very pleased with the cooperation the government has with the Christian People's Party and the Left, because in this area we have made sure that we are very far ahead of the form in terms of the investment on the railway. Fortunately, it's not just a price that matters because people want to travel by rail. It also means something about the quality of the infrastructure, it means something about reliability and predictability of the use of trains – that they come, that they are on the road, and that there is better space. We know, unfortunately, that on many routes today are problems with crowded trains. We know that the maintenance of the railway has not been good enough for a long time – due to double the previous two peak periods. Now we're reducing the maturity. This means that it is not only at lower prices that some travellers will see quality improvements. One will see that now more train sets are actually purchased than ever before. We're getting replaced, we're getting renewed, we're getting expanded fleet used by NSB. There are several departures on most of the train sections now compared to just two years ago. This means that on, for example: Oslo S is now more than 100 more flights each day compared to when we took over 30 months ago. NSB and CargoNet may notify that their unforeseen breakdowns due to poor infrastructure have been reduced by two thirds in the last two years, as a result of the maintenance promise that has now taken place. So while we're working to achieve this budgetary unity between the Right, the Christian People's Party, the Left and the Advance Party, we're also working on implementing all of the other budgetary units to make travellers feel much better overall. I'm glad about that, because if we're going to make people travel collectively, we have to make sure that the alternative that public transport represents is better than the one that people offer to drive their own car. So we're starting to see the traces that we're actually achieving now.
ParlaMint-NO_2016-04-27.ana.ud1895e918	It was very good in what the Council of State said now, and the Council of State is doing very well. But there was no answer to the question I asked. The questionnaire is for the Storting to ask questions to the government, and then one must also expect the government to answer the questions asked. So at least there's not so much eagerness on the part of the Minister of Transport to follow up on what the majority of the population decided – and it wasn't just in the form of a remark; it was set at 41.4 million. kr in the budget to reduce the monthly and annual card rates. The idea was that it would happen in 2016, i.e. from 1 January. Now it's almost May 1st, and yet nothing has happened. The train passengers wonder when this will happen. So simply, the question is, when, from what date, will the price of monthly cards and annual cards be reduced?
ParlaMint-NO_2016-04-27.ana.ud1895e923	I'm a little surprised by that tirad, because in the question, as I read it and as it's actually advanced, it says: ‘Can the State Council provide an update of the status and further progress in this matter?’ I gave that status. So the fact that I get criticism because I might not have answered other questions that the representative Myrli had intended to ask, I can't actually take responsibility for. But now I have a new question, and then I can answer it. And the answer here is that this is a budgetary settlement between the Right, the Advance Party, the Christian People's Party and the Left. I'm very happy if the Workers' Party also supports this which we now get, because that means that the Workers' Party is moving in the right direction. So I've already said that there are some technical things that need to be put in place here. We have to figure out where the border line is going, because on some of these sections, there is a cooperation with local collectives, and some places aren't. We also have to make it work so that there won't be much illogical results of this. There we have a good cooperation with the Left and Christian People's Party, which gives me the impression that here we are on the right track, and then I think it's the ones I'm going to be most busy with to get it to.
ParlaMint-NO_2016-04-27.ana.ud1895e937	The Council of State says that the Workers' Party is now supporting the proposal. We supported the proposal in the budget debate. It didn't come from us, it has to be right. We saw enough that there were some technical challenges with that, but we chose to support it, and we also added the 41.4 million. kr into our alternative budget because we thought it was a good idea. But we assumed that the Minister of Transport had checked that this was practicable. After all, when the Right Party, the Advance Party, the Christian People's Party and the Left present proposals and the Minister of Transport are from the Progress Party, we must assume that he has used the back channels to check that this is feasible. So we're going to write 1 May in a couple of days, and so nobody can say when there's going to be a reduction in the price of maps and monthly cards at NSB. It's not about the government parties, about the Minister of Transport or about the Workers' Party, it's about the travelers on the NSB who were promised cheaper tickets. When will they get cheaper monthly cards and annual cards?
ParlaMint-NO_2016-04-27.ana.ud1895e944	It shall receive in 2016 the budget to which it applies. But as the representative Myrli himself said, the Workers' Party was sceptical about this because they saw that there were some technical challenges. So all of a sudden, all of the technical challenges are gone when the government is going to implement everything, because then it's a little more concerned with the government. I think it's a little bit strange approach. If you see for yourself that there are technical challenges, you should also respect it when the Council of State points out that the technical challenges we have to solve first, and this comes into effect. But this has not been cancelled, as the representative Myrli gives the impression. This is a decision that the Stortinget has made because we now have a bourgeois majority who really want to bet on the railway, even more so than the representative Myrli wanted – it was also a good growth under the previous government. We have to implement this, but we have to make sure that it actually works so that when the travelers arrive at the station, the system works – not just that you have promised it. I also believe that the representative Myrli, after himself sitting in the Ministry of Transport a long time ago, should be aware that adopting something at the end of December does not mean that all computer systems in the NSB are automatically updated two weeks later. It actually needs to be changed, adjusted, programmed and then implemented.
ParlaMint-NO_2016-04-27.ana.ud1895e957	I allow myself to ask the following questions to Minister for Foreign Affairs Børge Burnde: ‘We have recently seen TV images from East Turkey, where the war between the authorities and the PKK affects the civilian population. In Oslo, Kurds have demonstrated against the Turkish government's bombing of civilian targets. Will the Minister for Foreign Affairs address the situation with Turkish authorities?’
ParlaMint-NO_2016-04-27.ana.ud1895e966	In recent months, fighting between Turkish security forces and the Kurdish Workers' Party, the PKK, has created great suffering and cost too many lives. It is very regrettable that it broke the dialogue and convergence between the authorities and Kurdish representatives over two years in the summer of 2015. The violent conflict over the increased rights of the Kurdish minority in Turkey has continued for over 30 years. It is still Turkey's biggest political challenge and the most pressing and unresolved security issue. Both Turkish authorities, the EU and the United States have listed PKK as a terrorist organisation. The regional picture makes the situation difficult. PKK holds hold in Northern Iraq, while PYD/YPG holds in Syria. Developments in neighbouring countries and contacts between PKK and PYD/YPG reinforce the concern of Turkish authorities for Kurdish separatism. Violence and armed power are not acceptable policy instruments. This conflict must be resolved politically in Turkey. This view is firmly anchored in Norwegian foreign policy and has been claimed for a long time. In line with a number of other countries, including the EU and the United States, Norway consistently encourages Turkish authorities to resume the dialogue process with a view to finding a policy solution to the Kurdish problem. During my visit to Ankara on 12 January, I also invited the head of the Pro-Kurdy Party of the HDP, which has the third largest party group in Parliament, to return to the track of reconciliation. I also took up with President Erdogan, whom I met, that the initiative he took in 2003, which was important for starting a reconciliation process, was a road to recovery. This message, as I now mentioned, was also repeated by State Secretary Hattrem when the HDP leader visited Oslo on 14 April. It is worrying that one of our allies seems to have to use military instruments in an internal conflict. At the same time, Turkey has the right to defend itself against both borderline violations and terrorist attacks. Such reactions must always be proportionate and take place within a framework of international law.
ParlaMint-NO_2016-04-27.ana.ud1895e981	I thank the Minister of Foreign Affairs for the answer, and I agree that the regional picture is exacerbating the situation and making it more inconspicuous, and that this matter needs to be resolved politically – it really has to be at last. The EU Head of Foreign Affairs, Federica Mogherini, has now encouraged Turkey and the PKK to sit at the negotiating table, and this happens after Turkey has bombed the eastern areas almost continuously after the ceasefire broke down. Since then, 200 civilians have been killed, in addition to several hundred members of the Turkish security forces – there are quite a few – and at least 300 Kurdish warriors. In addition, we know that the PKK also assists its brothers on the other side of the border in the fight against ISIL, so it's a very complicated situation. But I think it is very important that the Norwegian Minister for Foreign Affairs is also active in a matter like this.
ParlaMint-NO_2016-04-27.ana.ud1895e988	And we're active. As I said, I visited Ankara in January and had a long conversation with President Erdogan, where I addressed these questions, also about proportionality and proportionality. There is no doubt that the PKK has launched completely unacceptable terrorist attacks inside Turkey – we must also be very aware of that. So of course the authorities have the right to answer this, but it should be, as I also said in my reply to the representative Nybakk, in international law, and it should be proportionality, proportionality, around this. But what was even more important to me in the conversation with President Erdogan and Minister of Foreign Affairs Cavusoglu was to find out that the process that the AK party started in 2003, which was a new start on the relationship between the Kurds and the Turks, must be recovered.
ParlaMint-NO_2016-04-27.ana.ud1895e995	The last thing I agree very much with, and of course it's also true that the PKK has attacked, but today's situation is causing the Kurdish population in the east very great suffering. There are cities and villages that are being crushed by Turkish bombs. It is a situation that cannot continue, and it is also said by the Minister for Foreign Affairs. Turkey is our ally. This is one of the reasons why it is important that both the EU and other NATO allies have a dialogue with Turkey on this and address this. I am very aware that the situation we have today, that Turkey is taking heavy refugee loads, as well as that we have an agreement between the EU and Turkey, may complicate this picture, but it must not lead to us not taking up the warfare that Turkey is engaged in in in the East, and trying to find a political solution between Turkey and the PKK.
ParlaMint-NO_2016-04-27.ana.ud1895e1002	It is true that the representative Nybakk states that there is no country that has accepted as many refugees and asylum seekers as Turkey in recent years – 3 million. It is also the case that Turkey is in a situation where they are now under attack by both the ISIL terrorist organisation and the terrorist attacks that the PKK is behind. As NATO ally, it was important that NATO Secretary General Jens Stoltenberg was in Ankara a week and a half ago. He had a clear political agenda and also a security policy agenda. We agree with the alliance that Turkey must act in harmony with international law – when they respond to possible attacks, they must be proportional. I agree with Mr Nybakk that the humanitarian conditions in the eastern parts of Turkey are very worrying, and we are following this closely.
ParlaMint-NO_2016-04-27.ana.ud1895e1015	My question is as follows: ‘Has the government granted concessions to the EU in the context of the current Article 19 negotiations and how many jobs are estimated to be lost in Norway as a result of these concessions?’
ParlaMint-NO_2016-04-27.ana.ud1895e1022	Article 19 of the EEA Agreement provides that the parties are to review trade in basic agricultural products at intervals of two years. The last agreement was negotiated by the previous government and entered into force on 1 January 2012, with which the representative Mr Schlagsvold Vedum will be known. In line with the EEA Agreement, the Government launched new negotiations last February. So far, three negotiating rounds have been carried out, on the last 5 April of this year. Both the EU and Norway have presented their demands in the negotiations, and there is agreement that a new negotiating meeting should be held. I would like to say that for negotiable reasons, I cannot go into the substance of what the positions are like today. Negotiations have been constructive, but it is far too early to say something about when the negotiations will be concluded and what the final outcome will be. But a finished agreement will normally be submitted to Stortinget.
ParlaMint-NO_2016-04-27.ana.ud1895e1031	Looking at the developments in trade in agricultural products between Norway and the EU from 1995 to today, there is no doubt that the EU is the winning party. EU imports in 2015 amounted to 36.8 billion. kr, and Norway’s exports were around 6 billion. kr. Looking at the content of the Article 19 Protocol, it says that it should be mutually beneficial, and it should also be done within the agricultural policy of the country in question. There's no reason for us to give a single concession at all. Could any concessions granted have an impact on Norwegian agricultural policy in the future, or are there so few negotiations that it will have no impact on the agricultural policy we are pursuing in Norway today?
ParlaMint-NO_2016-04-27.ana.ud1895e1038	I think it is very clear through the fact that Battle violence Vedum is against the whole EEA agreement. I note the fact that a broad majority in the Grand Duchy is behind it, and it involves clear commitments that we should negotiate regularly on basic agricultural products, on interaction and exchange between Norway and the European Union. I would also like to remind you that the red-greens conducted such a round of negotiations in 2010, where the new quotas – 2700 tonnes on cheese and 2700 tonnes on meat – were quotas from the EU to Norway which became available from 2012. Of course, Norwegian interests are the most important. There can be no doubt that this is the government's starting point for the negotiations we are now in the middle of. However, compared to the large EU output in this area, Norwegian agriculture is of a completely different size. So even though it's working on innovation, even though new products are being developed that can also go the other way, it's clear that there's never going to be one to one.
ParlaMint-NO_2016-04-27.ana.ud1895e1047	Agriculture is not a direct part of the EEA Agreement. It is a separate article, Article 19, which regulates trade in agricultural products. We are two parties, where no one is obliged to give. We've given a lot from the Norwegian side over time, and there's no reason we're going to give anything more. The government I was part of also made improvements in customs protection, because we thought it was necessary to ensure Norwegian employment, Norwegian jobs and Norwegian value creation. There is now a major crisis in EU agriculture, because a lot of EU agriculture is export-oriented – it is seen in Danish agriculture and Swedish agriculture that there are major challenges. But we have to be in charge of our industry and our jobs. Does the Council agree that Norway should not initially give anything because we have enough challenges in our own country with jobs and employment?
ParlaMint-NO_2016-04-27.ana.ud1895e1056	As I have said, it is absolutely impossible, and it would be totally wrong for me to go into what is Norwegian positions in these negotiations, but I totally disagree with the description of Battle Violence Vedum – if I understood him correctly – by a Norwegian agriculture in crisis. It is not Norwegian agriculture, and it is also important to take care of agriculture further. That's the government's intention. Many measures have been put in place both to bring about more innovation and research, to further develop Norwegian agriculture and to develop niche products that can be able to operate markets with great success. We now have the starting point from these negotiations that of course we should take care of Norwegian interests and Norwegian jobs in the best possible way, but I am not saying that it cannot happen that there is a result that makes it have consequences here at home as well. It's obvious – it can get all kinds of contracts. However, this agreement shall be submitted to the Enlargement for a decision.
ParlaMint-NO_2016-04-27.ana.ud1895e1065	‘Travel life has many important jobs in the districts. This does not happen by itself. The industry must have a long-term perspective and predictability, and needs drag help to extend the seasons. So far, the government's contribution has been to increase VAT, cut market outlets, and lack of broadband investment. The leader of the NHO Travel Life has repeatedly pointed to broadband as the most important way to secure these workplaces. While we are waiting for the Travel Life message, what will the Council of State do to secure travel life jobs in the districts?’
ParlaMint-NO_2016-04-27.ana.ud1895e1072	The government is pursuing a policy of work, activity and change, and the government budget is based on this. The rationale for pursuing a specific travel policy is that the tourism industry should also have the highest possible value creation and safe jobs. In this way, tourism policy well supports the overall objective of enterprise policy. The tourism industry provides many jobs and contributes to local development both in cities and districts. A travel policy that facilitates a more competitive travel life will increase the value creation in and around the tourism industry and increase the profitability of tourism operators throughout the country. Travel businesses are competitive enterprises which in this context do not differ significantly from enterprises in other industries. Changes in the inheritance tax and in the property tax, the labour-environment law and the tendering rules are essential framework conditions for travellers, as for other traders. The growth potential of the tourism industry in Norway depends on a number of factors. Some of the conditions are within the control of the Norwegian authorities, while others are outside. Happily, numbers show that the number of nights spent increased by 4.4 pst. from 2014 to 2015, and we know that a weak exchange rate contributes to this. In 2016, the EUR 231.5 million earmarked for travel activities in Innovation Norway is EUR 231.5 million. kr. Much of this appropriation is used for the marketing of Norway as a destination. It's an activity that benefits the entire travel life. In addition, travel life enjoys the services of Innovation Norway at 36 outpatient offices, which also work against travel life. The transport budget has gone up from 41.4 billion. SEK in 2013 to SEK 59,7 billion. kr in 2016. This is investment in infrastructure that benefits all industries, not least the tourism industry. Finally, I would like to point out that we from the Ministry of Industry and Fisheries have supported both the Arctic Race of Norway in the north and the cycling World Cup in Bergen to EM in the weightlifting of the Förde and the Berlin Philharmonic Concert during the Winter Festival games at Røros. These are events that draw great attention to Norway abroad and that will contribute to positive profiling.
ParlaMint-NO_2016-04-27.ana.ud1895e1087	The government has cut down on marketing within travel life by 40 million. NOK 2 in 2 years. There were new figures yesterday that showed that the maximum percentage increase in perm and denunciation is in overnight and serving places. Most travellers book their own travels on the hotel via the internet and expect Wi-Fi at the hotel today. Requests for 650 million were submitted for information. kr to broadband last year, while the government proposed 50 million. kr. In comparison, the government has given 50 million. kr in tax cuts per day since it came to power, so two weeks tax cuts would actually finance this broadband expansion. But what will the Minister of Industry say to all those who lose their jobs in the travel industry? Would she agree with Minister of Labour Hauglie, who said, 'You get a push when it's buttering'?
ParlaMint-NO_2016-04-27.ana.ud1895e1092	There were a lot of questions here. When the representative Heggø refers to studies related to this, I expect – without having seen the study – that this is mainly about the South and the West. There, we know that the decline in oil activity has major consequences for the tourism industry as well. In the case of travel businesses in general, they are not engaged in increasing taxes and taxes. On the contrary, they are subject to taxes on wealth, reductions in taxes on wealth, they are subject to an inheritance tax that allows them to carry out the necessary generational shifts, they are concerned with infrastructure, they are concerned with simplifications, so they are concerned with a number of measures implemented by the government. The representative then asked questions about broadband, and then the representative probably knows that I am not constitutionally responsible for it. Here, of course, every budget determines what the government is doing.
ParlaMint-NO_2016-04-27.ana.ud1895e1099	I referred to Nav's numbers when it was about the increase in unemployment that came yesterday. It was for the whole country. The airline fee and VAT increase are not directly below the Minister of Industry, but I assume that the government as a college is in charge of government's cutting policy in the industry. The government's actions are not targeted, and it's too small and too late. Missing broadband bets, missing means of marketing travel lives, as well as seat charges, happen directly to travel life. Two years in the travel life effort corresponds to less than one day's tax cut with the Right-front party government. It could be a priority change. Is the Minister able to guarantee that travel life escapes new unpleasant surprises, which again affect jobs in the tourism industry in the year’s budget, for example? a new VAT increase over the night?
ParlaMint-NO_2016-04-27.ana.ud1895e1104	I understand that it's Nav numbers, but I'm pretty sure that if Hegø went into the numbers, they would show that it's business related to the South and Western countries, and it's a completely natural explanation that doesn't relate to government's policy towards travel. On the contrary, while the government cut in the 2013 and 2014 budgets, the number of overnight stays increased. Last year it increased by 4.4 pst., and the most important travel life reports now, is a weak krona rate, and that economic policy is predictable, because it makes important contributions to travel life.
ParlaMint-NO_2016-04-27.ana.ud1895e1113	I allow myself to ask the Minister for Industry the following questions: ‘Norway has good prospects for becoming an important supplier of eco-innovation solutions. In the Workers' Party's alternative budget, we proposed to grant 1 billion. SEK 116 million for the eco-innovation scheme. dollars more than the government's budget proposal. Unemployment in Norway is now the highest in over 20 years. South West is hit hard. The situation requires political action. With this backstop, why will the government not be involved in this eco-innovation scheme operation?’
ParlaMint-NO_2016-04-27.ana.ud1895e1122	The Government shares the representative’s belief in the potential for environmental technology development in Norway and, therefore, the Eco-Technology Scheme is strengthened by 174.5 million. NOK 504.5 million. kr over the budget of the Ministry of Industry and Fisheries in 2016. Since its accession, the scheme has increased by more than 244 million. NOK 260 million. kr – i.e. almost a double. It's a bet. In addition, strengthening the Eco-Technology Scheme is only one of several measures in the government’s commitment to research and innovation. We have also strengthened mechanisms such as the User-led Innovation Arena and the FORNY2020 in the Norwegian Research Council and the establishment of the Facility for the Grant of Innovation Norway and the SkattenFUNN Facility. These other schemes also contribute to the development of more environmentally friendly solutions. In 2015, 34 pst went. of all Innovation Norway’s commitment to loans and grants for environmentally friendly projects. The State budget for 2016 authorises nearly 2.4 billion. kr more for industrial research and innovation than in 2013, including strengthening the FUNN Scheme. Our commitment to R & D and innovation will promote the transition to a greener and more knowledge-based business, increase activity in the economy and boost employment. As the representative points out, many jobs are now lost in industries and areas affected by the low oil price, among others. in the South and West. In order to facilitate the transition and help people get to work faster, the government presented a specific action package for increased employment of a total of 4 billion. kr in the 2016 state budget. In the Ministry of Economic Affairs and Fisheries budget, the annual package of measures totals 450 million. kr, which will promote more research, more innovation, more good entrepreneurs, new profitable businesses and new jobs. Our commitment to nationwide and wide-ranging schemes ensures that the best projects are supported. At the same time, we see that Innovation Norway and the Research Council schemes are doing well where the need for change is greatest. For example, allocations from the Swedish Research Council’s BIA scheme and Innovation Norway’s schemes – establishing grants and R & D contracts – are increasing in Rogaland and Hordaland. Much indicates that the effort is working. According to estimates from the Statistical Centre, the support from Innovation Norway has a positive impact on both employment, turnover and value creation.
ParlaMint-NO_2016-04-27.ana.ud1895e1137	I thank you for your answer. Arvid Nesse, who runs a test centre for marine wind on Karmøy, refused to gather seawind operators in the West, on the grounds that it was a short time since a similar project was supported. Feedback from Innovation Norway in Rogaland is that it is important to provide room for a slightly wider interpretation of the Eco-Technology Scheme and that it also takes time before the opportunities provided by the scheme become known. We know that there are major applications on the way. We know that there are already good applications in there. What will the Council of State do to ensure a wider interpretation of the Eco-Technology Scheme or, where appropriate, to make the scheme better known?
ParlaMint-NO_2016-04-27.ana.ud1895e1146	It's a challenge to make all the arrangements we have known to those who need it. In particular, I am concerned that small and medium-sized enterprises are getting better knowledge. This is why Innovation Norway and the Research Council are working with both simplifying the arrangements and making access more familiar, not least the way into the slightly multi-headed troll – if I can call it that – as public instruments can be. That's what's going on. It's a priority, and it's important that we're good at it. Fortunately, when it comes to assessing individual projects, we do not do that from political leadership in the ministry. This is what professionals and independent people will decide. I have not received any feedback that the mandate for the eco-innovation scheme should be changed, but if it comes to my table, I will of course consider it.
ParlaMint-NO_2016-04-27.ana.ud1895e1155	I thank you for the answer and the signal. It is tempting to remind you again that the alarm is in the West. It is tempting to quote Carl I. Hagen, who at the national meeting of the Progress Party called it a crisis that the government has done ‘too little, too late’. But back to the starting point. The government's going to cut the tax collection by 50 million. kr daily. In the West, after two days of government tax relief, we could build two river ferries. What does the Council of State responsible for economic development think is the most important thing — two days of tax relief or the construction of one river ferries?
ParlaMint-NO_2016-04-27.ana.ud1895e1164	I actually thought the phrase ‘too little, too late’ was used up by the Workers’ Party. It was ‘too little, too late’, it was ‘too much, too early’. I think you have to decide. I live on and visit the West regularly. I do not experience any companies saying that they need increased taxes and taxes, on the contrary. The property tax takes the values that these companies owned last year. They're decapitating. They don't take dividends. What they're asking for is that we look at the tax system, because it helps increase uncertainty. I am concerned that we have good systems that companies should be able to use, as environmental technologies, as innovation schemes in Norway. Enova has increased frames. We have spent a lot of money on research, knowledge and innovation – 2.4 billion. kr from we joined in 2013. There is a clear and clear commitment to assist the companies in the conversion, but we must also be concerned about a... [[The President cut off]]
ParlaMint-NO_2016-04-27.ana.ud1895e1177	This question, from Jette F. Christensen to the Minister of Economic Affairs, has been transferred to the Minister of Transport who is directing the person.
ParlaMint-NO_2016-04-27.ana.ud1895e1180	‘Maritime nutrition is particularly affected by reduced offshore activity. If ships ordered for Norwegian ferry and short sea shipping use new technology, it may contribute to an increase in activity in the Norwegian maritime cluster. In other words, more environmentally friendly technology, higher earnings and more jobs at once. The working party wants the State to use its consumer power and, in a transitional phase, to cover the additional costs of using new technologies in the ferry offering. Why won't the government support this?'
ParlaMint-NO_2016-04-27.ana.ud1895e1187	Let me start by answering that there are some questions from the Labour Party about unemployment, and I'm very happy about that commitment, because it shares the government. What is sad, on the other hand, is that the premise for all the questions is largely wrong – also here. The government supports the development of new environmental ferries, we are just doing this. It is a challenge in Stortingen's Question Time, and when the Workers' Party has not received this after 30 months of work from the government, it is either we who have failed in the communication work, or one has not actually read what the government has reported to Stortinget many times. It's just ferry routes that are best suited for testing new technology, because a walk in a limited area, one has limited fairway, one goes in the same ports time and time again, and it's basically the same people who work there – an excellent place to test out technology. That is why we followed closely what happened to the ferry «Ampere», which was placed in order during the previous government and was put into operation under our government. Just because we think this is exciting and will test it out more, we have announced on the Anda-Lote section that we will have two more ferries going on that kind of technology. One must be an elf. The second may be so, or it should be applied to another low-emission or zero-emission technology, but not to today's technology. This is where things happen. Then it is strange to get a question from the Workers' Party that premises that the government is against the policy it is pursuing, because that is what the Workers' Party is saying. In addition, much is happening on shipping beyond the ferry sector. In the field of the Minister of Industry, I can mention that there are many support schemes in the field of green technology, just to get shipping companies and shipyards to test this out. We have made sure that rural power plants are built several places, through support from Enova, which now has record-breaking budgets. We have ensured that the use of shore electricity is now subject to a low electricity charge instead of a high electricity charge. It means an advantage of 10-12 ears now, compared to when the representative Christensen's party was in government. We ensure that the Nox Fund continues and has a lot of resources to invest both in the conversion of existing ships and to facilitate the construction of new ships. We're far from done. We have said that in the Coastal Works, a non-use option on today's contracts where the boats have been built abroad, precisely because we want to publish it again, with a stronger focus on environmental technology, where we know that Norwegian shipyards also have an advantage. The coastal works will purchase several other boats. The coastal works has accelerated maintenance etc., just to create activity. I think it is very good that the Workers' Party discusses how we can get more environmentally friendly technology into the shuttle, and how we can use available capacity in the Norwegian yard. But the solution to such a good debate is not to give the impression that the counterparty does nothing, when we actually have many measures and more than 30 months to refer to.
ParlaMint-NO_2016-04-27.ana.ud1895e1205	Then I understand the Council of State that the government does not oppose the Workers' Party's proposal that the State should use its consumer power and, in a transitional phase, cover the additional costs of using new technology in the holiday offer, just a fault or a typographical error – or something similar. It's always said away in the answers from the different government councils in this question session, that things are happening, that they're doing something. Nevertheless, as oil money is used, unemployment increases. My question to the Minister is, When can we see the effect of everything you do? Because it's impossible to see now.
ParlaMint-NO_2016-04-27.ana.ud1895e1212	First of all, I don't think it would be a good idea if my party friends in Stortinget chose to support a proposal from the Workers' Party that was actually less offensive than the government already had, because that would mean that one really said we should put the brakes on. When the Workers' Party has said that we should add 50 million. Environmental technology on the ferry fleet, I remember that only in the last four months has Enova allocated 270 million. kr to stimulate the construction of environmentally friendly ferries only in Hordaland. Should we go down to one-fifth of that level to support the Labour Party's proposal instead of continuing what we know the government is already doing? So the fact that one does not always support the opposition's proposal is not that one is against it, but that one just thinks it is too passive, too offensive. And when a government has already shown through various large-scale documents that the government is doing it, it's okay that we can disagree about the level and like about the device, too, but to give the impression – as one does here on the question – that the government does not support the work on new technologies on ferries, is simply to misinform.
ParlaMint-NO_2016-04-27.ana.ud1895e1219	I am reacting to it with ‘misinformation’, for now I have asked twice whether it is a typographical error or a misunderstanding that you are opposed to this proposal. I record that the minister does not respond specifically to what he says, is that things happen, that they do something. There are 140 000 unemployed in this country, and the number is rising: in Eigersund, unemployment has now increased by 130pst. in one year. Much of that hits the young hardest. Earlier in the Question Time today, the Minister of Finance could not admit that this was a crisis for anyone other than the individual. Can the Minister – after all from Rogaland – lift his eyes and see that this is not just a crisis for each individual, but a national crisis that we must face?
ParlaMint-NO_2016-04-27.ana.ud1895e1226	First of all, I explained why the representatives of big business do not always vote for opposition proposals if they think they are too passive in relation to what the government is already doing, so yes, I answered that question. So we see that unemployment is increasing, and then the question is, would it increase more or less if the Labour Party's policy had been implemented instead of government policy? My claim is that it would be even higher than it is today, unfortunately, because the Workers' Party believes that we spend too much money from the state, and not too little. That means there would be fewer public dollars in circulation, because the Workers' Party would rather save them abroad. And I don't think it's foreign fund managers that work the most in the situation we're in right now. Then we've made changes, for example. improved the framework conditions for green data centres, improved the framework conditions for power-processing industries, renewable energy and for road and rail investment and maintenance, which have been doubled in recent years. If we had continued the Labour Party's maintenance policy, we would have had 4 billion. kr less in commission to the construction industry this year compared to what we actually have with today's government. My claim is: There is lower unemployment now than with the Workers' Party, but unfortunately it is increasing because there is a major shift in progress, and therefore it must... [[The President cut off]]
ParlaMint-NO_2016-04-27.ana.ud1895e1237	The number is out.
ParlaMint-NO_2016-04-27.ana.ud1895e1245	«South-West is hit by increasing unemployment. Many companies have been through several down-staffing rounds, and among other things. in the maritime sector, a number of enterprises are losing valuable competences they need in order to create new and better solutions. An increasing number of immediate demand for measures in the form of action packages. We also heard that last week when we had consultations with the business community in the state council's home town of Bergen. Does the Council of State consider that there is a great need for counter-cyclical measures that can keep employment up in this situation?’
ParlaMint-NO_2016-04-27.ana.ud1895e1252	As the representative points out, there are challenging times in the South and the West. I both live there and visit regularly companies that are affected. It is clear that our ability to change in the labour market, in industry and in the public sector is being tested in the future. Lost jobs in private business must be replaced by jobs in private business. For this reason, the government presented a package of measures for increased employment, in particular targeting those parts of the country and those industries which are particularly facing a demanding situation. Maintenance work on construction and infrastructure are examples of this. We are now working on implementing a maritime strategy that was adopted last year, with 69 measures. It includes strengthening the seafarers’ subsidy scheme and measures to get more ships to fly home. So far, 16 ships have flagged home, and we expect more. We have also launched several measures to help secure jobs in Norwegian shipyards. It includes more funds for the maintenance, upgrade and construction of ships. We have set up a conditioning system and strengthened the innovation loan scheme to contribute to the green renewal of the short sea shipping fleet and to the reduction of annual fees for vessels in charge. These are demanding times, but I believe that the Norwegian shipyard industry will continue to claim itself. That's why it's happy when, for example. Kleben Verft signs an agreement of intent to build new ships for Hurtigruten. The monetary policy is the first line defence in the stabilisation of the Norwegian economy. The crown has weakened, and the social partners have taken responsibility and contribute to low wage growth. Overall, the competitiveness of Norwegian business has improved. The government has also announced that, in the context of the revised national budget for 2016, we will propose to the Stortinget amendments to the permit regime for 52 weeks. There is a system that can allow enterprises to maintain skilled labour through a period of temporary restrictions. So we're going to follow the situation closely. We are taking action both in the short and long term. We've done that up to now, and we're going to do that in the future.
ParlaMint-NO_2016-04-27.ana.ud1895e1271	There are many things that are being rammed up here, but the thousands of unemployed indicate that they feel that there is an actionless government council that comes with comforting words and has a waiting-and-see attitude, and that the package of measures delivered in the autumn has had little impact so far. It does little for those who stand in the Nav queue, to listen to fine words when there are no new jobs of it. The councils were aware that it was important to get the activity up. Then it's interesting to know what the state council is doing to push the activity, for example. on a Norwegian base - things to do about maintenance work and field development. But one also needs to be offensive in relation to the coastguard ships and the tenders in connection with them, and not least holiday offers. So it's interesting to ask the Council of States: will there be any measures that will work now, and has the conditioning system at all had any effect so far?
