ParlaMint-NO_2016-11-16.ana.ud119e28	The called alternate of the Nordland County, Anette Kristine Davidsen, now takes the seat.
ParlaMint-NO_2016-11-16.ana.ud119e553	Let's move on to the next main question.
ParlaMint-NO_2016-11-16.ana.ud119e558	The growing inequality in Norway affects not only the poorest but also people at work. The low-paid people get an ever smaller part of the cake, showed a report from the Centre for the Formation of Wage, which is mentioned this week. At the same time, housing costs explode for many people around the country. A short time ago, I met municipal workers in Tromsø who told me how more and more people are experiencing that a normal income of labour does not extend to achieve the dream of owning their own place to live. Young and low pay are excluded from the housing market, and many families are concerned about how to deal with debt if interest rates increase or a decline in the housing market. It's about people's economy, but it's also about power over their own lives. There is a big difference between living in an owner-occupied dwelling and living in someone else's dwelling. This autumn, SV has repeatedly challenged the Minister of Finance to come to Stortinget with new measures to make the housing market work for the many people who are on the outside today. She pointed to the state budget. In the state budget, there was nothing like monks. There are people for whom the housing market works well. It's very lucrative to speculate and invest big money in property. There's talk about how young business people who want to go up and down buy homes instead of start businesses. The government conducts an elitist economic policy when it makes it increasingly profitable to draw income from what the richest picks up their money — inheritance, wealth, property — while there is a high tax on ordinary people’s labour income. It is possible that the total burden of action in housing policy is due to this great concern for them at the top, as the government is still showing. The country’s economists are concerned, the IMF considered in July that the Norwegian housing market was 40 pst. The overprice, but despite all the warnings, the government doesn't seem to worry. Can Erna Solberg now, unlike the Minister of Finance, notify one new measure the government will take, which will address the situation in the housing market?
ParlaMint-NO_2016-11-16.ana.ud119e570	We've done a lot like monks on the housing market situation. The most important thing we've done is many simplifications in the planning and construction processes that make it possible to build faster, which makes it possible to bring down the time it takes from planning new residential areas, until we can actually see new dwellings. Many places in this country are the main reason why we have increased housing prices, that we have built too little for several years. Fortunately, we now have a large start on new dwellings, and more homes entering the market will help to balance the price growth over time. The second thing we do is a consequence of the tax reform we're implementing. When we make reductions in net tax and increase gross tax, which is an effect of what we do by reducing the tax rate, that means that the interest rate deduction will be slightly less important than it has before, and it will also mean limiting the incentive that lies in the tax system. We've also made sure to adjust the valuation of secondary dwellings in several ways. It also means that investing in another dwelling to just rent it out or have it is not prioritised in the tax system, as it has been in the past. But it is clear that as long as housing prices increase greatly, and as long as there is a lack of enough housing and housing in the municipalities, there will be an increase in prices in press areas, where many move. That is why we must both do something that reduces incentives – we have done – and at the same time ensure that we build enough, so that not an underlying imbalance between supply and demand is what drives prices up. But there's no need to do that like that. In this city, make sure that people are even more expensive to live when you add a property tax that, after the last estimates, will hit about. 50 pst. of all the dwellings in the city.
ParlaMint-NO_2016-11-16.ana.ud119e581	Then I can enjoy the Prime Minister that the tax scheme proposed by SV in Stortinget will both do something about the price increase by moving taxes from work to property while at the same time giving more tax credits than the Prime Minister has proposed, for anyone who earns less than 600,000 kroner. Then we can both bring down the differences and dampen the price pressure. But I didn't ask what the government had done, because it's obvious that what the government has done is too little. It is also obvious that the government has the wrong diagnosis when they are just talking about that it is being built too little. The right has run Oslo for 18 years, obviously without building enough. They've been driving Bergen for 12 years, obviously without building enough. But this includes, among other things: The fact that we have a tax system that is rigged for speculation and wants to grow prices, which makes it so incredibly lucrative for them with a lot of money to put money into property, which is the problem. That doesn't just say SV. Most leading economists say that, OECD says it, etc. They tend to listen to the Prime Minister. So I repeat my question: does the Prime Minister have one single new measure that can give hope to those who are now losing in the housing market?
ParlaMint-NO_2016-11-16.ana.ud119e590	We are in the middle of the implementation of the tax reform. That means we're stepping down further. This means that there are measures in this budget, too, when the tax rate goes down on net taxation and on gross taxation in our tax system. The changes we have made to the simplifications in the building block for smaller apartments mean that OBOS can reduce the size of the dwelling and ensure that the sale price of small apartments is reduced by between 300000 and 400000 kroner. It is a huge simplification and opportunity for young people to enter the housing market if they cut between 300000 and 400000 kroner in the construction costs of the housing law. The simplifications in the construction code that the government sent on consultation a few days ago may reduce the cost of small dwellings by an additional NOK 130 000. That means that when it's built, it's built cheaper in the future. It will also be a contribution to the selling prices, not least because in parts of this market the selling prices reflect the cost of building a dwelling.
ParlaMint-NO_2016-11-16.ana.ud119e595	There will be follow-up questions – first Karin Andersen.
ParlaMint-NO_2016-11-16.ana.ud119e600	The Prime Minister’s reply shows that she does not know how prices in the housing market are set, nor how they are too common people with very common jobs and low wages. So there's no correlation between the construction costs and the price development, so I have statistics here that the Prime Minister can see. Housing prices are put on the market, and it's been expensive on that market very many other places in the country than here. The right-wing representative Kapur says so arrogantly when SV presents its package to help ordinary people, that SV will solve a local Oslo problem on Grünerløkka. Then I can tell you that the housing prices, for example. Hamar, where I live, has increased by 15 pst. in one year – yes in Hedmark, for the part, which may not be a press area, by 11 pst. They've increased in Trondheim by 12 p.m., and they've increased all over the country. So the problem here is that ordinary people with normal wages can't live. Does the Prime Minister agree with his party colleague that this is only a Grünerløkka problem?
ParlaMint-NO_2016-11-16.ana.ud119e605	One consequence of the improvement in the economy, the creation of more jobs, is that you sometimes get price pressure in the housing market. I'm glad that inland is now going well, that we have record low unemployment there, instead of the picture that we had just a few years back, that they were in the shadow, that there were deportations, and that there were challenges. So in a way, there are some good sides, because there's now more growth and more economic development in parts of District Norway, like that. Inland. So it's not like what I've mentioned doesn't matter, because construction costs have a meaning. When OBOS sells apartments, they do not sell them on a market price, they sell on a building cost basis, with a return on the investment made. And when you get more access to small apartments in areas where there's a lot of demand because of households on one person or another, and when you fill it in the market, the price pressure on the smallest apartments will also go down. This helps to increase the possibility of building more, more curative apartments into the lowest markets.
ParlaMint-NO_2016-11-16.ana.ud119e612	Torstein Tvedt Solberg – for follow-up questions.
ParlaMint-NO_2016-11-16.ana.ud119e617	The Labour Party believes that we need to do more to help young first-time start-ups enter the housing market. That is why we have made a number of concrete proposals here in Stortinget. The government has been passive and at the same time has run from its own election promises. Before the 2013 elections, Right-wing young voters promised to reduce the equity requirement. In the government this was quickly canceled. Then one might think that the government came up with other measures to help young people in the start-up phase into the housing market, but the government has also reduced the loan framework in the House Bank and made it more difficult for young people to get a start-up loan. Under this government, measures have been reduced and the entry into the housing market for young people has become more difficult. Is there an ideological belief that the market itself should settle, which stops this government from helping more young people enter the housing market?
ParlaMint-NO_2016-11-16.ana.ud119e624	It's not an ideological belief that it's the market that solves everything, because we know that in our country, for example, is. what is going on in housing and residential development, through regulation. That is why we are now implementing all the changes that make small dwellings more accessible around the country. Because the cost of building the small dwellings is even smaller than building the larger ones — because of the changes we have made — access to homes that are a natural first-time home in most cities in this country for a youth is better, because it makes it easier to do so. The challenge is that in some places local politicians choose to regulate only for larger homes anyway. For example, in this city there is a discussion about whether to regulate several small dwellings or whether to regulate to medium and large dwellings. The fewer small dwellings there are in a housing market like in Oslo, the higher the prices of the first dwelling that people buy. So I totally disagree with the description of what the government's policy is, and I disagree with the glamour of the Labour Party's policy. Practical policy means that it does not contribute to, for example: that Oslo will have a better balanced housing market for young people to establish itself in.
ParlaMint-NO_2016-11-16.ana.ud119e631	Heidi Greni – for follow-up questions.
ParlaMint-NO_2016-11-16.ana.ud119e636	Lack of new construction is a problem around many municipalities in the country. While housing prices speed up in the big cities, parts of Bygde-Norway have the opposite problem. The housing prices stagnate, and have the courage to take the risk of building a new dwelling, because one has to expect large losses if the dwelling is to be sold one day. The construction costs far exceed the market value. In 2015, the government decided to remove the budget line ‘Dwelling in districts’, despite the fact that the evaluation of the scheme showed good results. Among other things, it says: ‘The measures have resulted in local optimism and have had positive effects on a housing market which had initially remained silent, both for residents, for the municipality and for the business community.’ That's 20 million. kr, which the Centre Party also enters into the alternative budget of the year. What is the government's reason for cutting the project after receiving an evaluation that was so unambiguously positive?
ParlaMint-NO_2016-11-16.ana.ud119e649	I do not know the details of all grant items from the 2015 budget about the exact reason that was given. But with regard to the changes we are making in the building regulations: it's important to remember for the Center Party that when the Bondevik II government was in place, we made simplifications in the building regulations -- we would make it easier to build homes to bring down costs. Some of the simplifications that I carried out at the time, they were angry when they were in government. They significantly increased construction costs for all dwellings in Norway. Now we have taken action to reduce the construction costs of small dwellings, but also through the changes made in the construction regulations now, costs are lower. This means that it will be easier for people to build even in the districts, where they might have to sell their home later, in a market that has less returns. That means more than 20 million. SEK in an aid grant if you get NOK 130 000 less in costs, related to the new proposals we have out at the hearing. We're doing something about this. The increased costs. We're reducing costs.
ParlaMint-NO_2016-11-16.ana.ud119e656	Let's move on to the next main question.
ParlaMint-NO_2016-11-16.ana.ud119e661	The State budget has led to a significant climate debate. The few are satisfied, and it may not be surprising. There is a lack of willingness to propose concrete measures to reduce greenhouse gas emissions in the existing State budget. Should we be able to achieve the Paris goal of 40 pst. emissions cut by 2030, it is urgent. The measures should be adopted during this ageing period if critical actions are to be avoided. The Labour Party therefore presented in February more than 40 climate proposals in Stortinget. In the climate package in our alternative budget, we are now following up on several measures that need to be taken to achieve the Paris objective and that can meet our commitments. I have often challenged the Minister for Climate and Environment to come up with concrete measures so that Norway can reduce greenhouse gas emissions by 40 pst. by 2030. The climate minister has constantly asked us to wait for the EU. When the majority of the population adopted joint implementation with the EU in 2015, the Stortinget suggested that the bilateral agreement between Norway and the EU would be in place during 2016. Now it is clear that this will last, at least until in 2017, most likely 2018. But so long it is not wise to wait. It will take time for new measures to work, and that is why we need to start now. There's only 13 years left until 2030, in other words, it's urgent. The climate minister’s strategy is obvious: to wait until emissions cut. My question is therefore: does the Prime Minister share the belief that Norway best achieves the Paris objective by waiting for the EU to reach an agreement on the allocation of resources between EU countries, before promoting concrete and adequate measures?
ParlaMint-NO_2016-11-16.ana.ud119e672	The government is not waiting. We do a lot in the different areas, with a lot of action. What we're doing now is we're implementing a number of the measures that the Labour Party said no to when we negotiated the climate agreement. We ensure that the climate fund has more money, in line with what we said we wanted, and as the Labour Party and the other red-greens said no, as we sat and negotiated the table about how much money Enova should have. We have also said in next year's budget that we are now going to secure those transfers without there being any uncertainty about the interest conditions of a direct transfer. We've tried to compare what the Labour Party is doing in its budget, and what they're saying about it, with what we're proposing. We will probably find in all our calculations that the Workers' Party has a deficit in the climate fund in relation to what we have committed for 2018. We implement e.g. another electric car policy. I heard this morning that we should now tighten up the electrical car policy on the part of the Workers' Party. We have implemented the electric car policy we wanted in the climate agreement, namely that we should have the electric car benefits secured out in 2017 and for 100 000 cars. As we know, the result was 50,000 cars at the time. So we have pursued a long-term policy that contributes to this. We also do a lot to ensure that companies are able to make the right investments. That is why we have many innovation instruments. Enova contributes. And maybe the most important thing we did early in the period was to make sure, when Transnova entered Enova, that we got a much stronger investment in the transport sector. This means that we have now used – subject to my standing on the Spokesman's chair and taking this number from my head – approx. $800 million. kr to the type of transport-oriented action through Enova during the last year and a half, more than what has been proposed in such earmarked items from batches on the Storting, because we made this systematic change. So we're going to make sure that we lay the foundation for emissions, through that policy.
ParlaMint-NO_2016-11-16.ana.ud119e683	The Prime Minister and the government's problem is that the policy is not working. Greenhouse gas emissions are rising. It's a fact. The climate is also well lit in today's VG and is probably also an expression that climate policy does not actually work. When a reader reads what the Minister for Climate and Environment says, it is obvious that the EU is going to make a climate revolution in Norway. Of course, that's not going to happen. It is the government that has to put forward proposals for action in Norway — measures they have so far failed to provide and measures that may not work. It's right here the problem with today's government is. Not one concrete new measure has been promoted during the three years when today’s Prime Minister has led the government. I wonder if it is that, when the Minister for Climate Change and the Environment constantly refers to him waiting for the EU, it has become a fact that it is the EU that has to impose climate action on the government in order for the government to choose to present climate action that works. Is there disagreement in the government that is the basis for this? [[The President cut off]]
ParlaMint-NO_2016-11-16.ana.ud119e690	Time's up!
ParlaMint-NO_2016-11-16.ana.ud119e695	I think it's just the Labour Party that can believe that post that we just heard. We have proposed strengthening many of the climate measures. We're going through the sectors systematically. The Green Competitiveness Committee, which we set up, has now had good dialogue with all the major sectors of emissions in Norway to help increase competitiveness, but also what is needed. We have good road maps that you can build on, and we're going through it. In those vulnerable, a lot of the measures we have taken are, for example: putting Transnova into Enova, which actually makes them spend a lot more money into the transport sector, to bring emissions down there. It's one of the important and critical areas we're working on towards 2030. In car policy, we have made changes to the one-off charge, which is, after all, a new measure – if you want to. The one-off charge plays a major role in the replacement of the car fleet and contributes to the reduction of emissions in the future – including in relation to the climate. This is because the increase we have now seen is largely due to decisions taken in the oil and gas sector under the previous government.
ParlaMint-NO_2016-11-16.ana.ud119e702	It opens for follow-up questions – first Audun Otterstad.
ParlaMint-NO_2016-11-16.ana.ud119e707	It would have been interesting to hear if the Prime Minister and the Right/Fremskrit party had reservations about increased greenhouse gas emissions when the government statement was presented after agreement had been reached with the Christian People's Party and the Left on an agreement. When the year's budget was presented, it was estimated that the emission cuts would be 0.2 million tonnes. Is this what the Minister for Climate and Environment describes as the green revolution in today's VG?
ParlaMint-NO_2016-11-16.ana.ud119e714	0.2 million tonnes is the effect of the four tax changes. That's not the long-term effect of the changes we're making in very many other areas. So now I actually think that the Workers' Party gives a very sign and simplified piece of a very difficult topic. However, when you ask questions about what kind of emissions, it might be interesting to hear: Of the emissions that increased from 2014 to 2015, approx. half of the emissions in industry, measures in the oil and gas sector adopted and implemented under the red-green government. The second part comes from the fact that Yara produces more ammonia and has more jobs in Norway. They're part of the allowance system. Is the Workers' Party against Yara having more jobs in Norway and producing ammonia and being part of the industrial journey in our country?
ParlaMint-NO_2016-11-16.ana.ud119e721	Rasmus Hansson – for follow-up questions.
ParlaMint-NO_2016-11-16.ana.ud119e727	I don't know if I'm going to call it ‘fascinating’ or ‘depressive’ to hear the Workers' Party and the Right criticise each other for bad climate policies. They're so right, both of them. The working party spent eight years designing and practicing a climate policy that was clearly aimed at not cutting emissions in Norway. It was a perfect, successful policy. No emissions were cut at all, and the Labour Party was responsible for sabotaging Norwegian climate policy for eight years. But of course it is brilliant that the Workers' Party will now be involved in being the offensive and challenging Right. And the right hand side can answer that. The Prime Minister can now make it clear that she is the best at climate policy by answering yes to the following questions: Can the Prime Minister guarantee that the demand of the climate agreement to cut Norwegian emissions to 47 million tonnes, from today's 53 million tonnes, will be implemented with the policy put forward now?
ParlaMint-NO_2016-11-16.ana.ud119e732	We've said a long time ago that it's going to be hard to achieve. We're going to meet our agreement, we're going to reduce the large emissions. But we may not be able to get so much of the emission reduction in Norway. This is due, inter alia, to: the allowance system, which was an important part of the climate agreement, that 50 pst. our emissions are regulated through the allowance system. When we had that discussion and made the agreement, we assumed a significantly higher quota price than it has been in the allowance system. This means that there is less impact of the quota system on reductions in Norway and new technologies. Then we have had an increase in the population that is larger than we saw when we entered into the climate agreement, and it also makes the transport sector contribute. But we have very big fractures that we're looking at in the future, technologically. That means that we think it'll be possible to reach 2030, but it's going to take a lot of us. By 2020, we will meet the climate agreement's ambitions with regard to the Kyoto agreement and the reductions we are going to have linked to 2020, but we are not sure if we can manage all the cuts in Norway.
ParlaMint-NO_2016-11-16.ana.ud119e741	The oral question procedure is now over.
ParlaMint-NO_2016-11-16.ana.ud119e755	There will be some changes to the set-up questionnaire, and in this respect the President will refer to the electronic question list. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 2, from the representative Lise Christoffersen of the Minister for Finance, will be answered by the Minister for Labour and Social Affairs who directs him. Question No 5, by Mr Aukrust, representative of the Minister for Transport, lapses because the representative is not present. Question 10, from the representative Per Rune Henriksen to the Minister for Climate and Environment, will be answered by the Minister for Transport, who will direct him. Question 11, from the representative Per Olaf Lundtigen to the Minister for Climate and Environment, is postponed to the next Question Time when the Council of State has left. Question 17, from the representative Øystein Langholm Hansen to the Minister for Health and Welfare, will be taken up by the representative Torstein Tvedt Solberg. Question 20, from the representative of Trygve Schlagsvold Vedum to the Minister for Health and Welfare, was moved and answered on request to Question 29, to be answered by the same Council of State. Question 21, from the representative of Stine Renate Håheim to the Minister of Health and Welfare, will be raised by the representative of Rigmor Aasrud. Question 22, from the representative of Anette Trettebergstuen to the Minister for Health and Welfare, will be taken up by the representative of Audun Otterstad.
ParlaMint-NO_2016-11-16.ana.ud119e783	‘Right-wing leader Erna Solberg promised in April 2013 a massive journeylift in the Tromsø region to approximately SEK 5 billion if they came into government, including new Kvål link, Tin Tunnel, Ullsfjord link and toll-free E8 through Ramfjord. Solberg said to Nordlys on 23 April that "these are projects that we promise to start if we win the election". After three years, not one metre of these projects are under way. Where was it by the Røres transport lift for the Tromsø region?’
ParlaMint-NO_2016-11-16.ana.ud119e796	When the Stortinget dealt with the National Transport Plan for 2014-2023 in June 2013, the Right wanted to include a road package for Tromsø as part of our long-term thinking for the development of the Tromsø region. I want to remind the representative Henriksen that his own party and cooperation parties voted down Højre's proposal, and that today's NTP therefore does not contain this road package. However, I can assure you that the government has not forgotten Tromsø in the considerable effort we are now making in North Norway. Under this government, roads are built and maintained in North Norway as never before. With a commitment to maintenance and renewal that has nearly doubled, the decay on the highways of the country is cut for the first time in decades. In addition, we are building a lot of new things. New E105, new Tana Bru, new E6 on Helgeland, tunnel in Rv.77 Mountain and E6 through Sørkjosjellet and Nordnes to mention some examples. Our targeted travel promise means a lot to take out the potential we have in the north, where distances are large and good infrastructure is important in order to strengthen competitiveness and secure travel. In the four-year period 2010–2013, North Norway had a total of 5.4 billion. kr for national road investments. Following the presentation of the 2017 government budget, the national section is expected to have a total of 12.4 billion. kr for the period 2014-2017. It represents more than a doubling of the investment funds. For the current four-year period 2014–2017, North Norway is expected to reach nearly 1.3 billion. extra kr to the county roads. In addition, funds for upgrading the tunnels and earmarked grants through the interest-rate compensation scheme for transport measures in the counties, with an investment framework of more than 400 million. NOK in North Norway, a scheme that the Workers' Party wanted to remove. Although the Tromsø package was not part of the NTP, planning of several projects in Tromsø is in progress. The E8 in Ramfjord was one of the first things this government took on. Finally, the Road Administration of the State is sending planned proposals for this measure at consultation in March to April 2017. The government will return to NTP 2018-2029 on the prioritisation of the matter during the planning period. The government parties also, together with the Christian People's Party and the Left, quickly set up a ferry relief scheme for the county roads of 40 years. This includes, inter alia: important for the Ullsfjord link, for which the Trom County Municipality has started the design. The government has contributed to the further development of the transport system in Tromsø with several measures, and I would like to highlight the improvement of the crossing at Breivika port, where it is now guaranteed to start in 2017. When we presented our alternative national transport plan in spring 2013, we said that during that planning period we would take major action for Tromsø. We're doing well.
ParlaMint-NO_2016-11-16.ana.ud119e809	I thank the Prime Minister for the answer. We've heard the scribbler list before. In fact, in the case of county roads, there is a consensus about that bet, there was a bet that started in the red-green NTP. With regard to the investment in the national transport plan, the government is about what was presented by the red-green government, but has also not brought any new projects. What I asked about, was that this is the last chance the Right has to follow up its more sunny election vows from the 2013 election campaign on projects to 5 billion. kr in the Tromsø region. The fasitite so far is that the spade is not set in the ground for any of them, and the planning is not accelerated. At that time, the Right-Leader did not make any reservations about the NTP decisions in the spring of 2013, that normal local processes must also be carried out, or that these promises did not really apply during this majorisation period, but during the next majorisation period. I would like to ask the Prime Minister about one of the concrete projects: is it that the government will introduce a government share that will allow them to continue to guarantee that E8 into Tromsø will be toll-free?
ParlaMint-NO_2016-11-16.ana.ud119e816	The newspaper inventory on which the representative is based is a newspaper release based on the presentation of our alternative national transport plan. As the representative knows, in the previous period, the national transport plan is a 10-year perspective. What we said was that we should get started with this package. It was not adopted in Stortinget as a complete package, but we are implementing measures within this package. All projects take time to plan and complete. The E8 will be consulted in the spring with the completed plan, and then it will be against the national transport plan we are going to make an assessment of how much and what system it is going to be. I cannot foreshadow the government's treatment of the national transport plan now. The representative must wait until the national transport plan is presented. But it is not that everything was to be done for a four-year period. Work was to be based, and it was to be included in the national transport plan — and the work is in progress.
ParlaMint-NO_2016-11-16.ana.ud119e821	With regard to the E8 to Tromsø, the first government did, to set aside the state plane, so that way takes longer to get in place. But Erna Solberg's promises in 2013 made no reservations about what she is now saying. What she said, on the contrary, is that these are projects that we promise to start if we win the election. It's not everybody else's fault, it's not local processes when we see that the Right has delivered 0 of 5 billion. kr in their promises. The right must take responsibility for its own promises. I can understand that you take a little extra in a campaign, when you want a lot, but this still stands as one of the worst examples of shameless election struggles in modern political history. With the words that the Prime Minister now came up with, I would like to ask the question: can the Prime Minister now guarantee or at least notify that these four projects that she promised in 2013 will be within the next national transport that the government is submitting?
ParlaMint-NO_2016-11-16.ana.ud119e826	It is not that we can advance the national transport plan for the next year. The presentation on 23 April was not part of the election campaign, but it was our alternative National Transport Plan for the next ten years, and we have started the work. When we made changes to the E8, it was because there was a local desire to review this in another way. We've respected local policy, we think that's an important part of the work we're going to do. With regard to the infrastructure around large cities, we must also listen to local politicians in that region. So that's why we've had a round. Starting a project is about starting up and working with the project in a way that makes it possible to realize, and we have added that to the work that has been done so far.
ParlaMint-NO_2016-11-16.ana.ud119e834	This question, from the representative Lise Christoffersen to the Minister for Finance, will be answered by the Minister for Labour and Social Affairs who directs him.
ParlaMint-NO_2016-11-16.ana.ud119e839	‘From 2016 onwards, the government made a change in cap. 2370 Random expenditure under the Ministry of Finance, which resulted in social security schemes no longer being dealt with in the Storting, for protests, among other things, by pensioners’ organisations. This consequence was not described in the Ministry of Finance’s 2016 proposal. Was the Council aware of this when she presented the budget for 2016, and if not, will she take the initiative that the Storting will again receive social security benefits for treatment in the usual way?’
ParlaMint-NO_2016-11-16.ana.ud119e846	More expenditure budgeted under the budget of the Ministry of Labour and Social Affairs is covered by the regulation of the basic amount of national social security in the annual social security scheme on 1 May. Until the financial year 2015, expenditure related to the next year’s regulation of the basic amount and pensions was not included in the expenditure estimates of the Ministry’s budget for the coming financial year. As a result, before the summer of the financial year, a proposal with additional appropriations was presented as a result of the regulation of the basic amount and pensions from the population’s backlog on 1 May. From 2011 the regulation of the basic amount is regulated by law and regulation. The new regulatory provisions laid down in the law require the base amount to be indexed to the wage growth of society. Taking into account the estimate of next year's wage growth, as estimated in the national budget, and the rules on how to regulate the different benefits, estimates of benefit regulation can be calculated next year. Thus, once the Storting has established clear and predictable rules for the regulation of pensions, it is possible to take into account pension expenditure in the budget of the Ministry of Labour and Social Affairs already in the State budget. Therefore, when examining the 2016 government budget last autumn, a change was adopted in the budgeting of the expenditure resulting from the regulation of the basic amount and pensions. The estimated impact of the current year’s regulation was budgeted for relevant items in the Ministry of Labour’s budget, as opposed to previous budgeting practices of Chapter 2309 Random expenditure under the Ministry of Finance. Since the funds had already been allocated to the Ministry of Labour and Social Affairs’ budget, it was not necessary to promote a separate proposal in the context of the year’s social security settlement to move funds from one budget line to another. This conversion of budgetary practices is a simplification and an improvement in the efficiency of budgetary work. It has no real significance for the implementation of social security schemes. Discussions with organisations on the standard statistical basis for regulation shall continue. Otherwise, I show that the government has submitted a separate notice on the regulation of pensions in 2016. The notification contains much of the same information as was provided in the previous budget proposals, but also information that was not previously submitted to the Stortinget in the so-called social security proposal. I think it's important to show an overall picture of the economic situation of the pensioners. Therefore, the Communication also sets out the developments in the overall income ratio of pensioners in recent years. The notification has been submitted so that the Storting will be aware of the content when the Storing deals with the State budget for 2017.
ParlaMint-NO_2016-11-16.ana.ud119e863	I asked a very simple yes- and no-question question, and it was addressed to the Minister of Finance, the leader of the Progress Party. She does not want to answer the question and has therefore sent a Right-State Council instead, and I understand why. After all, the Progress Party has run from its promises to the pensioners to the degrees that the Pensionist League, in the context of the 2015 Grand Prix Double Game settlement, called the Progress Party the conduct of a ‘pig-tackling’ and said so strongly: ‘Juks and Fantery never pay off.’ That’s hard, but clear speech. Former Progress Party State Council Robert Eriksson said here in Stortinget that there was nothing in the way that the social security settlement could also be presented in the future in a normal way. It hasn't happened. What I then wonder is whether it was before or after the Right took over the Department of the Advancement Party, that the government decided that the Storting should no longer be settled in the usual way.
ParlaMint-NO_2016-11-16.ana.ud119e870	After all, the budget for 2016 was presented before there were changes in political leadership in the ministry. I'm also glad I have the opportunity to tell you a little bit about the government's policy. There is no doubt that the government is giving priority to the pensioners' economy. The government proposed to increase the basic amount of married and cohabiting pensioners, a proposal against which the Labour Party voted, which was a significant improvement in the income of married and cohabiting pensioners. The government has proposed several tax reliefs that benefit pensioners. The size decided to improve the economy of the minimum pensioners, to mention something. The communication submitted to the Storting also shows the impact of these decisions on the economy of pensioners. It involves a substantial improvement in their economy, and some of it has therefore voted against the Workers' Party.
ParlaMint-NO_2016-11-16.ana.ud119e877	It is well part of the story that the Workers' Party took the initiative that the minimum pensioners actually got something, and it also belongs to the story that there are some lonely pensioners above the minimum pension level who have had to pay the price in order for married and cohabiting people to get more. We have today had a hearing in Stortingen on the social security bill, and there were only two organisations that met. The others may have given up, but the message was still clear: the organisations want to deal with the social security situation in Stortinget in the usual way. In the Question Time of 1 June this year, the Council of State stated in reply to the undersigned that the social security scheme is being implemented as before. No, it doesn't. It's not coming to Stortinget until almost six months after it's finished, despite the statements from the Robert Eriksson of the Progress Party here in the Stortinget on treatment in the usual way. So what's happened since that time? Has there been a performance in the matter, or does both parties of government, the Party of Advancement and the Right, now believe that the desire of pensioners for the treatment of landfill is a completely unreasonable claim?
ParlaMint-NO_2016-11-16.ana.ud119e884	The way in which pensions are regulated was proposed by the previous government, adopted by the Stortinget, and this government has decided to remain loyal to the regulation of the Stortinget. So the regulation of pensions happens the same way as before. Social security arrangements and social security discussions are carried out in the same way as before. The size of the case is presented with statistics and protocols to a greater extent than before. So the difference is when in the year Stortinget gets informed of the matter, and where the allocation is posted. So there are no changes in reality for the pensioners' economy, and everything else is carried out in exactly the same way as under the previous government.
ParlaMint-NO_2016-11-16.ana.ud119e892	‘A crowded community economy is giving municipalities major challenges in providing good enough services to our older people. Elder care is under strong pressure in many places, documented by the elderly themselves, their relatives and employees in the sector. How can the Council of State view the elderly in the eyes of the country and defend that this government deprioritises the care of the elderly, while at the same time giving large tax cuts to the richest of the country?’
ParlaMint-NO_2016-11-16.ana.ud119e899	The government prioritizes the care of the elderly and gives municipalities better framework conditions than the red-green government in its period of time. In order for municipalities to be able to further develop services, they need financial space for action. Taking into account the additional costs of municipalities related to demography and pensions, we see that the action space for municipalities as a whole is clearly larger under the civil government from 2014 to 2017 than it was under the red-green from 2011 to 2013. Even when we compare the actual development of free income, the speech of the figures is clear. The average annual real growth rate for municipalities in the period 20l3–2016 was 2.2 pst., while under the red-green ones from 2009–2013 it was 1.4 pst. If we look at the real growth per capita, it was on average 1.1 pst. in the years 2013 to 2016, against only 0,1 pst. under the red-greens from 2009 to 2013. The municipal operating performance in 2015 was the best since 2006, and there is good reason to assume that the operating performance will be at least as good in 2016 as last year. That means that the municipalities have a better room for action under the bourgeois government than they had under the red-green. In addition to strengthening the economic space of municipalities in order to improve the services of the elderly and others, the government has strengthened care services through a number of state measures. The Government will assume greater responsibility for the capacity and quality of care services. We've increased the average state grant rate per day from 35 pst. to 50 pst. of the maximum installation cost per site. The government is now taking half the investment cost. In 2014, we increased the commitment framework for the scheme by €1.85 billion. kr in addition to the previous government proposal and provided both an increase in the grant share, an increase in grants to press areas and the possibility of a grant of 2 500 places. This strengthening has been followed up in the budgets for both 2015 and 2016. In 2017, we continue the increased grant rate and propose a commitment framework that facilitates the creation of 1,800 places. We have also provided several thousand day activities for people with dementia in the period 2014-2017. In addition, we are now implementing an important community reform. This means that the communities now joining together strengthen their professional environments, strengthen their skills and provide the best basis for providing better services to citizens in the decades to come.
ParlaMint-NO_2016-11-16.ana.ud119e912	I'm dealing with the reality that's out there. One hits employees, one hits relatives, and one sees older people who don't get the help they need. One sees a strong pressure on this service. What's clear about the numbers is that this government over time has given $6 billion. kr in property tax code. It is equivalent to 6,000 nursing homes or 7 000 to 8 000 nurses. These are the priorities of this government. The question is simply how the Council of State can defend the government's redistribution policy with great tax cuts to those who have the most when you see what it leads to, namely, greater differences and welfare.
