ParlaMint-NO_2016-10-19.ana.ud107e28	The representative, Mr Pollestad, will present a proposal for a representative.
ParlaMint-NO_2016-10-19.ana.ud107e481	In the context of the police reform, a review of the special agencies, including Ecocrim, was postponed. Riksadvokat Tor-Aksel Busch has been out in the media and said that Ecokrim has had to drop many cases because of lack of finances and instead left these kinds of cases to the local police, who do not have sufficient and necessary competence in the field. Economic crime undermines the ability to provide a good welfare offer to the population — and trust in the public. In 2016, a cross-border analysis and intelligence centre has been established against financial crime, and it is important that the Ministry of Finance and the Ministry of Justice cooperate in combating this type of crime. What initiatives has the Minister of Finance taken against the Minister of Justice in order to combat financial crime to a greater extent in the future than we have achieved?
ParlaMint-NO_2016-10-19.ana.ud107e486	I am asking for an understanding that the details of the follow-up to the special bodies must be given the opportunity to reply to the Minister of Justice, not the Minister of Finance. But to the general question of economic crime, I would say that it is a high priority area of action. The government has prioritised resources to combat the crime of working life, and we have launched several projects around the country where different agencies work together, precisely with the aim of speeding up the detection and not least indicting serious financial crime and labour crime. The results are getting pretty good, but this is also a work in which the government has involved the social partners, and it is now starting to produce results. I'm very pleased with that. But we're in no way in the goal. So there's a lot of different tools that have to be used. Of course, it's about the exchange of tax information, it's about inter-departmental cooperation, there's issues related to the provision of silent information, etc. Not all of this is obviously easy to do, but the government is working on it.
ParlaMint-NO_2016-10-19.ana.ud107e491	Let's move on to the next main question.
ParlaMint-NO_2016-10-19.ana.ud107e496	My question goes to the Council of State, Vik Aspaker, who is responsible for European affairs. The government's draft budget for 2017 represents a dramatic cut in Norway's participation in the voluntary programmes of the European Space Agency, ESA – so we are talking about the space organisation ESA. Appropriations are proposed to be reduced by around 70 pst. from 2016 and will therefore result in a sharp decline in Norwegian space research. That the cut will produce negative ring-effects in different research and development environments is obvious to me. We were told that emphatically and probably by several during yesterday's budget hearing in the nutrition committee. In the recordings we have received, it is stressed that the programmes have been and are important in the development of services and industry, as well as research and higher education. I emphasise that space research is an innovative and international activity that also helps Norway to fulfil important national tasks related to sovereignty, maritime surveillance and communication in the north. I also assume that this international research has given Norway access to a great deal of expertise beyond the borders of Norway. This is a resource-intensive research, and I'm going to think that the more countries that contribute, the greater the chance to succeed in good projects. I am convinced that the government's proposal is a mispractice, and the question to the Council of State remains: What will be the impact of reducing ESA investment and accompanying funds on research and industrial development in this area?
ParlaMint-NO_2016-10-19.ana.ud107e507	I would like to draw your attention to the fact that this is Monica Mæland, the Minister of Industry, the Constitutional Area. However, I would like to say the following: Norway participates in a number of programmes in cooperation with the EU, based on the fact that we have the EEA Agreement at the bottom. However, from year to year, the priorities of the budget must be quite rigid, against which programmes are to be prioritised. In particular, in a situation like the one we are now, in which there is a need to pave the way for significant efforts towards the South and the West to combat unemployment, priorities have been made in the 2017 budget that make it impossible to continue the same high budgetary level in all other areas of the budget. It must not be interpreted as a signal that this is not still an important area for future priorities, and now the representative refers to one of the programmes on the space side, while it is a fact that we are heavy in other areas. So I cannot agree with the representative of Farstad that this is a down-priority of space, even though we have had to do other priorities in each financial year 2017.
ParlaMint-NO_2016-10-19.ana.ud107e512	I thank you for the answer, although I'm not very calm. I understand who is responsible for the budget in this, but the question to the European Minister was about the special issues relating to European issues for us in this matter. What I fear is that this signals to our international partners that we are defusing the importance of international cooperation in this area. I have to follow up the question to the Council of State: Does the Council of State think that we can maintain a space research as good as the one we can achieve in cooperation with our international partners?
ParlaMint-NO_2016-10-19.ana.ud107e517	It is a reality that we are giving high priority to cooperation with Europe. It is also a reality that next year's budget will provide additional funds to enable us to compete and to recover more from the research funds related to Horizon 2020. Then, as Mr Farstad has pointed out, there is another priority given how much we spend on space-related projects in Europe next year. It cannot be interpreted as a permanent down-priority, or as an area that does not yet have a significant impact on Norway. We are an important partner, we are part of ESA, we have a lot of companies in Norway that are closely involved, and there is nothing to suggest – although it is being reduced in 2017 – that there are some implications for our cooperation with Europe in this area.
ParlaMint-NO_2016-10-19.ana.ud107e522	It opens for follow-up questions – first Trine Skei Grande.
ParlaMint-NO_2016-10-19.ana.ud107e528	It sounds very strange to say that we've had to prioritize this down, but that doesn't mean we're prioritizing it down. It's been given priority. This is an important area for Norway, and today we received a report that shows that the efforts we have made over several years really have increased the level and quality of research in Norway. Even so, you sometimes fool yourself, as the government did with Copernicus, which they've then been very glad that the Left fought back into the budgets. Is this such a wish again, that we should come and settle a priority that was not achieved in the budgetary process? These are important research areas for Norway; this is important for creating Norwegian research, development and a new business. Then the government can't say that we had to prioritize it down, but that doesn't mean we're giving it down priority. One of those things has to be right.
ParlaMint-NO_2016-10-19.ana.ud107e533	The President will stress that this is on the side of the Constitutional Area of the Council of State. She'll have to assess for herself whether she'll answer that question.
ParlaMint-NO_2016-10-19.ana.ud107e538	I just want to repeat what I have said earlier: although we have a lower level of space and space cooperation with Europe in 2017, it is not an expression that this is still an important area. However, I believe that in different areas of the budget it will be felt that it can vary the degree of priority or rate from year to year. It does not have to be interpreted in any other way than that space-related cooperation with Europe remains important, but we have also had to do some other priorities in the 2017 budget.
ParlaMint-NO_2016-10-19.ana.ud107e543	The President will stress the importance of the angle of the follow-up questions that arise so that it is relevant to the Minister of Europe.
ParlaMint-NO_2016-10-19.ana.ud107e548	Then it is most tempting to make a reply to the President: if we cannot ask the EU Minister for EU Programme Follow-up, what can we ask the EU Minister?
ParlaMint-NO_2016-10-19.ana.ud107e553	That's a lot of things. Odd Omland – for follow-up questions.
ParlaMint-NO_2016-10-19.ana.ud107e560	Later today, the European Space Agency, ESA, is landing on Mars, and the landing module has been launched from a satellite using Kongsberg technology. This example and many others have resulted in Norway having made a targeted investment in space travel, and which was speeding up during the Stoltenberg government. But what we are seeing now is that this government is shooting this down, and a total industry, as mentioned by Farstad, agreed on yesterday's budget consultation that the proposal for cuts in the budget would have serious consequences. What is the government actually doing? In the 2015 budget, the government proposed that Norway also withdraw from the Copernicus programme, on which Skei Grande was involved. Does the government really have a plan to build up the Norwegian space industry when a cutter so much in different EU programmes?
ParlaMint-NO_2016-10-19.ana.ud107e567	The government has no plan to build up the Norwegian space industry. The last numbers I saw were that this is an industry that in Norway translates for about 8 billion. kr, so there is an important industry in Norway. This does not mean that the efforts or efforts made against this industry by the government are unaffected by other factors that we must take into account when prioritizing and making budgets. I have shown in the past that we are betting and providing additional funds to enable us to compete and extract more research funding from Horizon 2020. I have shown that we have had special unemployment challenges and have large unemployment packages both in the budget for this year and for 2017, and that is the background to some of the difficult priorities that the government has had to do in its budget proposals.
ParlaMint-NO_2016-10-19.ana.ud107e572	Let's move on to the next main question.
ParlaMint-NO_2016-10-19.ana.ud107e577	My question goes to the Minister of Finance. Now the evidence has come. The government has rigged the tax system for increasing inequality. It's not so surprising, because we've seen over the entire period a government that's been engaged in removing taxes or reducing taxes on what the richest collect their money, wealth and inheritance, while it's carried out insignificant tax cuts on ordinary people's income. But now the Ministry of Finance has been so kind, on questions from SV's big group, to count on the distribution effect of Siv Jensen's first three budgets and tax arrangements there, and the phase is clear: the super-rich are Siv Jensen's tax winners. The top 0.1 pst. among us, 4,200 people, on average, have received NOK 221 000 in the reduced tax of Siv Jensen. The 50 pst. with at least 2,1 million people, on average, received NOK 1 900 in the reduced tax of Siv Jensen. It's grossly unfair. It shows a government that is extreme in its will to make the rich rich richer. Siv Jensen spends money on the richest, common people get little, while poor and sick have to pay for the rich's tax feast through a series of petty cuts in the state budget, and it comes from a party that has had the slogan "For the most people". The progress party should have been notified of a breach of the marketing law. Retirement gets less of a living, with regards to the Advancement Party. Chroniclers in need of physiotherapy get a delicacy that swirls, with regards to the Advancement Party. People who have to quit work get tax returns, with regards to the Advancement Party. Afflicted with children gets less of a living, with regards to the Advancement Party. Billionaires get the tax feast of the times, with regards to the Advance Party. Why is Siv Jensen more concerned with Right-wing electors than with their own?
ParlaMint-NO_2016-10-19.ana.ud107e590	Let me first say that there are other factors than taxes that affect how we can do something about income differences, inequalities, in Norwegian society. For example, this is a case in point. on how we set up the education system, how we allocate funds to health care, and how we maintain good, safe welfare systems that help to create security in unsafe situations. So it's not the tax system that primarily affects it, but tax financing helps to strengthen our ability to have good welfare schemes that are tax-funded. Therefore, it is important that we have a tax system that contributes to more people paying taxes. Therefore, it is important that we have a tax system that stimulates us to make more people invest in Norwegian business, in new and more jobs. If there is something we need in the situation in the Norwegian economy now, it is that more people dare to invest their money in creating businesses in Norway. We see some positive things happening, I'm glad, but it's wrong when the representative Lightbakken claims that this government, and the Advance Party, has prioritised the super-rich in front of other income groups in the Norwegian community. It's just that it's wrong. A very small proportion of the investment that the government has prioritised in the budget has gone to make changes in the property tax, but I accept every relief. The party of progress, the government parties, has gone to the elections to do something about the property tax simply because it is unfair. The fact that a large majority of the Storting, probably not including SV, agreed that we should come up with an arrangement to postpone the payment of property taxes, is at the top of the whole thing a recognition of how challenging it is now for too many companies in the deficit position to pay property taxes when the option is to shut down the business and send more people into unemployment. That's what I'm against, and that's why I think we need to be able to do several things at the same time: strengthen the welfare systems, focus more on the important things we're busy spending money on, while reducing the tax system to improve it.
ParlaMint-NO_2016-10-19.ana.ud107e600	It's not wrong that the super rich are the winners. I have that from a calculation from the Ministry of Finance, sent by Siv Jensen to us yesterday. So she can't come one day and say that's the way it is, and give us the numbers, and then stand here today and say that it means nothing, or that it's wrong. The super-rich are the winners of the finance minister's tax policy. So at the other end, ordinary people have been given tax credits so small that they don't notice. The SV's alternative state budget provides much more tax cuts for ordinary income than what Siv Jensen has received in the government. We know from the last period, when we got similar calculations, that the red-green tax policy was redistributive. This increases the differences, and we know that there is a close link between economic inequality and the quality of a society more generally, among other things. the ability to grow. Then the Minister of Finance boasts of the effect of tax cuts. Well, I read in the paper no later than two days ago that her own State Secretary is unable to demonstrate that effect. Has anything happened in the last two days that makes Siv Jensen now able to inform the Storting about these tax cuts has the famous dynamic effect that Siv Jensen boasted in opposition, but is unable to prove in position?
ParlaMint-NO_2016-10-19.ana.ud107e607	I'm not in a position to prove dynamic effects. It's just that they don't come until they've implemented the tax relief, they'll come later. The closest reforms we have to assess dynamic impacts are the 1992 tax reform and the relatively large changes made in the tax system back in 2006. The results are quite clear. It has given effect to making tax reliefs and, not least, to spreading the tax system so as to reduce the deductions. That's what's going to work. It has an impact on the job offer. It contributes to more people investing, and of course it makes us get more tax revenue to the country over time. So yes, of course there are dynamic effects. It has also established the tax sample, which investigated the tax reform that the Storting has now adopted. They claimed possible dynamic effects up to 40 pst. In that case, it's very good if we manage to achieve that by reducing the tax burden for most people as well as for business.
ParlaMint-NO_2016-10-19.ana.ud107e612	There will be follow-up questions – first Snorre Serigstad Valen.
ParlaMint-NO_2016-10-19.ana.ud107e617	Rarely do we get a better argument for keeping religion and politics separate than when the Minister of Finance stands here in the Chamber and gives doses of dynamic effects. So there is no limit to the extent of the gap between what the Ministry of Finance in the form of letters can allow itself to say about the so-called dynamic effects, and the ideological interpretations that the Minister of Finance brings here. For the Ministry of Finance, there can be no reference to the effect of their property tax laws. Siv Jensen now says that we have to wait until later, then they come. It would have been tempting to ask what ‘after’ is in this context. But I have another question for the Minister of Finance. It's a simple yes or no question. It's not a long talk about the de-dynamic effects of-on-cut-in-equity issues, but it should be easy for a party leader from the party for people most to answer. Is it good politics for people most to give the richest people in Norway more tax cuts every year than the minimum pensioner has to travel with this year?
ParlaMint-NO_2016-10-19.ana.ud107e626	I have a speaking time of 1 minute, so I'm assuming I'm allowed to use that minute to answer the question. I think it's good policy to implement tax relief for ordinary people, for pensioners, for social-securityed people and for business. This government and both government parties have gone to the elections. The fact that we implement our election promises should not surprise the representative Serigstad Valen at all. So it's an honest thing to represent a party that's, in all its work, been concerned with tightening up taxes, but here the representative Serigstad Valen and I disagree. I think it is good for the Norwegian economy with a competitive tax system that helps us get more investment in Norway, rather than outside its borders. It is the most important medicine we can take to ensure that more jobs are created at a time when many feel insecurity as a result of the biggest oil price shock in the Norwegian economy has seen in 30 years.
ParlaMint-NO_2016-10-19.ana.ud107e633	Dag Terje Andersen – for follow-up questions.
ParlaMint-NO_2016-10-19.ana.ud107e638	It is fascinating to see how the Minister of Finance manages to stand and say things in Stortinget when a letter from the Ministry of Finance says something else. This happened when we had an interpellation debate where the Minister of Finance claimed that the differences in Norway did not increase, and I received a response from the Ministry of Finance that, after all, the differences in Norway are increasing. Now it's the distribution, as SV picks up, that gets the same treatment. I want to try with a very specific question, which is only about taxes, which the Minister of Finance is concerned about. A lard miller who works in Larvik and travels again and again every day, has to pay more in taxes than he did before because of the changes in the legislation on commuting. For one who loses the job and gets a termination fee, it is suddenly – after a negotiation night in Stortinget – decided that he would pay more in taxes. What is the real distribution for people most when we know that the numbers SV here have presented to the richest, actually votes?
ParlaMint-NO_2016-10-19.ana.ud107e645	Let me just say briefly that I agree with every letter sent to the Ministry of Finance, including the calculations that have been made in relation to the effect of tax reductions proposed by the government. It must be quite obvious to everyone that those who pay the most taxes in a progressive tax system are actually also experiencing relief when the government proposes it. It's the effect of having a progressive tax system. That being said, this government has, overall, been given reliefs on the other side of 18 billion. kr before the new reliefs proposed for the 2017 budget have been addressed by the Stortinget. It is absolutely right that, within an overall scheme of taxes and taxes, they have been reduced by over 18 billion in total. NOK, some charges have gone up. Other charges have been removed. Some tax rates have changed. It is a consequence of a transformation both of the entire tax system as a whole, and of the fact that, in cooperation with the Christian People's Party and the Left, we have increased a number of climate and environmental taxes. And it's about praising just what we want less of, and what we want more of.
ParlaMint-NO_2016-10-19.ana.ud107e652	Per Olaf Lundtigen – for follow-up questions.
ParlaMint-NO_2016-10-19.ana.ud107e657	Taxes are important, but also factors other than taxes contribute to security, said the Council of State. And I fully agree with that. Employment and social benefits are important. The country organisation met the Labour and Social Committee yesterday, when they wrote that active counter-cyclical policies have become less effective due to leaks in the form of immigration. – This is an important recognition from the Landsorganisation. My question concerns those who have either physical disabilities, mental or drug problems, and predictability of that group. What will happen in the future to that group of policies of the current government? Will the current government propose that public benefits be reduced or increased — and now we are talking about the level of people — for those with mental, physical or drug problems? What is the government's long-term line, so that it applies, can have predictability of its future life situation?
ParlaMint-NO_2016-10-19.ana.ud107e664	Let me just briefly say to the initial remark by the representative Lundteg that it is good that the government's measures on asylum and immigration policy are working. We now see record low inflows to Norway because we quickly got measures in place. That said, some of what this government has prioritised in the area of health, precisely mental health and alcohol — two areas that in no way were adequately prioritised during eight red-green years. These are two areas that the government has pushed ahead and the emphasis should be on priority, priority, precisely because there have been huge gaps to cover, precisely because there are many people who are very vulnerable as a result of either drug problems, mental illness or a combination of these. This government has been busy doing something about it, and we now see that a reinforced effort is beginning to produce results.
ParlaMint-NO_2016-10-19.ana.ud107e672	Sveinung Rotevatern – for follow-up questions.
ParlaMint-NO_2016-10-19.ana.ud107e677	Now there are many different balls in the air, but I want to grab something the finance minister said in his first answer. It was that the goal of the tax system now must be that several of their money bets on creating businesses in Norway. It's a legitimate goal. What's a challenge is that what people are currently investing their money on is not creating businesses, but the housing market. There is an ever-increasing difference, an ever-increasing threshold for entering – which helps create significant differences. When reading the national budget from the Minister of Finance, it is a major concern to identify the consequences it has for the differences in society and for the stability of the economy. The Minister of Finance boasts in the budget that one has streamlined the tax rules a good deal for those who invest in secondary housing. My question is whether the Minister of Finance sees the need to make further tax changes in the future, so that both a person can slow down the growth of housing prices and, not least, ensure that people actually want to invest their money in Norwegian businesses.
ParlaMint-NO_2016-10-19.ana.ud107e686	It is quite right that the housing market has been given a place in the mention of the national budget simply because there are significant challenges. My main concern is that households are starting to have significant debt, which can have consequences for particularly vulnerable households if interest rates rise or if you get a housing price drop. I think we have to take that seriously. But I'm not sure if the answer to that is to tax people's homes harder. There will be no more dwellings or cheaper dwellings because it will be more expensive to own their own home. That's why it's not on my agenda to increase the tax on people's housing. What the government has done is to make changes within the wealth tax system, precisely to make it less attractive to invest in property and more attractive to invest in business. There are distortions that we are strengthening in the budget for next year, and I hope the Left will come to support.
ParlaMint-NO_2016-10-19.ana.ud107e691	Let's go to the next main question.
ParlaMint-NO_2016-10-19.ana.ud107e697	My question goes to the Minister of Labour and Social Affairs. Differences between people are increasing under this government. In the previously mentioned inter-pelling debate with the Minister for Finance on 31 May, the Minister for Finance said: ‘First, there are no increasing differences in Norway. I just want to refute that claim." Later, the finance minister had to go back to it in answer to written questions from me. In the debate on the throne now in October, the Prime Minister said: ‘It is therefore not such that it is demonstrated that these differences are increasing.’ But more and more Nordics are dependent on social assistance. Differences in income are increasing, differences in wealth are increasing, Gini coefficients show that differences are increasing and unemployment is high in record terms. All of this is documented by credible agencies such as Nav, the Central Statistical Agency and the Labour Force Survey — even by the Ministry of Finance. The last item is the document mentioned earlier, which was submitted by the Statistical Central Bureau on Monday. In addition to the increased differences in income and wealth, differences are increasing because in recent years the government has introduced new taxes on termination benefits, increased the quarantine period for daily allowances from eight to twelve weeks, cut the pay guarantee scheme, removed the holiday allowance for the unemployed, taxed the commuting allowance, cut the child allowance for the disabled and cut the car allowance for the disabled. None of this can be excused with low oil revenues. It's about the government's own choice. Why does the government think it's right to increase the differences between people?
ParlaMint-NO_2016-10-19.ana.ud107e720	As I have seen in the previous answer, the Gini coefficient does not measure anything other than the income inequality. It does not measure the effect of politics, which is something this hall is concerned about. Our government has strengthened important welfare arrangements for vulnerable groups. We have significantly strengthened the supply of drugs and mental health compared to the previous government. We're going to present an escalating plan for rehabilitation, which is an important commitment for those who are struggling. Important efforts have been made in the area of welfare policy, for example: free kindergarten or reduced kindergarten costs for families with low incomes to mention something. We have also improved holiday and leisure arrangements for low-income families. Then it's not that unemployment is record high. It was higher under the Labour Party regime in the 1990s. But it's too high, we agree. This is why the government in its budgets also strengthens the fight against unemployment through an expansive policy at large, through important transport efforts and efforts to rehabilitate public buildings, through several areas of action for those who become unemployed, which are also largely targeted at those areas and industries that are struggling. Now we see some predictions that show that it's going the right way. Nav reports today that the bottom has been reached, and that it has reached before what was believed. They adjust the unemployment estimate. We see that more companies report optimism in the future. So it goes the right way, but that doesn't mean we're going to lean back. On the contrary, we will continue to ensure that we are able to get more people to work, which is the main difference between those who live in income poverty and those who do not, and that we are able to raise the skills of more people. That is why we are strengthening our efforts to invest in school and to raise our skills. That is why we also need to develop the social security network, which we have done so far in our period of government.
ParlaMint-NO_2016-10-19.ana.ud107e731	In all the answers from the Council of State so far today, the Council of State has not been close to answering what she is being asked for, but is talking about something else, and then saying that it is important to see the whole. Then I would like to invite the Council of State to say something about the whole thing. In fact, it is the whole picture of all the statistics and letters from the Ministry of Finance that, overall, we are in a period when differences in Norway are increasing – much because of government proposals adopted by the majority in the United Kingdom. Then my question is, does the Council of State think that the differences are increasing?
ParlaMint-NO_2016-10-19.ana.ud107e738	We live in a country with relatively small differences, and that's good. We're all for that, and we have relatively small differences compared to other countries it's natural to compare with. The representative Andersen and his party traps consider any change to be a cut. The truth is that several of the changes we have made are made to strengthen the offer to those who have the most difficulty. We changed the holiday pay to the unemployed, which the representative was concerned about in his first question, and the truth is that we ensure that you get holiday pay when you are unemployed as opposed to what you got before, when you got your holiday money the following year – when you got to work. It is an important targeting of the action that strengthens the offer to those who need it the most, when they need it. We have important efforts in the health sector to capture those who are struggling with drugs and mental health. We have important efforts in the education sector to raise the quality of school provision and also the supply of adults who need skills.
ParlaMint-NO_2016-10-19.ana.ud107e747	Per Olaf Lundtigen – for follow-up questions.
ParlaMint-NO_2016-10-19.ana.ud107e752	The SSB report has been ordered by the Ministry of Labour and Social Affairs. There is the 12th report in the series, and it gives an overall overview of developments. Differences are increasing, and there are many low incomes that have weak professional links that are most severely affected. There are people who need society's security. What's the situation when the government says that it's not age-wise that the differences are increasing? Both the State Councils of the Ministry of Labour and Social Affairs say that and the Prime Minister says it – it is not eelreit. Yet it happens. What's wrong? Has the government analyzed where the error is? We have to believe what's being said, that someone wants to reduce the differences, but that's not what's happening. Where is the government's policy?
ParlaMint-NO_2016-10-19.ana.ud107e759	As I have seen in previous answers, one of the main reasons why the differences are increasing is that we have had large immigration to Norway in recent years. Immigrants, for whom the representative is involved, are also refugees and asylum seekers who have come to Norway. We have an open economy, and many have come to Norway. We see that those who come to Norway have few formal qualifications. They lack language, and then they also take time to get into the labour market. There is also the background to the fact that, in this budget, we are strengthening the work on a rapid track into the labour market for immigrants, that we are already applying vocational guidance, that Nav is starting earlier than before to identify those who come to Norway, to ensure that they get into the labour market more quickly. The sooner we settle for the refugees and get them into the world of work, the more likely they are to be able to stand on their own, and that they come out of the statistics that we want them out of.
ParlaMint-NO_2016-10-19.ana.ud107e767	Ragnar Frimann Nordgreen – for follow-up questions.
ParlaMint-NO_2016-10-19.ana.ud107e772	There, state councillor Hauglie said in his first sentence ‘the differences are increasing’. Otherwise, the government will not accept the obvious increase in the differences between the poor and the rich – and it will not at all recognise why they are increasing, namely the government’s tax relief policy – with most of the wealthiest. The government's policy is well-being, not least for vulnerable groups. Cut policy, which, together with oil money consumption at the expense of our grandchildren, must now be used to finance the taxes on the well-off. Had the government wanted to fight the differences, it must first have recognized the differences. Will the government combat the increased disparities? If the answer is yes, I have a warning to the government: if you don't want to know where you are and how you got there, then you'll never find the way from here and where you want to go. Where does the government go to less differences in society as a whole?
ParlaMint-NO_2016-10-19.ana.ud107e781	Increasing inequality is not the result of taxation – it is due to a lack of links with the labour market, due to a lack of skills and basic skills. This is why there is inequality in Norway. There are many immigrants coming to Norway who come from war and persecution in poorer parts of the world, seeking a port of refuge in Norway, and who come with two empty hands. That is also the background for, among other things, In this budget, the number of action places in Nav is increasing, Norwegian training can be taken as a measure in Nav, the establishment of a fast track into the labour market, the provision of vocational guidance and previous monitoring in reception – because more of those coming to Norway are to be obtained more quickly into work, thus reducing inequalities. Then there is the education policy that is the long-term approach, but frankly – we need to know what is the cause before we... yes – thank you, President!
ParlaMint-NO_2016-10-19.ana.ud107e788	So the oral question procedure is over.
ParlaMint-NO_2016-10-19.ana.ud107e802	There will be a wide range of changes in the set question list, and the President will refer to the electronic question list in this respect. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 1, from the representative Jan Bøhler to the Prime Minister, will be answered by the Minister of Health and Care. At the request of the Minister of Health and Welfare, the question is moved and answered before question 7, to be answered by the same Council of State. Question 2, from the representative of Audun Otterstad to the Minister for Foreign Affairs, will be answered by the Minister for Coordination of EEA Affairs and relations with the EU on behalf of the Minister for Foreign Affairs, who has left. Question 3, from the representative Rasmus Hansson to the Minister for Climate and Environment, will be answered by the Minister for Knowledge on behalf of the Minister for Climate and Environment, who has been away. At the request of the Minister of Knowledge, the question is moved and answered before question 11, to be answered by the same Council of State. Question 4, from the representative Hege Haukeland Liadal to the Minister for Children and Gender Equality, has been withdrawn. Question 7, from the representative Ketil Kjeseth to the Minister for Health and Welfare, has been withdrawn. Question 9, by Kari Henriksen, representative of the Minister for Justice and Security, will be answered by the Minister for Health and Welfare on behalf of the Minister for Justice and Security, who has been removed. Question 10, from the representative Stein Erik Lauvås to the Minister for Defence, has been withdrawn. Question 13, from the representative of Ingrid Heggø to the Minister for Fisheries, has been withdrawn.
ParlaMint-NO_2016-10-19.ana.ud107e827	Question 1 will be answered before question 7. The first question to be answered is question 2.
ParlaMint-NO_2016-10-19.ana.ud107e835	This question, from Audun Otterstad to the Minister for Foreign Affairs, will be answered by the Minister for Coordination of EEA Affairs and Relations with the EU on behalf of the Minister for Foreign Affairs, who has been away.
ParlaMint-NO_2016-10-19.ana.ud107e840	‘Two weeks ago, a Norwegian woman was refused entry into Palestine, deprived of her own passport and put on smooth cell for 19 hours before she was sent out of Israel. She was supposed to do field work in connection with her master's degree at NTNU. It's only one month since another Norwegian woman was also denied access to Palestine at the Ben Gurion airport by Israeli authorities. She was assigned to exchange from NTNU to Birzeit University at Ramallah. What does the Minister for Foreign Affairs think about this practice, and is there a new policy from Israel towards Norwegian students?’
ParlaMint-NO_2016-10-19.ana.ud107e853	The Ministry of Foreign Affairs is aware of these two issues the representative refers to in his question. I have a great deal of understanding that this has been an impression for those involved, and that being denied entry has significant consequences. The Norwegian Embassy in Tel Aviv bisto both women and had contact with the Israeli authorities in matters. However, as students enter the West Bank via Israel, they have to deal with Israeli entry control and other Israeli laws and regulations. It is common practice for visitors on entry and exit to be asked by Israeli immigration authorities and security personnel about their stay in Israel. It is up to the Israeli authorities to decide who is given permission to enter Israel. On the travel information pages of the Government of Israel, it is advisable to answer truthfully all the questions. Experience has shown that entry can be refused if the Israeli authorities are not perceived as sufficiently cooperative. The Ministry of Foreign Affairs is following up and is in constant contact with the Israeli authorities on how these entry rules are practised. Although we have noted that there have also recently been several cases where Norwegian citizens have been refused entry, in our contact with the Israeli authorities there is no information that laws, regulations or practices have changed.
ParlaMint-NO_2016-10-19.ana.ud107e864	Governments talk about ‘common practice’ on entry and, as is known, it varies, and it also varies from person to time and what is considered to be a risk from the current situation. But one thing that hasn't changed is the continuation of government engagement, the donor exposure to Palestine. My concern is that Israeli authorities are deliberately obstructing international relations and internationalisation of Birzeit, the universities and academic freedom in Palestine. Is the Council of State concerned about the situation in the Middle East and does she believe that internationalisation contributes to more democracy and constructiveity in relations?
ParlaMint-NO_2016-10-19.ana.ud107e869	We have no basis for saying that Israel wants to prevent academic freedom or internationalisation related to students and student exchanges. From the U.D., we have advised NTNU to contact the Embassy of Israel in Norway, and we know that there is a dialogue to avoid in the future that students who have exchange agreements with universities in the West Bank, which in this case, will not be able to complete their studies. So we just notice that there are no changes that we are familiar with related to Israeli laws and practices. But it's important to stress that you're correct in your information about what to do when you travel through Israel.
ParlaMint-NO_2016-10-19.ana.ud107e876	Of course, it is important to inform enough and be truthful, and I assume that Norwegian students are. However, it is a rather special, passive attitude when you see young people in Norwegian who are in exchange being treated – after having had approved studies in Norway and approved exchange studies from there. What does the Ministry of Foreign Affairs intend to do about this — do you think it's okay that Norwegian students are treated this way when you exchange? And what does the ministry think about just a few months ago being at the same institution in Israel to expand academic cooperation: Isn't it important to have academic cooperation with both Israel and Palestine to contribute to a constructive tone and to contribute to the long-term process of peace?
ParlaMint-NO_2016-10-19.ana.ud107e883	I understand that it has been a difficult experience, and that it has caused problems for the students who have been refused entry. On the other hand, there are other students who have been admitted and who use the exchange agreement with NTNU with this University of the West Bank. But the Ministry of Foreign Affairs is in fact aware that a Palestinian university on its websites states that Israeli authorities rarely grant residence permits to study, and implicitly suggests that reasons for entering should be given other than what might be the real reason. I think it is important to take the entry rules seriously. If you're to be taken seriously when you get there, and if you're to be treated correctly, it's at least important that you be honest about what kind of honor you have when you're going to go into Israel.
ParlaMint-NO_2016-10-19.ana.ud107e890	Question 3 has been moved and will be answered before question 11.
ParlaMint-NO_2016-10-19.ana.ud107e902	This question has been withdrawn.
ParlaMint-NO_2016-10-19.ana.ud107e910	‘An overall opposition made it possible in the spring to gather on an offensive gender equality policy where the government in the gender equality message did not have measures to bring gender equality forward. Of the more than 80 proposals we have made, 14 were adopted and must now be followed up by the government. Among the proposals adopted were, inter alia, the proposal on gender equality assessment of the State budget. Why has this not been followed up with the 2017 budget?’
