ParlaMint-NO_2016-04-06.ana.ud272e31	The representative of Sveinung Rotevatn will present a proposal for a representative.
ParlaMint-NO_2016-04-06.ana.ud272e561	I think essentially that the answer to that must be no. There is a great deal of room for action when it comes to public acquisitions, no one is equal. There's a difference between buying coffee and building opera, and that's why the rules also have to have a room for action. Then it can be considered that it makes sense to require employees to live near the place of work. I know, for example. that when we employed a new competition director in Bergen, one of the objectives was that we should have one who also lives in Bergen, without that being decisive. So here, different instances have to be able to make different assessments. I am concerned about using the action space, getting the best purchases, and that there is innovation in the purchases. We need more people to deliver to the public. It should be a great deal of freedom of action, but proper, proper and verifiable.
ParlaMint-NO_2016-04-06.ana.ud272e566	Per Olaf Lundtigen – for follow-up questions.
ParlaMint-NO_2016-04-06.ana.ud272e569	It's for the Minister of Labour. Full employment requires political governance, and now we are getting more and more storms with increasing unemployment both from abroad and from Norwegian circumstances. It is then in the cards that one must have stronger political governance to ensure the mantra of 'full employment', i.e. stronger political governance within the nation state of Norway to provide security, to ensure a level playing field between people, to distribute the burden – we are facing it. Traveling workers have a major disadvantage and a high cost in their working situation. It has so far been well covered. Now we are in a situation where employers have demanded a significant reduction in pay for travelling workers. What is the government's attitude to such a requirement? Is that okay?
ParlaMint-NO_2016-04-06.ana.ud272e578	As I mentioned so far in my reply to the representative Rotevatn, there are now processes in Brussels to pay travel, diet and lodging for foreign workers. What agreements are concluded between employees and employers is initially a question for the employees and employers. It is the parties themselves who decide what are the different tariff provisions. Then I have to say on a general basis that this government is for both the EU and the EEA Agreement. We are committed to the opportunities offered by the EEA Agreement, not least the opportunities offered by the EEA Agreement to Norwegian companies to access European markets, but also to the opportunities offered by it to workers in the EEA territory to move freely between countries in order to carry out missions where there may be no business cycle. There has now been a situation where workers have come to Norway because there has been growth here. Only in the city we're now in, is the development that the vast majority of those who come to town are labour immigrants, and we think that's positive.
ParlaMint-NO_2016-04-06.ana.ud272e585	Let's move on to the next main question.
ParlaMint-NO_2016-04-06.ana.ud272e588	My question is to the Minister of Industry. The tax havens threaten our welfare model, and both poor and rich countries are deprived of unfathomable values. This week broke as well-known Panama Papers, which really shows the rawness of modern capitalism. In Norway, many have reacted strongly to the fact that DNB, where the State is a partner, has communicated its customers to tax havens. How many state-owned companies operate in or are in the possession of tax havens, and what are the sums involved?
ParlaMint-NO_2016-04-06.ana.ud272e597	I hope the answer to the question is 'no' and 'no', but of course I can't guarantee it, as reality has shown. What we've seen come up now related to DNB is something that is completely contrary to the guidelines and expectations we have today. This is an area that has evolved. However, in 2015, last February, the Stortinget adopted a statement of ownership, which makes it very clear what is expected about transparency in money flows, about avoiding using tax havens that do not follow the standard of the Global Forum on Transparency and Effective Information Exchange, and that companies have policies, systems and measures to prevent corruption. We follow this up in the owner dialogue, I follow it up in meetings with the directors, and of course we get involved when we get to know them. As I said earlier today, unfortunately many of them have become known through the media. I wish they came up a long time ago. These are issues that lie several years back, which should have been managed several years back, but when they come now, we'll deal with them now.
ParlaMint-NO_2016-04-06.ana.ud272e604	I can also hope that the answer is ‘no’, but we already know that the answer is not ‘no’. We already know that there are several state-owned companies that either act in or operate in a tax haven. Very well-known was the Council of State notified by DNB a week before this Panama Papers leak reached the public, and I think it is a bit alarming that over a week afterwards the Council of State has not tried to get an overview of its own company's classification of secret law. How can the Council of State require a full overview of what has happened in DNB, when she has not gotten an overview of the other state-owned companies? Is there really no one, either the Council of State or the 355 employees she has available in the ministry, who can account for the actual position of state companies in tax havens, in addition to the expectations that we all of course agree on?
ParlaMint-NO_2016-04-06.ana.ud272e611	I don't think the representative heard what I said. This is the subject of an active ownership dialogue from our side. These are the questions we have in the dialogue with the companies, and the answer we get from the companies is that they don't operate in tax havens without an agreement. The expectations are clear, they're not to be misunderstood, and if something like that had come up, we would have grasped it.
ParlaMint-NO_2016-04-06.ana.ud272e616	It opens for follow-up questions – first Torgeir Knag Fylkesnes.
ParlaMint-NO_2016-04-06.ana.ud272e620	There is a dialogue with the owner I would like to ask the Minister of Industry about. As a direct response to the discovery of Panama Papers, the Minister of Industry called on the directors of state-owned companies for a seminar on ethics and corruption in June – 14 June, they are now in urgent need. For the time being, it is the only initiative that we can see that the Minister of Industry has taken over these companies – a seminar on ethics and corruption just before the summer. I have taught in ex. phil. and have great faith in ethical reflection as a path towards both a better life and a better society. But how should ethical reflection help us win the fight against tax evasion?
ParlaMint-NO_2016-04-06.ana.ud272e627	I think there's been a misunderstanding here. The call I've sent to the directors is not a follow-up to Panama Papers. It was decided completely independent of that matter, on the basis of my commitment to working against corruption. I had a meeting – not a seminar – in 2014, where I went through how the companies then worked on this. I want to follow up that meeting now, two years later, knowing how the companies have now developed their work in this field. It's also related to a work that PwC does for us, which was also going on completely independently of this case, where you look at the work of the boards internationally, we look at the work of the owners internationally, we look at the work of the companies internationally, and we compare legislation. It's a good opportunity to present that report to our directors and also to go through how it works, and exchange information about it.
ParlaMint-NO_2016-04-06.ana.ud272e632	Else-May Botten – for follow-up questions.
ParlaMint-NO_2016-04-06.ana.ud272e635	I asked the Council of State earlier in the Questionnaire on why not the Ministry discovered these kinds of cases. I want the Council of State to respond to what she's thinking about doing so that it can actually turn around and become so that departments discover that kind of thing. In addition, the Labour Party presented a proposal for a representative on a strategy to ensure that the expectations of the ownership message related to transparency of cash flows and taxes have to be followed up. We put that out yesterday. Then I ask the Council of State if it agrees that we have to do something about it, and if she supports this proposal.
ParlaMint-NO_2016-04-06.ana.ud272e642	It's a little special, this – a matter that came up many years ago, when the representative's party sat in the Ministry of Economic Affairs, and as far as we know, this was never followed up. So the question of why the department hasn't shown enough is quite simply the answer that it hasn't been a good enough follow-up. We have asked questions about both Luxembourg and tax havens, among other things. DNB, because we follow it up in our ownership dialogue, but we depend on the correct answers we get. Then I cannot decide on a representative proposal I have not seen. But our expectations in this area are clear, we're following it up, and I understand very well that the Storting is also engaged in this. That's all there's to it.
ParlaMint-NO_2016-04-06.ana.ud272e647	Geir Pollestad – for follow-up questions.
ParlaMint-NO_2016-04-06.ana.ud272e650	There is a lot of evidence that the ordinary ownership dialogue has not adequately ensured transparency and helped to avoid corruption and prevent other questionable behaviour. It is then natural to ask the Council of State: What new measures and new measures does the Council of State see the need to take ownership in order to avoid getting more of these things in the future?
ParlaMint-NO_2016-04-06.ana.ud272e655	I have responded to that earlier today – I think it’s too early to conclude, in addition to being open that we also need to look at our own ownership management and the ownership management you’ve had over the past few years. Now I think that developments in this area have gone in the right direction. The things we see come back from years ago, but these are matters that should have been raised in the public eye and in the owner's dialogue. So I'm open to change. We have to get back to how it can happen, and that's also something we've asked PwC to give us advice, based on international experience in this area.
ParlaMint-NO_2016-04-06.ana.ud272e660	Let's move on to the next main question.
ParlaMint-NO_2016-04-06.ana.ud272e663	My question goes to the Minister of Industry. The Norwegian economy is in a difficult situation, and we have record high unemployment. Now a government needs to understand that we need to have an active industrial policy. Before the 2013 elections, the government parties talked a lot about bringing new ideas and better solutions, but where did these become? The government pays off delivering in business policy. Already in 2014, I challenged the Minister of Industry whether the government had a plan to meet the dramatic situation we saw in the supplier industry. The government would wait and see. Since that time the arrows have just pointed one way. In the case of the rules of leave, the government has relaxed its feet before any changes were finally made, and on a rest day. The Minister of Economic Affairs is surprisingly passive. Where is the Industrial Message Stortinget ordered over a year ago? Where does the bioeconomy strategy Stortinget provide the government last year? Now we're in April, and these things are still waiting. In the Workers' Party we made an industrial strategy with a number of good proposals. If the government lacks new ideas, they're welcome to take a look at this. We put 125 million. kr into our alternative state budget to bet on the bioeconomy. The travel message will probably be written in hours off, but when will it be completed? The new solutions seem to be waiting, while a number of people have to stand in vacant queues. Now there were notices of 500 new cancellations in Aibel, 700 in the oil company FMC and the third round of redundancies in National Oilwell. There is now a strong need for concrete action in the short and long term. Why is the government taking so long to get to the Biggest with all these important business policy issues, in times when there is an extra big need for an active business policy to reduce unemployment, create values and create new jobs?
ParlaMint-NO_2016-04-06.ana.ud272e678	It is true that since we joined, we have been working on the conversion of Norwegian business. We knew we were vulnerable. We knew that we had not spent good years preparing difficult years, so we made clear priorities – knowledge, research and development, transport and tax cuts. Finally, I have to say that it can only be in the Workers' Party that it is believed that tax increases create jobs in the private sector. There is no one out there calling for solutions from the Workers' Party, on the contrary. Then, over the period we've had with falling oil prices, we've taken both short-term and long-term measures. Last May, I presented a maritime strategy. Nothing had happened in the maritime area in decades. Now we see ships flying home – 15 since 1 March, when the regulations came into force – a direct result of government policy. We have submitted a business plan that allows more than ever to start their own business – 30 pst. more in Rogaland in February this year, compared to last year. We've changed the terms of the permit. We have presented a package of measures that is now being rolled out. The marine defense has offered tenders that Bergen Group has received. Haukeland University Hospitals and several others publish tenders. Jobs are created in the short term. But the most important thing we do is in the long term, and then it's not like we're sitting and waiting with politics until messages are finished. Policies are being pursued on an ongoing basis. We have done so – both small and large important measures to contribute to the transformation that Norwegian industry now needs to undergo. The industry message is in the loop. The travel life message is delayed because the industry wanted it. They had amazing results last year. They have wanted an investigation into how to set up the marketing part, and then I have notified them that it means a release. That's the industry understood. As far as the bio-industry is concerned, they have historical programmes to apply for. Nutritional research has increased by 2.4 billion. kr during the period of this government. It means transition in practice.
ParlaMint-NO_2016-04-06.ana.ud272e690	What the Council of State says about the Labour Party's policy is at least wrong. The problem is that the government prioritises measures that do not work. In the budget, the government has had tax cuts as its main effort, claiming that this is growth-promoting, but there can be no doubt that cuts in property taxes are not accurate enough. This has also been confirmed by a number of professionals. Orkla has 104 factories today and plans to halve that number. In my home country, More and Romesdal, they have the Ello factory in Kristiansund, where there are 60 important jobs we sorely need. They are waiting for a clarification as to whether they will continue to produce the Lano soap and Solidox toothpaste and a number of other products there, or whether the company will be flying out to Sweden. The company is going to be positive, but it may seem that the owners want to squander even more out of their toothpaste tube. The owner is one of those who have received great tax relief from this government. If tax cuts were proper medicine, shouldn't we have seen that they kept their industry in Norway, and not flagged it out of the country?
ParlaMint-NO_2016-04-06.ana.ud272e695	I have the impression that tax cuts and wealth taxes have become a very academic exercise for the Workers' Party. Are there any Norwegian companies telling the representative, Botten, that the property tax doesn't matter? They're telling us the opposite. They say they're now paying taxes on a fortune they owned last year. This is not money in the bank – this is money in shares, machines, in companies that are now manning down, who are now not paying dividends, and then comes the property tax bill. It means something in practice for Norwegian companies. I am genuinely concerned about, among other things, maritime sector in that part of the country from which the representative comes. Do we have Norwegian-owned offshore companies again in a year? It's the property tax that's a problem, because it's not a profit tax and it's not a tax on money in the bank.
ParlaMint-NO_2016-04-06.ana.ud272e700	There will be follow-up questions – first Irene Johansen.
ParlaMint-NO_2016-04-06.ana.ud272e703	I will follow up a little in relation to the need for action in business policy. The situation in the oil and gas sector is well known. It is also the consequences of the airline seat charge, which the government will introduce from 1 June. Moss Airport Rygge has announced that it is likely that the airport will have to close and that some 500 to 1000 jobs can be affected. Other industries also now report redundancies in the Moss region and other regions. Orkla announces that they will close Idun factories' production of ketchup, mustard and vinegar and move production to Sweden. 75 employees are directly affected, so they move production even though it is profitable. An active industrial policy has long been called for by the government, including: providing industry with good framework conditions. Such a framework condition is the flight seat charge, among other things. When companies like Orkla now announce that they will move their profitable business to Sweden, I would like to ask: What concrete measures will the Minister of Industry take to maintain today's jobs and create new ones?
ParlaMint-NO_2016-04-06.ana.ud272e714	I agree that many companies have a very challenging situation. Some companies are doing well, others are having a hard time, and we have to be able to have a policy for both. It's like we can barely prevent companies that have profits, move out of Norway if they want to, but of course we can agree that it's serious, and that there's a situation we have to face. Framework conditions deal with taxes and taxes – reduced taxes and taxes. Framework conditions deal with transport, increased investment in transport, both in jobs and better access to goods and services. An active industrial policy is about keeping the time budget for research-oriented innovation and development. Both the Research Council and Innovation Norway are being filled in by their programmes, so there is a greater need for them than ever. Businesses use this, and we know that one dollar from the government will trigger two dollars in the company and seven dollars in value creation. So this is transition into practice, but this is a situation we have to go through, and it's demanding. So with regard to the fare, it's a decision that the Stortinget has made, and I'm fully aware of the negative effects that it also has.
ParlaMint-NO_2016-04-06.ana.ud272e721	So the oral question procedure is over.
ParlaMint-NO_2016-04-06.ana.ud272e733	There will be some changes to the questionnaire, and the President will refer to the electronic questionnaire made available to the representatives. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 1, from the representative Karin Andersen to the Minister for Municipal Affairs and Modernisation, has been transferred to the Minister for Children and Gender Equality, who is directly responsible. Question 3, from the representative of Stine Renate Håheim to the Minister for Municipal Affairs and Modernisation, has been transferred to the Minister for Labour and Social Affairs, who is directly responsible. At the request of the State Council, the question was moved and answered before question 18, to be answered by the same State Council. Question 12, from the representative of Kari Henriksen to the Minister for Immigration and Integration, has been transferred to the Minister for Justice and Security, who is directly responsible. Question 17, from the representative Ruth Grung to the Minister for Fisheries, must be postponed until the next Question Time when the Council of State has left. Question 20, from the representative Hege Haukeland Liadal to the Minister for Culture, will be answered by the Minister for Labour and Social Affairs on behalf of the Minister for Culture, who has been away.
ParlaMint-NO_2016-04-06.ana.ud272e754	This question, from the representative Karin Andersen to the Minister for Municipal Affairs and Modernisation, has been transferred to the Minister for Children and Gender Equality, who is directing him.
ParlaMint-NO_2016-04-06.ana.ud272e757	‘Universal design is modern, functional and liberating, as many more become self-held, can move and use society freely. In the government’s new action plan, the goal of Norway’s universal design by 2025, set by the red-green government, is to be removed. This is a clear down-priority from the government and a serious setback for the objective of social equality for people with disabilities. What is the rationale for postponing the goal of universally designed societies for an indefinite period of time?’
ParlaMint-NO_2016-04-06.ana.ud272e764	The government is working for a universally designed society. We want to have a community where everyone can participate. Universal design is about equivalency, equal opportunities and a society without obstacles and impractical solutions. Universal design is also increased value creation, enhanced social sustainability and a quality of society that everyone enjoys, regardless of disability. The new Universal Design Action Plan, launched by the government in January, includes actions on the responsibilities of ten departments and covers, inter alia, the following: ICT, welfare technology, buildings, outdoors and transport. In addition to the State, municipalities, county councils and private enterprises are responsible for following up universal design in their fields. There is today a requirement that all websites addressed to the public should be universally designed by 2021. State buildings aim to ensure that all buildings they manage are universally designed by 2025. There are many good examples to show, but at the same time we have a way to go before we see a universally designed society. In 2014, only 7 pst. of public buildings in the municipal entrance party accessible to persons with reduced mobility. This is the average. In Stavanger there has been a good development. There's 32 pst. of the public buildings entrance batches available to persons with reduced mobility. Stavanger is also one of the very few cities with its own municipal district plan for the development of universal design by 2021. The experience of Stavanger and other municipalities that are at the forefront of universal design is important. That is why I am pleased that we are now supporting a local community universal design network in the KS to transfer competences between municipalities. The government prioritizes universal design. The government is systematically working towards the goal of a universally designed society. There is now a scenario project under the direction of Bufdir to identify the best and most effective ways to get there as quickly as possible. I would also like to remind you that the Stoltenberg II government formulated the year 2025 as a vision and not as a goal. This government also looks forward to a universally designed society, but does not consider it appropriate to set a year for when we are in port with this important work.
ParlaMint-NO_2016-04-06.ana.ud272e785	I record that the government doesn't have as its priority the universal design of society, because it's impossible to achieve a goal if you don't have a goal and set a deadline. Many people may need it – this house, for example. I know that there are 25 people who need wheelchairs, who don't get into the gallery today, who would have listened to this debate. So there are many who have a long way to go. But the Council of State has a coordinating responsibility for ten departments, which she now mentioned. Then there is reason to ask whether the Council of State now has an overview of the work in the other departments, and that they actually follow up what they are obliged to do, and whether the Council of State has some means at its disposal to ensure that this is actually prioritised in the budgets. Such a deadline is for all departments to follow up and give priority to it in their budgets during the budgetary procedure.
ParlaMint-NO_2016-04-06.ana.ud272e792	I thank you for the question. I can assure the representative that the government is taking the work of universal design very seriously. As the representative was concerned, which is quite correct, I have a coordinating responsibility. I have close and good cooperation with the departments concerned, which have – what to say – a foot in the work of universal design. I mentioned concrete actions against the work of local community networks in KS. I could also go into what goes on at national transport level, which is a good example of how the government is systematically working to make Norway universally unmistakable, but I expect that the Minister of Transport – probably – will come up with that in his answer to question 4 in today's Question Time. We're also working for a universally unincorporated society where everyone can participate and be more included. We have close and good cooperation with the organisations. I have also now taken the initiative of an annual round table conference, in which the departments concerned also attend meetings with the organisations.
ParlaMint-NO_2016-04-06.ana.ud272e801	So then we have a government council without a deadline and without any means to influence the other departments that are responsible for this. However, I have found one proposal in the draft budget of the Council of State, and that is to remove the special protection against discrimination and to present a common law on discrimination. What we're talking about now is social discrimination. It is a proposal such as: The disability association is opposed, because it weakens the protection – the concrete wording of the purpose paragraph, the loss of activity obligation, the non-inclusion of the CRPD into the law, the lack of equality between goods and services, and the lack of representation. It's a slogan that says 'Nothing about us without us', which is incredibly important. What is the reason why the Council of State will not listen to those organisations and the people concerned, and place their views more strongly on the scale of what kind of protection against discrimination should people have?
ParlaMint-NO_2016-04-06.ana.ud272e806	The government has gone out to consult proposals for a new common law on equality and discrimination, where we propose more concrete measures that will make the protection of discrimination for those with disabilities stronger than they have today. The proposal has been out for consultation, and the ministry and signed jobs are now going through the hearing replies. I cannot yet address what proposals we are going to promote for the Storting, but I can assure the representative that what is important for this government is to have a good law of discrimination for all those who are being discriminated against. We have also had a review of the enforcement system, because it is important if you are to have good laws, that you also have a good enforcement apparatus. The representative pointed out that there is a government council without any tools. This Council of State coordinates the government's work with universal design. If the representative goes into the budgets of the other departments, she will see that there are many reinforcements in the field of discrimination against universal design that this government takes seriously and works with.
ParlaMint-NO_2016-04-06.ana.ud272e817	‘Before the election of the Magnificent, the Right and the Advance Party promise war against the growth of bureaucracy. Making a stand-up after two and a half years with the Right Party-Registration, it's obvious that that war never happened. A new Norwegian record has been recorded in the number of members of the department and directorate, with over 1,500 new state bureaucrats since the government change in 2013. How many of these are people with disabilities?"
ParlaMint-NO_2016-04-06.ana.ud272e824	The representative Fredric Holen Bjørdal is concerned with the number of new employees with disability in directorates and departments in the last two years. In this context, I would like to mention first that the government is confirming a new employer strategy for state enterprises. The value base determines that enterprises are to be inclusive and diverse jobs using societal competence resources. In the sub-strategy dealing with the specific requirements we have for our businesses, it is said, among other things. that they should recruit widely and not ignore competences, develop a good and inclusive working environment, and strengthen their efforts in the IA work. As mentioned in Prop. 1 S will start a new training programme for people with disabilities in 2016 in cooperation with state enterprises. This will lead to an increased frequency in the implementation of these programmes. Work on increased diversity of the State labour force must take place within the current legislation. In the case of new jobs, the employer does not have the opportunity to ask the applicant for health information. It follows from the Working Environment Act. However, in order to contribute to the achievement of the objective of greater diversity in government employers’ policies, employers are required to call at least one qualified disabled applicant for an interview in all additions. In order to have such an increased chance of attending an interview, applicants are encouraged to mention their disability. The fact that an employee is disabled is a sensitive personal data and the Data Protection Act does not initially allow the employer to record or store such data about employees. These rules restrict the possibilities of the data base in this field. In the Labour Force Survey of the Statistical Central Bureau, a representative sample of all employees already employed in the country is drawn each year. These are asked anonymously for a lot of variables. In October 2015, the proportion of government employees with disabilities was around 8 p.m. The representative refers to figures that there have been 1,500 new employees in departments and directorates since the government change. Revised figures show that this increase is at the base of 1,400. Growth has come in priority areas for the government, including: in knowledge, transport, health, police and preparedness. The government aims to reverse the growth of bureaucracy. It shall take place through simpler and less bureaucratic processes. This could provide the basis for shifting resources from administration to better services.
ParlaMint-NO_2016-04-06.ana.ud272e846	The answer was fine in itself, but there was something elusive about the concrete thing I asked about, especially when we know that the number of non-employed disabled people who want work is stable at around 27 p.m. It is a cross-political objective, as the Council of State also notes, that several of these should come to work, not only because work improves the quality of life for individuals, but also because the participation of people with disabilities in the labour market will help society and businesses to take advantage of the skills and workforce they represent. Is the Council of State happy that failure in the relatively large bureaucracy box does not bring happiness, as I understand the Council of State, to the extent of adding more disabled people?
ParlaMint-NO_2016-04-06.ana.ud272e853	I am pleased that the Labour Party is also involved in this issue, that there is a cross-political desire that we should not ignore competence – that we should use the competence, regardless of whether we have a disability or not. My answer was very specific, because we do not have the opportunity to ask for this information or to register this information. It's sensitive health information, and it'll be quite surprising if it's the way the Workers' Party now wants us to ask about this. We are now laying down a new employer strategy, where we have clear objectives and clear tools to help the state to be a diverse employer. Finally, I am pleased that the Workers' Party is now also concerned that we should move resources from bureaucracy to better services. We've started that work. At the same time, I am pleased that we have grown where we prioritise growth, namely in universities, colleges, police and transport.
ParlaMint-NO_2016-04-06.ana.ud272e864	I thought the Council of State could be a little more ambitious and concrete in its approach to the issue. It is a requirement of disabled people’s organisations that the government should consider new tools to provide employers, both public and private, with more disabled workers. Now it's not all here that this Council of State is constitutionally responsible for, but the FFO is asking for, for example, the government to quantify a target to get 10,000 more people with disabilities to work in the next few years. They propose, among other things: to create ear-marked settings for disabled persons qualified for the job. In addition, they recommend that the government consider imposing public agencies to add more from the target group. Here the government has a chance to turn an unwanted growth in government bureaucracy into something positive. Will the Council of State seize that possibility? And how will he possibly follow it up in the departments?
ParlaMint-NO_2016-04-06.ana.ud272e869	Let me first thank the representative again for talking about unwanted red tape. It's our wish to have more policemen. It is desired that we have more researchers at universities and colleges. At the same time, we are taking concrete measures to shift resources from clean administration to better services. I am happy if the Labour Party now agrees with the government that this is an important goal. Then we have clear ambitions that the state should be a diverse employer. I think that the government can learn a lot from private companies, among other things. Telenor, who has gone ahead in this area. But we have to deal with the demands of the Working Environment Act, we can't ask for sensitive personal data, we have to relate to it. But we are now laying down an ambitious employer strategy with clear objectives in this area, and we are also implementing a trainee programme, which is a concrete measure to improve the facilities for people with disabilities.
ParlaMint-NO_2016-04-06.ana.ud272e876	Question 3 will be answered before question 18. Let's move on to question 4.
ParlaMint-NO_2016-04-06.ana.ud272e885	‘For many travellers, the lack of whole travel chains is a major challenge by the fact that the transition between modes of transport is not universally adapted or that there is a complete or partial lack of assistance service. Can the Council of State clarify when, and on which routes, he can promise universal design according to the standard for example on the 'East Line' route?’
ParlaMint-NO_2016-04-06.ana.ud272e892	First of all, I would like to say that it is important to contribute to mobility in society, for everyone who lives here. For people with disabilities, it is especially important that we facilitate access and when a person is on board collective means of travel. It's something we spend a lot of time on because it's about making sure everyone has an opportunity to participate in society. And it is important that as much as possible have a chance to participate in society, as a free individual who is not made dependent on the assistance of others – even if that assistance is good for those who need it. The transport policy objective of universal design is fixed and communicated in the current NTP. It's about contributing to the universal design of the entire travel chain. We would like to say that we would make sure that everything went right away, but we know that very much of the infrastructure that exists is built on a time when one did not have those priorities in place. Then it's about when we build new ones, we have to make sure it's universally designed. When we do major upgrades to existing stations, for example, we also have to make sure that it is raised to that level. But on many of the hundreds of railway stations and bus stops around the country, we have to do a priority on how we spend the money to get this target in place as fast as possible, but nevertheless with an understanding that it takes some time. In my meeting with the disabled people's organisations, they are very clear that it's important to have travel chains, that when you can get on a train, you should also be able to get off. Then it doesn't help that one repair any stations, then one has to repair the entire distance. Similarly, it is in the bus area. But because many of the services we offer often involve a trip by train and then by bus, it's about having to cooperate well between the state, the county, the municipality and the transport companies. There are currently legislation and standards requiring the universal design of both buses, trains and boarding solutions for aeroplanes. One currently has assistance services at all airports. In addition, Avinor works to make things better when they invest, so that one becomes the most self-driving wheel possible. On the railway there are six stations that have assistance services today, and there is in addition a five-six that one plans to implement during the year. In a lot of stations, we're now working to figure out how to provide good accessibility, also universal design, where we're able to achieve as much as possible in a good way. Over the next two weeks, I have a planned meeting with the disabled people's organisations, just to discuss what kind of flexibility we should give ourselves, to get the money to go as far as possible. Some places it's about that if one raises the platforms, one could come on board with a wheelchair without any problem. The nice thing is that if you come on board with a wheelchair without any problem, you will also be able to come on board with a baby carriage and so on. So there's a lot of people working on it.
ParlaMint-NO_2016-04-06.ana.ud272e905	I look forward to the government’s presentation of the National Transport Plan in this field. Let's see how much is in there. However, in the opinion of the Transport and Communications Committee on National Transport Plans 2014-2023, the present majority of the Committee, composed of the Progress Party, the Right and the Christian People's Party, had the following proposal: «The Government is asked to submit to the Stortinget a Universal Design Status Report in all transport areas.» Now these proposers also have multiple numbers in Stortinget, and my question to the Council of State will then be whether he has followed up, or will follow up, this point of a separate Universal Design Status Report.
ParlaMint-NO_2016-04-06.ana.ud272e917	It is always shocking when those who voted against a proposal in the previous period ask for its results when they themselves have come into opposition. We work with the National Transport Plan and have been presented with the assessments of the departments. Now we're going to use the next few years to travel around the country and beach and meet businesses, organisations, politicians and others to make our proposal for a national transport plan to be promoted for the Storting. Universal design is going to be an important part of it. It would also be natural for a status report to be included in the national transport plan. We will also ensure that until 2018, when the next NTP begins, we will implement the goals that I perceive that everyone in this room really supports, regardless of whether one has been in government or in opposition in previous periods. We're going to implement them in the best possible way. That's the point of wanting to talk to the disabled people's organisations to find out how they are comfortable with us reaching the targets in the best possible way, and where we can upgrade as much as possible of the low-traffic stations as well. If you were to universally design them, you would have to upgrade a lot fewer stations per year.
ParlaMint-NO_2016-04-06.ana.ud272e926	It's funny that the Council of States let themselves be charmed, but it's true that we voted against that proposal because we thought our proposals for follow-up in this area were adequate. Therefore, I am surprised at the attitude of the Council of State to that now. But the 2016 budget says that the government has a follow-up rate of only 51.2 pst. on universal design. Is the Council of State content to be so far behind in this area, which, of course, does not exactly make up the large sums, but which would imply a very great improvement in the quality of life for very many people?
ParlaMint-NO_2016-04-06.ana.ud272e933	In terms of appropriations, the representative refers to, a percentage follow-up, not necessarily how many stations you've been given something to, because much of what happens in universal design is not about the specific programme area, but it's about when a new one is built. And now it's building a lot of new stuff. There are a lot of other things that benefit from universal design, but that come at other program posts. So all in all, I think we're doing a lot of good. But one of the most important things I think we do – and that's exactly what I mentioned in my two previous answers – is that we have to discuss with the disabled people's organisations how to get the money to go further, so that we can upgrade some station areas without requiring them both to raise the platforms and to extend them, because then they fall into the priority order. If we can agree on e.g. raising the platforms on the routes which are, without automatically allowing any other requirement that one should also extend them, enter into force, projects tend to lose 40 million. NOK 2-3 million. kr. Then we should look at how we manage to achieve as much as possible, with an offer that is good enough for the disabled, without saying that we should have extravagant solutions that will make one not reach that far... [[President clubs]]
ParlaMint-NO_2016-04-06.ana.ud272e944	I allow myself to ask the following questions: ‘In the alternative report of civil society to the UN Committee on People with Disabilities, there is a lack of coordination and a lack of overall multidisciplinary approach between sectors in policy-making in this field. Does the Council agree with this description and what measures have been taken to counter it?’
ParlaMint-NO_2016-04-06.ana.ud272e953	I thank you for the question. It is my responsibility, as the representative says, to coordinate the policy of people with disabilities. The aim is to achieve a coherent and coordinated policy for people with disabilities. Coordination and overall efforts require clear sectoral responsibility and good cooperation between sectors and services. The principle of sectoral responsibility is a necessary and fundamental strategy for achieving the main objectives of this policy area. My main steps towards good state coordination are to provide good and comprehensive legislation, to ensure a good knowledge base and to maintain close contact with the other departments. Good and close dialogue with user organisations is also important in this work. I want to highlight the following important efforts that help the government to have a coherent and coordinated policy design: we are working on a new common law on equality and discrimination – an important objective of lawmaking is to provide a good protection against discrimination for all. Our technical directorate, Bufdir, is constantly working on strengthening knowledge development and getting better documentation on living conditions for people with disabilities. I have put down a sample to review the fundamental rights of people with developmental disabilities. This investigation will be ready for the autumn. I have recently launched a new action plan on universal design, involving ten departments in different actions. I follow up the UN Convention on the Rights of Persons with Disabilities, including in dialogue with civil society and the sectoral authorities. I prioritise dialogue and cooperation with disabled people's organisations. In order to develop a good and comprehensive offer for people with disabilities, we need to listen to those who know where the shoe prints. It is therefore important for the government to have a good dialogue with the organisations of the disabled. This is done through both contractual meetings, ongoing cooperation in individual areas and cooperation on joint events. Also underlying activities, such as: the Directorates have similar meetings with relevant organisations in this field. In my view, bureaucratic meeting structures do not necessarily contribute to a better dialogue. I am busy having direct contact and listening to the user organisations. I have taken the initiative to set up an annual round table, where relevant themes are addressed, based on the input from the organisations. The annual round table is coordinated by me and my department, but the relevant expert councils also participate. I experience that this meeting point helps organisations to make direct representations to the government on political issues that they think are central to addressing. Much of this work is done in the municipalities. All municipalities should have advice for people with disabilities. It is important that they provide advice in municipal work outside the municipalities.
