ParlaMint-NO_2016-05-11.ana.ud122e26	The representative, Tove Karoline Knutsen, will present a proposal for a representative.
ParlaMint-NO_2016-05-11.ana.ud122e399	The latter will now be followed up in the context of the implementation of the reform of the neighbourhood policy. Individual runs are now being made for the various police districts. Here the races will be slightly different in time from what police district they're talking about. We now have the functional holdings and the structure in place, and now we are going to work with the geographical holdings, which are also going to involve the places of employment locally. In the context of the work on functional holdings, the police chief will also be challenged on how to locate it in the police district. All the police officers have a conscious relationship with this, they have brought with them the Storting's clear order that there should be police force around the entire police district, and that there should be a division of competences in the police district. It is important to note that we should not have this as a centralisation reform, nor as regards the professional environments that we should strengthen and build. But there is also a need to have a strong focus on the part of the Department and the Police Directorate.
ParlaMint-NO_2016-05-11.ana.ud122e404	Iselin Nybø – for follow-up questions.
ParlaMint-NO_2016-05-11.ana.ud122e407	When I travel to the police, I feel that they are very satisfied with the job done around the reform of the police. They follow the Storting in need and in the logic behind it. But there are two things that I feel they're a little worried about. First of all, if we can get to the goal, that's to get the resources into the districts. And then it's the progression. For now there are many loners out there who don't know whether or not to maintain their loner's office, or what happens. It is clear that living with such uncertainty over time is demanding for everyone. The size has increased to a fairly large process, and it takes time to go through the processes one is going through to make the changes. But what does the Council of State do to ensure that we have progress in the work to be done and to ensure that we are actually able to carry out the good intentions that we agreed on in the context of the reform of the police?
ParlaMint-NO_2016-05-11.ana.ud122e412	I just want to mention that the feedback I get when I travel to the police is the same as the representative Nybø gets. It's an impatience. It might be one of the very critical factors we're now going into, because it's a motivation for change, and it's clear that the longer it takes before the change comes, the harder it can be to maintain the motivation, because it's also an uncertainty element with its own everyday life: what do I want to do in the future? How does my position in this system become? That's why I've been very concerned about the progress. But it is also true, as the representative Nybø says, that it has been put up from this house to extensive involvement processes in the setting-up, closure and maintenance of places of employment. We must respect that very much, because I think it is also important for this to be reformed. I'm following this very closely. I have monthly meetings with the Police Directorate and the Police Directorate leadership group on the follow-up to the near-police reform. We have made clear milestone reviews of implementation schedules that we are now in the final phase to determine. So it's a work that has a very strong focus on my part and on the leadership of the police.
ParlaMint-NO_2016-05-11.ana.ud122e422	Let's move on to the next main question.
ParlaMint-NO_2016-05-11.ana.ud122e425	‘Freedom of surveillance is a fundamental value in any legal State.’ It is a good quote. It's not my quote, it's the Minister of Justice's quote from when he was a magnificent – and together we stood on these interlocutors and had a similar commitment to stopping the Data Storage Directive and ensuring that privacy was raised high. Then we were many on the team, sail if we had too many against us. Then the Council of State also said: ‘We boast of being a nation where the individual is free and the legal certainty is well maintained. In my opinion, freedom from surveillance is an essential part of the concept of freedom." He also had the support of many who later became state councillors, as State Council Per Sandberg, who said that for the Progress Party it is that the absence of surveillance is part of the welfare. Tord Lien said it's about protecting the minority and protecting the individual from abuse by the majority. Councillor Jon Georg Dale said that Trine Skei Grande is very right when she says that tomorrow's generations will pass judgment on this proposal. It was adopted at Stortinget, but stopped by the EU. Now the Council of State has been the Council of State for almost a thousand days. He's got a lot of the guys from that debate on the team, inside the government. So now my question is to the Minister of Justice: When he has been in power for almost a thousand days – what initiatives has the Council of State taken to strengthen privacy in Norway? And when he's got the people he had in the data storage directive debate, into government – how did he use that commitment to strengthen privacy in Norway?
ParlaMint-NO_2016-05-11.ana.ud122e437	I have to say I am very pleased with that question, and I think there were very many good quotes from my and several other statesmen's posts in this room attached to, among other things. data storage Directive. I still mean exactly what I meant at the time – it is an important well-being to have the absence of general surveillance. What is one of the challenges in the trend we have seen in recent years is that monitoring by private companies, for example, is not primarily a challenge for the authorities. The net. What Google, Facebook and others know about your and my lifestyle at the moment is probably surpassing what the authorities have ever imagined they can gain insight into. I believe that I have taken very seriously this commitment in several areas. First of all, it's right that the representative Skei Grande says – DLD got his sentence on himself and never became a reality. We have now set up our own work in the Ministry both to follow up the Data Protection Regulation, which comes from the EU, and to – across departments – look at how we can strengthen privacy, completely independent of the Data Protection Regulation, for example, whether there is a need for, or basis for, own data protection legislation or a separate data protection law that could be a kind of framework around the protection of privacy in Norway. We have also been very clear in the follow-up to the Methodological Control Committee and the government's proposals for follow-up to the use of police methods on which data protection barriers should apply. And we've come up with the methods in a very good way, in my opinion, to ensure that one should sharpen the monitoring that a society needs, against those that the monitoring is supposed to target, namely those who have bad intentions or have committed crime. So I'm still as committed to privacy as I was in opposition, and I'm glad that the representative Skei Grande is addressing this at a time when privacy is still being challenged on new fronts.
ParlaMint-NO_2016-05-11.ana.ud122e446	I have to admit that I do not fully agree with the Council of State that privacy has been raised in some of the proposals submitted related to new legislation. But if we put it aside, we see that privacy is constantly being pushed throughout the justice sector, because of both crime prevention and counter-terrorism, and we see that much of this is pushing the entire law of the justice sector. The last time we had a data protection commission, we were going through the vast breadth of what the state council was talking about now, Google and apps and everything that monitors technology, but you really didn't go into the entire justice sector's demands. Now the Council of State says that he is discussing parts of this. But today, the Left put forward a proposal to get its own Commission to review the justice sector from a privacy point of view, so that we could have discussed the privacy aspects of both crime and terrorism. So the question is, will the Council of State support an initiative to get such a review, as in the proposal that the Left put forward today?
ParlaMint-NO_2016-05-11.ana.ud122e455	I also got the proposal from the Left, and I think it might be a good idea to have a thorough and good review of privacy-related issues. I am a little unsure whether it is necessarily right to limit it in the way that the proposal states – that it is only in the field of data protection in the justice sector, and where it should be reviewed – because if you look at data protection issues in a slightly general sense, the justice sector is a very important part of it, but it is far from the area that necessarily pushes data protection the longest and the worst and most. If one is to have such a commission, I believe that one should facilitate a data protection commission that will review the entire data protection perspective – that we will get the top-right look that is necessary if one is to look at what areas privacy is most under pressure – because then one will also be better able to put in targeted measures to ensure privacy in the future. I don't initially have any counterconceptions about that kind of commission, but I think the perspective might be wider.
ParlaMint-NO_2016-05-11.ana.ud122e462	Iselin Nybø – for follow-up questions.
ParlaMint-NO_2016-05-11.ana.ud122e465	Following these abuses, which have been exposed in kindergartens in Bergen, the Council of State Party colleague Laila Marie Reiertsen has proposed camera surveillance in all kindergartens, among others. with the following reasons: "We have other places where we have camera surveillance. If you do a good job and have nothing to hide, you should not have concerns about camera surveillance." My question to the Council of State is: What does he think about us weakening the privacy of children in this way to avoid such abuses in the future? And when children's privacy is like under pressure as we see an example here, the Council of State sees the need for a review of children's privacy, for example. through a child’s data protection commission?
ParlaMint-NO_2016-05-11.ana.ud122e475	Let me first say something completely general and generally about monitoring and the angle of incidence for monitoring. I do not agree with a basis that says that as long as you have nothing to hide, it is okay to be monitored, because then the monitoring does not have any privacy consequences. I mean the opposite. As far as monitoring is concerned, I believe that people who have nothing to hide are definitely perhaps the ultimate protection in terms of privacy – just to have said it. Of course, this also applies to children, and I will not rule out that it may be wise to take a closer look at the child's privacy. If you're going to do that, I might think that a not always should create new commissions to look at parts of a larger issue. However, in the case of Mr Nybø's proposals, the Left would be able to go into the proposal that has been promoted by the European Parliament today, where there may be a perspective in the work of any data protection commission, because it actually underlines the importance of seeing the protection of privacy and the threat to privacy in the context that I believe it deserves.
ParlaMint-NO_2016-05-11.ana.ud122e482	Hadia Tajik – for follow-up questions.
ParlaMint-NO_2016-05-11.ana.ud122e485	The balance between privacy and the fight against crime has also been updated with Prop. 68 L for 2015–2016 submitted by the Council of State, associated with hidden coercive measures and permits the police. Without prejudging the treatment at Stortinget, there are many measures that I believe will receive support from the Labour Party, but there are probably also some elements that I am a little questioning about. Among other things, the Council of State will allow public camera surveillance not only to apply to images, such as today, but also to sound. It is worth noting that this is not the current day. We also feel that there is no obvious reason in the proposition itself; there is something to discover when reading the legal text, that the extension has been opened for. So I'd like to hear how the Council of State evaluates this extension to allow all public cameras to capture audio as well as images. What does it have to say for the privacy of ordinary citizens?
ParlaMint-NO_2016-05-11.ana.ud122e492	This isn't about all public cameras. It is about the use of methods, where there is a legal understanding that a method can be used in relation to a very specific situation. It is in that image that the proportionality of the approach to the criminal action it is intended to prevent, detect or investigate is to be assessed. The question is how much it will deviate from what is today's system, in a modern technological development where cameras often have a sound function. So on our part, it has not been a purpose to create a larger extension than it is the basis for, and it is the right that will at any time take into account whether the measure is too intrusive, or whether it is proportionate. The combined capability of image and sound could help to provide evidence in a simpler way than having to have picture and sound separately, for example.
ParlaMint-NO_2016-05-11.ana.ud122e500	Jenny Klinge – for follow-up questions.
ParlaMint-NO_2016-05-11.ana.ud122e503	The main question from the Left concerns privacy, and it is an important topic. The importance of privacy and legal certainty is also important when assessing changes in the law. As mentioned here, the government has put forward a proposal to extend the possibility for the police and the PST to use hidden coercive measures to prevent and fight crime. There are critical objections to the proposal, including: from the Swedish Data Protection Agency and the Norwegian Journalist team. Can the State Council Anundsen draw up the objections he thinks are particularly important to listen to, and to which he thinks the Stortinget should take care of the matter?
ParlaMint-NO_2016-05-11.ana.ud122e510	I hope the representative does not expect me to argue against the government's proposal. But there are important considerations, which I also think comes out very well in the staging proposition, which goes in both directions. It is absolutely crucial – and that is what we have done in the proposition – to target methodology, look it up against privacy considerations and sharpen it in such a way that we balance it well enough. There will always be a discussion about the border between privacy on the one hand and the need for crime resolution on the other. There it is up to the Storting to find the balance. But today, for example. with regard to the main extension of data-reading methods, this is basically a technological adaptation, because it is information that would very often be obtained with traditional coercive measures if it had not been encrypted. Then you can say that you still move it a little bit closer because you go in at an earlier time and get information before you send it out. You could also say about the possibility of a secret search today. So there are many important considerations that need to be weighed against each other, and it is privacy versus crime prevention that is the most important thing. [[President clubs]]
ParlaMint-NO_2016-05-11.ana.ud122e519	That's when the time was up. Board Vegar Solhjell – for follow-up questions.
ParlaMint-NO_2016-05-11.ana.ud122e524	There were many commissions in the air at the same time here. But I think in many ways that the Council of State itself presented the most emphatic argument, because the challenge of privacy is perhaps the greatest when you see the width of different sectors where there is pressure against privacy, often with a very good purpose. It may relate to the fight against crime in the justice sector, more information on children when it comes to early action in the school sector, health information and car pieces for traffic management and road safety. However, in addition, those working in the individual sectors will usually have the objective of overseeing the fight against crime or better education, while privacy may be at risk of becoming a losing page view. So my question is: can the Council of State intend to support its own idea of a broad-based data protection commission that takes different sectors, sees them together, draws up status and proposes measures?
ParlaMint-NO_2016-05-11.ana.ud122e531	I think that's a good idea. We have ourselves considered putting down such a data protection commission. At the same time, we have seen that it is important to implement some measures across as quickly as possible, and as an alternative to a Data Protection Commission, we have set up a separate working group across relevant departments that will look at the same issues in many ways as it would be natural for such a Data Protection Commission to look at. The reason why we have done so is simply that we want to address the issue as quickly as possible and identify different challenges in different sectors that, overall, pressure the privacy of different teams. So we've chosen a different model in many ways, but one that still builds up from the overall perspective that such a kind of data protection commission could have contributed.
ParlaMint-NO_2016-05-11.ana.ud122e536	Let's go to the next main question.
ParlaMint-NO_2016-05-11.ana.ud122e539	My question goes to the Minister of Defence. The government has announced a Norwegian military contribution to participation in the fight against ISIL, a contribution in Jordan, but one that cannot ignore will eventually also operate in Syria. This means that Norway will now be heavily involved in a new large regional armed conflict. We want one contribution in Iraq and one in Jordan and Syria. At the same time it is this spring five years since the war in Libya, where Norway participated in a military operation with the original purpose of protecting civilians, but which eventually led to a regime change in Libya. Many people may say about Libya, but I think it may be possible to create a broad consensus that Libya is today one of the countries that works the worst in the world, and that have massive challenges – from humanitarian to social governance itself – without even suggesting that Libya was a particularly brilliant example of a well-functioning country before that. Nevertheless, the extensive Norwegian military effort of the spring, and the mandate of the changes that took place around it, has not been the subject of a wide and external evaluation until now, although it has been quite significant public debate on the contribution and on the idea of an evaluation. I would certainly say that it would be wise to evaluate that effort before a now started with a new one in the same region, but it is too late now. On the other hand, it is not too late to evaluate and draw lessons from what happened then, until later. So my question is: will the Minister of Defence propose and take the initiative for a broad and external evaluation of the Norwegian military Libyan contribution?
ParlaMint-NO_2016-05-11.ana.ud122e550	That's right, as the representative Solhell says, there's a lot to say about what happened in Libya afterwards. President Obama was very clear at the NATO Summit in 2014 that he felt the effort was right and important. I mean that too. I also assume that the representative Solhjell believes, who was in the government that decided it, but that what was missing was the follow-up, that is, the strategy on how to deal with the situation after a military action. Then the operations in Libya in their time and what is now happening in Iraq, Jordan and Syria, are very different. At the time it was about an action that intended to stop Gaddafi and his killing of the civilian population, it was an action that was quickly decided by the Security Council to give mandate to, and Norway participated in an air operation in line with other countries. What is now happening is a training and counselling operation in which local forces are able to handle it – I kept saying ‘unprecdented’, because that is what is in the mandate that we give – the threat that ISIL represents throughout the region, and that is another type of operation. We are currently carrying out a major evaluation of Afghanistan's efforts over many years, and I would like to make it clear that, although a major evaluation of Afghanistan's efforts has not yet been carried out, evaluations are being carried out all along. The defense does very systematic evaluations of what works, and what does not work. The U.D. and Norwegian authorities are also involved in the civil effort they are doing in addition. That is why I believe that we are now focusing first and foremost on the evaluation of Afghanistan, and on implementing and fulfilling the tasks we have undertaken.
ParlaMint-NO_2016-05-11.ana.ud122e559	I'm well aware of the reason for the participation, and I'm well aware that Obama is aware of it, but it's okay to think about it. I have actually noticed that President Obama, among others. has done a larger interview with the magazine The Atlantic recently, where he significantly troubles the effect of participation in Libya. You're allowed to go round with yourself and not least contribute to the public debate you could get, and the learning you could get, regardless of whether you still think it was wise. I'll also draw a parallel to what's agreed on Syria. Because that might be different, but it's important that there is an enlightened public debate in front, and in this case we don't have a big decision or a big debate about it. We have an entirely legal process, but my question is, could the Council of State consider taking the initiative for an open distribution or by any means bringing the new participation in Jordan and Syria to the Stortinget?
ParlaMint-NO_2016-05-11.ana.ud122e564	The Prime Minister made an open statement in Stortinget in connection with our joining the coalition and participating in Operation Inherent Resolution, of which this new contribution is also part. The Prime Minister and I have pointed out in the press conferences we have held, and in the statement made by the Prime Minister, just all the challenges of this kind of contribution. We have in no way hidden the fact that it is complicated, both because the image of the actor is complex, and because of course you should be involved in training and training missions where you never have guarantees of how this will proceed. That's why we also make ongoing assessments and changes to the operations in which we participate, for example. has done so in Iraq. In addition, the government has now also published the international legal basis and assessments made in the Ministry of Foreign Affairs. It's quite unusual to do, but we've done it to contribute to an informed and good debate. We are in discussions and debates, just as there has been a lot of discussion and debate after the Libyan mission. I think that's been right and important, because it's obviously always learning to draw.
ParlaMint-NO_2016-05-11.ana.ud122e572	There will be follow-up questions – first Kirsti Bergstø.
ParlaMint-NO_2016-05-11.ana.ud122e575	In the Question Time last Wednesday, the Prime Minister said that it is important that some people are fighting on the ground in Syria and in Iraq. It shouldn't be our troops, it should be other troops, but they need training to do it. At the same time, it is clear from the media, and also from the government, that the mission that has now been joined opens up for Norwegian soldiers to participate in operations inside Syria. We know that the basis of international law for the contribution is based on the invitation of the Iraqi government. My question today is: Will Norwegian soldiers participate in ground fighting in Syria, and will that be in international law?
ParlaMint-NO_2016-05-11.ana.ud122e582	Firstly, I have to clarify a manifest misunderstanding about the basis of international law. The basis of international law for our presence in Iraq is the invitation of Iraqi authorities. The basis of international law for our participation and training of local Syrian groups is linked to the collective self-defense of Iraq, and it is a basis of international law on which our close allies have also laid their ground. It is a basis of international law that has its origin in the very clear resolution adopted by the UN Security Council on 20 November last year, namely that ISIL must be combated by all means, all the necessary means, and not least that ISIL should be seen as a single entity in one area, namely Iraq and Syria. That is the basis of international law on which we and several other central allies build our presence. Then we've been very clear that it's not, either from the coalition or from Norway, the idea that Western troops are going to fight this fight. We're going to enable Syrian groupings and Iraqi forces to do that. We're going to advise, mentor and train, and if it's going to be time to go in and do this task on Syrian territory, we're going back with a special consultation to the Stortinget.
ParlaMint-NO_2016-05-11.ana.ud122e589	Anniken Huitfeldt – for follow-up questions.
ParlaMint-NO_2016-05-11.ana.ud122e592	I also think it is important to discuss the impact of military operations, and I think it is useful that we can have discussions that embrace wide, and that magnification and government also agree on how to conduct that kind of evaluation. It is difficult to compare what we did in Libya with what we have done in Afghanistan – where we have been for many years – and assistance, but I look forward to a further discussion on how we can get a good evaluation, because we need that. But my question is related to the contribution we are now going to make, which we have supported, and on which we have had good dialogue, and on which we are also going to have other consultations. It could also be an advantage, as the representative here was about, to get more discussion about this in the Stortinget. My question is related to NATO's role. The NATO Secretary-General has, of course, taken the initiative to increase NATO’s fight, not for the warriors of others, but for the strength and support of others. Will the Minister of Defence contribute to NATO's increased role in this area?
ParlaMint-NO_2016-05-11.ana.ud122e599	I would like to thank you for a good question and also for what is said about both discussions in advance and support for the mission. It is quite clear that there has been a discussion and probably will be a discussion ahead in NATO about NATO as an organisation to take a clearer role. In particular, it is based on the fact that all NATO member countries are involved in different ways, in addition to very many others that make up the coalition of 65 countries. The question is whether NATO can play a clearer role, for example: through the use of their command and control systems, which will make it easier for some smaller allied countries to participate. For the time being, there has been relatively little appetite for this in NATO among the Member States. It may change as the coalition has also increased and count all NATO countries — and it may be that benefits can be seen from the use of NATO. But from NATO as an organization, there has been a lot of restraint until now, and this is a discussion that I expect is also going to be there in the recording of the summit that takes place in July.
ParlaMint-NO_2016-05-11.ana.ud122e604	Astrid Aarhus Byrknes – for follow-up questions.
ParlaMint-NO_2016-05-11.ana.ud122e607	The ISIL terrorist group is a threat to international security, which in turn threatens our own security. Norway must therefore contribute to the removal of the ISIL Free Port of Terrorism, as called for in UN Security Council Resolution 2249. The regulations are clear: the contribution must be fully in accordance with international law, we must not be lured into a ground war, and Norwegian soldiers should not be sent into Syria. If this is the case, the Stortinget must be consulted – something the Council of State has also confirmed. But how will the Minister of Defense ensure that the selection, training and definition of the mission minimise the risk of training people who use the combat training in the terrorists' service, or in the inter-war between parties in the armed conflict in Syria?
ParlaMint-NO_2016-05-11.ana.ud122e612	Thank you for a good question and articles. There have been two very clear assumptions for the basis of international law and our contribution. One is that those we train and learn should only direct their efforts towards ISIL. The second is that they will not in any way disrupt the ongoing peace process, for there are now in many ways two conflicts in Syria. There have been very clear assumptions from us. When we provide this kind of training and training contribution, which we have good experience with over many years, we always have international humanitarian law and the international law of war as part of the training. The coalition made many experiences early on how to pick out the ones you train and learn, and now the selection and training procedures are much better. Assessments are made at individual, management and group level. Biometry, interviews, history and lie detector tests are used to identify who is worthy of this type of training. It's an important side of it, because it's these rooms that have to stand in front of the game.
ParlaMint-NO_2016-05-11.ana.ud122e619	Step Skei Grande – for follow-up questions.
ParlaMint-NO_2016-05-11.ana.ud122e622	We in the Left also believe it is important to have a debate, transparency is important, and it is important not to make this simple decision. It is difficult to say yes, but it should also be difficult to say no to participate in the fight against IS, which is also a struggle for our security. What's the challenge here, there's a lot of the questions that have been asked before, but it's also: what are we fighting for? We're very good at defining what we're fighting. It's easy to bring together an international coalition against IS, the values they stand for, how they act, how they relate to human rights. All of this is easy to mobilize forces against. But I think we're bad at saying what we're fighting for. What are we going to have when we're successful? What set of rules are we going to have when we're successful, and what goal do we set for the effort we put in here?
ParlaMint-NO_2016-05-11.ana.ud122e628	I agree with the introduction of the representative of Skei Grande. It's quite obvious that it's not easy, but the assessment that the government has made, like many others who are now taking part in the coalition, is that not doing anything is also a choice with consequences. I think it's important to emphasise that although this is complicated, it also has a cost of not doing anything – both for our own security and for regional security. To the question of what you are fighting for: As I mentioned in the previous answer, our contribution is very clearly directed towards combating ISIL. You could say it's fighting something, but at the same time, it's fighting for something. Combating ISIL is a crucial factor for development and stability in the region. It is a crucial factor in preventing both foreign fighters and terrorist acts, including in Western territory. Contributing to the ability of local Syrian groups and the Iraqi army to combat the threat posed by ISIL is, in my view, also to fight for something, namely stability and security.
ParlaMint-NO_2016-05-11.ana.ud122e635	Let's go to the last main question.
ParlaMint-NO_2016-05-11.ana.ud122e638	My question goes to the Minister of Justice. According to several newspapers, the evaluation of the Directorate of Police shows that the very unusual situation in Storskog in the fall, when there were record asylum seekers, got developed for several weeks before he was taken seriously. The police officer in Aust-Finnmark already sent an alert on 9 September, and according to this report, the police were not banned from the intrusion, they lacked both the competence, the crew and the infrastructure to which they were going. Neither the police nor the police nor the authorities seemed to cooperate well enough. Now this is a preliminary evaluation, but it still paints a fairly clear picture: that crisis awareness is missing in the Police Directorate, that the leadership of political leadership was absent, and when it concerns the outside warning, the police themselves, on the ground, in East Finland, they were not shown enough confidence. When it comes to the day-to-day routines of the Police Directorate, there is something for which the Police Directorate itself is responsible, but when it comes to understanding the crisis in a crisis situation, it is for the seventh and last Minister of Justice who is responsible – i.e. that the notice was not taken seriously enough early enough, and that Norwegian authorities lack sufficient control over Storskog Border Station over a long period of time. The question is why it took so long for the government to understand that the crisis at Storskog was a national crisis.
ParlaMint-NO_2016-05-11.ana.ud122e649	I do not agree that it took a long time. I mean it went very, very fast. It must be remembered that the background for Storskog was that there were almost no asylum arrivals from Russian territory to Norway. So we saw a situation where there was a cautious increase. It was something new. At the same time, we saw a situation in the south, where there was a dramatic increase. While the arrivals over Storskog were between the 20 and 30s, there were 10–15–20 times as much in the south. It was a situation where all our resources were already under pressure, and we were working on developing different solutions to prevent an even greater crisis on arrivals in the south. Then you might say in the light of the postwar clock that perhaps you should send up reinforcement resources to Storskog earlier than what was done. So they sent 24 new posts rather quickly. The blackmail police were sent up to reinforce it. The foreign agency of the police was sent up to strengthen border control. And this actually didn't go as slowly as the individual can get the impression -- it went relatively quickly. It was a development that, if you compare it to what was happening in the south, was very careful, even though it was dramatic. We managed both situations in a fast and efficient way with the resources we had access to, and we allocated resources to the north as quickly as it could. Then you could say that maybe you should have heard more about local forces. It will always be in an evaluation that there are learning points. I think there are many learning points in the sector evaluations that are now being developed, but to create the impression that this situation could have been very different with another kind of handling, I don't think that's why.
ParlaMint-NO_2016-05-11.ana.ud122e656	The Minister of Justice said there was a cautious increase in the north. But around the time when the police officer sends the notice - i.e. 9 September - the Prime Minister himself is talking about a dramatic increase in a party leadership debate, based on information from the Justice and Defence Department. Then she would talk about about about 200 arrivals every day. It was information that she trusted at the time. So it's not that one wasn't in a situation where one should have passed the situation. One should have understood that there was a warning from the police officer in East Finland that there was a need for more expertise, more resources, more staffing and a better management of the situation in Storskog. I'm forced to ask the Minister of Justice - since he's standing here saying that he didn't understand or should not understand at the time, or in the light of the post-war perhaps he should understand: what time was the Minister of Justice aware that there was a warning from the police officer in East Finland that one didn't have enough resources to deal with the situation?
ParlaMint-NO_2016-05-11.ana.ud122e665	I think it's a pretty good lesson from this case and many other crises that you shouldn't put your trust in wrong speech. So you can't plan a standby based on a 200 when the real one was about a tenth of it. I think it's a strange approach that the head of the Justice Committee has to that question if she really thinks that we were based on something that was completely wrong, which was based on a misdemeanour or a misdelivery of an information, would make contingency plans or follow-up plans for a situation that we couldn't possibly predict at that time. I think we should deal as far as possible with the facts, and therefore these evaluation reports are quite good, by bringing out different aspects of the handling from which we can draw benefits and lessons. That's the situation with all the handling situations, and we certainly have a lot to learn here as well. But let's not forget the rug. Let's not forget the situation that also applied in the rest of the country.
ParlaMint-NO_2016-05-11.ana.ud122e672	It opens for one follow-up question – from Helga Pedersen.
ParlaMint-NO_2016-05-11.ana.ud122e675	What we hear here is a government council that has a remarkable lack of recognition that things in Storskog were not handled as it was supposed to. What happened in Storskog is also reflected in a larger image. At this time last year, the entire media image was marked by a very high number of arrivals of refugees and asylum seekers in Europe. Nevertheless, the government was terribly surprised when the number of arrivals to Norway also increased in the summer of 2015. And not only that: although the government in its 2016 budget proposal stated that August was the largest asylum inflow month in Norway since the early 1990s, the budget for UDI was cut. In Storskog it took many weeks – the municipality of South Varanger and the local police were left alone – to deal with the situation, despite the fact that they knew and so, not least through the media, that the number of arrivals also increased there. So I repeat the question, how could the government and the Council of State be totally unprepared for the situation, and why not take action when everyone saw that things happened?
ParlaMint-NO_2016-05-11.ana.ud122e684	I get to say to the representative Pedersen the same thing as I said to the representative Tajik: the premise on the question is not correct. We weren't unprepared, we handled the situation the way we could handle the situation there and then. To give the impression that there is a lack of recognition that the handling could have been different is wrong. We are now working on evaluations to look at what could have been done differently. But I think it's important when you're going to review such evaluations, to look at what actually happened, what was done in relation to what could have been optimally done. Then one has to evaluate this from the real-time picture that was available of information at the very moment this happened. In the light of the post-war, it is often possible to say that more police resources should have been sent up more quickly. It would not reduce the influx of asylum, it would have no effect on anything but the handling and processing of the persons who came. In record time, we got up a separate reception centre in the municipality of South Varanger, among others. because the municipality of Sør-Varanger helped, stood on and made a huge effort with the floors. I just think that one has to take a little more into account what was actually done, based on the reality that existed.
ParlaMint-NO_2016-05-11.ana.ud122e695	So the oral question procedure is over.
ParlaMint-NO_2016-05-11.ana.ud122e707	There will be some changes to the configured question list. In this context, the President refers to the electronic question list. The proposed amendments are proposed for approval. – It shall be deemed to have been adopted. The changes were as follows: Question 1, from the representative Magne Rommetveit to the Minister for Transport, will be answered by the Minister for Industry who directs him. Question 2, from the representative Line Henriette Hemdal to the Minister for Economic Affairs, has been transferred to the Minister for Culture, who is directly responsible. At the request of the Minister for Culture, the question is moved and answered in response to question 8, to be answered by the same Council of State. Question 3, from the representative Anne Tingelstad Wøien to the Minister for Climate and Environment, is postponed to the next Question Time when the Council of State has left. Question 4, from the representative Rasmus Hansson to the Minister for Climate and Environment, will be answered by the Minister for Industry on behalf of the Minister for Climate and Environment, who has been away. Question 6, from the representative Jan Bøhler to the Minister of Health and Welfare, is postponed until the next Question Time, when the Council of State has left. Question 7, from the representative Hanne Thürmer to the Minister for Justice and Security, will be raised by the representative Geir Jørgen Bekkewold.
ParlaMint-NO_2016-05-11.ana.ud122e730	This question, from the representative of Magne Rommetveit to the Minister for Transport, will be answered by the Minister for Industry who directs him.
ParlaMint-NO_2016-05-11.ana.ud122e733	‘The basic document for the national transport plan 2018-2029 shows that 476 people have died in connection with the use of recreational craft in the period 2002 to 2015. Fortunately, for several years we have experienced a marked decline in the number of people killed and seriously injured in car traffic. What measures will the Council of State put in place to strengthen maritime safety for recreational craft, and will the Council of State, as pointed out by several recreational boat organisations, consider a separate 'unclosed group' as one of the measures taken to improve the safety of those sailing in recreational craft?’
ParlaMint-NO_2016-05-11.ana.ud122e740	The Government is committed to increasing safety in the use of recreational craft and wishes to take measures that may reduce the number of fatal accidents. On 1 May 2015, it was mandatory to use float-west equipment on recreational boats less than 8 metres. In addition to increasing the safety of individual boat users, the directive intends to help create better attitudes at sea. To find out if we achieve the desired effects, I have decided that the directive should be evaluated. That evaluation will be completed at the beginning of June 2016, and I await the results of this study before assessing further its follow-up. The awareness-raising work relating to maritime safety is and must always have a high focus. Much has been done over several years to increase safety in the use of recreational craft. Increased knowledge of boat life through work on good attitudes, the introduction of a mandatory boat driver test and an information campaign aimed at fishing tourists are among the measures that have been implemented. Last year the curriculum was revised for the boat driver's test to increase the focus on good seafarers, the rules of the sea and the dangers associated with high speed. The SHT is responsible for investigating maritime accidents, including accidents involving recreational boats. SHT is not obliged to investigate such accidents but may, on a professional basis, decide to investigate them. The contribution the study can make to the overall maritime safety work is crucial. The government believes that it should be withheld from the SHT or any other body that all, or specific types of recreational boating accidents should be investigated. In addition to SHT being able to investigate recreational boat accidents, the police are investigating accidents where criminal offences are suspected. We know that there are often no single factors that cause pleasure boat accidents. There are many times a combination of several factors: too high speed, per mille, lack of use of floating equipment or driving in the dark. The Maritime Directorate conducts statistics related to pleasure boat accidents and uses the information in its awareness-raising work. Accident statistics do not provide a basis for making precise conclusions about causes and events, but nevertheless give an indication of the most common causes of accidents. With regard to the question of the recommendation of the trade unions to the future NTP, this is a matter for consideration in the Ministry of Transport and thus not concluded.
ParlaMint-NO_2016-05-11.ana.ud122e762	I thank you for your answer. I then saw that we were going to enter the Chamber here, that the question that was addressed to the Minister for Transport, “will be answered by the Minister for Industry who is directing him”. It's probably right, but at the same time, the Ministry of Transport also has something to do with it – they run the Coastal Works, ports, fairways, loos, the Rescue Company, the State's Maritime Commission for Transport and the NTP work, which has transport safety as an important point. Then my question is, Are there too many actors involved in this? Wouldn't it be good, as the boat industry wants, to get an accident group that really takes hold and takes hold of this? Is there anything the Council of State might think of going on with – it may well be from the Directorate of Maritime Affairs?
