ParlaMint-NO_2016-06-07.ana.ud158e111	The representative, Helga Pedersen, will present a proposal for a representative.
ParlaMint-NO_2016-06-07.ana.ud158e1191	Thank you for the question. No, it's not that we politicians can decide what the kindergarten employees are going to achieve with our children in kindergarten. We need to give the employees confidence, time and space to take care of the individual child, to see the needs of the individual child and to follow up the individual child in an appropriate way. That is why today we are also spending so much time in this debate reminding the government parties that the best way to achieve better quality across the whole line of kindergarten would have been to implement the majority decision on a recruitment standard by 2020 and increase pedagogical density. It would have given better room to follow up on the individual child and thus have led our children to better language development, socialisation and integration and be better protected for the school. I am very pleased that the Workers' Party, the Christian People's Party, the Left and the rest of the opposition today are voting down the proposals that, on the contrary, would lead the employees to spend their time on more documentation, more paperwork, which would remove the focus from the qualitatively good follow-up of the kindergartens.
ParlaMint-NO_2016-06-07.ana.ud158e1200	It's a pleasure to be with the representative Trettebergstuen on a lot of good suggestions today. Good craftsmanship has been done in the Committee of the Workers' Party and in the Christian People's Party. The process around this message has shown that one of the things we can't trust with regard to this government is that it will anchor the work well in the sector with those who know the nursery best – those who work there, those who research in kindergarten, those who sit on the profession. There are already proposals and comments that underline this on the part of the Workers' Party, but precisely because of that experience, SV has wanted to go even more concretely to work and to decide that the work on the framework plan must take place through a process in which the profession itself participates. That is why I would like to challenge the representative of the Trettebergstuen whether the Workers' Party will agree to this, so we are absolutely sure that we have committed well enough.
ParlaMint-NO_2016-06-07.ana.ud158e1209	The representative Lightbakken is quite right in saying that this message and the treatment it receives here today, and the uprising it has created, is a result of a government that does not do its work well enough, which does not listen to researchers, professionals and the industry itself, nor to the people most concerned about, who are – and will lead to – better quality in kindergarten. When the representative Lysbakken himself sat in government and co-ordinated with the Workers' Party, and we presented our report on quality in kindergarten, there was just an inclusive process around the revision of the new framework plan, one of the prerequisites for a new framework plan. SV does not sit in the committee itself, but I can assure the representative Lysbaken that we fully agree that when the framework plan is to be revised, it must be done with broad involvement from those who know where the shoe prints – the professionals in the industry itself and the educators. The proposal that we have put forward in the vote covers the view of the representative, Mr Lysbakken, on this point.
ParlaMint-NO_2016-06-07.ana.ud158e1218	The cord shift is over.
ParlaMint-NO_2016-06-07.ana.ud158e1221	The Christian People's Party is very pleased that the kindergarten has really been put on the agenda in Stortinget. Both the legislative proposals and the notification we have to deal with today have created a great deal of commitment, and that commitment is to be very much appreciated by politicians responsible for the country's child care policy. The issues we are dealing with have created a strong debate, and as the committee has worked on the legislative proposals and the communication, I think it is right to say that the Stortinge has listened to the signals that have come, not least from the kindergarten sector itself. In addition to the two legislative proposals, we are dealing with the kindergarten message, Time for play and learning. Better childcare facilities. So this is a pediatric quality report, and even though the committee agrees a lot, the Council of State has to excuse me, because I was both amazed and disappointed that this quality report contained nothing about what really could have given the kindergartens a great quality promise, namely the standard of staffing and the standard of kindergarten teachers. I will come back to that, but this was very disappointing, and today the Council of State is given ample opportunity to explain why this is not promised in the notice. Christian People's Party supports the government's proposals for changes in Prop. 33 L, with some exceptions, first and foremost the proposal for the first paragraph of Section 2 of the Kindergarten Act. When we promote proposals where we ask the government to come back to Stortinget with a new proposal to amend Section 2, it is because of this: With a majority for such a solution, the government will have the opportunity to start this work on the basis of the attitude of the majority of the population. The propositions and the message have a completely different starting point than what the mass mass represents, as we have seen. It's been made clear over the past few weeks. Both the legal text and the propositions have become a patchwork of conflicting signals and leads, and it is very unclear to what extent it will function as a management tool. As we understand it, we don't put the nursery in a lawless state for that reason. Kindergartens are still subject to the Data Protection Act. We do not want the sentences in the government parties' legislative proposals on the routine of documentation. This implies a legal obligation to document and, with the text of the proposition and the notification, this becomes a wrong signal to the sector. If there is a need for a legal framework for the processing of personal data to be maintained, it is enough to mention this only, rather than ‘the routine of documentation’. The background for our skepticism here is, among other things, that the Government of the Proposition does not draw a distinction between documentation, assessments and surveys, etc., as pointed out in our remarks. Then we are very sceptical about the introduction to the comment that seeks to make sure that there will be no changes to the current law and framework plan. We believe a problem today is that today's law and framework plan are interpreted differently. In the view of many people, much of today’s practice in kindergarten is far from the intention of the framework plan. Therefore, we absolutely do not think it reassuring to write: «Today, in line with today's framework plan, systematic observation, documentation and assessment of both the activities of kindergarten and of single children.» This may be true, but it is equally true that there are also practices that are absolutely not in line with what we understand as the intention of today's framework plan. We are in doubt whether it is desirable to legitimise such practices through the new proposal. The Christian People's Party believes that the government's proposal for a new section 2 is better than the government's proposal, but the Christian People's Party will vote to ask for any new proposal from the government, if such is the case, that there is a legal basis for processing personal data. We feel that there are too many ambiguities in what's going on here today, that we want to vote for something else. The Christian People's Party is voting for the government's proposal for a supervisory regime, provided that this is evaluated after two years, and if the evaluation shows that the local authority's supervisory responsibilities are not respected in a good and quality manner, the road will be short here on the Stortinget to propose independent supervision. The Christian People's Party also promotes this proposal: ‘The government asks the Government as soon as possible, and at the latest in the autumn of 2016, to promote a case for the Stortinget where the government’s work on the standard of living and child care teachers’ standards is being prepared.’ So, as I said, the government has presented a report on quality in kindergarten that does not refer in one word to the Christian People's Party's opinion is the most important thing for the quality of kindergarten, staffing standards and kindergarten teachers – enough adults and enough kindergarten teachers. The Christian People's Party believes this is absolutely fundamental, because with enough kindergarten teachers, we guarantee quality through competence and knowledge. The government solution is to try to ensure quality through standards and standardisation. Norms don't create quality, and children don't get better at measuring. Good enough quality in all kindergartens we ensure with demands for enough adults to work all day long and with demands for enough kindergarten teachers in all kindergartens. The Christian People's Party will not have language norms, dividend requirements, more screening and documentation. We therefore promote these proposals, and hope that the majority of the Grand Duchy will vote in favour of the children: ‘The government is asking not to draw up guidance standards for the linguistic basis that children should have with them from kindergarten.’ ‘The government is asking the Ministry to clarify the objectives of the kindergarten’s work in language and to set targets on how the nursery is to work in the field of play, care and social skills.’ It is about not setting targets for each child. The work of kindergarten is to be focused on in the framework plan, not on the performance of the individual child. We listen to the professionals who say that target management of young children will kill learning and work against their purpose. The Christian People's Party is pleased that the Stortinget today gives a clear message that we want to continue the Norwegian and Nordic kindergarten tradition. For the Christian People's Party is one of the main pillars of kindergarten policy: Don't make kindergarten a school! Let care and play touch the sector and let learning come through games! The Christian People's Party has great faith in the Nordic kindergarten tradition, where the self-esteem of childhood and the free play of children are preserved. The youngest children got a little lost in this message from the government. In Stortinget we raise this perspective. The youngest need small groups of children, they need to belong to a group of children, and they need a good time to get used to it. Not least, it is important for the youngest children that enough adults are present all day, and that there are enough kindergarten teachers in kindergarten. Then the Christian People's Party is pleased that all the parties in the committee are behind this proposal for bullying: «The government is asking the government to propose its own legislation on a safe environment for care and learning, cf. Section 9a of the Training Act.’ We agree that there is a need for further legal support for the relationship and anti- bullying work of the kindergarten. This is an important step in the further work on bullying even in kindergartens. Then to Prop. 103 L. Christian People's Party approves the Government's proposal for changes to Prop. 103 L, with only one exception. As regards the parental benefit exemption for children receiving special educational assistance, the Christian People's Party believes that it should continue. The Children’s Home Law Committee argued that reduced parental pay for this group of children could stimulate increased childcare participation. Childcare participation is likely to have a particularly positive effect on these children, and parental deductions may help to make the child’s needs for special educational assistance easier to see in relation to the child’s day-to-day childhood. For families with income above the income limit of the maternity schemes and with high expenditure, the removal of the reimbursement scheme would be of economic importance. We believe that this is unfortunate, and we are therefore promoting the following proposals: ‘The government asks the government to continue the scheme of deduction from the parental allowance for children receiving special educational assistance.’ Then in a later article I'll come back to other things in Prop. 103 L, e.g. what to do with the movement of the date limits and how to understand them. I also need to discuss in a later article how the Christian People's Party will vote in these matters.
ParlaMint-NO_2016-06-07.ana.ud158e1289	It's going to be line change.
ParlaMint-NO_2016-06-07.ana.ud158e1292	Once again, I would like to pierce a little by the standard of manning. After all, the size of the population has – and has been said repeatedly from the pulpit here now – adopted a standard of manpower and asked for an escalation plan, not a budget plan as it is claimed. It has not been followed up in the message, and we have heard the excuse from the representative Harberg, and there is probably one coming from the Council of State. I hear the disappointment of the representative Bekkewold's posts, and I give him the opportunity to deepen even more disappointment. What does the Christian People's Party really think about the government not following decisions made here in the Grand Duchy, and that we must once again propose this?
ParlaMint-NO_2016-06-07.ana.ud158e1300	In my speech, I tried to express this, but of course within the framework of the parliamentary language, because I was both disappointed and surprised that in the communication we could not see in any place that this important area was raised, despite the fact that the Council of State has been very clear that this is going to take place by 2020. So it's part of the story that the Christian People's Party has been more impatient than that. Two years ago, we said that we need to make this happen already in 2016. In our alternative state budget, we added 300 million. kr to a quality lift in the nursery, which was about the standard of living and the standard of kindergarten teacher. So there is no doubt that the Christian People's Party is disappointed, and we expect to get a case to the Stortinget in autumn 2016, where the government tells the Stortinget how it works with this norm.
ParlaMint-NO_2016-06-07.ana.ud158e1307	The cord shift is over. The representative, Mr Bekkewold, mentioned a proposal – is it a proposal that has been raised?
ParlaMint-NO_2016-06-07.ana.ud158e1312	Yes, it is a proposal that has been taken up, but there are so many proposals now, and I need some time to be able to prepare for them.
ParlaMint-NO_2016-06-07.ana.ud158e1317	That's what the representative needs. It seems to be a while until we're done with the debate.
ParlaMint-NO_2016-06-07.ana.ud158e1320	We have to do this properly.
ParlaMint-NO_2016-06-07.ana.ud158e1325	There are a lot of things and a lot of suggestions to decide about one not in the committee. I'll try to go through them in a good way to make the Center Party's position visible in these cases. In the case of case No. 6, on changes in childhagelova and training laws, the Centre Party will support the removal of the legislation on children under the compulsory training age from the training law of the Kinderhagelova, as outlined in the proposal, and the simultaneous relocation of the municipality’s obligation to provide the appropriate childcare facilities for children with disabilities. We also support the proposal that children born in September and October should be given the right to kindergarten from the month they reach the age of one year. We have argued that the government will ensure that this is done in a way that guarantees the quality of supply. In this case, we will also support proposal No. 2, by the Workers' Party, to review the financing of kindergartens with a view to providing equal value in favour of quality and accessibility requirements. Case No. On the subject of changes in childcare facilities, the Centre Party supports the proposal to give the County State the right to supervise kindergartens on a case-by-case basis, but that the municipalities still have the primary responsibility for the supervision of kindergartens. This is a very important matter, which I myself have been concerned with as a local politician, because I have seen that the supervision of kindergartens has not worked as intended, and that it is often the Labour Inspectorate that needs to be consulted if there is something or other, for example. with the indoor climate. This is an improvement. The centre party has stated that there will be a slightly more independent supervision, and I believe that I can strengthen the quality of supply. In this matter, the government also proposes: ‘In order to ensure early work and the provision of childcare facilities for children and children, the Ministry proposes that the Children’s Hospital Act should specify that the educational offer should be documented and evaluated.’ Barnehagelova does not contain any information about this today. The centre party is clear that we don't want a direction where we get a lot of monitoring of children in kindergartens, and we think that the competence and development of single children should only be documented if there are good educational reasons for that. We support the Workers' Party and the Christian People's Party's proposal in the position to ask the government to come back to Stortinget with a proposal for a new Section 2, first paragraph, which takes care of a possible need for legal protection for the processing of personal data, but which in no way facilitates more documentation, monitoring and measurement of the individual child. We also support proposal No. 2 in the position, from the Workers' Party and the Christian People's Party, to ask the government to bring up a matter of government's work on staffing standards and child care teachers' standards, and we can support Left's proposal No. 4. Subsidiary, but we believe that proposal No. 1, from the Workers' Party and the Christian People's Party, where we go straight against Section 2, is the best proposal. When it comes to kindergarten, it's an incredibly important and loving thing, and everyone can be a part of the overarching goals, that we should have safe kindergartens, that we should have high quality, and that we should have a kindergarten that is available to everyone, where children should thrive, develop and learn. So we're going to have supplies that are available, regardless of the family background. The title of the kindergarten message is ‘Leakage and learning time – Better childcare content’. We mean that the title is very good, but the content doesn't live up to the title. I have made one point – it has also been said a lot about it in this room today: Why do we have kindergartens in Norway? Is it for us to make sure that our young people get scoundreled? Is it for us to make sure that our kids get a good education? That's the first step in the education process, it's said. Is it to ensure integration? Is it for a good job? I want to make it clear that all these kindergarten days are life itself. It's the very life of our kids, and it has a self-esteem to be in a nursery. A nursery is not a means of achieving something later in life, it's life there and there. Four or five years is a long time, it's a whole childhood, and I want to simplify this to a very simple sentence about what must be the purpose: it must be fun to go to kindergarten. I think if one has fun in the nursery, one also learns all of this. It was a personal statement. The centre batch has submitted several suggestions on the matter, and I will try to go through them, so that the hall is informed about how we think. We have a suggestion in a crew standard to assess the requirement of at least 50 pst. kindergarten teachers and 25 pst. child workers and youth workers in kindergarten. This is in line with what came into the earring in the matter. We have a proposal where we ask the government to take care of the Nordic kindergarten tradition, where development and learning take place through free play, and therefore do not give the day-to-day babysitting a clearer educational content in a new framework plan. With this proposal, I would like to make it clear that we do not believe that the transition kindergarten school should not be improved. It needs to be improved, as also mentioned in the message, but when it comes to the transition of kindergarten schools, we end up with what is stated in the message that the department assesses the lawfulness of this cooperation in order to ensure good transitions. But we don't want a kindergarten that puts more emphasis on being preschool. We have a proposal asking the government to ensure that a new framework plan does not lead to additional requirements for the documentation and monitoring of single children as part of the educational activity. We have a proposal to ask the government for a new framework plan to give confidence to pedagogues in kindergartens by indicating that kindergarten teachers are at the heart of the choice of pedagogical and methodological tools, and that, as a rule, such choices should be the pedagogical guidance in kindergarten. We have a proposal to ask the government in the framework plan to strengthen their pediatric responsibility to take care of the mother tongue of the children and the potential for good linguistic development, to increase the multicultural competence of the nursery and to strengthen their parents' right to participation. It is surprising that there is so little talk about mother tongues, but only about Norwegian as the second language in this debate. We have a proposal to ask the government in the framework plan to make sure that in shrouds with new Norse to use both public and private kindergartens in the nursery. This is an output from, for example, The target. This applies, for example: having new books available. We have a proposal not to change the distribution of the ear-marked national code for better language understanding measures among minority language children in early school years. Today, there is a system that is provided in all municipalities, and the proposal is distributed according to the number of minority language children to be in kindergarten. It is now centralized to cities with a very large minority language, and other municipalities are not supported. The center party is against that conversion. We have a proposal asking the government to ensure that the framework plan sets out clear demands for systematic and formalised cooperation between kindergarten and child protection, so that kindergartens are better able to send out concerns in case of suspicion of care failure and/or abuse. We have a proposal where we ask the government to follow up the objectives of the Report. St. 19 for 2014–2015, the Public Health Communication, to assess an own law on the working environment of children. I see that in the proposition here it's referred to the public health message, but the joint statement that one should evaluate an own law on the working environment of children is out of the proposition. I sometimes have elephant memory, and I think this very well because the government party went out and made this a new story. I thought that proposal was good. The proposal in the Roman Numeral Decision to secure the Statutory of Law, cf. training law § 9 a, we can vote in favour of subsidiary, but we do know what it is like in school. That's not good enough, and I have a great sense of evaluating a child's own law on the working environment. We have a proposal to secure measures leading to the recruitment of more men in kindergarten, and we are going to vote in favour of the Left's proposal. Otherwise it looks like I have to come up again and explain the rest of the vote. But at least I'm making my suggestions to the Central Party.
ParlaMint-NO_2016-06-07.ana.ud158e1381	The representative Kjersti Toppe then brought up the proposals she has referred to.
ParlaMint-NO_2016-06-07.ana.ud158e1384	This case, which several have already been involved, has created a great deal of commitment in the kindergarten sector. It's not for no reason. There are significant changes the government has proposed, and then it is positive that the profession engages and expresses what they think is a good development of kindergartens. One of the issues that has been much discussed is the collection and monitoring of personal data. For the left, it's important that kindergarten is something other than school. It's the game to focus on in kindergartens. So it's clear that there's a lot of learning in games, and that's the way it should be. Kindergarten is an important arena for learning. We can do that, for example. look at languages. For young people struggling with language, kindergarten is an important area for language training. For those kids who don't speak Norwegian at home, the nursery is perhaps the most important arena to learn Norwegian. Then, fortunately, most of the kids go to kindergarten, and together with the government, the Left and Christian People's Party has made an important effort to bring down the price for those with the lowest income, so that there are no kids being kept out of the important arena for economic reasons. In our kindergartens we have the whole range of kids. We have kids with major disabilities. We have kids with mild disabilities. We have kids with dyslexia. We have kids with dyscalculi. We have kids with behavioral problems, and we have kids without any significant challenges. We have kids with difficult relationships at home, etc., etc. Lucky are we who have such a system that can preserve the whole diversity of kids. When such a large range of kids are gathered in one arena, it goes without saying that there are different assumptions, different challenges, different follow-ups to be implemented. Kindergartens across the whole country are monitoring young people. They find out what is needed for follow-up, they carry out the follow-up, they have dialogue with parents, etc. I guess no one wants no pups to be surveyed. What we're skeptical about is the mapping of all kids, whether they need it or not. In the context of monitoring and follow-up, the protection of the privacy of children is essential. It can't be that kids have a weaker privacy than the rest of the population have. We have received clear feedback from, among others. The data supervision that it is necessary to clean up the basis of origin. This is a job that has to be done by the ministry. However, it is necessary to specify that such clean-up, or preparation, shall not mean that kindergartens should start to monitor or measure more than they do today. On the contrary, there may be reason to see whether they are being surveyed a bit well in today's kindergartens. That is why the Left has put forward a proposal, which we consider to be necessary to clean up the foundations of childcare to follow up those young people who need special follow-up. If this proposal does not get a majority, we will of course vote in a subsidiary way for the minority proposal that exists from the Labour Party and the Christian People's Party. As we in the Left see it, the most important thing is to make sure that children's development is that we have competent adults in kindergartens. It doesn't matter whether we fill kindergartens with adults who have child-care skills or whether being an adult in itself is a qualification enough. Doing educational work with children is not easy just because the kids are young. As I can understand it must be much harder the smaller the kids are, and then there's more reason to fill our kindergartens with people who know what they're doing. We support the proposal made by the Workers' Party and the Christian People's Party on a standard of living, but we do not want this to be just about kindergarten teachers. We also believe that we must include those who have a diploma. The left has an explicit goal of that 50 pst. by the staff shall be kindergarten teachers and that 80 pst. shall have children's professional competence. In this way, we fill kindergartens with people who can see the individual child, who know what challenges they have, and how best to deal with the challenges within the framework of kindergarten. We are also promoting this proposal today. We also promote proposals where we ask the government to look specifically at how we can recruit men in the nursery sector. There are too few men working in kindergartens today, and it is of great value that both sexes are represented in this profession. I am therefore pleased that many have expressed support for that proposal earlier in the debate. We have recorded that the Committee now insists that a level of Norwegian competence should not be laid down for the employees of kindergartens. This does not agree with the Left. We believe that the Norwegian knowledge of those who work so closely on kids is important. Barnehagen is, as I have said before, perhaps the most important arena for Norwegian language in many young people, and then it doesn't matter whether the employees can Norwegian or not. When this is discussed, we are often told that it would be unfortunate to make such demands, because kindergartens are a place there, for example. many immigrants can get a job. Of course, we are not against the fact that there should also be places of practice in kindergartens, as it may be in the vast majority of other jobs in this country. But it can't be that kindergartens should be a place where those who don't get a job elsewhere are placed. Our kids are the most important thing we have. Good Norwegian skills are important when young people start school. We believe that Norwegian staff skills should be required. We will therefore not support that proposal from the Committee and promote a separate proposal on this point. If our proposal has a majority, the government must come back to the Storting and promote a proposal for legislative changes. And then we assume, of course, that you take into account that there has to be some flexibility in kindergarten, so that it has to be, for example. is the room for people to be admitted to practical places. We assume that the necessary exemptions from such a provision will be discussed and brought to light in such a case, with which the government will have to come to the Stortinget. As I have said before, the Left wants to 50 pst. by staff shall be trained kindergarten teachers and that 80 pst. by staff members, they shall have the professional competence of children. If we manage to meet this at some point, we have largely solved the Norwegian challenges, because if you have that education, you also have the language skills that are needed. In terms of language standards for the kids, we are fully in line with the Workers' Party and the Christian People's Party. We don't want that. Kids are different, and they're going to be allowed to be. We are afraid that such a language standard will have to lead to a large-scale mapping and a lot of bureaucracy. There are resources that are better used in meeting some children. Rather, we need to focus on the number of employees and the skills of the employees we have. Finally, I would like to address the proposals submitted by the Left.
ParlaMint-NO_2016-06-07.ana.ud158e1414	The representative Iselin Nybø has taken up the suggestions she referred to.
ParlaMint-NO_2016-06-07.ana.ud158e1417	Now almost all children in Norway go to kindergarten before they start school. SV is very proud to have contributed to the kindergarten reform that was carried out during our reign, which made it possible. It is perhaps the largest and most important promise for the Norwegian welfare state in many decades. It means a new everyday life for Norwegian children and for Norwegian families. Several children are given the opportunity to participate in the learning, the well-being, the development of curiosity, social competence and language, and the secure framework around the everyday life that kindergartens mean. It also means a simpler everyday life for families. This means that more people can participate in the world of work, and that means over time – I am convinced – social cohesion, because kindergarten is an arena to give equal opportunities to different children. It's an important arena for the fight against Difference Norway, to create a society that doesn't give up one child. It was a courageous political choice to implement the kindergarten reform. Like all major reforms, it was also demanding. Not least, the great lack of well-educated kindergarten teachers was a challenge. In spite of this, studies have shown that the quality of nursery services has kept up, despite the enormous expansion. It's thanks to the amazing efforts of employees, professionals and kindergarten owners laid down in this period. But although it is very positive to say whether what we have left behind, there is clearly a need for quality assurance and development of the quality of our kindergartens. That is why also the then state council Kristin Halvorsen promoted the future kindergarten in the spring of 2013. It is interesting to see that several of the proposals made in that communication are also followed up by the current government. In some areas, Torbjørn Røe Isaksen follows up good red-green kindergarten policy, and I am pleased about that. Already in the foreword to that announcement, Kristin Halvorsen affirmed the following: ‘The Norwegian nursery tradition is valuable. It assumes that childhood has a value in itself. It is important that children are fine here and now and have good experiences every day. In Norwegian kindergartens, play is the main starting point for learning.’ That view was a conscious choice of value. This is also the starting point for the concerns I and SV have related to the message we are now dealing with. That is why I asked the Minister of Knowledge earlier this spring to give an account of the department's lack of involvement of the profession even in the preparation of a new framework plan. So the Minister of Knowledge has repeatedly assured us that yes, he is also concerned about taking care of the Norwegian nursery model. But it's hard to believe it when several proposals go in the opposite direction to what we've built up our kindergartens to date. It concerns the proposal for the introduction of an indicative language standard. Language researchers say it's impossible to make a complete norm – that a state norm will be seen as an established measure of children's language in kindergarten, no matter what the government says. The proposal for a new framework plan to clarify the linguistic and social benefits of children after kindergarten is also a completely different way of thinking – a basic philosophy, a fundamental idea for the orientation of kindergarten. The exclusion of professional environments even in the work on a new framework plan is also an important breach of what has been one of the reasons why Norwegian kindergartens are as high in quality as they do. That is why I am pleased that today we can form a majority against the government on a number of these crucial points. This is also why SV is promoting its own proposal today, which makes even more concrete the order to the Council of State to include the profession in the work on a new framework plan. A good childhood lasts a lifetime. We have to spend the big money on the little people -- our children. This is the best investment in the future of Norway. But then we also have to let children be children, and don't go on the big misunderstanding that making kindergarten more like school is the right way to facilitate more learning. The right way to make sure that children succeed in school is, on the contrary, to let children be children and leave the game in the centre of kindergarten. With this, I'm going to take up the proposal that's been distributed in the hall, and just say that since the committee has given the other parties half of their speaking time, I can't even explain our vote, so I'm going to redraw it to do.
ParlaMint-NO_2016-06-07.ana.ud158e1444	The representative of the Audun Lighthouse has taken up the proposal he referred to.
ParlaMint-NO_2016-06-07.ana.ud158e1448	As others have mentioned, there has been a lot of debate about the nursery service. Let me just be quite clear that this debate is not due to misunderstandings, the debate is due to disagreements. So it's not all the disagreements like that. in particular, the working party has moved forward, which is real disagreements. There is a lot we agree on, which is clearly stated by the government: that kindergarten should not be a school, that we should not have individual learning goals for each child, and that we should preserve the Nordic kindergarten tradition. Nor is it such that it has been clearly negative, rather the message and the broad outlines of what the government is proposing have received great support in many environments – from the local community's own organisation, from the Landsförbund of Private Barnehager, 50 pst. by Norwegian children go to private kindergartens, from several kindergartens that have had hearings, and not least from important organisations such as Dysleksi Norway, which do not necessarily support everything but which support the main direction precisely because they are so concerned about catching up with the children that are missing today. But then there are also some things – even if we agree on something – about which there is real disagreement. The majority in Stortinget today clearly announces that there are in particular two proposals they do not want. It's an indicative language norm, and that's what we've called a dividend description. That means, of course, that those proposals are being put away. I would also like to say to everyone who has been involved in the debate both in the Chamber and outside, that we are following the debate, and we are hearing the cry that comes about to involve more closely in the processes further. We don't plan to sit in a meeting room in the department and write a framework plan. We're going to engage and involve the profession. We will also take initiatives after this, including: together with the Education Association, to see if we can find some common arenas where we can get a discussion based on the majority in the Stortinge. Then there is much that gives a clear signal that we will continue to work with. And that's important things. It's about, for example, on a framework plan that has even clearer requirements and expectations for the work of kindergartens in language, so that we can capture those kindergartens that are falling out today. A framework plan that is clearer and a better tool – today it is also very extensive, perhaps something to do with it. A kindergarten framework that makes it more clear that there is a difference between the environment around a one-year-old and the environment around a five-year-old. A framework plan and a regulation that makes it clearer about the transition between kindergarten and school, which many municipalities get to very well, but where too many fail. And also legislation – to have a safety valve through independent supervision by the County, so that you can go in and check if parents, employees or the County itself believe that the municipality does not take its supervisory responsibility and does it well. The significance of a good start in life cannot be underestimated. I actually have two approaches to the kindergarten discussion. One is that today's kindergarten is viewed differently from before. Kinderhagen has been motivated by equality, with social economy because both parents can be out of work, and with the fight against Difference Norway. All that is important, and kindergarten contributes to all that, but above all, kindergarten is about the children who go there. For many years, the main priorities have been the number of places. Now the main priorities must be the content and quality of children. The second is that there are too many differences between kindergartens today. We can view it as variation in manning. We can look at the variation in the number of kindergarten teachers. It can be seen from the results of studies that show variations in the systematic, thorough and well-functioning educational work planned and carried out. The goal, of course, is not for those who work really well to work worse, but for us to get more kindergartens to work even better, and – I have to add – more kindergarten owners, both private and public, to work even better. That is why I believe that the framework plan is such an important tool. The framework plan needs to describe even more clearly than at present what kindergarten should be and provide a clearer framework for the important work being done. The framework plan should make it clear that there are differences between a one-year-old and a five-year-old — not through individual learning objectives, but with regard to the kind of environment the nursery should provide, for learning. So, of course, it's individual how children evolve, and it once again suggests that kindergarten should not become a school, and that we should not have individual learning goals. At the same time, we know that children need something to reach for, and the nursery will provide, but through play and learning hand in hand, as today. We know that many kindergarten children get help and support too late. The kindergarten gives us a unique opportunity to find the children who need help, and we have to do that through precision, not mass action. There is a reason why this government, unlike the previous government, has not proposed the monitoring of all four-year-olds, for example, who were in practice the consequence of previous government measures, precisely because it is the systematic observation, which the Workers' Party writes so well about in an article in the VG today, which is crucial, and then the measures are put in place for the children who need it, after a good professional assessment. Today's framework has many qualities, but it is unclear in several areas. We know that kindergartens interpret the regulation differently, and this in itself can contribute to the emergence of quality differences between kindergartens, for example. in the language work. And when we know how crucial language work is, not for the future's work or schooling or anything like that, but for play, for development, to be able to thrive and have fun and make friends in kindergarten, it's serious. Studies also show that there are too many differences between kindergartens, and this may affect the linguistic basis of the children at school. Therefore, more systematic and conscious language work is needed in kindergartens, and not least learning from the kindergartens that really do. Learning is not new in kindergarten, and I think one of the most important things that has happened in kindergarten is that the profession so clearly tells us that kindergarten is part of the education process, but a genuine educational arena other than school. Both in the current framework plan and in the 1996 framework plan, it is clear that there is to be learning in kindergarten. The question is, then, how. I would like to stress that the provision of more education in kindergarten does not mean that children should play less, and instead of having theoretical explanations about it, you can simply go around Barnehage-Norway and see how to stimulate the curiosity of children, how children play and learn at the same time, and how to find the good balance between the completely free game, where adults may have to intervene to make sure that everyone is involved, and the adult-driven, adult-nitted activities that are also play. We have to be careful to have a system that is looking for defects in children, but at the same time we have to have a system that ensures that children who need extra arrangements or other efforts get help as early as possible. In other words, good professional judgement in the profession must be combined with systematics and good practice. It's not an attack on the professional handling room of the profession. Nor is it, I believe, a time thief, a prerequisite for the pedagogical activities of kindergarten. Then it's up to the individual kindergarten to decide about, when and how to use educational tools. I have also noticed that the Storting wants a legal support for a safe care and learning environment, and will of course come back to Stortinget with it in an appropriate way. Then I have to admit that I am a little stunned when it comes to some of the rhetoric about recruitment standards. The reason for that is that there's one thing all in this room agree on, is that. What's in the government statement is exactly what it says, for example. Work party programme. If you're going to highlight someone here, it's the Christian People's Party, which has even invested money into the standard of manpower in its alternative state budget. Not all parties have. We agree that we should have a standard of personnel by 2020, and of course we should also follow up the Storting order to get a plan for that. But let me just stress that more important than a plan is following up the policy itself. When we took over the government offices, we lacked 4,400 kindergarten teachers. Now the number is halved. It's good for kindergarten, it's good for the kids, and it shows that evolution is going in the right direction. But of course we'll do more. I have said that we have to meet today's standard of education before we consider an enhanced one, but we have to follow the Storting order, of course. But also in this area, we need to be concerned not only with how many kindergarten teachers we are going to have, but also with what opportunities the kindergarten teachers have, for example. through a competence strategy further developed in this Communication. The further development of the strategy and its continuation are strongly supported, and I am pleased about that.
