ParlaMint-NO_2016-12-17.ana.ud83e67	The representative Trond Giske, who has been licensed, has again taken the seat.
ParlaMint-NO_2016-12-17.ana.ud83e714	It's going to be line change.
ParlaMint-NO_2016-12-17.ana.ud83e719	We have been presented with a budgetary settlement that is backed by four parties. It's a budgetary settlement that has a cost side -- a cost page that we've seen that all the parties are encircled, with an impact of different character for the different parties -- and then it also has a containment page. And now we're in the slightly special situation that there's been uncertainty in the hall about whether all the four settlement parties are actually behind the whole containment proposal, and then that's the financial tax I'm aiming at. So we don't know every now whether all four parties are going to stand behind when we get to voting. That is the way it was made clear in the last line change, that there is only one proposal for a framework for voting, and I wonder what the Minister of Finance's idea of this uncertainty is.
ParlaMint-NO_2016-12-17.ana.ud83e724	I assume that the Storting has arranged its own voting arrangements. So it's the Storting and the Financial Committee that have given up, and it's the Storing that's going to vote for this, not the government.
ParlaMint-NO_2016-12-17.ana.ud83e729	But it is true that the Minister of Finance, together with the Prime Minister, has publicly presented a budgetary settlement for which all four parties must stand and take responsibility, and that is both the cost side and the coverage side of the settlement. When we then stand in the main hall and actually don't know very soon before voting whether all four parties are behind this, there must also be some thoughts from the Minister of Finance about how strongly this agreement stands. And I would like to encourage the Minister of Finance to answer the question of what she thinks about the uncertainty that now arises around the discovery of this settlement.
ParlaMint-NO_2016-12-17.ana.ud83e734	I assume that all four parties to the cooperation agree with the agreement that has been concluded and that, based on it, votes are given in the storeroom that takes full account of the budget.
ParlaMint-NO_2016-12-17.ana.ud83e740	In the case of financial taxes, there is, of course, agreement in the Storting to look further at the scheme of this tax, also because a sample has been set up to address tax issues relating to the publicly owned financial institutions. In this respect, I know that a working group has been set up, it is well, and the industry itself is now asking that they be included in that work. So my question is, Is that a request the Minister of Finance will comply with? And in what way, if any, will the industry that is so affected by this be included in the work?
ParlaMint-NO_2016-12-17.ana.ud83e745	I have noted the Committee's comments on assessing the financial tax regime and will, of course, follow it up. And as we also point out, a working group, led by Professor Erling Hjelmeng, is set up, among other things. assess how public and private actors can be more equal in tax matters. Once the Hjelmeng Group has completed its work in 2018, it facilitates a reassessment of EEA-related issues related to financial taxation on profits. We will then also be able to assess the need for further action both against artificial profit movements and the improvement of existing rules, and we can also make a preliminary assessment of how the financial tax has worked in 2017. I can reassure the representative of the Syversen that the government and the finance minister have a close and ongoing dialogue with the financial industry both on this and on many other issues affecting the industry.
ParlaMint-NO_2016-12-17.ana.ud83e752	Finance Minister Siv Jensen and representatives from the government parties have been very busy talking about commuting deductions in the autumn, and it is nice that they finally found out that it can be a good tool for people who have a long way to work. But the story that the government has is amazing, because during the first budgets the government has completed, a commuter who commutes six miles, got NOK 3 206 more in taxes, and then the government returns NOK 80. Then my question to the Minister of Finance is: Does the Minister of Finance honestly think that a return of 80 kroner is something special to boast of?
ParlaMint-NO_2016-12-17.ana.ud83e757	I believe that all the grips the government has made over these years have helped to strengthen everyone who is dependent on transport in their everyday lives, whether they are driving a car or depending on other means of getting their job done. As a result, the government has made a major effort to strengthen its transport investments and reduce the maintenance run, which increased under the government of Trygve Schlagsvold Vedum. So overall, we've reduced taxes by 21 billion. kr. It stands in stark contrast to the Centerparte's own proposal, which in 2017 sharpens the taxes by billions of dollars. So I have noticed during the debate that the Battle of Vedum and the Central Party have, in a very short period of time, taken completely opposite positions to what was in their alternative budget for the current year, both in terms of financial taxes, and – not least – in terms of fuel taxes.
ParlaMint-NO_2016-12-17.ana.ud83e764	The Minister of Finance spoke of operating an effective climate policy. In order to do so, it is necessary to take the view that man-made climate change is a problem. But the now-returned Carl I. Hagen, who is now a great candidate for the Oslo Progress Party, has allied himself to a proposal to reject the man-made climate change with a total of seven representatives of the Progress Party Group. So my question to the Minister of Finance is, what is the point of an effective climate policy if you don't believe that the dangerous climate change is man-made in the first place?
ParlaMint-NO_2016-12-17.ana.ud83e771	I am dealing with the adopted Party programme of the Advance Party, I am dealing with the Government Platform, and I am dealing with the agreements negotiated with the Advance Party's help. This means that for the next year too, we will have many cost-effective climate measures that will be good for the Norwegian economy, for our ability to convert and for Norwegian business. And again: I assume that cost-effective measures are significantly better use of resources than alternatives. For this reason, the government has focused on making changes in the tax area that we believe are accurate, together with the other use of a wide range of instruments in climate and environmental policy, which will facilitate a green shift also in Norwegian business.
ParlaMint-NO_2016-12-17.ana.ud83e776	Yesterday we got new numbers from the SSB that show a marked jump in the development of differences between people when it comes to income and wealth – actually the strongest increase we've had since the last Right put in government. The figures also show that with the highest wealth, they now own an increasing proportion of the total wealth in Norway. So, of course, there are several factors that help explain why the inequalities are increasing. But what I wonder if the Minister of Finance could be willing to share some thoughts about is whether she acknowledges that the government's tax policy through this period is at least part of the explanation of the developments that we are now seeing.
ParlaMint-NO_2016-12-17.ana.ud83e781	Let me first say that the differences in Norway are disappearing small compared to the developments in many other countries in the world. There is one development that I think most parties in this room agree that we should take care of. Then, of course, the tax system also matters. The main redistributive effect of our tax system is that we have tax-funded welfare schemes, which are largely universal, and which are largely designed to benefit people when they need them. Then I understand that the Workers' Party continues to fight for an increased wealth tax, but I also realize – through the contributions of Wickholm – that it is important for the Workers' Party to create the impression that some form of recognition has entered the Workers' Party that the wealth tax has unfortunate sides. So now you've tried to adjust it, so you can sell it out as pretty good for ordinary people, but it's a fact that today's property tax differs between Norwegian-owned companies in Norway and foreign-owned companies.
ParlaMint-NO_2016-12-17.ana.ud83e788	The cord shift is over.
ParlaMint-NO_2016-12-17.ana.ud83e793	This is a debate on the tax system, but I want to start a little bit wider than that. Before the 2013 elections, we saw a Prime Minister's candidate who was talking about breathing in and out of breath about making Norway less oil dependent, about conversion, and about tougher priorities. The question of how to finance annual billions in tax cuts was blown off with flakes of creating more, not more taxes and bureaucracy. No one told the Norwegian people that the plan was to finance the tax cuts of the most prosperous among us by going directly into the pension fund. It's not being created anymore. The bureaucracy is growing, it's not slimming. Prioritisation is completely absent, and those who have a lot will get the most. So this is going to give dynamic effects that we've never seen in any other country that's tried on the same type of recipe. There is little memory of the alleged accountability of the Right in this. This cannot continue either. The national budget announces an abrupt halt. In the years ahead, pension expenditure will increase by 11 billion. kr annually – every year. Demographic costs take 4 billion. kr. The long-term plan shall be escalated by a few billion each year. To spring we're going to roll the national transport plan, and not that I'm going to shoot any things at all, but we can well assume that there will also be significant escalations there. At the same time, the national budget says that if the deficit does not continue to increase, as it has done every year with this government, we can phase in about 4 billion. extra oil crowns in the years coming – 4 billion. kr, against an average of 25 for the government that has now ruled. 25 is, by the way, the exact number of tax billions that are cut. It is in this form that fiscal policy must be seen. This is for most people just small sums that are not noticed in everyday life. The fees have gone up. And even though representatives of the government parties often say they're getting tired of us saying that, it's at the top of the income and wealth distribution these cuts have mattered. That's the truth, and that's why it has to be said. Our alternative arrangement is a plan for better distribution. For people with income less than 600,000 kroner, there is hardly any change, on average small reliefs. For those with income between 600000 and 1 million. kr is less than one hundred kroner per month. They are the ones with big fortunes that have to contribute the most. Then we have a scheme that follows up the sensible tax conversion for business that we agreed on in the tax settlement. This means joining a cut in corporate tax, making it more profitable to invest in jobs in Norway, and increasing the dividend tax – that is, a distortion from taxes on capital that is on the holding and contributes to the bottom line, and on capital that is collected from the enterprise. I would also like to mention that with sustained low power prices and a great need to reinvest in Norwegian hydropower plants, we are concerned about the ability of hydropower plants to finance it. We support what is in the tax settlement that the rent tax should be adjusted up, while the corporation tax should be adjusted down, but we propose to increase the free amount of the land interest tax. Part of the tax settlement was – at the initiative of the Workers' Party – to increase the shielding deduction, and the amount of the free should be raised from the same logic. It is also worth mentioning here that the renewable hydropower operates at a much lower level of the free amount than the petroleum industry does. A few words about the charging scheme: We have set behind us a political harvest in which the climate debate has been reduced to focus on a few ears in fuel taxes that hardly have the effect of climate change. It has been serious in a number of ways, firstly because the entire budgetary procedure has been wasted in that way, but most of all because there has hardly been any debate about what kind of action needs to be taken, among other things. in the transport sector, if we are to deliver on our climate commitments – and we will. With our alternative budget, we have presented a plan for achieving the emission targets. We point to sectors, to what concrete actions are to be implemented, and we base our calculations on the best expertise available. The transport sector is the key. We have to go through a radical transformation of the whole sector, and it also bears our mark on the charging system. People shouldn't move less, the goal is not that people stop taking the car ride to the cabin. The goal is a total shift of technology. Then the decision about what kind of car people buy is important. For us, the goal is that there should only be zero-emission cars in sale from 2025, seriously meant. It will require that we continue to use the charging system actively, make sure that the charges contribute to making the zero-emission cars competitive. Then tax reliefs for fossil cars are a completely wrong place to start. We propose a conversion of the one-off fee that stimulates more climate-friendly and environmentally friendly choices by increasing the CO2 and NOx components. So it's important that we have a one-off fee that promotes actual emission cuts. It is now, in our opinion, too strongly favouring heavy hybrids with low battery capacity. Hybrids are good, for all things, and they have an important role to play in a transition between fossil cars and zero-emission cars, but the deduction must reflect how far they can actually go on battery. I am pleased that the conciliation has a proposal that goes in the same direction as the Labour Party's proposals in that area. We have also had a round of Tesla-debate this fall, and I have no problem defending the tax advantage that the most expensive cars have had. It's about stimulating a technological breakthrough. It's been absolutely necessary. But now there are several reasonable cars with a long reach that are on their way into the market, and the reason why the most expensive models with all of the extra equipment have to have a similar level of tax-advantage as before has become smaller. That is why we are proposing a tax ceiling. Then there's a couple of specific suggestions that I have to bring in. First, to proposal No. 2, where there have been requests from both the Christian People's Party and the Left to delete the words 'and propose'. Then it is announced that the Left and Christian People's Party can join, and that is what we are prepared to meet. Then there has been a special situation in the hall, where there has been uncertainty about whether all the lots that are part of the budget agreement are actually behind the overall tax and tax arrangements. This is mainly the impact of the budgetary agreement, which is the containment side of the state budget. This is special. We have used a voting system in previous tax and tax procedures, in which all the parties have finally agreed behind the proposal for a framework, i.e. behind the vote. But given the situation that has now arisen, where we do not know if it is actually such that all the four settlement parties stand behind the settlement proposal for containment, we cannot base that voting order. So I'm now notifying, on behalf of the Workers' Party, that we are going to vote against the vote. Overall, our tax and tax arrangements are a good one. It follows on from the tax settlement — significant changes to ensure that investing in jobs in Norway becomes more profitable. At the same time, it ensures a level of income that is appropriate for Norway in the years to come, which enables us to better manage the major tasks facing us as a society, to tackle the pension costs ahead of us, to tackle population growth, to reduce the deficit in the state budget, and at the same time to make the necessary reinforcements of important areas of well-being. It is a charging scheme that supports our climate policy, which will help to stimulate the technology shift that we are also making through the expenditure side of our alternative budget, and which will not least contribute to smaller differences between people. It will contribute to better distribution, and we need that.
ParlaMint-NO_2016-12-17.ana.ud83e829	There is a broad political consensus that tax is an important instrument for achieving the positive goals we have for development in our society. We have a lot of common resources to finance, and we have a lot of ways to do it. Taxes on wealth, income and industrial activities form a major and important part of the financing. Nevertheless, despite a tax settlement entered into, there is a political disagreement about the mechanism and the level of taxes, but that we need an effective system, there is a consensus on that. There's reason in this context to dwell a moment on this. It is beyond doubt that we have an effective tax system and a tax rate that has developed good practical solutions for taxpayers. Together with our transparency on these issues, it helps to create confidence in the taxation itself and its necessity. It is also important that the tax base is as broad as possible, that there is equal treatment between industries and businesses, and not least that the tax itself is at a level that is considered reasonable. If the level and trust in the system are present, we will avoid evasion and tax failure being the result. The government and the majority of the population have reduced the overall tax and tax burden by about 18 billion. kr. And with the 2017 budget, the relief will be another 2.8 billion. kr. It is relatively large amounts, but relative to the total budgets of the corresponding period, the facilitations are relatively moderate, but in line with the promises made before the 2013 elections. It's said that we live by each other's work. That as much work as possible is therefore important. Employment varies from time to time, and at present there are too many out of the labour force — particularly in the West and in oil-related industries. The need for short-term action is important, but the most important thing is to create new jobs, and not least to secure those we already have. Developments in the private sector are central to increasing employment. Tax policy is essential to achieve this. We rely on private individuals to run businesses and create new ones. Measures such as reducing company tax to 24 p.m. is important. That the dividend tax does not increase significantly and that the protection rate is increased by 0.5 pst. is a small but important step in the right direction – and not least a reduction in the taxes on wealth. This latter seems to be the area in which there is a great deal of political disagreement. The Workers' Party and the Centre's comments once again refer to the Menon report, which allegedly states that cuts in the property tax have no bearing on the investments of the companies. That the Norwegian property tax is unfair because, among other things, it: only Norwegian owners are affected by the fact that only Norway has such a special tax and that, in the event of the necessary dividend payments to be used for tax purposes, it is a factor that is totally ignored. When this is said, I have a feeling that there is actually a cross-political perception that there are several weak aspects to the taxation of private ownership. The fact that the property tax was to be paid even for companies with a deficit has partly been met by a proposal to defer the payment – a measure that has received broad support. Similarly, the government announced in the tax communication that the property tax targeted at industrial capital could be reduced by a so-called valuation discount for shares and operating assets. Here is the proposal for a discount of 10 pst. in 2017 and 20 pst. in 2018. This is a small but important step towards facilitating the taxes on wealth on working capital. And most importantly, it is proposals that have broad political support, and it is a recognition that the wealth tax has negative aspects for private ownership. Private ownership and saving are important for a modern society. It should be an objective for more individuals to invest in employment and business. At a time when traditional banking offers little return, it is positive that the government has proposed the introduction of a so-called share savings account — a perhaps small measure, but it can give a greater scope to investment and increase the ownership of small-scale savings in Norwegian private enterprises. This could lead to growth and job creation in the long term.
ParlaMint-NO_2016-12-17.ana.ud83e847	The following speakers shall have a speaking time of up to 3 minutes.
ParlaMint-NO_2016-12-17.ana.ud83e852	I am pleased today that the Workers' Party will have a majority in favour of the proposal on tax incentives for investment in start-up companies. This was a proposal that was part of the tax settlement, but that government presented to the Stortinget, we felt too bad. That's why we want the process back on the rails, as the comments say. I also record that the Left Jubilee, but that this was not an important enough case for a person to get it in place in the agreement. I hope that the Left too is pleased that the Committee was able to deal with this. What the Storting demands today is that the government deliver concrete, fully explored models in the revised national budget next year. These are schemes with which Sweden and the United Kingdom have had great success. They have made it clear what we also need to do in Norway, to move capital investment from housing to new jobs – creating new jobs. One has been able to make available the necessary capital to start-ups. What the Workers' Party hopes is that we can evaluate a Norwegian model that meets the Norwegian challenges, and it is good that the Ministry of Finance should now investigate and look at this. From the committee's point of view, the Right Party and the Advance Party were opposed, today they are fortunately in favour. It was a clever turnaround in the count's time. The working party has experienced this week that turning operations can cause some noise, but that's right, we've learned, and also that one admits wrong when one does. The swindling of the Right and Advance Party today unfortunately seems a little bit half-hearted. It is underlined in the Chamber and in the debate today by the representatives of the fleet. The rhetoric of the Right stresses the ideological blind-tracked government is now on, where the property tax is the only solution to absolutely all questions. The reality is that this cut doesn't create new jobs, it's primarily a help to Right rich uncles. Tax incentives may be more accurate. The experience from the United Kingdom and Sweden shows this. I hope that the government will do the thorough job that Stortinget demands and asks them to do, and looks forward to getting the concrete and completed models on the table.
ParlaMint-NO_2016-12-17.ana.ud83e863	I am very pleased that a large majority today decide to introduce a share savings account. However, in my view, there are unfortunately two shortcomings in the share savings account that are being adopted today. One – and the most important – is that dividends from shares and fund shares held in the share-saving account do not enter the account but are allocated directly to the shareholder and taxed as usual on vesting. This is contrary to establishing an investment company and organising it as a limited liability company. Then the dividend is not taxed until the shareholder continues to pay the dividend on a personal basis. If the aim is to increase the ownership of small companies in Norwegian companies, I am unfortunately afraid that this discrimination will make the share savings account considerably less attractive. For me, it is incomprehensible why the government parties are not involved in the Workers' Party's proposal to include dividends in the scheme. I wish we would open up investments in unlisted shares. It would be an important contribution to distorting saving for most people from house, cabins and property to value-creating businesses around the country. I believe it would be an important contribution to increasing the opportunities for start-up companies to bring with them investors. It would also be good for the conversion that the country needs.
ParlaMint-NO_2016-12-17.ana.ud83e872	Proposition contains an explanation of the tax-free scheme. It is known as a result of a call for proposals from the Christian People's Party and the Center Party in 2014 to have the Vinmonopolet take over the tax-free regime. Today, there is a great deal of excitement about the monopoly of wine in the people. The monopoly of wine has an important social role in the sale and marketing of alcoholic beverages. The wine monopoly system is an effective means of preventing alcohol-related damage and problems, but the wine monopoly system in Norway is under constant pressure, among others. of the tax-free hall. Much of the alcoholic drink consumed in Norway is purchased abroad or in tax-free shops. In 2014, consider approaching 10 pst. of the total alcoholic strength by way of the tax-free system. Government write in proposition: ‘The tax-free system contributes to increased availability and increased consumption of alcohol and tobacco, thereby contributing to socio-economic costs and negative impacts on public health’. It writes that the tax-free scheme also provides revenue for the state in the billion class, incentives for increased travel activity and competitive disadvantages for domestic negotiators. It also writes that moving an increasing proportion of alcohol sales to the tax-free hall could in the long run weaken the legitimacy of the wine monopoly. Decommissioning the tax-free arrangements could increase the surplus of the Vinmonopole, which can be used to increase the «geographical availability» of the Vinmonopole. It also says that those who use the tax-free scheme today are the ones who travel the most. There are middle-aged men with high education, bussets in Oslo and Akershus. There is no one today who is proposing to terminate the tax-free regime, but whether or not we should allow the Vinmonopole to take over. That's what I think is very important. In the proposition, the government has indicated a legal assessment of whether it is possible within the EEA and concludes that it: ‘most likely are not EEA or other international legal barriers to the extension of the exclusive right of the monopoly to tax free sales; [[...]] It also writes the following in the release: ‘To ensure that the overriding social and health considerations underlying the Norwegian alcohol policy are respected, and in particular that the monopoly system is not undermined, are considered to be duly justified’. It will be able to strengthen the foundations for the continuation of the Vinmonopol scheme. I want to thank the Left for turning around in this matter today, and that we are now getting a case to the Grand Duchy on the amendment of the law with a view to letting the Vinmonopole take over the tax-free hall.
ParlaMint-NO_2016-12-17.ana.ud83e905	The Presidency had initially set up a voting system in this matter in line with tradition, in order to ensure that all primary positions were well taken care of. This voice mechanism, as I see it now, has the Labour Party chosen to deviate – and I'm reading between the lines – to force the Left to vote against its own position on the financial tax model. Games are obviously more important than standing for it as a mine. Unfortunately, the left must say from the speaker that we are no longer part of the vote when it comes to the proposal for Decision A, simply because the financial tax model contained in Decision A is not part of the agreement concluded with the Cooperation Party. I then ask that it be recorded that we are correcting the whole of A in the setting.
ParlaMint-NO_2016-12-17.ana.ud83e912	I take the floor because I have a very strong need to be realistically oriented to the Minister of Finance, who is constantly working and commenting on waiting lists and health cows. One of the most powerful statements she had in the retro-debate on TV, where she said that during this government the health cows and waiting times went down, while they went up under the previous government. It is with respect not to report in line with the facts, to put it in a parliamentary expression. The fasitium comes here: in the statistics we can measure this, which are official, the waiting times in hospitals have fallen steadily from 2010 to today. I repeat: from 2010 until today. And that year isn't random, that's what the health care companies had to balance in their budgets again after we took over a hospital economy in total chaos in 2005. As if that wasn't enough, the government had introduced a roof on the number of treatments at the time – has the president heard it before? – which we actually removed in 2011, but as this government says it is those who have removed. In other words, waiting times have fallen from 2010 to today. So to 80,000 fewer in health queues – what are those kind of numbers? Yeah, if we're going to look at the official statistics, it's probably true, but what's now revealed by the Health Directorate, the Hospitals and the Medicine of the Day, is that the 80,000 plus 80,000 more have moved on internal lists in hospitals, where they go under the statistics radar. 160,000 patients stand and print, and do not receive treatment at the time they are to be treated. The whole story of waiting times and waiting lists is a story that doesn't match actual circumstances. I think it is simply unsustainable that both the Prime Minister, the Minister of Health and the Minister of Finance should operate and repeat this, despite the fact that more and more people now see what has been revealed about the issues related to health cows and waiting lists – they are not as these state councils and the Prime Minister tell. So now I hope that the Minister of Finance can moderate his statements and his stories on this topic, not for the sake of the Workers' Party, because we are informed about this, but for the sake of those she believes she represents, namely, the people most.
ParlaMint-NO_2016-12-17.ana.ud83e923	Actually, I was going to take the word only to take up the SV's suggestion, because I forgot to do that in my post. It would have been unfortunate, so now I'm taking up our suggestions. So it might seem that there is a need for more explanation of vote. It is because, after a whole harvest of hard negotiations on the income side of the State budget, the Left warns that, as far as I understand, they will vote against A and thus the entire revenue side of the State budget. I have to say, it's very eye-catching. That means that all the matters left have been profiling to negotiate with the government, and agreed with the government, they intend to vote against. It also means that the Christian People's Party alone will ensure a majority of the government's tax cuts to the richest and the entire government's tax profile. If the Left intends to vote against the frame, that is, A below the Inn. 3 S for 2016-2017, I see no other possibility for SV than that we are of course voting against – if that vote is first in reality opened. Then I can add that we still consider our proposal for tax arrangements as promoted in the financial position and voted over in reality during the financial debate – just so it has been said for the sake of order.
ParlaMint-NO_2016-12-17.ana.ud83e932	The representative Snorre Serigstad Valen has taken up the suggestions he referred to.
ParlaMint-NO_2016-12-17.ana.ud83e937	During the period 2005–2013, the government then had the largest economic space in the Norwegian government ever had. The economy was growing, and the oil price was historically high. Nevertheless, the number of patients in health queues increased; there were 15,000 more poor children, while the majority paid more in taxes. The whole increase in employment went to foreign labour, which according to LO's chief economist, Stein Reegård, forced the Nordics out of work. When the representative Truls Wickholm says that SSB's calculations on behalf of the Workers' Party show that more short-term activity can be created through public consumption than taxation, he therefore wants to continue this irresponsible policy. This government has managed the legacy of the Workers' Party in addition to the last year's migration challenge as well as an oil price in the free fall. Now let's see the points of light. Although the Labour Party claims that no jobs are created in Norway, new figures show that there have probably never been as many new establishments in Norway as in the last two years. With this government's policy, 110 000 new jobs have been registered in the private sector in two years, which is guaranteed to include, not to replace, Norwegian labour force and employment. The job of the future has already been created, not only in new jobs, but also in existing enterprises all over the country, how many are now turning to a new reality. All these establishments are located at the end of the tax bill of the Workers' Party. The representative of Truls Wickholm confirmed in his reply earlier today that 10 billion. kr just is the first year. The total tax increases with the Workers' Party will reach between 25 billion. kr and 32 br. kr, and that is before they have negotiated with SV. It's the last thing a business in transition needs. I think it's irresponsible to have a tax policy that increases the cost of Norwegian business and extends the time it takes to speed up economic growth and value creation that creates jobs for most people. And although it's interesting to have a tax competition between SV and the Workers' Party on lower taxes on pay for most people, it doesn't help much if people don't have a salary and a job to go to, because the same parties choose to suffocate private initiatives, investments and business with the bill for the same tax rate. The alternative budgets show that there is a great difference between the rhetoric of the Workers' Party and policy. They're criticizing us for 20 billion. kr in taxes, but keep half of the cuts. They complain loudly about the adverse effects of the air passenger charge, but they introduce it themselves without modification. They rushed against cuts in the strange holiday pay scheme for the recipients of the daily allowance. Now they cut it themselves. They called the removal of the inheritance tax usocial in 2013 but have not reinstated it in any of their alternative budgets. When the Workers' Party promised more money to the hospitals during the election campaign in 2013, it was because they would provide one million more treatments and investigations in 2017 than in 2012. That goal met the Right and Advance Party already in 2015. There is no contrast between tax relief and welfare. The right hand and the front-hand side manage both to reduce taxes and to reduce health cows at the same time. It has something to say about who controls – for growth, well-being and value creation.
ParlaMint-NO_2016-12-17.ana.ud83e952	Following Mr Breivik's statement, I had to sign a slightly extended explanation of vote. So it was that yesterday we were presented with a proposal for a voting order in which all parties were to stand behind letter A. It was suggested to get to a simplified voting. We were willing to vote too much as we really are against, to get to this simplified voting, assuming it was not to be used against any parties. But when there is uncertainty about whether all the four parties that have entered into a budgetary settlement are actually involved in taking responsibility for the discovery of that settlement, it is not a matter of technicalities or games, as was said by the representative Breivik, then it is a matter of getting a political clarification. Then it's about clarifying political realities. In examining all the expenditure chapters in the budget, the Labour Party has voted against the framework proposals, while the Left and the other conciliation parties have voted in favour. So all the expenditure increases in this budget have been grouped together. We have now been given the prudent clarification that the Left will vote against the tax regime, and leave it to be a part of taking responsibility for the revenue side of the budget. As announced in my previous post, the Labour Party will vote against letter A, that is, the framework proposal, and that is a natural consequence of our alternative budget. We have promoted an alternative framework proposal in the context of the financial debate, but we assume that there is a majority in the Chamber for the proposed tax framework, although it is now possible to become a very sharp vote. I would also like to inform you that after that framework has been adopted, we are prepared to vote for the 4L setting, assuming that all parties do the same. Then we have adopted a framework. There has been a majority for a tax and tax side and a tax and tax structure, and then we are prepared to vote for 4 L and the legislative acts that are needed to make that framework go up, but then assuming that all parties do.
ParlaMint-NO_2016-12-17.ana.ud83e961	The President now understands it so that the Labour Party will vote in favour of the framework in Case No. 1st@item: inlistbox It will also mean...
ParlaMint-NO_2016-12-17.ana.ud83e967	We are voting against the frame of case No. 2nd@item: inlistbox
ParlaMint-NO_2016-12-17.ana.ud83e972	This means that we have to change the voting order – that's what the President is trying to say, if the President continues – and that we are voting on case no. 2 first.
ParlaMint-NO_2016-12-17.ana.ud83e977	The last comment from the President is quite correct, this must go hand in hand. This is going to be technically very fast. Letter A, which sounds very dependable, is, after all, the entire coverage of the entire state budget. That's area 21 we have to decide on. We have discussed 20 other framework areas and each time representatives from the Left have said that we have now been able to see through to you, now that we have had a lot of collective effort, now that we've got a lot of work to do in school, now that we've got different measures, and then that comes to the day when we're going to settle the bill – no, you shouldn't be involved. That's not the way to rule a country. You have to be for, or you have to be brave. I remember very well that Saturday evening when there were four party leaders in a row and row. They were very proud: look, we can control. See, we can stand together. We have once again reached a budgetary agreement. Long, long overtime – where all the deadlines had been broken, there had been chaos for weeks, we had not had a single proper procedure in the Financial Committee, not one proper discussion. But then you'd like to say, "Yes, the four of us can do it." Then you've tried to get through the budget debates, you've boasted of round after round, and when you get to the end point, you don't agree anyway. Then you have to vote against the tax regime. You have to vote against customs revenue. It's completely incomprehensible. It must be the greatest mistrust a representative can show to the government when one fails at the last turn. I understand that the Left does not trust today's government, but I think it is a very strange way to work that you are on all credit and do not agree to take the payment. We in the Center Party are also going to vote against letter A and all of the sub-decisions that lie there, and we want the same voting system as the Workers' Party in terms of 4 L. Then the parties responsible must take responsibility. The left is responsible for the expenditure that this country has incurred and that they have voted in favour of, all of the 20 framework areas, and that is also the responsibility to finance it.
ParlaMint-NO_2016-12-17.ana.ud83e986	There has actually been a rather dramatic situation during this debate and forward to this voting. It turns out that the budget agreement applies to all expenditure chapters, but does not apply when the bill comes on the table. It is easy and certainly nice for the Left to join in adding for good purposes in many different areas. It turns out to be hard to vote when the bill finally comes on the table. The voting order to which it was added was justified by the fact that there was a very clear situation about which parties support the vote, and who do not support it. That's why we could do it unanimously. When we say we have to have a vote, it is because the fiscal spokesman of the Left made it clear that it was not clear who supported the vote and who did not support it. Then we have to have a real nutrition. It can't be that the Left should be able to hide its opposition to the position of the majority parties because we have a technical system that says that all the parties vote in favour. When there are political realities in voting, we must put it on the table. That's why the Labour Party says that we want to do with the tax and tax system the same thing that we've done with all the other framework areas: vote against the framework, because it doesn't go up to the sum that we had in our financial position. It's true that we have to vote on case no. 2 first, because once it has been adopted, the Workers' Party will be involved in the practical arrangement of taking the legislative proposals. It is much easier when the framework is adopted. But we need to know which parts are behind it. We have understood that the Left primarily had a different position, as they had in very many other cases, but normally, when entering into a budgetary settlement, it has to apply to the entire budget – not just the expenditure side. This is special -- we get a sharp vote on the income side. 87 votes to 82 will be the full hall. With the replacement, the voting will be even sharper. It is an alarming political situation that the Left has now actually withdrawn from its subsidiary support for the budget agreement.
ParlaMint-NO_2016-12-17.ana.ud83e997	Now the president himself has indicated the very wise way to put up the voting, so I don't want to make any suggestions about that. I just want to give my full support to that way, to make it as simple as possible. It is not that the Left has been against the entire income side of the budget. What has been involved is the arrangement of the financial tax. There is – as has been mentioned – the Christian People's Party, the Centre Party and the Left, and it is expressed in proposal No. 8 in the setting, which is from a minority, of course. We know it doesn't get majority. We are in favour of the amount to be recovered, and we then subsidize the majority who have manifested themselves in dealing with the matter. I would then urge the Christian People's Party Group to vote in favour of the committee's recommendation on both the vote's proposal for Decision A and the rest, so that there is no doubt about it.
ParlaMint-NO_2016-12-17.ana.ud83e1006	The representative Snorre Serigstad Valen has had the word twice before and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2016-12-17.ana.ud83e1011	It is mildly alarming to hear the same bourgeois parties that, in the last period, studied any shade in the public statements of the three red-green government parties and called it chaos, now try to say that a party voting against the entire revenue side of the state budget is not really against it. Either you vote in favour of all the taxes and charges that have been agreed upon, or you vote against them. It's no more complicated than that. And it's not possible to interpret it as that the Left votes against the whole proposal for Decision A of the Interior. 3 S for 2016–2017 as opposed to the revenue page of the State budget. There is a rather dramatic development during a debate in Stortinget. The concept of civil chaos quickly emerges. I will join the voting order the Workers' Party adds for Innst. 4 L for 2016-2017. There we are also still prepared to have a simplified voting order, of course assuming that it is not used against each other.
