ParlaMint-NO_2016-02-17.ana.ud2568e26	The representative of Kjell Ingolf Roppstad will present a proposal for a representative.
ParlaMint-NO_2016-02-17.ana.ud2568e470	Per Rune Henriksen – for follow-up questions.
ParlaMint-NO_2016-02-17.ana.ud2568e473	My follow-up question goes to the Environment Minister, Helgesen. It's good to hear that there's a lot of thinking about the green shift and how to move on to get the emission reductions in Norway. The thing is, this is urgent. We have now received indications from the government that we will not have an agreement on how Norway's role in the EU's climate framework will be, until 2017, and we will cut by 40 pst. in the non-quota sector by 2030. That means we're in a hurry. We also have great opportunities now because of the availability of capacity in the shipbuilding sector, including, for example, large parts of industry, which are used to strict environmental requirements, such as: in the petroleum sector, provide work and technological development for the Norwegian industry. How does the Minister for Climate and Environment view the time aspect of this? If we're going to be able to get to those emission reductions by 2030, it's urgent.
ParlaMint-NO_2016-02-17.ana.ud2568e484	I am pleased with the impatience signaled by the Workers' Party. We share that impatience, yes we must say that we are overfulfilling the impatience, because we have delivered, together with our cooperation parties, considerably more in climate policy than our predecessors did. Then we are going to have negotiations and talks with the EU on the 2030 targets. This applies from 2020 onwards. EU policy processes are underway this year. Our agreement with the EU may not be in place this year, but EU policy will be developed this year. Therefore, it is absolutely essential that we are in those processes, because that is where the substance is determined. This applies, inter alia, to: the distribution of inputs and issues relating to the role of forests. So this is a ball we're at already. I'm also going to ask the Grand President to make a statement about the follow-up of Paris to the Stortinget to involve Stortinget in that discussion.
ParlaMint-NO_2016-02-17.ana.ud2568e493	Steinar Reiten – for follow-up questions.
ParlaMint-NO_2016-02-17.ana.ud2568e496	Environmental requirements are important, but there is also green innovation. From a longer time perspective, we might say that Norway, as a petroleum producer, has been somewhat backward in terms of investing in new renewable energy sources. The downtime of the oil industry changed that picture. Not only is it necessary to achieve climate targets, it is also reasonable to use the brain power and peak competence that become available due to scarcer times for the oil industry. This is, to a large extent, competence that is also needed to develop, among other things. offshore wind, wave power and tidal power. A year and a half ago, the State Road Administration launched interesting ideas on emission-free E39, where the production of new renewable energy can be integrated into the major fjord-crossing projects to make the E39 ferry-free. It is obvious that the available capacity and competence in the maritime and petroleum sectors have direct transfer value if Norway chooses to go for this new cutting-edge technology. Does the Council of State think that the government is offensive enough on this part of the green shift? And is there contact between the Ministry of the Environment and the Ministry of Transport on emission-free E39?
ParlaMint-NO_2016-02-17.ana.ud2568e504	There is a lot of contact between the Ministry of Transport and the Ministry of Climate and Environment. I don't think it's a know-how in the realm, and not least barely a route, which is not in contact with it, because the transport sector is the biggest challenge when we see where we have to take a big cut in the years to come. We are also working on a new national transport plan, where we will need to take new action for emission reductions. So, when it comes to stimulating innovation in the transport sector, whether it's on land or it's green shipping, one of the measures we've launched this year is just the increased public procurement requirements, because the purchasing power of the public – and the volume of public procurement – is so big that it can have a significant impact.
ParlaMint-NO_2016-02-17.ana.ud2568e511	Heikki Eidsvoll Holmås – for follow-up questions.
ParlaMint-NO_2016-02-17.ana.ud2568e514	The government statement says a few things that I find interesting to read. It says, among other things. that the government will: ‘Elaborate requirements that all new public vehicles, and all new taxis, ferries, scheduled boats and diesel trains, use low or zero emission technologies when the technology so requires.’ The second thing is: ‘Make sure that the public sector as a customer contributes to the deployment and development of new environmental and climate-friendly technologies and solutions.’ Now the government has submitted a law on public acquisitions that is weak in this field. While the Post is at the front and has zero emissions in all its transport services, the State is not in the vicinity of setting zero emissions requirements in all its transport practices. While the state says that it should contribute to the development of new technologies, private companies – Asko – are moving ahead and using first-time cars and hydrogen trucks. Why will the government not require all transport services performed to and by the public to have zero emissions?
ParlaMint-NO_2016-02-17.ana.ud2568e529	The weakness that the representative Holmås believes to observe must well be based on the law on public acquisitions that is now in force, and not on the basis of the bill we have proposed, where we are tightening the requirements not only to cross a box to take account of the environment and climate in each acquisition, but to have a public procurement practice in mind to promote climate and environmental solutions. We also reintroduce the appeal procedure, as the red-green government has removed, which means that you will be able to enforce this new provision more clearly and more strongly than is the case today. So I do not at all agree that this is a sloppy draft of the law. This is a legislative proposal that imposes more stringent requirements for having a thoughtful policy and strategy in public enterprises to use the purchasing power to promote innovation.
ParlaMint-NO_2016-02-17.ana.ud2568e534	Let's move on to the next main question.
ParlaMint-NO_2016-02-17.ana.ud2568e537	The Minister for Climate and Environment can only stand still. Two decisions from the Paris climate agreement are impossible to misunderstand. One is that the country’s climate commitments are not close enough to reach the 2°C target, much less the 1.5°C target, so all countries have to go home and step up their commitments. The second is that cutting by 2020 is important and makes it easier to stop dangerous global warming. Now the previous climate minister, who agreed to adopt this, went off, probably because she realized how difficult it would be to get through in her own government for this. But Helgesen has taken over, and even though he didn't exactly come to the table, he might have been expected to have said that we have to do in Norway as we have asked all the other world's countries do. But have we heard? No, no, no. So far, the answer is no tightening of emission requirements until 2020, and as he said to the Evening Post on issues about emissions going down the next two years: I'm going to be careful to promise anything at all. 2013 to 2020, that's seven years. So Vidar Helgesen's government is unable to promise a policy that cuts emissions towards what the Stortinget has adopted during the seven years he has from the government's takeover. It's not an implementation force, it's a gastric plaque. The oil industry is the sector that emits the most greenhouse gases in this country. The oil industry has almost doubled its emissions since 1990 and is also expected to increase in 2015. That is why I ask the Minister for Climate and Environment the following questions: Can he mention one proposal from the government – not a proposal from the SV, the Christian People's Party, the Left or the other opposition parties – that significantly cuts the emissions of the sector that emits the most, namely the oil industry, or mention a proposal that comes? It's a suggestion!
ParlaMint-NO_2016-02-17.ana.ud2568e548	To start with, the oil sector is part of the EU ETS and the oil sector is subject to CO2 taxes. Last year we put on the table an ambitious 2030 objective of common compliance with the EU, which will also mean a strengthened quota system and thus also reinforced requirements for the oil and gas sectors. Moreover, the projections from the Environment Directorate raise doubts as to whether there will be a reduction in emissions, whether it would have been in 2015 and 2016, and that is the background for me to be honest and say that I cannot promise that emissions will fall last year or that they will fall this year. But what I can promise, and what the government is working hard for – together with our partners – is a more active climate policy, a more offensive climate policy, where the measures we are putting in place have an effect. Then there are other things, measures and decisions that are far behind in time, such as: manages the annual level of emissions from the oil and gas sectors. You're assuming that they're going to increase slightly more in the next few years, and then start decreasing. So when we're going to follow up the Paris Agreement and get back to Stortinget with our plans for its follow-up, we're going to do it in cooperation with the EU because we're in that process now. The Paris agreement will mean increased demands, increased ambitions. How it will be, it's too early to say anything about now. That discussion is also taking place with our friends in the EU and among EU Member States, and therefore I will be allowed to come back to the Storting, hopefully in a presentation on these issues.
ParlaMint-NO_2016-02-17.ana.ud2568e558	I'm going to cancel that answer – not one proposal that says anything about what they've done in the oil sector, not one proposal that points forward, not something that works before 2020, just loosely chatting in 2030. We can probably conclude that it is unlikely that Helgesen is then the climate minister. Let me therefore ask questions about the transport sector instead. The Minister of Transport is going around saying that it is no problem to build more motorways, as the government does, because in the future all cars will be zero-emission cars. Then I ask the Council of State the following questions: Can he give an example of one significant change in the car and fuel charges that the government has promoted – not imposed by the SV, the Christian People's Party, the Left or any of the other opposition parties, the Workers' Party and the others – one proposal that implies that all new cars in the future will be zero-emission cars, or a proposal that comes? It's a suggestion!
ParlaMint-NO_2016-02-17.ana.ud2568e565	As far as car charges are concerned, we have an agreement between the cooperation parties on their arrangements, and we also have an agreement that we should follow up the Green Tax Commission. It is natural to see the charges in full, and therefore it is natural to also look at the car charges in this context. That work is under way in view of the 2017 budget. At the same time, we are overcomplying with the national transport level in the collective sector; we are doing relatively more on rail than what we have done on the road; we are strengthening state support for urban environmental agreements and local collective development, so it is completely misleading to claim that we are not doing anything on our own. On the contrary, it is difficult to conclude that this government has a significantly more forward-looking climate policy than our predecessors.
ParlaMint-NO_2016-02-17.ana.ud2568e572	It opens up for follow-up questions – first Siv Elin Hansen.
ParlaMint-NO_2016-02-17.ana.ud2568e575	My follow-up question goes to the Minister for Fisheries. In the process of reducing greenhouse gas emissions, the red-green government introduced the Enterprise NOx fund, which has cut greenhouse gas emissions significantly, but the job is far from complete. The climate agreement signed by the Minister for the Environment in Paris requires Norway to control zero emissions in all parts of society if we are to take the agreement and the climate noise seriously. Can the Council of State mention one significant step taken by the Government or which the Council of State itself wants to work to put in place to cut greenhouse gas emissions from the fishing fleet?
ParlaMint-NO_2016-02-17.ana.ud2568e588	Now, of course, the NOx fund is not under my responsibility, but I register when I am travelling now, that the industry is very satisfied with this, and there have been many measures that have reduced emissions – which the representative points out quite correctly. Further development of this NOx fund, I think I'm leaving to the appropriate Council of State to decide in relation to the work of the government, but I would point out that there are a number of other things happening in my industry that are in the right direction environmentally and climate-friendly. The replacement of the vessel is very positive out there now. It has to do with the arrangement and inclusion of vessel sizes, which gives an additional speed in terms of replacing with modern vessels which have significantly lower emissions than those which may have existed over time.
ParlaMint-NO_2016-02-17.ana.ud2568e601	Åsmund Aukrust – for follow-up questions.
ParlaMint-NO_2016-02-17.ana.ud2568e604	My question goes to Vidar Helgesen. He said he was busy being honest, and we heard that right in the exchange of words that was now, when he was asked if he could give a single example of the initiative this government has taken within the major sources of emissions, and the answer was: No, he couldn't. It's possible it's a very honest answer, but it's not very impressive. Just as little impressive is seeing the initiatives that the Council of State is talking about for the future. The only big posting the minister has had for the two months he has been sitting is that he has gone out in the evening post and said that he cannot guarantee that he will conduct a policy that will provide emission reductions during the rest of the government period. It is too defensive for the Council of State to reduce emissions and to achieve the objectives of the climate agreement reached by the Storting, but not least it will be the recipe for us not to achieve the objectives of the Paris Agreement. My question to the Council of State is whether he agrees that the objectives of the Paris Agreement will not be achieved if governments around the world respond as he does, that within four years a government will not be able to reduce emissions.
ParlaMint-NO_2016-02-17.ana.ud2568e611	We are in dialogue with governments around the world, we, on the follow-up to the Paris Agreement, not least because Norway was in favour and led the group that made proposals in Paris and was adopted a higher level of ambition and the requirement that the level of ambition should be increased every five years. In the dialogue we have with other governments, it's working very hard, and it's not just working hard there, but it's working hard in the research community because they haven't really researched what 1.5 degree ambition means, because it's a whole new ambition – you've been researching the 2 degree goal. So there is a lot that remains – there is actually a lot of serious work that remains before we can answer concretely what is required. As we do, we continue to work to strengthen climate policy. It also applies to the transport sector, as I said, with the strengthening of public transport. And since, among other things, make itself high and dark about the lack of ambition of this government, I just have to say that we are not going to add up to make it more attractive to drive a diesel car, for example, as our predecessors did.
ParlaMint-NO_2016-02-17.ana.ud2568e616	Kjell Ingolf Roppstad – for follow-up questions.
ParlaMint-NO_2016-02-17.ana.ud2568e619	Former Minister for Climate and Environment, Tine Sundtoft, made exemplary efforts in the fight to achieve a new climate agreement in Paris last autumn, and now it is important to ensure that those objectives continue to be met. But we see that there are representatives of the government travelling to the EU to lobby Norwegian gas and reduce the targets for EU emissions cuts. Analyses have been carried out to show that if the EU increases its energy efficiency target – today it is 27 pst. – to 30 p.m., the need for Norwegian gas will be significantly reduced. But the Council of State is responsible for reducing greenhouse gas emissions. The Council of State wants the EU to have more ambitious targets, i.e. to increase its energy efficiency target from 27 p.m. in 2030 to 30 pst. Or even more in 2030?
ParlaMint-NO_2016-02-17.ana.ud2568e624	It is this way that the EU, like Norway and in the same way as all countries that have agreed on the Paris Agreement, must increase its ambition in the future, and that is a discussion that we take and that the EU takes. It is also the case that the EU in its work on greening and reducing emissions sees that gas from Norway and elsewhere is a contribution to the replacement of more polluting fossil fuels, not least coal. That is why, among other things: in a letter from the Minister of Oil and Energy, the Minister of Europe and myself to the EU, stated that Norwegian gas could be an important contribution to supporting precisely these objectives. Norway is not part of the EU's renewable and energy efficiency targets, but we support their inclusion, and we point to Norwegian gas as a contribution to achieving those objectives and to strengthening the ambitions of the EU's climate policy towards 2030.
ParlaMint-NO_2016-02-17.ana.ud2568e629	Climate follow-up means strict requirements, but it also means a significant opportunity for green growth. And as many people have been in the line exchange so far, we now have a situation where we want to have capacity in the economy just to that transition to green growth. This means starting at the right end, green growth in Norway cannot necessarily be negotiated in the EU. It is clear that when one is in a situation where one has a risk that instead of setting full speed on the electrification of the railway may light up to the competitive outsourcing based on diesel locomotives, it is beginning at the wrong end. When a rib Statskog for the investment in renewable energy, it's starting at the wrong end. When one picks away 5 billion. kr from Statkraft, it is beginning at wrong end in relation to green growth and green conversion. So my question is, how will the government equip the big state locomotives on the industrial side to also contribute to green conversion and green growth?
ParlaMint-NO_2016-02-17.ana.ud2568e634	The work on green growth, the work on green conversion, the work on building green competitiveness are very high on the government's agenda. That's why we've set up an expert committee to design proposals for a national green competitiveness strategy, precisely because we're in a transition that's more than a fall in the oil price. It is a journey to the low-emission society. Then it's important that we do the right things, and it's important that we do them quickly, but it's also important that we do them carefully. And in that picture, a number of measures that may not initially be seen as climate action are also very important. Our spending so much on research and development and research and innovation is a contribution to the green shift. Making Norway more attractive for investment will also make it easier to invest and raise risk capital for the bud-shooters, for the companies that will lead the green shift. So here's a lot of strong government policy.
ParlaMint-NO_2016-02-17.ana.ud2568e639	Ola Elvesuen – for follow-up questions.
ParlaMint-NO_2016-02-17.ana.ud2568e642	The representative Holmås was very concerned about who suggested. In the Left, we're probably more concerned with what is actually adopted, and there's no doubt that we now have a majority on the Storting that has a completely different pace in climate policy than it has been in the past. But Holmås has an important point, and that's that we have a 2020 target that we're not near to reach. The most important thing we do towards the 2030 climate objectives and the Paris agreement is, of course, to achieve the 2020 targets, and we have little time. It is difficult to see other strong instruments that give an effect quickly, rather than using green taxes and taxes and linking them with a solid green tax shift. Then my question is: does the Council see other instruments that can bring about rapid reductions, rather than just applying green taxes and a proper green tax shift?
ParlaMint-NO_2016-02-17.ana.ud2568e648	I agree with Elvesuen that a green tax shift, the use of tax policy, is an important contribution, but it is clear that it is also essential to speed up the development of technology, and this is linked. The more attractive it becomes to invest in green technology development, the more attractive it is to make money on green technology development, also because of the tax system, the better climate performance we get. However, there are also measures, for example: what we agreed with our cooperation parties, sales requirements for biofuels. This is an example of something that will have meaning in the transport sector. When we look at both the 2020 targets and the 2030 targets, there is no doubt that the transport sector is where we have a very big job to do.
ParlaMint-NO_2016-02-17.ana.ud2568e653	Let's move on to the next main question.
ParlaMint-NO_2016-02-17.ana.ud2568e656	The Minister for Climate and Environment could remain standing, because my question goes to him too. We've heard during this questioning that they get a lot in climate policy. We have also heard that the Minister for Climate and Environment is overcoming climate impatience – strong words. What is worrying is that the Minister for Climate Change and the Environment is unable to mention one concrete measure that the government on its own initiative has promoted for the Storting to reduce greenhouse gas emissions. It's not a substantiation that a sheep is too much in climate policy. Nor is it an answer to the question of overcoming climate impatience. On the contrary, it testifies to the government’s approach to climate challenges, that they do not have an active approach but a passive approach. So it's good that every time the government comes to the Stortinget, it's challenged and drawn in the right direction in terms of climate. However, it is worrying that the Minister for Climate and Environment, on repeated questions, cannot mention one concrete measure that the government has promoted to reduce greenhouse gas emissions in Norway. My question is: what concrete measures will the Minister for Climate and Environment promote for the Storting as a consequence of the agreement reached by Stortinget, that we should reduce our greenhouse gas emissions by 40 pst by 2030.? What concrete measures will the Minister for Climate and Environment promote?
ParlaMint-NO_2016-02-17.ana.ud2568e667	I do not know whether the representative of Aasland believes that the government's proposal for a significant increase in the efforts of the climate technology fund is not a measure to reduce emissions. It gives Enova greater opportunities to support the development of low-carbon technologies. They have also done so in the oil and gas sector. This is something we have also proposed on our own keel. So we're positive that through cooperation with our two cooperation parties, we get to a lot more. With regard to the 2030 objectives, which are being asked about here, and what we should do in concrete terms, it will depend a lot on how EU policies are designed and on what consequences they will have for Norway. We do not yet know that, because all European countries and the European Commission are now preparing that policy. This applies not least to the so-called allocation of inputs, on which a Commission proposal will be made, probably during the second quarter. We must therefore be close to that discussion, because it will have an impact on Norway's commitment to action. We're assuming that it's going to be at a high level, because GDP per capita is going to be a very important factor in the calculation. But then the next question is, how much flexibility do you get? How much do you have to cut at home, and how much can you help in taking cuts elsewhere in the European area? We don't know that either. We know that there's a flexibility coming, but we don't know how big it's going to be. The answer to that question and the outcome of that process will determine what we need to do in national climate policy and what to do in the European picture.
ParlaMint-NO_2016-02-17.ana.ud2568e676	I really tried to hear after now whether I heard some kind of climate impatience in the answer, and I must say that the answer was far from representing climate impatience. But I'll leave it. Moreover, there is no new measure for Enova and the climate technology fund; it is a measure established under the red-green government, and it is now strengthened, by today's majority. But there is no new measure. What we know about 2030 and the goals and obligations we have to do in relation to the EU is that we need to reduce greenhouse gas emissions in Norway. That's at least a perfectly obvious consequence. Then I am amazed that the government consistently chooses to refrain from making concrete proposals for the Storting pending the completion of everything with the EU. It must only mean a lack of initiative before one comes to Stortinget. I would like to ask concretely: the Labour Party proposed some 40 proposals about a week and a half ago that would bring down greenhouse gas emissions in Norway. Is there any of the proposals that the Minister for Climate and Environment considers inappropriate?
ParlaMint-NO_2016-02-17.ana.ud2568e685	Now it's the way that the Right, for example, was involved in a climate settlement, and that doesn't mean that when we get into government, we're going to reject what's lying there. So you could say that what we're doing is not necessarily new. But when we overwhelm the climate deal with great strength, it is a further initiative of this government, and it has been further strengthened by the cooperation of the Stortinget. With regard to the new climate policy of the Workers' Party, I have registered that some of the proposals contain something new, but that very much is within the policy already being pursued. I agree that we should not wait – as is also stated by the Labour Party – for the agreement with the EU before implementing several national climate action. That's exactly why we're strengthening the climate agreement, that's why we've given railway appropriations at a historically high level, that's why we're increasing the walking and cycling path by 60 pst. That's why we've put 100 million. kr for climate action in municipalities, etc.
ParlaMint-NO_2016-02-17.ana.ud2568e692	It opens for one follow-up question – from Gunvor Eldegard.
ParlaMint-NO_2016-02-17.ana.ud2568e695	The climate minister does not believe that he can reduce greenhouse gas emissions in the next two years. It's a little ambitious. For this reason, the Labour Party has proposed over 40 concrete proposals here in Stortinget, among others. in the transport sector. Marine power can quickly reduce emissions. Then we have to build up the infrastructure for shore-side electricity at all major ports. And then we also have to take two steps to set tough targets for the future. We propose gradually phasing out fossil energy use in the new car market by setting up the charging system so that in 2025 all new cars will be based on low and/or zero emission solutions – and from 2030 on 100 pst. zero-release. Will the Minister for Climate Change specifically support measures to reduce emissions in the transport sector, such as shore-side electricity to ships and the conversion of charges so that the new car dealership can move towards zero emissions?
ParlaMint-NO_2016-02-17.ana.ud2568e707	Yes, I don't just want to support the ambition of zero emissions from the transport sector; I would like to point out that we are already doing things to ensure a transition to a more environmentally friendly car park. Among other things, we do. made through the agreement of the parties to the cooperation on the principles of car charges. We have followed up with a significant increase in the CO2 component in the one-off charge. In the case of rural electricity: we already have schemes where municipalities can apply to Enova for support for rural electricity. Several municipalities have not yet done so, and they should. They already have opportunities through Enova to get support for hydrogen filling stations. In the energy message that has been notified, there will be a hydrogen strategy. We are also working on – to mention another working party proposal – a proposal for climate legislation, where appropriate reporting and governance mechanisms should be regulated to achieve our objectives.
ParlaMint-NO_2016-02-17.ana.ud2568e715	So the oral question procedure is over.
ParlaMint-NO_2016-02-17.ana.ud2568e727	There will be some changes to the set-up questionnaire, and in this respect the President will refer to the electronic question list. The proposed amendments are proposed for approval. – It shall be deemed to have been adopted. The changes were as follows: Question 4, from the representative Erik Lundeby to the Minister for Transport, will be taken up by the representative Siri Engesetzh. Question 5, from the representative Svein Roald Hansen to the Minister for Coordination of EEA Affairs and Relations with the EU, has been withdrawn. Question 7, from the representative Else-May Botten to the Minister for Industry, has been transferred to the Minister for Oil and Energy, who is directing him. At the request of the Minister for Oil and Energy, the question is moved and answered in response to question 20, i.e.: at the end of the Questionnaire. Question 9, from the representative of Rasmus Hansson to the Minister for Climate and Environment, will be raised by the representative of Une Aina Bastholm. Question 14, from the representative of Ingrid Heggø to the Minister for Fisheries, will be moved and answered before question 1.
ParlaMint-NO_2016-02-17.ana.ud2568e744	The first question to be answered after these amendments is question 14 from the representative of Ingrid Heggø to the Minister for Fisheries.
ParlaMint-NO_2016-02-17.ana.ud2568e751	«Emergency work before farming is increasing. An unused tool for increasing employment within the aquaculture sector is to introduce rolling MTB. Would you like to enable this tool?
ParlaMint-NO_2016-02-17.ana.ud2568e758	I thank you for the question. Several slaughterhouses and processing establishments in the salmon industry have authorised employees at the beginning of 2016, and this is due to the low availability of ready-to-slaughter fish. I guess that's this situation the representative Heggø is looking forward to in his question. This is not a new discussion, as this type of leave has also been experienced in the past, and I record that both Sjømat Norway and the Norwegian Maritime Association, NSL, have again called for greater flexibility in the regulatory regime compared to the MTB. I understand – and I think everyone does – that this is a difficult situation for all those who are being permitted, and it is also difficult for the employer who has to go to the step of permitting. This is something that the government is very focused on now, in terms of overall unemployment. We focus on it all the time and try to make the best efforts to combat it. The so-called rolling MTB was also investigated in 2013, but the government then chose not to go any further with the proposal. There were several reasons for that. Among other things, they meant: that it could lead to a large increase in standing biomass at a time of the year in which the challenges with salmonids were greatest. So also the representative Heggø knows that there's something the Stortinget has put up for now, in terms of the aquaculture notification, it's fighting and preventing lice. That's why I think it's important to keep this together with the wish that comes here now. The investigation showed at the time that rolling average MTB would provide incentives to concentrate slaughter in the autumn rather than spread slaughter beyond the year. It has therefore not been given that the introduction of such a rolling system will give the result you are looking for, namely a smoother slaughter pattern over the year, which I think everyone has a desire to get. We might be at the opposite risk of getting an enhancement of the slaughter pattern we have today. In addition, a rolling MTB will be complex administratively, which could make it more demanding to control and supervise the industry. This is why it goes beyond the desire of the government – and industry, not least – to want simplification.
ParlaMint-NO_2016-02-17.ana.ud2568e771	We would have liked to have some examples of a rolling MTB trial plan, so the industry would have explored this and how it actually works in reality, because it's true that there were different views of the outbound hearing. But it's possible to put a roof on a rolling MTB, so you didn't get an increase in the standing biomass. There is one tool. But what you showed up as a tool to remedy the current situation was that more measures would eventually come from the government. Can you name some of these measures that you are looking at, which will eventually come from the government?
ParlaMint-NO_2016-02-17.ana.ud2568e778	The President will draw attention to the fact that all speeches are to be made through the President.
ParlaMint-NO_2016-02-17.ana.ud2568e781	That's the new growth regime that the Storting has asked the government to present. Now I was in contact with the Marine Research Institute yesterday, and it's on schedule. Now, hopefully, there will be a consultation process up until spring, and the government has ambitions to present the new growth regime, in terms of production areas, which I think will be crucial in order to improve access to slaughter fish. Of course, it remains to be seen, but we hope to put this in place in the new year 2016/2017. So that's what's in the follow-up here. But when it is said: I believe that we should constantly assess improvements – in all kinds of legislation we have – and now, when we stand up in this establishment of the new growth regime, I think it is also wrong to introduce some testing schemes, or some models that we should test out. I'd rather be inclined to say that once we put this growth regime in place, and have it evaluated in a short time, you might be able to address the challenge of rolling MTB to a greater extent.
ParlaMint-NO_2016-02-17.ana.ud2568e788	The introduction of new production areas and rolling MTB is also a very central issue, because the small ones will be very relieved if they get rolling MTB when we introduce production areas. And then we're certain that we're not going to have growth until we've solved the lice problem. But is it possible to expect that we can have a forward-looking strategy that is based on measures and tools to increase the number of full-year jobs in the maritime food industry?
ParlaMint-NO_2016-02-17.ana.ud2568e793	Yes, I think that's a constructive input, and I'll take that with me. I think we all have ambitions to create new jobs, and we see that we are doing well in the fishing industry and aquaculture. And the purpose is also a little here in Stortinget, in the maritime food industry report, Meld. OJ L 347, 20.12.2013, p. 671. There are many measures and measures that the government has promoted, which I believe – if it joins the Stortinget – will make it more profitable and thereby also provide more jobs, especially in industry, which have not been as profitable over time as we might have hoped. So if you're going to have a sample scheme where you're going to decrease the biomass over time on average all year long, I'm not sure that neither small nor large in the aquaculture sector will support it.
ParlaMint-NO_2016-02-17.ana.ud2568e800	Then we go to question 1.
ParlaMint-NO_2016-02-17.ana.ud2568e807	«The Sotra connection creates the most queue in Bergen. In two years, costs of new connections have increased by 2.5 billion. krones. It is a tribal road where the State Road Service is responsible for planning, and it is that they make demands that costs increase. State aid today amounts to 23 p.m., as much as the State itself includes VAT on the project. The municipality has asked for a new bridge and does not want 100 kroner in tolls. Why is the Council of State blaming local politicians when it is his own State Road Service planning, and will it start construction in 2017?»
ParlaMint-NO_2016-02-17.ana.ud2568e814	For the government it is important to build better roads. It is about better accessibility and building good housing and working areas, and there is no doubt that the traffic to Sotra is so great that something has to be done about the road network there. We are also concerned that we should do something about the cost increase that we have seen in the industry. We've seen a cost increase far beyond inflation, and that means that it's important that we see whether there are things that the state, the entrepreneurs, the local politicians or others can do so that we get lower costs on the roads we're going to build. It's about respect for the taxpayers, and it's about respect for the drivers where there's tolls. That is precisely what I call for both the Road Administration and local politicians. I didn't blame anyone for what's happening. I just said that in order for us to realize this at the lowest price possible, it is important that the municipal politicians, together with the Vegvesen, try to find solutions that make the project cheaper to realise. It's about spending our money in the most efficient way possible. Then I pointed out that, for example, knows that local politicians in Hordaland want one to have their own collective fields on the bridge. There's something that the Road Service says doesn't necessarily make a get bigger on the bridge, and that's going to be a challenge. These are the things we need to find solutions in common, so that when we build such a bridge, it will also be adapted to the developments we want at Sotra, in Bergen and in Hordaland in general. A cost estimate of 7.2 billion is foreseen in the National Transport Plan 2014-2023. kr in 2014-krona. Of that, there's a state share of almost 30 pst. When an increased cost estimate is made without political treatment, the state percentage will appear to be smaller. But initially, one actually thought that one would contribute more than the value added tax in income. Something else would be pointless, I think. That the state is making money on that is not the point. Some changes have been made, and so has Mr Grung. New elements have emerged, including: bus fields, Straume terminal, separate cycle path, expanded tunnel, two-way running possibility and a new Kolltvet route crossing. You've also looked at the dimensioning of bridges, transitions, tunnels, day zone and that kind of thing. When a person continues to work on this, it is important that the Road Service is still responsible for the work. Political treatment has not yet taken place. My call to the Road Administration and to the local politicians is still that one must find the solutions that are best local, while one must have the costs in mind, and thus get the cheapest possible. I hope they will, so that we can see the best possible project. In terms of toll tariffs, I think everyone knows that the party and the government I represent want to reduce the toll percentage. But then we depend on the parties in Stortinget to support us when we make proposals on, for example. to grant money to cut the toll, and then I hope that the Workers' Party will vote next time for a toll cut – not against.
ParlaMint-NO_2016-02-17.ana.ud2568e831	The Government, as one of its measures to make it more effective, proposed that this be planned as a OPS project. Does the State Council consider that the Road Administration and the Road Directorate are offensive enough to be able to plan it as an OPS project, or does it agree to delay it? So, is the Council of State still standing at the start of construction in 2017?
ParlaMint-NO_2016-02-17.ana.ud2568e836	We propose that we implement the projects at least as quickly as a previous one has taken into account in the national transport plan. We have increased the appropriations for planning new roads. In the draft budget presented by the previous government before it went out, i.e. the 2014 budget, there were planning funds for about 800 million. kr for the whole nation. The budget we have now adopted with the Christian People's Party and the Left, i.e. two budget years later, is almost three billion. Total kr. It shows a willingness to speed things up and get things done at a much higher level than it has been before. We believe that OPS is a good implementation method. Many people get the debate to be about funding only, but for us it's about making sure that public-private cooperation invites entrepreneurs to an earlier stage than before. This means that those who are going to build it will also be involved in designing the project and thus be able to influence material selection, height, capacity and all of this, so that we can jointly reduce costs. We think that's a better way than to make complete construction drawings that one can't affect to such an extent without delaying the project. So yes, we still have the progress plan as our goal.
ParlaMint-NO_2016-02-17.ana.ud2568e843	I guess the Council of State knows where the Sotra connection is. It's close up to Bergen and densely populated Laksevåg, so I'm a little surprised that he thinks there's no need for collective fields, because it's at least in contrast to what local politicians think should be the solution, which was also up in the discussion here earlier today. The question that I put in place, and that I did not experience being answered, is: Does the Council of State think that when it comes to planning with OPS, both the State Road Administration and the Road Directorate are competent to have the dialogues with the builders, etc., and that that process does not go any slower now than if a OPS solution had not been chosen for the planning phase as well? And will it start construction in 2017?
ParlaMint-NO_2016-02-17.ana.ud2568e850	I think I answered quite clearly in the previous answer that we are dealing with the progress plan that has been underpinned. With regard to the selection of OPS, there was a dialogue with the Road Directorate and the Road Administration, where one looked at which projects would be suitable for OPS solutions and where one believes that this would benefit the project. For me, it's not necessarily most important when a set of spade in the ground, but when the project actually opens up to traffic. If the goal was just to boast that you've put the spade in the ground, you're still building E18 through Eastfold, after you've been on for 15-20 years. I don't think there's anything you should be very proud of. To me, it's the opening time that applies. If one then, sometimes spending a little more time planning, can implement it faster, it is actually a success criterion. But I do not now assume that we have a delay on this. I'm busy having good bus solutions. We're going to have more people who travel collectively in the future than today, but that doesn't necessarily mean that one has to have a collective field on a bridge if that means that a lot of capacity disappears due to relatively few buses.
