ParlaMint-NO_2016-03-30.ana.ud2203e22	The representative, Ruth Grung, will put forward a proposal for a representative.
ParlaMint-NO_2016-03-30.ana.ud2203e403	My question goes to the Minister of Oil and Energy. Global warming is an increasingly serious reality. February was the warmest month ever registered internationally in modern times. It underlines the importance of the Paris Agreement and of achieving the objectives set in the Paris Agreement, which show that we need not only to reach the 2 degree target but that we need to reach 1.5 degrees, and that the world needs to have negative emissions when we come out in the second half of this century – that is, major changes and large emission reductions. Recently, Statoil has made an assessment of the consequences of implementing the Paris Agreement and says that they will lose 20 billion. kr. It's a lot of money, but maybe not so dramatic. Otherwise, there are far more dramatic changes in the energy sector. The largest private coal producer in the world, Peabody, is about to go bankrupt – or at least on the brink of it. Looking at the large energy companies in Germany, whether it's E.ON, Vattenfall or RWE, you can see that they're struggling with income, and that the value of the companies is almost melting away. I'm sure that if you had gone five years back in time, none of these companies would have seen this development. At the same time, there is a happy development in the development of battery technology. It improves storage capacity, it is used in the transport sector and becomes cheaper. Renewable energy is becoming increasingly competitive towards fossil energy sources. Then my question becomes to the Council of State: What is the long-term development and risk seen by the Council of State for Norwegian oil and gas activities – and therefore also for the Norwegian State – in the light of the Paris Agreement, and how will he meet it?
ParlaMint-NO_2016-03-30.ana.ud2203e416	Let me first start by saying that the climate challenge is a big challenge. Therefore, it is good that the government in its efforts to meet the climate challenge has strong support from the Left, but also from a significant majority in the UK. The climate challenge is not only great – it is clearly also a global challenge that needs to find global solutions. We see, for example: that part of the solution to reduce greenhouse gas emissions rapidly and efficiently, which is increasingly being selected in Europe, and which includes, inter alia,: was communicated by the British authorities just before Christmas, replacing the coal power, on which the representative of Elvesuen is involved, with gas. It is one of the fastest and most effective ways to reduce greenhouse gas emissions. Norwegian oil and gas production is part of the EU climate quota system. There is also a wide gulf in the Stortinget. A policy that is currently ahead of us and is consistent with the objectives set by the world community in Paris suggests that emissions of CO2 and other greenhouse gases within the framework of the EU climate quota system will be more expensive over time. These are aspects that oil companies will take into account when those responsible for making the commercial decisions on a Norwegian base decide where to look for oil and where to expand oil production and not least gas production in the future. This is what I believe we have a system that is robust to and well prepared for – something that the Stortinget also joined when my then Councillor Tine Sundtoft presented these things last year.
ParlaMint-NO_2016-03-30.ana.ud2203e428	Governments often point out in their argument that Norwegian oil and gas activities are the purest production available in the world. This has probably been true, although one today sees emissions per unit of output also rising in Norway. If we look at the needs that are international, it's not just that we have to have little emissions in production, we also have to be a powerful contributor to carbon capture and storage. Governments have put forward a strategy for capture and storage to implement a full scale project by 2020. But the really big thing is it's going to be when you get a technology where we can put into practice the storage possibilities that are in the North Sea. How does the Council of States see that we're going to be able to drive carbon capture and storage technology, and how are we going to be able to use it, and get a value chain to use, the magazine facilities that are in the North Sea?
ParlaMint-NO_2016-03-30.ana.ud2203e435	When it comes to developing technology to store CO2, it's not the technology we need to develop. On the contrary, Statoil has been holding on to Norwegian pedestal for almost 20 years. They deposited 1 million tonnes in the first years and in recent years, after Snow White was produced, almost 2 million tonnes of CO2 on Norwegian soil. It's a job that, of course, has the full support of the government. Then it is quite right that the representative of Elvesuen points out that in the longer term there is no doubt that there are great opportunities to store significant amounts of CO2 on a Norwegian base. It is well documented by both the Oil Directorate and Gassnova, although the technical solutions for some of these areas need to be further worked on. The problem is that while ten years ago we saw 10–15 carbon capture plants in north-west Europe, none of them have been realised. So there's simply no one asking for storage capacity.
ParlaMint-NO_2016-03-30.ana.ud2203e451	There will be follow-up questions – first Terje Breivik.
ParlaMint-NO_2016-03-30.ana.ud2203e454	The question of follow-up goes to the Minister of Finance. Taxes and taxes are one of the most weighty policy tools we have to facilitate economic development and value creation. The Petroleum Tax Regime was last reviewed by a NOU in 2000, more than 15 years ago. In those years, major changes have occurred — structural, oil price and cost, and changes in external framework conditions such as liabilities. climate. And not least, we're in the middle of an energy-related paradigm shift that will increase in power in the future. If we are to ensure a green shift and green growth also in the petroleum sector, it is difficult to avoid an active tax policy. Norway as a leading energy nation now desperately needs a new, holistic review of the petroleum tax agenda. The question is whether the Minister of Finance has agreed on this and together with the Left will contribute to such a review being carried out.
ParlaMint-NO_2016-03-30.ana.ud2203e463	I have to admit that I was a little surprised by that question, simply because all the dialogue I have with Norwegian oil and gas industries and the companies involved in the production on a Norwegian base is about the need for predictability in the tax system. So no one is asking us to make major changes to the existing tax system — rather, on the contrary, to ensure predictability, robustness and long-termity. I think it's important to take it seriously, because we're now in a situation where we have to do two things at once. We are not going away from oil and gas production in Norway. But it's going to be smaller, and we have to take care of the employment and jobs that this industry has after all, which are still large and which are going to be large. However, we must also ensure that we get more legs to stand on, and that's why it's important that we take other steps in the tax system – which helps to make new investments in Norway, which means that we get more industries and more bones to stand on in the years to come.
ParlaMint-NO_2016-03-30.ana.ud2203e470	Terje Aasland – for follow-up questions.
ParlaMint-NO_2016-03-30.ana.ud2203e474	The oil and energy minister can once again stand behind the speaker's chair. My question goes to him because the climate challenges on the one hand and low oil prices and increasing unemployment on the other are all tasks linked to the portfolio of responsibility of the Minister of Oil and Energy. There is no doubt that the climate challenges are a big task for all of us. The obligations have been given through the Paris Agreement. The availability, the free knowledge, is a major challenge. We have heard a number of questions earlier today about exactly that, and therefore my question to the oil and energy minister is how he thinks, and what contribution he can make with regard to point one, follow up the climate agreement, and point two, ensure that the knowledge now available provides new opportunities for growth and value creation.
ParlaMint-NO_2016-03-30.ana.ud2203e481	As the representative of Aasland is well aware, during the spring we will present and hopefully – with the goodwill of the representative of Aasland – also address the energy message, where precisely energy production, climate and industrial development will be an important topic. I am pleased that the Labour Party supported the government's ambitious climate policy when it was presented by Tine Sundtoft last spring, and thus also to a large extent the climate policy frameworks around Norwegian oil policy. On the very question of what the government is doing, I think one of the most important things this government has done to increase not only energy production from a climate perspective, but also employment, are the steps we have taken to stimulate the expansion of renewable energy. So this year we have seen decisions to build what is going to be the biggest power project in Norway's history and Europe's largest wind power project: Fozen Wind in Trøndelag.
ParlaMint-NO_2016-03-30.ana.ud2203e488	Rigmor Andersen Eide – for follow-up questions.
ParlaMint-NO_2016-03-30.ana.ud2203e491	In the light of Statoil's expected 20-billion-billion-dollar loss. If climate objectives are to be met, I would point out that large land areas are globally unsuitable for food production if the climate challenge is not taken seriously. The question to the Council of State is: Should Statoil get feedback on thinking about social responsibility for people who lose their entire life base, well over 20 billion. kr, if climate targets are not met?
ParlaMint-NO_2016-03-30.ana.ud2203e496	As the government has presented in the ownership announcement, the government has great expectations that all Norwegian companies, not least the wholly or partly state-owned companies, take sustainability and social responsibility in the greatest seriousness. No one conceals that the production of oil and gas contributes to greenhouse gas emissions and thus also climate change. At the same time, it is also the case that companies on the Norwegian base in general and Statoil in particular produce oil and gas as demand in the world, with lower greenhouse gas emissions than the other companies Statoil compete with every single day. I am concerned about stimulating and facilitating Norwegian support, but also encourage Statoil to continue working in its international business.
ParlaMint-NO_2016-03-30.ana.ud2203e503	Let's move on to the next main question.
ParlaMint-NO_2016-03-30.ana.ud2203e506	My question is to the Minister of Finance. Differences in Norway are increasing as a result of government policies. Differences create shame, differences create hopelessness and less trust between people. The fight against injustice is whether we will in the future view each other as equivalent people, or as completely separate classes with different possibilities in life. Differences are married to a society and to cohesion, not only between rich and poor countries, but also internally in Norway. Norway has committed itself through the UN’s sustainability targets to the 40 pst. The poorest in Norway will receive the most growth – they will have to be lifted. It is even the Prime Minister, Erna Solberg, the ambassador for international affairs. But, in Norway, the biggest capitalists are getting the biggest money through annual tax cuts, while those who have the least are getting crumbs or even cut in many cases. So my question is, what authority does the Prime Minister have when she travels around the world talking about lower differences, when she has Siv Jensen as Minister of Finance?
ParlaMint-NO_2016-03-30.ana.ud2203e517	I fully agree with the representative Serigstad Valen that too many differences between people are very problematic. That is precisely why it is so important that we are able to maintain, maintain and gradually improve many of the welfare systems that we have in Norway, and which I believe there is a fairly broad cross-political agreement that we should have because it provides security in periods of life that are demanding for the individual. I mean, we do our job both at home and outside. We are doing this out of focus through targeted assistance, because we are strengthening the focus on knowledge and other things that help more people to cope on their own in emerging economies. But we are definitely doing a lot of work here too slowly, but certainly helping to reduce poverty. I remember the former party leader of SV who was going to eliminate poverty with a pen stroke in a previous election campaign. Obviously, it wasn't that simple. After eight years in government, it was difficult to find too many visible traces of SV's commitment to poverty reduction. At least this government has put forward a strategy to do that, and we've filled in money to achieve the goals. I think we have to keep working because poverty, especially in rich countries, is challenging for those who meet it.
ParlaMint-NO_2016-03-30.ana.ud2203e526	I think there are many groups in Norway who do not entirely share the finance minister's sunshine history. Nine million. kr – that's what Siv Jensen is saving to make the kids in 367 families poorer from January this year. There are many families who lose more than ten thousand a year — and that is to make a point that if you have a mother who is seriously ill, it is important that you are poor as well. Another group of governments have gone into surgery. Some of them get a cut of up to NOK 100,000 a year. The government has calculated it on its own. Then are the young people who fall out of high school, who are to be deprived of the daily allowance because it is not to pay to fall out of school, and not to talk about the pensioners, who this year, for the second consecutive year under the board of the Progress Party, get weakened purchasing power. Taxes don't help these pensioners. They'll be on Siv Jensen's fissure team for the richest elite. The road is far from what the Pensionist Association called the social security settlement of the times under Kristin Halvorsen and SV in government, until today. When SV directed the Ministry of Finance, the differences in Norway went down, now they go up. What will the Minister of Finance do to reduce the economic differences in Norway?
ParlaMint-NO_2016-03-30.ana.ud2203e537	I didn't try to draw a sunshine story. Rather, I tried to emphasize the importance of continuing to work in order to reduce differences at home as well. We have to do that through a wide range of instruments. Not least, we need to ensure that more jobs are created, because perhaps the most important reason why many people feel vulnerable is that they are no longer part of the labour market, at least temporarily. Then the representative Serigstad Valen made a visit to the pensioners. I would like to remind you that, in connection with the state budget for the current year, it was decided to make changes to the curtailment of the pension for married and cohabiting pensioners, which, with effect from September of this year, will strengthen the economy of 650 000 pensioners. It is an election vow the Progress Party has given, and I am very pleased that the government and the cooperation parties have now been adopted.
ParlaMint-NO_2016-03-30.ana.ud2203e544	There will be follow-up questions – first Kirsti Bergstø.
ParlaMint-NO_2016-03-30.ana.ud2203e548	The government has made it clear that the old-age pensioners will lose purchasing power in the social security settlement of the year, just like last year. It is a little special, especially given that last year the Progress Party said that it is not appropriate for pensioners to lose, and suggested compensation. But it was the Progress Party on the Stortinget that opposed the Progress Party in government policy. The party of progress in government, on the other hand, changed nothing. My question today is not about the pension reform in general. Nor is it about curtailment for married and cohabiting pensioners. My question is why the Progress Party at its post will make the country's retirement pensioners less part of the year's settlement.
ParlaMint-NO_2016-03-30.ana.ud2203e555	It is quite right that the Progress Party has had a different view of both pension reform and underregulation, adopted by a broad majority in the UK. But it is also true that when we negotiated the government platform, the Progress Party concluded that we should govern based on the pension reform adopted by the Storting. We'll follow that up. But then the Progress Party has also been clear that we want to do something about the unreasonable curtailment of the pension for married and cohabiting pensioners, and the decision made by Stortinget benefits the retirement pensioners from September this year, with NOK 4000 per pensioner and NOK 8 000 for a married or cohabiting couple. It's clear that it will be noticed for the individual. In addition, changes were made to the state budget for the current year, including for the minimum pensioners. So to say that the government and the cooperation parties have not taken action to remedy the financial situation of pensioners is directly wrong.
ParlaMint-NO_2016-03-30.ana.ud2203e560	Irene Johansen – for follow-up questions.
ParlaMint-NO_2016-03-30.ana.ud2203e563	I want to follow up the relationship with the consequences of the tax cuts for the distribution profile. Our society has been characterized by small differences and an equal side of giving all equal opportunities. However, the government’s tax cuts increase the economic differences in Norway. The tax havens go mainly to the 10 pst. The wealthiest in the country, while the rest of the population experience a cut in welfare schemes, increased self-esteem, increased kindergarten prices, increased electricity tax, etc. Differences are accentuated by increasing unemployment. More attention has been paid in recent years to the impact of economic growth and inequality. Organisations such as the OECD, the IMF and the World Bank have pointed out that as inequalities increase in society, economic growth is falling. What does the Minister of Finance think about the context that, among other things, Does the OECD point to, between economic growth and inequality in relation to the increasing inequality that government policy brings about?
ParlaMint-NO_2016-03-30.ana.ud2203e572	It is quite right that organisations such as the IMF and the OECD have looked at these issues in many countries, including Norway. They have found that Norway stands out, because the differences here are smaller than in many other countries. It is also true that organisations such as the OECD and the IMF have recommended Norway to implement a tax reform and continue to work to reduce the level of taxation, simply because it is too high compared to countries it is natural to compare with. So there's something about that when the representative Johansen reads reports, she has to read all of it. So we get recommendations from these organisations to continue to work to reduce taxes, and we get commended because the differences in Norway are less than in countries where it is natural to compare with each other.
ParlaMint-NO_2016-03-30.ana.ud2203e579	Social violence Vedum – for follow-up questions.
ParlaMint-NO_2016-03-30.ana.ud2203e582	Progress party leader and finance minister Siv Jensen is incredibly satisfied with how well the pensioners have got in the country after she became Minister of Finance. Last year, I remember that the Group of the Party of European Socialists applauded the proposal of the Party of Presidents in government when it came to pensions. There were loud protests against the Progress Party in government from the Progress Party in Stortinget. Now I understand it's amazing again from the Progress Party – the pensioners are going to get a gold year this year. It's all great. So the question is: when there is a proposal from the government, in which the leader of the Progress Party is Minister of Finance, will it also be this year that the Progress Party in the Government believes that everything is fantastic and that the Progress Party in the Stortinget believes that everything is cruel?
ParlaMint-NO_2016-03-30.ana.ud2203e589	I didn't say it would be a golden year. I have said that we have been able to reduce the curtailment of the pension for married and cohabiting pensioners, which very many – hundreds of thousands of pensioners – experience as very unfair, and which I did not notice that the Senter party went to battle to do something with their years in government. So we've done it. As I said in my previous answer, we disagreed with the pension reform. We've disagreed with the underregulation, which is one of the principles in it. But we have also joined forces to govern on the basis of the pension reform points to which a broad majority of the Biggest have joined, including the Center Party, as far as I know.
ParlaMint-NO_2016-03-30.ana.ud2203e596	Let's go to the next main question.
ParlaMint-NO_2016-03-30.ana.ud2203e599	My question goes to the Minister of Oil and Energy. A General Foreign Affairs Committee summarised in the Settings for Notification. St. 10 for 2014–2015, Possibilities for all – human rights as objectives and means of foreign and development policy, inter alia: ‘Entertainment interests must not be at the expense of human rights.’ The size has also been very clear that corruption must not be part of the activities of Norwegian companies abroad. So Norway and Statoil have been operating oil in Angola for a number of years and made a lot of money there. During the same period, the human rights situation, the corruption situation and the regime in Angola have not gone in the right direction. Governments have been asked a number of questions about where large funds have been invested in and paid in the signature bonus to technology companies, social projects, etc. in Angola. This money is known to be gone and not traceable. Statoil has admitted that the companies have not asked questions about this. The Council of State is quoted in Dagbladet on 7 March, after a number of questions from the media: ‘I have clear expectations that Statoil is working systematically on its social responsibility, where the fight against corruption is very important. It is Statoil who is responsible for monitoring expectations’. The government’s own action plan on the follow-up to the UN’s guiding principles for business and human rights states: ‘The follow-up to the work of companies on human rights and social responsibility takes place through the ownership dialogue in quarterly meetings and/or annual meetings on social responsibility. Thus, in specific cases further follow-up of companies may be relevant.’ So the government has its own responsibility to follow up the expectations of the state's business, and the question to the Council of State then becomes: can the Council of State confirm that, as part of the government's ownership dialogue with Statoil, it has its own responsibility to follow up the government's expectations of Statoil's work on social responsibility, and to clarify whether industrial interests have gone at the expense of human rights in Angola?
ParlaMint-NO_2016-03-30.ana.ud2203e628	I can confirm that this and many other issues related to transparency and anti-corruption work have been the subject of conversations between me and Statoil's board. Let me begin by stating that corruption is a serious problem, especially in countries that are in economic development, such as Angola, to which the representative Hansson refers. Therefore, it is good that corruption is punishable, whether it is state-owned Norwegian companies or private-owned Norwegian companies. It is punishable by Norwegian law, and it is punishable by a wide range of international conventions. This, of course, follows the government in the ownership dialogue with the companies, and it is mentioned in detail in the ownership announcement, which has been widely endorsed in Stortinget. However, transparency about financial transactions is one of the most important means of preventing and combating corruption. Therefore, it is good that Statoil has been among the most open companies in the world in terms of transparency and transparency for many years, long before legal requirements were imposed on this. Transparency International's rankings show. Statoil has gone ahead. Since 2011, this type of information has been published in Statoil’s sustainability reports. There were few, if some other oil companies that as early as 2011 had full transparency about this kind of payments. So we know where the money's paid out. They have been paid to a company fully and completely controlled by the Angolan State, and Statoil's internationalisation to over 30 countries, including Angola, has had broad political support in this Chamber for many years, like the important anti-corruption work in which all state companies are expected to participate actively.
ParlaMint-NO_2016-03-30.ana.ud2203e640	Thanks for the answer. ‘Openness’ is a key keyword. The problem is just the absence of transparency. The problem is the absence of information on how very large Norwegian funds have been shipped when they have been paid by Statoil to Angolan counterparts. Statoil has not contributed to the transparency of how these transactions have been completed and what they have resulted in. They have even entered into agreements that they should not have access to this information. The question to the Council of State is: to what extent does he feel that he himself has actively contributed, in accordance with the government's own action plans, to more transparency and more information about what is behind these transactions?
ParlaMint-NO_2016-03-30.ana.ud2203e647	I have been clear in all my dialogue with Statoil, in all my own follow-up with Statoil, that we have great expectations for the follow-up of sustainability in general and for anti-corruption in particular. In all my formal conversations in the follow-up to the owner, this has been a topic. I am not familiar with the description that Statoil is a little transparent. On the contrary, Statoil has repeatedly gone ahead in being more open about this type of financial transaction than the vast majority of companies they compete with. I think most of the other major international actors in Angola are less open than Statoil. I'm glad. I am also pleased that Statoil has, over and over again, gone ahead and demonstrated the will for greater transparency than their ‘peers’ in the international oil industry.
ParlaMint-NO_2016-03-30.ana.ud2203e654	It opens up for follow-up questions – first Jette F. Christensen.
ParlaMint-NO_2016-03-30.ana.ud2203e657	Now it's over 700 million. is missing in Angola. These are looking for Statoil, these are looking for Stortinget, these are looking for Norwegian press. The minister has written to the inspection committee several times that he does not see it as his responsibility to look for that money. Then I have to ask: Why not? In what other way than looking for that money does the Minister see that he will follow up the Storting's intention and the government's intention of anti-corruption work?
ParlaMint-NO_2016-03-30.ana.ud2203e669	I note that this question describes Statoil’s way of working – both the previous replicator and the representative Christensen – in a way that I do not know about. Statoil has, on the contrary, been clear that they are actively working with the authorities in Angola and with Sonangol, who are the whole time of the authorities in Angola, to identify the progress of this technology centre, which has been part of the settlement agreed in 2011 when this agreement was concluded. I trust that the board will continue to work to find out about these issues, and I expect, of course, that the shareholders – including the Norwegian state – will be informed about this, on which Statoil has historically been very good at through the sustainability reporting they started in 2011.
ParlaMint-NO_2016-03-30.ana.ud2203e676	Ola Elvesuen – for follow-up questions.
ParlaMint-NO_2016-03-30.ana.ud2203e679	I have to say that I have been concerned for a long time about Statoil and other companies operating in countries like Angola, where we know that there is a lot of corruption, that you get a situation where you care very carefully about your own business, but in meeting with the state and society it becomes almost a self-imposed naivety – there are some things you don't want to know about the transactions you do, through both ‘signing fees’ and other transactions. But where that money really ends up, and how they go into the treasury, is something you really don't want to go into. And then my question becomes to the Council of State, based on the situation that is now in Angola, and the 700 million. If you haven't explained, the Council of State shares that concern, that is, that you operate within the control of your own business, you do it very correctly, but that you still agree to build up a corruption business in this type of country because you don't... [[The President clubs.]]
ParlaMint-NO_2016-03-30.ana.ud2203e686	As I said to the representative Hansson in the first question, there is no doubt that corruption weakens growth and prosperity – it weakens the possibilities for sharing the values from extracting natural resources, such as minerals, oil and gas. We also know that transparency about financial transactions is the most important means of combating corruption. Therefore, I am pleased and very clear to Statoil that transparency about these kinds of transactions is important. I am also very pleased that the Board of Directors of Statoil and Statoil say that they will continue to follow this up with the Angolan authorities who have received this money, just to find out where they have gone. But it's like there's been a lot of political support for many years for Statoil's international commitment, including its commitment to Angola.
ParlaMint-NO_2016-03-30.ana.ud2203e695	Let's go to the next main question.
ParlaMint-NO_2016-03-30.ana.ud2203e698	My question goes to the Minister of Oil and Energy. Today’s Business Today, the Prime Minister says that people are now ‘seeing the results of government policy’. In my home country, the unemployment rate has increased by 35 pst. the last year. On Stord, an important industrial municipality, is 6 pst. of the full-time job-stick. More than 100 offshore service ships are in the bows, and until summer half of the Norwegian rigs will be in storage. We see in the West that the crisis in the supply industry is spreading to other industries and is affecting more and more. This is hard for those who are personally hit, it is hard for communities affected, and it is dangerous for the Norwegian supplier industry’s ability to deliver when the activity resumes. The competitiveness of industry is the industry’s own responsibility, says the Minister for Oil and Energy – while tens of thousands have to go. This is a position which is in stark contrast to the policy pursued by other governments, a policy which has been supported by the Norwegian supplier industry, and which has contributed to its taking a leading international position. Never before have we had such a passive and merciless government in a crisis period for the country's largest industry. It is obvious that the government's inaction results in a loss of competence and lost opportunities. Oil companies cut their costs by pushing their subcontractors, postponing projects and reducing maintenance. The result is a record unemployment rate and an industry that, day by day, loses both competence and capacity. Since accession, the government has said that it is following the situation closely. But 130,000 unemployed don't need spectators, they need a government that has power of action. When will we see an oil minister addressing the situation of the supplier industry and delivering measures that increase activity and ensure capacity and competence in the heavy situation that is for the whole industry during these days?
ParlaMint-NO_2016-03-30.ana.ud2203e711	I have to admit that I am getting a little stunned by the way you describe this. In its nearly 50-year history on Norwegian pedestal, the oil industry has always been a cyclic industry that has stood in and handled ups and downs. The activity level on Norwegian pedestal is higher in 2016 than in most of the years under the red-green government, without me remembering that someone at the time called out that now is the crisis. At the same time, the government has provided a package of measures, which has been the subject of several times today, but what is the basis for profitable jobs in the oil industry is just profitable production of oil and gas. Therefore, when the market situation is as it is, it is important that the industry now does a lot of good and sensible work to bring down the costs per barrel produced to get the oil up. On the part of the government, as the Minister of Finance has pointed out, some of the most important things we can contribute to are stable and predictable framework conditions. I want to use this opportunity to pay tribute to the Workers' Party and the representative Henriksen for finally deciding to contribute to the positive administration of the Johan Sverdrup field, which on Stord is now creating significant values and securing profitable jobs because the contracts could go out when they went out, and that that project was not exposed due to decisions in Stortingen, as many feared in spring 2014. In addition, for the first time since the Red-Greens took power, in 2015 we have increased the investment in research and development of new oil technologies by over 100 million this year. There are measures that allow more people to be employed directly in the oil industry.
ParlaMint-NO_2016-03-30.ana.ud2203e723	It's true that this is a cyclical business. In previous downsurges, labour party governments acted, as we did in 1993, when we set up Norsok, in 1997, when we took the initiative to set up INTSOK, and in 2001, when KonKraft cooperation was established – to mention some of the powerful measures taken in the time of the crisis. All these measures have worked, and none of them would exist without political initiative and will. In these last years we have been in opposition, in the Labour Party we have presented a number of proposals for measures that can increase activity and strengthen the Norwegian supplier industry. Industry calls for improvements in the permitting legislation and calls for incentives for increased extraction. From the government we have seen no measures in addition to land allocations in ordinary concession rounds. Even the government's own promise of changes to the petroleum tax system has not materialized in any concrete way. 60 years ago, Doris Day did success with the song "Que Sera, Sera" – what happens, it happens. Does the Council of State agree that this refuted in a good way sums up government policy in the face of the crisis in the oil industry?
ParlaMint-NO_2016-03-30.ana.ud2203e732	In no way – I note that the representative Henriksen is trying to devalue industry’s access to land. However, in the long term, access to new areas is just stable and predictable and determines whether profitable jobs in this important industry can be maintained. That is why I am pleased that we have set a new record – the two largest allocations in the TFO rounds have come while I have been Minister of Oil and Energy. It was granted in January 2016 and in January 2014. It provides the basis for long-term, high value creation on a Norwegian base. I am pleased that before the summer of this year I will allocate land in newly opened areas for the first time since I was Russian myself in 1994.This is the basis for profitable jobs in Norway in the long term. In the case of KonForce and the standardisation work, the industry tells me that this is the work they are doing. I don't belong to a party that thinks it's right that the oil and energy minister sit down and decide things that the industry, with the trade movement on the ground, is fully capable of deciding – without my direct involvement.
ParlaMint-NO_2016-03-30.ana.ud2203e741	It opens for follow-up questions – first Helga Pedersen.
ParlaMint-NO_2016-03-30.ana.ud2203e744	No one disagrees that access to land is important, but that is not all. The petroleum industry has now established itself in the Barents Sea and has the potential to contribute to growth and job creation in the north for many years to come. Snow White and Goliath have contributed to growth and many new jobs in Finnmark. It is, of course, due to access to land, but not least to the fact that the Stoltenberg I government contributed a tax solution for Snow White, and that the Stoltenberg II government made very strict and detailed demands on land ring effects in connection with the Goliath project, which is now in operation. In other words, there was an active policy for industrial development on land. It's not that easy to get an eye on at today's government. I would like to ask what the Minister of Oil and Energy will do to secure jobs on land in the north, and quite specifically what the government will do to ensure landing to Veidnes in the North Cape municipality of the Johan Castberg project, which is the next project out.
ParlaMint-NO_2016-03-30.ana.ud2203e751	I have just been through a line change with the representative Henriksen on the major challenges facing the industry, precisely because the oil price has fallen by almost two thirds in 18 months. This means that the industry now needs to take action to bring down the costs of the projects. As far as the Johan Castberg project is concerned, industry has taken great steps to ensure that it now looks as if it is possible to realise the development of Johan Castberg even with an oil price level that is far from what we saw when the design and planning of Johan Castberg started. Tax does not make a project more or less profitable. Tax only transfers financial resources between companies and the state. We've created a system in Norway that allows us to use the companies as agents for the state to extract oil and gas, and then you divide the values. But then you also protect about the values to be distributed. Therefore, cost reduction is so important.
ParlaMint-NO_2016-03-30.ana.ud2203e758	So the oral question procedure is over.
ParlaMint-NO_2016-03-30.ana.ud2203e771	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? I don't think so. - The meeting's been cancelled.
