ParlaMint-NO_2013-10-23.ana.ud1862e15	The representative of Audun Lysbakken will present a proposal for a representative.
ParlaMint-NO_2013-10-23.ana.ud1862e586	It's going to be line change.
ParlaMint-NO_2013-10-23.ana.ud1862e589	The government platform has weak formulations on soil protection. It says that the government will take good care of the food soil, but balance soil protection against the needs of the big society. This suggests that the Right Party and the Advance Party want to make it easier to build up agricultural land, especially around the cities and our agglomerations. While we halved the degradation in the red-green government period, we can now experience the reversal of soil protection. My question to the Left is whether they want to ask for soil protection. In the left hand application it says: ‘Earth conservation is a prerequisite for future food production. Therefore, the left will strengthen soil protection and ensure the protection of productive food soils with irreversible changes.’» Does the representative of Elvesuen agree with me that this wording cannot be reconciled with the wording of the government in the political platform?
ParlaMint-NO_2013-10-23.ana.ud1862e601	For the Left, soil protection is important, and it is important that we do not now have a reduction in agricultural land. The only place where this can be a problem is around nodal and congestive areas, but even where the Left believes that with a good quality of fortification it is possible to avoid the degradation of agricultural land. Soil protection is important, and soil protection must be maintained as an important objective in the years to come, and it will work hard for it.
ParlaMint-NO_2013-10-23.ana.ud1862e606	I am pleased that the representative from the left now says that they will continue the attempt to get CO2 capture, because there is one of the most important things you can do on the climate side. So there might be no reason – to say it like that – to hare about it more, but work for it. The second is local air pollution, which is an important matter. We agree. But I need the Left now to clear up the impression that was created yesterday by the leader of the Left. She said it was necessary for the Left to give religion a greater place in elementary school education to get the Lofoten and the West Pole of the Christian People's Party. Now the Christian People's Party rejected this blank rather than in a line exchange. Can the Elvesu help to clarify what led the Left to agree to this, when they took a reservation or went out of the agreement in other important areas? Was the Christian People's Party forcing this?
ParlaMint-NO_2013-10-23.ana.ud1862e616	First of all, I think there are a few projects that have been less organised and have had a more expensive result than the project in Mongstad, which is definitely not something to be followed up. Then it is clear that in negotiations there are many issues that are up at the same time, without me going into the individual parts of the negotiations that we were in. On the left hand, the cooperation agreement between the Left, the Christian People's Party, the Right and the Advance Party is a good agreement – a good deal where we have had a positive impact on the key environmental issues with which we entered into the talks. It is the balance of the agreement and the whole thing that is crucial, and we are pleased with that.
ParlaMint-NO_2013-10-23.ana.ud1862e623	The cord shift is over.
ParlaMint-NO_2013-10-23.ana.ud1862e626	I think I have to continue where I left off in the line change, because there is a ambiguity about the attitudes of both the Left and the Christian People's Party in this matter. This is not about whether the Left seems to have got a good package. It's about whether it was true what the leader of the Left said yesterday, that this was forced by the Christian People's Party to get an agreement in place. It is a rather serious matter for parties that both – I think – are in favour of the protection of the Lofoten and the Vestral, in the same way that SV has done. The new government is warning a new direction in some very important areas. This includes the privatisation and use of commercial actors in health and care, and in many parts of well-being. SV is very much for cooperation with non-profit voluntary organisations. That is why we are proposing today that we would like to have long-term agreements with the voluntary non-profit sector. Long-term contracts are also possible in the healthcare system today, but it is the limitation against those who are doing this because they want to run the store and make money, SV wants to get there. There I think there's a sharp dividing line between SV and the sitting government. If not, there are opportunities to agree on this proposal, that we should limit it to the non-commercial ones, as we have done in terms of child protection – and that the government will unfortunately reverse. What's this about? So it's not about what Prime Minister Solberg was on the platform here and said that you had to let private profit companies into this in order to experience that it was creativity. If I had been employed in the public sector now, I would have been deeply offended. I've been working in kindergarten for many years. That was a lot creative, and we could think of even more if we had got a little bit more rougher frames from the ones that were driving us. So it's not that it's just in private companies it's creativity and development of services. On the contrary – those who do this in community solutions have amazing results and find very many good, new solutions that I hope the new government will really support. This is about whether we think we have too much money in this system, so we can afford to secure dividends to private companies that are going to make money on welfare. Many of these companies have also located themselves in tax havens, so that they do not contribute a penny to the community they put their suction pipe down and take money out of it. We in SV want every krone that we pay into taxes, which the government and the Stortinge grant to these areas, to be used for services to the population and for good, proper pay and working conditions for those who work there. Another direction announced by the government is disturbing, but not strange, because both the Right Party and the Advance Party are engaged in right-wing policy, and then it is believed that the one with a lot of money should keep more sail – both people and municipalities. And that's worse. It says that the government will change income systems to keep municipalities a greater share of the value creation where values are created. We could have a discussion about what value creation is -- that's now the one. The second is that it means that municipalities where the wheels go, laugh, who have high incomes, who have high incomes and high tax incomes, will keep more seas and share less with the poor. In my county, which is Hedmark, all the municipalities lose on this. We've figured this out, and we've seen what that looks like. It is a little difficult to understand that the municipalities that are striving to develop businesses are going to be better able to cope with economic development when they get less money. In this case, it is completely contrary to the policy pursued by the Right when it comes to economic development, because those involved in industrial development have to be taxed in order to improve it. So more money is needed to drive business development. But this right will do, and it's completely systematically the richest municipalities where there are most right-wing voters, who win at this. But there are many of the peripheral municipalities of the large municipalities that are losing, and the result will be very different services for the population of this country. That means SV is wrong.
ParlaMint-NO_2013-10-23.ana.ud1862e644	It's going to be line change.
ParlaMint-NO_2013-10-23.ana.ud1862e647	Services and municipalities are very important, and we have seen that we need to reform. After eight years of red-green government, we have repeatedly heard how many billions they have increased the budget and spent for different purposes. They even promised that they would be able to remove poverty with a pen stroke if they came into government. The right is seriously concerned that the number of poor children has increased in recent years. In order to increase social mobility, the Right has proposed lower childcare rates for low-income families, free kindergarten for children of refugees on the institutional programme, and by June this year we proposed a 70 million bet with the other civil parties. kr to various measures for poor children. As we have heard, the new government is very concerned about cooperation. Can we assume that SV will now support the government's proposals for good and necessary measures for the very weakest in society?
ParlaMint-NO_2013-10-23.ana.ud1862e658	SV will support all proposals that promise those who have the most difficulty. I also hope that representatives from the Right and the new government will support what is in the new budget, namely a package twice as large as the one promoted in the spring to the most disadvantaged. But what the representative fails to mention is all the cuts that have been proposed for the poorest families. For example, over a billion dollars have been taken. kr from the unemployed sole caregivers - the income they have while qualifying. It has been proposed for several years by the Right in Stortinget. Now you also warn that you intend to remove the child supplement for the poorest, those who have the lowest disability benefit. There won't be one person at work if you take this away. In addition, compulsory social assistance is reported. At least it's not new thoughts, it's old thoughts, and it contributes to a disrespectful approach to people who need respect and assistance instead of the kind of argument that Right has stood for in the Storting.
ParlaMint-NO_2013-10-23.ana.ud1862e667	SV and the representative Andersen are fundamental opponents of competition in the public sector. It was also clearly expressed in the article that was kept here. But at the same time I have registered that SV is positive to competition in other areas. For example, SV was positive when Norwegian got on the track – that this was a healthy competition that would help to get better services for the inhabitants. The government party believes that public welfare should be publicly funded, but that there is the quality of the services that are decisive here, not who performs them. I would like to ask the question to the representative Andersen: can she explain to me what it is that does not work when it comes to public welfare, but that competition still works in other areas?
ParlaMint-NO_2013-10-23.ana.ud1862e676	That's because, for example, care for the elderly or the protection of children is not the same as an air trip or a bread. There's a big difference between those services. In addition, it is not the case in this country that taxpayers pay taxes, and the public that grants money to enable traders to sell bread – or travel by air. We don't have that system. What we're saying is that the public services that we're going to do together, we're going to jointly fund the tax bill. We spend that money on it, and not on dividends to shareholders. These are other types of services that we're not going to do because we're going to make money on them, but because it's part of the well-being that people have the right to as residents in Norway. Then it should not be a matter of whether someone sees himself able to make money on it or not.
ParlaMint-NO_2013-10-23.ana.ud1862e683	This lesson I've heard many times before, and I don't get any better at it. We are very concerned that the services should be good. It must be the quality of the services that are decisive — that is what it is. Whether it concerns public welfare goods, or whether it concerns air travel, it must be the quality of the services that are decisive. And if one has different providers, one can also get a lack and a choice that one does not have if one has a monopoly provider. I'd like to ask Andersen, once again, to clarify what she thinks is the decision for why competition is unfortunate when it concerns welfare services in the public sector, when it works and is something SV wants in other areas. This needs to be explained a little closer than what was done instead.
ParlaMint-NO_2013-10-23.ana.ud1862e692	I don't know if I'm going to take on the job of making the representative Hagesetter wiser, which I think is "heavy work", as we say in Hedmark, but the point is that there is a difference between public welfare and things and services that we buy elsewhere. There is a difference between a car and a sick home. The problem gets even bigger when you see that we don't have too much money to do public services in this country; we really need more to do it better. What, then, is the idea that someone should sit and make money on this, that is, make a profit – not that someone has a salary to do the job, but that someone should also make a profit from it? I'm a happy taxpayer, but I also get a little laugh if my money goes in the pocket of people who are zero taxpayers and have located themselves in tax havens, and who don't contribute five cents to the community sail.
ParlaMint-NO_2013-10-23.ana.ud1862e697	I would like to congratulate Karin Andersen on the new committee and thank you for your cooperation when we were set up in the Labour and Social Committee. I have experienced the representative as a cooperative and genuinely committed person on important issues where the Christian People's Party and SV have a lot in common. So maybe it might be a remark that now, with a new government, we have more opportunities to unite where we agree, and get through to that policy. I experience – at least when a player is constructive, as we have been allowed to do in the past – that we can find good solutions together. There will be important issues in the Municipal and Administrative Committee: local government reform. We see that municipalities have had larger tasks – and are likely to have larger tasks. This will mean that the map may have to be redrawn. It's exciting to hear what Karin Andersen thinks about it. The same applies to the field of asylum and integration, which are important issues in which the Christian People's Party and the SV have much in common. What role does the SV and the representative want to play in reconciling and trying to improve policy in these areas?
ParlaMint-NO_2013-10-23.ana.ud1862e706	The President would point out that Andersen's representative only has one minute to answer.
ParlaMint-NO_2013-10-23.ana.ud1862e709	Thank you, President! I would first like to thank you for a pleasant talk and say the same thing. There is very much that the Christian People's Party and the SV agree on in these areas. We want constructive and good cooperation with the Christian People's Party, both in the field of poverty and in the area of well-being and care in common. Then I ask the representative of the Christian People's Party to note that the proposal we have put in today is about protecting the private non-profit actors, and that we will not let the commerce into areas where we believe they have no role to play. There I hope for the support of the Christian People's Party. In the case of municipal structure, SV is for it to take place on a voluntary basis. We are very much in favour of opportunities for local democracy, but we are also in favour of people having equal rights. If, for example: is disabled or ill, or is intended to have a kindergarten or need child protection, it shall be equal and shall not vary from municipality to municipality.
ParlaMint-NO_2013-10-23.ana.ud1862e718	So the chord change is over.
ParlaMint-NO_2013-10-23.ana.ud1862e722	The right-wing Party government will pursue a policy to strengthen the social security network, to build confidence in the population, and to put the individual at the centre. We want to develop the patient's health care system. Quality and capacity shall be improved and access secure, and the patient shall gain more power in the system. A lot is good in today's health care system. In many areas we achieve good results. Thousands of employees do an invaluable job every day. But we can get better, because many patients experience not getting the help they need, when they need it. Not least, this applies to many of those who have been placed at the bottom of the table: patients with drug and mental health challenges and patients in need of rehabilitation. Therefore, we will instruct health regions to give priority to people with drug problems and mental disorders. We want to reintroduce the rule that drugs and mental health protection, individually, should have an annual growth that is higher than in the somatic environment. We will establish a stepping-up plan for the drug field, which will strengthen both prevention, treatment and aftercare, and will ensure that more people receive a valuable offer and limit the harm from drug use and help more people out in drug deprivation. The government, as we promised before the elections, will make sure to expand rapidly and purchase out-of-work facilities for drug treatment. Psychiatric health is to be an equivalent part of public health work. We will expand a low threshold of mental health provision in municipalities and strengthen the provision of care in the field of mental health protection. Cross-disciplinary cooperation in the transition between drugs and mental disorders should be improved. Too many people are waiting for specialist healthcare treatment and waiting too long. At the same time, we know that there is also free capacity here for private and non-profit actors. The government will use all the good forces in the welfare field and let go of those who want to contribute. It's the patient, not the system, that's supposed to be in the center. Therefore, we will introduce free treatment options into healthcare, first in the field of drugs and mental health protection, because patients with a right to treatment should be offered and the possibility to receive treatment and not to expect unnecessary treatment. This means that those entitled to treatment should be given the opportunity to choose to be treated at approved private treatment centres, if they so wish. Of course, public hospitals should continue to be the cornerstone of public health. They treat all acute patients, they account for most of the research and development and most of the education in the sector. For this reason, the government must provide a boost to quality and patient safety in public hospitals. Activity shall be increased through new ideas and improved solutions. Strengthen the quality work. The same work shall be carried out to prevent adverse events. Cancer treatment should be improved, and we will complement the national strategy on cancer with a plan to ensure competence and capacity. The bureaucracy will be reduced, and we will think again and come up with new solutions. The ICT system needs to be upgraded and its interaction with municipalities improved. The government will have a new governance model for the specialist health service, with a clearer anchoring of responsibility, not least political responsibility. That's why we're going to start working on a more operational national health plan, a wish that many parties in Stortinget have had for very many years. Once this has been adopted and works, we will be able to put down regional health businesses. That is the position the government parties have stood for – and stand for. Until then, the health regions have my full confidence, and I want to be clear that they have the authority and legitimacy to fill the demanding role they have in managing the hospitals. The Government wants the State to take greater responsibility for ensuring that municipalities are equipped to meet the increase in the number of elderly people in need of care and care. It is both about strengthening skills and increasing capacity and getting a service of quality and activity. The right and the Governmental Platform of the Advance Party in this area is an ambitious plan. It's about showing the will to bet, think new and not least put the patient in the center. We need to provide better health care for everyone. That's our vision, that's our goal, and that's what we're going to work for.
ParlaMint-NO_2013-10-23.ana.ud1862e748	It's going to be line change.
ParlaMint-NO_2013-10-23.ana.ud1862e751	First of all, I would like to congratulate Bent Höie on his important position as Minister of Health. For a long time, the right has announced that they will close regional health establishments. Instead, a national health and hospital plan will be drawn up with a concrete description of the content, competence, quality and location of hospitals. But a hospital plan is not a management tool. That's what the name suggests, a plan. I'm still waiting for the Right to come up with some ideas about how to manage hospitals – this important sector. According to the Right, the national hospital plan should cover only the public hospitals. At the same time, the government opens up the right of free establishment for private commercial hospital drivers, who will have to decide where to establish themselves, which patients they will treat, with the automatic right to send the bill to the public – i.e. strong management of public hospitals, but with a potentially large commercial hospital sector that will be able to go under the radar for political governance. How will the government operate a good distribution of resources for the whole country in such a two-part hospital system?
ParlaMint-NO_2013-10-23.ana.ud1862e758	The question from the representative may say a lot about how the Workers' Party has looked at plans that have been adopted by Stortinget, because it seems that the Workers' Party in the Government has not seen the type of plans that a management tool has. This government has a completely different view of plans adopted in Stortinget. We see it as an important management tool. Therefore, one of our main aims is to introduce a national health and hospital plan to move back to elected bodies the kind of completely fundamental decisions that are crucial to the population. I don't look at the Storting as Oslo. I look at Stortinget as the place in Norway where the whole of Norway gathers to discuss common challenges. It is not true that this government is calling for the freedom of establishment of hospitals. On the contrary, the previous government has promoted a proposition for this expansion of the free establishment of private hospitals. I hope I don't get a majority.
ParlaMint-NO_2013-10-23.ana.ud1862e763	It would have been tempting to follow up on this topic, but for the time being, it is so unclear to me what will replace the Right – until the election day – should end, namely regional health companies, and what will happen, that we will get back to it. I want to move on to another theme. I am not among those who believe that we can say today that the Right Party and the Advance Party – or perhaps the Advance Party, but not the Right Party at least – have run from what they promised the voters before the elections. But there's reason to remember part of what Höie and Right promised. Much more roads were to be built, taxes were to be cut by up to 25 billion. NOK, and it took 24 hours from the Workers' Party to launch the promise in 12 billion. kr more to hospitals during the landfill period, also Höie was for this. In addition, he must establish so-called free treatment choices, which he does not know what will cost. I respect the fact that a budget will now be made, but I have to admit that I am excited about how the Vice President of the Right, Bent Höie, will balance all these considerations with Minister of Health Höie's wishes. Can he give us a little indication of how this is to be paid collectively?
ParlaMint-NO_2013-10-23.ana.ud1862e768	These questions will be answered by the representative when the government presents its government budget, both the budget we present this year, and not least the budgets with which the government has the opportunity to work almost a year, as the previous government has done. Then a few answers to how a balances out these different desires. A government platform is a government platform for a four-year period. Of course, it takes account of the economic situation in which the country is at all times, but we believe that we have important and proper ambitions both in strengthening the competitiveness of Norway by investing in infrastructure, and also in creating a better health system that is equipped to meet the population and disease trends we face. Then I record that the government that the representative supports jumped from his own election vow in 12 billion. kr more to the hospitals in the first state budget it submitted after the election, where one is well below fulfilling that promise.
ParlaMint-NO_2013-10-23.ana.ud1862e775	Until recently, I think there was a misunderstanding when former Prime Minister Jens Stoltenberg had the word on the matter before today. If we look at how the hospital budgets have evolved compared to what they are governed after today: to next year, the increase is 2.4 billion. $400 million. kr more than it is managed after today. You're up 400 million. kr on top of the increase every year, which at least has been our plan all along, when we reach the goal that the hospital budgets will be 12 billion. kr higher in 2017. It is in good working party spirit to gradually escalate that type of plan. Then I'm excited if Höie will follow up on it too – he confirmed at least that to me in the debate on television yesterday. But my point of asking in the way I do is that everyone who's worked a little bit with economic policy knows that if you're going to follow a responsible oil money usage, govern the Norwegian economy, there's at some point going to be a conflict between everything Höie and Right has ordered the government to invest and the welfare sector, and the tax cuts they've promised. The question again is, what foot will Höie stand on when these discussions come up to the government?
ParlaMint-NO_2013-10-23.ana.ud1862e780	These questions will give us plenty of opportunity to come back to the annual government budget debates. The right always has the job of providing good government budgets that take account of the economy in the country and balance the different relationships with each other. It's something that this government is going to do. It still remains for me to understand that 2.4 times 4 is more than 12, but maybe the representative can come back to that problem another time.
ParlaMint-NO_2013-10-23.ana.ud1862e785	First, I would also like to congratulate Bent Höie as the Council of State and wish him every success in his work as Minister of Health and Care. In the nation on 3 September, today's health and care minister was asked if he could outline what a local hospital should hold. The eye-catching response was no, it could not be right about it – one week before the option. Today is 60-70 pst. of all patients admitted to hospital, treated at a local hospital or at a local hospital level. Thus, the local hospital is fundamentally important in hospital provision, because most of the patients are treated there. In order to ensure the quality of local hospital services, the Norwegian Medical Association recommends five functions on a daily basis as a minimum. It's internal medicine, it's surgery, it's anaesthesia, it's x-ray and lab -- this to ensure breadth, quality and good patient treatment. So the question is: does the Minister of Health and Welfare share the Centre's view and the Norwegian Medical Association's view that these five functions are important for the quality of supply?
ParlaMint-NO_2013-10-23.ana.ud1862e792	I would like to thank the representative for his questions and thank you for the congratulations. What the representative here is addressing is a matter that has been agreed over a long time by the Right, the Advance Party, the Center Party, the Christian People's Party, the SV and the Left, namely the need to have a national health and hospital plan containing, in particular, minimum requirements for the content of the different types of hospitals. When I can't answer the representative's question that that's exactly what the Medical Association is proposing, it's because I think we should perhaps involve someone other than the Medical Association in developing these definitions. But what I agree with the representative and the centre party is that we need to get a national health and hospital plan that contains some minimum requirements for what, for example. a local hospital should be included and should be based on the views of the Medical Association and the views of any other professional. We take that work very seriously, and I hope that it will be a good thing for the Storting to be with us and discuss it.
ParlaMint-NO_2013-10-23.ana.ud1862e799	I would like to congratulate Bent Höie on the post of Minister of Health and look forward to constructive cooperation. I am very pleased that the Council of State is so clear that he will have a national health and hospital plan in place. It is a very important management tool. I am also pleased that the Council of State has signaled that it will take some time to find good compensation for regional health businesses. So someone has thought that it's too long to spend four years liquidating them. The Council of State may not have ambitions to wait that long. We now see that there are many media lookups related to the conversion process in the capital. The merger of Health South and Health East went quickly. The capital process also went quickly. That's why I'm glad the Council of State is taking some time. But there may also be unfortunate results from the conversion process in the capital, as it might suggest, and my question to the Council of State is therefore: What will he do to gain more knowledge of the process of conversion, also because we might have to engage in new transformation processes in the health sector? [[President clubs]]
ParlaMint-NO_2013-10-23.ana.ud1862e807	Time's up.
ParlaMint-NO_2013-10-23.ana.ud1862e810	Thank you for the congratulations. I am very pleased with what the representative says about spending time developing a national health and hospital plan. This is something that the Storting has longed for over eight years in many ways. It is very important for the government that the work is done in a good way and involves local communities and the different professional environments, health regions and hospitals in such a way that what we present to the Stortinget is well and well anchored and provides a good basis for the discussion of the Stortinget, so that it actually becomes the governing tool that a large majority of the Stortinget has wanted. If we set short deadlines for ourselves, we can quickly risk a major project for a large majority in the United Kingdom coming out badly, and thus we will not succeed. So to what you're asking, I've already started and got a first briefing on the situation at Ahus, and have asked for further to make sure they're prepared for a possible influenza epidemic coming around Christmas. So I know that it is a desire for a review related to the capital process in general. There, I need to go in there and look at what such a person can contribute to, what might be the conditions, the criteria and so on for the future. [[President clubs]]
ParlaMint-NO_2013-10-23.ana.ud1862e819	The President will remember the time of speech. So it's not a minimum time.
ParlaMint-NO_2013-10-23.ana.ud1862e822	I would like to congratulate the Minister of Health. We get a capable man in a demanding post. Bent Höie has an ability to reason and argue in principle, which I have often enjoyed, and I would like to point out an example of this: an article under the title «The Patients' Interests First», which Bent Höie had in Our Country on February 27th, and which was about why doctors should not be able to refuse to refer to abortion. There, Bent Höie writes: ‘We shall show tolerance for differences of opinion, but when the personal values of doctors conflict with the patient’s needs, the latter shall be more burdensome.’ Further: ‘The fast doctor is the first woman to meet with the health care system. She will then receive medical guidance, not be met with the moral opinions of a single doctor." And further, the service they get should not be ‘depends on the private morals of the decision-makers. Opening this up is a principle that can also carry off unluckily.’ Why does the Council of State Bent Höie disagree with the representative Bent Höie in this matter?
ParlaMint-NO_2013-10-23.ana.ud1862e842	The Council of State Bent Höie does not disagree with the representative Bent Höie, but the government has come to the conclusion that it is actually possible to take care of both. There have been two significant changes since that article was written. One is that the Medical Association has opted for a reservation option, not a reservation right. That article was essentially an article dealing with a custom right of the individual permanent resident. What is now in the agreement between the Advance Party, the Christian People's Party and the Right, is a reservation option. Within the scope of action laid down by the National Council Decision of the Medical Association in this area, I believe that it should be possible to take care of both of these considerations, namely that doctors may have a reservation option, but at the same time that there will be no problem in dealing with doctors and patients. I am also, as Minister of Health, concerned that we have doctors who have an ethical reflection and who do not operate on autopilot in relation to the directives they get from the state.
ParlaMint-NO_2013-10-23.ana.ud1862e849	The cord shift is over.
ParlaMint-NO_2013-10-23.ana.ud1862e852	The vision of the Labour Party is a fair world without poverty and in peace, where people are free, equal and can live good lives in everyday life. We want a society based on freedom, solidarity and equal opportunities for all. The Norwegian welfare model is based on high levels of participation in the labour market, good cooperation between the state and social partners and a wide-ranging welfare society, where people contribute to the community by virtue of their ability through the tax code. The Labour Party's policy is to invest in well-being and community and build it on rather than give tax cuts to those who already have the most. The Workers' Party will have good communications and transport opportunities across the country. Roads, railways, ports and airports help to bind the country together and are essential for industrial development, for jobs and for people to live throughout the country. The needs of both districts and cities need to be met. Increased promotion, better safety and environmental considerations form the basis for the Workers' Party's transport policy. The red-green government has carried out the marketing efforts of the times. There has been a shift in the rate of trade during our government. We have had high ambitions in our national transport plans, and we have respected these plans as the first government ever. Including the 2014 draft budget, more than 20 billion will now be allocated. kr more annually on the road and track than when we took over. That means an increase of 90 pst. since 2005. In comparison, the increase during the Right-dominated Bondevik II government was around 10 pst. But not least, our transport effort has been possible because we have kept the economy in order and prioritised transport over tax cuts. But our massive movement in the last few years doesn't mean that everything is perfect. There is still a lot of work to be done, and planning and projects can be improved. The working party will therefore continue to give priority to transport. The election has given the country a new minority government consisting of the Right Party and the Advance Party. But the voters also made this time the Workers' Party a clearly largest party in the country. Many have chosen our values and our solutions, and I am pleased about that. We have to deliver on it. The Blue-Blue Government Statement contains much that all batches can stand behind, including in the field of transport. We are pleased that today's government will follow up many of the efforts that we have already started, such as: reduction of planning processes with objectives of halving the planning time, procurement of infrastructure maintenance kits, pooling of toll companies for more efficient toll collection, increased use of state regulation for projects of national importance and an objective of more coherent and holistic development of transport, including with regard to funding. Nevertheless, there is also reason to be concerned about my position. I'd like to make a crossword mention of something: The government suggests privatisation within the railway sector and the Post, which can affect unprofitable distances for both mail, track and aircraft. It may also put additional pressure on the pay and working conditions of employees, and in particular the risk of loss of valuable skills. They will also build path and path on pay-off through OPS. It could be easy to get into the luxury trap. They have a lack of climate focus in traffic. There may be something that has been negotiated in government negotiations. But the climate challenges are therefore the biggest challenge of our time, where the transport sector accounts for one third of the emissions and has to be the sector where emission reduction has to come. We need to have more collective and more track. We have to get more of the goods across from road to sea and track, we have to achieve these goals. One thing is the government statement. In addition, we have all the hairy election vows that the Right Party and the Advance Party joined in the campaign on the road. They have promised many new concrete road projects in addition to the effort we have in our national transport plan. I'm excited about how they're going to follow this up, and whether they're going to reduce the toll percentage in dozens of projects lying there, and more that can come. I have to say that I am a little stated when the Progress Party is now running and expounding its election promises that the tolls should be removed from the first day, with only 16 pst. digestion. Now they're part of the government, and that means they have to give and take, and that now means they have to be against cutting all the tolls. Or are they a little bit like that for and against everything because it fits? It's okay to make compromises – I've been to that for myself. But when SV, I remember, got 18 billion. kr to kindergarten with 8 pst. digestion, it is then possible that there will be more booms with the Progress Party with 16 pst. connection? It will be exciting to see what the government will bring into its budget in November.
ParlaMint-NO_2013-10-23.ana.ud1862e883	A comprehensive theme of the speeches in this debate is that we are doing well here in Norway and that things work well. The conclusion is probably used a little different depending on the point of view, but regardless of the position or the opposition, we agree that we have developed a well-functioning and good society over a long period of time. One of the most important tasks of a government is to pursue a policy that triggers commitment, creativity and value creation, and that this is done from a generation perspective. After all, it is this value creation that forms the basis for a continuing well-functioning welfare offer for all of us. The challenge is that in the midst of this good and too many secure society, we are increasingly experiencing individuals who do not get the help they need. People who are obviously in the target group of the actions we have set up tell of experiences where the system has taken over and the possibility of individuals being restricted. The red-green government's instrument has been increased regulation management and focus on allocation in dollars and cents. The new government will make a big difference in this area. From the very first moment, government councils have been committed to following the impact of policy. The government, together with us here at Stortinget, will draw attention to whether the measures are taken, whether the individual is given the help they need, whether the rules stand in the way of the individual's opportunity, whether the offers are flexible, so that they can be adapted to the individual. There is a difference between whether you live in Oslo, in Lofoten or in a smaller place in the South when assessing the measures. Also for those who live in the same place, there's a big difference in what they need to work in everyday life. The last few days' attention on the shortcomings in our follow-up to children's protection is such an example, and a serious warning that we are not hitting. An offer to those who need to experience care, security and trust has huge gaps, and the challenges have been notified over a longer period of time. Kindergartens are an important venue for a good start and a good development for very many children. The lack of qualified staff is high, and the private kindergartens have suffered from a lack of predictability for further investment and development. The red-green government has not paid enough attention to this. New stories are still coming up, and the enquiries to us big-time representatives from desperate individuals are many. They do not always feel that Norway is a good country to live in, at least not for them. I am proud of a government and a prime minister who, after a week in position, has repeatedly stressed that we must better catch up with those who fall outside. The new government aims to strengthen the social security network and close gaps in child protection, psychiatry, drug treatment, rehabilitation, family protection or young people and adults with reading and writing difficulties. This is an offensive and demanding task, but it is absolutely crucial that we continue to say that Norway is a good country to live in. In a good society, all opportunities to contribute, evolve and experience mastery in everyday life. So how are we going to do this? By providing users with a more varied offer, flexible arrangements and choice of solutions adapted to the individual, the safety net shall be reinforced. By employing all the good forces, by appreciating all the individuals and organisations that take the initiative and create good arenas, by working on a voluntary basis, the safety net shall be reinforced. Through the combination of all this, the holes in the safety network shall be sealed. It is good to live in Norway, but the government wants a Norway at its best. We are delighted to take that opportunity. When we have a Norway where those who need a little extra follow-up, a pat on their shoulders, a caregiver they trust, or opportunities outside the ordinary — and are confident that this is in place — we have a Norway at our best.
ParlaMint-NO_2013-10-23.ana.ud1862e902	On 9 September, the voters secured a new majority in the Grand Duchy consisting of the four non-socialist parties, who have then negotiated a cooperation agreement which gave the basis for a new government to be concluded by the Right and the Advance Party. I am proud, but also quite humble to be able to debut in the Norwegian National Assembly and talk about a statement made by the Right-Fremskrit party government. For me and for many, this is a historic moment. For many, it will also be seen as a confirmation that the voters were not as satisfied with the results and ambitions of the former government for Norway, of which it tried to give the impression itself. I'm so lucky to have good experience with civil cooperation in Akershu County. After six years in position, the Progress Party, Right, Christian People's Party and Left deliver good results in the most priority areas. It's transport, high school and industrial development. The choices are met, the results are concrete, and the positive changes are noticeable for all the inhabitants of this county. Now we're taking the good experience into government and big business to give Norway a new policy and make everyday life easier for most people. The new government will build its policy on freedom and trust in the individual, family, founder, community and volunteering. It means greater room for private, local and voluntary initiatives, greater freedom of choice and not a one-sided focus on collective responsibility and collective solutions. The working line is important, but a prerequisite is that the working capacity is present and increasing. It is therefore necessary to use positive fiscal instruments to stimulate more people into the labour market and, above all, to give more people the opportunity to complete their education, build the necessary skills and develop their individual skills for the benefit of society. Our most important asset is people, work effort and competence. It is therefore necessary to invest more in skills enhancement, and it is necessary to make it more profitable to work, especially for those with the lowest income. The government will base its policy on publicly funded welfare solutions. Well-being, social security networks and fair distribution are important components for creating a harmonious society. But it is at least equally important to prioritize and reward those who create the values: individuals, businesses and communities that facilitate business development. Therefore, policy must assume that values must be created before they can be shared, and value creation must be stimulated throughout the country. The use of oil money must be reversed towards investment in knowledge and infrastructure as well as growth-enhancing tax incentives to ensure future welfare in Norway. For individuals, communities and businesses, it is essential that Norway has a well-functioning infrastructure network that contributes to efficient transport and good logistics. The situation is not felt this way today, even though the outgoing government claims otherwise. There is a need to build both roads and tracks faster and more holistically. The Government statement contains the right instruments, both organisationally and financially, by reducing the planning time, coordinating the objections and establishing a dedicated development company and infrastructure fund. In addition, the government will invest a greater share of the income of the State pension fund abroad by road, rail and other means of transport. From this point of view, it has to be allowed to have some obvious ambitions. Hopefully, with a new model, we can avoid building up pieces and dividing them, like this. E18 through Westfold, which took several decades, and instead carry out whole projects on the road and track. I hope that the new E18 westwards through Bærum and Asker can be one of the first proofs that the model works, because the East and the capital have an acute need for new infrastructure due to a growing population. We also need to speed up the building. Here it is important to underline what is on the platform, to bet on greater local self-government, to limit County access to over-tests and to simplify planning and building law. Then we can build more – and we can build more adapted young people who are in the start-up phase.
