ParlaMint-NO_2013-04-10.ana.ud394e26	The representative, Dagrun Eriksen, will put forward a proposal for a representative.
ParlaMint-NO_2013-04-10.ana.ud394e414	In VG 4 April 2011, the current representative of the big business Hadia Tajik writes a reader’s letter entitled ‘What’s the best for small Petter Smart?’. She writes about the proposal of the Progress Party on dedicated real-time schools in the context of higher education that ‘segregated elite offers are not particularly effective’, that in many cases they operate ‘against their purpose’, that ‘level differentiation has virtually no effect’, and that this is ‘linked to the risk of misposition and reinforcement of social differences’. The Workers' Party's programme proposal states that it is an objective to ensure that ‘each State has at least one secondary school specialising in high-level real-life subjects’. Does the Prime Minister think that it is best for little Petter Smart to listen to the Workers' Party's Programme Committee or to Hadia Tajik, who calls the Progress Party's proposal – and now the proposal of the Workers' Party's Programme Committee – for 'high-reideological elite experiments'?
ParlaMint-NO_2013-04-10.ana.ud394e423	Hadia Tajik sits in the program committee of the Workers' Party. I am sure that she agrees with the programme committee in the proposal she herself has proposed. I can't really understand that now we're going to create bigger problems or greater disagreement than it is. I believe that public schools, both primary and secondary, can successfully combine two things: having adapted training both for those who are struggling, and for the very best, who are going to have special challenges – they should. But we're afraid of what involves a more permanent leveling, because it can create differences, inequalities in school, which we're not interested in. I believe that we have good experience in our ability to do so. I believe that the programme committee in the Labour Party has made some interesting proposals. The National Assembly of the Workers' Party will deal with it, and then we will see what the Workers' Party finally means.
ParlaMint-NO_2013-04-10.ana.ud394e432	Elisabeth Aspaker – for follow-up questions.
ParlaMint-NO_2013-04-10.ana.ud394e435	A few years ago, the Prime Minister gave a New Year speech saying, ‘Knowledge trumps everything.’ But that’s not the impression left behind in the years to come — that the government has prioritised knowledge first. The voters have obviously noticed that the Prime Minister and the Labour Party say one thing – like against and in connection with elections – but do something else. People's confidence in the Labour Party's school policy is now far, far behind the trust in the Right. Does the Prime Minister agree with the head of the Education Committee, Marianne Aasen of the Workers' Party, who explains the failure to trust the Workers' Party in school matters that it is difficult to profile matters when you do not have the Council of State itself? Does the Prime Minister and the Workers' Party regret that they have been left to the SV to control school policy for eight years while he has been leading this government?
ParlaMint-NO_2013-04-10.ana.ud394e442	I believe that one of the most important goals of success in school policy is the results in school, and so there is considerable progress. There's nothing the government says, it's something documented in the international studies, which is the best goal we have to compare results and developments over time. In 2001, for example, it was 12 pst. by Norwegian students at the fourth stage who were reading, they were below what is called the critical level. Now it's 5 pst. We're not saying 5 pst. It's excellent, but we're saying that 5 pst. is less than half of 12, and a significant improvement. We've made progress in mathematics and science. We've been the country with the greatest success in math, so we've been turning down Norwegian school for many years. This has happened because teachers and students have made a formidable effort, but this has been possible, among other things. Because there have been thousands of new annual works, because there have been billions of extra money for municipalities and counties, who own the schools, because we have strengthened the continuing training of teachers, and because we have increased the number of hours. It gives results, and that's the most important goal.
ParlaMint-NO_2013-04-10.ana.ud394e447	Dagrun Eriksen – for follow-up questions.
ParlaMint-NO_2013-04-10.ana.ud394e451	I think there were several people who were stunned when the Workers' Party announced that they would now go to the elections on the new school policy. When you have been in government for eight years, you have had every reason to show what school policy is. It's several hours, it's on the way to full-time school, even though scientists say that if there's an increase in learning you want, this is the wrong resource usage. Many of the good results referred to by the Prime Minister are also the results of the Bondevik Government, which gave a greater focus on theoretical learning. My question to the Prime Minister is: if you now think that you have to work for the new school policy, what has the existing school policy led for eight years, you don't think you're satisfied with it?
ParlaMint-NO_2013-04-10.ana.ud394e458	It is true that there was a very broad consensus that we needed a knowledge leap in Norwegian school. It started from the basic point of view that we had a rise in teacher pay around 2000–2001 and, secondly, that we set up the Quality Committee with the declared aim of proposing how we could increase the level of knowledge in Norwegian school. It led to the promise of knowledge, which was presented by the government of Bondevik, and which reached almost unanimous agreement here in Stortinget. The implementation of the promise of knowledge has taken place during this government and has now resulted in significantly better results in Norwegian school, in almost all subjects at the steps being measured. Sometimes there's a lot of progress, sometimes less progress, but at least the arrows are going in the right direction. It's the most important thing. But it's not that we can't do things even better. For example, we strongly believe that teacher training can continue to be improved, that continuing training of teachers needs to be even better, and that early efforts are very important in the case of those students who are struggling — for many students are left hanging.
ParlaMint-NO_2013-04-10.ana.ud394e463	Then we go to the next main question.
ParlaMint-NO_2013-04-10.ana.ud394e466	After a harvest of considerable chaos in the government as to what the position of the EEA Agreement should be, it became calmer around Christmastime, but now we are back in business. Both the SV and the Central Party have now had national meetings. At its national meeting, the SV decided to replace today’s EEA Agreement with ‘a less extensive trade and cooperation agreement with the EU’, and the Senter Party followed up on its intention to withdraw Norway from Schengen immediately and in the long term from the EEA through a referendum. Liv Signe Navarsete said to VG yesterday that ‘the decision will definitely be a matter for new government negotiations’. The Government and Stoltenberg have previously underlined that the EEA Agreement and the other agreements of Norway with the EU are a basic plan of government. The question is very simple: will the Prime Minister negotiate the EEA Agreement and the Schengen Agreement with the SV and the Central Party?
ParlaMint-NO_2013-04-10.ana.ud394e471	The answer to that question is no, and it is because the parties themselves have made it clear that there is nothing to negotiate. Of course, they have every right to make the decisions they think are right for Norway, but at the same time we agreed three parties before the 2005 elections that we had to settle some of the heaviest and most difficult disputes between us before the elections. We did so before the 2005 elections, given that we were not to apply for EU membership, that we were still to stand by our NATO membership, and that we were to build on the EEA Agreement and the cooperation we have established with the EU through it, among other things. Schengen Agreements. Therefore, Liv Signe Navarsette and the Center Party have also made it quite clear that this should not stand in the way of any government cooperation with the Workers' Party. Although the Central Party and SV have always been against the EEA and adopt it at each national meeting, I feel that they acknowledge that they are going to be in government with us, it is not a matter of cancelling or undermining the cooperation we have with the EU through the EEA and those agreements – among other things. Schengen – which connects us to the EU, just as we recognise that if we are going to be in government with those parties, it is not relevant to apply for EU membership. The advantage of this government is that we resolved these questions before the 2005, 2009 elections and now before 2013. The problem with those who try to make an alternative to us is that where they have major and fundamental disagreements, for example. in the case of accountability in economic policy, in the case of the core wall of securing interest rates, exchange rates and the competitive sector, the Right Party and the Progress Party are not able to clarify whether the action rule applies or not. We have clarified these major issues of disagreement before the elections – before three elections. You have now spent two periods in opposition and are still not in the vicinity of clarifying the greatest disagreement between the batches you want to cooperate with.
ParlaMint-NO_2013-04-10.ana.ud394e478	Now the Prime Minister is participating in his own favorite exercise: talking about something quite different from what the question concerns. I asked about the EEA Agreement and the Schengen Agreement, and the Prime Minister will be aware that there is at least one issue on which all parties agree on the non-socialist side, that is exactly the two questions. There'll be peace and consensus, as opposed to what the government is now doing. I think it is interesting that when Liv Signe Navarsete yesterday went out to the VG and said, ‘the decision is definitely a matter for new government negotiations’, the Prime Minister stands today and dismisses the head of the Central Party. I think it is reassuring, on behalf of both the Right and the other parties here in the Chamber, who are in favour of the Schengen Agreement and of the EEA Agreement, but it is clear that it must be a bit funny for the leader of the Central Party to be deflected by the Prime Minister when she says that this is going to be part of the government negotiations. The Prime Minister says it won't. That's right very happy.
ParlaMint-NO_2013-04-10.ana.ud394e485	I refer to what the Center Party and Liv Signe Navarsete themselves have stressed, that this should not stand in the way of government cooperation with the Workers' Party. It's the same way that when SV decides they're against NATO, I respect that they mean it, but SV fully understands that you're in government with the Workers' Party, we're in NATO. We understand that if we are in government with no parties, then we do not seek EU membership, just as the Right must understand that if they are to sit in government with no parties, they may have to experience the same thing for themselves. The EEA Agreement, with the agreements it covers, is annexed to a Government of the Workers' Party, SV and the Centre's Party.
ParlaMint-NO_2013-04-10.ana.ud394e490	Three questions have been asked and given rise to follow-up – first Ivar Kristiansen.
ParlaMint-NO_2013-04-10.ana.ud394e493	It's quite interesting to look at the Prime Minister's fabulous abilities as a balance artist – there's 20 in style, there's no doubt. It is therefore necessary to reconcile cross-cutting considerations which cannot be reconciled, to defend their partners in government, while at the same time defending the key international agreements we have with Europe, namely the EEA Agreement and the Schengen Agreement. At the same time, however, it is the very small opening for that, yes, it is to be negotiated. The two main national meetings of the SV and the Central Party and the two main electoral campaigns of these two parties are therefore to be negotiated. Is the Prime Minister willing to cancel the two main issues of the SV and the Senter Party, with which they will conduct their whole and full election campaign?
ParlaMint-NO_2013-04-10.ana.ud394e498	I believe that being a balance artist is an – what to say – an impressive exercise! It's an important exercise, and it's a prerequisite to make sure that a government can work over time. At the same time, it is part of the policy. I think everyone has to realize that the nature of politics, everyday life, is precisely finding good solutions, good compromises and a good balance. In these issues, I think we have found a good balance between three parties, which are very much in agreement: community, justice, strong public sector and fair distribution of income, but which have historically disagreed, among other things. on NATO, the EU and the EEA. That's why we found a balance – we found a solution to this before the 2005 elections – actually long before the elections, because it was a prerequisite for us to start negotiating other things at all that these questions were settled. Both the SV and the Central Party have now confirmed that the agreement remains valid. It does not prevent them from continuing to adopt what they want – just as I expect the Right will decide that they are for the EU without them seeking EU membership for that reason.
ParlaMint-NO_2013-04-10.ana.ud394e505	Siv Jensen – for follow-up questions.
ParlaMint-NO_2013-04-10.ana.ud394e509	First, let me assure the Prime Minister that a new government on the non-social side will conduct a responsible economic policy, so he does not have to lie sleepless for that reason. I do not want to ask him more about the internal co-operation challenges of the red-green government, but actually ask an open question related to existing agreements to which Norway has joined. There are many people and environments in our country and in other countries who express concern and participate in a debate on existing agreements. Therefore, do I want to ask the Prime Minister if he believes that there is a room for action within existing agreements that allows Norway in this situation to make adjustments, changes, in line with national interests?
ParlaMint-NO_2013-04-10.ana.ud394e516	First of all, with responsible economic policy. I hear...
ParlaMint-NO_2013-04-10.ana.ud394e521	That was not a question, President!
ParlaMint-NO_2013-04-10.ana.ud394e526	No, but I can comment on it when the representative took it up anyway. It made me very happy! The problem is that they deeply disagree on what is responsible economic policy. It does not just mean ‘responsible economic policy’. The Progress Party represents a completely different economic policy than the Right, and they are not in a position to agree on what is a common economic policy. It creates an uncertainty that Norway does not deserve. In terms of space for action within international agreements, it varies greatly. In some areas, there is room for action, and then we use that space for action when we think it serves Norwegian national interests. We've done it, for example. in the case of ownership of the power resources, in the case of district and employer charges in the districts. But in other areas, we have much less room for action. It is not possible to answer clearly yes or no to this question, because there are many agreements with larger or smaller spaces of action. We use it where it's based, and where we think it's right.
ParlaMint-NO_2013-04-10.ana.ud394e535	Hans Olav Syversen – to today's last follow-up question.
ParlaMint-NO_2013-04-10.ana.ud394e538	The Prime Minister said that balancing art is an important exercise. Someone might think that cracking staur is also an important exercise. It has been tried, but with slightly different luck. What the Prime Minister really does is veto the negotiating issues that both the Central Party and SV might come up with after a new election. That's interesting, because this has also reduced a national opinion in the two parties to become a sort of consultation opinion from a pupil board or something like that. My question is: does the Prime Minister see anything different in the EEA Agreement today than he did in 2005?
ParlaMint-NO_2013-04-10.ana.ud394e547	No, basically I look at the EEA Agreement in the same way today as in 2005. It is an agreement that is constantly evolving and that has advantages and disadvantages that all major international agreements necessarily have to have. But I think it's an agreement that serves Norway well. The government has recently provided a big message, where we also explain it. We have also commissioned a large study, which has been published, with a comprehensive review of the strengths and weaknesses of the EEA Agreement. To this end, veto: that's not what it's about. What's going on is that we're three parties with great respect for each other, who agree on very much and cooperate well on it. And then we've historically disagreed on some things. Back in 2002–2003, therefore, long before the 2005 elections, we were concerned that the major issues of disagreement, which have prevented cooperation in the past, should be resolved. It was that the Workers' Party was not going for a policy of applying for EU membership, that the SV and the Centre should accept the cooperation we have established through the EEA Agreement, and that SV should accept that NATO membership was at stake. It's an expression of mutual respect for solving a problem that we've solved in a good way for eight years.
ParlaMint-NO_2013-04-10.ana.ud394e556	So this is the time for the oral questioning process, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2013-04-10.ana.ud394e568	There are currently no changes to the questionnaire.
ParlaMint-NO_2013-04-10.ana.ud394e575	My question to the Minister for Local and Regional Affairs is: ‘Inhabitants in the municipality of Rygge have collected enough signatures to request a referendum on the introduction of tolls. 701 inhabitants have signed the contract, and it meets the requirement of the municipal law § 39a in order to be able to claim treatment. The proposal was rejected by the Municipal Council on 21 March. The question is not about tolls, but is a fundamental question about referendums. Does the Council of State consider it satisfactory that a majority of the local government only rejects the proposal, whatever the citizens may think?’
ParlaMint-NO_2013-04-10.ana.ud394e589	According to Kommunelova § 39a, the inhabitants can make suggestions that relate to the activities of the municipality. The local authority must decide on the submission if at least 2 pst. by the inhabitants or 300 of them have signed. The right of initiative is an important democratic right. The system allows the inhabitants to get things they are interested in, handled by the local government. The right of initiative can therefore serve as a channel for citizens to influence between options. I encourage all municipal politicians to manage initiatives from the citizens well and thoroughly. Although citizens have the right to have their initiative managed by the local authority, it cannot be that those who are behind the initiative have a right to a specific outcome. In a representative democracy on which our system is based, it must be the municipal government that takes a final stand on the issue. And as I understand this case, a community initiative has been launched asking for a referendum. The local government has agreed that they do not want a referendum. Of course, the local government is free to do so. As a local and regional minister, I don't want to have any idea whether the local government should have taken another decision. This is simply also part of local democracy, that local politicians should be able to make decisions without central authorities coming to the test.
ParlaMint-NO_2013-04-10.ana.ud394e600	I thank the Council of State for the answer. I am very pleased that the Council of State is concerned that the right of initiative is important, and the possibility for citizens to actually enter into dialogue with the local government and could influence and raise issues. But does not the Council of State agree that often when such an initiative comes, it is because one disagrees with the majority of a local government? And don't the Council of States agree that it looks reasonable and very good that you have this opportunity, but in reality it will always be rejected because the ones you're trying to convince have made up a meaning in advance? Does not the Council of State also see that the right of initiative and the possibility to engage in dialogue with the local government will really be taken into account to a small extent?
ParlaMint-NO_2013-04-10.ana.ud394e607	I'm not in agreement with that theme entry. In this case, the local government did not agree, but a matter was submitted. One of them also had a discussion, and one of them likes to have more sides. It is the City Council, as the top body of a municipality, that is responsible for weighing the various concerns towards each other, for and against. It applies to matters such as this one with demands for public access, and it also applies to other issues that can be addressed. There could be cases of property taxes, it could be about the sale of power shafts, and it could be about the construction of cultural houses. It could actually be any kind of thing you can take up. I mean, the system works. In this case, too, the citizens have had to put matters on the agenda. And the fact that I'm here to answer questions in Stortinget is probably also a example that this system actually works. It's just that the inhabitants are activated, and they're involved in decision-making. They've probably not been able to understand this, but maybe they'll get the next time.
ParlaMint-NO_2013-04-10.ana.ud394e614	Yes, I really hope that some local government, even if you disagree, will soon let people decide. This is the closest thing you really get to democracy, that people get to decide through a referendum. So I think it's good that the Council of State sees that there are issues related to this question. But I would like to know if the Council of State would like to see if there are any possibilities to strengthen this even better. Maybe you have to have more people behind to be able to push a little bit more towards the local government. We see in other countries where there are a lot of referendums, for example. in Switzerland, that the possibility is something chosen and those who vote, at least appreciate it very much. We have been there, among others. with the Transport Committee and people who think it is a very good idea to get more of the kind of direct democracy, where voters are actually allowed to decide directly through referendums in important individual cases. But of course, I see the dilemma that there can be a lot of people gradually. There are some challenges to that too.
ParlaMint-NO_2013-04-10.ana.ud394e619	I have a great deal of sympathy for those who see more referendums and more direct democracy, but there is then a more overarching debate that will have to take place in this Chamber. For in Norway we have representative democracy, and in the municipality it is the municipal government that is the top body. I do not see that neither I nor any other minister, but that the Stortinget has put other leadership in how we build the democratic system, should undermine the representative democracy we have. But what's possible through § 39a, I'll look at as an extension and a supplement to the inhabitants' ability to put matters that they're busy with, on the agenda. I'm absolutely sure that this case too has had a wide coverage in the media. You get a debate, you get a change of words, which in itself is valuable, and you finally get a decision on the local government that one then has to follow.
ParlaMint-NO_2013-04-10.ana.ud394e628	I allow myself to ask the Minister of Health the following questions. The question concerns the understanding of the Ministry of Health and Welfare's so-called early-stage counsellor for large hospital projects: ‘I refer to written question No. 967 on the planning of a new hospital in the North Moravia and Romesdal. The question about empty choices may occur after the idea phase, was not answered. In the interests of the population and the hospital staff, it is important to clarify the hospital structure in the North-Møre and Romesdal. I therefore allow myself to ask the question again. Can the Council of State confirm that the site selection can take place after the completion of the municipal planning and idea phase?’
ParlaMint-NO_2013-04-10.ana.ud394e637	I came to understand that the representative Dahl thought the question had not been answered satisfactorily – in a very clear order at NRK Møre and Romsdal. That is why I am happy to be able to answer him again and hope we come a little further today. At the business meeting in June 2011, Health More and Romesdal were assigned to develop a comprehensive plan for the development of hospitals in the region and a development plan for the building mass. That was step one. This mission has so far been solved by Health More and Romesdal through a comprehensive evidence base and good processes that have ensured the good involvement of all stakeholders, not least the citizens of the county. This work is to be praised by Health Mora and Romesdal. It is important that the further process and decisions to be taken follow this path through good processes. The decision on land selection may be made when Health More and Romesdal consider that the basis for decision is good enough. If the health care provider considers that the basis for decision on land selection is sufficient after the municipal plan work and the idea phase have been completed, then the land selection may take place. I have noticed that the Board of Health Moors and Romsdal want clarification of geographical location as quickly as possible, and it seems that it can take place during 2014. I understand that it is then a decision that can be made in the so-called idea phase or the end of it. Construction measures must be planned in other regions within the overall professional and economic framework of the region, and the Government will propose to the Stortinget that, when a good and sustainable project is in place, the State should normally make up its share by means of a loan. As Minister of Health, I have a responsibility to follow this closely. I interpret that responsibility so that if the processes are sound, the decisions well anchored and well implemented, they stand very strongly on the fact that they are anchored in the health region and locally in what is Health Møre and Romesdal. What I noticed when a decision was made on a hospital was such a solid process that I had nothing to postpone and believe is strong. I have good faith that in the future you will also be able to make a decision on location in the same inclusive and thorough way, and I hope that I can also conclude that it has happened in a way that is local.
ParlaMint-NO_2013-04-10.ana.ud394e650	Thank you, I am pleased that we then seem to be able to get a clarification on how we should understand this guide. The supervisor was revised in December 2011, and it has been obvious – at least for the undersigned – that both Health Moor and Romesdal and Health Mid-Norway have been uncertain whether such a decision could take place after the idea phase, or whether one had to wait until the end of the concept phase. With regard to the recognition that we have a common hospital for the North Sea and Romesdal, I would just like to remind the Council of State that this happened on the basis of his predecessors stopping the planning of a new hospital in Molde in 2010 – after actually completed the concept phase. So it's important that we now get a clarification on the hospital structure in the interests of the entire hospital environment in Kristiansund and in Molde, and I'm glad that it seems that we can get a clarification on it during 2014.
ParlaMint-NO_2013-04-10.ana.ud394e657	I think I can join what Dahl here says, that I'm happy that this process is going on. I don't have the impression that Health Mid-Norway and Health Moor and Romesdal are now uncertain as to how that guide is to be understood. It is the Health Directorate that manages the supervisor, but we will of course be available to answer questions that need to be around interpretations of it. What I now see is that the year 2014 seems to be what is being highlighted for the decision on the land selection. It is eight months until 2014, but the year lasts for twelve months, so we have some months lying there, and I can assure the representative Dahl that I am following this closely. I am sure that the process we now have is going to ensure the population of this region a very good health offer, and before this decade is over, we might get a process of building a hospital that will be a modern, European hospital, of which the part of the country and the country can be proud.
ParlaMint-NO_2013-04-10.ana.ud394e664	Thank you, I'm glad the Council of State believes we're going to have a good process now. I also want in my way to help us get such a tidy process. I also notice that the Council of State is clear that this clarification may already have occurred both in the case of Health Moor and Romesdal and Health Mid-Norway. If this has not happened, which was at least an impression of a few months ago, at least all possible uncertainty should now be cleared of the road. I appreciate that, and we're going to contribute together to finding a solution to this issue that has been an accident for the North Moravia and Romesdal. It's been a long and very heavy process. Now, if we can control it on a proper track, I think everyone's earned it.
ParlaMint-NO_2013-04-10.ana.ud394e669	A few days ago – visiting Ålesund Hospital – I met with trustees from Health Møre and Romesdal and from the hospital in Molde. My impression from there – and from meeting with Health Mid-Norway – is that there is a good view of the process. It is important, when deciding such issues, which I have great respect for the involvement of communities, that the process is understood. And I can assure the representative Dahl that if there's anything we can do to clarify in terms of the process supervisor and the rules of the game, we're going to contribute to it. But my impression is that it is well understood, and the matter is this way seen in a good track.
ParlaMint-NO_2013-04-10.ana.ud394e678	‘In its presentation in Stortinget on 26 February 2008, Minister for Health and Health Sylvia Brustad took seriously the Health and Safety Authority’s report on the situation at the emergency reception centres. In his reply in Stortinget on 3 April 2013, the Minister of Health and Health said that the report was followed up in a good and fast way. What has changed in emergency response since the 2008 report?’
ParlaMint-NO_2013-04-10.ana.ud394e685	It's probably in the category a little retro that I'm standing here now, because I understand that my prime minister has responded to this completely in the last hour. But I'm happy to respond. In the last week, the media and the opposition — including the head of the Health Committee — have taken a picture of the situation at the emergency reception stations that are gloomy and depressing. I have found it right to say that it is a picture I cannot stand for, and that I believe leads to an unjustified black paint. Yesterday I went to Haukeland Hospital and discussed with the management there the work at the emergency department. There is a dedicated work going on to improve and further develop the emergency reception at the large hospital. Last week I was at UNN in Tromsø, visiting the emergency room, looking at how they worked there and could see the same thing. As a result, we can conclude that, following the nationwide supervision of the Health Authority in 2007, many measures have been implemented — and implemented — to strengthen the competence and preparedness of emergency services. Hospitals also plan for further action. Actions undertaken and planned include, inter alia,: enhanced medical competence, new emergency assessment systems and regular training and enhancement of competence. This is, to the most extent, a management responsibility in hospitals. Let me put it this way: when we clarified it in the 2009 hospital mission document, to the regional health companies, it is that we expect to follow up month by month, year by year in such an important and complex area. That's what I think I'll find when I've visited a lot of emergency services. There are still challenges to this very important and difficult part of hospital operations. We are not in the target in this area, but there is a lot of good work going on. So there's been a lot of focus on the fact that there's a tourniquet doctor who first meets the patient in the emergency room. I would like to stress that the Tournament doctors have been critical that we have been able to maintain more than 50 hospitals with emergency functions. I would like to make it clear that Turners should continue to play an important role in the emergency reception, which is an important learning venue. I do not want to reject on a general basis that a tour operator may be the first to consider a patient admitted to the emergency room. But the prerequisite for this is, of course, that the tour operator is working with more experienced doctors who can provide help and guidance, and that the threshold for calling for help is low. Keeping that threshold low is a management responsibility. Hospital feedback indicates that there are largely established systems around the Tournament. I take an example that we could read online here a few days ago from the hospitals in the Nord-Trøndelag: If the ambulance service reports a possible serious condition, the emergency department is called in reverse before the patient has arrived at the hospital. This means that most serious conditions are assessed and treated by an experienced physician in the emergency department. Upon receipt of patients following accidents where there is reason to believe that there may be significant damage, a team of ten people, including four doctors, will be ready when the patient comes in. So the situation is more complex and nuanced. The hospitals themselves state that all regional hospitals, Stavanger University Hospital, Aarhus and all central hospitals, have a more experienced doctor present at the hospital 24 hours a day. It is for these large and medium-sized hospitals that 90 pst. by the emergency patients.
ParlaMint-NO_2013-04-10.ana.ud394e704	I think it is a little special to present it as if it is the opposition who has drawn this picture of the situation at Norwegian emergency reception, as long as the opposition's description is based both on the experience of those working in the healthcare sector and on the health care services' opinions and on the opinion of the patients' representatives. Superiors Bjørnsen and Uleberg of the Emergency Medical Department at the St. Olavs Hospital recently stated in the Norwegian Medical Association Journal: ‘The structure and distribution of responsibilities in Norwegian emergency reception facilities is currently the same as in 2007.’ The assistant director of the Health Authority, Braut, said to TV 2 that experience based on the individual issues they had received was that the situation at the emergency department was the same now as it was when the report came in. What makes the Minister of Health rely more on the Director in the feedback from the companies than on the part of the supervisors and those who work in the service?
ParlaMint-NO_2013-04-10.ana.ud394e716	Now we have another suggestion from the representative, Höie. The situation is complex – there are challenges in Norwegian emergency services, and we are working on it. What the representative said here in the Chamber a few days ago, that we have left the emergency receptions to the tour operators, is wrong, and that no development work has taken place since 2007, is wrong. The Health Inspectorate’s representative, who gave his opinion on a case-by-case basis, was cut into a context that could be understood as maintaining the same assessment in 2013 as in 2007. That's wrong. To clarify this, because it's an important topic, in a few days' time, I'm going to have a meeting with the health regions, the Health Directorate and the Health Authority to review that situation. I want it to be information that we can systematically evaluate. I note the concerns that come from some team, and I find by my own visits that important development work is being carried out at the hospitals. This also applies to the work on future specialist structures for doctors, including: It is also about strengthening the competence of acute and reception medicine, but it has not been concluded.
ParlaMint-NO_2013-04-10.ana.ud394e723	When it comes to seeing that one has a slightly different approach than one had last week, I think maybe it's the Minister of Health himself who wins that competition, because the rejection of the description that came at the time was quite cash. When former Health Minister Brustad explained this in Stortinget, as I referred to it, she said that this will be sorted out as quickly as possible. It was in 2008. The Minister of Health now describes a process that is very close to completion and that works in many areas as it has recently started. Is this government's ambition in terms of speed as possible, that it will be five years before one clears up the situation?
ParlaMint-NO_2013-04-10.ana.ud394e730	My words no longer reach, for the representative will not listen to what I say. I say that there has been a lot of work since 2007, and there is still work to raise the quality, organisation and management of Norwegian emergency services. That's what I said last week. I found reason to clarify that the picture that TV 2 drew did not match the picture I saw out there, but I recognized that it was something that we took seriously, and something that we are working on – everything from looking at the specialist structure of doctors to how hospitals organize themselves. However, there are different arrangements at Aarhus, which has between 130 and 150 emergency patients per day, and at the hospital in Tynset, which can have 5–6. That is why we must listen to these regional adaptations and they are going on. I have great respect for the fact that hospital management takes this seriously. Now I have a few days to see the management of the Norwegian Health Regions, the Directorate and the Health Authority in my eyes and to review that situation. Then there's a continuation of the work that's been going on in recent years, and we're a completely different place today than we were in 2007.
ParlaMint-NO_2013-04-10.ana.ud394e741	My question to the Minister of Labour – and I have to make it clear that it is written before Easter – is the following: ‘For a longer time, there has been negative feedback from the Nav users on the content and form of messages sent to each user. Both Nav's leadership and political leadership have been in dialogue about this warning that you should do something about it. However, new feedback is received, at the latest last week from the recipient of social security benefits in Arendal, who has received a request for new information without additional justification and without the contact person specified for the enquiry. When can the Council of State promise that new information and good dialogue with users are in place?’
ParlaMint-NO_2013-04-10.ana.ud394e750	The question concerns a user who believes that the information he has received from the Employment and Welfare Act is too poor. I have asked the Directorate of Labour and Welfare, through the 2013 letter of assignment, that letters are clearly and intelligibly prepared for the users. The Working and Welfare Act has worked through its clear language project on the content and form of some of the letters that have not worked well enough for users. This applies primarily to letters in the areas of parental leave, redundancy pay and recovery. This is only a small part of all the letters sent out by the Employment and Welfare Act – these letters I now referred to. However, as a result of the work on these three letter groups, the clear language project also provides a new standard of letter – as we write a letter in Nav – which will apply to all future letter design in the Working and Welfare Act. At the same time, the Clairvoyance Project has improved the letter to be used by the Working and Welfare Team to obtain more information from users. The emphasis here is on making the letters clear and relevant, and on showing users how to submit information to the Working and Welfare Session. In the case to which the representative refers, it is also clear that the user has not been given a contact person for the enquiry from the Working and Welfare Session. All letters from the Working and Welfare Session shall be signed by the case handler, with the exception of mass dispatches and letters coming from automated processing. The letter concerning the collection of information shall be signed by the case handler who sends it to the user. The subject text of the letter also indicates the correct telephone number to be used by the user if necessary. This is already the case today. These letters are completed on the part of the plain language project and are now expected to be implemented in the ICT systems, so that they can now be used by case handlers. The employment and welfare seat has approx. 2000 different letter types in their system solutions. Improvements in letter types need to be prioritised in the context of other changes in ICT systems. It is because letter changes are closely related to the system solution. I would therefore like to clarify that the work of securing a clear and understandable language in which users receive good and sufficient information is a very high priority in the establishment. While improving the language of the department's letter, it will still take some time to change all the letters. I will continue to give high priority to language work, so that the letters from the Working and Welfare Department become more user-friendly and understandable and can implement the necessary improvements as soon as possible, including: in ICT systems.
ParlaMint-NO_2013-04-10.ana.ud394e769	Thanks for the answer. It indicates that something is happening. I'm recording that the Council of State says "now". Whether it's immediate or not, she might be able to clarify in the answer. But that's how when I read this letter that this user had received, I got hurt in my stomach, and I realize that the user responded. At the beginning of the letter it says: We will re-evaluate your right to continued basic and auxiliary assistance. So there's a bunch of questions. A little further down it says: your basic benefit should also be re-assessed. Then there's some supplementary questions. Then there's an information in the end: if you think you're entitled to a higher social security rate, you have to make a claim to this effect. It can't be good dialogue. If this is the result of a longer-term job, I am surprised. What's the Council's comment on that?
ParlaMint-NO_2013-04-10.ana.ud394e778	It's been working on it, but everything hasn't been done, so we can't see all the improvements right now. A new standard of correspondence – as we write letters in Nav – has just been consulted, and is now to be decided in the Directorate of Labour and Welfare. So this is going to work systematically. Not everything is done, because it is very closely related to the new ICT solutions within Nav. There are very important questions that the representative addresses here. When you're using the Nav system and you get letters that you don't understand, you often get annoyed, and you may not be able to deliver what Nav asks for. I have myself looked at some letters that have been the starting point for all this work, namely about the parental killers, which have been very incomprehensible, and it has been difficult to understand what has really been the case. I just want to say that this is very high priority of Nav, and that is very important in the dialogue with the users.
ParlaMint-NO_2013-04-10.ana.ud394e789	It's good that something is going to happen now, and I also hope that the users can perhaps be included in the dialogue, because it might be said that this letter is kind of clear, but that's not very kind and positive. Speaking of the state council saying that there are now clear rules for this with case handler: this letter has no case handler, no contact information other than the address of the local office and telephone number of the hub of Nav nationally in Norway, where he contacted him and did not receive any help to get in touch with the case handler. It is obvious that this must be taken into account, and I am pleased that the Council of State promises it. So it kind of surprises me that it's going to be so extensive, just when everything's on data, changing some formulations and some kind introductions in such a letter. But I hope it comes.
