ParlaMint-NO_2013-04-03.ana.ud482e22	The representative, Mr Bård Hoksrud, will put forward a proposal for a representative.
ParlaMint-NO_2013-04-03.ana.ud482e413	We have one major challenge to address, in the form of an increasing number of younger users in the care service – people under the age of 67. They also have the right to be seen and to be met. It's kind of good that they're seen and met, but it can be a challenge given the overall need. I believe that we are well on track to meet the plans we have in the 2015 care plan for the renewal, refurbishment, rehabilitation and new nursing homes, in terms of the training of personnel in this sector – 70–80 pst. now has higher education — and, in the case of raising of dementia care, where 80 pst. has completed training for demens Spaces. We're going to have a marking of it later today. I think we're basically good on track. But this is a sector with major challenges. In particular in eight to ten years they will report demographically. That's why I'm concerned that we have to start making decisions now for what comes after 2020. I believe that the big message I have mentioned could contribute to this.
ParlaMint-NO_2013-04-03.ana.ud482e422	Line Henriette Hemdal – for follow-up questions.
ParlaMint-NO_2013-04-03.ana.ud482e425	In response to the representative, Höie, the Council of State said that we have one major challenge; and that is that those under 67 years of age who need help are seen and met. If we look at the Fafos report on the number of annual shifts in municipal care over the last 20 years, it is precisely this group that has led to an increase in annual work, because we have seen that institutional services for the elderly are being reduced and that fewer older people over 80 years now receive home services than before. So it's those under 67 years of age who've been seen. I'm glad they're being seen, but I think we'll also see those who are over 67 years old, because that's what the Council of State has said in the past: we're different, and we have different needs. What will the Council of State do to ensure that we have an elderly care for those over 67 years of age, who are qualitatively good, and for those under 67 years of age, in view of the statistics submitted by Fafo to the KS?
ParlaMint-NO_2013-04-03.ana.ud482e432	Just to clear the concepts, we're not going to care for the elderly under the age of 67, but we're going to take care of them. This is a group that has had clear needs for care in many areas and has now been met. I have pointed out that it is a challenge for the group over the age of 67, who also receives some of the same kind of care. When you travel around a nursing home in Norway, you meet it. Parental care is a high priority in Norwegian municipalities – that is my experience. They also know what demographic developments we face ten years in time. It requires good planning, and it requires finding the right combination of home services, technological organisation, so that you can live in your own home, transition to nursing homes that also make it easier to manage yourself, and – for those who need it, we will see it with an increasing population of dementia – good health places. All of this is going to work together. It will require a strong public community economy and a strong ambition to improve quality and competence.
ParlaMint-NO_2013-04-03.ana.ud482e439	Then we go to the next main question.
ParlaMint-NO_2013-04-03.ana.ud482e442	From value-sharing to value-sharing: we can still rejoice that very much is going well in Norwegian business, especially in the oil-related part of industry, which has huge tasks and is driven by a high oil price. At the same time, there are reports of firms struggling, bankruptcies and the deflagration of jobs exposed to competition other than oil and gas — the last South Cell on Tofte, which joins the range of woodworking enterprises to be closed down. The Minister of Industry has warned that we are going to lose thousands of jobs, the Prime Minister has rightly pointed to the crisis in Europe, but the euro crisis can, with respect to reporting, do very little with the Minister of Finance – even a Norwegian Minister of Finance. What should be addressed by the Minister of Finance is questions that he can address, namely, costs and demands that the government has imposed on Norwegian jobs, which are in a tough competition with the rest of the world. The compensation of employees is now 69 pst. higher than our competitors, transport costs are higher, innovation rates are lower, and strange taxes and demands are on top. The right has repeatedly challenged the government and proposed the development of a long-term strategy to strengthen the knowledge and competitiveness of businesses. These proposals have been consistently phased out by the government with long moulding lists. Does the Minister of Finance now see the need to reduce the burden on competitive jobs and strengthen the competitiveness of businesses?
ParlaMint-NO_2013-04-03.ana.ud482e450	Yes, the Minister of Finance does, and the government does. The most important contribution we can make on a more general basis is to pursue sound, long-term and predictable economic policies. That's point one, and we're going to keep going. I am not going to discuss the old discussion of what is going to happen if there is a change of government with the Progress Party in government – we have to leave that behind now – but the predictability of economic policy is important. In addition, this government will continue to invest in education, continue to invest in research. We have over-completed the current transport plan, and the government will shortly submit a roll-out of the transport plan. We come back to the content and concrete measures in that context, but I do not reveal any great secret when I say that it will still be a large and heavy stakes area for this government. In areas by region, we will contribute to building greater competitiveness into the Norwegian economy. We had a debate in Stortinget yesterday about the possibility of setting down a productivity commission, which was rejected, but we want to continue working on issues related to wage formation. Among other things, we need to do this. take into account the position of the Holden III Committee, which has been given the task of looking at wage formation linked to productivity development and the role of the front line industry in order to be able to settle wages more effectively in the future, taking into account the strength of the mainland industry and the non-competitive industry. There is a wide range of measures on the table to which the government will return in turn and order, on the first occasion in the national and state budget for 2014.
ParlaMint-NO_2013-04-03.ana.ud482e459	Just let me say that keeping order in the Norwegian economy – which characterises the Right – is not just about how much money you spend, but also about how you spend the money. The government has agreed that oil money should be used to invest in infrastructure, knowledge and growth-promoting tax reductions. The Minister of Finance confirms in many ways what was my conclusion, namely that when the government is challenged on these issues, long lists of boasts are answered. The Minister of Finance's answer is that one should only continue on the same track, but he answered yes to the question of whether he will bring relief to these companies. Let me ask you a few specific questions: is that the depreciation rate? Is there a property tax that affects the industry? Is this about the property tax? Is it about exploiting the opt-outs of the Temporary Agency Directive, as our neighbouring country has done, or is it about Norwegian length and weight restrictions that paralyze the transport of timber? [[The President clubs.]] This is about hundreds of millions for these businesses.
ParlaMint-NO_2013-04-03.ana.ud482e466	The President asks the representative, Mr Sanner, to stay within the allotted speaking time.
ParlaMint-NO_2013-04-03.ana.ud482e469	I agree that it is not only important that you keep track of the money used, but also important what you spend the money on. On the occasion of the day I have returned to Innst. S No 229 for 2000-2001. It is the attitude that deals with the rule of action and that addresses new guidelines for monetary policy that came in 2001. Just to establish it: in the majority comment on page 6 of that statement, everyone, except the Advance Party and SV, stresses that ‘the growth capacity of the mainland economy determines welfare development’ – I fully agree. That's it. That's it. ‘Despite developments in petroleum prices and production, the value added in mainland Norway will be much higher than the revenues from the petroleum sector. This means that decisive emphasis must be placed on measures to promote value creation and productivity in both the public and private sectors.» I fully agree with that, and that's what this government is actually doing. [[President clubs]]
ParlaMint-NO_2013-04-03.ana.ud482e479	It's about time. Gunnar Gundersen – for follow-up questions.
ParlaMint-NO_2013-04-03.ana.ud482e484	We can take a very concrete example that the Council of State knows well: Moelven Industrier, who is right in the neighborhood from where he comes from. The special thing about Moelven Industrier is that they process the same raw materials on both sides of the border. The director of Moelven Industrier was out a short time ago and said that they had doubled their activity in Sweden, but in Norway the business was in stable side rental, at best. They maintained their business, but they did not expand. This is because of many of the very special Norwegian cost challenges you have, not only in terms of a generally high cost level, but also quite peculiar cost disadvantages as we see. Now I hear that the Council of State acknowledges that this is a challenge, but does he really believe that these are the challenges that have been given sufficient focus and where have been properly prioritised in the annual budgets? [[The President clubs.]]
ParlaMint-NO_2013-04-03.ana.ud482e489	I've spent an unusual amount of time in the last four years taking these questions up and working with them, because I'm busy with the competitiveness of the Norwegian mainland industry. And the most important thing, to repeat that, is the general economic policy, and in addition what you do to improve the education system, to expand infrastructure – a bet that is far beyond what the previous government, the Bondevik government, had on the wallpaper. One has to keep working on that kind of question. So I am concerned that, through cooperation with the social partners, we need to get a stronger anchor around the front line, in other words that those in the competitive part of the industry get a stronger position in the payroll business. That's exactly why we've reduced the sample to go through the role of the front line. So it has to be worked in several sectors to address this challenge. That's what this government is doing -- there's no doubt about it.
ParlaMint-NO_2013-04-03.ana.ud482e496	Ketil Solvik-Olsen – for follow-up questions.
ParlaMint-NO_2013-04-03.ana.ud482e499	The Progress Party will keep order in the Norwegian economy. I don't think someone keeps order when someone lends their own oil money to other countries to 1 pst. interest, and borrow other people's money to build Norwegian roads to 3.5 pst. interest, as this government does. It is not a responsible economic policy, although it is in line with the rules of action. The Progress Party has said that we want a rule of action that limits the growth of public consumption, but we disagree with today's government and the Right, which will have a rule of action that limits the possibilities of accelerating socially profitable projects, which we could fund with our own oil money. This government has said that there are no indications of how oil money is used in the state budget. This has been answered in white by the Minister of Finance – during a period we have had persistently increased expenditure on consumption, but underinvestments, according to the Governor of the Central Bank. National transport plan boasts the Minister of Finance of being overfilled. At the same time, we know that only 80 pst. of the projects to be financed by it are under way. So we've spent all the money, but we haven't started all the projects. Is there a good way to deal with taxpayers' money and to be responsible?
ParlaMint-NO_2013-04-03.ana.ud482e510	It is enough that the framework governs most areas of the economy. This means that within that framework, priority needs to be given to projects in both transport and other areas. What is the challenge of the economic policy of the Progress Party is that they do not really want an action rule. What characterises all the proposals made by the Progress Party in this Chamber has only one purpose: to increase the use of money, and to do so in ways that circumvent the rule of action and thus contribute to greater uncertainty about the development of the Norwegian economy, greater uncertainty about the predictability of economic policies and thus greater uncertainty for the jobs of the competitive sector. It's going to be interesting to see what comes out of a joint government with the Right and the Advance Party, but we're going to do everything we can to prevent that from happening after the 9th of September election.
ParlaMint-NO_2013-04-03.ana.ud482e519	Now you were talking nonsense about the Progress Party.
ParlaMint-NO_2013-04-03.ana.ud482e525	Hans Olav Syversen – for follow-up questions.
ParlaMint-NO_2013-04-03.ana.ud482e528	In the long term, the situation in Europe will probably lead to even more expensive production in this country, and it will be all the more important to have good productivity in our own country. I want to come back to the rule of action and its origin, at the setting, from which the Council of State has several quotes. Would it not be all the more important in the future to go back to what was the origin of the use of oil money, just to strengthen infrastructure, higher education, research and to provide tax relief that can strengthen Norwegian business and thus jobs? Won't that, after all, now I don't ask the question of being rhetorical once, be something the government should actually be concerned about in the years to come? – If it gets to sit for a few years, then – it probably doesn't, but...
ParlaMint-NO_2013-04-03.ana.ud482e535	Now I did not get the last representative from Syversen, but I will reply anyway. That's exactly what the government is doing. But that there is disagreement in the Storting between the opposition and the position on the arrangement of some budget lines is nothing new. It is not that the fasitite is in this setting, which I have in front of me here. It was also an important premise when one wrote the recommendation that any generation should have the opportunity to make their decisions in Stortinget about what they want to spend the money on. But it gives a more general direction for what's important. It's pointed at. ‘... measures that can increase productivity, and hence growth capacity, in the rest of the economy.’» That's also the government's concern. That's what the government is working on every day. And we see, for example, now that productivity trends over 2012 have re-examined, and that is good. But we're going to work on these questions because it's becoming increasingly tougher for Norwegian business to compete in an increasingly tighter international market.
ParlaMint-NO_2013-04-03.ana.ud482e547	Borghild Tenden – for follow-up questions.
ParlaMint-NO_2013-04-03.ana.ud482e550	What is important for competitiveness, as asked by the representative Sanner, is the availability of skilled labour. A lot has been addressed in the perspective notice, which is currently being treated. Norwegian Industry has stated that labour immigration to Norway was one of several contributors to the financial crisis not hitting Norway harder than it did. A month ago, the Left promoted a representative proposal here in Stortinget to streamline labour immigration to Norway through simple rules, better practices and faster procedures. So my question to the Minister of Finance is, is this what he will recommend to the Workers' Party people in this Chamber to vote in favour?
ParlaMint-NO_2013-04-03.ana.ud482e557	Now it is not my particular field of labour market issues – it belongs to another state council, but let me say the following: the labour migration we have seen from 2005 onwards has made an important contribution to the growth we have had in the Norwegian economy. So there is no doubt that the labour immigration, the opportunity we had through the enlargement of the EU and a larger EEA area in terms of labour has contributed to growth and prosperity in Norway. That's good. Then I fully agree that having well-qualified labour is a way of meeting the cost challenges, a way of working with productivity – what we are unable to take on costs, we must be able to address the quality, competence and knowledge of the labour force. So one of the most important things, which not only the government can work on -- now there are several issues about this in the spring or in the course of the year -- is actually developing and processing the workforce. Maybe that's the foremost task we have as politicians in the future.
ParlaMint-NO_2013-04-03.ana.ud482e564	The oral question procedure is now over.
ParlaMint-NO_2013-04-03.ana.ud482e577	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
