ParlaMint-NO_2013-02-06.ana.ud977e26	The representative of Trine Skei Grande will put forward a proposal for a representative.
ParlaMint-NO_2013-02-06.ana.ud977e400	Let me first thank the Prime Minister for his crystal clear answers on how much knowledge we now have. What came out in the answer was that we have enough knowledge to rule out. But the Prime Minister did not have enough knowledge of the knowledge collected to answer the question I asked him: about the knowledge acquired, weakening or strengthening the arguments for activity in the Lofoten and the West Pole. That is why I want to give the Prime Minister a new opportunity to answer this question. Maybe he now remembers more of the knowledge that has been acquired, the knowledge that he uses to base his position on a clear yes to impact assessment, as he promoted on the Dayrevy on 1 February.
ParlaMint-NO_2013-02-06.ana.ud977e405	First, I would just like to stress the following: I mean, as I have said several times before, there are two very different questions. That we have enough knowledge to say yes to activity in the area, I mean we don't have either real or formal, really because more knowledge is to be gained as part of a impact assessment, if you want to, and formally because there is also a requirement for impact assessment. Then we have the question whether the old investigations give good enough answers. Well, I'll be a little careful at least to say what the formal answer is, but actually I think there's a need for a new round before you take a final position – at least to those areas where there are very old impact assessments. I believe that what we have now acquired from knowledge, which has been something other than an impact study, has had an extent that makes me at least want to put it this way: it is difficult to imagine that it is possible to order more reports before we have to say that we have enough reports to decide whether to ask for even more knowledge, through an impact study. I stand by what I have said, namely that I believe that we are now starting to get enough knowledge to decide on the issue of impact assessment, but we do not have enough knowledge to decide on whether it should be activity. We're going to do that after an impact assessment.
ParlaMint-NO_2013-02-06.ana.ud977e414	Kjell Ingolf Roppstad – for follow-up questions.
ParlaMint-NO_2013-02-06.ana.ud977e418	At least it was a popular question hour, with simple terms. I am pleased that the Prime Minister is willing to look at particularly the most vulnerable areas, Northland VI, with lower shoulders and at a slower pace than the Minister of Oil and Energy. I have the letter from the oil and energy minister where he answers on behalf of the government and says that it is legally possible to open Nordland VI from the autumn – without an impact assessment. To draw history: In 1994, Northern Ireland IV, V, VI and VII were successfully investigated outside the Lofoot. An elected representative to open large parts of Northland VI, but not Northland VII. The impact assessment was carried out for approx. 20 years ago, it's okay enough to open up the Northland VI legally. So the question is, what are we going to do with Northland VII? The Labour Party says that one who needs a new impact assessment, although Nordland VI has been closed for the past 12 years and has – that is my claim – about the same status as Northernland VII. Nevertheless, my question is: What knowledge can keep the Prime Minister from doing so? What can make him not open?
ParlaMint-NO_2013-02-06.ana.ud977e425	It's the same kind of knowledge that has kept me in other areas before. I was an energy minister in 1994, when we decided not to open Northland VII, even if it was consistent, and not to open large parts of Northland VI, even if it was consistent. It's always based on a balance of what we know about nature, the environment and fisheries, and what we know about technology. New technologies, the ability to drill from land, higher safety requirements and experience in technology work, provide us with knowledge of how to deal with vulnerable areas. I am quite sure that, for example, having an oil business in the Barents Sea in the 1970s most likely would not have been fair, but having an oil business in the Barents Sea today, I believe, is sound. That's the kind of knowledge we're going to go through in a calm way, and then make a decision. We'll do that if there's a possible decision on impact assessment. It's not understood yet. I believe that we will not be operating in open areas in Northern Ireland VI until the autumn.
ParlaMint-NO_2013-02-06.ana.ud977e434	Let's go to the next main question.
ParlaMint-NO_2013-02-06.ana.ud977e437	In the last week we have been informed that 2,398 people without a legal stay in Norway escaped from reception in 2012, an increase of 30 pst. The Institute of Social Research said in a report that as many as 20 pst. of almost 50 000 asylum seekers who have come to the country under this government, disappeared from reception, i.e. almost 9 000 people. In 2006, the Central Statistical Office estimated that as many as perhaps 10,000–32,000 people were illegally staying in Norway, despite having been refused a residence permit. My questions to the Prime Minister are: Is the Prime Minister comfortable with the fact that this government does not have an overview of how many people are illegal in Norway? Is the Prime Minister comfortable with 2 500 people disappearing from reception and hiding? Is the Prime Minister comfortable with the fact that persons who have been granted asylum or stay on a humanitarian basis can receive permanent residence and even citizenship under false identity, an identity invented to conceal any serious crime in other countries? Is the Prime Minister satisfied or concerned that Norway may be becoming a country where it is easy to whitewash its own identity?
ParlaMint-NO_2013-02-06.ana.ud977e444	The basic thing is that people who are on the run and who need protection are allowed to stay in Norway. There are conventions and regulations – which I perceive the Progress Party at least says they agree – which means that we need to have an asylum institution, a system in which people can be granted asylum. The next challenge, of course, is that many of those who come to Norway are persecuted, need to stay, are to be protected. About half stay. However, many of those who come to Norway are not persecuted, need no protection and should not be. This treatment is demanding, for example: because many try to hide their identity. We have made a significant effort to improve our ability to reveal people's identity, have created a separate – we call it – ID centre and have built up the capacity of police and judicial authorities to do this. This has helped us to have a faster procedure. The case-handling time in the UDI has fallen considerably, which is now around one and a half years. When someone is in Norway for a long time, it is not mainly due to length of proceedings, but because they refuse to travel after a final refusal. Those who are refused must leave the country. There are two challenges. One is that those who travel voluntarily come almost easily back to all countries. The problem is those who don't travel on a voluntary basis. There are many countries that do not want to accept those who do not come voluntarily to the country – they refuse to accept people who are supplied by the Norwegian police. It is therefore a problem of forced repatriation. However, we have succeeded in increasing the number of voluntary returns. We have significantly increased the number of forced return visits by people who do not have a legal residence in the country. That's good, we're going to continue that effort. The number of asylum seekers has fallen significantly compared to the high level we had in 2008/2009. In Norway, there are more than 9 000 asylum seekers. It's at least a lower number than before. For comparison: In Sweden there are more than 50 000. There has been an increase in both Sweden and Denmark. It says that there may also be a difficult situation in Norway.
ParlaMint-NO_2013-02-06.ana.ud977e457	I don't feel that I got any particular response to whether the Prime Minister was at all concerned about the situation of Norwegian society – the police and others – when so many people are illegally present, people we don't know the identity of, people we don't know the background of. It could be anything from war criminals to criminals in every way possible. I note that the Prime Minister only responds to the fact that this government has put in place measures – despite the fact that the figures are actually getting worse. This government has budgeted for 10 000 asylum seekers in Norway in 2013. So you don't have a lot of ambition to bring down this figure, despite the fact that, according to the population, Norway is the country in Europe that accepts most asylum seekers. I will try to repeat a question: Will this government consider introducing measures – as the rest of Europe does – that are about to shut down, shut down, asylum seekers for whom the identity is not known?
ParlaMint-NO_2013-02-06.ana.ud977e466	First, I'm worried when we have people in Norway that we don't know the identity of. I am concerned when there are people in Norway who do not have a legal stay here. That's why we're doing something about it. That's why we've significantly strengthened our ability to reveal human identity. We make strict demands on it, and have strengthened our ability to reveal it ourselves. It's precisely because we don't want people to be here without a legal stay, that we have increased significantly the number of forced returns, that we have set a new record in terms of the number of people sent out, and have also been given an increase in terms of voluntary returns. It's just that we're doing something about what we're worried about. So I think the representative should take care of himself a little to exaggerate. We are not the country in Europe that receives most asylum seekers in relation to population. We now see a disturbing increase in our neighbouring country Denmark and, not least, Sweden. Sweden receives something like five times as many asylum seekers as Norway, but they are not five times as many Swedes. So that fraction must probably be worse in Sweden than in Norway. So we have 9,785 asylum seekers. It's significantly lower than in Sweden, but we're worried all the time.
ParlaMint-NO_2013-02-06.ana.ud977e473	Three follow-up questions have been asked, and there is occasion for this – first Morten Ørsal Johansen.
ParlaMint-NO_2013-02-06.ana.ud977e476	I assume that the Prime Minister takes the security of the inhabitants of Norway seriously. A number of countries now do as the Progress Party has proposed several times. I, the undersigned, have just been to Finland, one of the countries which, in order to prevent asylum seekers from refusing to move freely around and live on crime, has established closed reception. The overall political environment in Finland is very pleased with that. My question is: Will the Prime Minister at all consider some form of closed reception in Norway, as soon as the rest of Europe does?
ParlaMint-NO_2013-02-06.ana.ud977e481	We have to distinguish between two things: it is not prohibited to be an asylum seeker, and there is no country that locks up or imprisons all asylum seekers. It is allowed to apply for asylum, and many of those who come here are entitled to protection and stay. But, of course, if asylum seekers commit crime, they must be punished. Of course, if there is serious crime, they have to go to prison, and there is also an independent reason for forced return. They're going out of the country. That is also why we now have a sharp increase in the number of forced returns, which has also led to more voluntary returns. People who do not have a right of residence and commit a criminal act shall leave the country. We've also strengthened the capacity to just get people who are illegal here, and especially those who commit criminal acts. There's also a closed reception at Trandum – it's called boarding school, but it's at least closed – for the people we're most concerned about trying to avoid transportation.
ParlaMint-NO_2013-02-06.ana.ud977e488	Trond Helleland – for follow-up questions.
ParlaMint-NO_2013-02-06.ana.ud977e492	On the right, we have supported the cuts made by the government in asylum policy, and we want more return agreements and faster return of asylum seekers with rejection. On 5 December 2011, an overall increase decided that applicants for asylum may be required to report or to place of residence where they do not cooperate in clarifying their identity, where there are indications that the foreigner will refrain from implementing a decision involving a return or that the foreigner is an asylum seeker and has committed a prison sentence higher than six months. How many asylum seekers are covered by this scheme with either a notification obligation or a designated place of residence? Does the Prime Minister think that this is sufficient to help asylum seekers return to their country of origin illegally?
ParlaMint-NO_2013-02-06.ana.ud977e497	The government, together with the Stortinget, has carried out a large number of tightenings. It has helped to reduce the number of asylum arrivals and to increase the number of people who are actually in need of protection coming to Norway. One of the measures was precisely the notification requirement and the requirement to stay in specific places to facilitate the transport of people. I know it's passed, but I don't know the number that's under that scheme. What I know is that the number of shipments has increased significantly. So there is a sharp increase in the number of people who are being sent out by force, and there is a particular increase in criminals who are being sent out by force. We need to strengthen our efforts at this, because we do not want people in Norway who do not have a right to stay or commit criminal acts. At the same time, I think we should recognise the following: when 50 000 asylum seekers come to Sweden, when we are part of an open labour market, part of Schengen, there will always be a situation where people move across borders, without either Sweden, Norway or Denmark – or, for that matter, other Schengen countries – being absolutely sure of where people are. It reinforces the need for cooperation between Schengen countries.
ParlaMint-NO_2013-02-06.ana.ud977e504	Geir Jørgen Bekkevold – to today's last follow-up question.
ParlaMint-NO_2013-02-06.ana.ud977e507	I think that part of them that disappears from reception, not only disappears from reception, but also from the country. Some of them also travel to look for happiness in another European country, that is part of the picture. What worries me is how many children — minor asylum seekers — disappear from reception. Over the last ten years, more than 450 children have disappeared that we cannot account for, and there is cause for concern that some of these children may have been exposed to human trafficking. I will ask the Prime Minister what kind of action the government will take to protect these children in a much better way. I also hope that the concern that the Christian People's Party has attached to these children is a concern the government shares, because it may not be that children disappear from reception and we do not know what is happening to them.
ParlaMint-NO_2013-02-06.ana.ud977e516	There is every reason to be concerned about particularly lone minor children coming to Norway and seeking asylum. We have strengthened the capacity of both child protection and asylum recipients to do something about this in order to follow up those children. It is voluntary to be in the reception of asylum. That is where asylum seekers are waiting for the application to be dealt with or, where appropriate, after having received a refusal. I do not think it is possible – nor is it right – to make forced stays at the reception. That's why we're at risk of people disappearing, including lonely minors. That's actually the expression that's the fundamental, that many of those who are in reception are so-called duplicates, that is. people who have come to other Schengen countries and are actually moving between different Schengen countries. I am against leaving Schengen cooperation, but I recognise that having open borders makes it difficult to have a full overview of where people are at any time.
ParlaMint-NO_2013-02-06.ana.ud977e523	So the oral question procedure is over.
ParlaMint-NO_2013-02-06.ana.ud977e535	There will be some changes to the configured question list. In this context, the President refers to the list distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 1, from the representative Jan Arild Ellingsen to the Minister for Foreign Affairs, lapses, as the questioner is not present. Question 3, from the representative Per Roar Bredvold to the Minister for Transport, must be postponed until the next Question Time when the Council of State has left. Question 4, from the representative of Olemic Thommess to the Minister of Culture, must be postponed until the next Question Time, when the Council of State has left.
ParlaMint-NO_2013-02-06.ana.ud977e557	This question, from the representative of Jan Arild Ellingsen to the Minister for Foreign Affairs, lapses, as the questioner is not present.
ParlaMint-NO_2013-02-06.ana.ud977e564	I have a question for the Minister of Oil and Energy: ‘In an interview with the News Agency on 24 January, the Minister for Oil and Energy said: ‘It is striking how many people are obviously actively wanting to misunderstand what I have said. I am assigned opinions and intentions other than what I have’. The background is Borten Moe's statements at the Sandefjord Seminar: «In the first place, let's get more activity in already opened areas in the northeastern Norwegian Sea, including opened part of the Northland VI. This may take place from the autumn of the year.» What is the Council of State feeling misunderstood?'
ParlaMint-NO_2013-02-06.ana.ud977e578	What do I feel misunderstood about? Well, that's what I think is trying to create the impression that I'm an active champion of as fast an advance as possible in the northeastern Norwegian Sea. This isn't right. So let me give you some clarifications and clarifications. During the 33rd oil industry seminar in Sandefjord on 15 January this year, I reviewed the results and prospects for petroleum policy. The Petroleum message was submitted to Stortinget before the summer of 2011. Facilitation of a good long-term development of the oil and gas activities on Norwegian soil is a central theme of the notification. The left joined it. For the north-east Norwegian Sea, the government has decided that during the current large-scale period there will be no petroleum activity in Northern Ireland VI. Nor shall an impact assessment be initiated for unopened parts of the north-east Norwegian Sea. What happens during the next enlargement period will depend on the parliamentary situation after the elections and – equally exciting – programming processes in many different parties, where I record that this theme is up for debate. I have allowed myself to come with my recommendation to my own party. It is clear: not opening new areas during the next enlargement period, no impact assessment of new areas outside the Lofoten, the West Pole and the Senja, but an approach — a cautious approach — which is about using the areas already opened by the Storting, including open part of Northern Ireland VI.
ParlaMint-NO_2013-02-06.ana.ud977e589	The left has asked questions about the impact assessments at Nordland VI to the Council of State earlier, and then he answered: ‘I do not find it problematic to deal with the framework for the opening of areas...’. Earlier in the Question Time today, the Prime Minister said it was unwise to use such old impact assessments, a little because technology and other things had changed. Is the Council of State still standing on its own, that 1994 impact assessments are still good enough, and that it is only beginning to drill for the autumn in this area outside Røst? Or does he agree with the Prime Minister, who says it is unwise to use such old impact assessments?
ParlaMint-NO_2013-02-06.ana.ud977e601	First of all, I think it's a good idea to kill the notion that it can be drilled anywhere in these areas until the fall. There is a lot of work to be done before any drilling can happen. It is also such that it is the operator who initiates, if necessary, that authorisation is to be obtained and a good deal of work is to be done. I think that with the race that is proposed, you'll see some wells ahead of 2020. Then by definition, I always agree with the Prime Minister – of course also on this issue. But what's a fact is that the Storting has opened up these areas. The first areas were opened in 1965. Both the government and the Stortinge have been side by side, and it should not be problematic to deal with the decisions already taken. This area was opened in 1994.
ParlaMint-NO_2013-02-06.ana.ud977e608	The Prime Minister did not say that it took some time to run equipment – that this would take some time. He said that it is unwise to use old impact assessments, because among other things. technology has changed. It was one of the arguments that was used. When we talk about opening, we're not just talking about how long it takes to run out equipment; we're actually talking about opening up to the fall. This means that the Council of State disagrees with the response given by the Council of State to the Left in writing, that it is not problematic to deal with the framework for opening up areas obtained in the 1994 investigation.
ParlaMint-NO_2013-02-06.ana.ud977e613	I also believe by definition that it is never problematic to deal with the decision of the Storting. It's defining the business that the entire government is doing, also in this field. Then there's a big difference in areas that are open, and areas that are not open. The areas that have been opened are open — in this case in 1994 — after necessary impact assessments have been carried out in advance. Other areas of Norwegian continental shelf have been opened significantly before – the earliest in 1965. We've dealt with that in a normal way all the way. Of course, for areas that are not open, new impact assessments, new knowledge information should be provided. Then the Stortinget will finally decide whether there is something you want to go on with or not.
ParlaMint-NO_2013-02-06.ana.ud977e629	This question has been postponed to the next Question Time.
ParlaMint-NO_2013-02-06.ana.ud977e643	This question has been postponed to the next Question Time.
ParlaMint-NO_2013-02-06.ana.ud977e656	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
