ParlaMint-NO_2013-11-20.ana.ud2544e26	The called alternate of the Eastfold County, Wenche Olsen, has taken the seat.
ParlaMint-NO_2013-11-20.ana.ud2544e446	That there are many things you might be worried about when you see the newspaper essays, there's no doubt about it. But a government should be very careful to reverse a decision made by the Storting. If the Storting is dissatisfied with the decisions it has taken, they have the full opportunity to reverse the decision. It should not be the government that takes such initiatives, at least not a minority government that we are. But what we see now, and we closely follow from the government team, is for example. the current act of the Court of Justice of the European Union, where this has been the subject of an appeal. We will closely monitor the assessments and conclusions that come from there when we are going to implement this. But, as I said, I also encourage the Storting to take a debate in this room on a should reverse the decision, and not ask the government to do so, because it would be a little unheard of.
ParlaMint-NO_2013-11-20.ana.ud2544e455	Board Vegar Solhjell – for follow-up questions.
ParlaMint-NO_2013-11-20.ana.ud2544e458	Under the motto ‘All shall join’ my follow-up question goes to the Minister of Foreign Affairs, so that the Minister of Foreign Affairs can come forward. From this summer on, Norway has in a number of ways raised the question of the allegations of American surveillance of citizens in different countries with Americans at office, with political leadership in the Ministry of Justice, and that was the theme when the Nordic Prime Ministers met President Obama. The same thing other countries have done. What has been shown in retrospect is that for a number of other countries, it is, after all, so that some of the first clarifications were not fully elucidating, to put it that way. That's why my question to the Minister for Foreign Affairs: Tok the Minister for Foreign Affairs raised this question with the US Minister for Foreign Affairs when he met a short time ago? And if not, will he take it up with the US Secretary of State or other relevant authorities now?
ParlaMint-NO_2013-11-20.ana.ud2544e467	With the background of the revelations that have been in summer and the last year related to monitoring – which are claims, which is better documented – it was natural for me when I was in the United States and among others. Mr Kerry, Minister for Foreign Affairs, met with a general Norwegian concern about monitoring and the US policy in this area. Now it's like the United States is one of our very best and closest allies, and we've also strongly stressed that it's an unwritten rule that allies don't spy on allies. What Kerry said when I brought this up was that this is something the United States is taking very seriously. He also pointed out that President Obama and he have discussed this, and that the United States is going to follow this up with clear action in the future.
ParlaMint-NO_2013-11-20.ana.ud2544e472	Let's move on to the next main question.
ParlaMint-NO_2013-11-20.ana.ud2544e476	My question goes to the Minister of Justice. Over the past six months, we have received a number of very serious complaints and revelations related to surveillance by US authorities against a number of European countries. The reason why this is so serious is that the core task of a state is to guarantee the inhabitants freedom and privacy. Traditionally, we're used to one of the state's core tasks is to ensure the security of human beings, among others. through a defense. What's part of it is surveillance. What we also know through recent Norwegian history is that monitoring has been used against our own citizens, but also that our own allies are monitoring people in other countries. Some of the things that have come out seem to be pretty well documented statements; other things, fortunately, are not. Now I believe that the Minister of Justice, together with his colleagues, has had some time to make a clear impression of what monitoring is taking place from the leading powers against Norwegian citizens, and what knowledge we have of it. My question is therefore to the Minister of Justice: can the Minister of Justice guarantee that we have no knowledge that American authorities are illegally monitoring Norwegian citizens in any way?
ParlaMint-NO_2013-11-20.ana.ud2544e485	My constitutional responsibility is confined to the activities of PST, and parts of the activities of NSM, so my answer must be given in that perspective, while the Minister of Defence is responsible for the defence's work against attacks from, among other things. foreign powers. In general, I can answer very briefly the question asked by the representative. It hasn't, as far as we know, done anything like that, but it's absolutely impossible for me to guarantee it in any way. But there is no doubt that, as a government, we have a conscious relationship to protect ourselves from surveillance. This, of course, applies to the whole population, and that is the communication that we have between us in the country. I can only say that the government has a very strong pressure and a strong focus on this issue, but giving guarantees is rarely wise by a government council.
ParlaMint-NO_2013-11-20.ana.ud2544e492	Of course, I am aware of the constitutional divisions, but I am also aware that the Minister of Justice is responsible for ensuring the security and freedom of Norwegian citizens in this area, and that there is very close cooperation between the Minister of Justice and the Minister of Defence, including the government's security selection, on such issues. So I assume that the government collects sets and those responsible for the width of these issues have an overview of it. I am therefore pleased with the answer that the Council of State says so clearly that he does not know that there is illegal surveillance. Then is my follow-up question: how will the Minister of Justice now proceed to assume that he has no knowledge of it, to assure the Storting in the next round that there is no illegal surveillance of Norwegian citizens from American authorities?
ParlaMint-NO_2013-11-20.ana.ud2544e499	As I mention, it is very difficult to get into such a position that we can know what kind of business other foreign powers are doing. We have a cyberdefense for which the Ministry of Defence is responsible. They do the job they can within this. We have our ways of dealing with this. What I can say is that my constitutional responsibility concerns some of the EOS services, and we have a system in Norway for the Norwegian services that ensures that they are subject to democratic control, so that the services are within the legal framework set by this house. I think that's what I have to limit myself to responding to, because no matter how many times you ask for a guarantee that I will know something about other countries' activities aimed at Norway, such a guarantee could not be given. What I can guarantee is that we have a strong focus on this, that we are working hard on these issues in the government. However, it is not an unknown issue that other countries operate in both Norway and other countries that are of such a nature as we have seen in the media. But as I said, I can't provide any guarantees for the intelligence activities of other countries. I ask you to understand that.
ParlaMint-NO_2013-11-20.ana.ud2544e508	The President opens two follow-up questions – first the Audun Lighthouse.
ParlaMint-NO_2013-11-20.ana.ud2544e511	Then I would like to follow up with a question to the Minister for Transport. An important part of the issues we are discussing here is the danger of storing large amounts of data about who we are in contact with and where we are when we are in contact with other people. There is, of course, a storage to which the majority of the Biggest have joined themselves under the EU Data Storage Directive. The Progress Party and SV have shared their views on it. The representative Ketil Solvik-Olsen, before he became the Council of State, had a commendable commitment. On both sides of the political scale, a rematch was promised on the Data Storage Directive before the elections. It was the Progress Party that got the chance. I notice that the government is awaiting the court hearing to be in the EU on the directive, but was somewhat concerned when the Council of State replied to Ms Nybø earlier in the Questionnaire. My question is: Is it more than a postponement – will the government make a real review of the Data Storage Directive once it has been finalised in the Court of Justice of the European Union?
ParlaMint-NO_2013-11-20.ana.ud2544e520	Firstly, DLD was adopted under the Stoltenberg government where SV was a part, even though SV voted against the Stortinget. So there's nothing that this government has decided on alone. The party of progress voted against. The monitoring we're talking about now happened under the Stoltenberg government, so if you're worried, you should also be concerned when you put yourself in government. But we're taking the issue very seriously. We follow this closely — by following what is happening in the EU, by talking to the Swedish authorities about e-mails and that kind of thing, and by talking to the authorities of other countries to get insurance. This is not a government that is re-committing decisions made in Stortinget. That would have been unheard of. It's possible the red-greens thought so because they had the majority behind them in the Storting, but in normal constitutional drawing, it's actually the Storing making decisions, and the government following up. Therefore, my call for SV: If a wish to re-fight decisions was made when they themselves were in and had a majority, they should make proposals in the Stortinget and not ask the government to re-fight the government system. That's not how it works.
ParlaMint-NO_2013-11-20.ana.ud2544e529	Geir Pollestad – for follow-up questions.
ParlaMint-NO_2013-11-20.ana.ud2544e532	My follow-up question goes to the Minister for Foreign Affairs. This monitoring is, of course, a broad area. A lot of government councils are involved. When we're going to claim our right away, it's also important what we do at home and for our own residents. When Stortinget dealt with the Data Storage Directive in 2011, it was a majority to get it through quickly. Since that time, we have seen that Norway has not become a haven for criminals, the police both investigate and solve crime, and technological developments are about to emerge from the directive. There is a basis for a new discussion in Stortinget. But my question to the Minister for Foreign Affairs is: Are there any international obligations that Norway is bound by, which obliges us to register and store information about the communication of its citizens?
ParlaMint-NO_2013-11-20.ana.ud2544e541	This was a big and broad question. First of all, with the Data Storage Directive: it was a broad majority in Stortinget that joined it, and I would assume that it is firm. As far as information is concerned and cyberspace is concerned, it is important to me that this discussion also claws down important human rights and important rights relating to privacy. This is something that Norway is working with, among others. in the UN, now that we are working with Mexico, Germany and Brazil, looking at a UN resolution that underlines both human rights and privacy in a broad context. It could then set up some important posts related to what you can retrieve and store information.
ParlaMint-NO_2013-11-20.ana.ud2544e550	Let's go to the next main question.
ParlaMint-NO_2013-11-20.ana.ud2544e554	My question goes to the Minister for Foreign Affairs. Basically, we have to say that there are two pictures of Norway out there. One is of a small, rich country that is very proud of itself. The second is of a small, rich and solidarity country that takes responsibility for conflict resolution, environmental negotiations and does an important job in terms of assistance. When Bill Gates was in Norway last week, I asked him, is it really so important that we give exactly 1 pst? for assistance? Then he gave me the same answer as representatives of a lot of relief organisations: if Norway cuts the 1 pst goal, it sends a signal to other countries: we have managed through the financial crisis – we also cut. Then it'll be okay for other countries to cut as well. There is one thing that is clear: the Foreign Minister has now been given responsibility for development policy, and the first thing he does is cut to that end. Fortunately, this has been corrected by the Left and Christian People's Party. There is a majority of the Stortingen for 1 p.m., and polls also show that there is a large majority of the population for this. My question is: should this political theater continue for the next four years – that the government is proposing cutbacks, and then the Christian People's Party and the Left will negotiate up to 1 pst.? Would it strengthen the voice of the Minister for Foreign Affairs in international negotiations if he could bramlessly say that in Norway both the previous government and the current government felt that the 1 pst target is important? My question is: does the Foreign Minister support the objective of 1 pst. to go to help?
ParlaMint-NO_2013-11-20.ana.ud2544e567	First, I would be allowed to say that I share Huitfeldt's strong and burning commitment to development in general and development policy. As far as development is concerned, many elements are important. One of the most important is development assistance. Another top priority element from developing countries is trade policy. It was up here earlier today, where it was presented as the end of the world was imminent if Norway were to reduce somewhat at extraordinary rates of duty linked to cheese. I think that when you think through a forward-looking development policy, you have to think a lot of elements at once. But I do not disagree with the fact that a high level of assistance, an assistance designed to achieve important results, is helping to achieve an ambitious target of offensive poverty reduction in the years to come. This government's starting point is that we need to support a work to eliminate all extreme poverty by 2030. In the original proposal that the government put forward in the supplementary proposal, it's scheduled to spend a billion dollars. kr more in 2014 than in the 2013 current budget for development assistance. It will be difficult to produce as a cut. Then we have a discussion in Norway related to 1 pst. of GNI or 0,99 pst. of GNI. For me, it's the results of development aid and it's on a high level that counts the most. Now it's right, as the representative also stresses, that with the budgetary unity that has been in Stortinget with the Left and Christian People's Party, we will now use 1 pst. of GNI in 2014.
ParlaMint-NO_2013-11-20.ana.ud2544e580	The Secretary of State is wrong. The target of 1 pst. is not a discussion just in Norway. There is a discussion about this in very many countries. While Børge Brende's sister party in Sweden can say that in Sweden the parties agree to 1 pst. the Minister for Foreign Affairs in Norway is so unclear that when I ask if the aid target is firm, he answers with cheese. My question is whether the Foreign Minister is not weakened by this, because he cannot now say in international negotiations, in meetings with other countries, that in Norway we stand together on the goal of 1 pst. For this is not a discussion only in Norway; it is a discussion in very many countries. So more countries can take responsibility for increasing aid to the poor part of the world.
ParlaMint-NO_2013-11-20.ana.ud2544e587	Over the last few years, I have been in a situation where I have been able to follow the international development debate, and as I experience it, there has been a great deal of focus on results – and not least on looking at development policy in a broad context. I know that there are many votes internationally that say that trade policy can be as important as development aid. But a high level of Norwegian development aid, which is also on the government platform, between the Right and the Advance Party, is something that I am a strong supporter of. I don't think we're going to have an unfurnished debate about what was in the original government proposal. So it was added up to 1 billion. kr more to next year in relation to this year. There was broad agreement between the Advancement Party and the Right. I think it might have been stressed that this has now contributed to an even wider agreement in Norway on assistance. And now it's also like using 1 pst. until next year.
ParlaMint-NO_2013-11-20.ana.ud2544e596	It opens for four follow-up questions – first Marit Nybakk.
ParlaMint-NO_2013-11-20.ana.ud2544e599	We all agree that development is something more than assistance, but I am still concerned about hearing the Minister for Foreign Affairs almost devalue the assistance, because assistance means a lot to achieve the UN's Millennium Goal – not least by 2030. Norway enjoys very great respect in the United Nations system, in humanitarian organisations, in the world community and in countries south of it for its integrity in development policy. Sources show that Norway, by the Norwegian Minister for Foreign Affairs, was cut off in the UN food programme in relation to what the previous government had put into the budget – with the humanitarian situation we now have in border areas around Syria and in other areas of disaster in the south. My question is: does the Minister for Foreign Affairs feel that his authority and respect for him in the United Nations system and abroad are weakened because of this?
ParlaMint-NO_2013-11-20.ana.ud2544e608	The short answer to that is no. I also have to say that I think it's trying to draw a picture here that doesn't match the terrain. I have to try to draw a map. What the government has done is that it has made some re-priorities within the aid budget. So for example, we're going to spend close to 200 million. more on education and development in relation to the previous government. This is also linked to strengthening the private sector in developing countries. In the case of the World Food Programme, we're spending as much on the next year as we spent this year on it, so there I don't think there should be any cause for concern. If that's how I said it, is perceived as a de minimisisation of the importance of development aid, I just have to stress that I think development aid is very important, as I also said, in order to achieve the goal of eliminating all extreme poverty in 2030. But I also tried to find out that there are other elements here where Norway may not be as good as in terms of the development aid objective itself, for example. in the field of trade policy. So we have to see it wide.
ParlaMint-NO_2013-11-20.ana.ud2544e619	Knut Arild Hareide – for follow-up questions.
ParlaMint-NO_2013-11-20.ana.ud2544e622	I'm, not unexpectedly, very happy with the unity we've got with 1 pst. for assistance. I also have to say that when it concerns the position of the Foreign Minister, I believe that the way Norway has handled the situation in the Philippines, by being out early, is just supporting what the United Nations has asked us to do. It's got something special to do with it. The Foreign Minister emphasises performance requirements, and we are some of them that we need performance requirements against assistance. But there is also a conflict within this, because, when we are so concerned with performance requirements, we help to attract assistance towards a simplification, that visible results in the short term are premiered over the more complicated work on peace and reconciliation – for example – or on capacity building. What does the Minister for Foreign Affairs think about that problem – that is, when it comes to building results against the more complicated work, what is difficult?
ParlaMint-NO_2013-11-20.ana.ud2544e631	First, I want to make it clear that I am very pleased with the cooperation we have had with the Left and Christian People's Party in Stortinget – also about the design of the development budget. Norway, together with Luxembourg, now gives the most to development in the world. Of course, this must be linked to other policies we pursue, such as: in the field of trade, if we really want to be listened to globally. I hope that will also be present in the Grand Ring in the future. I also very much agree with what Mr Hareide has to say, that we must not now simplify this. See, for example: on peace and reconciliation, which is one of the most important areas to avoid future poverty. If there's a conflict, and there's war in an area, 30 years of GDP growth will disappear in a few months. If Norway can help prevent this, it is the best investment we can make in development.
ParlaMint-NO_2013-11-20.ana.ud2544e638	Live Signe Navarsete – for follow-up questions.
ParlaMint-NO_2013-11-20.ana.ud2544e642	The UN's food program is all in the front line when disasters occur, which we have now seen in the Philippines. One travels with food and clean water. Climate change means that we can expect more natural disasters in the future. We also know that more food will be needed, while the same climate change will make it harder to produce more food. In this year's budget proposal, the government cuts $25 million. kr in the UN food programme. My questions are: what is the background for the government to cut this down when they released the year's budget? Does a reduced need appear, and if so still? If the answer is no, will the government change course and take care of the enormous needs when the next year's aid budget is to be created?
ParlaMint-NO_2013-11-20.ana.ud2544e649	I fully agree with the representative that food and food production are an important part of a future-oriented development policy, but, as I said in the previous answer, we spend as much money in 2014 as we spend in 2013, linked to the UN Food Programme. So it's a little bit difficult to represent it as a cut. The government has done, as I also stressed, that we have invested some 200 million. kr more on girls and education. We also believe that education is a prerequisite for development. Norway has gone ahead, for example: Now in the Philippines, where there is a huge humanitarian disaster, we have gone out with an appeal to other countries to follow. For the time being, Norway has met 10 pst. of the UN emergency appeal, and in that appeal, we are giving considerable amounts of emergency food aid to many in the Philippines who are now lacking food.
ParlaMint-NO_2013-11-20.ana.ud2544e658	Burd Vegar Solhjell – to the last follow-up question in this round.
ParlaMint-NO_2013-11-20.ana.ud2544e661	Both the quality and the arrangements of the assistance and the whole development policy are interesting and important, and I'm excited and curious about the government coming there. But I also believe the government must accept that the debate on 1 pst. and quantity is important, not only because quality costs, but also because there is an urgent need for more money to pursue good development policies in the world, and we are one of the richest countries in the world. We can compare what David Cameron did to what Erna Solberg did. When Cameron entered a major economic crisis, he had to cut off all posts, but screened health and assistance. What did Erna Solberg do? She could spend money on every post, but she cut in aid. I didn't think Right comes particularly well out of comparison with its Swedish and British colleagues. That is why my question is to the Foreign Minister – he cannot foresee the next budget, but he can say what he wants to work for, if it is important to him: Will the Foreign Minister work for it still to be 1 pst. in the budget from the government, or has he agreed that it is not so important?
ParlaMint-NO_2013-11-20.ana.ud2544e670	What I want to work for is to have a high level of Norwegian assistance in the future, as the government platform also says. To present it as a cut when we reached 2014 in the government's additional proposition to spend 1 billion. kr more for assistance than we did in 2013, I have a little difficulty understanding that you are getting to do it. Then, of course, you can have a discussion about whether there should be even more to development and assistance, and I have great respect for that. I am also very pleased, as I said to the representative Hareide, with the agreement that it was in Stortinget with the Christian People's Party and the Left that additional means of development and assistance should be brought up. We're going to do that, and I'm going to make sure that the funds are spent in a sensible and forward-looking way.
ParlaMint-NO_2013-11-20.ana.ud2544e675	So the oral question procedure is over.
ParlaMint-NO_2013-11-20.ana.ud2544e687	There will be some changes to the configured question list. In this context, the President refers to the list distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 6, from the representative of Marit Arnstad to the Minister for Climate and Environment, must be postponed until the next Question Time, when the Council of State has left. Question 7, from the representative Heikki Eidsvoll Holmås to the Minister for Children, Gender Equality and Inclusion, has been withdrawn. Questions 15, 16, 17 and 18, from the representatives Kjersti Toppe, Martin Henriksen, Anne Tingelstad Wøien and Anders Tyvand, respectively, must be postponed to the next Question Time when the Council of State has left.
ParlaMint-NO_2013-11-20.ana.ud2544e704	‘The Norwegian reservation for the third EU postal directive came because it could have serious consequences for postal services as a central part of Norwegian infrastructure and because it could be negative for the rights of Norwegian workers. Will the Council of State carry out a thorough investigation into the implications of the introduction of this Directive for such a central part of the Norwegian infrastructure as letter mail and for the rights of Norwegian workers before the possible withdrawal of the reservation against the Directive?’
ParlaMint-NO_2013-11-20.ana.ud2544e716	I would argue that the reason for a reservation against the Postal Directive has nothing to do with the content, but with the lack of faith in competition by the previous government. It's something other than the statements made on the question. This government has said that we want to incorporate the third EU postal directive into the EEA Agreement. That's because we think it'll provide better postal services to the citizens than if we didn't, and that's because the postal market is developing. The biggest threat to postal services today is not the EU Postal Directive, but it is the use of electronic mail, which reduces postal volumes significantly. This has been investigated many times, even under the previous government. That is why I do not see the need for another investigation just because SV is against competition. But what this government has said is to be the basis of a new postal law to be promoted for the Stortinget, is that we want unit portfolios on shipments from households, so that there won't be a change, and one will ensure Saturday distribution of newspapers – which is therefore time-consuming, it's important that they come in the day – where one has no other solutions to it. So for ordinary people, the introduction of the Postal Directive means that one still gets the newspapers like a caregiver. This will mean that you do not get bills on Saturdays, as a person would like to have. But the distribution of posts on Saturdays is very small compared to the other days of the week and has fallen sharply in recent years, so there are opportunities for large savings for taxpayers and for residents in the country.
ParlaMint-NO_2013-11-20.ana.ud2544e725	I would generally recommend the Council of State to go into this kind of discussion with respect for the fact that you can have different assessments of what gives you a good deal. I do not share the government's belief that competition is best in all sectors. We have seen in other countries that have implemented postal liberalisation that there have been particularly two consequences – one related to the pay and employment conditions of postal staff, another related to postal services in those parts of a country where it is initially unprofitable to do so. One concern has always been that if you put off competition, you will get commercial drivers of the services that can pay off, but not for those parts of the Post that do not pay off. Can the Council of State guarantee that the State will not end up with a solid extra bill when it is no longer possible to finance unprofitable postal services with profits from profitable services to the same extent?
ParlaMint-NO_2013-11-20.ana.ud2544e732	Today, the government uses money through the Post to purchase services in areas where it is not commercially viable to deliver mail. It will also continue with the new postal law – that is the government’s intention. Then it's worth mentioning that if the representative had read some of the investigations under the red-green government, he would have seen that one there looked at the pay level of postal services in those countries where there has been competitive outsourcing, and that's not a clear conclusion. Where wages and salaries were already market-based, there was no change in salary levels. In those areas where the post office had very high wages compared to the rest of the market, there was a decrease in pay levels. The assessments that the red-green government had access to, and that we have also received, are that the post office in Norway has competitive wages. There is little reason to believe that a person does not have a reduction or an increase in salary as a result of the competitive outsourcing. I share the concern, but it is unfounded when you look at the matter as it actually is.
ParlaMint-NO_2013-11-20.ana.ud2544e737	There is little doubt that the experience of outsourcing in Norway until now has been that wage and working conditions are often under pressure, and if the Council of State shares the concern, it will be one of the things that it would be natural to look into before the government makes a decision. We can only note that the new government has put forward a procedure now in several cases where one comes to Brussels before coming to the Stortinget with its conclusions. It worries me. I would like to challenge the Council of State at the next time in this matter, and when the Storting will be presented to both the government's assessments of the consequences of a yes to the directive and the changes that the government might propose to follow up the Helgesen Government's promise now in Brussels.
ParlaMint-NO_2013-11-20.ana.ud2544e742	I would remind you that this government's policy on the government platform is not presented to the European Union. It is submitted to the Norwegian people, which is submitted to Stortinget. So the Storting is informed first. The fact that we also inform the EU when the EEA Councils travel there is not unnatural, but that does not mean that they have been informed first. So that's the wrong thing to say. We have announced that there will be a postal code to Stortinget. It's probably coming to spring, maybe before, and then the Storting will deal with this and go through all of these matters. I am concerned that we should have good postal services for the Norwegian people, that we should maintain the unit portfolio, and that one should also have a Saturday newspaper assignment. That's what's important for people's postal services. We need to ensure that districts are relocated, so this is not going to be a city-to-country matter. That there will be changes is quite obvious. We believe that it strengthens the competitive entity in the Post Office. That they're positive for it is the signal we get. Then we're going to do this in a real way. That's why the Biggest makes the decisions, not the government.
ParlaMint-NO_2013-11-20.ana.ud2544e753	I would like to ask the Minister for Transport the following questions: ‘The capacity of the current T-Bahn tunnel through Oslo Centre is becoming a major obstacle to the development of public transport in the capital. On 4 September this year, Erna Solberg informed that a new government would build a new T-Bahn tunnel through Oslo Centre. In the Government Declaration to the Right and the Advance Party, a promise of 50 pst is made. State investment grants to major public transport solutions in large cities. How will the Council of State address the work on the new T-Bahn tunnel based on the promises of new funding?’
ParlaMint-NO_2013-11-20.ana.ud2544e762	I would like to thank the representative for the question of an important topic. There are major challenges on the infrastructure side in many places in the country. The red-greens have helped increase the appropriations. That's good, but it's far from enough to meet the needs that are. Not least in the Oslo region is one of these challenges, with steady traffic into the city and out of town in the rush hour. There's a lot of freight going through the city, and there's a bottleneck in the rail and T-track system through the Oslo Centre. Together with the Municipality of Oslo and Akershus County Municipality, the Ministry of Transport has asked the Railway Agency, the State Road Administration and the Router to jointly conduct a so-called concept selection investigation on increased transport capacity towards and through Oslo. The KVU is the first step before the formal planning process is initiated for large-scale transport projects both in the planning systems of the state and the municipality of Oslo. The mandate points out that the development of the collective system in Oslo must be seen both in a context and as a common system. Solutions for new tunnels for both T-Bahn and rail will be assessed, including stations with good access between the various modes of transport. The extent to which there are gains from coordination in planning and deployment of T-Bahn and rail in Oslo will be considered. It is therefore important to ensure that both the State and the county council and the municipality work together. This work shall be coordinated by the Railway Agency. This investigation adds up to completion in the first half of 2015 – so it is a quite comprehensive thing. And then there will be an external quality assurance, which is in line with the procedures that you have adopted. It is launched in the second half of 2015. Once that job is done, the government, the municipality of Oslo and the municipality of Akershu will conclude whether we will provide leadership for the further planned work.
ParlaMint-NO_2013-11-20.ana.ud2544e773	I would like to thank you for your answer and also for your positive views. This is an urgent matter, really, because the capacity of the tunnel from Majorstua to Tøen starts to be blown up already. So that will determine the ambitions we can have in the collective development of the Oslo and Oslo areas in the years to come. Some of the progress described by the Council of State is determined by legislation on how to investigate and plan development projects. But it is clear that the signal that came from Erna Solberg in the election campaign that the state will go in with 50 pst. direct State grants give a completely different momentum, a completely different possibility, to a change of pace in this project. So far, it's only been 500 million. kr in order to investigate it in Oslo-packet 3 from 2017. It's important that the ambition you're now expressing is also concrete, and then my supplementary question is, in what form you're going to get back to the 50 pst. direct State grants?
ParlaMint-NO_2013-11-20.ana.ud2544e784	First, yes, I share the impatience shown by the representative of Bohemia. This is a work that one should have started on a long, long time ago, just because it takes time. We work actively in the government, both in the Ministry of Transport, the Ministry of Local Affairs and many other places, to reduce time on planning processes, precisely because spending two years on investigations seems very, very long. There is also a great potential for getting more goods onto the railway if the railway capacity is increased through the city. This government in the platform has made it possible for us to give about 50 pst. investment aid where appropriate. This is a project that I would say appears to be well suited for it. This leads to a stronger progress than any previous government has made. But there is still a work that takes time, unless we are able to significantly streamline planning processes. We will promote a case for Stortinget when this is available, and then one will also decide how much the government share should be.
ParlaMint-NO_2013-11-20.ana.ud2544e791	I thank you for that. It is also important to clarify the ambition. In what appears to be unclear that it is necessary to assess the Railway Tunnel/T-Rail Tunnel through Oslo Centre, it is clear that with the plan that Erna Solberg spoke about in the election campaign, which is also the one that has been favored in Oslo, the inner T-banning, the new metro in Oslo Centre, will provide walking distance to new residential areas. It shall cross Grünerløkka and St. Hanshaugen from Tøen and across to Majorstua, and large workplaces and new residential areas shall have a walking distance to the T-Bahn. Then you get both increased capacity through the center and can bring more audience close to the T-Bahn. With regard to ambition, Erna Solberg even talked about stations and stuff in these areas of the election campaign. It is then necessary to give a signal to the Railway Works that the option of having each of their tunnels has to be explored.
ParlaMint-NO_2013-11-20.ana.ud2544e800	The advantages of one or more tunnels under Oslo are many and quite obvious. It's important that we see it in a context, so that one if one builds a new railway tunnel, can connect it to the T-Bahn, so that people can choose the road to Oslo and know that they can easily get on with the T-Bahn. Because it's not like everyone who travels to Oslo by train necessarily works right next to the train station. Should it be attractive to travel collectively, there must be seamless transitions without much anticipation. If not, the car becomes too good an alternative, and then a car still chooses, especially with the advantages of the electric car. This government already announced in the election campaign that Fornebubanen was an important part, precisely because one looks at the housing and labour market in a whole. Similarly, an additional metropolitan tunnel under Oslo will help to improve communication solutions in and through Oslo, thus being an important investment in the housing situation in this city and in the area.
ParlaMint-NO_2013-11-20.ana.ud2544e811	On the UN Day for Children, I would like to ask the Minister for Foreign Affairs about the following: ‘Numbers of European organisations working with children estimate that one million children disappear from Europe every year. The UN Human Trafficking Organization, the UN Global Initiative to Fight Human Trafficking, writes in its report that 1.2 million children are exposed to human trafficking every year. If this is to be slowed down and stopped, countries must cooperate with obligators and care for the children is the most important. What initiatives will the Minister for Foreign Affairs take to contribute internationally to finding more children and stopping the backers?’
ParlaMint-NO_2013-11-20.ana.ud2544e820	Child dissipation is very serious. A child who disappears is one child too much. The people smuggled through Africa and the Mediterranean are subjected to extreme stresses. Many of them are victims of human trafficking. Children are extra vulnerable and more vulnerable than adults. These children are entitled to protection. These are very serious violations of children's rights. Persons buying sex and child pornography assist with the falsification of passports and travel documents or participate in transactions and criminal profit are involved in supporting a very cynical industry. The government will give high priority to the work on trafficking in human beings. So far, the previous government's action plan on trafficking in human beings has been the basis for Norwegian efforts. In the future, the government will place great emphasis on building up knowledge of international criminal networks. The aim is to put in place effective measures against the backers. The approach will be broad: build on the work of a global initiative against organised crime. At the same time, we will step up efforts against new and global security threats, such as organised crime and terrorism. Norway has a separate responsibility to work against trafficking in human beings and child abuse. This responsibility is of the utmost importance to the government. In our global work, we see that organized criminals buy protection or exemption from criminal prosecution in weak countries where it can be purchased. In the Sahel region, we know that smuggling people, drugs and weapons finance uprisings and terror. International work against trafficking in human beings and organised crime is therefore aimed at finding victims, but equally at detecting global criminal networks and backers. It is the Ministry of Justice and Defence that heads the work nationally and is responsible for the Schengen cooperation and participation in Frontex. We rely on a wide range of tools and control bodies to identify victims and take more backers. The Ministry of Foreign Affairs has used considerable resources to prevent and combat trafficking in human beings internationally. We are doing this through committed cooperation within the UN and the Council of Europe. Norway has contributed to ensuring an effective monitoring mechanism for the Council of Europe Convention on Action against Trafficking in Human Beings and is working for a similar mechanism in the UN.
ParlaMint-NO_2013-11-20.ana.ud2544e837	I thank you for the answer, and thank you for taking this seriously by the Foreign Minister. The Minister for Foreign Affairs refers to part of international work, including: in the Council of Europe through the GRETA expert group, which is now up and running, but also needs some mechanisms. And sail if it's up and going, you can't just say that this is a problem that's not there. Some of the problems with these international conventions are that the Member States are not obliged or checked in the cards on what they are actually doing, and that they give priority to these measures when they are going to fight for budgets, or when they are going to decide what they are going to spend resources on. That is why my specific question regarding the follow-up to the global instrument against trafficking in human beings, which is the Palermo Protocol, where Norway's view has been that such global monitoring mechanisms should be put in place, with the UN countries that have signed the Protocol: what does the Minister of Foreign Affairs do specifically to put this in place?
ParlaMint-NO_2013-11-20.ana.ud2544e846	This is a work that we are following, as the previous government started – not least the action plan and to put in place these kinds of monitoring mechanisms. But, as the representative also says, not even all countries have ratified this agreement. It is incredibly important that all countries, even where the needs are perhaps the greatest, become part of the international acquis. However, the enforcement of what is contained in the Protocol, that it is actually done, and has the resources assumed, are essential. I will then, together with the representative and others who are very concerned about this, think through the various instruments that we can use, as well as what may be in the action plan, and what the previous government did in this area.
ParlaMint-NO_2013-11-20.ana.ud2544e853	The first response to me, as well as the action plan, points out that in the case of trafficking in human beings with children, it is mainly minors with foreign origin who have come to our country or to other European countries, who are the most vulnerable. As a result, how we deal with the issue of underage lone refugees in Europe and Norway is very important in order to prevent trafficking in human beings. It is a politically difficult issue, with immigration policy considerations very often taking precedence over children's rights and protection against, for example, children. trafficking in human beings. Does the Minister for Foreign Affairs see that the way in which both Norway and other European countries deal with the issue of single minor asylum seekers is in danger of endangering many of these children?
