ParlaMint-NO_2013-12-13.ana.ud258e36	The representative Morten Wold, who has been licensed, has again taken the seat.
ParlaMint-NO_2013-12-13.ana.ud258e376	Thanks to the Minister for the response to my call for the relocation of state jobs. We appreciate it. But of course, the left will be a janitor and, if necessary, use the armstroke in Stortinget to ensure that something happens in practice as well. Then I can enjoy Battle violence Vedum and say that the government has not in any way used raw power. I still feel I'm reasonably fresh and fast here I stand on the armchair. But we've come to know more about the matter. For the Left, this is about security, deliverability and, not least, the fact that a postponement with new distributions would hardly have resulted in a better basis of decision – rather training and new insecurity, as the representative Meling was inside his post. So, of course, I'm saying that this kind of decision, decisions, is very difficult. It affects workplaces and individuals. Three thorough assessments I certainly believe Left now have done in this matter – in the same way that I suggested that the red-green had when, as the minister has now said at two times, they decided to close 103 Equations Offices, or when local hospitals actually systematically under red-green control were lost for content and functions. So a little bit about the oil money usage. I can also assure the assembly, and so send a signal to the government, that the oil money usage that Left has taken place in our alternative state budget this year sets out the list of our views on this. We are very sceptical about unnecessary and high levels of oil money, and we will also use it in future budgetary processes.
ParlaMint-NO_2013-12-13.ana.ud258e390	It was the posts of the representatives from Uppland and Hedmark who made me ask for the floor. Because when it's said that we've been subjected to raw abuse of power in the Left, that's not what it's about. If we look back at the eight years of the red-green government, the 10 000 created new state jobs. 8 000 of them are located in Oslo, Bergen, Trondheim, Stavanger and Hamar. We're talking about a redistribution between the winners of state jobs, and it's worth noting that the red-green government was able to move out about. 100 State jobs from Oslo. So I guess we're not talking about a winning event in the decentralization of the state under the red-green government. What has been important for the Left is precisely to look at both efficiency and professional consolidation, and this is an example of technology and efficiency moving forward, and where it is a sensible approach to do just that. Then, surely, Hamar is going to be a winner in the future. The city is 30 minutes north of Gardermoen, which means it's smart to put a lot of things there. The major challenge in the regional debate is related to the internal and external districts, and this is where we are going to require a clear action plan from the government to move out state jobs where it is natural to do so – from Oslo, Bergen, Stavanger, Trondheim and Hamar, to that end – to those who need jobs, and where it is quite natural that one can carry out that task, from, for example, Vadsø. There was one case here, that's absolutely right. But here there's a need for an overall review, and so we also find that moving out completely is a reasonable approach. Then we also need a policy to establish new jobs sensibly. So it's going to be a paradox to talk about the use of oil money. If we're going to use oil money to maintain state jobs, it's not sustainable over time. We need to create a business policy that does something about what jobs we create, including in the districts.
ParlaMint-NO_2013-12-13.ana.ud258e408	First to the last curious thing that was said now. So there's not a word in this proposition about saving this centralization, and what it has to do with oil money usage, I don't know. This is a purely centralisation proposal. I also believe that the representative has to check his figures for state jobs in the districts. I can mention that only in Hedmark do we have Health South-East in Hamar, we have moved parts of the Home Guard and the Army to Hedmark, and there are many more government jobs than the representative from the Left said. That means we've had an active policy. That doesn't mean that the centralization trends aren't strong. That is precisely why we need a strong district policy, and that is when the signals from this government go in a different direction. I am very surprised that the Left and Christian People's Party is involved in this process of local economy, and in terms of regional policy instruments. For several days we've been discussing instruments to the forest industry and the bioenergy bit where it's announced that there are thousands of jobs going to go. Now it's this, in the budget, there was the health archive on Tynset, and the Minister of Finance notified from the pulpit that there will be more of this. There will be several measures to centralise activities until your wheels go so that it laughs already. It has to be an active district policy if we're to get what we want, because centralization is a force that goes by itself. But now you have to accumulate money and activity where the wheels are doing well, as they write in both documents and settings. I have not experienced that there are some people who have gone to the choice of laying down these jobs. I have not experienced in Hedmark that there are some who have gone to the choice of laying down these jobs or the activity that was planned on Tynset – on the contrary! And in the last few weeks, representatives from both the Advance Party and the Right – and the Left – have been very visible in the media and fought for this, for they have been opposed to this. They have said that this is not our policy, but the Minister of Finance says this is their policy. It's this double game I'm responding to. I understand that the Left needs to defend what they've done, and I'm disappointed if they actually believe that this is right, because then they stand for something other than what they've said before. But what I'm most responding to is that it's been said that this has been a neat process. It hasn't been. There have been no submissions to the Stortinget that could have made qualified decisions on this. In the United Kingdom, there has been a majority for a different solution to this day, and it has been written down in large-scale documents. So this hasn't been a neat process.
ParlaMint-NO_2013-12-13.ana.ud258e419	I believe this matter is reasonably informed now. Let me just give you one reflection. We in the committee agreed on an approach to this which did not address the structure, but we asked for some more time to be given to see these kinds of issues in context. There is talk of a combination of streamlining the directorate and maintaining a decentralised office structure being assessed separately – not a very radical issue. The majority agreed on that, and it is of interest that the Left turns after we have had the discussions on the comments in the Committee. But just leave it. What I want to add a comment to is a statement by the representative Hagesetter, who from this pulpit said about the following, as I noted it: The Storting is not suitable as the arena to discuss the efficiency of the public sector. Now this government, the government parties and the four majority parties have talked about getting the debate back to Stortinget. The nice thing is that we can now take debates on how society evolves and make decisions here. I looked at the committee comment that we had, as an expression that it actually had something to do with it. We have been through a budgetary procedure that has not really had any visible sign of it, because the four parties have been very close together. I congratulate them on that. It's natural after the statement they have. But this majority opinion was an expression that the Storting could actually express itself in a way that the government could take with it, and take some more time. That's not happening. But I think it's a very bad signal if we're to be faced with a development of the public sector that we all, I think, agree to need continuous renewal and efficiency consistent with technology etc. If the attitude is that, no, there are too detailed discussions, it's not suitable in the Storting, I assume that the Left in particular will react with its origin that is linked to all power in this hall. I want to be very concerned that we can discuss these questions very thoroughly. What else should be our mandate as ombudsmen for whom we are elected?
ParlaMint-NO_2013-12-13.ana.ud258e428	The representative Trygve Schlagsvold Vedum has had the word twice before and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2013-12-13.ana.ud258e431	I almost hope that the employees who have their jobs around Norway do not follow this debate. These are the jobs of people living in Vadsø, who live in Tromsø, who live in Hamar, who live in Kristiansand, and we – the majority, up to an hour ago – thought that they should be properly involved in the consequences of putting them down. We wanted to take these people seriously, because this was a report that came at the end of October, and that the government concluded something about afterwards. We had a different goal than the government. It was just concerned with efficiency, but we had two objectives. We had more efficiency, but at the same time the decentralisation of public jobs across the country. Therefore, we – the majority – asked the government to go a few new rounds and see how one could manage to streamline while maintaining a decentralised structure. But now there has been so much achievement in this that walking such a round is not possible, and you unfortunately get left on that team.
ParlaMint-NO_2013-12-13.ana.ud258e440	What the representative, Mr. Schlagsvold Vedum, is now saying is that you have to go one more round for six months. Then one has to think back that the red-green government has spent eight years going rounds like that and not having a single new job moved out of Oslo. This is about action. We have to show that. We need to improve efficiency on the one hand, and at the same time it is also possible to put in place a plan for where we are going to have government jobs in Norway. When Andersen says that I have to check the numbers, she actually has to go home and check the numbers herself – in the case of state jobs – the 10,000 new ones there is no doubt about where is created. Of all the existing jobs that the state had before the red-green government joined, no one has moved out. There was no plan, and there have certainly been many fights internally in the red-green government, but one has never got the power to act. It may be at the expense of those who work in Oslo, that it has become too difficult. Of course, this is painful, but we have two tasks: one is to do important action, also because technology and processes are moving forward, the other is to take into account that we are to distribute the state jobs across the country. We believe that this is possible through an overall plan.
ParlaMint-NO_2013-12-13.ana.ud258e447	The reason why I take the floor is what the representative Jonas Gahr Støre said from the pulpit, where he commented on a post I had had. What's the starting point, is that the Storing is legislative and running power, and the government is executive power. What I said was, if we're going to go into details and such red tape processes, I don't think the Storting is an own body to get rid of red tape and a smaller public sector. But of course it is quite right that the Storting should be able to give directionlines, including in such debates as this, when it comes to red tape and simplification. It does one with both the law and the state budget, etc. I think that if we're going to go into every single directorate and wind up state jobs and discuss it in full width in the Storting, what's happened in the last eight years among the red-green, that there's very little happening in that area, that the public sector is growing, and it's going to be a development that can't continue. We would like to give them the direction lines and the signals and discuss them, but I do not feel that it has happened in this case. Here one goes into a specific matter and seems almost as if the most important district agency is state employment. Of course it isn't. The Government Party, together with the Christian People's Party and the Left, has now voted in favour of a state budget that has record investments in road and rail and tax havens that will strengthen competitiveness. This will meet the districts very well, and we are laying a good foundation for good development in the whole country. The representative, Karin Andersen, was among others. in the case of corporation tax, that the tax should be applied to the place where the head offices were to be located. That's not correct. It is a requirement that part of the corporate tax should be returned to the municipalities, and then it should go where the jobs are, not where the head offices are – where the value creation takes place, and not where the head offices are. And we're going to talk about this as centralizing. This, I have repeated several times, has nothing to do with centralisation, when we talk about the Directorate of Economic Management. This has to do with red tape, simplification and the reduction of government employment.
ParlaMint-NO_2013-12-13.ana.ud258e462	The representative Snorre Serigstad Valen has had the word twice before and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2013-12-13.ana.ud258e465	Here it's said very strange. First of all, it is quite special for the representative, Kjeseth, to go into the attack position, when his own party has just broken its promise to the employees of DFØ in Vadsø, in Tromsø, in Hamar, in Drammen and in Kristiansand without giving any proper explanation about it. So Gjermund Hagesetter says afterwards – he says it outright, he confirms it and reinforces it – that Stortinget is not a suitable body to discuss red tape. I guess it's not clear that a big-time representative from a government party is going to move decisions out of the hall. So he finally said that this is not about centralization, but a reduction in government jobs. Yes, there are a lot of decent people who lose their jobs, and there are especially some in the Left who should listen to how the Progress Party defends that decision the Left has just given its majority to.
ParlaMint-NO_2013-12-13.ana.ud258e472	It was useful to hear the representative, Mr. Hagesetter, confirm what he said in the beginning. Then I think that on behalf of the Workers' Party I will report from this pulpit that we are not going to share the opinion that it is not appropriate to discuss red tape and the efficiency of the public sector in Stortinget. If we're going to go into detail, says Hagesetter – the details here are about the jobs of people, it's about community, it's about skills jobs. We have never thought that there are state jobs that save the districts, on the contrary. But does that matter? What is the reason for the involvement of the cities mentioned by the representative Serigstad Valen? Well, that's precisely because these jobs actually matter, they're worked up. Now we haven't stopped what the structure of this directorate should be. We've asked for some more time for that, and so that time is not given. Here we hear it very clearly – and I will follow with interest how the Christian People's Party and the Left will follow that debate – here the goal is set, there should be a smaller public sector, it should be cut in that type of work, and it is called efficiency. And: The debate does not belong in Stortinget. If we are to have it so that the Storting will in a way adopt the principle of fewer public servants, fewer government jobs, and then we have taken our principle assessment, and then it is the government as executive that implements it in local communities here and communities there. If that's the government party model, I say clearly from: we're against it, and we're going to reserve the right to have an opinion about the individual directorate, the individual sector and the individual objective. This has been a useful illustration by the representative of the Progress Party. We are beginning to see clearer contours behind basic formulations in this government statement of how the method is intended to be applied.
ParlaMint-NO_2013-12-13.ana.ud258e484	The representative, Karin Andersen, has spoken twice before and is given the floor to a brief comment, limited to 1 minute.
ParlaMint-NO_2013-12-13.ana.ud258e487	I agree with what the representative Jonas Gahr Støre said now. An approach is now being drawn up to pursue strong centralisation policies, even though the Storting should only discuss overall objectives, such as: fewer bureaucrats, that it must be a control signal, and where the government must have free play. I just want to remind you again that there is a great deal of commitment in this matter and in the other matters in the other cities, from representatives of the government parties as well as from the Left and Christian People's Party. It's not just SV, the Workers' Party and the Center Party that care about this – this is what people care about beyond the country. We now experience a government that does not hear and does not care about how this is. I also feel that it is systematic to say one thing, you say you want good district policy, and then you do the opposite. You cut systematically and turn your money against the center.
ParlaMint-NO_2013-12-13.ana.ud258e492	The representative Ketil Kjeseth has had the word twice before and gets the word for a short comment, limited to 1 minute.
ParlaMint-NO_2013-12-13.ana.ud258e495	I have great respect for the debates that are taking place in the communities that are losing jobs. That's exactly what we don't have to do, make this a little debate in each case. We have to have the big plan. The left will have a democratic reform, and we will have to discuss it in Stortinget – that is of course. But it's been a formidable directoratization, and today we have a state that is divided into 45 different geographical divisions. It's a formidable conglomerate. We have to go through, for the sake of democracy, the division of the state in order to get a more streamlined state. Then we have to discuss the big picture as well, and that's Left's important errand in this case – we're not going to discuss individual matters case by case.
ParlaMint-NO_2013-12-13.ana.ud258e500	I followed the debate from the office, and it was Left's Kjeseth who made me take the floor. When there is a claim that there are no established or outsourced jobs in the last eight years, it is simply a mistake. I can just mention someone – what we're talking about today is basically Hedmark, I've got it with me, so I also choose Hedmark as an example – State civil law administration, defence administration, State Children's House, special investigation body for police matters, Health South-East, the Railway Agency. I can mention Kongswinger, talk about Police College, Vardåsen Prison, etc. Karin Andersen has also mentioned more, and I do not include them in this round. In addition, the archive on Tynset has been mentioned. Nor did it continue what was contained in Stoltenberg II's draft budget on the Bachelor's programme for archival subjects, which was proposed as a decentralised higher education offer at Tynset under Hojskolen in Sør-Trøndelag. I just had to take the floor, because that unreasonable one just can't be. If you are to be part of the debate, there will be some honesty in what you actually come with from this pulpit.
ParlaMint-NO_2013-12-13.ana.ud258e509	The representative Hans Olav Syversen has spoken twice before and is given the floor to a brief remark, limited to 1 minute.
ParlaMint-NO_2013-12-13.ana.ud258e512	It has its sides to keep a short opening post. I'll learn from that. It's been an interesting debate. As a rule, when the debate is a little bit of a district policy and a little of a regional policy, there is a lot of intervention. The representatives of Støre and Hagesets have discussed how much should be put in this room, and how much should be outside. I am absolutely sure that with the commitment that is in this room, there will be a lot of debate about state jobs and where they should be. At the same time, it must be allowed to say that under the red-green regime there were extensive structural changes in hospitals and taxes, which were not considered particularly useful to discuss in this room. I think we should also take that with us.
ParlaMint-NO_2013-12-13.ana.ud258e521	Several have not asked for the floor on case No. 1st@item: inlistbox Case No. 2, which is dealt with here, has not been outside the regulatory period, i.e. 48 hours. On the basis of Rule 46 of the Rules of Procedure, the President will propose that the Stortinget should nevertheless deal with this matter now. – There are no objections to the President’s proposal and it is deemed to have been adopted. At the request of the Municipal and Administrative Committee, the President will propose that cases be brought before the Court of Justice of the European Communities. 2 and 3 are treated together. – It shall be deemed to have been adopted.
ParlaMint-NO_2013-12-13.ana.ud258e550	Applicants for asylum are entitled to a fair, fair and predictable examination of the application. You also need to receive information you can understand. At the same time, it is important that Norway and other countries have effective cooperation to ensure that the right country treats the right application, which is generally referred to as the ‘first country of asylum’ principle. The Dublin III Regulation deals with both – the rights of applicants and cooperation between Member States. Compared to the current Dublin II Regulation, both parts are subject to change. When single minor asylum seekers have relatives in another Member State, the starting point is to reunite in order to have the application processed. In the past, reunification has included parents or guardians, in addition to any other persons. Now, siblings, uncles, aunts, or grandparents are also included in the group you can reunite with. Otherwise, the term ‘applicant’ is replaced by ‘applicant for international protection’, which includes both refugees and persons with so-called subsidiary protection. Several new rights are introduced for the applicant, including: the right to information on the use of Dublin III, the conduct of a personal interview, the right to appeal and the possibility to suspend the transfer to another Member State, legal assistance and the establishment of regulations on the duration of the imprisonment and the time limits for sending and responding to a request for transfer in the cases in question. Dublin III sets out different options for dealing with issues of delayed implementation. The Government has come up with a solution whereby, when the applicant requests suspension of the UDI’s decision to transfer, it is the Foreign Affairs Department, known as a judicial body, that deals with the case. And the transfer cannot take place until UNE has taken a decision on the request or dealt with the complaint on the decision. This is also included in a description of the law. Once a person has been adopted to another country for the purpose of examining the application, Dublin III suggests that he or she is not to cover the travel expenses himself. This is also included in the law. Unlike Dublin II, the Government proposes to have a more direct reference in the Foreign Affairs Act to Dublin III. It is also made clear that Dublin III is in fact part of Norwegian legislation. With regard to the overall impact on Norway of Dublin III, it is obvious that it is not easy to be quite specific about this now. There will probably be some more asylum applications to be dealt with in Norway. The conditions for granting asylum do not change as a result of Dublin III. However, the foreign field, which is involved in the proceedings, will have more tasks related to, among other things. individual courts, review procedures and new time limits. In total, the Ministry has estimated costs — from the fifth year following introduction — to over 200 million. kr. In addition to Dublin III and the current cases concerning the accession of agreements and amendments to the Foreign Affairs Act, there are also proposals for the inclusion of the new Eurodac Regulation. Eurodac deals with the rules for joint fingerprinting, a mechanism that is essential for effective and effective Dublin cooperation. The new Regulation involves improved data transfer and deletion mechanisms, improved access for Member States and protection of personal data. These matters have been dealt with quickly in the Storting. Dublin III enters into force from the new year, and without Norwegian accession in time, we would risk standing without a functioning new year's cooperation in the field of asylum. It would be an unsustainable situation. Today, we are dealing with two propositions that ensure both the inclusion of Dublin III and Eurodac and the necessary changes to the Foreign Affairs Act. It is a pleasure to be able to recommend the Committee's recommendations in the present cases.
ParlaMint-NO_2013-12-13.ana.ud258e573	Let me start by thanking the case rapporteur for a good presentation of the matters we are dealing with. I'm just going to add some comments to those issues. It is true, as the rapporteur said, that there are two main aims of the amendments now proposed and which come through the Dublin III cooperation. It is more effective cooperation and strengthening the rights of asylum seekers. I should like to stress, like the rapporteur, that strengthening the rights of asylum seekers is not about extending the conditions for asylum. It is not regulated by the amendments proposed. Norwegian law and other international obligations continue to govern. These include: made some important reinforcements to the rights of asylum seekers. I'll mention two of them. One is to make restrictions on the possibility of returning persons to countries where there is reason to believe that there are systematic deficiencies in the asylum system or reception conditions. It is a practice that Norway has had for several years on its own, but we welcome it also for other countries. I know, among other things. that it was the case with relation in Greece at some point, which led to the detention of Dublin applicants there. The second is the emphasis that consideration of the best interests of the child should be of fundamental importance and that it should be extended. The circle of people with whom the child is to be reunited is a real extension, for which we in Norway are also making changes. But the child’s best interests have been the subject of debate in Stortinget in the past, and it is our opinion that consideration for the child’s best has been treated as a fundamental concern in Norway. Finally, I would like to touch prisons in the light of the dangers of avoidance. I have noticed the assessments made by the Ministry on the conditions of imprisonment, and I would like to refer to the fact that on written questions from the undersigned Minister of Justice on the extent and use of Section 106 of the Foreign Affairs Act in the case of prison, in 2013 – and it has not been used, so far. I record that there is a discussion there, among others. The Foreign Affairs Unit of the police has stated that the conditions laid down in the new regime are stricter than those laid down in Norwegian law. I rely on the department's assessment and don't think that's the case. I guess it's also a majority of the committee that has that opinion. Finally, let me make it clear, as stated in the proposal, and as also stated in the comments in the vote on the proposal, that it is not enough just to point out that he is subject to a Dublin procedure and to use it as a justification for imprisonment. There must also be heavier conditions before prison, with reference to the risk of avoidance.
ParlaMint-NO_2013-12-13.ana.ud258e590	I want to make it clear that the Christian People's Party is not mentioned in a note on pages 13 and 14 of the Innst. 67 L, dealing with single minor asylum seekers. There's a note from the Left and Socialist Left Party that the Christian People's Party supports and agrees with. I actually drew myself case number. 2, but it went so fast. This applies to Innst. 68 S. I also want to take a little visit to it. There it is in the same way: Christian People's Party supports the comment from Left and SV on page 6 under point 2, second column, top. This concerns the best interests of the child in the treatment of lone minor asylum seekers.
ParlaMint-NO_2013-12-13.ana.ud258e597	The President took note of Mr S. Tuskedal's speech.
ParlaMint-NO_2013-12-13.ana.ud258e600	It is important to have good legislation on the handling of asylum seekers, and in the time we live in now, it is more important than ever. Amnesty was out the other day thinking that European leaders should ‘bend their heads in shame’ over the small number of Syrian refugees they accept. I think they should do something rather than be ashamed of themselves, because shame has never helped. But there is now a great need to accept more, and I may not think it is shameful, but it is embarrassing that Norway does not accept more quota refugees than what we are doing now. There are 18 EU countries that have refused to accept refugees from Syria now, refugees who would have been treated under this legislation – if they had been admitted. Perhaps one of the most serious things we see now is that countries are looking for opportunities to prevent those who need asylum from being able to apply. So I hope in other things we can come back how we're going to make sure that that opportunity is real to those who really need it. The Dublin III regulation, which we are examining now, strengthens the right of lone minor asylum seekers to Dublin II. We're happy about that. These include: in the pleading that consideration of the right to family life and the best interests of the child should be a fundamental consideration in Dublin cases. The fact that the best interests of the child are fundamental is also provided for in Article 6. This is why we are not in favour of the majority's comments, because it says that they are only encouraged to do so, and that is not correct in relation to Dublin III and in relation to the commitments we have. The best interests of the child shall be among the interests of the child, but in the best judgements of the child, the State is encouraged to take into account the «possibility of family reunification, the welfare of minors and social development, safety and security and the views of minors». So it's in the assessment of this call, but the call is not about taking into account the child's best interests. I'm very happy that the Christian People's Party is now signaling that they want to be part of this. I'm very concerned when it's such a large majority that, in our opinion, it doesn't follow what's in the proposition, because SV's original comments are what's in the proposition. Therefore, what is stated in the comments, as a narrowing in this area, feels that there is a bit of free choice – one can choose to care for the child’s best – i.e. a call and not a commitment. However, as it has to be interpreted, it is in the child’s best assessment that there is a call to take into account specific issues. I hope that the Council of State can clarify this, so that there will be no intrusive effects in these remarks, because – as I said – our remarks follow the proposition. It is important, as it is said, to extend the scope with which unaccompanied minor asylum seekers can be reunited in another Member State. We support that. It is also important to point out that Article 28 of the Dublin III Regulation states that ‘a foreigner cannot be imprisoned solely on the grounds that he is subject to Dublin procedure and that imprisonment shall only take place if less invasive coercive measures are not sufficient’. [[1]] The SV then refers to the hearing opinions of the Foreign Affairs Unit and NOAS, which consider that the regulation imposes stricter conditions for imprisonment, a significant risk of avoidance than that resulting from the First paragraph of Section 6 of the Foreign Affairs Act, which states ‘concrete positions to be adopted’. SV agrees with the Foreign Affairs Agency in this regard and therefore believes that the Foreign Affairs Act should be amended at this point, so that there is consistency between the Act and Dublin III. Furthermore, we point out that both the Law Association and the NOAS in their hearing opinions point to the fact that the pay-as-you-go rate in Dublin cases is too low, because there is a need for more than two hours in order to provide adequate legal assistance, which is supported by the evaluation of the Law Association, carried out by Oxford Research. Therefore, SV wants the government to look at the payroll rates so that they ensure legal certainty in a thorough manner. SV is going to vote in favour during voting.
ParlaMint-NO_2013-12-13.ana.ud258e624	I will first refer to the statements made by the President-in-Office, who made a good presentation on these matters. It is also comprehensive in my view on the matter, and I am very pleased that the Committee unanimously endorses the government's proposal to incorporate the revised Dublin and Eurodac regulations into Norway's agreement with the EU on participation in Dublin cooperation. We have been part of Dublin cooperation since 2001, and it has been a very important agreement for Norway. Both the need to prevent asylum seekers from being treated in many countries and the need to have effective, correct and good practice is important in Dublin legislation, and some changes have been made through Dublin III, which also help to strengthen legal certainty for applicants. To illustrate the importance of this agreement for Norway, I would like to mention that the Foreign Affairs Directorate expects to meet approximately this year. 2500 decisions on the transfer of asylum seekers to other European countries, amounting to about 20 pst. of asylum seekers coming to Norway. Then my enthusiasm for Stortinget's rapid processing will also be expressed by the fact that we are obliged by this agreement from 1 January 2014, and it is important for us that the Stortinget has gone a long way to fulfil that possibility. The alternative would be that we no longer had a Dublin regulation. The amendments to the Dublin Regulation concern, inter alia: Prison, which has been the subject of several speakers, treatment of requests for deferred entry into service and early warning procedures for deficiencies in the asylum system. Several procedural safeguards are also introduced. In addition, there are indications that single minor asylum seekers with family or relatives in specific countries should be able to process their application in the country of residence. This means, among other things: that a minor seeking asylum in Norway but having relatives in another country may have his/her application processed there and vice versa. The Government proposes amendments to the Foreign Affairs Act to ensure that Norwegian legislation complies with the Dublin III Regulation. It is proposed, inter alia: to include an implementing provision in Section 32 of the Foreign Affairs Act. The purpose of the amendment to Section 106 of the Foreign Affairs Act on Seizure and Incarceration is, among other things. a. to make visible that specific rules apply to Dublin cases. I note that the Committee endorses the proposed legislative amendments. I also note that the member of the Socialist Left Party believes that the conditions of the regulation on significant avoidance risks are more stringent than the applicable requirements of the Foreign Affairs Act, and that was also mentioned in the post by the representative Karin Andersen from here. It is clear that the provisions of the regulation provide a certain room for interpretation, as the consultation round also showed. Future practices in the Member States and the Court of Justice of the European Union could have an impact on the interpretation of this provision. The proposed legislative amendment aims, inter alia, to: to ensure that the provision of the Regulation is interpreted in line with developments in law. At the same time, from my point of view, I would like to point out that based on the preparatory work for the regulation, I believe that this does not imply a real change in the legal situation that we have in use today. I have recorded that there are several of the speakers who have discussed the same interpretation. But that does not mean that we are immune to any changes in international law, which will be part of what will be the basis for future decisions also in Norway after Dublin III. The main objective of the new Eurodac Regulation is to address the challenge of fingerprint transfer and deletion, as well as Member States’ access to relevant information on asylum seekers in other Member States. The Eurodac Regulation will apply from 20 July 2015, but Norway must already notify the EU before the new year if we accept it, and I am very pleased that the Stortinget agrees with the government that we should accept it.
ParlaMint-NO_2013-12-13.ana.ud258e643	I should like to speak on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats. These are not always as simple things, you just have to admit it, but if there is a difference in the language used in the comments – and I have to bear a certain responsibility in that case as rapporteur of the case – the intention of the majority has not been to make changes in the assumptions made by the government and the proposition regarding the understanding of the meaning of the «best of the child».
ParlaMint-NO_2013-12-13.ana.ud258e648	I'm very happy to hear that. It was an important clarification from the rapporteur in Stortinget. The question then is whether the Council of State shares that view, which is that there are now no comments to be taken into account, saying that ‘states are invited’ to take account of the child, but that consideration for children ‘should be a fundamental consideration’, and that it is in that assessment for the sake of the children invited to make different assessments. There is a difference in substance, in order to encourage countries to base their best efforts on the child, is a major step backwards from the legal situation we also have today, where the child’s best ‘should be’ is one of the important assessment themes in dealing with these issues.
ParlaMint-NO_2013-12-13.ana.ud258e653	I did not comment on that in my post, because I expected the representative Karin Andersen to take a reply. But since she did not, I can confirm that the Council of State agrees with the views of the case-rapporteur on these matters and, of course, has brought the Storting's understanding of this into the further process.
ParlaMint-NO_2013-12-13.ana.ud258e658	Several have not asked for the floor for case No. Two and three.
ParlaMint-NO_2013-12-13.ana.ud258e664	Then we're ready to go to voting.
ParlaMint-NO_2013-12-13.ana.ud258e672	For this matter, a total of four proposals have been put forward. The following proposals are available: the proposals No 1 and 2, by Snorre Serigstad Valen on behalf of the Workers' Party, the Centre Party and the Socialist Left Party, the proposals No. 3 and 4, from Terje Breivik on behalf of the Left There is a vote on the proposals Nos. 3 and 4, from the left. Proposal No. 3 sounds: « State pension funds abroad
ParlaMint-NO_2013-12-13.ana.ud258e2119	There is a vote on the proposals Nos. 1 and 2 from the Workers' Party, the Centre Party and the Socialist Left Party. Proposal No. 1 sounds: « State pension funds abroad
ParlaMint-NO_2013-12-13.ana.ud258e5241	The President makes it clear that the Labour Party, the Christian People's Party, the Central Party, the Left and the Socialist Left are behind the vote, but the Left has announced that they want to vote against it. This means that the government parties and the Left are expected to vote against the option. So it's going to be a sharp hooting, and here the hall should tighten up so we get the right result!
ParlaMint-NO_2013-12-13.ana.ud258e7405	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_2013-12-13.ana.ud258e7415	The legislative decision will be taken until the second reading in a later meeting in Stortinget.
ParlaMint-NO_2013-12-13.ana.ud258e7427	There is no record. Thus, today's map has been processed. Does anyone require a word before the meeting is cancelled? - The meeting's been cancelled.
