ParlaMint-NO_2013-05-22.ana.ud309e26	The representative of Mr Morten Ørsal Johansen will put forward a proposal for a representative.
ParlaMint-NO_2013-05-22.ana.ud309e439	Firstly, it's hard because discussing with the Progress Party about the questions here is like discussing with a seminar. There are completely different opinions and completely different ways of saying things. Then you must go to the source: the application for the Progress Party. Programmes, including the proposals that I took the trouble to read through to the national meeting now, are not clear about a recognising man-made climate change, and the climate panel as the most important scientific source of action. As long as I've been in politics, I've been a strong fan of scientific debate and criticism. It's part of the foundation of science, and for one to move on. One example of this is the reports on climate sensitivity, which are not about questioning whether anthropogenic climate change leads to temperature rises, but on the extent to which concentrations lead to certain levels of temperature rises — those that are climate sensitive. It's incredibly important to debate – we certainly don't have the final answer. But it is not that the Progress Party has seen question mark. They have seen question marks on the very basis of the whole policy... [[President clubs]]
ParlaMint-NO_2013-05-22.ana.ud309e446	Nikolai Astrup – for follow-up questions.
ParlaMint-NO_2013-05-22.ana.ud309e449	The scientific debate is important, including in the climate area, and it must continue – there is much we do not know. But as important as the debate on science is the debate on what we are actually doing about action. The Progress Party demonstrated during the negotiations on the climate agreement in Stortinget that they were willing to participate in far more ambitious measures to reduce greenhouse gas emissions in Norway than the government itself had presented. Is it a bit embarrassing for SV and the government that the Progress Party was willing to go beyond what the government itself was willing to do to reduce greenhouse gas emissions in Norway? And: Was it for this reason that the government chose to exclude the Progress Party from climate comparisons?
ParlaMint-NO_2013-05-22.ana.ud309e454	The government presented an ambitious climate announcement just over a year ago, which, in my view, got a lot of praise. It contained many new tough measures. Even if we now see a decrease in CO2 emissions in Norway, we need an even stronger decline in the years that are coming. So we went to the opposition section, as we did the previous time, to become a few about a broad settlement. The main reason is that the value of long-term and broad support for climate change policies is very high. The situation was that we first tried to be some with four games in Stortinget. We weren't. Then we were able to become some with the three opposition parties Left, Christian People's Party and Right. The result speaks for itself. We were able to get along with the three games. The representative Astrup is bored for tactical reasons that he didn't get the Advance Party. Well, I think the brutal truth is that a party that doesn't believe in the problem didn't create a good basis for being some, but we were some... [[President clubs]] [[The President Clubs Again]]
ParlaMint-NO_2013-05-22.ana.ud309e464	Kjell Ingolf Roppstad – for follow-up questions.
ParlaMint-NO_2013-05-22.ana.ud309e467	I'm really very tired of discussing whether it's man-made climate change. I have no doubt that it is. That is why, as the representative of Astrup says, we need to discuss measures and move on. The Swedish Minister for the Environment has now spent eight years. At least I'm not satisfied with what's happened in Norway in the last few years. When we compare ourselves with Denmark and Sweden, in those countries it has been 16 and 21 pst respectively. cut in greenhouse gas emissions since 1990. In Norway, this has increased by almost 6 pst. since 1990. We're far from the way we should be. The commitment of the Minister for the Environment – what he says – is so right. He's eager to cut greenhouse gas emissions. What I think is the main problem in Norway is that it is politicians, like Solhjell, who are so clear, but who do so little. My question is: what will the Minister for the Environment do in the next few years, which he has not been able to do in eight years? How much time does he need to do something?
ParlaMint-NO_2013-05-22.ana.ud309e472	Let's go through the picture briefly. The situation is that Norwegian greenhouse gas emissions have fallen in recent years. Emissions from the last year for which we have figures, which is 2012, are, with the exception of the financial crisis year, the lowest since 1995. Both the overall greenhouse gas emissions and CO2 emissions have fallen in recent years – in our period. If that trend continues, emissions will go downwards towards 2020. But if we're going to achieve our 2020 targets, they're going to have to go down a little bit more in the year to do it. Therefore, it was important to provide a climate communication and become a few about a climate settlement. Message contains several actions. Some of them are starting this year, others in the next few years, such as phase-out of oil fires, technology funds, transport-side measures, etc. Many of them will have a significant effect. That's why it's actually realistic to achieve those climate targets. I also want to challenge the Christian People's Party: they are some of us in that policy – we have made a compromise in the Stortingen on an ambitious policy. There may be a need for more in the years to come. [[President clubs]] In that case, we must be willing to look at it...
ParlaMint-NO_2013-05-22.ana.ud309e480	The President will stress that speaking time actually applies to state councils. The next and last main questions are asked by the representative Nikolai Astrup.
ParlaMint-NO_2013-05-22.ana.ud309e485	Things often take too long. It also applies in the Ministry of the Environment. Unfortunately, there are many examples. Take, for example: Lier kommune: For several years you have been working on developing a fjord village called Lierstranda. The plan is clear, and a city with 20,000 inhabitants in the central eastern region can be realised – it is housing we need. The area will have direct access to road and rail. However, the railway works have raised objections, and the case has been on the Council of State's table for more than two years without clarification. The case in Lier Municipality is not unique. IKEA on Danebu, between Larvik and Sandefjord, is another example. The clarification from the ministry took two years. Another example is the E6 at Åkersvika, where the Ministry of Environment has spent four years evaluating different options for vitracees in a wet land area. As the Workers' Party Knut Storberget said, it has taken too long. It's easy to join it. In Bergen, Blomsterdalen was environmental housing, the construction of several hundred passive houses, for treatment for one year. Disagreements between State authorities required a total of three years of treatment before the final approval of the project. The point here is not to go into the individual matters, which certainly have demanding aspects. The point is the disproportionate length of the procedure. The question to the Council of State is whether the Council of State can defend that it takes so long for the Ministry to take decisions on these matters, and whether it is possible to see how unfortunate this is, both for the municipalities and private actors, who have to wait year after year for a clarification in important and large projects.
ParlaMint-NO_2013-05-22.ana.ud309e494	As I have said before here from this talking room about Åkervika-saka, I think that four years is unacceptable for a long time to deal with a matter. It should and should not happen. There are also examples of other issues that are going on for too long. I would like to add that three of the four issues that were mentioned here are those that I decided in my time in the Ministry of the Environment, and that are being implemented in different places in Norway. The discussion of how to deal with insider dealing – as a copy mentioned – is an important discussion, because we need the depository institution. However, we do not at least need urgent and prudent procedures for municipalities and others to build up. That is why I am now working on reviewing this and making improvements. The most important thing we have to do is be done locally and regionally. That's because 99 pst. by matters of regulation and planning to be decided locally. Only about 1 pst. will be sent to the Ministry of the Environment. However, the one percent is important and must be treated well and efficiently. That is why we are now considering setting time limits for proceedings at different levels, so that one can get more rapid and prudent proceedings on insider dealing. Most people can accept that a case is complex, and even that it can take some time, but that it is far-sighted, is important for those who want to build it. Then I have to add that the average duration of the proceedings in the Ministry of the Environment is considerably shorter than all the cases mentioned here. Many things will be able to be treated quite quickly. But one will also be able to find examples of things that are big and complex, where there are processes. The discussion about Lierstranda is an example of this. We're there depending on the rules of the state of affairs. Nevertheless, it is a clear objective to bring down the length of the procedure, and we therefore consider deadlines.
ParlaMint-NO_2013-05-22.ana.ud309e503	Today, 22 state bodies have the right to object. Objections are raised to 50 pst. of the area part of the municipal plans. If you include statements of objections, which have gradually become an established practice to avoid objection, but which leads to the same thing, namely building stop, we're up to nearly 100 pst. This was between 2007 and 2010. We know that the number of objections increased by 33 pst. from 2005 to 2009. In Hordaland, there were 44 p.m., and that was before the present state joined, so then we can imagine that something might have become more after that time. The question is what the Council of State does to coordinate and streamline the objections that exist between state agencies, also in concrete terms, in order to reduce the duration of proceedings in the Ministry of the Environment for the matters that end there.
ParlaMint-NO_2013-05-22.ana.ud309e511	Just to clear up a little bit of the facts: if you look at the area part of the municipal plan and at the regulatory plans – and the regulatory plans are by far the most – then some-and-30 pst. of which met with countersigns. But it has been a slight increase over a few years. It is also used as an argument for an early reporting on or notifying of national interests. I would like to say that there are at least many examples of how it seems to be so clear that the state at an early stage reports that there may be a contradiction here if you do not make small adjustments, do something. On the contrary, many municipalities say that it is better to be informed early than just to be met with a counterclaim later. However, the most important thing is that we work on this, going through practice when it concerns the counterinstitution. The aim is to speed up treatment, to ensure that government interests come in earlier, and to coordinate, with a view to making an effort in some countries now. We also consider temptations.
ParlaMint-NO_2013-05-22.ana.ud309e520	Follow-up questions will be raised – first Siri A. Meling.
ParlaMint-NO_2013-05-22.ana.ud309e523	If there's something this government has done, it's getting a huge increase in the number of bureaucrats. It concerns both the Ministry of the Environment and underlying agencies. As far as time use is concerned, this cannot be a matter of lack of procedural capacity. The question is whether this use of time is due to the fact that there is a great deal of internal disagreement in the government – as we also see in other areas, is there a lack of implementation – or does the Council believe that time use is proportional to the quality of the decisions that are finally taken?
ParlaMint-NO_2013-05-22.ana.ud309e530	Most of the decisions of the government and the Ministry of Environment are implemented in a much shorter time than the single examples referred to here. As I mentioned, in the one case, it's been used too long. The reason why we're now going into this is because the counterinstitution and how we practice it is important to ensure good progress in planning and development across Norway. 99 pst. of the matters in question, settled locally. I think we can easily be sure that the most important thing we have to look at then is the regional and local level and how we can quickly and smoothly make processes work there. I instead list a number of measures we are now considering looking at to get it done. In addition, it is important that the matters that end up on the government’s table be decided quickly. It is done in many cases, but there are examples of the opposite. That is why we consider setting deadlines to ensure a careful and good procedure that is fast in those cases as well.
ParlaMint-NO_2013-05-22.ana.ud309e539	Kjell Ingolf Roppstad – for follow-up questions.
ParlaMint-NO_2013-05-22.ana.ud309e542	That objection is not necessarily a sign that things don't work. This is how it should be – if state guidelines are broken, objections should be raised. For me and for the Christian People's Party, there are different considerations that weigh each other up. On the one hand, one has wanted it to be determined locally, and on the other hand, the responsibility of the administrator, that one has certain interests to care for, whether in the case of nature reserves – which we were in place for – or soil protection. This is balanced against each other. In as many cases as possible, we hope that it can be decided locally. That is why I very much agree with the Minister for the Environment that the Opposition Institute is important. However, the main challenge, as we see it, is that in order to ensure legitimacy – as the representative of Astrup also pointed out – the procedure has to go down. It must be done as quickly as possible and it must be as easy as possible to handle for the builders. I have heard the Minister for the Environment repeatedly say that now is the time for the proceedings to go down. What's actually going to be done concretely? I do not feel that we get an answer.
ParlaMint-NO_2013-05-22.ana.ud309e551	The procedure must be as expeditious as possible, but as thorough as necessary — it is also necessary to carry out thorough and good practice. Let me go through the four tracks we're working on in the review of the counterinstitution that will be presented by the government. The first is that we're going to cut the time, make the processing faster out there 99 pst. of the cases decided. The second is that we should make it clear that government agencies that have countersigns have to enter the process early – most people can accept counter-statements if they get it early. The third is coordination, that the various state agencies are being coordinated into one counterinstitution, with which we are now going to conduct trials. The last is that we also consider deadlines for the proceedings, including those in the Ministry of Environment.
ParlaMint-NO_2013-05-22.ana.ud309e558	The oral question procedure is over.
ParlaMint-NO_2013-05-22.ana.ud309e570	There will be a few changes in the set question list. In this context, the President refers to the list distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 2, from the representative Tom Staahle to the Minister of Defence, has been transferred to the Minister of Labour, who is directly responsible. Question 3, from the representative Bjørn Lødemel to the Minister of Knowledge, is postponed to the next Question Time, as the Council of State is absent due to participation in the funeral.
ParlaMint-NO_2013-05-22.ana.ud309e585	Time usage was a theme in the previous round of questions – it will probably be now. I would like to ask the Minister for Economic Affairs and Trade: ‘The Ministry of Economic Affairs and Trade is the owner of Folldal Gruver, which has contaminated Folla River for years. Cleaning has been repeatedly exposed despite the gravity of the situation that fish do not live in the river. Last year, the Environment Minister promised that pilot plants would come in 2013 and final clean-up would be in place from 2014. Now everything is exposed, and the municipality threatens to take action and send the bill to the mine owner. How does the Council of State view the challenge, and what will it do to prevent the municipality from taking action?’
ParlaMint-NO_2013-05-22.ana.ud309e594	I thank you for the question and will first stress that a number of measures have already been implemented in Folldal. Measures for the collection of clean water were implemented in 2005 before draining to the contaminated masses so that less water flows through the contaminated masses. Corresponding measures for the collection of drainage water within the mine area have also been implemented in 2006 and 2007. A project called ‘Pilot Project — Wet Land’, based on a previous cleaning measure at Røros, has been further implemented. The pilot project started in the autumn of 2006 and ended in the autumn of 2009. The conclusion was that the system was suitable for small quantities of water and for even water flow. In periods of high flow, further cleaning measures are necessary and therefore this project was not continued. Thus, despite these measures implemented, it has not yet been possible to reach the level imposed by Clif. I can assure you that we are still working too hard to find good, future solutions for the pollution situation in Folldal. It is not true what some have claimed recently, that ‘everything has now been put at risk’. I am committed to finding the most appropriate solution for pollution control measures in Folldal, in accordance with the requirements of the Climate and Pollution Directorate, as soon as possible. In the investigation of action options for pollution control measures on the Onion, the Directorate for Mineral Management has received new information on clean-up technological solutions that may also be relevant for the assessment of the situation in Folldal. I would like to stress that there has not been, or is being, any decision on how we proceed to implement pollution control measures in Folldal, before we have conducted sufficient discussions with the Municipality of Folldal. In other words, we will neither postpone the tendering process for the pilot plant nor decide on other matters until we have discussed this with the municipality. I am aware that the Directorate of Mineral Management has agreed to a meeting with the Municipality of Folldal on the matter on 30 May 2013. I understand – and share – the impatience in the matter. It is important to put these measures in place as soon as possible. At the same time, it is unfortunate that by ignoring new, relevant knowledge, we are at risk of getting a worse total solution for Folldal. Therefore, we need to take this further into account in the evaluation of the process and find the solutions most appropriate for the pollution situation in Folldal. I am committed to rapid progress in the matter, so that we can implement the measures as soon as possible. I am also concerned about having a good dialogue with the municipality about the further process and the forward-looking solutions for Folldal.
ParlaMint-NO_2013-05-22.ana.ud309e618	I thank you for the answer and I know a certain humility at the Council of State. I think that's good, because it's a complicated situation. However, the concept of ‘as soon as possible’ is on the move to lose all content in the community. It's serious. When local authorities also write to a leader about frightening paralysis, this should be taken seriously. It is now ten years since Clif brought orders to the Ministry of Industry and Trade as the mine owner to clean up. I cannot interpret the situation other than that everything is exposed, because in January there was an e-mail to Folldal Municipality where Dirmin, the Directorate for Mineral Management, clearly says that it is only days to do before the tender documents for a pilot plant are ready, and that they cannot attend a meeting because they have to complete the tender documents. Now nothing happens, so I'm asking the Council of State to go back and look at it.
ParlaMint-NO_2013-05-22.ana.ud309e625	I believe it is a false description of reality to say that nothing is happening, but I think we just have to realize that neither the questioner nor the Council of State are experts on cleaning solutions or pollution control measures. At least I'm not – I'm not going to talk to the representative. It is best for professionals to make these assessments. It is clear that when the directorate contacts us and says that knowledge from the loop may be relevant here too, it is a responsible procedure to take it seriously, but it is to be done quickly, and it is to be done in consultation with the municipality. It says neither on will nor on money when it comes to implementing these measures, it's just to find the best and right solution for Folldal. There I think it's a broad consensus, and as I said, it's not like nothing's happened in ten years. Some measures have been taken, and now we're going to put the rest into place.
ParlaMint-NO_2013-05-22.ana.ud309e630	It is not difficult to agree with the Council of States – I am no expert on this either. I understand that it is a very complicated run-off situation, and therefore it is also strange that the bureaucrats now use it with knowledge from the loop as a foundation, for it has been said in the past that each mine is so complicated in itself that you cannot transfer knowledge from one mine to another. Here you can use the reasoning a little bit. I also think the Council of State, which governs business for the day, should take very seriously that the Vice-President of Folldal, who is SV-representative, has been out saying that if it had been a private owner, it would not have allowed the time spent with the State as its owner. These are pretty serious accusations, and it makes sense by the very trust in our management society, so I ask the Council of State to at least use a lot of resources to follow up the situation and get speed on this right here.
ParlaMint-NO_2013-05-22.ana.ud309e637	To the last one, I can assure you that we will. We're going to follow up the case, we're going to keep it up, and we're going to find a good solution for Folldal. I do not experience any kind of training from the directorate, I experience the same willingness to get solutions in place, but that there are some technical assessments to be made, and that will be done in cooperation with the Municipality of Folldal. I would also like to add that there will always be new technologies, new solutions, new knowledge, but it must not prevent us from implementing the measures we believe are best at the moment. We have to cut through and get a solution.
ParlaMint-NO_2013-05-22.ana.ud309e648	This question, from the representative Tom Staahle to the Minister of Defence, has been transferred to the Minister of Labour who is directing him.
ParlaMint-NO_2013-05-22.ana.ud309e651	‘In Eastern Europe on 16 May we can read about an Afghanistan veteran’s struggle for compensation after being life-threateningly injured in service for Norway in Afghanistan. This fight has now been for almost 6 years. Is this something the Council of State believes that public Norway may be familiar with, and when will the soldier receive the compensation he is entitled to?’
ParlaMint-NO_2013-05-22.ana.ud309e658	We've just marked veteran's day on May 8th. The government has established the veto date for honoring all veterans and veteran families from World War II until today's international operations. After World War II, over 100,000 Norwegians have served in various international operations. Most have come home strengthened, but some have unfortunately been injured. These must be met with respect and properly and properly treated in the auxiliary equipment. I understand that some people who are injured in international operations may experience that it takes some time to deal with their cases. The representative’s question concerns professional damages. It is the State pension fund that deals with these matters for defence personnel. I cannot go into this matter specifically, but I can say a little about how these matters are dealt with. It is mainly the economic loss that is to be replaced. Final settlement shall be made when the probable permanent incapacity and the amount of annual expenditure can be determined. The compensation is settled in the form of a one-off payment for future loss of income and future expenditure. For young people it may take time from the damage to final settlement. This is because it is necessary to see how the damage stabilizes and how any training takes place before it is possible to clarify future working capacity. A future level of expenditure shall also be established based on the need for practical means. This depends on the rehabilitation and adaptation of the victim to a new life. During the course of the proceedings, a close dialogue has been established with the injured party and payments are made in the course of the procedure to cover current loss of income and expenditure incurred. I believe that the government has put in place good arrangements and measures that mainly meet the needs of the veterans after the end of their service in international operations. There is good cooperation between the various public authorities. Unfortunately, there are matters that take some time. This applies, inter alia, to: in cases involving young people in education.
ParlaMint-NO_2013-05-22.ana.ud309e667	My speed in this room is quite short, but during the weeks I have been in and served as a representative, I have heard representatives of the government speak warmly about the efforts they make for our veterans. But when I register this matter in the Eastland, I have to say that there are a terrible number of words of honor and little action. The Minister of Defence said earlier that: «Veteran care shall not at least mean that those who have problems afterwards receive proper assistance at the right time.» It stands in stark contrast to what this soldier has experienced, which has now fought for six years. Does the Council of State consider Norway to be familiar with the use of honorary words and not provide the right action to ensure that these veterans are actually properly cared for?
ParlaMint-NO_2013-05-22.ana.ud309e677	As mentioned earlier, I cannot go into this particular matter, but it will often be that matters that take a long time are matters where there is disagreement. In addition, there is often a long time to deal with cases where the degree of disability and residual working capacity is to be clarified. It is linked to the fact that it will always take some time before the body is healed and stabilised, and consequently the future health situation may be uncertain. The average processing time for major damage is about five years, precisely because of the circumstances I have previously explained.
ParlaMint-NO_2013-05-22.ana.ud309e682	The subject of complaints dealing with the compensation scheme for injured soldiers has a significantly different understanding of how the regulation should be applied in relation to the State pension fund. What does the council responsible for this do to clean up, so that this soldier and other injured soldiers can get compensation at an earlier time and not have to wait six years?
ParlaMint-NO_2013-05-22.ana.ud309e687	What we have done is to develop an action plan called ‘Serviced for Norway’. We have developed it in close cooperation with the organisations that represent people who have been involved in different operations. It consists of 126 actions and is interdisciplinary cooperation between the Ministry of Defence, the Ministry of Foreign Affairs, the Ministry of Justice and Defence, the Ministry of Health and Welfare, the Ministry of Labour and the Ministry of Children, Equality and Inclusion. What is the starting point for some of these issues is that there are issues of residual working capacity. It will often take a long time to figure it out, because it is not necessarily clear when you have been injured how much residual ability you have. Some of the cases where there are major injuries take a long time.
ParlaMint-NO_2013-05-22.ana.ud309e705	This question is postponed to the next Question Time, as the Council of State is absent due to participation in the funeral.
ParlaMint-NO_2013-05-22.ana.ud309e712	‘People living in Sweden who lose their jobs in Norway have financial problems as the waiting time for daily allowances is once again unacceptable. The problem has lasted for several years, despite the fact that the government is aware of the situation. I refer to written question No. 351 and Question Time Questionnaire answered on 23 March 2011. [[2012-2013]] Will the Council of State now increase capacity and, in cooperation with the Swedish authorities, ensure that the unemployed who are waiting are quickly paid their daily allowances?’
ParlaMint-NO_2013-05-22.ana.ud309e719	I believe that the issue concerns the issue of SED U1 – a certificate in the old regulation – to the transfer of day-to-day allowances for residents in Sweden. The certificate is a basis for the Swedish authorities to assess whether there is a right to the payment of daily allowances under Swedish legislation. The expected duration of proceedings is eight weeks per end of April, irrespective of country. In the last six months, the length of proceedings has varied from six to eight weeks. About 50 pst. of the applications received concerning this matter are missing the necessary documentation. It is difficult to complete these applications before the necessary documentation has been obtained, and there is an important reason why the time will not be shorter. The State of Labour and Welfare cooperates with the corresponding authorities in Sweden. Cooperation has a particular focus on improving the flow of information between countries, so that applications for daily allowances can be paid more quickly. The situation is that the Swedish authorities have direct contact with some of the users applying for the issue of SED U1. I hope that this contact can help increase the proportion of complete applications. Several complete applications will then reduce the duration of the procedure. The number of case handlers working on their issue has increased in recent years, and the length of proceedings has actually been substantially reduced from the 19 weeks to which Mr Giltun referred in written question No. 351 for 2010–2011. However, today’s eight-week trial period is still too long. In addition to working to increase the proportion of complete cases, the Directorate of Labour and Welfare has briefed me that they will assess, both in the organisation and staffing of this area, whether capacity is good enough. It is a challenge that the number of issues addressed by the Labour and Welfare Department in this area has increased significantly in recent years. The Directorate of Labour and Welfare has assured me that they are monitoring the development of the number of cases and see whether it requires strengthening the capacity of proceedings.
ParlaMint-NO_2013-05-22.ana.ud309e730	I have to say that I am very satisfied with the answer, and it seems that the Council of State has followed up this matter. According to what I hear, it's eight weeks' waiting time. That is not in line with the enquiries I am receiving. I have been contacted by people who have waited 16 to 18 weeks after submitting complete application documents. The last time they contacted me, before I sent this question-time question, they learned that their case was no. Twenty-five in line. On the next enquiry, it had moved down to No. 121. The explanation was that when the matter was not dealt with within the deadline, they had placed it at the bottom of the pile. I don't understand why it's supposed to be so complicated for people who lose their jobs, to apply for a daily allowance. They are through a paper mill with applications and waiting times both at Nav Utland and Swedish «a-kassan» afterwards. Can't better cooperation help these unemployed to get these daily allowances faster?
ParlaMint-NO_2013-05-22.ana.ud309e735	It is certainly not that if a case has not been dealt with within the deadline, it should be placed at the bottom of the pile. It is then that the matter that has been waiting a long time should be dealt with first. It is quite obvious, as the representative points out, that better cooperation with the Swedish authorities is the most important thing we can do in the process of bringing down the processing time on these matters. What is the situation is that we get a lot of Swedish workers to Norway. They do a very important job in the Norwegian labour market, but when the number of applicants has increased so much, there have been problems with Nav’s capacity. However, I am pleased that the procedure has fallen considerably. If this applies to all matters, it is not possible for me to comment now. Of course, I do not have the opportunity to comment on a single matter here from the Parliamentary Chair.
ParlaMint-NO_2013-05-22.ana.ud309e742	The reason why I have not addressed this individual matter before is that you should not deal with individual matters here. But when this case pulled out like that in time, and I saw how these people were throwing balls in the system, I thought it was time to raise the matter again and get a little focus on it. Because this is not a problem that disappears. As the Council of State says, in Norway we have very many workers from Sweden — and also from other countries — and we must have capacity to adapt to the needs that will arise, even when these people lose their jobs. They have acquired rights – a guarantee of income via a daily allowance. It should come into force quite quickly after they lose their jobs. What happens is that Nav and, in the worst case, the social offices also get extra work, a lot of extra bureaucracy and a lot of extra requests, and the people get into an economic situation that can have consequences for them in the future. So I hope the Council of State will follow up this case and contact those who have to do with it, so that they get faster treatment – that there are no such things happening.
ParlaMint-NO_2013-05-22.ana.ud309e747	I thank you for the question, because it is an important matter the representative focuses on. I can also assure the representative that the directorate is following this situation very closely to see if there is a need to strengthen the number of case handlers in this area.
ParlaMint-NO_2013-05-22.ana.ud309e756	The question to the Minister for Agriculture and Food is as follows: ‘According to a AgriAnalyse research report, both milk production and sheep farming result in significant losses with current agricultural performance and existing investment grant limits if they expand their activity with initial investment. With the report as a starting point, will the Council of State take the initiative to see whether there are production restrictions or agricultural subsidy schemes that also help to ensure that investment in increased capacity does not increase profitability?’»
ParlaMint-NO_2013-05-22.ana.ud309e765	AgriAnalyse – formerly the Agriculture Investigation Office – aims to be a professional premiscuous provider and a competent investigative environment on agricultural and agricultural policy issues. There are many interesting and useful investigations from them to address agricultural policy issues and to debate. Research reports will be significantly influenced by a number of choices and assumptions included in the calculations. If other assumptions were chosen in the report, such as the representative Fleet denominator, e.g. that initial investment reduces labour consumption, the results would be different. The size covered in 2012 Communication No 9 on agricultural and food policy. The Communication sets out a number of policy objectives. Central here is, among other things, facilitating agriculture throughout the country with a view to food production, value creation, housing, employment and the preservation of the cultural landscape. In order to achieve good objectives, it is important and necessary and assess the whole of both objectives and instruments. It is therefore necessary, inter alia, to have a milk quota system that ensures that milk production is maintained in all counties and that subsidy schemes, which stimulate a varied use structure, are adapted to the geographical framework conditions that vary significantly in the country. I want to inform you that there are only a few farms that currently actually produce up to the milk quota ceiling. This means that most producers can increase their production in the current legislation through the purchase of allowances. For other bovine and ovine animals, there are no such production-regulating restrictions today. A majority of the Business Committee is committed to asking the government to facilitate good income development for active farmers — both large and small in scope. The main prerequisite for stimulating profitable investments is that output yields. I believe it is good evidence that the red-green government has followed up in a different way than the government before us. We have just carried out an agricultural settlement that increases the incomes of the agricultural industry by approx. NOK 31000 per year, which is more than for other groups. In the same agricultural situation, we have also made changes to investment instruments to stimulate initial investment. I would also like to remind you that the red-green government has increased the depreciation rate for livestock buildings from 4 to 6 pst. and amended the legislation to make the B grants depreciable in the district policy area. The agricultural budget item predicts an increase of 3.6 pst. in investments, excluding capital appreciation in 2013. This includes growth in building investment and almost unchanged investment in machinery and equipment. This is before this year's agricultural settlement, which I both hope and believe will contribute to increased optimism and even greater confidence in the future and investment in agriculture.
ParlaMint-NO_2013-05-22.ana.ud309e776	I thank you for the answer, which is interesting enough. I believe that the Council of State does not place so much emphasis on research reports coming from AgriAnalyse because they do not take into account the whole of the government's agricultural report. But the essential thing here is, as the Council of State points out, that production must yield returns – not only must it yield returns, it must give the most return possible, so that it gives profitability to new investments and to increase just the income that is still under discussion and that we have just had a round in the context of the agricultural notification. I have to repeat my question: does the Council of State not see that there are at all production restrictions, distortions in subsidies, which make profitability worse?
ParlaMint-NO_2013-05-22.ana.ud309e783	One of the most important things about the profitability of investment is that it is profitable to produce products. What we did now in connection with the agricultural settlement was a follow-up to the customs procedure we did last autumn that gave increased opportunities for price development, among other things. on milk, where we increased the target prices by 23 ears. The most correct way, I think, to contribute to industry's profitability is that people can afford to pay off the investment by making money on the products they produce. The change in customs was important to me and the government, because one could then have a price and an instrument in the future – that those who are capable and good producers are paid to be so, and that thus they also get the will and ability to make new investments.
ParlaMint-NO_2013-05-22.ana.ud309e788	It's not the first time I've dealt with these things. As always, state councils are fleeing into a customs debate, but that's not what this is about. My question is whether the Council of State is willing to see whether there are any restrictions on production ceilings, regulation, in the arrangement of budget support that prevent it from exploiting capacity and getting full profitability. Because that's not what the Council of State says, that there's only price and subsidies that provide profitability. Of course, it contributes to profitability, but if there are restrictions that prevent the use of capacity in order to increase the return and profitability of single use, I cannot understand that it may be a problem for the Council of State to take an initiative to go in and at least look at it. He doesn't have to promise me any of the world's things other than that he thinks it's a good starting point.
ParlaMint-NO_2013-05-22.ana.ud309e793	There is no doubt that for a milk producer who produces – let me say – 300,000 litres, it is for her or him a great advantage that you can get better money for your product. It gives better profitability. It's impossible to disagree with. It has contributed to the customs handling that Svein Flätten opposed, that we can now manage to get done. Then that's the other means we have of agricultural policy. I have a very practical relationship with it and make changes when it makes sense, like I do. did on the concession law for chicken earlier this winter, where I saw that there was a capacity, and there was the opportunity for the market to do so. But those who think that you can only change the concession laws blindly, are very wrong, because you see now, for example. in the pig industry, where we have overproduction, that the biggest challenge in this year’s settlement is the situation in pigs because they are unable to collect the target price, they get a higher turnover tax and lose a lot of money on it. Changes to the legislation on food production must be made very carefully so that it cannot contribute to overproduction problems, because overproduction is very expensive for the farmers who have invested in Norwegian agriculture.
ParlaMint-NO_2013-05-22.ana.ud309e800	That being the case, it is no. 2 completed.
ParlaMint-NO_2013-05-22.ana.ud309e813	There is no record. Does anyone ask for the word before the meeting is cancelled? - The meeting's been cancelled.
