ParlaMint-NO_2013-03-07.ana.ud1208e36	The representative, Kari Henriksen, who has been on leave, has once again taken his seat.
ParlaMint-NO_2013-03-07.ana.ud1208e707	We live in a changing world. The major challenges facing the world's society are breaking national borders. Climate crisis, economic crisis, increasing inequality, social unrest and human rights violations can only be resolved jointly. At the same time, we see that new powers are coming forward, and that we have a change in the balance of power in the world. Therefore, discussing the role of the United Nations in this development is very interesting, because the world looks different today than it did when the United Nations was established. We need to ask questions about whether the organisation is able to meet the challenges we are facing. Norway has always been a strong supporter of the UN, and still wants to be. The UN has a number of functions and roles. The UN has a normative function and is responsible for ensuring the international legal order. It's important. But we see that there is a gap between the development of standards and the actual implementation capacity. The UN has a role as the organisation that can legitimize the use of power, but we know that when the Security Council does not agree, as in Syria, legitimacy can be challenged. The UN should also be the great protector of human rights while at the same time playing a central role in development and global common good. The organisation therefore has a number of tasks that it must be able to perform. Many things work well in the United Nations today, but it is quite clear that there is a need for reforms to make it more effective and to achieve results. But it assumes that the Member States give the organisation strength to do that job. Reforms are needed at all levels. The Communication addresses the need for reform of the Security Council and it is clear that the Security Council needs to be reformed. The power conditions in the world have changed, but it's not reflected in the composition we have today. And there's a lot of disagreement about how it should be. And then we have the discussion about the veto right. There's also a lot of disagreement. For example, the five permanent members would like to see not to waive it, nor to allow new members, possibly new permanent members, to obtain it. So reform of the Security Council is not easy. But I think it is important that Norway continues to keep that tab high. As the Committee's chairman also said, it is the International Women's Day tomorrow. Then it feels natural to say a little about the importance of the UN for women's rights and for equality. For Norway, it is essential to promote women's rights in international forums, and in particular in the UN, because the UN is important for women. Through the Women's Commission and the Women's Convention, women have been put on the agenda, and most countries have actually committed themselves to abolishing discrimination against women. We have a number of resolutions. We have established UN Women. Over the thousand-year-olds, we've also had a powerful women's campaign, such as the fight against maternal mortality, to mention something. So it's doing a lot of important and good that means a lot too many. But now, as the chairman of the committee also said, we feel that established rights have been put under pressure. We see that we have an alliance of conservative states, non-governmental organisations and religious communities that systematically work to weaken the work that has been done and that Norway has gone into the break for. In particular, the sexual and reproductive rights of women apply. These days, the UN Women's Convention has brought together ministers, NGOs and gender equality actors in New York for its annual meeting, where this year's theme is the abolition and prevention of violence against girls and women. Last year you didn't have the ability to come up with a final document, precisely because there was a campaign of those I mentioned, and the same thing happens this year. It's the most incredible alliances, with the Vatican at its head, allying with, among other things. Iran, which has brought with it many other countries, both Catholic and Muslim, and conservative forces in the United States – now I thought the Vatican had other things to worry about a day. This situation is very serious. I must say that I am proud that we have an equality minister who spoke against all these when she made her contribution to New York. It was brave, but also necessary. Then we're going to have to hope that we get a final document this time, but Norway must never agree to a document that weakens the policy underlying it today. Norway is still going ahead for equality, and we have to work long-term and hard if we are to succeed.
ParlaMint-NO_2013-03-07.ana.ud1208e730	I would first like to thank the chairperson of the Committee for the good work done on the matter and for contributing to a very focused position that has a general view, but nevertheless focuses on some of the main challenges. I'll be allowed to start with that also the two previous speakers were inside, the women's perspective. I was present at the UN General Assembly when the first government was to be elected in the UN Women. Then I was very satisfied with Norway's work. It's not always in such contexts – you're largely satisfied, but here I was very pleased when Norway used its influence to prevent Iran from getting a seat on the board of UN Women. It was an important mark – creating alliances and being clear on who does not deserve a place in such an organisation. I could wish for more of that clarity in other contexts and in similar cases when it comes to women, it's about universal human rights, freedom of expression, etc. – not just that we are clear, but we could work to prevent countries like Iran and its counterparts from getting a seat on the starboard. In Norway, we are extremely religious in the United Nations, and asking challenging questions about the United Nations in this country is probably one of the most politically incorrect things to do. The current perception is that the UN represents international order, peace and human rights. No other international organisations can compare with the UN in confidence and popular support. As you can see, the UN is in a special class. I will by no means try to rock this fundamental image of the United Nations, because the United Nations is important and irreplaceable, and the United Nations serves Norwegian interests. If the UN did not exist, the establishment of such an organisation should be at the top of our political agenda. The law of the sea and international law have been mentioned. I'm not going to go further into it. When we and others come up with criticism of the UN, it's not about tearing down the organization, but rather about making it more effective, better able to solve its tasks and not least be even clearer in relation to its mandate. It is said that the UN does not get better than the Member States allow. That is quite right, but the UN is based on some values that all countries have committed themselves to. The goal must be that the UN helps all countries to reach these values – one must measure towards something. Letting members who are obviously authoritarian to define the priorities challenge the foundation of the United Nations, and it challenges us as democratic states. Although we believe the UN is important and absolutely necessary as an international actor in many areas, we should not be naive. We see that several of the areas in which the UN would naturally play a role are in the process of being taken over by others, in whole or in part. This applies, for example: in health, but also at a more general level in relation to the G20 and the challenges there. It is not necessarily an expression of deliberately undermining the UN, but it is a clear signal that the UN lacks efficiency and often implementation. That is why there is an alarming need for reform. Without the necessary reform, we are at risk of the UN being played out and less relevant. Being clear in the demand for reform is not a reflection of negative attitudes, rather the opposite. The problem does not seem to agree on the need for reform, although the kind of reform you want is not always as easy to see. The main problem is to implement it. Norwegian administration may seem very conservative, but in relation to the United Nations, even the Ministry of Finance appears to be a dynamic and changeable entity. Although the fronts of the reform debates are certainly moving and the alliances differ from what is being discussed, it is often so that countries like Norway and other major contributors are stronger in the desire for reform than countries that do not fund the organisation in the same way. We have to ask ourselves how long we will continue to finance such a large part of the organisation unless those who are most dependent on our contributions are not willing to implement the necessary efficiency improvements. Duplicating activity is a core problem, the need for tighter mandates as well. This, of course, applies throughout the UN family. Something's happened. Some parts of the UN have come a long way, others a lot shorter. It may not be that any global problem needs a new UN organisation or at least a large conference or series of conferences. It is a paradox that it is more cost-effective to operate the United Nations agency GRID-Arendal, which is an office under the United Nations Environment Programme, UNEP, here in Norway than to operate an ordinary United Nations office in Nairobi, because GRID has a looser link and can free itself from the United Nations' rigid organisational requirements. Moreover, I would like to commend the GRID-Arendal for the job they do not least to assist countries in clearing their base off their own coast. This is practical work that is involved in and supports the Treaty of the Law of the Sea. When they are as effective as they are, I am not afraid that Norway – and if not Arendal – will have more UN activities, but that should be done under the same conditions as for GRID, so that reform is actually implemented by depriving itself of something from the UN bureaucracy, but nevertheless maintains a professional and political link. Security Council reform is absolutely an important objective, but we are of the opinion that this is not a topic where a lot of political and diplomatic energy should be used. There are good reasons to discuss changes, but it is also very unlikely that such changes — at least major fundamental changes — will take place. We think energy should be focused elsewhere. Why in the world would one of the five permanent members of the Security Council, who also have veto, renounce this? It's very unrealistic. All countries are the same, but some are obviously less similar than others. The hate object in the UN is Israel. No other country gets so many country-specific resolutions targeting itself. In 2011, there was more than twice as much condemnation of human rights violations in Israel as in Sudan. Sudan was number two on the list and Syria number three. Even during the worst acts in Syria, various UN institutions have spent more time and energy on Israel than on Syria – much more time. Now, of course, it's not that Israel should not get criticism or not deserve criticism, but the bias is obvious. In the General Assembly there are several of the countries behind the strongest criticism, which still do not recognise the 1947 UN divisional plan, which established the State of Israel. In the UN Human Rights Council, we have experienced special rapporteurs who have both denied the scope of the Holocaust and promoted anti-Semitic attitudes. In parallel with this open fight against the State of Israel, for example, there is a choice. Syria as an important entry in a decolonisation committee. This happens as late as this year. Of course, Israel would have been completely excluded from such elections, but Syria is obviously still in a constitution where they are welcomed in the good company of parts of the United Nations. Unfortunately, this merges into the range of choices in which countries with obvious shortcomings in human rights and democracy are set to lead such work. It's important to get everyone involved, but when countries like Pakistan and Cuba use their powers to prevent criticism of their own challenges and derail what should have been important, we have to respond. This gives the entire United Nations system a bad reputation, and it also derails the efforts to set up a peace process and reinforces the lines of conflict. We cannot continue to allow the UN to be abused in this way. Finally, I have a few words to say to the peacekeeping forces: there are significant challenges in this area, and the Committee addresses some of them. I would like to say that some of the mandates that have been in existence for many years – I would like to highlight, for example. Cyprus, as I have done in the past in this Chamber – one should basically look at it. How long will the UN be a participant in Cyprus, without any movement? There have been attempts at movement in recent years, but no movement has happened. It makes little sense what happens, for example. in Cyprus. I could also use other examples. It is necessary to have a continuous renewal of the mandate, which also makes clear demands on the parties to move forward in such locked conflicts.
ParlaMint-NO_2013-03-07.ana.ud1208e762	For the Christian People's Party, it is important that there be a solid uprising about the UN and that international law be at the heart of Norwegian foreign policy. But, as has been said, we have long seen that the UN as an organisation needs much reform. We need a more powerful, results-oriented and effective UN. To achieve this, we need systematic evaluation, control and transparency. Improvement is important in itself, and, of course, because the tasks of the United Nations are so important. This applies not least to the task of the United Nations as a legislator and guarantor of the international legal order. And for such a small country as Norway, after all, the UN is all the more important, and the international legal order is particularly important. Sometimes debates about the UN can give the impression that we give a lot to the UN, but get very little left. For me, it's a little short-sighted. We then overlook the developments that the United Nations has had, for example. in the case of international law, which has actually had a significant impact on the prosperity we have in this country today. The main example of the marine environment is precisely that of the marine environment. Norway has, inter alia: Through UN work, we have extended our fishing limits, and we have been given the right to have huge oil and gas resources on the continental shelf outside our long-range country, thanks also to the UN and the United Nations system. In fact, Norway would not be the same without the rights we've been granted through international law. The UN does not just have a role as a normist. We've got a United Nations that has a significant role as an operational actor and a service provider. The UN organisations provide a wide range of services in almost all fields, e.g.: humanitarian work, coordination of crisis response, long-term development, advisory and monitoring work, mediation work, peacekeeping tasks and much more. As a service provider, UN organisations must also withstand being assessed against alternative channels. Many UN organisations are in need of improvement. We're a big contributor, and so we also have reason to have influence. We have to use it in the boardrooms, and I refer to a debate we've had on it in the past, among other things. as a result of a report by the Riksrevisionen. We can also recruit more Nordics to UN positions, and we can influence by giving more support to those organisations that work well, and holding back from others. It's been about reform, and there's good reason to say that we're talking about more than a reform that requires the United Nations Fifth Committee to have a changed drinking pattern, as I see from today's newspapers. What has been high on the reform agenda is the reform of the Security Council. Everyone sees that the conditions of power have changed significantly since the adoption of the UN Charter, and it is no longer reflected in the composition of the Council. As a result, the representativeness is also weakened. At the same time, it is a challenge that some of the new major powers do not fully share the visions and values for which the UN is going to fight. One example of this is human rights, where the UN should be a driver and watchman. But in practice, the UN has become a battleground between liberal legal states that want to strengthen human rights, and counter-powers that support sovereignty and non-interference in the internal affairs of states. Reform work is also under way because none of the veto acts will give their own privileges, of course. The government clarifies in the notification – as far as we can see – not what is a Norwegian strategy for reforming the Security Council. What kind of composition will Norway work for? We present that challenge to the Minister for Foreign Affairs in today's debate. You can say a lot of good and negative about the United Nations, but I guess we'll take it that the United Nations never becomes more than what the Member States actually do. This presents a major challenge, including for Norway.
ParlaMint-NO_2013-03-07.ana.ud1208e781	Let me start by thanking the Committee for a very good and collective attitude. It is an area of Norwegian foreign policy that is both given great weight and where there is also broad consensus, and I think that is very important. It is important to take care of it, and it is important, with reference to the point of representative Höglund, that a country that believes in the UN and which believes that the UN should be strengthened, also dares to take the critical debate. There will be a misunderstood way of supporting the UN, if only to applaud what is going well, without drawing out what is going bad. Then I want to say that I very much appreciate that in the Committee's position, as in the Communication, it is so clearly reflected that Norway has a clear self-interest of the UN, of international law, of the law of the sea, as the most immediate example. But it is only one of the very many areas where Norway lives well on that we have an orderly international legal status, and that we are strengthening and investing in the international legal state. It was said that Norway was a small country. We are, I guess, still in the population context. But we're the world's 24th largest economy, so if you had G25 instead of G20, you would have been a clear member. This is probably also the case – as an energy storm power, a global committed player, a large investor and a country that provides multilateral solutions. So we have both direct and indirect interests – interests that are ours, and interests that we share with others. In that light, we should understand the UN. The UN, as the committee chairman said, is unsurpassed in the normative arena. The fact that 193 countries, i.e. practically all the countries of the world, are members of the United Nations, gives the United Nations a weight that no one else can be said to have. As a norm maker, the UN is therefore of particular importance. It is also the case that over the years the UN has evolved into a large operator and a large provider of services. Here too, I agree that there is a difference in the effectiveness of the United Nations in these two arenas. I think it is very important to note that what the current Secretary-General, Ban Ki-moon, has put particular emphasis on – especially now in his second period – is the development of partnerships, where, instead of creating ever more organisations, funds, programmes and special organisations, rather than providing broad alliances between different UN organisations on the one hand and other organisations and private initiatives on the other, for example. in the field of health. Much of the reason that we've come a long way in delivering important parts of the Millennium Goals is that ability to build broad alliances. Maybe there's something here pointing forward for the United Nations? It's an important debate to take. So I would like to say a few words about the issue of reforming one of the two most important agencies in the United Nations, the UN Security Council. After all, the Security Council has been given by the world community special powers that no one else has, simply a supranational authority to decide on issues such as war and peace. Offensive use of power may, as is well known, be used in self-defence, and if it is not used for self-defence, it must be done by decision of the UN Security Council. That is why the legitimacy and effectiveness of the Council is incredibly important. It's a broken picture. We saw in 2011 that the Security Council was able to gather on important decisions, both in Côte d'Ivoire and Libya. We see these days that the UN Security Council has managed to gather in increasingly clear messages against North Korea. It is very important for world peace that the United States, China, Russia and the other permanent members now have the same approach to what is happening around North Korea's nuclear programme. There we see in many ways that the UN Security Council is doing what is expected of them. At the same time, we have – as many people have been involved – Syria, where we cannot gather together. As I was in my foreign policy statement a short time ago, it is the responsibility of the five permanent members of the Security Council to take more seriously hold on that situation. That's not the same thing as saying that we, or someone else, have the final formula. But the fact that they're split is a problem in itself. We have solid experience showing that regional, local, national and international conflicts are getting worse when the Security Council is fragmented than when the Security Council has an overall position, whether direct interference or not. In this respect, I must also be allowed to say that we have expressed our disgust and condemnation of the fact that there are now several UN officials who have been kidnapped by parts of the opposition in Syria. It is an unacceptable behaviour, and the officials must be released immediately. There must be special respect for those who stand up on behalf of the world society in such situations. For this reason, it is important that we have a debate on the composition of the UN Security Council and the functioning of the Security Council. It is quite right, as has been said, that a fundamental reform of the UN Security Council is not near at hand. It's been discussing along pretty much the same lines for decades. The reason why it does not change is – as has already been said earlier in the debate – that the veto acts also veto changes in their own status, and they do not go ahead to share that power with others, to put it that way. This applies to vetomafts in both east and west. At the same time, we need a fundamental discussion before we go in and pick the individual countries that might get our support to become members. The current system is a system that existed in 1945, before the smoke after World War II had subsided. Then those who became the great victors wanted to make a kind of big act concert: every country is the same, but some countries are the same as others. Some countries would then have both permanent seats and veto rights, while others would be less likely to participate according to a rotational principle. Norway voted in favour of this. Norway's negotiator was Trygve Lie, then Minister for Foreign Affairs. He argued for, and backed up about, that solution. I think it was right, given the power of the day. That was the best thing to do then. Fresh experiences from the failed League of Nations in the 1920s and 1930s were also brought with them. The question is, in the 21st century, whether to repeat that model only by adding a few new countries, or whether to go more fundamentally to work. When we talk about a fundamental reform, it's simply an invitation to a slightly broader discussion about it. Should e.g. Does the Security Council capture the fact that after 1945 strong regional associations have developed which barely existed, and were barely intended, in 1945? The EU is one example, the African Union another, and also eventually what emerged as ASEAN. There are several other examples. Should there be a direct connection between them and the Security Council? We don't have a final answer to that. How are new Member States to be seen as representative of more than themselves? That must be the argument for a changed composition. Just because we think we have some time in that debate, and because no proposals have been accepted so far, we believe that Norway is a country that can well go ahead to take such a discussion. Then I want to underline the emphasis we put on the UN's work on human rights. I talked a lot about it in my presentation. I would also like to stress that the UN and the UN Human Rights Council and the UN High Commissioner for Human Rights are, of course, central to this work. In line with the Committee's wishes, we have for a longer time worked with other like-minded countries to increase the allocation of funds to, for example, UN High Commissioner for Human Rights and Human Rights in general. We have been committed to putting important thematic issues on the agenda of the Human Rights Council while we were there, not least the defence of human rights defenders, i.e. the protection of those who stand for human rights. We've also been involved in country-specific situations a number of times. In the broad field, I too would like to emphasise what is happening right now: the work of the Women's Commission – at all – on gender equality and women's rights – but also on minorities, not least the rights of sexual minorities. Here, the world through the UN has made significant progress, but we are now in a situation where we see threats from old and new teams. Norway simply wants to be at the forefront of meeting the negative developments and keeping us on a positive track. That's why this is a topic that will be very central to the broad work on rights that we want to be at the forefront of.
ParlaMint-NO_2013-03-07.ana.ud1208e807	It's going to be line change.
ParlaMint-NO_2013-03-07.ana.ud1208e810	As regards Security Council reform and the composition of the Security Council, the Foreign Minister gives a good description. It is not difficult to agree with the reasons why such a fundamental debate is correct and necessary, including in time. But is it the correct use of political energy to get into it? The Minister of Foreign Affairs has been hosting Oslo recently for a conference to end nuclear weapons, and honor him for it. Should not the power be invested in such thematic areas rather than in something more suitable at a student seminar?
ParlaMint-NO_2013-03-07.ana.ud1208e817	The question is good. I would say so that there would be completely wrong use of time if this was what we spent all the energy on. On the contrary, there are a number of more acute and immediate challenges, including the UN work methodology and ability to deliver as a whole and coordinate efforts, which are at least as important here and now. My point was that precisely because we now have a certain amount of time because it is not a debate that seems to arrive at an objective in the near future, that debate should be held. I note that very many of the emerging powers are asking for that debate. We can live with the composition that is now, but there are a number of countries that are now becoming increasingly important in the global arena, which requires that debate to be taken. We must do this because we also expect those countries to take joint responsibility for the international system, economic and political. Then we cannot just reject that debate, we must have a real position in it.
ParlaMint-NO_2013-03-07.ana.ud1208e824	I would like to look into what both the Minister for Foreign Affairs and the Chairman of the Committee spoke about, namely this with these unholy, or new, alliances that we are constantly seeing. It's women's day tomorrow – I'm going to celebrate it in Paris. We have also noticed this in the Council of Europe. There were two votes from the Council of Europe condemning women's right to self-determined abortion. I wonder what the Foreign Minister thinks about what opportunities we have to break these alliances and be on guard, so we don't get any dramatic decisions.
ParlaMint-NO_2013-03-07.ana.ud1208e830	I thank you for an important question. First, I want to say that the first thing we have to do is make sure to keep order in our own house, so that no questions are asked about the abortion law we have here in Norway. I believe that is an important domestic policy issue with foreign policy dimensions. Because if that were going to happen, I think it would just please the unholy alliances we talked about, so here I encourage everyone to think well about. As for the alliances out there, I'd say two things about it. What's alarming and serious is that they're clear, they're organized, and they're moving in the wrong direction. What's positive is that they're trying to use the institutions we've created to talk about just this kind of question. It is better that they take the questions to either the Council of Europe or the United Nations than that they only do it on their own, because then we also get an arena. It shows the importance of the UN and the multilateral system and corresponding regional organisations for the international normative discussion, and it is good to see that there is that debate.
ParlaMint-NO_2013-03-07.ana.ud1208e839	I had the pleasure of being a delegate to the UN General Assembly in the autumn of 2009. It was a very instructive and good stay. Of the issues raised several times in the meetings we had there, not only was the competition UN meets from other countries and other organisations, but also the internal competition between UN organisations. There was particularly one theme that went back often, and it was that the UNDP has gradually become so big that it eats up the characteristics of other organisations. It is therefore also difficult to coordinate the efforts well enough. I would like the Foreign Minister to say a little about what Norway thinks about competition between the different organisations. One problem is that many countries are suddenly experiencing very many UN actors on the ground in a given country, and that it is difficult to coordinate their efforts between them. But if, in addition, some UN actors eat up in the areas of the others, thereby duplicating capacity in many places, then operating such an important organisation is an inefficient way.
ParlaMint-NO_2013-03-07.ana.ud1208e846	Once again, this is a very important issue. Now I am also going to be very careful to eat in the field of the Minister for Development, since the Minister for Development is present in the Chamber and certainly believes a lot about this. But I would like to say in general that for many years Norway has been very central to the work of a UN ‘delivery as one’ — integrated operations in peacekeeping work — and in a number of other areas focused on how the UN organisations must work better together. It is a matter of prioritizing and setting clear goals, and not of starting to think about what the different organisations can and want to do, but what one needs to do in a particular country or region, and then assigning the tasks after that. It is not easy, and the Secretary-General has limited powers to solve that problem, precisely because so much of the resources are directly directed to organisations. Different countries have different favorite organisations, which then – let's say – get a hedgehog outside that supports that they should do just that. I believe that one of the most important reform agendas that makes sense here and now is to continue working with one UN.
ParlaMint-NO_2013-03-07.ana.ud1208e853	However, I will continue a little in the same track, but in a slightly different context: one of the bodies that was at the hearing in the Committee, the Human Rights House Foundation, raised relatively sharp criticism of the UNDP because the organisation is too closely linked to the authorities of the countries in which they operate. That means they're leaving out to deal with human rights in particular. They mentioned the Caucasus in particular, where UNDP has been too close to authoritative regimes in many countries, leaving behind one of the pillars on which UN work is based, namely human rights. What leads and discussions do Norway focus on in the dialogue with UNDP and others to prevent that kind of thing from happening?
ParlaMint-NO_2013-03-07.ana.ud1208e860	It's a well-known phenomenon that when a United Nations organization, whether it's UNDP or the United Nations, works closely with a country's government, it can lead to real progress. Cooperation on human rights issues and rights issues in general and one feels in a way that one has ownership of the relative progress. It means refraining from criticizing the obvious weaknesses that are there. This has been discussed and discussed a number of times — how can you make sure that you are both a partner on the inside and a critic a little from the outside, in the same situation. You can do that, for example. by dividing the roles and by a higher level of awareness. I want to confirm that this is a problem we are concerned about, and that is real. Norway’s view is that it is not necessary to leave the road to tell us about critical issues related to human rights. We want, as we will soon hear, to twist more of the aid to follow up concrete human rights progress and punish the opposite. It's an ongoing work to find this balance.
ParlaMint-NO_2013-03-07.ana.ud1208e867	With regard to UN reform and the Security Council, I conclude that the Foreign Minister wants better representativeness, but is open to how it might happen – so I will leave that to myself. But the Foreign Minister was concerned about the very regrettable situation we now have in Syria, linked to those who are making humanitarian efforts. I guess we see that there is a greater and greater danger that those who are unwilling to respect humanitarian law will have greater leeway or greater leeway. It is incredibly negative for the civilian population in the various areas. My challenge to the Minister for Foreign Affairs is simply: how does he view the developments we are now witnessing?
ParlaMint-NO_2013-03-07.ana.ud1208e874	I'm looking at that development with the deepest seriousness. That's just the way it is: we now see a further deterioration in the behaviour of the Assad regime, of course, but also from large parts of the rebel movement. Direct attacks on health workers and other humanitarian personnel, targeted shooting at hospitals and ambulances, for example, are a very serious situation. In close cooperation with the International Red Cross Committee, we focus on this in particular and work with countries that are even closer to the different parties than we might be doing, in order to recall the obligations and possible sanctions that may in the future result from non-compliance with humanitarian law. In our dialogue with the Syrian opposition, we recall that they must lead by example. They shall build legitimacy in their work of getting a new government in Syria. Then they also have to be concerned about these things themselves. It's very serious. We're very engaged.
ParlaMint-NO_2013-03-07.ana.ud1208e881	The cord shift is over.
ParlaMint-NO_2013-03-07.ana.ud1208e884	I had the pleasure of joining the Great Britain delegation to the UN General Assembly in 2005. I think most people who have been involved have experienced what I experienced. When we were around the different offices and organs of the United Nations, the red runner was rolled out, because here came representatives of one of the biggest contributors. As you can see, we are an important supporter of the United Nations. But it must not mislead us into believing or thinking that we are more important to the United Nations than the United Nations is to Norway. The United Nations is the main political arena of international society, a central institution for international legal development, state building, the protection of human rights, development and humanitarian policy and crisis management, and a very central – as many have stressed – normist, as an overall committee expresses it in its comments. The UN is the cornerstone of a world in which joint institutions and conventions regulate relations between countries. It is more important for smaller countries than too large countries. The law of the sea is an important key, such as: The representative Hans Olav Syversen put great emphasis on this. This perspective must be above our policies in and towards the UN. I do not think some of the particular comments from the opposition parties fully take this basic perspective into account. Because the UN is important, it is important that UN bodies and organisations function in the best possible way. Therefore, Norway has been very active in reforming and improving the UN. Two Norwegian prime ministers, Gro Harlem Brundtland and Jens Stoltenberg, have both been on committees that have worked on this. We haven't just been the great supporter of the United Nations. We have also been – and should still be – a demanding support player. However, it is – as has been pointed out both in the setting and in the debate – important that the requirements and evaluations of the various bodies, in particular those providing services on the ground, are as coordinated as possible, so that they do not have too many to deal with. I would like to comment on some of the particulars. The party of progress is most critical to the UN, although, fortunately, the mindful opinion of the party's leader on the UN as a threat to world peace has not been reflected in the vote. The party believes that Norway should be able to make greater demands on priorities and make demands on what the money is spent on. Norway is one of 193 member countries. What kind of efficiency will we have if all donor countries set their priorities and what money is spent on? These are among the reasons for the lack of coordination, which was just affected by the exchange of replies here, between different UN units — sponsors who make too many special demands. This must be done through the overall leadership adopted by the countries of the United Nations system, and not by individual countries. If not, it will be quick not only crossing leaders but also conflicting leaders. What can become a major challenge to the role and legitimacy of the United Nations in the future is the strong change that is now taking place in global power relations. The United Nations system is based on post-war and early 1950s conditions of power. In the case of one of the most important tasks of the United Nations, the Peacekeeper, the United Nations is effectively governed by five veto acts. One of the five can block, and they've often done that. We see that in Syria now. Libya stands as an exception. Therefore, reform of the Security Council is important. We can't give up, even if it looks heavy. The party of progress says in their comments that they disagree with this. They set up a strange contrast between legitimacy and representativeness. They note that ‘historically, the legitimacy of the members of the Security Council has proved far more important than the degree to which they have been perceived as representative’. Of course, what countries stand for is important, but representativeness is also part of the basis of legitimacy. I think the most eye-catching, however, is that the party writes in its comments that ‘Norwegian interests have not been acknowledged to be best served by reform of the Security Council’, because the ‘proposed models also have in common an attempt to increase representation to countries with which Norway has little in common, economically, culturally and politically’. This is a recipe for the paralysis of an organization. If everyone's going to sit and watch what's best for themselves, and not what's best for the organization, it's going to be very demanding to change. With regard to the debate on the UN Human Rights Council and about who is going into the so-called good company, I think it's more important to have – let's call them – the worst countries within and about, so that they can be spoken to, and so that we can point a finger at them, than to have them outside. I don't think they even want to read the resolutions, if they're set in motion.
ParlaMint-NO_2013-03-07.ana.ud1208e914	First to Innst. 32 S for 2012–2013 on ‘Norway participation in the 66th ordinary UN General Assembly’. An overall committee is behind all the comments. I just want to point out a few things. The Committee considers that participation in the ordinary general meeting is important. This is an arena where very many Heads of State and Government meet, and where bilateral meetings are almost as important as plenary meetings. In addition, the Committee has noted that a resolution condemning the human rights violations committed by Syrian regimes against their own people has been discussed in plenary. We also believe it is regrettable that the Security Council has not been able to gather on stronger measures against Syria, to end the civil war in the country if possible. Otherwise, I refer to the comments in the setting. Then I go over to the rest of my post. The world needs the UN, and the UN needs the world. But does the world need what the UN we see today? It may well be argued that the UN is not very effective, despite the fact that the Secretary-General has repeatedly stressed the importance of having an effective organisation. Reforms have been proposed, but unfortunately they have not been possible. The UN is a huge organization. I guess things take a long time. Nevertheless, results should soon be seen, there should be some confidence in the UN reform. The UN should also be relevant. Personally, I am very uncertain about the trust in parts of the organisation, when countries that repeatedly violate universal human rights – and here I do not agree with the representative Svein Roald Hansen – sit in the Human Rights Council. It is clear that new types of alliances are problematic, which also show muscles in terms of choices in the councils. Nevertheless, it should be absolutely necessary for countries to comply with the UN Convention on Human Rights before they are released and given the opportunity to penalise other countries for violations of the same rights. I have said that before, and I am still of the opinion that when crises occur in the world, the UN must have overall coordination responsibility – this is actually one of my heart issues – for the help provided by civil society. Too many – and thousands of NGOs – flock to and compete for the victims. This should and must be the responsibility of the United Nations for governance. Crisis caravans moving around looking for crises and media are not a desired situation. That is why it is important that we have an overall coordination institution. So a little bit about Norway's role in a future UN. We in the Progress Party do not believe that there is consistency between the large financial contribution made by Norway and the demands made by Norway to the UN organisation. Nor do I agree with the representative Svein Roald Hansen. There should have been much more debated priorities and efficiency requirements today when billions of dollars are sent into the United Nations system. Some would probably say that yes, there are 83 points on achievement, but seriously: little or nothing is said about the cost of those 83 points, and there is no requirement for what happens if the goal is not achieved. 83 points are very many. If Norway had been courageous enough to pick out and prioritize ten of these and followed them up, it would have been much easier to assess the consequences of lack of achievement. I fully agree with the committee leader when she talks about common Nordic and European demands. Of course we have to go in one direction. It's always nice to come to New York to hear how grateful they are that Norway is one of the biggest contributors. It's fine. If it were just so that they said at the same time that Norway's requirements for achieving goals were tough, I would have been a little more confident that the money we mean to spend on good purposes actually goes for good purpose and does not disappear in the large, heavy UN bureaucracy.
