ParlaMint-NO_2013-12-18.ana.ud2341e26	The representative of Ms Olug V. Bollestad will present a proposal for a representative.
ParlaMint-NO_2013-12-18.ana.ud2341e436	I believe that with the measures we have proposed, emissions will decrease. I think it is a bit special to be criticised by the Labour Party for the fact that our eight bet proposals did not contain a specific proposal on the environment, because these are overall proposals relating to some reforms and areas we are going to work with. The environment and climate lie as a basic thread in the value base of this government. But I'm a little surprised that the Workers' Party has been so high on the agenda for this, because there must be a fundamental criticism of the Workers' Party's own programme. The Workers' Party's own programme for this period will focus on five areas. They're at the beginning of the program, and none of them are environmental or climate issues. I would not be as high and dark as the Workers' Party has been in the criticism of the Sundvolden platform, when the party itself has not prioritised climate and environment as one of the five most important challenges in the next period.
ParlaMint-NO_2013-12-18.ana.ud2341e443	Rigmor Andersen Eide – for follow-up questions.
ParlaMint-NO_2013-12-18.ana.ud2341e446	There is a need for a green shift, as we say in the cooperation agreement. That is why the Christian People's Party disagrees when the government's input into the EU's future climate policy has recommended only one objective, namely on climate change emissions. There is a need for a green shift, and to achieve the 2-degree target, we believe it is essential to have more targets, so we want to include a renewable energy target and one on energy efficiency improvement. The government has, as I said, been in favour of only one goal, and the question is then: what consequences will this have for the climate action at home, and is this in line with a reinforced climate settlement?
ParlaMint-NO_2013-12-18.ana.ud2341e453	I've tried to figure out why you're so concerned about having more targets, when the overall goal is 2 degrees. The overall objective is to ensure that greenhouse gas emissions are kept in line with the 2-degree target. That is what we are proposing, and we are going to focus on what emissions we have. Emissions reduction strategies include, inter alia: Renewal effort because it is important — especially in Europe — to slow down the coal power and emissions associated with it. But I feel that this debate on what should be the goal, and whether there should be more objectives, is a discussion on what is the goal, and what is the strategy and the means to achieve that goal. We old social economists tend to say that the most important thing we can do is to make sure that we have one goal and one way to achieve it and focus on it. If we're going to reach the 2-degree target, we need to focus on the emissions, and then we need different strategies to achieve that goal.
ParlaMint-NO_2013-12-18.ana.ud2341e464	Geir Pollestad – for follow-up questions.
ParlaMint-NO_2013-12-18.ana.ud2341e467	The production of renewable energy is an important part of the climate solution. The Government Platform promises to shorten the procedure for renewable energy concessions and promises that concession treatment for small, micro and mini-power plants will be transferred to municipalities. The oil and energy minister has promised fewer additional investigations. My question is: does this mean that you want to reduce the threshold in order to get a concession to expand hydropower, wind power and networks? Or ask in a different way: can more builders expect to get a yes to their concession application with the new government than was the case before?
ParlaMint-NO_2013-12-18.ana.ud2341e474	First of all, this is a shortening of time. So we know that what's always going to be the node in these areas is the connection to the web. But we want the most possible introduction of this kind of force. How profitable it is will depend on the profitability of each project itself. It will also be important whether it is qualified for — or is given the opportunity to enter — green certificates, so that investment can actually be made in this way. But I believe that with shorter time and with the changes we are proposing, more – assuming that the network where they are going to expand has the sustainability for this – will also be granted a concession.
ParlaMint-NO_2013-12-18.ana.ud2341e479	Heikki Eidsvoll Holmås – for follow-up questions.
ParlaMint-NO_2013-12-18.ana.ud2341e482	If the Prime Minister had shown the same commitment to taking care of nature, as she does to open shops on Sunday, there would have been hope here. But with the background of the policy of the government, I do not see that hope. We see how priority is given to soil protection, we see that it is warned – for example in an interview in the VG before the elections – that it should be opened up for more construction in the beach zone, we heard the Minister for Oil and Energy say that the nature diversity law and its practice should be changed in order to allow for less emphasis on nature, we see how it is cut down after mining and opened up for more mining, and we see how 42,000 people have signed up to take care of nature and say no to snowmobile driving, but here they are overrun by the great attempt to get started. My question to the Prime Minister is: in what area will the new government preserve nature in a better way than what the red-green government did?
ParlaMint-NO_2013-12-18.ana.ud2341e491	We are concerned that we should achieve objectives in several areas at the same time, and sometimes there is a conflict between questions – for example. between achieving our climate objectives and having a very restrictive soil protection around the big cities. It's a dilemma that exists. Some of those who say in the debate that we should take into account in order to invest more in soil protection, for example. around Oslo, pointing out that we'd rather be able to build in Marka. There are dilemmas all the time about how we solve such questions. We have e.g. to say that a strategy that can be applied when we build on a well-adorable land, because it is a natural enlargement of a larger city, is good climate policy and provides better collective solutions, is to find replacement land that can be recycled. There are things that we will consider in the future, to ensure that the total amount of areas in which we can produce food is maintained in Norway.
ParlaMint-NO_2013-12-18.ana.ud2341e497	Let's go to the next main question.
ParlaMint-NO_2013-12-18.ana.ud2341e500	It was revealing that this government was unable to find a place for today’s most important challenge – climate and environmental issues – among its eight main areas of activity. And we've been confirmed that there was reason to worry about it by following the Prime Minister's agenda through the fall. It has become clear from the Prime Minister's various public performances, both here in Stortinget and elsewhere, that climate and environment are very low on the agenda of our new Prime Minister. At the moment, there is a decisive drive in the EU on the framework for climate and energy up to 2030. It will determine the EU's ambitious targets and the framework for the EU's action to reduce climate emissions. What the EU decides on will be crucial both for bringing more countries into a global, future climate agreement and for Norway’s ability to convert. For ambitious goals will help push the quota price upwards and thus help us convert here in Norway. In such a picture, it would be thought that Norway was a country with the greatest interest in an ambitious position. However, no, the government has now signaled that it intends to play into the Commission in the near future: no support for the most ambitious EU countries in terms of the highest possible target for emissions reduction, and thus resistance to the Commission’s proposal that the EU should have three objectives – not just a CO2 target, but a renewable target and an energy efficiency target. Is it convenient for the Prime Minister, after an election campaign in which she has promised a more offensive climate policy, to place Norway firmly in the camp of climate change in Europe through these EU recordings?
ParlaMint-NO_2013-12-18.ana.ud2341e516	I totally disagree with the description of both what has been my agenda and what we are playing towards the EU, for which we have consulted and actually achieved a broad consensus in the European Committee on Climate Change in relation to the objectives of the EU and the development of new climate policies by 2030. I believe that what we are promoting is ambitious. What we have said is that the main road and the main objective must be absolutely clear: the two percent target for the world, and that it is the emissions of CO2 that must be controlling. Everything else is an instrument on that path. Renewal is an instrument and not an end in itself, in my opinion. It is an instrument for achieving what is important in climate policy, namely that emissions do not increase. It's a very good tool, and that's why we're very much in favour of developing it. But we think it's a little strange that the instruments are raised to targets. This is when it is very easy to achieve the objectives of renewable efforts, but not the goal, namely to ensure that we do not go beyond the two-percent emissions in the world. That's what's crucial for all of us, the issue of climate emissions is going to be so big. So you can see that there is a mass in terms of renewables, but it is not possible to achieve what the entire climate debate is about, namely to prevent CO2 emissions. That's why we think it's cleaner. What we're recording is a very clear tightening of the trading system itself, or the quota system. We believe it is important, because having a low quota price in Europe today helps to ensure that large sectors regulated by quotas do not have the strong incentives to invest in new technologies that help reduce emissions. It's still a major act, we've agreed in the climate agreement that is a major act for large parts of national policies as well. Then we have to make sure that the EU, which determines the framework around the quota system, actually has a clear and ambitious line to tighten on this.
ParlaMint-NO_2013-12-18.ana.ud2341e531	It is difficult to claim that Norway’s recordings are ambitious when they both support those countries in the EU that want the least ambitious targets. There is a debate on whether the EU should have a 40 pst emission target. No decision is taken by Norway. There is a debate on whether or not to have three objectives. I understand that the Prime Minister does not see the benefits of three objectives, but a renewable target, that is to say, a crucial target of the great renewable effort that Germany is now going through. Without this kind of concrete objective, more responsibility for cutting emissions to an allowance system that is not working today – why? I repeat my first question: does the Prime Minister feel comfortable placing Norway in the same camp as the most cautious countries in Europe? And why does she have such strong faith in the quota system that she doesn't want to make sure that there are targets that go beyond that?
ParlaMint-NO_2013-12-18.ana.ud2341e538	I believe that the whole climate policy is rooted in one issue, and that should be the main objective, namely to reduce emissions. Then it's very easy in politics to say that we achieved the other two goals, but we didn't achieve the most important thing. Then it actually has a little bit of value to achieve the other two goals, if we don't achieve the most important thing, that the emissions go down. That's why we think it's important to have it as the main goal – that that's what the goal is. It is very easy to make a lot of policies in areas such as: regulating more renewable energy. But if it doesn't result in enough emissions from coal, or we don't reach the other targets, it has a little less value. We think it's a good tool on the road, but when we raise one goal as the most important thing, it's because it's the goal that's all anchored in, that's to make sure that climate emissions don't create the big changes and get so high that we get, and see, a world that's under great change, with many kids who have to experience that their homes are disappearing, and all the dramatic effects that it has. Then that's the goal.
ParlaMint-NO_2013-12-18.ana.ud2341e545	There will be follow-up questions – first Heikki Eidsvoll Holmås.
ParlaMint-NO_2013-12-18.ana.ud2341e548	With all due respect, there are two things we want to achieve. One is to reduce emissions, but the other is to convert to the zero-emission society. Looking at Europe today, we are reaching the target of reducing CO2 emissions due to the financial crisis. But it does not contribute to conversion just by reducing CO2 emissions. In Germany, we see, among other things: that there is an increase in the use of coal-fired power plants, i.e. the opposite of what you want, because you don't have a width of measurement – but you reach the CO2 target. If I can ask the simple question – when the government says that you want to reach the two-degree goal, but you don't specify what you think it means for the ambitions of the European Union, you really don't say anything: like the least ambitious countries, you want to go for a policy of 35 pst. reduce, you're going to go for 40 pst, or you're going to do what the environmental movement says, go for 50 pst. or 60 pst. reductions? It is crucial because EU targets in this field determine the allowance price in Europe and Norway.
ParlaMint-NO_2013-12-18.ana.ud2341e564	As we have informed, the government has not proposed a specific objective related to this. We're concerned that we're going to have ambitious targets in the future, but that the two percent target must be what's crucial. So I disagree with the description that having just one goal – having the important goal – is not ambitious. But we've said that it's important that we make sure that we bring down the coal and the coal production. One of the things we work hard for in the government is to provide the capacity mechanisms that are now being established around the EU markets in order to be able to fill when renewable energy does not provide energy, because it is a challenge. When the sun does not shine, and when the wind does not blow, others must enter. That's where the coal has got a reindeer. We know that Norwegian gas and Norwegian electricity can contribute to being that buffer. Then we have to be sure that we get into the mechanisms established in the countries around us.
ParlaMint-NO_2013-12-18.ana.ud2341e571	Sveinung Rotevatern – for follow-up questions.
ParlaMint-NO_2013-12-18.ana.ud2341e574	The left agrees that we need a tight quota market in Europe and that it is the most important instrument. But if there's one thing that's shown us in the last few years, it's how crucial it is to work on more fronts than that, not least to develop technology when it comes to renewable investment, for example. The fact that the quota market has not worked well enough when there has been a low economic downturn is probably the reason why the Commission has, in a reasonable way, suggested that they should have more targets. The Prime Minister said that the government's line was widely endorsed by the European Selection Board. I can't remember that, and both from the left's side, from the SV's side, and from the Christian People's Party's side, we clearly flagged that we should have more goals. However, my question to the Prime Minister goes a little further, because not all sectors are covered by the quota market: what is the government's objective that one should address the sectors of the EU's climate policy in the future?
ParlaMint-NO_2013-12-18.ana.ud2341e583	It is important to say that when the target is initially the emissions, it also means that the allowance market does not respond to all emissions. That's exactly what the representative says. This means that targets must also be developed in those areas not covered by the quota emissions. It must be part of the further development of EU policies. I can't say on the stand that we've made recommendations for different areas, but for example. in the case of passenger services, it is important to achieve the objectives, even if not each part of them is within the quota area. There are also questions about the additional areas covered by the trading of allowances in the coming years. At national level, we are committed to using both taxes and taxes — regulatory mechanisms — to reduce emissions in other areas. We also have incentives through financial support, such as: what we agree on is that we are going to implement, a tax deduction for energy-saving investments for individual households, and for which the government is now working on developing the rules.
ParlaMint-NO_2013-12-18.ana.ud2341e591	Kjell Ingolf Roppstad – for follow-up questions.
ParlaMint-NO_2013-12-18.ana.ud2341e594	First, I hope it's been a delay from the Prime Minister when she talked about the two-percent target, because that should be the two-degree target. What's important is that it's not cut to 2 pst, but that we're actually going to cut maybe as much as 85 pst. or even more by 2050. It is crucial for the Christian People's Party – that we create a sustainable system that ensures that when we reach 2050, emissions should actually go down to zero. It's true, as many people have said, that you have to go from coal to coal, for example. gas, but it is essential to convert completely into renewable energy. That's why it has, among other things, have been important to the Christian People's Party for a clear ambition to produce more renewable energy, but also for more energy efficiency. Because nothing is more environmentally friendly than the energy we don't need to use. When I listen to the Prime Minister, she argues very well for just one goal. In Norway, we have more targets – we need a target for energy efficiency improvement, and we need to produce more renewable energy. I do not perceive the Prime Minister wrong – when she has such great faith in one goal – that she wants to change that policy?
ParlaMint-NO_2013-12-18.ana.ud2341e607	I feel sometimes that these debates can become a little special. When you have one main goal, there will of course be a lot of tools that you create goals on. It is clear to us that it is quite natural that we have objectives in a wide range of areas to achieve the main objective, namely that CO2 emissions should decrease, and that we should reach the two-degree goal – it is absolutely right that what I was going to say was the two-degree target, not the two-percent target. I feel that this is a bit of a skin discussion, because no one disagrees that we should have strong goals to get more renewable energy. But raising one goal at the top, which really means something, at least I want to be a very important and right thing of the European Union – precisely because, as I said instead, if you have three goals and they are perceived as equal, you can achieve a lot in an area, but on the main goal you're actually not in port. And then it doesn't have much value, what you've done in that area.
ParlaMint-NO_2013-12-18.ana.ud2341e617	Let's go to the last main question.
ParlaMint-NO_2013-12-18.ana.ud2341e620	In this questionnaire, the Prime Minister has repeatedly argued that the government makes one or the other choice because the voters have asked for it. I would therefore like to remind you that the Right very offensively went to the choice of both ongoing kindergarten admissions and better quality in kindergartens. It's actually on page 10 of the Right Program. I therefore think it's a little special to hear the Prime Minister from the Stockholm pulpit create the impression that this is something Right has never meant. I also think it is a bit strange to hear the Prime Minister justifying cutbacks in the kindergarten area almost because it has asked the voters to get. Then it is that economic autonomy is a prerequisite for individual freedom. Therefore, it is a fundamental objective of modern equality policies to facilitate the economic independence of women and men, while at the same time having the opportunity to provide care for families and children. In the extension of that, I also think there is a very broad consensus in the Norwegian community that this is a goal that should also apply to the immigrant population. There, on a number of occasions, at least before the elections, the Right has argued well why we should facilitate the inclusion of more immigrant women in work. On the Right's websites, it says, among other things.\t\t You can change the settings of the grid. \t\t ‘If we are to succeed in achieving a multicultural and diverse society, much more immigrant women need to be encouraged to take part in education and participation in the labour market.’ It goes on to say: ‘Right will work to strengthen the opportunities of immigrant women to take an active part in working life, which is essential for good integration.’ I fully agree with that. But what's interesting to see is that in practice, right-hand policies increases cash support, babysitting and reintroducing tax class 2. Does the Prime Minister think this will contribute to fewer or more immigrant women in working life?
ParlaMint-NO_2013-12-18.ana.ud2341e643	I fully agree that it is important for integration policy that mothers learn Norwegian, participate in Norwegian society and participate in the labour market. It is governing the integration policies to be implemented. That's why it's good in itself that from having full tax class 2 last year, the next year is halved. There is something about this practice of the Workers' Party in these debates; one forgets that last year you were for a system that would give twice as much deduction as it is going to be next year. So we're on our way. But we have also said that there are some families who are changing, and taking large amounts from a family that has adapted, to which the Labour Party's arrangement put in place, we think, in cooperation with the Christian People's Party, that was reason to make changes in. It is then important to have targeted measures to increase the number of immigrant women in the labour market. One of them is to make sure that we quickly recognize the skills they have at home. It's on our list of things we have to do. Making sure that, in our A4 education system, we are better equipped to create modular schemes that allow people who come with training from home to fill the areas they need for it to work in Norway, so that they can easily and quickly get back to work — and see that they can use their job as relevant for it. So it's very important for some groups that we continue the work that was started under the Bondevik II government, the so-called New Chance Program. It was a programme that focused on the fact that those who had been at home for a long time, away from work, part of those who had been on social assistance for a long time, would have enough experience to go on through long-term work in an out-of-work job — to get in. I believe that this type of action is targeted and important. So I believe that the integration debate is often used as a camouflage for an arrangement that you don't like, namely cash support. The working party has never equal cash support, and then you use integration as... [[President clubs]]
ParlaMint-NO_2013-12-18.ana.ud2341e656	I noted that the Prime Minister did not answer my question about whether government policy will help fewer or more immigrant women to participate in the labour market. I ask the Prime Minister to answer that question. What is the matter is that the government not only increases the cash support, but also plans to extend it to two-year-olds. We know that a major challenge, among other things: Here in Oslo School, many children can't Norwegian well when they start school. In 2009 it was like 80 pst. of the two-year-olds who received cash support had a migrant background. The Prime Minister does not see the problem that these kids will get a tougher start to school when you increase the cash support and at the same time kiss the kindergarten offer – only in Oslo by 50 million. kr. ?
ParlaMint-NO_2013-12-18.ana.ud2341e665	I think that if we implement what we have as measures in our policies, it will help that more immigrant women will participate in the labour market. An active integration policy aims to involve as many of them as possible. That's why I think I can say quite bramlessly that we're going to do more effort than the previous government actually did in that area and in other groups that are out of work. The effort must have parameters other than simply cutting welfare schemes in Norway in order to get people out of work — it must actually be focused on what can be barriers for them to get into work, such as: knowledge and competence. So I fully agree that it is important that children can Norwegian before they start school. That is one of the reasons why we introduced four-year-old stuff the last time I joined the government, and we made sure that we had follow-up offers related to testing. I still think that's important. We're going to have an active job to make sure that every kid who starts school is able to learn from day one in a Norwegian school.
ParlaMint-NO_2013-12-18.ana.ud2341e674	It opens for one follow-up question – from Eirik Sivertsen.
ParlaMint-NO_2013-12-18.ana.ud2341e677	I will give the Prime Minister right in one thing – the Workers' Party does not like the cash support. It's not because we basically have something against the cash support, but because the effect of it leads to lower employment and lower professional participation, especially among women. This leads to less productivity and leads to more people not economically independent. It has also stated in its comments – they are concerned about the sustainability of the Norwegian welfare state, among others. because the participation of migrant women in employment is very low. I really just have a simple question, because I don't think the Prime Minister answered Helga Pedersen's questions well enough. My question is: Does the Prime Minister not agree that more expensive kindergartens, increased cash support and increased cash support reduce the proportion of immigrant women in the working life?
ParlaMint-NO_2013-12-18.ana.ud2341e684	I agree that those measures can help someone to stay at home a little longer with their children during periods. However, it is not the measures that help Somali or Afghan women to stay at home – it is the two women’s groups in Norway that have the lowest professional participation. There is a lack of education that makes them get a job in Norway, which is one of the challenges. Language skills are the second challenge. If we are able to give them inputs in these areas, we are much more able to get them to participate in Norwegian employment. I note that in one area of policy – and not in other areas – the Workers' Party is most concerned with financial penalties or with taking welfare benefits from users, and that is in integration policy. In this area, I don't think they're quite meeting in terms of what are the barriers to professional participation. For these large groups, the competences of those coming to Norway are measured against our skills needs, which are going to be one of the greatest challenges. That's where I think we're going to put the effort together.
ParlaMint-NO_2013-12-18.ana.ud2341e692	So the oral question procedure is changed, and we're going to the ordinary questioning procedure.
ParlaMint-NO_2013-12-18.ana.ud2341e704	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments are proposed for approval. – It shall be deemed to have been adopted. The changes were as follows: Questions 11 and 12 from the representatives of Sverre Myrli and Anniken Huitfeldt, respectively, to the Minister for Foreign Affairs, will be answered by the Minister of State at the Office of the Prime Minister for the Coordination of EEA Affairs and relations with the EU on behalf of the Minister for Foreign Affairs, who has been away. Question 18, from the representative Kjersti Toppe to the Minister for Children, Gender Equality and Inclusion, lapses, as the questioner is not present. Question 20, from the representative of Arild Grande to the Minister for Labour and Social Affairs, will be answered by the Minister for Children, Gender Equality and Inclusion, who will direct him.
ParlaMint-NO_2013-12-18.ana.ud2341e721	My question goes to the Prime Minister: ‘It has been a long time since we have had a female Prime Minister. Gro Harlem Brundtland's reigns gave Norwegian women solid steps towards a more equal society. We need to get back in time to find such a poor gender balance between women and men among state secretaries and advisers in a Norwegian government that is now. The Prime Minister has said, ‘We have found the ones we think are the most capable and the best for the jobs we have now.’ Does not the signal effect concern the Prime Minister?’
ParlaMint-NO_2013-12-18.ana.ud2341e735	Never before has Norway had such a woman-dominated government as that of today. 50 pst. of the members of the Government, women. For the first time, both are numbers. 1 and No 2 of the government women. That means that we have a historic women's power government. I believe the signal effect of this is great. They are good and should be something you could enjoy. So it's that we haven't done the same great and good composition in terms of the team of state secretaries and political advisors. There's a majority of men, and I've said that I should like to work on getting better. But I don't think it's any negative signal effect to say that we've chosen the ones that are the best, and the ones that are the best, to do these problems. In a knowledge society like Norway, we should always choose those that are the best, and those that are the best. If it was such that I felt that I had women who were better at individual posts here than men, I should of course have chosen them, but that was not where we were when we formed the government. I am concerned that we as a primary norm for why we choose people, should always have knowledge and competence into political spheres as well.
ParlaMint-NO_2013-12-18.ana.ud2341e742	I would like to thank the Prime Minister for his answer. I'll give the Prime Minister the right in that it's good that we have a government where half of the councils are women and half are men; that's good. But I think it is alarming when the Prime Minister says that only 17 women out of 60 were found competent to form the staff in the various departments. The fact that we are many women in Norway in political positions is the result of political choices that have been made over time, and the Prime Minister himself was a member of a government that introduced quotas in the ASA regimes. Then my question is, why is it so important that we have women in the ASA regimes, when we don't need women in the management of important departments? For example, in the Ministry of Justice and the Ministry of Transport, there are no women in political leadership. Isn't that a step backwards for equality?
ParlaMint-NO_2013-12-18.ana.ud2341e753	It is not that we have not found women who would be competent here, but the question was whether they would be the most capable. This country deserves to get the most capable politicians, regardless of geography and gender, into the roles. Then we have chosen those that, in our opinion, are most competent in the areas where we have inserted them. Fortunately, there are many women, and I think there will be even more women in the years to come. Then I fully agree that we should have had even more, and we are working on that. Our parties – like other parties – are working intensively to recruit more capable girls. Unfortunately, studies carried out still show that 12 pst. of men can imagine a political function, but only 5 pst. by the women can imagine that. We still have a common job to do. But we in the Right Party or in the Advance Party have never added up to quotaing for political office, unlike the Workers' Party, because we've always thought that we should choose those who are most capable of these jobs.
ParlaMint-NO_2013-12-18.ana.ud2341e760	I record that the Prime Minister has no opinion on quotaing in the ASA regimes. It might have been interesting to hear what the Prime Minister thinks about it, because there are quota rules in place. So there's another question. We've all the time lately, after the Solberg government joined, heard that we're seeing a new direction in gender equality policy. That's interesting. One year ago, a large population survey showed that people in Norway were very satisfied with the gender policy pursued. In fact, there was a big progress, on the whole 9 pst., on this field. 74 pst. found that we had a good gender equality policy in Norway. Are the grips that are now being made, for example: What we see with so few female members in the departments, an expression of a new equality policy?
ParlaMint-NO_2013-12-18.ana.ud2341e767	When it comes to the relationship between the ASA Boards and advisers and state secretaries, I have to say that I don't see it. In a government with 50 pst. women – and if one is to compare with a government where both the chairperson and the vice-chairman are women – we are well-informed in AS Norway to be in line with the ASA legislation on allowances. But no one has suggested that we provide quotas at all levels downwards in terms of who participates and works around in Norwegian companies. At least those who have proposed it have never had a big impact on it. And so it is, in our opinion, not in politics either. Is it the case that equality policy is changing? Yes, there's a slightly different equality policy with this government than with the previous one. We're concerned that we're going to make sure that women have equal opportunities. We're concerned that women should be given the opportunity to use their qualifications. We're a little less concerned with detailing people's privacy than what the red-green government was.
ParlaMint-NO_2013-12-18.ana.ud2341e778	«Government policy weakens the links between women and the labour market, and therefore their pension rights. State Secretary Brodtkorb has stated that it is not a state task to help correct the bias. Earlier this year, the Prime Minister said, ‘For the ladies who are at home here, I would recommend having a conversation with their husband about pension insurance for the future.’ Does the Prime Minister believe that equality between men and women is a policy task, or is it up to the individual woman to negotiate for herself?’
ParlaMint-NO_2013-12-18.ana.ud2341e785	Since I have seen Labour Party representatives use this quote in this detached form sometimes, I thought I would read the entire quote. What I said at a big Christian conference in Oslo was: ‘Red-green equality policy is based on a society where all people are A4 with the need for equal solutions. I have little faith in that. On the contrary, I believe that we as individuals and families can make decisions that are best for us. But we're going to be sincere, and we're going to know that that means you might miss something else, for example, economic gain. For those women here today who are at home, I would recommend having a conversation about their husband about pension insurance for the future. I tend to say that divorce happens even if we don't like it. [[...]] It's actually a good and well-meaning advice for women who have made a different choice. It is not a political strategy that women should not be active, but it is a advice I hope that the representative Helga Pedersen would also give to women who have chosen not to be fully active. The greatest drama for them often happens at the moment when family life breaks down. We are concerned that as many people as possible are active in the labour market. I do not agree that our policy weakens women's relationship with the world of work, but I believe that in periods of life both men and women can make choices other than the solution that the Workers' Party has prescribed for everyone: taking the leave period with exactly the distribution that the Workers' Party thinks is good, and having full connection to the working life. I believe it is an objective that we should bring down as much of the involuntary part-time as possible. That's why I'm concerned that we, for example. must work with working time arrangements and turns to do so. I think a little more creativity in working life could make it possible for a lot more women to get a better pension base, a better age and a better relationship to work, simply by facilitating a little more alternative ways of working, for example. in the health and care sector. I believe that the important thing is that we are able to balance the individual's desire to live their lives with the needs they have. And then I think it's absolutely right to say that choosing you're different, you can't always assume that the public is going to compensate for the financial loss you have. It's actually an own investment, for example. in being with their children for a long time, for which the public cannot fully compensate.
ParlaMint-NO_2013-12-18.ana.ud2341e801	I thank you for the answer, but I don't think it clarified my fundamental question, namely whether the Prime Minister believes it is a responsibility for policy to balance economic differences between people, including the economic differences between women and men. What's my big concern is the sum of all the actions Right and Government stands for. In the spring, we remember, the Right Party and the Advance Party voted against the legislative proposals to strengthen women's right to full time. Now the cash support has been increased, to further expand it, has carried out large welfare cuts in the form of higher nursery prices, cut 7 000 kindergartens to next year, decreased the quality of the municipalities, smaller paper sizes, etc. The problem is that this weakens the opportunities for women both to be economically independent and to care for family and children. How does the Prime Minister view the long-term distribution implications of this policy?
ParlaMint-NO_2013-12-18.ana.ud2341e806	I think Helga Pedersen should be a little bit more neat about the way she talks about what other parties propose, and what other parties have done. We backed up on the question of full-time entitlement, but we disagreed with the government's way of giving it the right to full-time, because the right to full-time was linked to the exact full-time position you had today. That couldn't necessarily be true. So we have another suggestion, about what we want, that we're going to work on further investigating. It depends on the fact that, with a slightly longer average calculation, you will have a full-time entitlement that is more adapted to what the trade unions also wanted. The main question here was this: Does the Prime Minister think equality between men and women is a policy task? The answer to that is yes. On the question of whether it is up to the individual woman to negotiate for herself, I believe that the public cannot always compensate for the choices you make. I assume that Helga Pedersen also agrees with me, that we should not compensate for those who choose to live lives that make them not completely active throughout their lives.
ParlaMint-NO_2013-12-18.ana.ud2341e813	I note that the Prime Minister obviously does not like to be reminded of what the Right voted for and against in the previous period, and also does not like to be reminded of the very clear election vows that the Right gave in the election campaign about both continuous admission and better quality in kindergarten. But now leave it. I believe that the policy should facilitate the freedom of individuals and that individuals should be able to make choices that suit themselves. But my question, which I still do not think has been answered, is whether the government will pursue a policy and have a structure that reduces the economic differences between women and men, and whether the Prime Minister has at all assessed the long-term consequences of the economic distribution between women and men with the measures that are now being implemented, which de facto will lead to lower professional participation in women.
ParlaMint-NO_2013-12-18.ana.ud2341e820	The question that was asked was asked in writing, and it is answered. The question was: ‘Does the Prime Minister think that equality between men and women is a policy task’. I have responded clearly and unequivocally to that. On the question of whether it is ‘up to the individual woman to negotiate herself’, I have said that when choosing life forms that are completely different, the public cannot compensate. Then I think you should negotiate a little at home about a pension plan, whether one or the other chooses to be at home. Now when Helga Pedersen adds other leads for what's really the question, I would say, we disagree on what gives the best equality, given the detailed management that the Workers' Party has provided. We propose to make sure that all the girls are rusted out to make choices that make them have choices in the future as well. I mean, for example. that the real emphasis of this government will be an important contribution to gender equality. The fewer girls who choose to take a real job, the fewer opportunities they have to choose some occupations and educations later. The main source of much ‘unequality’ in Norway today is also the fact that for a long, long time we have had one of the world’s most sex-shared labour markets. There we should start the gender equality policy.
ParlaMint-NO_2013-12-18.ana.ud2341e831	‘The Ministry of Finance recently announced that the Directorate of Economic Management will now be located in three geographical locations, including: in Oslo, instead, in eight places throughout the country, as today. [[FROATING]] 25 State competence jobs are thus disappearing from North Norway. Can the Council of State see that a desired rationalisation gain in any reorganisation can equally be obtained by moving state activities out of the capital rather than the opposite?’
ParlaMint-NO_2013-12-18.ana.ud2341e838	This government is concerned with the modernisation of the public sector. The terms of the Cooperation Agreement on the ‘most effective use of Community resources’ shall be followed up. The government will emphasise that structural changes should have a good regional balance. Where there are sufficient savings opportunities and there is a sufficient recruitment basis, the government will also consider facilitating the development of State jobs outside the press areas. I would like to remind you that, in connection with the reorganisation of the Directorate of Economic Management, we are not moving one single job to Oslo. In the study of many different options for the Directorate for Economic Management, it was also assessed to bring together the financial services in Oslo. However, this option was rejected, it was too expensive and gave too much risk during the conversion phase. Instead, when we want to streamline, we choose to bring together the business in those places where there are already heavy trade unions for pay and accounting. This gives the greatest gain to taxpayers. There is also a lower risk during the implementation phase. For this business, Stavanger and Trondheim are the best option. But I agree with the Knutsen representative that rationalization gains can be obtained in many ways and in many places. Here we must not be bound by preconceived attitudes. This government is too efficient, and we will evaluate carefully and on a case-by-case basis both where and how we can find the biggest gains. Then the main consideration must be that we use public funds effectively.
ParlaMint-NO_2013-12-18.ana.ud2341e847	I thank you for your answer. The council repeated what she said in the debate on Friday. This rationalisation gain, to which she referred, is based on the internal report presented by the Directorate-General for Maritime Affairs. There are many aspects of the calculations you're doing, for example: that some people should move after, and that you get a savings because you can use skills. It has not been taken into account that many people may not move after you have to start teaching people – at all, there are many uncertainties in those calculations. What I'm very excited about is that the department didn't use more than a button week, or about. 10 days, to conclude in that report. Can the Council of State promise that the Department will use better time and work a little more thoroughly to pass the calculations on future rationalisation projects, for example. in the case of State activities?
