ParlaMint-NO_2013-04-17.ana.ud827e26	The representative of Laila Davøy will present a proposal for a representative.
ParlaMint-NO_2013-04-17.ana.ud827e414	It surprises me that the representative Thorsen says that there has been a queue for burial. I have had meetings with both the Church Council and the Presbytery for the past week, and there are no issues that have been reported to me in the meetings we have had, so a comprehensive problem I don't think it can be. But it can be arduous to adapt to the wishes of both the relatives and the services available. We did a great reorganization of the services in the Norwegian Church a few years ago by giving the priests a greater responsibility for the services in their prostis, where the priests also have to be used in a way that allows them to reach out on the church acts to be carried out. There has been no increase in the number of church members in recent years, so there is no new situation related to the fact that more people need church acts. Rather against it, there are some church acts in which there has been a decline – especially marriages. There is nothing in the current situation that would indicate that we get something more than previously. We are not sure how the proste reform of 1997 has worked, so my department will now take the initiative to evaluate it to see if the scheme has worked properly, and even if it is able to use the available capacity in the best possible way. What's been good lately is that we actually have priests who fill the posts. For many years, getting priests into the districts was a challenge. Now we have ordained priests in almost all positions, and it shows that there has been both the ability and the will of the councils to be able to employ in the positions that are vacant, and also that there has been an economy for it.
ParlaMint-NO_2013-04-17.ana.ud827e423	I thank you for your answer. I would like to refer you to a review in Tidens Körp on 12 April, which will well illustrate how the relatives experience that the performance service is not comprehensive. The municipality of Kristiansund has not been able to keep the tomb law for the last time. The family reacts that it takes more than two weeks before the funeral takes place. The Church Army says that they have tried to buy services, get others to dig, but it should also be a pastor and an organist for each ceremony. I'm recording that the Church Army says she thinks the problem is just for a short time, she doesn't say she knows. Whether this situation is short or long-term, it is not sustainable. We have also received the same feedback from several relatives elsewhere in the country because of the lack of a priest to perform at the funeral. This just isn't good enough. It is clear that the clergy have too many members to care for. What will the Council of State do to try to avoid this for the future?
ParlaMint-NO_2013-04-17.ana.ud827e432	As I said, I'm not familiar with the concerns that Thorsen's representative brings up here. I'm going to check to see if there's a lot of traffic jams around the country. As I said, I'm not familiar with that. We have to get knowledge of it and see if there are actions that can be implemented if there is something related to particular geographical areas. There may have been sick leave or other things that have made you in such a situation. I am not familiar with this, and then I must be allowed to investigate the situation in more detail.
ParlaMint-NO_2013-04-17.ana.ud827e437	Three follow-up questions will be raised – first Per Sandberg.
ParlaMint-NO_2013-04-17.ana.ud827e441	First, I would like to say that it is very constructive that the Council of State is following up on the concerns that arise. There are probably different situations around the country. And what we all agree on is that a good and stable pastoral service is a prerequisite for the Church to remain a people's church. Now, as the Council of State also says, we're going to get an evaluation of the proste reform, and that's good. If it is now that the Council of State discovers that there are different economic conditions and different access to priests around the country, there are some minor changes and measures that can be taken quickly. Then my question is whether the Council of State is interested in being able to look at, for example. greater use of seniors in the Church. There are many pastors who have stopped but want to continue their work. There are many pastors who are now retired, who are retiring and performing part-time victories, but who are then coordinated in terms of pay and pensions. Are the Councils interested in looking at this coordination?
ParlaMint-NO_2013-04-17.ana.ud827e448	Now we're going into a pay settlement, and it's the employee organisations and employers that are negotiating these issues. I and the government have said that if the employee organisations want to discuss new pension-related schemes, we are ready to do so. I have not registered that any of the employee organisations have promised this into the year's settlement, which is also an interim settlement. Then I agree with Per Sandberg's representative that it's important that we use the seniors. And if that's what we've actually done in the state sector, it's taking care of our seniors. Also priests make a great effort. They're willing to work and contribute in a lot of ways. You can make good use of that workforce, and there are many dioceses, who have an active senior policy, so that more people are working according to their usual retirement age. I very much welcome the fact that seniors, including pastors, stand in the position longer.
ParlaMint-NO_2013-04-17.ana.ud827e455	Svein Harberg – to the next follow-up question.
ParlaMint-NO_2013-04-17.ana.ud827e458	State councils are familiar with both employers and employees in the Church that there is a high pressure on the clergy and that in many places they are reported to need more. Today, the number of members per clergy is the parameter. So in many places in the country, this varies for different reasons, for example. large places of study, where there is a greater number of young people who can have the potential for activities and follow-up. We have just completed a Easter. Then it is that in many places the usual activity is maintained in the churches. In addition, there must be many activities in the mountains. I myself live in a district in the South, where the population triples in the summer. This is not taken into account. Will the Council of State look at new ways of calculating the performance density, so that the clergy can get a good working life and we can ensure the recruitment of the profession?
ParlaMint-NO_2013-04-17.ana.ud827e467	During this period, we have carried out the great church settlement. Now the church's own democratic bodies are to be given greater authority to both distribute the economy, distribute the resources and think more in the long term. In this state budget, we add the economy to the councils of bishops, but I'm not a stranger to the fact that in the future we will have the Church Meeting and the Church's central bodies dispose of the funds in a way that makes them also responsible for the distribution of the individual dioceses. This will also allow such questions to be addressed in the assessments on how they allocate resources. But it's clear that it's demanding when we have population decline in large parts of District Norway, where there are fewer parishioners per clergy, to be able to move those resources into those areas where we have a lot of growth.
ParlaMint-NO_2013-04-17.ana.ud827e472	Dagrun Eriksen – for follow-up questions.
ParlaMint-NO_2013-04-17.ana.ud827e475	Let me first say to the Council of State's answer to me in a previous questioning round, where she now wants to focus on the content of the training of faith. I think maybe those who are in line to get into the reform of the Faith Training must first get in before you start thinking about content. So to this question of priests. I've heard the Council of State say on several occasions a little bit of the same thing as she says today, that there's been more money allocated to performances, and that the church acts go down. So she leaves the impression that everything is really on a good level in the Norwegian Church. But it's more complicated than that. In addition, it has now been ensured that the clergy have five-day weeks in the same way as other workers. This has contributed to the fact that we need even more jobs than the annual government budgets have been able to cover. Does the Council of State see that this is still a major defect in the Norwegian Church, or does she think everything is in place?
ParlaMint-NO_2013-04-17.ana.ud827e484	When the proste reform was carried out and the changes in working time were made for the priests, it was compensated for by its own appropriations. I don't think we have any challenges in the performance of the Norwegian Church, because we have very big demographic changes that make big pressure on the big cities. That's something we have to look at. But then I also think it is important that we stick to the fact that the proste reform is important in order to use priests in the most appropriate way possible, get good tournaments where you work in certain ways. There I still think there's something to pick up. Therefore, we need to evaluate the proste reform and see if there are other ways we can organise the service, but I also see that there is a need for increased efforts to maintain a church in all parts of the country. It's demanding the changes we're facing.
ParlaMint-NO_2013-04-17.ana.ud827e489	Let's move on to the next main question.
ParlaMint-NO_2013-04-17.ana.ud827e492	I have a question to the State Council Anniken Huitfeldt. I see that the «Type of» Council of State is not present, and that is good, because then we dare in the opposition to lash out a little! Voice recognition is a program that calculates a cost of 13 million. kr can give very many people a new chance in working life. In April 2012, Nav completed a review of the case. Then nothing happened in the department. So the right of my committee colleague, Sylvi Graham, raised the matter in January of this year. Then nothing happened to the matter. Then something happened, which I have noticed often causes the Council of State to respond, namely that the press intervened in the matter. Then suddenly there was action in the department – or action and action Mrs. Blom! I quote from a post that Secretary of State Cecilie Bjellland had in Today's Business a few weeks ago, where she writes that the department "has noticed the positive involvement of the study has triggered". Then things get fast. Then, almost a year and a half later, the Ministry shall take «an initiative to look at the possibility of cross-ministerial cooperation». – In other words, a year and a half after getting an investigation from Nav, where there is a tool that’s worth 13 million. kr could help a very large number of people in, so the Ministry will take ‘an initiative to look at the possibility of working together across the department’. That's a little bit of an initiative! I mean it literally – it is so small that it can hardly be called an initiative. That's how you'd think it wasn't election year.
ParlaMint-NO_2013-04-17.ana.ud827e507	In the case of facilities for disabled persons, whether hearing aids or wheelchairs, Nav never goes in and supports single actors developing a project. In that case, it would be contrary to the law on public acquisitions. What is possible, on the other hand, and one way we can help this project is to be a potential buyer, because this is an important product. It can help people who have difficulty using their arms or who have severe problems with reading and writing can get their speech converted into writing. Therefore, this product is a proper and important instrument. The real question is, how can we get this going? And then Nav can't say that as a commercial actor you can get money directly to develop this tool. But there are some other ways to do it. One is something that has increasingly been used in the health sector, namely an innovation scheme in Norway dealing with public research and development contracts. In this way, a commercial operator working on developing an instrument can be funded. If we're going to support an actor working on the development of a voice recognition device, we have to put this on the market. Nav can't say you're going to get $13 million. kr to develop this for them. Then there's another problem. It is linked to the language bank, to which they will have access. We need to look at the legal basis – whether it is possible to develop it for commercial purposes. So yes, this is a very good product. But no, Nav can't go directly in and give money to a commercial actor. That's why we have to find other ways to do this.
ParlaMint-NO_2013-04-17.ana.ud827e515	I fully understand that, but that is not what the opposition has asked for either. What the opposition has asked for is to do something, and the government and the ministry have done nothing for a year. It's not the first time the Council of State comes to Stortinget to explain everything you can't do. It's happened before, for example. in the debate on interpretative services, where the government decided to reverse a code that allowed users who were deaf-blind to follow out on skirmishes or to operate chess games. Nothing happened when the opposition took it up. It was only when the press knocked on the door that the council decided to respond – then also late. As stated in the Fädrelandsvennen today: «Consider confirms the ministry». We had examples where many Nav users had been given – let's call it – wheelchairs, with a small electric motor. The road authority then suddenly said that this was a small moped. Then the council also came and told them that this was extremely difficult to do with. The opposition took it up, nothing happened. Only when the press knocked on the door did the council do something about it. This is not like a powerful state council with executive power, but a media minister.
ParlaMint-NO_2013-04-17.ana.ud827e520	It is obvious that the Right does not have any suggestions on how to help develop this tool through the law we have today, but that this is just a way to launch a political discussion. What was very important in the matter that was about him who couldn't get the bike was that the Minister of Transport settled down. Nav knew about it, we worked on the matter, and we got a pass. So I think it's important that we also follow up on things that individuals take the initiative to do. The representative will notice that I am getting a number of enquiries from individuals that we never have a word about in the press, in which we sort things out. It is not always that the legislation is practised in a way that we are satisfied with, and then we, as politicians, intervene in these matters. When it comes to the case of the deaf blind, I can answer it if I get more additional questions.
ParlaMint-NO_2013-04-17.ana.ud827e527	Three follow-up questions are raised – first by the representative Jan Tore Sanner.
ParlaMint-NO_2013-04-17.ana.ud827e530	Now three concrete examples were presented. I could add a fourth, which is about the phasing out of tax deductions for large disease costs. This also creates problems for many people with disabilities who are at work. The problem with the government's inaction and lack of implementation in this field is that it has consequences for people. If we look at the proportion of people with disabilities who are at work, it has never been lower than it is now. The number has fallen below the red-green government. If we look at young retards, the number goes up, and it goes up more than it's done in a long time. There was a bureaucrat in the Ministry of Culture who wrote in an article that the problem is that you get more involved in the process than in the result. Is that what we see when the government lacks implementing power to obtain facilities that can help disabled people to get into work?
ParlaMint-NO_2013-04-17.ana.ud827e539	In the case of people with disabilities at work, the right statistics use a little special. The truth is that the proportion of those who themselves report to the SSB that they are disabled has fallen from 17 pst. to 15 pst. by the population. So right calls that there are now fewer and fewer people with disabilities in work. It's a way to use the statistics that's not very credible. Ten years ago, young felons were 1,2 pst. - The same as it is today. We have a lot of implementing power to get more people into the world of work. We have Europe's lowest youth unemployment rate. That is why 25 labour ministers from all over Europe came to Norway for, among other things. to learn how to conduct labour market policy in Norway.
ParlaMint-NO_2013-04-17.ana.ud827e546	That's not what this question is about.
ParlaMint-NO_2013-04-17.ana.ud827e551	We have a good social policy, and we have a good implementation force in incorporating more people into work.
ParlaMint-NO_2013-04-17.ana.ud827e556	When I hear the Council of State's response, it's clear that the Council of State acts more like a case manager in the administration than a politician who is interested in solving everyday problems for a group of people who have major challenges and major problems. It is right that the representative of the Red Isaacs repeated from this pulpit: we see a systematic down-priority of the weakest in the welfare policy of the current government. In the case of deaf-blind people, young people with disabilities who do not receive assistance at the age of 26 in order to get into activity and leisure, and we now see this especially in the case of highly disabled children and young people for voice recognition. A unanimous magnification has said that we're going to get this in place. Kristin Halvorsen, a member of the Government's government, has said that this should be done. We're talking about $13 million. SEK – 13 million. SEK for employment and social purposes of a total budget of 360 billion. kr. When can we expect the government to comply, follow up and put in place the voice recording system?
ParlaMint-NO_2013-04-17.ana.ud827e563	I have explained this quite thoroughly – how we can follow the law on public acquisitions and at the same time contribute to the development of this project. But it is not that I can take money that is set aside for retirement, or that is regulated for sick pay, and say that this should automatically go to voice recognition. We have now introduced several measures to get disabled people into the labour market. These include: on Group 2 car, which has been a matter for many in this room, which can help more people to get into work. It is about work and education trips for the disabled, which can help more people get into work. There has never been such an offensive policy to get more disabled people into work as what we have now arranged for.
ParlaMint-NO_2013-04-17.ana.ud827e570	Let me give you a fifth example of punctuality. This applies to user-controlled personal assistant who should have arrived as early as 2005. The government has now sold it out as if it were coming. But what has really just come is a hearing with a very long consultation period, until 1 August. This case will not be resolved during this downtime period. Back to the speech recognition program, so it can enable thousands of people with different challenges to operate computers, which is a prerequisite for participation in the world of work. There's a lot of examples of that. The potential for saved social security costs is enormous. Nav has requested the program a long time. What I feel the Council of State is doing is problematizing. It is the same for both wholesale and disabled representatives whether Innovation Norway or others facilitates, and how to do so. But when will it come? Has the department started? When do you start the process? When's it coming?
ParlaMint-NO_2013-04-17.ana.ud827e577	If it is that the Christian People's Party has very good suggestions on how we can contribute to the development of such a programme, which is within the scope of the law on public procurement, I am grateful to receive the concrete proposals. But what matters to us is that we relate to this law. There are many types of tools and many kinds of tools that Nav is the buyer of, but it has never been such that Nav has given money to actors who have developed these tools. We'll try to follow the law and contribute to the development of this tool, and Nav will also be the buyer of such a tool, but we have to do this legally when we're going to acquire the tools. It's a very important tool that I think many people will be able to benefit from.
ParlaMint-NO_2013-04-17.ana.ud827e583	So the oral question procedure is over.
ParlaMint-NO_2013-04-17.ana.ud827e599	‘In February 2013, the Ministry of the Environment is a member of the National Parks Board of Skarvan and the National Park of Roltdalen. On the board of directors are the spokesmen of the four municipalities, two representatives of the county council and three representatives of the council. There are no representatives of the landowners or users in this area. This testifies to a lack of respect for private property rights. Why are not the landowners and those with rights of use in the National Parks Board, and what will the Council of State do to correct this?’
ParlaMint-NO_2013-04-17.ana.ud827e611	I'm very pleased with the commitment attached to the new scheme of local management of our protected areas. The Protected Area Government has the power to manage national and international values on behalf of all of us. It is important that the administration of national parks and the other major protected areas have legitimacy in local communities. I believe that the model of local administration for which the Stortinget was involved through the management of the Ministry of the Environment's budget proposal in 2009 is well maintained. The model opens for local adjustment of the composition of the control if specific circumstances exist. When I enumerate control, I consider in each individual condition how the board should be put together. We have been careful to give fundamental owners or other user interests the same image as elected representatives of the administrative board. The reason for this is that, if landowners are given such a picture, there may be questions of viability. The Administrative Board is dependent on having confidence in all interest groups. It's only on the board of the Breheimen and Reinheimen National Parks that there are non-political members. In Breheimen, Skåk Almenning is represented because their ownership is over 50 pst. by the National Park. In Reinheimen, the Ottadalen villreinutval is represented because of its particularly important role in this national park. I have made a thorough and concrete assessment of the composition of the board for Skarvan-Roltdalen. I have found that there are no specific reasons why the basic owners should be represented on that board. In the case of Sami representation in areas of Sami interest, I would like to point out that Norway has approved ILO Convention No. 169. Norway is committed to ensuring Sami participation in the use, management and conservation of natural resources in the Sami region. Skarvan-Roltdalen is such an area. In consultation with the Sametinget, we have agreed that the Sametinget should point out three representatives on the board of Skarvan-Roltdalen.
ParlaMint-NO_2013-04-17.ana.ud827e626	I thank you for your answer. I saw in the Nation on April 12 that the Council of State would look at the landowners' representation in this area one more time. I see that as a positive opening to look at it, and I also expect the Council of State to follow up the promises contained in the lookup in the nation. I also record that he says that the arguments about including the landowners are good. We know that one sixth of mainland Norway is protected, and the landowners are not represented in these protection regimes. Right means that the landowners and people with rights of use are in a special position to be represented on the National Park Board. Respect for property law also creates respect for protection. The landowners and those who have rights of use have managed these areas in such a way that the big community sees the value of it, and the big community wants to protect it. It happens with the background that the basic owners manage their property in a good way. Does the Council not see that the landowner is in a special position in order to be part of the National Park Board?
ParlaMint-NO_2013-04-17.ana.ud827e637	The issue of ownership representation is important and is assessed on a case-by-case basis. I intend to follow up on what I said about it at the U.S. Annual Meeting, which is mentioned in the Nations, to look closer to those questions. But what's my point is that there's a very big difference between the different areas of protection. When it concerns the area of protection that was more specifically identified when I was at the USS national meeting, which is mentioned in the case of the nations and concerns the Trollheim shelters, there is – if I am not mistaken – so that there is a private landowner who owns all the land, at least much of the land, there. If so, for example. looking at Skarvan–Roltdalen, as the representative asks, it is that the state base is around 70 pst. It's a very different situation. It's the state that's the most sovereign landowner. That's why I think in that case we've taken the right decision about the board.
ParlaMint-NO_2013-04-17.ana.ud827e644	I thank you for your answer. Then we have actually received two answers. The one thing is that one should look at the representation, and the other is that one thinks that one has set up that board in the right way. It is not in accordance with the expectation that one should look at this again. Right means that landowners, respect for private property rights, require the landowner to enter a national park board. We see that the representatives from the Sameting are reindeer owners and reindeers from the reindeer industries. It is positive, but it creates an imbalance when the basic owners and those with rights of use are not represented at the same time. This could be a pitfall for conflict, instead of being a grobot to create a good climate for cooperation. In concrete terms, this is the case in Skarvan-Roltdalen National Park. Here there is an imbalance with regard to landowner interests, and the Council of State has really created a expectation that the Council of State will take a concrete look at the landowner’s representation when it comes to Skarvan–Roltdalen National Park. Will the Council of State look at it, and when, if so?
ParlaMint-NO_2013-04-17.ana.ud827e655	I have not made any expectations about Skarvan-Roltdalen, but it is now clear that I think we have done the right thing when it applies to that national park. So there's a reason why that's right there. On the other hand, I'm going to do what I've told you to do, and I'm going to take a closer look at the issue of landowner representation. I have given an example of a national park where I can clearly see that there are arguments, and that is a basis for why it might be relevant to look closer. But it's already today so that we open each other up separately. Because our protective areas are very different, our governance looks quite different. That's why there's a government like today, where there's a basic ownership representation – and I want to look at that question again – but one will also find government where it's not natural, and this is an example of it, in my view. When it comes to representation from the Sameting, it's allowed in the ILO Convention, which I'm busy with that there's a lot of agreement about in the Storing, also from the Right.
ParlaMint-NO_2013-04-17.ana.ud827e668	‘In Gardermoen, one of Norway’s largest industrial parks is currently located. Thousands of new jobs are expected to come here. So far, there has been no lack of objections or obstacles from public authorities, such as the State Road Service. This has made it difficult to facilitate new start-ups. What does the Council of State think in principle about the obstacles that public authorities are putting in the way of business development, new jobs and development in a region where local authorities say yes?’
ParlaMint-NO_2013-04-17.ana.ud827e675	The starting point for the Planning and Building Act is that municipalities are in charge of spatial planning. Organisation for economic development is part of this planning. In accordance with the new Law on Planning and Building, more emphasis shall be placed on the plan so that any objections can be settled early. It shall facilitate the handling of construction matters in municipalities, and it shall increase the predictability of those with an interest in the area of real estate and the environment. As Minister of Industry, I am committed to facilitating and contributing to the creation of value added and sustainable growth. At the same time, I am aware that the processes of the Planning and Building Act should protect important social interests and safeguard the interests of all those affected by the development. It is important that processes are well balanced, both in order to promote the interests of stakeholders and in order to safeguard other interests. I am aware that the business community will have efficient and as low a cost-intensive process as possible in matters relating to the Planning and Building Act. The need for better and less costly management processes is the background to government's work on simplification. On the government side, we have set an ambitious target of reducing business administrative costs by 10 billion. kr. We have created a separate project in the Ministry of Industry and Trade to follow up and strengthen the work on simplification. The project is dedicated to the achievement of the government's simplification objectives and to coordinating cooperation between departments. Among the project's tasks is to review all relevant business simplification measures. This also applies to the Law on Planning and Building. As regards the issue of objections, the theme is among others: referred to by the Minister for Local and Regional Affairs of Meld. St. 28 for 2011–2012 Good construction for a better society. The government has started work in response to the challenges mentioned. The Ministry of the Environment is now preparing a pilot project in which the State is responsible for coordinating state objections to municipal land plans. A letter has been sent to the statesmen asking to join the trial project. The project will start when it is clear which states will participate. Furthermore, the Ministry of the Environment has started a project work to review objection practices and planning processes in the Planning and Building Act. The aim of the project is to improve the practice of using objections and to increase the level of coordination of objections from State actors. All the departments concerned participate in this work.
ParlaMint-NO_2013-04-17.ana.ud827e690	I thank the Council of State for the answer. What quickly arises as a situation is that the municipality becomes a kind of hostage in a planning process. The signals seen by local authorities in this area are that the business community sees it as a paradox that areas have been allocated for nutritional purposes, while overall government bodies are more experienced as counterparts than co-players. When projects arrive, there are signals to which it is particularly important to listen, especially for this area where 30 000 to 50 000 jobs are to be established from a 50-year perspective. It is such that when the County, Vegvesenet or Department has such a planned development, it is difficult for business to implement measures in practice. Does the Council of State see this as a hindrance to value creation?
ParlaMint-NO_2013-04-17.ana.ud827e699	I believe that good and efficient planning processes can at least facilitate business development, and it is the responsibility of the municipality to make these spatial plans in such a way that it facilitates the development of business in its own municipality. Then there are many possibilities for objecting and influencing these spatial plans. All these processes have a good purpose: to take care of different societal interests, such as: the possibility of good infrastructure also from a 50-year perspective. It is very sad if short-term plans destroy the possibility of good communication arrangements in the future. We have to take these relationships into the plans in a good way. What we can certainly get better at is that the state agencies are effective and concrete in their input, and not least that the state also coordinates its objections in a better way. That is precisely what this test project is all about, that the statesmen who are interested in it can try out a project where the state is more co-ordinated and thus contribute to more efficient processes.
ParlaMint-NO_2013-04-17.ana.ud827e708	Then my natural follow-up question becomes: What concrete action will the Council of State take to ensure that government agencies become more constructive and more coordinated in their approach?
ParlaMint-NO_2013-04-17.ana.ud827e713	Firstly, this is now in different departments. Both the Ministry of the Environment, the Ministry of the Environment, the Ministry of Transport and others are involved in this and are responsible for the effectiveness of the processes in which they and the underlying agencies participate. The project that I mention is a project where the County can take all the state objections and coordinate them in a good way. Sometimes we see that different government agencies have different input into land use plans and other things, and it becomes extra complicated to be a municipality when even the state agencies are not coordinated. It is understandable in itself, because they take different social interests into account, but when the different bodies of the state are opposed, it may be a good idea that the state is coordinating and not that the municipality should take that job. That's what this experiment is about trying out.
ParlaMint-NO_2013-04-17.ana.ud827e724	‘I refer to question 8 in the ordinary Question Time on 23 January 2013. There are several examples of different treatment options when disabled people with the same background and the same need for skills enhancement seek the same type of training in order to improve their opportunities in the labour market. The individual Nav office or case handler can sovereignly reject the application for a course without the applicant being able to complain. Will the Council of State ensure more predictable and equivalent treatment and ensure that all applicants for employment measures are entitled to appeal, not only those who are granted their application?’
ParlaMint-NO_2013-04-17.ana.ud827e731	The allocation of labour-oriented measures takes place on the basis of an individual assessment based on the needs and performance assessment of what is most appropriate for individual entry into work. That's what's the basis. Both the person’s wishes, resources, and the needs of the labour market will be included in the assessment made. Comparing labour-oriented assistance offered to different people at different times in different parts of the country can therefore provide a rather misleading starting point. The State of Employment and Welfare allocates labour-oriented measures within the framework of the regulations on labour-oriented measures, government budget appropriations and the annual letters of assignment to the State of Labour and Welfare. There is no legal requirement for action, and the number of available measures may be temporarily lower than demand. The Employment and Welfare Act cannot therefore offer measures to all those who wish to do so, but must give priority to the use of measures as appropriate for individual entry into work. This results in individual assessments and overall assessments of the measures as such. When the Labour Market Act was adopted, exceptions were made to the Administrative Act. This meant that persons who need or want the same type of service, in this case a labour market measure, as asked by the representative, are not covered by the concept of party to the administrative law. A practical consequence of this is that they do not have the right to complain about the lack of an offer of measures or refusal of action. I refer to the detailed explanation of this in the proposition presented in 2004. The background to this derogation is inter alia: the number of action sites is limited and results from the financial framework for the allocation of actions. There are also restrictions on which measures are available at a given time. A right of appeal could thus appear to be quite illusory. The rights of individuals, including the right to appeal, have therefore been exercised in other ways. Persons who do not receive action are not completely excluded from handling their case with the Employment and Welfare Act. Users may complain about work performance assessment, and they may complain about the service provided by the Employment and Welfare Act. I see no reason to change this law.
ParlaMint-NO_2013-04-17.ana.ud827e746	That was a disappointing answer. It is rather despairing for those who are applying for a measure. In the case I referred to in the previous question, there was a strong visual impairment, almost blind, who applied for courses that could confirm competence and provide additional competence for the use of Mac. A buddy had got the same thing when it came to Windows. It seems completely pointless when one is given an approved course, and not the other, nor is it given the opportunity to try their case by complaining. When they do not have the right to complain, they do not have the right to be assisted by the Civil Ombudsman. As the Council of State said earlier today, we are receiving enquiries from many dubious Nav users. It is strange that it has to be a big media matter before the council intervenes and see if anything should be done about the matter. When an application for a course is rejected, there should be a reason why it is rejected. If it says in the explanatory statement that unfortunately you can't give a course because there's no economy, that you don't have money left in the Nav office, that's a reason, and then we politicians have to see if it's allowed too little money. [[The President Clubs Again]]
ParlaMint-NO_2013-04-17.ana.ud827e757	The President reminds us that the clock is going a little wrong, so time is up.
ParlaMint-NO_2013-04-17.ana.ud827e760	As I remember, the representative has asked questions about this person in an earlier oral Question Time. I cannot go in and deal with this individual's case. Nor can I know what is at the root of what is the Labour and Welfare Act's conclusion in this case. I notice that the representative has a different view and will apply the right of appeal here. But as I stressed, labour market measures are not a rights-driven scheme. Complaints can be made about disability benefits and other types of social security benefits, but not about this.
ParlaMint-NO_2013-04-17.ana.ud827e767	I think it is wrong not to have a right to complain. The least you should be entitled to is at least a reasoned refusal. If the justification is poor economics, it should be stated – of course it cannot be complained about – but if the reason is that the health status is not that one should have a course or that one does not have a job opportunity, it should be possible for an applicant to have a view on it from other than the individual person in Nav who has dealt with the matter. When you do not have a right to complain, and you do not have a reasoned refusal to proceed with it, it is up to each case handler at Nav to decide the fate of a person. People who turn to Nav think they'll get help. A severely disabled person who is 40 years old and has been unemployed, who has not been in work, but who wants to return to work, gets a refusal without the possibility to complain. Doesn't the Council of State think this may seem very unfortunate?
ParlaMint-NO_2013-04-17.ana.ud827e772	In these cases, there is not one individual treating one applicant; there are often several people who have made assessments, both work performance assessments and other assessments. If he/she is dissatisfied with the service, he/she may make a complaint if you feel that you are ill-treated. But I believe that the introduction of a right of complaint for these schemes will lead to disproportionate resources to deal with these complaints. We also know that in the case of labour market measures, there are some people who want action, and there are often more who want it than those who can get it. In that case, I do not think it appropriate to introduce a complaint procedure. I think that will lead to more bureaucracy and less of what was the intention of the Nav reform, namely personal follow-up of the individual.
ParlaMint-NO_2013-04-17.ana.ud827e781	‘Under the responsibility of the Ministry of Transport there are two independent supervision bodies: the Railway Authority and the Air Safety Authority, and one branch-controlled supervision, the Road Safety Authority. Supervision carries out an important task in order to ensure the safe transport of persons and goods. It is important that supervision has resources to carry out its tasks properly; that they focus on current issues in their areas; that dialogue with the responsible department is good; that reports are followed up; and that the Stortinget is informed. Is the Council of State satisfied with the state of the day?’
ParlaMint-NO_2013-04-17.ana.ud827e788	The Ministry of Transport has overall responsibility for the four supervisory bodies. It is the Air Safety Authority, the State Railway Authority, the Road Safety Authority and the Post and Telecommunications Authority. The representative of Sortevik's question is based on what I understand, on the three former ones. The Air Safety Authority and the State Railway Authority are the ordinary administrative body under the Ministry of Transport, while the Road Safety Authority is under the direction of the Road Director, but with a clear organisational and management distinction between the State Road Administration and the State Road Administration. In common with the three transport regulatory authorities, the activity is subject to guidelines set out in the legislation in the various fields. The State budget provides a framework for activities in each year. The budget proposal also provides a more detailed description of issues related to supervisory work. The purpose paragraph of the Etatsinstruction for each supervision shows that supervision must be an active driver of safe and efficient aviation, on behalf and rail, in line with overall objectives of the transport policy. The Ministry of Transport's letter of allocation, based on the annual budget decision of the Storting, sets out the requirements for supervision. Supervision reports to the Ministry of Transport quarterly or quarterly based on the guidance signals given in the letters of allocation. In addition, annual reports are produced by the supervisory authorities, which is an important instrument for the ministry of administration. Reporting is followed up through ministerial and supervisory meetings. In addition to this formalised governance, the Ministry will follow up inspections on specific issues where necessary. In my opinion, the Air Safety Authority, the State Railway Authority and the Road Safety Authority are organised in an appropriate manner and have sufficient resources to carry out the tasks assigned to them. Any need for changes in the budget, organisation and staffing, if proposed, will normally be submitted to the Storting through the budgetary process.
ParlaMint-NO_2013-04-17.ana.ud827e799	I have two follow-up questions – one about the Air Safety Authority and one about the Road Safety Authority. First, the Air Safety Authority: I understood it so that two years ago, the Air Safety Authority received notices relating to the employment of employees in Ryanair. The Ministry’s letter of assignment to the Air Safety Authority for 2013 states: ‘The air traffic controller shall continue the overall oversight of HMS for flying personnel and maintain good cooperation with the Labour Inspectorate.’;» The follow-up question is: is this also true of foreign carriers landing in Norway and of non-resident carriers based in Norway?
ParlaMint-NO_2013-04-17.ana.ud827e811	It is true that it is primarily through the letter of award that clear signals are given from the ministry to the supervision regarding the emphasis on important issues. This year's letter of assignment emphasises the focus on health, environment and safety, HMS, very clearly. Air traffic controllers have notified that they will soon have oversight of the base held by Ryanair on Rygge. They have also had approx. eight to ten supervision of another company based in Norway. It is initially the home base that determines whether or not you have the right and the power to supervise the company. There is then only the possibility of overseeing the physical and psychosocial working environment, not related to job demands, employment conditions, pay conditions or anything else.
ParlaMint-NO_2013-04-17.ana.ud827e816	- But there's a responsibility for supervision. This is the follow-up to the State’s own supervision, the Road Safety Authority, which is to oversee that the owner of the national roads, which is, of course, the State Road Service, has – and uses – an adequate and effective management system that ensures legal requirements for road safety. I again refer to the two points on the European roads in Hordaland, E39 Ådland Bru and E16 Sundve between Voss and Vinje, where there are too many serious accidents at the same point. Will the Council of State take the initiative to open up two oversight cases at these two points of accident on these two European roads? And will the Council of State ensure that the basis of roadside supervision is extended, so that the oversight of specific points of accident on the main road network is also included in the tasks of roadside supervision?
