ParlaMint-PL_2020-09-11-senat-15-2.u1	I'm reopening the session. [[Mr. Marshal...]] Yes? Senator Mammoths.
ParlaMint-PL_2020-09-11-senat-15-2.u93	Thank you very much. Please take the floor of Senator Kazimierz Wind. You're welcome.
ParlaMint-PL_2020-09-11-senat-15-2.u94	Mr. Marshal! Ladies and gentlemen of the Senators! Mr. Spokesman! Thank you very much, Mr Spokesperson, for your year-round work, for this 2019 report, and thank you to the entire Ombudsman's office, all those people you have talked about here. I have already submitted these thanks at the joint meeting of the Committee on Science, Education and Sport and the Committee on Family Affairs, but here again, especially after the words of my previous speaker... I must say that, at the joint meeting of the Committee on Science, Education and Sport and of the Committee on Family Affairs, these thanks were provided, if you would say so, from both sides of the room. That doesn't mean there were no comments, no criticisms, no questions, but thank you were. I think that's what honesty is all about, to thank you for your efforts, to thank you for a lot of good, but also to point out mistakes or mistakes. So in life it is that if we take action, then not everything always works, and not every idea that works, we like it. And that is also democracy, that there is this feedback loop, which corrects it, shows... It is often the case that taking action alone... The effect of this action is not always intended by him, because there are simply many circumstances. There is no doubt that this is an important activity. I had the opportunity to participate in the bill on the Ombudsman of Children's Rights. It was 1998, 1999 of the last century. And I have to say that we had 2 concerns at the time. The first was whether the Ombudsman and his office would not focus too much on intervention, which is extremely absorbing and temporary, and emotionally, neglecting general speeches, i.e. action to defend this good which is, and to expand this good, which is, by creating for it, legal, but also any other, financial, economic, educational conditions. The second concern that accompanied us at the time was whether this office would cause a tendency to oppose children to parents or not to disrupt these relationships, or whether this call to the spokesperson was a danger. I thank the Ombudsman very much that, despite numerous interventions, you attach great importance to defending the existing good, which is reflected in the general speeches. I have to say, in this area, I will always be sick of it. I believe that this is an extremely important and necessary activity. From the words you spoke and at the committee meeting, and today, it appears that you are very committed to intervention. You also said that these interventions are experiences that are a source of inspiration for general speeches. I understand that. Thank you for that. Maintaining these proportions is particularly important, especially since the capacity of the office is also limited. Thank you so much for defending the family. We know that every child develops best in the family, even if this family is difficult and this family needs help, for the sake of the child. We know that sometimes this help is very simple. Today may be a little different, but when I was very close to these things... In the case of unemployment or alcoholism, it was easy to help, and the cases ended up in court, ex-convicts, that went on... As I said, any action can raise reservations, not always everything is great, but beyond the legitimate criticism there is a lot of unjustified attack on the person of your spokesman, on the office. That's too bad. That's too bad. We would like at least children's cases to be under special protection so that they are subject to a certain social agreement. I thank the Ombudsman here for his efforts to defend his life. I understand that actions must always be carried out here at least two-trackly in the legal dimension, but also in an ethical or social dimension. I don't know... I miss the good word here. Here you need a calm, patient effort, you need conversations, translations, helping. The right of parents to raise children. This is very important. There was a dilemma here. Marshal Borusewicz presented the situation in which a child 15-, 16-year-old... if a parent wants to raise a child consciously and effectively, he must enter into dialogue with him. The warrants don't work here. Anyone who's been doing this knows that. If a parent wants to be ineffective, he's being silly. If he wants to be effective, he must respect the child, he must enter into dialogue. The subjectivity of a young man or a girl is at all the basis of dialogue and relationships. Here, of course, the role of associations, youth organisations is huge. I am pleased that we attach great importance to this in our country. I must say that there is still one thing that has not been discussed either at committee meetings or here, during the speech of your spokesperson and asking questions. These are Polish declarations to the Convention on the Rights of the Child. In 1991, when the convention was ratified, Poland submitted 2 reservations and 2 declarations. Reservations were withdrawn in 2013, but the declarations are. It's about the role of family, the role of parents in parenting. These are very expandable records. It is beautiful that we as Poland, the inspirational author of the Convention on the Rights of the Child... the word about this good law, the model in the world... Poland has made such declarations. Now we have many new phenomena, we have new threats of the 21st century. There is the Internet, there are cyber threats, as well as cultural threats. I don't want to get into this anymore. These are difficult subjects. They need a lot of peace, a lot of conversation. First of all, I'd say... I don't mean to sound trivial, but I'm begging you to get the kids out of these experiments if someone has to take care of them. There are also difficult international issues. For all this, thank you very, very much. There was talk of patronages. In the previous statements, patronages were also mentioned, so that I would not criticize it very much. Is this the place? That's another thing. There's also a question of an image of this activity. I understand that such patronages involve entering social dialogue. Right? It's not just a tag, it's not just a sticker. Mr Ombudsperson, I wish you a lot of strength and sensitivity, which we had the opportunity to learn today and in a joint committee meeting. Thank you very much.
ParlaMint-PL_2020-09-11-senat-15-2.u95	Thank you very much, Senator. Please take the floor of Senator Alicia Chybick.
ParlaMint-PL_2020-09-11-senat-15-2.u96	Mr. Marshal! High Izbo! Mr. Spokesman! I've had the honor of being on the honorary committee with your predecessor, Mark Michalak. After reading the 2019 report, I must say that you are very far from what Marek Michalak was doing. He loved children most of all. The baby was the most important thing to him. It is for me, too. Why am I saying this? I've been working with kids for 45 years, and I think I know kids like nobody. Besides my own, I've met different children, different colors of skin or creeds. I have my own confession, too. But you can't distance yourself from what you think. And you, as the spokesperson for the rights of the child, should be in that position. Think only of the child, stand always on his watch, think of the children as much as possible. Under my care in Cape Hope fights for his life many children And born thanks to in vitro, and born naturally, and children adopted from families like this or other... But it doesn't matter, and it shouldn't matter to you. You should be like a lion to protect children and, above all, love them. It's a report you wrote. I've studied them. It's cold, it's cold, it's just facts. You've certainly worked hard, but there's no warmth at all, no heart for children. For you, family is important... And for you, the most important thing in this family must be a child, not a whole family. Of course a child who isn't born in a pathological family where his father drinks, beats and hurts that a child who has a proper family... But you can't be responsible for the whole world. You can't fix your family. You're supposed to protect the child's welfare, and that's all you're gonna fight for. And from this report you have presented, it is not coming. That's why I'm glad you said you'd be handling all the children's business. The notes that we talked about today, I'm not gonna talk about. But I've written down at least a few of these points and requests to you, which I think you must urgently arrange. Make it... Did you do anything to get the kids vaccinated against the flu? I want to inoculate my three grandkids tomorrow, but I can't because the flu vaccine is gone. And I want to add as a pediatrician about a 45-year-old internship that this is the best moment for vaccination, because once the infection comes, you will not be allowed to vaccinate a sick child. So, in a minute, when these vaccines are here, As we heard here yesterday from Senator Kraska, it will be at the end of September It'll be too late. Did you get the kids a priority to get them vaccinated here and right now? And other children, disabled, etc.? Second, please love your children. That's what I told you. But also do everything to make them happy. If you forcefully change their disposition... what frightened me in this report is that the parent has the right to lead the child as he wishes. Does that mean that if the parent wants the child to be an engineer, even though he plays in his soul. Painting and singing, is that how it's supposed to be? No, the child is a small man and this little man has the right to create his future, from the smallest, and you must help him, not disturb him. Follow Janusz Korczak's footsteps. He was a very wise man who loved children very much. And his predecessor, Mark Michalak, who was just like Janusz Korczak. And in fact, your ideology, your own thoughts, your own position you must submit to the welfare of the child if you want to be a good advocate of the rights of the child and match Mark Michalak. Thank you very much. [[Applause]]
ParlaMint-PL_2020-09-11-senat-15-2.u97	Thank you very much, Senator. Please take the floor of Senator Agnieszka Kołacz-Leszczyńska.
ParlaMint-PL_2020-09-11-senat-15-2.u98	Thank you very much... Can't hear me. Thank you very much, Mr. Marshal. High Senate! I don't know if you can hear me... [[You're on, Senator.]] Good. Mr. Marshal! High Senate! Mr. Spokesman! I didn't ask you questions consciously, because I was a little afraid of your answers, remembering your previous interviews and lightness, or rather the recklessness with which you speak your thoughts and views, and they become as if immediately such a frightening testimony of the reality in which you move, and which unfortunately And you need to know that. It is diametrically different from the world in which we all live and function. I do not want and will not duplicate the words, opinions or declarations you have made, which have gone into the world and which unfortunately disqualify you from the moment you became an ombudsman. They are always widely commented and unfortunately do not allow you to be treated. seriously or with due respect. But that's not what I want to talk about right now, it's how much damage you're doing. Everything you say, and part of the things you do. Those for whom you have been appointed. I need you. It's been said today that the office you're in, or the mission you're about to carry out, needs peace and quiet. It's really important. And most strongly should be heard the voices of concern for the youngest, for our children and young people, i.e. those who most need support and support in us, adults, and unfortunately need support in your office most. I talked about silence, peace, gentleness, but at the same time it must be accompanied by uncompromising, courageous action in the service of all children and our young people. And that's what it should be, that's all it should be for your daily work. And I would like to stress this more strongly that our young people, our children, are truly aware of their rights. Of course, they also know about their responsibilities, and we are proud of it. But they also know about all this because they have done a lot of work and put a lot of effort into parents, schools, teachers, NGOs to equip children and young people with this awareness, in this courage, also with great wisdom. And that's because they're aware of that, we adults are more ashamed of them when they listen to what you're saying, and they see some of your behavior or actions as an ombudsman. We are also wondering whether after this time of your office, after everything that has happened in this position, children and young people still have faith that you will find such values as justice, responsibility for words, honesty, or can have unwavering faith in what Prof. Alice Chybicka also said, that you will find protection for each of them, regardless of the color of the skin, regardless of sexual orientation or worldview. I think that in them, in children and young people, this faith is unfortunately less and less, when they hear about everything that is happening around your position, your office is happening. And we adults, especially us here, don't think we have that kind of delusion anymore. But I'll tell you one last thing, there's only one thing left to believe in us. I hope so, and I believe that the embarrassment that, unfortunately, should accompany you after everything you say, what you do, how you act, will allow you It's a shame, the thoughts that result from it, draw conclusions and bring reflection. And there should be only one reflection: you should understand that the extremely responsible, difficult and unique mission of serving children is not the mission that you should continue with. Thank you very much.
ParlaMint-PL_2020-09-11-senat-15-2.u99	Thank you very much, Senator. Please take the floor of Senator Aleksander Pociej.
ParlaMint-PL_2020-09-11-senat-15-2.u100	Thank you very much, Mr. Marshal. Mr Ombudsperson, I would like to settle a completely different matter than what was the main concern of my colleagues today. There's no doubt about it. And I think what I'm about to say should be very close to you in your position. In view of the welfare of the child, and here you will probably share my opinion, it should be brought up in the full family in which the father and the mother are, and if there is such misfortune that they are separated, divorced or separated, then if the court decides on the basis of the testimony of witnesses, loved ones, on the basis of what they will say, possibly after hearing the child, there is no doubt that if the court decides that the child should have access to each parent, including the one with whom he does not reside, it is the child's welfare. It is our duty to ensure that a parent whose doubts are in question or that a child is bullied that contact with him is a trauma to the family... There are laws that allow us to enforce the separation of such a parent. Here we go. But as for this first case, since the child's best interests are to have contact with the parent, we should have laws that allow us to enforce contact with the parent who, as it turns out, does not live with the child. The Senate, in its previous term of office, developed such an opportunity above the party divisions, it was our initiative, which was based on a petition. We were already behind on the petition committee and were working on the Legislative Commission. And what did you say then? 'Cause I'm afraid you're here for this committee meeting. You said, "There's nothing to hide 'cause you came here to promote a solution that came from the Ministry of Justice." I was also involved in the work on the government project, which is what you said, and I am happy to stress that it has already gone to the Sejm. And further, I ask you to consider focusing on our project, which has a real opportunity to be carried out by the legislative process and which, to the greatest extent possible, will improve the situation of many children. And you missed the truth twice. Firstly, there was no guarantee in this project that the parent who holds the judgment of the court would be able to enforce, better and harder to enforce, his right to see the child. Secondly, on the basis of your statement, our project, joint, Law and Justice, the Civic Platform, the senators of these two groups, unfortunately was blocked by Mr. Marshal Karczewski, who said that, since there is such a declaration and a government, and you, we need to address this comprehensive project, which, according to your words, is already completed in the Sejm and which will be conducted by a legislative path. And where is this project? What did you do during your term of office to make this project appear? Why'd you lock it up? For your own ambitions, because you wanted the project you were working on, as you claimed, to be the one that would allow you to get your chest out for the award? Where's the project? I'm asking. We're working on the same project again today. I have here a letter to you concerning this project addressed to Krzysztof Kwiatkowski, President of the Polish Senate Legislative Commission, in which you do not leave the dry thread on this project and you say not to proceed with it. I'll remind you what you said last year at the committee meeting. I quote you: "So that as for the conclusions... Of course, it is not my role to submit proposals to the High Commission, but it is a request to lean on the complexity of the solutions relating to alternate care and all other ideas that have been able to materialise in the form of 2 projects in recent months and years, 2 good projects, but one much wider one. So that's when you said that this project was a good project, just a narrower one, and now you're writing, again giving the same opinion that it's unacceptable. If you could be careful, Mr. Spokesman, for a second... Can you? Thank you very much. I'd like to know when you were serious and when you were joking. So that project, the same one that's today, was good a year ago, only narrower, and right now it's bad? And I'm waiting for the answer to the question of when your better and wider reporter. Because you haven't done anything about it in a year. Thank you. [[Applause]]
ParlaMint-PL_2020-09-11-senat-15-2.u101	Thank you very much, Senator. Please take the floor of Senator Marcin Bosacki.
ParlaMint-PL_2020-09-11-senat-15-2.u102	Mr. Marshal! High Izbo! Mr. Spokesman! 10 days ago, Mr Mikołaj Pawlak, in a TVN24 edition of Konrad Piasecki, stated that we were letting educators into 20,000 schools and that we would not guarantee that they would not introduce such content as in Poznań, for example, that they would capture a child who was unstable, neglected, to whom they gave some drugs to change his sex without the knowledge and consent of parents and doctors. That sentence is not true. In Poznań, sexual educators do not teach classes with children in schools. During sexual education classes that teachers carry out, no drugs are given away. The only thing a man of honor should do in the face of such a lie is quickly correct and apologize. The Lord, despite numerous calls, today calls of senators in this room, and earlier calls of the authorities of the city of Poznań, did not do so. I would therefore like to inform the High House of 2 cases. Firstly, that I have spoken to Mr Zbigniew Ziobra, the Minister of Justice and the Attorney General, with a letter in which I ask whether the prosecution will deal with the criminal insinuations of the Ombudsman of the rights of the child who may fulfil the signs of the crimes enshrined in the article. 212 of the Penal Code: who asks another person or group of persons for such conduct or qualities that may humiliate her in public opinion or expose her to a loss of trust... If he is doing so in the media, he is punishable by imprisonment or imprisonment for a year. In my view, it is very useful for the prosecution to examine whether we are dealing with this type of crime. Secondly, also in connection with your earlier, equally scandalous statements, such as: I think that the in vitro method, thanks to which tens of thousands of Poles live, is wicked, that you are a constitutionally-enforced, high state function, but you are not an impartial, knowledge-based and law-enhanced high official of our country, but an obsessed ideological war soldier who uses false information, such as that in which you spoke about my city, about Poznan. That is why I consider this as a cognizant, as a senator representing Poznań and as a father of four children. Every day longer, in which you have this honorable function, is an insult not only to common sense, but also to the legal order of the Republic of Poland. You should be removed from this function as soon as possible. Thank you very much. [[Applause]]
ParlaMint-PL_2020-09-11-senat-15-2.u103	Thank you, Senator. Please take the floor of Senator Magdalena Loven.
ParlaMint-PL_2020-09-11-senat-15-2.u104	Mr. Marshal! Fellow Senators! I have a problem with your role as Minister Nicholas Pawlak for two reasons, and I really have great respect for her. I took care of this years ago that the original law, which you spoke about, Professor Wind, and in which you were preparing the Senator was involved, would equip the Ombudsman of the rights of the child with the appropriate instruments for this function, which would allow the Ombudsman of the rights of the child, a full citizen of our country, only the non-voter, before the temptations, the desire not to respect these rights by adults. This was supposed to be a function, and this is what it is supposed to be, independent of the current rulers. Can a person who is dependent on rulers be independent of them? He can't. That's why it's my inquisitive and critical, very critical look at the issue of lack of qualifications, the fulfilment of those statutory standards, which imposed on the candidate for the Ombudsman of children's rights the Act on the Ombudsman of Children's Rights... Mr. Lawyer of these standards, these criteria were not met. And you knew that. You've been missing five years with or for children. There were no years of work, you couldn't prove them. The Sejm with the ruling majority today and the Senate with the governing majority in the previous term have turned a blind eye to this, they said, "That's okay." The criteria apply to a person who would apply for the position of head of a school or any workplace. The first stage, at least that's the way it is in education... If the documents submitted by candidates do not meet the standards, they do not indicate that the eligibility conditions are met, such candidates shall not proceed to the next stage. It didn't happen here, and you were called against the law. If you were a doctor, I wouldn't be picking on you like that, but you're a lawyer. You knew you didn't meet those requirements. Can you stand today, so to speak, by bass and say to the government: a loved one, a child who is 14 or 15 years old and works 40 hours a week... this is no education reform. No, you can't say that because you're afraid and you're addicted to those who called you in spite of your lack of competence. Can you tell the government: 'Yes, I am going to take a firm stand on the side of the children who have been born through the in vitro method, because they are full citizens. If anyone from the government, the Minister of Justice or the Minister of Education, tries to stigmatize these children, I'll stand up for them. Are you gonna say that? No, you won't, because you're addicted to lack of fulfillment... the original sin has been committed. Can you speak openly today about the need to distinguish between spanking and beating? The clap doesn't leave any marks on the record, says the lawyer who needs to know the article. 961 banning the use of physical punishment against children. The gentleman reminiscent of his father's spankings. Are you in line with the views of the ruling majority today? Yes, you're in agreement. Are you in accordance with the letter of the law resulting from the family code and the welfare code? No, you're not in agreement with her. Can I believe you, sir, that, following my statement, I quote an open letter that is starting your report. The attempts to resist nature most often end in disaster. The history of humanity knows many of the devastating effects of social experiments, extreme ideologies or attempts to build new societies. The fundamental laws of nature cannot be overthrown. No government, no organization, no environment, not even the most influential and rich, will force me to participate in social engineering. And who's doing it today? Who disagrees with the fact that the right of a child is primarily the right to be raised by their own biological parents, and the responsibility of parents is to raise their own children? Who disagrees with this in Poland? Who doesn't think family is a basic social cell? You declare here: as a spokesperson for the rights of the child, the rights clearly and unambiguously set out in the laws that have been in force for years in our country, I will make it clear that the child has the right to be raised in the family. He has the right to be raised in the family. I will tell you more: the law on family support and foster care says that since 1 January 2019 no child under the age of 10 is entitled to stay in institutional foster care. What did we do about it? I'm also speaking for myself right now. Previous year, previous year and previous year... Just as you did not fulfil your reporting obligations, the Minister of Family, Labour and Social Policy does not fulfil the reporting obligation for the provisions we applied in 2011. What did you do? By reporting and speaking of the upbringings of twenty-six proven nursing institutions... At 530 children, 127 children, if I remember correctly, are children under the age of seven. That's what you're saying. You have even written to the Minister about this, but nothing will come of it, because in this matter the system needs to be changed. Did you, in this case, defend your family by defending children's rights to grow up, if not biologically, at least in a foster family, do anything? No. Why didn't you? Because you're not an independent institution. You are not an independent ruler from today. Mr Ombudsperson, I do not know why you write that the meaning of the laws is that all members of the community must comply with those rights. I agree with that. But you continue to write like this: no ideology will turn me away from the way of obeying the law. I ask that you observe these rights and do not forget that in vitro methods are not prohibited in Poland. It's unfunded by public funds, but it's not banned. It's forbidden by law to beat children. If you had observed these standards, all that you have written in this report would have been more credible, but since you do not respect these standards, this report, regardless of the number of truths raised, has a fundamental flaw for me: it does not preserve the principles. Thank you. [[Applause]]
ParlaMint-PL_2020-09-11-senat-15-2.u105	Thank you, Senator. Please take the floor of Senator Adam Szejnfeld.
ParlaMint-PL_2020-09-11-senat-15-2.u106	Thank you very much, Mr. Marshal. To be honest, 23 years I am a parliamentarian, and for the first time in my life, I have a difficulty speaking in terms of evaluating a person, and therefore my attitude towards that person, which has a high public function, because everything we know about the views and attitudes of the civilization values that are close to us is, of course, the relations and views of the Ombudsman. He's arguing with the ones I confess. Therefore, it would be difficult for me to even consider you as the person who should perform this function. But you do this, and you have a duty to report, and we, even without pleasure, need to get to know him and express our views. The fundamental principle of a government official, a public officer in a civilized country is not only apoliticality and not just an apartness I wouldn't even move it, because it is absolutely obvious But also neutrality, independence and objectivity. And that applies to every clerk. And in the case of people who have functions such as: ombudsman or ombudsman All these standards are even higher. And they have to be. I'm afraid you're in my opinion. Don't be mad. Or be angry, as you say. It does not even meet normal standards in terms of neutrality, independence and objectivity. This has already been said here by the previous speakers, so I, if you don't mind, will leave this thread on the side, because he doesn't seem to raise any doubts to me. This is the case, and there is no need to carry out further trials of evidence, that it is, especially since we do not have an instrument to change your person in this important position. In that case, I would like to raise just a few very practical points, even hoping Like any man for whom hope has some value That maybe in practical matters, not worldview or ideal ones, you can be counted on. Namely, we have lived for several months in Poland, but of course also in Europe and the world, at a very difficult time. During the pandemic. And, of course, it also affects children, even in this section, which I want to sacrifice two sentences, i.e. education. And, first of all, we're dealing with a very difficult situation here, in my opinion. That is, that children, especially the youngest ones who first went to school, encounter extremely stressful situations, such that, without knowing what's going on, they fear today, as I hear from my parents, even sneeze or cough. Because they're afraid that there'll be consequences of a parent's call, referral to solitary etc. It's hard to imagine that children can learn well and think freely when they're under such stress for a few hours at school. I'd like to know... These situations are caused by regulations, standards that he created and imposed on the education system, schools in Poland, including directors, government, minister of national education. I would therefore like to know if you were involved in this matter. Was it consulted with you as the spokesperson for the rights of the child, or were you involved in the preparation of these standards, these standards, these regulations, those procedures which are now to be in schools in Poland... You're nodding. You're not. Well, I'm absolutely amazed. First of all, the government didn't consult you. Secondly, the fact that if you didn't consult, you didn't protest that you didn't get into this consultation alone. After all, a few million children, including the youngest ones I spoke of, went to school for the first time under conditions that might leave a mental profile in their minds, a mental shadow that will remain In some people, there are fewer, but there are some that are more than standardly sensitive and can have a problem with it for many, many years. You talk about examples, you even give the names of the children you used to take care of. And I'd like you to take care of those five million kids who went to school and today, under stress, they operate in these facilities and, instead of sacrificing themselves to education, education, they're afraid to go to the infirmary. 'Cause I've heard that name solitary. Don't hit 'cause someone sneezed because someone coughed. This is an outrageous thing that is happening in schools today, precisely because of the standards and framework of procedures that the government has imposed on education. And that's one thing I'd like to know. If it wasn't consulted with you, if you weren't involved in preparing it, then what are you gonna do about it? It's 9/11, it's been a decade, these kids are stressed, and they should be happy at school and learn in conditions that don't upset them. Another issue, also concerning school and related to the epidemic, i.e. something you might call educational exclusion. We watched it in the so-called. The first phase of the epidemic is because here there really is no first phase, the second phase of the school when the school was closed when the education was remote. There's data, there's hard data, it's not just media reports. A large number of children, especially from low-income, extra-urban families, etc., but also from families in cities, of course, the place here doesn't matter much, couldn't fully carry out their educational duties, because they couldn't afford them financially, technically and technologically. This case will repeat itself. For now, we only have information about dozens of schools on a country-wide scale, i.e. a very small percentage of children who may have a problem with this, but the severity of the epidemic may come back, then the schools will close down, they will go to hybrid work or even remote work, and this problem will come back. And this, when it will not last weeks, only months, let alone months, if it lasts longer, will actually lead to the exclusion of educational large numbers of children. Is that what you're doing? Do you even care? It has nothing to do with sexuality, so I might suspect not, but I'd like to be wrong. True, it's nothing to do with worldview, ideology, beliefs, religion, religion, religion, so maybe it doesn't matter to you, but I think this is the first thing that should count for you. Not who has what creed, not what religion, not how many hours of catechesis are supposed to be, but whether the student has a computer, whether he has wi-fi, whether he has educational advice, whether he will pass to the next class, and then to the next level of education, eventually to college, and he will be a full-fledged and fully-fledged citizen of our country. These are important things, not just things that seem to interest you. But if so, that's the last question: pedophilia. Well, I think she's already involved with some of the views you're presenting. In that case, I would like to know what you have done and, above all, what you will be doing in the future to limit this scandalous phenomenon. Because I'm not an idealist, and I don't think that in a short time, we can put an end to this. My main concern is that we have reports of such crimes, and we do not hear them being prosecuted. There are even an entire environment, and one in particular, which looks like it They are even under legal protection in this country. Is that what you do? Can you give us some examples... And best not examples, because you often do nothing, but there is one example and you use it as evidence that you do something. Can you pass it on to me? I would like you to write this in writing, and I would also like you to answer these particular previous questions. All your actions in every case where you considered that the relevant institutions of power in Poland did not work effectively or at all when it comes to prosecuting paedophile criminals? This is a criminal offense. No one should be excluded from the prosecution, and there are entire professional groups excluded from the prosecution, the entire community excluded from the prosecution. I want to know if this is what you do. Thank you very much. [[The meeting is chaired by Deputy Marshal Marek Pęk]]
ParlaMint-PL_2020-09-11-senat-15-2.u107	Thank you very much, Senator. Senator Jackowski will speak. You're welcome, Senator.
ParlaMint-PL_2020-09-11-senat-15-2.u108	Mr. Marshal! High Izbo! Minister! Well, we're witnessing a rather lively debate about the role of child's spokesperson, Minister Nicholas Pawlak. Here's what I'm gonna say. Let us remind you that the Ombudsman performs his function under the Act on the Ombudsman of the Children's Rights. This law was created as a result of the entry into force of the 1997 Constitution in which the Office of the Ombudsman was incorporated. The Ombudsman's Office, although not as detailed in the Constitution as the Ombudsman's office, is a constitutional body. Let me remind you that the law under which the Minister is acting is the Act of 6 January 2000, which is more than 20 years old. Let me remind you that this law was voted by the parliamentary majority of the day. These were the times of the Coalition of Solidarity and the Union of Freedom. Let me remind you that many of the Freedom Union activists who are currently... There may be few in parliament today, but those who are still in parliament because, although there is no Freedom Union, they are in another group, they supported this law. In this law it is the only one that emphasizes: in Polish law, the only definition of a child that is formulated as follows: the child is a person from conception to the age of eighteen. So that this is not the invention of Law and Justice or the current majority, because this law has been working for a long time. What your spokesperson said was that this office could be performed in authorship is true. Each spokesperson has his personality, he has his professional profile, the baggage of experience with which he comes to this office, but everyone is trying to do the best he can; the predecessors of Minister Nicholas Pawlak did the same. And I have the impression that this discussion has not brought up a substantive issue concerning the area of the Ombudsman's rights, but a layer, let's call it political-ideological, and in this regard we have seen many statements attacking the Minister Nicholas Pawlak here. Please note that it was primarily criticised for its views, for its public statements, but even its opponents acknowledged that a number of important issues were raised in this report. You were accused of doing this office too, let's call it, as a matter of fact, in this legal sense, but it is difficult for the Ombudsman to treat his office artistically and freely. It is simply governed by the law, by the powers it has under the law, and by the scope of its activities, which is directly and directly derived from the Act of 6 January 2000. That's why in this debate... I wouldn't see her in terms of the serious material charges that came out here. Yes, there are certain directions, certain specific priorities, some situation, such as the pandemic with which you have come to collide, other than in the case of the activities of the spokespersons in previous periods, who in turn had other specific and important problems at the time when they performed their function. All of this can be discussed, but in peace and substance. I'd like to protest against us making the constitutional value of freedom of speech... so that we can pervert it somehow. Mr. Spokesman, like Senator Szejnfeld, like you, every senator, has the right to his views and this is guaranteed by the constitution. Not much, he has the right to express these views. If it violates the law, it has consequences, of course, but it has the right to express them. I would like to draw your attention and warn you that in these discussions... In Poland there is an increasing discussion or such, I would say, an ideological-cultural confrontation in the language, in certain aspects of public life, and this unfortunately smells very ugly something, which is often referred to as the terror of political correctness. And unfortunately for our public debate this, let's call it publicistically, the terror of political correctness is increasingly creeping in. Some will soon postulate that there can be no black and white chess verticals, because it may be racist, and various absurdities, I will not quote them here, to which political correctness leads. This problem was brought to the attention of none other than one of the guru leftist American intellectuals. Noam Chomsky. There is a famous appeal of 150 intellectuals published in the July 2020 magazine Harper's, under which outside Chomsky signed, among others. Salman Rushdie, Mrs Rowling, author of Harry Potter, Francis Fukuyama, very fashionable of his time in liberal or left-liberal environments, and many other intellectuals, writers and well-known figures of public life. In the special interview he gave, Chomsky asked by a journalist why he signed this appeal, even though he had such a leftist opinion, he replied: "Levice suppresses every dialogue, it will be disastrous for us. This is the beginning of the birth of a totalitarian new speech. Those are the strong words Noam Chomsky used. The intellectuals in this letter against restricting freedom of expression observe the wave of intolerance and censorship carried by the left. And the signatories to this letter claim that censorship practices concern many well-known forms of contemporary public debate. High Izbo, I would like to point out that whenever the subject of the right to life, family issues, family values, parents' right to raise their children according to their beliefs and belief in the world is present in Poland today, and so there are some constitutional norms described in our constitution, the ideological interpretation of all of this and the attempt to censor, attempt to disqualify or discredit people who have different views than the liberal-left environment. And this is a very dangerous phenomenon, because it also goes into the language of the political debate. And I would just like to point out that, in any assessment of the performance of the various functions, the various areas of activity of the state that we are dealing with as a subject of reflection and lawmaking, these issues are, unfortunately, also creeping into our House and obscuring the picture of reality a little bit. Many classics observed that for ideologists the facts are irrelevant, ideologists are not able to properly recognize and diagnose reality. Ideologists have pre-programmed prescriptions to heal the situation. And what's dangerous is that there's no substantive debate. This is warned by Noam Chomsky and 150 other important forms of public life. I wouldn't want to go into details here, into polemics with the previous speakers. It would take a long time, and, in my opinion, would distort the meaning of my speech. I would like to appeal to the High House to focus on the merits. If you have indeed violated the Act on the Ombudsman of Children's Rights, etc., then of course this should be criticised. But the point is that we should not use this information for ideological and political purposes in the debate. Thank you. [[Applause]]
