ParlaMint-PL_2020-01-22-sejm-04-1.u1	I promise. So help me God. Mr Jacek Kurzepa.
ParlaMint-PL_2020-01-22-sejm-04-1.u137	Thank you very much, Member. On behalf of the parliamentary club, the statement will be made by Mrs Daria Gosek-Popielek.
ParlaMint-PL_2020-01-22-sejm-04-1.u138	Mr. Marshal! High Izbo! I have the honour to present the position of the Left Club on the draft law on the State Inspection of Plant Protection and Seed Protection. First of all, we are pleased that this law, which should have been in force since 14 December 2019, will eventually enter into force in 2020. The date of 14 December 2019 implies that from that date we are bound by the provisions of the Union Regulation to which it refers. It is very important, for example. food safety and is also designed to address problems related to inspection work or the quality of laboratory work and their organisation. We are therefore dealing on the one hand with the need to adapt our legislation to EU rules and, on the other hand, with the issue of the organisation of the work of the State Plant Protection and Seed Inspection. Unfortunately, this law does not solve all the problems associated with the work of inspection workers, the work of laboratories or food safety. We therefore signal that as a club we believe that food safety control in Poland is insufficient, which exposes Poles to numerous diseases resulting from the use of too many often illegal plant protection products, antibiotics and non-compliance with withdrawal in their use. The best example of this is, for example, recent media reports on the finding of residues of glyphosate in groats sold in stores in Poland. Specialists claim that the Minister of Agriculture must be deprived of the possibility of influencing the work of inspections. The problem is also the lack of supervision at the level of counties and the establishment of inspectors at the level of voivodships. It is impossible to control hundreds of thousands of agricultural producers from the voivodship level, taking into account the current number of inspectors and current expenditures on inspection. The financial thread for the inspection should be raised, and it should definitely be increased. With regard to the draft law on which we are proceeding, due to the EU regulation, as well as the fact that the Left is pursuing a responsible policy, we will vote in favour, but we ask that we address issues related to a slightly different organisation of work of the state inspection. Thank you. [[Applause]] [[The meeting is chaired by Deputy Marshal of the Sejm Włodzimierz Czarzasty]]
ParlaMint-PL_2020-01-22-sejm-04-1.u139	Thank you very much. Mr Mirosław Maliszewski from the parliamentary club Polish People's Party - Kukiz15 made his statement in writing. Let's move on to asking questions. The first is Mr Romuald Ajchler, the parliamentary club of the Left. Please, sir. I'm setting the time to ask a question for one minute, as usual. You're welcome.
ParlaMint-PL_2020-01-22-sejm-04-1.u140	Thank you very much. Mr. Marshal! High Izbo! Indeed, Mrs Niedziela is right. These are two laws that are linked. I am thinking about the Law on the State Inspection of Plant Protection and Seed Protection and the Plant Protection Act against pests. It is a good thing that we are debating these projects in this order, so in the next item of order we will consider the project on protection against pests. High Izbo, an intensive discussion took place in the agricultural committee on the draft plant protection inspection act, which covered not only those issues that have already been mentioned here, and above all health issues, the use of antibiotics, the protection of Polish agriculture against pests. Issues concerning what is exported from Poland were also raised. I will return to one matter I want to signal, namely the question of the seal imposed by the Provincial Inspector (The Bell) who carries out the transport of plants and other checks that have not been avoided, and the question of those who do not respect it. Minister, is there any chance, in the perspective of time, that today there is a second reading, to rule out this issue, as was the case in the past? Thank you very much.
ParlaMint-PL_2020-01-22-sejm-04-1.u141	Thank you, sir. I invite Mrs Jagna Marczulajtis-Walczak from the Parliamentary Club Civic Coalition.
ParlaMint-PL_2020-01-22-sejm-04-1.u142	Mr. Marshal! High Izbo! It's a draft bill... I'm sorry, I have to go back for the right footage. Take your time. We're gonna hold off on the countdown. Sorry, that's not the bill. Madam, I cordially invite you, with a smile on your face. Excuse me again. There you go. Mr. Marshal! High Izbo! With regard to the government draft law on the State Inspection of Plant Protection and Seed Protection, I address on behalf of the Coalition of the Living Earth with the following questions. Will the documents proving the loss of pests be laid down by a regulation of the Minister responsible for Agriculture? Second question: What does the management competence referred to in Article mean? Article 4 (4) (b) and (c) of Regulation (EU) No 1306/2013 shall apply. Four point five? What does knowledge mean in terms of education when it is planned to give up agricultural education? And for what reason is it planned to abandon the requirement of agricultural education? Who's the official inspector? The introduction of a new concept requires definition in the proposed legislation. It is not sufficient to state in the justification that (the bell) is equivalent to the State inspector, especially since the scope of his action is also extended, according to the information given in the explanatory memorandum. Thank you.
ParlaMint-PL_2020-01-22-sejm-04-1.u143	Thank you very much. I invite Mr Kazimierz Plocke from the Civic Coalition Parliamentary Club.
ParlaMint-PL_2020-01-22-sejm-04-1.u144	Mr. Marshal! High Seym! Minister, question. I would like to know how the laboratory issues will be resolved. Will the current laboratories be under the responsibility of the State Plant Protection and Seed Inspector undergo a new procedure to obtain certification? And if so, will this be based on EU rules? And if so, what will be the cost of this certification? Will all laboratories subject to the State Inspector who are in Poland need to obtain appropriate rules on the certification of laboratories? That's it. Thank you. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u145	Thank you very much, sir. I invite Mrs Dorota Sunday from the Civic Coalition Parliamentary Club.
ParlaMint-PL_2020-01-22-sejm-04-1.u146	Mr. Marshal! Minister! High Izbo! I will return to the subject of seed and the definition of seed that is changed. In our view, this change will not be a good change. I would therefore like to hear from the Minister, which was the reason for changing this definition. And I would very much ask for an answer other than the committee meeting. At the committee meeting, you said it would increase the share of your own material. But I'd like to ask if that's really how it's gonna be, if it's not gonna be a duality of seed with which seed inspection is gonna be a problem. What does knowledge mean in terms of? In this concept and in this definition we have a view of the seed which meets the requirements for production and quality for a given category, and it constitutes - and here it is pointed out what. I would like an answer, which was the reason for this change and what the consequences of changing the definition of seed will be. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u147	Thank you, Member. I invite the Undersecretary of State to the Ministry of Agriculture and Rural Development of Minister Rafał Romanowski. Minister, 15 minutes is at your disposal. There you go.
ParlaMint-PL_2020-01-22-sejm-04-1.u148	Mr. Marshal! High Izbo! Thank you very much to the rapporteur, but also to the High House, for being so urgent about this bill, which, as Mrs Gosek-Polish has noted, should come into force much earlier, i.e.. It shall enter into force on 14 December 2019. But during my first submission to the High House, I explained why this procedure was extended. For example, the discount and termination of the term of office of the Sejm. The bill of both was submitted and adopted by the government during the previous term of office, but it was therefore necessary to re-submit to the government and to present your marshal for consideration. Hence, among others. It's an extension. However, all these provisions that apply to the implementation of EU rules are fully implemented. Mr Ajchler once again raised the issue of the seal. We are talking here, Mr President, about very sporadic cases, about cases where the National Tax Administration, in this case the customs officer, has any suspicions. Only in this case... In this case, nothing changes, there's an identical procedure, just like so far, and only in this case. they shall take action concerning those seals. The question of competition proceedings. Nothing changes in this bill when it comes to competition proceedings. Competition proceedings are still under way. Only a Master's degree or equivalent, a minimum of six years of employment, including three years in a managerial position, is introduced. As you have rightly pointed out, the required agricultural education is deleted, but this is only due to the practice and experience of the chief health inspector. It is simply that in many competition proceedings many candidates did not meet these basic conditions and competition proceedings in voivodships were therefore repeated until the correct candidate was found, which met this statutory criterion. The question of laboratories and accreditation. Hence, among others. this change in the law in terms of the structure of laboratories that will pass from the structure of voivodship plant protection and seed inspectors to the chief plant protection and seed inspector. As I presented in the submission, these laboratories will require new accreditation, in accordance with the regulations in question of the European Union. Since they will go to the main inspector, first of all, it will reduce the costs of obtaining accreditation - the costs of obtaining accreditation and not maintaining laboratories, this is a completely different thing - from almost 28 million PLN to 9 million PLN. And only in this case, as far as this law is concerned, that is the savings - on obtaining accreditation. In this way, when the laboratories receive these accreditations, the chief inspector will be able to e.g. order very specialised studies, required e.g. as regards the various controls. It's seed. I tried to explain it at the committee meeting. As a matter of fact, the proposed government bill on the State Inspection of Plant Protection and Seed Protection amends the Seeding Act. This amendment proposes a new extended definition of seed, I repeat: an extended definition of seed, i.e. plants or parts thereof intended for sowing, planting, vaccination, ophthalmology or other means of propagation of plants, e.g. seeds for sowing. It covers all such seeds, i.e. seeds which are certified seed and seeds which have not been evaluated and which do not meet these requirements but are intended for sowing. In practice, this means that uncertified seed may not be placed on the market, i.e. for sale for sowing. Such a rule will apply to all actors, i.e. undertakings marketing seed and farmers who will sell uncertified seed to other farmers. Such regulation will help to clean up the seed market, protect farmers from traders selling uncertified seed. It will also bring benefits to businesses legally marketing seed. The seed rules apply to the marketing of seeds, i.e. shall not apply to the use of seeds on their own holding. This should also sound, because this was also discussed very strongly at the agricultural committee meeting. On the other hand, the issue of the payment by farmers of own reproduction fees for varieties protected by the exclusive right of variety shall be governed by the Law on the legal protection of plant varieties. This law on the legal protection of plant varieties shall not be amended as regards the project in question. Thank you, Marshal. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u149	Thank you very much. I would like the floor of the rapporteur of the committee of Krzysztof Szulowski. 15 minutes at your disposal, sir. There you go.
ParlaMint-PL_2020-01-22-sejm-04-1.u150	Mr. Marshal! High Izbo! There were no questions directly addressed to me here. From this point on, I just wanted to thank all the Members for their work on the committee. Despite the extensiveness of the bill, despite the fact that the matter of this law is so extensive, the work was crafty efficiently, there was no great controversy. I thank all Members for their commitment, for the issues raised at the committee meeting. I would just like to address one point, a very important issue which is addressed in the Act on the Accreditation of Research Laboratories. I think that this is a step towards improving the quality of research, ensuring high-quality research, and the staff of these laboratories - as I am a representative of such an institution, which once had the opportunity to obtain and prepare for this accreditation - I wish you hard work and success in this area. Thank you very much. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u151	Thank you very much. I would like to thank the rapporteur, particularly the Members and the Minister. Ladies and gentlemen, the discussion is closed.
ParlaMint-PL_2020-01-22-sejm-04-1.u152	Ladies and gentlemen, ladies and gentlemen, This law mainly concerns laboratories which are at the disposal of the PIORiN. Laboratory activities are very important both from the point of view of farmers and consumers. It is worth noting that the market for plant protection products against diseases and pests is a market of great value. This encourages various types of counterfeiting, including counterfeiting, illegal imports, leading to inefficiencies in the fight against pathogens. The second task of PIORiN and its laboratories is to control the health and safety of food imported into our country. The lack of effective control also poses a huge risk to consumers. In order to avoid these risks, the PIORIN must be effective and effective, including its laboratories in particular. For these reasons, our club will support the proposed project, despite reservations concerning certain activities of the inspection itself.
ParlaMint-PL_2020-01-22-sejm-04-1.u153	We will proceed to the third reading of the bill in the voting block. We proceed with the examination of item 4 of the agenda: Report from the Committee on Agriculture and Rural Development on the Government's draft plant protection law against pests (prints 62 and 125). I would very much like to ask Mr Zbigniew Dolata to submit a report to the committee. Please, sir.
ParlaMint-PL_2020-01-22-sejm-04-1.u154	Mr. Marshal! Minister! High Izbo! I have the honour to present the report of the Committee on Agriculture and Rural Development on the Plant Protection Act against pests. This law is included in print No 62 and the report - in print No 125. The Committee on Agriculture and Rural Development considered the draft law at its meeting on 7 January. The reasons for the bill were presented to the High House by the Undersecretary of State at the Ministry of Agriculture and Rural Development Rafał Romanowski on 19 December 2019 in the context of his first reading, so I will not refer to the details of this project. Let me just remind you that its essence is to introduce into the Polish legal order the provisions contained in the new regulations of the European Parliament and of the Council: in Regulation 2016/2031 on protective measures against pests of plants and in Regulation 2017/625 on official controls. The proposed law is intended to replace the current plant protection law of 18 December 2003. The adoption of the provisions contained in the draft law is very important in the context of the need to improve the system protecting plant health exposed to numerous, including new pests and ensuring safety in international trade in plant products. During the committee's work, one amendment was tabled and adopted. This amendment was tabled by Mrs Dorota Sunday. The amendment concerns Article. 56 and refers to the levying of inspection fees by the Chief Plant Protection Officer or the Provincial Plant Protection Officers. It specifies that the checks necessary for issuing export certificates will be charged 14 days after the delivery of the bill and not before the check. I would like to stress here that the amendment was tabled by the opposition policy. The opposition often stresses or complains that amendments are rejected. That's not true. If they're material, they're accepted. I hope that there will be more such examples of solid, substantive work, not criticism for criticism. In addition, the committee adopted a number of editorial and legislative amendments which were tabled by the Legislative Bureau. The Commission unanimously adopted the draft law and therefore, on behalf of the Committee on Agriculture and Rural Development, I request the High Sejm to adopt the draft law on printing No 125. Thank you very much. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u155	Thank you very much. The Sejm agreed that in the discussion on this item it would listen to the five-minute statements on behalf of the clubs and the circle. I'm opening a discussion. I cordially invite Mr Jerzy Małecki from the Parliamentary Club Law and Justice.
ParlaMint-PL_2020-01-22-sejm-04-1.u156	Mr. Marshal! Minister! High Izbo! On behalf of the Parliamentary Club, Law and Justice, it is my honor to once again present a statement concerning the Government's draft plant protection law against pests, which is contained in print No 62. The project concerns the introduction of solutions limiting the risk of being dragged into Poland so-called. new pests, e.g. alien viruses, bacteria, fungi or pests that attack plants. It also aims to introduce provisions of European law into the national legal order. Protection against pests is important for both the economy and the environment. The fight against new pathogens requires additional protective measures, which increases production costs. The emergence of new pathogens may adversely affect also for the export of our agricultural fetuses. I think there is no doubt about the need to adopt this project. This was expressed - as you just presented the rapporteur of the agricultural committee - just during the work of the Parliament's Committee on Agriculture and Rural Development, who unanimously adopted it. In view of the above, the Parliamentary Club Law and Justice advocates the adoption of a governmental draft plant protection law against pests. Thank you very much. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u157	Thank you very much, sir. I invite Mr Kazimierz Plocke from the Civic Coalition Parliamentary Club.
ParlaMint-PL_2020-01-22-sejm-04-1.u158	Mr. Marshal! High Seym! Minister! Parliamentary Club The Civic Coalition will support the government's draft plant protection law against pests. The bill under examination implements two important regulations of the European Union. The first concerns protective measures against plant pests and the second concerns official controls and other official activities for the application of feed, food, plant health and plant protection products. Protection of plants against pests is of great economic importance. It is important from the point of view of the national economy and the environment. The plant protection process in Poland will achieve a new legal dimension, which will take place on the basis of new solutions proposed by the government and resulting from European regulations. The validity of this project is to reduce the risk of introduction to the area of a particular country of new organisms harmful to plants liable to cause loss in agricultural or forestry crops. We know well that this process has been accompanied in recent years, firstly, by the intensive development of foreign trade or climate change. The proposed solutions will increase control over the marketing of plant products and commodities in international trade. Mr. Marshal! High Seym! In order not to extend: The project has been discussed very thoroughly and in detail, so I repeat once again that our club will vote in favour of the bill under consideration. Thank you very much. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u159	Thank you very much, sir. I invite Mr Romuald Ajchler from the parliamentary club of the Left.
ParlaMint-PL_2020-01-22-sejm-04-1.u160	Thank you very much. Mr. Marshal! High Izbo! Minister! (PL) Mr President, rapporteur, ladies and gentlemen, Well, as you can see and hear, agricultural laws are fortunate. Unique happiness is supported by the Left, apart from other parliamentary clubs. We support them when we see you doing something right. Because surely there is no and there would be no agreement of the Left to support a bill that does not meet our conditions. This bill does not correspond to the conditions of the Left and the other opposition, but also corresponds primarily to Polish agriculture and food security, as well as the safety of those who eat agri-food products. And here, in this case, when it comes to plant matters, it also protects these plants from pests. I wanted to say that I can't quite agree with you on the issue of the fact that there were no comments. Besides, you know perfectly well that there are votes for and votes against with such laws. And I give back what you said about Mrs Niedziela. Indeed, Mrs Niedziela was the author of the amendment, with which we could not all agree as an opposition, but among others. I, too, have signed this amendment on behalf of the Left, because I believe that if a service is carried out by the institutions of the State, it is already someone like someone, but the State should not enter into this before the service is carried out, but it is in the normal interest that it is done after. But in this debate, I asked the Minister... The Left has a habit of not discussing much with ideas that go towards bringing Polish law into line with European law. We're not discussing it, we're just looking at it. I asked during the debate on this law, also at first reading and during the work in committee, how much in this law is really about adapting Polish legislation to the European Union, and how many works of our officials. Because I'm judging - and I would ask the Minister to correct, if I'm wrong, and we can discuss it - that 80% this law is the work of our officials, who in different ways assign themselves powers, and 20% This is genuinely a matter of adapting legislation to EU law. I'm the enemy. the creation of the law, if it is enough to change it at 20% according to the European Union and for the security we are talking about today, and to complicate the application of it not only in this draft law - I have just spoken about others - this makes it difficult for farmers to live, it is very confusing with the application of the rules. The Democratic Left Alliance supports this bill and, Mr President, if you make such proposals, you can certainly count on support. We were just debating other laws. I am also a strong opponent, and I also expressed this opinion on the speaker - the Left, yes, the Left - of those laws, because it is a entering into the powers of local governments. You have ideas about what to do to lower taxes and reduce government revenue in terms of income, you must have ideas on how to compensate them for the loss of that income as well. This applies to the entire economy, also directly linked to agriculture. So far, the two laws that you have prepared, also the law that we will be debating in a moment, which concerns the increase of surface subsidies for Polish farmers, the Left supports. But, as I say, avoid this country. And this appeal to the Minister not to take advantage of the opportunity that we regulate the law (the bell), we adapt the Polish law... I'm almost done, Marshal. ...to EU law. Do not take advantage of this opportunity and limit the work of your officials, then the Left will support you. Thank you very much.
ParlaMint-PL_2020-01-22-sejm-04-1.u161	Thank you very much. I invite Mr Zbigniew Ziejewski from the parliamentary club PSL-Kukiz15.
ParlaMint-PL_2020-01-22-sejm-04-1.u162	Mr. Marshal! Minister! High Izbo! In the government's draft plant protection law against pests, prints No 62 and 125, solutions are provided to limit the risk of introduction into Poland of so-called plant protection products. new pests, i.e. e.g. viruses, bacteria, fungi or pests that attack plants. The amendment of the rules adapts the Polish law to EU regulations and directives. Protection against pests is important for both the economy and the environment. Agrophages destroy, among others. the crops, and also cause significant defects in the trees. Their fight requires additional chemical protection or quarantine measures, which significantly increases production costs. The introduction of new pests in Poland may have a negative impact on the export of agricultural foetuses. One example is the Ralstonia bacteria found in potatoes in Poland, which limits the possibility of sending these foetuses to the European Union. This agrophag caused a catastrophic famine in Ireland. New pests have been reported in Europe in recent decades, which justifies strengthening the existing rules on exports and imports. An example is a new bacteria that threatens more than 300 species of plants. Most often it shocks plant species of economic importance for Poland. We're talking about cherries, cherries, plums, and other species. The most important plant health tasks will be carried out so far by the State Plant Protection and Seed Inspection. The authority which will carry out checks on compliance with the requirements of the Union Regulation, as well as on the presence of pests, will be the Provincial Plant Protection and Seed Inspector. The Provincial Inspector will also issue as at present administrative decisions if the so-called. quarantine pests or other pests subject to control. New developments will be the possibility of identifying areas free from specific pests, which should facilitate the export of goods to third countries outside the European Union. A specific pest-free area will be established by the voivode. On the other hand, restrictions or orders in force in such an area will result from a regulation by the Minister for Agriculture and Rural Development. The Commission accepted an amendment amending the deadline for the levy levied by the Chief Plant Protection and Seed Inspector or the relevant Provincial Inspector. Fees shall be paid within 14 days of the date of service of the account. Mr. Marshal! I would like to draw attention to two other important aspects. First of all, it's about art. Article 17 (1) (a) and (b) of Regulation (EU) No 1303/2013 2 of the draft Act on the State Inspection of Plant Protection and Seed Protection establishing that an official inspector may be a person who has graduated from higher education. It would be reasonable for them to be compulsory higher education in an agricultural or related direction. In terms of substance, the performance of duties requires a great deal of agricultural knowledge and expertise. Therefore, the employment of middle-school workers in inspections is currently significantly reducing the level of knowledge. I would also like to point out - I have a request to the Minister - that, as regards the workers of this sphere who are responsible for the food security of the nation, the level of remuneration of the civilian corps depends on the basic amount and the multiplier. Minister! Today, the base rate is PLN 2031.96 in accordance with Article. Article 9 (1) (a) and (b) of Regulation (EU) No 1303/2013 Point 1 (2) of the government draft budget law. Employees today work on a budget commission. This commission is from 1 January to 29 February this year. They don't know what salaries they're gonna get this year. Therefore, this commission, which is fixed for these 2 months, will be multiplied by a conversion factor of 1.5 to 2.2. The staff of this administration, who are responsible for such an important area of the national economy, call for a look at their salaries (the bell), all the more so since they are in the country of 1870 employees. Thank you very much. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u163	Thank you very much. Let's move on to asking questions. I'm setting the time to ask questions for one minute. I invite Mr Romuald Ajchler from the parliamentary club of the Left, so having a distance, I say that the Left, not the SLD, Mr. We've moved on.
ParlaMint-PL_2020-01-22-sejm-04-1.u164	Yes, yes, Mr. Marshal. They're habits. I'll probably get rid of them in a minute, but it's still a matter of time. Mr. Marshal! High Izbo! Minister! Because pests are a danger imported to us or already existing in Poland cases concerning not only arable crops but also coniferous forests, and most importantly and what we see with the naked eye, also deciduous forests. Inability to export when they occur in a given area, the rapporteur has said so, as my colleagues have said in front of me - a great deal of damage to the national economy. I would like to know if you have any calculations, which threaten us in these matters, what danger is there? And then there's the second line. I wanted to point out that we used to have (the bell) - I'm almost done, Mr. Marshal - a disease that didn't allow us to export live pigs abroad. We've dealt with it. I'm afraid that sometimes, by chance, it doesn't involve plant production. Thank you very much.
ParlaMint-PL_2020-01-22-sejm-04-1.u165	Thank you very much, sir. I cordially invite the Undersecretary of State to the Ministry of Agriculture and Rural Development of Minister Rafał Romanowski. Minister, you have 15 minutes. If it's short, I'll be smiling at you. You're welcome.
ParlaMint-PL_2020-01-22-sejm-04-1.u166	Mr. Marshal! High Izbo! Once again, I would like to thank the High House for considering these draft laws quite urgently, especially since we are in the international plant health year. Therefore, these laws also meet expectations, precisely when it comes to our Polish plants. But a few of these quite important information that came out and actually raised my deep concern. Mr Zeyewski! We've known each other for years. Budget commission, budget bill is the only law that is subject to four readings. The budget commission does not mean that it is until the last day of February. It depends only on the procedure for proceedings by the High House when the state budget is adopted. Let us remember one basic thing: in the 2018 Budget Act, as regards the State Inspection of Plant Protection and Seed Protection, an increase of PLN 400 was guaranteed for this inspection for each post. In 2019 it was 530 PLN. In 2020 the draft budget law, which is currently being examined, is 6% The guaranteed increase for the State Plant Protection and Seed Inspection, so I do not know what the Member states that, as part of the budget commission, as far as 1/12 is concerned, there is no money in the commission budget for remuneration or there is no guaranteed remuneration in the State Plant Protection and Seed Protection Inspection. The increase was granted in 2019 and is from 1 August and has normally been entered into the remuneration of each inspector employed in that inspection. This message should be very clear. Mr Ajchler raised the issue of self-creation or more of administrative staff, the central office of the Ministry of Agriculture. Mr President, I would like to make it very clear that, in the case of this law and practically all the laws that implement the provisions of the European Union and implement EU legislation, the proportions are definitely the opposite, as you call it, the joyful work of the Ministry's staff is 10% , maximum 15% and concerns very important things about this law, because this applies, dear country, to the export of plants to third markets, i.e. to countries other than the EU. And even if the requirements that Russia is still standardizing for us, and the new provisions on their part require this kind of amendment of the law. This is why these rules appear, but they only meet the expectations of the social side, where this aspect was raised. This is the issue of this amendment, which was tabled by Mrs Niedziela on the part of the opposition. I would just like to point out - as I said in the previous law, so I will repeat this also with this law - that this law was tabled by the government to the Sejm of the previous term. In view of the discount, this law has been presented to the High House once again to proceed. She is fully implementing EU legislation. But returning to this amendment, I would like to say that this law has been consulted socially twice. During this two-time public consultation, the scope of this amendment did not arise. It only appeared at the committee meeting, it came from the social side on the day of the agricultural committee meeting. All these comments which were made by the social party during the proceedings over this law, as well as the previous Act on the State Inspection of Plant Protection and Seed Protection, were fully implemented in these provisions. Thank you very much.
ParlaMint-PL_2020-01-22-sejm-04-1.u167	Thank you very much, Minister. I invite Mr Zbigniew Dolata, rapporteur. 15 minutes, sir. Why? That's for the honourable Member's recognition.
ParlaMint-PL_2020-01-22-sejm-04-1.u168	Mr. Marshal! Minister! High Izbo! I would also like to thank, above all, the Minister, the staff of the Ministry of Agriculture and Rural Development, the Chief Inspector for Plant and Seed Protection and his staff, of course, also your Members, especially Members who worked on the committee. There was indeed a substantive discussion. I have already said that the opposition amendment has gained recognition. For the sake of clarity, Mrs Niedziela reported it, but it was submitted by a third party, the Fruit Union, which shows that... Vigilance. Yes. ...people respond to all kinds of social needs. On this point, because Mr Ajchler directed part of his speech at my address, I express some surprise at the approach that the law that we are implementing from the European Union considers unblemished, even ideal, but what the ministries are possibly preparing is a joyful work. I believe that the Polish government, the Ministry of Agriculture, is primarily concerned with the interests of Polish farmers and we are, of course, implementing EU rules, but we are primarily concerned with the interests of Poland, the interests of Polish farmers, because to this, Mr. Thank you very much. [[Applause]]
ParlaMint-PL_2020-01-22-sejm-04-1.u169	Thank you very much. Please, sir, but briefly, please. Let's not fight.
ParlaMint-PL_2020-01-22-sejm-04-1.u170	Very briefly. Mr. Marshal! Mr. Speaker! Before these laws we discussed, among others, the subject. departments. I want you to read these laws. You will come to the conclusion that much, much is lacking in supporting them, so that the Left can support them, because they have nothing to do with the quality of the work done by the agricultural ministry. And that's what I wanted to say in my speech.
ParlaMint-PL_2020-01-22-sejm-04-1.u171	All right. Thank you very much. I wanted to thank all those who worked on this bill very warmly. The discussion is closed.
ParlaMint-PL_2020-01-22-sejm-04-1.u172	Mr. Marshal! High Izbo! It cannot be denied that the protection of plants against pests is important both for the economy and for the environment. Agrophages destroy, among others. harvests, but also cause damage to the trees. Their fight requires additional chemical protection or quarantine operations, which increases production costs. The introduction of new pests in Poland may also have a negative impact on the export of agricultural foetuses. At this point, however, it seems appropriate to ask for the protection of all groups of producers of agricultural foetuses, with particular regard to the production of bees and the protection of honey plants. Will this regulation not have a negative impact on this agricultural sector?
ParlaMint-PL_2020-01-22-sejm-04-1.u173	We will proceed to the third reading of the bill in the voting block. Let the agrophages tremble from now on. We proceed with the examination of item 5 of the agenda: Report of the Infrastructure Commission on the Government draft law amending the Construction Law and some other laws (prints 121 and 156). I ask Mrs Anna Paluch to submit a report to the committee. Come on in. There isn't. Well, maybe I will. The Member is heading our way, so using good rules and a smile on his face, we will wait for a moment. I can be a worthy substitute. However, I think we will wait for Anna Paluch, while respecting your desire, of course. That's how the PiS underestimates us. It's too late. I can't imagine such a... So many people, ministers waiting, all of them. Ladies and gentlemen, I would like to move on to the next point, but there are no rapporteurs to the next point, so I will either announce a break, and I would like to wait for a moment, or I will wait another minute to apologize for the Member. Mr. Marshal, maybe there's another rapporteur. No, there isn't, sir, because in an efficient, brilliant and intelligent way I would have ordered the next point, but despite my ability, intelligence and brilliance, I can't do it. [[Speech Off the Microphone]] It's good, but it's not presumptuous. [[Joy in the Chamber]] So it's not your club. Next point, here I am. I'd be happy to present the committee's report. [[Joy in the Chamber]] The Committee on Agriculture. The government website would be happy to respond. So what? Wait, wait, wait, wait, be patient. Let's wait... Thanks to the courtesy of the rapporteurs and ministers, we still have a shorter time, so... How short? There's a delay, and then there's... But, Commissioner, we have a weekend in a moment, you just have to be tolerant, smiling. Let's show that we can. [[Exhibitions in the O.R.]] Mr. Marshal is tolerant. I can. I'm not in a hurry. The only problem is, I can't imagine... Madam, may I pour you some water, for example? [[Joy in the Chamber]] I'm afraid of your water. Mr. Marshal, coffee? Would you like a cup of coffee, sir? Thank you very much. And this committee is sitting in Stockholm for so long? Oh, here he comes. He's coming. Thanks to the efficiency of the proceedings and tolerance of the High House, you have not lost your head because we were about to draw your attention. I was in the U building at the committee meeting, but I'm here. Okay, ma'am, but I have a very kind request for you. Very friendly, I'm so cordially admonishing you. Let's hear it. We've been waiting for you for six minutes. There you go.
