ParlaMint-HR_2018-12-05-0.u101849	Thank you, time. Mr. Marko Vučetić on behalf of the Independent Representatives Club.
ParlaMint-HR_2018-12-05-0.u111006	Thank you very much. The next replica is the respected representative of Maria Jelkovac.
ParlaMint-HR_2018-12-05-0.u111007	Thank you very much. Dear Minister, I'm really glad you fixed some things up from the first reading until the second reading. I think this kind of formation of the State Inspectorate is a much better solution than the existing one. First of all, I think it's good for our citizens because in the existing system it's not possible to file a complaint as a regular legal remedy on the inspection report, for this reason we don't have two-stage resolution, so we have to go to the lawsuit immediately. In the new system, therefore, complaints will be able to be made and in this way the parties in the proceedings will be able to use the Institute of Appeal against the Ministry before the administrative court, and I think it is certainly in favour of our citizens. I'm just asking you to tell me if it's possible that in those intense summer months they come to help, say, the sea, some services because we know that the inspector is an insufficient number in such summer months? Thank you.
ParlaMint-HR_2018-12-05-0.u111008	The answer of the Honorable Minister Horvat.
ParlaMint-HR_2018-12-05-0.u111009	Here's to this second part of respected parliamentary deputies, the answer, so this first finding is both credible and thank you for it and the law provides that people who will be systematised in the central state office, can, without any specific instructions or provisions or consent, be engaged in the activity of the state inspector throughout the Republic and those inspectors who will be systematised to their jobs within the premises and regional offices, based on instructions issued by their main authorities, will be adequately required, deployed to a number of days and in other areas of Croatia, in order to carry out inspection surveillance on the whole of Croatia, depending on the needs uniformly and efficiently.
ParlaMint-HR_2018-12-05-0.u111010	And the last replica is the esteemed representative of Ivan Shuker.
ParlaMint-HR_2018-12-05-0.u111011	Thank you very much. Mr. Minister, ladies and gentlemen of the State Secretary, do you really think this play was a coincidence this morning? It's not. Because when the State Inspectorate was abolished, then the ministers made their own empires and at the head of those inspections, appointed their own people. And what they're attributing to this government today, they did it about five years ago, and they're just afraid for those people, and that's why they made this play today that they did, and I'm going to talk more about it in an individual debate. However, something I would like to share with you, Mr. Minister, is a body for a secondary procedure. This may be one of the most important construction units in the State Inspectorate, and I think that perhaps in law it should have been pointed out that he is the head of that unit's assistant chief state inspector, because it is one body that is operationally looking at perhaps the most important. It brings together all complaints from all the inspectorates and they are the ones who, before the administrative court, give the last word and the word... [[The speaker doesn't understand.]]
ParlaMint-HR_2018-12-05-0.u111012	Thank you. The answer of the Honorable Minister Horvat.
ParlaMint-HR_2018-12-05-0.u111013	Thank you for this suggestion. I'm not even saying that at this point we accepted it or we didn't accept it, so that moment of vote of intervention in the law is possible. If this is a political play or something, I wouldn't talk about it right now. Therefore, my task was both technical and legal and pragmatic and physical in order to say a legal proposal, and I will take advantage of the opportunity to read you a sentence that I will never give up with the intention of better coordination between inspections, adequate planning and supervision in the application of the rules, uniform treatment of economic operators, other words more effective in carrying out inspection tasks.
ParlaMint-HR_2018-12-05-0.u111014	Are the committee's reporters now going to take the floor? No, I don't. Then I open the debate and the first will be the GLAS and HSU Representatives' Club in the name of which the respected representative Anka Mrak-Taritash will speak. But before that, let's all welcome to the gallery of students and students of the O.S. Petra Preradovic from Pitomaca, another group.
ParlaMint-HR_2018-12-05-0.u111015	Thank you very much, dear Vice-President of the Croatian Parliament, distinguished ministers with all co-workers and state secretaries from other ministries. We have before us a second reading of the State Inspectorate Act. We from the GLAS and HSU club as well as all colleagues who will be here soon do and formally one Amsterdam coalition that is announced and will be formally signed these days and we have decided to stay in this debate, we have decided to say what we think about it, we have decided through the debate and to list certain and dilemmas and problems and everything else that we think will come through this State Inspectorate because it seems to us that the topic is extremely important and extremely important and that it should not be... and go and say that I will not participate in this, that it is much more useful to participate in the debate and make it clear what problems can be created here and what we appreciate that can be good and what we appreciate can be bad. [[The speaker doesn't understand.]] And that's how we're going to work in this assembly because they chose us to talk about problems and not talk about them. I'd like to talk about this subject through a few groups of problems. The first group of problems is organisational, so it's decided and it's reforms that I think don't fit here and there's nothing about reform, but it's something that the government has decided and it's equally consistent and has quite enough hands to vote on, and no one should doubt that what they've decided and the intention they intend to carry out. I have one at the club when we talked and together when I consulted other colleagues, so it's enough, no matter how big the minister said he couldn't say at this point how many people there would be, it's pretty important to know how big a body would be. Is that a body that can be managed at all? So I really don't want to go back and I won't go back and tell you how many people there will be, but if it's really true that it's going to be about 1400, 1500 people it's going to be hard to manage and it's going to be another state inspector who's going to be another couple of coordinators who can coordinate it all together. Similarly, let's say technically, I'm thinking now purely technically that something might work on April 1st and on April 1st, tomorrow, in order for the inspection to be able to do its job you already need to know about what resources you need, you need to know how many people it is, you need to know how much I'm talking about these boards all the time, you have to change at the local level, because more will be, so the State Inspectorate, otherwise it's going to be called, how much it is, no one has said what it means to the budget, what the additional funds mean for it all together, where these people are going to sit, which means for some material things, how many cars it's going to take. So there's this series, a series of things, that means colleagues who coordinate it, and the coordinator is the Ministry of Economy, they have to tear their legs apart until they put it all together, until they get all the data and all the groups in one place. So that's one organisational problem for you. Because what's experienced is that when something like that starts, then the first six months no one does anything until it's seen, until in those six months the debate starts, who's going to sit and who's going to sit, what's going to be called, and we certainly can't afford it. The second topic I want to talk about is the subject of the role of inspection. Being an inspector, let's be honest and say, being an inspector isn't easy and it's not easy. Getting a quality inspector, too, no matter what group of jobs we're talking about, it's just not as simple. Why am I telling you this? So someone who is an inspector must have knowledge that is absolutely related to administrative procedures and making a solution because solutions to the inspection really shouldn't fall for formal reasons. It must have expertise, so it must have expertise for certain problems and a certain group of problems. And thirdly, therefore, he must be absolutely consistent in his decisions for a simple reason because already just entering an inspector anywhere causes impatience, attention because every time the inspector comes, everyone has a feeling he'll definitely punish me and I must have done something wrong. The role of the inspection should also be at that, so I no longer doubt that there will be no such great inspectorate, so the decision has been made, we go to another reading and that great inspectorate will be. The role should be educational and advisory. Educational and advisory for the simple reason why what you really should do should work, whether it's counselling, whether it's round tables, whenever some regulation changes, but even when you have existing regulations that people can come and ask, that people have, that you have some instructions about work for a simple reason, so, and it's always the first time, someone can make a mistake, the second time he made a mistake, he didn't make a mistake by accident but he made a mistake on purpose. So if we really want to bring the inspection to the level that I'm absolutely sure it should be, so they should have one advisory role, one instruction to say so, with some kind of a palette of all things that they've seen in a year and they've said they've been repeating this and that problem, don't do it anymore, and then the role of inspector should be absolutely clear. So, that one fear of inspection, when the inspection comes, I'm certainly going to be punished for something, I must have done something wrong, would, the role of being a state inspectorate and an inspection to make it all less, to a lesser extent, somehow reduced to the least possible measure. When we talk about the work of the inspection, so I have to admit, in my working life, the most important thing I've ever met with the work of a construction inspection, and then I can do more about it, but I'm going to do it in this third part of the inspection, but there's another thing that's extremely important, extremely important, it's very gently defined here in Article 55, it's preparedness and work behind working hours. What bothers our citizens absolutely is this, when I set an example here on the weekend, and I will set an example here, you know I was also in this assembly when I was on the other side and defending another law, then I was told by a parliamentary representative who no longer sits, that there is traditional self-building in Croatia. Then when I asked for a little explanation of what traditional self-building means, then it turned out that traditional self-building in Croatia, when you have, when friends come, you buy construction material and on weekends you work, because the weekends don't do inspection, then it was an explanation that it was traditional self-building, Friday afternoon, Saturday, Sunday, nice weather, the floor is there if there's enough that are ready, then the next weekend, the next, you come under the roof and talk the end. So it's extremely important that the inspections work and be available beyond working hours, so behind formal working hours and weekends, for the simple reason that the citizens really call the inspection, call the inspection because it has to, because it's happened, the reason why they call and then of course they call, the inspector doesn't call, they can't win anybody, and then they call someone else, and then someone says but we don't do, if it's already one big inspectorate, if it's already one, one bulky system, then it would be extremely important that you have a special head, so that you have a special head and that you take care about the work behind that formal working time, so in the afternoon, it's important for both catering and for a number of other things, and the work on weekends, that other words I want to say, the inspection must be available 24 hours of work, because when the word stops, some of 8-16, but some things are actually happening in the evening, and in the late, and should be organised and in time, and in time, and in time, and in time. Also, I'm going back to that first topic that I started, and that's the way and the structure and the organisation. We at the GLS and HSU Club, we appreciate that it is not a good model for the chief state inspector to be directly responsible to the prime minister, that it seems to us that he would be much better if he were responsible to the vice president who is in charge of the economy, because it is an inspection for that part and it is not a good way and in that sense we are willing to give a few amendments. And I'm going to go back to an inspection that I really know a lot about, which is a construction inspection and the role of a construction inspection, and there's a relationship between that of my favorite topic, the communal directors. There somewhere in 2013, when they were doing a set of laws, then in that set of the Law, among other things, we sat down with the Association of Cities, and a little talked to them to see how that, therefore, inspections were always a problem. If they work and then punish, they're a problem. If they don't, they're an even bigger problem. So that's where I should find some measure, and that's why I was stressing this, this need for a so-called instruction, and then when I get back to this topic, and when I talked to the City Association, then the mayor's principal said, but we have a problem, really, when the centralized inspections, and I'm really talking about construction, we should still have some possibility of spotting, we know a lot more, and then the law was passed, and then decided to increase the power of the communal directors. Why? Because the communal directors for their work respond, so, that is, they are employees of certain municipalities, certain cities, indeed, are on the ground, they can come much simpler in some situations, and then some, some of the jobs that communal monks can do, have increased significantly. So, unfortunately for those communal directors, as someone changed the rules, then it was a rescue solution -- let the communal director oversee it. So the regulations of the waste area, send them to the communal director, and when they were the subject of animal protection, the communal directors. I made a joke, and from this pay phone, I said something that I'm going to say, and now I'm going to repeat, the communal directors today have so much authority that only as I know they don't break up marriages and stuff like that, they do this all the other things. What do I want to tell you? If a really building inspection, such as the proposal now, is part of this great state inspectorate, what will have to be changed urgently, is the Law on Construction Inspectors, the jurisdiction of the communal directors, the attitude towards them, and you will have to define it from the definition that we would be operational in that part at all. In the debate I had in my first reading, I debated when it comes to building inspection the following way, I said if the building inspection must be in that great State Inspectorate, then make the following that the whole building inspection is because it won't be good to keep part of it at the Department of Construction, and part goes to the State Inspectorate because it's just not good. It would be incomparable to me if you had listened to a colleague, Branko Bačić, who said in the debate the construction inspection must remain in the Ministry of Construction and Spatial Planning. And I kind of thought, Mr. Bacic is the club president, you're gonna have to discuss it a little bit more at the club and the construction inspection will stay at the Department of Construction and Spatial Planning and I'd rather you listened to him than me, but what's done is done. When you look at some of these other inspections, then you have to look at what's the point and what's the goal. If the purpose and purpose of all the inspections relating to a particular topic are to be in one place and they are to go out together, then I can say that this sense and this ultimate goal related to food, related to agriculture, related to these other sectors, have been achieved. With regard to the area of construction not being achieved because you will now have, I suppose you will not give up, regardless of what I am saying from this pay phone, regardless of the amendment that will be given, if the purpose of the Construction Inspectorate being in this great Inspectorate and having this one great inspectorate, then it is with construction, and I will repeat what I have been saying to the Committees and what I am saying now, then there should be everything that is related to construction, and I stress two inspections. One inspection is with the responsibility of protecting cultural monuments, and another inspection is an inspection that has the authority to work on marine goods. What am I trying to tell you? Someone who works construction works on a building that is protected from the aspect of cultural heritage protection, calls on the inspector who will continue to be in the Ministry of Culture, he will establish by his decision that he is doing works on the monument of culture, but he cannot continue to act. He will again now in the State Inspectorate call a building inspector who will come out again and determine something. If you wanted to have the whole story in one place, then in one place it should have been. So, these inspectors from the cultural heritage protection aspect, I'm sure they're gone more than 10. There's not more than 10 of them, there's relatively few of them. Why did you leave them to the Ministry of Culture, you know it's hard for me to figure out. Equally from the aspect of building on the marine good. With us at this point, I'm sure, the most illegal construction on maritime goods for reasons, all of them praying, all of those kind of upgrades, all of those kind of spillages are basically illegal construction because they couldn't be granted approval, you had to have concessions and everything else. And there you have again, this double-action now, not just double-action inspection, but double-action two bodies. So, inspectors, we're not talking about concessions on maritime good, but I'm talking about the work on marine good, and so, next topic, I might be in an individual debate, when the inspectors who are on the side of road work are, but now I'm just going to, because it's relatively little time, on the maritime good. So someone on the maritime good goes to build a mall, he first goes to an inspector who's in charge of maritime well-being and finds out that they really are, it's called the port captainship, so everything else and he finds that on the maritime good someone does the mall. But then he calls a building inspector who has to come up with a solution because it's the theme of construction. And then, of course, it's organized, when this one, in principle, is very difficult to determine who was working on the maritime good, because no one will admit that he was doing it. So you can't catch anyone... When someone is working on their cathartic particle, then you can very easily determine, look, you're an investor, you're on a maritime good no one will admit for the simple reason that breaking down on the sea's good is extremely expensive, complicated, you have to organize jars, boats, special machines and everything else. [[/The speaker doesn't understand.]] So, if it's already a decision to do a great State Inspectorate, I have to admit that in one of our own, therefore, we are at the Glada Club and HSU, and we have talked more widely with our colleagues, it's acceptable that some of the processes from some group would really make sense to be all inspectors in one place. But then if you decide to do it, then you have to do it consistently and it has to be meaningful. If the reason to be faster, more expedient, for inspections to do their job, to reduce the reason why you have the inspection, then you have to have it in one place when there's a topic of construction at all, and you have to admit that when the Inspection's work related to the building, these are hot pictures because they're always some kind of collapse, there's always some story about all this, this Law has not been achieved. Otherwise, to end, we're getting more and more regulations in this House where when you ask the question then the answer is we didn't define it by law, we're going to define it by sublegal acts. Basic things must be defined by law. The basic elements and conditions must be in the law, and the Sublaws are exactly them, they elaborate the basic conditions defined in the Law. In other words, we at the Voice Club if there's a solution like this, we'll have a series of amendments, if these amendments don't get accepted, and it's hard, I have to admit... You give the Amendments then you just say you don't accept, we can't and we won't vote for this law for the simple reason that there's one part that's not done properly and that isn't done in a way that will result in something better. [[/The speaker doesn't understand.]] Likewise, if a large inspectorate had already been decided, why did we take the situation to decide in the last two weeks of the assembly, and there was plenty of time for this law to come before and in the first and second readings and maybe more opportunities and time to discuss it. Thank you.
ParlaMint-HR_2018-12-05-0.u111016	Thank you, too. On behalf of the promoter, he will now take the word of Minister Darko Horvat, Minister of Economy, entrepreneurship and crafts. Here you go, Mr. Minister.
ParlaMint-HR_2018-12-05-0.u111017	Thank you, Vice President, once again nice greetings to all MPs and MPs, you don't mind me saying this, but I'm always happy to pole with you, constructively polarize, always until now the debate has been depoliticized, and the law's bodies are not understood, and then I can't even discuss it. Just two short, two short technical details about the clarification. So, your concern about whether at some point the inspectors who will find themselves no more in the ministries but in the State Inspectorate will provide the salaries and all material receipts in due time, all material needs to effectively carry out their tasks, is my answer that, already now, and a few days ago when you had the opportunity to vote on the state budget, I'm sure you noticed that there is a special division called the State Inspectorate and within that state inspector we have provided for all the material rights to bring that state inspectorate back to life. Likewise, at the same session where the law referred to another reading, the Government has formed one expert commission which I hope to share with the Joint Forces, or I am sure, because I will coordinate this committee to approach the creation of a regulation on the internal structure of the State Inspectorate in question and all those resolutions which I shall dare at this moment to tell the village inspectors from the supervision of the Ministry to the State Inspectorate will participate in the work of that committee. I also fully agree with you and, unlike some, I welcome your conclusion that, in addition to the need to amend and supplement other laws in order to bring the legislative framework into line with this law, we need to have a united debate in order to adopt the State Inspectorate Act at the same time and all those laws in which certain amendments are introduced and complemented in order to work with the Inspectorate in question. What we have conflicting doubts, so I don't doubt whether in the draft of the law we have clearly explained to us what or what technical equipment the senior building inspector – specialist, senior building inspector, building inspector, I have the other doubt that we have introduced into the law very specific and strict provisions of what in formal education but also the practice of such people must have in order to at one point or move from the ministry's intelligence into the authority of the state inspector, but I am afraid that at one point, given the need for such people precisely because of these very strict criteria that we have introduced, a lot of problems with filling all these systematic jobs with adequate professional training and adequate work experience. So, better coordination, united inspection supervision, inspectorate in the function of creating a competitive economy. You know why else? Not only is it possible for entrepreneurs to come and punish, not only to come and strike fear into the bones, but also to create for all of us to create the same conditions for business and for those who knowingly and knowingly respect the legislative framework and those we need to, I will not say, but also to certain first preventive ones, and then perhaps by repressive actions to make them respect that same legislative framework. So we want to make the same rules for everyone in Croatia, and then we want these individual economic operators to agree to show their ability to be good or better or best. Thank you.
ParlaMint-HR_2018-12-05-0.u111018	Thank you, too. You have five replicas. First, you will be replicated by Mrs. Anka Mrak-Taritash.
ParlaMint-HR_2018-12-05-0.u111019	Thank you very much, Vice President, Your Honor. If you're in opposition, the only way he can hear you is a pay phone. Therefore, we who are here form the Amsterdam coalition and which we will soon and formally sign think we must use the Assembly to hear us because it is our obligation to those who have chosen us. Ignore the problem, the problem won't go away if you ignore it. Therefore, we need to make our views clear and make it clear what is bothering you, and that is this pay phone. And I'm stressing all the time, and I'm going to stress further education, education, education. Morte has a quality inspector, inspector, when he comes to the field he must have one piece, so he must manage all the administrative procedures well, but he must manage the expertise. And it will be the task of the State Inspectorate, as you will see for yourself, there will be the most problems and here I am sure that the key problem is to get a quality fit.
ParlaMint-HR_2018-12-05-0.u111020	Thank you. Mr. Miranda Mrsic.
ParlaMint-HR_2018-12-05-0.u111021	Mr. Minister, you just said what I said and in my replica earlier that you would hire new people because it is seen from the law, it is also evident that you have now announced that just those who are now in the inspectorates will not be able to come to the front post and everything else, but what I would like to point out was that the state inspectorate was a litter of corruption and it was seen that when we separated the inspections then we carried out security checks for those inspectors and we saw that some inspectors were violating the laws of the Republic, smuggling cigarettes, we were punished, etc., and we were still inspectors. In this law of yours, you avoided it and you removed it and I think it's one of the big mistakes that you didn't introduce security checks for state inspectors, so you made it possible to continue to be corruption in the inspectorate.
ParlaMint-HR_2018-12-05-0.u111022	Thank you. Here you go, Mr. Minister. Answer.
ParlaMint-HR_2018-12-05-0.u111023	I will repeat the sentence that I have already said today, nor am I a security intelligence agency, nor am I a DORH, nor am I anyone who will make decisions and sanction in the manner that you had the opportunity when you recklessly abolished and docked a state inspectorate, so you took over almost 250 items based on which you could sanction at least one of those inspectors you wanted to sanction today. But the Honorable Parliamentarian, when you had the chance of 250 cases, you didn't give a single sentence.
ParlaMint-HR_2018-12-05-0.u111024	Mr. Ivan Shuker.
ParlaMint-HR_2018-12-05-0.u111025	Well, it's very interesting when we adopt some sort of act in a very short time so we don't know what act we're adopting. Among other things, the budget clearly states that the State Inspectorate has received its division and that the funds from that division can be used as 1.4. It's just facts. However, the reason for my replica is when you mentioned the inspector problem, etc. So first of all, it has to be highly educated professional people with experience, but now the question is raised given the salary everything that in particular in some occupations we'll get people to do this job, and another thing if we don't technically equip them, if we won't allow them at least 3, 4 years of major job-implementation, unfortunately they won't be able to do their job quality. Because those who are contrary to the other side are also educated.
ParlaMint-HR_2018-12-05-0.u111026	Okay, Mrs. Grozdana Peric.
ParlaMint-HR_2018-12-05-0.u111027	Dear Vice President, respected ministers with associates, therefore, the apriori is here to say that all those people who are going to work in the state inspectorate, that they are corrupt, that they are unquality, etc., and they are not actually saying that this achieves the unification and efficiency of the entire system because what you said entrepreneurs must know who is controlling them, how to know what they are doing and that they do not have a new inspector every day and that instead of focusing on their work, they have to prepare all the documents that are related to the verification. So we're about to check, to make it simple, quick and efficient.
ParlaMint-HR_2018-12-05-0.u111028	Thank you very much. Good and last replica, Mr. Ivica Misic.
ParlaMint-HR_2018-12-05-0.u111029	Thank you, Vice President, Your Honor, Minister Horvat with his associates, I'm glad to hear you say it will be the same rules for everyone. Of course, to this day, I can freely say that they were not the same rules. Usually inspectorates, inspectors saw if it was a good working time, whether it was signed somewhere in the toilet or not, whether 10 kuna was more or less, whether there were small things and nonsense, but millions and hundreds of millions of unpaid liabilities and taxes. And what was going on, it was going away, the companies went bankrupt, of course it was written off to no one. I think it's time and order for these same people to answer for what they haven't paid to the state of taxes and obligations and that's the question. And that's what Linic crossed over and allowed it to be destroyed and then, of course, certain businessmen and craftsmen who have been blocked or worked fairly, and have failed, of course, sneezed, and these other parallel companies have opened and, of course, enjoyed these millions. which they didn't pay the state. [[Intruder: Time, Mr. Misic.]] Thank you.
ParlaMint-HR_2018-12-05-0.u111030	Answer, please.
ParlaMint-HR_2018-12-05-0.u111031	Thank you, Honorable Parliamentarian, but the same time as the entrepreneur. So all this effort that, unlike some who think we've been working on this law for the last two weeks, has been happening and happening all this year. The effort carried out in a very systematic and regular parliamentary procedure in two readings, without any force, struggles, where the comments of both the public and the professions and parliamentary representatives are heard but also listens to suggestions from entrepreneurs. So, yes, no more candy can be closed because of 5 kuna, no more 5.000 kuna fines will be paid because there is no fire extinguisher sticker, but also to all those who are your competitors and work unfairly and unfairly we will let them know that they must comply with the legislation of the Republic of Croatia as you who work fair and correctly. That means the same rules for us all.
ParlaMint-HR_2018-12-05-0.u111032	Thank you very much, now we will welcome the students and students of IX. The Zagreb High Schools that are here with us today are a round of applause. - Give it up. - Give it up. Thank you for being with us. And move on to the next club. HDS, HSLS and HDSSB representatives club, Mr Branko Hrg.
ParlaMint-HR_2018-12-05-0.u111033	Thank you very much, Mr. Vice President, dear ministers with associates and associates, colleagues and colleagues. Here is the first reading, the HDS Club, HSLS and HDSSB, in which I speak, supported the Bill's proposal, with this proposal having experienced some improvements in the second reading that we have also shown, and this part being supported by inspections in the inspectorate, so that they could function together, so that it could all be much better, more effectively and so that this inspectorial repression against entrepreneurs and those entrepreneurs who are registered, and here is the minister in the opening part of the opening part on several occasions, and the article, it seems to me 73th, that it is also defined, that the model is abolished that the inspector enters some hairdressing salon, some shop, some shop, and that Malta is not due to some petty violation, because of some stick or something, is going to print out the places and to destroy them. It is a great improvement, I hope that it will be applied as well, and that it will succeed in good education and preparation of inspectors, when the state inspectorate is formed again, which I hope will no longer, again before it comes to life in practice, will be abolished, how these inspectors will be well educated, how all necessary training will go through to make simple understanding that they are not entrepreneurs, craftsmen of their enemies, that they should not attack them as predators, but simply have to be there to indicate the irregularities that people are doing, surely they are doing, and we are partly guilty of what they are doing because by adopting hundreds of legislative acts, regulations, regulations, I don't know what, we simply prevent a small entrepreneur or craftsman from following all these laws and that we can respect all these laws at all. It is therefore good to introduce this article and in some ways the inspection service in that part appears as a particular advisory body that indicates irregularities, indicates illegalities, allows an entrepreneur or craftsman to change it, to adapt, therefore, to repair and to operate according to the Law afterwards. The other part, which is very important and important, is that whoever is registered, whoever acts as an activity and does some business with a registered activity, should be seen immediately as someone who is a taxpayer, someone who is full of budgets, who pays taxes, who allows children to be educated, that people can be treated, that the whole system can be run. And those who work on black, who are not registered, should be those who are more closely supervised, who must be focused on special attention, because now I repeat it again, I said it in the first reading, we have a situation where a man who is registered, in principle being immediately targeted by inspections, is immediately attacked by inspections and is immediately destroyed the will to continue the work, continuing work and employment of people. That it is necessary to create a state inspectorate, that it is necessary to unite inspection services, I will try to prove to you by one example, a recent example of which I have been warned as a parliamentary representative, another electoral unit, and the example refers to forest work, to the cutting of the forest, somewhere around Gareshnica. Says the man like this, I've been cut down three morning woods and driven away. He reported all of this to a competent forest inspection in the area. The forest inspection didn't go out in the field, it sent a memo to the police. The police contacted the forest owner around that forest, he took them into the woods, showed them logs that were there by the woods, along the road, pulled out. The police said that, how does he know they're his logs? Afterwards, they told him that he had to make an assessment of the deforestation and that he had to submit a request for theft afterwards. The man did not apply for theft in general, but submitted a request for devastation of the forest, on which the forest inspection according to the man who went to investigate all of this, should have gone out in the field, therefore make that assessment or make a record and ask for an assessment of the damage to keep it all going together. If we add now, that this is about nature devastation, so that's where environmental protection is involved, if it's a forest tree, it means forest inspection, if it's about obvious and illegal forest cutting, it means illegal wood traffic, tax inspection, commercial inspection, so all this together on this one small example shows how dysfunctional we are and what's happening to us on the ground. And that's one of the great reasons why a grouping like this has to be done in a state inspectorate so that all these inspections on any such case, above any such example, can be coordinated and at the same time respond and sanction in such cases. And sanction in cases like this. Of course, it is also very important here to connect and cooperate with the Ministry of the Interior or the police. This is the example I had planned to talk about earlier in the Croatian Parliament, I pointed to it, I talked about it on the Committee on Agriculture, I was also preparing a thematic session on the subject, to stop and prevent the reselling of wood, deforestation and the avoidance of the likely payment of taxes. Perhaps on such an example, when the State Inspectorate is formed and started to work, it is on one example to do a good exercise, to do a good exercise to see if something can be done, how well it can be done. What I'd like to point out here is the inspector's actions, let's just say I've always found it fascinating, how certain safety inspectors are doing at work. When an inspector comes in to protect the construction site, then basically he doesn't protect so many workers anymore, he cancels, in a way, the worker's workplace. Because what they do, how they act, how they act, what they come up with, what kind of approach they have to the employer, it just doesn't make any sense. Inspectors aren't the ones who need to play some to say that to the bullyes on the ground, I don't mean physical abusers, I mean thugs who attack practically employers. An inspector can do his job peacefully, politely by law. And don't act like some self-invited man came by to say so to the sheriff who's not the real sheriff, and now he's running the law right now, and they're accusing you, condemning you and the minors, and shooting you right now. That's what we have in Croatia today. I look forward to what the minister says, that for the stickers and not having the stickers will no longer be punished, because these penalties that we have prescribed here again, and I used to say that we prescribe too many penalties, that it is not good and that it will use inspection services on the ground, often cause the maltene closure of a particular small place, some small store, some hair salon, some small one, to say such craftsmanship and simply people lose their will and stop working. There's been a lot of shouting and a lot of talking about the need to ease that story, that doesn't mean that it's time to power up and encourage lawlessness. It just means that, according to the businessmen, I'm specifically talking about craftsmen and small entrepreneurs, we have to have a very different view, I repeat, these people simply don't have time, study all those laws and regulations that we, which we, which bring forward, don't have. The inspections are here to point that out. And those institutions, and officially, at the local level, that are forming, various entrepreneurship centres, development agencies, I don't know who they are, and they should be at the service of these people and helping them have at all been able to track everything we bring together. The big one who has, the big company that has its lawyers, who has its economists' services, they know well what to do and they will simply manage to prepare it and solve it. That little craftsman, who does his job, so let's not expect him to really study all these laws, which we don't generally understand and bring ourselves. This tax, that inspection must play an advisory role. I hope that these words, which the minister said, will liven up, that inspection services will begin to act in a completely different way, that there will be order, that there will be righteousness, that there will be no squirm of small ones, and that it will leave the large ones to follow some punishments, which are not great to them at all, even if the little one destroys, and that they will not look at each other with the same look. You can't do that. We need to create a more positive atmosphere in the country, a more positive climate, encourage people to be entrepreneurs, to be craftsmen, not climates to kill them, I say, of course, kill their will for any entrepreneurial activity. With these messages, I stress once again, we will support the law, but we will follow what is happening on the ground and unless that way of the inspection service changes, if that climate does not start to change, we will point to the same thing here in the Croatian Parliament. Thank you very much.
ParlaMint-HR_2018-12-05-0.u111034	Thank you, too. Now, on behalf of the HDZ Representatives Club, Mr. Schuker will take the word first, then Mr. Celic and then Mr. Križanić later.
