ParlaMint-HR_2018-03-02-0.u66330	Dear comrade Grmoya, here you go.
ParlaMint-HR_2018-03-02-0.u66405	I thank my esteemed colleague, Ivan Willibor Sincic. On behalf of the SDP, a respected colleague, Arseb Bauk, requested a break. Here you go.
ParlaMint-HR_2018-03-02-0.u66406	I thank Mr. Vice President and especially the HDZ colleagues for the unforgettable experience of the hearing at 4 and 17, and we're only halfway there. How now, because of these breaks, we must look for topics that we will talk about in order to stick to the Rules of Procedure and then apply for the current political situation, it is an ideal opportunity to mention some of the problems that may not be mentioned in certain situations. So I'm going to mention this problem that I've met a citizen with, and it's about the rights of parents of children with special needs with developmental difficulties who, according to the laws, have acquired the right to the status of carers in a way that the state finances them for 4 hours a day, and the other 4 hours have a job. The point is that these parents are in a subordinate and unjust position when they retire because for that amount of 4 hours they spend and the state pays them as their children because they are committed to doing so have a lower pension than those of the other ones, who do all 8 hours. I wish there was a political will to remove this injustice from those parents, and that this part for which they receive money from the state would also be recognised as a particular addition to their pension so that they would not be in a subordinate position to others. So for their sacrifice because of the situation, which occurred in life and for their children they are in some way, not in some way, but in a truly subordinate position. I hope that the parliamentary majority, as well as the opposition, will have an understanding and that certain legal changes will solve the problem of these parents. The second part I want to use in these remaining two minutes concerns the rights of another group. children and it is an absurd situation that children who are resident in Croatian islands are not free from paying the ferry ticket as a joke. students, for them the same amount is paid for adults as well. I even think they're paying something bigger. It is also something that would be good if this illogicality were corrected in our regulations and allowed those children to have the same rights as adults, which is that the price at which they are transported to have a certain discount as well as the discount of adults. There are many of these examples of the illogicalness that we have in our legal system, which are the result of the under-exploited consequences of the laws passed by this Assembly, and I am not sure that the new Rules of Procedure will, without of course, be better understood by the parliamentary majority. How we got into a situation to discuss it at four o'clock and here's 21 minutes, it's very simple to explain. Certain repairs of the Rules of Procedure that are justified have been added to them, and some things that are not justified which can be brought under the reduction of the rights of MPs and then when you have stubbornness on the one hand, you get stubbornness on the other side, so that in 4 hours and 21 minutes and 58 seconds someone in the Assembly is talking about it and it will probably be at 5 o'clock, at 6 o'clock, and how the fellow MOSTs announced, and the rest of us are in that event at 7 o'clock, so let's talk about it, we'll continue the second time. Thank you.
ParlaMint-HR_2018-03-02-0.u66407	I thank my esteemed colleague, Bauk. Stanku requested a respected colleague, Anka Mrak-Taritash, in front of GLAS and HSU.
ParlaMint-HR_2018-03-02-0.u66408	Thank you very much, Vice President of the Croatian Parliament. Dear colleagues, I am my colleague, here at 4 o'clock and 22 minutes we show what it means to be picturesque, we all know the scene of the wedding and the two rams, but now we have this situation because, of course, after we pointed out and warned in the Rules of Procedure that the suspension, or the restriction of the break, can be between 1 and 2 o'clock, we are now here from midnight, every hour we show what it means and we are taking this opportunity to talk about things that normally we should be honest about, and may not be topics for a break but, however, we are just the thing that leads to absurdity. You know, action, or it's always causing a reaction, and that's how you think it is. I am sure that the debate on the Rules of Procedure was in the morning hours so that rarely anyone would decide to interrupt that debate with pauses rather than discuss it on behalf of the club, they said what we have to say more than we know that the whole story will end and we know who has most votes and how it will be voted. I've been looking for this break on one subject of life. You know, no matter what we live in one country and somehow we think things don't happen, things happen in the real world and beyond our will. And I'm talking about that big cities or some smaller cities, in Slavonia, Ljubljana has made a decision that cars on fossil fuels can go to Ljubljana by 2020, it's a great media opportunity to see, that there are already a number of cities in Germany that have not only made that decision but also related to diesels and they won't be able to go to a big city, at the moment it's Munich, Stuttgart and Hamburg, even there was, of course, that the car industry in that sense and they have their own problem with the Constitutional Court so you don't think they don't have, the Constitutional Court ruled that such decisions are constitutional because the great manufacturers have found that it is unconstitutional. They claimed that constitutional and suddenly a larger amount of diesel cars would appear on the German market. That decision is that there is one fatal year, which is 2015, the cars that were made before 2015 have one other technology, the ones that are above 2015. And now in the hoax that each of us likes to have a pet of our own, and this tin pet likes to boast about it, there will certainly be lurking behind such cars on the Croatian market, it is good to discuss it, it is good to talk about it and it is very good to think about it in a way because of course our citizens will try to buy these cars, and cars will at some point be cheaper because they will no longer be able to drive in certain cities, they will be brought to Croatia and what will happen? Three things will happen. The first thing because, in terms of security, these cars are, of course, older cars are worse in terms of safety than the new car, and we already have more deaths in road traffic than in 2016 and 2017, that's the first topic. The second topic is in terms of environmental protection, which will be more CO2 in large cities, and the third topic is the topic that we have already discussed here several times, and that is to take care of such cars in terms of waste because environmental experts argue that the cars that are on diesel fuel and these cars that are no longer in certain German cities are not able to drive, when you make sure that you have a different way of taking care of them. What am I saying? In the end, we'll have the next situation. That we're going to help the German industry in an indirect way, so our citizens might even get a cheaper car and that's the first starting position. We'll get cars on the roads that are more insecure, or questionable security. We will get more CO2 production in cities and eventually when these cars go to the old iron we will have to take care of them and deal with them at the waste from the budget of the Republic of Croatia. So in these late hours, here's already half a morning this is certainly a topic that won't wake you up, this is a topic that can be discussed at some other time. But it's always good to say, point out and make sure that certain measures really prevent cars like that from being on the road. Thank you very much.
ParlaMint-HR_2018-03-02-0.u66409	I thank my esteemed colleague, Anki Dark Taritash, for the reason of the break. Dear colleague Ivan Pernar. Here you go.
ParlaMint-HR_2018-03-02-0.u66411	I'd like to request a break on the subject of credit default, what, in the monetary system of our own. Thank you.
ParlaMint-HR_2018-03-02-0.u66412	Dear colleague Strenja-Linić. Here you go.
ParlaMint-HR_2018-03-02-0.u66413	And I'm looking for a break of 10 minutes to talk again about the situation of inability to negotiate a doctor in collective bargaining for their border collective contract, rather than negotiate for them unhealthy employees and nurses.
ParlaMint-HR_2018-03-02-0.u66414	Thank you. Let me just tell you in advance that the break will be approved after the presentation. We've already had one exposure and a break, but let me know. Here you go.
ParlaMint-HR_2018-03-02-0.u66415	Let me join up. I am asking for a break to be seen as a slowdown in GDP growth in the Republic of Croatia.
ParlaMint-HR_2018-03-02-0.u66416	I thank my esteemed colleague, Maras. A colleague of the Dark-Taritash. Here you go.
ParlaMint-HR_2018-03-02-0.u66417	Thank you very much. So as not to be denied another break, on behalf of the GLAS and HUS Club, I'm looking for a break to discuss the current political situation, so whatever that means.
ParlaMint-HR_2018-03-02-0.u66418	Thank you. That's all it takes for a break. So, you'll be approved after exposure. I'm setting a break to 5 o'clock and 10 minutes. It's 5:00.
ParlaMint-HR_2018-03-02-0.u66419	[[CONTINUATION AFTER THE MEETING AT 05.10 HOURS]] The first is the Living Wall Club in the name of which the respected representative Ivan Pernar will speak. Here you go.
ParlaMint-HR_2018-03-02-0.u66420	The reason for taking this break is that loans cannot be returned, and they can't return when we say we don't think about each individual but the total amount of credit, means the total sum. This translated means that the state cannot return them, that cities and municipalities and counties cannot return them, that railways cannot return them, shipyard, highways, Agrokor, Petrochemy Kutina, etc., etc. means a number of other entities. The current monetary system is based on credit, so no credit, no credit, no money in circulation. If no one had taken out the money loans, there wouldn't have been. So taking credit is the only way to make money, and the distribution of it, or let's say by working, the money is just distributed, so the work doesn't create money. You can create thousands of chairs in the factory, you won't create any kuna. You can only get money through the distribution of money in some way from these loans and in this way you have a vision of money being created by work, not money being created by taking credit, and you have somehow come from that exchange of goods. Someone's going to say well why the loan is invaluable, so it's that the thesis established by Larry Hannigan she's connected to that, you watch out for the thought, while the money for interest payments doesn't exist so he wasn't created together with the principal loan, and so let's just say the total amount of money that was created is ten, and that's another interest unit, so the total has to be returned to 11, there's only ten that's impossible. And then we have the appearance of so-called. Infinite borrowing when states are taking infinite loans, when debt states are beating up by taking a new debt and this system is not sustainable in the long run. We already see this in Croatia, but there are entrepreneurs like Todorovic who believed that this system is sustainable, that it is possible to repay the debt by taking on a new debt, or endless borrowing. Where the infinite borrowing will take our country, I can only assume, but by the estimates we see, or which we can predict, we see that this is going nowhere. He recently said Marin Stramota when he resigned to let us lose a day if I understood well 150, 200, 300 people which is a disaster for our country. And we lose people every day that due to negative growth, which is because of the eviction and actually this model, this system, this policy doesn't lead us anywhere. Unfortunately, this and such policy has the support of the parliamentary majority, which means 76 or more hands, and thanks to that, we are implementing that policy and we are failing all together. The only question is who will destroy the first and goal of this system, the totalitarian system is to silence the truth, hide the truth, and ultimately make a variety of tricks in order to prevent the truth from coming out. It seems either through media control, public or state television, and in the end, here we are now playing the case here and because of changes to the parliamentary rules of procedure. But these are just some of the methods, there are more, there are threats, threats, blackmails, etc., etc. All these methods have been tried on us, we've been through them all, and we've defeated them, and we're going to beat this last one by saying the stairs or the obstacle better said that was put before us. I'm happy to be part of the Living Wall, and I'm happy to have a colleague named Sincic as party president because he's a good and smart man and he's honest and he never cheated on me. And it's very hard for you to find people in your life who won't cheat on you even though they can, so it's clean, so he didn't cheat on me because he couldn't, but because he's good, there he is. And look at the other parties, they're taking their heads off there as soon as they get a chance. Thank you.
ParlaMint-HR_2018-03-02-0.u66421	Thank you. Next on behalf of the Club of Representatives of the Most Independent Lists speak a respected representative of Strenja-Linić. Here you go.
ParlaMint-HR_2018-03-02-0.u66422	... here pointed to an extremely difficult situation regarding the situation of doctors in Croatia who have been brought back into an unequal position and are negotiating collectively for a border collective contract without the presence of a doctor. [[Speech is not enabled.]] So for the survival of the health system in the Republic of Croatia, the existence of a doctor within the health system is also necessary, they are operators of the activity, and I will repeat once again that 1520 doctors have collected all the necessary documentation to leave, and 580 of them have already gone. It means as if it's gone one whole KBC River or the whole KBC Osijek. 15% of the specialist Corps, which is 4000 doctors in the coming years, the specialist will retire and the question is whether we will keep it, is the existence of a system like this today. When we talk about their work, they are so missing, that last year, 3.5 million overtime hours were done in hospitals, and even some of them were forced to do what they were forced to do, because there was no one to do the job and the superiors had to put them to work, they had to report from the labour inspectors, and eventually they were punished for working overtime. One total, one as they have, so they have to do 180 hours overtime, each year they have a right. If they work over it and work very hard, the situation becomes catastrophic because they end up, as I say and punish themselves because they work overtime. If they didn't, the system would have fallen because it was done, like I said, 3.5 million overtime hours last year. Their rights were negotiated four years ago by nurses and unhealthy staff, so maids, technical staff. 74 thousand employees in Croatian health care. According to the current Law on Representativeness, which was passed 3 years ago, which disastrously solved that story about the doctor because it requires a minimum of 20% that they are members, that the union must have a minimum of 20% of the total number of health employees. That means the doctor should be 15 grand. In this situation, all doctors who work are 8,000. So we'll never reach 20% and we'll never be representative. So doctors will never be able to negotiate their working conditions. on your rights, on how to account for overtime, etc. For example, for the moment, a huge lawsuit, a huge number of pending lawsuits, one part has already arrived, which Minister Kujundzic has tried to lobby to make something happen and make as a total as interference, by trying to get involved, means, executive authorities in those who implement the laws, so the overtime of doctors is that they are paid in a way that they are paid naked. And that means that a doctor who's a professor, who's head of department, institution or clinic, does his 8 hours and receives every hour salary that's been increased by all these supplements and 9 hours if he stays as a specialist professor at that clinic or operate at the table, that watch has already been paid as an ordinary doctor, as if he's just started working. After it was realized that this was done completely wrong, the lawsuits began and the first lawsuits were already on the move. Here, yesterday Professor Kopic, deputy director in Osijek, told us that they had already paid 900 thousand kuna for 19 doctors. And the question is, actually, when do the others do the same? So someone negotiated, and that's how he negotiated. The law on representativeness has dealt with it completely wrong. What doctors are actually looking for, it's a professional collective contract. 18 countries in the EU have dealt with this by a professional collective medical contract that defines all their rights. Since 1994, Slovenia has had a professional collective contract and nothing really happened, the world has not fallen, doctors have negotiated and it is known in which position they are in. Thank you very much.
ParlaMint-HR_2018-03-02-0.u66423	Thank you. Next on behalf of the SDP Representatives' Club, the respected representative, Gordan Maras, will speak.
ParlaMint-HR_2018-03-02-0.u66424	Thank you very much. My colleagues and colleagues, in this early morning on March 2, 2018, we decided to discuss the problem that happened in the Republic of Croatia, which is a slowdown in the rate of GDP growth, which, unfortunately, slows down according to certain trends. We have had the weakest growth since 2015 in the last quarter of 2017, and this trend has been very worrying, so, instead of having a rate of growth that has accelerated as other EU countries, here are some countries that would not want to compare like Bulgaria and Romania with 6% growth rates. Unfortunately, Croatia has slowed down, and in 2017 it looks like it will be at a growth rate of 2.8%. What is the impact, i.e. what is the problem and what is the reason why growth slows down, of course one of the main reasons is the lack of investment in the Republic of Croatia and on the other hand, the impact of the crisis in Agrokor and all those who have said that the government is successfully dealing with the crisis in Agrokor along with these affairs, the departure of Ramljak and all that remains, we see that this has hit us a lot, and unfortunately, it will have a reflection on both the overall GDP growth and not just in 2017 but also 2018. What is also a problem and what we must consider is unfortunately, demand for loans or consumption in the Republic of Croatia because it was last year 2017. Croatia has left nearly 100,000 of our citizens, this is also reflected as consumption on GDP growth and on this side, unfortunately the Republic of Croatia will have a negative impact in the coming years. And all of this together shows a relatively worrying failure of the HDZ government, namely the Government of Andrej Plenkovic, in what we expected to go exactly the opposite, that the engine of economic growth in the coming years will speed up Croatia's forward and that all those years we unfortunately have had a crisis that started since 2007, i.e. at the end of 2008 and beyond and from which we came out in 2014, we will be able to catch up quickly. Unfortunately, these expectations have been too optimistic, i.e. we expected HDZ unfortunately in that part too much. And on this side I must understand that the focus of the work of the Croatian Government not only of these crisis moments and around Agrokor, but also of some other things that bother us must be on reforms and on the greater competitiveness of the Croatian economy and on the greater I would say investing and encouraging the economy that should be done in the coming years. So unfortunately, we are more concerned with some part of the state budget with certain groups that the current government is trying to buy with budget expenditure than with investing from the state budget in the economy, i.e. by encouraging the economy. This is all that goes on in the shadow of Agrokora, IKNA and others I would say things and affairs that are happening in Croatia unfortunately throws the economy into another plan. And at the end of the term, we will see in essence how compatible the Government of Andrej Plenkovic was with other EU countries, or how much she had failed to do during the four-year period, and which unfortunately we will miss out on many things that should have been done. At the same time unfortunately Croatian people, Croatian citizens leave and do not slowing pace rather than further speeding away from the Republic of Croatia and [[Intruder Reiner: Thank you.]] Over 100,000 citizens of the Republic of Croatia only in 2017. [[Intruder Reiner: Thank you very much fellow Maras.]]
ParlaMint-HR_2018-03-02-0.u66425	Please, you've exceeded a significant amount of time. Intruder Maras: It continues in 2018./... [[Yeah, I'm sorry. In 2017 it went away and unfortunately that trend... I ask you to stop talking. .../]] I'm warning you, colleague Maras. The next club of MPs is that of GLAS and HSU in the name of which they will speak the respected representative Mrak-Taritash. [[/Attack Maras: And unfortunately it will be in the coming years. Thank you very much. I'm sorry.]] Here you go.
ParlaMint-HR_2018-03-02-0.u66426	Thank you very much, Vice President of the Croatian Parliament, dear colleagues and colleagues. Here's the early morning watch. It's half past six. I'm sure at this point our prime minister sleeps peacefully under a warm pillow if possibly the children haven't woken up anything. But I guess that's what it was about, which we in principle don't mind spending a quiet night together if he didn't sleep through the day. That wouldn't be a problem, then, but our prime minister has one custom of covering himself with soap on his head tightly closes his eyes, because if he closes his eyes tight enough, then things happen past him, and some things will sort themselves out. So the prime minister woke up there on Christmas Eve 2016 and it was important to tell the nation that we're going to start solving INA. So here is Christmas Eve and Christmas 2017, so almost Christmas 2018 and with INA nothing happened, and apparently it believes in how he closes his eyes, that we have closed our eyes. Then after that, a story happened that was with the Committee on Historical Truth, so after a year just as much white smoke came out and said we have a constitutional category, but we can pass the Constitution in some cases a little different. Then, when it comes to the Istanbul Convention, he said by the end of 2017 it will be in parliament, but here we are already heading towards Easter. There is no "i" since the Istanbul Convention in Parliament. Do you know which country has ratified first? Turkey. No wonder it's Istanbul. It's a joke on the side. Among the first countries were highly Catholic countries like Poland. Let's say Bulgaria discussed it, so now if we want to be like a series of other things together with Bulgaria, there's no problem with that. The same as the recent story about Agrokor and Mr. Ramljak, Mr. Ramljak went to the Prime Minister, said I was a little wrong, you know, I played a little bit. He says good, good, come on, I'll think about it. Then he thinks, he thinks, then Mr. Ramljak comes and says, "Come on, now you keep thinking, and I won't play with you anymore, so I'm gone." What about Mr. Ramljak, who is not a member of the HDZ, may not be a big problem, but there was a mayor who the woman said, look, we have a little family problems. The mayor's obviously taking off his arm when he gets home, he's in a bad mood for some kind of meeting. Or when the opposition's harassing him, say, by the early hours of the morning and the mayor comes home and settles it with his wife. And then the mayor says you have to resign as mayor and you have until you have to leave HDZ. Then the mayor says I won't play with you anymore, I'll still be mayor because I like it very much. The woman says she's changed her mind, and now he's calmed down, and then he leaves HDZ. If you're under a lot of heat this time and you're grumbling hard enough then things happen to you all by themselves. But there's one other thing happening to you, that you're not the one who dictates the rules of the game, that you're not the ones who can go one step ahead, you're the one who's doing the damage. And our prime minister is actually doing damage all the time for the simple reason why it's very difficult to make decisions. And then when there's an opposition that says a number of things, he says, and we have this prime minister who makes hard decisions, then he says, "I'm working in a rhythm where I'm used to working, which, compared to his family, would not be a problem in his way of life." We have a little problem that he's our Prime Minister, so his rhythm depends on the rhythm of the entire government. So in the government, we have, say, ministers that I already call a traveling scandal, I already have, I'm pretty careful when there are some ministers who go somewhere and have to say something, you never know what's going to happen. And that's the country we live in. It's a country where the rulers say we can do whatever we want. So we can discuss the Rules of Procedure whenever we want. And then they have a stubborn opposition that says: but we are opposition, and we can also be even more stubborn than you, and if you've already forced us to discuss the Rules of Procedure that is important to us for our work in the late evening hours, then we'll discuss it, and so will one of the ruling ones, so the HDZ colleagues who have made little eye contact will have to come and be there.
ParlaMint-HR_2018-03-02-0.u66427	Thank you very much.
ParlaMint-HR_2018-03-02-0.u66428	The word was requested by a esteemed colleague, Nikola Grmoy. Here you go.
ParlaMint-HR_2018-03-02-0.u66429	Dear Vice President, I'm looking for a break on behalf of the Bridge Club on the rights of teachers and professors.
ParlaMint-HR_2018-03-02-0.u66430	Thank you. Here you go, colleague Maras.
ParlaMint-HR_2018-03-02-0.u66431	I am looking for a break on behalf of the SDP Club on the heroes of parliamentaryism in Croatia.
ParlaMint-HR_2018-03-02-0.u66432	Thank you. Dear colleague Pernar, go ahead.
ParlaMint-HR_2018-03-02-0.u66433	I am looking for a break on the theme of the Gospel according to Matthew chapter 4 and beyond starting with Jesus ’ trial in the wilderness. Thank you.
ParlaMint-HR_2018-03-02-0.u66434	Thank you. Dear colleague Anka Dark-Taritash. Here you go.
ParlaMint-HR_2018-03-02-0.u66435	Thank you very much, dear Vice President of the Parliament. I'm looking for a 10-minute break to discuss the problem of building Lng Terminal.
ParlaMint-HR_2018-03-02-0.u66436	Thank you. The stations will be approved after exposure or we have more replicas. I'm setting a break until 6:00. Here's my colleague, Bauk.
ParlaMint-HR_2018-03-02-0.u66438	Since colleague Maras asked for a break almost an hour ago. Meanwhile, the situation has changed, so I would not talk about the heroes of parliamentaryism but about the current political situation. Please appreciate that.
ParlaMint-HR_2018-03-02-0.u66439	Thank you very much. So you're on behalf of the club. Thank you very much. I'm setting a break to 6 o'clock and 50 minutes. It's 6:35 a.m. [[CONTINUATION AFTER 6:50 A.M.]] On behalf of the Representatives' Club of the Independent Lists Bridge, a respected colleague, Nikola Grmoy, requested a break. Here you go.
ParlaMint-HR_2018-03-02-0.u66441	Thank you, Vice President, I would like to talk about the current situation in school, related to yesterday's teacher and teacher protest, which are dissatisfied with the collective agreement, and cannot wait to meet with the minister, let alone with the government. So we witnessed yesterday the fact that in this polar, almost cold we had a protest, means a teacher, we had even the fact that the minister has been reproved and that all of these stories about some kind of reform of education that happens that the real reforms of education do not have to improve the status of teachers, teachers and teachers, who are the pillar of any reform. As long as we have the fact that teachers don't, they just have bad wages but they also have poor material conditions in general, but they don't have the basic means to work. I know very well that many of my colleagues are self-copying tests, exercises for students and without these basic means of work, of course there is no reform of education. Remember that not long ago it was easy to make a decision in a comfortable and warm cabinet to buy expensive cell phones and luxury cars and so I ask why no reform is a form of increasing the physical rights of teachers and teachers. Why all reforms are broken over their backs, when it comes to demographics and education, there is always a question of where money is and how to raise the necessary funds, and money is spent on things that are absolutely unnecessary and leaks, of course, everywhere. Teachers and teachers seek not only their material rights but also the well-deserved place in our society, because they should not be as I said only pillars of educational reform, but should be pillars of our society as they used to be, not eternally thrown out by double standards and by increasing various inspections and bureaucrats. The administration to which teachers and teachers are exposed, everything they have to write from preparation, various reports, every day is growing more and more their material rights and wages are not growing but are being reduced and we cannot talk about any educational reform at all until it is changed, and nobody is saying anything about it, let alone whether the Government and the minister are doing something about it, therefore it is not surprising, that the Minister Divjak has been so severely repudiated. As a former colleague, I mean, of course, and since I intend to return to school of course, I express my full support to teachers and teachers and I tell them not to give up their demands because they are just and realistic. Let the minister and the ministry's chief of staff wonder if 8 minutes is enough for negotiations on such important issues. Minister Divjak, so we could all notice that unlike Minister Štromar, has always been present at the presentation of her laws here in the Parliament and we used to commend it all here, but this move has shown that she is not so concerned with the negotiations. So, respected ministers and all ministers, it's time for people to become important to you and to start caring for their rights, in the first place, for the rights of teachers, teachers and teachers. Thank you.
ParlaMint-HR_2018-03-02-0.u66442	I thank my esteemed colleague never shrubs for this explanation. On behalf of his fellow SDP colleague, he requested a break from a respected colleague, Arsen Bauk. Here you go.
ParlaMint-HR_2018-03-02-0.u66443	Thank you, Mr. Vice President. Here, we welcomed the morning in the Croatian Parliament, it seems that it did not happen to me even in the wartime, so it is obvious that the Rules of Procedure, or that the amendments to the Rules of Procedure for the parliamentary majority, are important at least as a kind of war plan. Paradoxically, the fact that one part of these amendments improves the Rules of Procedure and this other part of the amendments is unnecessary, as those as such would not be able to achieve intensities, as the promoters wanted to do with these amendments to the Rules of Procedure. I'm going to say more about this when I'm up for debate on behalf of the MPs' club that I've registered neatly and I'm patiently waiting for my turn. I was planning on watching it yesterday at the Apartment Rental Act, about 10 o'clock, and here, I missed it in two hours, it's not 10:00, it's 8:00. As for the current political situation, therefore, in this debate in the five-minute name of the club, we will look back at something that we received yesterday from the Council to deal with the consequences of the rule of non-democratic regimes because the government has formed a group of people to do a job that has already been done by another group of people. The second group of people is called the Constitutional Court of the Republic of Croatia, and the group of people has, on several occasions, clearly and unequivocally determined what this first group of people called the Council for Facing the consequences of the non-democratic regimes tried to conclude. And then it happened that almost a third of the members of that council had an opinion separate from that council. On the other hand, there is a group of people called the Government of the Republic of Croatia who have a constitutional task of proposing to a third group of people called the Croatian Assembly of Laws who should prescribe what the informal group tried to do. It's really complicated. I do wonder, though, how I manage to keep my concentration after so many hours in the Croatian Parliament, but it doesn't matter. So, at this point, we are attending a complete absurde, a document that basically prescribes that the most important parliamentary body will work, we are discussing all night and we will probably discuss it all morning and part of the next afternoon unless we agree not to. And on the other hand, the work of the Constitutional Court, the Government and the Parliament are trying to make an informal group of people who have been formed to delay one problem. This only speaks of the absurdity of the political situation in Croatia, where those who are responsible for one of the biggest problems currently in Croatia and for solving it are the ones who are not responsible for burning a candle at the nearby Stone gate because those who have broken something, not those who would fix something, are responsible. In this sense, this theater of absurdity or as some have called the circus somewhat undeserved because this kind of debate is also happening in much more developed parliamentary democracies. So it's going to continue for a while, and we're probably going to have to explain what happened, and it's actually pretty absurd. So something that could have passed relatively along with even the consensus of the ruling and the opposition has turned into the otherwise parliamentary majority in a way that deprives the right of the opposition which this one does not actually use, and we will continue the debate during the morning on the draft Rules of Procedure. Thank you.
ParlaMint-HR_2018-03-02-0.u66444	I would like to thank my colleague, Arsen Bauk, for this explanation of the break. On behalf of the Living Wall and SNAGA, Stanko was requested by a respected colleague, Ivan Pernar. Here you go.
ParlaMint-HR_2018-03-02-0.u66445	Then the spirit took Jesus into the wilderness to be tried by the devil, and having fasted for 40 days and 40 nights, he was finally hungry. And when the plaguer came near him, he said, If thou art the son of God, he commandeth these stones to become bread. And he answered, saying, It is written, that man liveth not only of bread, but of every word that comes forth out of the mouth of God. Then the devil took him into the holy city, and set him at the top of the temple, and told him, "If you are a son of God, throw yourself down because it is written down." I will command my angels for your sake, and they will carry you on their hands so that you may not strike a stone with your foot. Jesus told him it was still written, do not tempt the Lord your God. Moreover, the devil took him to a very high mountain, and showed him all the kingdoms of the world and their glory, and told him all these things, and I will give you all these things, if you fall down, and show me respect. To this Jesus said to him to go away Satan, for it is written down, the Lord of his God, and serve him alone. That's when the devil left him. And look, the angels came and served him. And when Jesus heard that John had been cast into prison he went to Galilee, and had left Nazareth, and had come and lived in Capernaum, which is on the seashore, on the borders of Zebulun and Naphtali, to be fulfilled what the prophet Isaiah had said, saying the land of Zebulun and the land of Naphtali to the sea on the other side of the Jordan, Galilee of the Gentiles. The people who sat in darkness saw a great light, and those who lived in the region and the shadow of the light of death came to light. Since then, Jesus began preaching and speaking repenting because the kingdom of the heavens is near. And as he passed by the sea of Galilee, Jesus saw two brothers of Simon called Peter and Andrew his brother, where he cast the net into the sea, because they were fishermen, and he told them. Follow me, and I will make you fishers of men, and they immediately left their nets, and began to follow him, and from there he saw the other two brothers of Jacob Zebedee and his brother John, because he and Zebedee had clothed their nets with their father in the ship, and called them. And they immediately left their father's ship behind, and followed him. And he visited all of Galilee teaching in their synagogues and preaching the gospel of the kingdom, and he healed every sickness and every infirmity among men. And the voice of him spread over all Syria, and they brought him all the sick who were trapped with all kinds of sickness and torment, and possessed by the devils, and the sleepers, and taken away, and he healed them. And there followed him a great multitude of the people of Galilee, of Decapol, of Jerusalem, of Judah, from the region of the other side of the Jordan. When he saw the multitude, he went up to the mountain; and when he sat down, his disciples came to him, and he opened his mouth, and taught them by saying blessed and poor spirit; for their kingdom is heavenly, blessed, for they will be comforted, blessed with meek ones, because they will inherit the earth, the blessed, who hunger and thirst for righteousness, because they will be satisfied, blessed with mercy; for they will receive mercy, blessed and pure in heart, because they will see God, the blessed peacemakers, because they will be called to the children of God, blessed for righteousness, because their kingdom is heavenly, and you are blessed when they cursed and persecute you, and because they have spoken falsely against you all evil things, rejoiced with you, because your great reward is in heaven, because they have persecuted the prophets who were before you; you are the salt of the earth; but if the earth is not afraid of all your people, so that they will not be afraid of the worlds, so that they will not. Therefore, everyone who breaks one of my smallest commandments and teaches people, the smallest ones will be called in the kingdom of the heavens, but if each one executes them and teaches them, this great one will be called in the kingdom of heaven because I tell you that if your righteousness does not exceed the righteousness of the scribes and of the Pharisees, you will never enter the kingdom of heaven. Thank you.
ParlaMint-HR_2018-03-02-0.u66446	I would like to thank my colleague Pernar for the explanation of the break. On behalf of the GLAS and HSU Representatives Club, dear colleague Anka Mrak-Taritash, please.
ParlaMint-HR_2018-03-02-0.u66447	Thank you, well-respected Vice President of the Croatian Parliament, colleagues and colleagues. Here I am counting there, this is when I'm on my way, my fourth break on behalf of the club, so I can count them, but I'm still gonna have some trouble someday with the replicas, but what's there is, I'll manage. History is a teacher of life. So it would always be good to learn something from some things so let's say something that every time you want to make some kind of trouble, it always comes back to you. Equally, this one great stubbornness of the ruling that they decide when to discuss the Rules of Procedure is actually getting to their heads because here we have been discussing all night...... [[I don't know what you're talking about.]]
ParlaMint-HR_2018-03-02-0.u66448	Dear Mr. Pernar, please don't interrupt your colleague Mrak-Taritash. [[Why is there no transmission?]]
