ParlaMint-HR_2018-01-18-0.u65678	I'm looking for a break on behalf of the Most about the current political situation.
ParlaMint-HR_2018-01-18-0.u67435	Thank you very much, Vice President. This is a proposal that was agreed until the first reading. And the first reading serves to bring all new proposals back together. And that's why we listen carefully and record everyone who proposes. MP Panenic gave a lot of consideration. I failed to record any concrete proposals, so here, if by the end of the debate I freely liked to hear, so that we could consider, but I will refer to one of your presentations, just for clarity, not for the sake of semi-emotion, because it is not our intention to pollemize, but only to hear all the suggestions and register them. It was said here that the records won't be public. If that were the case, I'd be the first one against it. But reading that the register isn't a public register doesn't mean it's not public records. Because the public register is run by the Central Office for a State, Digital Society, which will cover all the assets of the Republic of Croatia and which will be public. And the Ministry of State's records are public and will be public while I'm a minister. All decisions taken by the Ministry of State Property are public and will be made public. Everything the Ministry of State does is based on the competition. And they won't do anything, all that's prescribed isn't authority, they're responsible for me. You're saying that without a competition, this is just for the sake of clarification, we're going to grant the right to build, we need to know, we don't do it without the right to compete. Already before, the second body has opened a public tender and sets out the basis for a public tender to set the conditions for building rights and an investor is elected in a public tender. And then on that basis, we give the public tender the right to build this investor who's been elected to public competitions, and not that we can, now, imagine if we were to call a new competition, and then, the right to build gets someone who's not elected to a public competition for this right of construction. So, there's no, I said, there's no here, no hidden intentions. Second of all, we don't bring golf into a small door, we don't have any, we don't have a Ministry of State Property at all, nor does this law have to do with it. It is prescribed by the Regulation establishing the right to build on forests and forest land by the Government of the Republic of Croatia 2016. It is not prescribed by this law, it is prescribed by this Regulation, you were in the government when that regulation was voted. As far as CERRP is concerned, I agree with you, absolutely, alone, the law does not prescribe the profession, but the conditions, the level of the school sperm, and the statue is prescribed by the profession, the competitions are prescribed by the profession, and if you read it, please let us check it out, now the last competition that was for the CERP was prescribed precisely a particular profession that can... But it's not usual to regulate it by law, even though I'd prefer it by law. [[The speaker doesn't understand.]] Al prescribes a statute or founding act, and then a public tender. So it's always going to be a profession, not the one someone's been trained to do that job for. I think specifically for CERRP's director is the most acceptable economic or legal profession and long-term experience and so will always be prescribed. So you don't have to worry about that. As for these amounts that my colleague Bulj is constantly insisting on, there are no 7.5 million kunas of no authority, it is quite a responsibility, as Mr Panenic said. I'd be the happiest, if it were 500,000 kuna and I had no right to sign anything, but the system would be paralyzed. So the commission has made 158 decisions lately, what should all 158 decisions be made by the government? You were in the government, so you know what it's like, just for the system's sake. And every director of the agency, every head of the municipality, every director of the office has more authority than the one prescribed by the minister. And as for my colleagues, Sponza, of course, I also said on the board, I support this proposal and we will agree to the second reading and I think we will come up with a clue to that solution that you're talking about, when it comes to ransom, about the sale of that land to which the Republic of Croatia later signed up as owner. Here, I hope I've answered your question. Thank you.
ParlaMint-HR_2018-01-18-0.u67436	Thank you very much. You have one replica. Mr. Churay.
ParlaMint-HR_2018-01-18-0.u67437	Thank you, Vice President. The Honored Minister, here, would now leave from the end, you mentioned and I mean with respect to both the powers and the amounts and the availability. However, this law states that the majority-owned companies of the Republic of Croatia, if I have read well, cannot make decisions on a higher amount than one million kuna without the decision of the Assembly, if that is the case. However, we know that in some companies, the state is not one of the owners and that the congregations, the time to call the congregations, and 90 bottoms, 45 days, so it's not so easy, especially for stock companies, that it's not so easy to make that decision, and it goes a little contrary to what you said, so I'm just interested in the clarification that I read it well or not. And I would also just like for Article 48, which speaks not of the sale, but precisely the reverse acquisition of real estate, so that would be the state that buys real estate, there is in paragraph 3 that it is based on the assessment and that the decision will be made. Whether or not this more detailed regulation will be regulated, as it would like to go the same way through a public tender, a call, practically a public one. And there's one big danger here. Namely, when you make a public call, and the person who calls it, the body, state or local self-government, people with unrealistic prices that are far above those market prices or what is happening are rarely present. In particular, if a certain unit of local self-government is looking for apartments for social needs and that part of the neighborhood, otherwise the market buys an apartment at a price, I don't know, 1000 euros square, the city's offer is 1200, 1300, maybe more. So, just people with it as a city have money, the state has money, so let's go out there and look for more than we might get on the market. I'm only interested in regulating such things, I say here in the law of Article 48, it's not specific, so here's whether it goes with a regulation or later on, it'll be regulated? Thank you.
ParlaMint-HR_2018-01-18-0.u67438	Thank you very much. Answer if he wants to, Mr. Maric.
ParlaMint-HR_2018-01-18-0.u67439	Thank you very much. When you spoke of this work where it was prescribed that a majority-owned company of the Republic of Croatia could not make decisions on real estate without a congregation of companies but only what the decisions on real estate were concerned because, namely, that the Republic of Croatia owned as before, one company where the ownership of the Republic of Croatia was 100 % sold to other companies without economic justification and that the property needed the Republic of Croatia for a third purpose and that there would be no such situation and circumstances. But as far as the evaluation is concerned, there is no public competition based on direct evaluation where the decomposition of the co-ownership community is. So we can't depose at all the co-ownership community and put into function real estate where the ownership of the Republic of Croatia and 6 other co-owners are if we won't work based on the assessment of and directly with the authorised court expert... Just for that part. [[The speaker doesn't understand.]] And I'm going to say it one more time, no one decides either the minister or anyone else is going to be that and that court expert. The Ministry of State Property's public tender has called for 50 judicial warlocks, fewer reported them than we asked for. According to public procurement procedures, the court's experts are determined and it's a regular procedure at the Ministry of State Property, here and hopefully Mr. Bulj heard it. So only through the public procurement process goes the involvement of court witches and based on the public tender is chosen. We need more court witches than we have 'cause I can't do everything in time. Thank you very much.
ParlaMint-HR_2018-01-18-0.u67440	Thank you, too. We continue with the clubs, Mr. Branko Bacic in front of the HDZ Representatives Club.
ParlaMint-HR_2018-01-18-0.u67441	Thank you, Mr. Vice President. Your Honor, Mr. Secretary of State, dear colleagues and colleagues. The HDZ Club supports the adoption of the Law on State Property Management. It is clear that the need for the adoption of a new law on state property is also a result of the fact that the existing law which has been passed has not responded in quality to the need of the State to manage its property on the one hand, and on the other hand, the fact that certain procedures and procedures that are in the greatest part of the responsibility of the Ministry of State Property Management need to be improved, accelerated, adapted, so that as soon as possible abandoned state property that is not in office. The fact that either I read somewhere or Mr. Minister has singled out that the existing legal framework and institutional forms related to the management of state property have led to the long-standing abandonment, destruction and usurpation of state property but also led to the number of inactive properties. So it is said that there are 330 ex-militarys on 50 million square meters of land, 3470 building plots of a total area of 429 million square meters, 3860 business spaces of which 930 are empty, and 210 illegally used, 80 camps, thousands of apartments, garages, etc. So that fact, if it's true, I guess it is because I think it came from the ministry, it speaks enough about the need to find a legislative framework that will solve such state property in both property and legal terms and in terms of the use and availability of that property. Therefore, it is necessary to pass such a law that will speed up precisely the procedures of availability and management of this property. It is clear that I understand, too, that this law can only manage those assets that are not directly placed in the jurisdiction of other ministries or central state bodies such as agricultural land, such as forest land, such as maritime good, such as other property of the Republic of Croatia. And this law is quite clear, we can dispose of that property that is prescribed by this law relating to assets made up of shares in the business of companies whose... The RH and HZMO and the State Insurance Agency for Savings Deposits, then real estate and construction land and their specific parts on which the ownership of the Republic of Croatia was established, the camps were independently located in the construction zone, on agricultural land and in the forest and forest land as well as golf courses. [[The speaker doesn't understand.]] In that sense, I would a little bit correct what the minister said, and what he's saying is that by mentioning the properties on agricultural and forest land, therefore not on building land where there is no jurisdiction of the minister, so on that building land owned by the Republic of Croatia, it stems not from this law but from the Law on spatial planning and construction and the Law on Forest Land. In 2013, by adopting the Law on Spatial Planning, the Government defined that it was possible to plan on outside construction land, especially on forests and forest land, golf courses, and that these areas of golf courses and camp land and land were overlooked for the construction of camps were no longer building land and then the Forest Law defined that these land intended for golf courses should no longer be detached from the forest economic base. So they're still forest land. Then someone else, not the State Department, would manage it if we didn't pass this law. So there is a very clear law that says that this ministry takes over the management of the land intended for the construction of a golf course outside the building land, which is on forest or agricultural land. So I'm perfectly clear, and I think this was the only way to solve it, so it was very important to isolate it. In this way, the practical ministry also manages properties that were not only building land, which was expected, given that agricultural land and forest land are under the management of other central state bodies and not the Ministry of State Property Management. I said that just before and in the replica, I welcome the fact that we do not have two types of legal persons of interest for the Republic of Croatia, so those strategic and those of particular interest. This is what we heard, during the current morning and the question of my colleagues, Pera Cosic, when he spoke about Đura Đaković in my opinion, there are companies which, of their particular interest, I would not share them with strategic or other ones of particular interest, all of them are set up in one group and states towards one another to care for the attention of a good master, make sure that these assets that are properly used in these companies and managed properly. Therefore, I support that fact. And I agree with the minister, and I was for a time the chairman of the Board of Management, i.e. the availability of real estate owned by the Republic of Croatia. I was president, and I know this procedure pretty well as it was going on, there's no reason for a single commission to be managed through a state apparatus and his entire infrastructure for his work to be provided here in this ministry. And I think it's better to prescribe the size, the amount of the value of the property and then leave it, leave the decision to a certain level, whether it's 7.5 million kuna more or less, for me at this point it doesn't matter. It is important to establish a procedure to speed up the availability of the property and manage the amount by the Government of the Republic of Croatia. And I think it's very important. And I agree with that, if the ministry doesn't already have maritime goods, if it doesn't have agricultural land, if it doesn't have forest land, if it doesn't have any other assets, it doesn't need to keep records of that other property that it doesn't manage. And it is good to place all the assets in that central state office for the development of a digital society, but this does not deny the responsibility of this ministry to run a high-quality, publicly available all its assets that it manages. And I think that formula is acceptable. And I support that in one place in one body, and in one body keeps records of the entire state property and that the data is delivered by those central bodies that manage this property. Well, in that sense, this estate ministry that it manages. The minister mentioned earlier that in the creation of a new Law on Market Land and other land is underestimated in the process of conversion and privatisation. And I think it's very important and it should be one of the priorities of this ministry. So as soon as I get here to Parliament with this law because as it is said, that law was passed, it seems to me in 2010. The law lays down the jurisdiction and implementation of this law on over 100 million square squares of building land, 100 million squares of building land that extends along the coast and is generally a tourist plot managed by companies that have passed the conversion and privatisation. However, given the unresolved status of the land, it is not possible to build on this land, it is not possible to build rights and these are very expensive, valuable land on which new building complexes could be built, reconstruction of existing hotel companies, and I think that this is very important as soon as possible. In that law there was also a regulation that laid down the procedure and how to put the tourist land into operation, as a rule. There was almost nothing done under the law, so it was not a good way to implement it, and it is important that the ministry comes out with the law as soon as possible. It is important to me that, I say over 100 million square meters of building land, as a rule of tourist land could be put into operation and allowed a number of investments to take place on that land without saying that the state through concessioning, through the lease of that land, would then collect very large fees which are not the case at this time, and that is as soon as possible in the ordinary procedure. What happened yesterday to the Committee on Local Self-Government, which also caused numerous replicas of objections, suggestions, refers to the article of a law which gives local self-government and regional self-government property to property that represents properties in which companies, institutions, companies whose unit founders of local, or regional self-government are engaged and thus states with full right to decide who is the founder of a particular company and the company in that facility is engaged and not owned by local or regional self-government to return to the jurisdiction of that unit of local self-government or regional self-government. But it won't go easy. It is said here that by 31 December 2018, the unit of local self-government that will become the owner of these real estate applications so that the ministry can provide a valid equivalent for the registration of property in the land book and the real estate catastro. It will not go easy because many of these properties are neither drawn up nor have administrative permits, some have no administrative licenses, property-law over these properties in large part of these properties are not resolved so that we do not get carried out very quickly after the local self-government unit submits a request for a tabular document. This tabular document will require an additional engagement of the ministry or of someone else, the State's Attorney's Office, I don't know who, but it will require a great engagement while this great provision for me to return what is given to local or regional self-government units to be given ownership of what it practically manages and manages whether it will last and it won't go so easily. I still support that decision to resolve the property issue on those properties. What I just said to the secretary of state, and I will repeat that the provision in the existing law which defines that the land that was built by 24 July 1991 belonged to the local self-government unit, and in this article it also wrote that the properties on which social property or general property was registered to become owned by the Republic of Croatia created a number of problems for local self-government units because the State's Attorney's Office... enrolled in every place where social property and general folk property were written. [[The speaker doesn't understand.]] And where construction land was built on July 24, 1991, the law was supposed to belong to a local self-government unit. Now this law isn't fully regulated. I believe that by the second reading of the law, clear provisions should be laid down to stipulate that the Republic of Croatia cannot own a building land that was registered as a building land until 24 July because numerous units of local self-government have problems because of their real estate that was registered by the Republic of Croatia by that date. The Republic of Croatia did so, i.e. the State Attorney's Office did so to ensure that certain parcels were defined as the limit which was determined in the spatial plan and which shared agricultural or forest land from the building land and was not carried out in the cataster but then the DORH had to do the plot first and register on what was outside of the building land, leave ownership of the local self-government unit, that did not happen and that many local self-government units had problems and it would be good if it did not solve the law which we would put out of force to settle this law, to make it clear. In this way, numerous court disputes between local self-government units and the Republic of Croatia would be resolved.
ParlaMint-HR_2018-01-18-0.u67442	Thank you very much. First replica, Mr. Sponza.
ParlaMint-HR_2018-01-18-0.u67443	Thank you, Mr. Vice President. My dear colleague, at the very end of your reference to the law, you actually referred to yourself with, if I understood correctly, I think I did, with a clear view of exactly what I was referring to through two replicas. So, years ago, let's go back a little bit if we talked about agricultural land, forest, so on. We have always come to the conclusion through the talks that the State's Attorney's Office is, in its best interest, becoming a narrow throat and a brake generator for investment. I therefore said that we should take responsibility, and I pointed to article 68 of this bill which really wants to create problems for all units of local self-government, and I was very pleased to hear what you have said now and I believe that, above all, it is the duty of each of us to base every law and this, we guarantee legal certainty and I believe that we will have to do another reading and it is good that this bill went into two readings, come up with a formulation that will guarantee legal certainty and will not generate problems because we agree with the first sentence that the minister himself said that the people and the property of the attributes of the state and the people who live in the units of the local self-government are people of this state, and therefore, let's not destroy and eat the foundations and the foundations are the units of local self-government and do nothing to them, and what would hurt them in particular what they were land-book owners of land, so we were glad to hear it. Thank you.
ParlaMint-HR_2018-01-18-0.u67444	Thank you. Mr. Bacic, answer.
ParlaMint-HR_2018-01-18-0.u67445	Thank you, Mr. Vice President. Comrade Sponza, I am not your replicas that you have directed to the minister, I understand the way you've now replicated it to me. I understood what the minister had been replicating to you, on a provision according to which units of local self-government that had owned real estate owned by the Republic of Croatia and the owner of these properties, the tenants of these properties used that unit of local self-government that acquired the material benefit of the sale or the availability of that property, would now be obliged to return to the Republic of Croatia because, contrary to this property, it was available to them. That's how I understood you. I didn't say that at the time, but I agree with you that you should be quite careful here, that if the local self-government unit has had that property now that those funds that have been made available to it have been paid into the state budget. As far as I understand it, it is not his provision, but the provision is defined, or as he said, in line with the state's attorney's office, and it would be good to draw a line, the moment the law comes into force and the Republic of Croatia takes over the property that is owned by it, but that does not mean an additional financial burden on the local self-government unit. I think that would be correct, but I say, we should wait for an opinion... If I get it right. [[The speaker doesn't understand.]]
ParlaMint-HR_2018-01-18-0.u67446	Thank you very much, Mr. Bull. Here you go.
ParlaMint-HR_2018-01-18-0.u67447	Thank you very much. Representative Bačić, this topic is very important, i.e. the Law of State Property. But here I mentioned earlier, a few illogical through replicas of the situation, and examples. If we have a spatial golf course, in the area where Croatia's own forests are now managed by Croatia's forests, only this spacious area where the golf course is isolated and becomes the property of this ministry, which is now proposed by the Law of State Property. And that area, that golf course, sells for example. if he's planning a golf course, he's selling the ministry. And the minister is, and the forest is around, who's bound to build the infrastructure? It's local self-government, and the ministry sells. And of course, the minister put up with a million kunas, put on 7.5 million kunas, the authority to sell the sea movables, real estates, shares, so he finely determines who will get that golf course. To these illogicalities, he decides, he cannot be a minister in this case, and everything would be burdened by local self-government. Why don't you put in the property of local self-government that area, so let local self-government build infrastructure. So the burden of infrastructure to the local self-government, owned by the Ministry of Property, and of course, this morning the minister said that the HNS had mentioned, so of course the HNS stands for it, as has been the case so far from continuity. Thank you very much.
ParlaMint-HR_2018-01-18-0.u67448	Thank you, too. Answer, here you go, Comrade Bacic.
ParlaMint-HR_2018-01-18-0.u67449	Thank you, Mr. Vice President. Buddy Bull, things are a little different. First of all, on forests and forest land cannot be owned by a unit of local self-government, it is exclusively owned by the Republic of Croatia under the management of a commercial company. These are at the moment of the Croatian forest. If a unit of local self-government together with the county and with the competent ministry of spatial planning results in the possibility of expanding the space of the forest, forest land, space and purpose for the golf course, this can happen under the Forests Act. It remains on a forest economic basis. But does it remain owned by the Republic of Croatia? And this minister won't or won't do it, he'll dispose of the land in a way that he can sell. It is always owned by the Republic of Croatia, and this investor who is and when he is, who will build that golf can get the right to build. And then for this right of construction to pay all its obligations, and based on these contributions, municipal contributions, the unit of local self-government, on that part, can provide the necessary infrastructure, based on the clearly charged municipal contribution that will take place there. So the minister won't sell the woods, nor... Nor is he the foundation of this law of Pharaoh, for this land shall remain in the possession of the Republic of Croatia. [[The speaker doesn't understand.]] And the investor can only be authorised to build there, in accordance with the right to build real estate, i.e. the facilities necessary for golf, and everything else clearly remains green. As a result, the former government, the SDP at the time when it passed the Law on Spatial Planning, established that golf, given the small percentage of construction, the facilities remain, can be outside the building land and can remain on a forest economic basis. So there's no point in saying that the minister could sell forests and forest land, nor could it sell a unit of local self-government, because it can never own forest and forest land under the law.
ParlaMint-HR_2018-01-18-0.u67450	Thank you very much. Sir... I'm sorry the time is up, Mr. Mader, please be my guest. [[The speakers speak at the same time, of course.]]
ParlaMint-HR_2018-01-18-0.u67451	Thank you, Vice President. Comrade Bačić, clearly I welcome this article 69 laws. The only hope is that it won't delay the request when the local self-government unit sends a response to the ministry, because we know that here I am, as the former head of the local self-government for the assignment of land, we've been waiting for six years. Then, I don't know, maybe an art. 8th of this law, which I believe is not, that it is useless, an article that says that the agreement of the ministry should be sought, because the procedure for the adoption of a spatial plan, the general urban plan and urban planning of the arrangements, as well as all amendments to these plans, is already being delivered to the Ministry of Construction and Spatial Planning, which is also published on its pages, and this information is public. I think it's unnecessary, because we always have paperwork that I find unnecessary. And one more thing, but it's more of a question for the minister. It's about our county. There are some buildings that were built after '45. Mr. So-called bunkers, which are located under the property of the Croatian Forests and at our request when they were then DUUDI, one sent to the Ministry of Agriculture, others sent to DUUDI, one to the Ministry of Defence. Who owns these facilities? Because these are objects that can be used right now for various, even touristic and can be used for various purposes, and you don't know who owns it, but clearly, it's more of a question minister. Thank you.
ParlaMint-HR_2018-01-18-0.u67452	Thank you. Mr. Bacic. Here you go.
ParlaMint-HR_2018-01-18-0.u67453	Thank you, Mr. Vice President. You see, fellow, I think it's a good provision, that the local self-government unit, the district self-government unit, when it starts to change the spatial plan of any level, to inform the Ministry of State. I don't see what's wrong with that. Namely, 576 units of local self-government in the Republic of Croatia I think this year will certainly be 400, 500 if not 1000 spatial planning documents change. And you say it's a public document. It is true that the unit of local self-government in its official ballot publishes its official messenger a decision to amend a certain spatial plan or to plan a lower level because all units of local self-government in Croatia have spatial plans for the arrangements of municipalities, cities and counties. It is also logical that the local unit, which is represented by the ministry when it comes to building land, is aware therefore that citizens living in the space of the local self-government unit are more living with their local self-government unit and are monitoring all events of changes in spatial planning documents. I do not see what is wrong with the provision that the unit of local self-government, when it makes a decision to amend the spatial plan, informs and the competent ministry which manages the state property in order to involve other interested citizens in making changes to the relevant spatial plans, because every citizen of the Republic of Croatia in the unit of local self-government that brings any document trying to participate in any way, participate in the adoption of this spatial plan document in order to exercise his or her right, improved the existing purpose of its real estate. This should be the same for me, in the same way we treat the state, and then the ministry asks him to know about all the decisions he has changed into spatial planning documents.
ParlaMint-HR_2018-01-18-0.u67454	Thank you. Mr. Demetlika.
ParlaMint-HR_2018-01-18-0.u67455	Thank you, Mr. Vice President. My colleague Bačić, through your presentation, but also through the replica, I felt that you were in some way justifying the ministry not to manage the total state property, and that's clear. However, we are aware that economic development holders are cities, municipalities and counties, that the same investments that are currently contributing to development primarily economically occur in the territory of units of local self-government. That those units of local self-government, now you say they're making spatial plans. And in your presentation, you said you should go back to that date, you said July 24th, I don't know what year exactly, 90th, and some that all that was in the spatial plans of building land to keep it owned by units of local self-government. And I suggest that, instead of the units of local self-government, interested investors, I will not mention the investment of golf, but rather mention the investment of kindergartens that will happen in a spatial plan that is on the plot of the forest's purpose not to run in Zagreb, the Croatian Forests or the Ministry of State Property Management or the Ministry of Agriculture, but that this plot of automation, after I have obtained all the consent from all the relevant ministries and so also from the Ministry of State Property Management that this property goes to my property, i.e. manage the local self-government unit in order to realise faster and better quality investments. Because otherwise we'll be walking around five ministries again and it's all state and it's time to realize that the state is also city and municipality and county. Thank you.
ParlaMint-HR_2018-01-18-0.u67456	Thank you, too. Mr. Bacic's answer.
ParlaMint-HR_2018-01-18-0.u67457	Thank you, Mr. Vice President. Comrade Demtlik, I advocate that a law which has defined what is state, which is municipal, which is county and that this law today in the implementation be as simple as possible so as not to have the disputes that I was saying earlier happen because today I also claim that what is on July 24th of '91. any ownership of a local self-government unit and now it's undoubtedly hers and not that she has to prove through the state procedure that it was hers at the time, so then don't argue with me about the right of ownership. But it's pretty much what you're saying, questionable that as soon as the local self-government unit turns out to be an expansion of building land, it automatically becomes the property of a local self-government unit. I already know a large number of investments in which the state owns the right to build, part of that fee in a quarter as it was in the Coopers, I don't know if it will be realised, but the state is already on its land, respecting the fact that there the local self-government unit built the infrastructure, built a water line, a road, brought electricity, etc., resolved the issue of draining waste water to collect compensation from investors, giving a certain percentage and compensation for building a local self-government unit. As far as I understand you, if I understand you correctly, you'd think that the moment the building land is expanded on which, it would be for some kind of activity to be compensated by any sale, any real construction would be the full income of the local self-government unit. I think that, if it weren't for that, it wouldn't be good. So, if I understood you correctly, and I did so to distinguish what is state and what belongs to the local self-government unit, not to be a matter of dispute today.
ParlaMint-HR_2018-01-18-0.u67458	Thank you. Mr. Panenic.
ParlaMint-HR_2018-01-18-0.u67459	Thank you very much. Dear colleague Bačić, when you were talking about real estate management, one of the properties that is here and this proposal mentions are actually apartments. Apartments that often, too, need local self-government to do so in some ways through the human problems they have put in place as one of the proposals for a solution. But then what do we get? These apartments in a large number of cases are in very bad shape. Here and specifically I had the opportunity to get acquainted with the state of buildings in the city of Ilock that have for years had a temporary manager where there is no solution to the question, meaning solving a complete situation where residents practically live in buildings that don't even have stairs lighting. It's a blocked system that should be opened. And for this reason, leaving this proposal to manage apartments is still being referred back to by the Ministry of State Assets again to the question of which such problems will be solved by dynamics that these tenants located in buildings owned by the Republic of Croatia finally get the possibility of setting up buildings to have no more forced manager than real ones and that investments can be made. So, that's a problem that's just never been solved so far. I see in this only a continuation of such behaviour and these are problems that should be dealt with more significantly. I think that local self-government would be much more agile, because in the end it's really citizens who live and have difficulties in their everyday lives. Here's something you should've said yourself, you've had this experience of real estate management, in fact, in some way to translate that and this, not only to pass this law but also to define how these citizens' problems will be solved. Thank you very much.
ParlaMint-HR_2018-01-18-0.u67460	Thank you. Mr. Bacic's answer.
ParlaMint-HR_2018-01-18-0.u67461	Thank you, Mr. Vice President. Coliga Panenić, I don't think we're talking about the same apartments, so I don't know which apartments you were thinking about in Ilock, but the basis of the Law on the sale of dwellings on which there was a tenant right has been sold and are owned by private natural persons who choose their own representative in their building and then, through this representative, negotiate a building manager who maintains common premises based on the reserve paid by each owner of that building. Therefore, the property of this building is not the job of this ministry, which is the job of the tenant who must maintain the building through the building manager. The second thing is whether the reserve is enough to maintain a facade, staircases, common spaces, and that is another question, how and how the reserved heights are prescribed for a single tenant who has a tenant right in dwellings that were before social property, which were based on the law on units of local self-government. This is where we talk about the apartments the state owns. And where the state owns it, I think this law requires us to simplify the procedure to define the holder of ownership, that there is simply nothing for me to manage except for certain needs of housing funds. I think that these apartments should be sold on the one hand as soon as possible, and on the other hand those that are important for a particular group of people who need to leave the country, leave it in the possession of the state and determine on them the amount of rent that would allow them to continue to maintain these same buildings. Here I agree with you that numerous state-owned buildings are abandoned, unsustainable and that in many apartments there are also illegal users etc. etc. So, I've already read here the total number of such apartments that are not arranged and that I think the law needs to simplify their, or edit and use or sell or give to use.
ParlaMint-HR_2018-01-18-0.u67462	Thank you. Mr. Vlaovic, come in.
ParlaMint-HR_2018-01-18-0.u67463	Thank you, Vice President. In your presentation, you also mentioned companies of particular interest to the Government and the Republic of Croatia, and you mentioned that in these companies, whether they are on the list of special interests and should not be guided by a good master. I continue to argue that Djuro Djakovic should have stayed on the list, as it has not been led so far by the good master, as it is seen from the financial situation in a society that is in difficulty, which does not have enough own capital for a quality market performance. And what it indicates was that it was not led by a good master's marma is the month of December when it was a congregation, when the assembly had to be postponed because a representative of the government in the assembly that particises with 38% of the ownership shares had no position to support or support the proposed capitalisation from the black steel company. It's just saying that the government didn't take a good look at the situation in this society, and that's why it's from around here, and especially because of those workers who work in special vehicles, who are primarily defenders deserve to keep every job and the government has to find a model of how to financially consolidate society so that they can perform quality on the markets. And we see that other companies that manufacture weapons are also being helped, why not then and Djury Djakovic and help the company continue to operate. And it will certainly benefit all citizens of Brod-Posavina County, and then the Republic of Croatia, so please, especially because there are no clear criteria for entering the list of companies of particular interest, because I asked it on the Committee on Legislatives, so the Secretary of State said that it would be later regulated by a regulation or by some other act. At this point, we believe that this is not a good way to treat Djury Djakovic. Thank you.
ParlaMint-HR_2018-01-18-0.u67464	Thank you. Mr. Bacic, here's your answer.
ParlaMint-HR_2018-01-18-0.u67465	Thank you, Mr. Vice President. My colleague Vlaovic, in principle, I said that I think there is no need to have two groups, but that these are societies of special national interest and that they should be cared for by the state with the care of a good master. In that sense, yesterday was asked the current morning issue of Djura Djakovic, and I think the Deputy Prime Minister said that regardless of what Djuro Djakovic fell out of such a division, that the state would continue to take good care of Đura Djakovic. And I agree with you companies such as Djuro Djakovic, such as Končar, such as Tesla, such as the Shkvers we said yesterday were companies that are extremely important for the Croatian economy. We do not have much in Croatian companies, companies that produce certain products that show about the ability of a particular country. These are certainly products that Đuro Đaković, who also works in Končar, which also work in smuggling, so also Split's Oil and other shipyards in Croatia. And I believe that the state for such companies regardless of whether they are owned, owned, in which way we must not be in a position that Croatia no longer produces any industrial product. I am sorry to tell you what the Government of Zoran Milanovic in 2011 despite the crisis and despite the recession, stopped the road construction in Croatia. If we had taken responsibility for the management of the state in 2011 or 2012, we would have continued with such conditions with a somewhat reduced intensity of building infrastructure facilities today, we would not have come into a position so that the Pelješki bridge could not be contacted by the Croatian firm. And if that were eight years ago, 10 years ago there would have been three Croatians, at least three Croatian firms that could have called the competition. Therefore, once you lose the knowledge that is in a particular company, which is happening somewhere, it is difficult to buy machines, it is difficult to buy knowledge that is established in such areas as Djuro Djakovic.
ParlaMint-HR_2018-01-18-0.u67466	Thank you. Mr. Shuker, come in.
ParlaMint-HR_2018-01-18-0.u67467	Thank you very much. Comrade Bačić, a few things have offered me a line to you. First of all, one that's very important, but I don't think it's done well enough in these articles between 29 and 33, which is stock management. It's not a stock management just a sale. The management of the shares is the way the owner treats that entity, it's on the trail of that replica of yours this morning, and that's something, so here's what my colleague Vlaovic was saying, it's something that needs to be defined by a special chapter. So how the state manages where the majority and minority owner is. That should be defined, not that minister like this, that minister like that. If we're passing one whole law, then one chapter needs to be defined in particular. So that's one thing. Another thing that's very important and it's military perspective and non-perspective property. The Department of Defense, together with the Minister and the President of the State, because they coordinate here, must finally bring what it is, why? Because it's a bunch of very interesting locations for both tourism and innu economic activity, and as long as the military doesn't clearly write these properties in that and in this area or in the whole of it, one piece is inoperable to me, let the state benefit it, the Office of State Property cannot act differently. It's just facts. The shares of HZMO to clear up this delusion, these are shares belonging to Croatian pensioners, exclusively by the decision of the Capital Fund's board to transfer the right to manage this ministry, they can dispose of these shares, no different. And finally I'm sorry that too much of our debate is going towards real estate, it's just one small segment of state property, and this story with local self-government units needs to be worked out far better and clearer because why? In recent times when we've donated, so unfortunately it's inefficiently used, and I mean eventually, if you give someone something, then, and conto economically, it's time to make money out of it.
ParlaMint-HR_2018-01-18-0.u67468	Thank you. Would you like to answer, Mr. Bacic? Last spark, replica inside clubs.
