ParlaMint-HR_2018-07-12-0.u78396	The following will be spoken by the respected representative Željko Glasnović, please.
ParlaMint-HR_2018-07-12-0.u92074	I agree with you in the part where you said that the perpetrators of sexual abuse are actually incurable because convicted perpetrators even at trial declare that they cannot help themselves, and that is why in some countries chemical sterilization as a method has really been introduced. They are indeed, here it has been proven that these people need both psychotherapy and pharmacotherapy, and this is shown by scientific research. The comparison with Great Britain and France was exclusively about the fact that, after serving a sentence of less than 2 years, protective supervision is required because the next one tends to be a more serious offence. And we have all the data here, so I'll show you after the debate.
ParlaMint-HR_2018-07-12-0.u92075	Thank you very much. In front of the... The committee's reporters want to take a word for it? [[You can't hear the intruder.]] Okay. Does the Government's representative want to further explain his opinion? Here's Mr. Secretary of State Jure Martinovic.
ParlaMint-HR_2018-07-12-0.u92076	Honorable MPs and MPs. Here I will be brief, given that the proposer of the HDZ Representatives Club has explained this law in detail. And I can only say that the government supports this request in criminal law. I must say, I've been following this initiative and this proposal from the beginning. On behalf of the Government, I or one of our assistants took part in the parliamentary committees, and it turned out there, I would say one unity in the sense that social values, such as our children, are more strongly protected by criminal law. So it is unquestionable and the government will constantly follow up with you with this law, listen to your initiatives in terms of any improvement in quality solutions in this legislative initiative. Thank you very much.
ParlaMint-HR_2018-07-12-0.u92077	Thank you, too. Now I'm really opening up the debate. The first one is in front of the club of representatives of MOST independent lists of Mrs Sonja Cikotic.
ParlaMint-HR_2018-07-12-0.u92078	Dear Chairman, dear colleagues and colleagues, the respected representative of the ministry. Namely, the amendments and additions to the Penal Code that are here today are due to the importance and sensitivity of the areas that governs have come to the agenda as soon as possible on the initiative of Parliament colleague Ines Strenja-Linić, who thanks you this way all 37 representatives of the signatories to come to the agenda. Amendments and additions to the Penal Code of the Most Independent Lists are supported. We support any proposed amendment that goes in the direction of child protection, and these amendments and additions to the Penal Code certainly are. The proposed changes and additions go in 4 directions. Changes to the provisions of Article 74 in the way that it is proposed that, in the case of delicacies of violence and sexual delicacies, the implementation of a safeguard control measure and to convicts who have spent a shorter period of time on the execution of a prison sentence in order to be able to carry out protective surveillance of sex offenders can be an important measure of prevention. It is also proposed to increase the protection of the victim's child, in a way that time increases from the current 3 years to 5 years if the offence is committed to harming the child. In Article 81, a crime of serious abuse and exploitation of a child has been imposed in a non-deprecated area of law enforcement. According to the current Penal Code, the prosecution of antiquities after 6 and 40 years, depending on the amount of the prescribed penalty for a particular criminal offence, while in relation to the offences committed to the harm of children from the age of the victim, the expiry of the limitation period begins. The Council of Europe Convention on the Protection of Children From Sexual Abuse and Sexual Abuse requires that the deadlines become obsolete for the initiation of criminal proceedings, for sexual acts committed over a child, shall be sufficient to enable the effective initiation of the procedure after the child's victim has become a minor. In view of the nature of sexual delicacies and the consequences that a person is exposed to sexual abuse and has suffered a period of time left for her to gain strength, to talk about the type of abuse, and to suffer the inconveniences revealed and the processing of the perpetrators along with her. The MOST of Independent Lists shall consider the time limit for criminal persecution not to be limited. Furthermore, through these amendments and additions, it is proposed that more severe punishment be imposed on the perpetrator to harm the child in such a way that all the offences of Chapter 17. Penalty law, acts of sexual abuse and child exploitation are increasing the limit of impediment to prisons, both lower and upper. Article 302(1) of Regulation (EU) No 1306/2013 is amended as follows: Criminal law in a way that also punishes the non-registration of sexual abuse and exploitation of children under the age of 15 and the serious crime of sexual abuse and exploitation of a child. Under the existing criminal law, only non-reporting crimes, for which a prison sentence of at least 10 years has been prevented, are being punished. We hope that our remarks will also be respected through this first reading, until the final proposal of the law. Thank you.
ParlaMint-HR_2018-07-12-0.u92079	Thank you, Mrs. Cikotic, now Mr. Recajmir Varda is in front of the club of representatives of the Labour and Solidarity Party, reformists and independent representatives, please.
ParlaMint-HR_2018-07-12-0.u92080	Thank you very much, Mr. Vice President of the Croatian Parliament. Dear Secretary of State, Irena, on behalf of the Club, I can only say that we will absolutely support this bill, the proposal to amend and supplement the Penal Code and try to improve the content itself with you. However, he would not waste his words on the content of the amendment proposal and the addition to say that we would accept, but he would actually speak to the public about the text of the convention itself which cannot be entered into the criminal law. So, first of all, we should comply. The 6th Conventions in the Educational System include, in fact, normal laws, which resolve this system, all necessary legislative and other measures to ensure that children receive information during primary and secondary education on the risks of sexual exploitation and sexual abuse. As well as ways to protect yourself. Secondly, here is a very important role for the media. I'd like to make it especially prominent. Because it does. 9th point 3 says that each party, party, signatories, so, state, will encourage media to provide relevant information related to all video of sexual exploitation and sexual abuse of children, respecting this independence of the media and freedom of the press. The media are also very important because of the education and the children themselves of parents, the public because only an article that bombistically announces that some pedophile, the abuser, is here today, I think that in the morning list, if I'm not mistaken, one article has been done that the father abused sexually, his child, his 5-year-old son. The media should take over the role of education. And third, not to be too long, Art. On the 12th, which I spoke of in the replica, I hope that in the second reading we will have such a provision regarding those who certainly know that it has occurred, and have not reported for smaller, easier acts of sexual abuse, however, in paragraph 2, I am not sure which and whether by law we can regulate it, says that each party will adopt the legal and other measures necessary to encourage any person, who knows or in good faith doubts, therefore, in good faith doubts about sexual exploitation or sexual abuse of children, to report these facts to the competent services. I'm not sure how a respected secretary of state regulates it, but the obligation is under this convention, which we are signatories, to regulate that part. By what law, I don't know, you know it better than I do, but it has to be regulated, just to encourage the public, at least, to report in good faith. I think if it's about the convention and its application, then we have to apply it in full, not just partially. And not to be too long, we're all tired, I hope you've all watched the game, slept a little bit, I'll just repeat that the Labour and Solidarity Club, reformers and independents will support this bill in the first reading. Thank you very much.
ParlaMint-HR_2018-07-12-0.u92081	Thank you, Mr. Varda. In front of the Club of HNS Representatives Mrs. Maria Puh. Mrs. Maria Puh. Here you go, it's your turn.
ParlaMint-HR_2018-07-12-0.u92082	I apologize to the Vice President of the Parliament. Dear colleagues and colleagues, dear secretary of state, here, today is one big day, I would say about Croatia and about yesterday's great victory of our firemen and I consider it a great victory which today, this law is on the agenda of our session. It's the first reading, but hopefully the second reading will be soon, so we'll have one appropriate law for all victims of sexual violence against children. Recently, we only had a thematic session of the Committee on Family, Youth and Sports, where we talked about the subject and at which, I knew that statistics related to sexual abuse of children were very ugly but when we heard all that data at the session, I don't think there was a person who was in that thematic session and that she left the calm soul from that session. 510 children per year in Croatia are victims of sexual violence, of which there are approximately 300 perpetrators, so they are very large relapsers, they repeat their actions and seek more and more of their victims. Unfortunately, 85% of the victims are girls. What I don't know is a word to use, of all sexual delicacies in the Republic of Croatia sexual abuse of children, is 76%, meaning 76% of all sexual delicacies that happen in the Republic of Croatia are happening over children. This law is more than necessary and one of, I would say definitely all the changes that are being made in it are positive and good, but I think the best and greatest change is that there is no longer any statute of limitations to commit this crime. Why is that extremely important? This is extremely important for the reason why it is known, unfortunately, that only 10% of the abuse that is happening is actually reported. And the time it takes to trust a child, to tell someone he can be 10 to 16 years old, and many, unfortunately, don't have the courage, to gain the strength to confide in someone, to report abuse. Unfortunately, in such cases children are most often manipulated, threatened to do something to them or their parents if they give up, said it must be their little secret, that everyone is doing it, and unfortunately that one psychological manipulation of children is coming to this frightening fact that children simply don't dare trust someone. We know for ourselves that there are a lot of grief in schools when something happens, but that's the most terrible crime that happens just as children leave it inside and don't report it, so that abolishing antiquity is definitely a very big message to all paedophiles that sooner or later they will reach the hand of the law and will be responsible for their actions that they have committed. In addition to working on this improvement of the legislative initiative today, what we definitely need and what we should be working on is the need, the great need to strengthen inter-resor cooperation, the need for all institutions that when a child and reported being sexually abused to coordinate much better and not to make the child an even greater sacrifice, not to repeat the interrogation of the child, but to do so in one appropriate way, not to give more statements, but to record it once, because unfortunately, the provision was that judges should have the right, if they think it is necessary, to listen to the child again, means they have the right, and unfortunately most of them are using it and traumatizing the child again because each of their return to what happened, each child simply falls more into depression. Unfortunately, depression and lack of happiness hormone is a scientific data that has been proven and appears in all victims of pedophilia. And what's very, very worrying is that children who have been sexually abused and who have been victimized by paedophiles are only four times more suicidal, whether as children or at a later age, are simply more prone to it. This law must be a clear message to the paedophiles that their misdemeanors will be punished much more, that they will reach them before or after the consequences of their actions, and I hope it will deter them from committing these crimes. What is still very important is that there is also no erasure of legally convicted persons for pedophilia and that they will be requested from the register of criminal records for all those institutions where people work with children. So it's about schools, it's about sports companies, all the associations that work with children should ask people who hire or who take to work with children to get out of that register so that we don't have to go back to a playroom, in some sports club coach being the person who's in the register of criminal records, and actually nobody asked for confirmation of that. The HNS Club will be for this law and I hope that we have it in second reading as soon as possible and that it will come into effect as soon as possible. Thank you.
ParlaMint-HR_2018-07-12-0.u92083	Thank you very much. No throwing, please. Mrs. Zeljka Josic is in front of the HDZ Representatives' Club. Here you go.
ParlaMint-HR_2018-07-12-0.u92084	I would like to thank the Vice-President of the Croatian Parliament, the Honorable Secretary of State, colleagues and colleagues. Here I would refer again to our suggestions that my colleague presented very well here. Everyone who told me before here is very clear why we need these changes, i.e. amendments and additions to the Penal Code. All of us kids are extremely important, we're all mostly parents, and we know what our kids would go through and how they would feel if they happened to be victims of paedophiles. What I would certainly say is that these changes and additions in some way raise the standard of protection and prevent convicted perpetrators from being in direct contact with our children. Of course, these amendments and additions are also governed by a safeguard measure, especially those of violence and sexual delicacies against convicts who spent a shorter period of time on the maintenance of a prison sentence. This is what I find extremely important, as well as the part that we suggested that pedophiles themselves should not be deleted from the very records of paedophiles. Why does it matter? According to some statistics, the majority of the perpetrators are men. If you look at the percentage of coaches, teachers, those people who are in direct contact with children, we think that it is not only a recommendation for employers who work with such people to ask if they are in a particular record, but we think that it is also a major obligation. It's from all of this that's been mentioned earlier, because each of these people who are a potential perpetrator or who was the perpetrator can cause a child permanent trauma. What the Convention of the Council of Europe proposes in its Article 33 to limit the time limit for the initiation of a criminal procedure for sexual offences committed over a child is sufficient to enable the effective initiation of a particular procedure, especially for those children who were not then minor and who were victims. These amendments and additions to the law would also regulate that criminal persecution does not become obsolete in the serious crimes of child abuse and exploitation. As you know, the Penal Code in these cases speaks of two groups. It means children up to 15 and children after 15 years. The penalties of the law we thought were quite, I wouldn't say gentle, but in any case these proposals that are in addition and amendments we consider to be much more concrete for those who are perpetrators. These changes regulate stricter punishment for the offences of sexual abuse of a child under the age of 15 and of a child older than 15 years. Then to satisfy the desire before a child under the age of 15, cheating children to meet sexual needs, pimping a child, exploiting a child for pornography, pornographic performances, severe acts of sexual abuse and child exploitation. This is exactly the kind of harsher punishment that we consider to be such stricter punishment socially justified and thus sends a very clear message to all those who are perpetrators and those who have not so far discovered that this is indeed a criminal offence, a serious crime, and that this, again, I stress, is trauma to those who are most vulnerable. The Council of Europe Convention on the Protection of Children From Sexual Abuse and Exploitation requires countries to take certain measures to encourage any person who knows or assumes that it is violence against the child, particularly sexual abuse and exploitation to report it to the competent authorities. What is certainly important is that it will enable the raising of child protection standards and contribute to the prevention of sexual abuse and exploitation of children and especially children used for child pornography. What I would certainly point out, according to some statistics in Croatia, the number of crimes of child sexual abuse is on the rise. What we see in our register is about 1400 registered paedophiles, but the assumptions are that there are several times more. It's believed there could be about 10,000 of them somewhere. Most often, as I pointed out, men are often family members. From the last thing we have data, I think that since 2016, out of about 1,400 convicted paedophiles, it's all 19 women. Now, what I already said at the beginning, and what is very important, is that all those who are rehabilitated, who have served their sentences in a very short period come out of this register of paedophiles. We of course suggested that it be permanent. I explained why it's very important. I will repeat once again what is important to my parents and children, which is that these children are not in any way traumatized because every child deserves a carefree childhood and a happy childhood and in any case these amendments and additions to the Penal Code will help. But the law itself on paper will mean nothing if those who enforce that law do not implement it as it literally does. I know our judges are overwhelmed, I know there are too many crimes, but what I certainly appeal to them to be and to be directed right towards that population that is extremely sensitive to us and that matters to us. I thank all the clubs that have supported this bill and I believe that through the second reading, we will come up with perhaps some other proposals and that this will interfere with our amendments and additions to the Penal Code and we thank the Ministry of Justice for supporting us. Thank you.
ParlaMint-HR_2018-07-12-0.u92085	Thank you, Mrs. Josic. It is now in front of the SDP Representatives' Club, Mrs. Romana Jerkovic.
ParlaMint-HR_2018-07-12-0.u92086	Thank you very much, Mr. Chairman. The SDP club supports any initiative that will deal seriously and systematically with this major problem that we have been paying too much attention to. Of course we can't, and we won't be against the amendments to the penal code proposed by the HDZ Club because we're very aware of what this problem is. We were recently discussing the Ombudsman's report for children and we had opportunities to remind ourselves of the huge shortcomings in the system that should protect children, and I don't know by which times we've consciously, hopefully, the fact that children are not simply focused and that we are not showing a clear willingness to bring this problem down to the least possible extent. In addition, the 2016 DORH report, which says that the most judgments were made, that they were conditional, significantly less prison sentences, and that 2,000 173 defendants were left in the work of courts where the verdicts were not reached. So that's a terrible piece of information. In this regard, this information relates to the direct violation of some laws, some other laws and so on the urgency of the procedure provided for in Article 4. The Youth Court Act. So Croatia has not built a quality and efficient child protection system against sexual exploitation and abuse. And I hope that, all together, we've regained consciousness. It's amazing, when you start to list what's really missing in the child protection system when we talk about this problem, it doesn't satisfy the system of support for the victim's child, so help and treatment to get over the trauma that the child has experienced. There are no centres for the forensic examination of the victim's child in every district center or bar in regional centres. There is no efficient pedophile control system under a sustained sentence, there is no systematicly organised prevention available to children. So the justice system, along with some minor shifts in the last 5, 6 years, has actually not been adapted to the victims' children at all and endangers the child from re-traumaticisation or multiple trials. Judicial practice, court practice is unequal both to the treatment of the victim's child and to the punishment of the perpetrator of sexual, or sexual violence against the child. About the length of court proceedings, is there one word at all? About the disgraceful judgments, so we're all witnesses to it. Therefore, children are not protected from contact with paedophile, penalties are too mild for the perpetrators, all children do not have the same recovery options because they are not equally available services and services of assistance and support, which means that there is direct discrimination against children. We don't have enough experts and institutions to treat child sexual abuse, lack of education, supervisions of experts, etc., etc., etc. So it is indeed high time to deal with this problem seriously and systematically. So far, the practice is not good, and we have to change it. I've already said on several occasions, it wouldn't be good to wait too long, wait for something terrible to happen that's already happened in neighboring countries, we know their experiences. So we should use other people's good practices and good laws if they have them and they exist, there are. It's time to show responsibility and understanding and willingness to do something that I actually think the public is expecting from us and it's a new law. So they will support the SDP's amendments to the Penal Code, because, as I said at the outset, we support any initiative that goes in terms of better solving some issues, but will the Penal Code help us deal with this problem systematically and seriously? No, we don't believe that. We believe he's a fireman. And for that kind of firepower, we'll give our vote. However, we remain on the stand that we need a new law, anti-pedophilic, and therefore, as a club, we will also propose a conclusion that would oblige the government to make a new so-called. Antipedophilic law. Thank you very much.
ParlaMint-HR_2018-07-12-0.u92087	Thank you, too. We're moving on to individual debates. We only have one individual discussion. Mrs. Branka Juričev-Martinchev. Here you go.
ParlaMint-HR_2018-07-12-0.u92088	Thank you, well-respected Vice President, dear Secretary of State and Assistant Minister, colleagues and colleagues. So I think it was necessary to go to these Amendments and supplements of the Penal Code because I don't have words to express my indignation that there are people who sexually abuse children and over 15 years of age, who are satisfying their desires in front of a child under 15 years of age, mother children, to meet sexual needs, to mislead children, to exploit children for pornography, to exploit children for pornographic performances, and to do serious acts of sexual abuse and child abuse. It was really necessary to go to such amendments and additions to the Penal Code in order to punish them more severely. The figures available to us say that from 2014 to today, the crimes of sexual abuse of a child under the age of 15 were 140 condemning, 3 liberating and two convictions for innumerable. For the serious crimes of child sexual abuse, there were 27 condemning and one acquittals. However, when we know that according to the applicable Penal Code, the prosecution of severe acts of abuse and exploitation of a child really is very good in this law that one such persecution does not go out of date, it must not become obsolete and the time-limits for the initiation of a sexual delinquency procedure should not prevent the child from taking action and when the child becomes a adult because we know that it takes a very long time for the person to be able to talk about the type of abuse. Unfortunately, every couple of months, we have bombing headlines in the paper, and we see that in certain places and from some people we wouldn't expect it to happen, such acts happen that parents can't even dream when I say so, and the institution sends their child that such an evil may happen to them. And indeed that deadline must not be limited. Also, the duty of citizens to protect a child must be ahead of professional secrecy and should be liable to criminally respond because it protects the committing of a criminal offence and thus exposes the possibility of repeating the same crime. Whoever did this one time, if he knows and sees that he's not punished, he'll reach for it both the second and the third times. I'd say it's about sick people, that's for sure a healthy man will never allow himself or think, without telling those people who have their children, that something like that won't come to their mind. That is why we are all tasked together to protect our children more strongly, to prevent convicted perpetrators from being in direct and regular contact with children and for the full execution of prison sentences in acts of violence and sexual delinquency and those who spent a shorter period of time in supporting prison sentences. In fact, we are witnessing that depending on which judge, in which court, the same crime is known to be the different lengths of the prison sentence. However, these are such as my opinion of persons who have certain and diagnosis, surely that they can reach for such a thing again and there should be one such registry and such people must be kept under observation longer to protect children more strongly. Thank you.
ParlaMint-HR_2018-07-12-0.u92089	Thank you very much. We have a replica of Mrs. Željke Josic.
ParlaMint-HR_2018-07-12-0.u92090	Thank you. Here are you colleagues who have opened another question here, and this is a question of rehabilitation not only of the victims themselves but of the perpetrator himself, which I personally think as a doctor is extremely important because it is not enough just to have a register but also to give these perpetrators some help, and you yourself have said that they already have certain diagnosis. What you certainly pointed out, what I said and in my debate, so the Law is not only enough for us, we also care for those who implement the Law, our courts are important to us, and here our representatives from the Ministry of Justice and I believe that soon we will have some kind of rope specialization with our judges, and that they are not the only judges to say the general direction conditionally. Thank you.
ParlaMint-HR_2018-07-12-0.u92091	Thank you very much. Replication response.
ParlaMint-HR_2018-07-12-0.u92092	Thank you very much. Well, dear colleagues, here I will repeat once again that I think that these are not healthy people, that they are sick persons, that they also need some help not to repeat these acts, and we must all contribute together to making these cases as little as possible and not just the Ministry of Justice, but also the Ministry of Health, and surely the Ministry of Demography, we must all step forward together so that, as I said, protect the children as best and more.
ParlaMint-HR_2018-07-12-0.u92093	Final word, Ms. Irena Petrievcanin Vuksanovic.
ParlaMint-HR_2018-07-12-0.u92094	Thank you very much, Vice President. Here, I want to thank all my colleagues and colleagues for a constructive and supportive debate and especially colleagues from the Ministry of Justice, I see here that we have been joined by a colleague of Shimunja. I also want to thank everyone who has contributed to the Attorney General in any way. It is mentioned here that several things are not covered by the amendments to this criminal law or by another bill, which is education and support system for children victims. Unfortunately, they are not concerned with criminal law but with some other laws, but what is important is highlighted for the education and awareness of children as all dangers lurk, also mentioned by counterpart Varda in his debate, counterpart Puh, colleague Romana Jerkovic. Therefore, for education and awareness-raising of children it is also necessary to include the activities of civil associations. I see here at the gallery that the representative of the Association of the Lions, Mrs. Pope, also greets her. So other than all the state bodies participating, of course the Ministry of Justice, as counterpart Branko said, it is also necessary to include a civil sector on this subject, especially on the subject of education. What's not mentioned here on the Internet. The Internet today is a very powerful tool that practically makes it easier for such people to reach children or victims and of course that children need to be warned from early age in an appropriate and understandable way about these dangers and of course they need to be through systems not only schooled but also preventive where I mentioned the importance of the MUP and the Ministry of Justice and the Ministry of Education point to all these dangers. What's also important to say at the end, we have for example a criminal offense range of 3-12 years and what happens most often? This was also said by a colleague on behalf of the HDZ Club, so that judges tend to impose lower sentences, very, very rarely give maximum penalties even though they have the opportunity to do so. And that shows practice. That is why we can sharpen these penalties, and that is the intensity of this law, but at the same time we will not be able to influence judges with such judgments. It is therefore important to conduct the education of judges or, better yet, to specialize judges in this kind of crime, and I hope that this will soon come on the agenda because it would also be one of the preconditions for successful law enforcement and, of course, preventing further trauma of such children. Thank you very much.
ParlaMint-HR_2018-07-12-0.u92095	Thank you, too. I'm concluding, and there's one replica, and yes, I'm sorry, I saw it before that, Mrs. Sonja Cikotic, please.
ParlaMint-HR_2018-07-12-0.u92096	Dear colleagues, I'm only interested, last week we had amendments and additions to the Penal Code in the House, and now we have re-amendments and additions to the Penal Code. I'm curious before the final amendment of the Penal Code will all go into the final proposal and be joined 2 in 1? That we don't have two amendments to the same law.
ParlaMint-HR_2018-07-12-0.u92097	Here's your answer if you like.
ParlaMint-HR_2018-07-12-0.u92098	Thank you very much. As far as I am aware, it is a alignment with the European directives, and this is a proposal for an amendment that has been on the agenda since 26 November. But I suppose, since the Penal Code is organic, that one can go into a common united amendment, but that will be decided by the Ministry of Justice. Thank you very much.
ParlaMint-HR_2018-07-12-0.u92099	Thank you, too. Now we're really closing the debate and we're going to vote tomorrow. Now a brief notice, if we finish the debate 13 hours ago, you can tell your party colleagues from your parties who want to have the debate that we have at 13 o'clock. So if we finish the debate 13 hours ago, after the debate on the next point is over, we'll move on to the club's point of view. Proposal for a law amending and supplementing the Penal Code, first reading, P.Z. No. 244, the proposal is the Club of Representatives of the HDZ, the debate is closed. In accordance with the proposal of the parliamentary working bodies, I am voting on the next conclusion. First, the draft law amending and supplementing the Penal Code and secondly, all objections and proposals will be submitted to the Proposer to consider them when setting out the text of the final draft law, please vote. I find that with 112 for and 3 abstentions, so most of the votes have come to the conclusion that it was proposed by the parliamentary working bodies. A SDP representative club, is it about this law? ... I can't give you an emergency if it's an emergency. ... [[The intruder on the side, he doesn't understand.]] I can't give you a break for that. ... [[The intruder on the side, he doesn't understand.]] Let's just finish this point a little bit. [[The intruder on the side, he doesn't understand.]] The SDP representative club proposes to the Croatian Assembly a conclusion which reads: It is called on the Government of the Republic of Croatia to propose a special law within 6 months to regulate the area of protection of children and minors against sexual offences. I am voting on this proposal for a conclusion, please. ... I find that this conclusion has not received the required number of votes, 29 for and 77 against, so we have not passed it in this law proposed by the SDP Representatives' Club. [[The intruder on the side, he doesn't understand.]] Here you go, Comrade Whitey.
ParlaMint-HR_2018-07-12-0.u92101	Thank you very much, dear President-in-Office of the Parliament. I am looking on behalf of the HSS Assembly Representatives' Club for a break related to the news that has just come, that is that Mrs. Martina Dalic, former Deputy Prime Minister, is clearly in conflict of interest. So the Committee for the Prevention of Conflicts of Interest found that you all together not only her, but all together the whole government is still not so clean around the entire Agrokor case. So the conflict of interest means that those 500 million kunas that have disappeared, that's exactly what the opposition has been talking about all along, which you've been trying to cover up all along, and your prime minister and most of the Parliament's and your coalition partners, your trailers are trying to show as a blur of some foggy, petty non-essential details that weigh 500 million kuna and now it's the Committee of Prevention. conflict of interest also found that these things were not clean [[Intruder president: colleague Beljak.]] Please pause within 10 minutes [[Intruder president: colleague Beljak.]] to advise opposition clubs on how to continue voting on certain proposals that you have on the agenda. [[Invader President: Comrade Beljak, I ask you to stop.]]
ParlaMint-HR_2018-07-12-0.u92102	Okay. So I'm not going to grant you a break because there are no conditions for the Rules of Procedure. Secondly, I'm giving you a warning because you used this request for a break for something that wasn't defined by the Rules of Procedure, you knew very well. You said what you wanted obviously, but I'm giving you a break. I'm giving a warning, not a break. [[Beljak: Thank you very much.]]
ParlaMint-HR_2018-07-12-0.u92103	And now we're going to the bill of law, which is the last draft of the law today. - Proposal for a law supplementing the Law on the Legal Consequences of Conviction, Criminal Records and Rehabilitation, first reading is the Proposal for a Club of Representatives of the HDZ on the basis of Article 85. The Constitution of the Republic of Croatia and Article 172. Rules of Procedure of the Croatian Parliament. As you have seen from the title, it is the first reading, and the debate was conducted by the Committee on Law, the Committee on Justice, the Committee on Family, Youth and Sports. The government delivered an opinion. Does the proposaler's representative want to give an additional explanation first? I guess Irena Petrievcan Vuksanovic.
ParlaMint-HR_2018-07-12-0.u92104	Thank you very much, Mr. Vice President. This is an amendment to Article 17 of the Law since Croatia does not have a separate so-called the register of legally convicted paedophiles, but in the context of existing criminal records, in a special way, defines the collection, storage and provision of data on the perpetrators of certain criminal offences to the harm of children, as it is said. On our initiative, this Law on the Legal Consequences of Convictions, Criminal Records and Rehabilitation would actually be extended in a way that, after a certain expiry of the deadline, the data has therefore had certain time limits for the conviction of a long-term prison of 40 years to, say, 6 years for
ParlaMint-HR_2018-07-12-0.u92105	Please be quiet out there, please, Mr. Shucker, I beg your pardon. What do I have to do to make you quiet down? Thank you very much for your heart. Here you go.
ParlaMint-HR_2018-07-12-0.u92106	Thank you very much. So 6 years for the smallest forms, i.e. Convictions to prisons of 1 year probationary sentence work for the greater good. So now our proposal is that the data on sex offenders in the criminal record are kept permanently to be available for the purpose of verifying and after the rehabilitation, that is to say, we would be able to prevent the perpetrator of the sex delinquent from being able to do harm to the child after the expiry of that period, so it would no longer be possible to verify his criminal past. For example, such persons could now become foster parents, be employed in certain jobs where they come in contact with children or at any other business if the employer has not checked those data from the criminal record. In this way, these data would be permanent, would not be deleted, and all employers who want to hire a person who comes into direct contact, works or performs activities or duties with children would practically be checked in this way and we think that this is a very important preventive measure. Thank you very much.
ParlaMint-HR_2018-07-12-0.u92107	Thank you, too. Is there anything the motionary's representative, this government pardon, would like to add? Here's Mr. Secretary of State.
ParlaMint-HR_2018-07-12-0.u92108	Thank you, Mr. Vice President, distinguished MPs, MPs. So the government has already shown itself on this initiative that actually makes up one package with the previous law. We will, of course, support that, and we will be concerned with you to finally obtain a text in which you too will collude this through your amendments, possibly, that this segment does not only violate this overall harmony of material criminal law and there are some mild risks, so together with the Proposer and you, we will be kind of careful not to violate any other rights prescribed by the Constitution and by other laws in the Republic of Croatia, so here, we expect everyone to cooperate, and in this regard, we will follow this through the end between the two readings, eventually intervene if we conclude that there is such a risk. Thank you.
ParlaMint-HR_2018-07-12-0.u92109	Thank you, Secretary of State. Would anyone like to take a word from the board? No, we're moving on to a debate. So I'm opening a debate. First, Mr. Miro Bulj appeared in front of the Club of Representatives of the Independent Lists. He's gone, he's losing his right to debate. The second is Mrs. Zeljka Josic in front of the HDZ Representatives' Club, please.
ParlaMint-HR_2018-07-12-0.u92110	I thank the chairman. Dear Secretary of State with an assistant, co-workers and colleagues. We have already touched these changes at the previous point, so our proposal is very clear here and that data from criminal records is not deleted and that they are kept permanently for persons legally convicted for the crimes of sexual abuse and exploitation of children. Why does it matter to us? At this point, we do not know how many paedophiles have been deleted from the register because they have been rehabilitated and there are no statistics in the Ministry of Justice on this because the data on convicted paedophiles who served the sentence after the rehabilitation period has expired are deleted. I have previously pointed out that it is extremely important for us to work with our children, how we work and that it is not just a college diploma or any school completed is enough and enough to work with children. What is extremely important is that so far, all rehabilitated pedophiles have been able to re-employ with children even though there were no guarantees that they would no longer repeat the same crime. What I just pointed out in my replica is not only a victim’s need for certain rehabilitation and help but also help for those who are committing a certain crime. I don't think they're more important than the victim, but I think they have a certain problem that they're causing their victim, and that they should definitely be treated and monitored, and in this way, if we have databases, in some way we'll be able to protect children in at least that they can't have direct contact with their child at least as far as the education and education system is concerned, because what's happening to us today is that the law itself is contrary to what it says in the Council of Europe Convention itself to combat all forms of sexual violence. What is certainly recommended here should be repeated once more that none of the employers are currently obliged to check in the employment of a person who will work with children, whether they are in the register of paedophiles or not. And in doing so, I have to point out that it's all about those who work in playgrounds, sports clubs, schools, kindergartens. Therefore, other than being recommended, it should certainly be an obligation to put it in a certain legal framework. And in the end, I would just say that the right of a child to be above the rights of every convicted person for sexual crimes to harm a child because every day we keep stressing that children are our future and I think that we should behave accordingly. Thank you.
ParlaMint-HR_2018-07-12-0.u92111	Thank you very much. We're moving on to individual ones. I'm sorry, Mrs. Maria Puh, in front of the HNS Representatives' Club, we have another club, thank you.
ParlaMint-HR_2018-07-12-0.u92112	Thank you, Vice President. Dear colleagues and colleagues, respected secretary of state with associates. That is, as we have already discussed today and under this first law, the proposal for a law supplementing the Law on the legal consequences of a conviction in criminal records and rehabilitation will determine that all data on perpetrators of criminal offences of abuse and exploitation of a child in the criminal record will be kept permanent and not deleted. This is one item and a great provision, as it is abolished, because simply the perpetrators of a crime, I believe, will at least think about it a little before a possible crime is committed if they know that all their life will have to look behind their shoulders and see if their victim will finally collect courage, report a crime that happened and so on, that information simply must not give the perpetrators of such misdemeanors any more opportunity to repeat their crimes, I definitely do not think that if one person will commit such a criminal act, unfortunately, the relapse of these crimes is very large, and if I believe, if they come and opportunity and opportunity, although they pass and rehabilitation and all, unfortunately, very often they do well because, as I have already told them of such a criminal act, it is no longer possible to be able to register with children. Thank you.
ParlaMint-HR_2018-07-12-0.u92113	Thank you, too. And now we're really moving on to individual debates. We have two, the first Mrs. Zeljka Josic.
