ParlaMint-HR_2018-02-13-0.u66031	We're going to take a break. Here you go, Mr. Alexic.
ParlaMint-HR_2018-02-13-0.u70564	I thank my colleague, Voter, answer, colleague Sokol. Here you go.
ParlaMint-HR_2018-02-13-0.u70565	Thank you, Mr. Vice President. I didn't even say there was some big disagreement, but let me explain some things. So that was our decision, and then we had every right to do that. But what's right, is something called... This is also true in international law, as well as in the conclusion of ordinary contracts, which is that contracts can be modified if circumstances have changed. [[The speaker doesn't understand.]] In our case, however, the circumstances changed, in a way that a major reform of the administrative procedure was made, a new Law on General Administrative Procedure was adopted, after 50 and a few years, by the new Law on Administrative Disputes and the new Law on Courts, where a two-stage administrative trial was introduced. That's a big difference. And not only was there a two-stage administrative trial, but the jurisdiction of the administrative court was also changed, what I was just saying about the pay phone, which is that their powers are much wider in putting themselves into the decision-making measure. So just because of this change of circumstances, again, within our autonomy, legitimately makes decisions to simplify things, speed things up, I don't think there's anything controversial about it. Thank you.
ParlaMint-HR_2018-02-13-0.u70566	I would like to thank my colleague Falcone for his reply. Next replica, dear colleague Maras. Here you go.
ParlaMint-HR_2018-02-13-0.u70567	Thank you very much, Mr. Vice President. I am interested in your opinion, which is why in Croatia as well as in many other areas of innovation, people are relying on themselves, there is no system, there is no support, it reminds me of sports, where our athletes are usually family projects, and here are projects of enthusiasm of innovative people who invest in themselves, in their knowledge. And then, for example, last year, when our innovators go to Genoa one of the biggest innovation fairs in the world, they get, like, six gold five silver and two bronze medals. One innovation is declared the best innovation of the fair, but what happens then. It's not applied in our economy. But those innovations are usually picked up by someone else. 70% of Croatian companies do not have a new product in their offer. So obviously something in the economy is wrong, i.e. in the way we treat ourselves as a state to the economy, how we make it easier, for example for innovative products and for certain investment in knowledge and innovation on these products. There's obviously something wrong with that. And I have a feeling that maybe Texo Management, doing innovation, then probably Ramljak, Daliæ and Škegro would come up with ways to propose legislation that would help these companies, but since they're dealing with Agrokor, they're now focused, only how to help themselves in Agrokor. Thank you very much.
ParlaMint-HR_2018-02-13-0.u70568	Thank you, colleague Maras. Answer me, fellow Falcon. Here you go.
ParlaMint-HR_2018-02-13-0.u70569	Thank you very much. I'm glad we're discussing this as always, when you're taking part in the debate, but I'd be happy to answer, although this has nothing to do with this law. So one of the problems is the very structure of our economy. So our economy is largely composed of small and medium-sized entrepreneurs where it is very difficult to start with some kind of research and development and create innovative products. That's a fact. Such things are much easier to do, large companies, large technology companies, which are simply not largely part of the Croatian economic system. There are, but simply, the structure of the economy makes it difficult. However, another thing I would like to touch, which is what the state does and you mentioned some funds, etc. So just last week, we had in this House a new law of state aid for research projects. So it's a law that, it's an area left in the legal gap since 1.1.2015, when the then government unfortunately did not prepare for what they knew, which is that the regulations that provided these support will cease to exist. And because of the situation then, which in 2014 was nothing to do with it, we have come into a situation where we have a legal void and that this government has to deal with it. What is important, however, is that this government, with its proposal for a Law on State aid for labour and what is a change from before, is that this law explicitly excludes financial services as an area where state aid can be achieved. So, the government, through this bill, has been anticipating that there may be some things that are not in line with what the law is about to achieve. And to the right of those areas excluded. So I think these parallels you pull just don't stand.
ParlaMint-HR_2018-02-13-0.u70570	I would like to thank my colleague Falcone for his reply. Here you go, Mr. Maras. No, I don't. Next replica, dear colleague Tomislav Zhagar. Here you go.
ParlaMint-HR_2018-02-13-0.u70571	Thank you, Vice President of the Croatian Parliament. Dear colleague Sokol, so I agree with you that's what the government's representative here said and you've repeated, I have no doubt that it will be more effective to protect all those who decide to refer to the decisions of the State Institute for Intellectual Property. However, for the sake of truth, we must mention here, and that is always what we have talked about so far about reforms, any judicial system, any reform of education, pardon, these health institutions, has always somehow ignored the principle of closer protection. Because people opposed it when it came to the abolition of hospitals, when they talked about the abolition of certain courts. And here we have the case in fact that everything, and of course, for specific reasons, the whole problem will be taken over by the Administrative Court in Zagreb. So we have to point out. It will not be in Osijek, Osijek, Split or Rijeka, but only in Zagreb will it be the administrative court, which will be in charge. From the point of view of the number of complaints filed, it is not a problem, only having 73 of them may even be submitted by non-Citizens of the Republic of Croatia. So either the legal person who only has seats here, and they have... Somewhere further. [[The speaker doesn't understand.]] Therefore, this should not be a problem, however, I will look only at the reasoning of the part of the law, when it says, as regards the revenues of the state budget of the Republic of Croatia by abolishing the possibility of an appeal decision... there will be a slight reduction in the revenues of the state budget of the Republic of Croatia with the basis of the fee of the costs of the appeal procedure at the same time as the corresponding increase in income with the grounds for court charges for administrative proceedings." That makes sense. However, it may be in line with what counterpart Maras is, and it is not negligible to say when we talk about patents and the innovations of natural persons, to enable them not to pay these court fees, to pay the ministry or state instead. That would be...
ParlaMint-HR_2018-02-13-0.u70572	I thank my colleague, Sagar. Hey, buddy Falcon's answer. Here you go.
ParlaMint-HR_2018-02-13-0.u70573	Thank you very much. As far as the jurisdiction of one administrative court is concerned, I would just point out two things, perhaps to explain the reasons why it is explicitly prescribed. First, administrative trial is a very broad area, so administrative proceedings and administrative disputes cover the widest part of the different areas of law as I have already said from tax to intellectual property. And that's why if you have different courts to decide on, then you really have to invest in the specialization of judges in their education narrow specialization in each area, etc. I think it's simpler this way. The second thing is that according to the general rules on jurisdiction and such a huge percentage of these procedures will come right before the Administrative Court in Zagreb, this is just further precise. As far as court fees are concerned, I don't think that part is regulated by this law, so now we have a whole package of judicial reform and more laws in the process, so here's a suggestion. I believe that the Ministry of Justice and the DOJ will analyse it if they think it's something they should do, why not.
ParlaMint-HR_2018-02-13-0.u70574	I thank my colleague Falcone. We're moving on to the debate. On behalf of the Club of Representatives, respected colleague Sabina Vosovac. Here you go.
ParlaMint-HR_2018-02-13-0.u70576	Thank you, Mr. Vice President of the Croatian Parliament. Dear Proposer, esteemed colleagues and colleagues. The SDP advocates' club will support a package of laws regarding how to call it intellectual property. What we just want to contribute to is the faster procedures to be resolved, I won't say complaints in this case right now, so the less financial burden on citizens and the greater legal protection. What you yourselves have said in your opening statement to this proposal of the law, we are repealing the Board of Appeal as second-degree bodies that have so far reviewed the decisions of the State Intellectual Property Institute, on the other hand, ensuring the right to press charges to the Administrative Court in Zagreb for first-degree decisions of the State Institute for Intellectual Property in administrative cases for the recognition of the right of patents of industrial property. And what I hope will happen would be extremely significant, and it is stated in the light of the law that the urgency of the proceedings will be prescribed before the Administrative Court. What we also want to emphasise is that we hope that this amendment to the law will not require more significant financial effects on the state budget through the PFU form that follows this law is clear, but we must take into account that when we transfer all these disputes which have so far been resolved by the Board of Appeal to the administrative courts that we must be prepared to do so. I hope that you have foreseen the situation that human capacities in these administrative courts and the financial capacity with which they are able to deal with these procedures as you have said by an urgent procedure and that those who are now actually desiring legislation will be transferred from the Board of Appeal to the administrative courts will also be victims of the slowness and tromility of the Croatian judiciary. I am on the board, and even here in one replica, we only asked, in fact nine years ago, we decided on a different path in criminal negotiations with the EU to protect the rights of our citizens as strongly as possible and to ensure more effective legal medicines. We have established exactly this institution of the Board of Appeal where the parties could complain about first-degree or solutions of the State Intellectual Property Institute. If they were not satisfied with the decisions of the Board of Appeal themselves, then they went to the administrative courts in that third degree. After we established that, we just realized that it doesn't work exactly how it should work. During the period 2011 to 2015, the work of the Boards of Appeal as stated in the reasoning of the law itself has been difficult, the number of pending cases has increased. Since 2015, this work has somehow been accelerated by 220 other appeal cases, however, the Board of Appeal manages to halve that number of pending cases into 110. And now the only question is, are we sure if there were some subjective, objectively unfunctioning Boards, and they were in one part caused by the ineffectiveness of the state I will say so, because of insufficient financial resources, so because of the unclearly prescribed law where it was questioned, as you yourself said to the board the actual jurisdiction of these Boards of Appeals. What was presented as one argument holding the water on the committee itself is that many members of these Boards of Appeal could come into a potential conflict of interest. But we need to ask ourselves if it's not all the circumstances that we could and should have known when we changed the law in 2008 and the question of jurisdiction and the fact that we don't have so many legal experts that we could hire them in the Board of Appeal so that they wouldn't be involved in any of the processes or procedures that come before them. I mean, it's a little awkward that we may waste time unnecessarily and that we always have to learn from our mistakes, learn lessons from our mistakes and go by that method of trying and making mistakes. And now we're going back in some way where we were nine years ago, and in the hope that this process will still speed up as we heard in the meantime, a new Law on Administrative Procedure has been passed, has been reformed in some way and the courts, which should contribute really to greater legal protection of citizens and faster resolution through faster resolution of these proceedings. We have no others but to believe that you have made a quality analysis and that what you are proposing will indeed be a solution that will satisfy both in some way. So the first time we say "citizens," we force the courts to automatism, we get the impression that we're going to put extra financial burden on them. I'd like to hear from the motion guarantee here that it won't be like that. In any case, we will take your word for it, we will trust your bases and conclusions that you have come to why this law should be returned to the old in the hope that it will receive adequate results and expected accelerations and greater protection of our fellow citizens. Thank you very much.
ParlaMint-HR_2018-02-13-0.u70577	I thank my colleague, Voter, for this debate. We have one replica, dear colleague Tomislav Žagar, please.
ParlaMint-HR_2018-02-13-0.u70578	Thank you, Vice President of the Croatian Parliament. Dear colleagues of the Voice, you rightly wonder if in this case all those seeking legal protection will increase their costs. What's the problem when we talk about patents, I'm going to talk about these only now in this replica. You know, the whole patent protection process is a very complex procedure. It requires both certain knowledge and often those who have an idea for patents, who have an idea for innovation, do not have those knowledge needed to lead to patent protection. The truth is that in most cases they get state support and in the main state support if it's... 20,000 kunas, mostly patent protection, all the way through the process. And then they actually get into a situation where they don't have the money when they need it most, and that's the problem with this society, and that's the problem in the end that they're pointing out here in the light of the law, just 73 complaints. [[The speaker doesn't understand.]] I agree if the transfer to administrative courts will speed up this procedure that there are no three degrees, however, the Board of Appeal could be converted to the councils that will lead, which will actually, let's call it this, the patent office. The state patent office that will lead all of our innovators to come to the end of the final product, i.e. to finally protect your patent and to start producing that patent. We have a bunch of innovators today who don't just know how to do it and many of these patents today, innovations stand in drawers because they haven't found the end and hearing for production. And here we are dealing with, therefore, complaints and we are not dealing with what is causing the whole story, which is helping innovators in this society and innovation is the only way to raise the level of production and competitiveness of Croatian production. Thank you.
ParlaMint-HR_2018-02-13-0.u70579	I thank my colleague, Sagar. Answer from my colleague, Voter, here you go.
ParlaMint-HR_2018-02-13-0.u70580	Thank you very much. Comrade Sagar, you're probably more professional than I am, and I come to that conclusion from this replica of yours. Yes, I don't know if the State Institute of Intellectual Property fits all needs and how the results of the research would be if we were to examine the satisfaction of the users with his work, in this particular case of our innovators. I don't know if this idea of yours sounds good to me, about how to say it, today I'm missing some real words, about some re-design, about rerouting the Board of Appeals to a service that would actually be the right hand of the innovators, and I don't know if you thought they were also some kind of legal representative or free legal protection, but in any case, where the Croatian helmet is an investment in innovation and I think that any help that can contribute to the development of innovation in Croatia and strengthen the position of the innovators in Croatia is welcome, so maybe this is also your good idea, I'm really not that professional, and I'll probably have to answer to the motion in my reasoning on all our proposals, remarks and criticism on the bill, but an interesting proposal in any case.
ParlaMint-HR_2018-02-13-0.u70581	I thank you for your response to the esteemed colleague of the Voice. Mr. Mako Gluncic, please come in.
ParlaMint-HR_2018-02-13-0.u70582	I'm just going to brief on the fee. So now for the administrative dispute these fees go from 100 to 500 kuna. And the Board of Appeal went for the patent of 2 800 kuna, for the stamp of 1,800 kuna, for the industrial design of 1 100 and for this geographical 1,000 kuna. So this makes it easier for someone who wants to sue for simply spending less money on a complaint.
ParlaMint-HR_2018-02-13-0.u70583	I thank Mr. Secretary of State Gluncic. We have one replica, dear colleague Sabina Vosovac.
ParlaMint-HR_2018-02-13-0.u70584	If we're looking at fees, yes, but if I get it right, we can't rule out the costs of the procedure that you didn't mention, right? So we can't safely argue or say that what you've listed as a comparison is actually the only parameter. Yes, in the case of appeal proceedings with appeal committees, that story begins and ends but the court proceedings are something else, here the story just starts which doesn't mean that... We already know how our citizens go to court and how they actually know how to end these costs and whose costs they go to. [[The speaker doesn't understand.]] I mean, maybe I didn't get it right, but please answer me.
ParlaMint-HR_2018-02-13-0.u70585	Thank you, Secretary of State Mr. Gluncic's answer, please.
ParlaMint-HR_2018-02-13-0.u70586	So also now, if they are not satisfied with the decision of the Board of Appeal, they can go to trial. So the procedure can go the same way.
ParlaMint-HR_2018-02-13-0.u70587	Thank you for your response. Comrade Voter, did you raise any injuries to the Rules of Procedure or...? Well, since you haven't, we continue to debate on behalf of the GLAS and HSU Representatives Club, dear colleague Anka Mrak-Taritash, go ahead.
ParlaMint-HR_2018-02-13-0.u70588	Thank you, well-respected Vice President of the Croatian Parliament. Dear colleagues and colleagues, we have a group of five legal proposals ahead of us. Let's say a few things about that. These five legislative proposals have already been held in a parliamentary debate. So, we've already had a chance to see this during that short period of Oreshkovic's government that we forgot it was already, so it was already at the first reading in the Croatian Parliament, so we already think most of the votes said it went into the second reading, so the second reading didn't happen, so now we have it again in the first reading, so we'll have it in the second reading, so there won't be that two times it's twice but related to these three laws will be three times it's three times. This government has decided to make all the legal proposals in two readings, which I am in principle absolutely in favour of and I think that's good. But the same there seems to me that these five legislative proposals were not some great reason for them not to go in the first and second reading, given that we had already had them in the first reading once, so this is the second time the first reading, so somehow I would say one voice of reason and decisions absolutely respect, but this is exactly the bill that I think there would be no major obstacles in the House to decide both first and second reading. So much for that. Now let's discuss the subject of the Board of Appeal and the two-degree trial. Of course, if I were to finish this first thought and say, it would be good if we'd already got it. I don't see what was the reason we've been waiting for a year and a half again, so we're going back to the scale of things. These five legislative proposals propose the abolition of the Board of Appeal and that is good and that is the way it should be. For what reason? Let's imagine the situation we've had all this time and there's a questionnaire and that's in a certain way that you've been waiting for so far, so it could have already been in effect. So today, when someone decides, they have the possibility of a council of appeals. What we know from the experience of who worked with the Board of Appeals that the Board of Appeals doesn't work, that there aren't enough experts that you can include in the Board of Appeals because they're already interested in some things, that these Boards of Appeals cost and that then my experience, I must say, that there are always some subjective assessments in which there may be some other things. And after the Board of Appeal, someone who is unhappy with the decision of the Board of Appeal goes to the Administrative Court in the first degree and goes to the Administrative Court in the second degree, instead of getting one propulsion, to get the possibility that solutions are being made faster, to get the possibility of us deciding these things faster than when we have a new Law on General Administrative Procedure complicated our lives to our citizens, and that is clearly to be said. When it was possible through EU negotiations, then all the authorities of the state administration, or better to say to the ministries and central bodies, opted for the Board of Appeal, why? Because they were insecure in a certain way, so they thought they were just going to the Board of Appeal, so let them decide what they're going to do and how they're going to do it. In real life and real life, it turns out that it doesn't work. I'm always in favour of the GLAS and HSU club, and we stand for the option if you see that something doesn't work, if you see that something isn't good change in a way that for our citizens and for those who come, those bodies get better. So I really have to say this way I'd like to say a lot more that these two laws are first and second reading together, and that's how we show that we want to solve something, the second thing is that we've been waiting. So we've already had our first reading so now first reading for the second time, but that's no reason why we won't support it but there's more reason to somehow give support to finish that story, let's really make it work. What's equally important, let's do a little bit of what it means to be experienced. You can see about from the material you've had a chance to read, so down is one fus note that somewhere between 3 and 5% there were complaints or there were demands and unsatisfactory solutions. I was taught that when it's up to 10% it means it's done well. Therefore, if the complaint is further administrative disputes or what is below 10% on the solution of one governing body, then the theme is to do well. So I don't doubt you're doing well. Equally so look at the little explanation you don't have the effort to read it, but the reasoning of these five laws is extremely well done. We had a law in discussion last week that we discussed all day, and the reason for that law was 2.5 pages. The explanation of this is extremely well done, why, why, why, so that I with these little criticisms but you understand it well-intentioned indeed and commending the reasoning of these laws and it would be better if more laws had such an explanation because he has rare parliamentary representatives although we have them, that Renaissance guy to understand everything. But there are MPs who have certain topics, and they may be interested in these topics, so it's always good to read the explanation because you can see some other things from the explanation. In conclusion, it's about five laws, it's about laws that we actually comply with the general administrative procedure, it's about something that's going to go three times for this House, so we have this, and it's about something that we at the GLAS and HSU club are doing as a step forward and it's good to move forward and it's good that we get faster and it's good that our citizens get security because in this way and what my experience these Boards are rarely meeting somehow strangely deciding and they're still an additional burden because they are also financial burden. Now why did I decide to say a little bit more even though I said I was close, but that's always the most dangerous thing for you when someone tells you I only have a sentence, two of which is a mole and two pages. The administrative trial, now, part of what we need to know is that we have lawyers working in general without wanting to comment, but they also have another problem, when they get some new situations, a new case until legal practice is established. It seems to me no matter what, it is good that it has decided to be in one court and that this court establishes legal practice, and then when it is established and when it is seen then it will no longer be a problem to go to other courts because in this case it will also get different practices in different courts that is what when we talk about the Croatian judiciary and what keeps us down, and that is to get different legal practices like this in a certain way the security that will be tried in the same way. And now here we come to the subject of the metrics, me from the bill's proposal, I'm actually reading, that it's always on the scale that you don't even get into, that when there was an appeal council, or a lawsuit, that it wasn't going in, that someone was better, like this, or something like that, but it was always going into the procedure. And I don't doubt that in the administrative courts, regarding the procedure, it will be decided in the way it should be done. So, we're going to support it, and somehow it's a request to the Proposer, give what you want before you finish that story and have a clear, legal situation related to these five laws. Thank you very much.
ParlaMint-HR_2018-02-13-0.u70589	I thank my esteemed colleague, Anki Dark Taritash, for this debate. We have several replicas, respected colleague Vesna Bedekovic. Here you go.
ParlaMint-HR_2018-02-13-0.u70590	Thank you, Mr. Vice President of the Croatian Parliament, colleague Mrak, I have been very interested in listening to and supporting this way, in which you have explained very briefly, therefore, everything we are talking about today and I fully agree with you that this should have been settled as soon as possible. And it's good to discuss this unitedly today, so these five total laws. 3 The basic reasons, first of all, the Board of Appeal is in the form in which they are now, indeed, either difficult to function or do not function at all and we must agree on that. Furthermore, what I think is a pretty big problem is that we really don't have enough experts and it's hard to recruit them. So, first of all, he has a hard time and sometimes he has a lot of problems with the appointment of presidents, deputies, members themselves, and I don't think it's irrelevant, not to point out, that in practice there are a number of problems, which are related to possible indirect conflict of interest. So, the people who were appointed to the Board of Appeal and what I think is, if you had noticed well, that in both cases and in most cases, after the decision of the Board of Appeal, you are going to the administrative court anyway, so either in the first or second degree. And of course, the practice has pointed to difficulties, and in fact the laws are there to improve practice and in that sense, I think that just determining jurisdiction, only one court for intellectual property rights cases, will, above all, bring an evening of court practice, so specialising in individual cases, which, in any case, must give our citizens more legal certainty as a result, so I fully agree.
ParlaMint-HR_2018-02-13-0.u70591	I thank my colleague Bedekovic. The answer of my colleague, Mr. Tarritash. Here you go.
ParlaMint-HR_2018-02-13-0.u70592	Thank you very much, Vice President. My colleague Bedekovic, indeed when changes are made and the law is complemented, we need to know why we are doing this. We often tend to make changes and supplement laws to make them work. In a particular case, we know exactly why we're doing it. We know that for the right to simplify our lives to our citizens. We're experts, I'd say in these climates, how to complicate something. And when does it get complicated? When you're not sure. Well, then you'd better have your decision one more time, then another time, then a third time. And that's why the Board of Appeals started. I always say that from my own experience. I've been through this story from my own experience, and we've all made it easy for the Board of Appeal, so some Board of Appeals will be there, so we'll have security. But behind that, we have a trial, through 2 degrees, to which we had to, therefore, not our wish, it was a wish, where the EU asked us to agree with legislation. And now, instead of being more pro-pulsive, to be all together, we are now, out of our own uncertainty, introducing the Board of Appeals. And what brings us to the Board of Appeal? That you don't have people, that you have to pay these people, that no one will, because I always say, I won't be on the Board of Appeal, maybe I'll be on the other side, and actually, instead of that, you've introduced more uncertainty. What we really need to strive for in legislation, to be simple, to be feasible and to actually go to our citizens' favorites, so that's our basic task. Thank you.
ParlaMint-HR_2018-02-13-0.u70593	I thank my colleague Taritash for his reply. Next replica, dear colleague Tomislav Žagar. Here you go.
ParlaMint-HR_2018-02-13-0.u70594	Thank you, Vice President of the Croatian Parliament. Dear colleagues, Mrak Taritash, as always, your debate was based on what will actually enable this legislative proposal, which we will benefit from, how applicable it is in practice. You are right, when you say that this, too, amending this legislative framework directly affects efficiency, not only the proceedings here in the field of complaints, the decisions made by the State Intellectual Property Institute, but generally such a legislative change can affect the number of patents. And look at America in 2015 when there was a serious change in patent legislation, there was a sharp increase in patents. That doesn't have to be ignored. We're compared to, say, Switzerland, by the number of patents per million residents, you know how many 27 thousand times lower. So they have 892, and we have 3.2 according to the European Patent Office report. Croatia is out of 48 ranked countries, only 41 places. So this change of legislation must also go in this direction to increase the number of patents and the number of innovations in Croatia, because this is the way towards both the Croatian economy and the general position of Croatia in economic terms, to a short Europe. And another degression, in two-thirds of the patents in advanced states, you're doing big companies, innovations, two-thirds watch out, one-third just small entrepreneurs. Our situation is completely reversed. With us big companies, you're very little invested in innovation. You know why? Because they have a monopoly on the market. Take public companies with them a small number of innovations, except, one thing, I don't know his name and name, the man in HEP who made an exceptional innovation, which in his company saved considerable financial resources and, of course, without compensation. Thank you.
ParlaMint-HR_2018-02-13-0.u70595	I'd like to thank my colleague, Sagar. The answer of my colleague, Mr. Tarritash. Here you go.
ParlaMint-HR_2018-02-13-0.u70596	Thank you very much fellow Sagar, you've actually touched the essences in your replica. You, we must create a clear legal framework through our legislation. If there is no clear legal framework, then there are a number of concerns and a number of questions, and therefore it is good that this is the case and that is why it is good for a court to decide because that is how you acquire a legal practice through some changes. The next one might decide to be other courts, but you have to do it that way. I must admit that I am always saddened when I read where Croatia is related to a number of things, so let's just say about adult education we are convincing in the last place. So we had the opportunity to see that last week's law where Deputy Prime Minister Dalic spoke about the law where 3% of the EU has decided to support innovation and everything, Croatia is at 0.85 with a desire to reach some 1.5% and the EU at 2.3%. So it's a series of things that make us sad. But it seems to me that all the laws we need to go in a way that we're moving forward. And I'm really reading this as a step forward, and so I've discussed it, and I absolutely need to give support, but it just needs a little bit, a little bit faster. Thank you.
ParlaMint-HR_2018-02-13-0.u70597	I thank my colleague, Dark-Taritash, for your reply. Next replica, dear colleague Gordan Maras. Here you go.
ParlaMint-HR_2018-02-13-0.u70598	Thank you, Comrade Tarritash. In your debate, you pointed out the lawmaking process, or how it has been since the Oreshkovic government, and when we adopt this law, and I believe that we will all be more or less in agreement, the question is how it will help in key things, which is to increase the number of innovations, so that Croatia will not be at the innovation capacity of 122 countries in the world and how to enable Croatian companies and entrepreneurs to be better at innovation. The key does not lie in administrative procedures and the answer does not lie in administrative procedures, the answer lies in a greater engagement not only of the state but also of entrepreneurs and employees because Croatia has the biggest problem in that entrepreneurs probably and insufficiently engage their employees in order to withdraw and advance innovation. Of course, the public sector has a big impact, as a colleague said earlier. Public companies rarely reach out to this in the public sector in our almost so the biggest companies are very little working on it, a little motivated by people, not trying to stimulate them to contribute to innovation in the company itself because if there is no innovation, there can be no purpose in itself. Innovation must be in the service of change in the economy and society. So there is too little in Croatia, too little is invested, too little is encouraged, too little is said about it, and of course there is the biggest problem and of course it will not solve the changes of these few laws. Thank you very much.
ParlaMint-HR_2018-02-13-0.u70599	Thank you, colleague Maras. Answer, colleague of the Dark-Taritash. Here you go.
ParlaMint-HR_2018-02-13-0.u70600	Thank you very much. Comrade Maras, I agree with you absolutely in this regard. So we can have great laws, we can also have these laws clearly defined administrative-legal procedures, we can have it all on paper, it can work great, but what we need to change, and that's our thinking and the way we treat it together. When it comes to the problem that was defined by this law among other things, I would point to two facts and I would like us all to imagine the two facts that were both last week. One was the fact where the mayors met and said there should be a special fund from which compensation for damages to EU projects for unintentional errors made by the county. So they know in advance that they're going to make unintentional mistakes and they need one fund to refund it from. And the second topic was already mentioned by the law which was last week in the debate which was said, so I will convince it a little bit, and the following is said, you are applying to certain innovations in front of the Ministry of Economy, make projects by that project, withdraw funds from the EU, and at some point the EU decides that there is something wrong in the project, and you have to return money to the entrepreneur who actually applied. The contractor won the project and realised it thanks to the ministry. So the ministry's commitment, the ministry could have assessed the project guilty. What other words do I want to make for comparison? When we introduced the Board of Appeal, we weren't sure until the end, so we introduced the Board of Appeal as one fuse. We are now not so sure that we will work well and apply to the EU and withdraw funds, and now we will transfer that responsibility to some fund or to those who will receive EU funds and that is not good.
ParlaMint-HR_2018-02-13-0.u70601	I thank my colleague, Dark-Taritash, for your reply. Next replica, respected counterpart Davor Vlaovic. Here you go.
ParlaMint-HR_2018-02-13-0.u70602	Thank you, Vice President of the Croatian Parliament. Dear colleagues. Both the HSS and I personally agree with you that it is necessary to speed up the procedure for the adoption of these five laws because, in a certain way, we are in line with European legislation, we support every new law that goes in the direction of improving the position of our craftsmen, entrepreneurs, businessmen on the market and that we should adopt as soon as possible what should be the tool for our craftsmen and entrepreneurs to invest more in new knowledge, innovation in protecting their intellectual ownership in patents because it will certainly contribute to the economic development of the Republic which and what we hope is our goal. And surely it is necessary to reduce these procedures, facilitate this legislative framework towards craftsmen and entrepreneurs because it is not a problem for large and small businesses where they have both legal services and experts who follow them. The problem is when a craftsman or an OPG or a micro entrepreneur comes up with some idea that innovation should patent their product, there is often not enough legal assistance on the ground, and that is why I am here and replicating because I know what the situation is on the ground especially that in the less developed areas you do not have in the craftsman’s chamber or in the Chamber of Commerce enough legal knowledge to help experts, so the ministry should figure out how to transfer that knowledge to the field when a craftsman or entrepreneur has an idea to help him patent his product. And on the other hand, what we also miss, when it already succeeds in this legal procedure, is the problem of placing that product on the market, there is also Croatia at the beginning of the European community and we need to come up with better models to co-finance this craftsman or entrepreneur and help him develop his product in Croatia rather than carry it outside Croatia. Here, thank you.
ParlaMint-HR_2018-02-13-0.u70603	Thank you, colleague Vlaović. Answer, colleague of the Dark-Taritash, go ahead.
ParlaMint-HR_2018-02-13-0.u70604	Thank you very much. Dear colleague, that's right. There is also a colleague, Maras, mentioned some topics that are outside the scope of this law, but it's a good thing he mentioned them and that it can be answered. What we need to change in the way it works at all, we need to change this attitude of some kind of public administration towards the citizens. Very often, this relationship is based on the situation “here we are now and now someone is coming, and now someone would ask and bother. ” All public administrations must be a service to their citizens, it is financed from the budget, it is financed by these citizens, and in this sense the way they act should be changed. So this is one framework where we're going to do something more pro-pulsory but I really agree, you have companies that have lawyers and that can absolutely say... But the individual feels like he's in Kafka's book, he goes door to door, every time someone does something to him and he says "well, I'll do it," someone says, "Sign with a green pen," he signs with a green pen, and the second time I have to, I caricate, sign a purple pen. [[The speaker doesn't understand.]] What we need to do is move the entire work and all procedures must be open and transparent. It's good to do it on websites, but it's good to do it with some kind of education, once in 6 months, once in a year, say "there's going to be a round table on that topic," you know, but Croatia is such a small country and we have something over 4 million and anyone who gets into that story will find someone who was so able to tell him something. So these legislative frameworks will really explain something, but I repeat, we can have perfect laws but the laws are implemented by people and there is always the key to the problem. Thank you.
ParlaMint-HR_2018-02-13-0.u70605	I thank my esteemed colleague Mrak-Taritash for his reply. Before further discussion at the gallery were joined by students and students of OŠ "Alojzija Stepinca" from Zagreb, I welcome them and their teachers and welcome them to a pleasant stay in the Croatian Parliament. Thank you very much, I hope he hears a lot of good in our Croatian Parliament. [[Applause.]] We're moving on to the next individual debate, dear colleague Gordan Maras, here you are.
