ParlaMint-HR_2019-10-31-0.u148232	Here's your colleague, Sagar.
ParlaMint-HR_2019-10-31-0.u168147	Thank you very much, Mr. Vice President. Dear Secretary of State, colleagues and colleagues. One word is very important in all politics that is very often lacking in application, and obviously we also have problems in implementing this law, and that word is called responsibility. State agricultural land is the subject of a debate of all years in Croatia, and unfortunately as many other things have never been drawn one clear direction, one clear path, one clear strategy that it does not change which political option comes, so one wants to centralise, the other wants to decentralisation and then we are constantly spinning around and therefore there is no information anywhere accurate about what counterpart Vlaovic just recently was talking about. Local self-governments have been made available to manage wealth, they have received state agricultural land to design a programme, to determine the agricultural production that is of interest to them and to carry it out. And no one at the local level today can call the Ministry or anyone else if he doesn't implement that programme, if he hasn't done it, if he hasn't started to apply it, if he hasn't started the competition. We can't keep moving the ball, we'd like a little bit, we wouldn't want a little bit. Sometimes in the first part, when local self-government was first made available to agricultural land and the adoption of programmes, then whoever did not adopt the programme went through the resolution and disbanding of representative bodies. Today, we've come up with it in a way that if the municipality and the city don't create a program that will do it for them, the county. Now it's just a matter of whether they're doing it or not. I think it was said that 411 programs were made that 200 were approved and that 200 were still processed. Let's remember that time when the Agricultural Agency took over all the data from local self-government, and I will be responsible for saying that it took all the data because then local self-government was all the documentation, all the contracts, everything they had handed over to the agency, and there was a suffocation, a process that had already been in the good part that had begun. What I think wasn't very good after that, the process of control didn't continue, and I'm not even sure today whether the suspension of the Land Agency was good. Personally, I don't think so. The Agency should remain and remain and serve primarily for the control of each hectare sold under special conditions, at preferential prices or leased. And to anyone who didn't behave according to the program he handed over when he was getting that land for rent or when he was buying it, it was practically something he should have taken away. We've made a room here again where it maneuvers. I talk to people quite often these days, they're afraid, especially those who are tenants, there are people who have rented state agricultural land, their contracts point out, they don't deal with livestock, they even have a closed production cycle of those malts from wheat grains to bread and the number of employees are afraid to lose land. Whether the municipality in its work will create a program to reduce the surface, whether to show up some cattleman who will take their land, means there are problems. And I think there would have to be a little bit of an analysis, a cross-section after two years of condition and see exactly what happens on the ground, what is the situation, and perhaps a little bit of that law still lay down, protect, nevertheless, the former and existing tenants who use land for the purpose for which they have rented it and who have hired people, not just their families, but have hired additional families on that programme. I don't think that would be so bad and that it should be done. And in some ways even more rigorously access deadlines and force local and regional self-government to take responsibility and do the job. I'm sure the law needs to be developed, but the urgency that this wealth is given to local self-government, that it manages it, that planning land-based development is a good way to go and I don't think it should be changed just has to be a little bit more controlled. Today, if someone can't build a program in local self-government, if they can't implement it, do we need such a local self-government in such a case? Thank you.
ParlaMint-HR_2019-10-31-0.u168148	I would like to thank my esteemed colleague, Hrgo. Next debate on behalf of the Club of Representatives of the Independent List of Young Respected counterparts Tomislav Panenic. Here you go.
ParlaMint-HR_2019-10-31-0.u168149	Thank you very much. Dear Vice President of the Parliament, Your Honor, Secretary of State. This debate and on the Committee on Agriculture we also had what was expected when this law was passed, and this was clearly communicated and today's agriculture minister Tolusic was that the country's management would be transferred to the hands of local self-government. And that's the key setting for why you're looking for this kind of interpretation if someone gives you something to make a decision, then it's your decision that's final. And everyone expects when we make a decision behind it stands. However, we can see that this law has entered very deeply into the definition and procedures of certain and priorities, so that the authority transferred to local self-government is considerably reduced. In particular, when designing a land programme, they can make a list of land that is not some authority, they can determine what will go into lease, which even though there is a lot of previous availability to those previous tenants in some way nobody wants to, especially in these circumstances, take such responsibility to do something dramatic about it. After they were welcomed by something, which is that a significant part of the land was removed from its disposal, is no longer run as agricultural land but the acts of Croatian waters have become water good or what was once available as agricultural land is now part or most of the forest good, so it is not available with this programme. And then this leads to a real one of the complications in the way you manage the country, because you need to bring in and most of it has come up with a program that doesn't contain a significantly larger amount of land that was expected by this programme that we will cover a lot more countries, that in the meantime certain property doubts have been solved that were around certain land. And then when the land is built, there's a situation where a lot of land with acts is listed as water or forest good and can't be an integral part of the programme of availability. And to what you wanted to manage, you actually got a lot less to share on the demands that smaller agricultural producers have, the OPGs, and we also see that there was a bile debate on quantities that would be granted to those who had significantly larger areas of concessions. It should be pointed out that the concessions on long-term ones were largely larger, they are long-term and they stand nominally in the programme, but will not be available to competitions that will be called. And a little bit through that all-expensive role of a municipal chief or mayor was reduced to someone passing the problems on to me, and he didn't give me the real power to decide. First of all, when viewed in such circumstances, it is also laid down by law which are priorities. Did the law predict exactly what the priority is for every local self-government? No, he made one at the level of a priority, which I think is the proposal's priority, which in this case was former Minister Tolusic, he had such a priority. This priority is not the same in all local self - administrations, and when these programs are being developed, it is the way in which you meet the legal priorities, not some way, to try to solve the problem you have. And that when it comes at some point to the municipal council you should defend this proposal and the municipal chief especially in conditions where there is no majority of it, we also have such cases or the mayor must defend this proposal and say it is a proposal he is in accordance with the law. And believe me, whoever doesn't want to accept it, and very often the opposition isn't political, but the opposition are agricultural producers who are members of city councils or municipal councils, they don't want that attitude. And then you should tell them, yes, but it's the law. Then when someone starts to read the law, we come up with a situation like this that my colleague, Sagar, asked to be given a credible interpretation of whose word is final that we will have the process, how will you explain that on the municipal council, the proposal was, he was discussed, as such adopted. Any decision by the municipal council if it is illegal cannot be made in advance. So it's up to us to establish the legality and that's what the service does, but then we see that when such a adopted proposal comes to a professional body in the ministry, then it all comes back together. So we get to exactly what I'd say is a situation where local self-government that has certain powers actually regulates their powers again and enters the independence of decision-making. So we had a priority intervention, we had an intervention through a land fund that was reduced in various ways, not increased, and then there was a final decision making, and all of a sudden it would have been if it hadn't been for that pressure with very short deadlines, where the secretary of state could certainly testify, a lot of local self-government units didn't respect the whole procedure, they tried to shorten it, so it was just to send any proposal just to allow the deadline. If it had gone a little deeper in those proposals to check the procedure of whether everything was respected, I'm afraid we'd have a lot more rejected proposals than it was. Some had the view that they did not want to carry out the procedure illegally, so they did not respect the deadline, and yet this deadline is not respected for local self-government, but for the majority of the number of bodies that need to give consent to certain parts, or you need to get their preliminary opinion on certain parcels. So, we've come to a complex situation. Everyone sent it, just like that, as a homework that, more importantly, you do it than the quality, everyone sent it, and then they created a headache in the ministry, and what we see, the headache was passed on to the county where, when the ministry refused some or those who didn't at all create it when it came to administrative departments, the county that are limited to capacities, should be prepared, we've been chewing on that topic for two years now, and there's a very small number of those who have published it, and believe me, there's a lot of them waiting to see how they'll be with their neighbors, so they'll be wiser and not make the same mistake. Of course there are difficult situations here, we had a situation with Forten's group, a transfer that was regulated by another law where you need to clarify, okay, I'm transferring to them something that most agricultural producers in my community think has become available in this process or will be free for some period, which they want to dispose of. We had a case now in the Municipality of Markusica which brought a programme where they simply reduced those quotas and Pic Vinkovci, who worked out significant areas, could not use it, had no solution until then, valid, had no solution for agricultural land. And then you say you should help Pick Vinkovci. Here, I personally did not see that anyone from Pica Vinkovci referred any significant remark meaning in this direction and someone should perhaps represent their interests which they did not show. And I believe in that case that the Municipal Council has brought the programme into that priority that they consider to be the best for their residents. There was also a question of the municipality of Trpinj where, here the county was transferred a hot potato, simply which you will make a decision? Whether you give small farms or you give a company that employs a significant number of people in your area. Whatever you bring, you're not good. And then we see that the county that represented one point of view, now it's got just one hot potato, which is, it has to bring that program, it has to make a proposal and decide what it's going to be. We, in a way, went to delegate the municipality and the city to make a decision, and we see that we have made them a place where they can pass it on to the county, so you do the work and explain to someone why you've made a certain program. And very much this process that was going on was demanding, there were certain, I would say even insufficient counselling, more I believe that there were individual requests to the Ministry of Agriculture for interpretation. Only when it became quite complicated, then the Ministry of Agriculture improved its procedures, as it was seen, were more faced with previous counseling before the programme was adopted, and then it was a little bit of this second round, the corrections that were to be made, something improved. But we need to learn from the process that has happened and what is the problem, to make a proposal to amend and supplement the law, and then these requirements, which my colleague, Žagar, referred to, would probably be clearer and better defined and would not remain for someone to take certain risks or not. I often mention precisely that in public authorities officials are reluctant to accept responsibility for something and that it is one of the big problems within the public administration because everyone is afraid to take responsibility and that when they take responsibility for it, they will stand behind them. In this case, the municipalities or the city that she was bringing, and in some cases, we see, the county, should take responsibility for it and someone should stop. If the ministry sends it to corrections every time, they add, then it collapses. The process is collapsing and everyone's waiting, we're going to send it to the ministry, so however they decide, we have a chitabu that the ministry has asked for a certain change, so we're going to call on it. And we came a little bit to have this trust in land management at that local level will solve local problems have collapsed and I believe that very few now have those who believe that the municipality and the city have brought the programme that is best for the needs of their agricultural producers, but that it is all again handled from Zagreb. So, from the objective of this law, which was that from the agency that had its successes and failures that were interpreted in different ways, we clear it up once and give it to those who should decide about themselves, to make a decision, we somehow returned it to the public all together that again, not the agency, is now the ministry, but it has lost its determination in making decisions and political decisions by the head of local self-government or the representative body to adopt laws which they consider the best and what is already mentioned, the availability of agricultural land will not be unequivocal. One part will be available through the program. The part available through the body of Croatian Waters, there is not such a procedure, the significant amount of countries that have ended up in, as publicly defined, have a different model where you as an interested party need to seek a public call for a particular land and Croatian water to publish it on your site where very few people are familiar, even local self-government has no information that a public call has been made, and then someone uses who has knowledge and is good to speak precisely with this kind of place that there is a possibility that the land that is water good so that you can ask for the establishment of agricultural production by demand for Croatian waters and it is now being declared where you can, everyone can apply, not only that applicant of the application, but in the largest number of cases, only the applicant has information and it comes up and we are again creating an additional tension among agricultural producers, and now we see that there is available what is also within the building area, I would say even sometimes unsettingly needed to the relevant areas. Whether it will be in this same way, which would be good sometimes, because agricultural land is what is being processed for that purpose and it is a little bit certain that someone on it will have a priority to build. We have land from the Croatian forests and we should have simplified it, transferred everything together if something is not possible to dispose of, but everything that is possible to pass on to local self-government, that they are in one programme and that there is no such diversity, and especially that there is no difference in interpretation which can then lead to some legal problems after a final decision is made. So here we are, as a club, going to support the request of MPs and hopefully here, that even the ruling one will have understanding. Thank you very much.
ParlaMint-HR_2019-10-31-0.u168150	Thank you. We move on to individual debates, dear colleague Domagoj Mikulić, please.
ParlaMint-HR_2019-10-31-0.u168151	I would like to thank the Honorable Vice President of the Parliament, the Honorable Secretary of State, dear colleagues and colleagues. The law that we passed last February and which came into force in March is very clearly prescribed for agricultural land in the Republic of Croatia. At that time, we all here claimed that the previous law had a series of illogicalities, opening up the possibility of manipulation and guessing just the big ones. That is why we have passed a new law that puts our OPGs, our young farmers, our cattlemen, in place a criterion of domicileness that just gives priority to the local population with one clear goal of staying and working in its municipalities and cities. The law then decentralized the entire process of land availability and was given to our cities, our municipalities to dispose of land in their cities and municipalities because, in fact, they know the terrain best, they know their needs, the needs of their farmers, they have the greatest interest in having land in their municipalities properly and in the interests and municipalities, but also all farmers from their territory. When we talk about a request submitted here by my colleague, I am aware of, of course, his concerns, but I also think that the process of making available to agricultural land according to a programme brought by the municipal or city council, with the consent of the county and the ministry, is a good example of a transparent process. Only interpretation is found in the law, the programme, or the proposal for a programme, brings together the municipalities for which the first county and then the state. According to this, the Ministry of Agriculture has so far received 413 programmes from local and regional self-government units, and has issued 223 consent to the availability of agricultural land. I would now point out the example in my county, or Osijek-Baranja County, as pointed out here that there were indeed certain problems, perhaps even short deadlines, a lot of documentation was required, but all the work was done, so of 42 units of municipalities and cities in our county, 39 did so within their own time. For these others, she's done the county the way the law says. And frankly, here's what I don't see is a reason for giving some extra interpretation, given that everything is clearly stated in the article. 29, except for a possible opportunity to discuss this law further and in this way we give the opportunity to talk, not just about this law, but about some, broader topics that are certainly not the place to communicate with them now. So I would just be referring to a moratorium mentioned here by a number of colleagues who said that the application was only approached when a number of signatures were collected here, it's simply not true. The ministry has been working for over two years to apply. In September, a proposal was sent to the Commission and this request will be sent with the time when it is necessary, which means by 1.7.2020. So it is a deadline and is not initiated by I don't know, opposition or there is a group of MPs already really long, here and years, working on it and will be sent in due time and I am convinced that it will be accepted and accepted. Thank you.
ParlaMint-HR_2019-10-31-0.u168152	Thank you. Dear colleague Gordan Maras. He's not present. Dear colleague Zeljko Lenart, please.
ParlaMint-HR_2019-10-31-0.u168153	Thank you, dear Vice President. Dear colleagues and colleagues. Here's a little bit more so it's going to be two years since we've been here so hard discussing the State Agricultural Land Act. I'm sure by the time it's two years, nothing's gonna happen. So two years won't be available for state agricultural land. Maybe those two years don't mean anything to ministry officials, MPs, every month they come regularly, but if they put themselves in the position of peasants, and I am a peasant because I have my own production, that's two cycles of production. In two cycles of production, you can either advance or fail. And here it is that agricultural producers who are waiting for what will happen to the land they are processing have invested large funds in their machinery, in the facilities, in cattle, knowledge, work of their family, credited themselves and are now where. Nowhere. They don't know what's going to happen to that land they're processing, whether they're going to get it or not, whether they're going to invest in production or not. They're nowhere, on earth or in the sky, and apparently nobody cares about it in this country. Agricultural land is a basic resource for agricultural production. Only woman and country are born in this world, and we treat agricultural land as motherland because of someone's interests. This is where we used to say the law was bad. The members of the HSS also submitted amendments and said that the law was bad together with their opposition colleagues, and you did not adopt any amendments. So HDZ is headed by the ruling majority, has not adopted any amendments. Interestingly, some colleagues who have supported the law are now being placed in the role of protectors of economies, say it is not good for economies. Here, we could hear it from this pay phone just now. So where were they when the law was passed and when it was said that the law was not good, that it was not enforceable? We had a law where units of local self-government had agricultural land and at that time it was divided into the use of the largest number, the largest amount of agricultural land. The interpretations you're asking for from the ministry, so no one alive from the ministry wants to write a written interpretation. They're just verbally speaking what should be done, but no one wants to speak in writing. Well, there's a mayor and mayor here, so they know very well how to interpret, i.e. Doesn't come because often times nobody even wants to pick up a phone call at the ministry to pick up. Unfortunately, the devastation of agricultural land happens every day. I referred the parliamentary question to the Ministry as much as in 2018 and how much agricultural land has been translated into non-agricultural, forest and construction over the past 15 years. You know what they said to me? This Regulation shall enter into force on the twentieth day following that of its publication in the Official Journal of the European Union. 2800 acres, that's almost 10% of what Agrokor did and what's the subject of the dispute with the fact that the Fortens had to be given, and in the past 15 years, they told me they didn't have that data, that they didn't have that data. So I'm asking you, what kind of ministry doesn't have or doesn't want to give an SS representative information on how much land has been turned into unagricultural. Or it doesn't have that kind of information. Someone said, and then such a ministry needs to be transformed. And that's one of the evidence that the ministry is working badly. Whether those responsible in this ministry can't make a good and simple law that's enforceable or maybe they don't want to. Perhaps the stronger interests of those who financed the HDZ campaign are, and they should now, under this law, get this agricultural land that is now taking so long to diverge with its sharing through, through competitions. It's a public secret spoken in the field, among our farmers. This is now the last train for the distribution of state agricultural land and it is clear that many powerful and interested groups want to seize as much agricultural land as possible, which is largely arranged and trained and qualified for agricultural production. Some will be covered by cattle, some will be covered by other things, perhaps waiting for some to prepare during these two years so that they can become the most favourable bidders. But if it's a clean job this law is, it's clear to everyone that it's not. Our agriculture has failed in all segments. We stagnate in all productions. Milking, porking, vegetables, fruit growing, we sink everywhere, my people, and we behave like this, that is. Ministry of Agriculture with major resources, agricultural land. So isn't it important for this country that family agriculture of the economy, Croatian families, citizens of the Republic of Croatia who are involved in production, who want to create and produce, create a new value. Obviously, it doesn't matter because every day we produce, we get the feeling that we're superfluous and that we need to be rid of us. And this law is proof of that. So how do you think the people who invested millions of kunas are terrified, and tomorrow they can run out of land because of the 5 years they've had at their disposal, and now they're waiting one year at a time for the grace that's about to happen? What's gonna happen to people like that? Well, some have already given up, some have gone to Germany, Ireland, all over Europe. They are fed up with this kind of disorder in Croatian legislation where no one has any security, however, the uncertainty is growing and no one can protect you if you have experienced injustice. And there's going to be a lot of injustice here. And then this important thing for the Croatian state, remember, the Croatian state and agriculture should be more important than tourism because it is stable. Tourism is very fragile and can be collapsed as a map tower, and agriculture, if built, is a stable, primary branch of production in Croatia. And no one's taking care of it. I don't know why you just don't want to listen to the MPs, so whether they belong to the ruling majority here, whether they belong to the opposition, when they're talking about something which is the main Croatian interest, which is agricultural production. So all the strongest economies in Europe have strong agriculture. Unfortunately, I must say, our peasants have become cowards too. Look at what's going on in Holland. Just because the government, in some ways, insulted them and mistreated them, see what the villagers did in the Netherlands. Unfortunately, our peasants keep quiet, don't fight for their rights, and when all this is done, they'll get hit in the head. 'Cause unfortunately, in this country, it's law for a big fish to eat small fish. This is the main law of this country, and unfortunately, these farmers will soon understand that it is true. So, people, let's change that law, make it simple and share it with those people who really want to work, those people who live in that rural space. Take a ride to the villages, Slavonia, Banovina, wherever you go, the houses are closed, the houses are coming down on their own, people are gone. There are still some people who are trying to produce and work, but each day new obstacles are being put on them. In order for them to give up that production. So do you think some multinational companies that will take over Croatian agricultural land will feed us? So look what we have in stores where Croatian goods cannot come. Why can't he come? Because we have to be dependent on what we eat, so we can't be ourselves on our own or free if we eat other people's food, if we're fed by strangers in forests and waters, and most of the telecommunications industry, the energy they've mastered. So I ask you, what will remain of the Croatian state? And we rented the assembly. This flag and anthem will remain. Thank you.
ParlaMint-HR_2019-10-31-0.u168154	Thank you. We have replicas, dear colleague Tomislav Žagar, come in.
ParlaMint-HR_2019-10-31-0.u168155	Thank you, Vice President. Dear colleague Lenart, I was moved by this replica of yours in one piece. Namely, economists say, GDP growth affects the growth in the incomes of the richest. And when GDP falls, it feels the poorest. That's some legality for you. 7.5% or 8%, the impact of agriculture and food production on GDP growth in the Republic of Croatia is actually a key tool to, not only want this, but to keep this GDP growth healthy. In order for it to be on a healthy basis and for people, about 10% of them in this food industry and agriculture, to be able to achieve a much greater momentum and then to develop total agriculture, actually a total economy in the Republic of Croatia. These are the problems we have to face or on the other hand, tell people, clearly, a small number of people can live off agriculture and they will eventually take over this country and process it themselves. Thank you.
ParlaMint-HR_2019-10-31-0.u168156	Thank you. Answer, Comrade Lenart, come in.
ParlaMint-HR_2019-10-31-0.u168157	Well, well-respected fellow. Austria is a country that could be a model for us as small as they can live, contribute to the development of the state through agricultural production. The Styrian Chamber of Agriculture has calculated that each job in agriculture opens two jobs in the economy. Doesn't that matter to this country? Obviously not. HAMAG-BICRO, I hear commercials spinning around, costing a lot of money, how much money was invested and that 16,000 jobs were opened. Do you know how much each job turns out to be? About 700 thousand kunas somewhere. Each workplace costs 700 thousand kuna. And here every farmer opens two jobs, which doesn't cost, minors nothing. Thank you.
ParlaMint-HR_2019-10-31-0.u168158	Thank you. Next replica, dear colleague Davor Lonchar. Here you go.
ParlaMint-HR_2019-10-31-0.u168159	Thank you, Vice President. Comrade Lenart, in your debate, you pointed out that those who have so far signed agreements on the use of agricultural land will have problems with further activities or investments in agriculture. As far as municipalities and cities are concerned, I can honestly tell you that in the plan on the availability of agricultural land, regardless of the tender to be opened, there is no one afraid to report the same and that contracts previously signed will be accepted by municipalities and cities because it would be foolish for all those who have invested their assets to be actually the foundation of the new tender to be deleted from that record or from the future use of that land. I'm responsible for telling you that, here, specifically in our Straight Wheels, people who do this, no one's going to make such a crazy idea break these contracts.
ParlaMint-HR_2019-10-31-0.u168160	Thank you. Answer me, colleague Lenart.
ParlaMint-HR_2019-10-31-0.u168161	Dear colleague. The truth is, it's crazy. But unfortunately, that's how it's gonna happen. People have been starving for two years. I've been through many colleagues already through many competitions, I don't do state agricultural land, but I've tried to help whenever it was possible for people who went through these competitions. There's always been irregularities, there's always someone playing someone, they're always smaller than the bigger ones. The same thing will happen now. I'm sorry it's gonna happen, but that's how we're all gonna lose. No opposition, we'll all lose in this country. Thank you.
ParlaMint-HR_2019-10-31-0.u168162	Thank you. We're moving on to the next debate, dear colleague Mladen Mader, here you are.
ParlaMint-HR_2019-10-31-0.u168163	Thank you, dear Vice President. Your Honor, Secretary of State. It is clear that agricultural land is necessary for the development of each OPG. First of all, state agricultural land is of great importance. We know that any law that has been passed for both past governments and these governments is not, I can say that it is not the best, that it can always be about primarily agricultural land. Since I was the head of the municipality for 16 years and I was myself in the development of the 1st programme of agricultural land when it was in charge of the unit of local self-government, and then the change came to the management of the agencies and I think it was not good when the law was passed to the agencies and that now the new law was transferred to the units of local self-government, I think it is good but at the same time in my county, meaning of 22 municipalities and 3 cities, unfortunately, as far as I know, one city and one municipality have brought a programme of agricultural land. So the law that came into force I mean, in the second or third months of last year, every unit of local self-government had to pass the law by the 6th, to the 6th month. Problems and I appeal that the Government of the Republic of Croatia, or the Ministry, must force the commissioners to develop programmes for agricultural land. I think the colleague of the Hrg and said that in the previous law there was that, that unit of local self-government that didn't create the program that the unit of local self-government was disbanded, is that it should take action either if the state does or if it does County to lose that revenue that goes to the local self-government unit from selling or renting. But at the same time, I have to stress that we need to get on board and at the time of the opening of the tender, have the advantage of this law cattlemen, clearly that it is normal for us to have cattle farming on really low branches, but at the same time, whoever follows can specifically say again that in my county the land of cattleherders, while at the same time this corn products or combines for bio-mass, who follows it? For example. Whatever it is, Mrs. Ministry, the State's Attorney's Office, that he's not using the manufactured goods for food, but he's using it for biomass, and I think it's the same big problem, and in the contest they have the advantage and it's okay to have the advantage, we need to develop the livestock that's on our minimum branches. I think it must primarily be the state's attorney's office more involved in that part. I believe that the state's attorney's office is also not doing a certain job as well as expropriating property, who doesn't pay the land, means who doesn't pay the land, is on the move, the municipality is now running a request, the state's attorney's office is breaking up contracts, the state's attorney's office should own a certain tenant who doesn't pay the land, but unfortunately here's a specific case I have to say the same thing, the state's attorney's office didn't do and there's an interspace to use it, what Texas's to say before the land's benefit, it's not good, and I think more the local self-government unit and the state's attorney's office would have to cooperate more to avoid these violent incursion of land. There's one more thing you'd like to refer to the secretary of state, it's a rule passed by former Minister Tolusic, which is about revorising land price rentals. How much do I have to stress again that I know that, the district has been sent by the Ministry to all the commissioners, mayors and mayors around the regulations, about the revaluation, the cost of renting agricultural land. But unfortunately, the chiefs don't act on that part of the city, the municipality loses some income, and how much I have knowledge that it threatens to hire individual family farms, or those who are on the lease, to seek out lawyers' houses, lawsuits against local self-government units. So I appeal again to the ministry that they may re-send the districts to local self-government units that they have to comply with the rule that has been passed because it will happen again and again, the media wrote, complaints from local self-government units, the chiefs and the ministry, lawyers, I think it should be done if the simple thing is that the commissioners do not want to comply with the regulation that has been adopted on the revaluation of the country's price is clearly losing a certain portion of the income of those 60% that goes to the budget of the local self-government units, depending on the lease or concession. So here's why I'm appealing to the Ministry for a little more thought about not getting another lawsuit. Thank you.
ParlaMint-HR_2019-10-31-0.u168164	Thank you. Replica, dear colleague Tomislav Žagar, come in.
ParlaMint-HR_2019-10-31-0.u168165	Thank you, Vice President. Dear fellow Mader, you've opened a very important topic, but now I don't think it's clear, I think that a double, double amount of this initial price is being mentioned, meaning the maximum price minus 10 or 5% now I don't know, as it's possible that some will be lost, it seems to me that many prices will increase, if there's a drop, up to, up to this drop in the lease, then it seems to me that they're a little bit more speculative because these people are getting on the basis of a bigger, bigger price, bigger price, now someone who's competing could complain that they're actually going to lower the price for these, for that amount I don't know about, but here, if you can just say it because there are really cases where the price is going to be significantly reduced, that, it's not quite clear to me.
ParlaMint-HR_2019-10-31-0.u168166	Thank you. My colleague Mader's answer, please.
ParlaMint-HR_2019-10-31-0.u168167	Thank you, Vice President. A colleague, Žagar, that some, some OPGs will shrink, reduce the price, and some OPGs will increase the price at the same time, it's whether it's a concession or it's a little bit of a lease, but at the same time a little interpretation of the regulation, I have to tell myself vaguely, it's not clear to me that the units of local self-government when they come to the calculation, it's not going to be a huge reduction in the income of local self-government units, but I'm saying that some of them are paying me 1,600,00 kn per hectare, some paying 400,00 kn per hectare, it's a huge difference of 1,600.00 and 400,00, and I think this revaluation is going to make those who paid lower to increase, those who paid more to reduce, that it's going to be somewhere equal.
ParlaMint-HR_2019-10-31-0.u168168	Thank you. Final word on behalf of the Club of Representatives of the Independent List of Young Respected Fellows Tomislav Panenić. Here you go.
ParlaMint-HR_2019-10-31-0.u168169	Thank you very much. Here, while we were discussing this, something exactly happened that we were talking about. The Ministry of Agriculture has announced that a public call for land is being called for, which is not on a forest-economic basis, i.e. what we're talking about right now. But when we look at it, it means the criteria by which they differ from the criteria that are according to the agricultural land law. They're not identical, and now we're actually going to have a situation where the land that was used for some part of it was also used for wartime production, because the Law on Forest Land actually defines it differently, it can't be used for that purpose, so we're going to have to turn some of this into pastures because it's allowed with other activities, but war activities aren't allowed, and then we come to the problem that someone is expecting this land, regardless of what they get exclusively for the pasture so they can process it and people get in violation. So they're in violation, and it's happening, or, for example, it's happening. Here, now in these conditions, so you have to have at least, if you don't have 3.3 hectares per conditional throat, therefore, you should now define that because everyone has a different criterion and the first criterion is that you have a local self-government residence. In this Law on Agricultural Land, different criteria have been set and it will be very demanding to explain in the field who is when it is called and should now be implemented, not only should it be called out, to implement a broader education and to meet people, local self-government, in whose area it is, that they have all full information that they can access it, but what should be explained, why some land that has so far been farmed as war land could no longer be used for that purpose, and it is not in the forest-economic background, which is de facto when someone looks, I have now received a public invitation to the Oranica, and now after that I can use it exclusively for parsing. Let us take into account that this will arise and also at one point when Croatian waters are called, we will have such a problem and that is something that, we see how much changes are happening just and there we are discussing the land of one request regarding an article when this topic is opened, it is very broadly going, and even when we are not going to politicise but just to warn about some real problem, we could talk here all day about the need to amend the Law on Agricultural Land and bring it into line with other laws that regulate general use. Because what I would point out one more time. All this may be from the level of administration that the ministry is, let's go to this process that's going on, there's a while. Agricultural producers they have this nervousness because that time passes them, they are not sure that they will achieve certain land, even what they had until then in the lease and possibly happen that actually happens, to fit with the intensity of investments. They're not going to invest in something that creates uncertainty. It is precisely the speed of decision-making, implementation of the programme and that there will be no legal misunderstandings is something that creates security and ensures the intensity of investments. Investment, even withdrawing from rural development measures when you know you have a particular country, a particular fund, you invest in it, you invest in the long term, this way we're all over them, and they're waiting to see how this works out. And in the meantime, the aspect that the EU Commission has also warned about is exploitation, meaning the total land fund used for agricultural purposes is extremely small and that the RS does not withdraw significant funds on this basis because we simply did not put it into office. It's often a question of who's responsible for it. We have land, I remember when then Minister Jakovina assigned certain cattlemen land, so that land needed significant investments. The cost of these investments, who should. In my opinion, the state should be for which a certain land, invested in it, is owned, detained for its purpose and then leased at an appropriate price. Because this is how we're going to have an uninteresting interest in significant amounts of land again. Thank you very much.
ParlaMint-HR_2019-10-31-0.u168170	Thank you. On behalf of the Representatives' Club of the Independent Lists Most esteemed colleague Miro Bulj, final word, please.
