ParlaMint-HR_2019-01-23-0.u123900	Now it is the independent representative of Hrvoje Zekanovic's turn, please.
ParlaMint-HR_2019-01-23-0.u123974	Thank you.
ParlaMint-HR_2019-01-23-0.u123975	We will now briefly interrupt the debate on this bill, on the report, on the apology, and will move on to a statement on behalf of the Clubs of Representatives and Independent Representatives. First, it is Mr Tulio Demetlika's turn to present the position of the IDS, PGS and RI Club. It's a good thing you found the papers, now you can access the speech itself, please.
ParlaMint-HR_2019-01-23-0.u123976	Thank you, Mr. Vice President. But it's always good to have a reminder that we know what we're saying. My colleagues and colleagues, I report on behalf of the IDS, PGS and RI Club, in order to, I don't know for what time, to warn about the incompetence of the law that we are passing in this HS and I want to draw attention again to the fact that it is only important for this government to establish laws and that it is not at all considering the effectiveness of the law. It is important that they are praised that they have passed new laws, that they have brought them into line with EU laws, however, on the effectiveness of these laws in practice we do not set out how to evaluate it? Moreover, there is often no analysis of the results of the laws passed because we do not have the opportunity to see whether the adoption of a law has been successful or not. And as the freshest example, I refer to the following situation. On the website of the National Journals 18.2.2019, the Law on easing and removing the consequences of natural disasters was published. Subject law came into force in 16.2.2019, and in transitional and final provisions, the law prescribed that action plans for 2019 were to be adopted by the representative body of local and regional units (regional) of self-government and the City of Zagreb City Assembly by the end of February 2019. To just mention that the legislation for an action plan must contain a list of measures and carriers in the event of a natural disaster, an assessment of the insurance of equipment and other means of protection and prevention of property loss, economic function and population loss, under three other measures involving cooperation with the competent authorities of this law and/or other bodies, scientific institutions and experts in the area of natural disasters. In other words, to make it more clear to all than the publication of the law on the websites, until the expiry of the deadline for the adoption of an action plan by the representative body, only 10 days remained for the preparation of the action plan in question, the preparation of materials for the city council, the calling and holding of a session of the city council, the debate at the session and the adoption by the city council. There is no point in even talking about conducting a consultation on the draft action plan with the interested public. I'm going to ask you a few questions now? Does the ministry's bureaucracy take care of the deadlines and possibilities of implementing the passed laws, does anyone in this country think about bringing local self-government units into a situation where they are physically impossible to enforce laws and what message does this government send by setting such a short period of time? I think it sends a message that we have laws that satisfy their form, and there are no reforms, and in the field, we still have problems left. Thank you.
ParlaMint-HR_2019-01-23-0.u123977	Good morning, esteemed colleagues and colleagues. It's Wednesday, the first day of the plenary session, so we know we're gonna have a club debate first. And the first is the club of representatives of IDS, PGS and RI, a respected colleague of Giovanni Sponza.
ParlaMint-HR_2019-01-23-0.u123978	Dear President of the Parliament, dear colleagues and colleagues, I will speak the name of the Club on whether it is possible to build long-term competitive tourism in a non-competitive state. This issue will be supported by key problems that produce negative effects, which make Croatian tourism uncompetitive. We don't have a clear, long-term tax framework. The VAT in tourism has changed 4 times since 2011. The frequent change in VAT has created a feeling of mistrust with the state among all those involved in tourism. Croatia has the highest VAT rate within the Mediterranean competitive circle. Thus, the high tax press limits both investment and salary increases. We don't have an enforceable law on tourist land. The law has not resolved the fundamental question, the status of the holder of ownership. The unclear situation around tourist land is a major obstacle to investment dynamics, some facilities need several years to round up particles to obtain construction and, due to a vague situation, a very small number of companies have signed a concession contract. The structure of the accommodation facilities is uncompetitive. Today, only 16 to 17% of the capacity in hotels and settlements is lower than in 1990 when it was 23%. We are significantly lagging behind key competitors such as Italy, Greece, Spain, in which the stake is 2.5 to 4 times larger. On the other hand, on the coast, we allow for the impact on valuable resources, allowing for illegal construction on valuable agricultural land. And a very important lack of labour. The key to success in tourism is man. Today, on the one hand, we have a growing need for labour, and on the other hand, the departure of young people abroad, the fall of birth and the ageing of the population. Dear colleagues and colleagues, Croatia has an immaterial element of a competitive advantage that is highly appreciated today and that is security and that is important. But we need to realise that tourism accounts for about 20% of the shares in Croatia's GDP, which is the largest share in the EU. The government does nothing, the government has to move, the government has to turn the problem into a challenge and provide Croatia with necessary and necessary tourism but not tomorrow. And this long-term predictable, stable and competitive tax framework will stimulate a sustainable model with objectives. In the first order of detention as well as the arrival of prominent and long-term investors. Maintaining and attracting labour by increasing wages, investing in new products, investing in high value added products, investing in small family hotels. Solve the issue of tourist land by encouraging investment, creating new added value, retaining and opening jobs, creating new incomes, solving pointless debt and expensive court disputes. And to conclude, the government has to keep the hands that feed the state budget because otherwise, I thus paint every stronger flu will be a blow to both tourism and the Croatian economy as a whole. Thank you.
ParlaMint-HR_2019-01-23-0.u123979	We're going to another debate, IDS, PGS, and RI's esteemed colleague, Tulio Demetlika. Here you go.
ParlaMint-HR_2019-01-23-0.u123980	Dear President of the Parliament, dear colleagues and colleagues. On behalf of Cuba IDS, PGS and RI, I will talk about the development of the situation around the group's Oil Group ahead of the next government session to decide on the fate of our largest shipbuilding company and thus the entire shipbuilding industry in Croatia. There is no doubt that the only correct political decision is to go into restructuring the group's Oil Group with a new strategic partner. The oil needs to be given a chance just as the rest of Croatia's shipyards did. To all those who see the alternative in bankruptcy that they might want to show the alleged concern for public finances, I say that this option would cost almost the same as restructuring, as opposed to jeopardising the existence of several thousand households and be sure to gradually shut down the entire shipbuilding industry in Croatia. It is clear to all that the future of the Oilies is in the hands of the government, and the undecided government is constantly delaying the decision-making process. It is incomprehensible that the government has been stalling for more than half a year with possible solutions, and the saddest thing is for 1,000 workers who are increasingly struggling to survive without pay from day to day. I don't know what time I'm reminding you that the government is the largest individual owner of a company she hasn't controlled and has issued guarantees without ever asking for business books for insight. Not only were they not overseeing management all those years, but when we warned that something was happening and that there were obviously serious problems in Ulnik no one had responded for months. The oil is a typical example of how the government refers to its assets, to a company where through its ownership structure it has all the levers of governance and influence, if it is difficult for the Government to make that decision, I call on the chairman to put the issue in the agenda. Should Croatia kill shipbuilding? I'm sure there's a consensus because I don't want to believe there are any MPs among us who would be willing to shut down one entire industrial branch for any reason. After all, if there was a debate in the assembly about the future of private companies, I don't see why we shouldn't discuss an enterprise whose country is the largest individual co-owner. Finally, I will refer to the statement by the vice president of the assembly and the deputy president of the HDZ, Mr. Millian Brkic. I remind Mr. Brkic that Istria has the lowest unemployment rate, the largest number of investment investments and that we are the only region where the population's migration rate is higher than the emigration rate and one of the three counties that fill the state budget. While the pattern of HDZ rule has contributed to the fact that the counties in which the HDZ government is most underdeveloped with the highest unemployment rate and with a large exodus of the population. So I suggest you copy the IDS model management because the Istrian GDP that is in the Czech and Slovak ranks is the IDS management model. While Croatia's GDP, which is among the lowest in the EU, is a form of HDZ rule. Thank you.
ParlaMint-HR_2019-01-23-0.u123981	The first club to ask for a position is the IDS, PGS and RI Club, on their behalf will be represented by a representative of Giovanni Sponza.
ParlaMint-HR_2019-01-23-0.u123982	Dear Vice President, dear colleagues and colleagues. A consultation on the Proposal for a Water Services Act has been completed. In response to the comments given in the framework of the consultation, the applicant exclusively limited himself to a formalist approach without serious analysis of the impact of the law. Given that this bill allows for the unification of public water services companies, we need to know now whether privatisation is planned in the next step. I remind you that the water is generally good and that we are all bound by the Constitution to protect the common good. I also remind you that water supply infrastructure is being built and maintained through the resources of citizens. I recall that the HDZ government tried to privatise the water in its 2007-2011 term but gave up. Only after a strong reaction and opposition from the Croatian Bishop's Conference. Therefore, it would be no surprise for us to try this again because it is not said in vain that "the sound of the hair changes but never." colleagues and colleagues, we have learned that the HDZ Government is almost on all important topics, on all important legislative proposals, primarily on technical issues and on content and Crucial issues by sublegal acts that are exclusively and solely in the government's authority. When the HDZ Government does not consult the profession on important issues and laws, when it comes to a hasty emergency procedure, the issue that imposes itself is whether something is right behind the hills, so I ask very clear and unequivocal questions to the government. Is the Government planning to privatise water resources and what is the government's position on privatising water supply and thus water services in the future?
ParlaMint-HR_2019-01-23-0.u123983	Thank you.
ParlaMint-HR_2019-01-23-0.u123984	Now since it's one hour, as usual we're going to take a stand on behalf of the club, we have two clubs have applied and the first one is the IDS-PGS-RI on behalf of which will be spoken by respected representative Emil Daus, please.
ParlaMint-HR_2019-01-23-0.u123985	Dear Vice President, dear colleagues and colleagues, everyone in the Republic is talking about young people, how we need educated people, and that we should keep young people in our country. On the other hand, all studies, surveys, analyses suggest that young people do not trust the system of institutions. And now there's one amazing thing going on, after more than 50 years. Young Istrian students from the Mate Balota Club in Zagreb want to be expelled from space, so the question of why and why is it now more than 50 years old?? In those long 50 years. The existence of a club has no students from Istria, but neither does the rest of the Republic of Croatia who doesn't know about the Istrian club. It is a cult place, in addition to that, the fact that the word "Istrian" itself is associated with the Club of Students from Istria. This club has been acting as a non-profit association since 1966. at always the same address Zagreb, Ilica 13. All these years, the club had a contract with the City of Zagreb on the lease of space at the address, and all its contractual obligations according to the tenant were executed neatly. The contract was last concluded in April 2017. within 5 years of the date of entry into force of this Agreement. By 2022, respectively, but in January this year, the club was informed by the city that the Treaty on the Use of Space had been broken by law after the state had signed up as the owner of the business space in question. The club acted in accordance with the direction of the City of Zagreb, followed by a meeting of representatives of the ministry with representatives of the club where they were told that the club must be moved from the premises in which it operates. I'll do it again, why now, after more than 50 years.? I remind you, the Club of Students of Istria Mate Balota since 1966. He uses the space in Zagreb in the address Ilica 13, and this seat represents a long tradition in the work of the club i.e. a kind of cult place that today connects its present and former members. I remind you, and that the club properly fulfils its obligations, that the Istrian County is interested in further work and that it encourages the activities of the club in order to preserve Istrian customs, culture, language, as well as promotions of the Istrian County as a whole, that the eviction of clubs from these areas raises questions about the further functioning of the club, as well as the question of the activities of 224 members of the club. We don't think there are any formal obstacles to the club continuing to use the premises at this address. In addition, according to the Law on State Property Management, there are no legal obstacles to the club's still keeping space under the same conditions. By ruling so far, they have made too many mistakes that have caused young people to lose confidence in institutions, so don't send false processions again, but support them in their work, Istrian must remain in their former space. Thank you.
ParlaMint-HR_2019-01-23-0.u123986	We're going to three club representatives, it's IDS, PGS and RI and a respected colleague, Giovanni Sponza, here you go.
ParlaMint-HR_2019-01-23-0.u123987	Dear President of the Parliament, colleagues and colleagues respected by the public, have you had a chance from the government of the Republic of Croatia in the last year and a half to hear that the state was obliged to lift up the business of the Uljanics? You're not. In the year and a half since the Government of the Republic of Croatia, did you have the opportunity to hear, if the Oilman fails, that the shipbuilding in Croatia is dead? You're not. In the last year and a half, since the government of the Republic of Croatia, have you had the opportunity to hear if shipbuilding fails, that we have a huge, severe negative impact, because shipbuilding binds to itself, thousands of workers and tens of thousands of members of their families. In the last year and a half, have you had a chance to hear from the government of the Republic of Croatia, that they will do anything to save the shipbuilding? You're not. In the last year and a half of the government of the Republic, have you had the chance to hear that the oil will be applied to the Agrokor model? You're not. What were we able to witness in these last year and a half? The period of destruction, the period of manipulation, where all the problems and all the risks are put on the burden of the Oilies and break over the back of the oil workers. If we look at the figures of anyone who was well-intentioned, they will realize that the Uljanik has received far the least from the state compared to all the shipyards, and produced, exported far the most. The oil is the only shipyard that hasn't been restructured. In the past 20 years in Croatia, ships worth more than 86 billion kuna have been built and exported, of which I Uljanik participated far the most, with more than 50 billion kunas, I am oil with more than 60%. So, I'm going to testify again to pure manipulation, where all the problems and risks want to be put on and put on the burden of the Oilies. To make matters even worse, we listen to various populist unfounded and above all shortsighted statements, Mr Maras, such as the fact that instead of saving the Uljaniks could be given 15 thousand euros for every newborn child and no one in this country is asking whether one day when these children grow up and finish colleges after investing in their education, many, but much more than 15 thousand euros, these children will potentially leave Croatia. Given the potential of professions and technical colleges, technical professions would thus be financed by respected colleagues and colleagues, alleged by rich Croatia, under the allegations of a poor Western country. Croatia in the long term, Croatia cannot feed only tourism, Croatia long-term needs both industry and agriculture and tourism. Shipbuilding is the only large industry in Croatia, shipbuilding connects to itself a large number of workers and tens of thousands of members of their families, Uljannik as my colleague said earlier, has a future, provided that the state introduces order, provided that the state establishs supervision with a capable administration. Given that the finance minister advocates bankruptcy, and I expect the economy minister to restructure a state-based decision based on vision, strategic thinking and accountability. I expect a positive decision for both Uljannik and Third May and Croatia's shipbuilding. And finally, I also want to make it clear, given yesterday's events that IDS first, a year and a half ago called on state institutions to investigate each segment of the business of Uljanika.
ParlaMint-HR_2019-01-23-0.u123988	The next Club of Representatives is that IDS-PGS-RIA on behalf of which will speak the respected representative Tulio Demetlika, please.
ParlaMint-HR_2019-01-23-0.u123989	Thank you, dear Vice President HS. My colleagues and colleagues, I don't know what time we expected today to make a decision of the government on the future of shipbuilding in the Republic of Croatia. But the prime minister has re-longed the decision, but it was read out of his words that he does not support restructuring but is opening the door to bankruptcy. How important shipbuilding is to this government, how many workers who are without pay for 7 months are important to this government as much as this government wants to end the agony and uncertainty of these workers and their families, to conclude from the opening presentation of the prime minister in today's session, which is currently the most important topic in Croatia not in the second, but in the fifth plan. And for him are the priorities of Brexit, NATO, the European Council and all other European and world problems. Today, the prime minister praised the numerous investments financed by the European Funds, as well as from the Croatian budget, trying to turn away from the priority topics. But the question arises why he did not boast how unsuccessful they are in the recovery of shipbuilding in Croatia, and today we have seen what we have been looking at for months, which is that the government is shamelessly buying time and making crazy excuses delaying this extremely important decision. All this clearly shows that the government is not up to the tasks and challenges facing Croatian shipbuilding. Give us an answer as to why Agrokor's solution was found overnight in order to preserve the economy, and with Uljanika and 3. May's taking so long. Can I give you an answer? Maybe it's because they're Oil and Three. May in counties where HDZ is not in power. It's not Oil and 3. May for bankruptcy, this government is already ready for bankruptcy. Thank you.
ParlaMint-HR_2019-01-23-0.u123990	Good morning, esteemed colleagues and colleagues. As always on Wednesdays, the first day of the plenary session in the week, first there goes the debate by clubs, free speech, and the first day the club of representatives of IDS, PGS and RI, a respected colleague of Tulio Demetlika, please.
ParlaMint-HR_2019-01-23-0.u123991	Dear President of the Parliament, colleagues and colleagues. The theme of my presentation today is the government's relationship to Istria. And more than obvious, this government has two models of action, one for those areas where HDZ is in power and the other, for those areas where HDZ is not in power. The oil is located in this other area and it is obvious that this is why it can be counted on to support the country. It is frightening and it is amazing that an entire region is being punished for the political interests of HDZ, for achieving its interests, the HDZ uses Oil as a tool to attack Istria. It is also frightening to hear from ministers the same story over and over again, about how much the Uljannik would cost taxpayers, i.e., constantly explain only the cost side, while talking about the income side, i.e. how many citizens of Istria among them and the workers of the Uljanika, out of their pockets full of state budgets, thus contributing to the overall Croatian development in the last 29 years, not a single word. That is why I refer a few simple questions to Prime Minister Plenkovic, first of all, we know that only 4 counties participate with a net amount in filling the state budget, so I ask if Istria is one of these counties and what amount does the state budget fill at all levels? Secondly, which county, after the City of Zagreb, has the highest GDP, per capita? Third, which county has the lowest unemployment rate? Fourth, which county has a higher move-in rate than the population eviction? And if the question were, in which counties would be the highest rate of population eviction, the lowest GDP, the smallest investment, the highest unemployment rate, the answer would be those in which HDZ is in power. For a full 17 months, the government has been dragging oil workers and the entire public, week after week, the government announces and then prolongs important decisions to save thousands of jobs. A peak of the government's hypocrites happened last week when the government's session was almost half an hour behind schedule to hear the decision of the Trade Court in Rijeka to launch bankruptcy. What kind of government hides behind court decisions when making its decisions. What kind of government, whose ministers have contributed to Croatian industrial production and exports for years, have been telling them that they will send mobile teams, which will help them enroll in the Employment Service? I'll give you the answer. It is a government that has decided to knowingly and deliberately destroy shipbuilding, one of the last industrial branches in Croatia. Is it not devastating that capable workers who are willing to work and who are even seven months old? work without pay and hope for a solution to their future, be sentenced to social assistance. And therefore, instead of you in HDZ saying that Croatia is a social state, which will provide social assistance to oil workers and that it will guide them to the Employment Service by hand, let us help them keep their jobs.
ParlaMint-HR_2019-01-23-0.u123992	We will now continue the individual debate in accordance with Article. 249th, give an opportunity to make a stand on behalf of the Club of Representatives and Independent Representatives. The first one is on behalf of the IDS, PGS and RI, a colleague of Giovanni Sponza. Here you go, buddy.
ParlaMint-HR_2019-01-23-0.u123993	Dear Vice President, colleagues and colleagues. I base my presentation on yesterday's statements by the president of the HDZ Club, and on government concerns about important projects for the citizens of Istria, where I will address 4 key problems. Well, I'm on my way. What did the government do for the Oilman? An untimely payment of salaries caused a strike, resulting in cancellation of orders, cancellation of orders caused financial damage, lost ship's trust. The government has caused bail due to inaction. The government, as a representative of the state, refused to take responsibility and proposed its representatives to the supervisory board. The result of the work is that workers have not received their salary for more than 7 months, that they have done everything for Agrokor, but indeed everything, although it is a private company. And for Uljanik, in which the state is the largest individual owner, does not make decisions, does not offer solutions, does not carry a concrete plan and measures, hides behind the decision of the Trade Court, hides behind former administrations, hides behind former governments. The government thus shows that it makes a huge difference in the approach between Agrokor and Uljanik. Please explain to the oil workers, please explain to the citizens of Istria what the reason is. What did the government do for a pulse hospital? First, the government stalled for two years with a guarantee for HBOR's loan. Secondly, after two years of stalling, now, the Ministry of Health and the Government refuse to sign another Annex of the Co-financing Agreement makes it a threat to the completion of construction. Please explain to the citizens of Istria why the government refuses to sign another Annex of the Co-financing Agreement, which threatens to complete the construction of a hospital in Pula. What did the government do for Kastyun? We in Istria regarding the waste management project, we respected the law, the strategy, the technology prescribed by the state. We respected all the conditions. We respected the deadlines, we did everything we could to make sure the state didn't pay for the penalty. And by failing to fulfil its commitments, the state has not rounded up the whole process. Please explain to the people of Istria what the reason is. What the government took on about the recovery of an elementary disaster in the Rasko Gulf that took place in June of last year. Almost nothing, the county is the one who has done the job instead of the state has reacted spotlessly, organised cleaning, resolved the damage, and the government does not pay its obligations to the county and thus further prevents the realization of other important projects for the citizens of Istria, and when it comes to the recovery of damage in other counties, especially in those where HDZ is in power then the Government reacts promptically. Here's a question for the citizens of Istria to answer. When HDZ holds hands in the pockets of the citizens of Istria, then Istria is nice and dear to them, when these same citizens need to be returned to a small part of their money then HDZ continues to hold hands in the pockets of the citizens of Istria, but then with the fig. So take responsibility, fulfill your commitments and thus show that you still respect the citizens of Istria.
ParlaMint-HR_2019-01-23-0.u123994	We have a position on behalf of the IDS, PGS and LRI, dear colleague Tulio Demetlika, please.
ParlaMint-HR_2019-01-23-0.u123995	I thank the esteemed vice president of the assembly, colleagues and colleagues, for I don't know which time we from the IDS are warning from this pay phone about the big problem of wild construction and ineffectiveness of the construction inspection to prevent such construction. Irregular border in Istria, but not just in Istria, it's booming. It's built on agricultural land, it's built beyond the boundaries of building land, it's built on high value land. Such construction unfortunately devastates space every day and endangers the natural, construction and cultural heritage of local communities. The problem is also a construction inspection that has not proved effective in preventing illegal construction. It is essential to find a concrete and long-term solution. Therefore, we in the IDS consider it necessary to organize city building inspection services. Of course, with the delegation of powers, they need to be provided with financial resources in proportion to the amounts in which the state has so far financed the work of the construction inspection in the area of a particular county. We are sure that in such a way, a much better quality and better control of the right situation on the ground would be prevented from spreading illegal construction. For this very reason, at the level of the Istrian County in coordination with the mayors, a request was sent to the Ministry of Construction and Spatial Planning to prepare and send to the parliamentary procedure appropriate amendments and additions to the Construction Inspectorate Act, which would allow the establishment of city construction inspection services. We should remember in 2008 when the Construction Act defined that cities and counties could issue building permits. Before such a provision in Isa was unsettled on 1,000 items, and after the procedure was left to cities and county all cases were resolved very quickly. That is exactly what we need to be an example of good practice. Today, the situation in Istria is excellent, the subject is dealt with in time. It is simply necessary to accept the fact that cities and counties are faster than the ministry and that is why we in the IDS see no reason why we do not use it on construction inspections. Those closest in the field are best and fastest able to detect the problem and solve it and should be given the authority to do so. We in IDS strongly advocate decentralisation because it is one of the fundamental conditions for the development of the country's economy. The introduction of a State Inspectorate that unites 17 inspections is another example of the centralisation of the system, not of decentralisation as this government often likes to boast. It is obvious that this country either still has no trust in local and regional self-government or considers it incompetent or wants to establish a system of full centralised control, thus opening up the possibility of additional repression and punishment, under the so-called signs of inadequateness, which would not surprise us from this HDZ government. Thank you.
ParlaMint-HR_2019-01-23-0.u123996	I thank my esteemed colleague Demetlika.
ParlaMint-HR_2019-01-23-0.u123997	Before continuing on behalf of the representatives' clubs, it is time to present the position of the club of representatives, the first application is on behalf of the IDS-PGS-RIA Club, a colleague of Giovanni Sponza, a fellow member of the Board of Representatives.
ParlaMint-HR_2019-01-23-0.u123998	Dear Vice President, esteemed colleagues and colleagues, the work mirror of the Government is evident in vision, strategic thinking, determination and responsibility. What of it do we have a chance to see? That the Republic of Croatia is, by all relevant indicators, at the very bottom of the EU. I'll only list some of the indicators. That we are the last citizens in the EU, that we are the last to be set aside for research and development, that we are at the very bottom for schooling, that we are among the countries with the highest poverty rate. I've spoken countless times that we have to run faster than others to be competitive and to take advantage of our comparative advantages. And what does a respected colleague and fellow ruling satisfy? That we have stable public finances, but it's colleagues and colleagues miles away from what is necessary. To be satisfied, while many citizens and young families are leaving the country and in the first place because they have lost confidence in the state institutions and the system and because their living conditions are not satisfactory. To be satisfied while pensioners live on the edge of poverty, to be satisfied while underpaid work, while workers work, not receiving wages, to be satisfied while medicines and treatment for sick children solve humanitarian actions, rather than systematic solutions, to be satisfied while our economy is on the respirator because the government does not have a clear strategy, to be satisfied while we use EU funds extremely badly, means that the government is an incasator, not a development generator. Dear colleagues and colleagues, citizens want to live in a country that has security, stability, the future, and that Republic, hand to heart, is not today. Therefore, being satisfied with their work, as they point out by ruling, is the least said demeaning of citizens' common sense. We're going forward by momentum without a systematic strategy, without a plan and without a vision. Dear colleagues and colleagues, HDZ has been the longest in power since independence, and that is a fact. So let the government stop making excuses, let the government stop closing their eyes to problems, finally start solving them, and finally take responsibility.
ParlaMint-HR_2019-01-23-0.u123999	Thank you.
ParlaMint-HR_2019-01-23-0.u125036	I thank all those who took part in the free presentation of the views of the club representatives and we are now on the agenda. First point: - Final proposal of the Health Data and Information Act, second reading, P.Z.E. No. 422 The proposal is proposed by the Government of the Republic of Croatia on the basis of Article 4 85. The Constitution of the Republic of Croatia and of the Republic of Croatia 172. in relation to Art. 190. Rules of Procedure of the Croatian Parliament. When discussing this item of the agenda, the provisions of the Rules of Procedure relating to the second reading of the law shall apply. The debate was conducted by the Committee on Law and the Committee on Health and Social Policy. I would like to ask the proposer's representative to give us an additional explanation, with us the esteemed Željko Plazonic, State Secretary at the Ministry of Health, please elect State Secretary.
ParlaMint-HR_2019-01-23-0.u125037	Thank you, well-respected President of the Croatian Parliament, distinguished colleagues and fellow parliamentary representatives. Today, we are pleased to present to you the Final Proposal for a Health Data and Information Act, which provides the basis for harmonisation of the legal framework for the management of health data and information and their quality of processing at national health system level, and at EU level and also at international level. The differences between the final bill and the first-reading bill were mostly nomotechnical. Based on the debate in the Croatian Parliament on the final draft of the law, and in order to achieve the best possible quality of health care, improved provisions on health documentation and records in the areas of health care are required, standardisation of forms, which are related to the collection and processing of health data, as well as clearer and more precise technical link. Central health, means the link between the central, health and information systems of the Republic of Croatia, national and public health systems and so on. eHealth with state information infrastructure. The aim of the final bill is to make comprehensive and efficient use of health data and information in healthcare and to improve and preserve health and population in the Republic of Croatia. Thank you very much for your attention.
ParlaMint-HR_2019-01-23-0.u125038	Thank you. We have two replicas, first of all a respected colleague of mine, here you go.
ParlaMint-HR_2019-01-23-0.u125039	Thank you, Mr. President. Dear Secretary of State, I would like to begin by thanking the Ministry as a Proposer for respecting my observation that standardised forms for the collection and processing of health data are particularly regulated by a regulation prescribed by the Minister responsible for health care. For those of us who work in health care, medical documentation as part of a health file is something without which we cannot talk about quality health care, and here we can see great progress in the past few years and we can say that the Republic of Croatia has gone beyond the borders of our country and now it is a product sold in other countries as well.
ParlaMint-HR_2019-01-23-0.u125040	Would you like to respond? Thank you. Then let's go to another replica, dear fellow Strenja, please.
ParlaMint-HR_2019-01-23-0.u125041	I thank the chairman. I would remind once again that the importance of information in health care is particularly highlighted and during last year, food health and safety Commissioner Vytenis Andriukaitis said how much the potential of digital technologies should be used to improve health care and medical research. And then we warn you of the situation that you are in article 40, for example. said that after the entry into force of this law it was 5 years to ensure the implementation of this medical file and then you say that all providers need 2 years of entry into this force to ensure the exchange with... So it shows how important this law is and how much you missed normotechnically as you said it was, some basic things to agree within this law that would be necessary, you had plenty of time. [[The speaker doesn't understand.]] This is not Ustasha, partisans, all of it, this is the law that everyone needs but then you should agree to it and norm technicalally at least time frames and let alone many other things that you missed.
ParlaMint-HR_2019-01-23-0.u125042	Thank you. Here you go, answer me.
ParlaMint-HR_2019-01-23-0.u125043	Well, we recently agreed to this bill, and as far as I know, the Health Committee had no objections. And as for the five-year-old, it's the deadline, nobody crosses anyone to do it all together five years ago, but I think it's one reasonable deadline because it's not easy. The job is a very complex and very complex and very demanding job that depends on a whole series of factors that have to be included in it, which is why it is also given this greater period than 5 years. But I say, if someone... Before he does, no one's defending him. [[The speaker doesn't understand.]]
ParlaMint-HR_2019-01-23-0.u125044	Do the committee's reporters want to take a word for it? Yes, we have the chairman of the Health and Social Policy Committee, colleague Strenja, here you go.
ParlaMint-HR_2019-01-23-0.u125045	I thank Mr. Chairman, I welcome once again the representatives of the ministry. The Committee therefore discussed this Final Proposal for a Health Data and Information Act at its meeting on 3 December 2018 as a home working body. And in the opening statement, we heard from the proposing representatives who are the primary objective of this law and the scope of its application. As the Proposer pointed out, the aim of passing laws is reflected in the comprehensive and effective use of health data and health care information to improve and preserve the health of the population in the Republic of Croatia. The law provides the basis for the harmonisation of the legal framework, the management of health data and information and their quality processing at national health system level and at EU and international level. The legislative proposal provides for the implementation of Regulation (EC) No From 16 December 2008 on Community statistics on public health and health and safety at work, 1338/2008 of the European Parliament and of the Council. The differences between the solution in the final draft of the law in relation to the solutions set out in the proposal for a law in which the content of health documentation and the indication of the place where it arises in health care activities are better prescribed by standardised models related to the collection and processing of health data, the comments of the members of the committee made in the first reading have been accepted. In a further discussion, the Committee warned that, in his view, the discrimination between Articles 40 and 43 of the Law on the terms of which it considers it necessary to bring them into line and that the 5-year period is too long. During the debate, it is also commended that standards will improve the quality of health information data while reducing administrative jobs to a comprehensive and efficient use of information technologies in eHealth. Most of the votes were supported by the Committee's proposal for this data and information law in health care. Thank you.
ParlaMint-HR_2019-01-23-0.u125046	Thank you, too. I'm opening a debate and now I'm calling again on behalf of the MOST club of the independent lists of my colleague Strenje to take a word for it, please.
