ParlaMint-HR_2019-09-20-0.u148156	Sweared.
ParlaMint-HR_2019-09-20-0.u149091	Thank you. It is now up to Mr. Hrvoje Zekanovic, who will speak on behalf of the Club of Representatives of Croatian Sovereigns and Independent Representatives Zeljko Glasovic and Zlatko Hasanbegovic. Here you go.
ParlaMint-HR_2019-09-20-0.u149092	Dear Secretary of State, here we are today discussing the law, No. 666, here's an interesting number, a proposal for a law on genetically modified organisms. The first thing that came to my eyes is one interesting thing and that's that the Ministry of Health is proposing, why isn't it the Ministry of Agriculture? No one said here and you didn't say, so neither did a colleague, Jovanovic, who is a doctor in front of the SDP, that GMOs are harmful, I haven't heard that from you. Then why does the Ministry of Health represent this law in the first place? I would have put it under the Ministry of Environmental Protection, under the Ministry of Agriculture and not under the Ministry of Health if the GMOs weren't harmful and actually up to you in your debate, I listened carefully, I didn't hear that they were harmful or that they weren't harmful. So that's how you stayed undefined. Unlike you, your future coalition partner, Mr Jovanovic said are not harmful, he was still such a guy and we will mean it, we are for the liberalisation of GMO products, let GMO products come to Croatia and let them be as much as possible because it is not harmful. I'd like to hear your attitude. And another thing, if they're not as harmful as he says, and we haven't heard from you, then why are we defending ourselves against GMOs? Why are we limiting the market? So, one simple question I'm asking you right now, and I expect you to answer me? So are they harmful or not harmful? I want to hear your attitude, too, what you think. If they're not, if you're saying they're not, then why are we passing the law, so which one are we limiting, if they are, well, let's talk a little bit more about this. There's a lot of talk about GMOs in public space, very much, and I have to admit here I'm doing the same thing for today a little bit getting ready and looking at everything that's written on social networks and on the Internet, which experts and I would be very careful here, I would be very careful because there are research, there is incontestible evidence that in some cases GMOs cause some health disturbances in people, there, there, there. So there are, so they're causing allergies, causing digestive disorders, and a lot of things haven't been investigated yet. There are experts, doctors, specifically fellow Jovanovic argues it is not harmful, this should be introduced as much as possible and this is welcome to our market. Unfortunately, I'm going to say, in the world today, GMOs are everywhere, so everywhere they are, we just can't even pass them anymore, they're there. And all those who think that GMOs are not in Croatia, unfortunately, there are many. Recent research has shown 2800 products in Croatia that even 146 products already have GMOs, already has GMOs, it is there. And I really am about to introduce GMOs to that extent while it's for medical research and I really don't have it, so if we could help a man, a child, any person, so come on, that's where I'd step down and I'd make a line. But what we're doing today, this is once again harmonizing with one EU directive, another harmonisation, we're always coordinating something, right? So all this is what the EU is conducting to us and I'm actually afraid that since we always say to ourselves statistics is a mistake, that we are somewhere on the margin, that we are not important, in one real and adequate way we have considered this law. I also know if we were to pass the law as it was and suggested here that we would completely ban it, we say, there is no GMO in Croatia. I don't know which way to stop me because he's really all there. However, I really want to hear from you, since the health ministry here is the promoter and not the Ministry of Agriculture or Environmental Protection, the question first, why you? Is it because it is suspected that GMO products affect people's health and if it affects, let's talk about it. Let's let the Croatian state do a detailed analysis of how much it affects and then let's make sure that the GMO in Croatia doesn't exist and that it is as little as possible. So it's a simple question and a simple dilemma. Here I just have to say in the end, Croatia has one specific situation and its geographical position is such that as much as 50% of Croatia's space is within the Natura 2000 ecological network, meaning protected and for this very reason, I think that Croatian space is very valuable, valuable and in the context of Europe and the world, so that we need to approach this problem more carefully, thank you very much.
ParlaMint-HR_2019-09-20-0.u149093	Now it's Mrs. Devereaux's turn. The goddess of Macar, who will speak for the Club of Representatives of the CNS, please.
ParlaMint-HR_2019-09-20-0.u149094	Thank you very much, well-respected Vice President of the Croatian Parliament, the distinguished secretary of state with a co-worker, co-workers and colleagues. Here we are today discussing GMOs, or the bill. It is a topic that in Croatia, and I believe and beyond, everyone thinks they have something to say. There are those who are really against it and think that for all diseases, for all that is not good in this world is the fault of GMOs. There are others who really think that GMOs, research, their application will achieve greater production, that there will be no hunger in the world, that many things will improve. We in the Republic of Croatia have decided to be GMOs free, that we do not produce GMOs, whether for humans or for animals, and this law that we are going to discuss today, simply it should contribute even more to the safety of the Republic of Croatia and protect it from being a GMO free country. The analysis of the applicable Law on genetically modified organisms found that the current law does not constitute an appropriate regulatory framework for the implementation of European law in the implementation, the area of the introduction of GMOs into the environment, but is left on the GMO market as well as products containing GMOs. The Council of the EU concluded that existing legislation should be amended but with the aim of improving therefore even greater protection through an environmental risk assessment of GMOs with an emphasis on environmental impact assessment in a way that included guidelines on the risk assessment of genetically modified plants in the environment until now which were not binding and which were the basis for carrying out the risk assessment. There are several important issues that are proposed to be resolved by this law and that are being changed. Given the great impact of GMOs and the great application in various fields and activities, we have already been through several discussions today and we have heard that we all agree that it would not be good to ban everyone in general, because we have this science, medicine, pharmacies, we have both the agronomics and the food industry. As far as research is concerned, some are just for the part of the drugs, but research is important in all areas, so it is good that there is both science and medicine and pharmacies and agronomy as well as the food industry. Therefore, this law provides for the development of how to deal with the use and use of GMOs for scientific research purposes, in view of the limitations of the use of GMOs for scientific research in the light of limited use. Then we have this proposal which is resolved by this law, which is to harmonise the provisions relating to the authorisation and obligations of the official national reference laboratories of GMOs by Regulation (EU) 2017/625 in a way that will extend the period of authorisation from two to four years, and that the body of the national administration responsible for health services will be given the possibility to revise the work of those authorised laboratories. Therefore, a review of all these laboratories that investigate the presence of GMOs in products will be carried out. The criteria for the inclusion of closed systems of limited use of GMOs at risk level will be developed. Standards for closed systems of prevention measures and other security measures, handling mode and all that is important for working in closed systems of limited use of GMOs. The risk assessment system will be improved when GMOs are introduced into the environment, which is actually very important, and I have already set out these guidelines at the outset and which we are now going to transpose or propose to apply these regulations to the law. The procedures for the application of the first GMU market application will be developed both in the EU and in the Republic of Croatia. Provisions regarding clinical trials of advanced therapy medicinal products consisting of or containing GMOs will also be laid down so that we have this area regulated. The responsibility of responsible inspection bodies for carrying out official controls or inspections in the area of GMOs will also be further developed. Here is the information that 92 samples of food were controlled in 2019 and no GMOs were found in any of them. However, normally that control should exist, that we want to protect the Republic of Croatia and we want it to be RH GMO free, but there is another thing that Croatia is in the EU. We travel, people come here, there are goods that go beyond any control because we have a common European market and absolute protection certainly don't exist, but if we control, if we determine all of these laboratories that will still be far more professional now, but also according to specific rules from sampling and control, reporting and everything else we can do these tests, I believe that we can remain GMOs free, but that GMOs will always be in certain areas. She would not now enter the scientific argument for and against but we believe in the HNS Club that it is a good law that regulates many things that have not been regulated so far and we will support this law in the first reading. Thank you.
ParlaMint-HR_2019-09-20-0.u149095	Now it's, they're up to individual debates. The first is Mr. Gordan Maras.
ParlaMint-HR_2019-09-20-0.u149096	Thank you very much, Mr. Vice President. Our colleagues and colleagues, a topic that is always interesting and usually puts it or-or, so come Mr. Bulj puts on a shirt, show our attitude with a sign of crossed GMO or on the other hand someone should say that this is not bad, means that we should have some benefits from it, and we still have too little knowledge and too little experience on this subject and I agree that Croatia as a paradox country, unfortunately as a paradox country where it is possible that the government's cheap VAT on food, on meat, and that meat is not cheap and that the defacto of this defunding and reduction of VAT is the most useful thing for traders and these tax reforms that in Croatia are working on or for example to support certain activities that are simply not relevant to the modern society or capital of Croatia, so yesterday HDZ in the Assembly of Bandić when it tells journalists that it is important to know that all about the importance of the country, so much about the importance of the fact that in which we can be able of the GMO, Is that why we didn't have an adequate framework for certain GMOs? In the Republic of Croatia, it's still almost gone. So we didn't maximise our agriculture or what we could do, let alone think about some of these things. So, there's a theme about one framework that in the Republic of Croatia is by me still far from us since our agriculture on its knees after years of destruction and after which it hasn't had a certain concept for years. Once land was used in agriculture to collect money, after agricultural use and now, not produced, they take money, not produced, after they are now forced by the mayors of the municipalities to sign contracts with the former Agrokora so that one third of the country can benefit, not Croatian citizens, means where a farmer cannot sign a contract as now can the former Agrokor sign for the use of the state country and in some way grow on that country or cattle or agriculture. So, in a situation like this, we're talking and here we're developing theories whether, how harmful it's going to be, it won't be harmful, lab control, etc. I am for control, I am that we are first of all familiar with what can be useful or harmful to Croatian citizens, and then after that for Croatian agriculture, but first of all I am about to see how to bring our country into some normal situation, how that Croatian agriculture has as much input as possible to Croatian tourism that our exports that we view as tourism defacto do not fill the exports of Germany, Italy, Austria and other countries where they benefit much more from their agricultural products than our citizens do. And these are the challenges ahead of us and these are the topics that should be in the morning and should be occupied by the Croatian public because unfortunately the Republic of Croatia is a country of paradox, until yesterday, Prime Minister Plenkovic says 45 billion kuna will cost you pension reform, yesterday says anything can. Look out, is that a serious leadership? Is that something that convinces Croatian citizens that we know which way we're going? Is this even the Republic of Croatia that deserves leadership to say that the Republic of Croatia will be here and there in 2030, so we don't know where we'll be tomorrow, we don't know how Prime Minister Plenkovic will set up tomorrow, we don't know if Culej supports Skor or Colinda? You understand how much paradox there is, how much paradox in HDZ itself, and then we're talking about GMOs, here's a colleague from HNS says we need to control the labs, so we're going to see this or that. So, Croatian citizens unfortunately do not see any perspective in this confusing government, they do not see where this is going all together, the topics they impose from day to day have nothing to do with perspective, with citizens, with a better life, etc., so this is one of the topics that will be current only in front of us, perhaps in 5, 10 or 15 years. In the Republic of Croatia, there is no de facto, and on this side I would call on the Croatian government to give a little topic that is on the agenda, which stands for months and is not discussed to support the initiative given by colleagues from HSS, and we are also now going with it, and it is that politicians have to justify their property that it is not going to turn pastures from agricultural land to building land as in the case of Kuščević nothing caused, only because it is caused that HDZ's someone decided to do it, these are topics that are much more interesting than what GMOs are more interesting than whether or not we will, and when we will, and in what way, control and these are the topics that are more poisoning Croatian public and Croatian I would say to the reality and our country, unfortunately, is not as it should be, and will not be, as long as we have in this way, the larger, the larger and the larger part of the H. As it is said in our people, the problems go from top to bottom. It's not a problem in citizens. It's not a problem in a situation that someone is committing, here's as great a sin as this case was for Mr. Ghost to be brought in for it. These are topics that are now dominated by the media, or represent the biggest problem to HDZ. The problem is all that I said earlier, and so when we talk about the GMO law, I can say that this topic in my opinion is the one that should not be shared so much by the Croatian public at the moment or should not cause so much emotion in the Croatian public. More should be caused by emotions how to lift our agriculture in a way that we can produce everything we can in Croatia, try to place ourselves in our tourism, that we do not have to go by myself, I would say, wholesale or large shops, and watch as German yogurt, cheeses and everything else sold, and Croatians have less and less space in Croatia. And when they are to be given land to the state for use, then they are pressed through the Ministry of Agriculture by our chiefs to sign contracts that were already set as guilty in the 1990s, and now they have to set them up again. So, on that side, here's something I wanted to point out. I must admit that in this law I don't see as much a conspiracy as some of my colleagues see, but I see a problem in the Republic of Croatia that with agriculture and with everything we can from it, it doesn't do what it's supposed to do. Thank you very much.
ParlaMint-HR_2019-09-20-0.u149097	Four replicas. The first replica was requested by Mr. Bull.
ParlaMint-HR_2019-09-20-0.u149098	Thank you very much. A colleague of Maras. Everyone has the right to their position, of course, I'm against GMOs, mainly because it's the domination of Monsant that produces seeds, GMO seeds and, of course, pesticides and of course, it affects our agriculture. We import pork that feeds on who knows which soybeans, probably with GMO soybeans, of course we have different attitudes here. Of course, I also gave the Law on the ban on GMOs in the Republic of Croatia except for medical purposes, however, you did not vote. Not even a colleague, Zekanovic said earlier, it is a democratic right and I think this is a very important topic for Croatian agriculture and the development of Croatian agriculture and health. Because at this stage where scientists conflict and where multinational companies have too much influence, we need to make a sober decision that was voted in this House in 98. Croatia without GMOs. [[Intruder: Answer.]]
ParlaMint-HR_2019-09-20-0.u149099	Mr. Maras.
ParlaMint-HR_2019-09-20-0.u149100	Thank you very much, Mr. Bull. You just said what I said in my debate. And that is that when we import food and import certain things into agriculture into Croatia, we don't even know how these things were grown, or fed outside Croatia and on that side exactly what I told you is the most important thing. How to create conditions for us to load pigs in Croatia, not to import them from other countries, from South America, etc. So, from the Netherlands, even worse, here, it's possible to load a pig cheaper in the Netherlands than in Croatia. How is that possible? It is possible if the government is incompetent, if there is no concept, if there is no concept of how to do business in agriculture, then, unfortunately, anything is possible in Croatia. Thank you very much.
ParlaMint-HR_2019-09-20-0.u149101	Mr. Cell.
ParlaMint-HR_2019-09-20-0.u149102	Thank you, Mr. Vice President. Dear colleague Maras. You've brought out a lot of different topics broader than the GMO theme. For example, a colleague of Vlaovic had a very reasoned debate although I disagree with everything he said. I agree with you not to create any paranoia and to say that the law on GMOs is a legal permit for the poisoning of Croatian people and what I would mention here, therefore, we have the right to differing opinions, this debate is professional, but it is also political. I wouldn't compare it to a subject like the antivaccination movement, but it's a little different. Definitely this topic deserves a broad discussion, but I wouldn't be talking about it being a security threat to the population of the Republic of Croatia right now.
ParlaMint-HR_2019-09-20-0.u149103	Mr. Maras, the answer.
ParlaMint-HR_2019-09-20-0.u149104	Thank you very much. Mr. Celic, I don't know why you mentioned Mr. Vlaovic and commended his expertise, but you're not Milka Babovic to comment here on the scores from 1 to 10, and here we are now waiting for all his colleagues to say whether this one was for 10 or 9. Or two. That's not your job. Your task is to try to get Croatia out of the paradox as a responsible politician, where you in the Zagreb City Assembly do not wish to condemn the mayor's statement that journalists are making it. Well, isn't that a shame? Well, I'd rather dry my hand than vote against that conclusion. You as a responsible politician who promotes democratic values should protect women, protect that someone sexist in the City of Zagreb Assembly is not paid It's like the task of us in politics [[Intruder: Thank you, time.]] Those standards, we raise a little bit. [[Intruder: Time, Mr. Cellic asked for a breach of the Rules of Procedure.]] Thank you very much.
ParlaMint-HR_2019-09-20-0.u149105	Injury of the Rules of Procedure, please.
ParlaMint-HR_2019-09-20-0.u149106	Article 238 of the demeaning of MPs has been violated, therefore, it is my full right, you are well-readed colleague Vlaović has prepared himself and read this law unlike you who politically impose topics on one side of St. Mark to second. I know you guys have some frustrations, but I'm not here as a psychiatrist, I'm here as a politician and I'm a parliamentary agent, so I can't help you here.
ParlaMint-HR_2019-09-20-0.u149107	I'll give you a word of course, but in replicas it's possible, such opinions are possible, I'll give it to Mr. Maras, of course, so he doesn't get angry, I'll give it to you, I know what he'll say, but I'll give it to him, of course, he has the right to harm the Rules of Procedure, right?
ParlaMint-HR_2019-09-20-0.u149108	Thank you very much, 238th is an injured article, thank you very much for noticing. So he's not a coworker or psychiatrist here, but he's certainly not Milka Babovic. So I'd leave that kind of grade to those who look at us. They'll vote or they won't vote. So on that side I'm just here, I'm just appealing to my colleague Cellic to advance our city and our society by not supporting the sexist statements of the mayor. That's what I wanted and [[Thank you very much.]] And I hope he does it next time. [[Thank you, thank you.]] This time he voted that.../incomprehensible/... [[Mr. Maras, time Mr. Maras.]] behavior in public space. [[Intruder: Time Mr. Maras.]]
ParlaMint-HR_2019-09-20-0.u149109	I'm not going to give in to any of the Rules of Procedures or anyone else. Let's move on. Mr. Davor Vlaovic.
ParlaMint-HR_2019-09-20-0.u149110	Comrade Maras, you said in your debate that this is a topic of debate or something. For us HSS, I'm gone either, or. We are against the introduction of genetically modified organisms into the Republic of Croatia and that is what most of our citizens in the Republic of Croatia want to keep it that way. The arguments that Croatian agriculture will improve with such organisms do not exist with such seed material because there are a number of attempts made by scientific institutions and agricultural producers to make no higher yields with genetically modified seeds, that there is no reduced use of pesticides and that there is no reduction in production costs or that we import more than 160 tonnes of mercantile soy from Argentina into Croatia. Price of mercantile soy, how much is in Croatia and how much is this import, there are the same prices, and our position from HSS is that we can protect domestic agriculture and production only with domestic sciences and clean the ground. [[Thank you very much.]]
ParlaMint-HR_2019-09-20-0.u149111	Mr. Maras's answer.
ParlaMint-HR_2019-09-20-0.u149112	Thank you very much, Mr. Vlaovic. I respect your position and do not want to be overly polymised with it, but I will agree, that I want clean production, I want it to be as high as possible, the bigger in the Republic, and for that we have to fight, as we have to fight to keep our country without GMOs and without corruption. So it's about the same level, unfortunately for ours, unfortunately ours, while corruption and HDZ are being removed, it's going to be a long, long time, but that doesn't mean that we don't have to fight for it, and here I'd like to congratulate you that in your debate, your expertise has been recognized by a colleague, I believe that you will sleep peacefully today and that it will be a big, big confirmation of what you discussed. Thank you very much.
ParlaMint-HR_2019-09-20-0.u149113	It's only good that when it's replicated to someone, it's replicated to that person, not to someone else from before. Mrs Grozdana Peric, please.
ParlaMint-HR_2019-09-20-0.u149114	Thank you very much. Dear colleague, you've been talking about everything but GMOs, so the whole situation in the country, etc. and find the successes of this government, and tourism accounts for 20% of the total GDP. What I'd like to say is that we all forget that the first gene that was created from GMOs is 1973. Herbert Boyer and 16 cultures have been treated so far and the human species deals with crossing plants, so it doesn't matter we're GMOs, but this legislation and this government wants to make even better control of everything that's going on, but mutating and crossing plants exists a long time ago.
ParlaMint-HR_2019-09-20-0.u149115	Mr. Maras's answer.
ParlaMint-HR_2019-09-20-0.u149116	I must admit that since my colleague Celic recognized that this is not exactly my theme of GMOs, and that you probably dominate and have studied this topic for a long time and you have probably the success of certain scientific in this area, I find it difficult to have a controversy with you here, especially when you say and compare the crossing of plants with genetic modification. So that's, I don't know if you're aware that what you said to each other doesn't have much to do with it. So you have to be aware when you're saying something to make sure that you're not going back to the area where your cellmate is going to criticize us. Here, thank you very much.
ParlaMint-HR_2019-09-20-0.u149117	Quiet, quiet, quiet. Let's move on. Mr. Ivan Lovrinović, individual debate.
ParlaMint-HR_2019-09-20-0.u149118	Dear colleagues and colleagues, the question arises at the outset why there are genetically modified food products, so on and so forth in all areas of human life. It is that some countries, as well as scientists, some world leaders, believe that the number of people on earth is increasing at such a pace that they simply won't be able to feed in an existing way with existing land treatment, agricultural production, climate change, the emergence of new diseases etc., etc. I understand certain countries and peoples who are having problems with climate change right now, and they're obviously going to reach out to these GMOs for some things about adapting the resilience of cereals and other products. However, another opinion exists that the earth does not need genetically modified food at all because the planet is large enough to have an even greater number of inhabitants can feed, but therefore it needs another policy, another approach. Let us take the example of Israel, for example. there when you look at the ambience, what is the land of the desert, the deserts, they got the plain from the desert, the green desert. So one super-organized state with irrigation technology and everything else they're simply, not that they're enough, but that they're exporting to other countries of the world. Now the question arises if other countries, for example, are also deserts, semi-region have such technology, sources of funding obviously so that they can mostly feed themselves, however, such obviously some food production factors do not have. What I want to say in front of the party Change Croatia is that we, our position is next, Croatia is a small country with a large area of arable land we can at least one more, two Croatia feed it we all know that and birds on the branch know it. But the question arises why has Croatia not already been declared a GMO free country and at the entrance at all border crossings that do not have large tables, panels when tourists come and visit Croatia to immediately know it is an oasis, a country of healthy food in the EU. This must, Croatia must be an oasis or a country of healthy food in Europe. We don't need a GMO product at all. Here they are said there are, there are none, we can trust one and the other like that yet, but the arrival of certain seeds primarily soy from Argentina, and we know that Argentina was the first test rabbit of large multinational companies in the area of GMO production, especially with regard to soy and there they did their job. Why can't we trust this government and these people? Well, because both they and previous governments have repeatedly deceived citizens and that degree of trust in the laws that have been passed is very low or none. Let us remember over the past months and years how many thousands of tons of ancient flesh, the old man from who knows which part of the world is imported and withdrawn, forbidden. Let us remember how it is organized, let us ask ourselves how quality protection and the regularity of food or food in Croatia is organised. It's no longer on the level it was before. Before that at the border, there were mobile labs in specialized vehicles, those vehicles were gone. Now the traffickers, the import lobby that came into place so that they could control certain segments of control itself, state control. That's what we citizens care about and care about. So in this sense we from the party Change Croatia we advocate for seed banks in Croatia, the domestic seed of all cultures that have been in these premises since the weekends as we know it, our great-grandfathers, the great-grandmothers they used. There are few of us, and as such specialize in agricultural production for the production of healthy food, whose price rises every year, I repeat, whose price rises every year. But since we know that agricultural policy in Croatia has not existed in the past ten years, about 34 billion euros have been invested in incentives, excuse about 34 billion kuna in various subsidies, incentives, and Croatia has never produced less food than here today. We read simply incredible data about the alarming decline in the production of milk, the number of cattle, pigs, everything else, and it all says together whatever area we open up to discuss that this country is not working. Why? Because the political elites that led and ran Croatia and they don't want to solve this problem, they let stakeholders do what anyone wants and make this a market and hunting ground for multinational companies and trade chains. It's said we have, you say we already have the traceability of food, you want to go together and I tell you to buy in this place and eat for a month and see what it would look like. In that sense, I would like to say that GMO seeds, primarily seeds, are money and energy. These are the world's most powerful three geo-political instruments, or the world's largest forces. In each of these segments, what I have said to finance, money, energy, GMO food is this power and the world's leading forces on it want and the cities, not to want, but to build their position in the world of hegemon or milder said leaders. That is why we advocate control, traceability, but it cannot be done by people who are now working, who have been compromised because this system and this government and the previous political parties that ruled Croatia have all been compromised. So why is one number of people in Croatia afraid of vaccinations and not wanting to vaccinate children? Well, because he doesn't trust an import vaccine, you know, they don't trust it. Why? 'Cause it might have come in who knows what channels. That is why we advocate to restart the Immunological Institute which can return to life only by selling its properties, which is the land on the most attractive part of Zagreb, but must be moved outside Zagreb because they are more communal cheaper. We know how to solve it, and let's say these chips, the chips, they only say once every month twice that they're supposed to deceive the citizens and they'll never do anything about it. And to finish here, we need to be terribly sensitive to GMO products at all, they're the most present in the processing, we're not sure what's being imported, and neither what's being said is ordinary, and especially the processing, and until new people come along who will be more honest who will not be part of the interest groups and members, there will be no trust in what you're proposing. Thank you.
ParlaMint-HR_2019-09-20-0.u149119	Thank you. The first replica has a Mr. Cell.
ParlaMint-HR_2019-09-20-0.u149120	Thank you, Vice President. Dear Professor Lovrinović, I agree that our agriculture should be directed towards organic production and the development of family agricultural economies, but what is now in force, and the adoption of a new law remains the fact that GM seeds have the status of legally prohibited drugs in Croatia. That's what we need to know. The GM seed seed is illegal. On the other hand, according to the allegations of agricultural people, Croatia is a very inappropriate country for the cultivation of GM crops and is not attractive for biotechnology companies either, and we need to lower the ball a little and reduce these discussions on the GMO issue yes or no, GMOs exist, but GM seeds are not available in Croatia, sowing GM seeds is illegal, point.
ParlaMint-HR_2019-09-20-0.u149121	Mr. Lovrinović's answer.
ParlaMint-HR_2019-09-20-0.u149122	Well, dear colleague Cellic, you know what the problem is, you're part of the ruling coalition. Right? You're a highly educated man doctor, so we all here in Croatia know, you know how many laws there are to protect this one, and we've never been more insecure, half. Therefore, this is the problem, the problem in those who do not comply with the laws, who do not safeguard national security, and the issue of healthy food and GMOs is the first-class issue of national security in Croatia. And people can't trust laws, and even be good, if the people who are in executive power are compromised, corrupt, clientelets, so who will believe in such protection, such a state, such institutions. That's why people move out, that's why there's legal uncertainty, if it were all the right thing to do, believe me if you didn't see me in the assembly, I'd be doing something else.
ParlaMint-HR_2019-09-20-0.u149123	Mr. Kirin, replica.
ParlaMint-HR_2019-09-20-0.u149124	The Honorable Vice-President of the Assembly, the Honorable Secretary of State, Honorable Representative Lovrinovic, in the created information chaos, citizens lose orientation and the ability to distinguish facts from misinformation. Genetically modified food has been causing major controversy since day one. Does it cause disease, destroy the environment, yes or no? You asked why the GMOs started to produce, but you didn't say why. Is this specifically agronomic properties that should have destroyed herbicides and improved the resistance of plants to pests, improved their properties, and in the third generation it is discussed to develop greater tolerance to dry and better absorption of nitrogen and phosphorus. [[Intruder: Time.]] Tell me if it's for you more, well, harmful GMO organisms or those treated with herbicides, which causes greater damage? [[Doctor, let's finish the sentence.]]
ParlaMint-HR_2019-09-20-0.u149125	Thank you very much. Mr. Lovrinovic's answer.
ParlaMint-HR_2019-09-20-0.u149126	Dear colleague Kirin, here I have failed to meet you these days, first I would like to congratulate you from my heart on the supreme success that you achieved the other day with your team, operating, saving a man's hand, your hand from your neighborhood. Indeed, I say it honestly, and whoever does it and whatever positive, we all need to admire each other. If you listened to me carefully, I initially said that there are countries where certain GMO seeds or products will fit for a while to try to eat and prevent the death and hunger of a part of their inhabitants. So, that's what I said. However, I am not interested in other regions, other countries, spoken to about Croatia, Croatia should not, should not, our climate, our belt in which we are located shows that we should simply be fierce against it and encourage the production of healthy food. Here, thank you.
ParlaMint-HR_2019-09-20-0.u149127	Thank you. Mr. Križanić, final replica.
ParlaMint-HR_2019-09-20-0.u149128	Thank you, Mr. Vice President. Mr. Lovrinović you asked why we have not already declared Croatia a GMO free country. You and I know that we can't do it all the way up until we're a member of the EU, but we also know that all units of regional self-government, so all of our counties asked for GMO status free, when we talk about seed and cultivation, and nobody can and will not ban us as long as we want it to be. Thank you.
ParlaMint-HR_2019-09-20-0.u149129	Mr. Lovrinović's answer.
ParlaMint-HR_2019-09-20-0.u149130	Well, I don't know what the problem is, why you haven't already set large tables finely decorated where GMOs are written free Croatia and so on, so obviously you're not even sure yourself, and if someone says we can't do it for the EU, so it speaks of the nature of a servant's relationship with MPs in this parliament who have not chosen other peoples but have been elected by Croatian citizens and they expect that we are primarily fighting for their good, their health, their safety, their future. In that sense, we from Change Croatia, we will take a hard stand and fight, actually push against, for healthy food, against modified food, and especially control and punishment, all of them, and believe that there are quite a number and they, in my opinion, took control of food distribution.
ParlaMint-HR_2019-09-20-0.u149131	Thank you. And now we continue the individual debate. Mr. Križanić is on his way.
ParlaMint-HR_2019-09-20-0.u149132	Thank you, Mr. Vice President. Here, right in my debate on behalf of the club I was talking about the metrics, and now allow me a little bit of my observation regarding this law and about what I was just saying. It is therefore important to stress that as a Member State of the EU, the Republic of Croatia has taken over certain rights and obligations that we need to respect if we want to be responsible and full member of the EU and avoid infringements of EU rights while protecting the interests of the Republic of Croatia in addition to GMOs. We want to remind here exactly what I said earlier that all our units of regional self-government have declared GMO free, free from GMOs and that direction confirms the Republic of Croatia in which I think of cultivation. So we are undoubtedly against the cultivation of GMOs throughout the Republic of Croatia and I want it to be clear. Independently, the adoption of this law raises a huge public interest, but also some reasonable doubts as to the possibility of preventing the impact of globalisation, and in particular the single European market on the preservation of state sovereignty as regards the introduction of GMOs in the form of seeds and the prohibition of cultivation. We need to be energetic and resolute here, and so far, with all the debates we've had so far, because the very thought of any field of experimentation, even in controlled conditions and in small quantities, could be caused by the consequences of such GMOs getting out of control. Croatia is a small country and therefore, as regards any entry or minimum GMO seed and intake of GMO seeds and for experiments and in the strictest conditions personally against. Therefore, take all measures to protect against the sowing of GMO seeds which measure the strict punishment of the offender. On the other hand, in line with the above, the Republic of Croatia is a member of the single European market. It has therefore taken over the rights and obligations so that it is impossible to prohibit the import of meat from GMO-fed animals and I have talked about it so far and I repeat it a hundred times. There are no imports, there are no imports, but there is an EU entry. Therefore, it is not correct and I see that there is a colleague from the HSS, they advocate to prohibit the use of bovine food that has GMOs. It's impossible, it's not correct and it's not good. It is not correct to ban imports from us if we know that a ship that docks at the port of Copper, I repeat that to everyone, and I will repeat it 500 more times. It comes with a GMO strain, stored all over the environment of the Republic of Croatia, that same food, so that meat from animals fed with that feed comes to the Republic of Croatia, is it not in that case that we are hypocritical? Therefore, it is extremely important to encourage, by choice of other EU members, and I agree with my colleagues from HSS, to encourage all possible ways of GMO free production, to further make clear the mandatory labelling of food declarations, that is, what is important, to prescribe food products, all which contain GMOs or which are GMOs free. In that case, there will be consumer choices and there will be no confusion. Once again, in the end, firmly, very tightly not bred GMOs, or even for experiments and the strictest control in laboratory conditions, my personal position. Animal food, yes, with mandatory declarations and now, it was in the first one, there weren't so many MPs there that once again great that, what is the situation right now. So, from 2007 to 2019, the Ministry of Health, the health inspectors were conducting surveillance. So far, 185 food samples have been carried out, 6 of them have found the presence of GMOs in a small amount, so 0.1% of the mass share, which means technological contamination. Furthermore, in the first 3 months of 2019, 82 samples were made by the health ministry's sanitary inspection, on soy-based products, meat products, food supplements, wheat products, conditioning products. All the samples were negative. Furthermore, the Ministry of Agriculture conducted the monitoring of GMOs in seed and green mass in 2018. Agricultural inspectors sampled about 10 legal persons, 30 samples, on seed of agricultural plants. All the samples were negative for GMOs. Agricultural inspectors carried out official controls on corn, soybeans and rapes at plant production level in 50 subjects, taking 50 samples. None of them found GMOs. And last and foremost to say, but to know what we're talking about. Therefore, the EU Commission has authorised the placing on the EU market since 9.7.2019, namely the Republic of Croatia, 69 GMOs of plant cultures intended for use as food for animals. 30 GMO corn, 20 GMO soybeans, 13 cotton, 5 oily tails and 1 sugar tail. It's like that and it's a fact and we can run from it or not. These products, which are approved on the EU market, are also authorised in Croatia as livestock. Once again, against the seed itself very tightly do not grow but I am for the animal food to be accompanied by a mandatory declaration and the labelling of licences for livestock food, thank you.
ParlaMint-HR_2019-09-20-0.u149133	Thank you very much. But you're not finished yet because you have a line of lines, and the first line has Mr. Liposchack.
