ParlaMint-NO_1999-12-07.ana.ud560e97	The representative of Terje Johansen, who has been on leave, has once again taken his seat.
ParlaMint-NO_1999-12-07.ana.ud560e838	It's going to be line change.
ParlaMint-NO_1999-12-07.ana.ud560e841	I am pleased with the Council's feedback on the major challenges in the municipal sector, and not least on integration policy. But I want to ask something else, which is also important. In today’s Business on November 30, this year, we could read that there is now an empty box and queue in the House Bank. It was shown that the House Bank has no money left to borrow for the rest of the year, and that there is 1,800 in the loan queue. This concerns the housing law, and NBBL has addressed it in particular. We in the Labour Party are also concerned about this. It was considered to present a proposal on this in the vote, but it was then said that it was not necessary. So my question to the Council of State is, can the Council of State assure us that the construction of housing will not stop, and that the money will be paid on an ongoing basis from 1 January, so that we do not get a plug and stop in the system? Because we have a screaming need for the naked and reasonable homes, especially for young people.
ParlaMint-NO_1999-12-07.ana.ud560e852	It is correct, as the representative Brustad points out, that the appropriations for the House Bank for the current year have been used up, despite the fact that the lending framework was actually increased by NOK 1 billion in the budget for the current year. That is also one of the reasons why the Government has proposed to increase the budget next year by NOK 2 billion. We see that the demand for just this type of loan is increasing as a result of the fact that several people want access to loans that can provide a reasonable cost of living in dwellings that have a sober standard and that are specifically intended for the first time residents. The way in which loans are handled suggests that when there is no more money left, the applications placed there will have to be dealt with in the context of the next year's budget. The House Bank aims to implement as far as possible a flexible procedure for these, so that payments can be made as quickly as possible. But it is not possible to make payments on next year's budget in the current year, so the payment must come when the appropriations for next year are started after the new year. This will be facilitated by the House Bank, in the same way that the House Bank has also provided greater flexibility in how to use the legislation to meet some of the criticisms, in relation to the demand in cities and areas where housing costs are higher than those initially within the framework of the House Bank. There has now been more flexibility in meeting the needs of those areas with higher housing costs.
ParlaMint-NO_1999-12-07.ana.ud560e859	I was a little surprised when the central party representative No Quail Bay in a reply to Torbjørn Andersen instead said that when it comes to moving power, we can't turn it around, not stop it, but maybe slow it down. Does this mean that the government has changed its policy, that we are now getting a new policy? Because I had the impression that the Adultås declaration meant that one should turn the moving current. I believe it is to believe in Christmas, but still I am a little surprised that the representative Kvalbukt said so. With the representative belonging to his own party, it might be interesting to get an explanation of it. So the Council of State said that the reason the municipalities have poor finances, among other things. was the financing of the older reform, that it was the reason one might have had thrones. I share that view, because the Stortinge in this funding puts in so much of a feature, especially in Sickness Home Squares, that the municipalities actually do well – not in line with the need, but actually in line with the self-esteem and the ability to finance it – to build care homes to a far greater extent than the need to attend, and that there are too few sick homes. This has been pointed out by the Committee in the form of a comment, and it also asks the Council of State to examine the matter and possibly come back to the Stortinge in an appropriate way and give us feedback as to whether this is the case. I would like confirmation that the Council of State will come back with it.
ParlaMint-NO_1999-12-07.ana.ud560e866	The government's objective in the field of district policy is firm. The government's goal is that we should work to reverse the shift flow. So far, over large parts of District Norway, we've seen a tendency that the relocation is now slowed down. Unfortunately, it hasn't turned around. I think it's a good piece ahead of you, but that ambition is solid. There is also a background for the Government to have a targeted commitment to regional policy measures that will help to promote this. One of the basic challenges facing districts is to keep young people in line, to ensure that young people move back, and to have jobs that demand the skills of young people and the type of education that young people have. Unfortunately, we know that the proportion of employees in district companies in higher education is lower than that of enterprises in central districts. This is a challenge that the Government has taken seriously, and which also underpins the efforts of the Government, among others. through commercial activities, including: in relation to the incubator programme now in place from next year, and a number of other measures in place, both personalised and in the context of the more general district policy arrangements. That ambition stands firm. And with regard to the research report presented by the Statistical Central Agency, there is a great deal of uncertainty about the type of long-term projections. The picture of the future of district municipalities is not unambiguous. There are many district municipalities that actually have an increase in the population. We will also go in and see what it is that district municipalities that should really be on the taper list have been able to do the exact opposite, have been able to increase the number of jobs, have been able to attract young people, and have taken action that actually works in the direction that we want it to. The Elder Reform will be evaluated in the mid-term, i.e. that it will be evaluated to next year. Then, among other things, the Government will look at the distribution between nursing homes and nursing homes, such as the representative Solholm's demand.
ParlaMint-NO_1999-12-07.ana.ud560e875	I would like to say that I am pleased that the Council of State clearly stated that he did not support UDI's scheme to force refugees and asylum seekers into the municipalities. It is important for us that we do not now provoke the municipalities in these questions. There are enough municipalities today that say no to the reception of refugees, and here we need to get a real round and a dialogue with the local government sector. I want to record two themes. One theme is a question to the Council of State. This applies to the free trial, as also mentioned by the Council of State. I refer to my post, where I asked the Council of State to think radically. In the letter of reply that we received in connection with the so-called second phase of the follow-up to the attempt to exempt legislation, I think the Council of State gave a very passive answer that if you had first found out that you had to remove some rules, you might as well do it. I think that's okay with the things you've figured out that you can get rid of. But I think this attempt should be more radical. Perhaps you should be able to find out what you would not initially have intended to remove, and still do the tests to see if it is possible to obtain services that work, even if they are not necessarily regulated by the Department, or by regulations or by law. SV has included in the setting two proposals relating to the question of strategy in the future in relation to a differentiated employer's fee, which we seriously considered. All parties have commented on this theme. We have not accepted the proposals, but we have comments relating to the same, and to put it correctly: we are very little satisfied with the way the Council of State has handled this matter in relation to the Stortinget and the municipalities concerned. We thought that this government should stand for both popular government and for transparency in decision-making. We have had serious problems finding the criteria for the decisions that have been taken. We are afraid that this has caused us to have a bad strategy also in relation to maintaining the system, because if you do not have clear criteria, it is also difficult to argue for it in the future. What will the Council of State do to clarify the criteria before the next round?
ParlaMint-NO_1999-12-07.ana.ud560e884	First, to the free-dom attempt and extension of it to other areas as well. Decoupling municipalities from regulations and regulations in a way that will make the type of attempt a successful project is quite extensive. This is why we have chosen to go into this heavily through the ‘Simplifying Norway’ project, in order to provide the basis for a thorough investigation. I will, as I said in my speech, come back to this question in the context of the municipal economic proposition in 2001 and look at how one can either possibly get to the good try then or at best have come so far in a change of legislation that we can implement it more fully throughout the municipal sector, because I think it is absolutely necessary if greater municipal autonomy is an objective, and that is how I have perceived the majority of the committee. On 20 May this year, the EFTA Court of Justice ruled that the system of differentiated employer charges is State aid within the meaning of the EEA Agreement. However, the majority of the scheme can be continued in its current form as a regional transport aid scheme, subject to Norway notifying a scope of the differentiated employer fee, while also introducing certain restrictions on the use of food. As the Committee is aware, 14 municipalities received an increased employer’s fee, while 39 municipalities received a lower employer’s fee. This arrangement is under pressure. It now runs until 2003. It is a fact that we will face challenges in keeping a differentiated employer’s fee as much as we have today, as a district policy instrument, in the same way as the SND scheme is under pressure. There, the scheme is likely to run for six years, but after six years, the scheme is to be evaluated. Both the proportion of the population included in the scheme and the criteria for both of these two schemes are constantly subject to changes within the EU system, which means that this is a system that needs to be closely followed up. To the best of our ability, we have tried to follow up the criteria that have been laid down, and combined them with sound judgement in relation to which municipalities can get lower fees, and which have to receive a higher fee.
ParlaMint-NO_1999-12-07.ana.ud560e899	Governments indicated that there has been growth in the local economy. At the same time, we are facing the greatest deficits of ten years. There has been a significant increase in costs, it has been said, and it is linked to the reforms, but it is also linked to wages. If we read in the municipal economics proposition, we see that it says that there is a need for 85 000 new annual works in the municipal sector to fill the reforms it has agreed on, and there are twice as many people there are room for in the macro-economy. How does the Council of State envisage developing the local economy, pay and employment conditions in the municipal sector, in such a way that we can have some kind of realistic hope of manning these important reforms, and through the secure Community schemes and the welfare state, as I believe the Council of State has taken a very strong stand for. It must mean a rather strong increase in the local government sector if the Council does not have other solutions to that issue. So to the differentiated employer's fee. I am pleased that the Council of State now expressed itself with a greater seriousness than I feel that his representatives in the Municipal Committee have done, where they write that «The system of differentiated employer charges may be continued following the judgment of the EFTA Court». The Council of State now pointed out what the reality is, and then I have the following questions to the Council of State: Is it the case that the Council of State agrees more with Prime Minister Bondevik when he now says that he does not dare to guarantee that we will maintain this system after 2003, than he is with his colleagues in the Municipal Committee? And does the Council of State, like SV, believe that there is a need for a comprehensive review of both this and SND, because this is a reality that important instruments have been taken out of the hands of Norwegian political decision-making authorities?
ParlaMint-NO_1999-12-07.ana.ud560e912	It is, of course, difficult to say what will happen after the year 2003 when this scheme is being re-evaluated. What I see as the central parties in the committee have stated is the result of today's judgment, where it is a fact that we get to continue most of the system under that judgment. At the same time, the system is under pressure. It will remain unchanged until 2003, but what will happen after that time, what kind of criteria will then be laid down, yes, see it more uncertain, but as requested here, we will, of course, do what is possible, to look at both criteria and mechanisms that can ensure that we maintain a maximum share of regional policy instruments even after the next evaluation. The problem is that these schemes are under pressure within the EU system, that the proportion of the population to be covered by these types of schemes should be reduced, and that the dispersal criterion underlying the Norwegian scheme is also under pressure and will be exposed. But, of course, it is our primary objective to maintain as much of this system as possible. Therefore, it is impossible to say what will happen after 2003. However, the judgment states that in the form we are now passing on the employer’s fee, we will maintain most of the scheme, not as part of the tax system, as it was originally said, but as an indirect transport aid. So to the challenges in the municipal sector: we have quite formidable challenges in terms of how the tasks, which we all want the community to deal with, can be satisfactorily solved. We will need to significantly increase employment in many areas, while at the same time seeing the level of costs in these sectors increase. This is why it is all the more important to maintain a balance between the private and public sectors, so that growth in the private sector is achieved at the same time as growth in the economy as a whole, which enables us to carry out the common tasks of the municipal sector in a good way. That is what the Government has been trying to facilitate in the budget that is now being presented.
ParlaMint-NO_1999-12-07.ana.ud560e919	Both the State Council of Enoksen and the State Council of Davøy have previously given positive signals in Stortinget that political governance of the housing market is desirable. With social housing, we believe in the Workers' Party that it must be possible for people with normal incomes and for young and disadvantaged to be able to obtain housing. The land prices we have today are going to be difficult, especially in Oslo. In a note from the Workers' Party and SV, it is pointed out that State Building has laid out parts of the area of the old Rikshospitalet, known as Pilestredet Park, for sale to the highest bidder. Prices are expected to be high. I would like to ask the State Council, Mr Enoksen, whether he wants to take the initiative to sell one of the plots to a non-profit organisation that can house rentals, funded by the House Bank, with a clause that young and disadvantaged people can get them. And then another theme: The Enoch has said here today that the deportation from District Norway has "braked" up. I am therefore a little surprised that he used as strong words as he did in the ‘Political Quarter’ on December 2, at 2. 08.05 in the morning, because then he said that this government was going to elect it to do a gigantic district policy reverse operation, that it would reverse the flow of movement, and that these were ambitious goals. When I hear the statements from the Council of State and the representative of the Central Party on the Municipal Committee, it seems to me that they haven't done so much. They've actually managed to slow it down a little bit.
ParlaMint-NO_1999-12-07.ana.ud560e932	After ten years of stepping down the regional policy instruments — every single year — where we actually have to go back to 1990, when the municipal minister named Johan J. Jakobsen, to find a similar commitment in the area of regional policy, after having seen a unilateral and strong centralisation over the year, where the relocation from the outlying municipalities and districts has increased for each year, we now see for the first time in this decade that the relocation slows down in important areas of the country. For example, the deportation from central Norway is halved from 1997 to 1998. Moving to Oslo is reduced by 38 pst. It is partly due to the fact that some of the relocations now do not go to Oslo, but to the municipalities around Oslo, I have to add that, but centralisation has slowed down. The displacement from important parts of the periphery has slowed down. It's an important milestone in development, after we've had a one-sided centralization over time. This does not mean, of course, that the goal of turning the moving flow is not fixed. But if you're going to be able to achieve the goal of turning the movement current around, you have to at least first be able to slow down the movement current, then stop it, and then turn it around. This is a long-term work that we have undertaken, and which we are now doing well to implement with this budget line, with the help of a majority in the Committee, because it is important to have a wide range of instruments in order to be able to reverse the shift. It's not enough to build roads in District Norway, as someone thinks. It is also important, but it needs to be followed up by other instruments, both personalised instruments, skills-enhancing instruments and instruments aimed at strengthening business life in District Norway. It is primarily a municipal responsibility to facilitate housing construction. It is also a municipal responsibility to pursue a land policy that allows for cheap land and facilitates social housing, which makes it possible to establish itself at a reasonable cost. The State has a land available in Oslo, a land that the Government has decided to sell to the highest bidder. I think it is necessary to think well through the precedent that it would have if, in Oslo – in one of the most attractive areas – you wanted to sell a plot at a reduced price and do not do the same in other areas where you have a pressure on land prices and high land costs. But this is a question that falls primarily within the remit of the Minister of Labour and Administration, and which she may be able to answer in more detail.
ParlaMint-NO_1999-12-07.ana.ud560e941	The cord shift is over.
ParlaMint-NO_1999-12-07.ana.ud560e944	The budgetary position presented today is the result of a compromise. That's what it looks like. But for us in the Labour Party, it was important to turn the budget in a more correct political direction than when the government parties made budgetary settlements with the Right and the Advance Party. In one area, we see a positive trend, and that is in terms of the housing market. With Inner. S. No 100 for 1998-99 for St.meld. No 49 for 1997-98, on housing for young and disadvantaged people, and this budget compromise, I believe, we can correct some of the bias in the housing market. In addition, the government had an increase of NOK 2 billion to the House Bank in its budget proposal, and that's good. With the budget agreement that will provide 1000 new student homes, we will release reasonable dwellings that can be used by other tenants who also need housing at a reasonable price. The agreement also meant that we had to add 50 million. kr for rental dwellings. 6.5 million. kr of these are proposed to be converted into the commitment authorisation. I will admit that I had hoped that we would get to what was the starting point of the Workers' Party, namely that in addition to the student accommodation we would get to 1000 new rental homes. But the settlement is now once a settlement, we didn't get any more this time, but we got a good deal on the way. However, as the majority of the Committee, members of the Workers' Party, the Christian People's Party and the Centre say, we should follow closely the development of the construction and establishment of rental dwellings and, where appropriate, assess the appropriations and commitment frameworks for the revised budget for the year 2000. We are hoping that we will see a development in the housing market that shows that there are many and good projects, which in turn means that a demand for more funds is justified. It is desirable that the construction industry look for new and reasonable solutions when we are going to build rental properties. The majority, the members of the Workers' Party, the Christian People's Party, the Central Party and the Socialist Left Party, also indicate that there should be a stepping-up plan for the construction of several rental homes. These parties request that such a plan be specified in the 2001 budget. Concretely, this means that the number of rental dwellings per person. years must pass and the financial costs of an escalation plan must be in place. In the context of such a plan, the majority asks for an assessment of the setting of minimum limits for grants, both for rental dwellings and low-deposit dwellings. We rely on all parts of the construction industry contributing, our responsibility is to facilitate that the arrangements are reasonably predictable. Therefore, it is necessary to consider such minimum limits. Then we in our treated St.meld. No 49 for 1997-98, On housing for young and disadvantaged, one of the decisions taken was that the Government should set up a housing selection. A number of points were also set out on what Stortinget thought should be included in the mandate of the sample. One of these points was the role of public authorities in housing. It is a very central theme, as we see market prices exclude many from the housing market. Repeatedly, we've had enough of the government and the state council to get this sample in place. The Council of State has now said that the sample should be in work from 1 January 2000. But it's taken, to say the least, too long. The survey considered that the sample should have a few years on it, and now it is soon a year before the sample is in operation. It seems to me that there is almost some refusal to take political action in housing policy. I hope it's not like that, because both the Workers' Party and I believe that we need more, not less political governance. There is a great deal of construction activity in the case of nursing homes. It's joyous, because the older part of the population clearly wants a lighter housing situation when they get old. What's not good is that the municipalities don't seem to give priority to nursing homes. Therefore, an overall committee asks the Government to follow those developments closely. Developments in the prices of nursing homes are an absolute reason to follow. It is worrying that almost everyone who is offered such housing depends on housing support, because the construction costs have become so large. It must be an essential part of the evaluation, which will come to spring.
ParlaMint-NO_1999-12-07.ana.ud560e967	I want to start my post by saying that Norwegian municipalities today have enough resources and money to do their tasks in a highly satisfactory way. I have noticed that the Workers' Party writes in its comments the following: ‘These members are committed to strengthening municipal economic autonomy.’ Furthermore, I have noticed that in their joint comments, the government parties have a similar wording that says that ‘the government’s objective is to facilitate a good economy in the municipal sector’. This needs to be heard positively for both rapporteurs and municipal councillors across the whole country, those who have long complained about little money to the municipalities. There's a majority here for a big deal for the municipalities. But it's just that the comments I'm quoting from, with the big words of strengthening and creating a good local economy in the budget agreement between the two partners, resulted in a microscopic symbolization of something like 0.3 pst. in the budget. So it's something that, in real economic terms, is suitable for a particular strengthening or improvement of the local economy. However, one should note the comments made by the Labour Party and the government parties in the vote, that the debate on Norwegian municipal policy is too focused on getting more and more money for the municipalities. But more money for the municipalities is not necessarily the solution, as I see it, because the municipalities have never had more money to travel with than they do today. The error is not in thin municipal wallets, but in the organisational and operational structure of Norwegian municipalities. It is not useful to inject more money into an obsolete establishment and monopoly system that does not provide the right incentives for the rational and efficient use of resources. The obsolete municipal establishment structure and the local authority's protected monopoly position in the field of service production have resulted in municipal activities being unable to use resources rationally and efficiently. This is a challenge. Within a public monopoly system, where competition and market management are absent, there is no pressing need to operate efficiently and rationally, but this must be based on innovation and real change. The Norwegian municipalities have therefore gradually entered the behind. This is due to the fact that the political majority continues to dissociate ideological and political leaders in connection with the professional power struggle of the Commune Federation, and it has effectively prevented a process of more efficient conversion work, primarily based on competitive postponement and market governance in the municipalities. Due to the approximate monopoly position of municipalities in operating, for example, municipal technical services, elderly care and schools, municipalities have not had the same need to think about costs and quality as they do, and have done, in the private sector. And today we see the results. The money flows into the municipalities, but the system means that the municipalities are unable to use the money rationally and efficiently. It can't go on like that. The municipalities have to renew themselves in the pact with the time we are in. Municipalities must play along with the development of society around us. People today demand increased quality at the right price also from the public. And the question is, does a sheltered business like that? The main problem for Norwegian municipalities, therefore, is not a lack of money, but a lack of political will to release the potential for efficiency in opening up competition and market management, and to increase the diversity of offers and freedom of choice for citizens. This will produce far better results in the long term than simply injecting even more money into the municipal sector.
ParlaMint-NO_1999-12-07.ana.ud560e985	The State Council of Enoxsen was challenged on 2 December in the ‘Policy Quarter’ to give an example of how the Government has steered social development. What I was able to understand from the interview, and which was also the journalist's conclusion, was that after two years of work, the government would do something about district policy. So it is not lacking on purpose. What the Labour Party calls for, as was also done during the financial debate, is the political capacity to take the necessary steps in social governance. For the Workers' Party, it is important that authorities have a range of instruments that support a social development where the objective of maintaining the main features of the housing pattern is an important element. The municipal income system is such an instrument, perhaps the most important means of distribution policy for policy makers. It must be fair, at the same time as it should be so that, wherever you live in the country, you have access to the public service that meets the needs of business and individuals. A varied business life is the best prerequisite for maintaining the main features of the housing pattern. At the same time, industry itself, together with the authorities, must contribute to a more knowledge-oriented business. There is cause for concern, as the Government also writes in the budget proposal, when research shows that the business life of districts is significantly below the average for the proportion of employees with higher education. I agree with the Government that, in cooperation with the SND, will guide the existing instruments more effectively towards the knowledge-intensive industries. The biggest challenge in the fight to maintain the housing pattern will eventually be the struggle for competence. If we can't meet this challenge, the risk of getting a knowledge-based class division, which in addition will be geographically dependent, will be great. I think it is good and necessary for the Government to use relatively large resources in district and regional policy. But I have to say that the effort is too much target-oriented. This is also not easy, because overall social development is moving in many ways in the opposite direction. On the one hand, we spend a lot of resources on a regional policy initiative, on the other hand, we make structural changes in state-owned enterprises where the consequences are centralisation, often to larger centres. Therefore, no one sees the district policy reverse operation to which the government parties like to refer. In the last two years, the Workers' Party has warned the Government against the development we would then come within the offshore activities along the coast. These are establishments not only located in District Norway, but there are often corner stone holdings in the many communities now affected. I am pleased that the Workers' Party has included the government parties in a business package specifically designed for the offshore yards, the supplier industry and, in particular, the subcontracting industry. However, the problem is that the measures are too late, and too many forces agree to repair. Instead, the government should have acted in advance, been able to prevent and stimulate structural change, change and innovation. We can't expect people to live in local communities where jobs and life bases are torn away under one's feet. The government has also proposed two changes to the different employer’s tax scheme. One concerns changes in the geographical scope where 14 municipalities receive a higher tax rate and 39 municipalities receive a lower tax rate. The background for these changes is set out in the ESA Decision of 2 July 1998, which reads: ‘The Authority is not satisfied that regional transport aid is justified for all municipalities currently covered by Zone 2...’;» Then they refer to some states. It is possible that the government has made the right assessments, but the Stortinget put it in a forced situation, where the Stortinget had to adopt a change The Government had negotiated with the EU. And I remember that the Authority didn't say we had to make changes, but they weren't convinced that the system we had, which affected named states, was right. It was in many ways a challenge for the Government to convince the Authority that the arrangement we had was correct. Industry and the public sector in the 14 municipalities are facing unforeseen expenditure of 245 million. kr annually as a result of this change. There is reason to criticise the Government and the Council of State for misrepresentation and poor communication with the municipalities affected before the decision was taken. I would therefore like to briefly point out that there is broad agreement within the Committee that the Government should return to the Grand Duchy, at the latest in the context of the revised national budget, with an assessment of possible measures to compensate for the increased costs incurred by municipalities and businesses.
ParlaMint-NO_1999-12-07.ana.ud560e1012	In our general remarks, the Right has explained its desire to shift the economic effort from a broad, comprehensive rural policy to a general framework for business – especially small and medium-sized enterprises – and to infrastructure, accessibility on the road. Last Saturday, some of us spent the whole day rehearsing and documenting the need to complete the road system “Jakobsen’s incomplete ones”, which it is said to be hauntingly in connection with a former Minister of Transport. The situation of this road and bridge section in Dalsfjorden in Sunnfjord is an example of the consequence of reprioritizing locally, followed by drought in the allocations of national roads. In addition to this, and pending the use of county roads, the fishing industry in the same area tempts a miserable existence of irregular ferries which would preferably have been replaced by interlocking county roads. It is in such areas that our export values are created. Right-wing policy is just about caring for the interests of these creative business environments. Enhanced living and working conditions and improved opportunities for the transport of raw materials and products are a more offensive and effective way of meeting tomorrow than just having a constant fear of short-coming labour market measures in an unemployment situation. In the course of the year's completed questionnaires in this room, the Workers' Party has constantly seen gloomy future unemployment rates, which fortunately have not yet manifested themselves in reality. In this perspective of possible unemployment, I do not remember hearing representatives of social democracy call for in principle better framework conditions for business as the most effective measures. No, an unshakable belief in labour market measures has brought some from a time of formidable resource use in this sector. We believe that skills are to a large extent to be acquired in the education sector and that competition on the rental and distribution side will increase flexibility in the labour market. It also has a section on the issue of cohesion policy. We in the Right have registered the desire of the Government and the majority to increase the power of the Sameting. On the right, we have seen the value of the increasingly management of the Sameting system of resources and regulations relating exclusively to cohabitation, culture, language and peculiarity. The majority have neither previously nor now been willing to state that this should not be at the expense of the non-Samian population. It is therefore necessary to read the proposed extension of the powers of the Sameting with scepticism of the non-Samian population, for example. pending the processing of the suspension of the Joint Committee. This also applies to issues related to the Mineral Act. Finally, the right looks forward to a more general debate on the Committee's work in the coming year. I hope that loss compensation related to the municipal income system can be made superfluous through critical changes. On the basis of the Right’s proposal, it also appears that the Task Distribution Committee will extend its mandate to include the principleal existence of the county municipality. Thus, it is also very gratifying that today's county seems to be captivated by its political moorings, and we in the Right will, of course, market the other two levels of government. Should we get concrete results from this debate, an exciting side effect would be that we get increased focus on the need for a robust and competent primary municipality. On the right, we want some political carrots to encourage the necessary changes here too. From my point of view, there is no doubt that public resource use will become more targeted if we stop introducing municipalities solely to be small.
