ParlaMint-NO_1999-03-04-lower.ana.ud2401e37	The representative Sverre J. Hoddevik will present a private legislative proposal.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e389	Replicate cord shift complete.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e392	So today's attitude is about the law that regulates rents and rental agreements between landlords and tenants. At the same time, there will be much to say about the availability of apartments on the rental market and much to say about the structure of the contracts concluded. However, let us state at the earliest opportunity that we are ending the process of abolishing the rental regulation law today. It has passed through the 1990s – from the Government of Syse in 1990, the preliminary selection that appeared to be the setting in 1993 has been reduced. Today’s treatment of the drug now ends an over-modern process, in which we will mainly discuss the content of a new housing law. Housing regulation law – the strict regulation – will be liquidated on its own against SV’s votes. Right is satisfied with the new law on the deposit of rent, which is dealt with in Sections 3 to 8. We are particularly satisfied with the assumption that § 3-8 about landfilling is not applicable to local rents. The general rule here is that the laws are different for such rental conditions, except for very special precision. Likewise, we are happy with the leading legal text on the handling of deposits. The forfeiture of the rent could amount to a much larger and economical amount than, for example, clean-up costs. The lessor's controlled right to the due rent is the most important point here through the deposit. When it comes to future lease fixing, we will continue that market rents should gradually be accepted as a fair deal. The competition that the plural now introduces, if the rent is repeated, we're asking the corresponding question. If this proves to be something other than market rent, which is dealt with under § 3-1, it will have an impact on the way the market will behave, and also on the choice of the contract form by the parties. This allows for a recovery of fixed-term contracts. Nevertheless, strong rental rights may have an impact on the available volume of rentals. What is particularly true of the Norwegian market is that most of the rental volume is made available to unprofessional individuals. Should this market partially dry up due to the refusal of the landlords, this will obviously affect the tenants for whom the majority has been consulted. Therefore, it is also that the Right is in favour of greater flexibility with regard to the time-limited lease. There is not only long-term security that is the current argument in this debate. As I said, we left a particularly strict lease market where the lessee is not as uniform as many people want it to be. Otherwise, the rental market is, of course, at least as much characterised by different categories of housing-seeking with different needs, even in the case of long-term sustainability. Individuals in short-term work situations, 35-year-old brokers without a particularly long housing horizon, hardly need the majority's involvement in long-term solutions and settlement protection in fixed-term contracts. This setting describes a situation where the combination of time-limited agreements and public urban renewal decisions invokes expropriation as the key to solving these problems. This suggests that both the Progress Party and the Right are unnecessarily complicated, and therefore promotes the following suggestions in the option: ‘The lessee may not oppose rehabilitating after regulation for renewal, remedial programme or improvement agreement with the municipality, provided that, after rehabilitation, the housing space is still suitable for the use of the lessee. Such rehabilitation provides the basis for tenants to cancel the lease. ‘... We think this is full height with the corresponding grounds for cancellation in fixed-term leases. Furthermore, there is reason to point out that the majority of this legal text lowers the level of precision from the previous legal rule with regard to the deadline to point out that there is less lack in taking over a dwelling. In our opinion, the continuation of today's 14-day deadline will be clarifying what we mean by reasonable time associated with less is missing. In addition, our opinion is that the greater lack is the owner's responsibility, regardless of the deadline. So a little bit about the opening in the recommendation for a prescription, given the amount of rent, rental stop and maximum rate of rent. In our view, this is not an insignificant step backwards in relation to the fundamental right that we now obtain for private ownership. Should the need to intervene at any time report itself, it is our view that the temporary law of decision in Stortinget should come up with a speech rather than leave the question to the Government. Finally, some words about the process attributes. Right is in the plural that opens up for experiments with the house rental selection. This will be a three-year testing scheme to be evaluated. Here is a point that the Government is authorised to suspend the provisions of the Conciliation Board in these cases. But the Right will go month by month beyond the plurality of saving time and resources by opening up to the general bypass of the Conciliation Council in such cases, if the parties are some about this. This comment is made concretely in proposal No. Four, which we're dealing with the Progress Party. I'm addressing Right's suggestion.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e419	Mr. Hoddevik has drawn up the proposal he referred to.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e422	It is positive that a new house rental law is now adopted, and that at the same time it is clarified how the strict house rental regulation of a number of pre-war apartments in Oslo and Trondheim should be abolished in 10 years. In the opinion of the Centre Party, a good balance has been achieved between the security of the tenants and the interests of the lessors, so that the interest in renting out is not diminished. There is a broad consensus on lifting the strict house rent regulation, and that this will take place over ten years. It is obvious that these apartments have represented a good deal for many, and that many of them can now have financial problems when rentals are going up to market prices. In order to reduce these problems, the Ministry proposes that residents be entitled to housing aid. The Committee has agreed to this. They do not have such a right to housing allowance today. In some cases, estimates show that housing aid results in actual housing costs being lower in the first few years than those currently in use. The majority of the Committee, all with the exception of the Right and the Advance Party, have been concerned about the situation of those who currently live with the lowest rates of rent. To avoid sudden changes for these, a maximum increase of 20 pst is now adopted. rent each of the nine first years of this 10-year period. In some cases, the price jump in the tenth year may be greater than if the increase had been as the ministry provided. Based on some practical cases I have been familiar with through enquiries lately, I am pleased with the restriction that has now been included in the legal text. Another theme of the Committee’s discussions has been the creation of a host-leaders committee. Recordings about this have come from the Consumer Council, NBBL, the Leieboerforeningen and the Landsförbund. In consultation with the Ministry, the entire Committee, with the exception of the Advancement Party, asked the Ministry to initiate proceedings with such a dispute body in Oslo and, where appropriate, in several municipalities. It is imperative that the parties cover the costs of the proceedings and that cases dealt with by the disputed body be exempted from proceedings before the Conciliation Council if a case is requested before the ordinary judicial system after the proceedings in such a disputed body. I hope that this arrangement can prove to provide faster and cheaper solutions to house rent conflicts and relieve the ordinary legal system for some minor matters. I expect that we will come back to this with a view to making this a nationwide system. In an attempt to find the best possible balance between the interests of the lessor and the lessor, the Ministry's proposal on the right of disposal of the deposit has changed in the favour of the lessor. The entire committee, with the exception of SV, believes that the lessor should be able to deduct unpaid rent from the deposit without the agreement of the lessee. Expenditure on cleaning, cleaning and repair shall be eligible, as proposed by the Ministry on the basis of the signatures of both parties or a judicial decision. In sum, I believe that the new law provides greater security of living, and that what people rent with a background in the new law has a greater value than it has been before. The right is a little worried about, I guess, that the rules might be so that some homes may not be rented out and that some people are going to get it harder on the housing market. I think the situation becomes so that it is the disadvantaged who get the biggest problems, and who have to be at the back of the line anyway. I think it is good for them that there will be stricter rules for discarding or for cancellation, and that access to shorter leases will be limited in relation to what it has been.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e435	It's going to be line change.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e438	The Ministry proposes that in houses where the lessor has rented five or more dwellings, a trust elected representative should be chosen. But the ministry is not willing to give the trust-chosen real influence, it's only going to have an advisory function. It's just a half-hearted willingness to give the tenants influence. The Workers' Party, together with the SV, has made a proposal asking the Government to return to the Stortinget with proposals to ensure that the trust-elected residents' representatives have a legal right to influence. The centre party will not be in such a legal right. It's disappointing. The centre party very often shows that they are concerned with caring for the weakest, and there is no doubt the lessee in a relationship between the lessee and the owner. But here, the civility of the Senterpartiet turns out – it is most important to take care of the owner of the house. What is it that the Centre Party will not participate in such a legislative change, which would strengthen the rights of tenants, help to improve the cooperation climate and give the trust-chosen real influence?
ParlaMint-NO_1999-03-04-lower.ana.ud2401e446	It is correct that we have been invited by the Workers' Party to participate in a decision that this should be tightened up as soon as possible by the Ministry. We don't want to be part of it. The real influence of the trust-chosen as it is now, is not dictated by the Storting, but I assume that this is something that is going to be developed in the individual housing situation. I think it is important to try this out, not to say that no matter how this works, we should review it as soon as possible. It is right that the lessee is weaker than the owner in a relationship like this, just as it is in a workplace that the employer is stronger than the employee. Then we make a law that protects the weakest, and that's what we do in this law. I believe that on point after point we strengthen the housing security of the tenant. This is based on the experience we have had for many years with the previous law. If we have gone too far – I doubt it. I mean, as I said in my post, we've found a useful balance. If we went much further, as the Workers' Party might want, I think it could have gone so far Right Fear that it is now going, that fewer apartments and dwellings become available for rent, and we will certainly not have earned it in the situation that we are in now, where there are at least some places in the country where there is a significant lack of apartments for rent.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e455	Just a short line to Morten Lund from the Senterpartiet. Morten Lund said he wanted a strong protection against dismissal. It sounds lenient and orderly. But the problem with a strong cancellation protection is that a landlord who gets a request from someone who wants to rent will be very careful with whom he rents out to when the cancellation protection is so strong. Those who are judged to have problems will get sick before they get even rented. On the other hand, a strong protection against dismissal will strengthen those who already have no major problems in getting a dwelling. What does the Center Party have to say to that? This is a paradox. But as I see it, that's exactly how it's going to work. Those who have problems will be starved, and will have major problems getting a lease at all when the protection against dismissal is as strong as the Center Party wants it.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e460	I disagree that the protection against dismissal is so strong. It will still be tempting for economic reasons, and for most owners imperative, to rent out more than those that are ideal tenants. The system we've gradually been given with the house market regulations makes the rentals so high that the owners earn acceptable. The market price will take care of that. But then serious landlords who want people in their apartments have to realize that there is a need for home security for those who are going to live there, that's part of the product, and they have to accept that people are different. There are people who smoke and people who play music – and there may be other negative things about people who maybe some landlords don't want. But there'll be someone standing at the back of the queue if there's too few homes for rent, and I think we have to do what we can to stimulate more construction, actually for construction beyond what the market principle offers, as we do, for example. sees it in Oslo now, where there are too few dwellings. It goes to the degrees out over the weakest. And those who have something to rent out serve too much, in my opinion, without what should have been required of them.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e465	No more words have been asked for.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e468	I would first like to address the suggestions that SV has made in the setting. This case is very closely linked to the case we have dealt with before today, namely the notification of housing for young and disadvantaged people. There is an overweight of young people and people with poor advice among those who are on the rental market and who are renting housing. Therefore, in regulating this, it is very important to take into account the fact that there is a rather uneven strength ratio on the rental market. And the crooked force ratio increases because there's so too few cheap rental homes, and there's very few rental homes in general. The Norwegian market differs significantly from the housing market in neighbouring countries and other European countries by different approaches in this area. It also stands out in the press areas by the fact that there are sky-high prices. And this we have to consider when we're going to look at how we're going to align the law, because a dwelling is not the same as a car, a bread or something else we buy and need – as I said in a line instead. It is a very basic good, so fundamental that SV wants it to be constitutionally established. This must be taken into account in the law, because we believe that everyone should live safely, whether they own or they rent. Many people don't have the ability to own. Being able to settle in a permanent home in a rental relationship is important. Several will choose such housing in the future as well, without necessarily being disadvantaged for that reason. Increased education, mobility and changing lifestyles make it more topical. And that freedom of choice between owning and renting believes SV should be increased. SV has agreed with most of the changes that have been proposed – I will not spend much time on it – but we stand alone to believe that if it is possible to assume the deposit sum in relation to the disputed rental, there must be written consent or a final judgment. In the question of extended rental if the lessor is still to rent out, we are also alone. I think the representative Odd Eriksen instead misunderstood what I was talking about, because this has nothing to do with the lifting of the house rent regulation law. This is simply a provision in the new House Rental Act, and the SV's point is that the tenant must have the right to continue to rent if the dwelling is to be rented out normally in the open market. It is precisely the security of residence that we are looking for, and the provision does not prevent the lessor from ending the rental relationship if there is a real reason for it, for example. that the owner shall use the dwelling sjl, or that someone in the household shall use it, or that the tenant does not fulfil his obligations under the lease. We've also gone to the point of borrowing for rent. We have had some doubts about this, but we are concerned that there will be a queue manager in the queue of those who need an organized dwelling and have lasting problems. We have wanted to assess such a scheme in a broader context, looking at how this works with the various grant schemes, for example, and how to prevent it from becoming a queue, so that those who have the opportunity to submit such a loan come to the front of the queue. Apart from that, we also see that we are gradually getting quite a number of pensioners who have great opportunities and who should actually help to solve their own housing needs in the future. Otherwise, SV is happy that there has been a majority for the creation of a housing permit committee. We view it as a system that can evolve over time into a nationwide system, which we want. We want this to evolve towards rental agencies that can participate in and discipline this market and prevent unreasonable rentals, but also resolve conflicts, because we know that conflicts in this area are escalating. And if you don't have any arrangements before you get to the courtroom, it can quickly lock up, and you spend a lot of time and resources and money, and get stuck in a conflict that might be solved in a simpler and more reasonable way for all parties. SV stands alone to oppose the lifting of the house rent regulation law, and that is because we believe that we should have got up and stand on the legs of a non-profit rental sector first, so that people had an opportunity to choose something else. We want to vote against the lifting of it, because we think it's the wrong time to do it. Questions need to be asked about what is most important in the housing market now. For SV, it is most important to ensure that there are more poor advice that gets a dwelling they can pay. It is first on the agenda for us. If we're deregulating now, that means that more people are having problems paying the rent. We see that there may be some justice considerations in relation to who lives in these apartments, and who does not live in them. It's a fact that very many of the people who live in them are, retired or students. The average of those living there has less income than others. It doesn't mean that everyone is directly in need, but the point is that if we do this now, there'll actually be more problems in the housing market. Therefore, we believe that it would have been right to wait, because none of these dwellings are released so that those who have poor advice can get them, even if you deregulate them. There is a wrong instrument in a situation where there is a desperate lack of cheap housing. I refer to the government's letter to the committee, which says that we today lack 50,000 rental homes. Many of them should be reasonable. What we're talking about now is a lot of thousands – 12,000 cheap homes – that will eventually disappear from the market. It takes the jam some time before we can get enough rental homes, at the rate that it seems the Stortinget has planned to add up to the construction of rental homes. What we're doing today actually contributes to the situation on the housing market getting worse and not better, and it's very worrying. We have also seen that these regulatory provisions have been very important to prevent prices from being taken out of stock, and that the provisions have not prevented the necessary refurbishment and subsequent increase in rent. What's also bothered us is that there have been no calculations on how this will turn out. What problems will each individual face when this happens, and what problems will the municipalities face? No particular consideration has been given to how this is to be solved, or to who it is to pay when it is, for example. financial problems arise. How much will this turn out to be in increased social assistance, who will have demands for housing support and how much? In fact, the legislation now exists among those living in these apartments who do not want housing support. So to a problem I've raised before. People who have lived in such apartments for a long time have often cleaned up at their own expense. Will they now have to pay increased rent for the increase in capital that they have paid? How are they going to get a right to some of those values if they can't afford to live, but they have to move? It's hard to be sure that, as the representative Gedrem said instead, they might think this is okay because they've lived cheaply for so long, and this will be compensated over time. It's not sure it's like this in any case. It's actually a problem that you haven't secured orderly justice around this before going to a deregulation. SV has realized that this strict provision of the regulation law is impossible to fight against. That is why we have proposed a more cushioned increase in the price of these dwellings, by 10 pst. – i.e. index adjustment plus 10 pst. per 1 % years of rent. It's essential that this is the basic rental we're talking about here. SV promotes this proposal, because we believe that it would provide a stepping-up of the rent that we believe most people could live with, and that would create fewer problems both for those who live there and also for the municipality, which in that case had to deal with housing solutions – which we know that the municipalities in the press areas do not have at all.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e498	Karin Andersen has drawn up the proposals she referred to. It's going to be line change.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e503	I want to put Karin Andersen's thinking in a slightly larger perspective. She says that housing is a fundamental need, that everyone should have a place to live and provide lower prices – and she states that there is an overweight of weaker demands on the rental market. This should therefore be achieved by means of political regulation. It starts with an expropriation of our best agricultural land at a poor linoleum price, and then it continues with housing-subsidized housing, and then you have to have rental regulation. What does this mean in a district policy perspective? This means that the resources of society are deployed to make urban living cheaper, and cities will become more seductive and more competitive in terms of competition for the population of Norway. Can it not be seen that this policy is the true opposite of district policy? Now you are suddenly concerned that there are not enough people in the cities. But the ratio is that people are streaming into cities, and that's why there's too few homes. Then you're so worried that these don't get housing, and therefore you have to try to get them housing, with the result that the districts are being emptied. Then, political regulations or public funds must be used to ensure that people live in the districts, despite the temptation to move to the city. That's really the dilemma.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e517	It may not be so original to think that making it expensive, bad and difficult to live in the city would be a good district policy. It's possible to think like that, I don't think it works. It is actually cheaper to live in the districts now, and in the areas of relocation it is possible to get a very reasonable and good housing. That's how it works, and it's an instrument that we've seen doesn't work. There are probably other things than the housing price that determine where people are going to live. But it is quite right, as the representative Fridtjof Frank Gundersen says, that SV wants more public involvement in the housing sector than what we have today. We want primarily to spend the money in a non-profit residential sector and to build a lot more student homes. That's the most important thing, because then we know what we get, and we know how much money we spend. We have this structural element in housing policy, which Norway lacks almost entirely today in relation to all other countries, and which causes the imbalance in the rental market to be as high as it is, and which makes us feel that we need to have quite strict provisions in relation to the rent regulation law, so that the weakest party is given the strongest protection in this law. We see that this is necessary because the tenant is in a significantly weaker position than the lessor is.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e524	The representative Andersen stated that SV agreed with most of the things that the department had proposed, and that is not so strange, because for the purpose of the law it is said that the law should help to ensure that tenants of housing can have a high degree of housing security. And it says that tenants should, among other things, be confident that they will not be terminated for no cause of action. It also states that the purpose of the law is to contribute to the establishment of a well-functioning housing market. Nevertheless, in a debate with the representative Aud Gaundal in Political Quarter this morning, Andersen claimed that it was not right that part of the law was obsolete. The House Lease Law Committee gave its position in 1993, NOW 1993: 4 House Lease Contracts Act, and the bill is based on this. The 1995 housing survey concluded that it was about 460000 rental dwellings — except housing companies and housing companies. The study by the Norwegian Construction Research Institute in 1992 shows that the strict regulation covers only approx. 12 000 dwellings here in Oslo and 1 800 dwellings in Trondheim. Does not the representative Andersen see that it is very unreasonable to maintain the strict regulation, when one has exceptions for state, county municipalities, municipalities, settlements and single dwellings and two-man dwellings? Doesn't Karin Andersen see that the old law is now a outdated law?
ParlaMint-NO_1999-03-04-lower.ana.ud2401e531	It is true that this law is old, and that it occurred in a different time and under different conditions than what we have in the housing market today. It is true that it is possible to demonstrate unfairness in relation to how this turns out, which I tried to say a little about in my post. But the point for SV is to try to focus on what we think is the big problem in the housing market today, namely that very many people lack housing, very many have poor advice and have problems getting housing, and many are unable to do it. And then we've tried to think this way: how does this work if we remove these regulation provisions, when the market is like that, and the Stortinget hasn't come so far that we've got a real bet on the construction of student homes or non-profit rental homes? We haven't been able to put any measure on this yet, we just have some statements of intent. When we see that this will actually lead to the problems in the housing market getting worse for those who are having trouble, we have chosen to take the most account of it. We do not ignore the fact that there are any unfair points here, but for us the most important thing in this case has been trying to do something about the most serious problem first. Once we get started with such a non-profit residential sector – and we can set targets for both it and student homes – that will make us feel confident that people have a different choice and that no more people will get into the housing market that will have even greater problems, the time is ripe to remove these provisions.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e537	My claim is that the reason for the lack of housing and a major reason for the move to cities is that the natural market mechanisms that would have slowed this move have been abandoned by means of political regulations that Karin Ander Sen, on which an avid district police spokeswoman, is just following. She says in an answer to me that she doesn't believe that it's the housing prices that are crucial when people move in to Oslo. But at the same time she says that housing is a basic need and therefore needs to be regulated more than all other areas. When this is a basic need, it should also be thought that it is of fundamental importance for people to move. I don't think you can get away from the fact that this is a dilemma that needs to be taken seriously, when you're concerned that the districts are being emptied of people, and you can do what you can to build more homes and get cheaper housing in the cities, with the result that more people are tempted to leave the districts. So there is a problem that there are few homes, and the reason is that there are so many from the districts. This is a typical example of a lack of overall vision, as sectoral politicians who are supposed to satisfy different groups in society simply lose sight of it. That's why I wanted to say it in this debate.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e548	No one is surprised that I disagree with the representative, Gundersen. He explains my and SV's position that we lack a holistic view. No, I don't think so, but we actually want to have a system where you not only use the market, but also control. And then there are different forces that work, both in terms of moving and in other areas. There are a lot of reasons for people's choice of residence, and we who are involved in district policy have some thoughts about what it is that works and does not work in that context. Work and school are at least two very important arguments. Schools, and school places, are largely centralised — there are very many students and students travelling to Oslo. Therefore, a large-scale investment in student housing will at least have no greater regional policy impact than the situation today, and is probably the segment of the housing market on which you can invest without enhancing the flow of moving. I see that the representative of Gundersen has a point when he says that establishing more and cheaper homes in the big cities can reinforce the flow of moving. There will be a lure element in addition to some other elements that a large city is now attracting, and that obviously drags. The problem here is that you want to weigh a lot of visions up against each other. We therefore believe that the market can function in a number of areas, but that the market must be regulated, especially in those areas that cover the very basic needs of human life – and housing is one of them.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e557	So the line change is over.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e560	I am pleased that the work on the new law on rental contracts has come so far that the setting is now for treatment in Odelstinget. As you know, the Ministry of Local and Regional Affairs has put forward proposals for a new law on rental contracts in Ot.prp. No 82 for 1997-98 on 18 June last year. The law is based on the suspension of the Husleielov committee, NOU 1993 nr. 4th@item: inlistbox The law will replace the house rental law of 1939 and the rent regulation law of 1967. The new law will regulate rental contracts for both dwellings and premises. In designing the bill, the Government has had two main objectives in mind. On the one hand, we have been concerned about protecting the tenant's dwelling in order to achieve as much security as possible. Safety and stability around living conditions mean much to the quality of life of individuals. We have therefore seen it as important to ensure the lessee against unfair terminations and rental increases. Nor shall it be possible for the lessee to be thrown out for no objective reason, and neutral bodies shall be in place to settle any disputes between the parties. On the other hand, it has also been an objective to facilitate a well-functioning rental market. The protection of the lessee must therefore not be so strong that it removes the motivation of the lessor to rent out vacant dwellings. This is particularly important in a rental market dominated by non-professional private landlords, as we have it in Norway where this group accounts for a total of 60 pst. by the lessors. I believe that the bill in the bill takes into account and cares for the interests of both the tenant and the lessor in a balanced way. I am very pleased that there is a majority for most of the proposals in the proposal, so that what the Government has proposed is adopted. I note that a large majority have joined the Government's proposal to wind up the "strong" house rent regulation in Oslo and Trondheim over a decade. Although the proposal will lead to higher rents for the affected residents, I believe that the proposal is correct, not least because the house rental regulation law does not allocate the regulated dwellings to persons with special needs or by social characteristics. Thus, the law implies a totally random economic advantage for the tenants that obtain such a rented dwelling. There are many examples of rental conditions where rentals are not particularly difficult, but nevertheless low housing costs have been compared to and compared to other social groups. I have noticed that the majority believe that the rent including the changes in the consumer price index should be increased by a maximum of 20 pst. per 1 % for the first nine years, and for the 10th year to be set up for market rental. Of course, I take note of the majority's wishes, but I must be allowed to state that I am somewhat skeptical about this arrangement of binding the rent increase to certain percentages. With a very low rent, even 20 pst. increase leads to small additions in crowns and ears. The result, therefore, may be a formidable increase in the tenth year. After my assessment, it would have been better, and more predictable, if we had had a steady rental increase throughout the liquidation period. But as I said, I take note of the majority's wishes. The government has been and is committed to securing disadvantaged residents. Let me therefore remind you of the proposal we put forward in the 1999 State Budget, which ensures that residents are offered housing support to the House Bank. This is important in order to address any financial problems encountered by the residents. The assumption is that the residents concerned meet the household type and level of income requirements in the same way as other households receiving housing support. We have made some calculations to figure out how this could work and let me show you one example: a pensioner who currently lives in such a dwelling and pays NOK 3000 does not have housing support. At NOK 3000 plus 20 pst. So if you increase, you get a rent of $3,600. In such a case, the housing allowance will be NOK 1 852, and the self-payment for the rent that the pensioner will have to pay after this conversion will be NOK 1747, i.e. almost half of what he is paying today. The new law will improve predictability of the development of rentals. At the time of conclusion of the lease, there is a prohibition on agreeing unreasonable rental prices. Later, each party may require annual adjustment of the rental according to changes in the consumer price index. Every three years, the parties may require an adjustment of the rental to average rentals in similar conditions of rental. This will counteract large differences between legal rentals and the general level of rentals in other comparable rentals. The practice of using short-term leases has developed over several years. The purpose of such time limits has been to set aside the lessee's protection against dismissal. With a view to reducing the possibility of such abuse, the lessee will now, as a general rule, be entitled to a minimum lease term of three years, using fixed-term leases. Lives in the landlord in the same house and it's about, among other things. renting of a dwelling on the ground or on the ceiling is the requirement for a minimum period of one year. The lessor may also enter into shorter-term leases if the lessor himself or someone belonging to the household is required to use the dwelling or if there are other factual reasons for the time-limit. With these and some other proposals, I believe that the interests of both parties have been properly safeguarded. I record that the majority wants to try an alternative dispute resolution body in the Municipality of Oslo. The aim shall be to reduce both the costs and time-use of house rental visas. The intention of the proposal is good, but I am somewhat skeptical of the proposal, as it appears both in the proposal and in letters from the Ministry of Local Affairs and Regional Affairs. Long-term problems and high costs of court proceedings are, of course, a general issue of justice policy. In my view, therefore, such problems should be solved by improving the effectiveness of the judiciary and the rules on free legal assistance, not necessarily through specific arrangements in some areas of law, as provided for. But, of course, I will follow up the majority's desire to carry out such an attempt. As I have pointed out in the letter to the Committee, it requires a new code before the experiment can begin, and it will therefore take some time before the experiment can be launched. It has been mentioned earlier in the debate here, among others. Mr. Karin Andersen pointed out the problem that might arise if a tenant has cost a lot of his apartment and now, if necessary, will start paying more in rent. I would like to draw the attention of the representative Andersen to § 4 – 3, adaptation to the rent of the gang, where it says in particular that the rent determination is to deduct the part of the rental value that is due to the improvements and efforts of the tenant, so I believe that that concern is not relevant. Finally, I would like to say how pleased I am that a large majority have joined the proposal to give tenants the right to choose a trustee in properties where the same landlord rents more dwellings. I think it might have a positive effect on the management of the property and promote well-being in the housing environment. I also believe that trustees can give good advice to the lessor on issues that are of common interest to the lessors, as well as to the lessors.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e588	It's going to be line change.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e591	The Council of State has received broad support for its proposal for a new house rental law, and I am aware that the majority on which the law now rests, because the Council of State is a pleasant majority. The Labour Party agrees that the law provides the necessary security for both families and lonely people who rent housing, whether it is too short or too long. However, the lifting of the house rent regulation may mean a certain uncertainty factor for those affected, and many of the inputs made to the committee indicate just that. The question to the Council of State will be how the State will ensure that this will not get unintended results in that some lessors will increase the rent beyond what the majority assume in the appointment. In contrast to the Government, the majority of the Committee has otherwise found that it would like to set up a Houselord Committee, which was also the subject of the Council of State, and which is based on a probationary system in one or more municipalities. The majority assumes that the defendants will initially cover the costs of the arrangement themselves. However, I would like to stress on the part of the majority that, in order to realize the creation of a housing permit committee, the Government must consider the need to provide financial resources. Now the Council of State also says that it will take some time before a law on the rental commission will come into place. The question then arises: does the Council have any idea of how long it might take to have such a dispute resolution mechanism, as outlined in the setting, on foot and to work?
ParlaMint-NO_1999-03-04-lower.ana.ud2401e600	I understood that the first question was raised by the representative's concern about whether there were some landlords who would now increase their rent by more than 20 p.m., which a majority in Odelstinget is in favour of. But it's clear that what Odelstinget now decides is what should be followed up, so I don't think there's any reason to have any concern there. Actually, my concern is more about what can happen in the tenth year of a while, but that's what I said in my post. Of course, when it comes to the creation of a housing permit committee for Oslo, we in the department will work on that legislation as soon as possible, without it being possible for me now to say how many weeks or months it will take. But if we're to get this done in a proper and proper way, so that this is an experiment that can give us a real basis to see if we should go ahead with it when the trial system is over, we have to do a thorough pre-work, so that we don't start anything that turns out to be a failure. Therefore, I ask that we have time to do this properly, so that the test system we are now running is quality-proof. As far as the pleasant majority is concerned, I have to be allowed to say that I've been happy for everything I've been given the majority for in Stortinget, I'm happy for everything I get consent to.
ParlaMint-NO_1999-03-04-lower.ana.ud2401e609	A central theme here today has been the timing and timing of leases. The vast majority have been very satisfied with the law that it should be impossible to enter into fixed-term leases for less than three or one year. But then it is that the law allows for a number of exceptions to these provisions. In the case of access to a fixed-term lease, reference can be made to the use of the dwelling as a dwelling of the lessor. Then a rule can be waived. If the lessor has "other factual reason" for the time-limit, the time-limit rule may also be waived. In the case of an indefinite lease, in particular in the case of termination, a reason may be given that the dwelling is to be used as a dwelling by the lessor or by someone belonging to the household, that it is a demolition or conversion, that the lessee has failed the lease or that there is any other material reason for the termination of the lease. The point is that there are a number of ways of adapting to this, which actually seem to be able to be done in such a way that these provisions can actually be circumvented, so that they have no real significance. My question is then: if this is possible, why in the world are we going to have these rigid rules?
ParlaMint-NO_1999-03-04-lower.ana.ud2401e622	In the beginning, I thought that the representative Torbjørn Andersen had changed his mind during the debate and would still go in order for us to have fixed-term leases. But then I understood that it was the possibilities to make exceptions that he believes are too extensive. I am a little surprised because I understood from the conclusion that the representative would nevertheless not have fixed-term leases. As I said in the introduction, we have tried all the way to balance between the tenant's consideration and the lessor's consideration. And when 60 pst. It is important that we create a system that actually allows us to get into the market as many rental homes as possible. It makes us set a year if you're going to rent out your base apartment, or you're going to rent out the ceiling apartment, if you have it. That is also why it is possible to enter into a shorter lease if a family itself needed the whole house. I think that if we had been too rigid there, it would have led us to get fewer apartments out on the rental market. And we've been busy getting to the rental market as many apartments as possible. That's why we've tried to take both sides into account, and I think we've managed to find a golden middle ground between consideration for two different parties.
