ParlaMint-NO_1999-03-02-lower.ana.ud164e44	Councillor Anne Enger Lahnstein released 2 kgl. propositions [[see under Unit]]
ParlaMint-NO_1999-03-02-lower.ana.ud164e404	I just want to confirm what the case spokesperson was about, and what the Minister of Finance asked for confirmation. What has always been the main concern of the Committee is that housing law should be able to continue to operate without funding, but who should be charged when it comes to commissions has not been part of the debate we have been conducting. So if the department thinks this is a distortion of competition, it's clear that they have to look at that particular piece and come back to the committee or the Storting when it comes to it.
ParlaMint-NO_1999-03-02-lower.ana.ud164e409	No more people have asked for the floor on case No. 4th@item: inlistbox [[Footing, see page 302]]
ParlaMint-NO_1999-03-02-lower.ana.ud164e417	The odelsting shall vote in case No. 1-4.
ParlaMint-NO_1999-03-02-lower.ana.ud164e423	Two proposals have been put forward during the debate. It's: proposal No I, by Mr Voksdal, on behalf of the Group of the European People's Party (Christian Democrats) and European Democrats, on the proposal No. 2, from Jan Tore Sanner on behalf of Right Opening for voice explanations.
ParlaMint-NO_1999-03-02-lower.ana.ud164e435	If our proposal against presumption were not to reach a majority, I would recommend that the representatives of the Progress Party vote in favour of the proposal from the Right that Document No. 8:110 is annexed to the Protocol.
ParlaMint-NO_1999-03-02-lower.ana.ud164e440	President. — The next item is the joint debate on the following motions for resolutions: 1, from the Progress Party, and then alternately between the recommendation of the Committee and proposal No. 2, from the right. The proposal from the Progress Party is:
ParlaMint-NO_1999-03-02-lower.ana.ud164e519	The suggestion from the Right sounds: ‘Document No. 8:110 [[amendment of Section 65, third paragraph, to remove the background to a number of conflicts associated with these municipal charges]]
ParlaMint-NO_1999-03-02-lower.ana.ud164e530	The President assumes – and has been confirmed – that the Progress Party will support the right subsidiary proposal.
ParlaMint-NO_1999-03-02-lower.ana.ud164e664	The title of the law and the law will be the subject of a vote.
ParlaMint-NO_1999-03-02-lower.ana.ud164e671	The legislative decision will be sent to the Saving Decision.
ParlaMint-NO_1999-03-02-lower.ana.ud164e677	During the debate, Siv Jensen, on behalf of the Progress Party, has presented two proposals. Proposal No. 1, from the Progress Party, reads: ‘The Government asks the Government to bring together the petroleum tax provisions as its own chapter of the new tax law. ‘... Proposal No. 2, from the Progress Party, reads: ‘The decision asks the Government to bring together the company tax provisions in the new tax law in a separate chapter. ‘... Both of these proposals will be sent to the Stortinget in accordance with the fourth paragraph of Section 30 of the Rules of Procedure.
ParlaMint-NO_1999-03-02-lower.ana.ud164e6583	The title of the law and the law will be the subject of a vote.
ParlaMint-NO_1999-03-02-lower.ana.ud164e6590	The legislative decision will be sent to the Saving Decision.
ParlaMint-NO_1999-03-02-lower.ana.ud164e6596	During the debate, Siv Jensen has put forward a proposal on behalf of the Progress Party, the Right and the Cross-Political Elections.
ParlaMint-NO_1999-03-02-lower.ana.ud164e6925	For the first paragraph, there is a dissenting proposal from the Advance Party, the Right and the Cross-Political People's Election. The proposal reads as follows: ‘In the law on changes in the law on real estate, etc. the following amendment is made: the first paragraph of Section 2-9 is replaced by the following:The credit authority may revoke the letters of title if a real estate agent no longer meets the requirements of Section 2-3, first paragraph, paragraph 2. Four and five. ‘... An alternative between the setting of the first paragraph and this proposal will be used first, and then the second paragraph of the setting.
ParlaMint-NO_1999-03-02-lower.ana.ud164e7111	The title of the law and the law will be the subject of a vote.
ParlaMint-NO_1999-03-02-lower.ana.ud164e7118	The legislative decision will be sent to the Saving Decision.
