ParlaMint-NO_1999-12-09-2.ana.ud2610e26	We start with a line chord shift after Thore Aksel Nistad's posts.
ParlaMint-NO_1999-12-09-2.ana.ud2610e449	When we made this setting, I was a little unsure about whether to include and mention the projects I thought should start in 2001. I let it be, both when it was Senja, when it was Korgberg and some other projects that might have been started before 2001 – but then it's getting money for it. I think it is important that the representative of the Workers' Party works a little harder in-house in his own party, so that there is at all some money to weigh in in the part of the country from which he and I come. With the promises that lie there for the Central East, I think we can have trouble making the promise that concerns Senja, but I'm not going to oppose it. I think it's a good project. It's going to be a priority for me, as long as it's in the priority place from Troms, and it does. When we manage to get money for Troms, like Finnmark and Nordland, we will probably get that road started and more. It's a bit of a job to do, but that job I don't think is the hardest when it comes to me. I think it's more difficult in your own big group. So I want him to be happy to get money for North Norway at the Workers' Party. It began to go down under Opseth, and it has only gone down under ever-new state councils from the Workers' Party and the Centre Parties. We're going to be able to reverse that trend, right?
ParlaMint-NO_1999-12-09-2.ana.ud2610e461	The representative Inge Myrvoll spoke about various questions to me and the Progress Party, among others. This with the railway and why we lowered the subsidy to it. We believe that competition should be on the track, and that the railway works will be in charge of the E6. So to this with the post offer today. It's very different from before, for example. several electronic services. You're less dependent on the old post office. The Progress Party is more concerned with the availability of postal services, including: using premises that are open in the evening. SV likes to call himself district friendly, but the representative Inge Myrvoll, who is from Northern Ireland, should know that what is needed most, is better roads, and not railway, on which SV pays. Has the representative Myrvoll forgotten our districts? From the budgetary position, SV has more than DKK 1.7 billion in reduction of Chapter 1320 of the State Road Service in relation to the proposals of the Progress Party. That's $300 million. kr less for the operation and maintenance of our national roads, and over SEK 1.3 billion less for national road investments and SEK 125 million. kr smaller for road use. Does the representative Inge Myrvoll think this is a good district effort?
ParlaMint-NO_1999-12-09-2.ana.ud2610e471	To make a little comment on the first on the Progress Party and the railway. What I tried to point out is that the Progress Party has some dramatic cuts at the Railway Agency, both in investment and maintenance. I did not mention this with competition and the purchase of services. That's what I left to mention. And what surprises me is that the Progress Party is involved in a lot of comments that are quite precious. However, they will continue the Westfold and Eastfold tracks, they will be for the Eidanger Tunnel and for tilting on the Kongsvinger Railway, etc. That was when I wondered how to make this happen. And we got no answer to that. In the case of SV and whether there is a good district policy we have: Yes, it is! Now it was very clever to compare SV's budget with that of the Progress Party and not with that of the Government or the majority. And it seemed like there was a big gap – and that's what it is on the road side – between us and the Progress Party. We can't operate the way the Progress Party does, just cut wildly at things that would have dramatic consequences. And in addition, most of their road money spends in central strokes. We have more money on the road, for example. to my part of the country that the Progress Party has, within a much more responsible framework than they have. They're the knights of the highway, it's primarily these four-field highways that are going to swallow their investment funds. That's where the big, insatiable swallow is at the Progress Party. So in terms of the regional policy profile, we're getting a lot better, but it's clear that for those who want motorways, the solutions of the Progress Party must be clearly the best. But you'll see the cost when they cut the Post, on the railway and in all other areas. But they've learned one thing since last year, and I'd like to praise them for that. It is the first year in a long time that they have not cut off the purchase of services on the high-speed route and from the regional short-distance network. They have finally realised that these are the contracts that the State has entered into, and the State would have lost any legal case if this had gone through.
ParlaMint-NO_1999-12-09-2.ana.ud2610e480	I must admit that I was genuinely concerned about the representative, Inge Myrvoll, who in the beginning expressed a lack of motivation for the budgetary work and for the debate. I can reassure the assembly by saying that the representative Inge Myrvoll did not lack motivation in the autumn, as he did not see himself too small to ask the entire Nordic bench to move south because of a lack of district bet. So there was money for District Norway, the so-called ESA money, and there was a gravel road package with a relatively large amount for the representative of Myrvoll's homeland. And what did the representative Myrvoll do? Well, then he spoke to the press and called it -- I'm sorry about the expression, President -- a lot of money. It seems to me that it is a very bad way to explain that this government was willing to bet on District Norway and try to solve the problem that lay in gravel roads that have not been covered. When everything is expressed incorrectly and black, I have to say that in many ways it is very difficult to attach trust to what is being said. Now the representative Inge Myrvoll is to be commended for having produced a good distribution of bias between the centre and the district. But then it is that I read with despair that the representative Inge Myrvoll is joining forces with the Labour Party and the Advance Party on a solid commitment, and the representative Myrvoll avoided mentioning here, namely the Bjørvika project. I have to ask the representative, Inge Myrvoll, is this money dirty or not?
ParlaMint-NO_1999-12-09-2.ana.ud2610e489	The president has some doubts about what this expression really means, but she assumes that since it's Nordic language, a wise liberalism needs to accept it.
ParlaMint-NO_1999-12-09-2.ana.ud2610e492	I don't think I'm going to try to explain, because then the president might have to club anyway. To put it like that, the representative Sahl doesn't have to feel worried about me. So I'm a little bit inspired by a debate on a budget that's out of perspective. Then he starts to say, "Yes, but think about everything we've got!" We've got a gravel road package. Yeah, really, here you get less on the regular budgets, and then you move it over to a gravel road package. The same money you would have had for other projects is given in a gravel road package that is ear-marked. Is there going to be something more out of it? The sum is going to be equal to the sum, or to say it's going to be even smaller than it was. There's never been so little money for that part of the country, at least not after the war, when you think percent of the road budget. The numbers before the war I haven't seen, but I doubt that there was anything worse than now. Then there was the ESA money, which, according to the municipal minister, is pure compensation for the additional costs of increasing the employer’s fees and which should be as targeted as possible in relation to the companies involved. You have to do that in a big way to prove that it's something. My point is that it has never been as low as 11.5 pst. And sail if one comes up to 12 pst. If you take the ESA money, it's the middle of the year, along with last year. The numbers' speech is ready. So there's a question about Bjørvika: Is there a lot of money? No, it's a valuable project, it's one of the projects that I'm giving priority to down here. There's also a story, we actually put in town council, and then we lifted that project up as a larger urban development project. But there are many projects that I've said no to down here, that we spend a lot of money on, but that we shouldn't have spent money on. For example, it's the Oslofjord connection, the new four-field motorway in Vestfold, etc. –I could have rammed more. So I'm going to be critical, and I'm not going to support the Workers' Party in the vision of a new four-field or six-field highway, or whatever they're going to have, beyond Asker – at all. But if we spend some money on a new double track on the railway beyond there, I'm in – too full!
ParlaMint-NO_1999-12-09-2.ana.ud2610e505	The cord shift is over.
ParlaMint-NO_1999-12-09-2.ana.ud2610e508	A good supply in road, rail, air and sea transport has much to say for business and construction throughout the country. The development and maintenance of transport provision is therefore both an important regional policy instrument and a fundamental value of traffic management in key areas. In order to stimulate the development of nutrition and sophistication across the country, it also means a great deal that there is a nationwide and equivalent supply of basic postal and telecommunications services. The budget we have today to deal with is tight. The goal of high employment and a steady decline in interest rates means that a tight government budget is needed. Left is pleased that one within tight frames has priority: continue efforts to improve public transport infrastructure in the metropolitan area, with a focus on road safety measures, allowing for the increase in racial protection allowances for maintenance, both when it comes to road maintenance and maintenance of the network, increasing the commitment to research and developmentThe budget agreement between the Government Party and the Workers' Party increased the funds for investment in relation to national and county roads, port development and operation/maintenance of our ferries, or in my language: the maritime road. In addition to this agreement, no change has been made to the Government's draft budget. It is therefore with great wonder a record in the media that the Stortinget mentions this government's policy in very «surmaga» order. There are several newspaper queries with announcements from the Government's partners, the Workers' Party, that the Government must find itself in being embarrassed at several points. In the Left, we have the tradition of treating our partners with respect; we have noted the comments of the Labour Party's representatives. Reducing health and environmental damage for most people in Oslo and simultaneously creating better flow and better predictions, not least for business transport, are important measures that the Left attaches high priority to. The left is very pleased that the government is working on a toll proposition for Oslopackak 2, as well as the start of the T-banging and double-track Skøyen-Asker. In March, the Government will present its proposal to the National Transport Plan. Here, a holistic Oslopacket 2, clarifying the overall financial framework for the package, will be provided. The budgets for the national transport plan are now out of reach, and in March the Government will present its proposal. For the Left, transport policy is not a ‘building policy’, but a prioritisation to make the most of what we need. The left considers it necessary to take new steps to resolve the traffic disruption in the central area. There are on average 1,2 passengers per. car waiting in line along the E18. If passengers per car on average increased to 1.4, the actual queue would disappear approximately. There is a need for other means than to increase capacity on the road network. The left is very pleased that a large number of people, all parties outside the Advance Party, have signed up to the framework agreement with the fast-moving companies on the purchase of transport services. When discussing and dealing with the national transport plan, it is clear that we are discussing a more long-term development of fast-haul routes, both from a business perspective, from a tourist perspective, from a district perspective and from a transport perspective.
ParlaMint-NO_1999-12-09-2.ana.ud2610e553	It's going to be line change.
ParlaMint-NO_1999-12-09-2.ana.ud2610e556	The representative Vihovde was in his article on Oslopackak 2 and the investment in public transport that needs to be made. It is positive that it should be invested in infrastructure and new material on the railway. It's also good that many of us want to drive collectively, but that doesn't mean you don't have to build the road network – even here in the Oslo pot. Now it's really like most people here travel by plane. It's been a good offer, but it's an economic disaster. I sometimes wonder who the majority in this room thinks the NSB is for, whether it is such that the NSB exists for the consumer. The NSB has been put in a unique monopoly situation by Stortinget, and we know that Stortinget buys NSB passenger transport services for almost NOK 1 billion. At the same time, ticket prices are increasing and increasing. What I wonder if the representative Vihovde has made some reflections about is: Are NSB's offers – based on the money they manage – compared to the services and services we receive? We know very little about it. The only thing we know is that the evaluation of tenders for regular services has led to the recognition that competitive outsourcing leads to a reduction in aid needs. We also know that in Sweden there is now competition on the track. It leads to multiple departures, multiple passengers and several stations, with the same grant from the State. As stated, the NSB has a monopoly on rail transport, but Ueland has opened up competition on the track – mainly on freight, but it will probably also affect passenger traffic. The Government also smells at this competitive environment. What I'm wondering about is whether the representative Vihovde and the left will now be an inciter to the government, so that competition can be on the road, even on passenger transport, for the consumer's benefit. And will the representative Vihodde help put the consumer's needs in focus, and not the NSB's?
ParlaMint-NO_1999-12-09-2.ana.ud2610e571	In the left we've always been busy putting people in the center, and that is, when it comes to the NSB, the passenger. Now the government has received a report, and it is alert that it will come back to Stortinget with any proposals for competition on the track. The representative Oddvard Nilsen was also in his main post that he looked forward to it – now there was a government that actually saw the need for competition. However, if there is to be competition on the track, it is also necessary to ensure the maintenance necessary, to ensure that the running line is there, that there are enough rails and enough tracks, so that these trains, which may compete with each other, have tracks to go on. It's job number. 1st@item: inlistbox So this case comes back to Stortinget, and it's probably opening up for competition on the track – it's going to work for Left.
ParlaMint-NO_1999-12-09-2.ana.ud2610e580	Since the representative Vihovde obviously gave me a visit, it might be appropriate to give a little comment back. Let me first make it clear that I've never used the word humiliation to the newspaper, it'll be on the journalist's account. I'm glad we got a budget settlement. I am pleased that we have received a budget that both the Centre and the Workers' Party can stand behind. At the same time, however, it must be allowed to point out that the Committee has, in fact, both strongly criticised the Government at some points and has given very clear guidance on a policy different from that proposed by the Government in some areas. The offer of regional aviation is the most obvious example, which is the criticism strongly, the solution for Oslopackak 2, the T-banning, the situation of lighthouses and brands, where the review of the Stortinget has been requested by the Stortinget, the infrastructure plan for aviation, the procedure for road projects, the Stortinget's unanimous refusal to wind up the central system of retirement and child savings, another solution for the rapid transit had been sought, but concludes according to the circumstances of the proposal that lies there, the question of a systematic classification of ports – here is a set of measures, where some instructions have been given to the Government, and I am very pleased if the representative of Vihoved is to confirm that the Government and Government parties are taking this up and will follow up these obligations. I'll take that as a matter of course. But let us agree that it is not the case that the Government's policy has been endorsed on all points, even though the Government's budget has been endorsed by the changes made to the budget agreement. There are relatively strong leaders in many areas, and not least I think the government is wise to notice that there is also a significant criticism of some points.
ParlaMint-NO_1999-12-09-2.ana.ud2610e591	I am pleased that the representative Schjøtt-Pedersen has not said that he wants to soften this government. But when you look at some of these newspaper headlines and some of the comments in this budget position, when you look at answers given both by representatives from the government parties and government councils on a number of questions – one can take the airline infrastructure plan, where the government party in its note says that it is quite clear that an airline infrastructure plan is and must be part of a national transport plan, nor has it been written in the budget that it will not be there – at least from the left's point of view that a person is trying to create some conflicts, delegations and indications against the government, and that a criticises the government's policy. This is the last budget we have before us to deal with the national transport plan, and that is the desire to provide some guidance for the document we are now receiving in March, which we also understand. But I want to say, when a member hears some statements, say for example. the incentive discount scheme: the government has never made proposals to abolish the discount scheme for the elderly, for the disabled and for children. One only suggested that the county should be allowed to decide this. But then it is also used as criticism of the government's policy. I wanted to point out in my post that we have noticed, and we in the left have not liked that.
ParlaMint-NO_1999-12-09-2.ana.ud2610e597	The left is a party that should have not only the human being in the center, but at least once for some years was also concerned with the environment. Sometimes you can connect the two things and get a good result, and then I think it becomes a bit puzzled when you say about the railway: maintenance, maintenance. After all, we had a government council a couple of years ago that said sleepers and pucks, sleepers and pucks. And that's important. Overhead line is important. But an environmental party with the human being in the center must be a little more visionary – for example. say that it is clear that we need some strategic investment, for example. have a double-tracked, fast Westfold track and Eastfold track, where the driving speed doubles so that half the time can be spent in relation to now travelling. The railway is the only means of transport that is even environmentally friendly, which can do that, if you get a double track where you don't stand and wait for crossing trains, and which has the standard and the quality that makes us get up a little bit – a little more such visions from the Left, if you're going to be an environmental party. And think for the people, for a freedom it is to be allowed not to sit in the car, to sit on the train and read newspapers, sleep; you can even take a beer after you have left work and take the train or the T-Bahn – or whatever it should be – home. So the question of public transport, trains and so forth is also a question of freedom for man, freedom of choice. But then we have to have a good offer, so I think the Left should be a little more visionary, a little more offensive and say: we allow good maintenance, and then we need some investment to get these environmental options in place.
ParlaMint-NO_1999-12-09-2.ana.ud2610e602	Now we in SV and left are in the situation that because of the size we don't get that long speaking time in this room, and we've well expressed from both sides that we could have wanted longer speaking time. Then I would have been very visionary and talk about more than sleepers and pucks, and I would also like to talk about what I wanted for the Norwegian railway. But I want to remind the representative Myrvoll of something. I am talking about ‘bauta policy’, and I believe that when we are going to discuss the national transport plan, it may well be that the representative Myrvoll and the representative Vihovde are very few on which projects should be prioritised. But in the left we're so realistic that we stick to a multiple. Within the framework of this transport budget, some major road projects have to be implemented, which have started up and which will be a major environmental disaster to stop. I want to remind the representative Myrvoll of an announcement from this pulpit, where SV had as a suggestion to stop the triangular connection and use them for other things. One might mean what one wants about the Triangle Connection, but when I looked at the pile of pucks that were in my municipality, and when I looked at what environmental disaster and environmental costs it would have been if one had stopped this project, I became a little bit in doubt about SV's environmental policy. But I think the SV and the Left have a common understanding, and then we'll see what we can find out in the national transport plan.
ParlaMint-NO_1999-12-09-2.ana.ud2610e609	So the chord change is over.
ParlaMint-NO_1999-12-09-2.ana.ud2610e612	Several representatives have also spoken many beautiful words in today's debate about the importance of transport for our country's housing and business. That is so good, but then we have to look at what are the realities. In a free trade society, businesses will establish where the total costs, including transport costs, are expected to be lower in the long term. It's not like that, for example. a case or paper mill can determine its own prices to some extent. Prices are given in the market. This means that a company with high transport costs cannot compensate for this by taking higher prices. The iron law of the market says that if this is the case, the company must either produce much more efficiently than its competitors, or be eliminated in the long term. Because capital does not ask for an address, capital shall have its return. Many say that the years of transport are the 'blood years' of our society. Yeah, that's it. In the long term, however, transport costs determine whether an enterprise survives or is reduced. Without good roads and without rail that works where we have track, business disappears from the districts. Therefore, transport investment must become an even greater part of nutrition and district policy than is the case today. Until now, we have used, among other things, transport investment in countercyclical policies to increase employment. This easily leads to a jojo effect at the investment level, and we cannot live with that in the future. In relation to the needs around the country, we need to have a more stable level of investment. I also put a big question in this context about the employment effect by using transport investment in this way. Today, the machines do the job; the hack and the spade are gone. That is why we need to take the debate to ensure that transport investment is a key element of business and district policy. Rather, we should give priority to other instruments that we use today in the field of district policy. Although we have an increase in the investment framework for the road sector in next year's budget, it is very close to the identified need. Following the budgetary agreement, national road investment is increased by 75 million. So it's going to be $25 million. kr more for the highway reinforcement programme. As many have been involved, the majority suggest that funds should be used for projects that have stopped due to lack of funding or have a rational drive. The majority also assumes that the projects which are not completed in 2000 will continue to progress on a continuous basis. In other words, the municipalities concerned must also be involved and give priority to these projects in future budgets. The majority propose an increase in the grant to county roads, i.e. the reinforcement programme. The majority suggest that priority should be given to major county roads connecting to the national road network, major agglomerations and industrial establishments. The majority also assume that the states of Nordland, Hedmark, Oppland and South-Trøndelag are given priority in this context, among others. assuming that these counties have the most kilometres of roads characterised by long distances and poor standards. But I would like to stress most strongly that this is an extra effort, so that the states that receive these funds do not have to add up to a reduction in relation to what these states have already granted in their budgets for 2000. We are now approaching the end of this road map period. After three years of this 4-year period, the result shows large differences between the individual strain viruses and the counties on the rest of the national road network with regard to the allocation of investment funds. The majority of the Committee is deeply concerned about this development. I hope the Council of State has noticed this concern and also the majority's assumption that there needs to be a better blending for the different strain viruses and the states between them. It's the main roads, especially routes 2 and 3 on E6, which are the worst way out. This is an unfortunate development, especially because E6 is the backbone of our tribal network. E6 must therefore be given priority. In the case of other national roads, there are five counties that have so far come out poorly. Some of these counties also came out poorly in the previous road planning period. Of course, this is unfortunate, and it must be an objective to lift these states in the 2001 budget. Like the Government, the Committee is concerned with the level of operation and maintenance of our roads. It's worrying when we're missing 700 million next year. to add to the maintenance of the road capital which prevents further deterioration. And to the representative of Ringstad, I would like to say, here too, the sitting government must be involved in taking responsibility. The majority take the view that there is a different need for maintenance materials around the counties. E.g.: on this basis, the majority calls for the Council of State to come back with a somewhat more thorough analysis of the needs for means of operation and maintenance in the national transport plan. The majority are also not satisfied with the implementation of funds for smaller investment measures in relation to the objectives of the Roadmap and in particular with the construction of pedestrian and cyclist roads. That is why a unanimous committee is concerned about whether it is possible to build more walking and cycling roads if you add to a more flexible standard than is the case today. The Committee asks the State Councils to return to this in their national transport plan. The majority also ask the State Councils to include racial protection as part of the ordinary national roads in the national transport plan, i.e. not as own item in the budget. We are all concerned with racial protection, but I believe that the danger of a separate budget line is that the states do not give priority to racial protection by, among other things. a good part of the development project pending central funding from a separate item for racial protection. In this way – I think – false expectations are created, and you can also get an rational plant operation on a lot of projects. The representative Myrvoll had a strong concern for the bet in central strokes. We'll probably have to hand it to some people in the heart, and each one of us will have to take the recognition that the flow of goods is going through just central lines. That's why we're totally dependent on the traffic systems operating here, for E6 and E18. Because it is the way the fish from Fröya go through these areas in their journey down to Europe. The same applies to the skifer from Oppdal and the whitefish from Northernland. The representative Myrvoll was further inside the Melhus project. I think if you want to pick the Vassfjell option, you're going to get a much more expensive solution than what we have today. If we look at what we have in relation to the overall framework of E6, I would think it would be much harder to get started with the Korgfjell tunnel, which I know the representative Myrvoll is also concerned about. The second is that we do not solve any traffic problems in Melhu's centre, because the large traffic flow that will come from the west, from the Orkdals region and the Tjeldbergodden, will have to go through Melhu's centre and not drive the long roundabout of Trondheim. Ergo we might have to find two different solutions in Melhus, one that solves the traffic problem in the center, and another that's going to go in a long tunnel through the Korg Mountain. I want to finish with a project that has not been mentioned, and it is Drammenspakket. Of course, the majority assume that we are going to implement the Drama Package, but we are asking as fervently as we can, that the Council of State will ensure that we have a unified progress plan for that project, and with local agreement.
ParlaMint-NO_1999-12-09-2.ana.ud2610e648	I am pleased to note that all the main features of the Government's policy on transport are fully endorsed by a majority in the UK. I recognise that the 2000 budget is tight, while giving opportunities to increase in key areas of transport policy. In particular, the rural profile of the budget is strengthened by earmarked bets in areas that will benefit the districts. I refer to the cross-sectional ‘Gross Road Package’, compensation for the increase in the employer’s fee, strong investment in the regional air route network and the increase in the purchase of non-socio-economic postal services. In the cities, the government wants a greater effort for improved collective services that reduces the accessibility problems of many of our cities today. Therefore, the collective package – Oslopackak 2 – is so important to be realised. I have recorded that the spokespersons from the Workers' Party have stated in the media that they have saved the transport budget. It must be mildly said to distort the truth. I am glad that in the agreement with the Workers' Party there was a total increase in the road budget of 100 million kroner. kr. However, it must be pointed out that in the negotiations with the Labour Party 40 million had to be cut. kr on other important parts of the transport budget, such as the rail and aviation sectors. So the net is an increase of 60 million. kr, which, if we're going to compare, is equivalent to what is needed to build a two-kilometre mountain tunnel. The overall aim of the government’s road policy is to ensure better accessibility for the population and business in all parts of the country, while minimising the negative consequences of road construction and road traffic. The challenge is to correct the road network in order to eliminate congestion and bottlenecks, to provide short routes and to ensure a minimum standard on the road network. Improved accessibility will require significant investment. Within the proposed framework, emphasis has been placed on ensuring the maximum degree of rational plant operation for start-up installations. Although it will not be possible to fully address rational progress, there will be an improvement in 2000 compared with 1999 and previous years. In addition, attention has been paid to protecting smaller investment measures that have a positive impact on road safety, as well as measures to comply with local air pollution and noise limit values. As a result of these priorities, only a few new plants were set up by the Ministry in 2000. At the same time, a high effort is needed on the operation and maintenance of the existing road and rail network. The draft budget provides for a certain strengthening of the operation and maintenance of the road network at the expense of launching new projects. I therefore note with satisfaction that a clear majority of the Committee supports the Government's proposals for operating and maintenance appropriations. The level of safety in road traffic is high compared to most other developed countries. However, the situation is not acceptable when more than 300 people die in traffic each year. Traffic safety is therefore a key challenge in road policy. In the operation of the road network, measures aimed at road safety are a priority. This includes, inter alia: prioritisation of winter operations, which is also necessary in order to achieve a higher rigidity and thereby improve the environment. The focus will be on changing attitudes and behaviours of road users. An example of this is that the Lagning will deal later today with a change in the law that will provide the basis for a ban on the use of handheld mobile phones while driving a car. The government will also focus on measures for safer school roads. In August 1999, the Ministry of Transport, according to Stortinget’s wishes, presented the Road Race Protection Action Plan 1999. The plan provides a comprehensive overview of the allocations and expected racial protection efforts in the 1998-2007 Roadmap period. The government is proposing to continue the extra effort on racial protection, which will help to make it safer to travel in areas where there are many razed roads, while at the same time saving both life and health. Racial security will be a special priority area of transport policy for the coming planning period. I regret the fact that the Committee has various comments on Oslopackakt 2. This is a high priority for the Government to reduce the damage to health and the environment in the Oslo region while creating better flow and predictability of business transport. Therefore, I wanted to promote a toll proposition for Oslopackak 2 in the autumn in order to start up local collection from the turn of the year, while the Government proposed funds for starting up the T-banning and double-track Skøyen-Asker and notified Stortinget about this. However, one did not wish locally to take the necessary decisions before final consideration in the Stortinget. I respect this. Therefore, a comprehensive Oslo package 2 now needs to be developed in parallel with the work of the national transport plan, in order to clarify the financial framework for the package. I also see that a majority consisting of the Workers' Party, the Right and the SV are open so that the State can undertake to share the responsibility for any cost excesses for the T-banning. This will be a new pre-emptive principle, not least in relation to other urban municipalities with similar plans and in relation to county municipalities with over-expenses on the investment side. The Committee also gives strong leadership in the improvement of the Stokkajuvet at Rv 542 in Hordaland. Such a correction is estimated to cost 30 million. kr. Fifteen million. kr is covered by tolls from the Triangle Connection, and SEK 15 million. To be gunned locally. The matter will probably be sent to the department within a few weeks, and I expect to return to Stortinget with the matter during the spring session. I broadly agree with the Committee's 75 million allocation. kr for individual projects. This will improve the progress of existing installations. However, I have to point out that the proposal to start up Rv 120 Erpestad-Gardermoen again will provide a binding of nearly 100 million. kr for the years 2001 and 2002. Since this is a national road and is under a divided framework, it is necessary that Akershu County Council is in agreement with such a re-prioritisation in relation to projects that are already prioritized. I therefore have to make a small reservation on the county priorities before this plant can be put back into operation again, and that rational progress can be made without any new stoppages in the plant operation. The railway is now developing positively. In recent years it has seen a higher growth than the overall growth of traffic in passenger traffic. It is worth noting that passenger transport by train increased by nearly 40 pst. in the 1990s, while there was a drop of 11 p.m. in the previous decade. Where there are real choices between road and rail, the market share of the railway is significantly higher than that of the Progress Party in the Committee position. The opening of the Gardermoban and, inter alia, the opening of the Gardermoban heeled train investments mean a significant improvement in the train offer so that the railway can continue to increase its market shares, both in passenger and freight transport. In the next year’s budget, a tight budget line has found room to continue the high rate of roll-out-related investment measures on the rail track. The rate of rollover measures will be followed up in the last year of the current planning period. As of 1 April 2000, the Government strongly recommended the new bids in aviation for the regional air services in Norway. Compared to the current tendering period, capacity increase and quality improvement will take the form of an increase in the number of direct routes in all the countries concerned. The unanimous assent of the Committee on Transport to the proposal for a regulation under Chapter II. 1310 implies that all tenders will be carried out in line with the contracts awarded. In the case of Røst and Fenres, tenders with a deadline of 3 January 2000 have been invited. The majority of the Transport Committee, the Workers' Party, Right and SV indicate that significant changes to the route schedule have been made during the forthcoming tendering period. I would like to point out that the changes that are coming will essentially lead to improvements in the regional air services. These improvements have not least a background to the priorities of the county councils in their thorough discussions with the Ministry of Transport on tenders in 1998. In order to ensure that the tendering conditions are met, all contracts will be closely followed up by the Ministry of Transport. I would like to point out here that in all contracts concluded from 1 April 2000, there are conditions under which production needs to be increased by use of the seat above 70 pst. This shall ensure that the capacity of the flight offer, including for Feners and Værøy, is sufficient to meet the demand during the tendering period. In the telecommunications sector, I can inform you that during December, there will be a big message about access to the mobile network and third-generation mobile phones. In the postal sector, the changes are also significant, which will be presented in the new year. In the overall transport policy, we are faced with far greater tasks than what is possible within a responsible economic policy. In order to realise important projects earlier than otherwise possible, I am of the opinion that toll financing should continue to be used. At the same time, I would like to stress that, as long as a project is not fully financed through tolls, political funding and priority must be given to the State. I assume that in such an important area of society as good communications, public should have the primary responsibility and make the necessary political priorities. Therefore, when the Spring Summit is to deal with the national transport plan, this will have ample opportunity to give priority to transport measures for 10 years to come.
ParlaMint-NO_1999-12-09-2.ana.ud2610e688	It's going to be line change.
ParlaMint-NO_1999-12-09-2.ana.ud2610e691	The size has previously joined a merger of Telenor and Telia. This is a combination of two equivalent companies, where there has been a constant balance between the two countries. There was agreement between the two owners that the board of directors of the new company should decide where the management of the different business areas should be located. At the same time, it was emphatically clarified that such cases should be dealt with in accordance with specific voting rules. In the submission to the Swedish Government of the merger of Telenor and Telia, the Government provides such information: ‘The decision is subject to the special voting rights rules established in the shareholder agreement, i.e. at least one shareholder-elected representative from each country must agree to the decision.’;» The size joined it. The Vice-Chairman of the new company’s board, Arnfinn Hofstad, has today stated that decisions on the location of business areas are not formally taken. Hofstad says: ‘– The Norwegian members of the Governing Board consider that the decision requires a majority of the Governing Board including one member nominated by the Swedish State and one member nominated by the Norwegian State.’ The Workers' Party assumes that the Government is determined by the information given to the Stortinget in St.prp. No 58 for 1998-99 on the merger of Telenor AS and Telia AB, which cannot mean other than that the State Council which owns does not approve the minutes of yesterday's Governing Council.
ParlaMint-NO_1999-12-09-2.ana.ud2610e710	As regards the approval of the Protocol itself, it may not normally be submitted to the Council of State. However, in this particular case, I have asked to have it presented in order to review what was recorded after yesterday's meeting. Let me say that the Government is considering, as Karl Eirik Schjødt-Pedersen does, that the decision to locate business areas requires treatment under point 4.3(b) of the shareholder agreement, and then with reference to St.prp. No 58 for 1998-99. I have therefore asked the chairman of the company to put the matter back on the ordinary case list for the expected board meeting on 28-29 December this year and to deal with it after the shareholder agreement item 4.3(b). When it comes to the actual distribution of the twelve business lines, I don't want to go into any assessment of them today. This is up to the board to do. There may be different assessments set out in the decisions of the Management Board and there may be constant assessments relating to the requirement for a balanced and equivalent development in these areas between the two countries. Nevertheless, it is for the Governing Board to draw its conclusions on a commercial and commercial basis, so that the overall assessments will ultimately lie with the Governing Board as a body. Let me just conclude by saying that I therefore do not see it as natural that the matter is brought up to the owners at this stage, when, in accordance with the voting rules, the board is so clearly attached to the authority in this area.
ParlaMint-NO_1999-12-09-2.ana.ud2610e724	Nearly all drivers in Norway are now forced to be lawbreakers because of our rules and bans, and especially the many new ones that are still emerging from the Council of State and the Government. Today, it's probably the much-discussed cover for high-end tyres that's in focus. We have previously had a mobile phone ban, several toll stations and charges in focus, and we are now up to a total of NOK 30 billion in fees. New ideas about road pricing, dot loading and even more trees and charges are at the level of the Council of State and the Government of Bondevik. Could the Council of State not imagine a simplification of laws, regulations and bureaucratic obstacles? Couldn't the Council of State imagine making the daily trip easier and more reasonable for people? Yesterday I got a phone call from an older lady of 70 years. She was very concerned about how she was going to get hold of the illustrious mischief. She was going for a trip from Hedmarken to Oslo, and she had seen in advertisements that she could get the badge at Post and at Esso stations. They had also said that in the municipality, but that was not true. You could also call and buy the banners from your phone, but this lady could not, because she had blocked 815 calls, as these are expensive phone calls. So there she was. The lady was obviously very law-abiding, and she would make up for herself before she arrived at Oslo's border. It is also stated in the law that it must be paid before you reach the city border. The elderly lady was convinced that she could not use her car on a trip to Oslo. This is just one example of how everyday life has become for the drivers. And then I have to ask again: does the Council of State not see that all these laws and regulations are acidifying the normal everyday life of the drivers?
