ParlaMint-NO_1999-11-24.ana.ud542e27	The representative, Fridtjof Frank Gundersen, will make a private proposal.
ParlaMint-NO_1999-11-24.ana.ud542e522	For the sake of order, I would like to point out that the responsibility for the civil labour system lies with the Ministry of Justice, but I understand that the issue has a clear cultural policy angle. There is no doubt that a number of institutions in the cultural field would mark it if the civil worker scheme were to be substantially reorganised. A number of concerns have been raised by various institutions and bodies about this. And what that situation shows is how dependent a number of cultural institutions have actually become on this scheme. My wish is, therefore, to make as much use as possible of civil servants in the cultural field in the future. I hope that this will be possible, and that, within the definition on which tasks can be assigned to civil servants, we could have a fairly large proportion of civil servants throughout the sector.
ParlaMint-NO_1999-11-24.ana.ud542e529	I thank the Minister for the positive answer. The working party is also very concerned about solving this. There are, among other things: in Auschwitz built peace museums your school students from Norway election campaigns to just get into the war story, and they come back and say: never more war! I think many institutions in Norway also have that way of working. That is why it would be disastrous for the civil servants who are going to be on duty to refuse to participate in Culture-Norway, which has just this peacekeeping way of working. My question is: Will the Minister of Culture convince his or her colleague in the Judicial Committee on Peace-Preventing and Conflict-Preventing Sovereignty? I hope so.
ParlaMint-NO_1999-11-24.ana.ud542e538	There will undoubtedly be an interpretation question of what might lie within the concept of ‘peacemaking’. As I expressed in my first answer, I hope it will be possible to base a broad definition of that term. Whether I will be able to convince my party colleague in the Justice Committee about this remains to be seen, but I would not believe that Tor Nymo and I in this matter are very disagreeable.
ParlaMint-NO_1999-11-24.ana.ud542e545	Let's go to the last main question.
ParlaMint-NO_1999-11-24.ana.ud542e548	I would like to ask a question to the Minister of Culture, or perhaps on this occasion it is more right to say the Minister of Sport. My question is linked to the boundary between sport and business, or perhaps the combination of sport, industry and business. It can be very difficult in many cases, especially when it comes to sports such as bowling, billiards, gym, etc. But it has gradually become important to clarify this according to municipal planning. Does the Council of State, for example, consider that sport-related industries can be defined as industry/business, or does the Council of State consider this to be concrete and regulated as a sport area?
ParlaMint-NO_1999-11-24.ana.ud542e556	A number of questions relate to the field that was just mentioned. I myself am very concerned that we must be able to find the boundaries between sport and nutrition. I want to mention a topic, which has also been in the press lately, where I feel that this distinction does not necessarily become very clear, and it goes at the events that are established between, for example. Norwegian Sports Association and SATS. We have also been mentioned in the press of the cooperation established between the Norwegian Business Sports Association and the training centre chain FRISK. The problems mentioned by the representative are also related to the type of issues we face in the cooperation between sports organisations and the commercial chains. I'm concerned that we're going to be able to keep these lines clear about what's the voluntary sport, and what's going on. And there's an important borderline that I'm going to do in the message that's being presented to the Stortinget about sports policy, and that we're going to present before Christmas.
ParlaMint-NO_1999-11-24.ana.ud542e563	I thank the Council of State for the answer. Nothing really came out of it, and I understand this is very difficult, as the Council of State was about to do. To try to make it a little bit simpler, I'll give you a concrete example. In fact, it is from my own municipality of residence, Levanger, where an area is regulated for industry, warehouse, business, offices and the like. The owner of the premises within this regulated area is now seeking to launch a bowling hall in co-location with other commercial activities, including: media. The building manager of Levanger has said that this cannot be done according to the regulatory plan because bowling cannot be defined under the above categories. I would like to draw the attention of the Council of State to the fact that Helge Ruud in the Norwegian Sports Federation per. Telephone has confirmed that bowling is defined as sport, recreational services, which are operated on a commercial basis. Does the State Council share Helge Ruud's conclusion, or is it such that in this case the municipality must specifically regulate all business-related sports as a sports area?
ParlaMint-NO_1999-11-24.ana.ud542e572	I do not know the specific matter. Therefore, I do not want to comment on the particular case either; we would like to communicate it in another way when I have checked the actual conditions around it. But I repeat what is my starting point, that we have to be able to distinguish carefully between the voluntary sport sector and what is a commercial piece that has evolved in the health and sports fields, and we have to be extremely careful not to mix, for example. funds going to the voluntary organised sport of the commercial activity. That's what I want to say to the question. I would like to return to the specific matter. I am concerned about the issue, and I want to follow it up in the sports message.
ParlaMint-NO_1999-11-24.ana.ud542e577	The time for the oral question procedure is now over, and we're going to the ordinary question procedure.
ParlaMint-NO_1999-11-24.ana.ud542e582	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Questions 2 and 3 from the representatives of Liv Marit Moland and Karita Bekkellem Orheim, respectively, to the Minister for Children and Family Affairs, are postponed to the next Question Time when the Council of State has left. Questions 5, 6 and 7 from Bendiks H. Arnesen and Steinar Bastesen, respectively, to the Minister for Fisheries, will be moved and answered at the request of the Council of State in response to question 27, i.e. at the end of the Questionnaire. Question 20, from the representative Einar Olav Skogholt to the Minister for Health, is absent, as the questioner is not present. Question 25, from the representative Per Roar Bredvold to the Minister of Labour and Administration, will be answered by the Minister of Church, Education and Research on behalf of the Minister of Labour and Administration, who has been away. At the request of the Minister of Church, Education and Research, the question will be moved and answered in response to question 17, to be answered by the same Council of State. Question 26, from the representative Ivar Kristiansen of the Minister of Labour and Administration, is postponed to the next Question Time when the Council of State has left.
ParlaMint-NO_1999-11-24.ana.ud542e602	I'm going to ask the Prime Minister this question: ‘The creation of a centre for studies of genocide and holocaust in Quisling’s old driving home Villa Grande is an important national initiative. Such a centre may continue the ideas of Jewish settlement and play an important role in warning future generations. Will the Government contribute to the implementation of the idea?’
ParlaMint-NO_1999-11-24.ana.ud542e611	The government welcomes the idea of a centre for studies of genocide and holocaust in Quisling's old home Villa Grande. Such a centre may be of importance both as a continuation of ideas from the Jewish settlement and for the work on human dignity, human rights and minority rights. As you know, the government has provided for the sale of Villa Grande in St.prp. No 1 for 1998-99, i.e. in the State budget. The revised national budget made a budget change as a result of a reduction in the estimated value of the property from 110 to 70 million. kr after it was declared protective by the Riksantikvaren. Later it turned out that it was also not possible to obtain this price for the property. The government therefore decided to withdraw the property from the market. Shortly after the Government’s decision, a bid of 60 million was made. kr on the property. This bid was later raised to 70 million. kr. Based on the fact that it now seems possible to achieve the price estimated in the revised national budget, the government has therefore decided to sell Villa Grande. The government will help all stakeholders to submit bids on the property. The government is aware that the University of Oslo, among others. After contact with the Mosaic Religion, the possibility of using Villa Grande for the intended ‘centre of study of the position of Holocaust and life-synthesis minorities in Norway’ is assessed in the extension of the Jewish settlement. The government sees this as an interesting opportunity, and therefore it should be given reasonable time to work on whether a grouping can be formed that could offer a bid for Villa Grande in view of such a centre and such a purpose. This may require going beyond the turn of the year. The Government will therefore, in its proposal on the new aging of the 1999 budget, which will take place in the Council of State on Friday 3 December, give a more detailed description and assessment of the sale of Villa Grande.
ParlaMint-NO_1999-11-24.ana.ud542e629	I'm going to thank the Prime Minister for the answer, which I see as absolutely positive. This is a historic opportunity we have to use a building with a huge symbolic power, Quisling's old chauffeur, to something that is absolutely necessary, namely a center for the study of something as current as genocide, and, at the same time, the clear connection to the Holocaust and the greatest crime in modern Norwegian history, namely that the Nordics contributed to massacres of almost a thousand Jews during World War II. This combination, just adding it to Villa Grande, is something that should be able to get a lot of excitement in Norway, and which I am pleased that the Government will contribute to. Selling this to Evening Post also gives a very bad bismach – let's not say that. My question to the Prime Minister is: Will the Government be willing to contribute financially in some sense to achieve this? And will one ensure that the grouping of stakeholders now gets so long that they can actually get the work out this thoroughly?
ParlaMint-NO_1999-11-24.ana.ud542e638	Let me first say that I agree with the representative of Solheim in what he said about the meaning both symbolically and effectively by establishing such a centre in exactly Villa Grande. With regard to the issue of financial contributions, there are of the things the Government will have under assessment now in contact with relevant stakeholders who might go in and contribute to the realisation of such a centre, and bid it. It is clear that they also need sufficient time to organise such a grouping, for example. whether it would take the form of a foundation. The Minister of Labour and Administration will therefore come back later to the time limit for a new bidding round. On the basis of the positive assessment of the Government’s realization of such a centre, sufficient time must be allowed for the interested party to have the case assessed and organised.
ParlaMint-NO_1999-11-24.ana.ud542e645	I thank you again for the answer, which is still very positive. I think now it's a realistic opportunity for us to do this. I also believe that when the Storting in its time dealt with this matter and provided the basis for what the Government has done, it was without really thorough consideration of the cultural, historical and other aspects of Villa Grande. It was perceived as a general building, and looked at the possibilities of income for the state treasury. It's affordable enough, but a country also needs institutions. I'll have an extra question. I believe that there will now be a reasonable time frame – it is very positive – and that it is also an opening for any money contributions. It's also very positive. The last thing that remains is to ensure that there is sufficient coordination. Coordination of both public and private stakeholders is needed. Coordination between different departments is needed, as many will be involved in this. I just have to ask that the Prime Minister confirm that such coordination will take place.
ParlaMint-NO_1999-11-24.ana.ud542e654	I can confirm that I am aware that there is a coordination of various stakeholders that might go in and form a grouping, which can then in the next round place place place a bid at Villa Grande which, hopefully, can match other current bids. What also makes such a thought interesting is that one here can't just get a center and a documentation, for example. of the history of the Jews in Norway and the Holocaust, but also an international department thereof. This means that there may also be international groupings that may be interested in entering and contributing to an organisation, possibly a foundation, that can submit a bid on Villa Grande. We are following this and we are aware of it, and we will ensure that a reasonable period of time is allowed for these to assess the situation and, where appropriate, organise themselves.
ParlaMint-NO_1999-11-24.ana.ud542e681	These questions have been postponed.
ParlaMint-NO_1999-11-24.ana.ud542e687	It's not going to be a habit to have all the questions. My question to the Minister for Foreign Affairs is as follows: ‘Does the Minister of Foreign Affairs see the possibility of new measures to contribute to a peaceful settlement of the conflict in Chechnya and to remedy the sufferings of the victims of the war?’
ParlaMint-NO_1999-11-24.ana.ud542e696	The campaign in Chechnya has led to a very serious and growing humanitarian problem. More than 200,000 people are driven on the run. Most of them have sought residence in the neighbouring Republic of Ingushetia, how many live under very difficult conditions. In the light of the alarming humanitarian situation, the international community has called for a political solution with the assistance of the OSCE. Russia has, as it is known until recently, rejected this, having regard to the fact that it is an internal Russian matter. It is therefore positive that, at the OSCE Summit in Istanbul last week, Russia underlined the need for a political solution, recognising that the OSCE can contribute to this and welcoming the OSCE's offer to contribute to the launch of a political dialogue between the parties. The Summit declaration must be followed up as soon as possible. It's going to be a difficult problem. First of all, I am aiming at a meeting with my Russian colleague Igor Ivanov as soon as possible, even though it seems very difficult after the latest information I have received. In addition, the Presidency has had and will continue to have contacts with legally elected representatives of the population of Chechnya. Dialogue with a view to a political solution must, in the opinion of the OSCE, also involve these. In Istanbul, Russia also accepted, as it is known, a visit by the OSCE President to North Caucasus. I aim – and hope to continue – to be able to carry out this visit at the beginning of December. In my view, it is important that the programme also includes a visit to the Chechen area, and I assume that the Russian side will facilitate this. A meeting with my Russian colleague will give rise to a further discussion of this and other aspects of the visit. As mentioned, the humanitarian situation in the Caucasus is alarming. In Istanbul, there was a consensus that better provision should be made for international assistance. I will continue to maintain close contact with the UN High Commissioner for Refugees and the International Red Cross Committee on this matter. In this respect, let me add that Norway has now made a total of 10 million. kr for humanitarian actions in the North Caucasus in connection with the Chechenia conflict. But of this, only 5 million. DKK paid, with 2.5 million. kr each to UNHCR and Red Cross. The allocation of additional humanitarian aid funds will now be assessed in the light of the recent UN needs analysis and, in particular, the possibility for organisations to channel funds into the area.
ParlaMint-NO_1999-11-24.ana.ud542e713	I have little to say about the efforts of the Minister for Foreign Affairs to try to meet Ivanov, and the pressure that is being put on to play a role on the part of the OSCE. It is positive, but, as everyone understands, difficult. Let me go a little further in the humanitarian situation. As I see it, the conflict in Chechnya is relatively unique in the world by the fact that no international relief organizations are in an area of several hundred thousand refugees, at all, no international relief organizations are inside Chechnya either on the Russian side or on the Chechen side. In Ingushetia, where there are 220,000 refugees, there are no international relief workers inside, although the International Red Cross is using local staff. This is due as far as I can understand a mix of political and security considerations. My question to the Minister for Foreign Affairs is whether one sees ways in which the international community can work to ensure, at least as a minimum, that international relief organisations can enter and assist in the distress that is present.
ParlaMint-NO_1999-11-24.ana.ud542e722	Although I believe that a long-term solution must be found politically, I fully agree with the representative of Solheim that we must now address the humanitarian situation. And that was why I asked the Russian authorities to accept that the UNHCR and the Red Cross together with the OSCE could do something, especially in Ingushetia. As a result, I was told back by the Russian Minister for Foreign Affairs that the High Commissioner for Refugees had been invited. There has also been contact with the Red Cross. On the OSCE side, we have said that we would like to put our local staff at the disposal. There may be some formal problems with that, but I fully agree with the representative of Solheim that we need to put pressure on Russian authorities to get a formal framework for international presence on the humanitarian side, but in addition to that, we also need to coordinate, the organisations among ourselves, so that we can be as effective as possible, because this is a very serious situation.
ParlaMint-NO_1999-11-24.ana.ud542e732	It is obvious that there are not only political problems, but also security problems – two Norwegian women were killed in Chechnya as well. It's of the things that make many relief organizations afraid to go in, because they feel that they can't operate without heavy military escorts. A question arises as to the extent to which it is possible to force the Russians to ensure the relief work at least in Ingusjetia. There we do not have the same political complications as in Chechnya. Now there is an incredible effort made by individuals in Ingushetia. As I have been informed, 160,000 people are privately housed in an area of 350,000 inhabitants. So that's one human per. every other gullet. It's quite unimaginable. I just want to ask if there is any possibility – the Minister for Foreign Affairs was in on it – for increased Norwegian money contributions? Red Cross goes as far as I understand with a campaign today and asks the Norwegian people to collect money, but such a campaign would get a good start if the state also made a contribution.
ParlaMint-NO_1999-11-24.ana.ud542e741	I can confirm that we would like to contribute further financially. The problem has been that organisations have not had the ability to channel this. It's true that it's approx. 160,000 people or maybe even more who are in families. That's why some of the work that has been done on the humanitarian side has just been to support these families, and part of the money that we have made available from the Norwegian side has been spent on it. Security is a serious problem. In our view and in my view, it could be remedied somewhat if there were several international organisations who had a common arrangement and stayed there together, but there is no doubt that there would have to be an additional pressure on the Russian authorities to get them to provide the necessary guarantees. And after my conversations with the UN High Commissioner for Refugees, I know that it is one of the questions she has raised and is still working to get the help of the Russian authorities.
ParlaMint-NO_1999-11-24.ana.ud542e750	Questions 5 to 7 will be answered later.
ParlaMint-NO_1999-11-24.ana.ud542e756	I have the following questions for the Minister of Finance: ‘According to Today’s Economy 17 November 1999, Norway is the country in Europe with the largest decline in new car sales so far this year, with a failure of 17.2 p.m. What does the Council of State think is the reason for this?’
ParlaMint-NO_1999-11-24.ana.ud542e765	So far, the new car sale is about 15 pst this year. lower than in the same period last year. Since 1993, Norway has been in the midst of a high economic cycle such as the United Kingdom, Spain and the United Kingdom. has been driven by high growth in private consumption. New car sales have increased during this period and were particularly high from the beginning of 1996 to the first half of 1998. Despite a certain decrease over the second half of last year, in the period 1996-1998, a total of 143 000 cars were recorded on an annual average. This is almost as high as in the record years 1985-1987, when 153 000 new cars were registered on average each year. In the 2000 national budget, the first registration was estimated at 117 000 cars this year, which is about 20 000 cars higher than the average first registration so far in the 1990s. High levels of new car sales over several years have helped to reduce the average age of car populations in Norway, thus also reducing the need for the replacement of old cars. At the same time, there is reason to believe that car purchases are among the most sensitive parts of private consumption to changes in interest rates. The decline in new car sales in Norway must therefore be seen both in the context of last year’s interest rate increases and in the need for further renewal of the car fleet after several years of high new car purchases. Large parts of Europe have been experiencing a recession in recent years, and car purchases have been relatively low. However, one now sees signs of economic growth in several European countries, which has helped to ensure that car purchases have also taken place. This different economic cycle between Norway and the rest of Europe can thus help to explain that car purchases in Norway have fallen, whereas the opposite has been the case in several other European countries.
ParlaMint-NO_1999-11-24.ana.ud542e774	I thank you for the answer, which I really think was a little surprising. The minister says that we have a reduced need for new car sales in Norway because we have bought so many new cars in the past. I can inform the Minister that in Norway we have the oldest car park in Western Europe with an average of ten-year-old cars, so there is an absolute need to renew the car park. Secondly, I can also inform the Minister that approx. 50 pst. our car fleet has a catalyst. Therefore it is necessary to renew the car park. Does the Minister think that there may be a level of charges that is too high in Norway so that this fleet will not be renewed sufficiently?
ParlaMint-NO_1999-11-24.ana.ud542e783	To take the question first, of course, I do not ignore the fact that the level of charges in Norway affects the sale of new cars. However, I tried to explain in my reply why new car sales in Norway have fallen in 1999 compared with 1998, and I think that the answer is probably good, with the figures that I documented. When new cars were sold so high in both 1996, 1997 and the first half of 1998 that it gave an annual average of 143 000 new cars, it is far, far above what has been normal in Norway. Normal sales of new cars in Norway in the 1990s have been below 100 000, so new cars will be sold this year, so estimates are that we will sell about 100 000. 117 000 new cars in 1999 — significantly higher than normal sales so far in the 1990s. [[The President clubs.]]
ParlaMint-NO_1999-11-24.ana.ud542e790	The councils will probably get the chance, because Jan Johnsen has asked for the floor again.
ParlaMint-NO_1999-11-24.ana.ud542e793	I thank you for the answer, which I absolutely was not satisfied with. In Norway, it is estimated that about 2 % of all drugrelated deaths are related to drugrelated of the families with three children have an old car, and approx. 92 pst. of the families with two children. So these are driving in the most dangerous cars available. In Norway too, in order to buy a car, you really have to buy two: one for the state and one for yourself. Does the Minister feel that there is a need for a rapid renewal of the car park and, of course, for a significant reduction in the level of charges?
ParlaMint-NO_1999-11-24.ana.ud542e802	With Johnsen's attitude to taxes and charges, I had not expected my answer to be satisfactory. I understand that Johnsen is not satisfied with the answer. But what I didn't get time for in the previous answer was to say something about environmental considerations. I agree that there is a point to try to limit pollution, but there is no automatic link between replacement rate and pollution – that the faster and more often you replace the cars, the less pollution you get. It is also a significant pollution related to the production of new cars. So there's a question about where the balance point is. I don't think it's a goal for us in Norway to have the same rate of substitution as we do in parts of Europe, where it's obviously negative in relation to the environment that we replace cars as often as we do there.
ParlaMint-NO_1999-11-24.ana.ud542e813	I would like to ask the Minister of Finance the following questions: ‘In a press release by the Ministry of Finance on 17 November 1999 on a new regulation for the deduction of travel expenses between home and work, it appears that commuters with costs of ferries and tolls less than NOK 3000 are not deducted from the cost. This is contrary to what a unanimous collapse in the state budget said last year. What is the reason why the Council of State chooses not to follow the Storting recommendation?’
ParlaMint-NO_1999-11-24.ana.ud542e822	About two million active people have travel expenses between home and work. It is therefore important that the tax rules for such travel costs are as simple as possible and that manual handling is limited to a very small proportion of the tax payers. Deductions should be granted to taxable persons with economically burdensome work trips in addition to the usual. In the 1999 budget, the Government therefore proposed a new and simpler legislation for the deduction of work travel. The model is based on a deduction calculation at the rate per cent. kilometres, irrespective of the mode of travel. No account shall be taken, in principle, of the actual expenditure incurred during the journey. The proposal was unanimously adopted by the Stortinget. The issue of extra costs related to driving was the subject of my letter of 28 October 1998 to the Socialist Group in the European Parliament. The letter states that the Ministry would assess whether the standard deduction of DKr 1.40 per year would be appropriate. Kilometers would be considered to include additional driving costs or whether a greater or lesser reduction in additional costs could be granted to certain categories of drivers. Furthermore, it appears that one in this assessment had to pay attention to the need for simplification, but that one also had to consider the need for a reasonable result. I also see that there are strong reasonable grounds for extra deductions when driving is necessary in order to get to and from work, and this car use leads to higher extra costs for ferry tickets or tolls. However, such a separate deduction must take place within the framework of a practical scheme. It is important that such an additional deduction does not remove the simplification effect of the new scheme. Int. O nr. 16 for 1998-99, the Committee of Finance concluded my opinion that there are strong grounds of reasonableness in favour of extra deductions when the use of the car is necessary and that the use of the car leads to higher additional costs, as mentioned above. In my view, the rules of the adopted regulation are in line with the guidelines outlined. Tax collectors who have costs for ferry or bombs exceeding NOK 3000 shall be deducted from all these costs when the use of a car is necessary, i.e.: when the use of public means of communication increases travel time by more than two hours in relation to the use of a car. When assessing this amount limit, I have taken into account the fact that some taxpayers may have large additional costs in the case of the required driving, while at the same time paying attention to getting a practical system. The scheme ensures that taxpayers with daily costs of ferry tickets or major toll costs are normally deducted from all these costs.
ParlaMint-NO_1999-11-24.ana.ud542e835	I thank the Council of State for the answer, which I find unsatisfactory. It was also expected, to this extent, what the Council of State would say. I'm very doubtful that the new system of government here sketches is less bureaucratic than the previous one. On the contrary, a number of specific rules are introduced here, not least special rules for travel over 35000 km, which mean that less red tape and simplification, as intended by the Stortinge, are not necessarily followed up in the new regulation. Nor has the size expressed any special wish for NOK 3000 for which no deduction is made. On the contrary, the Stortinge has just said that you should be paid off for larger expenses. My follow-up question will then be as follows: Will the State Council reconsider the matter, although he clearly believes that this is in line with the Storting assumption? The majority has unanimously said that there was a desire for simplification. That's right. We want to reduce the mileage so that it is harmonised by bus. That's right. But at the same time, there are many significant extra costs – including those that have less than NOK 3000 per person. years.
ParlaMint-NO_1999-11-24.ana.ud542e842	As I said in my answer, I believe, of course, that the regulation adopted is in line with, and does not contradict – as it was actually claimed in the question from the Djupedal – the assumptions of the Stortinget. I think Djupedal's follow-up points a little bit in both directions. If it was the simplification that shouldn't be fooled, you would have to say that the travel allowance is $1.40 per. km, point. That would be the easiest thing to do, but it could produce unreasonable results. That's why we've made some rules of exception. However, in my opinion, there is no doubt that this system is much less bureaucratic, and will mean much more simplification, less work for the equality authorities, than the old system of deductions for travel expenses.
ParlaMint-NO_1999-11-24.ana.ud542e849	This is contrary to Stortinget's assumption, for Stortinget did not want that kind of excess to be introduced. What Storting has clearly said is that we want a less bureaucratic system and that those who have more expenditure on bombs and ferries should have it deducted. The size has also given its support to a lower kilometre rate in order to achieve harmonisation of public transport and cars. So the main thrust of what has been adopted is correct, but the Storting has not wanted the kind of new bureaucratic rules that are being introduced here. I understand that the Council of State insists that the regulations are in line with what the Stortinget has said. My challenge is not to the Council of State, but to the Government: this must be decided by the Storting, because, in my opinion, this is not in line with what was decided in the State budget last year. SV will somehow come back to this question.
ParlaMint-NO_1999-11-24.ana.ud542e856	When the Storting said that there should be an additional deduction for larger extra costs, it is of course not good to define what is greater extra costs. But I have tried to assess this and come up with a practical system. If you, for example, to carry a car on a ferry, according to information obtained from the ferry companies, it is not possible to get it without it costing more than NOK 20 per road. Then it is quick to calculate that when you go back and forth, you will already have passed the limit of NOK 3000 after 65-66 days, and then you will get a discount on the entire amount. It is not the case that an extra balance of NOK 3000 is introduced if you have expenses of more than NOK 3000, which is a threshold set out in the regulations. In the case of a bokm, those who have more than NOK 3000 will also receive a full deduction. If you, for example, Here in the Oslo area, using annual cards or subscriptions, it is likely that you will get less than NOK 3000, and in such cases you will not be entitled to a deduction.
ParlaMint-NO_1999-11-24.ana.ud542e869	I would like to ask the Minister for Agriculture: ‘Despite the fact that both the agricultural topic and the agricultural sector have been opposed to this. 80, point (b) 1 in Støle in Randesund in Kristiansand municipality is liberated from no part, the Ministry of Agriculture has opted for ostrich liberation. Will the Council of State ensure that, in the pact of centuries-long traditions, international law is respected?’
ParlaMint-NO_1999-11-24.ana.ud542e878	As is known, the odel law opens up the possibility of freeing oodels of oodels acquired as additional soils. The person who buys a surplus land use as an additional land has a right to apply for a share-freezing. The applicant is entitled to a specific and individual assessment of his application. Such an application must be determined on the basis of a discretionary assessment of the nobility's interest in solving the property against a rationalisation gain — assessed against the objective of the law — that can be achieved by the release of the property from no part. The Court of Justice has delivered the following opinion on the framework for this balance: ‘In the light of the interests which must be taken into account here, the interests of the judicial institution and the interests of the persons entitled to benefits will have a central place. However, the importance of this consideration will have to vary according to the weight of the opposing reasons for soil rationalisation and on the basis of an assessment of the relationship of the noble good with the property and other circumstances.» Applications for ostrich release shall be evaluated in accordance with the guidelines of the Supreme Court. As long as one does, I can't see that the practice is contrary to the law and the traditions on which it is based. In the specific case the representative refers to, the fact is that the nobility will take the property from an owner who through a voluntary purchase has acquired additional land, which he believes he needs. In addition, the authorities have authorised the purchase because it also provides a good social solution. It is important to stimulate and facilitate voluntary use rationalisations such as this. By freeing ourselves here, we are facilitating the implementation of a private purchase agreement, an agreement that facilitates the proper use of the areas in question.
ParlaMint-NO_1999-11-24.ana.ud542e894	I had feared the worst, but this was worse than fear. The Odel Act shall have a central place, says the Supreme Court. But we also have a different practice in Norway, and that is that local democracy – at least in speeches – should have a certain meaning. The principle of subsidiarity is said in the EU – that decisions should be taken as closely as possible to those concerned. Here, then, we have very clear decisions, both from the local agricultural topic and from the county agricultural topic, which go in one direction: that the right to vote should be respected. I think it's been a long time since I've seen a case in which central power completely outruns local democracy and the locally elected politicians and denominators. I think I simply have to say that this is just central considerations that have to count. Of course, the Supreme Court has said that the right to vote should be weighed against other considerations, and one of the reasons I thought with respect to notifying was the consideration of local democracy.
ParlaMint-NO_1999-11-24.ana.ud542e903	The legislation is structured in such a way that there is an opportunity to appeal against the decisions taken locally. Of course, such a test of a complaint assumes that it is possible for one to arrive at a different result from what has been done locally. If not, the complaint institute is not real. This means that a judgement must be carried out also in the body carrying out the review procedure. That's what's done in this case. It is clear that one in this appeal procedure has focused on the treatment done locally and on the basis of which the decision has been taken. The fact that the Ministry has achieved a different result is that we have a complaint institute that should also be able to function when the Department considers it necessary.
ParlaMint-NO_1999-11-24.ana.ud542e908	Of course, the Council of State is right to be able to reverse a decision, but there is nothing to be done about it. So here we have, among other things. a county agricultural department, led by a Christian People's Party politician in West Agder, and the vice-president of Kristiansand, from the same party, went contrary to the decision of the Council of State. I just think we're going to maintain that the right you have is not a right to commit wrong. It should also be possible to see that it can be done correctly, what happens locally. I think I will be quite specific: Norway is a centralized country. We have the old statement that God gives an office, he also gives understanding. But is it entirely unmistakable that very little sense also drips on those who administer Norwegian law in municipalities and county municipalities? Is it only when you come up at official level that you know how to make reasonable decisions, decisions that go completely under the skin of individual property rights and property rights, and that have no foundation in what is decided by those who wear the shoe and who must be expected to know the best where it presses?
ParlaMint-NO_1999-11-24.ana.ud542e921	I leave to the individual to assess the wisdom of decisions. But it is the duty of a Council of State to assess the complaints that come to the ministry. Of course, the Council of State has tried to do as properly as possible, according to the law that exists. Then we have to be aware that the Council of State receives a number of requests from a number of representatives in the Grand Duchy, which go across what you think is the right view of justice. There will also be different perceptions in the enquiries made by the Council of State. Obviously, there's nothing to say that you have to change. It's called that you can. There is an assessment by the Ministry through the review procedure. Of course, we've gone through carefully the facts that have come, both from those who want to have nobility liberation, and from the other party. So this is an overall assessment based on the facts and information we have on the matter. It is clear that it is also important for the other party’s business to make this work.
ParlaMint-NO_1999-11-24.ana.ud542e939	I will ask the Minister for Agriculture the following questions: ‘In Norway, we have a long tradition of producing mountain butter of the best quality. Last year more than 68 tonnes of butter from the garden and mountain went to animal feed. This is a high-quality product that people would like to buy. In what way will the Council of State help Norwegian mountain butter to be sold again to normal consumers and not as reef feed?’
ParlaMint-NO_1999-11-24.ana.ud542e948	The condition for selling mountain and farm butter produced on farm to food is that production meets the requirements of the legislation. There are two different authorisation schemes for the production and placing on the market of mountain and farm butter. Under the simplest authorisation system, products may be placed on the market locally. Such production shall be authorised by the local food surveillance authority and shall be carried out in relation to own farms or seats. On 22 April 1999 the Milk Regulation was amended so that it is now easier for these producers to sell mountain and farm butter directly to the consumer, while maintaining hygiene requirements. The main change is that manufacturers can now sell their butter through shops throughout the area covered by local food surveillance. In the past, sales could only be made from own farm, square or market. This means that many can now sell their products within several municipalities, provided that the establishment is approved in accordance with the general hygiene rules. If production complies with more stringent requirements, the establishment is authorised by the State Food Authority under the Milk Regulation. The Milk Regulation is part of the EEA legislation. The requirements are common to the whole EEA area, and we are obliged to follow them through the EEA Agreement. The products can be sold throughout the country and in all other EEA countries. I would like to stress that the amendments to the milk regulation which took place at the end of April 1999 give farmers of farm and mountain butter greater opportunities for the disposal of their products, provided that they comply with the requirements of the general legislation. Per. Today no butter producer has applied for such authorisation by SNT, i.e. to comply with the strictest requirements. Authorisation and authorisation, respectively, is a process that may take some time. This may be some of the reasons why only a limited part of the butter has so far been placed on the market for food to people, but the possibilities for authorisation and sale are now available if manufacturers will comply with the legislation.
ParlaMint-NO_1999-11-24.ana.ud542e961	I would like to thank the Minister of Agriculture for the answer, and I would like to comment on what the Council of State said at the end of its speech, that the producer must comply with the legislation. Of course, Norwegian food must be sold with good quality and requirements for proper hygiene. However, hygiene requirements must not be so strict that they do not work in practice. For many small users who make these goods, the requirements are far beyond their financial ability and the ability to earn wages out of the goods they produce. It must be a task for the Minister of Agriculture, in cooperation with the health authorities, to put in place a system through the EEA legislation and food control to enable small farmers to sell their products at a price that provides foresight. Without it, I'm afraid that many of the small customs we have in the West and out along the coast are being laid down in the future. Does the Council of State see the seriousness of this development? Another question: Now we know that Norwegian agriculture is undergoing conversion. What consequences will there be if the small curtains around Norway do not use these niches to sell their product, as they have done in previous years?
