ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e73	The representative of Ursula Evje will make a private bill.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e440	Two comments: One is the question of document fees, because the government is promoting a proposal that goes in the right direction, but that is just a little bit of a bigger issue. The Progress Party takes up another aspect of the issue and proposes it. None of the proposals really address what may be the main issue in terms of inheritance. It is the tax base itself, the rate and the free amount. But we also refrain, because there has to be some logic in how to act. When the Government sets up a sample to evaluate the entire scheme, according to the cancellation, it is reasonable, if you want to get something figured out, to wait until it is determined. If you know the answer, you can't figure it out! And I registered that no parties in this hall believe that you know the answers. There are several distortions of the inheritance tax system in addition to what both the Progress Party and the Government here propose. The Government is fully in agreement with its proposal. For example, I would like to ask the representative Jensen about what she thinks about another aspect of the inheritance tax system, namely whether it is reasonable, as today, to consider in the regulations relating to the document fee, a dead person who buys the property of a deceased person and therefore imposes the death penalty on 9/12 of the full document fee in addition to the full document fee that the purchaser of a property from a deceased person has to pay. These are pretty complicated issues. I think you'll be well served, not to stumble into your suggestions, to get it all reasonably thoroughly evaluated. It doesn't change our principleal attitudes, among other things. that inheritance tax in family businesses has gradually become a very burdensome charge, which we are prepared to reduce in some form – the basis of calculation, the amount of free money or the rate of probability, or a combination of these. However, there are a number of other unfairnesses of inheritance tax legislation today and the calculation of the document fee that we would like to have investigated and seen in a context. It's basically my advice to the Progress Party, too, because you can risk tripping laughs here, for example, forget to address the issue I'm now pointing to. So to the other issue, which no party other than the Progress Party has addressed in the form of proposals. This concerns the rules — and perhaps in particular practice — for the calculation of VAT for airlines. There's obvious unreasonableness. I think that's widely recognized. There are injustices that have emerged particularly when competition is free, and when Norwegian companies fly differently both domestically and abroad. I say differently. Moreover, I think that, as the margins have become somewhat smaller in domestic air traffic, more attention has been paid to the charges, and that is not unnatural. The domestic airlines are currently running out of deficits, and this side of the cost is also focused on this. I therefore think there is every reason to stress that we on the Right want equal treatment for all domestic air traffic, regardless of whether the companies have access to operate more or less abroad while flying domestically. I think there's a lot of difference here. The Progress Party is also promoting a proposal here, despite having participated in a majority that has previously asked the Government to set up a wide range — and the Government has followed it up — to assess the conditions of competition in aviation, a selection of which the industry, experts and ministerial staff are involved. And the mandate is derived from the Storting's own attitude. If you want something figured out, I kind of think it's a little intellectually reasonable to wait for the investigation, because if you had the answer, you wouldn't have to ask for an investigation. I also think the same reasoning applies here. That it's urgent, I'd like to stress, but I think there's still time to get it into a reasonable treatment for next year. I would like to ask the Council of State to follow this up actively, because I agree with those who say that in the longer term, this can be about quite significant distortions of competition between large international companies and smaller national companies and perhaps – in the worst case in the longer term – the deflagration of jobs.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e459	First, to the question of the inheritance fee: I believe that the examples from the representative Foss are only a few compared to some of the unreasonable things we see related to the inheritance fee. Indeed, the view of the Progress Party on the inheritance tax is that it is an immoral double taxation that should be removed as soon as possible. As for this warning from Foss about the danger of tripping, we don't see it. We want to work actively to get the most of the inheritance fee removed, because it is, at least, as we see it, completely immoral. So to this selection that was set up to look at the competition conditions for aviation: yes, it is absolutely right, as the representative Foss says, that this selection was set up with the unanimous agreement of the Stortinget. But the problem is that the issue of VAT was not discussed in the Financial Committee at the time that that sample was set up, because it was then estimated that the Government would come to Stortingen with a case on the value added tax question. This did not happen, so that the majority of the financial committee has done so in the vote on the revision, just to point out, as an addition to this sample, that the issue of value added tax should also be addressed here. So it wasn't supposed to be when this sample was reduced. So to all intents and purposes: I fully agree with the representative Foss that when you first go in to reduce a sample, you should wait for the results. But there was no starting point for this sample. Now it's inserted. That's well and good, that, but it would have been possible to solve this sub-bit anyway. Why, for example, does the Right and the Working Party support the proposal to remove the investment tax, but not the proposal to remove the VAT when both contribute to distortions of competition? I find in many ways that the argument from the representative Foss does not hold in this context.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e470	Several have not asked for the word. Per-Kristian Foss has asked for the floor. The president reminds us that it's late in the evening, and he also wants to remind us that we have more things to deal with.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e475	I'll worry about it. I just want to say about the issue of why you charge investment taxes and not VAT. I think the issue of investment fees is very simple – very simple! It's not in this case. The airlines themselves have pointed out that this applies not only to the legislation but also to its practice. That is why we want to get a better basis for taking a stand on this, and follow the reasonable normal working method that we do not address our own proposals in areas that are not affected by the Government documents. I note that in the whole vote on the revision, the Progress Party has a standard comment that goes back as much as 32 times, and that is that the review of the revised budget should make the least possible possible. However, those who have the most far-reaching proposals and the most unexplored proposals are precisely the Progress Party, also in the context of revision. It might be good to keep the same principle throughout the treatment. In conclusion, I would just like to say that I noticed that the representative Jensen did not find any reason to address the issue I raised, injustice in dealing with the deceased. It only shows that this is a problem that is several times more extensive than the limited proposal The Progress Party addresses. Therefore, it may be wise to wait for all parts of the issue to be addressed, so that you do not do injustices when, for example: make allowances for some, but not for others, in the treatment of both the document fee and the inheritance fee.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e486	Siv Jensen has spoken twice, and gets the floor for a brief comment.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e490	I am sorry to have to extend the debate, but that is the way it is: yes, we have a standard comment throughout the whole vote on the revision, because we believe that the revised budget should not be used to a large extent to make major changes. That is also why we are voting against a number of the tax-change proposals that the Right is promoting – precisely because we believe they do not belong here. But we've taken into account the areas where we think it is very necessary to do something, because the situation has changed. And there we've taken up suggestions. And to the question of death rower: I said on behalf of the Progress Party that we want to remove the entire inheritance fee, and then it is not necessary to nuance which things are worse. We believe that the entire fee is immoral.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e497	Then no more people have asked for the floor on case No. 4th@item: inlistbox [[Fotation, see page 750]]
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e511	Since it's late in the evening, I'm going to try not to address what we're going to debate on Friday, but relate to what's in this odelsting proposition. The Committee supports the Government's proposal to grant 100 million. kr to project-oriented technology development in the petroleum sector. But at the same time, the majority of the Committee opposes the Government's proposal to amend the Law on the State Petroleum Fund to finance these new expenditures. The proposal on expenditure on petroleum-oriented technology development is mentioned in St.prp. No 67 for 1998-99, under new cap. 2441 Petroleum-oriented technology development, item 50. This chapter proposes the allocation of a programme for project-oriented technology development in the petroleum industry. The State contribution shall be channelled as earmarked funds through the Norwegian Research Council. It is assumed that the oil industry itself will be responsible for a substantial part of the financing of the programme. In the Ministry's reply of 8 June this year to questions asked by the Workers' Party's Group, it is stated: ‘The proposal to grant project-oriented technology development in the petroleum industry is based on a number of project inputs from the oil industry. The question of possible appropriations for the purpose beyond 1999 will be assessed by the Government in the context of the presentation of the specific budget proposals. The allocation to project-oriented technology development is not to be seen as ordinary research resources of a more long-term and fundamental nature. However, this action will be complementary to ordinary research programmes through NFR. ‘... The proposal therefore implies that the State, together with the oil industry, should contribute to the financing of technology development projects. The majority of the Committee considers that this may give rise to a new industrial focus and therefore supports the intentions of the proposal on the Fund. However, it is not clear from the proposal how to draw the lines between arrangements that can be financed by the petroleum fund and those financed by the budget. And in response of 8 June this year, once again to questions from the Workers' Party's big group, the Department writes: ‘The appropriations for project-oriented technology development are linked to the participation of the State in the petroleum industry and are intended to reduce costs on Norwegian continental shelf, inter alia, in order to increase the country’s revenues from the petroleum industry in the long term. ‘... Thus, the government finds it close, as they say in the letter, ‘to define the allocation as a petroleum-related expenditure’, because this research programme aims to reduce the cost of the base and thus increase the country’s revenues from the petroleum activity in the long term. However, a number of research projects related to petroleum activities could contribute to the reduction of costs on Norwegian continental shelf in the long term. In addition, for example: NORSOK, INTSOK and ENVIRONMENTAL SOCK compare with the proposed programme. It must therefore be noted that the Government’s proposal actually means that what should be an ordinary budgetary allocation is to be financed by deducting the cash flow from the petroleum activity. The country's net cash flow is transferred as income to the State Petroleum Fund through the State budget, thus contributing to the financing of parts of the budget. It is of concern if measures which may initially be considered as ordinary budgetary appropriations are not to be included in the overall budgetary assessment but are directly financed by the petroleum fund. This would involve accounting impurity, which in turn contributes to the exclusion of a specific expenditure item in the assessment of the overall budgetary growth. The government proposes this without a fundamental discussion of a law change to get it to. The majority, all except the members of the government parties, have concluded that they are opposed to the Government's proposal to amend the State Petroleum Fund Act. And finally, I recommend the committee's recommendation, which is therefore to reject the proposal for amendments to the Law on the State Petroleum Fund.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e552	: I will briefly refer to the late space party's comment on this matter in the configuration from the committee, and will, on behalf of the Christian People's Party, the Center Party and the Left, take up the minority proposal that is made in the setting.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e557	The representative of Ingreigt S. Sørfonn has taken up the suggestions he referred to.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e560	The rapporteur has explained why this has been very unfair. The Committee is, of course, in favour of the proposed allocation, but it is inexhaustible. I don't have to go into detail about it, but that's also the background that SV is to reject this bill, and is for it to be granted through the ordinary budgets. The reason I took the floor was that we wanted this fund to have a different device. What will be one of the most important challenges for Norwegian society, and not least for the petroleum sector, will be that we will have a sustainable economy. So that means an economy that is ecologically sustainable over time. The petroleum sector is one of the most important greenhouse gas emission sources we have; it accounts for a quarter of greenhouse gas emissions. The environmental measures taken in the North Sea have been positive. So we want this fund, the Technology Fund, as this is called, to have a different device than the proposed one, which is mentioned in the State budget, and to which we will probably come back on Friday. Let me just say briefly that if we are to create an ecologically sustainable economy, it will be absolutely necessary to set up this kind of fund. We are positive about that, also that we get an environmental device that will contribute as an incentive for the industry itself to go further towards creating the sustainable economy that we will depend on.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e572	Taking into account the time of day, I tried to resist the temptation to take the floor. I did well in the previous case, but I still think I have to say some words in this case, after the rapporteur's comments. The government wants to intensify research in the petroleum sector. We have therefore promoted a The allocation will be part of a programme aimed at improving the decision-making basis on Norwegian soil. This will have implications both for contributing to new field development based on new cost-effective technologies and for ensuring greater certainty that development projects can be carried out within a budgeted framework. I have noticed that there seems to be a majority for this action in Stortinget, and this is joyous in the light of the challenges we are now facing on a Norwegian base. The appropriations for project-oriented technology development are funds linked to the participation of the State in the petroleum industry. This is why the Government has chosen to propose that the funds be deducted from its net cash flow from the petroleum activity. In this context, I point out that, in many cases, there is significant technology development related to individual licences. The State will finance a proportionate share of this in the shares of the licences in which the DØE holds. Thus, such technology development costs will automatically be deducted in calculating the net cash flow from the petroleum activity transferred to the petroleum fund. The difference from the appropriations currently proposed by the Government is that the costs of this appropriation may not be allocated to each licence in the same way. At my discretion, it would be natural that such costs were treated equally, regardless of whether they could be attributed to a particular licence or not. This is the background for the Ot Government. pp. No 67 for 1998-99 proposes an amendment to the Act on the State Petroleum Fund. Paragraph 2 of the Act specifies the income and expenditure included in the net cash flow from the petroleum activity transferred from the State budget to the State Petroleum Fund. The proposal to amend the State Petroleum Fund Act implies that the costs of petroleum-oriented technology development as described above are deducted from the net cash flow from the petroleum activity. Thus, these costs will be treated in line with the corresponding costs financed by each licence. I also point out that an investigation programme aimed at improving the basis for decisions on disposal cases relating to pipelines in the petroleum industry was funded in a similar way in the context of the revised national budget in 1996. No legislative change was introduced at the time, but a new item, ‘Special operating expenditure’, was created under the budget chapter concerning the removal of devices on a Norwegian base. In this way, these exploration costs were automatically charged to the petroleum fund. A unanimous biging then joined this. This is therefore not a new way of financing such expenditure. The government’s legislative proposals would result in a similar treatment of investigation costs related to technology development on Norwegian pedestal. However, I take note, of course, that the Government's proposal to amend the law does not seem to have a majority in Odelstinget.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e587	Several have not asked for the floor on case No. 5th@item: inlistbox [[See page 751]]
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e601	The rapporteur is Erik Dalheim, who is in Lagginget. Tore Nordtun then said he was willing to file the matter.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e604	On behalf of the Workers' Party, I made a proposal earlier in Document No. 8:27 for 1998-99 on cargo balancing for fuel, and in that proposal we asked the Government to reintroduce the old freight balancing system as soon as possible. We prayed in this Document No. At the same time, the 8 proposal that the Government had to impose a ceiling on the increased costs of the scheme, cf. Inner. O. No 26. Then came Innst. O. No 81 for 1998-99, where the Committee's recommendation was: ‘The order in which the State budget for petrol and automotive diesel was carried forward from 1 January 1999 will be reintroduced from 5 February 1999 until 30 June 1999. ‘... I would like to point out that the self-funded freight balancing system that the Government is now proposing again will represent an additional cost for fuel users of the order of 150-200 million. kr, i.e. one additional cost per year. liters of 5 ears plus VAT. On the part of the majority, we do not find that this substantial extra cost for fuel buyers can be generally defended, especially in relation to the impact of the current scheme on the fuel prices in the districts. Under the current scheme, no one pays more than 7 cents per cent. liters beyond the 0 zone, i.e. that freight costs through concrete allocation from Stortinget are reduced by more than 100 million. kr per. years. So the Minister of Finance Restad's proposal represents an extra cost for the fuel buyers of 300 million. kr. And this is one of the main reasons why the majority opposes the proposed system and advocates the continuation of the current system. We propose that a further 40 million be allocated to the 1999 state budget. kr for continuation of the current freight balancing system, cf. Treatment of st. perp by the Storting. No 67 for 1998-99, Repriorities and additional appropriations for the 1999 State budget, cf. cap. 1560 heading 70. The majority, consisting of the Workers' Party, the Right and Twist Elections, indicate that the significant price differences in fuel are linked to competition in the market. In this context, the same majority refers to the competitive new market players faced when access to Norwegian distribution stocks is not granted. The majority therefore assumes that the Ministry contributes to the access of new actors to such stocks. This is assumed to be done on commercial terms or by other means to be the basis for new actors. We also believe that this could be an important contribution to further strengthening nationwide competition in the fuel market. The conclusion, as proposed by the majority, is as follows in the vote: ‘The Government asks the Government to continue the Stortinge decision of 4 February 1999 on the system of freight subsidies on the State budget for petrol and automotive diesel. ‘... This is in accordance with the setting.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e632	On 6 January 1995 Mr Gudmund Restad submitted a Document No. 8-proposal for measures at equal fuel prices across the country. The main content of the 1995 proposal is almost identical to the proposal we are dealing with today, as was the proposal on freight equilibration, which was made immediately before Christmas, and which was rejected by a majority in Stortinget. The State Council of Restad has obviously for many years had a vision of being able to put in place a system that brings almost equal prices of petrol in Norway, a vision that he would obviously not want to give up on. However, equal fuel prices across the country are not feasible by introducing a new tax, as most consultation bodies have also pointed out. It's not the shipping costs that lead to the big price differences, especially the prices are low in areas where there are also unserviceable stations. Competition surveillance studies clearly conclude that low petrol prices result from effective competition, a lack of competition in the districts. Of the 26 consultation opinions received by the Ministry, all rejected the proposed scheme — except for three. And the three are the Communes' Central Federation, the Ministry of the Environment and the Ministry of Local and Regional Affairs, which speaks for itself. Many ‘heavy’ hearing opinions, with the Competition Authority at the head, are in principle anti-freight balancing, but substantiately support a system of the State budget. The government justifies the introduction of a self-financing rural freight balancing scheme. However, the proposal lacks an analysis of the practical significance of the proposal for those living in different parts of the country. Nor has it been assessed whether the proposal will have an impact on the pattern of residence or whether it will make it easier to draw labour to the districts. It is unlikely that the desired adverse effects of the scheme will be achieved. Moreover, in some areas it is much cheaper to keep a car in the districts than in the central districts. An example of this is the insurance premiums on cars, which are far more expensive in Oslo. The difference can be many thousands a year, which does not vary the rate of the petrol charge. On a number of occasions, the former non-Council of the Ministry of Finance has provided for the introduction of self-financing schemes or fund schemes outside the State budget. Even the current government has put forward good arguments that end up doing so. On questions from the Right, the Council of State has not been able to give any good explanation that it is now seeking to derogate from this principle. The right hand is, like most hearing bodies, basically anti-fracture. But with the high charges that are currently on petrol and diesel, the Right is in favour of the continuation of today's freight balancing over the state budget. In addition, we will include the two companies that are not currently covered by the scheme, so that competition can be strengthened. It is far more important to reduce fuel taxes to the right than to introduce a new bureaucratic self-financing system that the entire population of Norway will see as the introduction of a new tax. I would like to say honour to be the Council of State Restad's firmness in placing the burdens on the drivers and on the business community. But I hope and believe that's the last time we're dealing with this State Council Restad's vision. It has previously been rejected twice by the Stortinget, it has been rejected by all the hearing bodies, it has been rejected by the Ministry of Finance, and it will now be rejected by a majority of the Stortinget. So we hope that's the last time we're dealing with this scheme in Stortinget.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e651	I will first address the proposal of the Christian People's Party, the Central Party, the Socialist Left Party and the Left, as indicated in the setting on page 7. It is in accordance with the Government's proposal and justified in two respects. The only thing is that through this, we get a self-funded system, where the shipping costs are fully covered outside of the 0-zone, and that's also the background for the extra costs that the case spokesman had in his post, and secondly, here we get a download of the state budget. Otherwise, I refer you to the debate we had on this issue in the Stortinget in February.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e658	Jørgen Holte has taken up the suggestion he referred to.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e661	I would like to start by saying that although I am opposed to any subsidy scheme in the case of cargo, I allow myself to claim that if there is first to be a system of freight balancing, a continuation of today's system is far preferable to the proposal for a new system. The new scheme proposed by the Government is, in reality, an increase in the petrol and diesel tax for all those buying these products, as if it were not high enough. I'm not sure if the background for the government's proposals is based on a kind of justice by the fact that there should be something similar to petrol and diesel prices in this country. In case I ask the question, what kind of justice are you going to use? Is it that the petrol customers in Bodø have to pay the freight for the gas and diesel customers in Saltdal? While the estate gene has to pay 1.5 million. NOK in the case of a dwelling and must cover that amount in full itself, the saline shall be removed by half. What kind of justice is there in that? A match of praise will not be paid 30-40 kroner per person. kg for fresh screams, an osloenser has to pay at least twice — and one is not sure if the fish is fresh even. What kind of justice is that? It's possible that someone thinks it sounds fair. I'm not among them. For me, justice is that if you want to live in an urban area, there's a lot of benefits to it, and there's a lot of disadvantages, in line with if you live in the districts. In both cases, individual choice is free, and you have to cover the cost of moving yourself. If there was not to be the idea of justice behind such a proposal, is it some kind of district policy? If someone thinks it's the freight balancing system that's going to be what ensures a settlement, then someone has to start believing again. It seems to me that you have the impression that if the prices are the same in this country, everything is fine. I think the price would have been 12 kroner, but nobody in this country got the same for 11.50 kroner. In fact, during the time we've had this re-introduction fractal balancing system that's been proposed and that's worked until today, people have moved from District Norway and into the agglomerations like never before. When are we going to rise to the bulk of the population that there's not equal gas and diesel prices going to make people live and work in District Norway? Lower taxes on these products are easy to apply. I'm pretty sure people in Saltdal had accepted that the gas cost 10-20 cents more in Bodø, if the level of fees had been to live with. And that's when we're at the heart of the problem: the crazy taxes on petrol and diesel! And that's one of the main reasons why people move, not the marginal differences with base in cargo. When you also know that it's not the freight costs that determine the price level of petrol and diesel, but the competition between the companies, the proposal becomes completely incomprehensible. As an example of this, I will show that although the shipping costs of petrol and diesel to Lake Sandness are twice as high as the shipping costs of the same products to Mo in Rana, the price of a litre of petrol is much lower in Lake Sandness than in Mo in Rana. A few days ago, the price of petrol was in Bodø Norway's lowest, although they have cargo supplements there. It shows that it is not the freight costs that determine the price, but the competition in the individual place. In other words, such a scheme would have little or no effect on the price level, and this is not an exceptional case. I could have mentioned far more if it had something in common. But for the sake of order – both Lake Sandness, Mo in Rana and Bodø are well for districts to count, and it clearly shows that schemes like this do not work. The Progress Party will vote against the regime proposed by the Government on a self-financing freight subsidy scheme, and we will vote against the continuation of today's regime.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e678	I'm sorry, but I don't think I can manage to show the same enthusiasm and feeling or the same commitment to this proposal, as previous speakers have shown. I just want to briefly explain why SV here stands with the Government – it is otherwise also nice to be in that company once in a while – and the reason for this is relatively simple. We think that a fractal equalization system makes sense. Of course, it is not enough to get equal prices for petrol or fuel throughout the country. It is quite right that competition in this way is the most important mechanism for getting lower prices in some regions. The advantage of a self-financing scheme is that in some parts of Norway, motorists with stronger competition help to reduce the price of those parts of Norway where competition is smaller. In addition, a self-financing mechanism will be less budget-dependent. This will mean that the scheme will be self-propelled, completely without the intervention of the Storting. That means you can't balance the budgets with a cut. The majority of the population here is using taxpayers' money to subsidize petrol of the order of 100 million. kr per. years. And you might say, well, that's right. In my opinion, that is not correct. If I had 100 million. kr, I would not sponsor the petrol price; on the contrary, I would use them for children and young people, for high school or for any of the other, good and sensible measures. Therefore, we support the Government in a self-financing anti-spare regime. But we haven't put that money in our alternative budget. We think the money should be spent on something more reasonable.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e687	Since the proposal has aroused such commitment to the assembly, I think, even though the clock has just passed midnight, that I have to make a little post. So it's the government of Ot.prp. No 73 for 1998-99 proposes to replace the current state budget freight subsidy scheme with a self-financing fuel freight balancing scheme. The aim of the proposal was to ensure full balancing of freight costs, while not charging public budgets. Of course, the proposal does not lead to equal fuel prices across the country, as others have pointed out. Differences in prices due to conditions other than freight costs, e.g.: differences in competitive conditions would not be affected by the scheme. Therefore, a self-financing freight balancing scheme as proposed would not prevent differences in fuel prices still occurring in Norway. However, by eliminating freight costs as a factor explaining price differences, different prices will result from conditions other than freight costs. Moreover, the fact that the proposed system of transport subsidies is self-financing would ensure that the oil companies are in charge of the financing, and thus that the scheme does not impose any other measures that need to be provided with appropriations from public budgets. The self-financing scheme would require the oil industry to pay a separate contribution for all taxable fuels covered by the scheme to a separate fund that provides a basis for the payment of freight subsidies. Unlike the State budget scheme, which only covers freight costs above 7 ør per. litres, it was proposed that the scheme be modified to fully offset freight costs outside a 0-zone. In order to simplify and target the scheme, it was also proposed to extend the 0 zone from 10 to 30 km. ‘0-zone ’ means a zone around the oil companies’ storage depots for fuel storage in which oil companies do not receive freight subsidies. In order to cover the freight costs of oil companies for the transport of fuel from the depots to refuelling stations outside the 0-zone, it was proposed that all fuel be charged a financial ring fee of 5 øre per. liters. The government assumed that the oil companies would roll this over to fuel prices, so that the scheme alone could lead to an increase in the price of all fuel by 5 cents per cent. litres plus VAT. Compared to a non-consignment situation, the total freight costs are allocated in addition to all fuel sales. Today's arrangement with discounts and local price competition will in particular benefit customers in key areas. However, through a full freight balancing system, as proposed by the Government, customers in the districts would be better off than by the current system. Regional considerations were behind both the current and the proposed scheme. I regret to say that a majority of the Committee on Finance is opposed to the proposed system of self-financing of freight balancing. I can't help but take note of that. A comfort to the many who will be disappointed by the majority's position is that it is willing to maintain a freight subsidy scheme. A majority is in favour of the continuation of the current system of freight subsidies above the State budget. In my opinion, the Government's proposal has several advantages in relation to the existing scheme, including: ensures, as mentioned above, full balancing of freight costs and thus removes the argument that frequent differences in fuel prices are due to freight costs. In addition, the scheme would be self-financing, so that the fuel buyers themselves, and not the taxpayers in general, are responsible for the financing. The scheme would thus not charge public budgets, where there is a great need for appropriations for many good purposes. However, I must bear in mind that the majority of the Grand Duchy does not agree with these assessments and that the majority is in favour of a change in today's system. An immediate consequence of this is an allocation need for the rest of the current year of 40 million. kr and a corresponding deterioration in the State budget.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e706	Several have not asked for the word. [[The President clubs.]]
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e709	President!
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e717	It's a line from Dag Terje Andersen. It's going to be line change.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e722	Thank you for that, President. I understand that the president is well with the club now. A concept such as ‘self-financing’ freight equalisation has repeatedly been used. And then I have to ask for clarification from the Council of State, because as we've seen the scheme, it's not self-financing, it's funded by all of the car users who are not currently in the anti-cargo system, i.e., the gas is going to be more expensive throughout the country. That is really the reality of the Restad proposal. When the majority rejects his proposal for a bureaucratic new arrangement and rather wants to maintain – with varying enthusiasm correctly – today's system, it is based on the fact that we want to save the drivers for a cost of hundreds of millions of dollars. I ask the Council of State to be so kind and to comment and, if necessary, confirm that the term ‘self-financing’ is misleading. It is a car user-funded anti-fracture system that the Council of State has proposed and that we today reject.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e731	No, the term ‘self-financing’ does not, of course, mean that you have some Sarepta’s jar from which this money can be taken. It is in the word ‘self-financing’ that the fund is financed by those who will use the fuel, as Mr. Dag Terje Andersen correctly points out. But it's not that today's scheme is free either, it's also other than fuel users, i.e. taxpayers in general, who contribute to the 100 million. kr in the year currently used for freight balancing, which is financed by the State budget. Otherwise, it's not right, as Dag Terje Andersen suggested here, that the scheme now proposed is more bureaucratic than the one we've had for many years. There will be a payment under the same system, and then there will be a payment from the five-six oil companies that are involved, so there is no bureaucratic system. – So that’s probably not the reason why the majority is not in favour of the scheme, but I’ve taken note that the majority of people don’t want a change, and there’s nothing to do with me.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e738	Several have not asked for the floor on case No. 6th@item: inlistbox [[See page 751]]
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e752	Salmonella warning, bacterial alarm or perhaps poison residues in food are unfortunately common examples of newspaper headlines today. And in a world where cross-border food trade is increasing, there is a clear need for quality control, and to a greater extent than before. Safe food for consumers is a key priority issue for the centre administration, and then it is obvious that effective and frequent control of food will benefit all consumers, from a health perspective. The extension of Annex 1 to the EEA Agreement has resulted in the abolition of border controls. While there may be a great deal to be said, it is very important that sampling and the screening of goods in enterprises and in the market are subject to a frequency that ensures a continuous good health and quality status. The Committee recommends to the Government that samples of food should be taken free of charge and Section 5, paragraph 3, amended accordingly. The meat production law and the fish quality control oven already have the right to sample free of charge, so this implies a reasonable harmonisation of the legislation. The Committee also recommends two other minor changes to the Food Law, in Sections 4 and 7. And the setting is consistent.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e772	Several have not asked for the floor on case No. 7th@item: inlistbox [[See page 752]]
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e786	Kristin Halvorsen has asked for the word. The President cannot see that any of the members of the Foreign Affairs Committee are present in the Chamber, so if Kristin Halvorsen can save the situation, the President is pleased.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e789	I am amazed that this matter comes up now after the peace agreement has been concluded, and the war in the Balkans is over. But in any case it should have been that SV should have reserved itself against the proposal for a decision in the cancellation and marked it. By an incubator, it hasn't come along. That's why I just want to do something because the SV's group wants to vote against.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e794	The President is otherwise in doubt as to what the Foreign Affairs Committee would actually recommend in this matter. It is stated here that neither the chairman nor the vice-chairman of the committee is in the house, so the president will propose that we close the discussion of this matter, and that we may come back to it during voting. Several have not asked for the floor on case No. Eight. [[See page 753]]
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e804	The odelsting shall vote in case No. 1-8.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e1220	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e1227	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e1234	During the debate, Mr Simonsen, on behalf of the Progress Party, put forward the proposals No. 1 and 2.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e1276	There is an aberrant proposal No. 2 from the Progress Party. The proposal reads as follows: «Amendments to the Law amending the Police Act are amended as follows:New Section 10(a) is replaced by the following: Section 10(a) Visit to reveal the weapon Police may visit the person in public places for reasons of investigation into possession of the weapon. [[police law]] Weapons are firearms or weapons which are prohibited under the law of arms. Furthermore, a knife or similar sharp tool which is prohibited from carrying in a public place under Section 352(a) of the Criminal Code or dangerous items which may be placed in custody under the police law § 7.II. This law enters into force immediately. ‘...
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e1308	It is voted over the title of the law and the law as a whole.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e1315	The Law Decision will be sent to the Lamentation.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e1417	The Socialist Left Party has announced their opposition.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e1426	It is voted over the title of the law and the law as a whole. The President assumes that the Socialist Left wants to oppose.
ParlaMint-NO_1999-06-15-lower-2.ana.ud1865e1435	The Law Decision will be sent to the Lamentation.
