ParlaMint-NO_1999-10-20.ana.ud802e27	The called alternate of the Nordland County, Lisbeth Holand, has taken the seat.
ParlaMint-NO_1999-10-20.ana.ud802e488	I don't have the same basis as the representative Alvheim here to claim that the elderly in these institutions live the same way they did before they were supervised. On the contrary, there is every reason to believe that in the vast majority of areas here the temptations that the supervision has seen are already out, and there has been a change. Let me also say that I am continuously busy improving the quality of the services at our age institutions. There is now in all the counties a separate quality counsellor attached to the county doctor who also gives his advice in the care of the elderly. We have to listen to a proposal to the lawhouse to get the same code in place in other care that we have today in the hospitals. When it comes to economic instruments, we've taken it into use in relation to recruiting more staff. I have not yet evaluated it in this area.
ParlaMint-NO_1999-10-20.ana.ud802e495	In overtime, Mr. Brende will have the floor for the main questions, but if you can save a little on the seconds, it's not the President's fault.
ParlaMint-NO_1999-10-20.ana.ud802e498	I thank you for that. I have a question for the Social Minister. Sick leave in Norway is now the highest in the Nordic region, and it is difficult to understand that sick leave in Norway should be 50 pst. higher than in our neighbouring country. The difference applies to all groups of employees, workers and civil servants, women and men. The scheme costs approx. $30 billion a year. Norwegian working life needs the hands that are available. The Minister for Social Affairs has not made so many concrete proposals in addition to visiting the parties with talk. Does the Minister of Social Affairs really think that her last action on extended self-communication in relation to today's system of twelve days to four weeks will reduce absenteeism, and in that case how?
ParlaMint-NO_1999-10-20.ana.ud802e507	It's right that the representative Børge Brende here claims that sick leave is high. It is worrying, both for the sake of individual workers who are struggling between work and disease, and for the sake of the individual employer, as well as for the costs of social security and for employers. When Børge Brende compares here with other Nordic countries, it is worth remembering that we have a very low unemployment rate in Norway. There is every reason to believe that there are people in the workplace who would not have the possibility of being there if it hadn't been for the sick. Mr. Brende says that the Minister of Social Affairs has so far just taken away the parties with talk. The Minister of Social Affairs has taken the initiative of an Idea Bank, which is about to be realised in these days, in order to find that there are in fact separate enterprises in this country where employers and workers have jointly reduced sick leave. Then the Minister of Social Affairs has had a strong commitment to increase the use of the active health care system, which also involves working together between employees, employers and treating doctors, and there is a system that is now in the process of delivering results, but where there is still a great potential for improvement. The last Børge Brende refers to, the proposal for an extended self-notification period, is a limited trial based on studies and experience so far, which is just playing at the same time, a close interaction between employees and employers, and which also has the benefit of actually releasing some medical lessons in connection with sick messages.
ParlaMint-NO_1999-10-20.ana.ud802e520	First, I would like to say that if people use four weeks' own message without contacting a doctor, I do not think this is a constructive call from the social minister. In fact, I believe that if you are ill three or four days, you should contact your doctor to see what is wrong with you. The Minister for Social Affairs was also concerned that unemployment in Norway is low. That's right. However, in Norway, there are one out of five people in working age on different social security schemes. So while the Minister for Social Affairs has deprived many part-time women of the rights to health pay, to increase their percentages and to tighten up on weak groups and other than those in active employment, one now wants to make the world's best health pay scheme, as we have in Norway, with full coverage from the first day of illness, even better by introducing a four-week self-employment period. Wouldn't it have been better to do something about the hospital queues, which is a serious shut-down for more people to get into work?
ParlaMint-NO_1999-10-20.ana.ud802e527	The representative Burnde will be given a wider opportunity to discuss the sick pay scheme when the government's decision to be hired by Matz Sandman, which looks at both access and causes of disability and sick leave, and also proposes measures, will be announced on 1 June 2000. In Børge Brende's own county, several attempts have already been made in collaboration between employers and employees who go over longer self-employment periods. As far as I know, it has been tried in Trondheim and in several North-Trøndelag municipalities. I do not mean what I have suggested, that there should be no contact at all. We've said up to four weeks, and there's going to be strict terms for this. What we're asking for in the first place is a law secret to do more work on it.
ParlaMint-NO_1999-10-20.ana.ud802e537	The time for the oral question procedure is running out, and we're going over to the ordinary question procedure.
ParlaMint-NO_1999-10-20.ana.ud802e542	There will be some changes to the list of questions set out, and the President will refer in this context to the overview distributed in the seats of the representatives in the Chamber. The proposed amendments to the current Question Time are proposed. – It shall be deemed to have been adopted. The changes were as follows: Question 3, from the representative of Øystein Hedstrom to the Minister for Economic Affairs and Trade, will be answered by the Minister for Justice on behalf of the Minister for Economic Affairs and Trade, who has left. Questions 4 and 5 from the representatives of Øystein Djupedal and Hallgeir H. Langeland respectively to the Minister for Foreign Affairs must be postponed to the next Question Time, as the Minister for Foreign Affairs has left. Question 9, from the representative Ane Sofie Tmärås to the Minister of Justice, will be answered by the Minister of Finance who directs him. At the request of the Council of State, the question is proposed to be moved and answered in response to question 3. Questions 16 and 17 from the representative Inge Wohnning to the Minister for Church, Education and Research will be raised by the representative Petter Løvik. Question 19, from the representative Steinar Bastesen to the Minister for Transport, has been withdrawn. Question 23, from the representative John I. Alvheim to the Minister for Health, has been withdrawn. Question 26, from the representative of Øystein Hedstrom to the Minister for the Environment, must be postponed to the next Question Time, as the Council of State has a disease incident.
ParlaMint-NO_1999-10-20.ana.ud802e566	I would like to ask a question to the Minister for Local and Regional Affairs: ‘We have recently experienced large farms here in Norway, where both human lives and large livestock have been lost. It focuses on the need for fire alarm systems to be installed in operational buildings. However, this will take time. Can anything be done by the authorities, in relation to the role of insurance companies and to the legislation, inter alia, concerning the supervision of electrical installations, in order to avoid tragedies?’
ParlaMint-NO_1999-10-20.ana.ud802e575	The use of electricity is vital for agriculture, energy is used for lighting, heating and operation of other equipment used for production. Electricity at the same time represents a major threat in terms of fire risk. The figures from the Directorate of Fire and Explosive Protection show that an estimated one third of the fires are due to faults on the electrical system and faults in the use of electrical equipment. The State Building Technical Office, the State Animal Health Authority, the State Agricultural Authority and the Directorate for Fire and Explosive Protection started two years ago a cooperation to identify and improve the fire safety of domestic animals in agriculture. In this context, Norway’s agricultural high school has been used as a specialist body for carrying out the necessary investigations. Those authorities, in the light of the work they have jointly carried out, are in the process of issuing guidance on the fire safety of livestock buildings in agriculture. This will be available before the end of the year. The guidance will include a description of fire as a problem in different types of livestock buildings, the legal rules applicable, common faults and deficiencies relevant to fire safety, and not least a description of measures that can prevent and limit fires. The guidance will be an important instrument for improving the fire safety of domestic animals and has been calculated both for owners of operational buildings and authorities supervising agricultural buildings and animal husbandry. In addition, for many years the largest company in agricultural insurance has been actively engaged in damage prevention measures in agriculture. In addition to information and motivational work, they are currently offering very favourable funding schemes for fire alarm systems in livestock operational buildings. This has been the main driving force for the strong increase in the installation of fire alarm systems in animal housing buildings. In the case of electrical installations, it is the owners, i.e. the farmers themselves, who are obliged to ensure that this is in a proper condition. The authorities represented by local electricity supervision will exercise supervision on the basis of a risk assessment. The supervision of the authorities shall not replace the responsibility of the owner for the ongoing maintenance of the electrical installations. It is therefore important to stress that the owners of these electrical installations in operational buildings, etc. have a separate responsibility for the maintenance and proper functioning of the installations. They can do this by e.g. to engage an installation firm to inspect the installation once per. years.
ParlaMint-NO_1999-10-20.ana.ud802e595	I thank the Council of State for the answer, but I'm a little surprised that the Council of State wouldn't put in a little bit stronger lye than what comes out in the answer. He talked about a guide, and that's well and good. However, I feel that it is important that we now establish a legislation whereby self-employed people in agriculture are required to do this. When one third of the fires are caused by the electrical system, it's quite a large number, I think. And when we know that businesses and private operators have a rather strict legislation in relation to health, the environment and safety, I think that the farmers should have been obliged to do so. But I'm recording what the Council of State refers to in the answer, and I'm pleased with this guidance and hope that this will help bring down the number of agricultural fires.
ParlaMint-NO_1999-10-20.ana.ud802e602	Let's first agree that the problem that fire in operating buildings represents is serious and should be taken seriously by all of us. There are many tragedies every year where domestic animals are involved in this type of fire. There is also a background for thorough work over two years that has resulted in a very comprehensive report both on causes and on possible measures to limit their scope. Of course, if the measures that are now being implemented to limit this type of fire are not sufficient, then of course further measures will have to be considered, without me now and again saying what that will mean. But I think it's an important step in the right direction that so many different agencies have now settled down to find out the best measures, that there is an increase in the installation of alarms, and that things are now going in the right direction.
ParlaMint-NO_1999-10-20.ana.ud802e612	I will be asked the following questions to the Minister for Local and Regional Affairs: ‘The results of the revised Planning and Building Act are alarming. There are signs from several parts of the country that small businesses give up because of a disturbing form fields and rigid documentation requirements. The law makes it so difficult to maintain small businesses in the districts that he denies the practice. Is the Ministry briefed on the problems this law creates for smaller enterprises, and when can we expect that simplifications that matter will be proposed?’
ParlaMint-NO_1999-10-20.ana.ud802e621	I would first of all like to state that the new building rules have little effect on the operation of the sawmill. The regulation on requirements for construction works and products for construction works may, in appropriate cases, have an impact on manufacturers of elements for construction works. The new regulation was adopted independently but at the same time as the revision of the Planning and Building Act. For undertakings producing large quantities of construction products without an overview of where they are to be used, documentation of properties is required. Construction products may be both materials and pre-assembled elements. However, minor application will not be covered by these requirements when the materials are used locally or are not sold on the open market. As long as the case-law has an overview of the quality and use of the materials, no more evidence is necessary than that the case-law states that the materials are good enough. These requirements are not new. Moreover, after the audit, it will often be sufficient to document the quality of the materials through the continuous inspection of the building. Another way to see the question from the representative Andersen is, of course, that the problem for the owner of a case is low construction activity among the traditional customers of the case, who think they are in trouble because of the problem. new building rules. There's another side to the code. Much of the criticism of the regulations has been directed towards a comprehensive documentation need. Feedback from municipalities confirms that they receive much unnecessary documentation because applicants submit much more documentation than the legislation requires. I have therefore found it necessary to clarify in the regulations that the documentation should be limited to what is necessary in the case in question. This measure, together with other simplifications, which I expect to bring into force in the current year, will contribute to significantly reducing the number of documents, probably with a total of 30 pst. I have to remind you that there is no requirement for a form to be used in construction matters. Form is a tool to facilitate communication between the applicant and the municipality. The industry has been committed to developing forms, and the authorities have assisted in this work. New and simpler forms are made available in these days. As a follow-up to the interpellation of the representative Sverre J. Hoddevik on 13 October 1998, the Ministry has launched several projects for the evaluation of the building project reform. There are already partial results from several projects such as: are the basis for the amendments to the regulations that I now wish to implement. The interim reports provide a basis for assuming that the increased duration of proceedings resulting from the reform is a transitional problem. Adaptation in the industry to the new rules is well under way and interim evaluation does not provide any indication of a direct causal link between legislative changes and possible changes in the structure of the construction industry. However, as I have said before, I will follow developments carefully and consider whether there may be a need to follow up on further studies of the impact on the smaller enterprises. Both central building authorities and industry place great emphasis on information, training and development of aids. Among other things, the new guidance on regulations will contain examples of the evidence needed for different applications.
ParlaMint-NO_1999-10-20.ana.ud802e636	In fact, I get a little abandoned when I see it as the Council of State does not think this is a problem. But it's a real, big problem for a part, and it's mainly for construction-related, construction-related, construction-related, construction-related companies. When they complain – and I have received many complaints – should we not take into account what they say? Shall we just politicians and bureaucrats say that no, it's not as difficult as you say, you get to be so good just keep going the way we sketched? Many people believe that the law imposes such strict requirements on this type of entity that simplifications need to be carried out within a short period of time. I would also like to say that it is the small companies – not the large companies – that have problems with the new, revised planning and building law and see it as a major obstacle to the small operators. And that particular angle I am interested in hearing the views of the Council of State.
ParlaMint-NO_1999-10-20.ana.ud802e645	It is quite right that it is the smallest companies that have the greatest difficulty in adapting to the new planning and building law and regulations, precisely because it is this type of enterprise that often has the least competence in relation to the requirements and that it takes a proportionately greater share of the administrative resources to do the work required by the regulations. There's no doubt that that's right. And that's exactly the background that the ministry has taken an initiative to implement simplification. Firstly – as I said in my first answer – it is clarified that no more documentation is to be required than what is most necessary in the case in question, then that we are already in the process of implementing simplifications that will help to reduce the number of documents probably by a whole 30 pst. So it's a grip that's just being done to take care of the smallest enterprises and make it easier for both those who are going to build and those who are going to do the building work and have their projects carried out.
ParlaMint-NO_1999-10-20.ana.ud802e652	I thank you for your answer. But I have several examples of individuals in individual companies in the district municipalities giving up, taking up work in a larger company and moving into more central districts. An example is the case-lawyer in East Agder that is referred to in the question. He believes that it is completely impossible to operate in the districts as the Planning and Building Act is now, and he takes on a job in the city. We simply can't set the threshold to participate in the work with value creation so high that it actually excludes more people from moving on or having the opportunity to start up on their own. In my view, there are quite a number of competent people who want to work with their hands, but they experience being confronted with a huge form field imposed on them by bureaucrats and politicians, and some of them feel very powerless. The error is that there are bureaucrats who design these rules. They do not even know the industry's actors and structure well enough, thus creating legislation that is not flexible enough for the industry. [[The President clubs.]] I believe that the Council of State must look at this, and that he should feel somewhat worried about what is about to happen.
ParlaMint-NO_1999-10-20.ana.ud802e661	Time's up!
ParlaMint-NO_1999-10-20.ana.ud802e664	I am still a little in doubt about the connection to the sawmill. For what is happening in that sector, there is no direct link with the regulations and the new Planning and Building Act. It is such that the background to new rules on product inspection and documentation of construction products is related to Norway’s obligations under the EEA Agreement, where we have implemented the EU Construction Products Directive. There is an obligation for each manufacturer of construction products to ensure that the characteristics of the product are documented before being placed on the market. The rules on the CE marking are such an aid in the control of the authorities, which follows the Construction Products Directive. They are implemented and have no connection with the Law on Planning and Building. They have quite different reasons, as the representative knows, namely the EEA Agreement. It is, as I said in my first answer, that construction products used locally and not offered in the open market are exempt from these documentation rules, just to make it easier for the smallest users. So we've tried to take care of them too.
ParlaMint-NO_1999-10-20.ana.ud802e676	This question, from the representative of Øystein Hedstrom to the Minister for Economic Affairs and Trade, will be answered by the Minister for Justice on behalf of the Minister for Economic Affairs and Trade.
ParlaMint-NO_1999-10-20.ana.ud802e679	I have a question for the Minister of Justice on behalf of the Minister of Economic Affairs and Trade: ‘Both energy industry and consumers want a law that ensures adequate control of current meters because the current legislation is incomplete and threatens consumer safety. The company Energy Measurement AS has found errors at 20 pst. by controlled current meters. Will the Council of State take an initiative in order to establish a regulatory control system at European level that respects consumers’ interests?’
ParlaMint-NO_1999-10-20.ana.ud802e688	There are an estimated 2.4 million. electricity meters outsourced in Norway. There has been no statutory control system for these meters so far. Most other EEA countries have control systems for such meters. As far as we are aware, no mandatory control system is planned for electricity meters within the EU system. A proposed EU directive, the measuring instrument directive, only regulates the technical requirements to be applied to different measuring instruments, including: electricity meters, if national approval or control systems are required for the instrument type concerned. In the Ministry of Economic Affairs and Trade there is already an assessment of whether a control system for electricity meters should be put in place, and we have had contact with and received input from interested parties on the supplier, consumer and other authorities. In the view of the Ministry of Economic Affairs and Trade, the purpose of any control system for electricity meters must be to ensure that consumers are given sufficient assurance that the electricity meters show the correct result, at the minimum cost for both the supplier and the consumer, and with minimum bureaucratic procedures. If this is best solved by law enforcement, it is too early to say anything about it. But I understand, of course, that with the necessary and correct liberalisation we have received in the new Energy Act, the reliability of the measurement is very crucial for individual consumers. The Ministry of Economic Affairs and Trade considers it necessary to come to an early conclusion as to the need to establish a control system for electricity meters in Norway and, where appropriate, how best to organise it.
ParlaMint-NO_1999-10-20.ana.ud802e699	I thank the Council of State for the answer. I expect a quick conclusion to be a quick conclusion, as both the consumer side and the energy side are very concerned about the question and are waiting for a clarification. The Consumer Council believes that many errors could have been avoided by getting better control of the current meters. I hope that the emphasis will be placed on the work done in the ministry. Consumer authorities say that the responsibilities are unclear both in terms of measurement and billing and will have an adjustment obligation on both current meters and control equipment. Today it is up to the electricity plants to check the meter to make sure it is working properly. But there are no rules that are good. And how many, for example, have been controlled in the last five years? The individual subscriber who wants to complain about what he thinks is an excessive power bill cannot even disconnect the power meter and get it sent to an independent control body. Doesn't the Council of State think it would be beneficial if a consumer could send the complaint to an independent body that carried out the check, so that today's belly that fits the oat bag layout was released?
ParlaMint-NO_1999-10-20.ana.ud802e710	The Ministry of Economic Affairs and Trade considers it beneficial for the consumer to have his complaint tried by an independent review body. The fact that the power stations themselves are responsible for all checks has led to the establishment of a review body by the industry. In 1991, the Joint Energy Organisation and the Consumer Council Ellagen subject were established. It is only complaints on household meters that are dealt with here. The decisions of the panel are purely advisory, but in most cases the parties are guided by the decision of the panel. Disputes which are not settled between the parties or for household customers through proceedings in Elklagenemda are referred to the legal system. Whether it is appropriate to continue this scheme as it works today will be considered in the context of the main assessment that I referred to in the first response to the representative Hedstrom.
ParlaMint-NO_1999-10-20.ana.ud802e717	I thank the Council of State for the answer. I am pleased that we are now focusing on this problem in the department. That's what's needed. I want to get into an assumed EU directive, which it has been working on now in approx. eight years, to coordinate different types of meters. While it appears that it may take a long time before this Directive is implemented, other countries have put in place schemes which fall within the scope of any directive, even if it has not been implemented. Will the Council of State, in connection with the work taking place in the Ministry, now be able to enter into a temporary arrangement within the framework of this Directive to be implemented, as is done in some other European countries? I hope then – I will come back to this with a quick assessment – that it can be done within a few months in the department, so that we can get a clarification on this.
ParlaMint-NO_1999-10-20.ana.ud802e724	In Norway, we first need to determine whether there is a need to introduce control systems for electricity meters. This will be done independently of the ongoing European harmonisation in this area. As my first response showed, the proposed measuring instrument directive does not provide for harmonisation as to whether Member States should put in place control systems for electricity meters and in the case of which applications. This is up to the individual nation to decide. The proposal only regulates the technical requirements to be set out in different instruments when approval and control arrangements for the instrument type in question are in place. It is difficult to say something for sure about how long it will take to set up a control system for electricity meters in Norway, but I said in the first answer that it is liberalisation in our energy market, which the Government is obviously behind, which also means that we have to look at consumer interests. I have nothing else to add now, but I repeat that the Ministry of Economic Affairs and Trade is prepared to make a quick decision on this matter.
ParlaMint-NO_1999-10-20.ana.ud802e731	Then we go to question 9.
ParlaMint-NO_1999-10-20.ana.ud802e737	This question, from the representative Ane Sofie Tmärås to the Minister of Justice, will be answered by the Minister of Finance who directs him.
ParlaMint-NO_1999-10-20.ana.ud802e740	I really wanted to ask the question to the Minister of Justice, but I've realized that the Minister of Finance felt more called to answer it, so I guess that's where it goes. The question is as follows: ‘We know that Norway is used as a transit country for international organised crime. One prerequisite is that the money can be money-laundered. The Labour Party proposed in 1995 that banks and financial institutions be required to investigate and report on all suspicious circumstances, but the majority of the population felt that they should only be obliged to report criminal offences that could result in a penalty higher than 6 months. Does the Council of State believe that money laundering should continue only to be punishable for less than 6 months?’
ParlaMint-NO_1999-10-20.ana.ud802e749	The question has been transferred to the Minister of Finance in consultation with the Minister of Justice. The laundering of the proceeds of a criminal offence is, in Norwegian law, punishable, as a whole, under Section 317 of the Criminal Code. This provision affects the proceeds of any criminal offence, regardless of the criminal penalties imposed on the offence. It may appear that the representative has mixed the issue of criminality in his question with the question of the obligation to investigate and report by financial institutions under the Finance Act §2-17. Under this provision, financial institutions and some other institutions are required to carry out further investigations if there is a suspicion that a transaction is linked to a criminal offence which could result in a penalty higher than six months of imprisonment. If the suspicion is not ruled out, the institution shall, on its own initiative, transmit information to Ecocrim. The Finance Committee asked in Innst. O. No 50 for the 1995-96 department carry out a wide review of the laundering regulations in connection with the follow-up of the sample to assess changes in the personal register law, the so-called Skauge Committee. The Ministry of Finance announced to the Stortinget in the revised national budget for 1999 that the Ministry will review the scope of the provisions on money laundering following the treatment by the Stortinget of the proposal on new personal data laws. This proposition, Ot. pp. No 92 for 1998-99, was promoted for Stortinget on 25 June this year.
ParlaMint-NO_1999-10-20.ana.ud802e760	I can reassure the Council of State that I haven't mixed the cards. In fact, today’s reporting system only for crimes with a penalty framework of more than six months means that it is virtually impossible for the police to detect crime when it comes to minor crimes. The problem is that these professional offenders, as they are, break up the crime so that it gets under the low penalty. Now it is no more than a year since Norway received strong criticism — yes, it used the word ‘slaughter’ — from the international organisation FATF, which works under the auspices of the OECD against money laundering, because we were too poor in this area. Since then, more international crime has been detected in Norway, both in the areas of drugs, alcohol smuggling and hallucinations. Does the Council not see that there might be reason to reconsider whether we should extend the reporting obligation, not only in terms of the criminal framework, but also in terms of who has to be obliged to say from?
ParlaMint-NO_1999-10-20.ana.ud802e769	Money laundering is a major problem in many countries – in all countries, I think. Norway was relatively early in laying down provisions to combat money laundering. I mean, I guess when I've spent 25 years of my life fighting crime, it would be pretty weird if I wasn't going to be very busy trying to fight money laundering in the most effective way possible. When Stortinget dealt with the issue of money laundering a few years ago, it was therefore the practical aspect of the case that led me to find, for my part, that banks and other financial institutions could not be ordered to investigate minor matters – it is in case of Nazirites and such things. It is not possible to break up a crime, as the representative, Mr Tömerås, claims, because there is a penalty of more than six months, for example. for extortion, ransack, fraud, adultery, theft, losses, etc. How can you break up such a crime, so that there will be a penalty of less than six months? I don't think that's a good idea.
ParlaMint-NO_1999-10-20.ana.ud802e776	I do not doubt the personal involvement of the Council of State in this matter, but his answer may also suggest that he has not fully followed up on what has happened in practice in recent years, as he has participated in another part of society. The problem is that we just see that the professional offenders break up the crime by using strawmen who are responsible for money laundering, and that the crime is therefore of a less serious nature. But although Norway has long had legislation in this area, and has worked on it, last month there was an international conference in the United Kingdom where one of the world’s leading experts in this field, Professor Barry Rider, said Norway was no better than other countries in this area. So even though we've thought that Scandinavia has been much better off, it turns out that we don't. It turns out that the offenders look at Scandinavia and, in particular, Norway as a particularly attractive country to money laundering, because they would much rather use a respectable bank in Oslo than a sloppy bank in another country. [[President clubs]]
ParlaMint-NO_1999-10-20.ana.ud802e783	Time's up.
ParlaMint-NO_1999-10-20.ana.ud802e786	Yes, this is a problem. I also started my previous answer by saying that the money laundering going on is a major challenge, both in Norway and in many other countries. When I suspected that the questioner had misunderstood and mixed together, it is because it says in the question: «Does the Council of State think that it should still be allowed to money laundering only the penalty framework is less than 6 months?» That is not allowed. It is punishable to money laundering, including from Nazism. But what's the problem here is whether we're going to use bank officials and employees in other financial institutions to go to the police's trial and try to find out if the money that's to be tried in the bank comes from e.g. Naskeri. It is in practice an impossible task, unfortunately. So we are satisfied that at least we have a rule that obliges the officials to investigate if the money is suspected of coming from such a serious act that the penalty is over six months. It was also not obvious when the matter was dealt with in Stortinget in its time, for example. a. Privacy considerations were a point too many. But at least rules against money laundering were now adopted.
ParlaMint-NO_1999-10-20.ana.ud802e791	We go back to question 4.
ParlaMint-NO_1999-10-20.ana.ud802e814	These questions are put to the vote.
ParlaMint-NO_1999-10-20.ana.ud802e820	I will ask the Minister for Fisheries the following questions: ‘What will the Government do to trigger exports of qualifying products?’
ParlaMint-NO_1999-10-20.ana.ud802e827	The Norwegian wave whale catch is known to be based on a desire to operate a sustainable management of marine resources, based on scientific facts and the principle of the need for multi-stock management. The management of wave whales is governed by the 1946 International Whaling Convention. The purpose of the Convention is to protect whale populations from over-taxation and to ensure an orderly development of the whaling industry. Administrative decisions shall include, inter alia: be based on a scientific basis and take into account the whaling industry and the interests of consumers of whale products. In this context, I would also like to refer to the work of the North Atlantic Maritime Animal Commission, NAMMCO, which was established in 1992. Part of the background to the establishment of NAMMCO was that the IWC does not carry out its administrative tasks. Extensive research has been carried out, including: censuses showing that the populations of wave whales in our areas are in good condition and in no way threatened by extinction. The Scientific Committee of the IWC has estimated the population of the North-East Atlantic wave whale to be 112,000 animals. In the central part of Iceland and Jan Mayen, the wave whale population is estimated to be 72,000 animals. In relation to trade in whale products, the CITES Convention on International Trade in Endangered Animal and Plant Species is of importance. Animal and plant species covered by the Convention are listed in three different lists, depending on the import and export restrictions to which they are subject. List I covers the most endangered species of animals and plants, where imports and exports are prohibited in practice, including whales. Norway has reserved itself against the inclusion of whales on list I. We have justified this by the fact that the biological criteria are not met in terms of the two whales that are applicable to our areas. From the Norwegian side, CITES’ work has been mainly aimed at bringing down the populations of wave whales from List I. The research carried out within the IWC Scientific Committee, with the stock estimates I have referred to, clearly shows that there is no basis for keeping wave whales on list I. At the CITES meeting in 1997, Norway received broad support for its proposal to allow trade in wafer products but did not achieve the required two-thirds majority for the removal of wafers from the list of endangered species. The Norwegian authorities are currently working on a new and improved proposal for the listing of wave whales for the next CITES meeting held in Kenya in April 2000. This is done in dialogue with industry representatives. Finally, Norwegian proposals will become clear during November. It is my opinion that the whaling industry in Norway will be best served by concentrating on achieving a general international acceptance for trade in products of wave whales through CITES. It is only by such a listing that export markets will be open to our products. I would also like to point out that efforts are being made to create understanding and support for the Norwegian listing proposal in CITES in cooperation between the departments concerned and industry organisations. It is my intention to pursue a policy that takes the catch of wavy forward towards what I would call a normal fishing situation within a sustainable management regime, including authorisation for export and trade of such products internationally.
ParlaMint-NO_1999-10-20.ana.ud802e850	I would like to thank the Council of State for the answer. I am aware of the problem that the Council of State listed in its answer to me, and I am not in disagreement with the need for international agreements. But what I want to criticise is that he says that one should go "step by step". It's been very late, and I found this urgent. We know that Japan and other countries are interested in buying the quack and also other products of torment, but they are not allowed to do so today. Sales to other countries will mean better prices for the catchers and less expenditure for the state, who have to pay for these stockpiles, and in my view it is not a good resource management either. It is correct for the Council of State to point out that the wave population is increasing. It is also the population of marine mammals. We know they're caught on the fish, among other things. the cod. This is not a viable development. I think we need to exert a strong pressure on the countries involved in this, so that we can get an agreement that allows us to sell our product.
ParlaMint-NO_1999-10-20.ana.ud802e863	It is true that there are outlying markets interested in Norwegian whale products, but all the markets concerned are CITES member countries and are thus bound by CITES decisions. It is now that some of the countries have made reservations, but it is not the case that the authorities in these countries nevertheless grant licences and open themselves to the criticism that will come. We have a good cooperation with both market and whaling stations around the world, and our approach is to direct the work towards the next annual meeting of CITES to bring down the waveval from list I. It provides for the opening of international legislation on the legal trade of such products. I think that's the right way to go. If we're going to hurry up and go beyond the Convention's decisions, you can have a setback, unfortunately.
ParlaMint-NO_1999-10-20.ana.ud802e873	I will ask the Minister for Agriculture the following questions: ‘What will the Council of State do to prevent illegal imports of meat into Norway, as well as to ensure effective and necessary food control at all restaurants, food shops, etc.?’
ParlaMint-NO_1999-10-20.ana.ud802e880	As regards the illegal importation of meat into Norway, the Customs Authority, which is a member of the Ministry of Finance, is responsible for monitoring compliance with the provisions in force concerning the movement into and from the customs territory. Any person who brings goods to and from the customs territory, obligations, when required, to declare the goods or to submit them to the Customs Service for inspection. In the case of goods for which customs controls are not applied for, the Customs Service may, through planned checks or routine checks, reveal tests on the smuggling of meat to Norway. In addition, the Customs Authority, through business controls in restaurants and shops, may, by examining whether customs and fee requirements have been avoided, also help to detect the smuggling of meat. Customs and Food Control will cooperate more closely to prevent illegal imports. A new regulation was adopted on 24 August this year on simplified submissions for minor cases of illegal imports. This Regulation shall enter into force on 1 December 1999. An important change to the new regulation is that simplified submissions should also be applicable to infringements related to entry via border crossings with Sweden, Finland and Russia. Today, customs officials can only issue simplified presentations to travellers entering via aerodromes and ferry terminals. Increased access to the use of simplified presentations throughout the customs territory must also be presumed to have a general preventive effect. The new regulation contains a separate provision on the illegal importation of meat products. With the potential for profit due to price differences between countries, the penalty response is now low compared to the amount avoided by the state. The new regulation means that the fines are more consistent with the actual avoidance and will therefore have a greater preventive effect. Supervision of food in cafés, restaurants, grocery stores, etc. according to the Food Act, municipal responsibility in Norway through municipal food surveillance. However, national food surveillance is working on setting standards of basic supervision for all food establishments. In 1998, there were almost 21,000 enterprises serving, catering and street kitchens. These were subject to extensive supervision. I would like to ask the State Food Authority to speed up work on setting standards for the supervision of such food businesses. For reasons of health and fairness, I find it reasonable that supervision is also carried out with a view to controlling the possible illegal importation of meat.
ParlaMint-NO_1999-10-20.ana.ud802e897	I would like to thank the Council of State for the answer, with which I am very pleased. I am pleased that the Council of State is taking this problem seriously. The last time I raised this matter, a few years ago, it was black that the quantities smuggled for resale were small, and that this should be an affordable task for our control authorities. Unfortunately, the smuggling of meat has only increased, and some restaurants are now marketing themselves to advertise that they guarantee that they use Norwegian meat products in the dishes they sell. That's good, and it's good that we've got a new regulation on simplified presentations, among other things. But if the customs services are to succeed in the tasks mentioned by the Council of State in their response, it is necessary to strengthen the customs services, which have many border crossings to control. However, it will be a task for the government and the Stortinget will come back to. I hope the measures the Council of State mentioned in its reply will mean that we can have a reduction in the illegal imports of meat.
