ParlaMint-NO_1999-06-08-lower.ana.ud224e91	The representative, Kenneth Svendsen, will make a private bill.
ParlaMint-NO_1999-06-08-lower.ana.ud224e481	The bankruptcy institute and all the rules around it are absolutely necessary for us to have a viable business. Controlling the burden-sharing between the parties that contribute financially and reap economic benefits in the business sector is absolutely necessary. We know that both the structure, the conditions and the economic environment in the business world are constantly changing. We know that the bankruptcy law reached the confirmation age this spring, and the mortgage law became valid a couple of years ago. That is why it was time for a full review and a post-control of the laws. That's what I think I've been done very thoroughly in the NOU of the Falkanger Committee. It shows very clearly that there is a need for a clean-up and simplification of the rules in this system. Many of the rules are today such that unnecessary work is required, and the good solutions are not applied because they are cumbersome to practice. In addition, we also see that many people wait too long to request a quote when the store is poor. We have too much pledge. Often all the values in the dwelling are pledged. That means that there will be little disappearing and perhaps nothing left for the creditors, who do not have mortgage insurance for their claims. Not least, there will be little or nothing left to live. So the settlement process is weakened. It is quite alarming that in three out of four bankruptcies the accommodation is cancelled before they have finished the job because there is not enough money left in the dwelling. It clearly illustrates that the law does not actually work as it should. And it's particularly worrying when we know that in the context of the bankruptcy houses where you get proper housing, there is also a lot of crime. I think the proposition has worked well with one of the main challenges, namely to simplify the rules. In several fields, we get simpler and more flexible rules in terms of accommodation, and we get more flexible rules that make debt negotiations easier. And if we get more voluntary agreements, we might also avoid more bankruptcy. There are also some good measures to achieve the second main objective, namely to get more money into residence, so that creditors without mortgage security can also meet some of their demands, and that we get proper housing. But here are several steps that need to be taken. It has proved to be very difficult to find measures that ensure adequate means of living, and here this proposition has not come to fruition. This is difficult, for example. to limit the right to pledge, because it again turns negative on the other side, in order to obtain credit to be able to operate. Different solutions have been launched, but they also have their worrisome aspects. The working party is therefore not in favour of the proposed legal security of 5 pst. Now. However, we cannot support the proposal of the Right and the Advance Party to increase the applicant's liability. That is the sum that the applicant must provide as a guarantee of the operation of accommodation. It is essentially the public that requests a tender because of the lack of tax and VAT payments, and we are concerned that it is right that it is the public that is now to be charged with ensuring that there are funds in the dwelling, when we know that it is largely private who reaps the economic benefits of an enterprise when it goes well. They should then also bear the burden on them on the day of the settlement. Other solutions have also been launched, both in the NOU and in the proposition, and not least in the case of recordings that we have received during the treatment of this, such as bankruptcy insurance schemes, to allocate a certain amount to a blocked account, that principals should be objectively responsible for up to some maximum amount – principals may be the Executive Director, the Chairperson or the members of the board – and different models of legal security arrangements, which may not be the model proposed here. Other models of the law-entrustment system may also be considered. This has not been properly evaluated and discussed in the proposition. There may also be solutions that are not launched, but that can be there when you work on it. That is why we ask the Government to come back with more thorough investigations, where one also looks at the consequences of the various proposals, a thorough investigation of how we can ensure greater values in our lives on the day of bankruptcy and settlement. Another point that we in the Workers' Party are concerned with is the employees when it comes to bankruptcy. We believe that it should be an objective that employees should be minimised as a result of the bankruptcy. Now it is the case that the residence must decide within three weeks whether you want to continue the operation and enter into the contract of employment. If you do, we believe that it must be a goal that the employees do not come out worse than they would have done for the other type of transfer of the business. We can refer to the LO hearing opinion, where they suggest that the residence should enter into the collective bargaining agreement when it first enters into the work agreement. Often, part of the collective bargaining agreement has been incorporated into the personal employment agreements, and it can therefore be equally easy to enter into the whole collective bargaining agreement. Another way to do so is that quite new Chapter XII(A) of the Working Environment Act, which deals with transfer rules, can also be applied in the case of a transfer in the event of a bankruptcy. I hope that the Government will follow developments in this area, how the employee situation is and remains in various bankruptcies, look at these issues, and that it may come back to the matter later. It is important to have access to the security of operational accessories, as also stated by the case-rapporteur. Although we have problems that a lot, and sometimes all of the values, are pledged, operating accessories are necessary for many businesses. So now it turns out that today's system raises a lot of practical problems, because one of them has to pledge it with real estate. One thing is that it's getting heavy, as the rapporteur pointed out, but perhaps even more important is that it's not very suitable in today's structure in business, because now it's no longer so that you set up one building on one plot, and that's the company. It is often the case that one has, for the first time, spread both domestically and abroad. In addition, technology has made us bring goods and services in many places and have businesses, roots, in many places, without that means that you have a real estate where the operation is going on. Therefore, the Workers' Party agrees with the proposal that, in the case of operational accessories, legal protection should be provided by registration in the Løsøreregister. Finally, I just want to say a little bit about financial crime in bankruptcy. We are very pleased that the public guarantee scheme will now also apply when you want to pursue the civil law requirements. That's a very good suggestion. Because it is that a civil claim to someone who has gone bankrupt will injure as much as a criminal claim, sometimes even more, and it will also lead to us being able to give rights to those who have a claim against the one who has gone bankrupt. Otherwise, I would like to point out that Ecokrim has made proposals for further action and adjustments, and I really welcome a follow-up to this by the Government. There is no doubt that we need even stronger efforts in this area. What has been proposed is good, but unfortunately it is not enough. There's a lot of crime in bankruptcy, and the fact that the housing services are so much canceled, that there's a lot we don't know about. So there's more to it than that. I therefore expect that this is not the last time the laws in this area get some rounds in Odelstinget.
ParlaMint-NO_1999-06-08-lower.ana.ud224e513	Should the representative make any proposal?
ParlaMint-NO_1999-06-08-lower.ana.ud224e516	I'm sorry!
ParlaMint-NO_1999-06-08-lower.ana.ud224e521	Now the President will follow closely with this. There are several proposals that have been forgotten. This is a proposal from the Labour Party.
ParlaMint-NO_1999-06-08-lower.ana.ud224e524	Then, of course, I would like to take the opportunity to include the proposal in the vote by the Labour Party.
ParlaMint-NO_1999-06-08-lower.ana.ud224e529	The representative of St. Thomas has taken up the proposal to which she referred. Besides the list of speakers, the president will give the floor to Finn Kristian Marthinsen, who also has something to say.
ParlaMint-NO_1999-06-08-lower.ana.ud224e534	I thank you for the opportunity to correct a forgetfulness. On behalf of the Central Party and the Christian People's Party, I would like to raise the suggestions 3 and 4 that are included in the vote.
ParlaMint-NO_1999-06-08-lower.ana.ud224e541	The representative Marthinsen has taken up the suggestions he referred to.
ParlaMint-NO_1999-06-08-lower.ana.ud224e545	The Progress Party will point out that some of the proposals being promoted will hard hit capital-intensive businesses, without improving the situation of the majority of the ‘empty’ bankruptcies described in the law. We believe it is important to design bankruptcy and mortgage laws so that they do not unduly hamper or prejudge the access to capital of businesses, whether small, medium-sized or large. The Progress Party wants the law to open up access to debt negotiations in the event of insufficiencies and not just in the event of illiquidity, as proposed by the Committee on bankruptcy law. We are committed to preventing the law from bringing businesses to an end at an early stage. Too strict a law could easily lead to the completion of new start-ups before they are proved to have the right to life. Opening up debt negotiations through insufficiency will improve the possibilities of refinancing before the situation becomes so critical that cessation of activity becomes difficult to avoid. The Progress Party believes that it is important in risk phases that companies keep their creditors informed about the situation. Should a need for a debt regime arise, it will be easier to convince creditors that debt regimes that ensure continued operation are also for the benefit of creditors. In line with this, we will propose the following amendment to Section 1 of the Bankruptcy Act: ‘A debtor who is unable to meet his obligations as they fall due or whose assets are not sufficient to fully cover his obligations may request the opening of a debt negotiation under the rules of the law to negotiate with its creditors a voluntary arrangement or an arrangement of compulsion.’;» The Christian People's Party and the Central Party are only concerned with these comments, as the rapporteur was also concerned with, in view of the scope of the operating accessories. It is a majority who believe that the current system of operating accessories is not satisfactory. The requirement that the legal protection of the operating accessories should be linked to real estate causes practical problems and limits access to capital to business. The requirements for the pledge of the operational accessory must be assessed in the light of the good experience gained in the case of pledges of a similar nature, such as warehouses, motor vehicles and plant buckets, agricultural pawns and fishing gear buckets. These appear as independent pledges of entire assets as they are at all times and where legal protection is obtained by registration in the Lösøreregister. This type of pledge should be considered satisfactory both for pawnbrokers and pawnbrokers and be in line with the wishes of the business community. We would point out that the development of business is moving towards the fact that, for an increasing number of enterprises, there is no longer any functional context in which the operating accessories of enterprises are made up of durable capital items. In this context, information technology activities can be mentioned, which are more and more widespread. I would also like to point out that several of the hearing bodies, among others. The NHO and the Banking Association have raised objections to the current pledge regime in respect of operating accessories, because the connection to real estate complicates the scheme unnecessarily. They wish that pledges in operating accessories can be obtained with registration in the Solver register and without mortgages being linked to real estate. It is proposed to amend Sections 3 to 4, in line with the views of those hearing bodies. Such a change in the law will bring with it some regulatory issues related to the transitional rules, specialties of the mortgage law §§3-8 and 3-10 etc. The progress party does not want the introduction of a legal pledge of 5 pst. of all pledged assets in a bankruptcy dwelling. This will lead to a distortion of other mortgage holders and access to capital will be significantly more expensive for business, particularly in the context of the bankrupt sector. We're of the opinion that there's minimal in the smaller estates with pledged assets. The Progress Party considers it necessary to be aware that the public as a priority creditor with a 5 pst legal pledge. will be able to receive large amounts from private mortgage depositors. Thus, the public will easily be placed in a more favourable position than other mortgage holders. The effect of this could be that the public would be able to cover its claims to a greater extent than before at the expense of other mortgage holders. The public is often behind the demand for bankruptcy, especially against small traders and small businesses. The proposal for a legal pledge provides a weakened access to capital for business, and the consequences of such a scheme have not been adequately emphasised. The Ministry also goes significantly beyond the legal range when it is proposed that legal pledges should always be paid to the residence and not be limited only to housing costs. There is also no proposed roof on the size of the mortgage. In the properties of highly valuable pledged assets, such as ships and drilling platforms, large amounts could be transferred from the mortgage holders to the public as a priority creditor. Should legal pledges be introduced, the amount of the legal pledge may have to be limited to the necessary housing costs for which there is otherwise no cover. Excess amounts after the completion of the settlement must be returned to the pledge holders. We would like to show that, as far as we are aware, similar arrangements are not in place in other countries. This means that actors operating in an international environment and in a competitive market must be at a higher price of credit than their competitors. In relation to ships registered in NOR, the rule will apply in full. The same would initially be true for ships registered in NIS, but the NIS Act allows for derogations for parts of Norwegian legislation, cf. Article 3 of the NIS Act. In the case of ships registered abroad, the 5 pst rule does not apply. This is why we propose that instead of introducing a legal security scheme, the amount of the claimant, i.e. the amount guaranteed for the costs of the accommodation, should be increased from NOK 20 000 to, for example, NOK 30 000. This will satisfy the desire to strengthen the rule of law in the event of bankruptcy in general small and medium-sized enterprises. In the case of major companies or shipping companies, there are normally values in residence for bankruptcy proceedings. This solution is also recommended by the Bankruptcy Council. It will ensure the place of action proposed by the Falkanger Committee, while preventing adverse impacts on industries with capital-intensive activities, such as shipping and shipping, workshop and offshore activities. In line with this, we would like to propose the following: ‘The decision asks the Government to assess the amount of advance payments made to ensure the cost of accommodation [[Republic responsibility]] I'm addressing the suggestions that I've referred to.
ParlaMint-NO_1999-06-08-lower.ana.ud224e573	The representative Stang has taken up the suggestions he referred to.
ParlaMint-NO_1999-06-08-lower.ana.ud224e576	There has been agreement on a lot in the new bankruptcy and mortgage law, but there are in particular two issues that have aroused some heated debate in the business world. First of all, I should like to make my comments on these two issues. One applies to the operating range. Today it is very complicated to use the current scheme, and in the committee we presented an example from the NHO related to Ulstein Holding ASA. This company had 79 different property statements and a number of property-loving leases. In order to secure this operating accessory, each of the property masses had to be given a separate fare and the property-loving leases had to be transferable. This meant that the local bank that Ulstein used in More and Romesdal spent 2-3 months to enable a pledge of the operating equipment in a large Norwegian company – 2-3 months! It is not surprising that the bank and companies met hand in hand in the Justice Committee and asked thinly that we set up a system here that could allow this work to take 2-3 hours instead by registering in the Solver Register. It is so obvious that it makes sense to support this system regardless of the history of both the Committee and elsewhere, that we are now looking forward to the Government coming forward with concrete follow-up proposals in line with the position of the majority of the Judicial Committee – consisting of the Right, the Advance Party and the Labour Party. The second theme that has been promoted is the law-enforcement scheme, i.e. to introduce a legal deposit of 5 pst. of all pledged assets in a bankruptcy dwelling. There have been massive reactions from both the very smallest enterprises, often represented by HSH, to large capital-intensive industrial enterprises, and the shipping industry, which is also large and capital intensive. Most people have reacted very strongly to the fact that access to capital to business in this way is becoming much more expensive. HSH pointed out that this would affect a number of common small enterprises and that it could actually go so far as to require some small enterprises to cease their activities as a result of this capitalisation. A clear recommendation from HSH was to look at the applicant's responsibility instead. It is also in line with the signals we received from the NHO in the hearing, and that is what makes the Progress Party and the Right propose it in concrete terms. This 5 pst legal security. As I said, it will cost the capital both to the small enterprises and to the large enterprises, such as shipping companies and industrial enterprises. We got an example from the Swedish Shipowners' Association that illustrates this quite well. The acquisition of a new main tank costs 539 million. kr. To bind up 5 pst. of these funds amount to 27 million. kr, which then has to be financed more expensively through unsecured credit. This is about amounts that are so large that it will dramatically worsen the competitiveness of Norwegian shipping industries and also the competitiveness of large Norwegian companies vis-à-vis the rest of the world. When the Storting has also created a NIS register, both because we want the fleet to remain Norwegian, and because we want to strengthen Norwegian shipping industry, it is not logical to come up with a 5 pst. system that works in the opposite direction, and as yet makes NIS a much less attractive ship register than the foreign ones we compete with. I am therefore very pleased that the Committee majority, the Labour Party, the Advance Party and the Right, rejects the 5 pst. scheme. It would have been desirable if you could also be in the alternative way that the Right Party and the Advance Party will solve the same problem, but I understand that the Workers' Party wants to first explore the different options before taking a decision. So I'll have to link some comments to a third theme. The position of the Progress Party is to allow the insufficiency to give itself the right to enter into and renegotiate debts. I want to remind you that having a larger debt than equity is something most companies have in a start-up phase. It's natural in an initial phase. I want to draw a parallel to what it's like to be a newly educated student, with a high student loan and with a mortgage. So you have big debts and no equity. But it's just in confidence that over the years you'll be able to pay off the debt and end up with a positive asset stock, and eventually you'll actually get so far that you'll get a property tax. That's the development we're all going through, and far on the way, that's the way with the businesses as well. If, simply because one has a larger debt than equity, it is open to ask for renegotiations or, worse still, to be bankrupt at an early stage, it is neither a good thing for the companies nor a good thing for those who have lent them. I am therefore pleased that only the Progress Party has agreed to this arrangement, and that the rest of the Committee rejects it.
ParlaMint-NO_1999-06-08-lower.ana.ud224e591	I am pleased to note that long-term work on changes in bankruptcy and mortgage laws is being carried out at Odelstinget. It is also a comprehensive legislative proposal on which the representatives are to decide today. Work on the revision of bankruptcy law started as a back-up to the bankruptcy law and the recovery law, with the establishment of the Falkanger Committee in 1990. The selection was specifically asked to assess changes in order to add more capital to the housing. This led the sample to address in particular the question of suspension residence and how bankruptcy can be provided in order to strengthen the treatment of residents. The committee made a number of proposals. The Ministry, after careful consideration of the need to ensure safe accommodation and the legal position of the pawnbrokers in bankruptcy, chose to proceed with only some of the most far-reaching suggestions from the sample. I believe that the balance that was made in Ot.prp. No 26 for 1998-99, a proper assessment of these issues. However, I must note that the majority of the Judicial Committee is opposed to the most important of these proposals, namely the proposal to introduce a rule on 5 pst. legal security for the residence. However, the committee setting provides largely unanimous support for most of the proposal. This applies to the proposals relating to the simplification of the debt negotiation and bankruptcy proceedings, the amendments to the coverage law and most of the changes to the pledge law. I am pleased with that and will, in the following, just refer comments to the proposals where it has arisen this one. The majority of the members of the Judicial Committee oppose the proposal to put in place a legal security mechanism to secure funds for the proceedings. The representatives of the Workers' Party promote proposals where the Government is asked to investigate different ways to ensure that there are enough values to operate properly in residential care, while the Right and Advance Party will ask the Government to assess the increase in candidate liability. As the relationship is today, most householders feel that living constantly is in a very difficult economic situation. Therefore, funds are required for housing. Both the Falkanger Committee and the proposal deal with the different options to provide the living more resources and have assessed the situation so that a legal security scheme would be the best solution to give the living more money to work for. It should also be noted that this proposal received broad support in the consultation round. Several of the arrangements reviewed in the proposition also require that the dwelling has a certain amount of funds available. The situation in most residents is that there are no means to work for the most part. Therefore, drastic measures are necessary to raise the capital of the residents. I am of the opinion that a law-abiding system would be the best way to ensure better housing. First of all, a provision of 5 pst. be practical and legally easy to follow. It would provide a good predictability for the pawnbrokers. In any event, if the proposal for a legal tender is not now put into effect, it will be necessary to re-examine these matters in order to carry out further assessments of the question of administering the fine. I would like to point out that the alternatives that the Workers' Party's representatives point out regarding the establishment of an insurance scheme, issues of objective liability for the members of the board and the Executive Director and the increase in the applicant's liability are mentioned in the proposal. However, the work on investigating these issues could take some time. Therefore, housing will still have to experience demanding conditions in the future. In connection with the proposal concerning the applicant's liability, I have noticed that the representatives of the Right and the Advance Party are proposing to increase the amount of the advance payment provided to ensure the settlement. An increase in the claimant's liability will result in an increase in the costs of public bankruptcy claimants. When it is claimed that the public is bankrupt in the vast majority of the bankruptcies that are being opened, the proposal will result in a not insignificant increase in public expenditure. Moreover, an increase in the applicant's liability could mean that even fewer private individuals than today would be seeking bankruptcy. I believe that the parties related to business activities should be as much as possible those who bear the costs of bankruptcy. This means mainly the players in the business community and not the public. As regards questions relating to the amendment of the rules on the pledge of operating accessories, I have noticed that the majority of the committee is in favour of the Stortinget asking the Government to submit proposals for changes to the mortgage law, so that legal protection is achieved by registration in the Solver register, instead of in the current law in the base book. Of course, I will follow up on this. The proposition points to conditions under which the pledge of operating accessories should be made in relation to the real estate. This applies, inter alia, to: taking into account that operating accessories often form a natural and functional unit with the immovable property and that the applicable law has simpler provisions for legal protection in the event of ownership change. I will initially join these concerns with regard to the amendment of the legal protection rules for mortgages in operating accessories. Since the proposals of the Falkanger Committee on restrictions on factoring and mortgages in warehouses were not continued, a change in the legal protection rules for operational accessories would actually lead to an extension of the right to pledge. This is in the opposite direction to what must be considered as the main objective of the legislative proposals, namely to add funds raised to the bankruptcy proceedings. But, of course, I am very pleased that the simplification proposals that have been promoted are being endorsed, and I will of course continue to work on the opening of the Labour Party proposal, which I have also understood that the government parties consider subsidiaryly to support.
ParlaMint-NO_1999-06-08-lower.ana.ud224e617	Several have not asked for the floor on case No. 3rd@item: inlistbox [[See page 659]]
ParlaMint-NO_1999-06-08-lower.ana.ud224e631	At the request of the Judicial Committee, the President will propose that the debate be limited to 1 hour and 15 minutes and that speaking time be allocated to the groups as follows: Working Party 25 minutes, Progress Party 10 minutes, Christian People's Party 10 minutes, Right 10 minutes, Center Party 5 minutes, Socialist Left Party 5 minutes, Left 5 minutes and Twist Party 5 minutes. In addition, the President will propose that the opportunity be given to the exchange of lines of up to three lines with replies after the speeches of the main speakers of each party group and after the submissions of members of the Government. Furthermore, it is suggested that those who have to sign up to the list of speakers in addition to the allocated speaking time should have a speaking time of up to 3 minutes. – It shall be deemed to have been adopted.
ParlaMint-NO_1999-06-08-lower.ana.ud224e642	As a result of the consent of the Storting to ratify the cooperation agreement between Norway, Iceland and the Schengen countries, we are currently examining changes to the Foreign Affairs Act, the Extradition Act, the Police Act and the Criminal Code. In addition, we are dealing with a completely new law on the Schengen Information System, the so-called SIS Act. The debate today is therefore not a debate for or against Schengen cooperation. It is now all about bringing Norwegian legislation into line with the Schengen acquis. When we discussed the agreement itself on 26 April of this year, I commended the Government that the absolute right of cancellation of the agreement makes it better than the original agreement of December 1996. This time I will also praise the Government for a very good and thorough work, so that the agreement can be put into practice in line with the Storting's assumptions. Everyone knows what positions the three government parties initially had on the Schengen cooperation and that the Government was to negotiate an agreement with the EU after Schengen became part of the EU. The Christian People's Party, in a committee comment, explains its original view, but further says that on the basis of the government's proposed proposals for ratification and the treatment of the Inst. S. No 147 for 1998-99 the members of the Christian People's Party in the Committee join the proposed legislative proposal – a clean and straightforward act! Based on the ratification process, I also have reason to believe that the same will apply to the Left. Worse is the matter with the Center Party. During the ratification debate and the position of the Foreign Affairs Committee, we were shown the need for the party to play an opposition role while they are in position. This impression has been further reinforced during the committee treatment of this odelstungsproposition. As mentioned at the outset, the implementation of the already adopted agreement in Norwegian legislation is now at stake. The party not only adheres to critical committee remarks but even promotes proposals that go against the Government’s recommendation. In normal circumstances, it would not be possible to continue in a government with such an act. The special parliamentary situation nevertheless makes it possible. In fact, this abnormal situation has become so normal that even the press seems to overlook it in an unsustainable situation. The Treaty of Amsterdam transfers certain parts of judicial cooperation from Pillar III to Pillar I in EU cooperation. This applies, inter alia, to: external and internal border control and asylum policy. Schengen opponents have claimed that by doing so, we are giving away national governance. The foreign minister’s reply to the Foreign Affairs Committee on this issue is clarifying by saying that the procedures and procedure for Norway and Iceland should be bound by a proposed Schengen rule, regardless of which pillar each provision falls within the EU system. Thus, this is also of no importance in relation to the law we are now adapting to the Schengen Agreement. As regards the legislative changes in the Foreign Affairs Act, it is clear that Norway remains free to define Norwegian asylum and refugee policies. The answers given by Vollebæk and Dørum to the Foreign Affairs Committee show that this is also the view of the Government. The amendment to Section 17 of the Foreign Affairs Act, whereby the exemption from the right of asylum shall also include refugees who may be required to be received by other countries associated with the Dublin Convention, is complied with as the other exemption rules set out in the second paragraph of Section 17, which states: ‘The right to return a refugee to another country... shall not be used if the refugee has a connection with the Kingdom which makes Norway the closest to providing protection to the refugee’. The Dublin Convention, which replaces the Schengen Convention as regards the responsibility for the handling of asylum cases, states: ‘Each Member State shall have the right to deal with an application for asylum submitted to it by a foreigner, even if the examination of the application does not depend on it in accordance with the criteria laid down in this Convention, provided that the applicant for asylum agrees to it.’; In my view, this means that individual Schengen countries are given great freedom to take asylum applications during treatment, although the starting point of the Dublin Convention is that only one country should be responsible for examining an asylum application. A very great advantage of allowing the Dublin Convention to apply is that the problem of ‘refugee in orbit’, i.e. the cases where no State accepts responsibility for the asylum seeker will be greatly reduced. For Norwegian asylum authorities, this can be a very serious problem in some cases today. It is natural that, as a result of Article 6 of the Schengen Convention, the principle of permanent exit control is laid down in the Foreign Affairs Act. Termination of internal border control is the very basic idea of Schengen cooperation, and is the same starting point as we already have in the Nordic passport union. I would also point out, as the majority of the Committee says in the vote, that without an agreement between Norway and the EU on Schengen cooperation, it would be necessary for our neighbouring countries Sweden, Finland and Denmark to establish an external Schengen border with Norway. It is worth noting that the Government’s clarification that the absence of checks at the internal Schengen border applies to both Schengen citizens and third-country nationals. As Norway and the EU are two autonomous customs territories, it is also important to establish that customs legislation applies when internal borders are crossed. The Labour Party is also very pleased that we now state in the law that it is possible, through a regulatory body, to provide detailed rules on entry and exit control and on derogations from the provisions on crossing the internal Schengen border. This latter is necessary in relation to Article 2 (2) of the Schengen Convention. 2, where it is established that where public policy or the security of the State so requires, a Contracting Party may, after consulting the other Contracting Parties to the Convention, decide that national border controls shall be carried out at internal borders for a limited period of time and adapted to the situation. The proposition provides good examples of cases where this provision has been used, including: when France introduced internal border checks under the football World Cup to prevent unwanted football mobs from entering the country. As regards the possibility of expulsion on entry, I will briefly mention the clarification that is now proposed in Section 27(c). This is a consequence of the Schengen Convention, which states that a foreigner may be expelled if he is unable to establish the stated purpose of the stay. In relation to a particular issue that is particularly relevant to our northernmost parts of the country in these days, an overall committee, as expressed by the South Varanger police district, considers that this should be of practical importance for the possible rejection of tourists who provide highly unlikely information on the purpose of their visit or stay in Norway. So a few words about the proposal of the Border Transitional Committee on the practical implementation of the external border control. The recommendation for 81 border crossing points with 310 access points is very satisfactory. The objective of non-blocking border control measures to the pursuit of business seems to have been well-managed. This applies not least to the control of third-country fishing vessels. It is very reasonable for the Government to propose that the establishment and operation of the Schengen Information System, SIS, be regulated by law. SIS will become important in the context of the exercise of a common external border control and will also be an important contribution to effective police cooperation in the Schengen area. It is worth noting that since the SIS became operational in March 1995, Schengen countries have had far more opportunities to apprehend wanted persons and to return stolen items. It is important to look at SIS as another important tool in the fight against international organised crime. If there is something in today's modern societies that is cross-border, it is precisely this type of crime, and then we must also be involved in facilitating an international cross-border cooperating police force. As I expressed it in the previous Schengen debate: ‘The boundaries must not be a greater barrier to the police than to drug syndicates, terrorists and other cross-border criminals.’ This is the important starting point for all international police cooperation, namely the fight against crime for the common benefit of the citizens of each country, through Schengen cooperation, Europol or Interpol. As far as Europol is concerned, it is interesting and pleasant to record that the representative of the Central Party in the Justice Committee in the Official Journal of Bergen on 3 June says a clear yes to Europol. Then the scepticism shown by the same Tor Nymo in connection with the possibility of police in the Schengen countries to pursue and observe another area of the Schengen countries becomes quite incomprehensible. For Norway, in practice, officials from Sweden and Finland will be involved. Back to the SIS Act: The Workers' Party is pleased that Section 10 of the Act states that information in the SIS register should not be used for purposes other than those for which it is registered. Another important point is that the information entered in the Norwegian SIS becomes correct and in accordance with Norwegian law. Therefore, as the Ministry also does, it is necessary to point out the need for strict quality control in order to avoid incorrect registrations. I believe that the use of the SIS places great emphasis on privacy, and I am pleased to record that the Government seems to place this emphasis on the organisation of our connection to the SIS. The fact that privacy concerns have been clarified especially in the purpose of the law, we believe that the Workers' Party is very good. Otherwise, it is worth recording that this is at one of the points where the representative of the Central Party in the Committee does not have particular confidence in the Government's arrangements and assurances. Furthermore, it is also appropriate to mention that a judicial remedy is provided to the Ministry of Justice for the decision taken in respect of the requirements of transparency, correction, erasure and compensation. In this context, data protection has also been given a role that is reassuring, both in terms of privacy and legal certainty. In addition, the overall control function of the data controller in relation to the SIS is well worth noting. Finally, I am now pleased that today, through the necessary legislative changes, the Storting will follow up on the ratification of the cooperation agreement between Norway, Iceland and the Schengen countries, so that the agreement can be put into practice in line with the Storting's own assumptions.
ParlaMint-NO_1999-06-08-lower.ana.ud224e719	The Christian People's Party Group voted against Norway joining the Schengen cooperation. Ot. pp. No 56 as the central government has presented, and as we are debating today, the changes that Norway is obliged to implement as a result of the Storting majority decision on Norwegian accession. The Christian People's Party joins the proposals. The Government’s legislative amendment proposal involves the most appropriate implementation of the Schengen acquis in Norwegian legislation and practice. The Christian People's Party has therefore chosen to have a brief explanatory comment under the general section, and in the rest of the vote we are included in the Committee's/majority's comments. That is why I can also refer to the thorough review that the rapporteur now had on the content of the matter. The Christian People's Party is pleased that a separate law is adopted to regulate the processing of data within the Schengen Information System. It takes into account, for example: information security internal control conditions for the recording of which information may be recorded for the provision of information to any person entitled to access and erasure of information and the tasks of the Data Protection Authority All of this is key to important issues that the Christian People's Party believes it is essential to have in place when entering into this form of international cooperation. This is well taken care of in the bill. It is also important – and reassuring – that Section 10 of the law states that data in the SIS register cannot be used for purposes other than those for which they are registered. The Christian People's Party has no objection to the necessary changes to the Foreign Affairs Act. We are also pleased that the proposal for a separate European Convention on Refugees is being put at risk, and that the question may be raised again when circumstances permit. The Dublin Convention is a future issue of negotiation, but we see that this Convention can be used as a basis for the handling of asylum applications. Together with Section 17 of the Foreign Affairs Act, we will be able to provide the best possible care for the refugees. Furthermore, we see the clear advantage of the Dublin Convention in that the problem of ‘refugee in orbit’, i.e. cases where no State assumes responsibility are severely reduced. The Christian People's Party agrees with the Government that it is right to establish a new and clear legal framework in relation to the functioning of foreign police officers on Norwegian soil and that it is directly linked to Schengen cooperation. It is equally important that the authorisation for the observation, prosecution and arrest of a person by foreign police officers applies only until the Norwegian police authority has assumed responsibility for the operation, or has required it to be stopped. The clarification in the law that the authorisation applies only as far as it follows the international agreement in the context of Schengen cooperation is important. Foreign police officers shall not exercise police authorities on equal terms with Norwegian police officers but shall be limited to continuing the ongoing observation and follow-up of the person concerned. The Norwegian police themselves have to assess whether the conditions for arrest are in accordance with Norwegian law. For the Christian People’s Party, it is important that foreign officials in Norwegian territory are bound by both Norwegian law and the Schengen Convention and must comply with the requirements of the relevant Norwegian authority. In the case of the authorisation of foreign police officers to carry weapons under mandate in Norway, one must take a practical look at it, because they cannot necessarily throw away the weapons on the border. However, it is clear that they should follow the Norwegian restrictions that allow the use of weapons only when an emergency situation exists. In the proposition, page 95, we can read: ‘The Ministry will, once a certain experience has been gained with such a scheme, carry out an evaluation of the scheme and the legislative regulation currently proposed.’ That Christian People's Party seems to be reassuring. The proposal contains a description of the administrative and economic consequences that participation in Schengen cooperation will entail. The Christian People's Party understands that it is currently difficult to accurately quantify investments and increase operating costs. However, it must be taken into account that there will be an expenditure item in the future government budget.
