ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e15	The representative, Bjørn Hernæs, will make a private bill.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e335	It was with relatively great amazement that I listened to the Minister of Health a little while ago, when he thought that the majority was in favour of it, was a right. As I have learned that word, it means that if anyone has a right, there is someone else who has an obligation to enforce that right if the circumstances of it exist. If that's not done, a right is something you can go to the courts to get enforced. I would like to ask the Minister of Health: Where can you go to enforce the right of government parties and the Workers' Party? Can you go to the courts, which can then solve something or give someone a charge with some kind of legal effect? I want to draw a comparison. For example, if an insurance company insurances: a car, and there is a real collision, today it is such that after taxiing a compensation sum is paid by its insurance company, and then you find out for yourself which car repair shop you want to use to repair the damage that you have received from the insurance company to pay for. What does the Minister of Health think the reaction would have been with a car owner if the insurance company said yes, of course, you are insured with us, we're going to make sure to repair your car, but we're going to do it in our own car repair shop, and unfortunately, with our car repair shop's capacity at the moment, it might take a six-eight-twelve months before your car reaches the workshop? That's the answer the Minister of Health gives to patients he claims to have a right. A car owner would say that this is fraud on the part of the insurance company. He would become very angry, far more angry than perhaps many patients who have been trained to stand in line, who stand and wait and be told to wait and wait, and they are patient. Had it been about the car, they would have yelled and said: end with this fraud! Give me the money so I can go to a car repair shop other than the insurance company's own car repair shop. That is the proposal that the Right and the Progressive Party have made. If it cannot be done in public health, money must be paid so that the patient can pay an operation elsewhere, either in this or in another country. It's a right that you could go to a court with and get paid money in a court order. I would like to ask the Minister of Health if he will have an understanding of the patients who feel that it is a sort of fraud when the Minister of Health refers to a non-existent right as a right.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e346	To the representative of the payroll first, who is guilty of a manifest misunderstanding when he claims that I should have said that we have adopted an escalation plan, requires that we include in the law a limitation related to the capacity. I didn't say that. The whole point is that the escalation plans show that we need more capacity than we have today. That's what the whole Storting has joined in. This means that, in psychiatry and in the care of cancer, there is no capacity today to fulfil such an unconditional right as is proposed by the minority. Then I actually think that's the opposite of what Hagen calls it, to say that there's actually such a constraint today. I will not rule out that, once these plans are implemented, we should introduce a right that does not contain this restriction, but I cannot see that we can implement it today. To the representative, Mr Hagen, I would like to say that the duty lies with the county council. This is evident from the overall legal framework to which the Stortinget now subscribes. Of course, this right may be tried before the Court of Justice. What Hagen saw in addition is to set out his example of the car workshops, which have been promoted in the health debate for many years. The problem is that a psychiatric patient with a serious diagnosis has very little use for a check with money in his hand, because there is no capacity in any private hospital, and it is completely inappropriate to travel abroad for treatment. Then I think it must be right to say that our answer to that problem is to escalate the capacity through a binding escalation plan, and then acknowledge that the right you have actually has its limitation in the capacity that is in force today.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e353	I have a certain understanding that the Minister of Health has problems getting down on his legs. The starting point here was a proposal from the Minister of Health himself, who actively and with clear reasons agreed not to introduce any right to health care. So through the committee treatment, you've maneuvered to something that looks like a right, and that's not a right anyway. Then it might not be that easy to explain the context. The legislative proposal that now exists on the part of the majority can well be described as something Nils Kjær did in his time when he spoke about the democratic compromise between almost nothing and absolutely nothing. What I think should be considered carefully by the majority, is whether this is not going to be a kind of double communication that the users of the legislation and of the health care system would rightly be able to respond to and say back that if you have not intended to give us a right that will at all trigger effects of a practical nature if it is not fulfilled, why in all the vastest world have you then inserted the legal text that we have a right? I don't think there are many patients who are so designed that they want to find the reason that "unfortunately, we don't have the capacity at the moment, so your right can still not be fulfilled", particularly convincing. If it is intended that it is available at all times in the public health system to control the rights of patients, it is clear to me that the concept of rights should be avoided and terms that do not invite such obvious misunderstandings among users should be used. What characterises a lot of Norwegian health policy today, and what we are striving for in the Norwegian health system, is that there are so many disappointed expectations going out and going. People who are faced with disappointed expectations are frustrated, of course they are, and in the next round that frustration will turn back on the professionals who are going to serve the system and who are doing the best they can. So you're inside the vicious circle. Patients are disappointed because they are given expectations that are not met, and professionals are frustrated because they are set to run a system that creates false expectations for users.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e363	Let me first say that for one time – almost – I agree with the representative of Inge Wohnning in the last time he said. And then I would like to say to the Minister of Health that yes, of course there may be some diseases that can be more problematic than others. But why should one say no to a system that would seem quite excellent for a wide range of medical problems, and in particular operations such as cataract operations and other eye operations, ear-nasal operations, hip operations, heart operations and and re surgical procedures? For there, the car repair shop comparison would be quite relevant. We also know that there are hospitals abroad that would very much like to receive, and have accepted, patients from Norway. The question has to be asked: why is capacity not sufficient? Maybe it's actually for a good part because of the way the entire production of treatment for sick people is organized. Perhaps you could organize the staff in another way, allow doctors much more time to treat sick people and get others to take care of the deskwork. I would actually say that within the current human resources it is fully possible to radically increase production. It is precisely competition that forces everyone to be effective and rational in their activities. To compare with my insurance company, which operated its own car repair shops: they have no pressure to expand the capacity when the customers, the policyholders, have no choice – when you are in a situation that you can tell the policyholders who have had the cars destroyed by the collision, that they have no choice but to wait. Then such a workshop activity can continue to have poor productivity, poor organisation and poor administration, because there is no reason to make any changes. It is the absence of the pressure that competition exerts in all other areas, which requires a reasonable use of resources. You have to use the staff for what they're going to do, and you can't afford to do the stupid things. There is no such pressure today. On the contrary, we know that, in reality, part of the private sector has much greater productivity. The celebration clinic has shown it. Others are also operating, for example. grey star, which has capacity in Norway today, and which makes things far better than public. It might be nice to ask again: Why is the Government and the Minister of Health really against the system that works in all areas where it is implemented?
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e380	The Minister of Health has now tried in several articles to make a number that, because not all patients — and especially not patients with psychiatric diagnosis — can enjoy a right to treatment immediately, we should not give this opportunity to anyone. I think Inge Wohnung in an excellent way showed that incorporating into the bill a claim that the right to treatment should only be granted within the limit set by the capacity at all times is a circular argument where you are actually at rest. Of course, this is the case, and not least psychiatric patients know that they will not get the help in full, as many of them need, the day after the law comes into force, neither with the majority's nor the minority's proposals for legislation. But I think it's worth noting – and I also think that the Christian People's Party and the Health Minister should be angry – that these patients are also asking for the minority's proposal for a law clause, and not for the majority. So you have to be a little careful about getting on your high horse and thinking that you're doing the right of the patient groups better than they think they can understand what such a right should look like in order for them to feel that their interests are being cared for. There is, in fact, a very important difference between the proposals of the minority and the majority, which are also important for patients with psychiatric diagnosis, because the minority has not applied the restriction of the majority, namely that, if you do not have the right of the service provider you have first visited, you should be able to go to another publicly funded service provider, as it is called in the majority's proposal. It's not in the minority's proposal, and it's with good advice. We limit it to authorized private institutions or service providers, precisely because we know that, not least in the psychiatric field, there are still quite a number who would like to make an extra effort in a private practice. It's not that it would solve all the problems, but at least it could help more people get treatment faster, even for their psychiatric disorders, than what it's put up for by the majority. We recognize, of course, that not all problems will be solved immediately, but we also regard the law as an active contribution to speeding up the escalating activity that we need to do. I think the patient organisations do too. That is why they have asked, and supported, the proposal put forward by the minority and, as the chairman of the committee said, is very dissatisfied with the majority proposal that exists.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e389	Lack of capacity – yes, everyone sees that we have. However, despite this, it should be a human right in this country, in 1999, to have its disease treated of varying degrees of severity. Why do we lack capacity? Then I will address myself directly to the Minister of Health. The input-based funding has worked very well. In 1998, patients were treated far more than expected. What happens then is that the Minister of Health goes in and reduces the payment to outpatient clinics and to county councils because too many have been treated. And then you talk at the same time about having too little capacity. You don't want to approve private clinics either. Volvat has been denied several times in terms of application for bed places, and we have private psychiatrists who can accept psychiatric patients.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e396	I agree with the representative Wohning that clarification of expectations is central to health policy, and I am convinced that it is a clearer communication to say that the court has clear limitations than to give the impression that there are no such limitations, when the physical capacity in important areas of health care is actually too low. Then the representative asked Hagen why the capacity is not enough. Yes, it has to do with organization. The government has seized that. It has to do with years of neglect in priority areas such as psychiatry, cancer and equipment. The government, with the good support of the Progress Party and the majority of the Stortinget, has seized it. It has to do with funding. And we've actually received a funding arrangement that the Right Party, the Advance Party and the Government have jointly given greater weight, and that leads to a pressure for increased capacity. An increase in capacity follows as a result of this scheme, so that there is actually a pressure in this field already. Then there are proposals in this law on free hospital choice across the country, which between public hospitals will introduce an important element of competition. So the representative Hagen should update itself in relation to the changes actually taking place in health policy, which contribute to a pressure to increase capacity and competition and provide strong incentives to help more people instead of the old system that gave incentives to have the longest possible waiting lists. That's it.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e403	No salary has spoken twice and is given the word for a brief remark.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e406	I agree with the Minister of Health that it is possible to live with clear limitations. The problem with the majority of legal texts is that there is a very vague limitation. Yes, it is about as unclear as it is possible to get a criterion at all – it is said nothing about who it is that at any time determines what capacity is and what capacity is not. It is left to the discretion, and the patient will be completely helpless in relation to the discretion that takes place. On this point, the Minister of Health must also admit that the minority's proposal, although it disagrees with it in substance, is reasonably clear and does not invite an interpretation dispute, because it takes note that if the capacity of the Norwegian public health service is not present, then the patient must be able to have the offer elsewhere. For the patient, it'll probably be the same thing.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e412	Several have not asked for the floor on case No. 1st@item: inlistbox [[Footing, see page 720]]
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e426	This is a matter where there is a need for a limited debate. It's a very short and straightforward attitude, and the points of view are clear. I will carefully address the proposal of the Progress Party included in the vote and would also like to clarify that the Progress Party will vote against amendments to Section 12.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e433	Ulf Erik Knudsen has taken up the suggestion he referred to. Several have not asked for the floor on case No. 2nd@item: inlistbox [[See page 727]]
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e449	It's a unanimous committee that's behind this setting, and the setting is also consistent with the proposition we've got from the ministry. I would like to underline and clarify what the Committee writes in its remarks about opening up different educational and organisational trials, namely that the ministry must show liberality in the practice of the scheme. We see that the public institutions are exposed to increased competition in different areas, we see that private institutions are being established, and we also know that foreign universities and universities offer their services in the Norwegian market. It is therefore important that public universities and higher education institutions have the opportunity to meet this competition in a good way by providing good models for their activities, including through different trials. in this competition. In addition, I would like to stress that, in relation to the reform of competences, there is probably also a need for different attempts. What the Committee is concerned about is that the Ministry is liberal and positive to the extent that it sees this as necessary. I would like to stress one more thing, namely the fact that when various trials are carried out, it is important to take care of the students' rights and not weaken them. I think this is a good attitude, and that it is an important legislative change that is now to be made.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e462	I'll be very brief. I'm glad that a group committee joins the proposals. I have chosen the Committee's comments, including: to practise the new rule liberally. I will promise to do so according to the intentions that were now carried out by the case spokesman, but of course according to the law. It should also apply to the student's rights, that they should be taken care of in this regard.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e469	Several have not asked for the floor on case No. 3rd@item: inlistbox [[Footage, see page 728]]
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e483	At the request of the Church, Education and Research Committee, the President will propose that the debate be limited to 50 minutes and that speaking time be allocated to the groups as follows: Working Party 10 minutes, Progress Party 5 minutes, Christian People's Party 10 minutes, Right 5 minutes, Center Party 5 minutes, Socialist Left Party 5 minutes, Left 5 minutes and Twist Party 5 minutes. In addition, the President will propose that there be no repetitions after the individual speeches, and that those who have to sign up on the list of speakers, in addition to the allocated speaking time, have a speaking time of up to 3 minutes. This shall be deemed to have been adopted.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e492	I'm sorry I can't keep the post in sign language tonight, but it's due to lack of training. So the president has to carry over with my voice. The case of Odelstinget now deals with, among other things. sign language training in secondary school. It is a joint church, education and research committee that now proposes to legislate young people and adults' right to education in and in sign language at secondary school. In the spring of 1997, the government decided to ask the government for proposals for legislative changes, so that young people were given the legal right to choose sign language secondary education in a sign language environment or secondary education using interpreters in a Norwegian-speaking environment. This was followed up by the Government in its proposal in Ot.prp. No 78 for 1998-99. In the Committee's work, we have come to the conclusion that this right should also apply to adult students in high school, and the Committee also promotes a proposal in line with this. Youth today is entitled to secondary education. Among other things: A hearing-impaired youth must also have the right to choose to take secondary education in a sign-language environment or with an interpreter in a Norwegian-speaking environment. With today's Bill, young people with sign language as the first language are given an unconditional right to choose training in and in sign language in a sign language environment, or to choose to use interpreters in the ordinary secondary school. Young people who do not have sign language as first language but who, after expert judgement, need such training are given the same rights to choose. We also give adults who are admitted to higher education the same right. I believe this is important progress for disabled people and their rights. It offers better opportunities to take education and qualify for work, and it improves the quality of life. The Committee has shared the question of whether there should be an expert judgement before the county council takes decisions on training in sign language and on how to define a sign language environment. The Christian People's Party is part of the majority who want expert judgement and a definition of a sign language environment, which also includes secondary schools with node status for sign language training. The Christian People's Party believes that a right to secondary education in and in sign language should provide this group of students with the resources necessary to provide good training. The expert assessment can assess and take a position on the training needs of the sign language learner and thus ensure adapted training. These students shall also be entitled to special education if they do not, or cannot, benefit satisfactorily from the usual training provision, as provided by Section 5-1 of the Training Act. A critical factor in making the right to sign language training real is that we have qualified teachers and deaf interpreters. The Committee took note of the Ministry’s assessment of the adequacy of access. Training institutions have also launched measures to improve the search for training in sign language, but it is important that the Ministry closely monitor this situation in the future. The Committee has also found reasons to remind the Government of the decision taken in spring 1998 on the statutory right to be trained in punctuation, and we ask the Government to carry out an assessment of the organisation and the economy in the event of a retention of rights. When the Christian People's Party is involved in this decision, it is because it assesses all the possibilities and challenges associated with training in Braille for the blind and the feeble. However, the Christian People's Party wants to clarify that we will continue the integration of this group into Norwegian school, and we want to reserve something against drawing a parallel to training one for sign language students. However, these are questions we must be allowed to go into more thoroughly in the context of the assessment that the Government is now being asked for. Finally, today's amendment to the Training Act also includes a number of other points which essentially clarify the applicable rules, and I would like to refer again to the referral by the Committee.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e513	It may seem that this committee is composed of representatives who are characterized by cold, and in this way it also applies to me. Now it's about a year since the Education Act was signed here in Odelstinget, and this is about following up on the Stortinget's previous decision in Innst. S. No 275 for 1996-97. It is a milestone for many that Odelstinget now deals with and adopts changes to the laws that permit a statutory right to further training in and in sign language. It is natural to see such a right in further training in conjunction with the base ball and not least in connection with the fact that the promise now also includes the adults who have been admitted to further training without being entitled to it under § 3-1. I noticed that there was a major lack of external interpreters. This is why it is positive that the Department is now working to improve its interpretation training and, at the same time, to improve its recruitment. I want to encourage the Council of State to provide this work. And then I'm going to hit a battle for an area where the action commanders didn't come in, that is, the camp balls. In many ways, the clay balls are still a stepchild in the Norwegian school system, despite the fact that most of the parties here in the hall think that the camp schools are important – we should have them. The goal of the big business is that all Norwegian elementary school students should have at least one clay schooling during the schooling period, because we believe that this is a good educational measure. And when we look at the activity, there's no doubt that it's a good measure: about 2,500 classes travel on clay schooling every year. It is now that the clay pottery was given its own regulations in 1993. It has been important to ensure and regulate this activity. The government's proposal to add the pedagogical staff to the municipality of the camp ball is positive. However, an unfortunate side effect may be that the excessive cost factor in the state bill causes the municipalities that have clay balls to actually be penalised financially and have to allow money over their own municipal budget as well as the state budget. This was a crossroads, but it is an important element in the work to ensure the skills of the camps and to ensure their recruitment. As the Ministry assesses that they have no authority in the laws to draw up regulations, I will ask the Council of State to follow these developments carefully and, if necessary, to obtain a legal basis. After 25 years of excessive security, the clay ball system should now have a foundation that provides lasting security.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e530	In Ot.prp. No 78 propose to the Ministry that young people with sign language who are given the legal right to choose secondary education in and in sign language in a sign language environment or with interpreters in ordinary secondary schools. All of this is done by cancellation and decision at the Innst. S. No 275 for 1996-97. This sounds provocative, the ministry had proposed the court uncircumcision. But it's too much! For practical and economic reasons, hearing-impaired apprentices are not covered by this right. What does such a delimitation mean? In practice, these disabled young people have to choose even narrower than those with disabilities in order to receive secondary education. The rights of persons with disabilities are subsequently not protected by, as it says, ‘practical and economic reasons’. Instead, there is a reference to the provision of supplementary grants for apprentices in need of organized education. In addition, grants may be applied for for specific expenditure, etc. In the opinion of the Progress Party, these formulas are only about economics and the fact that there is a lack of both sign language teachers and instructors, not to mention interpreters. Only now in 1999 will it be said that the organisation of school interpretation for deaf people be assessed in cooperation with the Ministry of Social Affairs and Health. It's probably a little late when we know that we've had people with hearing impairment in this country for very many years. Don't these people have the same value as us seemingly functioning fresh? They shall be able to be offered in a sign-language environment in school departments of the special educational centres for hearing-impaired persons. It's not more than a year since we did anything about these centres of expertise, too, because there was an alarming need to increase staffing at PP offices. I don't have to say anything more about it. The right to take training at centres of excellence is again further limited to the courses offered by these schools. This also applies to node schools. Do not these students, with so many problems already, have the very least right and the ability to make an almost free choice? Or is it not so dangerous because there are not so many opportunities for work anyway? Then to the definition of the sign-language environment. The Party of Advancement and the Socialist Left found that this had to be defined somewhat more strongly because it could actually be anything, and we have put a very clear piece of legislation on this in the proposal that will be promoted. It's not just that. And so to the fact that the Storting in connection with the Training Act actually made a decision even when it was about the visually impaired and the blind, which it could have been natural to include in this context. It was not done, so the committee had to find out and raise as a new point in the draft decision. In the case of camp schools, the Progress Party will indicate that a free principle has been introduced for primary schools. However, camp schools are not free; they depend on the economy of individual parents, whether or not teachers are employed in the municipality. This means that children in Norway – regardless of their parents’ finances – do not have equal rights to schooling.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e547	Is the representative of Ursula Evje to make proposals?
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e550	I am addressing the proposal on which the Progress Party and the Socialist Left stand together.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e555	Ursula Evje has addressed the proposal to which she referred.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e558	In fact, it is so rare for the Progress Party and the SV to make joint proposals that it is understandable that the representative forgot to address the proposal. All in all, there is full agreement within the Committee on the main content of this matter. The Committee has asked the Government to come back with a proposal for a law, and the Government has carried out the mission, as far as I can see, in accordance with what was ordered by the Committee. Then there is a nuance difference as to how far you will go in the direction of detailing and clarifying the expression 'characteristic environment '. For my part, I do not see the very great need for that controversy at the moment, because I assume that if the wording proposed by the Government, to which the majority of the Committee subscribes, would create problems of an appreciable extent, it must be natural to come back to it at a later stage. So a small note to the representative Oppebøen Hansen’s heart attack – or “side jump”, he certainly called it – when it came to the camp school case. The representative Upbebøen Hansen is right that there are problems in this area because the municipalities have to bear a not insignificant part of the costs themselves. And it is also right, as the representative Oppebøen Hansen points out, that this can turn out unfortunate – if you choose the legislative formula proposed – for the municipalities that may be in the position that within their borders they have a camp school, possibly several, which is then charged with extra costs. But that problem could be solved very easily by the representative voting for the minority's proposals, because then the problem will not be there in that form. There is no disagreement between the majority and minorities that camp schools are important educational offers and good educational offers. The disagreement is whether it is appropriate to bind the staff to an employment relationship in the municipality where the camp school is located. In the opinion of the minority, it will create a rigidity in the system that is not for the good, either for the camp schools or for the municipalities responsible for them. So on this point, I would say that the reference in the attitude of the minority to the opinion of the Ministry of Local and Regional Affairs is quite relevant. I quote: ‘We want the departments of trade to be restrictive in relation to proposing many and detailed requirements for the activities of the municipality. ‘... In my opinion, this proposal clearly falls within the category ‘too many and too detailed requirements for the operation of the municipality’.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e576	That post we just heard was a typical post for Inge Wage. Here we treat an important legislative change, which includes a minority group, and then he uses one sentence on it and is a little funny because the Progress Party and SV stand together. For the rest of the time he uses to talk about camp school, which is a trivial matter in relation to the matter. That matter is to grant rights to a group as per. today do not have these. This amendment will give them the right to choose training courses. This applies to young people who have sign language as their first language and to young people who do not have sign language as their first language but who, after expert judgement, are also entitled to choose where to take the training. I am pleased with the clarification that the committee has made in the vote, a clarification that came after we had taken up another proposal, which did not get a majority, but which went something further. In addition, the Committee has clarified in this proposal that the scheme also applies to adults who have sign language as their first language or who will use sign language. I regret that we have not received a majority in favour of the proposal for the definition of sign-language environment – that was what Inge Wohnning thought it was funny that SV and the Progress Party were united. I am not sure that Inge Wohnung has discovered what the difference is. What the Progress Party and SV say is that with our definition of sign language environment, we expand students' choices in relation to today's system. That's what we're doing. The law governing the text of the right has defined sign-language environment as an environment in which they have organised offers. An ordinary secondary school with organised offerings is defined as a sign language environment. We want to define the sign-language environment to include traditional centres of expertise. And it has something to do with the view of education, it has something to do with the view of training. Training is not just a matter of a particular educational situation. It is the overall environment in which the students go and where they have to function, which will be the training environment of the students. And then it's important, in the environment they're going to, and the environment they're going to be in, that most of the people they're going to communicate with can communicate with them, that's. that they use sign language as language. We are not saying with this proposal that the rivers should go there, but we are saying that the students should have this choice, and it is somewhat surprising that the Right, who is concerned with choices, does not support this proposal. Because we actually have examples of students wanting to go to a competence center, but the county council has said that we have a node institution, that's what we have, and that's what you have to choose – even if the students want to go strongly to a competence center and live in this sign-language environment. It surprises me, as I said, that the Right does not want to participate in this proposal, in order to extend the students' choice. Ursula Evje has well taken up the joint proposal for the new and re term, so I won't do it.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e599	Yeah, it's already done.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e603	The main part of the legislative proposal that has been put forward, which is now to be discussed, relates to proposals for changes to the laws that will grant individual rights to deaf and severely underprivileged young people in the secondary school. The legislative proposal is a follow-up to decisions in Stortinget, cf. Inner. S. No 275 for 1996-97. I agree with those who have said that this is a historic and important day, with the passing on of dishes that have been in the foundation, which are now also coming to the secondary school. The proposal implies that young people who have sign languages as their first language will have the legal right to choose further training in and in sign languages in a sign language environment or further training using interpreters in ordinary secondary schools. Before deciding on such training, the county council shall carry out an expert assessment. In the case of the target group of the court, the legal proposal provides that the court shall apply to deaf and severely hearing-impaired young people who are entitled to further training under the Training Act § 3-1 and who have sign language as their principal language. It is the individual’s own perception of linguistic identity that is decisive to the court. If a seeker is in doubt about the language choice, the expert body will be able to assess this in consultation with the sea core. Any person who does not have sign languages as a first language but still needs sign language training will be able to receive such training under the regulations on special education in Chapter 5 of the Training Act. I note that the committee is already in favour of the legislative proposal to include adults. In St.meld. No 32 for 1998-99, Further training, the Ministry suggested that the adults admitted to further training should be granted the individual right to complete the training course under the same conditions as the current course. I initially saw it so that dishes for adults should be brought in for the treatment of St.meld. No 32, but of course I take note of the committee's proposals. Those who want to be trained in a sign-language environment will be able to do so in the school departments by centres of competence for hearing impairment and some county focal points. These are ordinary municipal secondary schools which have special competence and organized training provision for deaf and severely hard-headed elephants and for hearing impairments. Various measures have been taken in connection with the legislative proposal. This applies, inter alia, to: the development of curricula and teaching materials and the enhancement of the skills of teachers. In addition, efforts are being made to develop and coordinate the supply of foreign exchange and payment systems in connection with the right. The Ministry aims to ensure that the law can be implemented as from the 2000-2001 school year. So a little bit about bitmaps. The Committee refers to the decision of the Storting during the examination of the Innst. O. No 70 for 1997-98: ‘The decision asks the Government to bring an action on the statutory right to be trained in writing. ‘... The Committee requests that this Decision be followed up as soon as possible. The Ministry is in the initial phase to settle the issue of the statutory right to education in typesetting, with the aim of bringing forward legislative proposals on this spring 2000. In its opinion, the Committee proposed this Decision: ‘The decision asks the Government to submit a notification based on an assessment of the organisation and the economy associated with a rights-based access to training in Braille for the feeble and blind as an addition to ordinary education for the blind and partially sighted. The training shall take place either in the punctuation environment or integrated into the ordinary school at the student's own request. ‘... I have noticed this, and find it most natural to come back to these assessments in the bill on the right to be trained in bitmap writing. Such a bill would include assessments of the cost of such a bill, as well as a review of what kind of organization would be the most appropriate.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e637	Several have not asked for the floor on case No. 4th@item: inlistbox [[See page 729]]
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e645	The odelsting shall vote in case No. 1-4.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e651	Five proposals have been put forward during the debate. It's proposal No 1, by John I. Alvheim on behalf of the Progress Party and the Right-wing Proposals No. 2 and 5, by John I. Alvheim on behalf of the Progress Party, proposals Nos. 3 and 4, from Annelise Höegh on behalf of the Right Proposals Nos. 1 to 4 is included in the adjustment, while proposal No. 5 is distributed in the hall. Proposal No. 4, from the right, says: «The Council asks the Government in line with the recommendation of the NOU 1997:18, Re-priority, set up re-presentative disciplines to advise on priorities in its own field, and a coordinating, permanent prioritisation committee to advise on the priorities of patient groups. ‘... This proposal will be submitted to the Stortinget in accordance with the fourth paragraph of Section 30 of the Rules of Procedure.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e688	For the first sentence, two divergent proposals are made. That is proposal No. 2 by the Committee on the Rules of Procedure, the Verification of Credentials and Immunities, on behalf of the Committee on the Rules of Procedure, the Verification of Credentials and Immunities, on The proposal from the Progress Party reads as follows: ‘The provisions of the Patient Rights Act are replaced by the following: § 1-1, first sentence, the first sentence is replaced by the following:The purpose of the Act is to ensure the right of the population to health care and equal access to good quality health care from the municipal health service, including the care of the elderly and the specialist healthcare service. ‘The proposal from the Right reads: ‘The first sentence of Section 1-1 of the Patient Rights Act shall be replaced by the following:The purpose of the Act is to ensure the right of the public to health care and equal access to good quality healthcare from the local health service and the specialist healthcare service. ‘... The President will first vote on the proposal from the Progress Party, and then alternately between the vote and the proposal from the Right. The Progress Party has announced that they support the Right's proposals in a subsidiary way.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e728	It is then voted over the second sentence of Section 1-1.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e736	Further adjustment was made:
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e772	The President will then vote on § 2-1 and § 2-3. Paragraphs 2 to 2 will be returned by the President.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e798	There is an aberrant proposal, No. 1, from the Party of Advancement and the Right: ‘The provisions of the Patient Rights Act are replaced by the following: § 2-1 is replaced by the following:§ 2-1 Right to health careThe patient is entitled to immediate assistance.The patient is entitled to the necessary health care from the local health service.The patient is entitled to the necessary health care from the specialist healthcare service to be provided within an individually prescribed medically justified period. If the patient does not receive treatment from the specialist health service within the deadline, the patient has the same cost framework for treatment at another public or authorised private health institution in the state or abroad on public account. The proposition's proposals for § § § 2-1, 2-2 and 2-3 become § 2-2, § 2-3 and § 2-4 respectively. Paragraphs 2 to 3 are replaced by the following:Sections 2 to 3 Right to reviewThe patient has no reference to the general right to reconsider his health status of the specialist healthcare service. ‘...
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e843	There is an aberrant proposal, No. 2nd from the Progress Party. The proposal reads as follows: « § 2-4 is replaced by the following:§ 2-4 Right to choose a hospitalThe patient has the right to choose a treatment site covered by public health plans including private specialists with operating contracts. This does not apply to treatment in children’s and adolescents’ psychiatry. The patient cannot choose the level of treatment. Travel costs of free hospital selection are covered by the National Agency, the County Council and the patient with one third each. The patient's share is limited up to NOK 400, the other is divided equally between the Rikstrygdever ket and the county. ‘... The right-hand side has warned that they're going against the second term. It is therefore the first to vote on the proposal of the Progress Party, then on the position of the Committee on the first paragraph, and finally on the position of the Committee on the third paragraph.
ParlaMint-NO_1999-06-10-lower-2.ana.ud1165e877	The President will then vote on § 2-2 and § 2-5.
