ParlaMint-ES_2015-04-29-CD150429.u1	The meeting was resumed.
ParlaMint-ES_2015-04-29-CD150429.u80	Thank you, Mr. Rodriguez. Minister.
ParlaMint-ES_2015-04-29-CD150429.u81	Thank you, Mr. President. Your Honor, you bring this matter here by telling the Minister of Finance and Public Administration to force certain contents to be given to the Spanish Radiotelevision news. That's what you just said. Really a complete approach, of course very much in his style. [[Rumors]] Is that what happened before? The responsibility of the Minister of Finance and Public Administration will never be to decide, or even to comment, on the contents of the information. Or is it? It clearly isn't. It is in relation to the economic and financial management of that public body. That is what the ministry and minister are doing. That, no doubt, is the role that we have been doing since the beginning of the legislature, against its forecasts and against the ruin in which they added to the public body, removing advertising to give it to friendly televisions. - There they are, so enchanted and so objective always at the expense of the public body!-. From there, honourable Member, I do not quite understand the meaning of the question. In addition, we have been - as you say - three and a half years and apparently the complaint takes place after three and a half years, but I would swear that you have already asked me several times about manipulation in Spanish Radio Television, because you are constant throughout the legislature. You don't ask me anything about the tax drop this year. [[Rumors]] Of the reduction of the public deficit and of the economic growth ask me absolutely nothing. I was missing more! Is there anything good in Spain? That doesn't exist. [[Applauds]] Now, of this matter I have been asked and continue to be asked throughout the legislature, in order to end up denouncing a practice that is obviously not practiced and would be offensive to Spanish Radiotelevision professionals. [[Rumors]] Therefore, let them act with freedom of opinion and, from this, we will gain in the balance of communication and in the balance that must exist between information... [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u82	Thank you, Minister. - OF THE DEPUTATE DON MARIO BEDERA BRAVO, OF THE SOCIALIST PARLIAMENTARY GROUP, WHO FORMULATES THE LORD MINISTER OF EDUCATION, CULTURE AND SPORT: IS THE MINISTER OF EDUCATION CONSIDERING THAT REVALIDATIONS DO NOT HAVE A SECRETARY EFFECT IN THE EDUCATIONAL SYSTEM? [[File number 180/001295]]
ParlaMint-ES_2015-04-29-CD150429.u83	Questions to the Minister for Education, Culture and Sport. Mr Mario Bedera, Member of the Socialist Group, asked.
ParlaMint-ES_2015-04-29-CD150429.u84	Thank you, President. Mr. Wert, one of Franco's last education ministers, Villar Palasí, eliminated the invalids in 1970 because it was a non-pedagogical method, as they examined what was remembered and not what was learned. Moreover, because it was very segregating, because out of every 100 pupils entering the education system only 27 went to high school and only 3 came to university. Do you still think that the revalids have no segregating effect?
ParlaMint-ES_2015-04-29-CD150429.u85	Thank you, Mr. Bedera. Minister.
ParlaMint-ES_2015-04-29-CD150429.u86	Thank you very much, Mr President. Mr Bedera, what I think about the invalids may have, in your case - and I understand it because you are a historian - a historical interest, because obviously there are no invalids. If you, as you always do - because it seems that the only references you have in your mind are those of the past, and in addition to those of the past understood in a very narrow sense - you refer to the assessments contained in the Lomce, I will tell you that they have no segregating effect but quite the contrary, except that assessments conceived as they are in countries with better educational performance are also segregating. But, of course, I have to tell you that, as much as you talk about invalids, Lomce's assessments in no way resemble the invalids.
ParlaMint-ES_2015-04-29-CD150429.u87	Thank you, Minister. Mr. Bedera.
ParlaMint-ES_2015-04-29-CD150429.u88	Mr Wert, almost half a century after the invalids are eliminated - because they are invalid - you resurrect them, make them external and also design a perverse system of ranquins to classify the centers, regardless of whether they belong to depressed environments, whether they are from the rural area or if they are in urban neighborhoods with high purchasing power. Revivals that contradict the autonomy of the centres, the dignity of teachers and the principle of equality of pupils. The accumulated experience is of no use, and you have made reference to it. I'll tell you about it. Of the countries in our environment only French-speaking Belgium has revalidations in primary school and you have left that possibility open to the will of the autonomous communities. Only Ireland has a revalidation similar to that which you imposed at the end of compulsory education. Only France and Ireland give the title of baccalaureate after an external revalidation like the one you introduced in the Lomce. Posts to choose model, you have bet on the disastrous experience of the education law of George Bush son, what Americans know as the triple T: Teach to the test. As you are bilingual or trilingual you will understand and know what we are talking about. As would be, Minister, the failure of this law that even its promoter ended up writing a book asking for forgiveness for what they had done to the American educational system and because it was immoral to teach for the exam. His last contribution to this purpose is that he has proposed revalid test type, a system that feeds intensive training only for the exam and that is more typical of an academy that prepares for a Trivial championship than of a center where the integral training of our children and the culture of evaluation must prevail. No wonder the representatives of five autonomous communities are getting up from the sectoral conference sick of their proposals, more similar to late-dating... [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u89	Thank you, Mr. Congressman. Minister.
ParlaMint-ES_2015-04-29-CD150429.u90	Thank you very much, Mr President. Mr Bedera, you know that 80% of the things you have said are not sustained. First, they don't stand up because you're talking about the primary assessment. The primary assessment, as you know or at least should know if you had read the law, completely lacks academic effects, simply provides guidance on performance. Secondly, you are talking about countries that have external and standardized assessments at the end of the stages. They are the vast majority of developed economies and, of course, those that work best. Moreover, the fact that part of the exams, part of the evaluations are test type does not mean, at all, that they have a memory content. They are proofs and I sincerely invite you to sit together and examine the very important basic work that the technicians and teachers of the ministry have done on the evaluations in order to guide them towards the knowledge of the skills acquired by the students. They are modern assessments designed to provide transparency, to facilitate accountability of the system, to make families better informed, to make students better informed, to make teachers themselves better informed. And in no way do they have anything to do with the invalids who, in fact, were a procedure to channel a demand that the system could not meet and, in that sense, it was entirely right that they were segregating. Nothing to do, Mr Bedera, with this system of external evaluations that implements the Lomce. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u91	Thank you very much, Minister. - OF THE DEVELOPED ROSA MARIA ROMERO SÁNCHEZ, OF THE PEOPLE'S PARLIAMENTARY GROUP AT THE CONGRESS, WHICH FORMS TO THE LORD MINISTER FOR EDUCATION, CULTURE AND DEPORT: WHAT ACTIONS ARE PROVIDED FOR FOR THE CONMEMOTIONS OF THE IV CENTER OF THE PUBLICATION OF PART II OF THE KITCHEN AND THE DEATH OF MIGHT OF CERVANTS? [[File number 180/001285]]
ParlaMint-ES_2015-04-29-CD150429.u92	Question also addressed to the Minister for Education, Culture and Sport, Mrs Rosa Romero, Member of the People's Group.
ParlaMint-ES_2015-04-29-CD150429.u93	Thank you. Ladies and gentlemen, during this year 2015 is commemorated the fourth centenary of Part II of The Ingenious Hidalgo Don Quixote de la Mancha, the most universal, eternal and immortal figure of Spanish literature and in 2016, the fourth centenary of the death of Don Miguel de Cervantes. The Quixote has been able to conquer the whole world, it is the most translated work. His characters have become universal archetypes. It teaches us how people lived and talked between the 16th and 17th centuries. It is a lesson in life and humanism. It is a sign of identity and moral reference of the noblest of the human being, passing times and places. In addition, he holds lessons in psychology that are difficult to overcome through his illustrious characters Don Quixote de la Mancha and his squire Sancho Panza. Spain, but especially Castile-La Mancha, has an eternal debt to this work and therefore we consider that this ephemeride is an opportunity to promote our cultural wealth and to maintain the Cervanian legacy adapted to the current reality. Let me name my land and my city, Ciudad Real, which feels chijotesca and cervantine and which Don Miguel de Cervantes raised to the category of imperial, rather than city. We have a museum in El Quixote, unique in Spain, which houses a rich library with more than 3,500 copies of Cervantine theme. The Government of Castile-La Mancha is pouring into this celebration, I also have the great support of the Government of Spain and, of course, its projection in the various autonomous communities and in the Spain of the twenty-first century, open, entrepreneurial, solidarity and determined in its commitment to progress, well-being and the generation of wealth. Therefore, Minister, I ask you for the actions commemorating the fourth centenary of the publication of the second part of El Quixote and the fourth centenary of the death of Don Miguel de Cervantes. Thank you very much. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u94	Thank you, honourable Member. Minister.
ParlaMint-ES_2015-04-29-CD150429.u95	Thank you very much, Mr President, and thank you, Mrs Romero. I agree with your honor that these two years are an important commemoration of Cervantine. As his lordship has just said, this year we are celebrating the publication of the second part of El Quixote, the ingenious gentleman - who no longer hidelago - Don Quixote de la Mancha and next year we will celebrate the fourth centenary of the death of his author. The first provision that the Government has adopted in this regard has been the declaration of an event of exceptional public interest of these two centenaries Cervantinos, which will allow for three years, the financial years 2015, 2016 and 2017, all private sponsors who want to benefit from this commemoration to enjoy the fiscal advantages that this declaration entails. Secondly, the Government has set up an inter-ministerial commission so that, with the Honorary Presidency of its Majesties the kings and with the effective Presidency of the Vice-President of the Government, all the departments that have any connection with this commemoration can collaborate with the rest of the administrations and, of course, most notably the Administration of the Autonomous Community of Castile-La Mancha, which has the leading role that his lordship has recalled. From there, there is a wide program of commemorations of a very different kind that, in the case of the ministry I represent, include both scientific and research activities and activities that have to do with the performing arts, with music, with archives. It is very difficult to summarize it in the time that I have - it is more than twenty-five activities -, but I would highlight fundamentally the following: in the National Library, where an exhibition is already being held on Cervantes collectivism, there will be a great exhibition, Miguel de Cervantes: from the reality to the myth, which will take place in the first semester; from the point of view of the performing arts, the premiere of Miguel de Cervantes: travels, dreams and utopias, and the premiere as well... [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u96	Thank you, Minister. - OF THE MINISTER OF EMPLOYMENT AND SOCIAL SECURITY: WHAT BALANCE DOES THE MINISTER OF EMPLOYMENT OF WORK REFORM DO? [[File number 180/001289]]
ParlaMint-ES_2015-04-29-CD150429.u97	Questions to the Minister for Employment and Social Security. First of all, I would like to ask Mr Miguel Ángel Heredia of the Socialist Group.
ParlaMint-ES_2015-04-29-CD150429.u98	Thank you, Mr. President. Minister, what does the balance of labour reform do?
ParlaMint-ES_2015-04-29-CD150429.u99	Thank you, Mr. Heredia. Madam Minister.
ParlaMint-ES_2015-04-29-CD150429.u100	Thank you very much, Mr President. Heredia, labour reform has been and is a reform for employment. Thanks to the commitment of the workers, the companies, their representatives and the whole Spanish society, and also to the reforms of the Government, Spain today has a change of direction in the labour market: unemployment drops at a rate of 7 %, job creation increases annually to 3 % and each month indefinite recruitment rises to 27 %. So much remains to be done, Mr Heredia, but we are moving in the right direction thanks to Spanish society and the government's labour reform. Thank you very much, Mr President. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u101	Thank you very much, Minister. Mr. Heredia.
ParlaMint-ES_2015-04-29-CD150429.u102	Minister, the People's Party promised to create 3.5 million jobs - this was the excuse for doing its job reform - but today there are 700,000 less occupied than when Rajoy arrived in the government. Today there are many more households with all their members unemployed, 1,80,000 families, and much less unemployment protection, 20% less. The job that is created is of very poor quality, and you know it. Working in our country today is no guarantee of coming to the end of the month. Nine out of ten contracts are temporary, with a duration that does not even reach two months. And there are over 400,000 employees who work less than ten hours a week. Wages have fallen and in many cases are miserable. According to the National Institute of Statistics, a person hired in 2014 charges 25% less than one hired three years earlier and one in three workers - such as Miguel, who is a waiter, or Silvia, who is an addict - charges less than 648 euros. Minister, do you think you can live decently, decently with less than 648 euros a month? If even The Economist is telling you. His Government had turned the Spaniards into emigrants around the world, into economic exiles. Another 125,000 Spaniards had to go out last year looking for an opportunity that they don't find here. There are almost one and a half million young people unemployed and, according to the latest EPA, seven out of ten jobs destroyed are women's. This is his inheritance, his and Rajoy's. This labor reform that you feel so proud of - as proud is of your fellow Rodrigo Rato - is being brought down by the courts. The Supreme Court has overturned the EREs that you supported with your labor reform. The last case was that of Coca-cola; previously, those of Telemadrid, the City of Estepona or the City of Jerez. And the National Court has given him a historic swing by giving reason to the workers in the reduction of the day. Justice is therefore against their labour reform. And it will be a socialist government that repeals it, giving back to the workers the rights that you have taken away from them. Minister, don't do any more harm, ask forgiveness, withdraw from your business and stop crushing the workers of this country. Thank you very much. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u103	Thank you, Mr. Heredia. Madam Minister.
ParlaMint-ES_2015-04-29-CD150429.u104	Thank you very much, Mr President. Mr Heredia, the Socialist Party is not here to give employment lessons. There is a clear change of direction in the labour market. With the socialist governments 3.5 million people went to unemployment; with the People's Party today there are 260,000 fewer unemployed than when the labour reform was approved. I keep giving you data, Mr Heredia: there are 155,000 fewer unemployed among young people under the age of 30 than in 2011 and, more importantly, 345,000 workers over the age of forty-five have a job they did not have when the socialists ruled. Mr. Heredia, don't give precarious lessons. The greatest inequality and precariousness is not having a job. Today in Spain, 3 out of every 4 employees work with an indefinite contract, 76.4% - 74% when the socialists ruled - and 9 out of every 10 workers with an indefinite contract do so on a full-time basis. I'm going to give you one more data, at the end of 2014 more than 20% of indefinite contracts were signed than in 2011. So, Mr. Heredia, we're going in the right direction. Wages are agreed in collective bargaining, respect for trade unions and employers. And if you want to talk to me about people, tell me about Manuel, a doctor from the Andalusian Health Service of a socialist government, who works with a temporary contract, who have hired him for three hours and works eight hours, that the remaining five hours are paid as a guard at 15 euros gross per hour; Manuel lives with 15 euros gross per hour in Andalusia. [[Rumors]] Mr. Heredia, three years ago in Andalusia they did not do a workshop school for the unemployed and the ALPE, those 800 who hired in law fraud, they had to be recovered by the Supreme because the government sent them to unemployment. That's Susana Díaz and the socialist government of Andalusia. [[All right, cheers. Rumours.]]
ParlaMint-ES_2015-04-29-CD150429.u105	Thank you very much, Minister. - THE DEVELOPED WOMEN'S PATRICIA BLANQUER ALCARAZ, OF THE SOCIALIST PARLIAMENTARY GROUP, WHICH FORMS THE MINISTER OF EMPLOYMENT AND SOCIAL SECURITY: IS THE GOVERNMENT OF ESTABLISHING GUARANTEES TO AVOID SITUATIONS OF UNEQUALITY IN THE WORKING CONDITIONS OF WORKERS OF EXTERNALIZED SERVICE ENTERPRISES? [[File number 180/001296]]
ParlaMint-ES_2015-04-29-CD150429.u106	She asked the Minister for Employment and Social Security, Mrs Patricia Blanquer, of the Socialist Group.
ParlaMint-ES_2015-04-29-CD150429.u107	Thank you, Mr. President. Madam Minister, you can't teach anyone lessons, because after more than three years of the People's Party government the picture is devastating: unemployment figures are unacceptable, partial contracts are abused and half of the employees receive wages of less than 1,000 euros. Of course, you are responsible for labour poverty. Moreover, there are companies that outsource services using contracts, subcontracts and even bogus self-employed persons without being held responsible for the working conditions of the workers performing the subcontracted activity, and this is allowing situations of inequality between workers protected by contract and unprotected workers who are exploited by work. So tell me, does the Government intend to establish guarantees to prevent this situation of inequality? [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u108	Thank you very much, honourable Member. Madam Minister.
ParlaMint-ES_2015-04-29-CD150429.u109	Thank you very much, Mr President. First of all, honourable Member, not employment lessons. With the Socialist Party 6 out of 10 new unemployed in the European Union were Spanish, with the People's Party 1 out of 2 jobs created today in Europe, thanks to the governments and Spanish society, it is in Spain. Today, therefore, jobs are created and unemployment is falling. Madam Member, the legislation is very clear on guaranteeing workers' rights in all companies, even when other companies are hired or subcontracted by other companies, as is clearly stated in Article 42.1 of the Workers' Statute. In addition, I remind you that the illegal transfer of workers is defined as a serious administrative offence that may constitute an offence under the Criminal Code. We have clear and forceful legislation that always protects workers' rights. Thank you, Mr. President. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u110	Thank you very much, Minister. Mrs. Blanquer.
ParlaMint-ES_2015-04-29-CD150429.u111	Minister, your story is false, today there is more unemployment than when you arrived in the government. We demand that you combat the precariousness that you have generated and that you go further. Because with their labor reforms they have allowed some to ensure benefits at the expense of the worker's impoverishment. It is unfair that workers doing the same work for the same company cover less or much less simply because they do so as workers of subcontracted companies and it is unacceptable to have to endure working hours of up to twelve hours for net salaries of 700 euros, as they denounce workers of subcontracting and self-employed companies who provide services to Telefónica. To put an end to these situations, the Socialists do have answers. We want to make it a reality that at equal work, equal pay, to put an end to false self-government and to regain the strength of collective bargaining that you have disjointed. Because the data speak for themselves, it is their responsibility that there are more than 6 million workers who have ceased to be covered by a collective agreement. In addition, they have weakened the position of workers, who endure a deterioration of their working conditions for fear of losing their jobs, which is sharpened for workers of subcontracted companies, giving them a living. It is clear that they have not legislated against unemployment, but against workers' rights, forcing the weakest to bear all the sacrifice to get out of the crisis. So, Minister, you are guilty of poverty and labour exploitation. [[A lady Member: Very well!-Applause]]
ParlaMint-ES_2015-04-29-CD150429.u112	Thank you, honourable Member. Madam Minister.
ParlaMint-ES_2015-04-29-CD150429.u113	Madam Member, there is no greater poverty and labour exploitation than sending three and a half million Spaniards to unemployment when the socialist governments govern. For your information, and you can read the legislation, article 42.1 of the Workers' Statute has not changed since 1995; therefore, full guarantees for all workers. But we have done something that the former socialist government has not done in eight years, we have reinforced the sanctions and demands of responsibilities to entrepreneurs who subcontract to other companies in respect of social security contributions and wage guarantees for subcontracted workers. We have also strengthened the powers of the Labour Inspectorate to protect the rights of workers who are in subcontracting companies, pursuing the illegal transfer of workers. What I can't allow is for you to want, in an irresponsible way, to interfere in collective bargaining. In the negotiation of collective agreements between the parties, the Government is very respectful and we hope that the case to which you refer will come to a good negotiation in which the workers win and the company wins, for employment, honourable Member, and for Spain. We trust the representatives of the company and the workers; you also want to intervene in that and change it. Thank you very much, Mr President. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u114	Thank you, Minister. - OF MRS ISABEL SÁNCHEZ ROBLES, OF THE VASCO PARLIAMENTARY GROUP, WHICH FORMS THE MINISTER OF FOOD: DOES THE CONVENTION OF COLLABORATION BETWEEN THE RAILWAY INFRASTRUCTURE ADMINISTRATIVE AND THE BIZKAIA CONSOURCE OF TRANSPORT FOR THE IMPLEMENTATION OF THE URBINAG EXCHANGE PROJECT, IN THE SIXTH MUNICIPAL TERM? [[EAJ-PNV]] [[ADIF]] [[TBT]] [[File number 180/001284]]
ParlaMint-ES_2015-04-29-CD150429.u115	Questions now addressed to the Minister for Development. Question Mrs Isabel Sánchez Robles, from the Basque Group, PNV.
ParlaMint-ES_2015-04-29-CD150429.u116	Thank you, President. Minister, on May 19, 2011, the signing of a collaboration agreement between ADIF and the Bizkaia Transport Consortium was formalized for the execution of the works of the exchanger of Urbinaga, in the municipality of Sestao. The purpose of the agreement was simple, to establish the mechanisms of cooperation between the two public entities for the execution of the exchanger Urbinaga-Sestao alongside the current Bilbao Metro station. Our objectives are two: the first, to promote the use of public transport by achieving intermodality of metro and tram services with the service of proximity of lines C-1 and C-2, and the second, to integrate the metropolitan rail system and proximity in the urban environment and to improve the accessibility of the exchanger. In fact, the projects have been developed since 2010, with a total investment of around EUR 10 million, which should be financed at 50% by each of the two signatories to the Convention. However, after more than four years since its signature, ADIF has repeatedly failed to comply with the commitments entered into by failing to provide in any of the financial years the precise amounts required to comply with the agreement, thus preventing the tender and the start of the works. I remind you, Minister, that this group has made amendments to the General State Budgets in the 2014 and 2015 financial years in this regard and have been rejected by your Government and by the parliamentary group that supports it. The same has not happened with the Bizkaia Transport Consortium, which has carried out in each and every one of the years - also in 2015 - to provide in its annual budgets the necessary and sufficient amounts to make this project a reality, and to collect it in its investment plan. This serious failure must be compounded by ADIF's denouncing attitude, which has ignored the requests sent from the CTB in order to conclude a meeting that would make it possible to know its willingness to comply with the commitments made; up to six times, Minister, the last one was on 9 March this year. I suppose, Minister, that it is also not necessary to remind you of the importance of this project for Bizkaia, since both Sestao and Meatzaldea, as well as all the left bank of the ria of the Nervion-Ibaizábal, are areas in which a very important part of the industrial fabric of Vizcay is located and are therefore densely populated, recording a very significant number of movements in railways. Therefore, Minister, I ask you: has the Government, at last and once and for all, planned to comply with this agreement and to carry out the necessary works to enable the improvement of this Vizcaine mobility? Thank you very much.
ParlaMint-ES_2015-04-29-CD150429.u117	Thank you very much, Mrs Sánchez Robles. Madam Minister.
ParlaMint-ES_2015-04-29-CD150429.u118	Thank you very much, Mr President; thank you very much, Mrs Sánchez Robles. Your Honor, we do plan to do so, as we have been doing over these almost four years by enhancing the proximity of Bilbao, which is essential for the mobility of the city, since on working days more than 32,000 travellers are travelling, almost 300 trains are moving and in these four years 36 million travellers have already used them. To this network of closeness we have allocated 450 professionals who daily carry out extraordinary work, 40 million euros in maintenance, 5 million in new investments and 25 million to pay public service obligations, and we continue to work to improve the capillary and connectivity of the closeness. For all citizens to know, we're talking about connecting the Urbinaga station on Bilbao's subway to the vicinity. On 19 May 2011, two days before the local elections, the Socialist Government signed an agreement to make an intermodal station. Well, nothing was done; it took almost a year and they had done absolutely nothing but take a photo and sign two days before the local elections. Moreover, the projects they had made and launched could not be implemented for political but technical reasons, because the railway gauges were inconvenient and pedestrian communications and accesses were not resolved. The situation was therefore blocked. Fortunately, I think he's on the right track now. Meetings have been held with ETS, information has been exchanged, an agreement has been reached on track, electrification and facilities projects, and the last meeting, which was on 14 April, agreed that ADIF will develop a viable solution for the building and platform project. This time the gallibs are going to be the right ones to pass the subway and the trains. That design will therefore be ready before the end of spring, at the beginning of the summer, and we will also have the necessary budget line to carry it out. Your Honor, we don't put in projects that we're not going to do; we only put in the money when the project is over and this year there will be budget... [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u119	Thank you, Minister. - OF THE DEVELOPED MARIA JOSÉ RODRIGUEZ RAMÍREZ, OF THE SOCIALIST PARLIAMENTARY GROUP, WHO FORMULATES THE MINISTER OF FOOD: HOW DO THE GOVERNMENT VALUE STATE INVESTMENT IN THE PROVINCIA OF HUELVA? [[File number 180/001274]]
ParlaMint-ES_2015-04-29-CD150429.u120	Question to the Minister for Development by Mrs María José Rodríguez of the Socialist Group.
ParlaMint-ES_2015-04-29-CD150429.u121	I give the floor to the question. Thank you, Mr. President.
ParlaMint-ES_2015-04-29-CD150429.u122	Thank you, honourable Member. Madam Minister.
ParlaMint-ES_2015-04-29-CD150429.u123	Thank you very much, Mr President; thank you very much, Mrs Rodríguez. The Government has allocated 528 million euros to the province of Huelva in this legislature, despite the bills that left us unpaid and the crisis. [[Mrs. Sánchez García: All right!]]
ParlaMint-ES_2015-04-29-CD150429.u124	Thank you, Minister. Mrs. Rodriguez.
ParlaMint-ES_2015-04-29-CD150429.u125	Madam Minister, the paper can handle everything. You know what I can't take anymore? It no longer endures a province that is suffocated by the lack of State investment; economic sectors that see how budget marginalization year after year when you govern make you lose competitiveness; a society that sees your expectations frustrated and gets disconnected from projects that were beginning to be a reality but that you let die. Your Honor, Huelva is a peripheral province; it is therefore a question of connecting it, not of deleting it from the map, because it is in a corner, the only one that does not have a fast and modern connection with Madrid. Well, with Madrid or by train, with Seville. Every time you rule, Huelva is relegated to the queues in investment per inhabitant. There are years when we haven't even reached half that figure. How is that possible? You are responsible for generating a deficit in the province that can be estimated at hundreds of millions, although it has difficult explanation. What is the approach of this Government, if any, to the mobility of Onubenses? And don't talk to me about crises or bills, because they've been ruling and investing in other territories for three years as we see opportunities go through Huelva at an unbearable cost. They do not drive new connections by train or motorway, nor do they maintain those that exist, such as the Huelva-Zafra line, a line that vertebrates the province from north to south, the natural departure to the sea for trains with goods of Onubense products but also extremities, a basic line for a mining that is re-emerging but that needs a transport that exceeds the speed of the steam train, that would be the alternative to avoid the collapse of a road, the N-435, that neither unfold and that does not support the current traffic nor the future, to which would be added more than a hundred trucks loaded with mineral per day. Your Honor, we have a top-level agro-industry; a powerful industrial sector; a tourist offer that would already like other destinations, enviable but poorly connected; a port with enormous possibilities; a strategic situation: border with Portugal, Africa and America. Madam Pastor, it does not fit so badly, it is not possible such a degree of oblivion or sectarianism. This treatment is not only unfair, but also intolerable and inefficient because Huelva is an opportunity for Onubenses but also for the rest of Spain and Europe. But you are a burden to our economic and social growth, because you do not give a date for a meeting or respond to the letters sent to you by institutions that are perplexing at such contempt. That is the measure of his political will: none, like his inheritance. Is it possible that the Onubense don't deserve a hole in their agenda? They occupy Huelva little and worry less. Well, now, in campaign, you'll be coming soon. I hope you don't turn your back on the Onubenses, like the last time you were... [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u126	Thank you, Mrs. Rodriguez. Madam Minister.
ParlaMint-ES_2015-04-29-CD150429.u127	Thank you very much, Mr President. The truth, Your Honor, is that I am glad in the morning because the paper actually endures everything. "Zapatero announces an extension of the AVE network in Andalusia to Huelva", year 2007. Next: "Calatrava sets up a tower of 353 meters for the AVE in Huelva", 2007. Wait, there's more. [[Laughter]] This happened a few years ago, when the role did hold everything; the role was the common currency of the Socialist Party, if they were not grandiose statements, they were power points. "ADIF discards the station of Calatrava for its overly hidden, according to Guerrero". I finish the review to the hemerotheque: "White is committed to the AVE Sevilla-Huelva". [[Rumors]] Your Honor, don't miss the truth. Huelva, Your Honor, is one of the provinces of Spain where employment grows the most, to begin with. I think it's very important that you don't miss the truth. What you did when you were in government was promise you were going to make a high-speed line of 1.2 billion. [[Laughter]] There was no line and there was no 1.2 billion. What there was, as I tell you, was all unpaid. As regards investments in 2015, the truth is missing because there is a 35% increase over 2011. There's more, Your Honor, we've invested in roads. In the A-49, which affects both you - all the citizens of Huelva - and all the Spaniards, we have completed the work of the Bormujos-Benacazón section of 25 million, the drafting of projects in Benacazón. [[Rumors]] Yes, in the province, they miss so much. And we are in the drafting of the projects between Benacazón and Chucena. Also, after adjusting the track... [[The Rumors Continue]]
ParlaMint-ES_2015-04-29-CD150429.u128	Wait a minute, Minister. I pray silently, that the minister be heard in the reply. [[Sicilia Alferez: But he doesn't talk about Seville]] Mr. Sicilia, I beg your silence.
ParlaMint-ES_2015-04-29-CD150429.u129	In order to go to Huelva we have to pass through Seville, except that we go by plane. [[Several Members: Ah!]] Yes, yes, ladies and gentlemen, the A-49, which I've been through many times. In addition to that, we will begin in May the works of the variant of Beas and Trigueros, which I do not know where you were. We are also devoting money to rehabilitate the international bridge of Ayamonte; we have reactivated the works of the station of Huelva, that pharaonic work that you were going to do but never again knew about. Thank you, Your Honor... [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u130	Thank you, Minister. - OF THE DEVELOPED DON DON PABLO MARTÍN PERÉ, OF THE SOCIALIST PARLIAMENTARY GROUP, WHO FORMULATES THE MINISTER OF FOOD: WHAT BALANCE DOES THE MINISTER BALANCE REALIZE ON THE GOVERNMENT'S INVESTMENT POLICY IN THE BALLAR ISLANDS DURING THIS LEGISLATION? [[File number 180/001275]]
ParlaMint-ES_2015-04-29-CD150429.u131	Question to the Minister for Development of Mr Pablo Martín Peré, Member of the Socialist Group.
ParlaMint-ES_2015-04-29-CD150429.u132	Thank you, Mr. President. Minister, what is the Government's assessment of the investments made by the State during the current legislature in the Community of the Balearic Islands?
ParlaMint-ES_2015-04-29-CD150429.u133	Thank you, Mr. Congressman. Madam Minister.
ParlaMint-ES_2015-04-29-CD150429.u134	Thank you very much, Mr Martín Peré. The Government has allocated EUR 1.5 billion for investments to the Balearic Islands in this legislature.
ParlaMint-ES_2015-04-29-CD150429.u135	Thank you very much, Minister. Mr. Martín Peré.
ParlaMint-ES_2015-04-29-CD150429.u136	Minister, let me tell you something. Today you are acting as Mr Montoro's telonera, it was up to him to answer this question because we all know that the ministry that ultimately decides what amounts are coming in the area of justice, tourism and infrastructure is also Mr Montoro's, not his. However, you are part of the government that has allocated an average investment during the current legislature in Balearic Islands of 95 euros per citizen, while the average for the rest of the autonomous communities was 240 euros: 95 versus 240, almost three times more, and that is what I want you to explain to me. I understand perfectly well that when you face an autonomous government that makes submission and acceptance of humiliation virtue, as is the case with Mr Bauzá's government, you think you are authorized to do everything you want, but when you approve those budgets to whom you harm it is not your party or Mr Bauzá's government, who harm it is every family with scarce resources, every entrepreneur who has to face the crisis and every person who is at risk of social exclusion. It is to them, who are also represented in this House, to whom I ask you to explain; explanations, that word that they find so difficult to conjugate and practice. Do you know what's going on? That they can no longer resolve this situation because they are not going to be in the government again in the next legislature, so, aside from explanations, I demand that you ask the citizens of Balearic Islands for forgiveness for the comparative aggravation to which you have subjected us during this entire legislature. I am sorry, Mrs Pastor, because this is the only word left to you before an autonomous community, before citizens who are going to remind you of the government and the party that deliberately punished us year after year. Thank you. [[Applauds]]
ParlaMint-ES_2015-04-29-CD150429.u137	Thank you, Mr. Congressman. Madam Minister.
