ParlaMint-BG_2021-08-19.u1	Good morning, colleagues.
ParlaMint-BG_2021-08-19.u71	Thank you, Mr. Secretary. A question from the Movement for Rights and Freedoms.
ParlaMint-BG_2021-08-19.u72	Thank you, Madam President. Dear colleagues! Dear Minister, the topic of concession at Sofia airport is extremely important as one of the biggest assets of the Bulgarian state. I would like to hear an assessment from you, first of all, if you support the concession itself as an instrument of concession specifically at the airport, the concession itself as achieved contracts. Because we have heard from you that the concession itself as a procedure has been confirmed by both the KPC and you, but we have not heard your assessment of this whole toolbox. As an instrument is that good, isn't it, as a concession and as an arrangement, on the one hand? And the other, there were some protests from citizens living near Sofia airport, who also protested against the noise and pollution that is happening there, and each concession has an integral part with plans for environmental and social governance. What do these plans contain, what are the deadlines and what implementation do we expect from the point of view of solving the issues and protests, if you will, of the Bulgarian citizens living near Sofia airport? Thank you.
ParlaMint-BG_2021-08-19.u73	Thank you, Mr. Letifov. Mr. Secretary, come in.
ParlaMint-BG_2021-08-19.u74	Madam President, ladies and gentlemen of the House! The concession as an instrument. For me, the functioning of a stable transport system, including stability and development of airport infrastructure and of the entire aviation sector, is important in the first place as a minister. The concession is not a panacea, but is a well used tool with good results in the years in which in the Ministry of Transport, Information Technology and Communications we have proved with the experience of 15 years in different aspects of transport infrastructure, including airport infrastructure. A concessionaire or a state-owned company, no matter what we call it, must take care of this infrastructure, which is an element of national security, constitutes a state border. In the years our Ministry has accumulated quite a lot of expertise regarding monitoring and control of already concluded concession contracts, as well as in preparing concession procedures. The concession for me is one of the main ways to implement a public-private partnership because by way of a commission transaction the State does not distance itself, but rather engages in monitoring the concession contract itself, as well as in controlling and imposing sanctions, in case the concessionaire does not fulfil certain obligations. I can even tell you right now that in our system there is not a single lev collected from due concession payments. Over the years, sanctions have been imposed on different concession contracts, even for the failure of one person in the programme to provide employment to workers and employees. I am sure that control of this concession contract will be uncompromising. Even for this concession contract, except that I created a Commission for Control, which is required by the Law on concessions... [[Noise.]]
ParlaMint-BG_2021-08-19.u75	Mr. Mirchev, please!
ParlaMint-BG_2021-08-19.u76	... another board with control functions is set up to monitor all plans and requirements not only in terms of ecology, but also in terms of the social commitment of the concessionaire, the preservation of workers and employees, the operation of a collective employment contract, as well as the operational plan for action, as well as the future strategic plans for the development of the infrastructure itself. Contracts with public users, such as Border Police, sanitary controls, Customs Agency, have been signed for a reason so that all who enter and exit from Sofia airport can be guaranteed security and safety, as well as security of adjacent areas outside the terminal. [[Heckling]]
ParlaMint-BG_2021-08-19.u77	Mrs. Capon!
ParlaMint-BG_2021-08-19.u78	In terms of noise. Noise will be explored and taken into account all demands of citizens living near the airport, but, unfortunately, our airport falls into urbanised territory..in very close proximity there are residential neighborhoods, there are houses, there are residents that are probably suffering from noise, so the cleanliness of noise pollution will not be ignored in any way. Thank you.
ParlaMint-BG_2021-08-19.u79	Thank you, Mr. Secretary. The Parliamentary Group of Stand Up, BG! We're coming! Here you go, Mrs. Capon.
ParlaMint-BG_2021-08-19.u80	Thank you, Madam President. Dear colleagues! The pandemic has several countries and one of them that all Bulgarian citizens see is heavy inflation in both food prices and construction prices. But, of course, in the contract, it is in this part, which is public, there is a strange wording of the topic. Since we are going to talk about money about the money that the Bulgarian State must take from the concession, in 1.8.1, Mr. Minister, we read the following sentences: And there is no Bulgarian citizen who does not know that when he receives BGN 5 when he indexes the following year, the indexation begins already on the indexation he made in the previous one, which in this concession contract is not bet. On the one hand, there is no capitalization of the indexing, and after 10 years we assume that the index is 4%, if, of course, under this contract is given...
ParlaMint-BG_2021-08-19.u81	Mrs. Capon, your time is up. Ask your question, please.
ParlaMint-BG_2021-08-19.u82	Madam President, one second. I think the subject is important, and you'll allow me another fifty seconds. Here it becomes clear that the amount that will be given, if ever possible, can be different. My question, Mr. Minister, is: how do you interpret the indexation, on the one hand, and do you think that the agreed investment in this contract will be able to be realised at galloping prices, because there may be some other agreement for it once? [[Applause from IHN.]]
ParlaMint-BG_2021-08-19.u83	Thank you for your question, Mrs. Capon. It's nice not to fight early in the morning. We can talk quietly and politely, if possible. [[Reply from DPS: "And if not in the same tone.]] Yeah. Mr. Secretary, come in. You can answer the question. You do not need to interpret, of course, and if you can continue with your tone. Thank you.
ParlaMint-BG_2021-08-19.u84	Madam President, ladies and gentlemen of the House! The concession contract, as well as the concession procedure and transaction itself, is an exercise which implies quite knowledge and quite compliance with different aspects of both economic life and certain international standards. My guess is that when preparing this concession contract, none of the team that participated in it intended to deviate from international standards when concluding such concession contracts. When we, because I was involved 15, 16 or 17 years ago in laying the foundations for the concessionation of transport infrastructure, then we were quite unaware of the mechanisms of any concession contract. It was for this reason that we had hired international consultants in terms of both the technical aspects of a concession and the legal part of such a concession contract. I repeat: I do not believe that the Treaty can imply things other than international standards in the conclusion of such concession contracts. Thank you.
ParlaMint-BG_2021-08-19.u85	Thank you, Mr. Secretary. That concludes the questions to the Minister of Transport. Parliamentary groups have the opportunity to express their attitude. For the attitude of the parliamentary group there is such a people. sir Danailov, come in.
ParlaMint-BG_2021-08-19.u86	Dear colleagues! Dear Minister, thank you for answering the questions, thank you for the information you have given us. The saga around the concession contract, we all know it. It certainly did not become clear exactly how the state interest is protected by the postponement of concession payments over the past 10 years, which is certainly a problem. What we want to call on you from our parliamentary group, you said it, is to really respect the Treaty and impose the sanctions that are foreseen because, yes, the first 100 days have passed and the airport is in a miserable state. It is the door through which most foreigners enter Bulgaria, and what they see is really mind-blowing. Therefore, I ask you to use all the mechanisms, including this time schedule, to impose sanctions in order to comply with at least the basic hygiene rules of this airport. And the other thing is to do everything possible to protect all the assets of the state-owned company, including everything possible to collect the claims that the state-owned company has, so as not to get spill-over, as well as the goods that the state-owned company has. Thank you.
ParlaMint-BG_2021-08-19.u87	Thank you, Mr. Danailov. For attitude from the parliamentary group of GERB-SDS. Welcome, Mr. Cholakov.
ParlaMint-BG_2021-08-19.u88	Thank you, Mrs. Chairman, thank you, colleagues! Mr. Rosen Zhelyazkov, who is absent today, asked me to express this opinion on his behalf, which I would love to do. It seems to me, colleagues, that the Minister answered correctly and gave correct information. The concession contract has been signed under all the rules of the European Commission - Bulgarian and international, including its amendments, confirmed by the World Bank, by the European Commission, by European institutions. In short, the procedure was carried out by the textbook. Of course, the ten-year delay. Colleagues, look, some political forces here can't plan two weeks ahead, they can't plan our lives for two weeks ahead, and that's why we're constantly slobbering. World companies, foreign countries, as well as other political forces can plan 10 years ahead and more if necessary. To be able to plan for a very long time, this implies responsible government treatment, but not to throw your country into a crisis that we have been doing here for several months. It's clear he's got a horse. It is clear that the number of passengers has fallen 3 or 4 times. It is clear that in such a long-term contractual partnership, the two countries must find a solution to reduce the burden of the Kovid pandemic. It is also clear that 600 million entered the Bulgarian state budget a few months ago. lv. dry steam, which, I hope, has come well to the caretaker government, and it has ordered them to do the right thing. It is also clear that comparison with airports Varna and Burgas should not be made in this way, because there was no prior concession payment. I would like to say a few words of a more general nature in this regard: I, fellow Members, do not believe that in.. Democratic Bulgaria.............................. the colleagues who are convinced supporters of the liberal market economy can be against the concession in principle and in particular the concession of Sofia airport...... if they are not against the concession in principle, and I believe that they are not, this means that they are against the concessionaire, if they are against the concession, this means that they were for someone else, which leads me to the idea of lobbyism. There is a very great provincialism in us that we need to start rooting out, colleagues, and it is to ask the question or not to be able to figure out which foreign investor is really big and who are these investors that we say are just pretending, but not really. In this case, it is about a fund which is supported as we understand it. The Minister mentioned them by the European Bank for Reconstruction and Development, the Black Sea Bank for Trade and Development, the International Financial Corporation, part of the World Bank, the European Investment Bank, Societe General Expressbank, UniCredit Bulbank, Communist Credit Bank. How many more institutions have to say that this investor is large, honest, reliable and stable? And why should we constantly have some insinuations in the public domain not just discredit investors but discredit ourselves as politicians and as a country and expose ourselves because in the end these embarrassments lead to contempt for us? I think we should stop doing this, guys. In 1992, I was in Germany and on May 17th the new Munich airport opened. Then public television for four hours had a special broadcast and broadcast the traffic transfer from the old to the new airport. At twelve o'clock in the morning, the last plane landed at the old Munich airport, and at twelve o'clock in five was due to land the first plane at the new Munich airport. It was then said that this was the most complex logistics operation ever performed in the world, and that's why it was broadcast on television. Unique experience teams that up to the last second change machines, aggregates, software have been installed and I don't know what else so one airport can close at five and the other can open at five.
ParlaMint-BG_2021-08-19.u89	The weather, Mr. Cholakov.
ParlaMint-BG_2021-08-19.u90	It's about companies of this order that are the best in the world in logistics and management. And really, honestly, I'm telling you, I've had other cases in my personal practice that I don't want to share right now, throwing stains on people, again, on international global companies, actually discrediting myself. Let's not humiliate our country any more, please! Thank you for your attention.
ParlaMint-BG_2021-08-19.u91	Thank you, Mr. Cholakov. For attitude from the parliamentary group of the BSP for Bulgaria, Mr. Svilenski.
ParlaMint-BG_2021-08-19.u92	Thank you, Madam President. Dear Members of the National Assembly, Dear Minister! A very easy topic for debate by the parliamentary group of BSP for Bulgaria. What all your colleagues have now asked, we have asked these questions for seven years because the concession at Sofia airport was a well-organised scheme for robbing Bulgaria. You all know that Sofia Airport is an object of national security, that it is the largest trading company with the highest profits, with the highest turnovers. The arguments of all the ministers, who came here from this tribune, campaigned that Sofia airport should be concessionated, were then the following: 500 million for BDZ, cash immediately received, 10 million a year fee, 35 years of age "even changed the Law on concessions in order to become 50 years, third terminal, renovation of the first terminal, construction of a third terminal and construction of a second runway. So for seven years the government of GERB campaigned the National Assembly that this thing should happen in order for Bulgaria to have a modern airport, to have a third terminal, to have a second runway, to have passengers and everything else, BDZ to have 500 million for new trains. What do we see today? 500 million is not in BDZ. There are 500 million left, Mr. Cholakov, in the caretaker government. Borisov spent it from the SUV before that, and now he just put it back in the budget because he had spent it on other things. supposedly there were elections in April, shortly before that, there went the five hundred million and BDZ left without trains. There was supposed to be a third terminal, and now we know there won't be a first. So we're closing first instead of making a third. There won't be 10 million. Here, colleague Ivanov from GERB said that if it had not been given a concession, the airport would have been a whole, i.e. the state would have suffered 13 million losses, which is now being paid by the concessionaire. No, honourable Members, the Bulgarian state pays it by simplifying 10 million for this year and 10 million for next year, and 10 million for next year and 10 million for next year. This is paid by all of us - Bulgarian citizens, and it must be clear that GERB has done 10 years of damage every year! And that needs to be known, Bulgarian citizens need to know who robbed Bulgaria. Because when we said not to give the concession, when the airport made profits, everyone kept quiet and said, "Well, that's a modern way! Here is the modern way to which it has led, to this the Minister is now his only goal................................................................................................. And you assigned him to see if the sanitary facilities were clean?! That would be his job as he travels, to see if the sanitary rooms are clean. Instead of exploiting a modern company built with state and municipal money. Don't forget who built the subway to Sofia Airport? The Bulgarian State, Sofia Municipality with the money of all of us. [[Comments from GERB-SDS.]] You gave Sofia Airport, announced a concession, colleagues from GERB, without having a master plan. In which country does someone give the airport a concession without making the general plan and now assign the concessionaire to make his own master plan? So now he has to tell himself whether he needs a runway or not, whether he needs a third terminal, or not, whether he needs a first terminal, or not... Believe me, in 10 years there will probably be other colleagues here, but some of you will be and you will see that there will be neither a third terminal nor a second runway. The first terminal will be completed, and I do not know if, when the 10-year suspension of concession fees expires, there will be even a concessionary airport in Sofia, because the entire concession was conceived wickedly because the entire concession was carried out wickedly. It has been stopped several times by different institutions, but we all know how it ended, under what pressure and why it happened. Unfortunately, in this situation, the only thing we can do, but it will cost Bulgarian citizens dearly, is to take a procedure to break the concession contract, but will have to pay the Bulgarian citizens the madness that have made the political party GERB. There was a chance to terminate the concession and it was a week before Borisov's government left and signed this agreement to postpone the concession fee. If Minister Zhelyazkov hadn't signed this agreement, the government of Borisov hadn't taken this decision to postpone...
ParlaMint-BG_2021-08-19.u93	Time!
ParlaMint-BG_2021-08-19.u94	...the concessionaire might have given up this concession himself and now the Bulgarian state would have had a modern airport, rather than pouring it into Plovdiv airport so Plovdiv airport could fix some other problems of his own. Our position is consistent, comes out and right, comes out and true and I hope to find more supporters in this Chamber, because this was indeed one of another robberies committed by the Bulgarian state under the rule of GERB. Thank you. [[Applause from the BSP for Bulgaria and DB.]]
ParlaMint-BG_2021-08-19.u95	Thank you. For attitude from the Democratic Republic of Bulgaria? Here you go.
ParlaMint-BG_2021-08-19.u96	Dear Madam President, dear Minister, honourable colleagues! During the last hour and a half two things became clear to the airport operator Sofia had postponed serious financial obligations, he was postponed the payment of concession fees for 10 years. Ten years, guys! On the other hand, the airline operator of Sofia airport performs its obligations under the concession contract with poor condition, poor bathrooms, unclear plan for the realization of its investment obligations. However, colleagues, many questions remained unanswered. Who exactly is the final owner of the concessionaire at Sofia Airport? Which one?! We heard the composition of the concessionaire company, but the final owner did not hear. We didn't hear that name, although we have repeatedly asked that question. We have heard the arguments that it was necessary to postpone the payment of concession fees by 10 years due to a kind of crisis. Yes, we heard that this was based on a report from the World Bank, but we did not hear why a different criterion was applied? How come for Sofia airport we decided that the Kovid crisis would work for 10 years? What do you mean?! Based on medical, any other scientific data, or Sofia airport just lives in another reality? For the operator of the other airports and for the entire Bulgarian business, we assess the economic effect, take measures year-to-year, how is this criterion, which for Sofia airport we apply one approach, and for the rest, for the rest of the remaining Bulgarian business, the criterion is totally different? There's one other thing that's become clear. We have witnessed a missing concession clause from the Concession Contract Project. Yes, Munich Airport is a model and it is not a question of how good Munich Airport is and what a wonderful professional its operator is. It is about how legislative techniques are used to conceal some facts, perhaps one that will be uncomfortable with the answers to them. We are aware of the figure for the third party under the directives for both public procurement and concessions as well as the legislation in force. It is a person who provides or protects the capacity of the airport operator and this is done on the basis of a contract. In this case, it is a consulting contract. The question that we have asked and not answered is: how did it happen that in the announced draft concession contract there was a clause for this airport operator to be a shareholder in this company, or a partner, and in the signed final contract this clause disappeared? And we didn't get an answer to that question. I would like to congratulate the Minister on his active position on insisting on compliance with the obligations for the quality implementation of the concession contract, but I would like to express my disagreement as to why all these questions that have remained unanswered continue to be passed away in silence. Yes, it is not against the system of concessionation, but it is against concessions that are under the cover of the gray mist of doubts. [[Applause from DB.]]
ParlaMint-BG_2021-08-19.u97	Thank you, Mrs. Yordanova. Attitude from the parliamentary group of the Movement for Rights and Freedoms? Here you go, Mr. Tsonev.
ParlaMint-BG_2021-08-19.u98	Thank you, Madam President. The gray fog... And we're against the gray fog. We have a resemblance in both programs and in our visions of the gray fog. All we have to do is figure out what the gray fog is, because we have a slight gap here. [[(Reply from MP Halil Letifov: Mr. Ivanov will say it!]] When I see you smiling, I think we're on the right track, you'll soon agree to the gray fog. But on the subject. Concession is an important economic way. Clarification of circumstances around the concessionaire is a very important topic, and we also hold on to that. And in our opinion, this discussion was useful at least in terms of clarifying certain details. If there is still any doubt about who the concessionaire is, we should continue to act in this direction and generally. That's what we're for, and I want to clearly declare it from this tribune. However, the gray fog also covers other actions. As the Minister of Transport is here, we will continue to monitor, as said by our colleagues at the DB, we will continue to monitor the performances of the quality clauses, and not only the quality of the quality and quantitative clauses, and everyone else under this concession, but at the same time we will monitor other things. We will put forward proposals if there is a question and discussion, if this Parliament has more life, about why a lie is planted in society, and precisely from the Ministry of Transport on the Project for the extruding of that channel that you have laid it on our Honorary Chairman? The Minister of Transport knows very well when this project was made, the Minister of Transport knows very well from whom it was made and that it was made very much before the thermal power plant, and the port and so on. So these things have to be clarified because the fog has two sides. One side is who, what, and the other side is, let's get someone into a fog. It's not gonna work anymore. We have slept for many years not to pay attention to the insinuations, lies and slanders that come mainly from a part of the Bulgarian society, and more precisely from a circle. And get back to the subject today. Mr. Minister, of course there is a way for the money from Sofia airport to be transformed, if that is what we all decide, in the budget to be transformed to help the airlines and this way is very easy. I talked to my colleagues about former finance ministers, maybe I was wrong somewhere, but it turns out I wasn't wrong. It's just that this account goes into the budget and the budget does what it wants. However, the idea for the merger of the two airports in Sofia and in Plovdiv, under the assumption that Plovdiv airport is in severe financial crisis and thus will help it, is also covered in a slight fog. And now I assure you that this fog we will lift it up. I assure you in advance that we will be against this merger until we have calculated and cleared all the details of this merger. Because there is a doubt about the benefit of the same circle and of the same behind-the-scenes. We'll do our best to prove it. That's why I'm not using names and companies right now, because we're not in the phase where we're going to get facts out so we're not naked and not doing to others what we don't want us to do, throw innuendoes, lies and so on. But I would like to warn you that on this policy of merger on spending the funds we will have a special optics and we will monitor the process. And to conclude, we will strongly insist that the aid to air operators be of greater size, because the subject has opened up and because you are here and because the budget is about to be reviewed. As one of the measures to business this would be absolutely fair, a very late measure and not satisfying in the size and type of what all other European countries have done. Thank you.
ParlaMint-BG_2021-08-19.u99	Thank you, Mr. Tsonev. For attitude from the parliamentary group of the National Assembly Stand up BG! We're coming!
ParlaMint-BG_2021-08-19.u100	Thank you, Madam President. Dear colleagues, Mr. Minister! As of April 20th, Sofia Airport has a new company, which will manage it by contract until 2056. In fact, the airport is managed by the Bulgarian company, as my colleagues said, Sof Connect, in which the fund has 99%, and the Austrian construction company STRABAG holds 1%. Here we need to say a few words about the participants. The participants at the CAF Connects are raising many questions, which may be able to find answers in the next management. Meridiam is involved with three companies registered at the same address in Paris with 0.01% each. Information about the specific company is difficult to find. Interesting is the Austrian company, infrastructure company, STRABBAG by 1%. That 1%. It has not very positive experience in the past right at Sofia Airport. The visor built by the group you remember at the new terminal collapsed and for a long time it was not repaired, this is what Bulgarian citizens remember. Separately, the name of the company, as we talk about fog, often gets involved in international scandals, and it owns the oligarch Oleg Deripaska. This is about some of the public data. Granting a concession to the largest state asset took several years, and the winner, as we all know, was not the best offer. He wasn't the kind of guy who would've done the best. Somehow in the dark, and in the last few minutes, some additional things were agreed, like 16 million. EUR in terms of investment, I think that this is perhaps inflation, for which the teams have seen that it might be good to have it when building prices rise. That is, instead of the announced 608 million. EUR 624 million for the duration of the entire concession and the third passenger terminal must be ready by the tenth year. We can't do any better than that, and we hope to have so much traffic on airplanes. However, this was also the lowest investment offer during the competition. There was massive support from the Council of Ministers, firstly, in the way the offer was chosen among the five willing, then passed with an enviable speed through all the institutions in the chain such as the Commission for Protection of Competition and the Supreme Administrative Court, and in the final, the Ministry of Transport clearly did not make efforts to negotiate better terms with the concessionaire under agreements to postpone fees, such as one and two years which receive sea airports. And somehow predicting, as it is worldwide, how much the epidemic would be on all statistics, even, as the history of epidemics says, could be up to four years, of which almost a year had passed. So from now on, Bulgarian citizens will see every day and no, the health conditions at Sofia airport are not at all to be ignored. The way Bulgarian citizens are served are not to be ignored. And it's very good to compare to Munich Airport. And I would really like every Bulgarian citizen to feel by 2056 what Munich Airport is meant by the cleanliness, organization and the way passengers are served, the security that Munich Airport has. And why an operator chooses just 12 years and when in a crisis decides to do additional activity as an operator to a concession, Mr. Minister, remains the next government, whatever it is, to reach these conclusions.
ParlaMint-BG_2021-08-19.u101	Thank you, Mrs. Capon. With this first item on the agenda today, it has been exhausted. We thank the Minister for his specific and comprehensive answers. Thank you, Mr. Secretary. We're moving on to the next item on the agenda: HEARING OF THE OFFICE MINISTER OF ENERGY ANDREI JIVK ON BENEFICIARY. 110 OF THE RULES ON ORGANIZATION AND WORK OF THE PEOPLE'S COLLECTION ON THE EXECUTIVE TIME FOR TRANSPONSITION OF DIRECTIVE 2018/2001/EC Importers are Zhivka Ironova and a group of MPs on 12 August 2021. The importer shall have the floor to make his statement within five minutes. Here you go.
ParlaMint-BG_2021-08-19.u102	Thank you, Madam President. Dear Minister, colleagues! Promoting investment in renewable energy forms is one of the objectives of the European Union's energy policy and includes a package of measures necessary to reduce greenhouse gas emissions in combating climate change, protecting the environment, reducing population energy dependence and so on. European Union Directive No 2018/2001 of the European Community, 11 December 2018 on the promotion of the use of energy from renewable sources. It shall apply from 24 December 2018. Member States shall bring into force all their laws, regulations and administrative provisions pursuant to a communication from the European Commission and shall comply with Articles referred to in the Directive by 30 June 2021 at the latest. At present, however, the Bulgarian legislation has not implemented the Directive and has not harmonised everything that is laid down under it as requirements. The transposition period expired on 30 June 2021. The penalties followed. The changes take into account the requirement to avoid a negative impact on economic indicators, viability and sustainability of supported existing and future projects. In addition to the new incentive policy for producers, this directive also contains one section "Sustainability, stability of investments'. In itself, it should ensure that current and future producers have a sustainable regulatory framework in which the conditions of existing and future contracts should not be changed. In this regard, I will also allow myself to refer to the Recovery and Sustainability Plan. In its current version 140 million are at stake. BGN, which were reduced by the caretaker government and to recall that the previous one had bet 20 million. lv. to finance solar roofs and heat pumps in households, i.e. for the smallest producers and consumers of electricity. In this regard, national legislation in correspondence with European producers needs to distinguish between large and small RES producers. In order to prevent and not implement in practice errors made by the legislator, the introduction of double standards of the so-called counteractive measures introduced in July 2015 by the application of § 18 to the Transitional and Final Provisions of the Law amending and supplementing the Energy Act. They affected 300 small companies, owners of photovoltaic power plants. Transposition of the new directive will ensure the viability of renewable producers. This would help to avoid precisely those risks that I mentioned and prevent the introduction of changes in existing contracts for the purchase of active electricity from the relevant ERPs in the future. It is important to know whether the work is being done and when there will be a proposal to transpose the directives from the Clean Energy Package for all Europeans and, more precisely, the Renewable Energy Directive, that is, it should have already entered into force. Minister, please comment on the factual situation presented in view of the future expectations of the Recovery and Sustainability Plan and how ready our legislative base is to implement the projects set out in the Plan specifically for small producers of renewable energy sources. Thank you.
ParlaMint-BG_2021-08-19.u103	Thanks for the show, Mrs. Iron.
ParlaMint-BG_2021-08-19.u104	It's the way it's supposed to be.
ParlaMint-BG_2021-08-19.u105	Here you are, Mr. Stoinev, in the manner of conduct.
ParlaMint-BG_2021-08-19.u106	Dear Madam President, dear Minister, ladies and gentlemen of the House! Madam President, I appeal to you as you should perhaps have reminded Mrs. Ironova that she should have declared a conflict of interest. Is she a partner in a photovoltaic power plant that produces electricity, and that is why the entire National Assembly will deal with some private matter? [[noise and lines]] [[(Reply from the National Representative Zhivka Zhelezova:]] That's right, you'll answer. And you have to say here, declare a conflict of interest, because these questions concern you or these 300 producers, or you are part of these 300 producers, so we know what we are going to debate here today in plenary. Or does the entire National Assembly have to deal with your private case?! Thank you.
ParlaMint-BG_2021-08-19.u107	Thank you, Mr. Stoinev. I accept your remark. I couldn't have known and warned anyone. Here you go, Mr. Dobrev, on the way again.
ParlaMint-BG_2021-08-19.u108	Madam President, I too could not explain the reason for this hearing, as this is not the only directive on which we are late in time. There are many of them, especially in the Ministry of Energy. However, this question in § 18, and I note to you that the question of § 18 has nothing to do with the directive in question. This is a lobbying case in which one three hundred and several producers have taken double funding. On the one hand, the Ministry of Agriculture, Food and Forestry, through the Rural Development Programme, received 80% grant aid, i.e. the European Union financed their installations. On the other hand, they want to receive State support in the form of a preferential price. In fact, the forty-fourth and forty-third National Assembly devoted sufficient time to this matter. I draw your attention to the fact that § 18 has nothing to do with the hearing, which is on the agenda and should not be abused, especially if the colleague has a private interest. Thank you.
ParlaMint-BG_2021-08-19.u109	Thank you, Mr. Dobrev. Let me just remind you that we all voted together on the agenda for today's sitting, and we admitted the point, and we arranged it here where it is.
ParlaMint-BG_2021-08-19.u110	Not for § 18.
ParlaMint-BG_2021-08-19.u111	For § 18. I accept your remark. Personal explanation? Mrs. Irons, come in.
ParlaMint-BG_2021-08-19.u112	Thank you, Madam President. Colleagues, I don't accept conflict of interest. In this case we are talking about a directive and you are currently moving the focus that Bulgaria will be sanctioned and all these monetary sanctions will be taken from the state budget. These are directives that concern the Green Pact yes. It is not only Directive 2018/2001. In this case, however, we need to refer to the Recovery and Sustainability Plan, because at the moment Bulgaria, when it has not implemented and has not transposed this directive, as well as some of the same Green Pact, in this case: how do these investors who are going to want to put in the smallest households such photovoltaic panels, such solar roofs and how do you want in this case...
ParlaMint-BG_2021-08-19.u113	It's not a personal explanation. It's essentially.
ParlaMint-BG_2021-08-19.u114	Yes, a personal explanation...
ParlaMint-BG_2021-08-19.u115	You will have an opportunity in your opinion on the response.
ParlaMint-BG_2021-08-19.u116	I don't accept your colleagues' thesis. This is about the Recovery and Sustainability Plan, clearly only and only... [[GERB-SDS noise and lines]] but I referred to § 18 as an example, as a retroactive measure which has been introduced into the legislation.
ParlaMint-BG_2021-08-19.u117	Thank you, Mrs. Iron. I understand that you felt affected. Again in the manner of conduct, Mr. Stoinev, come in.
ParlaMint-BG_2021-08-19.u118	Dear Madam President, really in the manner of conduct, because here, whether a colleague accepts or does not accept this can say it at home. Here is the Bulgarian Parliament and should it declare its owner of a company and participate in it? In this case, you are the owner of even this company not to quote it so that I do not advertise it. The idea is more like... There's nothing wrong with that, coworker, you just need to come out and declare conflict of interest. And the Recovery Plan we will discuss, we will participate in this debate, but it is simply not done because it gives the impression that you are asking this question not to help the Bulgarian state, but to solve your private interest. I expected that, de facto, the people of ISN would have a new style, but it seemed to get worse than before. Thank you.
ParlaMint-BG_2021-08-19.u119	Thank you, Mr. Stoinev. Mrs. Ironova, next time she will declare a conflict of interest when she asks a question related to renewable energy sources, I hope. I suggest we move on to the exhibition and to the information that the Minister of Energy will give us within 10 minutes. Here you are, Mr. Secretary.
ParlaMint-BG_2021-08-19.u120	Thank you. Madam President, ladies and gentlemen of the House, Mrs. Ironova! Directive 2018/2001 of the European Parliament and of the Council of 11 December 2018 on the promotion of the use of energy from renewable sources lays down a common framework for the promotion of the use of renewable energy by setting a binding target of at least a 32% share of renewable energy in the Union's gross final consumption of energy in 2030 to be achieved collectively by Member States. The Directive establishes opportunities for financial support for electricity from renewable sources, for the consumption of own electricity from renewable sources and for the use of energy from renewable sources in the heat, cooling and transport sectors. Regional cooperation opportunities are provided for between Member States and between Member States and third countries. The requirements concerning guarantees of origin are developed and guarantees of origin and gas from renewable sources, including green hydrogen, are provided. An important element of the Directive is the sustainability criteria and the reduction of greenhouse gas emissions for biofuels, biomass fuels and gaseous and solid biomass fuels to be respected by economic operators so that those fuels can be taken into account both for the national target of a share of energy from renewable sources and for the purposes of the sector. The time limit for transposition of the provisions of the Directive is 30 June 2021. In order to comply with the requirements of the Directive, an Interdepartmental Working Group with an order of 15 April 2020, which includes representatives of the Ministry of Environment and Water, the Ministry of Regional Development and Public Works, the Ministry of Agriculture, Food and Forestry, the State Agency for Metrological and Technical Supervision, the Agency for Sustainable Energy Development, the Executive Agency for Forestry, the Executive Agency for Fisheries and Aquaculture, with the task of developing a draft and preliminary assessment of the impact of the bill. The deadline for the implementation of this Commission task was 31 December 2020. It should be borne in mind that the transposition of some of the provisions of the Directive requires assistance and agreement by other institutions, since the application of those provisions is of their competence. There are provisions of the directive for which transposition texts are still debatable. Such are, for example, the requirements of the Directive providing for the introduction of schemes to support electricity from renewable sources by carrying out transparent and competitive procedures for granting a market premium; the establishment of one or more contact points to provide guidance and facilitate the administrative process for granting authorisations for the construction of power plants. renewable energy; permits regimes under the Law on Construction of the Area; creating conditions to stimulate electricity consumers to produce electricity for their own consumption, including in renewable energy communities, and for that purpose it is necessary to decide on the legal status of these communities and to regulate their participation in the electricity market; regulating the requirements for stimulating the use of renewable energy in the sector of heat and cooling, given that most of the heat is not supplied centralised and this is subject to individual decision of the building owners. In this regard, the decision is not only the subject of energy policy, but is also the subject of regional development policy, social and housing policy. In order to achieve the objectives in the sector of heat and cooling, it is of key importance that the future development of centralised heat supply, which must use ever-wide renewable energy, will provide for the establishment of new centralised heat supply systems, which will be the subject of an initiative and with the assistance of local authorities. In order to achieve its obligations, 14% renewable energy target in gross final consumption of energy, solutions and measures are needed to increase the consumption of new-generation biofuels and increase the use of electric vehicles, which is the subject of the policies of the transport and distribution of fuels for transport, agriculture and food industry and waste management. The sustainability criteria and the reduction of greenhouse gas emissions in terms of the use of bioenergy, the introduction of sustainability criteria and the reduction of greenhouse gas emissions in solid biomass consumption have been increased. It is clear from the foregoing that political decisions to be taken by a government with a political mandate and to be supported by the National Assembly are necessary to transpose some of the provisions of the Directive. Thank you.
ParlaMint-BG_2021-08-19.u121	Thank you, Mr. Secretary. We move on to questions from the parliamentary groups. The first question by the parliamentary group has such a people. Any questions? No question. We're moving on to GERB-SDS. Here you go, Mr. Dobrev.
