ParlaMint-NL_2018-12-19-tweedekamer-6.u1	I'll give the Minister the floor.
ParlaMint-NL_2018-12-19-tweedekamer-6.u63	Well, then you might have to raise the amount! It is simply well known that the Netherlands is lagging behind in its CO reduction and that sanctions are against this. One of our suggestions was: perhaps the government will assess it so that it becomes a fine. Or perhaps an investment in CO elsewhere, so that we do not have to reduce here. 'Cause that's how it works all the time. We had the analysis that it could be underneath. But the Minister can take it away by just showing us that 500 million support for once.
ParlaMint-NL_2018-12-19-tweedekamer-6.u64	Mr. Chairman. Here too, it is important to be genuinely precise and not to create any misunderstandings. Because there is a court case, but that is Dutch case law, where, from my mind, there was a ruling at a court in 2015 and there was recently a ruling at a Dutch court in that Urgenda case. In addition, the cabinet, with man and power and in good-Dutch tradition, is at a lot of tables with a lot of people talking about how to shape climate policy as wisely as possible. What did we, as a cabinet, intend to do, and what did I find, also on account of my responsibility, really prudent? That given those uncertainties, given that statement, we find a one-off reservation where, again, the word "possibly" is in place and where we very clearly keep the option of giving several ministries the opportunity to spend that money. And when, of course, I also see my reply to Mr Slootweg's question 'what is effective and what is cost-effective'? Because once again, we are talking about the citizens' money we spend.
ParlaMint-NL_2018-12-19-tweedekamer-6.u65	I'm sick of it. I've been a Member of Parliament for 12 years and I've been trying to complete my budget right for 12 years. How many times I haven't been shipped off with "uncovered," "no backup"? That is true not to count on one or two hands, but I need at least ten for that. Here is a Minister of Finance who says 'it seems prudent to me'....................................................................................................................................................................................................................................................... I think it's okay to reserve money for necessary items, but then I want to know what exactly, in order to be able to check that too. For I will tell you this: about the investment we want to make to meet people, almost 1 billion, in their energy bill, the Minister is going to say again that it is 'unscrupulous'. Want to bet? We can make a bet on that, Mr. Chairman.
ParlaMint-NL_2018-12-19-tweedekamer-6.u66	Is that your question?
ParlaMint-NL_2018-12-19-tweedekamer-6.u67	But he doesn't have any justification here, and he's asking us to agree to that. I find that bizarre, and I would like to ask the Minister once again simply to give the justification: how did he, per ministry, with foreseeable expenditure, come to that half billion? If there's a margin of error in there, fine, at your service, but he can't ship us off with this blurry scheme.
ParlaMint-NL_2018-12-19-tweedekamer-6.u68	I do attach a great deal to that beautiful word 'practical'. Because given the uncertainty that exists here, given that judgment, I think this is wise, just as I think it is sensible that the cabinet last year, at the very end, said: something terrible has happened in the West, in the Antilles, there is a hurricane, we are going to reserve money once and we are going to make sure that it is spent effectively. And that is exactly what we have done, because we also regularly have the conversation with the Antilles about what is needed to get access to that money. But there is still one fundamental point. That 500 million is now in the Navy's Note. It is up to the Chamber to agree. That's just a majority of the House today, or tomorrow, or the day after tomorrow. It's as simple as that. It is a proposal from the cabinet, but if the Chamber were to say in a majority: we do not want the 500 million... This is democracy.
ParlaMint-NL_2018-12-19-tweedekamer-6.u69	It pains me to see how far away Mrs Leijten and the Minister are from each other in this way, because I do not think that is necessary at all. In my view, both support the idea of a 500 million reserve. In my opinion, we want to be able to judge as a Chamber in the very near future, and I would like to mention, in Mr Snel's spirit, Article 3.1 of the Compatibility Act, that this is being done effectively and what is happening with it.
ParlaMint-NL_2018-12-19-tweedekamer-6.u70	Absolutely, Mr. Chairman.
ParlaMint-NL_2018-12-19-tweedekamer-6.u71	Can the Minister promise that next year, when the budget reserve comes into effect, he will simply inform the Chamber of what it is being spent on and what the distribution is, as Mrs Leijten has just asked?
ParlaMint-NL_2018-12-19-tweedekamer-6.u72	Without a doubt, and this is, of course, always the task that I, as well as colleagues in the cabinet, have been fully committed to. Let me make the comparison one more time. A year ago, it was not possible to implement this emergency aid at that time: then we will do it about sister and everything. What have we done now, after consultation in the cabinet? We said we're going to reserve this money. It's money we might be spending on CO reduction. As far as I am concerned, that is sensible and prudent as far as I am concerned. We also immediately draw that in the full width, because it might be possible that you will find out that you can best run it through ministry x or y or z, different from what you think right now. So Mr Sneller is absolutely right that we need a sound plan. We have to spend it wisely. Of course I will come back to the Chamber, but before I do, the Minister of EZK will probably do so already.
ParlaMint-NL_2018-12-19-tweedekamer-6.u73	I always like it when my colleague from D66 acts as some sort of mediator between me and the minister, but something has become clear from the Minister's reply to Mr Sneller, namely that there is no justification now. It's still coming. So we're saying, okay, book only half a billion. We don't know if it's enough. We don't know where it's going. When the Chamber does something like this, it is always rejected, especially when the opposition does something like that. But now we have to sign at the cross. So this is what budgetary policy is like, Mr President. Just so we're clear!
ParlaMint-NL_2018-12-19-tweedekamer-6.u74	However, I would like to refer to the system of the budgetary reserve. Are we going to have a decision on the Spring Bill or the Millions Note? Or is it through spending plans handed over to the Minister of Finance, with Article 3.1 actually looking at efficiency?
ParlaMint-NL_2018-12-19-tweedekamer-6.u75	It is more in the direction of the second than in the direction of the first, because we made that reservation. That is not money that will have to be taken into account in the broader considerations of the spring decision-making process, because that is where you already have complex problems. We have just wanted to say: given the fact that we now have a little bit of money left and the fact that there are great uncertainties in this area, when we do not know if we need that money, let alone how much, it is wise, it is prudent, to make a reservation. Of course, there is a need for support for this. But again, this is the government's commitment. The cabinet will have to be able to count on a majority for the 500 million plan. First here for the reservation and undoubtedly also later in the final elaboration.
ParlaMint-NL_2018-12-19-tweedekamer-6.u76	Let's talk about the spending plans. I understand the system. It is a question that we have sometimes asked, for example, the Secretary of State for Finance about spending plans for the Tax Administration. I actually think that these spending plans should be sent to the Chamber, including support. I think this is perhaps even more important for this budget reserve. Could the Minister agree to that?
ParlaMint-NL_2018-12-19-tweedekamer-6.u77	I know the temptations of Mr Snels on this point, but then we are back to the discussion about the additional post that he and I have had on a number of occasions. For the sake of the Compatibility Act, proposals should be made by the various ministries, which are about efficiency. They are then discussed with the Ministry of Finance and, frankly, I think it is perfectly logical that these are internal documents. It is true that, precisely in terms of efficiency, the cabinet then has an obligation to give an insight into this when offering it to the Chamber. But I honestly do not feel for the automatic disclosure of this documentation. The last thing I can promise Mr Snels is this. In everything that the Cabinet intends to do in the area of climate, the Minister of EZK, but probably others in the Cabinet, will want to talk to the Chamber, but also have to, about the question: why do you choose solution A and B and not solution C and D? What is the effect of this, what does it cost you and what are the burdens for the citizen? It's gonna have to be here, too.
ParlaMint-NL_2018-12-19-tweedekamer-6.u78	I can't wait to see what half a billion is based on. It's quite an achievement in itself. There is, I think, almost Chamberwide support for half a billion dollars, perhaps even more than less than less than half a billion dollars, except for the PVV. It is quite an achievement to be called into question now. If the cabinet decides to separate half a billion, there must be some justification. What's that based on? Why, for example, is it not a billion or one and a half billion? You could have. Without that half billion, you have 4.2 billion left, so you had a lot more space. It's also occasional money. I really think we have a right to support it.
ParlaMint-NL_2018-12-19-tweedekamer-6.u79	It is a combination of a substantive and political weighting in something that is highly uncertain. It doesn't say "maybe" for nothing. I'll make another comparison with last year. There was then a reservation of 550 million and a little bit more emergency support. That was the best possible estimate of that moment. I did not see the plans, because it was partly for my term of office, but I am sure that it was not made up of all kinds of carefully explained blocks. And here that is certainly not possible. It is true that we were faced with this Urgenda pronunciation very late in this calendar year. In addition, we are intensively in conversation with the climate tables.
ParlaMint-NL_2018-12-19-tweedekamer-6.u80	Look, I know a thing or two about housing corporations. They demand a billion structuralally to make it more sustainable. Now we are talking about half a billion dollars one-off that can be spent in a few years' time. If this is the whole government's estimate for covering the climate agreement, you can throw the whole thing in the trash. Then stop arguing in the coalition, because that's not gonna happen. If it's not this, then what is it? Is it just for that Urgenda pronunciation and for shutting down those coal power stations? Is that the estimate? We should know that, shouldn't we? It's about big money.
ParlaMint-NL_2018-12-19-tweedekamer-6.u81	I am really giving you the transparency I can give you right now. It is very obvious and it is an obligation that Mr Nijboer is right to place in the cabinet to implement it when these plans come into effect. At the moment when those plans are not made, when the money is not needed........................................................................................................................................................................................................................................
ParlaMint-NL_2018-12-19-tweedekamer-6.u82	Mr. Nijboer, this is the third time.
ParlaMint-NL_2018-12-19-tweedekamer-6.u83	Yeah, but this really has to be done. It is half a billion which is mainly reserved for the EZK budget. Especially with the lack of support, I would reserve it for compensating households. That's a big emergency, that's what the whole room thinks. Even the PVV, I hear Mr Van Dijck say. Why don't we? You're not providing any support.
ParlaMint-NL_2018-12-19-tweedekamer-6.u84	Your point is clear.
ParlaMint-NL_2018-12-19-tweedekamer-6.u85	At the risk of repeating myself, I would point out that there is only one ministry in The Hague where the K of Climate is in, and that is the Ministry of EZK. Precisely because of this discussion, precisely because of the possibility that several colleagues in the cabinet have plans that are effective in the field of climate, it is stated in the explanatory statement that the Minister of EZK is coordinating and that there is an extra lock on the door in the role of the Minister of Finance. It is quite explicitly described that other ministers and other ministries also have access to this money, depending on the plans we come up with. I was with Mr Slootweg, who asked about green financial products. He is right: the energy transition needs to be financed to a large extent privately. It's true that I came up with that green bond. Could local authorities do the same? They can in principle issue green bonds, but most local authorities choose to finance with loans from the sector banks BNG and NWB. Moreover, these sector banks have already issued green bonds. I've had the budget fund. Mr Sneller compared the calculation made in America, in the United States, with the 2.5% of their GDP at the end of this century. What the planning agencies are going to do is calculate climate policy until 2050. Frankly, I think that is a better variant, because that also offers more clarity and therefore more scope for action. That's faster than the end of this century. In most cases it is also the case that Mr.Sneller moves me towards more speed and earlier dates rather than further away. So I think 2050 is really better than 2100.
ParlaMint-NL_2018-12-19-tweedekamer-6.u86	Sure. What the PBL is going to do is give us a perspective of action. What the U.S. Congress had calculated is precisely the perspective of no action. There still seem to be parties who think it is better not to act. In that case, it would be useful to clarify the cost of this.
ParlaMint-NL_2018-12-19-tweedekamer-6.u87	Can I do it in such a way that I pass that question on to the Minister of EZK? I see Mr Faster nodding. It's always tempting to say something on behalf of someone else, but let me pass that question on to him. Then I suspect he'll either do it or explain why he thinks it should be different. He'll do that in writing to the Chamber. Mr Snels also referred to the Compatibility Act and the budgetary rules. For the record, the reserve is totally in line with that. Filling that reserve is ceiling-relevant and withdrawals are then ceiling-neutral again. That also explains my answer about why you do not need this in the spring decision-making process. I believe that I have also answered Mr Bruins and Mr Slootweg's question on the balancing framework and adequacy. I'll be at the end of block three. Then I'm at block four, purchasing power and energy. Here too, it is good to review in the introduction what has been presented today by the Planning Bureau. First, about purchasing power in a general sense. It looks really good for a lot of Dutch people for next year. We said in the Millions Note that we thought about 95%, 96% would improve 1.5%. With today's figures, the Planning Bureau is raising the 1.5% very slightly, which is 1.6%. A marginal difference, but fortunately in the right direction. It is true that if you break up those figures, the energy bill will be more expensive, that part of the shopping basket will be more expensive and that the care premium will rise, but it is also true that next year there will be the elderly discount. It is also and above all that the pay slip will look much happier. If you add all that together, you get to that 1.6% average. I will not say that it has never been shown before, but it is true that it has been worn very widely. Around 95% is just almost everyone in the Netherlands. I keep saying that myself, and I think that is really prudent from my particular role: there is no guarantee. This is the best possible assessment of our independent mathematician. I cannot guarantee and I will not guarantee that this is exactly what it will look like next year. Mr. Chairman. Mr Nijboer and Mrs De Vries and Mr Snels also asked about the costs and, in particular, the energy bill. I think it's important to tear a few pieces apart there as well. Part of the problem is related to next year's energy bill, as it has already been booked. I would like to repeat once again that it is ultimately about the overall package. Then you just have to be fair and on the one hand acknowledge what is going up, and on the other hand, the shopping basket is getting more expensive and the care premium is going to go up, and on the other hand, you have to pay attention to the things that make the overall picture look better. The second issue, and I think Mr Nijboer and Mrs De Vries asked for this, is to make it affordable for citizens of the whole climate bill. Some in this house have been locked up in the climate cockpit until mid-night earlier this week. Me too. One of the major challenges is, of course, how to ensure that both you and that energy transition shape and do what is cost-effective and accounts for citizens in a fair and acceptable way, and in particular for citizens who earn modal or less than modal. I can't say anything about that right now, because those tables aren't ready yet. I can only point to the Chamber, and part of the Chamber has also been to that so-called cockpit, that it really is a combination of each of these three things. So yes to energy transition, yes to doing it in a cost-effective way and yes to really sharing that bill fairly. Wiebes will continue to do so, and he will also explicitly ask the PBL, but also the CPB, so that we really have an insight into each of these parts at the time we are going to make final choices. Mrs Leijten asked me what I think about a personal loan for sustainability. I think I have just said that we are taking this affordability very seriously with regard to sustainability and that we are therefore taking this very seriously. This is, of course, true in general. See also the letter on the financial sector; a completely different subject. In general, I think you should look very carefully at what is acceptable and portable, especially for those with a small wallet. That alone does not mean that I am opposed to the conclusion of personal loans, because that can help. However, it is then a question of the conditions under which this is to be done.
ParlaMint-NL_2018-12-19-tweedekamer-6.u88	Those who watched Pauw last Monday got the impression that Mr Samsom was looking for the individual solution with an individual loan, because the individual energy bill would go down. Would the government agree that any possible collectivity of solving our common problem, which also takes account of that debt mountain, I would just say to the CDA, and taking into account those low and middle incomes, is excluded? Or does the government share that the purely individual solution should not be the route we end up on?
ParlaMint-NL_2018-12-19-tweedekamer-6.u89	With all due respect for Mr Samsom's passion, we are dealing with the cabinet. The cabinet will ultimately have to decide and refer those decisions to the Chamber. On the contrary, I wanted to emphasise that the affordability and the ability of all of us to experience this energy transition is crucial. That's just reasonable. I am in no way one of those who say: why do we actually do this energy transition? On the contrary, I think it is necessary and the time to do it properly and wisely is limited. But I do think that society as a whole should be able to experience that.
ParlaMint-NL_2018-12-19-tweedekamer-6.u90	I'm still thinking a little bit about what the Minister is saying. I think he's just saying yes to my question. I also understand why he says, "I can never rule out a personal loan to make your house more sustainable." I understand that, of course. But saying "this is the solution, everyone a loan for the sustainability of the house" and removing the collectivity altogether can't be the answer either. But I think the Minister actually said yes to that.
ParlaMint-NL_2018-12-19-tweedekamer-6.u91	I really think it's important that I choose my own words. I very much agree with Mrs Leijten that we should not shuffle off this energy transition and that we should not allow the cost of it to be disproportionate in the case of middle incomes, let alone in the case of people with less than average income. I think that's very important. That is also the view of the cabinet and, in my view, the whole coalition. At the same time, borrowing could also be part of the solution. That could be collective or it could be personal. In general, I find it difficult to go along with Mrs Leijten's position. There is one thing I am very opposed to, of course, and that is why I referred to that bank letter from earlier this week. It is true that this is the case, and I find it really tearing and toeing, but that is another dossier that says that those families, which are already vulnerable, often take out loans under very unfavourable conditions. I am referring, for example, to those flash credits. Quite apart from the personal responsibility that people have and what it starts with, I have great difficulty with that earning model of helping those people's debt even further. But that's really different from what's going on here right now. Mr. Chairman. Mrs De Vries also asked about feasibility and affordability. I think I have said in her direction that, as far as I am concerned, this is really happening next year, reading what the Planning Bureau is saying. Next year is almost starting, but again, I can't guarantee that. Mr Nijboer referred to a number of examples. These differences are indeed significant in some examples. Let me put it mildly, because I do not know the examples he refers to, but I do suspect that there are other things involved, such as switching to another supplier. In general, I can say "but then I really base myself on the purchasing power plates of the Planbureau and the different categories of the Planbureau that you end up with that 95% to 96% of the Dutch who are making progress. As a cabinet, we also wanted to look very closely last summer and make sure that the lower group can take full advantage of it. In my opinion, it is a public secret, if not public information, that we have also done additional repairs for the bottom.
ParlaMint-NL_2018-12-19-tweedekamer-6.u92	But the energy bill has been the subject of a major political debate, by Buma, Segers and Jetten, who said last Sunday: everyone must be able to experience it. And just for this purpose, the cabinet deliberately chose to increase it by €51 gross, if you charge the VAT by more than €60, per household. So how does that relate to the stories just told that it's on those climate tables in that cockpit? That's a plane, isn't it? A 17-man cockpit, I'm not getting in it. So whoever came up with that... It's a recipe for misery, but maybe something good will come out. How does that relate to that?
ParlaMint-NL_2018-12-19-tweedekamer-6.u93	I do not think I should go into the cockpit as a working model. I wanted to separate the climate debate from the current situation. I think that's fair. It is true that parts of consumption are taxed more heavily. This applies to the low VAT rate and to the energy bill. But I think it is fair and balanced that the cabinet says: you have to see that in the total palette. To do so, you must explicitly include the retirement and elderly discounts, and you must also look at what remains at the bottom of the pay slip for workers. It's not my words, it's the words of the Planning Bureau. The Planbureau says: if you add all that together, you have a plus that was 1.5% at the Millions Note and is now 1.6%, 95% to 96% of the Netherlands. It's hard to pretend that's completely unreasonable.
ParlaMint-NL_2018-12-19-tweedekamer-6.u94	Very clear, also towards Mrs De Vries. We have economic growth and, on balance, households in the Netherlands are improving on average. That includes the energy bill; there is no discussion about that at all. In fact, if we go greening, we'll all have to pay for it. So I'm not saying it's all free. That's not what the PvdA claims at all. I think that's a promise no one can live up to. What matters is that we share the energy costs fairly. The climate agreement is coming up. This is a first step, which undermines everything those leaders say. You deliberately raise the energy bill. Of course there is some income tax in it, but that's not what Buma is about when he talks about the yellow shirts and that's not what Segers is about on the front page of the Volkskrant. That is exactly what this is about, and I am referring to that. Because that affects the credibility of politics and undermines the climate goals that the cabinet wants to achieve.
ParlaMint-NL_2018-12-19-tweedekamer-6.u95	First of all, I very much appreciate what Mr Nijboer says about the general picture and about the task. I sincerely appreciate that he's just real about that and that he agrees that you need to tell the whole story here and to paint the whole picture. Why am I pulling these two things apart so emphatically? Because on the one hand you can already see that some of the loads go up, but again, with a big plus at the bottom of the line. I believe that as a cabinet and as a coalition, and in particular the Minister for Economic Affairs and Climate, you have the task of looking very clearly at this energy transition, which Mr Nijboer quite rightly says will not be free of charge, to see how we ensure that it is fair and reasonable.
ParlaMint-NL_2018-12-19-tweedekamer-6.u96	Surely that's not to be explained to any human being when everyone keeps saying they're getting energy bills that go sky high?
ParlaMint-NL_2018-12-19-tweedekamer-6.u97	It is true that next year's reduction in income tax will compensate for the increase in VAT and more than that. However, the climate debate will mainly take place from 2020 onwards, also with additional burdens. There won't be room for another income tax cut. My question relates in particular to the bottom of society. There are also elderly people with an AOW and at most a very small pension. By the way, this group is the only one in the Netherlands with a second tenth decline in January. So my question is about the bottom of society, which includes those older people, who can't borrow for a heat pump either. How does the Minister intend to reduce the climate costs for those older people from 2020, even if there is no room for a reduction in income tax?
ParlaMint-NL_2018-12-19-tweedekamer-6.u98	However, first we go to the current position of the crop. Older people, too, are generally better off in the vast majority of cases. Mr Van Rooijen also knows the figures from August. There is no doubt that the vast majority of older people are making progress. The good news is also for Mr Van Rooijen that under no group in Dutch society there is as little poverty as among the elderly. That is the merit of the whole system we have built together. That's an important thing to take with you. What I do agree with Mr Van Rooijen is that in this energy transition you should look in particular at vulnerable people. I just said the same thing. You have to look in particular at those vulnerable who, moreover, have no earning capacity. So those are older people with already a narrow scholarship. Of people of let me say my own age with a narrow scholarship you can say that they have the ability in theory to increase their earning capacity, but that is often not the case with older people. That too must be taken into account.
ParlaMint-NL_2018-12-19-tweedekamer-6.u99	But I actually asked the following question. From 2020, these burdens will only really play, also fiscally and otherwise. Older people already know that these reductions are threatening, that pensions are not indexed and that they will soon be subject to high additional environmental burdens. Does the Minister understand that they cannot bear these burdens? Because their purchasing power is falling further, pensions are not rising, reductions are threatening, and at the same time climate costs are rising significantly.
ParlaMint-NL_2018-12-19-tweedekamer-6.u100	Once again, older people will be making good progress in almost all cases next year. Full stop. It's important to mark that. Once again, the assignment to this cabinet is because Mr Nijboer is right: it will not be free of charge to ensure a fair and balanced burden-sharing across all groups, young and old, working and non-working, in the city and in the countryside, with a thick wallet and with a small wallet.
ParlaMint-NL_2018-12-19-tweedekamer-6.u101	Mr. Van Rooijen, very briefly.
ParlaMint-NL_2018-12-19-tweedekamer-6.u102	My question was about something else. The climate tax increases will only come in 2020, regardless of the increases we are now experiencing. My question was how he thinks that purchasing power development and climate costs can be met for people with an AOW and at most a small pension. So I'm not talking about 2019. We agree on that. Oh, thank God. My question is about 2020 and later.
ParlaMint-NL_2018-12-19-tweedekamer-6.u103	By weighing that in. But at least I got out of the cockpit temporarily. That is one of the challenges that lie ahead, but I cannot, of course, take any part of that at the moment and make any selective promises about it. I can say in general that this climate transition must be done, that it must be done cost-effectively and that we must take account of all the groups in Dutch society. Mr. Chairman. I am with Europe and with that I remain with Mr Van Rooijen. First of all, let me say a few words about the euro area instrument and then a few other things about Italy. Last week I repeated that we are opposed to a new transfer element and a new transfer union. We're against a new, additional, free floating pot of money. We are also opposed to a stability mechanism. I have also said that there can be no surprise for those who know the coalition agreement that we are within the MFF, the Multiannual Financial Framework, for convergence, reform, competition and modernisation. First of all, we have agreed on this with the finance ministers. This was then discussed and texts were produced by the Heads of Government. That is quite apart from what we have agreed on in the area of risk reduction, which I believe the Chamber is addressing in large numbers, and regardless of what we have agreed on the possibility of restructuring debt, which I believe the Chamber is appealing to in very large numbers. We have agreed that we will look at an instrument that falls within the MFF and that will be explicitly about convergence and competition. So that puts the ball right where we'd like it to be. Does this mean that I think everything that comes out of it is good, acceptable and sensible? No, of course not. It is certainly not the case that I regard everything as unwise. I believe that we now have a duty to ensure that we actively consider what such an instrument could look like and that we should then assess what is on the table, on its merits. That leads to Mr Van Dijck. Mr Van Dijck's second question was: how can this exist outside the MFF? That is not the case. Read the text again. It expressly states that it is in or within the MFF.
ParlaMint-NL_2018-12-19-tweedekamer-6.u104	This was a very short answer on Europe and on Friday's Euro Summit. The discussion we had last week was in favour of the debate. We wanted the day of the week after a plenary debate with the Prime Minister. We're with the Minister now. My question to him is next. Surely the MFF, of many hundreds of billions, also serves for convergence and competition? My second question is this: if the Minister confirms this, then convergence and competition are also a form of stabilisation. Then why should there be another separate discussion, at least in other countries, about stabilisation alongside convergence and competition, which are already in the MFF? In other words, you can achieve these two objectives within the MFF without a separate instrument, to use that word instead of "eurozone budget"? You don't need the euro area budget for that.
ParlaMint-NL_2018-12-19-tweedekamer-6.u105	I do not want to deny Mr Van Rooijen and the Prime Minister the opportunity to debate each other. I do not know if that debate will be forthcoming, but otherwise we will undoubtedly be discussing it in one of our debates on Europe. Why am I saying that the ball is in the right place in the playing field? Well, because it goes inside the MFF. I think that was a real wish of the entire Chamber. It is about the subjects that we are trying to stimulate all the time in Europe: reform, convergence, competition. I think Mr Van Rooijen agrees with that. That is exactly what it says in that text. The finance ministers are now being tapped to think about this. In this case, we are going to do so for the countries of the euro area. Let's be honest, too. If you look at the mechanisms that exist, when you look at the agricultural policy, and especially when you look at the cohesion funds, then I can see the conditionality involved. I am not saying that it will succeed, but I would like to take the opportunity to reiterate this conditionality here as well, with the opportunity to do so as a guarantee not to do so better than we have dealt with under the current MFF.
ParlaMint-NL_2018-12-19-tweedekamer-6.u106	We all know that Macron has sparked the debate on the euro area budget, with many hundreds of billions. After that, he was supported by Germany in the summer, in Luxembourg. Now that's not outside the MFK anymore, but in there. It would start small, Macron said, but after that it could also rise considerably. Juncker also said that stabilisation is still in our multi-year draft budget, possibly 50 billion. Why is there a need for a separate instrument for the euro area countries within the MFF? And how are you going to finance that? By way of payments? By way of own resources? That's a weird situation, isn't it?
ParlaMint-NL_2018-12-19-tweedekamer-6.u107	I also said last week... I am truly surprised that this discussion is now taking place; I say this in all courtesy and friendship towards Mr Van Rooijen. Stabilisation is simply out; it is out of that text. Read the text of the Heads of Government again; I would really like to ask Mr Van Rooijen that. It's not about stabilisation; that's exactly what we didn't want. It's not about a free floating pot of money. It's playing inside the MFF. That is exactly what we wanted and what Mr Van Rooijen wanted; that is what we agreed. And now it's about convergence and competition. The coalition agreement contains a short passage which literally states that we are not in favour of a stabilisation mechanism, with fiscal capacity in brackets. Then there will be a number of longer passages, which deal with the need to reform, introduce conditionality and ensure convergence. With that in hand and with that as my assignment, I can only be satisfied with the way that ball is now in place, by the way, with the warning of course to look closely and actively cooperate in how that will look next.
ParlaMint-NL_2018-12-19-tweedekamer-6.u108	We have the MFF for many hundreds of billions; that's what's coming for the next seven years. It can focus excellently on convergence and competition at the expense of agriculture and cohesion funds. Why do we need to create a separate instrument for euro area countries within the MFF that was first outside the MFF? This is almost the same as the total, because 85% of these euro area countries are made up of those countries. This instrument also contributes only to the euro area countries, not to those few other countries.
ParlaMint-NL_2018-12-19-tweedekamer-6.u109	The interesting thing is that there has actually been relatively little convergence within those euro area countries. Check the numbers again. That is only limited and there is just another assignment for that. What I do agree with Mr Van Rooijen on, but that is exactly why we have said that this must be done within the MFF is that this does not affect the cabinet's commitment to bring three things into the MFF discussion. We don't want to spend more. In other words, we accept that we are net contributors, but we must remain in line with the other net contributors. That's one. Two: we want to modernise that budget significantly. This means that we simply need to spend more on issues such as innovation, immigration and possibly climate; let me say, on 21st century subjects. And we also want more conditionality. Frankly, I would like to take this opportunity with both hands to link it to conditionality, because I am simply not satisfied with how we have regulated conditionality in today's MFF. I think Mr Van Rooijen agrees with me.
ParlaMint-NL_2018-12-19-tweedekamer-6.u110	Finally, may I...
ParlaMint-NL_2018-12-19-tweedekamer-6.u111	No, Mr. Van Rooijen, you've really tried to make your point three times. I'm afraid you didn't get the answer you were hoping for, but I think you got enough room. Mrs Leijten, preferably twice, because I am looking at the clock.
ParlaMint-NL_2018-12-19-tweedekamer-6.u112	There will be a euro area budget and there has never been a statement from the Chamber that the Chamber wanted it to. If the Minister says that he is very surprised because he is doing exactly what the Chamber always wanted, then I would like an overview from the Minister of when the Chamber voted in favour of a euro area budget, whether inside or outside the MFF. I would like to have that overview before the debate we have after Christmas. He can send us that overview of when the Chamber has actually agreed to a euro area budget.
ParlaMint-NL_2018-12-19-tweedekamer-6.u113	I must also say to Mrs Leijten in all honesty that I think we have always agreed on a lot of things. I am truly surprised, truly surprised, that it is not satisfied with the text of the Finance Ministers and apparently again with the text of the Heads of Government. I mean that sincerely, because that is exactly what we wanted with regard to debt restructuring. As far as the backstop is concerned, that is exactly what we wanted with regard to the first reduction of risks. As regards the instrument within the euro area budget, i.e. within the MFF, it is decided that it is therefore within the MFF. That is a win anyway, because that was completely different in the Sorbonne speech and later in the Mesebergpapers. There's also that it's not about stabilisation. The whole word "stabilization" is no longer in use. It's about convergence and competition.
ParlaMint-NL_2018-12-19-tweedekamer-6.u114	Those words 'convergence' and 'competition' are magical; they are simply other words for'stabilization', because we in the Netherlands are not allowed to use that word. If the Minister says a few times in the debate: I am truly surprised; then that seems very insincere. But I am truly surprised at the naivety of the Minister of Finance and the Prime Minister, because they think you have France in the corner when you get a euro area budget in the multi-annual framework. That's where they're cheering. There will be a euro area budget and they have won it in the Netherlands. We're just trapped.
ParlaMint-NL_2018-12-19-tweedekamer-6.u115	I also find it almost disrespectful to the Chamber how semantic games are played here about a euro area budget. We no longer call it that and so it is no longer a euro area budget. It remains a pot of money only for the euro countries. My question in the first term was how the Minister intends to sell this to the non-euro countries, because they also contribute to the EU budget and their money is therefore partly used for euro countries only. In other words, these non-euro countries are not going to take that and before you know it, the euro area budget is being lifted from the MFF and fed by euro-area countries.
ParlaMint-NL_2018-12-19-tweedekamer-6.u116	Here, too, for the sake of precision: who has been in the discussion of the Finance Ministers? There were also the outs; the non-eurozone countries were in that discussion. Who was at the summit of Heads of Government? Those who are members of the euro area and those who are not. This is a statement by all the Heads of Government.
ParlaMint-NL_2018-12-19-tweedekamer-6.u117	I don't think this minister was there, because he got himself fucked in the suit. That's the bottom line. A pot of money will only be earmarked for euro countries for competition and convergence because the euro has failed, because it would ensure convergence and it has not done so. Now we are going to transfer money to those euro area countries that are lagging behind in order to force that convergence. It's called a transfer union, and you and the entire Chamber were strongly opposed to it, but you signed it.
