ParlaMint-NL_2018-11-22-tweedekamer-14.u1	Let's move on to the second term of office.
ParlaMint-NL_2018-11-22-tweedekamer-14.u66	Yeah, they're definitely zooming in on that. I will go into that in detail. I am not going to say anything more about the additional investments we have made to the police in the cyber area in relation to child abuse. Then Mrs Helder asked if I am willing to map how many elderly people are victims of high impact crime. I would like to promise immediately that we will carry out further investigations on the basis of available data and that we will report to your Chamber on this.
ParlaMint-NL_2018-11-22-tweedekamer-14.u67	At what time do you intend to do that?
ParlaMint-NL_2018-11-22-tweedekamer-14.u68	In the first half of next year, we will certainly come back to that in your Chamber. In whatever form that is, we still have to see. But I'm sure I'll get back to you. Then Mr Van Dam had a question about the role of the JenV inspection in ICT projects. He's right that the Inspector General is listening in remotely. In addition to the written response, the inspection stresses that ICT, including the progress of ICT projects in relation to the task exercise, will also be considered and reported to me by the inspection. In concrete terms, if good police work is hampered by the lack of ICT resources or if the progress of foreseen ICT resources is an obstacle to this task, the inspection will report on this. That's how I see it. Mrs Buitenweg asked me about an explanation of the number of police officers deployed in the streets in 24 hours. I've already said in the first installment that police work is more than just street work. I'll mention the crime scene and the cybercrime approach. Moreover, and there are 17,300 people, the police are a 24/7 organisation that is also used on the basis of local considerations where and when it is needed. How many cops are actually on the street is constantly changing. We'll have the AO Police next week. Then perhaps we can discuss this in greater detail. But I am not going to disappoint Mrs Buitenweg by saying in a letter what I replied in writing yesterday. Otherwise, we would have to discuss this in greater detail in the AO Police next week.
ParlaMint-NL_2018-11-22-tweedekamer-14.u69	A brief question, Mrs Buitenweg.
ParlaMint-NL_2018-11-22-tweedekamer-14.u70	If I understand correctly, I can talk about it in an AO next week, but then the Minister won't say anything new, because if he did say something new, he could write it in a letter. The fact is that a lot of operational experts sit behind the desk and do other tasks. Last week, a report was published by the WODC on this subject. What is the consequence of this for operational strength? That is a very factual question. I'd like that answered for next week's AO.
ParlaMint-NL_2018-11-22-tweedekamer-14.u71	The actual question was what the deployment of operational experts would mean for the employability of police in the streets. As far as there is anything to add to the answer I have given, I would like to add something to it, but I will also honestly write it if there is nothing to add to it. I'm fine with writing another note, but I'm not going to wake up the expectation that there's all kinds of news in there.
ParlaMint-NL_2018-11-22-tweedekamer-14.u72	Please continue.
ParlaMint-NL_2018-11-22-tweedekamer-14.u73	Then there's the motions. I shall begin with Mrs Helder's motion. I refer very briefly to the content of the motion, not the recitals. The motion states: "calls on the government to stop the process of closing police stations started in 2015.' I'm deceiving that motion.
ParlaMint-NL_2018-11-22-tweedekamer-14.u74	What number are we talking about?
ParlaMint-NL_2018-11-22-tweedekamer-14.u75	Item No. 25. I have an explanation. The movement to close offices is not at the expense of the quality of service. The police will be more present on the street and will be available to citizens via other, more modern roads: support points in the municipal offices, pop-up police stations, declaration to the citizen's home. I already mentioned the example of the neighborhood cop who has his iPad handy with him. Locations have been closed, but 103 new locations have also been opened. The housing shifts took into account the accessibility of the police and provided high quality facilities for the policemen on the street. That housing plan was also shared with the Chamber. So I'm deceiving the motion in part no. 25. In the motion in part No. Mrs Helder's 27 requests for the undermining fund to be established on a structural basis. I'd advise against that motion, too. We have just set up this fund for EUR 100 million. In addition, there is 10 million structural per year. They are means for a broad package, both preventive and repressive. That's what's on it. That is what the concrete plans have now been drawn up. We're gonna go there, along with the reinforcements for the police and other things, and we're gonna do a lot of work first. In the motion in part No. 28 by Mr De Graaf, the request to denaturalise criminals with a double passport and to expel them after serving their sentence. In the case of persons convicted of a terrorist offence, the Netherlands can be withdrawn after final conviction, but that cannot be done if it leads to statelessness. A bill has been passed on this issue. We can only do that if we have a dual nationality. The withdrawal of the Dutch citizenship of other criminals, i.e. non-terrorist criminals, is only dealt with if, for example, there is fraud in obtaining Dutch citizenship or indications of involvement in war crimes or genocide. Withdrawal for communal offences is contrary to the Nationality Convention. Mr. Chairman. The motion in part No. 29 by Mr De Graaf, on behalf of the Committee on Legal Affairs and Citizens' Rights, on the request that the son of a certain imam be denaturalised after serving his sentence and that he never set foot on Dutch soil again. I also advise against that motion, largely with the same justification I have just given. An irrevocable conviction for a terrorist offence is necessary, or someone must have joined such an organisation outside the Netherlands. With regard to these two motions, I would like to emphasise what I said in the first term, and that is that our services are alert to people with extremist, anti-democratic aims. I wanted to leave it at that.
ParlaMint-NL_2018-11-22-tweedekamer-14.u76	May I make a point of order? It's really a point of order.
ParlaMint-NL_2018-11-22-tweedekamer-14.u77	I'm curious.
ParlaMint-NL_2018-11-22-tweedekamer-14.u78	I find it striking that there is also a name in this motion. That was no reason for anyone not to support the submission.
ParlaMint-NL_2018-11-22-tweedekamer-14.u79	Yeah, I saw that.
ParlaMint-NL_2018-11-22-tweedekamer-14.u80	I didn't mention the name, anyway.
ParlaMint-NL_2018-11-22-tweedekamer-14.u81	No, not you, but I find it striking.
ParlaMint-NL_2018-11-22-tweedekamer-14.u82	I also noticed, but the motion had already been tabled and the motion had been distributed.
ParlaMint-NL_2018-11-22-tweedekamer-14.u83	I would also like to make a point of order. At some point, we are tending towards a situation in which we can put nothing more into a motion. It's obviously an issue. It doesn't mention a member of parliament with a quote. That was Tuesday night's appointment: the motion with a quote from a Member of Parliament was not supported at the time. This afternoon, it was a different story. Now it's about someone who just called for all the Christians in the world to be killed and not to leave anyone behind. Surely it makes sense for such a person to be mentioned in a motion.
ParlaMint-NL_2018-11-22-tweedekamer-14.u84	I am particularly concerned that I think that the Chamber should draw a consistent line and not: to offer one protection, but not to the other. That's the only point I want to make.
ParlaMint-NL_2018-11-22-tweedekamer-14.u85	Mr. Chairman. Then the Markuszower/De Graaf motion in part No. 30, on the recent appointment of the new National Coordinator on Counterterrorism and Security. The entire cabinet has every confidence that the right person has been appointed to the post. The motion is dissuaded. The Markuszower motion in part No. 31 concerns the request to allocate revenue that would be obtained by means of a type of tax on bank transactions to Islamic countries to the Jewish community. I'm deceiving that motion. There is no reason for this and there is no legal basis for such a proposal.
ParlaMint-NL_2018-11-22-tweedekamer-14.u86	Mr Makuszower, a brief comment on the motion for a resolution (Doc. 31.
ParlaMint-NL_2018-11-22-tweedekamer-14.u87	I will not start another whole discussion, but one fundamental point is that the Minister says that there is no legal basis for it. No, I didn't. That is why we are Minister or Member of Parliament; to create a legal basis. This is a fundamental discussion, which I have often had with this Minister. We shouldn't just rely on the current law. We're not a lawyer or a judge, we're MPs. Minister. So we need to make laws here and create legal bases. That the Minister does not want that, we can differ on that. But the fundamental point is that we are based on current legislation. That can't be the guidance of this cabinet, can it?
ParlaMint-NL_2018-11-22-tweedekamer-14.u88	Mr Markuszower is right to say that I am the Minister of Justice and Security. I must tell your Chamber how I see it in the context of the motion. I believe that there is no legal basis for such a proposal... Let me say arrangement, because a proposal can always be made. But there is no legal basis for this in our system.
ParlaMint-NL_2018-11-22-tweedekamer-14.u89	Let me ask you a question for clarification. I read the motion, but a crucial consideration has been removed. Now we are talking about 'these proceeds', which do not take back anything. So I wouldn't really know exactly what to do with this motion.
ParlaMint-NL_2018-11-22-tweedekamer-14.u90	As always, Mr Van der Staaij is very sharp. You've all heard me shiting around in filing the motion. I corrected that racket by sending a modified motion to the Registry. So the whole new text can be found by Mr Van der Staaij and all the other Members of Parliament in their e-mailbox.
ParlaMint-NL_2018-11-22-tweedekamer-14.u91	I have discussed the motion in the original version, because at least I want to do justice to Mr Markuszower by replying to him. Then I come to the motion on part No. 33 by Mr Van Oosten asking for consultation with the national police on how best to use practices, such as the Rotterdam patser approach. That's a motion I'd be happy to pass on to Chamber. The motion in part No. 35 by Mr Van Oosten to see whether the Law provides sufficient grounds for long-term supervision to impose freedom-limiting and behavioural measures on the jihadists or to inform the Chamber how the law could be amended, I also leave Chamber. That motion is in line with a letter previously promised during an AO on this subject. In any case, it is very clear to me: judge Chamber. Mr. Chairman. Then there is the motion for a resolution which calls for an examination of what measures...
ParlaMint-NL_2018-11-22-tweedekamer-14.u92	Yes, Mr Grothuizen on the previous motion probably.
ParlaMint-NL_2018-11-22-tweedekamer-14.u93	I do have a question for the Minister on that motion. Mr Van Oosten's question was whether that of the jihadists falls under the long-term supervision of the Law. The answer to that is yes. Then there will be a motion to examine whether it fits in, and then the Minister says: Court of Justice. I don't quite follow that.
ParlaMint-NL_2018-11-22-tweedekamer-14.u94	No, the request was "I can read it literally for a moment to investigate whether that law offers sufficient leads and so on and if it turns out that the law does not offer this space, to inform the Chamber how the law could be amended. I give Chamber judgment here because there will be a letter in which we deal with this matter and will indeed explain it.
ParlaMint-NL_2018-11-22-tweedekamer-14.u95	In the written reply it says: the behavioral and freedom-limiting measures laid down in the law, I will not quote him entirely, but can also be applied to terrorist offences. Well, then we've got the answer, haven't we?
ParlaMint-NL_2018-11-22-tweedekamer-14.u96	I tried to make it clear that a letter has already been promised on this subject. This motion fits in with both what Mr Groothuizen reads and the promised letter. The motion is, as far as I'm concerned, judgment Chamber, I see no other possibility. The motion in part No. Mr Van Oosten, President-in-Office of the Council. - (NL) Mr President, ladies and gentlemen, I should like to begin by congratulating Mr Van Oosten on his excellent report. On this motion, I would like to say the following: I am prepared, in consultation with the Minister of Finance, because he is primarily responsible for the use of cash, to set the risk of its use in the National Platform Crime Control. In that platform, which I chair, the retail trade, Royal Horeca, SMEs and other relevant parties are represented. I will report to you next spring on the results of this work, as well as on the research commissioned by the European Commission, and I have to say that next financial year is due to come. I shall leave the verdict on this motion to the Chamber as well. Then there is a two-pronged motion in part No. 37 by Mr Van Oosten, who is primarily concerned with removing obstacles to the Coldcase teams by involving volunteers for working with digital police records and also with how volunteers can be responsibly involved in order to open up police files digitally. This is a more general digitalvolunteer's emotion. For the first part on access to data, I would first like to see the problem. I'll discuss it with the Chief Constable, and I promise to inform your Chamber of this within a month. By the way, the police say that they do not experience a bottleneck when it comes to volunteers. That's kind of the second part of the motion. So I'll get back to you in a month. I would ask you to hold the motion.
ParlaMint-NL_2018-11-22-tweedekamer-14.u97	Well, that's good.
ParlaMint-NL_2018-11-22-tweedekamer-14.u98	At the request of Mr Van Oosten, I propose his motion (35000-VI, No. 37). That is what is decided.
ParlaMint-NL_2018-11-22-tweedekamer-14.u99	Mr. Chairman. Then I'll move on to the motion in part number. 39 by Mrs Buitenweg. I would just like to quote this piece: 'calls on the government to enter into consultation with the Association of Dutch Municipalities on how to adapt the terms and conditions for participation'. I'd advise against that. We're gonna talk to the VNG. I have already said tout court in the first term: yes, of course we can talk and negotiate possible modifications of that AMvB. But I am not going to enter into consultations to see how the conditions can be changed. With this text, I have to dissuade him. Then there is Mrs Buitenweg's motion and Mr Grothuizen's motion for a resolution. 40 on a reconnaissance of environmental crime. On that motion, I say that I also think it is very important for us to be effective in dealing with it. It is not for nothing that I have expressed a number of concerns about the substance of drug waste, but of course it applies in the broadest sense to this environmental crime. So I say here, judge Room. I'm going to pick that up in consultation with my colleague from IenW.
ParlaMint-NL_2018-11-22-tweedekamer-14.u100	I have a brief question on the motion for a resolution on item No. 39. I co-signed it because it was a good proposal from GroenLinks. The Minister says: I do not go for this purpose in consultation with the Association of Dutch Municipalities. I have seen the Minister say to the NIS that the municipalities are grumpy. My question to the Minister is: does that help to blame the municipalities for being grumpy when he desperately needs the municipalities to make these experiments a success? We want to know if the drugs policy can and should be changed. Does this minister really want to make it a success?
ParlaMint-NL_2018-11-22-tweedekamer-14.u101	Mr Van Nispen is now pulling a number of things out of context. I was asked: but there are a number of mayors not at all satisfied with points in that experiment? I said, well, I understand that mayors are a little grumpy on some points. That was certainly not so said in the blameworthy atmosphere, because it has simply been said: with this or that element we are not happy. I can imagine. I am now repeating myself and I should not do so, but I said about the text of the motion as it is now: that is not how you negotiate or talk about such an AMvB. That's why I have to dissuade her. But I have said very clearly in first and second terms: yes, of course I will consult with the VNG.
ParlaMint-NL_2018-11-22-tweedekamer-14.u102	Proceed, Minister. Mrs. Buitenweg, I see you want to interrupt. It's fine that whoever signed the motion asks a short question, but if everyone has a question about one motion, we're going to repeat the discussion. I think you're free to just put the motion to the vote.
ParlaMint-NL_2018-11-22-tweedekamer-14.u103	I will. The Minister only said something different at the end than in the debate. The point is not only to engage in consultation but also to respond to part of the criticism.
ParlaMint-NL_2018-11-22-tweedekamer-14.u104	I have indeed said that we are open to criticism and see if we can meet that. I would certainly like to repeat this here, but I am not going to do it as it was in the motion. So dissuade it. The motion in part No. 41 calls on the government to develop a vision of municipal enforcement and is also Mrs Buitenweg's. I'm going to dissuade them, but first I'm going to explain what's going on there. We'll be coming up with a letter soon. So there is not so much a vision but a letter in which I will explain the relationship between municipal boas and police. Boas have no public order enforcement duties. So at least I come up with a letter explaining all this and then we can really have a good talk about it. I would also fool you by saying: I will come up with a vision. Let's just wait for that letter, because we'll be talking a lot sooner. Then there's the motion in part No. 43 by Mr Van Dam et al. That's a motion on output financing. I note that this motion is in line with the new funding system that is being developed, so judge Chamber for this motion. Mr Van Dam's motion to look at the value of a national police directive.
ParlaMint-NL_2018-11-22-tweedekamer-14.u105	What number?
ParlaMint-NL_2018-11-22-tweedekamer-14.u106	That's number 44, excuse. Well, 15 November, I sent you the development agenda search, and there is absolutely no doubt about that citizen participation. I have already endorsed this as a good thing in the first term, so this motion is, as far as I am concerned, Chamber of Appeal.
ParlaMint-NL_2018-11-22-tweedekamer-14.u107	Mr Van Oosten on the motion for a resolution (Doc. 43.
ParlaMint-NL_2018-11-22-tweedekamer-14.u108	Can the Minister explain to me what benefits this motion has for the detection and prosecution in our country?
ParlaMint-NL_2018-11-22-tweedekamer-14.u109	The motion in part No. 43 is about the new funding system. I'd be happy to explain that to you. If that new funding system has been developed and we are ready, then I will explain the benefits of detection and prosecution in a letter to you.
ParlaMint-NL_2018-11-22-tweedekamer-14.u110	Mr. Van Oosten, there's also a general court order, I understand.
ParlaMint-NL_2018-11-22-tweedekamer-14.u111	Of course, that's what we're gonna talk about, but we're gonna have to vote on Tuesday. I ask the Minister a rather specific question. What are the advantages of following the call in this motion for investigation and prosecution? I have to advise my group. If the Minister can convince me that this has advantages, that this will improve the detection and prosecution, then I can work with it and I can let my group know. If it doesn't add anything, I don't know what to do with it. So perhaps the Minister can come back to that before the vote.
ParlaMint-NL_2018-11-22-tweedekamer-14.u112	The point, of course, is this. That motion itself deals with this in the recitals. It has been pointed out by the authors that the funding system we now have can lead to perverse incentives and an increase in bureaucracy. Even in a declining number of cases, this can lead to an increase in, relatively speaking, fixed charges. I think that is three very logical aspects, but they are in the recitals of the motion and I share them.
ParlaMint-NL_2018-11-22-tweedekamer-14.u113	Good. Please continue.
ParlaMint-NL_2018-11-22-tweedekamer-14.u114	That seems to me to be a good thing, and for the sake of detection and prosecution, I would like to say to Mr Van Oosten in order to remove any doubts. Mr. Chairman. The motion in part No. Forty-four I've had. Then I come to the motion on part No. 45 of the members Van Dam, Laan-Geselschap, Helder, Van der Graaf and Van der Staaij. The request is to inform how the different police units will actually use the increase in strength. Let me briefly outline the starting point. The units and position of base teams are very different. So you have to make the choice locally, I want to put it first. If I may read your motion in this way, and I think it can be read in such a way that I may convey to the mayors of the region the importance your Chamber attaches to strengthening the basic teams, and inform your Chamber how the units have actually used the extension of the strength, then I shall leave the judgment on the motion to your Chamber.
ParlaMint-NL_2018-11-22-tweedekamer-14.u115	I think it is fine if the Minister explains the motion in this way, and I think that the Minister, apart from that, also understands very well the significance of this motion.
ParlaMint-NL_2018-11-22-tweedekamer-14.u116	Then you're in agreement!
ParlaMint-NL_2018-11-22-tweedekamer-14.u117	The motion in part No. 46 by Mr Van Dam and Mrs Van Toorenburg and Mrs Laan-Geselschap contain the request to include road safety in the Safety Agenda. I have already indicated in the written reply that I attach great importance to road safety. I have also just put my finger on getting through with a number of important new legislative proposals. In addition, I come together with the Minister of IenW with a strategic plan on road safety. The definition of the priorities for the police has now been a careful process together with the authorities and the police, with the follow-up of the Kuijken Commission choosing a limited set of priorities. I would therefore ask the Chamber to hold this motion until we have sent that Strategic Road Safety Plan to your Chamber and discussed it.
ParlaMint-NL_2018-11-22-tweedekamer-14.u118	Yes, Mr. Van Dam.
ParlaMint-NL_2018-11-22-tweedekamer-14.u119	Perhaps then the Minister could shed some light when the letter is sent to the Chamber together with IenW, because the Agenda for Security will enter into force on 1 January. So if it's planned to send that letter to the Chamber in March, that's relevant to me.
ParlaMint-NL_2018-11-22-tweedekamer-14.u120	I don't think I can expect that to happen this calendar year. I would like to say that this is certainly happening in the first two months of next year.
ParlaMint-NL_2018-11-22-tweedekamer-14.u121	Again, Mr. Van Dam. The microphone's on, but apparently it's not working. Maybe you should walk to another microphone.
ParlaMint-NL_2018-11-22-tweedekamer-14.u122	You'd almost think that here censorship... No, I'm not. I had another idea that an arrest might lead to a solution, but I have heard the Minister's opinion and we should do so.
ParlaMint-NL_2018-11-22-tweedekamer-14.u123	Mr Van Dam talks about the Minister's opinion, but what is his opinion?
ParlaMint-NL_2018-11-22-tweedekamer-14.u124	That was a hold-up.
ParlaMint-NL_2018-11-22-tweedekamer-14.u125	What if the motion isn't stopped?
ParlaMint-NL_2018-11-22-tweedekamer-14.u126	Then I'll have to dissuade her. I would like to add that I may be able to add the fact that this motion is a footnote to the adoption of the Agenda on Security.
ParlaMint-NL_2018-11-22-tweedekamer-14.u127	Then either hold it or put it to the vote, Mr. Van Dam.
ParlaMint-NL_2018-11-22-tweedekamer-14.u128	I'm not gonna arrest her.
ParlaMint-NL_2018-11-22-tweedekamer-14.u129	Good to know. Then Mr Van Nispen.
ParlaMint-NL_2018-11-22-tweedekamer-14.u130	Yes, because we too must vote on it. I think it is a nice motion, but I would like to know from the Minister whether if this motion is adopted, other priorities will be lost in the police or whether the police will not be able to do certain things. I think that's relevant when it comes to judging.
ParlaMint-NL_2018-11-22-tweedekamer-14.u131	The point is that I have said that the Kuijken committee has said: go ahead really well and do not make a Safety Agenda with such a category A and such a category B. Of course, this also includes the fact that road safety is something in which I also hang out together with the Ministry of IenW. That is, of course, very important, because you have some kind of double power that does not or hardly play in some other types of priorities. So indeed, then there should be a priority of the Security Agenda. That's how it works. Mr. Chairman. I was at the motion in part no. 51 by Mr Van Nispen and Mr Groothuizen, requesting that the court be given a supervisory and legal role in the conduct of high and special transactions. I would first like to propose that we hold on to this motion until we have come up with the policy response. I reported in the first term that that report Evaluation Act has been offered to the Chamber. There is a policy response coming, and we have already explicitly promised your Chamber that we will do the same with regard to these high levels of transactions. Then we can have a long conversation. The case law is also being discussed at the moment. It also examines whether any judicial review would be a good alternative. I would like to open-mindedly enter into this discussion with each other, so I would like to continue.
ParlaMint-NL_2018-11-22-tweedekamer-14.u132	So hold on. Mr Van Nispen does not intend to do that.
ParlaMint-NL_2018-11-22-tweedekamer-14.u133	Then I must discourage the motion, because then we go for the troops...
ParlaMint-NL_2018-11-22-tweedekamer-14.u134	A chair fell over, but no one was on it, thank God. There's nothing wrong. We're moving out in two years, I think. Proceed, Minister.
ParlaMint-NL_2018-11-22-tweedekamer-14.u135	I have a thing for chairs, Mr. Chairman.
ParlaMint-NL_2018-11-22-tweedekamer-14.u136	Yeah, I know.
ParlaMint-NL_2018-11-22-tweedekamer-14.u137	At the General Political Reviews, where Mr Van Dam had that microphone that didn't work, I sank through my chair. Anyway, that's how things go. Then I really must dissuade the motion, because I just don't think it is wise for the Chamber here to decide how we should put it in place if we didn't just have a good talk with each other about what's coming out of that evaluation. And again, I am also discussing with the case-law how it might possibly be possible if it could become a judicial review. So it's going to be dissuaded.
ParlaMint-NL_2018-11-22-tweedekamer-14.u138	What motion are you on now?
ParlaMint-NL_2018-11-22-tweedekamer-14.u139	I was still at the motion in part no. 51. I didn't advise her. And why I betrayed her, I motivated her a little more. In the motion in part No. 52 the Government is invited to ensure that high and special transactions are included in the Note that the starting point for settlement is always criminal investigations into actual managers and clients. I'll leave the verdict on that motion to the Chamber. In the motion in part No. 53 the government is asked to have independent scientific research carried out to determine whether, and if so to what extent, there is class justice. I would advise against that motion, because I see no reason to do so. I have already referred very briefly to the fact that our sitting and standing magistrate is among the best and most reliable in the world. On a list of the worldwide comparison of 130 legal systems, the Rule of Law Index, we stand unchanged in fifth place. Our police, let me just say, are in sixth place worldwide in the field of professionalism, integrity and also the application of rule of law. There are certainly things that are being spotted here in your house, which we say should not happen like this. They are being discussed and rightly so, and I am dealing with them. All right, Mr. Chairman, I advise against this motion.
ParlaMint-NL_2018-11-22-tweedekamer-14.u140	Those lists are not necessarily relevant. Certain undesirable selectivity may also be in the subconscious of certain people. So this has nothing to do with criticizing judges, cops or prosecutors. I've just been very clear about that. If the Minister of Justice cares that I say that there are indications of class justice, and the Minister really thinks that he does not, then he would not have to oppose an investigation to establish that.
ParlaMint-NL_2018-11-22-tweedekamer-14.u141	I am not going to repeat what I said a moment ago, because you have heard it from me. I would also like to point out that Mr Van Nispen made this request in response to his speech on inequality in the context of high transactions. We are also going to have a thorough discussion about this. I continue to advise against a motion asking for class justice to be examined in a general sense, especially in view of the place of our legal system at the moment. I've said enough about it.
ParlaMint-NL_2018-11-22-tweedekamer-14.u142	It doesn't make any sense what the Minister says. Apparently, he wasn't listening properly during my speech. That's too bad. I have mentioned a number of examples where I note unwanted selectivity throughout the chain. I've also called in access to justice. I've brought in that it could happen to the police, could happen to the D.A.'s office. And indeed, in my opinion, the high transactions are one example of this. But then the Minister cannot say: all this is reflected in the policy response. I'm asking for an independent investigation. If the Minister says that he opposes it because he is sure that there is no class justice, then I find that very disappointing.
ParlaMint-NL_2018-11-22-tweedekamer-14.u143	Okay. Proceed, Minister.
ParlaMint-NL_2018-11-22-tweedekamer-14.u144	I have nothing to add. In the motion in part No. 61, by Mrs Den Boer, is asked to develop a vision of the future of the police function in the Netherlands. I agree with that. I would give some room for the deadline, because the WRR is investigating the pluralisation of the police function. It will be 2020 before they have completed it, but that is a very thorough investigation. In any case, Court of Justice, if you can understand that.
ParlaMint-NL_2018-11-22-tweedekamer-14.u145	It's Judgment Room, Mrs. Den Boer.
ParlaMint-NL_2018-11-22-tweedekamer-14.u146	Fine. It says spring note 2020. So if the Minister can keep us a little informed, I'd love to.
ParlaMint-NL_2018-11-22-tweedekamer-14.u147	Please continue.
ParlaMint-NL_2018-11-22-tweedekamer-14.u148	Mrs Den Boer also asked for an updated strategic vision of international police cooperation. I come in early 2019 with a new framework for this. I will take this motion to heart and leave it to the Chamber. Then there was a question and also a motion by Mrs Kuiken about lhbti. I have to discourage the motion. I think that "specific capacity" is a step too far at the moment. I have already indicated in the first term that I have the appointment with the Chief Constable that I am going to discuss improvements to the administration of Ihbti by the police. In addition, I come with the Ihbti Action Plan and I would also like to point out that, with regard to transgender and intersex persons, a new indication of discrimination against the Public Prosecutor will enter into force at the beginning of 2019. This is currently being finalised by the Public Prosecutor's Office. It explicitly states that a crime committed because of one's gender identity should lead to a higher penalty requirement. That was already arranged for the lhb, but now also for the t and i. The one about the motion in part No. 63.
ParlaMint-NL_2018-11-22-tweedekamer-14.u149	Yeah, everybody's gonna respond to each other's motions now.
ParlaMint-NL_2018-11-22-tweedekamer-14.u150	Since I have also made a point in my contribution, I would nevertheless like to make a suggestion to the Minister. Why doesn't he ask the petitioner to hold the motion? It is an important point and there will be an action plan that we can still ride in.
ParlaMint-NL_2018-11-22-tweedekamer-14.u151	I would certainly be prepared to do so if the author were still willing to do so.
ParlaMint-NL_2018-11-22-tweedekamer-14.u152	Mrs. Chicken?
ParlaMint-NL_2018-11-22-tweedekamer-14.u153	It is, in itself, a very simple motion, especially because I would like to see, if we agree on a number of things, also marked somewhere. At the same time, the motion raises a lot of confusion. I am going to continue the motion now and then we will be able to table the motion or wait for the action programme at another time, after careful coordination.
ParlaMint-NL_2018-11-22-tweedekamer-14.u154	At Mrs Kuik's request, I propose her motion (35000-VI, No. 63). That is what is decided.
ParlaMint-NL_2018-11-22-tweedekamer-14.u155	Mr President, I'm almost through. I'm getting to the motion on part No. 67 by Mr Krol. This motion focuses on a number of specific measures aimed at the elderly when it comes to their extra vulnerability to offences. I fully understand that motion, and in that regard the judgment is Chamber. Then there was the motion in part No. Mr Van der Staaij asked for support to be given to the use of the international IHRA working definition of anti-Semitism. If I may explain the motion in such a way that the indicators for anti-Semitism, as indicated in the working definition of IHRA, can be used by police and prosecutor as a possible signal for discrimination, then I say yes and judge Chamber. What I don't want to go along with is giving a legal status to that work definition. This does not relate to the current system of anti-discrimination legislation. Then I'd have to discourage the motion. But I hope it's the first, because that's also what's best for us.
ParlaMint-NL_2018-11-22-tweedekamer-14.u156	Yes, as the Minister wishes to explain the motion, it is also intended. That is why I have explicitly used the word 'working definition' in the motion.
ParlaMint-NL_2018-11-22-tweedekamer-14.u157	Mr President, I am sorry, I forgot Mr Van Nispen's motion on item No. 54 to be discussed. If you don't mind, I'll go back to that. That is the motion calling for the amount of under-utilisation and over-utilisation to be kept to a minimum, as in previous years, and at least to make it clear why it is expected that the amount will increase in the coming years. I have to discourage the motion. I would also like to comment on Mr Azarkan's point. When drawing up the budget for 2019, we have seen several setbacks. Now we do not want to make too painful policy choices in the knowledge that at the end of the year we usually have money that we can catch up with. We do not yet know what that is going to be for, and that is why a post has been included, without filling it in. It is indeed the first time that we have this in the JenV budget, but so do the ministries of OCW and IenW. So far. Then the motion to part No. 72, asking for an overview...
ParlaMint-NL_2018-11-22-tweedekamer-14.u158	Mr. Chairman.
ParlaMint-NL_2018-11-22-tweedekamer-14.u159	Really short, Mr. Van Nispen.
ParlaMint-NL_2018-11-22-tweedekamer-14.u160	The fact that two other ministries have such a strange reason for budgeting does not seem to me to be a good reason for doing so. But my question was very specific. The motion also calls for it: make it clear why you already expect there to be nearly 100 million left, which you do not yet know where it will be. Could that have the effect of forcing the cheese bowl to go all over the Ministry?
ParlaMint-NL_2018-11-22-tweedekamer-14.u161	Well, I have just responded to the motion and I do not really have much to add to what I said in the first term. I can't say any more about it.
ParlaMint-NL_2018-11-22-tweedekamer-14.u162	Please continue.
ParlaMint-NL_2018-11-22-tweedekamer-14.u163	The motion in part No. 72. This is the final motion, Mr. Chairman, and then I'm done. Mr Azarkan asked the government to give an overview of how many police chiefs and how many police officers have been sanctioned for intimidation and/or discrimination against a subordinate or colleague in the last five years. I'm deceiving that motion. I want to say this about it. Discriminatory or exclusive behaviour is not tolerated by the police, not outside but certainly not within the police. The Department of Security, Integrity and Complaints, VIK, ensures an appropriate handling of issues such as discrimination. This is generally not widely communicated, certainly not about the penalties, because it concerns individual matters. In my opinion, the Corps leadership really has a lot of attention to this point. Each team draws up a plan to combat cross-border behaviour using the Employee Monitor. The annual report contains an overview of disciplinary penalties with the three most common categories. Those were in 2017: abuse of position in 226 cases; violence and/or treatment in 142 cases; posture and behavior................................................................................................................................................................................................................................................ I told you, I dissuade this motion. That brings me to the end of my second term.
ParlaMint-NL_2018-11-22-tweedekamer-14.u164	Thank you. I now give the floor to the Minister for Legal Affairs.
ParlaMint-NL_2018-11-22-tweedekamer-14.u165	Thank you, Mr President. A few questions and then the motions. Mrs Buitenweg asked a question about legal aid. She said: it may be that you take things off effectively in a different way, but what if you want to have a judge's ruling in principle in the context of legal form? At least I think that's what she's talking about. I think she has a point there. Sometimes you want to run a trial process to get a verdict in a very specific case. I see her shaking no now. Then I may have misunderstood her, and then maybe we should discuss it further. Fortunately, there will soon be an AO and we have all the possibilities to do so. I understand her so that she says that it is sometimes important from the legal form to get a verdict in some kind of trial process. I do not think that this kind of specific matter will occur very much, but we should not rule it out. I therefore think it is important for a judge to look at it and make a ruling, even if it is perhaps a more expensive and longer-term way of solving a problem. It may well be that you will be given a statement of principle. I thought I'd meet you with that.
ParlaMint-NL_2018-11-22-tweedekamer-14.u166	Yes, thank you.
