ParlaMint-NL_2018-03-29-tweedekamer-11.u1	I give the floor to Mr Kuzu van Denk, as the applicant for this debate.
ParlaMint-NL_2018-03-29-tweedekamer-11.u80	Thank you, Mr President. We have been arguing for a long time: citizenship is one of the traditional characteristics of education. Since education, cultural heritage and the traditions of one generation have been passed on to the next. Teachers and teachers not only have the responsibility to transfer knowledge, skills and competences. They must also give their pupils the basic values that are the conditions for them to become, with some weight, an animated link, of citizens in their own family, neighbourhood or city, as citizens of the Netherlands, as citizens of the wider western civilisation. A civilization that doesn't know its equal, with all its splendor in culture and science, art and rule of law. Education which neglects this task, or which, by reason of the delusion of the day, makes the importance of this animated relationship relevant, does an inalienable damage to the continuity of our civil society and, therefore, of our society. What has been built over centuries can be irreparablely damaged in a few decades so that there is no longer a close society. Then there are divisions and groups of citizens retreating into parallel societies. That is a scare: a fragmented society in which there is no animated connection. And it's going fast. Parallel societies are already a fact. Let me give you an example. Where did the citizen in question go around the Ambachtsplein in Rotterdam-Sevenkamp? We heard about it yesterday. Children between the ages of 8 and 12 terrorize a mall there. They set off fireworks in the shops, empty the shelves, swear people out, fight a shopkeeper who doesn't take it and then gets beat up by a parent. Mr President, it seems a silly example in the context of this debate, but it is not. 'Cause nobody does anything on that Crafts Square. We have become a country that cannot even defend itself against the terror of children. In such a country, that animated connection has disappeared. It's powerless. Police and justice and education leave the public in the cold. We do see a great deal of embarrassment in many areas, but also in teachers in mulitcultural schools, in the case of the Second World War, in the case of the Holocaust, in the case of equal justice between homosexuals and heterosexuals, men and women. They are all symptoms of an education that is no longer able to pass on citizenship. The Minister acknowledges in his letter that the assignment to education is too non-binding. "Take this to heart," I say to the Minister. The PVV has always advocated giving students Dutch citizenship. The Dutchmanship is more than just a passport. The Dutchmanship is about identity, about connection to the legacy of our ancestors. They've built this country into what it is. However, the delusion of the day now writes for the great majority of teachers that the Dutch identity does not exist, that our cultural heritage is contaminated, that our sea heroes are criminals, that our culture is too white and therefore guilty. That's gotta stop. The Minister is in favour of putting an end to this non-committalism with a law. It should be able to explicate knowledge and promote skills in terms of democracy and the rule of law, human rights and connection. That is a good goal, but that law can only succeed if all these things are approached from the perspective of the shared Dutch values, the history of the Netherlands and also from a will to belong to the Netherlands. If we let that go, our land will be lost in fragmentation and polarization. Only if we stick to that will we have a chance to survive as a country, because without "we" it will not work. I'd like a response from the Minister to this.
ParlaMint-NL_2018-03-29-tweedekamer-11.u81	Thank you. I now give the floor to Mr Rog on behalf of the CDA.
ParlaMint-NL_2018-03-29-tweedekamer-11.u82	Thank you, Mr. Chairman. It was an alarming headline in the daily newspaper that gave rise to this debate. The headline was "Social Studies at School Fails." But that headline also deserves nuance, because the international research on which the statement was based is currently being done only among 14-year-old students, and they do not yet have the profession of social studies, a subject that is primarily about the rule of law, democracy and politics. I assume that the profession of social studies in that later age phase compensates a lot, but at the same time it is also worrying that one third of the 14-year-olds do not have sufficient citizenship skills. The proportion of pupils with these competences has certainly increased in recent years. This is a good development, but it does not mean that we can rest on our laurels, because our youngsters still score low compared to their peers in other countries. They form the global middle ground and are at the bottom of the European list. This is an observation which has also given rise to various cabinet measures, to various proposals in the coalition agreement which will also simply be implemented. The cabinet intends to strengthen the citizenship mandate, give citizenship a stronger place in our curriculum and review new schools there. We welcome these measures and have also been included in the coalition agreement on the initiative of the CDA. The continuous learning path citizenship will also be developed, in that curriculum renewal we were just talking about. Moreover, the Chamber has the motion-Rog c.s. The Commission has adopted a proposal which calls on the government to further strengthen the position of social studies by giving greater weight to the examination. I would like to hear from the Minister what steps he has taken or is going to take to put this statement into practice. Thank you.
ParlaMint-NL_2018-03-29-tweedekamer-11.u83	Thank you. I now give the floor to Mr Kwint on behalf of the SP.
ParlaMint-NL_2018-03-29-tweedekamer-11.u84	Thank you, Mr. Chairman. We are discussing a beautiful and important subject today. Thank you, therefore, to Mr Kuzu for requesting this debate. Often the debate on education deals with how to prepare children and young people for a place on the labour market, but citizenship deals with another, extremely relevant branch of education, namely: how to prepare children for a place in society? It is not without reason that we have been actively fighting for years against segregation in education, for example, because the first lessons on how to deal with conflicting opinions and beliefs in society are taught in classrooms. It is essential to go to school together. My question is immediately: how is the legal obligation for municipalities and schools to consult each year on combating segregation? A colleague of mine asked this question earlier in the AO Integration, but he was referred to this debate. So I thought: I'll take that for Mr Van Dijk. For the lover who sits at home to browse: that obligation is set out in Article 167a of the Law on Primary Education. Why? Because citizenship is more than just a profession. Citizenship may take place even more between classes, in the square, in mathematics or language, when a teacher hears that one person is calling the other for fucking homosexuals, immediately closes the textbooks and talks to the class about why that is said. That is a teacher who also has the space to do so, who does not avoid a conversation about Holocaust, not out of fear of what his students say, nor out of fear of the backwardness of his teaching program. But when it comes to filling in the box, the development teams are the move. The report is a cause for concern, especially when we hear that the Netherlands has decided no longer to participate in an international competition on citizenship. Mrs Van den Hul referred to it as well. Now I'm the last to say that those kinds of investigations are delicious, but I'm curious about the choice. Why would you stop doing that? Like I said, citizenship for the SP starts with going to school together. That is why I was shocked when I read in Trouw that the number of children has increased considerably, which is exempt from the obligation to register at a school, because parents happen to believe something that is not available in the wide range of religious beliefs on the basis of which you are allowed to set up a school. Let me drop the door in the house: the SP wants to get rid of this. If your esoteric, salafistic, reformatorical or Buddhist beliefs are none of them fictitious examples of exemptions by the way,.............................................................................................................................................. Then you can teach your kids those values outside of school. Of course, the cabinet has announced steps, but why would you set up a very separate branch of home education inspection to see how to better shape and control that, if you can just stop doing so? It is sometimes unfortunate but inevitable that children will be granted an exemption if appropriate education or special education cannot provide a solution. But if the parents happen to have a fairly marginal belief in that particular environment, that is no reason for us not to send a child to school, because children learn in a classroom. They learn not only language and mathematics, but also live together. There begins the teaching of citizenship, the critical learning and asking questions about the beliefs of your classmates, about the beliefs of the teacher, but certainly also about your parents' beliefs.
ParlaMint-NL_2018-03-29-tweedekamer-11.u85	It seems to be a very different debate. It's about homeschooling now. I hear the SP now giving a number of qualifications at home education where dogs don't like bread. I would very much like to have a debate here on home education and on the freedom of people to set up home education. But for the sake of clarity, you are now in favour of abolishing home education.
ParlaMint-NL_2018-03-29-tweedekamer-11.u86	I call for the exemption from compulsory school registration to be abolished on philosophical grounds.
ParlaMint-NL_2018-03-29-tweedekamer-11.u87	This gives home education a very big kick, so that it can no longer exist. I understand that from your words. You're going to be very formalistic about it now.
ParlaMint-NL_2018-03-29-tweedekamer-11.u88	I thought it was a specific question that deserved a specific answer.
ParlaMint-NL_2018-03-29-tweedekamer-11.u89	Okay. So we can conclude that the SP wants to get rid of home education. Just be clear.
ParlaMint-NL_2018-03-29-tweedekamer-11.u90	Yes. The SP wants to get rid of home education on the basis of an exemption on religious grounds.
ParlaMint-NL_2018-03-29-tweedekamer-11.u91	Each party is, of course, very much in favour of taking any position it wishes. But Mr Kwint of the SP is now going to use a 30-member debate based on a newspaper article to set up a law enshrined in the Constitution. I really think it's of a level... Does Mr Kwint know that there are also issues of home education in the government agreement and that we will simply have proper legal treatment on this issue as well? That is where Mr Kwint can express all his views on any TV programme. He has plenty of room to debate this with the Minister in a thorough manner.
ParlaMint-NL_2018-03-29-tweedekamer-11.u92	Two paragraphs ago, I said: of course, the cabinet has announced new steps. Then there was a whole paragraph. So, yeah, I know.
ParlaMint-NL_2018-03-29-tweedekamer-11.u93	Are you going to finish?
ParlaMint-NL_2018-03-29-tweedekamer-11.u94	Yes, in the meantime. Of course, there was a reason why we all said this, which is the point that children learn in a classroom. They learn not only language and mathematics, but also live together, for there begins the teaching of citizenship, the critical thinking and the questioning. I'm very curious about the government's response. We want a parent's faith to no longer determine whether or not a child goes to school, but only whether a child can handle it physically or psychologically.
ParlaMint-NL_2018-03-29-tweedekamer-11.u95	Thank you. I call Mr Rudmer Heerema on behalf of the VVD.
ParlaMint-NL_2018-03-29-tweedekamer-11.u96	Mr. Chairman. It is good that citizenship education will be more firmly anchored. Children at school need to know that we live in a country where it's normal to participate in this society, that you can be an atheist, that it doesn't matter who you love, that you have respect for another, that you live in a country where you can freely have your own opinion, without the government restricting it. You learn this as a child at school, among other things, in the field of citizenship. But how is citizenship in the Netherlands now? I'm a little worried about that. One in nine teachers does not dare to touch on certain subjects in the classroom, for fear of negative or aggressive reactions. An example. There are classes where there are cheers after there has been a terrorist attack. Those children like it and rightly so that many innocent people die. I got to teach in a class like that the other day, and I was really bewildered when I saw those kids kick each other's ass. In these classes, I think our Western freedoms are simply under pressure. It is incredibly difficult to address an important subject like this in front of a class full of yelling children. It seems that too many children do not want to accept that we are a country where we respect each other and where we take each other's opinions seriously, although you believe in the greatest possible nonsense and sometimes you are in another country. I have one question for the Minister. Is there sufficient attention in the curriculum of teacher training to the way in which citizenship education is handled in classrooms, and in particular, of course, of course, of course, of course, of course, of the way in which classrooms are dealt with where the conversation about this can cause a lot of tension? We need to put the teacher in his or her power. The classroom must be safe and the student must understand that normal behavior is a prerequisite for participation in our society. The teacher plays a very important role in this. That is why it is important that we strengthen citizenship education. Thank you.
ParlaMint-NL_2018-03-29-tweedekamer-11.u97	Mr Heerema gives a few nice examples of how Islamic pupils are doing in mainstream education, i.e. public or Christian education. I don't know where you taught. I've been through that myself. These are the regular schools, but how do you think it goes in the Islamic schools? It's gonna get a little worse there. There is no room at all for citizenship as we interpret it, but it is interpreted from the Islamic principles. I call the equal treatment of men and women and of homosexuals and heterosexuals and so on; you know the list. Do you trust that citizenship in Islamic schools is given in the right way?
ParlaMint-NL_2018-03-29-tweedekamer-11.u98	I've always taught in public schools from my liberal background. I call it urban gymnasium in Alkmaar. The problem was not there, but at the public black school in Alkmaar where I worked. The question focuses very specifically on Islamic schools. We now have a curriculum review. Today we have seen what the first concept is, including for citizenship education. I share with you that this is perhaps a very good time to see whether the revision of citizenship education in Islamic schools is well embraced. If that is not the case, we will have to intervene.
ParlaMint-NL_2018-03-29-tweedekamer-11.u99	'Then we will have to intervene', that sounds quite forceful. Suppose all the key targets are not met there. We can almost certainly know that except when the inspection comes to visit, but during the homework guidance very other things happen. If all this is clear now, are you prepared to take a very critical view of the closure of Islamic education?
ParlaMint-NL_2018-03-29-tweedekamer-11.u100	I don't think you can take the Islamic education under one heading. In the previous period, however, we fought together against the Islamic university. The VVD and the PVV together. My colleague Duisenberg picked it up with you. You're asking me to think with you if that's what it takes. I am prepared to do so, because I am prepared to continue what we have picked up together in the previous period.
ParlaMint-NL_2018-03-29-tweedekamer-11.u101	How cool that the VVD wants to think along with the PVV on closing Islamic schools. Let me also make it clear: when things are not in order and go against rules and laws that we have agreed with each other, there must be sufficient opportunities for that. I would also like to ask the same attitude of the VVD where researchers conclude that the equal rights of men and women in civic education are under pressure, but also that of ethnic minorities and migrants. Is the VVD also willing to think about this with DENK?
ParlaMint-NL_2018-03-29-tweedekamer-11.u102	I had made a text that was too long for my three minutes. So thank you for giving me this opportunity. I have a bit left over that the ICCS report shows that we in the Netherlands still have to make a move. My second heading is that basic words such as equal rights for men and women, equal rights for migrants and equal rights for ethnic groups in the Netherlands are to a lesser extent endorsed than in many other countries. So that's a point of interest. I omitted that whole list because of time, but I can do it here. We believe that this is an important point of attention, as well as that the PVV offers to think with when it is needed. I've never talked to you on the phone about certain things, but if you call me, I'm always willing to speak to you.
ParlaMint-NL_2018-03-29-tweedekamer-11.u103	Mr. President, Mr. Herma can always call me. I'm gonna take it a little further. When we see that political parties in this House of Representatives offer unconstitutional and unjust solutions, then... That just happened: let's close Islamic education. That's the purpose of the PVV. You have also answered that in a way that is yours. When institutions cross the line, it doesn't matter whether they're Islamic or whatever other basis they have. Do you understand that the very position of the people you want to represent, namely ethnic minorities and migrants, will be under pressure when you indicate that you are giving a political party a handshake that is unjust and unconstitutional?
ParlaMint-NL_2018-03-29-tweedekamer-11.u104	I don't think in groups like you do. I was asked by my colleague from the PVV to stop the Islamic education at the moment when the Islamic education goes beyond the norm. In my view, I have given a nuanced answer to this, namely that it is not about education but about institutions that are out of line. In my view, we must intervene at the time when the law and the like are being violated. I am certainly prepared to do so when that is the case. Whether there are groups in the Netherlands who are concerned that I am doing things with a party that you might have to deal with, is surely a bit of your problem.
ParlaMint-NL_2018-03-29-tweedekamer-11.u105	Mr Heerema just spoke about these groups himself. He mentioned ethnic minorities and migrants in his contribution which he was unable to read out due to lack of time. I think those are clearly defined groups. The question is very specific: are you prepared to cooperate with parties and bodies that have unconstitutional and unjust views, yes or no?
ParlaMint-NL_2018-03-29-tweedekamer-11.u106	This is really a caricature. I was just reading something about migrants and ethnic groups, namely that there must of course be good integration in the Netherlands and that they should also receive good citizenship education. And that's why I shouldn't be working with parties in the Chamber? That is total nonsense!
ParlaMint-NL_2018-03-29-tweedekamer-11.u107	That's not my question. My question is whether you are prepared to cooperate with parties, bodies in society and organisations, not only here in the Chamber but also outside the Chamber, who have unconstitutional and unjust ideas.
ParlaMint-NL_2018-03-29-tweedekamer-11.u108	I am prepared to cooperate in the Chamber with any party elected by law. I think...
ParlaMint-NL_2018-03-29-tweedekamer-11.u109	Finally.
ParlaMint-NL_2018-03-29-tweedekamer-11.u110	Mr President, this is exactly where I wanted to go. The VVD states that it wishes to cooperate with parties in the Chamber who have been elected by law. Then the VVD should also be able to cooperate with parties outside this Chamber who have ideas that are also constitutional, namely ideas about freedom of association. This is also a good thing that we have agreed with each other in this country as a fundamental right. Then I wonder: why with one party and not with the other? Unfortunately, I note a double measure that affects many citizens in this country very much.
ParlaMint-NL_2018-03-29-tweedekamer-11.u111	Mr President, let me conclude that I could even work with Mr Kuzu. Here we go again. That's how we keep going.
ParlaMint-NL_2018-03-29-tweedekamer-11.u112	Mr. Kuzu, finally.
ParlaMint-NL_2018-03-29-tweedekamer-11.u113	Mr President, such a remark is, of course, very unfortunate. "Even with Mr. Kuzu"! I stand here arguing for our Constitution, for our rule of law. I ask you, Mr. Lordema, to work with parties that have unconstitutional and unjust ideas. And then your reaction is: yes, I am even willing to work with Mr Kuzu. That's a lame answer.
ParlaMint-NL_2018-03-29-tweedekamer-11.u114	Mrs. Westerveld.
ParlaMint-NL_2018-03-29-tweedekamer-11.u115	Thank you, Mr. Chairman. Mr Heerema of the VVD notes that one in nine teachers avoids sensitive subjects in the classroom and, therefore, at least, I deduce from what he says that more attention should be paid to citizenship. I went over that report, too. It is about segregation and many teachers recognize that there is increasing segregation. They also often say that they need more time and attention, both for the students and for each other, to stay in conversation. Has Mr Heerema read this in this report?
ParlaMint-NL_2018-03-29-tweedekamer-11.u116	The fact that one in nine teachers does not dare to deal with issues that are important, and that the conclusion is that we need to have better citizenship education, is not my order. I made the theorem the other way around. We need better citizenship education, the first sentence of my speech, and one example of this is that one in nine teachers does not try to address issues in the classroom. That was the construction of my speech. It's an example. There are many examples. This example of the one in nine teachers has also been included in a newspaper article. I know that today the concept of citizenship education has been published. I haven't gone through it yet, but I think that's a good benchmark that we can see what they need, what they're planning and whether it's something we can finally support.
ParlaMint-NL_2018-03-29-tweedekamer-11.u117	Perhaps it is short speaking time, because three minutes is short, I am aware of that. And maybe now I'm jumping to conclusions from what I've heard. My question remains. Have you also seen what teachers indicate that teachers need more time to discuss sensitive subjects with students?
ParlaMint-NL_2018-03-29-tweedekamer-11.u118	I didn't take that out so clearly. If it is, it could very well be. Fortunately, it is not very often that there are so many sensitive issues to discuss every week. It also seems to me to be something of customization for schools, like with the Twin Towers at the time. We could then take a long time to do so. I was a teacher myself at the time and my school was very generous with that. We were able to decide how much time we spent in the classroom, not only with social teacher but also with other subjects.
ParlaMint-NL_2018-03-29-tweedekamer-11.u119	Thank you. I now give the floor to Mr Van Raan on behalf of the Animal Party. After the first deadline, we're gonna agree on the number of interruptions. No, no, you've been really neat, Mrs. Westerveld. I'm not going to name any other names. Mr. Van Raan.
ParlaMint-NL_2018-03-29-tweedekamer-11.u120	Thank you, Madam President. When I was a teacher, we had discussions. Then we asked, "What do you think of gays?" Then several people raised their finger and said, "We think that's dirty, sir." That was the starting point for the conversation. The moment you heard "we think that's dirty, sir," that was a shock. Yet we had a conversation and came to a discussion. That doesn't take away anything from the fact that that's pretty shocking. Mr. Chairman. Dutch students may not know enough about equal rights, democratic society and peaceful society. That's what headlined the A.D. In the international context, the Netherlands scores low on the implementation of social studies and citizenship. That's what we're gonna talk about. Citizenship is defined as knowledge students have about democratic society, its underlying principles and its application. Thank you to Mr Kuzu for having requested this debate. We want to talk about these underlying principles and their application. What underlying principles are we talking about? Can we name it? Is there a hook to make to the curriculum review that is now going on? Is it wise to do that? The answer is four times "yes, that's wise." We had a wonderful start day on March 8 from Curriculum.nu with nine teacher development teams, one of which was about citizenship. As a Party for Animals, we believe that sustainability is a kind of underlying principle. Understanding and applying it will benefit citizenship. Sustainability means to us: acting in the here and now in relation to the there and later. What influence do unsustainable choices have over the long term on discrimination, pollution and job insecurity? How do non-sustainable choices affect the relationship between labour and capital, its remuneration, income and capital differences, dealing with our environment and dealing with our fellow residents? Let me give you an example: yesterday or the day before yesterday, we saw a Prime Minister who calls as proud as a peacock that the Netherlands is the fifth economy of the European Union. Prosperity he's very proud of. But he doesn't mention that it takes 2.7 globes. In a CPB study of 200 years, a study that does not know her equal, just came out of the CPB, it says that our prosperity is extremely vulnerable, precisely because we are so very interested in raw materials, fossil, mineral and labor. To gain understanding for the longer term, for later and for there, at that age... The minister was there, we have seen that the prefrontal cortex of young people is still developing, making long-term thinking a problem anyway. These young people have to deal with room rental, tuition fees, the price of fruit and vegetables, but also with discrimination, self-development and so on. Mr. Chairman. I'm finishing up. There is not a great chance that such an environment will generate spontaneous insight into sustainability. In a time of selfies, selfies and selfies, and from "look at me!', "The palace I am," to speak to poetess Kate Tempest, doesn't really lend itself to reflection. So inclusion of sustainability in that development team is an integral part I wish to complete. We didn't see it in the command formulation. I'll show that to the Minister.
ParlaMint-NL_2018-03-29-tweedekamer-11.u121	Thank you.
ParlaMint-NL_2018-03-29-tweedekamer-11.u122	I want to finish with good news. We didn't see it in the command formulation, but the very good news is that we saw teachers pick up the glove themselves and that's a good thing. Compliments. A good thing, and there is a lot of social support for it.
ParlaMint-NL_2018-03-29-tweedekamer-11.u123	Mr. Van Raan...
ParlaMint-NL_2018-03-29-tweedekamer-11.u124	Co-operative Learning for Tomorrow, SustainableBy, Rethinking Economics, the time is now and let's cash the moment and move on, move on! Thank you. Excuse me, Mr. Chairman. I just had to say that.
ParlaMint-NL_2018-03-29-tweedekamer-11.u125	Thank you. Mr Van Meenen is already coming.
ParlaMint-NL_2018-03-29-tweedekamer-11.u126	Mr. Chairman. It is a pity that Mr Kuzu has since left the Chamber, otherwise I was able to address him. Excuse me, chairman, what did you say?
ParlaMint-NL_2018-03-29-tweedekamer-11.u127	I said, where is Mr Kuzu?
ParlaMint-NL_2018-03-29-tweedekamer-11.u128	Well, it doesn't matter. Mr. Chairman. I am prepared to speak at any time about education or citizenship. These are wonderful subjects, but I have also exchanged them with Mr Kuzu in an interrupting debate. We have just recognised in recent years, even before the government agreement was reached, that there are major problems in citizenship education and that there is much to improve. This has also been confirmed in the investigation we are discussing today. But it is precisely in this coalition agreement that we recognise that and we have commissioned, within the framework of the new curriculum, to work on it. The risk of a debate like this, I think, is that it might lead to a situation where we will see it heading towards directions that are suddenly going to be handed over again. While I'm thinking, let's give the curriculum a little bit of space. I think that's the best way. At the same time, I must say that clearly, D66 does not close its eyes to the concerns that exist. Not even today. Those worries are big and they're wide. They focus on a lack of it, let me just call it "democratic consciousness," but also lack of being able to cope with differences. I do not want to spell that out again; that has already been done by others. Fortunately, work is now under way to get a clear citizenship mandate for schools in the law so that the inspection can monitor it. That is why my group welcomes the Minister's letter. We would like to hear from him what further planning is now for the implementation of this agreement. I would also point out that the coalition agreement will soon make it possible for all the children in our country to visit our beautiful parliament and to experience what democracy really means. I hope they didn't watch tonight. Mr. Chairman. The profession of a social studies teacher is not easy. The profession of no teacher is simple, but this is perhaps one of the most difficult professions. It requires agility and maintaining a tolerant and safe environment in the classroom. I can see I'm running out of time.
ParlaMint-NL_2018-03-29-tweedekamer-11.u129	Yeah, it's fast.
ParlaMint-NL_2018-03-29-tweedekamer-11.u130	During a debate in the classroom, a social scholar must quickly determine whether a student's statement falls within the scope of freedom of expression or whether it is an expression of discrimination and bullying behaviour. It is constantly balancing between opposing extremist ideas and, at the same time, not censoring, between a critical attitude and preventing cynicism in which all sources of information and politicians are distrusted. That is why it is important that only qualified teachers should give the course, and I would like to say this once again that, as a government, but also as school leaders and administrators, we remain firmly behind these teachers. That is the case today, and it will be in the future. That's all I want to say right now, Mr President. Thank you very much.
ParlaMint-NL_2018-03-29-tweedekamer-11.u131	Thank you. This brings us to the end of the first term of office. I'm suspending the meeting for five minutes.
ParlaMint-NL_2018-03-29-tweedekamer-11.u132	I'll give the Minister the floor.
ParlaMint-NL_2018-03-29-tweedekamer-11.u133	Thank you, Madam President. I would also like to thank the Chamber for its first-term input on a subject which, as the discussion has shown, concerns us all quite well, and I think it is right. The immediate reason for this debate is the ICCS study, which received a cabinet response in November 2017, which showed that Dutch children scored a bit less on citizenship knowledge and skills than those in other countries participating in that research. I think it is good to add that countries that we can compare well with are quite difficult to find in that research. Flanders and the Scandinavian countries are actually the only ones involved. Other countries which are very relevant to us, such as Germany, France and the United Kingdom, are not participating in this investigation. That also gives some indication of the limitations of the investigation. I'll come back to that separately later. We consider citizenship education to be important. Many of you have said warm words about why we consider this important, and I think that is what we find each other in together. We also know that for basic education the citizenship mandate is even laid down by law. This has already happened in 2006. That also indicates something. We believe that attention should be paid to this. I say to Mr Beertema that there is a great deal going on in citizenship education, in the sense that I have seen that in recent months, in my new responsibility too, many schools with a great deal of involvement in citizenship education are doing, also on the basis of the legal mandate there is, through projects, excursions, debate meetings and you can mention all the possibilities you see. I have also seen a lot of involved teachers who are also very intrinsically motivated with their students. That's a long way to go. Given the time, I'll give you just one example. It is a very recent example that I encountered in the beautiful village of Bergambacht. That's my own father's birthplace. It was at Christian Elementary School the Ark. Apparently, he's been on that too. They've even found historical evidence of that. During the municipal elections, a group of pupils studied all the programmes very intensively and invited list leaders to school. They've even been to a debate that they've been following and that they've evaluated with each other. In the end, they also loved the fact that I came there with a candidate council member who's related to me. We have talked very intensively with them about what being politically active means. They did that outside of school. Of course, I asked first if they were all there on a voluntary basis. That turned out to be the case. It was really heart-warming to see how much they were involved in such a subject and how the motivation of their teacher and their school leader to take them into it and actively organize all kinds of things also skipped over the children. Of course, we also know there's trouble. The word "trade embarrassment" is mentioned here. And indeed. There's a former professor of social studies here, and I recognize that, too. I know that from my colleagues from that time. I also know how there are sometimes struggles in schools with it, I would say, to keep pupils in the classroom to talk about difficult issues in an orderly manner, to avoid getting out of the way and to actively involve pupils. Sometimes it does indeed start, Mr. Van Raan gave an example of it in a very violent way, but there is a classroom where it can be spoken. As long as it's spoken. That is, of course, something that needs to be said. It doesn't always work. We see that the learning goals of citizenship formation in education are not always clear. We also see that there is sometimes too little insight into what it actually delivers in the educational outcomes of the pupils when they receive citizenship education. We can see that there is too much dependence on teachers, that sometimes they are unable to make the connection between school policy and citizenship objectives. In short, there is also something going on. A lot is going well, but we also see a number of deficits. That is why it is important to take action. Mr Kuzu called on me to do so. That is an encouragement that is not necessary in principle, because we are already working very actively on it. I mentioned in the letter in November what is a bit of the railway book that I am working on on this subject. And we haven't been idle. The legislative proposal should further clarify the citizenship mandate. It should also describe more specifically the common core of education, that is to say, what one should focus on at least. There is, of course, a lot of room for schools to give their own color, but there is also a common core. Think of respect, knowledge, skills with regard to the basic values of our democratic rule of law and also human rights, I say in the direction of Mrs Van den Hul who asked very strongly for this. The first work to be done on this bill is now almost complete. Then you can follow the internet consultation, and you will know the whole process before the bill ends up with you. But I'm assuming this calendar year's gonna work out. Then, if we feel this urgency deep together, we can do business quickly, I would say. Then we can quickly make sure that it is also legally properly laid down. This is not only important to clarify, also in the direction of schools, teachers, parents and so on, but it is also important for the inspection to have more control over what is happening in relation to citizenship in schools. In this way, we can also prevent it from concentrating only on the very important subjects that pay attention to this, because it must be much more interwoven throughout the whole school process, and also in the attitude you can expect from teachers on this important subject, even though they give very different subjects. So we're working hard on that. The second point is the curriculum review. That point has been mentioned by a number of you, by Mr Van Meenen in particular. He also indicated that this is a little premature, but I think it is nice that we can name it all together for a while. That curriculum review officially started a few weeks ago. Compliments for Mr Van Raan, because he was present and we have heard again this evening that he has a clear mission in it. We have even noticed that teachers are open to this. Citizenship is also an important theme in the curriculum review. One of the nine development teams is about this. You know that this debate has been on the agenda for two weeks straight. I know that those who sit on that team would otherwise have been sitting in the gallery if this debate had been last week or the week before. That wasn't gonna work today. Oh, I see two more are waving in the public gallery, so we welcome them. I am delighted that you have succeeded, I say through you, Madam President, to these people in the public gallery. I hope you'll allow me. The people in that development team are involved. I said when the teams started not only to this team, but also to the other teams: I'm with you, but I'm going to stand in front of you as well. Because they have to be able to do their job now. We give them peace and confidence to work on this subject as well. You know that financial resources have also been made available for this whole curriculum review. I believe that Mr Kuzu asked whether there were any resources involved. That is indeed the case. So now we give them the peace and confidence to get to work. And, of course, we are very curious about what will be the results of the work that this leading group is going to do on this important subject. Madam President, I would like to look again at the public gallery through you. Another step we're gonna go with each other...
ParlaMint-NL_2018-03-29-tweedekamer-11.u134	Mr. Kwint.
ParlaMint-NL_2018-03-29-tweedekamer-11.u135	...who also has a firm faith in the development team Citizenship, and not only in the two people who are now sitting in the gallery. However, Mrs Westerveld has just said it in an interrupting debate: in my opinion, we cannot confine citizenship education to actually teaching citizenship. That sounds somewhat contradictory, but as I have also tried to argue in my term, the formation of citizenship among pupils is also something that happens mostly in passing, so in a discussion that comes along. It also happens when teachers feel the space to close their books, get the whole class to do the same and start a conversation about a discussion that plays out in the classroom. So I would like to encourage the Minister to remain in talks with lecturers about this as well. This may not be a role that lies with the development team. How can you really give those teachers that space and trust to get that, too?
ParlaMint-NL_2018-03-29-tweedekamer-11.u136	Then I would like to go back to what I mentioned first, also around the more legal definition of the core and what we can expect from schools. And all those involved in the schools should commit to that. That is exactly what I have tried to say, but I have not succeeded sufficiently. It must not depend solely on the few teachers in a school who have a very specific job in their field. But it would be very nice if also a teacher who gives a completely different course, for example English, would do that if something happens within such a class that affects the discussions that come with this. I think good teachers do. In fact, the book closes for a moment or the laptop, because some schools work with digital educational material and a discussion is held from heart to heart, cores are named, and this is also done from a certain attitude. I think that the law will also give some direction about what we simply expect in our Dutch education.
ParlaMint-NL_2018-03-29-tweedekamer-11.u137	That leaves me with the next question. Of course, we have to give confidence to the process and the team that is currently working on it, but does the Minister expect everything to be ready for the 2019-2020 school year so that we can take all that step?
ParlaMint-NL_2018-03-29-tweedekamer-11.u138	That is the timetable in which we are. You know that timetable. That's also been communicated with you. Of course, it is still important that we should be given room here in the Chamber at the right moments for what we are going to do. Because when the teams are ready and they are involved in development schools, we will eventually have to look at them ourselves from our administrative responsibility. Then it must be enshrined in laws and regulations and it all comes to you. You know that's gonna take time. But we keep up the momentum, because it is indeed important. Of course, this whole process will also have to continue to work on this within the schools, with some less peripheral conditions and without curriculum reforms, i.e. with the existing possibilities, but it remains important.
ParlaMint-NL_2018-03-29-tweedekamer-11.u139	So in any case, the Minister expresses the ambition that it will be possible to work with them in the 2019-2020 school year. I understand, of course, everything that can be frustrating in the process, but I hear the Minister respond positively to the question of whether the ambition is to start work in 2019-2020.
ParlaMint-NL_2018-03-29-tweedekamer-11.u140	I follow the timetable that has also been communicated to you on this issue.
ParlaMint-NL_2018-03-29-tweedekamer-11.u141	Please continue.
