ParlaMint-NL_2018-04-12-tweedekamer-4.u1	The next item is the Trade Secrets Protection Act.
ParlaMint-NL_2018-04-12-tweedekamer-4.u46	That's "dissuade." In view of the unity of intentions, I can imagine that Mr Alkaya is even withdrawing this, but I leave it entirely to him. I'm a little creatively advising right now. That's what he's really about; he knows that too. Then we come to the amendments to the Nos. 7 and 12. They're a bit alike. Both try a priori to allow the whistleblower to sound like a whistleblower, without a legal test. One amendment does this by focusing on the whistleblower's party, and the other by focusing on the definition of "business secrets." There are cases where you... No, I have to rephrase. Here, however, it is necessary for the balance sheet that the judge can still look at that. Because if you exclude someone a priori and can't take a test on them anymore, then everyone will be a whistleblower. That actually shakes up the whole bill. If I want to run off with a business secret, making up that I'm a whistleblower because of this or that, I'll be safe right after that. That's what really knocks it down. The same applies to both proposals. That can't really be the case. We are at the heart of the legislative proposal, but we are also undermining the core of the implementation of this directive if we do this a priori. I think it would be wise for the judge to rule on this if there is any doubt. There must, of course, be sufficient guarantees, including through the concept of 'general interest', so that those who, in fact, bring something out of the public interest can not be prosecuted. But to do that a priori, all sorts of behavior calls for this bill to be exactly devoid of purpose. A question that may be related to that is that of Mr Van der Lee. He says, "Yes, but is a cartel a business secret?" He is funny enough right that this is strictly covered by the definition of a trade secret, but at the same time it is unlawful, and it is quite obvious that revealing a cartel really does not treat the whistleblower with a legal danger. That's totally obvious. Those are the exceptions.
ParlaMint-NL_2018-04-12-tweedekamer-4.u47	I can also fully follow this line of reasoning. At the same time, we must not allow companies to use the corridor to court as a means of pressure to prevent whistleblowers from actually coming forward. So I ask the Minister how he looks at the proposal to reverse the burden of proof. That was actually part of one of my amendments. Then a person who comes forward and brings an error to the surface does not have to justify himself to the courts by proving that he acted in the public interest, but then the company has to prove that it was not in the public interest but in the personal interest. That is therefore a reversal of the burden of proof. How does the Minister view this?
ParlaMint-NL_2018-04-12-tweedekamer-4.u48	This, of course, leads to the same course of action, but in my view, we do disturb the balance. It is clear that this bill really runs on two legs. One leg is the legal protection of trade secrets that comply with that definition, but the other leg is the exclusion of whistleblowers and journalists from it on grounds that are still subject to judicial review. I wanted to keep it that way. That is also in line with the directive.
ParlaMint-NL_2018-04-12-tweedekamer-4.u49	A short final question, then: can the Minister imagine that such a course of law with high claims can hinder someone who actually finds wrongdoings?
ParlaMint-NL_2018-04-12-tweedekamer-4.u50	Legal certainty always has two sides. I think that the bill on whistleblowers, which may have an important role to play in society, has already been mentioned; I do not think that it has come to light in this way in the first instance, but it could have always had two distinct sides. You're sure of your case when you have something completely obvious. A cartel is completely obvious. Nobody's gonna say, "Well, well, well, well, what have you revealed business secrets, say, "We're bottled up and you're just making that public." That is quite obvious, but there are simply cases in which it is not entirely evident and where a judicial test could be considered if one of the parties feels genuinely inadequate. Legal certainty means that things can be presented to a judge in a twilight zone. That's how society works.
ParlaMint-NL_2018-04-12-tweedekamer-4.u51	I would just like to comment on the fact that the Minister stresses the importance of the balance sheet. At the same time, we have known for years that the whistleblower ultimately pays a fairly high price, even if there is evident behaviour that is not legal. So there's a imbalance and it's pretty easy for a company to start legal procedures, so the threshold of wanting to be a whistleblower at all is greatly increased. Doesn't that give a reason to add an extra status to such a person who really appeals to the fact that he is a whistleblower? I simply do not believe that the assumption that people are taking advantage of this quickly, because there is a very high social price on whistleblowering: you build up a reputation, other employers are afraid of you, and everyone knows that. So I don't see the abuse you're suggesting so easily.
ParlaMint-NL_2018-04-12-tweedekamer-4.u52	I think it's amazing to say that other employers might not want you if you're a whistleblower for the right reasons. If someone is a justified whistleblower, I would honestly put that person high on the horse and celebrate him. Mr Van der Lee and I both know that perhaps not every employer does, but I do not think it is a good idea to say that whistle-blowing has its drawbacks and that we are therefore going to disrupt the balance on the specific issue of protection of business secrets. I would just say that we have made a law to honour whistleblowers, but at the same time we must try to keep that balance where that is reasonable. That is the case here. Mr Van der Lee's argument at the time led to the House of Whistleblowers Act, but I do not think we should use the same argument here to upset the balance.
ParlaMint-NL_2018-04-12-tweedekamer-4.u53	The Minister would be right if the law were to be very clear about when there is a breach of the general interest and if it were very clear that you are raising a wrongdoing as a whistleblower. But that is precisely the subject of interpretation and therefore something that is submitted to the court. And so as a whistleblower, you don't know what you're up to. That gives a legitimate motivation to see if we can't protect that position a little bit better. Hence the amendments tabled by Mr Alkaya.
ParlaMint-NL_2018-04-12-tweedekamer-4.u54	But if everything in society with the interpretation of every law was always one-on-one and black and white, we would no longer need justice. In mathematics, justice goes without a judicial chain. That's not what the judge's gonna do. That's where the evidence is or isn't there. But here it isn't. We have a society in which cases that are difficult sometimes end up with a judge. That's a big good, too. This means that we should not say that suddenly there is a jurisdiction in which everything is clear a priori, because it will not always be. There are a lot of cases where it's crystal clear. They are also appointed here and they are obvious. The cartel is an example of that. But twilight areas exist in a society. There is no point in pretending that there aren't any in the legal process. Then it is also reasonable that someone should be allowed to express their views on this matter. Well, that's what we'll find in that case. And whether everyone should always agree with the judge in individual cases is another question, but at least you never hear me commenting on what a judge thinks.
ParlaMint-NL_2018-04-12-tweedekamer-4.u55	It is being pretended that I would like to avoid a whole corridor to the judge, but that is not the case of course. The corridor to the judge can always, only the question is who the threshold is for making that corridor to the judge. In the current legal text it is the standard procedure. Is that how the Minister sees it? Article 4 begins with the words "The judge can make an exception in the event that..." Does the Minister agree with me that in certain cases, in the obvious cases such as cartels, the course to court should not be necessary? If there were cartels at the moment, the employee who brings them out must prove to the court that he acted in the public interest. In this kind of obvious cases, you would like to see the corridor to the court not made at all, because there is indeed a threshold for companies.
ParlaMint-NL_2018-04-12-tweedekamer-4.u56	There's no automatic passage to the judge either. Suppose I discovered a cartel in my own company and I step outside. In the first instance, there is no judicial process at all. No one's suing me for anything. I don't have anything to answer for. I'm just bringing out that there's a cartel. Only when the company says "Oh, oh, oh, now you've revealed a business secret and now I'm going to sue you," which would be extremely unwise and illogical, will this article be dealt with. But in the standard situation there is no automatic course of justice at all. Here too, the word 'automatic' is not mentioned. I don't even know if it's happened before that someone reported a cartel in public and was sued for it for a trade secret or whatever. That's not the point. It would also be very strange and unwise of such a company.
ParlaMint-NL_2018-04-12-tweedekamer-4.u57	That's right; that would be very unwise. But the point is, of course, in the step before that, if such a failure is detected. Then the company could threaten with damages claims and a long legal process, where the burden of proof lies with the employee. It must prove that he has acted not in the personal interest but in the general interest. It is precisely that threshold that we want to remove. We want to remove the threshold for the employee to come out in such a situation. And we want to set a threshold for the company to threaten a course of justice, so that these kinds of things can keep coming out. I would like the Minister to at least agree that that threshold should be with the company and not with the employee.
ParlaMint-NL_2018-04-12-tweedekamer-4.u58	It has really been chosen to primarily protect trade secrets and to make that exception, which in practice, in some cases, is probably the same course of action. But I insist that this is balanced and in line with the directive's interpretation. I continue with the suggestion of...
ParlaMint-NL_2018-04-12-tweedekamer-4.u59	Before you proceed, let me make it clear that you have the amendments to the documents. 7 and 12 both betrayed.
ParlaMint-NL_2018-04-12-tweedekamer-4.u60	The amendments to documents Nos. 7 and 12, indeed, I dissuade both. They also seem very difficult to combine. The amendment in part No. 9 belongs to Mr Veldman. He actually wonders whether it should also be possible to have a full court fees. Here again it is a consideration. In cases where it is totally black and white and someone is being brutalized in a really unreasonable way, it is obvious to get a full court fee. This is the case with patents. A cartel is written word to word. A cartel? Sorry, I'm obsessed with the cartels. I mean, of course, "patent." With a patent, everything's fine on paper. If someone walks with it and busts that exact patent, then he knows in advance that who bounces can expect the ball. Then he'll have the full court fees to pay, even if you could otherwise sue your competitor arm. So that makes sense. This is a business secret and it is less black and white. I agree with Mr Veldman that in some cases this would be reasonable. If the trade secret is crystal clear, so that the offender cannot in any way think that this is still allowed, then it is also logical that the cost of the proceedings should be borne by the real offender. But there are also other cases in which it is not so black and white and there really is a truthful, legal question. Then it is less obvious that the compensation will be on one side. I therefore agree that it is up to the judge to make a judgment on this matter where appropriate. The amendment in part No. 9 is intended for this purpose. So I leave that to the Court's judgment. It has to be done explicitly through the courts; nothing automatic.
ParlaMint-NL_2018-04-12-tweedekamer-4.u61	The amendment in part No. 9 gets judgment, then, Room.
ParlaMint-NL_2018-04-12-tweedekamer-4.u62	That's right. Then I come to the amendment to item No. 10. It is Mr Veldman's question as to what should be the case if the primary proceedings do not concern trade secret and trade secret only as evidence in another type of case. Is it possible, then, for the court to determine that this document is only made available in a more limited context, precisely in order to protect trade secrets? That seems reasonable in itself and also in line with the intentions of this law. I shall therefore leave this amendment to the House's discretion.
ParlaMint-NL_2018-04-12-tweedekamer-4.u63	Mr Van der Lee has a question about this.
ParlaMint-NL_2018-04-12-tweedekamer-4.u64	It could be a very unrelated lawsuit, for example a criminal case involving someone who worked at that company. Maybe that secret could be a motive in that criminal case. Let me give you an example. If this amendment were to be adopted, would it not be possible to appoint it by appealing to this law?
ParlaMint-NL_2018-04-12-tweedekamer-4.u65	The decision to spread something in a more limited circle is ultimately up to the judge. The court will have to determine whether it serves a primary interest to know more about business secrecy, or whether there is a secondary interest. Again, it is explicitly not an automatism. Several questions have been asked about terms of competition. That is a field that is extremely much wider than just business secrets. This is a field in which several parties in the polder have been harassing each other for years. In my view, Mr Van der Lee's introduction revealed that the trade union movement in particular is one of the parties there. That's right. I find this not only for that reason, but also because this is a much, much wider field with an infinite number of broader considerations, not at all the right platform to discuss it. This is a field in which the Minister of SZW and the Minister of JenV have been working very closely together for years. It's a legal-rich area. I'm not even gonna try to approach those nuances here in any way. I am simply not prepared to drag this whole area into this. The competitive clause may as well be about the hairdresser so to speak. You're working at a hair salon. I see Mr. Paternotte looking a little surprised at this new professional image and you're leaving and sneaking around with the customers you used to chat while you were cutting your hair. That has nothing to do with this, but it is clearly something that is subject to competition. Since this is a much wider field, I do not think that we really need to put this area down in the context of this discussion. I am not really prepared to do that either, because that is what we are doing in the field, because that is what we are talking about here.
ParlaMint-NL_2018-04-12-tweedekamer-4.u66	The example of the hairdresser raises a question with Mr Van der Lee.
ParlaMint-NL_2018-04-12-tweedekamer-4.u67	Certainly, although I fear that I will need it less in the future, fortunately for the time being. I have a question about this. Does the Minister at least recognise that he has some influence on that whole area with this bill? Given that confidentiality is better regulated, will the discussion on whether the competitive clause in its present form is necessary be fed? Does the Minister recognize that?
ParlaMint-NL_2018-04-12-tweedekamer-4.u68	Well, I don't even know yet. How does Mr Van der Lee see that? How would this change?
ParlaMint-NL_2018-04-12-tweedekamer-4.u69	At a time when you are regulating this law that companies can better protect themselves from the disclosure of business secrets, they have fewer reasons to agree on terms of competition with their employees. That seems pretty obvious to me. Surely you can be generous in that and say that it has an influence on that discussion?
ParlaMint-NL_2018-04-12-tweedekamer-4.u70	I do not want to deny an influence, but this is a very limited part that can be covered by competitive clauses. Taking customers is, I think, the most common motive. When you start working at a law firm, you're often told by default that you're not supposed to bring customers if you run. And lawyers are gonna run off again. This is undoubtedly interrelated, but I would not say in any way that we can or must take a very important step here with regard to the protection of trade secrets. For that, the field is simply too complex. We don't do that in an afternoon. I understand the interests of the trade union movement; not a bad word about it. But this is just not the place for that. We shouldn't be pulling this in. I have another question from Mr Veldman. And I have a few more later; this is a somewhat arbitrary order. Mr Veldman wondered whether the evidence should now be dealt with in greater detail. The Minister of Justice and Security is currently working on a bill on the modernisation of evidence law. That is, of course, because the possession of evidence once applied to patents. This will now have a broader effect and could thus also affect trade secrets. It could affect many more things, and that is why it makes sense to regulate it in general. That is what happens with the bill on the modernisation of evidence law. The colleague in question is currently considering that a consultation on this could start in May. It takes into account the company's assets in this area. In that sense, that is reassuring. This too should not be dealt with specifically here, but in a broader legislative process, which we hear more about before the summer recess. Mr Van der Lee asked what we do with situations where the atmosphere in the organisation is at stake. To be honest, I don't see the relationship with trade secrets. If someone steps out and says that the atmosphere in the organization is not right, he must do so, but that is not a business secret. Conversely, I don't think it's necessary to say that I'm throwing the secret technique for making this product on the table and, by the way, the atmosphere in the company is not right. Those aren't things that are related to each other. You can bring up the atmosphere in the organisation in all kinds of ways without affecting this legislative process at all. I believe that Mr Van der Lee still has a question about that.
ParlaMint-NL_2018-04-12-tweedekamer-4.u71	Well, the atmosphere in a company... I was actually specifically concerned with an atmosphere in which admitting mistakes is not negotiable, whereas those mistakes may have fatal consequences. Is it possible, in your view, for people to continue to report them and not to call upon this law to prevent people from condemning these kinds of things?
ParlaMint-NL_2018-04-12-tweedekamer-4.u72	I'd like to go further. I don't see what it has to do with each other. There are all kinds of cases where there was no atmosphere in a company to recognise certain mistakes, which led to major accidents. We once saw an entire spaceship explode as a result of an issue with O-rings, where there were ten engineers in the organization who could tell us that it would go wrong. But honestly, I don't see how this is related to business secrets. It seems to me that parties should be free to discuss this. At the very end, of course, it is up to the court to determine what a business secret is and whether there has been any action in accordance with this law. Mr Paternotte asked me to be in touch with my colleagues on confidentiality issues. For example, he mentioned diesel gate and wondered if something like this could still be made public. Yeah, right. I don't need to talk to my colleagues about that. This is exactly the kind of example where the public interest is a title on the basis of which someone can call the shots. Mr Paternotte looks a little confused, I see, but perhaps that is the same look I had when he asked his question. I interpreted him that way, but if I did that wrong, I simply didn't understand his question. Then Mr Paternotte asks what we need to do to make this law public. I don't know the article numbers by heart, but there are three conditions under which something is a business secret. One of them, of course, is that you've made an effort to keep the secret a secret. Is that even known to companies? For two reasons, I say that I do not have to make such an effort. You must always make an effort to reveal things that change, but that a secret must remain secret is of all times. This is even something that has been taught to us since primary school. Secrets are a secret, otherwise they're not secrets anymore. I don't have to tell the Netherlands that the law on trade secrets doesn't protect you if the secret is no longer secret. I think this is obvious. I do think it is useful to point out to companies what is changing, namely that they have a certain amount of extra protection when someone makes it public despite their attempts to keep it a secret. We do this through channels, such as the RVO, the Netherlands Patent Centre and the Benelux Office for Intellectual Property. Those channels should be used to point out to entrepreneurs that they benefit from additional protection. In any case, the point of keeping a secret seems obvious to me.
ParlaMint-NL_2018-04-12-tweedekamer-4.u73	Of course, the Minister is not about SMEs, but Mrs Van den Berg was right to point out that a very important advantage of this law is that it is not necessary for a company to have a large department that lays down, ensures and manages intellectual property rights, but that something can automatically be a business secret if sufficient measures have been taken to make it clear that it is a business secret. That's why I asked the question. We have a law now, but it doesn't mean that trade secrets are already insured. A company has to do something.
ParlaMint-NL_2018-04-12-tweedekamer-4.u74	Yeah, that's right.
ParlaMint-NL_2018-04-12-tweedekamer-4.u75	That is why I asked the question how you are going to ensure that those small companies which do not follow this treatment here and do not have lobbyists here know that they must take action if they feel that this law is better protected.
ParlaMint-NL_2018-04-12-tweedekamer-4.u76	For this law too, we are still in favour of this law, because it is not even by the House of Representatives.The practice is that someone protects his secrets that he has not yet patented. That's normal. SMEs know what to keep secret. We don't have to teach them that. There are many things in which we can support SMEs, but not here in particular. The only thing that changes is not that one should keep secrets secret, but that if someone walks out with them, you can do something about it. That's what this law does. The point that Mr Paternotte is concerned about, namely whether SMEs protect their secrets sufficiently, does not change. They always have to. Again, this has been poured into us with the dolphin. I know few SMEs who say: the secret recipe of my special local cookie is on the big clock, so my competitor can bake that cookie too. No, that's not how SMEs think.
ParlaMint-NL_2018-04-12-tweedekamer-4.u77	Of course, that's not what I'm talking about. Let's go back to the hairdresser. Suppose that hairdresser has a very unique method of helping politicians get a coupe soleil. Then of course it is important that the hairdresser has made it sufficiently clear to the hairdressers and hairdressers that it is a unique method and it is not intended that they publish it in public so that other hairdressers can offer the same service. But they must know that they must meet all three conditions, including the third condition of trade secrecy. That touches on the question I asked about the many confidentiality clauses that are circulating on the Internet. There are all different formats, all of which contain different things. The question is whether they all meet the legal requirements.
ParlaMint-NL_2018-04-12-tweedekamer-4.u78	That is a case-by-case assessment. In one case, we want to ensure that there are no more politicians with coloured tints in the Chamber and the staff must be instructed. In the case of other trade secrets, it is another matter. Mr Paternotte overestimates not only the tasks but also the capacity of the public authorities to assess and even issue directives on these terms from this seat. That's an unstoppable task. It's about business secrets that we don't know, because otherwise they're not business secrets. To see if any kind of term would be sufficient for that: I will not begin because I would not know where to begin. That's an unstoppable task. Mr Paternotte cannot possibly expect that from the government.
ParlaMint-NL_2018-04-12-tweedekamer-4.u79	A little extra to Mr. Paternotte's question. I do not think that the government should decide what a provision may look like, because it may vary on a case-by-case basis. Sectoral organisations also have a role to play. However, when disseminating information on the existence of this law, can the Minister not indicate simultaneously: "Dear SMEs, if you want to make optimal use of it, do you have to ensure that you have included a confidentiality clause and a competitive clause in a contract of employment?' What that term should look like is something the Minister rightly said was not about, but it would be nice if he could take this point with him in the explanatory statement of the law.
ParlaMint-NL_2018-04-12-tweedekamer-4.u80	That's going in a direction that I like more. In the information on this law it should be stated that someone is also making an effort to keep it a secret. I do not want to go so far as to say that it has to be with a non-disclosure agreement, a non-compete clause or whatever. Because that is just different from one case to another, and I cannot say much about that. It is so much at the heart of this legislative proposal that it is a question of trade secrets which have to comply with those three conditions that this will have to be taken into account in communication. I'd like to go along with that. I hope that this will also remove Mr Paternotte's perhaps underlying concern.
ParlaMint-NL_2018-04-12-tweedekamer-4.u81	I regret that the Minister suggests that I would say here that we should draw up some sort of state secret declaration. I didn't say that.
ParlaMint-NL_2018-04-12-tweedekamer-4.u82	That's right.
ParlaMint-NL_2018-04-12-tweedekamer-4.u83	I have said that there are dozens of different formats going around and that I think it is worth checking whether this practice is in line with the requirements of this law. Indeed, in line with this, Mrs van den Berg's request to communicate very clearly, precisely to parties involved, but which do not closely monitor the development of this new law and what changes and does not change.
ParlaMint-NL_2018-04-12-tweedekamer-4.u84	I think it is a good idea to include in the communication on this law that one of the important prerequisites is that parties themselves have made an explicit effort to keep a business secret. It seems to me not only unwise, but also impossible, without knowing the specific business secrets, to give a ruling or to maintain a certain confidentiality statement. I simply cannot say much about that. I don't think that's gonna work. But I do not put words in Mr Paternotte's mouth. "State secret declaration" is his word. I'm not saying that, I'm just saying that it's impossible for the Empire to judge individual cases. We may agree that the communication on this new law, he would pass through the Upper Chamber, should take account of the need to take appropriate measures to preserve a business secret. I don't think I'm quite through the questions yet, but I'm gonna take a look at it. Yeah, it's me, in my opinion. I am therefore through the points and the amendments, Mr President.
ParlaMint-NL_2018-04-12-tweedekamer-4.u85	Thank you. This brings us to the end of the government's first term. I look at the members: is there a need for a second term? I see everyone shaking no. All the questions have been answered properly? That's good. Then we came to the end of the treatment of the Protection of Trade Secrets Act.
ParlaMint-NL_2018-04-12-tweedekamer-4.u86	The vote on the law and its amendments will take place on Tuesday. I shall suspend the sitting until 2.30 p.m.
