ParlaMint-NL_2018-10-18-tweedekamer-17.u1	The next item is the continuation of the budget debate on VWS.
ParlaMint-NL_2018-10-18-tweedekamer-17.u53	It is perhaps efficient to do this thematically, because then everyone will be aware of the subject.
ParlaMint-NL_2018-10-18-tweedekamer-17.u54	Yes, of course that is exactly what we want! Mrs Dik-Faber and Mr Van der Staaij have asked a question about the image of people with disabilities. Indeed, I think it is important that people with disabilities are visible in society. I'm sure that will contribute to a more positive picture. Those programmes are particularly unlimited!, What we have talked about before, but also Full life... contribute to this. I can't imagine it any other way. Campaigns can also contribute to this. Campaigns have also been launched in recent years. But I would like to participate from the program Unlimited! pay attention to this positive image in the coming years. I would like to talk to the partners involved, because it is not just government, it is also, for example, companies, entrepreneurs, all kinds of parties in the social sector, and we are talking about how best to shape it. So I actually see your question as a homework assignment for me. I'd like to get to work on it and I'll get back to you in early 2019. Then I come to the amendment tabled by Mr Bergkamp and Mr Hermans on innovation in disability care. The authors actually say that everything is happening in disability care, a lot of beauty and news, but it could be much faster and, above all, much wider embedded in the whole quality development of disability care. I recognize that image. That is also the reason why we have freed up budget in the Full Life Programme for innovation impulses in disability care.
ParlaMint-NL_2018-10-18-tweedekamer-17.u55	Minister, I note that you have already responded in writing to the amendment. You don't have to repeat everything.
ParlaMint-NL_2018-10-18-tweedekamer-17.u56	Not everything?
ParlaMint-NL_2018-10-18-tweedekamer-17.u57	No.
ParlaMint-NL_2018-10-18-tweedekamer-17.u58	You just want me to tell you the final judgment, of course.
ParlaMint-NL_2018-10-18-tweedekamer-17.u59	I think that's very wise.
ParlaMint-NL_2018-10-18-tweedekamer-17.u60	Let me do that: it seems to me to be a sensible thought, so I would like to leave the judgment to the Chamber. Yeah, that's all the excitement, Mr. Chairman.
ParlaMint-NL_2018-10-18-tweedekamer-17.u61	Yeah, it's already on paper, isn't it?
ParlaMint-NL_2018-10-18-tweedekamer-17.u62	It was a marvel of a build-up in the argument. I'm gonna go ahead with the old block. In order to prepare ourselves for that society with substantially more elderly people, we closed the Pact for Elder Care, which now has 170 parties, to ensure that older people feel valued and well-known and can truly participate in our society. Part of that pact are those programs Langer Home, Home in the Nursing Home and One against loneliness. One of the most strong observations that you made yesterday is that older people living long at home and unable to go to a nursing home need support and that, at that point, Mrs Sazias called it a gap, should actually do more to bring about new home care arrangements. The SP, of course, referred to its own plan for the care neighbourhoods and asked, now that it has been enthusiastically responded to by a majority of and I think even the entire Chamber and by the Cabinet, when it comes to action. A few things about that. One. We're going to get a picture of each region that has a local task at this point. We also create a support team to help with that. Two. We help initiatives aimed at checking whether older people still live properly, for example residential coaches. There are many beautiful initiatives in municipalities, but they are quite individual initiatives in municipalities. In order to learn from this and spread it, we work together with the municipalities. The third is the actual support of the care neighbourhoods in this context, as well as of new forms of housing and care. That is why we have created an incentive arrangement. The SP's question in the memo consultation was whether the care neighbourhoods could hitch a ride on that. The answer is yes. That arrangement is in the final phase. She'll be published soon. There are a lot of candidates for it already. The scheme will enter into force on 1 January. It actually sees three phases of construction. The question was: does it have a direct effect? Yeah, it has a direct effect on every phase. It's about projects in the planning phase. Older people come together to start a new initiative, for example. Then we'll support the planning phase. We'll do that right from day one of the start of the scheme. Two. In the development phase there is talk with an architect, there is purchase of land. Then the scheme offers the opportunity to take out a loan. That too is just as readily available as soon as the scheme is available. The third is the actual realization, the construction. Then it can be a guarantee from the bank, for example 15%, so that a loan can be made. This is also possible from day one. There is already a great deal of interest in this scheme, so I hope that this type of initiative, which is very similar to the own-initiative paper you have produced, will be able to help lift it to the scheme. In addition, we all do other things, but you already know them all. I am, of course, terrified that I am being addressed again by the chairman. Mrs. Agema asked about the nursing homes. She asked me if I would be willing to keep empty nursing homes to transform them into housing units with lower rents, for example. Eventually owners of that real estate decide for themselves what happens to it, but that has actually already been used quite well. The rental of those empty inpatient places is already taking place. We've been looking into that. It appears that in recent years about half of the healthcare providers with such care homes that became empty have been renting out those vacant inpatient places. They offer within the walls of that former nursing home an arrangement based on the separation of living and care. In addition, you can see that they are actually being converted into new concepts in the area of living and care. We also discussed this in the discussion of the SP own-initiative paper.
ParlaMint-NL_2018-10-18-tweedekamer-17.u63	There's been an interruption by Mrs. Dik-Faber.
ParlaMint-NL_2018-10-18-tweedekamer-17.u64	I, too, have asked questions about this. I have seen that the Minister has responded to this, but what he does not appoint are the elderly who leave a social housing. His introduction was about elderly people leaving a house for sale, joining hands and living apart. Indeed, I see a lot of initiatives in the country. It is good that this is streamlined and that we are looking at where rules can be adapted. It is also a good thing that we have an innovation regime, but in fact these housing corporations should simply move.
ParlaMint-NL_2018-10-18-tweedekamer-17.u65	The Minister.
ParlaMint-NL_2018-10-18-tweedekamer-17.u66	What does the Minister think?
ParlaMint-NL_2018-10-18-tweedekamer-17.u67	I think the question is clear.
ParlaMint-NL_2018-10-18-tweedekamer-17.u68	He is working with the Minister for Foreign Affairs on an action programme. What are the housing corporations gonna do?
ParlaMint-NL_2018-10-18-tweedekamer-17.u69	That is why I have been particularly interested in buying, but it is absolutely true: housing corporations, of course, have the perfect opportunity to organise this well. They know who's in their corporation, they know who's in their social housing, and they also know the pressure on the social rental market. So it's the landlord who can have an early conversation about questions like "isn't that house getting too big?" And "aren't those stairs starting to get very clumsy?" Mr Ollongren is talking about this with the housing corporations. We have lived together the line of action and created care. This is one of the points that we need to work on further. By the way, we see corporations that do, but it is still too little. There really can be a lot more there. So I'm actually totally in agreement with Mrs Dik-Faber.
ParlaMint-NL_2018-10-18-tweedekamer-17.u70	Enough? No, one more follow-up question.
ParlaMint-NL_2018-10-18-tweedekamer-17.u71	I'm tasting a huge drive with the Minister and his colleague. I also think it is right for the government to play a leading role, because the share of social housing for this group of elderly people is simply undervalued. It is very good that there are enough private initiatives, but we really need social housing.
ParlaMint-NL_2018-10-18-tweedekamer-17.u72	I think you agree.
ParlaMint-NL_2018-10-18-tweedekamer-17.u73	I have the answer here, too. Of course, I'm going straight to that hole that I made an important point of yesterday. We do indeed have the Langer Home programme, as you say in your reply. That is, of course, a very nice programme on paper, but it is precisely because the reality is different. We can use fine words here, but reality is different. That is also the case when you say that through the Langer Home programme, we need to achieve a sufficient supply of suitable homes and new, possibly clustered forms of housing for the elderly. Enough supply of suitable homes? You yourself have just mentioned all your colleague Ollongren. Of course, there's an overlap with that.
ParlaMint-NL_2018-10-18-tweedekamer-17.u74	What's your question?
ParlaMint-NL_2018-10-18-tweedekamer-17.u75	Are you aware of the enormous problems in the housing market, the tightness, the stagnation, the high prices? Are you aware of this and...
ParlaMint-NL_2018-10-18-tweedekamer-17.u76	The Minister.
ParlaMint-NL_2018-10-18-tweedekamer-17.u77	Do you understand how to make this work?
ParlaMint-NL_2018-10-18-tweedekamer-17.u78	I know very well what Mrs Sazias says. I already said in my introduction that there is no button on the department to push very hard and suddenly there are all houses ready for you tomorrow. That's not how it works. It's very tough. That is also why I am hanging out with fellow Minister Ollongren, first in the region to look at what needs to be done, what demographic development looks like, how many homes are needed, what type of housing, in order to get a good picture of this local task. That's the first thing that matters. The second thing that matters is something that has been developed in some municipalities: how do you help or how do you coach your elders to think on time about that step to the next home, to pick it up together with the municipality, in a support team where the municipality can help? The third is that new forms of housing and care must be built. That is what we discussed in the discussion of the SP own-initiative paper. That is why we have set up an incentive arrangement. In addition, we do other things: with a knowledge programme, with the Rijksbouwmeester, with a community of practice. We've put a lot of things in motion, but they don't deliver homes immediately tomorrow.
ParlaMint-NL_2018-10-18-tweedekamer-17.u79	The Minister has said it very kindly. I'd appreciate it if he'd give us a little more urgency.
ParlaMint-NL_2018-10-18-tweedekamer-17.u80	Oh, gee, I don't know if that would make everyone equally excited, but I'm working. Mrs Hermans asked if there is any added value of combining knowledge in the nursing home and knowledge in the neighbourhood. I can definitely see that added value. I can see that this knowledge is still being used too little. I think I was addressed to that last year by Mrs Ellemeet. With the Langer Home programme, we are already doing a number of things to strengthen that. The most important thing is the measure to make the specialist on old age medicine also available in the first line. That helps. We have created an additional incentive arrangement for this. This means a doubling of the commitment of the senior medical specialist in the first line compared to 2017. This is from the nursing home into the neighborhood, but the other way around is just as necessary. You see beautiful things, like the intake starts in the neighborhood and there's some kind of warm transfer from neighborhood care to the nursing home. These examples are not visible everywhere in that way. When it comes to taking advantage of the knowledge of the nursing home in the district, but also about getting acquainted in the district to make the switch from home to the nursing home as smooth as possible, I think we really still have work to do, and I'd like to get started with that.
ParlaMint-NL_2018-10-18-tweedekamer-17.u81	Let me first say that that extra money available for the employability of the specialist on old-age medicine is a very important step. The Minister writes in reply to the complex question of care in crisis situations at home, but I was referring to my question about the situation before that, because that is what we would like to avoid, in order to make the transition to the nursing home more flexible, so that you can land a little warmer when you get there. This is not only because of the specialist in old-age medicine, but also because of the knowledge that the nurse, the nurse, or perhaps the helper from the nursing home has. How do we take that knowledge from the nursing home to the neighborhood?
ParlaMint-NL_2018-10-18-tweedekamer-17.u82	That happens too, not everywhere, but it does happen. It is often about people who are known to be going to the nursing home in a few months' time. Then it just starts with getting to know: how does a person live, what is a person's life story or background? You could call that a wonderful example of real personal care; the desire to get to know someone, to understand their misunderstood behavior, so that that transition from home to the nursing home goes as smoothly and easily as possible. There is a lot going on in there, but I really think there is a lot more to be done there.
ParlaMint-NL_2018-10-18-tweedekamer-17.u83	Well, at least we're talking about the same thing now, but I have one last question. If it is happening now, but not yet enough, does the Minister have any idea what exactly the bottlenecks are?
ParlaMint-NL_2018-10-18-tweedekamer-17.u84	Perhaps it would be wise if I told Mrs Hermans that I would like to talk to the parties involved in Langer Home about what more can be done. I think there is a lot to learn. There are really some very nice things happening, but how do we make sure that this way of working is widened? What more does it take? I really think that more research can be done on this, so I would like to work on that with the parties involved in Langer Home.
ParlaMint-NL_2018-10-18-tweedekamer-17.u85	The Minister is right to point out that it is very desirable to make the transition of older people from home to the nursing home as flexible as possible, for example because there is an earlier acquaintance. However, this is still happening very slowly. There are indeed some nursing homes that see the space to do so. A lot of nursing homes don't experience that space. The Minister also rightly states that the specialist care for the elderly does not leave the nursing home for nothing and goes into the neighborhood. Does the Minister agree with GroenLinks that we should extend these opportunities not only for the specialist on old-age medicine, but also for the nurses and caregivers who are now working in the nursing home, so that they can already accompany the elderly who are going to make the transition at home?
ParlaMint-NL_2018-10-18-tweedekamer-17.u86	This is kind of a complicated question. He sounds very simple, but it is a rather complicated question, because this also has to do with funding. Of course it has to do with that. Can you already provide care for counseling when it's really about caring while someone isn't actually in that nursing home yet? Can you meet someone you know is coming? For example, can you start working with the care team that now provides care at home, so that you really make a warm transfer? I'd think that's just possible. You're actually asking a similar question. Let me put it this way: I like to discuss this with the parties. Perhaps a few things should be investigated for that. What would be desirable to ease the transition from home to the nursing home? Where are the obstacles to just doing that? I do think that there is much more possible than we think, but at the same time it is not unlimited; I believe that too. So let's see what we can do better and how we can do better.
ParlaMint-NL_2018-10-18-tweedekamer-17.u87	It seems very important to me to see what the possibilities are and how we could expand them if necessary. Of course, we should not think from the systems that we have created laws and thus boxes for the elderly. The point is that we support the care journey that the older person makes. The quality of life of older people should also be central to nursing care. As far as GroenLinks is concerned, this also includes the switch from home to the nursing home. As far as I am concerned, that must be an essential part of the good nursing care we want to provide.
ParlaMint-NL_2018-10-18-tweedekamer-17.u88	Agreed. If you put it that way, I certainly agree with you. A lot of people will agree with you, but they are still not doing enough. We can see that. So I really think it is important, as I have just said to Mrs Hermans and also to you, to look into this more closely: what should be better and what do we apparently encounter in practice? What options should then possibly be extended? Let's get to work on that.
ParlaMint-NL_2018-10-18-tweedekamer-17.u89	Mr Van der Staaij has another question.
ParlaMint-NL_2018-10-18-tweedekamer-17.u90	I do have another question, indeed, about vulnerable elderly people at home who are not yet going to a nursing home. This summer I saw a message from Zorginstituut Nederland, which indicated in the start note that there is still a lot wrong when it comes to sustainable funding and that sometimes there is also a wrong picture of what legislation and regulation would mean. In addition to the programmes already in place, are the signals from the start note being quickly picked up?
ParlaMint-NL_2018-10-18-tweedekamer-17.u91	Yeah, the Healthcare Institute did put that in the picture. It is about the financing and the possibilities of home care, the arrangements of home care. That is just really part of all the actions that are going on in the framework of the Langer Home programme. So that's what we're getting into. In addition, of course, there will be a new funding model for community care. So that too is in full swing. I believe that the new financing model would be there in the first half of next year. That is what we are going to talk about. Of course, that has to do with this, because that is precisely one of the observations when it comes to the long-term, sustainable funding. That is certainly what we are working on.
ParlaMint-NL_2018-10-18-tweedekamer-17.u92	I assume that this also applies to the information aspect. I notice that we often talk about bottlenecks in the system, but sometimes it turns out that something can be done, but that there is far too little awareness of these possibilities.
ParlaMint-NL_2018-10-18-tweedekamer-17.u93	That's absolutely true. We talk too often about bottlenecks in the system. Usually, the same system offers endless possibilities. So that's absolutely true. Only, to have the knowledge that there is much more possible than you initially thought, that doesn't happen automatically. We will indeed have to help to make that known. Sure.
ParlaMint-NL_2018-10-18-tweedekamer-17.u94	I would also like to talk about the right to challenge. The Minister's written reply talks about a number of initiatives that are already possible under the Long-Term Care Act. What I find difficult is that within the Wmo it is really a legal right, while within the Wlz that is not the case. This means that within the Wlz it mainly concerns new initiatives, rather than what is already happening. Wouldn't it be useful, for example, to explore what a right to challenge within the Wlz framework could mean?
ParlaMint-NL_2018-10-18-tweedekamer-17.u95	I believe that my predecessor has already been working on the question of what would be possible. This eventually led to the anchoring of the right to challenge in the Wmo. In the Wlz the pgb is actually also a kind of right to challenge avant la lettre. It may be a slightly less trendy term, but you can do it incredibly much. That's one. Secondly, if you compare the Wlz with the Wmo, the Wlz is of course really different in nature. There are much heavier demands on the quality of care and an inspection that needs to be monitored. So imagine that in the context of a right to challenge, a club of residents in a neighborhood comes up with the idea of taking over a nursing home location. Of course, that is also a bit creepy, because what does that mean for the depreciation of the real estate? What does that then mean for the supervision of the inspection? What does it mean for the responsibility for the quality of care? So who's the person to talk to? These are all guarantees that are now very tightly regulated in the Wkkgz. They are strictly regulated in the Wlz and in the supervisory laws. How do you do that in the context of a right to challenge?
ParlaMint-NL_2018-10-18-tweedekamer-17.u96	The Minister immediately gives an example of the extreme spectrum, of taking over an entire location. You can see that there are more and more intermediate forms in which the neighborhood and the nursing home are already working together. I think there might be parts there that you think are: hey, wouldn't that be a possibility that, for example, there would be a little more participation? So a study that shows what can and cannot be done within the Wlz seems to me to be very useful, mainly because you involve society better. I'd like to give that to you anyway.
ParlaMint-NL_2018-10-18-tweedekamer-17.u97	I'd be happy to investigate what's possible. Well, let me give you the next win warning. A legal anchoring in the Wmo will only gain meaning through a municipal regulation, at the time when a municipality also makes this possible in the procurement, for example. Where that can be quite legally anchored in the Wmo, this will be accompanied by a few more objections in the Wlz. At the same time, I say with Mr Van der Staaij: there are so many possibilities within the Long-Term Care Act. And by the way, also within the Health Insurance Act. The system we have in the Netherlands is at most a bit complicated, but there can be anything.
ParlaMint-NL_2018-10-18-tweedekamer-17.u98	I would like to return to the previous point. It's a complicated matter, so I had to get through what the Minister is saying about it. The Minister indicated that it is a good thing that people who work in a nursing home, not only the specialist elderly medicine but also other caregivers, are already familiar at home with the people who are going to make the transition to the nursing home in the not too long term. That's what the Minister said. But does the Minister agree with me that this acquaintance is more than just a chat, like, "Oh, who are you?"', But is it important to use the expertise of people who work in the nursing home in the final phase that people still live at home before they make the switch? I'm not saying they have to take over the work of community nursing. I say it's very desirable...
ParlaMint-NL_2018-10-18-tweedekamer-17.u99	Your question is clear.
ParlaMint-NL_2018-10-18-tweedekamer-17.u100	Well, I have another explanation, Mr. Chairman. I mean that it is very desirable that the community care should be able to talk to those people who work in the nursing home, to also think about the best care in those last weeks at home. That's more than just getting acquainted.
ParlaMint-NL_2018-10-18-tweedekamer-17.u101	I very much agree. You had me at hello, I'd actually like to say. I said this in the direction of Mrs Hermans, because she actually asked this question. It's exactly what it is. Getting acquainted is one cup of coffee, you might say, but that's very thin. That happens, of course, but it is very thin. It's about getting to know people; that's something else. You also need to get to know what people need when it comes to personal care. What's someone's life history? What does the treatment look like now? Is there any misunderstood behavior? What's it gonna take? What does Mr. or Mrs. really do? What kind of care does it really take? If the knowledge and expertise of the neighborhood nurse and the knowledge and expertise of the nurse from a nursing home meet, then things are going well. Then it's smooth. I think that's what you want. That's what I want. This is happening very slowly. I think a lot of parties think this is important and would like to do so. If a lot of people think it's a good idea, why doesn't it happen more often or more? Apparently, there could be obstacles. They are there in any case when it is actually about providing care, but so you say. That's not what you're talking about either. But then, of course, there are these obstacles. That also makes sense...
ParlaMint-NL_2018-10-18-tweedekamer-17.u102	I think you agree.
ParlaMint-NL_2018-10-18-tweedekamer-17.u103	...but real transfer must be possible.
ParlaMint-NL_2018-10-18-tweedekamer-17.u104	I would ask the Minister to continue his speech. I hope he's already at the end of his block about everything that affects the position of the elderly.
ParlaMint-NL_2018-10-18-tweedekamer-17.u105	Well, I have another amendment. That is the amendment tabled by Mr Slootweg and Mr Hermans on long-term care and support. That is actually a bit the counterpart of the amendment on disability care. This concerns long-term care. It is about the organisation of the innovation challenges in nursing care. We did, but it was actually done. This amendment says that you must continue to do so and you must also involve more nursing homes. I would also like to leave the judgement to the Chamber.
ParlaMint-NL_2018-10-18-tweedekamer-17.u106	It concerns the amendment in respect of item No. 19. The Court of Justice shall decide on this matter. Next block.
ParlaMint-NL_2018-10-18-tweedekamer-17.u107	I go to a number of questions that have been asked by the various parties. I've got a few more ahead of me. The first question I would like to put orally is the question: are you prepared to introduce a single cost-covering rate for nursing home care? It is not the first time Mrs Agema has raised this idea. I would like to explain why I am not enthusiastic about this. There must be reasonable cost-covering rates for nursing home care. It is up to the NZa to establish that. So when it comes to a cost-covering rate, the answer is, of course, yes. But one rate for the entire nursing home care would not do justice to its complexity. Last year the NZa consulted the healthcare field and concluded that the current funding through variouszzp's has a clear added value. This also helps to finance the variety of clients in institutions in a good way. I think it's best to keep the current variety inzzp's. That is why I do not wish to accept this proposal.
ParlaMint-NL_2018-10-18-tweedekamer-17.u108	That's not the question I asked.
ParlaMint-NL_2018-10-18-tweedekamer-17.u109	Perhaps then you could ask me the question you did ask. Then I can see if I can answer that.
ParlaMint-NL_2018-10-18-tweedekamer-17.u110	The question was about the application of malus regulations and about all kinds of administrative burdens around the tariff. I didn't talk about onezzp this time, merging all the care packages. I would still think that is a very good idea, but I have talked about all the red tape surrounding the rate of all the differentzzp's.
ParlaMint-NL_2018-10-18-tweedekamer-17.u111	Yeah, well, then I didn't hear your question right. I thought I had heard this and had heard it before, which is why I am giving this reaction. The rate must not only be cost-effective, but must also meet what is the question of care. An institution must therefore be able to meet that rate. An indication is needed before azzp can be determined. We have often had the debate on whether or not we can achieve onezzp. That's not what this was about. We have also often had the debate in the vein of: do you have to re-indicate all the time? That is, of course, not the case. A number of times people go from a lower zzp to a higher zzp, but of course it's not that you check out all those zzp's. So I honestly think that there is not as much else as possible. What could be speeded up, at most, is what I come back to in the direction of your Chamber.
ParlaMint-NL_2018-10-18-tweedekamer-17.u112	This is not really the question I asked. I asked this question. At some point, you're gonna have that fare. It is a pity that this rate has not been reviewed in the care and care sector. But then you have that fare and then there is a complete administrative burden towards the health offices, which, for example, apply a malus scheme: first standard 3% off. At the other standard 8% off. Then they have to renegotiate a few percent and produce a lot of evidence. All the answers given by the Minister are answers to questions I have not asked. I said, "Stop the malus scheme, for example." Stop with all the paperwork coming in. First 8% off, then another percent off.
ParlaMint-NL_2018-10-18-tweedekamer-17.u113	I think your question is clear. The Minister.
ParlaMint-NL_2018-10-18-tweedekamer-17.u114	This is just the purchasing process. This is the procurement process between health offices and nursing homes. If there is room for reducing the administrative burden, it must certainly be used. However, the examples mentioned by Mrs Agema are not necessarily the sources of many administrative burdens. Accountability, of course, is. Purchasing procedures may in any case be administratively burdensome. That is why we are having this conversation with health offices and nursing homes.
ParlaMint-NL_2018-10-18-tweedekamer-17.u115	So I have flown on all these different indications, for example for the Wlz, the nursing homes. For a new, higherzzp you have to go through that whole indication circus again and again. That is already a big administrative burden. In addition, institutions must be able to scrape per cent because they are subject to a malus regime. Then the Minister can say 'that is a perfectly normal procurement process', but that, in his view, is perfectly normal, creates a huge administrative burden. I can see again that the Minister has his mouth full of the rules and wants to have an hour of responsibility, but always doesn't care at home when it comes to this sort of thing. Just get rid of the malus scheme!
ParlaMint-NL_2018-10-18-tweedekamer-17.u116	What I am saying is that purchasing can indeed lead to administrative burdens. That is exactly why we are looking with care offices and with ActiZ to see how we can minimise the administrative burden of purchasing. That is something other than abolishing a malus regime. What is normal about the purchasing process is that the NZa sets maximum rates. So it makes sense that not all institutions are at that maximum. That is not so much the administrative burden. The most administratively burdensome are accountability agreements which subsequently result from that procurement. Where less can be done and where health offices can do less, they will be prepared to do so. That's exactly the conversation I'm having with ActiZ and the health offices.
ParlaMint-NL_2018-10-18-tweedekamer-17.u117	I suggest that the Minister continue his speech. I think it's gonna be a repeat of moves.
ParlaMint-NL_2018-10-18-tweedekamer-17.u118	Actually, no, Mr. Chairman. I actually just wanted to conclude...
ParlaMint-NL_2018-10-18-tweedekamer-17.u119	You've just concluded.
ParlaMint-NL_2018-10-18-tweedekamer-17.u120	... that if the Minister intends to bring the administration back significantly, he will have to come to terms at some point. He cannot just point to the institutions themselves and say that a lot of rules are caused by the institutions themselves. At some point, he's gonna have to get over it sometime.
ParlaMint-NL_2018-10-18-tweedekamer-17.u121	That's right.
ParlaMint-NL_2018-10-18-tweedekamer-17.u122	If we make proposals here every time to abolish large blocks of administration and it is always 'no', then he does not get his promise to take an hour off for all employees.
ParlaMint-NL_2018-10-18-tweedekamer-17.u123	The Minister.
ParlaMint-NL_2018-10-18-tweedekamer-17.u124	Let me repeat to Mrs Agema that we are accountable twice a year for the programme (Ont) Regulal de Zorg. There are a number of measures in this programme. The discussion with healthcare offices and care institutions on how to simplify this procurement is part of that. So I'm going to give you back the outcome of that conversation in full precision. Then it is up to you to decide whether you think that's good enough. Mr. Chairman. This was a nice little bridge, because I'm going to continue with a question that GroenLinks has asked about purchasing. I come to Mrs Sazias in a moment to talk about procurement and administrative burdens, but Mrs Ellemeet also mentioned this as an important objection. You did not just mention the administrative burden, because you mentioned, Mrs Ellemeet, many more objections to European public procurement. I think we have discussed it quite extensively in the previous AO, but I very much agree that we need to do everything we can to support municipalities much better. One municipality is really better at it than the other. At the same time, we also see that European procurement law and the principles on which it is based are, on a number of points, just really sanding what we have to find important in the care sector. That is why I have not only set up a whole support programme with PIANOo and the VNG towards the municipalities, but also entered into a discussion with Europe to see what scope is to be found within the European procurement rules. I continue to look forward to the initiative law you have announced, because it seems to me very exciting to extend a European directive by means of a Dutch law. That sounds very exciting to me! I have already told you, Mrs Ellemeet, that I will be behind the typewriter a number of nights if I can, because then I have some ideas. But I think it's very difficult to shape that legally.
ParlaMint-NL_2018-10-18-tweedekamer-17.u125	I would like to keep the Minister in suspense for a moment, but I will not do so for too long, because I understand that the Minister is looking forward to our proposal. It is, of course, about the implementation of the directive and the question of what scope there is. Are these calls for tenders in the care sector within the spirit of the directive? In my view, there was another debate in Europe on procurement two weeks ago and it was said that there was no intention of doing anything about that directive at all for the time being. I think that is why we have to take the initiative here in the Netherlands. Well, I promise the Minister he'll see the proposals before the end of the year.
ParlaMint-NL_2018-10-18-tweedekamer-17.u126	I wish it were the end of the year, Mr President! Then I'll continue with a question the CDA has asked about residents' initiatives. I attach great importance to these residents' initiatives. There is the Netherlands club Take care of each other, where all kinds of district initiatives and residents' initiatives are included. They sometimes do really beautiful things in the field of care, informal care and the combination of informal care and formal care. They have written an advice in my direction with a number of recommendations. I still have to respond to that. Your idea is that your municipalities could support a little more in dealing with residents' initiatives. I would actually like to talk to that club to see what support is needed, because to start with all the municipalities that support seems to me quite a lot of work. But maybe with that dome, I'll take care of the Netherlands before each other can start that conversation. Perhaps that responds to the question you have asked.
ParlaMint-NL_2018-10-18-tweedekamer-17.u127	I think it will be a whole end for me if it could take care of each other at that dome Netherlands. However, I do notice that, since I brought this out, the number of examples of municipalities dealing with it in a somewhat strange way have grown. This knowledge needs to be strengthened in municipalities, because there are also things that really do not need to be, but are more of an interpretation. So I'm also looking for something to help municipalities.
ParlaMint-NL_2018-10-18-tweedekamer-17.u128	Perhaps it should be a conversation with both that dome and the VNG, to see what support needs residents' initiatives themselves and what support needs municipalities have. Maybe I can combine that. Maybe that's in line with your question.
ParlaMint-NL_2018-10-18-tweedekamer-17.u129	The Minister continues his speech.
ParlaMint-NL_2018-10-18-tweedekamer-17.u130	Then I'll continue with a question from the SP. What does the Minister think about the need for older people to go to court to enforce care? First of all, I agree that there is a legalization of care. Having to go to court frequently to get the care you need, is very undesirable, for everyone actually. It's not necessary either. If you're just talking to each other, there's always a good way out. It is true that, in particular, there was less case law just after decentralisation. There was one under the old law, but under the new Wmo there was still insufficient case law. Especially in the first year, you noticed that there have been quite a few lawsuits. There were 2,200 in 2015, which we checked with the Justice Council. You can see that in 2016, it dropped to 1,900. And in 2017, it was 1,200. I wouldn't know for this year. We will not hear that again until next year, but with Mr Hijink I think it is a good sign if it is a trend down. If it did go up, you'd have something to worry about. Then I will go to Mrs Bergkamp, who has made an amendment on forensic medical care and support. I would like to say a few things about that. First, I'd like to put it in context. In fact, the amendment is a special one on an earlier proposal by Mrs Bergkamp herself, by motion entrusted to the cabinet, I believe last year, to have at the GGD Goor, with the involvement of the GGD Amsterdam, strengthened the forensic medical expertise and the way in which it could be secured in the ten regions. I am committed to these ten regions, because those are the police regions. This is appropriate for the justice partners that have to operate in it. There have been agreements made about when who's on the move. For example, when the NFI is switched on, when a doctor other than that of the NFI is turned on. The aim is actually to avoid as much as possible that the investigation of victims should double, so as not to delay in criminal proceedings, not to miss any trace and to provide children with the necessary medical care in good time, truly integral, across the areas of care and punishment. Those agreements are set out in the Handlehandeling Collaboration in criminal child abuse. It is important to implement this hand-out and to establish quality standards. Mrs Bergkamp states that, in addition to the agreements that have been made, there is also a need for specific, specialised expertise from the GGD Amsterdam, which is now available there. I'm sure I'm open to that. A number of conditions are crucial, namely that the Public Prosecutor, the police and the NFI, Safe Home and the Children's Protection Board are well involved in that project and that the hand-out that has been developed is really the starting point. That the starting point is that an investigation always has to take place once and so on. I just mentioned that. In particular, it is with all the parties that the quality requirements that are needed that they actually come about. They must, of course, be useful for possible criminal proceedings. Of course, that's the most important thing. All these locations have to comply with that. I read the amendment in such a way that the injury chamber must at least meet those conditions. You want us to pay for the injury room and see if a second location can be opened and maybe even four. If I may read your amendment in this way, I would like to leave it to the Chamber.
ParlaMint-NL_2018-10-18-tweedekamer-17.u131	I know what the Minister's saying. It must meet a number of conditions. My motivation for tabling this amendment is that we simply see it too little when there is abuse, injury. The beauty of the injury room in Amsterdam is that an independent specialist forensic doctor looks at vulnerable people who cannot express themselves in the event of possible abuse. I understand the terms, but I would like to say one more thing about that. The Latvian office Plus in Amsterdam now works in such a way that there can be several clients. It can be safe at home, but also an elderly doctor from a nursing home or in some cases the police. Of course, different quality requirements are also included in the different target groups. I think it is important to add that. It's not a single sausage. They work for different clients and there are different quality conditions.
ParlaMint-NL_2018-10-18-tweedekamer-17.u132	I can imagine. What is important is that the forensic-medical investigation should be able to be properly used in criminal proceedings. That means that in particular the Public Prosecutor's Office on the front should be able to take a good look. What should this forensic-medical examination look like in order to secure or record the injury found in such a way that it can be used later in criminal proceedings? That's important. Then the content of the terms. I think that the various parties such as the Children's Protection Board, Safe Home, the State's Attorney's Office and the police should get out of there together. I really think that's a debate for professionals. I would like to emphasise the background to the usefulness of information and observations in criminal proceedings, because this is of course important for the Public Prosecutor's Office. The D.A.'s office hasn't been working very hard on the manual on how to deal with criminal child abuse or, broader than that, criminal assault. Securing tracks, securing evidence shouldn't snow under.
