ParlaMint-NL_2018-10-30-eerstekamer-5.u1	I shall reopen the sitting and the debate on the General Political Reviews.
ParlaMint-NL_2018-10-30-eerstekamer-5.u42	That is the same type of question that I had previously received from Mrs Strik and possibly from others. It is not understood that D66 does not fall every time the word "referendum" sits down on her knees and worships it and embraces it. The point is that when we talk about "the" referendum, we need to define much more precisely what kind of referendum we are talking about. In the case referred to by Mrs Strik, it was about the Advisory referendum Act. I have been very detailed in this Chamber about what we think of it, that we do not think it is the ideal form and what form we think it is ideal. The same applies to your question. The proposal to which you refer, which was submitted to the House of Representatives, was a proposal which was dressed up in a way that did not satisfy what we thought should be a binding corrective referendum. That's why. If you listen carefully to how I keep raising this issue, you will hear that, if it comes up with follow-up proposals, I think that the cabinet should come up with good proposals in the sense that they should be coherent, that they should be system-compliant and that they should fit properly into the Constitution. We are not going to use the reflex: every referendum is fine for D66, so we are in favour. It can't be.
ParlaMint-NL_2018-10-30-eerstekamer-5.u43	I was talking about a bill proposed by your party, along with some other parties, and also supported by your party, by Mr Engels' party, in this Chamber at first reading. Then you can expect a party to be reasonably served. She came up with it herself, and she made it through this room. Then it comes to the House of Representatives and what does the party of fellow English do? He says, no, we're not gonna go through with it anyway. And now I hear that you actually thought it was a bad proposal. Surely it would have been better if we had heard the first reading from Mr Engels 'there is a proposal from us here, but it is quite a wrong proposal'? That's weird, isn't it?
ParlaMint-NL_2018-10-30-eerstekamer-5.u44	Yeah, I understand. I assume the situation you describe, that in the Lower House there is a fraction of party A x and that of the same party A in another Chamber y, will not occur with you or very rarely. But reality is this one. My brothers and sisters on the other side have made this decision, with the result that the proposal never came here. Then you can ask me if I like that. Well, that's a responsibility of the House of Representatives at that time and I'm not going to give any further judgment on that.
ParlaMint-NL_2018-10-30-eerstekamer-5.u45	Mr. Kox, finally at this point.
ParlaMint-NL_2018-10-30-eerstekamer-5.u46	Yeah, finally. It is just that the Chamber is trying to understand what the fraction of D66 in this Chamber really wants. I notice there's a bill from Mr. English's party. That will be in the House of Representatives: support. That comes in the First Chamber and is defended here by D66 politicians, and is supported here. Then it goes back to the House of Representatives and then the party of colleague English says: no, now we are no longer in favour. And now he says: I do expect the Prime Minister and the Minister of the Interior to respond seriously to a proposal from the State Commission. One of these proposals is probably going to be "we've heard of Mr Remkes' "a corrective referendum'. Well, then we're not doing the right thing, are we? Well, then, if you're reflective, can I just say that that wasn't so smart?
ParlaMint-NL_2018-10-30-eerstekamer-5.u47	You may ask, but my reflection does not go so far as to reach that conclusion. I'm just waiting to see what exactly the modality the state committee is going to come up with, and then we're gonna see if that's the right one, eventually here when it comes.
ParlaMint-NL_2018-10-30-eerstekamer-5.u48	Mr Engels puts many interesting things on the table. Thank you for that. I appreciate that, including for the debate. You are now again pleading for democratisation and a kind of programme for it. My question is what this will help us to do if we compare this with the analysis that you yourself are giving about the development of our political system, which also indicates that this is suffering from a lack of awareness of direction. That's what you called yourself. Is this going to help us restore reasonableness? You have dropped that word a number of times, restoring reasonableness in our political system. Is this going to help us find a substantive direction? How do you see that?
ParlaMint-NL_2018-10-30-eerstekamer-5.u49	I'd like to break in first. I find it all very interesting, but I think we should leave it to the answer you are going to give. Because we are going very far towards the report of the State Commission, which is not yet available. That debate is coming.
ParlaMint-NL_2018-10-30-eerstekamer-5.u50	I would have liked to have answered, perhaps I would not have met my good colleague, Mr Kuiper and you, that I think I just outlined the reason behind this, namely that the answer to the loss of legitimacy we are seeing and that is increasing and the radicalisation we are seeing must be a revitalisation of the existing system. That's what we believe. We think it is high time we did not maintain the status quo in it, because then this development will become stronger. That is the reason, and I have said this several times in different ways.
ParlaMint-NL_2018-10-30-eerstekamer-5.u51	One more sentence, Mr. Chairman.
ParlaMint-NL_2018-10-30-eerstekamer-5.u52	One sentence, Mr. Kuiper.
ParlaMint-NL_2018-10-30-eerstekamer-5.u53	That seems to me to be relevant to the debate, because it is continuing. I think you want to answer something that has something to do with culture in our society, and that is what you also call it. Your solution is much more instrumental. That's my point.
ParlaMint-NL_2018-10-30-eerstekamer-5.u54	You are right, but you must bear in mind that, as far as I am concerned, structure and culture are always linked. Structural change that does not bring about cultural change is pointless, but it will not succeed without structural change. That is also our belief. Mr. Chairman. I come to another complication about the Constitution. We believe that the current Constitution used in the political debate undermines the meaning of the Constitution. The existing revision procedure of the Constitution offers a minority of a third party an excellent opportunity to work at second reading to adapt the Constitution necessary for institutional reforms and thereby maintain the status quo. I think that has proved sufficient in this Chamber. In addition, it is serious to note that the notion underlying the system of two readings of an electoral judgment on the proposed amendments is a fiction in practice. My group therefore believes that, in addition to the substantive proposals of the State Committee, it is necessary to reflect on the existing revision procedure of the Constitution. That is why, in line with the aforementioned commitment of the Minister of Foreign Affairs, I am now asking the Prime Minister to ensure that a proposal for a less rigid and more democratic revision procedure for the Constitution will also be developed in this context. Mr. Chairman. I now come to the state of the cabinet. Only now. The budget contains a lot of good news, we have heard, and the cabinet does not lack ambition, but my group does not close its eyes to the fact that not much appealing results have been achieved in the first year. In addition, it is not good to find out what vision these proposals have behind them. My group is primarily looking for a coherent story on the quality of the public sector. We see and understand the growing concern about this. After all, we cannot close our eyes to the growing divisions in our society: between poor and rich, between lower and higher educated, between immigrants and natives and between generations. The response to this increased fragmentation in society is not a deviation of the public sector and will, in any case, have to be found in a greater commitment to promoting equality of opportunity. In this context, investment in education is so crucial. A higher level of education increases confidence in the future and reduces fear of globalisation and technologicalisation. Our education in the international rankings is still well off, but we are losing ground compared to some Asian countries and even European countries such as Finland and Estonia. For this reason, my group continues to call for even more attention to be paid to the quality of education and research. However, investment in the collective sector and also in education tends to focus primarily on catching up in salaries. My group needs more substantive initiatives. It should be more attractive for young people to serve the public cause. Not only in terms of financial remuneration, but above all in terms of the appeal of the work. I would ask the Prime Minister if he wants to get to work on this.
ParlaMint-NL_2018-10-30-eerstekamer-5.u55	Let's get back to the equality of opportunity in education. I wholeheartedly agree with Mr Engels that this is an important subject. At the same time, we see that in primary schools pupils from poor parents receive lower advice, wrongly. We see that success in high school depends on extra tutoring and therefore the thickness of your parents' wallet. I would very much like to know from Mr Engels what specific measures he would propose to combat this inequality of opportunity in education.
ParlaMint-NL_2018-10-30-eerstekamer-5.u56	Two comments. No, I'm gonna drop that one comment. I am not going to make any concrete proposals here. I address the problem. In your speech, you have raised a number of people, especially those who have certain problems. I have two daughters myself who work in primary school. So I have an above average understanding of what's going on in this section; not from my own knowledge, but because of it. What I want to do here is address the problem and ask the cabinet to stick to the existing policy of a quality impulse, but not only to do so in the form of raising salaries. There are much broader problems. You mentioned them yourself. You're calling them now. I see them, too. I ask the cabinet if it can get more attention, because it is essential to increase equality of opportunity.
ParlaMint-NL_2018-10-30-eerstekamer-5.u57	Then I am eagerly looking forward with you to the answer of the cabinet to this.
ParlaMint-NL_2018-10-30-eerstekamer-5.u58	Let's do that. Mr. Chairman. I'm coming to court now. In the last debate on the state of the rule of law, it has been established quite generally that our chain of law is squeaking and cracking in all its joints. In recent years, the board of the sitting and standing magical austerity has been stacked on a setback. For my group, it is essential that cost reduction throughout the whole chain should no longer be at the expense of the administration of justice, even after 2019. My group would like to stress the importance of an adequate social lawyer here today. The government agreement does mention both an improvement in the financial position of the social lawyer and legal aid, but the development of income within the social lawyer is not reflected in the pointy clouds of income. The provision of services to citizens who cannot afford legal aid themselves is still under considerable pressure. This also calls for access to justice. This process is further strengthened by an increase in the Registry fees. On our questions in spring on the system of financing of justice, the Minister for Legal Protection indicated that this would be looked at. The Minister also promised our spokesman a vision of the future of the legal profession. We haven't seen much of that. The D66 Group does not take sufficient account of the fact that these urgent problems are adequately addressed in the cabinet plans. I would like to hear more from the Prime Minister on this point and ask him to reflect on the name of the Minister for Legal Protection's portfolio. A second issue concerns the future of the labour market and our pension system. On the labour market, there is an unabated need to recalibrate the relationship between fixed and flex, with the failure of the DBA Act still fresh in memory. Although our pension system looks like the best in the world from outside, it no longer provides the right basis for many participants. In my group's view, maintaining a pension system that once fulfilled, but is no longer sustainable due, inter alia, to demographic developments and changes in the labour market in its existing form, is no longer justified. My group therefore looks forward with great interest to what the cabinet will present to us on these two points. I would ask the Prime Minister to inform us now of the current state of affairs. Creating a climate agreement is the main task of this cabinet. My group does, however, have the impression that it is pinching and sanding at the climate tables and that progress is being made only with bumps and bumps. I would ask the Prime Minister if it is not time for the leaders concerned to be more active at the various tables. Where and how does the cabinet intend to standardise, price and subsidise? What measures does the Cabinet exclude in advance? How are we going to ensure that businesses and citizens are involved? My group believes that negotiating results should be achieved in the coming weeks, so that there is an ambitious and concrete climate agreement this year. We are thinking, for example, of introducing a CO price for industry, a conversion in the agricultural sector for healthy food production while maintaining a sufficient entrepreneurial perspective and a band to be set for the development of energy costs. My group realises that it is a difficult message to get companies, institutions and citizens involved in this, all the more so because there is a cost factor involved. But the prospect of a better climate and a fair burden-sharing can be of great benefit here. This requires a clear and unambiguous commitment from the cabinet. I ask the Prime Minister to reassure us on this point.
ParlaMint-NL_2018-10-30-eerstekamer-5.u59	I am listening with interest to Mr Engels' speech. I hear him say that I very much appreciate that livestock farming should be involved in climate policy. At least, if I understood him correctly. Do I understand from that that I could find an ally in the D66 Group to shape the pricing of animal products in the context of climate policy?
ParlaMint-NL_2018-10-30-eerstekamer-5.u60	I am going to give you a political answer to that, and you know why. I'll always bring up the patience. This is the First Chamber. First, the cabinet's up. Then we'll have the House of Commons. What I can do here in general terms on behalf of my group is to push forward, to highlight, to stress that urgency is high. The element you mention, although there are more than one, will be very interested in us in the group, but of course it is about what this climate agreement looks like in the end. Then we will also assess which of the elements we consider important and which elements we find difficult and then we will have to consider whether that is sufficient or not. You cannot now ask me whether or not I want to go along with certain specific measures. I can't do that either, because I'm not the most involved in this matter. The coverage of the state of affairs is worrying. We must now try to ensure that the cabinet is in a hurry. That is one thing, because if we do not, we will not get to the questions you want to ask at all. And I'd regret that. I think we can at least find each other in that.
ParlaMint-NL_2018-10-30-eerstekamer-5.u61	That's nice. I'd like to sharpen my question a little bit. It's okay not to know everything about all the problems at the climate tables, but this is the elephant in the Chamber. At the climate tables, the main problem, namely emissions from livestock farming, is systematically silenced. My question is: do you think that something should be done about this, regardless of what specific measures you want to support or not, and whether it belongs in the Second or First Chamber?
ParlaMint-NL_2018-10-30-eerstekamer-5.u62	You obviously know that this is the case. I'm not at those climate tables. I don't have a day-to-day report on that either. So either that's silenced or not, I simply don't know. If that were the case, it would of course be a handicap. The only thing I want today is a commitment from the cabinet to stop sticking around in that hordes, punches, sanding and turning around each other. We want results. Then we have to assess that result. Then it might turn out that your assumption is reflected in the climate agreement. But I don't know if anything's being kept quiet. So I cannot give you an answer to that either.
ParlaMint-NL_2018-10-30-eerstekamer-5.u63	Finally, Mr. Coffeeman.
ParlaMint-NL_2018-10-30-eerstekamer-5.u64	I understand. This is what I'm talking about. At the moment when it does not come back to climate action and it is, objectively speaking, one of the main causes of the climate problem, can I assume that D66 would not agree?
ParlaMint-NL_2018-10-30-eerstekamer-5.u65	Then you can assume that the D66 Group will look very strongly at this, especially after your encouragement. But I cannot, in abstracto, decide for my group what we are going to do. At least, not in this case.
ParlaMint-NL_2018-10-30-eerstekamer-5.u66	Mrs Sent, and I hope it can be a bit concise, because I am looking at the clock. We're running pretty late.
ParlaMint-NL_2018-10-30-eerstekamer-5.u67	I am pleased to hear Mr Engels draw attention to a number of major challenges: keeping the pension system financially viable, creating distortions in the labour market, achieving the climate objectives and funding them in a fair way. Do I understand that he believes that the cabinet should show more decisiveness in these areas?
ParlaMint-NL_2018-10-30-eerstekamer-5.u68	In not too many minutes, you'll understand what I'm saying. I'm moving on to the block now, because that's what it's called now, gas extraction. That is also an important issue for my group. It is encouraging, let me start with positive messages that the cabinet wants to phase-in the extraction of gas to zero. We assume that that promise stands. It is also good that the National Programme for a future perspective for Groningen seems to have begun to restore and strengthen regional socio-economic infrastructure. Here too, I would ask the Prime Minister to confirm that this project will continue financially and that it will not end with the 1.25 billion. Mr. Chairman. Unfortunately, after in-depth empirical research, we also have to note that there are still serious shortcomings in the implementation of the reinforcement operation and compensation. Happens in pace and bumps in providing clarity and security for affected residents. The Minister of EZK recently promised in the debate on the Law on Minimisation Gas Extraction that there would be a reinforcement plan before 1 December. He also promised that the delays in repairing the damage would have occurred within a year. I'd like to hear from the Prime Minister that he's going to oversee this. In particular, my group is concerned that the cabinet is sufficiently aware of the low level of confidence of regional residents in the government in particular. The concerns and emotions of the inhabitants concerned about their security are still not sufficiently identified and visible to them by the government. I would urge the Prime Minister to say that this more psychological context is given a more prominent place in this dossier, so that a real start can be made to regain the greatly diminished confidence. Finally, Mr. Chairman, and you look relieved. That is a great joy to me.
ParlaMint-NL_2018-10-30-eerstekamer-5.u69	You seem to see something in my face that isn't there.
ParlaMint-NL_2018-10-30-eerstekamer-5.u70	I've had a lot of that with ladies.
ParlaMint-NL_2018-10-30-eerstekamer-5.u71	I won't respond to that.
ParlaMint-NL_2018-10-30-eerstekamer-5.u72	You certainly shouldn't do that, because we'll get more misunderstandings. I've raised enough misunderstandings today, I see. The D66 Group sees many good ambitions and also policy intentions. However, we do believe that it is time after the first year of operation to implement the agenda. More friendlyly, my group believes that the cabinet still needs to get on its feet. So far we have seen a little too much tough language and too little plans and legislation, although in one case we do not mind. My group is also aware that it is not so easy to take decisive and rational decisions in the Netherlands on complex and diverse social issues. There is a certain fear of change in the Netherlands, but also of political and social obstacles. Nevertheless, in my group's view, the cabinet cannot and must not continue to evade its essential role, even if it is right and proper to seek broad support. But the outsourcing of substantial ambitions in areas such as climate, labour market and pension systems to the polder has its limits. After all, the political primacy lies with the cabinet and then with the parliament. We call on the cabinet not only to show action in the coming year, but above all to show appealing results in the spirit of Machiavelli. Because that's when "Trust in the future" comes again. Thank you.
ParlaMint-NL_2018-10-30-eerstekamer-5.u73	Thank you, Mr. English. I give the floor to Mrs Strik.
ParlaMint-NL_2018-10-30-eerstekamer-5.u74	Mr. Chairman. "Confidence in the future": this motto was chosen by the coalition parties last year for their agreement. And who doesn't want that? It has to be said: the agreement expressed great ambitions. But words, we know, don't give confidence yet. Creating confidence in the future requires consensus and drive, so that reforms are implemented in a timely manner. The good economic starting position of the Netherlands offers all the opportunities to do so. We had therefore expected to be driven by a fury of revolutionary plans and legislation. But so far it's been awfully quiet about these reforms. It's like the Cabinet's got enough to say to itself. The slowness of the cabinet is not compatible with the initial bravure, and certainly with the hot breath of the provincial state elections. Of course, I have to tell the whole story, honor who deserves credit. The abolition of the referendum was quick enough for the cabinet; if D66 had to swallow, then quickly. The burqa ban was also settled in this way and not to forget the Intelligence and Security Services Act. But I am referring here to the willingness and ambition to sustainably reform, to really prepare the Netherlands for that future. I would therefore like to take the cabinet on the first anniversary to those clearly defined spearheads that I was able to read in the birth card, the coalition agreement. For example, the agreement stresses the Dutch values "which we must maintain, share and pass on." The question is, however, what values the cabinet is referring to and why. As far as we are concerned, the characteristics of the democratic rule of law, our tradition of tolerance towards non-thinkers, non-believers and people of a different origin, but also international orientation, tradition, at least after the Second World War, are at the forefront of protecting people who have to flee their own countries. And more recently in history, these values also expressed themselves in a strong welfare state, in which we look back at each other. I'm not sure the cabinet wants to strengthen these values by hoisting our flag more often and singing the Wilhelmus. But we think it is important that the values that form the fabric of our society are really the basis of domestic and foreign policy. Can the Prime Minister show us how that happens? To start right away with the last...
ParlaMint-NL_2018-10-30-eerstekamer-5.u75	But Mrs. Sent would like to ask you something first.
ParlaMint-NL_2018-10-30-eerstekamer-5.u76	To what extent is there room for the broad-welfare concept in the value framework that you outline?
ParlaMint-NL_2018-10-30-eerstekamer-5.u77	That is, of course, part of that. I will come back to that in detail later. But let's start with overseas. Is the Prime Minister prepared, for example, to stand up for the fundamental values of the European Union? Governments send refugees back to inhumane detention centres in Libya or basic refugee camps with no perspective. This shift policy is not in line with the global call for more solidarity, such as the UN Global Compact on Refugees, which is almost ready for acceptance. And it also triggers mutual shearing within the EU. Unfortunately, a wrong example also follows. How will the Prime Minister reduce solidarity in the refugee issue, both inside and outside Europe? We are seeing a negative spiral in the hollowing states of the rule of law in Hungary, Poland, Bulgaria. Very worrying developments, because we need to be sure that all Member States within the EU can guarantee a certain level of rule of law. Fortunately, there are encouraging judgments by the Court of Justice, but political pressure is indispensable for compliance. Is the Prime Minister prepared to take the initiative within the Council? With this he would give a wonderful follow-up to the actions of other Dutch people, Timmermans and Sargentini. And with that, too, he would do justice to the ambition of the coalition agreement: "strengthen, share and pass on our values." Mr President, another ambition of the coalition agreement is: "We are addressing the challenge of climate change. The Netherlands will be sustainable." The greenest cabinet ever jubilated some coalition parties. The embrace of the Climate Act of Klaver and Asscher was a good first step, but real results require concrete implementation. When the climate tables didn't come out, the cabinet itself could have made decisions. But this greenest cabinet ever opened a second round of negotiations, despite the conclusion of the Planning Bureau for the Environment and the Central Planning Bureau that political choices must be made quickly. In the Urgenda case, the Court of Justice sends the same message to the Cabinet: take responsibility for the agreements made. But the coalition makes the impression of a rabbit looking into the headlights. Why don't the coalition parties show political leadership here? Are they so united in the green ambitions? In any case, one party is making no mistake about this and is openly obstructing it. The other day, Buma even said that talking about climate was a big risk and warned of a division that would cause climate policy. Such a coalition partner is not looking for support for government policy or to prevent that division. But fair climate policy requires concrete short-term measures, including fair burden-sharing. The additional CO levy for industry, which we read in Minister Wiebes' letter, is an important step, but not enough. In the meantime, the 55% reduction target for 2030 is increasingly supported. But this huge task requires brave politicians who do not shy away from any taboos, for example about a sustainable agricultural or transport system, and who make choices. Only then can sectors focus on this. The uncertainty of citizens is fed precisely by the fact that the cabinet does not give any insight into a burden-sharing and desire-sharing exercise. Does the Prime Minister recognize this? And what can we expect from him in the short term? Another ambition is: "We invest in collective provision, for example with extra money and human resources for safety, education and care."
ParlaMint-NL_2018-10-30-eerstekamer-5.u78	I had to take a longer walk; hence I come back to the climate cup, which you just talked about. How does Mrs. Strik judge how the court treats and handles such an Urgenda case? And what do you think is the consequence of this?
ParlaMint-NL_2018-10-30-eerstekamer-5.u79	The State has already appealed. So it's already an appeal. The court has confirmed the court's previous ruling. This shows that the judge is willing to take political agreements very seriously and to keep them to himself. In fact, the court states: Cabinet, you have to fulfil your responsibility and your commitments to citizens, for example, that those climate objectives are being met, because they have a right to and interest in it.
ParlaMint-NL_2018-10-30-eerstekamer-5.u80	Does Mrs Strik think that this only applies to the climate objectives or to other objectives? 'Cause you could take the DOD standard, that 2% should go to NATO. Imagine the judge saying that to the cabinet. So you're saying, cabinet, listen to that?
ParlaMint-NL_2018-10-30-eerstekamer-5.u81	I can imagine that the more specific the arrangements are, the more serious the judge will take them. In this case, of course, the judge has also indicated the importance of ensuring that the agreements are actually complied with by citizens, because this also means that their health is at stake.
ParlaMint-NL_2018-10-30-eerstekamer-5.u82	Finally, Mr. Schalk.
ParlaMint-NL_2018-10-30-eerstekamer-5.u83	The same could apply to the security of citizens.
ParlaMint-NL_2018-10-30-eerstekamer-5.u84	It could be. Another ambition, as I have already said, is to invest in our collective services, for example with extra money and human resources for safety, education and care. Recent demonstrations give the impression that professionals in healthcare, education and the police themselves seem to have a different view of "investing" than this cabinet. When things went badly, the public sector was cut off year after year. People might have been able to understand that, even though they found at the same time decentralisation and austerity. But now that things are going well, there's only a small amount of repair. If the Prime Minister has antennas for society, he knows that our professionals will no longer accept this tip now that the Netherlands is in the wind. The structurally high workload leads to predatory construction on their health, but also to reduced quality. The recent closure of four hospitals without any intervention from the government..... which makes a contrast with the banks.... caregivers and patients uncertain. It reveals how successive Cabinets have made our public tasks dependent on market forces and private parties. However, it is the public sector that protects our values: investing in equal opportunities, caring for each other, ensuring our civil rights through accessible legal assistance and justice, and increased security. If the cabinet really thinks these values are important, then it invests in the quality of those public tasks. Maybe the national anthem will be used spontaneously. That is not going to happen, according to the dividend tax soap. When after a year of critical reports only one's own fiber remained to rely on, the lobbyists themselves killed Rutte's crown jewel. This was an excellent opportunity to devote the 2 billion released to the public sector or to climate action. Unfortunately, however, all these euros go to large companies without any sustainability conditions being attached to them. What a missed opportunity! While the Prime Minister turned out to be an argument for the abolition of dividend taxation, this has suddenly become an independent objective. But our locational environment is already widely praised and the tax on profits for companies is already relatively low. Moreover, does the Prime Minister pretend to support SMEs with this, but does he really think that bakers and bicycle makers would move abroad for the profit tax? If he really wants to support SMEs, why not reverse the VAT increase from 6% to 9% and give more labour discounts? The investment of 2 billion in business is worth a compliment to the VVD. Three parties submit to its logic, with which she knows 100% of its programme by a quarter of the votes. And that also translates into the polls. There seems to be a counterweight within the coalition that stands up for low-paid people and those with the least chance. Citizens' lives are becoming much more expensive and many of them do not receive compensation through the general relief, because they simply have too little income for that.
ParlaMint-NL_2018-10-30-eerstekamer-5.u85	Back to the locational environment and the importance of the public sector. Could Mrs Strik say anything about the importance of the public sector itself for the locational environment?
ParlaMint-NL_2018-10-30-eerstekamer-5.u86	Of course, that's important. You can also always see in the studies that public services such as good education and good care can draw people over the line and also draw them to work here. If that's all wrong, they'll tend to say, "I'll work at another company." Companies themselves therefore have an interest in ensuring that their employees live in a pleasant environment and that their children have the opportunities they need. Does the Prime Minister recognise that citizens' lives are becoming much more expensive and that they do not always receive this compensation through the general relief? And how's he gonna fix that? Why does the cabinet choose to least advance the group of single parents around the minimum wage? They deserve support to combine work and care. Isn't that more logical than raising the income of those who earn above average? Recently, colleague Rombouts made a compelling plea with a party member from the House of Representatives to reduce the number of children living in poverty by a quarter. Then we would have another embarrassing 300,000 poor children left in the rich Netherlands. It's a commendable plea, but it's not gonna work with this million-dollar note. How is the Prime Minister going to honor this rightful appeal? Mr President, I see that I only have a minute and a half left. Is that right?
ParlaMint-NL_2018-10-30-eerstekamer-5.u87	That's right.
ParlaMint-NL_2018-10-30-eerstekamer-5.u88	I also hear Mr Engels say 'yes'. You don't have to interfere, Mr. English. Then I'm gonna move on to the next part. Mr. Chairman. Finally, we are not only facing political shifts in the Netherlands. The European Union awaits a turbulent period, with the approaching Brexit and elections in a period of polarisation and fragmentation. More than ever, citizens need the confidence that Europe offers sustainable solutions to problems they really face. This requires that financial interdependence is accompanied by joint agreements on socio-economic policies, education and other key factors that eliminate social inequality and exclusion. With a choice between greater fragmentation and greater integration within the EU, the latter is the only option for us. What future does the cabinet see for the EU? And how will Prime Minister Rutte, as one of the longest-standing leaders, use his credit to strengthen cohesion and solidarity within the EU? Mr. Chairman. At his arrival, this cabinet expressed the ambition to make the Netherlands future-proof. We'd like the cabinet to get back together and have the courage to choose. When it comes to sustainable and social measures, we would like to take an outstretched hand. So far, however, we have not seen these plans, let alone an outstretched hand. Still, we're running out of time. Everything points out that in six months' time the cabinet will have to work more intimately and constructively with the opposition. The sooner the cabinet is prepared to do so, the more trust the cabinet can actually have in the future. Either we're not having a party next year, or we're having a party with everyone. And that's when it's gonna be really fun. Thank you.
ParlaMint-NL_2018-10-30-eerstekamer-5.u89	Thank you, Mrs. Strik. I give the floor to Mr Kuiper.
