ParlaMint-NL_2018-06-12-eerstekamer-4.u1	I would like to welcome the Minister of the Interior and Kingdom Relations to the First Chamber.
ParlaMint-NL_2018-06-12-eerstekamer-4.u44	Thank you, Mr. Lintmeijer. I give the floor to Mr Schouwenaar.
ParlaMint-NL_2018-06-12-eerstekamer-4.u45	Madam President. The legislative proposal we are discussing has been welcomed by the VVD Group. During the written preparation we asked some questions and we thank the Minister for her reply. It is customary for us to ask ourselves every legislative proposal: is there a problem? And if so, does this bill solve the problem? Both questions are answered in the affirmative by my group. For several years there has been discussion about facial clothing, especially the nikab and the burqa. In society, in the press and in the Lower House, and today in the Upper House. Discussions in which fundamental rights are at stake. And the question as to how far face-covering clothing is acceptable; acceptable for the purposes of human communication, recognizable face-to-face and security. There are also all kinds of house rules for staff, clients, students or travelers. These house rules can be very diverse. Sometimes there are no house rules, which the institution would like to have at its disposal. This situation creates legal uncertainty. That is what this bill seeks to provide for. It provides one general standard; a ban on facial clothing in health care institutions, education, public transport and government buildings. It is not only a general, but also an objective standard: no face-covering clothing, in the interest of good communication and necessary for quality of service and safety.
ParlaMint-NL_2018-06-12-eerstekamer-4.u46	Mr Schouwenaar said 'there is a problem and institutions would like to set house rules, but cannot or cannot do so', something like that I understood. I believe that each institution can set its own house rules, so what exactly is the problem for which this legislation needs to be dealt with?
ParlaMint-NL_2018-06-12-eerstekamer-4.u47	Indeed, institutions can make house rules. I didn't say you couldn't. I have said that sometimes they are not there, and that institution would like to be there. I have taken that from the documents that have been sent to us.
ParlaMint-NL_2018-06-12-eerstekamer-4.u48	I have only read in those documents a remark from the previous minister that an institution sometimes finds it difficult to set house rules. That is something other than that they do not, cannot or would not want to do so, but do not do so. Again the question: can all institutions set house rules in which they can say if they wish or as a necessity because of its functionality: nikab af, burka af, integral helmet? If so, why is this legal ban necessary?
ParlaMint-NL_2018-06-12-eerstekamer-4.u49	Mr De Graaf once again asks the same question, so unfortunately I have to answer the same question. Yeah, you can. I didn't say you couldn't. The second question was: why this law? That is the continuation of my speech. I can now summarise that very briefly, in reply to you, but I find that a bit unfortunate.
ParlaMint-NL_2018-06-12-eerstekamer-4.u50	I'm sorry about that, too, so I'm gonna listen carefully.
ParlaMint-NL_2018-06-12-eerstekamer-4.u51	Okay. The house rules remain within the limits of the general standard. The VVD Group welcomes this proposal. Why? Firstly, because, in the words of the then Minister Plasterk, it is'religiously neutral'. It is only about the quality of care and safety, or as Mr Lintmeijer put it: it is about uncomfortable feelings. And the kind of facial cover does not matter; not only the burqa, but also the balaclava, the shawl and the integral helmet. Secondly, the proposal complies with ECHR case law. A fundamental right may be restricted. It has to be by formal law. The limitation must be necessary in a democratic society. And this one has to be subsidiary and proportional. The proposal does not discriminate. It applies to everyone and to all forms of facial clothing. In our view, the proposal is a good solution to an issue of conflicting fundamental rights. Madam President. The Group of the European People's Party (Christian Democrats) and European Democrats welcomes not only this proposal but also some comments.
ParlaMint-NL_2018-06-12-eerstekamer-4.u52	Is Mr Schouwenaar ready to justify the need for the legislative proposal? At the beginning of his speech I heard something about the need to settle social discussion. This raises the question of whether the resolution of a social debate is sufficient to limit fundamental rights. The second question concerns the uniformity that Mr De Graaf has just asked for. That is not quite clear to me. My argument was that the legislative proposal does not lead to uniformity, because in addition an institution can lay down house rules, so that supposed uniformity is undermined in the same bill because all kinds of changes are possible. On the one hand, you can say in the care that people who have been admitted can wear a burqa. On the other hand, you may set additional rules, for example in the parking lot of a hospital.
ParlaMint-NL_2018-06-12-eerstekamer-4.u53	I didn't say the word "uniformity," as I recall. Nor did I mention the resolution of a discussion as an argument for bringing forward a legislative proposal now. What matters is that we all want good quality care and that safety is well guaranteed. That could be trouble in the workplace. I think that this bill can help us get ahead of problems in the workplace. This bill does so by setting a universal standard, a general standard. Maybe I can assume that you agree with me so far, but then the question arises as to whether it should be in a law or whether we should be satisfied with house rules. My group prefers a law because it has more authority than all those house rules. Those house rules can overlap and gaps can arise. That law has a general regime that closes all gaps. In addition, a formal law is needed because this is a restriction of fundamental rights. These are the reasons why my group prefers a law to make an arrangement that everyone is bound by. This is without prejudice to the freedom of everyone to regulate this by house rules, as he or she wishes.
ParlaMint-NL_2018-06-12-eerstekamer-4.u54	This is at the heart of the debate, namely whether a law is necessary, including proportionality and subsidiarity. How does Mr Schouwenaar assess the reactions of the transport organisations, the health sectors, the education sectors and the KNMG? These are the ones who say the following. Don't do it, we can do it now, we will engage in dialogue with those involved; of course we have to get rid of that burqa in the office, the delivery room and the classroom, but please don't burden us with a law that strengthens the relationship even though we don't need it at all.
ParlaMint-NL_2018-06-12-eerstekamer-4.u55	As much as Mrs Nooren says it now, I have not read it, but I have read what a number of organisations say about it. Of course, it is very important what these organisations say about it, but the government also has other interests to serve, such as preventing problems in the workplace and ensuring quality care. You know the line.
ParlaMint-NL_2018-06-12-eerstekamer-4.u56	Mrs Nooren, finally, on this point.
ParlaMint-NL_2018-06-12-eerstekamer-4.u57	That is indeed the crux of the question. Institutions and the competent authority have all the possibilities to provide quality service and security through house rules, if you do it neatly also agreed by the Human Rights College. And there's no problem with that right now. This raises the question of whether the legislator is inclined or whether, as a legislator, you should be cautious and think: let the field do what it is good at.
ParlaMint-NL_2018-06-12-eerstekamer-4.u58	We disagree on that. I think we're going the same way, but we're going somewhere else. I used to be a Boy Scout, that's why.
ParlaMint-NL_2018-06-12-eerstekamer-4.u59	Mr Schouwenaar is now saying something about the relationship between the PvdA and the VVD that I have suspected for years, but it can now simply be said again openly. That's progress, isn't it? My question to Mr Schouwenaar is as follows. He said, at least as I understood him, that setting a general legal standard is without prejudice to the institutions being able to make their own house rules if they so wish. I don't think that's quite the case. Isn't that the general rule that excludes the freedom to make other house rules?
ParlaMint-NL_2018-06-12-eerstekamer-4.u60	It is indeed excluded, but that is without prejudice to what I have said and meant that this does not mean that all house rules are at once out of hand. They may lay down rules for their own institution, for their own territory and for their own employees, provided that they remain within the limits. I am thinking, for example, of clothing regulations for own staff. It's still possible, and it's not gone now. I hope that I have temporarily satisfied you with that. Madam President. I now come to a few critical points. It is a small problem when we look at the number of wearers of facial clothing. About 400, but that doesn't say everything. I want to remind you of the bill against refused officials. This involved about 60 people and was nevertheless accepted. Enforcement can be a problem. Two years ago, this showed the images of the southern French beaches. Shame on the transgressors and the enforcers. Still, the law and the house rules will eventually have to be enforced by the police. We are counting on the Dutch law enforcement system to do this properly.
ParlaMint-NL_2018-06-12-eerstekamer-4.u61	I was equally confused by the comparison made by Mr Schouwenaar between the 400 farmers and the approximately 60 so-called'refusal' officials. You could say that 60 is even less than 400, so what are we worried about? But you know, I hope, that these are officials with powers of government, whether or not they are extraordinary officials, who decide whether or not a marriage can be concluded. That is fundamentally different from the question of whether the law sets a standard for a number of citizens.
ParlaMint-NL_2018-06-12-eerstekamer-4.u62	They didn't decide whether or not a marriage could be concluded. In that situation, too, it was always certain that everyone could marry the way he or she wanted. It is not about the differences in content; there will be a good deal of them, although there are also a lot of parallels in substance. I remember that treatment very well. The argument of the small number has been mentioned here. I just wanted to point out that there are even smaller numbers that lead to a different outcome or perhaps not. But if it's just a number, I think we're failing the seriousness of the subject.
ParlaMint-NL_2018-06-12-eerstekamer-4.u63	I don't think anyone's just mentioned the number. There has also been talk of the relativity of the number relative to the total number. If you compare that with those civil servants again, the results are very different.
ParlaMint-NL_2018-06-12-eerstekamer-4.u64	But then we're magical with numbers, and neither of us should want that, I guess.
ParlaMint-NL_2018-06-12-eerstekamer-4.u65	I mean, I think you started it. So judging a bias on magic with numbers is something you should first of all tell yourself.
ParlaMint-NL_2018-06-12-eerstekamer-4.u66	Sure.
ParlaMint-NL_2018-06-12-eerstekamer-4.u67	I had two questions the first of which was just asked. So I'm gonna limit myself to the second. Do I hear Mr Schouwenaar say that these house rules are fine but that the law lays down the rules, which is all very enforceable? There is a problem in my perception or a problem. The care facility or bus driver can maintain the house rules themselves. Now that it has suddenly become a law, explicitly stated in the explanatory statement that it is being enforced by the police, another kind of situation is emerging that does not actually make this enforcement easier but rather more complicated. I am curious to see how Mr Schouwenaar looks at this.
ParlaMint-NL_2018-06-12-eerstekamer-4.u68	I have indicated that enforcement here is a difficult problem and I do not want to run away from it either. I could imagine... I'm going to fantasize now, but I'll do it at your request, so you won't blame me, I hope.
ParlaMint-NL_2018-06-12-eerstekamer-4.u69	That makes me feel a little uncomfortable.
ParlaMint-NL_2018-06-12-eerstekamer-4.u70	Yeah, yeah, but with another cause. I can imagine that, in such a situation, there will first be a conversation and that attention will be drawn to the fact that a lack of communication or a disruption of communication is not conducive to the proper functioning of the service and that, in the event of persistence and refusal, there will eventually be something about trespassing, local trespassing or any other reason for the police. If such a request from the health care provider, the driver and so on is not met, is there any reason for the police to act? I realize that's tricky. In the south of France this was also apparent, although there were also views that the confrontation was somewhat sought there, which is not conducive to a proper solution either. I can imagine that this will eventually find a solution by judicial means in a fine.
ParlaMint-NL_2018-06-12-eerstekamer-4.u71	I do not think we are all waiting for the footage of the French beach to which, I think, Mr Schouwenaar refers. But the fact that there is now legislation on house rules leading to enforcement by the police means that we force the police, I would almost say, into the office at times when healthcare organisations themselves state that they can actually solve it themselves. That's complicating a social problem instead of solving it, isn't it?
ParlaMint-NL_2018-06-12-eerstekamer-4.u72	It was already a matter of the police when a conversation does not lead to a solution. And that remains the same in this situation. Ever, when no response is given to repeated calls, repeated requests, it is ultimately a matter of whether they are based on them or the strong arm, so to speak, to call it in.
ParlaMint-NL_2018-06-12-eerstekamer-4.u73	I don't think that's entirely true. Because if you have house rules and they're broken, you have a different procedure than when you bring in the police. Then you can file a complaint against the house rules. Then it is not customary to immediately bring in the police, because that happens in case of trespassing. That's different from breaking house rules. That was also stated in the Government's reply to the questions on this subject. So you're going to a complaint board. Just before the lawsuit.
ParlaMint-NL_2018-06-12-eerstekamer-4.u74	Just so we're clear, one doesn't rule out the other. You end up with the police if you want to put an end to the situation that is considered undesirable. Another point, Madam President, concerns shopkeepers, small SMEs who must be a centipede and an all-rounder. They cannot know all the legislation we make here together. They are often on their own and must act quickly. If they make a mistake, they'll get to the judge soon. The VVD Group did indeed refer to the criminal court in our written questions. We thank the Minister for her response to our questions on this subject and we hope that in the near future the College of Human Rights will pay attention to the particular position in which shopkeepers sometimes find themselves. The next point I would like to mention is the chance that this bill will isolate the wearers of facial clothing. That might be possible, but it is equally conceivable that communication will improve. In our view, it is our own responsibility to choose face-covering clothing. Perhaps a form of home visit can offer solace, but it remains the private domain of the wearer of face-covering clothing. We must respect them. Madam President. All in all, the VVD is in favour of this bill. It is not a question of subjective views with regard to wearers of facial clothing, nor of their religious or otherwise motives. The proposal has an objective basis. Quality of care, education, services and safety. In addition, the bill applies to all types of facial clothing, including balaclavas, shawls and integral helmets. We look forward to the Minister's reply.
ParlaMint-NL_2018-06-12-eerstekamer-4.u75	Thank you very much, Mr Schouwenaar. I give the floor to Mrs Bikker.
ParlaMint-NL_2018-06-12-eerstekamer-4.u76	Thank you, Mr. Chairman. Discomfort and displeasure will be felt by many Dutch people at the moment when someone almost completely covers his face. The possibility of meeting, to connect, is limited. The Jewish philosopher Levinas has even founded his ethics on the face of the other. "In the face of the other, I am called upon to mercy and compassion," he says. Living together is under pressure if we can't meet again, can't look at each other anymore. The bill we are discussing today is related to this. It looks on face-covering clothing. This includes not only Islamic-inspired facial cover, but also integral helmets and ski masks. But to be honest, it can be seen that the advent of the nikab is most likely to give rise to this bill. My group sympathizes with the unrest about, the concern about participation in or, rather, distance from society of the wearers of this covering clothing. It places us in a society issue. Let me also point out that some of this unrest, of this inconvenience, is part of the rule of law. Minorities are protected here, even if their views annoy the majority. Our democratic rule of law remains strong only if we continue to talk about differences between ourselves, even when it concerns our deepest beliefs. Immediate action by the public authorities in the event of unease is therefore not compatible with the rule of law. It is always our duty to cherish freedom wherever possible and thus to contribute to peace and security in our society. The bill under discussion today does not contain an overall ban but a limited ban on wearing facial clothing. It only applies in those places where the government considers it necessary to prevent the wearing of such clothing from seriously hindering communication between them. This jeopardises the quality of service or safety. In the care, education and public transport sector, the government proposes this restriction, and a general ban previously suggested in the House of Representatives is not mentioned. The fraction of the Christian Union recognizes that wearing these facial clothing, and then the Islamic veils, is part of their religion for the women concerned. The Netherlands is a country where freedom prevails. We also cherish freedom of religion, which is a great asset. This includes allowing people to express what they believe and keep the commandments of their religion. In Islam there is different thought about the rules of how a woman has to dress, but it is clear that there is a current that sees the almost complete covering as a commandment. In any case, it is not up to the government to judge whether or not that should be included in Islam. It is aware of this and the present legislation infringes the freedom of religion of a number of women. Freedoms, however, are never endless, they are also limited and they sometimes collide. This is the subject of this legislative proposal, and it is the responsibility of the legislator and therefore of this Chamber to check whether the government limits this freedom in a proportionate manner in accordance with the Constitution and treaties. Firstly, my group notes that this is a small group of women. My personal impression is that this group is increasing in a number of urban areas, but it remains a small group. Then it is difficult for the Minister not to be able to identify a current state of affairs or a trend. Or does she still have actual insights? I invite her to that. Does she know whether there is a link between the increase in the number of Muslims in the Netherlands and the number of facial veils or not? And does she know if there is a percentage increase within the Muslim community of women who opt for a facial veil? What we can see in any case is that in recent years judgments have been made by the judge and/or the College of Human Rights on the subject of facial clothing. Mostly with social, and I almost always believe with parliamentary, debate as a result. That parliamentary debate was, by the way, on the other side. The Minister argues that this bill will put an end to that discussion. There will be a uniform and clear legal standard, providing clarity and certainty for both carriers and fellow citizens and staff in relevant institutions. To date, the different institutions have applied their own house rules. Can the Minister give practical examples of how this now leads to varying regulations and what tensions this would give to the educational or health institutions? In addition to the proposed legal framework, the institutions and service providers concerned can still set house rules. Does the Minister envisage additions in some sectors and how does this relate to the desired legal certainty? Think for example of the covered larger stations, where the weather has no influence on the climate. I read the Minister's argument on the questions raised by the SGP colleagues. But if it is chosen to limit the possibilities of wearing face-covering clothing in public transport, I would like to hear from the Minister why no similar consideration can be made for these places. Surely there are a lot of parallel arguments that also apply to public transport? Can the Minister reflect on this point? Is there really an end to the discussion when it comes to public transport? Mr. Chairman. As has been said, this legislative proposal requires a fundamental rights test. Freedom of religion can be restricted by formal law. The review of Article 9 of the ECHR raises the question of whether the objective is legitimate. My group follows the government's reasoning that in the proposed cases communication is particularly important in order to provide good service and to ensure a safe environment. In our view, the ban meets the requirement of proportionality, because it is limited to a few places, neutrally formulated, does not specifically target religious clothing and the sanction imposed is of the lowest category. In addition, the present proposal does not prevent a particular religion from being confessed by wearing face-covering clothing, as the bill only covers a number of specific locations. However, I have looked carefully at the review of the European Court of Human Rights in the case of the bans in France and Belgium. It should be noted in these judgments that the Court attaches great importance to democracy and legal culture in the country concerned. There's a big margin of appreciation. The Dutch proposal is more limited in character than, for example, the French one, and I think it is understandable, given our Constitution and our legal culture. I would ask the Minister whether she can comment on developments in other neighbouring countries, for example Germany, but also the United Kingdom where there has been a mixed debate. In addition to the fundamental rights test, my group also looked at the social impact and feasibility. With regard to social effects, I would ask the Minister to share the findings of the introduction of a partial or partial ban in other countries.
ParlaMint-NL_2018-06-12-eerstekamer-4.u77	Mr. Chairman. I noticed that Mrs Bikker, who is generally extremely careful, especially when it comes to fundamental rights restrictions, completely ignored the subsidiarity test. It has examined proportionality in detail. There are differences of opinion on this, but it does not mention subsidiarity, it does not assess it. However, I believe that it is absolutely essential to review whether less radical measures than the proposed partial legal ban are possible, even more so, even if they are being applied. How does she respond to that?
ParlaMint-NL_2018-06-12-eerstekamer-4.u78	In fact, I indicated this in the introduction to my speech, but I did not make it sufficiently specific to reflect on it. My group can imagine that this is now typically a subject for which you, as a government, set a standard. Because there have been several lawsuits, there has also been a social debate. In this you can see that sometimes trouble arises in applying the house rules. I lived in Utrecht for years. I remember the case of a general practitioner who received someone with a burqa in his office, which was not as flawless as we all would like here, namely: one has a conversation and one gets out by mutual agreement. At a time like this, I and my group welcome the establishment of a standard. This may lead me to make a different assessment of subsidiarity than Mr De Graaf. I'll continue with the social effects. I would ask the Minister what effects in the other countries I have just mentioned on the introduction of a partial or partial ban there were on the participation of women in education. Did they find the way to care, or was there more to stay at home or care avoided? The bill does not provide for an evaluation. How does the Minister intend to gain insight into the effects of this in the Netherlands? Has it been in contact with relevant target groups and what are its intentions if this proposal is adopted? Does she keep in touch with the target groups? Does she know how to explain exactly what this means to them and that it does not say anything about other expressions that also fit within their religion? Then there's the feasibility. Transport companies were not positive about this ban. Earlier, in 2006, a committee of experts in the report Recitals to a burka ban indicated precisely that there is a lack of regulation in this area in the light of safety. This provided an argument for this bill. Has the Minister consulted transporters on the effects of this bill and has it been able to explain why it considers it added value? What does the Minister now think of the scope for action for a bus driver and what practice does she envisage? In education and care, there are differences of opinion and we have also received reports from several quarters that one considers that one's own house rules are sufficient. I've already asked questions about that. The same applies to more colleagues. I look forward to the answers. The Christian Union Group believes that the government has rightly opted for a limited ban to promote quality and safety in education, care and public transport, as well as in public institutions. It shares the considerations made in the fundamental rights test. We still have questions, particularly with regard to social impact and feasibility. I therefore look forward to the Minister's answers.
ParlaMint-NL_2018-06-12-eerstekamer-4.u79	Thank you, Mrs Bikker. I call Mr Köhler.
ParlaMint-NL_2018-06-12-eerstekamer-4.u80	Mr. Chairman. According to the government, the legislative proposal we are discussing has been of an urgent nature for years. Despite that, it took the government a small year before answering any further questions from this Chamber. I find that difficult to interpret. Perhaps the Minister could clarify this. What is the social problem addressed by the proposed law? It concerns several hundred women in the Netherlands who wear a nikab and do not automatically take it off when entering public institutions. This way of dressing, whereby women hide from other people as much as possible, does not appeal to my group. The wearers may think it is the utmost of virtue, but we do not think that women and men should relate to each other in this way. As far as we are concerned, it is not an enrichment of Dutch culture. On the other hand, we do not consider the nikab a typical Islamic costume because 99.9% of the Muslim women in our country do not dress like this. But however critical you may be about it, wearing eccentric clothes in public space, whatever motive behind it, should not be prohibited. That would be too much of a violation of personal freedom for the government, even in this case. The aim of the present proposal is therefore to ban the wearing of facial clothing in educational institutions, public buildings, health care institutions and public transport vehicles. This is because, I quote the government: 'the importance of mutual and recognizable communication for quality services and security'. The SP Group can follow the consideration that for good communication in certain places a limited impairment of the freedom to dress as you wish may be required. We believe that this is not an unacceptable violation of personal freedom, let alone religious freedom. We also see this confirmed by judgments of the European Court of Human Rights, which considered even a wider ban, depending on national traditions, acceptable. But for us, the question is whether this law is the most appropriate means of achieving a selective ban on facial clothing. The Advisory Section of the Council of State states that if the wearing of facial clothing could in practice be mentioned as a problem in the Netherlands, this is a problem that can be solved without legislation. In addition, I note that it is already being resolved in practice. Of all the social sectors mentioned, only problems are known in a number of educational institutions. And that's where the competent authority has declared house rules banning facial-covering clothing. Those rules have proved to be sustainable, even after review by the College of Human Rights, and have solved the problem. Therefore, this law is not really necessary, although some schoolbodies, according to the Minister, would see the law as a little support. In the public sector, according to the Minister, house rules of this kind are sometimes and sometimes not laid down. In both situations, we are not aware of any further problems. I ask the Minister whether she is also in the same position. The Association of Dutch Municipalities and the Interprovincial Consultation have not taken a position on the law. For a sketch of the situation in the healthcare sector, I now quote the Minister's response: "The Royal Netherlands Society for the Promotion of Medicine supports the importance of communication, but considers that a ban on facial clothing in care is unnecessary, because there is an identification obligation that regulates that someone should show his or her face at the desk and because the doctor in the surgery can ask to show the face, which rarely leads to problems. This has also been confirmed by some healthcare institutions. At present, no use is made of banning facial clothing in house rules, but in some cases rules have been laid down for employees in a general sense." So much for the Minister's sketch. Also with us there are no problems with wearing or not taking off face-covering clothing in the care. As far as the concern is concerned, we are a little concerned by the Minister's reaction that if mothers stopped going to vaccination programmes with their children because they did not want to take off their nikab, which is their own responsibility. As if it is not important for the health of the child and of others to benefit from maximum participation in vaccination programmes. We shouldn't be making laws that cause problems they haven't been in so far. Will the Minister take up this point again? Our group has asked the Minister why the government's reasoning that on the public road no ban on facial clothing is necessary because the need for open communication is less heavy and there is already a duty of legitimacy does not also apply to public transport. In the first instance, this is answered by the statement that people in public transport are in contact with each other and that communication in which they can look each other in the face is then necessary. Of course, this reasoning does not apply to passengers on bus, tram, metro or train. They don't have to talk to each other at all. And many, especially women, do not want to be stared at by other passengers. On our further questions, the Minister mentioned as a new argument that people experience it as unsafe to be in a vehicle with people wearing facial clothing. This may be the case for some people, but as a frequent user of public transport, I find that there are a lot of other non-prohibited outfits and behaviors that make you feel at least as unsafe. There is also no beginning, if the feeling of one should determine how the other may dress. Furthermore, carriers are not in favour of the proposed ban. According to the Minister, they indicated that such a ban could provoke reactions which would not serve public transport safety. In other words, they fear problems that are not present at the moment. If we look at the various sectors which are to be banned, I will summarize as follows: where there was a problem, such as in education, an adequate solution has been found in the sector itself by setting house rules. In other sectors, such as health and public transport, there was no need to ban facial clothing and no need to impose a legal ban. In spite of these facts, as it itself reflects, the government maintains a legal ban, because a uniform regime would avoid confusion and provide legal certainty. But we do not see any confusion about the current, sometimes different, house rules in the social sectors concerned. Not with the workers, not with the customers, nor with the nikabbbbbbbbbbbbbbbbbbbbb. The Minister has not so far mentioned any facts suggesting this confusion. Perhaps the Minister can do that after all. We do not believe that any new law is necessary for legal certainty either. All house rules on face-covering clothing have, in so far as they have been challenged, held up legally. However, we agree with the government that it may be good to lay down a general standard in a law. But it has not yet been said that this is the most appropriate way forward in this case. The government also cites as an argument for the bill that, with a balanced balance, it puts an end to years of discussion about whether or not to ban facial clothing. If this were the case, we would welcome it. But we doubt it. For the time being, it seems more like a difficult compromise has been reached between two parties who are in fact not in agreement with each other, which these parties, now that they are no longer a government coalition, are once again running away from. At the moment, our conclusion is that the intention of the legislative proposal is broadly correct, but that it risks exceeding its objective by opting for a clear design that does not suit all the sectors concerned. The need for legislation is therefore not yet established for our group. Perhaps it would be better to pay more attention to the principle of subsidiarity. So what can be regulated by a lower body, in this case the institutions concerned, cannot be regulated by a higher body, in this case the legislator. This also fits better with the Dutch tradition of sovereignty in its own circle, I say to my colleagues in this house. My group looks forward to the Minister's response.
ParlaMint-NL_2018-06-12-eerstekamer-4.u81	Thank you, Mr. Köhler. I give the floor to Mr Schalk.
ParlaMint-NL_2018-06-12-eerstekamer-4.u82	Thank you, Madam President. I wonder if the Minister has ever had a tour of this Chamber's building. Then she would have been in the Gravenkamer, named after the portraits of the 36 graves that have all been visited in the Netherlands. When you study those portraits, you can see that they're all recognizable by the eyes, the facial expression, the line of the mouth. In short, there's a lot to see in all those faces. But there's one that stays hidden. From the tradition we know it's about Count Floris IV, but otherwise he's unrecognizable. Because he's got the visor of his helmet in front of his face. So we can't recognize him, we can't make an estimate of his age, of his appearance, of his inner body. Saillant detail: he's so portrayed because the best man in the armor died. Not during a real war or a terrorist act, by the way, but during a tournament. Moral of the story: anyone who looks at the paintings and studies them well always gets stuck with this one painting. What's this? Who is this? Something doesn't add up: he has facial covering clothes and that seems to make us insecure about his person, about his intent, about his life. I would like to reiterate this feeling, in order to explain why the SGP group can follow the intention of the law well, namely the ban on wearing clothes that cover the face entirely or cover the face in such a way that only the eyes are uncovered, or make the face unrecognizable. We like to be open, transparent, insightful. That also offers safety. I understand very well that this bill has ever arisen from the reaction to burka or nikab, but I have focused on the general issue of facial clothing in my response. In addition, there is a growing feeling of unease in society when there are terrorist attacks in other countries. As a result, we are increasingly alert in the Netherlands: who is actually walking into that school, which people are at a big event? We place cameras and we ensure transparency. This also puts very well-meaning Dutch citizens in the position of feeling that they are being followed everywhere. In short, the demand for transparency and security costs the citizens of the Netherlands something, something of their individual freedom, of their privacy. Is that a problem? In a sense, it is, because that privacy is harmed and sacrificed to that security and transparency. The question to the Minister is, of course, how did the government deal with the weighting of security and privacy within this bill? That is a problem to weigh up. However, the government is called upon to make choices. Especially since, if things go wrong somewhere, the same government is called to account. Hence the SGP's view is that openness and visibility may be a requirement in the public domain. Of course, there is also the aspect of cultures and traditions. Face-covering clothing can also have to do with Islamic culture and tradition. For example, it calls for freedom of expression and freedom of religion. This is a sensitive subject, but still the question to the government: what does the government want to do about the widespread displeasure about the non-Western culture entering the public domain? In fact, this is often about refugees who, in most cases, want to settle in our country because they are looking for freedom. But our country is not value-free in that sense. Here there are also values and norms that have grown in the Christian tradition. Does the Minister agree with this view? If not, what are the consequences for those who, for example, carry a burqa? If so, how can the government implement this properly and carefully in the integration of people from other traditions?
ParlaMint-NL_2018-06-12-eerstekamer-4.u83	Mr President, may I ask Mr Schalk, through you, how does he get the impression that the wearers of facial clothing are often refugees? That's not my impression at all. I would like an explanation of that statement.
ParlaMint-NL_2018-06-12-eerstekamer-4.u84	If I suggested that, I'm gonna fix that. I didn't say refugees often wear face-covering clothes. But there are many refugees from countries where Islamic religion is the prevailing religion. If they're here, they may have the tradition of wearing face-covering clothing. And then I ask the Minister: what do we do if these people come here? It is not quite free of values to come to our country.
ParlaMint-NL_2018-06-12-eerstekamer-4.u85	However, I would like a clarification from Mr Schalk on this question. Does he think that the government has a role to play in the freedom of religious experience and clothing of people entering our country? Is that what Mr Schalk is trying to do?
ParlaMint-NL_2018-06-12-eerstekamer-4.u86	Thank you for this question. Here you come to that very difficult area of religious freedom, where wearing face-covering clothing can be part of. People who come here in this case are about those refugees who choose the freedom of the Netherlands, may also be confronted with the fact that the freedoms here are not unlimited. There are traditions that people can be held to. I think the government has a job in that. The government must ensure, for example, that good values are transferred, that education is given in traditions and in the composition of our country and in the way in which we organise things, etc.
ParlaMint-NL_2018-06-12-eerstekamer-4.u87	Mr Schalk is, of course, quite right on this point.
ParlaMint-NL_2018-06-12-eerstekamer-4.u88	Sure.
ParlaMint-NL_2018-06-12-eerstekamer-4.u89	That is why we also have an integration course and a participation statement. It says, for example, that women can also be the boss of an institution or that it is customary to shake hands. But the question to Mr Schalk was what he thinks the government should do. He believes that the government should take a step to find something about wearing facial clothing. Does the government have to think of other traditions as well? I mentioned earlier that there are certain schools where you are expected to come with a skirt. Does Mr Schalk think that the government should step into the freedoms of how you dress and how you express faith for people who come as refugees, but perhaps also for others? That would surprise me in his party.
