ParlaMint-NL_2018-04-18-tweedekamer-4.u1	The first speaker is Mr Bishop on behalf of the SGP Group.
ParlaMint-NL_2018-04-18-tweedekamer-4.u62	My experience is that in marriage, you don't only manage with your mind, so to speak. If I have remembered one thing from the many conversations I have had with people from the Hoeksche Waard over the last few months, it is that the Hoeksche Waar is one and simple. I've heard that from opponents and opponents: the Hoeksche Waard is one and simple. In itself, for an outsider in any case, that is not surprising when you live on an island with each other. And yet the reclassification that has been submitted is not undisputed. The Hoeksche Waard is divided over its administrative future. Municipal councils are divided and the municipalities are divided. One municipality held a poll among the inhabitants, the other municipality did not. One will shrug his shoulders on that, where we as CDA do not. The inhabitants protest against the planned decision and that is a form of involvement in their own municipality. A reclassification debate is therefore not a technical matter. That's what emotions come into play, and they're very understandable. It is not surprising that the debate is now taking place in full force, because in the Hoeksche Waard this discussion has been going on for a very long time. In the past, it almost came to a reclassification and then it didn't. Mr. Chairman. The Hoeksche Waard stands for a firm challenge in its entirety. As one of the few areas in the Netherlands, it is an anticipatory region. That is something like a neighbourhood of opportunity, so I call it just as euphemistic, but in a rural region. It has been established that the shrinkage in the future will be very noticeable in the Hoeksche Waard, but even then it remains an attractive place to live and undertake. During the visit of the Permanent Chambers Committee, we saw that. The Hoeksche Waard is developing under the smoke of Rotterdam, which has a lot of influence on the region. This also applies to its attraction. However, the challenges will be significant, for example for education and housing. That's what we heard there, too. The CDA Group notes that civil society, entrepreneurs, the agricultural sector, education, housing corporations and welfare institutions at the level of the Hoeksche Waard have joined forces a long time ago. They ask themselves that they also did so in the hearing when the municipalities follow. But that's an administratively complicated matter. Despite the fact that the Hoeksche Waard belongs together, one also attaches to one's own municipality. Mr. Chairman. For the CDA, each reclassification raises the question of whether it has been made from below. If you can question that, and in the Hoeksche Waard, there is also resistance to a reclassification. As far as the CDA Group is concerned, there are those in the case of the Hoeksche Waard. For example, all municipalities indicate that in all cases there should be much stronger and firmer cooperation in order to meet all the challenges. For example, it looks at a Regional Council, to which powers must be delegated. My group has seriously asked itself whether this really will take you one step further without creating a stronger organisation behind it, because things must not only be conceived, but also implemented. We have also considered whether it is desirable for local democracy to remove powers from municipal councils. You may create first-rate and second-rate council members, or you may put aldermen at a head start that can no longer be overtaken by council members. For more than fifteen years there has been discussion about the administrative future of the Hoeksche Waard. I think it is high time that clarity emerged, especially after this long journey. Everyone involved has a right to that. In the opinion of the CDA-group Binnenmaas, Cromstrijen, Korendijk, Oud-Beijerland and Strijen are no problem, but they themselves indicate that things can't be done as they are now. The social challenge of shrinking and the economy in the region are demanding too much. For that, the hands will really have to be put together. Civil society calls very clearly for unity and decisiveness. Politics has been stalemate for years, in constantly different and sometimes very nuanced relationships. Now it is up to the Chamber to form an opinion on the law which the Minister submits to us. If I have remembered one thing from the many conversations I have had in the Hoeksche Waard in recent months, then this is it: the Hoeksche Waard is one and simple. As far as the CDA Group is concerned, there is a good future for the Hoeksche Waard if it will also be governed as one and undivided. That is why we support the bill. Thank you.
ParlaMint-NL_2018-04-18-tweedekamer-4.u63	Finally, Mrs Den Boer on behalf of D66.
ParlaMint-NL_2018-04-18-tweedekamer-4.u64	Mr. Chairman. I'm not gonna filibuster, but I'm gonna have a sip of water. With the planned reclassification of the Hoeksche Waard one does not go about one night ice. Already 50 years ago in the Hoeksche Waard there was for the first time discussed the administrative layout of the island. In the meantime, the lectures and municipal councils in the five municipalities unanimously agree that doing nothing is an irrefutable path. There is agreement that the Hoeksche Waard is facing a common future. There is a single identity and more decisions must be taken at regional level. The five municipalities in the Hoeksche Waard face major societal challenges. There is a strong trend of ageing on the island. Many young people leave the island to work elsewhere or study. The Hoeksche Waard also faces major challenges in the field of regional infrastructure and mobility. By the way, it is an island that has produced greats, such as Suze Groeneweg, our first female parliamentarians. I call this a very famous skater, which will also appeal to the Minister, Kees Verkerk from Puttershoek. By the way, my dad used to play football with him. And, of course, Cees Veerman, the former minister. As a beautiful island with a polder landscape, there are huge opportunities at regional, national and even European level: for high-quality agriculture with the emphasis on sustainability, for nature, water and the environment and for recreation, tourism and sport. All this at a stone's throw from the Rotterdam-Den Haag metropolis region. There are many challenges that need to be addressed in the region, but the municipalities together have not come out for years. More intensive cooperation is needed. Or is that reclassification still necessary? The municipal councils do agree that joint decision-making is too slow and too poachy at the moment. More cooperation at regional level is needed, including in the field of policy harmonisation and implementation. Finally, all municipalities see the Hoeksche Waard as one and indivisible. According to surveys, too much is being done from local interests and perspectives. It has also been shown that it is difficult to make choices that are better for the region as a whole. The five municipalities have jointly endorsed these conclusions. The municipalities were given many opportunities to find their own solution. They also agreed to a mandate for the province if the municipal councils themselves did not come out. I just said "unanimous." And is that the case? They did not agree on both solutions, both reorganising and working together. An open consultation was therefore launched by the Province in January 2016. The province has looked at two options: redefining and working together. Both options have been thoroughly examined. The cooperation model would include a new upper Hoeksche council, including the five municipal councils. A form of extended local government. The D66 group finds such a solution problematic, because the five councils on most dossiers are subject to the decisions of a Corner Council, an additional layer of administration that is not directly elected, but makes very large decisions. In addition, the establishment of a Regional Council involves costs, for which there is no separate coverage. There is also no support for the establishment of a Regional Council under two thirds of its members. Deputy States then decided to advise on a reclassification to one municipality of Hoeksche Waard. This would provide a sustainable solution and future-proof governance that could address the island's common challenges together, which could benefit its inhabitants. Contrary to the further shredding of the cooperation model, a new municipality of Hoeksche Waard could strengthen the vulnerable administrative apparatus. Now a lot of energy goes into consultation and coordination. Too often there is a lack of mutual benefit between the municipalities, which is why cooperation is not a good thing, which is so much needed. A strategic vision for the future is very important. It can focus on the position of the island in the region. The new municipality of Hoeksche Waard will also be able to strengthen itself internally and jointly. The Hoeksche Waard will again be a player of interest can and must become. There are many opportunities for strategic alliances in the wider region in the Rotterdam-Antwerp axis. A large municipality can then gain a stronger position at the negotiating table. Should a merger be decided, a powerful community of seventeen cores with about 86,000 or 85,000 inhabitants will emerge. The new city council can be strengthened with 37 council members and up to seven aldermen. Residents who are concerned about accessibility and service can be served with customised services. And if they want, their passports can be delivered to the house. D66 considers the support of the people of the Hoeksche Waard to be important. At an earlier stage, the residents were heard during various meetings and conversation evenings. During a hearing, the members of the House of Representatives heard the various views on the reclassification. We have also received many letters and emails. The previous survey of BMC shows that there is no majority for one of the two solutions. It clearly shows the impasse that has arisen. Furthermore, local politicians have clearly indicated that they are going to work with the concerns of the inhabitants. That's what's at the heart of it. It is also important that the facilities in the many cores that the Hoeksche Waard knows remain in order. I ask the Minister, is she prepared to ensure that the new municipality of Hoeksche Waard is actively engaged in an active core policy in which the proximity of the administration and relations with the district are actively secured? Civil society on the island is also very active. They want to escape the crippling situation on the island. They're looking forward to one Hoeksche Waard. They have united in the Pact of the Waard. They see the reclassification as a condition, so that the Hoeksche Waard remains attractive. Provisions must be maintained for the future. Dividement and polarisation are not the solution. Schools benefit from greater speed and clarity in decision-making. Libraries will lose less energy on alignment and can spend more time on content and quality. Companies now need to consult with five separate municipalities to ask if there is room for them. For example, I quote an entrepreneur: "We have to apply for a separate grant at each municipality in the Hoeksche Waard, explaining and paying separately. That's inefficient. This leads to additional costs on our part." Finally, Mr President. Research has shown that cooperation on the island is not working properly and that the influence of the council members is marginal. With that, the Hoeksche Waard doesn't take her chances. Not for the inhabitants, not for the entrepreneurs and not for the authorities. The administration seems to have been mainly self-employed and cannot make a fist against shrinkage, ageing, blockage. These issues and these problems call for strong and united governance. This year's deadlock must be broken. The Group of the European People's Party (Christian Democrats) and European Democrats is in favour of a reclassification. The municipalities in the Hoeksche Waard themselves indicate that the administrative power is weak. Moreover, all municipalities put together that doing nothing is not an option. At the same time, it can be concluded that they do not seek to strengthen cooperation. This leaves only the choice of reclassification. Although the Hoeksche Value houses many local traditions, there is also a common identity. Corner chefs make up one big family. D66 and myself as inhabitants of the island look forward to a powerful and united government in the Hoeksche Waard.
ParlaMint-NL_2018-04-18-tweedekamer-4.u65	Thank you. This brings us to the end of the first term of office. The Minister can actually answer directly. Can you suspend for two minutes? Then let's move on. I'll suspend for two minutes.
ParlaMint-NL_2018-04-18-tweedekamer-4.u66	I'll give the Minister the floor.
ParlaMint-NL_2018-04-18-tweedekamer-4.u67	Thank you, Mr. Chairman. Last but not least, I would almost say, if that was not English, which is not really allowed here: the Hoeksche Waard, the last of four debates we have yesterday and today, and yet another special reclassification. This was actually the subject of the first-term debate between Members of Parliament. Certain principles have been mentioned by many, for example: the Hoeksche Waard is one and indivisible. Doing nothing is not an option, was cited by several members. One agreed a little more than the other. More matters should be decided on the scale of the five municipalities. Those are all terms that keep coming back. Why do they keep coming back? Because all the councils of the municipalities involved agree that something needs to be done. They only disagree about what and how. Therefore, in this case, the exception confirming the rule that it should preferably be done from the bottom up is initiated and directed by the municipalities. In this case, the province has risen and taken its responsibility. She's a referee, neutral, and fair trial. In addition, it was clear that there were two directions of solution, if you use the starting point on which the councils agreed, namely that something must be done. Enhanced cooperation with perseverance or reclassification. There is no convincing support for either option. That was what the province also had to deal with in its directing role. It has been said by Mr Van der Molen and others: there has been a debate on this subject for decades. The emotions run out. I understand. I think, perhaps, that this is why you should say at some point: we need to make a decision, we need to clarify it. On the two models that have been developed, reinforced cooperation on the one hand and reclassification on the other, the province has finally considered that there is insufficient support for the enhanced cooperation. The present cooperation, because it is there, is not going smoothly. It doesn't seem to be going very well. That is not a good starting point for the province to continue with. Again, there is no consensus between the five municipalities on this model. It is also not quite clear how you could further implement that model. As a result, the other route according to the province is a better solution, a structural solution, a reclassification. The province wants to work together with the municipalities concerned to shape the follow-up, the proximity of the administration and the identity of the cores. They even made a document called "core democracy." Mrs Den Boer has just mentioned this as the most important starting point. Yeah, that's all part of it. We are talking about five municipalities of different sizes, between 9,000 and 29,000 inhabitants, but they are also 17 villages. These 17 villages, of course, all go on in the new municipalities as a village, as a core, as recognizable identity for the people who live there. Where does it differ? Well, because there won't be five lectures, five mayors and a multitude of aldermen, but one mayor, one city council and one mutual collaboration. That's where the improvement is. In other words, it is that exceptional situation with a very long history in 1960, there has already been a Minister of State who said that there should be a reclassification of which the province and the municipalities say there should be a solution. If we know everything well, and we know that there is no consensus on one route, then someone has to act as a neutral referee. That's what the county did. I would like it if later on when we talk about the Hoekse Waard the key word is no longer stalemate. That is the current situation, but 'together in one indivisible Hoekse Waard'.
ParlaMint-NL_2018-04-18-tweedekamer-4.u68	But the fact that there is a discussion about something and that this discussion has been going on for 50 years or more is not an argument in itself to end all these municipalities?
ParlaMint-NL_2018-04-18-tweedekamer-4.u69	I put forward the argument of the long-term discussion to indicate that there can also be a moment to say: let us choose a direction. The word stalemate is not a good word. It's no good to anyone if there's an impasse. I think we can also consider that there has been a sufficient period of discussion. There has really been a good search for the best way, also by the municipalities themselves, in the final phase under the direction of the province. Can you convince everyone and get everyone behind your proposal? No, probably not. But is it enough to say that this is now a decision that we can take to break the deadlock and to look to the future and do what is best for the inhabitants of the Hoekse Waard? Then I think, "Yeah."
ParlaMint-NL_2018-04-18-tweedekamer-4.u70	That was also because the only way that was offered was: bigger, by working together or joining together. Why I asked the Minister yesterday for a vision, and again today, is that there is, of course, another option, to look at the task package. If it is so clear that the population and also the leaders who want smaller municipalities, if they attach to their community and their identity, why not look at other possibilities, for example less investing tasks and investing the other tasks elsewhere?
ParlaMint-NL_2018-04-18-tweedekamer-4.u71	I started by saying that the municipalities agree that something must be done and that there are actually only two routes to achieve this. This has just been underlined by other speakers. One route is the reclassification that is now in progress and the other is the enhanced cooperation. Mr Van Raak now comes up with another variant, which amounts to: do not do any of that. When they say 'one and indivisible' and when they say 'we have to make more joint decisions on the scale of the five municipalities', that of course indicates a direction. A choice must then be made as to how to materialize this. The direction of the province has ultimately led to the proposal that is now before us.
ParlaMint-NL_2018-04-18-tweedekamer-4.u72	That's because those municipalities had no other option. They have been given that task package. They didn't get it from themselves, and they didn't get it from the county. They got it from the government and from the House of Representatives. That's the task package they had to do it with. So they show exactly where the problem lies: if we have to do this task, then we have to lift ourselves. An alternative is, of course, to see if municipalities can stay small and stay close to their own community, with a smaller task package. That's the vision I've been asking for. I hope that the Minister will want to offer that vision with those alternatives.
ParlaMint-NL_2018-04-18-tweedekamer-4.u73	Now I understand better what Mr Van Raak means. I said yesterday that this is in many municipalities. The decentralisations have been implemented. Investing tasks with the municipality, as close to the citizen as possible, has posed a number of municipalities to the question: can we do this ourselves or should we seek cooperation or merge it with neighbouring municipalities? That's right. I still think it is very wise that these tasks should be invested in the municipalities, because they do know much better what the needs and specific characteristics of their municipalities are. That's what I've seen in my own time as a local driver. They know where the priorities lie in their municipality and how care for the elderly can best be organised. They must deliver the whole palette of measures that the municipalities are about. Let them decide and let the municipal councils fulfil their supervisory function in that regard. I therefore support the fact that we are investing these tasks in the municipalities. I think it is a logical consequence for municipalities to ask themselves how they can best organise this. This is one of the exceptions that confirm the rule that it is usually made from the bottom up and can be determined in good harmony by municipalities themselves. Now two exceptions have been discussed here in two days. I would not like to draw the conclusion that Mr Van Raak draws from this: let us recentralise all policies and their implementation. I wouldn't be in favour of that.
ParlaMint-NL_2018-04-18-tweedekamer-4.u74	Now the Minister is making it a caricature and I do not think the discussion deserves it. The point is that municipalities have that possibility. Now they've been required to do all these tasks. And in a much larger number of cases than today, municipalities cannot carry out this themselves. That's why we have 877 partnerships. Many municipalities cannot do that and therefore need to become much larger. All I ask the Minister to do is to develop a vision to give these municipalities a choice. Then she shouldn't pretend I want to impose that centralistally. No, I want to offer municipalities a choice. They must first see what their community is and what tasks can be associated with it.
ParlaMint-NL_2018-04-18-tweedekamer-4.u75	I believe that the tasks that Mr Van Raak is talking about can best be carried out by the level of administration closest to that citizen. I have said many times today that there is no ideal scale at all as far as I am concerned. There are cities that are large where these tasks are very well organised and where citizens feel very committed and well served. There are small municipalities where they do. The question is, how can you organize it? Where do municipalities themselves think that they can best guarantee this quality of service? That's where I measure it, not the exact population. The points raised by Mr Van Raak are reflected in the development of the policy framework that I have promised the Chamber. Mr President, then there are a number of questions. Mr Bishop asked, building on what I said in my introduction, to what extent it makes sense in this particular case to enforce this merger under the direction of the province. I have actually already answered that question. Where the leaders and the municipal councils did agree that something had to happen, but did not agree on the way in which that reinforcement should take place, I think it is logical that the province and the local councils involved should direct this. I am convinced that they have sufficiently weighed all the municipalities and interests involved in the various municipalities. I have just heard that there must be an impasse, that there must be consultation on the desired final picture, but it is really just about very concrete things. Is there enough attention for those villages? They are already many more villages than there are municipalities. That must also be the case in the future. At the same time, these municipalities do not want to sell no to their inhabitants when it comes to their facilities and their quality. It is also about the collaborations that municipalities have with other partners. It could be about sports clubs. It could be about associations. It is now running tricky and in the new, merged municipality you can also organize that kind of thing much better, especially in the interest of the inhabitants of that municipality. Mr Bishop said that the province could have explored other options as well. A lot of research has been done. We were just talking about the long history this file has. Research was carried out in 2009. Research was carried out in 2013. Research was carried out in 2015. The collaborations that have already been carried out and with which we have worked have, in fact, always failed to deliver enough for the inhabitants of these municipalities. That is why it has been said: this is not a sustainable solution for the Hoeksche Waard. There is a limit to how much we can squeeze out of these forms of cooperation in the interests of the inhabitants. In a reclassification municipality there are many more possibilities for improvements. Mr Bishop asked first, but others also said: shouldn't municipalities decide on this first and perhaps last? In this particular case, I think it is very relevant that municipalities have said: we think something should be done, we cannot agree on what should then be done, province, take over the direction of the process. An impasse is not good. If there is an impasse, I think it is very good to call for help from the outside. That is what happened in this case. And that's how the county's set itself up. Mr Bishop also said that this should not result in provinces coming up with blueprints. The Empire does not make blueprints, we here in this Chamber do not make blueprints, then provinces should not do that either. I think he's absolutely right about that. I don't see this as a blueprint imposed by the county. I see the province as a director, who, in consultation with the municipalities, has provided a perspective, and that perspective is that reclassification. The process has been carefully completed. There have been visitation committees and there have been talks with all involved. By the way, I am talking not only about directors, but also about civil society. That is the way in which the province has filled that out, and that is indeed something other than making a blueprint from above, which I would not want either. Mr Van Raak and others asked how this could be a happy marriage in this way. I think you should say you're talking about municipalities that have been living together for a long time. In such a relationship too, mediation may sometimes be necessary. That's actually how I see this process. There are examples of this yesterday, I believe, also mentioned Goeree-Overflakkee, where there have been very positive developments, where residents, entrepreneurs and directors have started to work well together and the combination has had positive effects, both economically and socially, as well as for livingability. I am confident that this can also happen in Hoeksche Waard, with one municipal government and at the same time with all due respect for the local identities of the cores. I am confident that once the decision has been taken and that clarity is provided, people will simply turn their backs on it and do so. I have already said a few things about the basis of support. Perhaps a few more questions from Mr Krol. He suggested there might be another merger in 20 years. I don't have a glass ball and I can't see into the future, but I can see into the past. As I said, in 1960 the then Minister for the Interior, who did not want to deal with a border correction, said that one reclassification plan would be desirable for the whole area. In 2001, this was also indicated by the then Minister for the Interior, when there was another reclassification. This has such a long history that I think, now that the five municipalities themselves say: we want this, but we do not come to the conclusion that this reclassification is necessary and that it will not lead to new wishes in five years, ten years or twenty years, but rather to a conclusion of a long history. Mr Krol also asked whether it was true that there was no referendum in two municipalities, namely those two municipalities which are in favour of this. That's right. Two municipalities, Oud-Beijerland and Strijen, did not hold a referendum. They have chosen to measure acceptance in a different way through walk-in evenings with residents and through conversations, as I said, with civil society organisations. So there has been involvement of the inhabitants, but no referendum has been chosen for that. As I said in the previous debate, as far as I am concerned, municipalities decide whether or not they want to do so by referendum. I have already said something about cooperation. Mrs Özütok asked, and indeed Mrs Den Boer, for attention to be paid to the accessibility of the facilities. That must of course be one of the spearheads of the new municipality. Local politicians have also pointed out that this is a key issue for them. They are also thinking about very concrete issues such as participation, recreational opportunities, Sunday rest and also municipal facilities. I believe it was Mrs Den Boer who, as an example, mentioned the passports that could be delivered at home. In this way, hands and feet are given very practically. That seems to me to be an important point of attention, and I hope that will be an answer to Mrs Özütok's question. Finally, Mrs Den Boer spoke about core policy. She actually asked if I am prepared to see that active core policies are pursued. I think that the proposal before us is actually a prerequisite. This needs to be properly shaped. I understand from the documents and from what has been said that the Hoeksche Waard and the current five municipalities see this as well as the province. So I'd be happy to tell her that, Mr. Chairman. Thank you.
ParlaMint-NL_2018-04-18-tweedekamer-4.u76	Thank you. That was the government's first term. I'm looking around to see if there's a need for a second term. That is the case, at least with Mr Bishop on behalf of the SGP.
ParlaMint-NL_2018-04-18-tweedekamer-4.u77	Mr President, thank you, if only to thank the Minister again for answering the questions. I shall also include the previous item on the agenda. I'd like to do that with my heartfelt heart. The role of the province is one point that is clearly lacking. It is suggested that these churches, in despair, lifting their hands to heaven, have turned to the province with the words: we are not coming out, help us. However, there is also another version of the interference of the province. That gives a slightly different view of the role played by the province, also more in the sense of: you come out, it has to be unanimous and if not we will arrange something. Those different versions always make it a bit difficult. This means that, thanks to the Minister for his answer, we will involve the answers in our deliberations. We'll sleep on it again and then we'll definitely get out.
ParlaMint-NL_2018-04-18-tweedekamer-4.u78	Always wise.
ParlaMint-NL_2018-04-18-tweedekamer-4.u79	Thank you, Mr President, for these words of appreciation. It encourages a human being. We are doing our best, Mr President, and we hope to vote wisely for or against next week. We'll leave that over the market for a while.
ParlaMint-NL_2018-04-18-tweedekamer-4.u80	You keep the tension in, thank you, Mr. Bishop.
ParlaMint-NL_2018-04-18-tweedekamer-4.u81	I realize that Mr Bosma will be breaking down over the next week, the uncertainty in which the SGP leaves him, but yes, unfortunately, I cannot offer him any more at the moment. If he appreciates it, I'd like to have a pastoral conversation with him so he can get through the week. I'm always willing to do that, but that's what I like to hear.
ParlaMint-NL_2018-04-18-tweedekamer-4.u82	That's what you promised me, so he's coming after me. Thank you, Mr. Bishop. You're gonna be very busy with those MPs. I shall give the Minister the floor, if necessary.
ParlaMint-NL_2018-04-18-tweedekamer-4.u83	Mr President, I shall be very brief. I think I wish only Mr Bishop a very good night's sleep. Thank you.
ParlaMint-NL_2018-04-18-tweedekamer-4.u84	Thank you. This brings us to the end of the discussion of this bill.
ParlaMint-NL_2018-04-18-tweedekamer-4.u85	About the bill and the motions filed... No, no motions have been tabled. We're just gonna vote on the bill next Tuesday. I would like to thank everyone, especially the people who have come here today to follow this debate closely.
