ParlaMint-NL_2018-05-31-tweedekamer-11.u1	I give the floor to Mr De Roon on behalf of the PVV.
ParlaMint-NL_2018-05-31-tweedekamer-11.u76	Then we will do so on the basis of any new motion and I will give an opinion on it. Then the motion to part No. 457 by Mr Van Ojik on product labelling. That motion calls on the government to inform the Chamber whether products from the settlements in the occupied territories are in practice labelled as such and how this labelling requirement is maintained. This point has indeed been raised by Mr Van Ojik in the AO. The identification of the origin of products is a responsibility of companies which are supervised by the NVWA. To be honest, I do not feel that there should be any additional supervision on top of that existing supervision. If anyone is concerned about the supervision of NVWA, Mr Van Ojik or anyone else, a complaint may be lodged. But I don't feel like stacking supervision, so that's why I have to discourage this motion.
ParlaMint-NL_2018-05-31-tweedekamer-11.u77	The point is that there is a European directive that prescribes something. In the debate I said that I never noticed that this directive was being implemented. So I cannot find products in Dutch supermarkets that bear a label stating that the product comes from a settlement in occupied territory. But I may be wrong, so I ask the Minister whether that directive is being complied with by the Netherlands and how. I am not arguing for a new supervisory mechanism. If it is another public authority to monitor this, I assume, within the framework of the cabinet policy unit, that the Minister will be able to inform me of how that supervision is taking place. That's all. I am not arguing for a new supervisory mechanism.
ParlaMint-NL_2018-05-31-tweedekamer-11.u78	Clear. The Minister.
ParlaMint-NL_2018-05-31-tweedekamer-11.u79	The motion says: invites the government to inform the Chamber whether products from the settlements in the occupied territories are in practice labelled as such and how this is maintained. Well, I state that enforcement is done by the NVWA. So I can answer that part. But the first part of the operative part does require an additional examination and I really do not feel like doing such an additional investigation on top of the supervision that the NVWA is already keeping and the possibility of complaint. So that's why I advise against this motion. Mr Voordewind raised the question of whether I would categorically exclude the support of resolutions condemning Israel. I cannot categorically rule that out, because I do not know on what grounds resolutions will be tabled against Israel or another country in the future. So I really have to judge on the basis of the facts whether or not Israel complies with international law, and for that reason, whether or not Israel is rightly convicted. My commitment is always to make a balanced judgment on the basis of the facts. Mr Voordewind's second question is whether the government is still committed to the tripartite meetings. I can answer a full "yes" to that. Then I come to the motion...
ParlaMint-NL_2018-05-31-tweedekamer-11.u80	...by Mr Bishop.
ParlaMint-NL_2018-05-31-tweedekamer-11.u81	...by Mr Bishop. I could keep up a whole argument, but...
ParlaMint-NL_2018-05-31-tweedekamer-11.u82	Well, I'd rather not.
ParlaMint-NL_2018-05-31-tweedekamer-11.u83	... as the President indicated, I would actually ask him to hold this motion until next week's debate on this issue.
ParlaMint-NL_2018-05-31-tweedekamer-11.u84	That's what Mr. Bishop will do, I think.
ParlaMint-NL_2018-05-31-tweedekamer-11.u85	If this motion is voted on next Tuesday, then one of the angels has already been removed from the debate. That would be a shame, of course. So that's why I'm holding this motion.
ParlaMint-NL_2018-05-31-tweedekamer-11.u86	At the request of Mr Bishop, I propose his motion (23432, No. 458). That is what is decided.
ParlaMint-NL_2018-05-31-tweedekamer-11.u87	That's how I know you. Thank you, Mr. Bishop. Then we'll go to the motion in part no. Mr Kuzu, Mr Kuzu, Mr Kuzu, Mr Kuzu, Mr Kuzu, Mr Kuzu, Mr Kuzu, Mr Kuzu, Mr Kuzu, Mr Kuzu, Mr Kuzu, Mr Kuzu, Mr Kuzu, Mr Kuzu, Mr Kuzu,
ParlaMint-NL_2018-05-31-tweedekamer-11.u88	This motion by Mr Kuzu strongly condemns the Israeli shelling of civilians in Gaza, which has taken place since 30 March 2018. I have indicated that I really need the research in order to be able to make a precise assessment of this. So I must advise against this motion. Then the motion to part No. Mr Kuzu, Mr Kuzu, Mr Kuzu, Mr Kuzu, Mr Kuzu, Mr Kuzu, Mr Kuzu, Mr Kuzu, Mr Kuzu, Mr Kuzu, Mr Kuzu, Mr Kuzu, It invites the government to gain support at UN and EU level for more concrete measures to strengthen the preservation of the two-state solution. The government is convinced of the two-state solution as the only logical final solution. So our commitment at EU and UN level is indeed to move in that direction wherever we can. So on this motion, I can leave the verdict to the Chamber. The motion in part No. 461 calls on the Government to organise consultations at UN and EU level on measures that would bring about a structural improvement in the security situation of the Palestinians in Gaza, such as the deployment of a UN force. The deployment of a UN force: that part is an implementation that is really not real at the moment. You really need to step in a peace process first from both sides. So I'm going to have to dissuade this motion. Then the motion to part No. 462: calls on the Government, at EU level, to support the suspension of the Association Treaty with Israel, to respect and promote the rights of Palestinian children to Israel. I indicated in response to Mrs Karabulut's motion that I was concerned about the position of minors in detention and that I could therefore support her motion. Moving on to suspending the association agreement now is really going too fast for me. So I must advise against this motion. The motion in part No. 463 by Mrs Ploumen also discusses the position of minors and calls on the government to discuss the child rights situation of every minor imprisoned in Israeli prisons separately with the authorities. I share the importance of focusing on the position of minors in detention, but "everyone separately"? I really can't guarantee that we have the ability to do that, so I have to discourage that motion.
ParlaMint-NL_2018-05-31-tweedekamer-11.u89	Mr Kuzu has, I think, a further question on the previous motion, in part No. 462.
ParlaMint-NL_2018-05-31-tweedekamer-11.u90	Correct, Chairman. The Minister stated in his reply that it is going too fast, too fast at the moment. My logical question to the Minister would then be what should happen in order to suspend the association agreement. What's to be done?
ParlaMint-NL_2018-05-31-tweedekamer-11.u91	I'm not going to speculate about that.
ParlaMint-NL_2018-05-31-tweedekamer-11.u92	You are free to put the motion to the vote, Mr. Kuzu. Mrs Ploumen has another question about her motion on item No. 463.
ParlaMint-NL_2018-05-31-tweedekamer-11.u93	Yes, a very brief question about my motion. I do, of course, understand what the Minister is saying, although I am very sorry. Would it be a suggestion to do so at EU level?
ParlaMint-NL_2018-05-31-tweedekamer-11.u94	I can't judge that like that. I cannot judge how much additional capacity that will generate and whether I can mobilise EU countries for this, so I cannot just say yes to this.
ParlaMint-NL_2018-05-31-tweedekamer-11.u95	I understand. I am prepared to hold the motion to give the Minister an opportunity to consider it. Would that be possible?
ParlaMint-NL_2018-05-31-tweedekamer-11.u96	Yes, I will come back to that in writing, but that will take some time, because then we really need to be able to discuss the feasibility of this question with the EU countries. But I'd like to do that.
ParlaMint-NL_2018-05-31-tweedekamer-11.u97	It's all very well for that. If it is not feasible, perhaps the Minister could indicate what would be possible within the EU. That would be extremely helpful. I'll hold the motion.
ParlaMint-NL_2018-05-31-tweedekamer-11.u98	At the request of Mrs Ploumen, I propose her motion (23432, No. 463). That is what is decided.
ParlaMint-NL_2018-05-31-tweedekamer-11.u99	This brings us to the end of this VAO.
ParlaMint-NL_2018-05-31-tweedekamer-11.u100	We will vote on the motions tabled next Tuesday. I thank the Minister and the MPs.
