ParlaMint-NL_2018-11-01-tweedekamer-4.u1	The next item is part two of the budget for Education, Culture and Science.
ParlaMint-NL_2018-11-01-tweedekamer-4.u70	I understand that sense of the Chamber very well. I just hope he understands my position, too. Every year, we make an overall assessment of the whole budget. I cannot predict what considerations we will be faced with in the years to come. In fact, we talk about the budget here every year. Then it's decided. I have been very clear about my intention here, but you cannot pin me on the overall balance that must be made in all the budgets in the coming years. I understand your wishes very well, and of course I have them very well in my ears at that integral consideration. But you can't do it outside of that integral consideration. That would be fundamentally contrary to the way in which we weigh all budgets in full every year.
ParlaMint-NL_2018-11-01-tweedekamer-4.u71	I also understand the position of the Minister; let there be no misunderstanding about that. However, the simple fact that this Chamber, in the General Political Reviews Chamberwide, reverses a planned austerity, shows that the Court's opinion is that there should be a fence around it. I would therefore ask the Minister whether, when a motion is tabled for this to be settled, she says that she is leaving that judgment to the Chamber.
ParlaMint-NL_2018-11-01-tweedekamer-4.u72	I understand that wish very well, but if the Chamber comes up with a motion that is really different on this point from how we deal with the integral weighting of budgets in the cabinet, then I have no choice but to discourage it. You understand that very well. Of course, the signal that the Chamber is sending out to me at the General Reviews and here about this regulation is absolutely clear. And again, that's very good with me at the moment we make that integral consideration. But if the Chamber comes up with a motion from which this very sensible Minister of Finance would also say 'yes, Madam Minister, it is really contrary to the way in which I deal with the various budgets in the Cabinet', then I can only discourage that motion. I believe that this is a clear suggestion for possible texts. Mr. Chairman. Let's move on to finance. Among other things, Mr Van Meenen has drawn attention to the financial reserves of the universities. His question was: doesn't there really remain too much money on the shelf? I also asked the VSNU that question. I can tell you that the VSNU has shown its willingness to look at this. The September paper of the VSNU, Space for Investment and talent, states that universities will cooperate to ensure that money for education and research is not left on the shelf. If you were to ask me how many reserves are really available right now, I still owe you that answer. I don't know right now. We really need to look at that together and deeper. But if it is true that there is unnecessary money left on the shelf, then of course we agree that this is an undesirable situation that we really need to do something about. So, together with the institutions, their supervisory boards and the inspection, we need to see if we can use some of those financial buffers for education and research, and what are the responsible risks. The fact that the VSNU itself did that hand-off shows me that there is room there. But I really want to look at that in full precision, so that we can do it responsibly. But the fact that these reserves have risen over the past few years and that I really see institutions where solvency is far above the alert value gives me the feeling that there is room here. But I can't quantify it in any reasonable way right now.
ParlaMint-NL_2018-11-01-tweedekamer-4.u73	That's actually a very worrying signal. I have tried to do so by looking at general reserves. Does the Minister agree with me that you can expect a general reserve to have no destination, that you can expect no money to be stuck in stones there? And does the Minister agree with me that, if there is money stuck in stones, then that has been a choice and not an outside forced situation, but that you can also make other choices, as happens in HBO, for example?
ParlaMint-NL_2018-11-01-tweedekamer-4.u74	I am not going to have a debate with Mr Van Meenen on exactly what exactly you should and should not put into which reserve. This also has to do with the way auditors look at it, but it does not seem to me to be a very fruitful discussion for this debate. He does have a point about how you handle the real estate. I would also like to have this discussion with the institutions. Is it wise at this time, for example, to first save everything and then invest per fund in buildings, or is treasury banking more sensible at the moment? If you look at all these resources, how can we achieve the most efficient use of them? I'd like to take a look at that with him. How can we use all these resources as cleverly as possible, so that there is as little money stuck in reserves as possible and the institutions are solid and do not take irresponsible risks? How can we liquefy as much of that money as possible?
ParlaMint-NL_2018-11-01-tweedekamer-4.u75	That sounds extremely sensible to me. However, I do note that the Minister, who has the annual accounts in her ministry, cannot draw from those annual accounts what is actually available. This obviously requires a wide-ranging discussion with the institutions, and I find that very worrying in itself. I would therefore ask the Minister to look very closely at this point in the whole relationship with real estate in those talks. It is my belief that, especially if the universities themselves state that the need is so high despite all the money that comes towards them, they must do everything they can to make the money liquid. So they shouldn't have an attitude of leaning back, saying it's stuck and we can't reach it. Does the Minister agree with me?
ParlaMint-NL_2018-11-01-tweedekamer-4.u76	I would like to say to Mr Van Meenen that we are going to take this point explicitly into account in these discussions. Mr. Chairman. As in many sectors, researchers and teachers in higher education rightly call for attention to be paid to their workload. I am also thinking, for example, of accompanying WOinAction, which I have spoken about. But also to the signals you received in the hearing on workload. The Rathenau Institute pointed out to you that institutions themselves are often responsible for this high workload and for the many flexible contracts. That is why, together with universities and colleges of applied sciences, I am also looking at the causes and possible solutions for this workload. It is very clear to me that we need to work on reducing temporary contracts. This gives rise to much of the feeling of pressure on teachers. It struck me when I visited institutions where I encountered WoinAction, that was especially the point I was reminded of. It's people right to be high up. That is what we are talking about with institutions, because there is a valid point. Mr. Chairman. Comments were also made on the ten-year interest rate. There were no questions about it, but I still need to say something about it. Honestly, I'm very honest about that. It's not my favorite measure either, but I do understand him. These are long-term loans with long-term commitments. You're gonna have to pay an appropriate interest rate on that. I fully understand that the CDA and the Christian Union have opted for this measure in the pass-through of their election programme in order to correct the sustainability deficit of their programme. This seems to some people, of course, very far away, but here, too, the question is ultimately: do we take responsibility for the sustainability deficit here, or do we transfer it to future generations? From that point of view, I understand that measure. Of course, no one really likes doing this, but let's also take a good look at the effects of this. It's a good thing to see that effect. With an average student debt of €21,000, the monthly refund amount will increase by about €12. This is an increase of €70 to €82, but please note: only if a student's income is sufficient. For example, with an income of €40,000 that is not a very low income.... the interest rate increase has no effect. It will have no effect, because the social payback conditions protect the former student from too high a monthly burden. I had that mapped out very clearly as well. For example, for people who have low income after their studies, the effect in their monthly expenses is zero. I believe that none of us like this measure. Yes, it is important that we also make public finances sustainable in the future and that we contain the sustainability deficit, but let us also be honest with the students about what this means in the future, and let us not unduly scare people. These are the clear facts again. I understood earlier that Mr Özdil would very much like a very quick decision on this bill. I think it's been signed up for plenary. As far as I am concerned, you can just vote on Tuesday, but that is of course up to you.
ParlaMint-NL_2018-11-01-tweedekamer-4.u77	You must have some nerve. You must have some real nerve chasing the students on expense. For students that is rather quickly relatively much. It is then said that this is what we do to maintain the sustainability balance. If we do not correct all the expenditure of this cabinet with the occasional windfalls, the sustainability surplus is -0.4%. That's really irresponsible. Fortunately it is 1% this year, but that is mainly because there are many occasional windfalls. And then we take a little bit away from the students because of the reason for a structural shelf life surplus. That is really strange, because in the context of the reduction in corporate tax, we are giving away EUR 1.5 billion, which is not necessary at all. That's not necessary at all at this time. That's what the CPB says, and that's what the Council of State says. So I really think this is a bit of a false story, too, if I'm being honest. The minister had me at the beginning, when she said, "Let's look at the facts." But the facts are that we are taking away a very small amount of money, which is a lot for the students, and that we are giving this to the big companies in particular through the reduction of corporate tax. I think that is irresponsible, and I do not think I can explain it either.
ParlaMint-NL_2018-11-01-tweedekamer-4.u78	I can explain it very well, because we have the instrument of the study advance not only for this year but long-term. You can see that the outstanding loans are on the rise. These are long-term loans, which the government must also finance. You have to balance that somewhat in order to keep it truly sustainable in the long term. We are talking not only about the students of today, but also about tomorrow's students and the students of the day after tomorrow. Of course, no one really likes to explain this, but let's be honest about its effect. Only for students who will really have a decent income, this really counts in their monthly expenses. For example, if you earn more than €40,000, it goes to €12 per month. So let us be equally real about the effects of this, but I think it is very appropriate that this cabinet should say: we have a system of long-term loans, which should be subject to long-term financing, and we take account of this sustainability deficit.
ParlaMint-NL_2018-11-01-tweedekamer-4.u79	I really do not understand how the Minister can explain why he is choosing to give EUR 1.5 billion a year to reduce corporate tax and then partly compensate for this by removing it from students. I just think that's weird. The Minister is looking at me, but that is how this communicates. Those are choices you make, including the reduction of corporate tax. That reduction is not necessary. In the neighbouring countries, corporation tax is often higher. It's not necessary at all. Nor is it necessary to drive the economy forward. We're in the middle of a boom. And then you say: yes, but we still have to ask the students for a small contribution. The cabinet makes choices. They're not meant to help the students. It's no use to them. They complain about it and find it unjust. I just think it's a bad story. I don't understand either. Why spend EUR 1.5 billion each year on a structural reduction in corporation tax and then say: we are going to raise interest rates a little bit for students?
ParlaMint-NL_2018-11-01-tweedekamer-4.u80	I explained why that is the case. The debate on the government's decision to reduce corporation tax has been held several times here in the Chamber. I don't think it makes any sense to do that here today. I'd be repeating myself. I understand that it is not your choice, but I think it is very much to be defended in order to bring interest rates into balance with the duration of the loan, with a very clear effect for students because of the enormous social reimbursement scheme that comes with the study advance. Mr Azarkan feels differently. That's your right.
ParlaMint-NL_2018-11-01-tweedekamer-4.u81	The Minister once again claims that the increase in student debt interest rates is about the sustainability of public finances in 2060. The Chamber requested this by means of written questions by means of written consultations. The Minister himself has indicated that these are her own words: "The government does not consider that the study funding system is financially unsustainable." She turned that in herself. And, she says about the assumption that the increase in student interest would improve finances: there are no findings from independent parties to this. In answers to questions from the Chamber, she states herself that her own claim is not based on anything. How is the Minister able to make a claim that she has already acknowledged is not based on anything? How does she do that?
ParlaMint-NL_2018-11-01-tweedekamer-4.u82	Mr Özdil must be a bit precise. I never said the system would become untenable otherwise. I did say that it contributes to improving sustainability. That's something else. Improving the shelf life is something else than saying: otherwise it will become really untenable. There's still a lot of space in there. So please be a little precise.
ParlaMint-NL_2018-11-01-tweedekamer-4.u83	This clarification by the Minister merely indicates that she is making a claim that is unsubstantiated. It's not about shelf life, but it's about shelf life. Everyone's lost it.
ParlaMint-NL_2018-11-01-tweedekamer-4.u84	No. It is about improving sustainability. You can say every time you are wrong that everyone has lost their way, but I see colleagues who have not lost their way at all. There is a factual difference between whether something is completely unsustainable or whether you can improve its shelf life. There is often a lot of difference between whether something can't be done at all and whether you can improve something. That's often the case. Those are also gradual scales. I hope you have a bit of an eye for that nuance.
ParlaMint-NL_2018-11-01-tweedekamer-4.u85	I thank the Minister. In other words, she says here: we're just going to milk students. Well, that's good then. My final question is this. Following the broken promise of pre-investment in educational quality, this cabinet, with a D66 minister, is now threatening to break a promise, namely that interest on student debt would remain low. Does the Minister agree with me that D66's promise as an educational party is not worth a slap in the face in this way?
ParlaMint-NL_2018-11-01-tweedekamer-4.u86	I totally disagree with both Mr Özdil's statements. I have just tried to explain to you the effects that this has on students and on what incomes that is going to apply. I understand that this is an answer that Mr Özdil does not like, but I think it is a bit of a cheap trick to do this kind of text. I'm just trying to explain it in a very factual way. That you are not satisfied with that is your right. But let us continue to use a bit of normal words. Mr. Chairman. I've come to the shortage of teachers. If there is something that concerns Mr Slob and I daily, then that is the shortage of teachers. Mr Slob will deal with this in detail later. I am doing this briefly as far as my own area is concerned. Teacher training obviously plays a very important role in tackling the shortage of teachers. They are therefore themselves working on more attractive courses, inter alia by doing the differentiation within training courses and by training and guidance of students together with the schools. Training is therefore done more in the school. They are also working on more customization for side-intromers. With the halving of tuition fees for the first two years, we also contribute to making these courses more attractive. What is unique in the Netherlands is the part-time factor. It is large in those sectors where deficits are also high. This also offers opportunities because a lot of potential is still untapped. This concerns me not only as Minister of Education, but also as Minister of Emancipation. With the interdepartmental policy research, we are going to look at how so many women work part-time in certain sectors. Recently, McKinsey said that the deficits in health and education could largely be remedied if all women working part-time were to work more hours. The cabinet is working to improve the framework conditions for them, including a tax review, investment in childcare and the extension of parental leave. Of course, we can't do that alone. Employers remain the key factor in this. We want to continue to involve them in this. I would also like to mention the importance of the diversity of teachers. Mrs van den Hul, Mrs Westerveld and Mr Azarkan rightly pointed out this. I will continue to draw attention to the importance of schools and institutions. As a minister at institutions, where I am responsible for the appointment of supervisory boards, that is always something I consider very strongly. And I expect others to do the same. Diversity is not only good for the teams, it also ensures that students and students get good role models. So it is very important that we all strive for an image for the class that corresponds to the diversity in society. Mr. Chairman. There were many other questions in the field of emancipation, but they were answered in writing.
ParlaMint-NL_2018-11-01-tweedekamer-4.u87	It is a fine aim and it is commendable that the Minister talks with lectures, boards of directors and so on as much as possible. She says she assumes that others think it is important. My question is what we are going to do about it. Are there targets? Is there going to be a plan of action? It is a persistent problem in many places in society. Are we really gonna do this now? Is the Minister coming up with a concrete action plan? 'Cause it's not gonna happen by itself.
ParlaMint-NL_2018-11-01-tweedekamer-4.u88	No, it's definitely not gonna happen by itself. We really still have a long way to go, but for the time being I choose the way to continue to hold the conversation, to set a good example and to point out the importance of reflecting society for the classroom and the lecture hall.
ParlaMint-NL_2018-11-01-tweedekamer-4.u89	In my opinion, this good example does not appear in the government, especially in the higher scales. There it is quite dramatic; I have been able to walk around there for a number of years. I think it's a bit of a lame story. We think it's important because we see that several teams perform well. We think it is important because we see that people recognise themselves when there is a reflection of society. But we're just gonna talk about it. Is the Minister prepared to do more than just say that he is going to have the conversation?
ParlaMint-NL_2018-11-01-tweedekamer-4.u90	First of all, let me say that I wanted to take a look at myself before I come up with all kinds of tough measures for others. To be honest, I wasn't proud of it when I found out that my own department isn't exactly the most diverse department. I have spoken to the administration about this: this must be a real priority. I think that as a minister, I really should set an example. But if you are asking me at this point whether I am coming up with a concrete action plan on this point, the answer is no, but I will continue to set an example and continue to emphasise it. And I will continue to ensure that it is an essential criterion where I actually have powers of my own.
ParlaMint-NL_2018-11-01-tweedekamer-4.u91	Mrs van den Hul may still be here, but then she really should be at the interrupting microphone.
ParlaMint-NL_2018-11-01-tweedekamer-4.u92	I thought my neighbor wanted to ask another follow-up question. That's why I kept my distance.
ParlaMint-NL_2018-11-01-tweedekamer-4.u93	That's what he wanted, yeah.
ParlaMint-NL_2018-11-01-tweedekamer-4.u94	The Minister had completed her response in the field of emancipation. I am missing two points, first of all the issue of IHBT security. In the written reply, the Minister says that she is talking about this with her colleagues at JenV and that we will be informed about it next year in the feedback emancipation. Seven out of ten Ibtis face verbal and physical violence. Last year there were no less than 1,200 reports, which is estimated to be just the tip of the iceberg. 1,200 reports! So that's at least three a day. We think it is too long to wait until the feedback next year. Unfortunately, there are too many people involved in this. We tabled this motion six months ago together with Mr Sjoerdsma. We think it is too long to wait another six months for the feedback. Can the Minister speed this up? The second point I missed concerns prevention. We see that men are overrepresented in the statistics of perpetrators of sexual violence, of physical violence, of violence behind the front door, and so I can continue. The Minister mentions three very good projects in the reply. I know all three of them. They are certainly worth supporting as far as we are concerned. But we also say: is that enough? Is that enough to tackle the problem in a structural way? I would therefore like to ask the Minister if she can say more about what she is going to do in the area of prevention, for example with regard to safe cities or education. How are we going to ensure that boys and men are really involved in this emancipation policy?
ParlaMint-NL_2018-11-01-tweedekamer-4.u95	It is good that Mrs van den Hul herself is already talking about the cities, the issue of social security. I understand her impatience, but the motion is from six months ago and we really need to do this as well. I recently increased the number of Rainbow cities. For example, when it comes to social security and the position of men, things can often be done locally much more comprehensively and more effectively than nationally. I have therefore increased the number of cities. I'm also talking to them in a very concrete way. What can they do locally to deal with that? We support them in that. I'm very attached to that network. Actually, I've called all these 49 cities to take another municipality with us when we get back together. In this way, we can make the network ever more solid and expand, so that all the municipalities work hard on it and everyone can feel safe on the street, regardless of his orientation or who he loves. I think that is very important, and we really need to deal with it locally. I understand your impatience. I understand that you say that we can always do more and better, but sometimes we also have to row with the belts we have and really see how we can do that step by step.
ParlaMint-NL_2018-11-01-tweedekamer-4.u96	I understand that and I agree that it is very important to ensure this theme locally. I am therefore pleased that the Minister is discussing this. And yet I wonder why these conversations with JenV take so long. Is there any resistance? Is there a problem in implementation? I would ask the Minister to stay on top of that as a responsible minister for emancipation. Then there is the issue of prevention and men. With all due respect, I would like to say once again that there are three very good projects, but that is not enough as far as we are concerned. So what is the Minister going to do to appeal to her colleagues in other departments to prevent this? I would say that almost the entire budget of the JenV Ministry is gender-specific. In fact, most of it goes to violence committed by men. What is the Minister going to do to get the prevention there properly on the retina?
ParlaMint-NL_2018-11-01-tweedekamer-4.u97	Prevention and gender-specific policies need to be seen everywhere. Of course we have projects and of course there can always be more, but my budget on that point is also finite. We look very closely at all the regulations we get and at everything other departments do. We're looking very closely at whether it's been taken into account. I have that conversation with all my colleagues all the time. Have you been watching this? Well, let's face it, that's sometimes pushing and pulling. Not everywhere, in every office in The Hague, that's very good. I feel it's my responsibility to make sure that happens. That means you have to raise your finger all the time and say, "Have you looked at this?" Have you seen this? Maybe it doesn't happen as soon as you, or I, would like, but we're going to notice it in the pieces that come here. They will increasingly call for specific attention to be paid to this issue. I understand your impatience very well. Yeah, I do. But it is also a persistent problem in society. You also know very well that you can't just turn a button and then it's solved. It takes a long-term, long-term breath. That's exactly what I'm trying to do.
ParlaMint-NL_2018-11-01-tweedekamer-4.u98	I guess we're going to the science block now?
ParlaMint-NL_2018-11-01-tweedekamer-4.u99	Mr President, I have two more points on teachers. Mrs Tielen and Mr Van der Molen have drawn attention to the following. It is also a good thing that they have drawn attention to this. What are the obstacles when employees are lent to education by companies to teach there? What are the obstacles to those hybrid teachers? They are particularly valuable in vocational education. With one leg they stand in business practice and with the other leg in education. I'm talking to the field right now to map the bottlenecks. We identify them first and then, of course, we have to deal with them. Because you really want as many teachers as possible who have that wish to combine things. I really think it is a very promising and beautiful form, which can also contribute to solving the shortage of teachers. In the progress report teachers we will also come back to those bottlenecks and our solutions. Finally, on the subject of teachers. Mr Bruins asked about the extension of the Wbso regime. I'm gonna talk to Treasury about it. It is ultimately a question of a financial arrangement, so the debate will also have to take place there. But I'll do it on my own. I can assure Mr Van Meenen that I will conclude the discussions on the educational master's degree with the right of instruction for the Spring paper, so that you know where you stand. Mr. Chairman. It is good to talk about science here, although there will soon be an extensive letter to your Chamber. Then we'll talk more about it. Mr Van Meenen asked me, on behalf of Mr Van der Molen, how I felt about the ambition of the Einstein Telescope in South Limburg. It's about a lot of money there. This calls for a careful and rather difficult cost-benefit analysis. How much scientific relevance is it really? Is there a good business case? Is the bottom of South Limburg really suitable? Next week I will be talking to my Flemish colleague at the Flemish-Dutch summit. I have taken note of the European funding application for the Einstein Telescope Field Lab, the Pathfinder. That's what you asked for. It's in preparation. It's a preparation for participating in that Einstein Telescope. It is a very nice initiative, in which the Netherlands is working on a strong knowledge position in the research into gravity waves, without any further obligations. I'm following this initiative with interest. We're gonna look at it very carefully. Finally, Mr President. As you can see, in our first year we have been working very hard. There's a lot of investment going on. Much has been achieved, but a great deal remains to be done. However, I believe that this budget is again taking important steps in the field of education and science. Also in the field of culture, but we are going to talk about this at another time. Mr President, I should like to leave it at that in my contribution.
ParlaMint-NL_2018-11-01-tweedekamer-4.u100	Thank you. It was a nice last word. There are a few more questions, and then I'll suspend for lunch. After lunch, we're gonna listen to Secretary Slob. Mr Futselaar.
ParlaMint-NL_2018-11-01-tweedekamer-4.u101	I missed something about the Van Rijn Committee in the Minister's response. I must confess that I was actually hoping that she would say here that that was throwing a stone in the pond and that she had come back to that. I would like not only to present the Minister but also to the Chamber the following. What is a more logical way of dealing with this complex, really complex issue, namely the funding of universities: a committee of five people, one of whom has one HBO administrative experience, one of a university and three come out of care, or a minister working on it full-time and has 4,100 highly educated, experienced officials who know the field and have been working on it for years? My tendency is to say that the latter seems more appropriate. Does the Minister agree with me?
ParlaMint-NL_2018-11-01-tweedekamer-4.u102	No, and that seems to me to be a bit of a question about the familiar answer. If I had agreed with you, I wouldn't have set up that committee. Why do we do that? What you see in the CHEPS report is that they have looked at individual questions and what the answers might be. What they didn't do is wonder what happens when you pull through the knitting needle and do things in conjunction. Everything has to do with everything and then everything gets moving again. That is extremely complex. With this committee, I will add people who know a lot about complex financial systems. It is also true that I could not have done so more quickly, because the Van Rijn Committee will be reporting as early as next spring. So no, it's not a shred of responsibility. I had the same conversation with the committee. They also asked me: who will be responsible for the final choice? Of course I am. This funding is extremely complex. We know that this must be done within the existing frameworks. Everything you do at one point has an effect on the other. We need to be able to see that in conjunction. Hence my choice of doing so through this committee.
ParlaMint-NL_2018-11-01-tweedekamer-4.u103	It is complex and I understand the need for an transcendent knitting needle pricking or whatever the minister calls it, but the person who has an overview of all facets and should bring it all together is the minister and not someone flying in from outside. But I have another question about that committee. There's someone in there with a fairly recent connection with a college and also someone from a university. Doesn't it make sense to at least add someone who has links with student organisations, so that there is something of a balance because these organisations also have quite an interest in the results of this committee?
ParlaMint-NL_2018-11-01-tweedekamer-4.u104	It is good practice that we always involve students in such reports, for example through a sounding board. We have now chosen to put the committee together on the basis of expertise because it is really very complex financial matter. Of course I will also involve student organisations in my final choice and consideration.
ParlaMint-NL_2018-11-01-tweedekamer-4.u105	I have two points, one of which I should have mentioned to the MBO; I hope the President will forgive me. The first is about chef's training. I had asked a question about this and the Minister replied that if social and professional developments demand that those vegetable diets be more included, they will look at it. There is also a measurement on sustainability. We believe that there is a great deal of reason for society. I have examples. I call the growth of meat substitutes by 75%. ABN AMRO, the retail organisation and Pig Business also indicate it. So is the Minister prepared to take an active look at this, especially since the government itself has its own responsibility? It is not just about monitoring social and professional developments, but also about the government's own responsibility in the protein transition to actively look at how we can stimulate these plant and vegetarian vocational training. That's question one.
ParlaMint-NL_2018-11-01-tweedekamer-4.u106	Together with colleague Van Veldhoven I sent a letter to the SBB asking to look at the sustainability of all those qualification files. Eventually, those qualification files will come back to me and I approve of them. Of course, I am going to make sure that it has been done in a good way, but the primary responsibility for making these dossiers lies with the educational institutions and the business community. But, of course, we will be paying attention to that.
ParlaMint-NL_2018-11-01-tweedekamer-4.u107	Thank you for this commitment, which you would make anyway. Perhaps the Minister could say something about the time limit for this to happen?
ParlaMint-NL_2018-11-01-tweedekamer-4.u108	We have, by my mind, almost 600 qualifying files. There's a lot of them. That's what they're gonna look at. So I can't tell at what rate what. It is, in the first instance, a real responsibility of the parties themselves. So I really cannot give you an exact moment at which this qualification dossier will come to my attention.
ParlaMint-NL_2018-11-01-tweedekamer-4.u109	Mr. Rog.
ParlaMint-NL_2018-11-01-tweedekamer-4.u110	Mr. Chairman.
ParlaMint-NL_2018-11-01-tweedekamer-4.u111	We'll do the interruptions in two. Mr. Rog.
ParlaMint-NL_2018-11-01-tweedekamer-4.u112	My colleague, Mr Van der Molen, has asked about the accessibility of higher education in terms of eliminating deficiencies. The Minister replied in writing to the deficiency test. However, we were interested in whether the influx test, which is a 21-plus test, could be brought forward from 21 to the moment that students come from training and want to influx, whereas their profile does not seem to fit optically, but after such a test in higher education they do seem to be able to work excellently on the study of their choice.
ParlaMint-NL_2018-11-01-tweedekamer-4.u113	I understand Mr Van der Molen's question very well, but it is two different things. The 21-plus test, which is also used for 21-min in a number of cases, is really for cases where one does not have a diploma or the distance is very large. A wrong profile is about a deficiency. Now is a student who wants to start depending on the institution for offering the deficiency test. I have dealt with this in the written replies. I think that Mr Van der Molen's question is a very fair one. You don't want students who make a choice for a profile at 15 and find out at 18 that their interest lies elsewhere, for example in technology. Shouldn't we see if that deficiency test is always available? I think that is a smarter way to respond to this question than the 21-plus test, because it really is for something different target groups.
ParlaMint-NL_2018-11-01-tweedekamer-4.u114	But I note that the influx test, the 21-plus test, is an option for refugee children, and that deficiency test means the vavo route. That means a lot of delay for the upcoming students. The Minister indicated that he was sympathetic to this. I therefore ask the Minister whether she would also like to take this 21-plus test into account in the discussions she is going to have.
ParlaMint-NL_2018-11-01-tweedekamer-4.u115	It's not quite the vavo route. You could see if a deficiency test can be speeded up. It's also in the student's interest to do it right. If you want to do a technical study with a wrong profile and are lacking in physics or mathematics B, it is also in your interest, also in your preparation for that study, to do that deficiency test, because it makes sure that you make up for exactly the right deficit. That does the 21-plus test just a little less. I also see Mr Bruins nodding behind you. I understand very well what the question is and I very much agree with you that we need to find a good solution to this, but I would like to do so along that route.
ParlaMint-NL_2018-11-01-tweedekamer-4.u116	There are two subjects on which I would like to have a brief exchange of views with the Minister in this Chamber. The first concerns the estimates of international students. In her written reply, the Minister states that she is talking about this, but I would like a promise from the Minister that we will be documented separately so that we can better evaluate it over the years.
ParlaMint-NL_2018-11-01-tweedekamer-4.u117	These estimates include the international students. I do attach great importance to an overall estimate, because in the end it is also about what happens to the total. The international students are included. I say this to you, because I think that is the point. How can we ensure that these international students are better estimated? That's why I'm going through the systematics first. Can we predict that in a good way, are they in those estimates in a good way? But I wouldn't want to do that as a sort of separate estimate, because we have to make sure that that estimate is accurate on all fronts.
ParlaMint-NL_2018-11-01-tweedekamer-4.u118	I do not know yet whether I am entirely satisfied with the answer, but shall I start with the second subject, Mr President? Or would you like Mr. Van Raan to interrupt again?
ParlaMint-NL_2018-11-01-tweedekamer-4.u119	You may also start with your third or your fourth topic, but interruptions go in half, so fill it as you like.
ParlaMint-NL_2018-11-01-tweedekamer-4.u120	Fine. Then I have a question about labelling in accreditation, about good and excellent. The Minister also replied to me, but I would like to remind you of the motion adopted by the Chamber. For its operative part is as follows: "In the event that the current differentiated assessments under the law are amended, the Government requests that an alternative to the differentiated assessments in another form be provided by summer 2018 which also reflects excellence'. Now I really do forgive the Minister for not doing so before the summer of 2018, but from the part about "wherever excellence is expressed," I would really like to hear from the Minister how she sees that coming back in her current proposal.
ParlaMint-NL_2018-11-01-tweedekamer-4.u121	I believe that this is also contained in the accreditation framework that is also in your Chamber at the moment. The problem with that judgment "excellent" was that NWO says of it: we cannot do that in a reliable way. So you can't do that on that route. What we said in the accreditation framework is very good. The information available from it shows a lot about the quality of the institution. But there is, of course, a problem when we say on the one hand that we have seen that this label 'excellent' is not reliable in this way. There was also a broad wish in this Chamber to say: then we do not do that anymore. That's why I don't have any other route to reliably label "excellent" right now. What we are showing is that the accreditation framework reveals so much information that it may prove so. But if, on the one hand, it is said by the Chamber 'because we do not have a reliable way of setting the label 'excellent', we do not want you to use it anymore', I cannot do so by another route. The accreditation framework currently depends on your Chamber. So the room still has room to find something like that.
ParlaMint-NL_2018-11-01-tweedekamer-4.u122	I had a few questions about the BPRC. The Minister replied in writing, but I still have follow-up questions. For the Chamber has said that the BPRC must be phased out and only the research into life-threatening diseases and infectious diseases can continue. That is also laid down in a motion by Mrs Tielen. I asked the Minister: can we not reduce that basic scientific research, because that is not about infectious diseases? The Minister says that this can also be covered by fundamental research. But then I'll take the Rathenau report, prepared on behalf of the government itself. Rathenau writes: it involves applied translational research, research carried out for the development of vaccines and medicines, emergencies such as virus outbreaks or, for example, applications in transplant medicine and infectious disease control. So that's not basic scientific research. That's really a different category. So you can continue to do research on those infectious diseases if you phase out basic scientific research. That is why my question, and that is the wish of the Chamber, is: put forward a proposal on what basic research can be phased out. Because only with a decrease in the breeding colony will we not get there. And then there will be no response to the wishes of the Chamber.
ParlaMint-NL_2018-11-01-tweedekamer-4.u123	This is a repetition of questions that I think we have also discussed in a rather detailed AO. The conclusion of that AO was, on the one hand, that I proposed a 40% reduction at BPRC, where at the end of this year there was a plan of action, that I could send to your Chamber as soon as possible and in which Mrs Tielen's wish was also respected. Moreover, this is a broad wish in the Chamber to take into account the fact that we are not at risk, for example, of research into life-threatening diseases. I understand the impatience very well, but now there is a real commitment. That plan is being made. I'll be in your room as soon as I can with a letter on that. Then we'll talk about it again. I understand that you want to ask these questions every time, but I have now given my answer as I have given it, and we will come back to that when the BPRC proposal is there.
ParlaMint-NL_2018-11-01-tweedekamer-4.u124	One further question, because I am referring explicitly to basic scientific research. The Minister says: applied translational research is perhaps also fundamental scientific research. Can the Minister then give a list of the studies that are taking place in the BPRC so that we can look at them, including by external experts, what research is essential to the fight against infectious diseases and life-threatening diseases and what research is not? Alzheimer's research, for example, is very low. This could be deleted without endangering public health, because it is very low for patients. Can the Minister provide such a list so that experts can see what could possibly be deleted without affecting public health?
ParlaMint-NL_2018-11-01-tweedekamer-4.u125	Then I'm gonna repeat myself. After the AO, we have promised: BPRC comes with the condition that it does not jeopardise the research that we really need for life-threatening diseases. And there will also be different views on this: what is it and what isn't? I would ask you to be patient; let us do this now in a careful process. First of all, the proposal for phasing out, then the cabinet response to it, and then we are going to discuss it in detail with you.
ParlaMint-NL_2018-11-01-tweedekamer-4.u126	Very good. Mr. Van Raan.
ParlaMint-NL_2018-11-01-tweedekamer-4.u127	I have a question for the Minister about an afternoon of teacher inspiration, about an activity in which skills are developed to deal with how problem-solving and creative ability can be stimulated with teachers. Would you describe that as an activity related to education, or do you say: a teacher's afternoon of inspiration, or developing skills, really has nothing to do with educational activities?
ParlaMint-NL_2018-11-01-tweedekamer-4.u128	I can't answer that question in abstraction. Then I really should know more specifically what this is about. Then you also need to know what this teacher's inspiration afternoon has for content in order to be able to judge that. I have the feeling that Mr Van Raan wants to go somewhere with his question, but let him say that explicitly.
