ParlaMint-NL_2018-03-27-tweedekamer-37.u1	At the request of a number of Members, I propose that the following motions be repeated: 21501-02-1786; 32716-28; 25422-211; 30175-272; 31409-177; 25422-214; 30196-571; 30175-282; 25422-213; 34627-37. I propose that the following work be carried out: I propose to add to the Chamber's agenda the VAO Circular economy, with Mr Wassenberg as the first speaker on behalf of the Party for Animals.
ParlaMint-NL_2018-03-27-tweedekamer-37.u191	I agree with what my colleague Mr Voordewind said. Indeed, we had this request last week from Mr Kuik, but we supported Mr Becker's request. We'd be happy to wait for the Minister's letter.
ParlaMint-NL_2018-03-27-tweedekamer-37.u192	The same applies to my group. We would like to wait for the letter and then have a debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u193	I do not care who takes the floor first, but I support the debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u194	Good. You have a large majority, Mrs Becker.
ParlaMint-NL_2018-03-27-tweedekamer-37.u195	Thank you.
ParlaMint-NL_2018-03-27-tweedekamer-37.u196	Thank you. I now turn to Mrs Ellemeet on behalf of GroenLinks.
ParlaMint-NL_2018-03-27-tweedekamer-37.u197	Thank you, Mr President. Home care workers from seven different health care institutions have made an emergency call in Het Parool. They don't even have time to have a cup of coffee with the people they have to take care of. Then how can you take good care of people when it says in work instructions that you can't drink anything with your clients and if you just need good contact? I therefore call for a debate with the VWS Minister.
ParlaMint-NL_2018-03-27-tweedekamer-37.u198	Mr President, last week we had a debate on such a bunch of pieces that this does not come out of. I support the debate, but I would also like a letter from the Minister. For how is it possible that we had a debate on such a bunch of pieces that this does not come out of, and so it seems that the reality of the minister is quite different from the reality of the minister?
ParlaMint-NL_2018-03-27-tweedekamer-37.u199	Mr President, I think this is a responsibility of the Amsterdam City Council. Therefore, no support for the debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u200	Mr President, the D66 Group also believes that this is an issue for the Amsterdam City Council. So no support.
ParlaMint-NL_2018-03-27-tweedekamer-37.u201	Mr President, these employees are right to complain that their fine trade is being destroyed by market forces and profiteering; this is literally what the newspaper says. They're right, of course. So I wholeheartedly support the request because this is indeed a matter that needs to be addressed here and not just in the city council of Amsterdam.
ParlaMint-NL_2018-03-27-tweedekamer-37.u202	No support.
ParlaMint-NL_2018-03-27-tweedekamer-37.u203	Support for the request.
ParlaMint-NL_2018-03-27-tweedekamer-37.u204	Mr President, I support the debate, but if I look at it that way, it will take some time. That is why I think it is right to support Mrs Agema's proposal and to ask the Minister for a letter responding to the situation in Amsterdam.
ParlaMint-NL_2018-03-27-tweedekamer-37.u205	Support on behalf of the Animal Party.
ParlaMint-NL_2018-03-27-tweedekamer-37.u206	Let's see. Mrs Ellemeet, you do not have sufficient support for a majority debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u207	No, Mr President, but there are more than 30 Members who support the debate. Indeed, we would like to receive a letter from the Minister as soon as possible. Thank you.
ParlaMint-NL_2018-03-27-tweedekamer-37.u208	I propose that the stenogram of this part of the meeting be transferred to the cabinet. We will add this debate to the list of 30 Members' debates. Mr Raemakers on behalf of D66.
ParlaMint-NL_2018-03-27-tweedekamer-37.u209	Thank you, Mr President. The Association of Dutch Youth Law Advocates sent a letter to the Minister. That's a letter of fire. Many young people spend longer in closed youth facilities, and this is also the case with open institutions. That is a very worrying problem. On behalf of Mr Peters of the CDA, I would like to ask for a debate with the VWS Minister, preceded by a letter.
ParlaMint-NL_2018-03-27-tweedekamer-37.u210	Mr. Chairman. D66 and the CDA served the previous debate request. With the same arguments as they have, they could do so now, but now a coalition party is here to make the request. I would like to support this debate. The Youth Act is a mess and also Minister De Jonge has to come up with a story why it remains so badly organized.
ParlaMint-NL_2018-03-27-tweedekamer-37.u211	So you want a letter, too? Yeah, that's right, I see.
ParlaMint-NL_2018-03-27-tweedekamer-37.u212	Mr President, this is a very good initiative by Mr Raemakers, so support for the debate and the letter.
ParlaMint-NL_2018-03-27-tweedekamer-37.u213	Mr President, I had tabled an oral question, so it is quite logical that I support the request. I would ask you to ask the Minister to send a letter quickly, preferably before Monday, so that we may be able to involve it in a debate earlier, because it is an acute situation. Children are now longer than they need to be in closed youth care. I think it would be nice if we got a letter, too.
ParlaMint-NL_2018-03-27-tweedekamer-37.u214	Support for a short-term letter and support for the debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u215	Also on behalf of the Animal Party support for the letter and debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u216	On behalf of the Christian Union, support for the debate and the letter.
ParlaMint-NL_2018-03-27-tweedekamer-37.u217	Also support on behalf of GroenLinks. I do agree with Mrs Kooiman's suggestion that we should be quick about this, so we also support this request.
ParlaMint-NL_2018-03-27-tweedekamer-37.u218	Mr. Raemakers, you have a large majority for a debate. So we will add this debate to the list of majority debates. I propose that the stenogram of this part of the meeting be transferred to the cabinet. Thank you. Mr Azarkan on behalf of DENK.
ParlaMint-NL_2018-03-27-tweedekamer-37.u219	Mr President, thank you. In 2014, the Tax Administration decided to stop the child care allowance for 232 families without support. Suddenly they had to pay back tens of thousands of euros and they got into big financial problems. In a lawsuit brought by one of the parties concerned, the Council of State ruled devastatingly and the Ombudsman also said that this cannot be done. Turns out what? That some of these people, if they're still suing for a few years, aren't getting the trial papers from the Tax Office. I would like a debate on this.
ParlaMint-NL_2018-03-27-tweedekamer-37.u220	Who's talking about this?
ParlaMint-NL_2018-03-27-tweedekamer-37.u221	Support, Chairman.
ParlaMint-NL_2018-03-27-tweedekamer-37.u222	Mr. Chairman. Written questions have been asked, and I even believe in a round of factual questions. Those questions have not been answered, so I would suggest that we wait for the answer. Once the answers are there, we can put them in a general consultation. So there's no support.
ParlaMint-NL_2018-03-27-tweedekamer-37.u223	I agree with Mrs Lodder's words.
ParlaMint-NL_2018-03-27-tweedekamer-37.u224	Me too.
ParlaMint-NL_2018-03-27-tweedekamer-37.u225	I too would like to organise a general discussion on this subject with some urgency, and I would ask the govern ment to answer these questions as soon as possible, tabled by a number of parties in the Chamber, but not by DENK. In view of the fact that seven majority debates have already been requested, I am prepared to ask the Finance Committee this week to organise this AO within a few weeks. It'll go a little faster.
ParlaMint-NL_2018-03-27-tweedekamer-37.u226	You therefore support this request, but in a different context.
ParlaMint-NL_2018-03-27-tweedekamer-37.u227	Yes.
ParlaMint-NL_2018-03-27-tweedekamer-37.u228	Mr President, a lot of questions have indeed been asked about this. I support the VVD's proposal to organise an AO on this issue.
ParlaMint-NL_2018-03-27-tweedekamer-37.u229	No support for this debate. Support for an AO, though.
ParlaMint-NL_2018-03-27-tweedekamer-37.u230	Mr. Azarkan, you do have support, but it should actually be in a committee meeting. Everyone has expressed support for general consultation, but not for a majority debate. I propose that the stenogram of this part of the meeting be transferred to the cabinet. You have another request.
ParlaMint-NL_2018-03-27-tweedekamer-37.u231	Certainly, Mr. Chairman. Racism and discrimination have once again claimed a victim, namely the entrepreneur Emanuels, owner of an ice cream parlor. She was discriminated against and then not taken seriously. She was targeted by racist hang-young people, from a stone through a windshield and hurtful screams. The Surinam flag was smeared with poop and left in front of the door. Madam President, she's done, she's done. We must never accept that discrimination and racism win. That is why I am asking for a debate with the Minister of J and V on what we can do to combat the root causes of discrimination and racism.
ParlaMint-NL_2018-03-27-tweedekamer-37.u232	A debate with the Minister of Justice and Security.
ParlaMint-NL_2018-03-27-tweedekamer-37.u233	Mr. Chairman. I'd like a letter on this. Then we can quickly conduct a general consultation in which some of these issues can be involved.
ParlaMint-NL_2018-03-27-tweedekamer-37.u234	So no support.
ParlaMint-NL_2018-03-27-tweedekamer-37.u235	I agree with what Mrs Van Toorenburg said.
ParlaMint-NL_2018-03-27-tweedekamer-37.u236	Mr. Chairman. It's terrible what Mrs. Emanuels has been through. It really hurts me that she's decided she can't take it anymore. I support the CDA's proposal to ask for a letter on this. In particular, I would like to know what the administrative instruments a mayor has in order to intervene are. We can then discuss this in a broader context in general consultation.
ParlaMint-NL_2018-03-27-tweedekamer-37.u237	I support the variant introduced by Mrs Van Toorenburg: a letter and then see if we can take it up in a broad sense in an AO. The incident is serious.
ParlaMint-NL_2018-03-27-tweedekamer-37.u238	I also support the idea of a letter and picking it up in an AO.
ParlaMint-NL_2018-03-27-tweedekamer-37.u239	That letter needs to be sent. I also hope that the government will explain why all the instruments a mayor has not been used or why at least it has not managed to keep this case. And then we need to discuss it in an AO as soon as possible.
ParlaMint-NL_2018-03-27-tweedekamer-37.u240	Mr. Chairman. I support the letter anyway. In fact, I thought we had already agreed to have a good debate on discrimination and racism in plenary. So I would really like to support that. That is why I support the debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u241	You support the request. Mr. Azarkan, nevertheless, you have no majority.
ParlaMint-NL_2018-03-27-tweedekamer-37.u242	Thank you to those who supported it.
ParlaMint-NL_2018-03-27-tweedekamer-37.u243	Thank you. I propose that the stenogram of this part of the meeting be transferred to the cabinet. I call Mrs Kuiken on behalf of the PvdA.
ParlaMint-NL_2018-03-27-tweedekamer-37.u244	Mr. Chairman. In Question Time, we questioned Minister Grapperhaus extensively about how we can take criminal action against the hate image that threatens Mayor Aboutaleb. It is not just about him, but also about others who have turned people against each other in the past and now. The minister says in this house: I can't do anything, I hate it, but I don't know what to do. Outside this house, he says on camera, maybe we should do something. Was he suddenly enlightened? There is every reason to hold the debate. I also make the request on behalf of Mr Van der Staaij and Mr Krol, who had to leave the Chamber.
ParlaMint-NL_2018-03-27-tweedekamer-37.u245	Mr. Chairman. Support this debate, but please as soon as we have received the letter setting out the possibilities and the button to be used in the Code of Criminal Law.
ParlaMint-NL_2018-03-27-tweedekamer-37.u246	Mr. Chairman. Thank you very much for your support for this debate. It is very important that we receive a letter first. However, I believe that this has already been promised during oral Question Time.
ParlaMint-NL_2018-03-27-tweedekamer-37.u247	I agree with that. The Christian Union wholeheartedly supports this debate and awaits the letter from the cabinet. Let us therefore continue to talk about this very quickly.
ParlaMint-NL_2018-03-27-tweedekamer-37.u248	Support, Chairman. In the short term, please hold a debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u249	Also support for the line of first the letter and then the debate. Absolutely.
ParlaMint-NL_2018-03-27-tweedekamer-37.u250	We would like to convince the Minister that, on the basis of existing legislation, he can prosecute the hate image for hate speech, and also for a terrorist purpose. So let's have a debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u251	So support.
ParlaMint-NL_2018-03-27-tweedekamer-37.u252	Also support, especially to know what all possibilities are. There's got to be some clarity about that. Then we can also assess the Minister's actions. So also support for the debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u253	Support for the debate following the letter already requested.
ParlaMint-NL_2018-03-27-tweedekamer-37.u254	Thanks for the support. I think we can do it in two weeks, because the letter has already been promised.
ParlaMint-NL_2018-03-27-tweedekamer-37.u255	I propose that the stenogram of this part of the meeting be transferred to the cabinet. Mrs Dijksma on behalf of the PvdA.
ParlaMint-NL_2018-03-27-tweedekamer-37.u256	Mr. Chairman. Yesterday we were shocked by a profit warning from CZ, which indicated an explosive increase in healthcare costs to be expected in 2019. Because the cabinet has set itself the goal of curbing the cost of care for the inhabitants of our country, I thought this news was worth a debate. Prior to that, I would like to receive a letter from the Minister for Medical Care with his reaction to this fact.
ParlaMint-NL_2018-03-27-tweedekamer-37.u257	The annual threat has started again, so I fully agree with this request for a debate. Congratulations on your support.
ParlaMint-NL_2018-03-27-tweedekamer-37.u258	Also, it is time for the Minister for Medical Care to tell the Chamber how, for example, he would cut the 2 billion in hospitals, which he promised his colleague for the nursing homes. As a room, we don't really know anything.
ParlaMint-NL_2018-03-27-tweedekamer-37.u259	So support.
ParlaMint-NL_2018-03-27-tweedekamer-37.u260	I would like to support the debate, because before you know it, we have all kinds of ghost stories and doom scenarios. But what the minister is planning, we don't know.
ParlaMint-NL_2018-03-27-tweedekamer-37.u261	On behalf of my colleague, Mr Ellemeet, I support the debate and the letter.
ParlaMint-NL_2018-03-27-tweedekamer-37.u262	I think there is another 30 Members' debate that has already been on the agenda once or twice. I think it would be a good idea to include this point, so no more support for another debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u263	So no support.
ParlaMint-NL_2018-03-27-tweedekamer-37.u264	Mr. Chairman. I too have in mind that this 30-member debate is still to come. That's been taken off the agenda a few times. I didn't understand that it's completely gone, so it'll come back. We could very well involve ourselves in that.
ParlaMint-NL_2018-03-27-tweedekamer-37.u265	I hear the 30-member debate has been withdrawn.
ParlaMint-NL_2018-03-27-tweedekamer-37.u266	Mr. Chairman. We had also put forward an oral question ourselves, but on Friday's article in the 'Finance Dagblad' article on the expected increase in premiums. Indeed, I understood that a further 30 Members' debate was planned, which is why I wanted to combine it with that.
ParlaMint-NL_2018-03-27-tweedekamer-37.u267	No, there is no 30-member debate on this issue. That's probably been revoked by whoever ever asked for it.
ParlaMint-NL_2018-03-27-tweedekamer-37.u268	I support the request for a debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u269	Mr President, may I ask a question? I understand that the coalition parties are actually planning to meet me by referring to a debate, which unfortunately is no longer planned. Now that they know this, I would like to know whether they are in favour of a debate or whether they are in favour of it, because I think we are entitled to it.
ParlaMint-NL_2018-03-27-tweedekamer-37.u270	Mr. Chairman. As I said, I had also tabled an oral question myself, so we are very concerned about the subject. However, we would like to receive a letter from the Minister before then.
ParlaMint-NL_2018-03-27-tweedekamer-37.u271	I already asked you that.
ParlaMint-NL_2018-03-27-tweedekamer-37.u272	Mr. Chairman. I would then like to await the Minister's response. We have also had debates in the Chamber on keeping premiums low. Now it's about keeping up the premiums. I would therefore first like to have the reaction of the cabinet and then again see if I would like to have a debate on it.
ParlaMint-NL_2018-03-27-tweedekamer-37.u273	As far as I am concerned, I would like a letter from the Minister first. I do not know why the other debate has been removed. Moreover, this did not have the support of the VVD, so it does not support the debate now either.
ParlaMint-NL_2018-03-27-tweedekamer-37.u274	You have a majority, Mrs Dijksma.
ParlaMint-NL_2018-03-27-tweedekamer-37.u275	Yes.
ParlaMint-NL_2018-03-27-tweedekamer-37.u276	So I suggest that the stenogram of this part of the meeting be transferred to the cabinet.
ParlaMint-NL_2018-03-27-tweedekamer-37.u277	Thank you, Mr. Chairman.
ParlaMint-NL_2018-03-27-tweedekamer-37.u278	You had another request.
ParlaMint-NL_2018-03-27-tweedekamer-37.u279	Yes. Mr. Chairman. Last night, in Radar, attention was paid to the drug Fampyra. This is a medicine that a part of the group of MS patients needs to be able to stay mobile and improve the quality of life. In it, the Zorginstituut Nederland pointed out that if there were new dates, they would be open to new research. In the meantime, patients will no longer be reimbursed for this medicine on 1 April. For this reason, I would like to ask you to hold an urgent debate with the Minister for Medical Care. I would therefore ask him to answer the written questions I have already asked on this subject and not to take irreversible steps until the time when the debate has taken place.
ParlaMint-NL_2018-03-27-tweedekamer-37.u280	Mr. Chairman. Again a fairly inimitable advice from the Healthcare Institute. We really don't understand. I also think that the Minister should come up with a letter because he has been following the Health Institute so far.
ParlaMint-NL_2018-03-27-tweedekamer-37.u281	You support the request.
ParlaMint-NL_2018-03-27-tweedekamer-37.u282	I would like a political weighting from the Minister in a letter. I would also like to receive it this week because once again there is a great deal of unrest being created by the Healthcare Institute.
ParlaMint-NL_2018-03-27-tweedekamer-37.u283	You support the request, don't you, Mrs. Agema?
ParlaMint-NL_2018-03-27-tweedekamer-37.u284	Yes.
ParlaMint-NL_2018-03-27-tweedekamer-37.u285	Mr. Chairman. Doctors also very much want this to be included in the basic package. Of course, support for the request to support the patients.
ParlaMint-NL_2018-03-27-tweedekamer-37.u286	Mr. Chairman. The investigation has taken place. The patients' association decided in advance what the criteria would be, so no support for this debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u287	Support for Mrs Dijksma's request.
ParlaMint-NL_2018-03-27-tweedekamer-37.u288	No support, Mr. Chairman.
ParlaMint-NL_2018-03-27-tweedekamer-37.u289	No support, Mr. Chairman.
ParlaMint-NL_2018-03-27-tweedekamer-37.u290	Support.
ParlaMint-NL_2018-03-27-tweedekamer-37.u291	No majority, Mrs Dijksma.
ParlaMint-NL_2018-03-27-tweedekamer-37.u292	No, Mr President, but there are 30 Members who would like to have this debate. I must honestly say that I am very disappointed with this outcome, but I very much support Mrs Agema's idea of getting the Minister's letter this week, before 1 April, because I think it is necessary for the patients to have that clarity. We are not giving up, Mr President, so you will see me again on this subject.
ParlaMint-NL_2018-03-27-tweedekamer-37.u293	I propose that the stenogram of this part of the meeting be transferred to the cabinet. I call Mr Alkaya on behalf of the SP.
ParlaMint-NL_2018-03-27-tweedekamer-37.u294	Mr. Chairman. Two weeks ago I was standing here because there is great uncertainty among the employees of AkzoNobel about their future. Then, unfortunately, I did not get enough votes for a debate. Today it became more clear about their future, namely that AkzoNobel's chemical branch is taken over by the American investment company Carlyle. Shareholders cash in, but the uncertainty for employees remains, among other things, about their pension. The unions are therefore right to prepare themselves for action, possibly already this week. That is why I would like to have a debate with the Minister for Economic Affairs and Climate as soon as possible, preceded by a letter on the acquisition of AkzoNobel's chemical industry and, above all, on the consequences for workers.
ParlaMint-NL_2018-03-27-tweedekamer-37.u295	Mr. Chairman. The PVV supports Mr Alkaya's request.
ParlaMint-NL_2018-03-27-tweedekamer-37.u296	Support for the request.
ParlaMint-NL_2018-03-27-tweedekamer-37.u297	No support for the request.
ParlaMint-NL_2018-03-27-tweedekamer-37.u298	Mr. Chairman. It's been in the air for a long time. I don't have the impression that jobs are at stake right now. The chemical branch isn't being cut up. Carlyle wants to stay in AkzoNobel for a long time. I do not see the urgency of a debate at the moment. This seems to be an ordinary takeover.
ParlaMint-NL_2018-03-27-tweedekamer-37.u299	No support. Mr. Paternotte.
ParlaMint-NL_2018-03-27-tweedekamer-37.u300	Mr. Chairman. The split-off has been known for a year. There have been considerable guarantees about both jobs and existing investments in the Netherlands and R&D. On that basis, I would welcome a letter, but at the moment I see no reason to support the debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u301	Mr. Chairman. At the moment, I see no reason to support the debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u302	Support.
ParlaMint-NL_2018-03-27-tweedekamer-37.u303	Yes, Mr. Alkaya, no majority for a debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u304	I have heard the words 'at the moment' very often, Mr President, so I would like to have a 30-member debate. I would also like to receive the letter as soon as possible, so that we can see in due course whether a meeting should be scheduled as a matter of urgency.
ParlaMint-NL_2018-03-27-tweedekamer-37.u305	I propose that the stenogram of this part of the sitting be transferred to the cabinet and that this debate be added to the list of thirty-member debates. Finally, Mr Kwint on behalf of the SP.
ParlaMint-NL_2018-03-27-tweedekamer-37.u306	Thank you. Mr. Chairman. Teachers in high school are threatening to take action. The collective bargaining has collapsed. The Boards want to circumvent trade unions and not to facilitate the reduction in the number of hours of teaching, although this is a wish of both teachers and the Chamber. So action is threatening, and that is why I would like to have a debate with the Minister.
ParlaMint-NL_2018-03-27-tweedekamer-37.u307	Support on behalf of GroenLinks. We have talked many times about primary education. Secondary education is very underexposed, and there are also major problems there, including a very high workload. I'd like a debate on that.
ParlaMint-NL_2018-03-27-tweedekamer-37.u308	Mr President, I believe that steps have already been taken, including from the VO Council last week. I think we should wait and see. No support for this debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u309	Mr. Van Meenen? You're looking very threatening, but you're still waiting.
ParlaMint-NL_2018-03-27-tweedekamer-37.u310	I always love seeing Mr. Kwint back in that place as soon as actions are announced in education. No support for the debate.
ParlaMint-NL_2018-03-27-tweedekamer-37.u311	In that case, you must support the debate, and I will be standing here even longer.
ParlaMint-NL_2018-03-27-tweedekamer-37.u312	No, we're not gonna do that.
ParlaMint-NL_2018-03-27-tweedekamer-37.u313	Mr President, no support.
ParlaMint-NL_2018-03-27-tweedekamer-37.u314	Then Mr Beertema. Mr Van Meenen is just waiting for everyone to come.
ParlaMint-NL_2018-03-27-tweedekamer-37.u315	No support.
ParlaMint-NL_2018-03-27-tweedekamer-37.u316	Mr President, no support. I'd like a letter from the Minister because I'm curious about his position on the reduction of hours. A letter fine, but no support yet.
ParlaMint-NL_2018-03-27-tweedekamer-37.u317	Mr President, it will not be a majority debate anymore, but perhaps I can be of service to Mr Kwint by at least turning it into a thirty-member debate. Support on behalf of the Party for Animals.
ParlaMint-NL_2018-03-27-tweedekamer-37.u318	Mr. Kwint.
ParlaMint-NL_2018-03-27-tweedekamer-37.u319	Well, okay. In the meantime, I am used to the fact that it is usually taken over a few months after I have made the proposal. If we put the 30-member debate on the agenda this time, I have good hope that by then the coalition parties will also be convinced.
ParlaMint-NL_2018-03-27-tweedekamer-37.u320	Then we will add this debate to the list of 30 Members' debates. I propose that the stenogram of this part of the meeting be transferred to the cabinet. Thank you. This brings us to the end of the order of business. I shall suspend the sitting for a few moments.
