ParlaMint-NL_2018-07-10-eerstekamer-16.u1	The next item is the continuation of the joint debate on legislative proposals 34915 and 34916.
ParlaMint-NL_2018-07-10-eerstekamer-16.u44	The Ukrainian authority present in the interrogation and trial may, however, check whether no fundamental principles of Ukrainian law are infringed in the course of the interrogation. That's part of a fair trial. I have also stressed that I am convinced that I am going to compliment you now, given the level of the Dutch judges and their professional commitment, this will not happen with Dutch judges. That is precisely why I believe that we should really be cautious and not put aside that consent requirement in such a bilateral treaty, if we simply know that this is in all kinds of treaties and our own law, where the judge may say: I am not participating in this. This aside, you can also simply say that it is not entirely part of what procedural law should be like. Mrs Strik raised the question of whether there could be a convention on civil liability. I have promised the House of Representatives to go into a letter about civil liability and possibilities for storytelling of the perpetrator or offenders abroad. I will also send that letter to your Chamber. I can say something about it. The court may, by means of criminal proceedings, award claims by the survivors for damages, taking into account compensation already received. You know Malaysia Airlines has already paid damages. If a compensation measure is imposed on the offender and he has not or has not paid the compensation in full within eight months of the date on which the judgment became final, the State shall pay the remaining amount to a surviving spouse and shall then be subrogated to the rights of redress against the offender. That is to say, they will then be transferred to the State. Of course, it will then be considered whether any possessions of that perpetrator can be seized. Mrs Strik further asked how we are going to monitor the enforcement of sanctions in Ukraine. Pursuant to Article 16, third paragraph of the bilateral agreement, the Ukrainian authorities are required to provide information to the Netherlands on the implementation and progress of the agreement upon request. Mrs Strik also asked where the results of the JIT investigation have so far led in the field of legal aid cooperation with Russia. On 24 May, the Joint Investigation Team shared the information that it connected that missile installation to the 53rd brigade on research results. The Joint Investigation Team has also indicated that the Russian Federation has never shared this information, which the Russian Federation was already obliged to do on the basis of UN Resolution 1266 alone, although it was also requested on the basis of legal aid questions. It is clear to the cabinet that the Russian Federation has not yet been sufficiently involved in finding the truth and thus obtaining justice for the 298 victims and their families. Mrs Strik asked: can suspects other than Ukrainian nationality be heard in the Netherlands? The constitutional ban on extradition of both the Russian Federation and Ukraine applies only to its own nationals. Ukrainians can be extradited by third countries. The same applies to Russian nationals. And Ukraine can also extradite people with a nationality other than Ukrainian. The question was whether the criminal investigation also included an investigation into the non-closure of airspace. No, not closing the airspace is not part of the Joint Investigation Team's investigation. That's what's investigating those responsible for taking down flight MH17. I do not think it is a good idea for me to reply to this question in the House of Commons. I was a little confused about what would appear in the Acts, but that is how I answered it clearly in the House of Representatives and now in your Chamber, I think. What international conventions exactly provide the basis for a discussion with Russia on the persecution and trial, apart from Resolution 2166.... I just said 1566.. from the UN Security Council by mistake? To which treaties are the Netherlands and Russia both parties? Well, the Netherlands and Russia are parties to various conventions on criminal cooperation. Let me mention them: the European Convention on Mutual Assistance in Criminal Matters and the Additional Protocol, the European Convention on the Transfer of Criminal Matters, the European Convention on Extradition and two additional Protocols and the Convention on the Transfer of Judgments and Additional Protocol. Russia is not a party to the Second Additional Protocol to the European Convention on Mutual Assistance in Criminal Matters or to the European Convention on the International Validity of Criminal Judgments. But it seems to me that there are no less than four conventions on criminal cooperation. And then there's still this: I repeat, Security Council Resolution 2166. I think it is sufficiently clear that there was an obligation to provide legal aid. Mr Kuiper also asked about the question of English. There is the possibility of using the English language at the hearing. This has been included in the legislative proposal at the explicit request of the Judicial Council and the Public Prosecutor's Office. It is up to the judge dealing with the case to decide on the use of the English language. The starting point is that the process will take place in the Dutch language, which is in line with the case law of the Supreme Court. There is therefore no question of a whole process conducted in English. Mr Van Dijk spoke about appealing to the Ukrainian authorities to cooperate in the process and the fact that, within the scope of the rule of law, we are doing everything possible to get the suspects to speak. I have understood that as a question and I would like answers to that in the affirmative. The Netherlands will do everything in its power to appeal to the Ukrainian authorities for good cooperation. I also believe that this cooperation has so far been on all sides. Within the scope of the rule of law, we will do everything we can to get suspects to speak. Mr Van Dijk also asked if I have the impression that Russia is inclined to cooperate somewhat. And any further steps are being taken? I just gave you that whole list of international legal aid treaties. That's one. I referred to that Resolution 2166. Then we can already see that nothing has ever been delivered by the Russian Federation of that hard evidence that the Joint Investigation Team has provided about the missile installation of the 53rd Brigade. However, on the basis of these treaties, the Russian authorities will now be able to cooperate in the criminal investigation. Both the Joint Investigation Team and I have already expressed the wish and hope that this will happen from now on. A number of Members asked: should there not also be a treaty on criminal cooperation with Russia? Mr Knapen, Mr Ör and Mrs Baay asked for this. When is there an attempt to conclude a treaty with Russia on criminal cooperation? Now it is true that there was a real reason for concluding a treaty with Ukraine. That was the transfer of criminal proceedings. Subsequently, the need to reach agreements on other issues was examined with Ukraine. Well, that's different with the Russian Federation, isn't it? There were no victims of Russian nationality and MH17 was not brought down over Russian territory. Should the developments in the criminal investigation give rise to this, the Netherlands is certainly prepared to discuss any further criminal cooperation with the Russian Federation. But I repeat, so far, the Russian Federation has not complied with its obligations under the various legal aid treaties and United Nations Resolution 2166. Mr Delors asked what the words "to be held accountable" and "to be held accountable" actually meant. I sincerely hope that I will not disappoint him as a language purist, but of course I will give him the compliment of language purist and not of myself. I must admit that there is no difference of meaning. In both cases, the material meaning of criminal prosecution has actually been indicated. This is partly criminal liability, but it is also criminal liability. The terms are thus mutually exclusive and are material expressions of the importance of criminal prosecution. He also asked whether bilateral agreements could be envisaged with other countries of the Joint Investigation Team, as was also done with Ukraine. The conclusion of the treaty is linked to the decision to prosecute and prosecute MH17 in connection with the taking down of flight MH17 in the Netherlands. The criminal prosecution can then cover all victims and thus give all relatives the same position. I have just indicated to you that this offers possibilities for survivors to claim compensation in that Dutch trial, in so far as they would not already be received or have been received elsewhere. With regard to the other countries of the Joint Investigation Team, there is no similar reason for entering into a bilateral agreement. Those other countries confirmed their support for the prosecution and trial in the Netherlands by signing a political memorandum of understanding in September 2017. He also asked about the position of the Malaysian Government and asked on what grounds the Malaysian Minister of Transport made his well-known statement "no conclusive evidence." Well, Malaysia is fully committed to the Joint Investigation Team and to the objective of truth finding and justice. Malaysia issued a declaration on 25 May, but also on 5 June, to remove any ambiguity following the statements of the new Minister for Transport. It was also said at that time that the Joint Investigation Team would take the time to study the results of the Joint Investigation Team. We are in contact with Malaysia on this issue and we look forward to good cooperation with the new government of Malaysia. When one goes to so-called close reading, I come back to the language purist who is Mr Ottoman, then one can see that the Malaysian Minister of Transport has actually just said I have kept the article on my phone that the conclusions of the Joint Investigation Team do not prove that Russia has fired the rocket with which MH17 was shot down, or that Russia is not responsible for that. So he actually ignores what was just the conclusion, namely that the rocket installation of the 53rd brigade was used. Mr President, I believe that I am through the questions of your Chamber and that my first term has therefore been completed.
ParlaMint-NL_2018-07-10-eerstekamer-16.u45	Thank you. Then we have arrived at the second term of office. I give the floor to Mrs Faber.
ParlaMint-NL_2018-07-10-eerstekamer-16.u46	Thank you, Mr President. Firstly, I would like to thank the Minister for the clear answer, although I do miss a few things. I had a few more questions about the airspace. The Minister was not so clear about the closure of airspace. For example, three days before the MH17 was taken down, it was known that there was heavy defence guns in the wrong hands in this area. The vice ambassador of the Netherlands had that information. My question was whether anything was done to bring down the MH17 with this information. I haven't gotten the answer to that yet. Suppose the Dutch Government had this information, what did it do with it? For the rest, I would like to say to the Minister that it will be a difficult criminal trial that will drag on for years. In any case, we wish the people concerned much wisdom and strength and we will vote in favour of the two legislative proposals. Thank you.
ParlaMint-NL_2018-07-10-eerstekamer-16.u47	Thank you, Mrs Faber. I give the floor to Mr Kox.
ParlaMint-NL_2018-07-10-eerstekamer-16.u48	Mr. Chairman. I thank the Minister for his answers. As I said in my first term, I congratulate the government on its approach so far. We are entering virtually unknown territory, so it is extremely complicated for the government to make the right choices. I have said that the choices made so far are the best in the circumstances. The trial is done by a Dutch judge. That requires the concession to do so with videoconferencing. That is the best possible under the circumstances. I also think that we should see this process as a unique one. I agree with the Minister that we should not make too far-reaching statements about what we generally think about videoconferencing. In this case, we need it. If we don't do it, I could only imagine one other figure, and that's kind of the variant of Lockerbie. That is that the Dutch judge resides in Ukraine. That will then be very complex, because then we will have Dutch territory in Ukraine. That might be possible, but then the suspects won't be there, and neither will the witnesses. Then there is a sort of dividing line: here sits the judge and there are those who need to be heard. So I like the choice. At the same time, I will continue to stress this. The chances of the process leading to success are extremely, extremely low. That's no reason not to, but we have to keep an eye on it. The Prime Minister's promise to do justice and to give satisfaction as much as possible to the next of kin is binding on us all, precisely because it is such a long-term issue. Between the Lockerbie attack and the first day of the criminal trial, there were 12 years. During this period, many people have said: insane, it will never happen and we will never get anyone in court. Eventually, we did it. That process also deserves no mention because it was such a great process, but it has happened. We have done justice to the victims, but we have done a great deal more than that. That is what I am saying to the government, that there are still many steps to be taken in bringing the criminal proceedings to the best possible conclusion and also to do more. There are other trials. The government opened it. I think that is important, and I also think that we should talk about it. The solution we have found is that we will discuss it further with the Minister and with the Foreign Minister. I think that is a good one, because that too is virtually unknown territory. And yet, I have listened to what experts have said in this area: the path of state liability might lead to limited satisfaction towards relatives. That's not much, but I know from other reasons how much it can sometimes mean that you can do something compared to doing nothing. So I think that should be investigated. The Minister is for that. I can imagine that we would have an oral discussion on this with the Minister and his colleague for Foreign Affairs. I hope the Minister will tell us when Ukraine's parliament is actually going to ratify. I hope that is indeed Wednesday. It would be important if we could receive a report on this, because I also know that Ukraine's parliament often goes on vacation quickly and for a long time. It would be very unfortunate if this still had to be done in between. It's always a little more bodily than it is here. That is why my question to the Minister was: is he aware that a party, right or wrong, would argue that it is rather a far-reaching step to give up jurisdiction, and that Ukraine does not normally do so? I hope he will inform us as soon as the decision has been taken in Parliament, because without ratification on that side of Europe, everything will stop and we will not be able to go on. That's why I asked: do we have any contact with Russia? For we know that it did not happen above Russia, but we do know that the material used is Russian and that there is a good chance that perpetrators may have a relationship with Russia. We also know that the Russian constitution offers the same problem or protection as the Ukrainian constitution. Nor will the Russians hand anyone over to Ukraine. So we will have to think about that, of course under the premise that Russia is willing to cooperate, but on the basis of Resolution 2166 Russia must cooperate, the whole world must cooperate. Then we'll have to bring it up. Again, in the end, we have done business with the Libyan Government. This was a more problematic government compared to the Russian government. We have achieved results there. I also think it is very good to consider a third course of justice. Vladimirov spoke about it on television. It didn't sound so great, but he said: in practice, it is ultimately the most likely to have any comparison with the states concerned, not recognizing their responsibility, but being prepared to do something about it. This is almost a distasteful way of dealing with a process, but here too, the importance of the next of kin must be paramount for us. Could the Minister check that out? He doesn't have to tell us that here, but I hope we're also trying to investigate the third course of justice. Again, time can't be a problem because we're years ahead of this case in its next phase. Thank you.
ParlaMint-NL_2018-07-10-eerstekamer-16.u49	Thank you, Mr. Kox. I give the floor to Mrs Strik.
ParlaMint-NL_2018-07-10-eerstekamer-16.u50	Mr. Chairman. I would also like to thank the Minister for answering the questions. There are still a few things that are open to me or which I might want some more clarity about. I have indeed spoken about the fact that the criminal proceedings are being carried out in Ukraine. The Minister has already indicated that the Dutch criminal rules apply. That is very good, but we still depend on how the Ukrainian authorities implement them. My question was also in the first term: are we, as the Netherlands, responsible if these procedural rules are violated, or for the way in which the Ukrainian authorities deal with them? This also applies, for example, to the circumstances in which they are in remand. So what about the responsibility of the Netherlands in that? Furthermore, the Minister also said that we are only going to consider whether we are going to conclude a treaty with Russia if that is the case. The Minister corrected the D66 spokesperson somewhat by saying that all we know is that the missile installation is Russian made. But that's something. This indicates that there seems to be a lead for further criminal investigations in Russia on how that was done. It is certainly not possible to rule out any interference from the Russian authorities. So the question is: when is the time to say: now we are going to think about further cooperation with Russia? Then there's the point about airspace. I do not share the Minister's impression that he did not say that in the Lower House. In response to the De Roon motion, which calls on the government to extend the criminal investigation to the closure of airspace, or the non-closure of airspace, the Minister has indicated that this is unnecessary, because the criminal investigation extends across the board to responsibility for bringing down the MH17. Unfortunately, I forgot to bring my reading glasses, but the chairman really supports us in every way, because she now gives me a reading glasses. In his response, Minister Grapperhaus actually says that three times. First he says it's unnecessary because it's already in there. I'm getting my own glasses handed over now. No, but this one's perfect, Kees, thank you.
ParlaMint-NL_2018-07-10-eerstekamer-16.u51	HEMA.
ParlaMint-NL_2018-07-10-eerstekamer-16.u52	The strength is about 2, huh? Or 2.5?
ParlaMint-NL_2018-07-10-eerstekamer-16.u53	No, no, no, 1.5.
ParlaMint-NL_2018-07-10-eerstekamer-16.u54	Okay. Then my eyes aren't so bad. But in the end Minister Grapperhaus also says: "I will say it very quietly once more. The criminal investigation is aimed at detecting and preparing for prosecution cases against those who are wholly or partially responsible for taking down flight MH17. We should not put the Joint Investigation Team on any clause in that broad assignment." That sounds to me like: that's in there too. Because if that air space had been closed, it wouldn't have happened in the end. So I'd like to get some further explanations on this. How does this relate to the commission of the criminal investigation? Finally, Mr President. Thank you for the commitment on the letter on the special scheme for civil liability. Once again, we are in favour of an arrangement that is as accessible and as easy as possible for the next of kin, so that they do not have to be sent from the locker to the wall. We are pleased that, hopefully, we can agree to this bill here today so that at least before the summer this first step has been taken. But we also very much agree with Mr Kox that we would very much like to talk more broadly about an integrated strategy to clarify the responsibility for bringing down the MH17. There are more possibilities that are not within the scope of the law now, but which we would like to see. We assume that the government has a comprehensive integrated strategy. We would like to discuss this with the government at a later date. Thank you. And thank you so much for borrowing the glasses.
ParlaMint-NL_2018-07-10-eerstekamer-16.u55	Thank you, Mrs. Strik. I give the floor to Mr Kuiper.
ParlaMint-NL_2018-07-10-eerstekamer-16.u56	Thank you, Mr. Chairman. I'm still wearing my glasses, so that's gonna be fine in this term. Thank you to the Minister for answering the questions and for being careful. My group, the Christian Union Group, will support both legislative proposals. I had already indicated that in the first period. I believe that important steps are being taken here. There is one thing that remains to be discussed in this debate. I also asked questions about it in my first term. We are now quite exactly in realising a cooperation with Ukraine, which is good; that is now taking this form, but it remains somewhat unsatisfactory that there is a lack of information on how the relationship with Russia can be shaped at the moment. For now, it's all about tracking. That is, of course, the first stage we are talking about. My question was just a moment ago, on which Russia is really accessible under treaties that we or Europe and Russia are party to together. There is, of course, something in it that you are not unobligatory. Pressure can be built towards Russia. I know that this is politically complicated as long as Russia says it has not been proven at all and denies its own involvement in the disaster, in bringing down MH17. Of course, they want to hold on to that political line. At the same time, as a member of the international community, we must also be more able to deal with legal persecution across national borders.
ParlaMint-NL_2018-07-10-eerstekamer-16.u57	Do you think about time?
ParlaMint-NL_2018-07-10-eerstekamer-16.u58	I only had one minute, I think. I see I have a few seconds left. But this was my question.
ParlaMint-NL_2018-07-10-eerstekamer-16.u59	No, no, no, you've been over it for a minute!
ParlaMint-NL_2018-07-10-eerstekamer-16.u60	Oh, excuse me. Anyway, here's my point. I would like the Minister to go into that one more time. That is also in line with what colleagues have already said. For the rest, our support. Good luck with the sequel.
ParlaMint-NL_2018-07-10-eerstekamer-16.u61	Thank you, Mr. Kuiper. I give the floor to Mr Van Dijk.
ParlaMint-NL_2018-07-10-eerstekamer-16.u62	Thank you, Mr. Chairman. My eyes were lasered last year, so I hope to be able to do without glasses. Mr. Chairman. The way in which the Dutch cabinet is committed to finding out the truth about the MH17 disaster and the search for justice for victims and relatives demands respect. In this way, our government takes the lives of its citizens extremely seriously. With this she also fulfills a vocation, which she has obtained in my eyes from the Higher Hand. That is no less true of the cabinet's pursuit of justice in this matter. The commitment of the Netherlands to its citizens, victims and survivors is, in this sense, an example for many other countries. I thank the Minister for his clear answer. We wish him a great deal of stamina and wisdom in the continuation of this complex exercise. The SGP would like to support both legislative proposals. Thank you.
ParlaMint-NL_2018-07-10-eerstekamer-16.u63	Thank you, Mr. Van Dijk. I give the floor to Mr Knapen.
ParlaMint-NL_2018-07-10-eerstekamer-16.u64	Mr. Chairman. I too agree with the thanks given to the Minister and the Cabinet. We are all aware that there have been all kinds of explanations today that may not have been strictly within the framework of these two proposals. I've made myself guilty of that, too. But that is understandable in some sense, because it is a subject that is not so often raised here but that we are all inversely high. Mr Kox has pointed out in detail how difficult it is to put a satisfactory end to this on the basis of many examples from the past. At the same time, I think this makes it clear that we are all continuing to pursue this. In fact, I think we can say, in addition to appreciation of the cabinet's commitment, that this Chamber sets a new exclamation mark behind the determination that we want to continue to show in the direction of truth finding and justice. I wish the cabinet good luck with that in the coming period.
ParlaMint-NL_2018-07-10-eerstekamer-16.u65	Thank you, Mr. Knapen. I give the floor to Mr Dankert.
ParlaMint-NL_2018-07-10-eerstekamer-16.u66	Thank you, Madam President. I would like to thank the Minister in particular for his answers to our questions. I thought this debate was very useful, but it is clear that it needs to be continued. We thank the government for its actions today. I also have to say, of course, that we will vote in favour of the legislative proposals.
ParlaMint-NL_2018-07-10-eerstekamer-16.u67	Thank you, Mr. President. I give the floor to Mrs Baay.
ParlaMint-NL_2018-07-10-eerstekamer-16.u68	Mr. Chairman. I, too, thank the Minister for his reply. I would like to make a further comment on the Minister's remark that Ukrainian law might still have an influence on the trial of a suspect, because it is precisely in the treaty that Dutch law is applicable. Mr Strik mentioned this for a while. My specific question is: is Ukrainian law possibly only applicable to the issue of a fair trial? Thank you.
ParlaMint-NL_2018-07-10-eerstekamer-16.u69	Thank you, Mrs Baay. I'm gonna take a look at the minister. Do you have an opportunity to answer directly, at least when the cathedral arrives? Would you have the opportunity to do so? That's the case. Coca-Cola's on its way, too. I give the floor to the Minister of Justice and Security.
ParlaMint-NL_2018-07-10-eerstekamer-16.u70	Mr. Chairman. I am not so much expressing my gratitude, but I note that your Chamber is in great agreement on the importance and significance of this treaty and this legislative proposal. That is an important support in the back. I'll skip Mrs Faber for a moment, but I'll be right back to her question. First of all, I should like to comment on a point made by Mr Kox. I have taken the liberty of questioning them somewhat, because he said something about a low chance of success. I don't know what success means in this case. I don't mean this wrong with Mr. Kox, but I think we're all looking for justice. This can sometimes be found in the fact that we do not accept what has happened and that we are determined to track down and prosecute. I had already stated that before Mr Knapen said that word. I think that's why it's about the cabinet or the government. I would like to have said this out loud again, thanks to Mr Kox, through you, Mr President, because he also raised that point. Then I come to a number of points which were clearly questioned. First of all, Mrs Faber wondered what had been done with the information of 14 July about Kiev and the Antonov. That information was shared with the relevant ministries on the same day. As I said, this briefing in Kiev was not about civil aviation safety, but about Russia's activities in eastern Ukraine. The shooting down of the Antonov posed no threat to civil aviation. The Security Research Council has examined this in detail. You will find this on page 253 of the report of 22 October 2015. I quote: "It is unlikely that the Antonov was shot down by a powerful air defense system." Mrs Strik asked a number of questions. She asked about the Dutch responsibility for the conditions in the Ukrainian prison. I thought I had actually said something about that, but perhaps that was a little too implicit in the light of the questions. The Dutch Government has agreed that the Ukrainian Government will inform on request about the implementation and how all this takes place. Of course, the Netherlands is not formally responsible for this detention, but the way in which detention and detention conditions are conducted can of course have an impact. We, as a government, will therefore continue to discuss these detention conditions with Ukraine. I would like to point out that Ukraine is also truly bound by the ECHR, the European Convention on Human Rights. Then I'll be right on to Mrs Baay's point. She asked a question about Ukrainian law, which would affect the trial. This does not apply to Ukrainian law as such. It is only a question of whether, if a trial were to take place through a videoconference, then if the defendant had agreed to it, then no fundamental principles of Ukrainian law would be infringed in that trial. Those are the rules of the European Convention on Human Rights. So we're actually looking at the same standards in a mirror image. Mrs Strik asked when the time had come to reflect on further cooperation. This question has actually been raised by Mr Kuiper: why has Russia not already been reminded of their obligations? Isn't that something Russia should be talking about? Russia is of course aware of the findings of the Joint Investigation Team. If I may put it that way, Russia has a standing invitation to cooperate and to simply provide legal assistance where Russia has an obligation to do so and can also provide meaningful legal assistance. This could have been done, for example, by reporting that a missile installation of the 53rd brigade has been used. What is the time to think about further cooperation? In itself, of course, the government is almost constantly considering whether there should be further cooperation, but as long as the standing invitation remains unanswered by the Russian Federation, it is in any case difficult to set up this cooperation on fact-finding. That does not alter the fact that developments can certainly occur, for example with regard to potential parties involved in the destruction of the MH17 through more findings in the investigation, which would lead us to the Russian Federation on that point, but I have already indicated this in the first period.
ParlaMint-NL_2018-07-10-eerstekamer-16.u71	"A standing invitation" still sounds a little passive. Our cabinet found a few weeks ago that Russia did not cooperate sufficiently with the investigation. I imagine that you will not say 'there is JIT, there is a standing invitation and they know about it', but that Russia too, through diplomatic channels, is primarily in Europe, but also, for example, under that UN resolution, strongly pointed out the obligation to cooperate under agreements. What exactly does that look like? 'Cause this sounds a little passive.
ParlaMint-NL_2018-07-10-eerstekamer-16.u72	Of course, standing is not passive, but it is true that, of course, diplomatic channels have often called for it. I do not know whether "eating evil cherries" is linguistically the right expression; I look at Mr Schaap through the chairman. It has been said several times to the Russian Federation that she has been invited to help us. Let us not forget that the Russian Federation was still involved in research at the beginning. However, at some point it is quite clear that despite some of the international legal obligations I have listed, the most simple and clear for the people at home of UN Resolution 2166, even though you repeat this every time and even though the Joint Investigation Team has said so out loud in international traffic when presenting the evidence. There has really been enough opportunity for the Russian Federation to say at some point: here we are. I would also like to make it quite clear here. Mr Kuiper's point that we certainly need to repeat it through diplomatic channels, I certainly take it to heart, as far as we are not doing it. But it is, of course, and remains, that it must also come from the other side at some point. And that is not the case at the moment. I have another question from Mrs Strik on airspace. We may have a little misunderstanding about that. I certainly said in the House of Representatives that the investigation into criminal responsibility for and involvement in bringing down MH17 is wide, and that nothing should remain beyond the scope of the investigation. However, I have also said in the House of Representatives, and I repeat to you today, that there is currently no basis for the government to make a state statement on the issue of airspace on the basis of what is now known.
ParlaMint-NL_2018-07-10-eerstekamer-16.u73	Mrs. Strik, you may make one more interruption.
ParlaMint-NL_2018-07-10-eerstekamer-16.u74	I understand what the Minister is saying, because we are still at the beginning of the criminal investigation. But can I understand the Minister in such a way that it could possibly be part of the criminal investigation, should more indications emerge from it? It depends on what you're gonna focus on during the criminal investigation. In the case of one of the research questions, this could eventually result in information giving rise to such a decision or step. Am I getting that right?
ParlaMint-NL_2018-07-10-eerstekamer-16.u75	That's what I've been saying. It cannot be ruled out at all that, in the context of the criminal investigation, which focuses on the question of who is responsible for, or involved in, the taking down of MH17, circumstances arise that lead to partial claims in certain areas. That's not out of the question. Again, it is wide, just as I indicated in the House of Representatives.
ParlaMint-NL_2018-07-10-eerstekamer-16.u76	So including...
ParlaMint-NL_2018-07-10-eerstekamer-16.u77	Mrs. Strik, that one sentence, right?
ParlaMint-NL_2018-07-10-eerstekamer-16.u78	So, including not closing the airspace in time?
ParlaMint-NL_2018-07-10-eerstekamer-16.u79	Including... I didn't understand that last word.
ParlaMint-NL_2018-07-10-eerstekamer-16.u80	Yes, I must repeat it now, Mr President! Including the failure to close the airspace in good time.
ParlaMint-NL_2018-07-10-eerstekamer-16.u81	Let me put it another way: we're not ruling anything out. I think you shouldn't start naming things in an ongoing investigation and give them some kind of heaviness. Here's what I want to say. The Joint Investigation Team, in which the Dutch Public Prosecutor plays a very important role, does a broad, nothing exclusive criminal investigation. Mr. Chairman. I'm just gonna take a quick look at my pieces. I believe that I have answered questions from the second term, but I do not want to make anyone wrong. So that would mean I'm at the end of my second term.
ParlaMint-NL_2018-07-10-eerstekamer-16.u82	Thank you.
ParlaMint-NL_2018-07-10-eerstekamer-16.u83	I have come to deal with the legislative proposals. I'll do that by bill. Would any of the Members like to vote on the 34915 bill? That is not the case. Then the bill is accepted. Anybody want a note? That is not the case either. Would any of the Members like to vote on the 34916 bill? That is not the case either. Then that bill is also accepted. Anybody want a note? That is not the case either. Then I'll suspend the dinner break meeting.
