ParlaMint-IS_2017-03-02-38.u1	We're expecting lunchtime off the clock. 13 o'clock. 14 today.
ParlaMint-IS_2017-03-02-38.u32	Mr. President. I want to start by thanking our birthday baby of the day and the highest. Environment Minister for the necessary and excellent report discussed here. The report highlights the value available by Icelanders in the form of eco-friendly energy sources and how we have been able to make use of it, including for general house warming. But it also paints a somewhat darker picture of our way of life. Thus, the report says that emissions of greenhouse gas per Iceland are less than three times the average global population and twice the population of the European Union. We are also just over the OECD average. It also shows that our emissions have increased by 26% over the last 25 years but are fused by 24% in the European Union at the same time as the emissions by 33◯79% in terms of carbon binding, agriculture and forestry to 2030. There are few or no examples of such increases in other developed countries. We remember, then, that it is difficult to fulfill our international commitments. This must move us to do much better in this regard. An extended report, a bill on energy exchange, and other factors, of course, give the belief that the government intends to take this important project seriously. Granted, there are also regulations in the Treaty that no further indiscriminate agreements will be made, e.g. to pay for the introduction of contaminating heavy industry in this country. In fact, it is the problem of Njörður's gift that nothing has been reported on how the government intends to follow it. No cases have been offered to ensure that this course can be constructed. Although the words of a individual minister may weigh heavily, they are not laws or regulations. Either the government must provide such changes in the legal environment that support these schemes or the government's situation must take care of it and do so. There are some excellent suggestions in the report that can help us in our fight for climate goals. These include energy exchanges, climate - related agriculture, agriculture and forestry, the recovery of wetlands, etc. These are all very important subjects. It is noteworthy, though, that this is hardly a factor that is certain that we could achieve one of the best results and be effective as we improve the well - being and the public health of the people of the country. I'm here talking about a urban organization, Madam President. True, the council has been presented with ambitious suggestions for energy change, as I mentioned earlier. Although this is a wonderful step, it can be said that we are responding to symptoms rather than to prevent the disease from occurring. It is not enough to advance the private car on eco-friendly sources of energy, we need to reduce its use because it encourages unsuspecting development. It is important to shape ambitious suggestions on sustainable development in urban areas, thus supporting the rural governments that have taken their action and have encouraged others to go on the same path. Today, man - made engineering is believed to be responsible for about 30% of the world's carbon emissions. That is where we have the best chance of reducing carbon emissions and thus successfully fighting climate. Especially in a country where about 70% of the population lives in cities and towns that are so large. The way to build and organize is not a matter of taste or freedom. It requires much more infrastructure, not just animals in construction and operating, but more than any environmental mess. It also reduces the likelihood of efficient public transportation, encourages, or forces, an increasing car traffic that once again encourages expansion, thus indirectly becoming a cycle of Vitite and a major component of oxygen emissions. So, first of all, we need to organize all urban areas so that it takes into account the three pillars of sustainability; environmental, economic, and social factors. Second, we need to use modern power and rethink the inculturation with a view to making it more efficient. Third, we need green taxes and motivations. Fourth, we need to strengthen public transportation, stimulate the use of the land, and increase the possibility of getting somewhere walking and riding. And, of course, the use of eco-friendly energy is increasing at the expense of fossil fuels. Finally, we need to improve the education of the common people, which aims to make us citizens rather than consumers.
ParlaMint-IS_2017-03-02-38.u33	A respectable president. I thank you, like everybody else, the highest. Minister for this important report and celebrate the discussion. I'm glad we're discussing climate policy today. Environmental and climate issues are no longer private idealists, key priorities for future economic growth and survival. No task today is more urgent than to stem the trend that we face. True, it is good to have thermals all in our time, but we need to do much better. The Icelandic government has mainly worked after the Kyoto Protocol, and during the last term, a three-year application program was set up that contains 16 projects to sharpen Iceland's climate focus. There are a number of assignments that are especially important. These include the energy exchange program. A report by the Environment and Resource Minister contains a specific section affecting transport and water transport energy exchange. True, there have been good and positive steps in this direction within the framework of the Action Programme. These include the reduction in pay and taxes on climate - related cars and fuel and the strength to the infrastructure of electric cars. However, these actions could be much bigger and larger because we have a key role in the electricalisation of the transportation. Transport was responsible for 19% of total flows in Iceland in 2014, as noted earlier today. It was noted in the past that we are doing well, especially because of our access to renewable energy sources and heat - industrialisation. However, our release is still far too great. That's where we can do better. Although our emissions do not weigh heavily on the world's emissions, our conduct can imitate others and become a model for those who wish to do well. If we want to do good, we need to reflect in the cooperation of our government, our community, our business, and the general public and I trust that we will be able to put aside the interests of the individual parties and pay for public interests to be on top. As individuals and consumers, we too can add much weight to the scales by taking little steps to become aware of our consumption and behavior. Being conscious is the first step, and many little steps will bring us far if we want to. I believe it is our important role here, responsible for these future policies, to increase our awareness in this category. Many are already doing well and are interesting to observe it and see groups here at work picking up plastics that are going to the sea. I would like to mention, in particular, Reykjavíkurburg, who is struggling to implement eco-friendly transport and urban areas with this objective in mind. Arrangements and Vistity also work very well in these areas, and I welcome it. It's interesting to watch what they're doing. It will be interesting to observe and participate in a new plan of action, and I am quite optimistic about our mutual success in this class.
ParlaMint-IS_2017-03-02-38.u34	Mr. President. We'll discuss a report with you at the highest level. Environment and resource minister on climate status and policy. For one thing, I'd like to thank the highest. Minister for the report, and especially for keeping the record straight about how terrible Iceland's climate situation is. V.E.G. Environmental and resource ministers are not drawn up by the fact that the government has been very successful in terms of climate change and change measures. When it comes to the situation, the minister is very realistic, and the huge campaign that Icelanders need to resolve in order to reverse the trend. That word is the highest. Ministers compete with a recent report by the National Institute for Economics at the University of Iceland in Iceland and in the climate. What's the development? Greenhouse gas emissions increased here by 26%. However, at the same time greenhouse gas emissions have fallen by 24% in 28 European countries. This is a 50% difference between emissions of greenhouse gases in the country and in those countries. According to the secretary's report, the 2030 Action Programme is still on the table and is not officially started. I'd like to encourage the highest. Ministers and experts in the Environment and Resource Ministry for good work there and it seems to me that there is a good way, as suggested in the report, to coordinate a climate-based application schedule with the strategy. I really hope that the plan of action will become clear as soon as possible, and I'm happy that I will be adamant in the operation program set up by the government of the Left Green and Controversies in 2010. I'd like to keep it to the highest level. A minister to put too much hope in recovery of wetlands is one of the key measures needed to manage climate change. True, it is good work to support others, but it is clear that science, which is a fundamental estimate of emissions in wetlands, and the results of this action are far less effective than in terms of agriculture and forestry. I'd also like to give the highest attention. Advisory to rely on marketing solutions when it comes to the release of brovotes, which are at the highest level. Environment and resource ministers are expected to investigate, a very controversial way of releasing countries from their basic obligation to reduce greenhouse gases and their emissions. General agreements on drastic measures to manage climate change are key here as well as elsewhere. This is especially true of the present government. I'm sorry to say that all her ministers are walking in the same rhythm as the highest. Environment Minister when it comes to highlighting practical measures to help prevent climate change. For films, I haven't heard the highest. Jón Gunnarsson, secretary of transportation, spoke a lot of things about the need for public transport after he became a minister. But the minister has spoken much more about setting priors to the miseries in the capital area when it comes to transportation in the largest area of the country. All Ministers of the Government of Independence Party, Bright Future, and Corrections agree with the Government's declaration in the Government Treaty, which says, by permission of Presidents: ▪ There will be no upcoming investment agreements due to the development of contaminated industry. That word has the highest power. Environment Minister repeated. V.E.G. The environmental minister also spoke in his talk about green taxes and the need to increase the number of taxes within the tax system. That's where we agree, but I don't think all government ministers agree with that emphasis. It's fun to remember a newspaper article at the top. Minister of Justice Sigríður On. Andersen, who wrote in the Morning newspaper for green motivation on February 12 of the past. In the newspaper article, the minister brought up green taxes and green incentives and economic and economic strengths with serious doubts and warned against them directly, contrary to the government covenant. Madam President. Climate change is serious. Iceland has to take really good care of her pants, and it's going to be a lot better when it comes to climate change. On this point, a new report by the Institute for Economics at the University of Iceland testifies to climate. That's where the picture is very dark, to say the least. Iceland has to take on responsibility, and we all have to lie down and do much better than has been done in recent years, and not just to correct the international reputation of Iceland, which is expected to be unsatisfactory. According to both reports at the highest level. For Iceland to meet its international commitments, such as the Kyoto Convention and the recent signing of the Paris Convention, the secretary and report of the National Institute of Economics of the University of Iceland need almost a miracle. But our global commitment and commitment are not only about reputation but also about quality of life and viable environment and the society of future generations because climate change and its impact are mankind's greatest project at present, and I do not detract anything from that dramatic language.
ParlaMint-IS_2017-03-02-38.u35	A respectable president. We'll discuss the report of the Environment and Resource Minister on the state and policy of climate. In some ways, this report is a strange document; a series of paradoxs, cross - references, going through many fields, taking off and down. I'm going to take a quote from this fine report, with president's permission: ▪ In many ways, we have a good view of climate. The main target is to reach all electricity production and house - to - house use renewable energy. However, the situation in Iceland is far from good. Greenhouse gas emissions account for about 14 tons of carbon dioxide per capita, a total of 4.9 tons worldwide, 7.4 tons per European Union (EU) and an average of 13 tons in OECD countries. Emissions have increased by 26% in Iceland between 1990 and 2015. At the same time, emissions have fallen by 24% in total in 28 EU countries. A recent forecast in the University of Iceland Economic Institute (HHHI) report suggests that emissions can increase by 535.99% of the country to 2030 but less than we do, or 33◯79%, if taken into account by land healing and forestry. There are probably few or no examples of such predictable emissions to 2030 in other developed countries. This is serious news there, and I continue, by permission of the President: The newest EU emissions indicate that Iceland will find it difficult to fulfill its commitments within the framework of Kyoto Protocol to 2020. The 2010 action programme has aimed towards that and for the first years after the purpose of the operation, emissions were further reduced to an average level by expectations. The new emissions for 2015, however, indicate that emissions are activated or re-examined... Most of the increase in emissions up to now and in existing forecasts is from industry. This industry needs to obtain emissions within the EU business system (ETS) and emissions are on their own. They need to be released and released, and they themselves have their carbon accountings within the ETS system. The Icelandic government is then directly responsible for the percentage of emissions outside the ETS. While governments do not have to be directly responsible for the increase in emissions from major industry, Iceland is still heading for its own commitment within the Kyoto Protocol to 2020 or to the Treaty of Paris to 2030. Iceland has every opportunity to become the head of climate control. Few or no countries have as good an opportunity to electricalize transportation. There is great potential for increasing soil carbon binding and vegetation, reducing emissions from the most advanced wetlands and generally improving natural resources. Many Icelandic companies are at the front of climate - dependent technology and renewable energy. The awareness of the climate problem and the interest in solutions has increased dramatically in recent years, and more and more rural areas and companies are developing climate policies. A respectable president. It's amazing. This place is all horny. It's a bunch of pessimism and pessimism. Farmers and businesses - they have a progressive climate policy. Yeah, yeah, they've certainly done it, and it's great, that's great. But what about the government? What will she do about these matters? Yes, it says the report on position and policy. It's a general policy. It's coming in on some of the key elements. One of them turns to energy exchange and is referred to the synonym of tourism, industrial and innovation of the action programme in those substances. Here's a suggestion mentioned. When I read it from the printery, I noticed many things in it. I remembered that I had read all of this in an earlier document from the previous government, from the last legislation. A respectable president. This energy exchange action plan is not a reason for great optimism if I am to say exactly what it is. It's actually similar to the old one. That is, then, the exact same value. Word is tied up in a single place. The biggest change is that deadlines are extended. The old operation programme includes deadlines by category of materials. Some of them are on January 1, 2017; obviously, it is a little late now, others and most of them are on January 1, 2020, i.e. in the old operation programme. In the new world, men have decided to make a little more space, and now all of this will be completed in five years. And it's rather fun if I'm supposed to say it right now, a respectable president. One change I noticed is that when more than 22 passengers in the new program are referred to as reimbursed, there are over 16 passengers in the old class. In another place, one small law has been cleared of clean - powered vehicles and their priority in transporting humans. A respectable president. There's more to it than that. We need to do more, the future of future generations is at stake.
ParlaMint-IS_2017-03-02-38.u36	V.E.G. President. Here we will discuss the report of the Environment and Resource Minister on the state and policy of climate change. I'd like to start by wishing to the highest. Environment and resource secretary to congratulate you on your report. The report is a good entry into the assignment that Iceland and I, like other nations, have reached an agreement to go on, i.e. reduction greenhouse gas emissions The report shows that the plan of action should primarily be based on the diagnosis of Iceland's High School of Economics, which was introduced last month, Iceland, and climate. I might also want to reiterate that this is a definite introduction to the discussion because, of course, we're going to progress on this, it's not as if it's the final piece of paper to go to 2030, we're going to work and we're seeing this for a long time. So much work is yet to be done. However, what I really like about the Economic Institute report is that statistical data come into play over various issues, and this is better understood, so we can see more clearly how we need to handle our individual assignments. A report by the National Institute of Economic Research (HI) currently presented in February suggests that Iceland has the potential to reduce the net emissions and the estimated cost of any operation that I have not seen before. There are eight emphasis points: Transport energy exchange. Actions aim to achieve a 10% share of ecological renewable energy by 2020. Today, this ratio has come in about 6% and has grown rapidly in all the last phases. As we observe and are interested in this, we know that in the last three months of our last year, we saw significant changes in the purchase of eco-friendly cars. However, it should be noted that the rental car purchases large amounts of imported automobiles in Iceland, and it does not have the same motivation as the public to buy eco-friendly cars. That must be kept in mind. But then we return to the Economic Institute report. There's a second dot of electric cars and an extension of national infrastructure. Actions are aimed at strengthening the main infrastructure, such as the preparation of fast - loading stations. A third point is the guide of a marine outlet through emissions. Action aims to reduce emissions by 40% in the oceans in 2030 compared to 1990. The report also shows that emissions have greatly reduced since 1990. The number of ships has been reduced and the rate of burning is reduced on fossil fuels. Then there is high expectations for new technologies in ships that are being displayed in the latest ships, where screws are larger and fuel needs are considerably reduced. It will be exciting to observe how this will affect the seabed. Then it's a climate-based agriculture. It will be done to provide road-by-line data on agriculture. The report on the growth of forestry and land healing. It is estimated that they will contribute more money to forestry and land healing. Restored wetlands. A project aimed at restoring wetlands is estimated to be set up. It's a state-of-the-state carbon balance. Strengthening projects that contribute to carbon balance in the business of the state. It's an effort to avoid food waste. Paint tasks that help to reduce food waste I'm going to highlight two points here. On the one hand, I am reminded of a project set up in 20103/42011, of green energy and energy exchange, which turns them to electric cars, loading stations, and fast - loading stations, and so on. These weeks are a lot to do. I guess that's about it. two to three weeks from the circulation of 201 million government funds. K. for the next three years, 67 million. K. every year, i.e. 40% is up to half a billion that are going to be used for heavy - charge and quick loading in the country. It is taking a big, important step. I'd also like to mention forestry and land healing, which is one of the dots. Me and the Icelanders have been putting about 250 million. K. in the forest industry in recent years, into the plant. This is a lot to say in the reports, especially in the Institute of Economics, that it could be very effective. It is a question of whether it is time for us to consider the forestry laws, whether or not we will see anything that needs to be changed there, as well as a national forestry program, whether we are interested in adding to it at the High Council. It is very interesting to read about the results in the report. I know less about land healing, but I'm pretty sure that land transplants and forestry are interested in working together on these issues and I'm fully ready for that job. Then I'd just like to mention the importance of working with the native communities in the country, the presence of the population and other factors, which have a profound impact on this. This report does not say much, but it may need to be considered further. Now I know from Akureyri that there has been a targeted massmaking since 2006, that was a decision, a huge and intense effort. We've got Vista, we've got methadone production there, and we've got these factors. We're doing a lot of things, and this is really exciting. I don't want to be too pessimistic on these matters. I think there have been many good steps in the past year and years. I think we're on the right track with many of them. Of course, we need to do well, but we need to work hard and do something.
ParlaMint-IS_2017-03-02-38.u37	A respectable president. I want to be like others to thank the highest. Minister for this fine report. It is quite tore up the climate situation today, and of course what we can do for the future is encouraged. In itself, this report may not contain much new information except for the University of Economics that is added to our long - term discussion of climate problems. There has been a mention of an application program on climate matters that started by the forwarding government of the move groups and by the independent party. It's a pleasure to see that the current government intends, as I understand this whole thing, continue with that plan. Of course, all of this actually began a long time earlier. It is important to remember that Iceland is not isolated when discussing climate issues. We are part of the world, the global problem of climate. As a result, we also need to look at things from that point of view, not only from ourselves. I'm going to leave at the short time I have to review the exact steps possible in Iceland, but I'd like to say one thing: We can't disappear from the schedule we've had to drive the country up and also increase public awareness about how it can reduce emissions not only greenhouse gas but also better treat the environment in general, i.e. To classify the garbage and the like. Iceland is not an isolated phenomenon in all of this, so the current government has to concentrate on the international projects that Iceland has taken part in, is behind, or has even taken the lead in developing. I'd like to mention a so-called global geothermal group, Iceland's Global Geoterminal Alliance, with IRENA, an international agency of renewable energy, initiative to form. He was set up in Paris, in the big and remarkable meeting. This is an important area to increase the knowledge and use of earth's heat in the world. At the same time, the last government decided to put 1 billion. A dollar in the green climate Fund between 2016-2020 and the importance of keeping up with it and continuing to strengthen that fund. It becomes clear that Iceland is taking on great responsibility when it reaches the north within a few years. It is very important that the packages that we offer in the prehuman society of those days be looked particularly to the climate. We have, in fact, stressed that projects related to climate change and environmental change in the North East are getting sufficient attention. Finally, I'd like to mention regarding this international king that it is very important that we share our knowledge and experience in the international community. I mean the United Nations University. We have even. Strengthen especially the land - healing school, which is very important and can contribute tremendously to international and global issues if we introduce and show people and the world the results that we have achieved in terms of land healing.
ParlaMint-IS_2017-03-02-38.u38	A respectable president. First, I'd like to celebrate a report of the highest order. Minister on climate status and policy. This is one of the most important issues of our time, a case that the government takes very seriously and wants to show a great deal of ambition. It's a group of paintings where we're supposed to be very ambitious. It is not enough to refer to the fact that we have an abundance of clean energy and, as a result, keep us in a global setting. That is certainly true, but there are so many other areas in which we are not doing anything very well. We need to be more ambitious and afraid of energy, so to speak, perhaps because of our own clean and inexpensive energy, but we are extremely cruel to use it. We need to consider what can be more beneficial in our environment. I choose to look at the world with a positive view. I find this context of international commitments, international agreements, that the world has come to this problem, followed by our own initiative in creating new technologies, new developments in all areas. This shows that while the problem is enormous and serious, we also have good opportunities to deal with it. Of course, there we are to look to our efforts here, where we have been successful, and where we can do much better. In many respects, we have achieved excellent results in fishing. The improved use of fishing along with more efficient fishing vessels has greatly reduced emissions from the seas in recent years. That's a very positive development. Although it is true here, emissions from the big industry are an enormous part of our emissions, it should not be forgotten that in the global context it also has positive aspects, i.e. We're saving something else. From this point on, for example. to ease vehicles in Europe primarily are probably produced by about one fifth of the emissions on the continent of Europe. However, it does not diminish their business commitment to calm down the years before reducing their emissions and performing counter measures, for, of course, there is never enough to be done. But in many respects too, there have been fine results. We have a very interesting project ahead of us in the energy industry, especially when it comes to binding carbon dioxide again, whether in rock or for fuel recovery. It is a truly exciting assignment that we should take pride in in the coming years. What I think is important in this approach is that we look at climate issues and the big problems we face there as our biggest opportunity. In recent years, professional life has changed its view of the group of litigators from terror to its greatest possible existence. We see in this country, like anywhere else, the growth of a number of interesting sceptres that have their livelihood in developing environmental technology is developing ways to reduce emissions at all battle stations. That is why it is so important that as a nation, we take pride in these matters. Let us be on the lead in the matter, whether in the energy industry, energy exchange, or other factors we can reach. Let's clear the way for the sceptre companies, for the environmental technology companies that are springing up. We are to approach this subject in a manner similar to that of our neighbors Danir, who view this as one of the biggest opportunities for employment, not at all, a threat to economic growth or prosperity in their land, but a source of new opportunities. We certainly have many examples, such as Carbon Recycling, ReMake Electric, or Marccial, all of which have done extremely good and interesting things in this area. What matters to us also in terms of environmental matters is how much else we have a cleaner and green image when it comes to the marine soil, clean food industry, environmental food industry, our tourism, when it comes to the energy industry itself, and what knowledge we can use to export, so to speak. There are a number of factors in the programme that we can look at, whether it is counter measures or bindings such as land transplants and recovery of wetlands or other factors that lead to very ambitious targets of energy exchange. That is where we need to show real ambition. We must be ready as a nation to invest in the infrastructure. We must be ready to use green taxes to drive energy change in transport. We must not be afraid to continue walking in these respects. We must be more ambitious in agriculture, in general, and, of course, we must look to that, especially now with the vast rise in tourism, that the emissions there are actually increasing, including the for transport. We need to look for ways that the article itself will record it, on its own, in conjunction with green taxes when it comes, for example. energy exchange in transport, achieving results far better than we can see. I think tourism and other employment services need to take a lot of initiative. The subject is mad, the problem is very serious, but at the same time it contains marvelous opportunities, so it is important that we show ambition in these matters.
ParlaMint-IS_2017-03-02-38.u39	Madam President. This debate on reporting at the highest level. The Environment and Resource Minister on the state and policy of climates is about the largest common human task that is to stop global warming. Our policies in Iceland and our strategy on this important matter are and have been extremely vague. Governments need to speak clearly and encourage the public to change their behavior in order to do their part. I'm telling you, people in the country want to do their thing and take part in this important assignment. Government needs to lead the way. Greenhouse species don't ask about borders. That's why the Paris State Department, Kyoto Protocol and the UN sustainable objectives are so important. The nations gather to reverse a very bad trend that, if not stopped, will result in destruction and death. In this large and complex matter, politicians must acknowledge their inadequacies and dare to follow the advice of a vast majority of the world's scientists. The threat to mankind includes what? in powerful national leaders who question the importance of the project and the findings of scientists. Increased levels of carbon dioxide in the atmosphere cause two factors; increase in greenhouse effects and thus global warming and acidification. I have said that we Icelanders should, in fact, be like a roaring lion in the battle to reduce the atmosphere of carbon dioxide. Our profits are high, economic and social when it comes to pollution of the sea and acidification of the sea. Scientists have noted that the acidification of the sea will have a more serious impact for Iceland than the actual warming. One sixth of mankind's food is derived from the sea. In the U.S. Marshal's report. The Environment and Resource Minister is reviewing the box that the EU countries, along with three other countries, have joined in an attempt to achieve success in the effort to protect the environment. The campaign is divided into two parts. The countries have joined in on the business systems of emissions, or the ETS system. In this system, the most efficient articles, such as energy efficiency, metal industry, and flight, are dosed broilers that can run commercially. Europe has been responsible for the contraction of emissions, including and thus making a requirement for industry in Europe, which other countries have not done to the same degree. It speaks of a carbon leak when the industry flees Europe to countries where there is no cost of emissions. The carbon spill shows the need for all the world's countries to be united in action. Then there is the objective of each country to reduce emissions of the non-ETS part of the economy, such as small industry, traffic cars, fishing outways, and agriculture. Iceland's largest emissions component is emissions from wetlands. Even if this is not part of the report on greenhouse gas emissions in this country, we should take action in that area at once. The book is not the main thing, though it is not an important control device, such as the Supreme One. Instead, it is important that we act in harmony with the best information we can achieve in our country. An important factor is the ban on the implementation of wetlands as soon as they work to restore wetlands simultaneously. We are also expected to be able to be successful in transportation. In the U.S. Marshal's report. According to a minister, it is proper to consider energy exchange as a major community project, such as the heat - industrialisation of Iceland. The Conspiracy Government and the Left Green made certain steps in that material by reducing the product cost to a low-level car and by dropping the worthy extra tax from electric cars. The number of trucks that continue to increase has now reduced the sales of electrical vehicles. The main reason is that loading stations are not available enough. If the social project described in the report is to succeed quickly and effectively, the loading network must be in line with the needs of electric drivers. A return to farm contracts is in progress. There, the gold is an opportunity to increase the growth of agricultural activities in this big and important matter. This will take the opportunity to increase the amount of agriculture that contributes to reduced emissions or increased production of carbon into the atmosphere. I'm the highest. Environment and resource minister to be quick and effective in implementing a clear and progressive policy to meet Iceland's national targets. Even if there are words first, the most important things are the works. [[The president calls.]] I'm the highest. Minister of the United States for the support of the United States to speak in this matter.
ParlaMint-IS_2017-03-02-38.u40	Madam President. First, I'm going to thank the report and much in the words of the Minister. It's a matter of speech. We're going to hope that the Minister is the problem and the Ministry is growing, the council, the Council and the nation all. The report makes wise mention of the overall climate policy. That is correct, and it is well written on ways to reduce emissions and increase binding. It is true of solidarity in the battle. We're always ready for that, left green, to make good promises and have been done. There's been progress. This was shown in a case not at all. A senator who has begun to perform well, but there are a number of projects ahead of him. I'm gonna go over a few things. These are questions or tips. Only on the Action Programme. It's said in the paper to work on making it, which, of course, is too late for when we came to the Paris convention, to begin soon. Now I ask you, when? It should be possible to have a little more specific. I hope the plan of action is very expensive, so we know how much money we need to find. I hope it's also sensitive, so we know the line, what's the course. The only results in less emissions for now can be described as what has happened in the fishing industry. Another is an increase. It tells us that the project is extremely complex. We've probably got one of the world's largest ecosystems here in Iceland. It is not easy to unwind. Then the swing. This is a government budget, and it states that all significant improvements should be made within the economy. The current financial laws make it clear that the figures on forestry contributions, land - healing contributions, the recovery of wetlands, are too low, so we're having a whole year, I don't waste, which is a valuable year in which the measures are not effective. The same applies to energy exchange. It is estimated that in three years, about 67 million people are reported per year to be supporting the electric accelerator. What about another one? What about the methadone? What about the record? What about the biodiver? It also requires that the support of the State be shown. He's extremely small. Then you'll have to reject the electricization. Apparently, it's a 7 billion price tag. I'm gonna see that it's coming in at least the next budget, along with large sums of donations for all of these matters I have mentioned. It is always the question: How will the present government finance what needs to be done? There's talk of green taxes or green incentives. I can't wait to see the layout. We have with the left green we've talked about carbon taxing, the increase in carbon consumption of all carbon consumptions in the country, the aluminium or the silica plant on the fly. Is that possible? It always comes about, when it comes to the piece, as they say, about financing. Then there is the cost of adaptation of climate change. It's not just an opportunity, it's also a huge cost that needs to be made gradually because of the climate change. It is very important that they also include the actions programme. This is where it is written about contaminated industry. She's not available anymore. This, for example, is a cause for rejoicing. But I ask: Have such projects been planned beyond what has been determined by three larger aluminium and four plant workers who have a silica program? What else is there in the pipes that need to be stopped? I'm not sure that that's really a lot because governments, councils, legislation, have stepped on the brakes more than the other one when it comes to these substances. This contaminating industry is not sufficiently defined to me. What's a big deal? More than 17 megawatts, as you know, will the energy - carrying industry take place? Pollution - What Pollution Is Its? Are these gases? Is this dust pollution? Is this waste pollution? It really is pollution of all industry. Somewhere, we need to set limits so I want to define the targets that are so that we know what's polluting industry and what's not. We with the left green support for fine works. We also know how to raise money. I'm going to remind you that we've made a suggestion for Iceland's non-carbon share-free before 2040, not 2050. [[The president calls.]]
ParlaMint-IS_2017-03-02-38.u41	A respectable president. I'm going to start now by wishing to the highest. Environment and resource secretary to congratulate you on your report and on your birthday. This is a good day to report such an important report. The value of the report and its contents has only been discussed here. I think there's a little SNOT analysis going on here. You see, we've just got our ass kicked in a report from the Institute of Economics for the University of Iceland. It shows that emissions are likely to be about 10◯16% higher in 2030 than it was in 1990, that is, except for the industry, but we should aim for a 35◯40% decrease, so the project is clearly large. Then there are opportunities. As the report says, many Icelandic companies are at the front of climate - free technology and renewable energy. The awareness of the climate problem and the interest in solutions has increased dramatically in recent years, and more and more rural areas and companies are developing climate policies. That's where I'm the activation plant. You see, we're supposed to take that interest, that energy and that knowledge. Well, then if I go over what needs to be done and the factors mentioned in the report. It involves first energy exchange in transport and fishing, a very interesting project, and we are clearly on the move. This has recently been presented with a conquistador to that subject. But there is more to be considered. Hv. paritaprevir Gunnarsdóttir's Valgerður daughter came into our transport system earlier. We're gonna do what we're gonna do. The Environment and Transport Committee was visiting yesterday at the Landsnet. That is where we need to be effective. There we can apply ourselves to simplifying and clarifying lines so that this important issue will be thwarted because energy exchanges will be unable to take place as far as we can spread the electricity that is located in many parts of the country. As regards agriculture, the opportunity to reduce agriculture emissions is generally considered less than in many other areas. Then I'll agree with the highest. It is important to consider how this can be further encouraged by reviewing the domestic contract. Looking at carbon - healing protein and forestry are very important. Whatever the case, in this debet and credit account, it's still very important. I'll have to intercept the report, with the permission of the President. It says: ▪ Not only must you look at fast - moving carbon bindings in this field but you must look at the many ecological and social objectives of forestry and land - healing, and take into account views such as protection of biological diversity and the fall of forest and land in the land. I'll agree with that. Then, too, the recovery of wetlands. Although I am saying that this is not the big solution to all of us, it is still very important. In effect, I wondered how short we are in the study of it and how much we appreciate it. Of course, the big thing is the factor that helps us get the most out of it. Then we can be looked forward to having a environmentally significant industry in the sense that we have the electricity around us. I'd like to mention that I was at the main meeting at Iceland's New Creation Center this morning. It was interesting to hear a presentation made by an investigator from ELOMEM, who works at the New Creation Center for what the industry can do in cooperation with research institutions and the university community. There was one accurate example that explained how the carbon track could be reduced. Of course, we should activate it. Then I come into what's most important to me, that's research and innovation. That's where I think we should use ourselves. You see, there are many opportunities. We're supposed to lay the lines down. We're supposed to create this situation. But there are so many solutions needed to achieve this success. We also have many opportunities to expand our knowledge of this field. We're supposed to use them. I see my time is running out here, this is way too short a time to go over such a big, important case. But at the end of this report, I'd like to step down, with the permission of a president. It says: ▪ It may be the key to reducing emissions. This does not happen automatically, however, but only if climate projects are increased, perspective improved, and worked in broad cooperation. This report provides a vision of the next steps and key aspects of the operation ahead of climate. The long-term success of Iceland will be based on the willingness of the government and the public to implement good ideas. If you want to do so, you will be able to achieve a goal with a long - term wide benefit. The will is there. That will be clearly expressed in the policy of the government. I can't hear any better in this council hall than it is here that is willing to do exactly that, so let's resolve on that. Let your actions speak and succeed.
