ParlaMint-IS_2017-03-06-39.u1	The next week will be referred to as a work schedule.
ParlaMint-IS_2017-03-06-39.u51	A respectable president. I want to thank you very much. Secretary of State for a clear answer to my inquiry. I've looked at the article again, and I can't better see, I'm quite good at English, that everything in this article is very clear. I can see why. The head of the State Department shakes here, but I have not noticed that it has any correction in this article or presented some correction, so I think it would be most desirable for them to do so, if the greatest foreign rulers cannot make their case any better than they really do, perhaps to correct it. That's why I'm asking the highest. Minister of State whether it stands to correct the very different views presented in this article in the Washington Times and whether it would be inappropriate for our colleagues in EFTA.
ParlaMint-IS_2017-03-06-39.u52	A respectable president. We sent corrections from this article in a recent newspaper because there were many things that were wrong and even wrong. has been noted that the headline was not in harmony with wording. A senator, but that may not be the main point. Iceland has already worked with other EFTA countries on what is involved in the passage of the British from the EU. And so is the case with the problem. A senator here read from the Treaty then we've watched very carefully what is going on in the EU. I have visited two representatives in the Commission that deal with these issues, since the European Union's position is even less twisted and perhaps more twisted than the British, if that is the case. But we cannot discuss it in the few seconds here. However, I think it would be preferable for us to discuss this position at the council and others who are involved in international affairs.
ParlaMint-IS_2017-03-06-39.u53	A respectable president. There's plenty to do at the highest. Secretary of health. A financial committee was given a presentation on the follow-up of budgets earlier today. There was a high - risk team over fees. One of the factors that are considered to exceed money is expert services and nursing at 2 billion by 2017. That's a 13% increase for that team. They're going to create a policy for the grammatical field. Policy work is expected to start no later than after the financial programme has been adopted at the General Assembly. In August a policy will be introduced. Each minister is responsible and is under effective control of the implementation of funding in his field of business. Each minister is responsible for the provision of funds within the framework established by the General Assembly. If there are significant financial costs or if there is any reason to believe that this is the case, the minister should promptly state the reasons and measures he has or intend to take to prevent any variation between spending and financial resources. Risk food was returned on February 10th to the Ministry. A financial committee was then informed on today's issue, March 6. So I ask the highest. Health Minister: When did one minister recognize the measures he intends to take in order to avoid overwork? And without a policy on the subject, how can a minister be quick to argue that action follows policy?
ParlaMint-IS_2017-03-06-39.u54	Madam President. Thank you. A senator's inquiry. Here is another matter made as a new government and the Minister here says that when a government is formed in early January. The status and appearance of the vacancy are not consistent with the budget agreed by the World Council by the Year's Eve. We've been looking especially at the risks of drugs, and we started looking at them. It was a decision, approved by the government, to hide it from the secretary of finance and health - care ministers, i.e. the predictable exit drive, and bring operations. That's what we're looking at, but we haven't. The same can be said of expert services and nurses. It looks like we're going ahead, and there's a chance. That job, operation, is going on with us. But, of course, it is also linked to work with a financial program that is under a lot of pressure in high - paying conferences, such as the Ministry of Health or the Health Department. It's all a little bit on our table at once. It's got to be said right now. But I'm aware of this problem, and we at the Ministry are considering what we can do.
ParlaMint-IS_2017-03-06-39.u55	A respectable president. I thank the Minister for the answers. The drug business is just another risk factor that almost makes up another 2 billion, 1.5 or 1.9, and I can't exactly remember if it was. What I'd like to follow is where these unexpected budgeters come from. It's not long since we agreed on budgets, just over two months since, and suddenly, there are about 4 billion high - risk companies. Here is a health minister. Connecting to this e.g. the issues we talked about earlier in unprepared inquiries? This is about expert services and nursing, and the occurrences of health insurance that are involved in the sending out to specialists or to the clinical community that has been discussed. Or from where else do we clearly need the extra expenses, according to the highest term? Minister, taking into account a raise?
ParlaMint-IS_2017-03-06-39.u56	A respectable president. I'd like to mean that these differences do not come from certain sources or such but primarily from the way in which plans and financial work have been maintained over the years when it comes to those joints that may have been, we should say estimated but not completely anticipated when it comes to volume. The budgets that were approved in the autumn were adopted at a very rapid pace, such as the winter. A senator knows, and from the fixed which was proposed, which I mean that in these cases there were full-specture estimates. Over the years, it has been customary for us to include those who have followed the volume and were only vague, that is, a tendency to estimate close numbers and then to go to budgets. [[The president calls.]] [[The president calls.]] So we have to change with a new set of laws on public finances, and I'm going to put it to work.
ParlaMint-IS_2017-03-06-39.u57	President. The full value of the OPCAT Protocol, an addition to the United Nations Convention on torture, was adopted in the December 19, 2015, General Assembly. The Protocol requires the monitoring of individual partners with institutions that save freedom-sensitive individuals in order to prevent ill-treating and torture. The OPCAT is conducted by a national monitoring committee which must be specifically implemented in this country and, on the other hand, the international monitoring committee operates on the basis of the Convention that visits Member States, inspects the institutions and is also a member of the national monitoring committee. The institutions that monitor us are prisons, but they also include mental hospitals and health institutions that save people who are in need of freedom. The NTSB will have regular and even unexpected reconnaissances on institutions and prisons. It must be ensured that the Committee has complete access to the houses, staff, and inmates that it can discuss with its private members if it seems appropriate. It must be ensured that the work of the committees will be cross-cut off and that it will come to form a lawyer, a doctor, and a psychologist. In addition, the committee itself and its interviewers must be assured of the protection against possible penalties and venalties. The rights of the committee to all information and data must then be clear. It is stated that the committee has sufficient funds to fulfill its commitments. The Commission's article on validation of the book shows that the state has one year from its validation to establish national surveillance, but it can have three years' time to make a special declaration when the book is validated. Although more than a year has come from the approval of the Generals for validation, the Protocol has not yet been formally validated by Iceland. Therefore, I request information on how the OPAAT is implemented and when it is scheduled that monitoring according to its requirements may begin. The OPCAT book also shows that the International Committee is commissioned to be a member of the Member States for the assistance and advice of national monitoring. Internationally, free groups work against torture, which have great knowledge of the monitoring work. The APT organization was specifically formed to pressure the development of an international contract for monitoring institutions that save people of freedom. This goal became realized in 2002 when the OPCAT book was adopted at the UN General Assembly. Projects of the APT Association today vary but include • providing assistance and advice to the Member States during the induction period as well as to help them with the national monitoring committee. The highest. The Minister of Justice informed whether any formal consultation with the members of the United Nations or international organisations, such as the APT Association, has occurred in preparation for the induction? How is consultation with relevant stakeholders carried out in the introduction of national monitoring? [[The president calls.]]
ParlaMint-IS_2017-03-06-39.u58	A respectable president. I appreciate the inquiry, and I'm not going to repeat everything. A senator was here doing everything that was true and true and as regards the outcome of this case, the Council's resolution No. 8/145 approved in December 2015, where the Council appointed the government to validate Iceland for an optional book making the United Nations Convention on torture, which includes humans by the name OPCAT. It is also true that Iceland has been criticized internationally because of its lack of validation, including the fact that Iceland has not been a source of international criticism. on the scene of the European Council's Council for defense of torture and the United Nations. In the Universal Human Rights Committee of the United Nations, which was conducted in 2011, Iceland also received an education from the European Commission of Human Rights in the United States. recommendation to complete this task. The United Nations organization is now completing its complete circulation in Iceland. A report made by the government shows that it is working on the validation of this work. The United States has also accepted a number of instructions made in the United Nations Council of Human Rights on November 1. We're validating that account. It is right to think that in this OPCAT book, the surveillance of the individual bodies assigned to regularly visit agencies that save freedom-sensitive individuals in order to prevent torture and other brutal or disrespectful treatments. However, it is entirely the custody of Member States to make a decision regarding the domestic surveillance arrangements. Preparation for the induction process and including They are working to map the sites that the surveillance will take place. In that case, they are all places to save people of freedom, even if saving was only temporary. Of course, these are especially prisons, prisons at police stations, wards that save the mentally ill, children's homes, and departments in nursing homes where the brain is saved. These institutions are made up of both the Ministry of State and the Ministry of Health, some of which are only under one. Of course, when I began to study these matters myself, I wondered, " Is this check not already done according to the nature of the issue? ' for the Ministry of Health, in the presence of hospitals. Of course, surgeon generals have a routine checkup. But I was surprised to learn that a surgeon, for example, is in fact a surgeon's interest. I don't know that I'm under surveillance of aging institutions, residence homes. There's at least that. Not in this light. Governments have discussed with members of the United Nations because of the preparation of the validation but consultations, both with them and with national stakeholders, will be carried out in later stages. It has been strongly proposed by the State Department that the U.S. government agent will be assigned to national Affairs, and the General for his part has agreed. The agent's office meets all conditions laid up in the accounting and has public trust in the community. Thus, the office must be considered extremely well to be involved in this vital work, since this has been the case in many parts of Europe and in all the North countries. Is that all you could see? Has the State Department been working on this preparation in cooperation with an agent, including by mapping the size. However, it remains to prepare necessary adjustments in the law of an agent. It's inevitable. Sadly, the project failed to be placed on the State Department budget by 2017. The State Department is now working to find ways to finance the project, but hopes are that the Ministry of Health and the General will be involved in this, along with the Ministry. It would be desirable to secure some capital right away this year, but the full funding of the project from 2018, to start the preparation of the project by the U.S. agent later this year and place it on budgets for 2018. By doing so, this year's accounting could, in effect, be valid. As far as the cost is concerned, this is not the final result. This depends on the final dimension, but the first suggestions that have been placed on the table are now revised.
ParlaMint-IS_2017-03-06-39.u59	Mr. President. That's an important question. paritaprevir Birgitta Jónsdóttir gave up. I think we must all agree that we want to be kept under close observation and that there is no doubt that Iceland does not practice torture on the part of its institutions. V.E.G. A minister came into it in his reply, and if I just understood her to miss the budget so that the approval of the Generalis could be followed. A familiar theme, you have to say, apparently. So I'd like to ask the highest. Minister: Is it, then, simply because the funds they have drawn are not guaranteed for this surveillance, although it has been clear that Iceland had years to prepare and that it has not applied for this three - year period?
ParlaMint-IS_2017-03-06-39.u60	President. I appreciate the answers. It is a joy to see that this matter is in some process, although it really happens very slowly. It is very serious that there are no funds left for this work. I think it's unacceptable. It was very well tore up when we took this matter through the council that to enforce the decision made by Generalis would require money. I challenge the Senate, the government and the Supreme Court. Minister to promote money for this work. I'd like to challenge the highest, too. Ministers to ensure that they will take advantage of the vast knowledge that the APT organization has, and I hope they will be replaced by their vast knowledge. In this case, it is very important that we open the seminar. I think it would be very helpful to have a seminar or open a meeting where loyalty would be involved in both foreign and domestic parties who know how to act and have professional and even personal experience in this field so that we can make sure that such important agreements are of the nature that all who work with or who are associated with people in this category are aware of the rights of peacemakers. The number of health- care providers is increasing, for example. steady-state. It is surprising that there was no monitoring of brain - related individuals and their equipment. [[The president calls.]]
ParlaMint-IS_2017-03-06-39.u61	A respectable president. Yes, it is with this blessed budget that it needs to be prioritised. That's limited. It becomes evident, as if in any case, that a person is a narrow cut. In setting priorities, a person must also look at the urgency of his assignments. This project is certainly urgent, but we must not forget that we have a perfectly good arrangement in Iceland. I hope there's no human being involved in some form of torture here. [[Up front.]] True, many are more or less freedomlike, brainbroken, elderly, and others. It should also be kept in mind that those appointed as spokesmans, so we have some resources to monitor and try to stop the rights of those who are temporarily saved or for a long time in which their freedom is restricted. That's what I'm saying. I'm totally prepared for the lawsuit and the cause. A senator who has participated in the discussion. This needs to be maintained and placed in visible shape, but it is visible to humans on a daily basis. However, I would like to be sure that there are other reasons to support the rights of the individuals involved. Not everything may be obtained by setting up an institution or a routine checkup. [[Up front.]] This will be done at so many fronts. [[The president calls.]] [[Up front.]]
ParlaMint-IS_2017-03-06-39.u62	V.E.G. President. On May 12, 2014, a council proposal was adopted here at the General Assembly. paritaprevir Guðmundur Steingrímsson is the first official of the case. The proposal was adopted by all paid votes in the chamber after an interpolitical solidarity was obtained. The welfare committee. The Conspiracy proposal was designed to hide the local resident from the highest degree. Minister of state and then supreme. Social and Housing Ministers to appoint a group of workers to investigate the exact equal positions of parents who would share their child's custody. On September 24, 2015, the Outfits returned their results. The results were that changes in child law would be made to balance the status of parents who share their children's custody and decide to raise a child together in two households. There would be a new provision allowing the exchange of children on the basis of the established agreement of parents to meet certain conditions. In addition to this, there were various laws on official support, changes in law on law, and changes in child law. At the same time, the rural communities were suggested to adjust their social services, thus taking into account the same responsibility as the family of parents and the training and care of children in matters that they care for and fall under the scope of rural society. A respectable president. It has been about a year and a half since the work force returned its results. The only change that has been made is that by a new law on housing, a child is considered to be a home for both parents, and this is a very positive step. However, there is still another action proposed by the Outfit. That's why I asked the questions we're discussing here and I'm asking for answers from the current highest level. Minister of Justice. I'm asking the highest. Justice Minister of the following questions: Is working on the basis of a report of the former Supreme Court. In September 2015, the Minister of Ministers on the residence of children who live in two homes in a report submitted to the General Assembly? If so, when will the bills be submitted? If not, when's the best time. Minister to start that work? I hope we begin to see the results of the Group of Staff coming on to the world headquarters at the Council. In fact, I don't believe anything else, since these aspects of a government contract are very clear. Governments, and I'm really happy about that. Among other things, the government covenant says that the community should support different family types and encourage parents who do not live together to make peace with their children. It also states that loyalty should be the right of children to be registered in a divided home in two legal homes and the status of members of their parents and the legal home of their parents.
ParlaMint-IS_2017-03-06-39.u63	A respectable president. Thank you. The senator's inquiry on this important matter, which I think most people would agree on is urgent, not just in the discussion, but rather urgent. Following a report by the Committee of Ministers on two households living under the same shapes of children, appointed at the General Assembly in September 2015, Ministers appointed three conferences, i.e. Internal, welfare, financial and economic services. In that group, a representative from the National Book of Iceland was also represented. The role of this task management was to develop a detailed analysis of the terms of law and regulations necessary to make changes so as to create bill and legalize rules in child - law provided by parents who share a common custody of a child and have decided to bring it up together in two households, to divide a child into a filled set of conditions. At the beginning of the work of the project, it was apparent that not only laws and regulations need to be changed but also that some physical changes need to be made. It was important to inform more people about the project, as well as to call for indications from them and their opinions. That's exactly what the project management did. She called for contacts from the Ministry of Education and Culture, the head of state tax, the Union of Icelandic rural society, Iceland's Medical Insurance, Security and Children's Health. This list can help us to see how incredibly complicated it is, in effect, to achieve what we feel is a child's natural rights, to be set up in the homes of both parents, especially if parents agree on this. It is intended that the work of the project should be completed in March. The next step would then be to start working on a legal bill for a change in children's law, along with a link with a change in various other laws. Change of specific regulations would also have to be made. Such work will be submitted in the hands of several advisers in which the changes in law and regulations are made to the State Department, the Ministry of State and Economic Affairs, the Ministry of Education and Culture and the Ministry of Health. But for the sake of a word. From the time the report was submitted, I feel that I should mention here, which may be visible only to the concerned, that a national record has recently worked to change its systems so that children are registered and connected with both parents. It may not be visible to anyone other than the parents involved. I am told that a parent can enter the website www.island.is, even a parent who does not have custody of a child and who does not have a child who lives at home, and who has a list of his children on the national paper. That information is not transmitted. A national record has not yet continued. But up to one point, the other parent can get this information. You see, it has not necessarily been possible to do so by looking up some basic material in a national file. But a national record has taken up this work. I understand that there are only four years of children, if we take children up to 18 years old, that will still be introduced into the national network in this way. It is the work that a national record has put into with other interrelated jobs, i.e. If a national file receives a request for some kind of entry on a given child, this will be accepted at the same time. It's a lot of work to be done, so that's not gonna happen alone, two and three, changing the registration of children into a national file. The question is, When will the basics of the case be submitted? As I have mentioned, there are other laws that can begin in spring.
ParlaMint-IS_2017-03-06-39.u64	Mr. President. I would like to read a section from the child's agent's commission to a report on equal farming, which provides an important reminder that there is always a need for attention to the interests of children in decisions they have to make. The review says, with the permission of a president: However, an agent does not feel that exchange of supplies will involve the need for parents to make all the decisions that concern a child together. While it is desirable for parents to consider all the decisions that concern children, it is clear that this situation can always arise when parents disagree. It is important to limit stress to children's lives and to try as much as possible to protect them from parental disputes. According to the Children's Authorship, it is not acceptable for a child to be in a position where a decision cannot be made, such as for school or medical care, only because parents cannot agree. As an agent has previously noted, children's interests because they enjoy stability and harmony in daily life are always more important than parents'interests when it comes to making decisions [...], they feel that it is right for the law - enforcement provider to continue the final promise of certain decisions that affect the daily lives of children, when parents cannot agree. I'm the highest. A minister to read this review and to apply this counsel in making a bill. [[The president calls.]]
ParlaMint-IS_2017-03-06-39.u65	A respectable president. I appreciate the aesthetist. My poor future people have kept this up high for the past year and are now found in the government covenant. I've studied this matter carefully, particularly the results of a report by the Minister of the Interior. Thank you very much. Minister of Justice for clarifying the situation and asking if there is information on the role and responsibility of the local community in the implementation. I would like to remind me again of my desire to revise child law in the light of the United Nations Children's Covenant, where the main objective is to think about today and to respect the rights of children as independent individuals who live in two places, also mentioned in the report.
ParlaMint-IS_2017-03-06-39.u66	V.E.G. President. I thank you for the discussion that has taken place here and at the highest level. Minister of Justice for the answers, since it explained the matter to us. As shown in the highest range of responses. The Minister of Justice is now working on the prime of a change in child law, a change in the rest and these tapeworms, and a change in Regulation. I know that after I began to examine these matters thoroughly, which I have done in the past few weeks, they are very complex. There are so many things under there, such as. About legal homes, tax laws, and other things that are behind them. But I am glad that much work was done in the case and after the service group returned. Obviously, they're working on it. It's like the highest. Minister of Justice reports that children's protection has already been contacted, the Union has been. Company and national records. A national file has been working on changes in its computer systems and other factors. Of course I know that much work has been done, but outside the community there are groups waiting for a change in this arrangement, we have to remember that. Companys are in a position where they have to conduct their rules according to the rules and regulations they have in college. There are many parents who share custody with a child each other in their community. I'm the highest. Minister of Justice continues to impress these matters and hopefully that we can see the basics on the matter as early as possible here. Generalis.
ParlaMint-IS_2017-03-06-39.u67	A respectable president. Yes, there are many factors in this regard. The rural communities are part of the project management, they have had some part of their work in this regard, and they will continue to do so. Also, we must not forget that the arrangements for these matters - even if they need to start with governments or national records, we're just talking about switching houses and registrations. Thereafter, a number of people have to be willing to enter a record of double estates. This can be a challenge for many members, financial institutions, and others who need to work for the fact that a person has two homes. There's a lot of ideas in this. Of course, in such work, the child's interests are always guided primarily. There's never going to be a confession to some rule-change here that could compromise the child's interests in a direct or indirect way. This matter, however, is also a great deal of justice for children. It is important for them to be able to assume that they have two parents who do not live together and parents who agree to raise them together. Children should be able to assume that they have the right to be registered to both parents and that both parents are informed about their status and their situation.
ParlaMint-IS_2017-03-06-39.u68	V.E.G. President. Waiters after diagnosis are extending, including ... attheking and counseling centre of the state. Some are already preschooled and wait - for - two years. That means these children will be in elementary school at the time of the diagnosis. Early intervention is extremely important. Early intervention is a deliberate attempt to influence the progress of children with a developmental abnormality as early as possible. The period from birth to six years is the period in children's lives for which early intervention is generally mediated, and the main focus is that the intervention will start as early as after detection of developmental abnormalities. The need for children to wait this long after diagnosis may result in an important loss of time. This is what we must do. We have and need to put the interests of our child and his family first and to think about what can be done to shorten this waiting period. A respectable president. In this discussion, I would like to consider whether it is possible to simplify this process in some way. In recent years, the knowledge of basic and game schools on a variety of developmental and academic abnormalities in children has advanced. At the same time, knowledge has increased with how students can be helped to attend school and school. At the same time, professional knowledge and the skills of the school service staff have increased as well as performances to detect abnormalities and provide advice to personnel. This should ensure that, to a lesser extent, the system needs to be searched after services, but at the same time, there is an extension of the waiting periods in the most special medical analysis, such as the State's diagnostic and counseling centre and other locations in this service. We must simplify the system, politicians in cooperation with professionals must come together and review a procedure. The ministry must be performed earlier and a closer look at the criteria set for a waiting period, e.g. in the case of surgeon general when we are talking about waiting period for physical illness. Of course, the same criteria should be when waiting for the various diagnosis, although we know that waiting time is much longer than the criteria indicate. They must expand their ministry and reduce the discomfort of the one to wait. So I'm going to ask the highest. societal minister the following questions: Take care of the highest. Ministers are now taking the initiative to shorten the waiting list for analysis, including The state diagnostic and counseling centre and the Development and Behavioral Station? Will a minister add funds to shorten this waiting list or use for other measures? If so, what kind of action?
ParlaMint-IS_2017-03-06-39.u69	A respectable president. I'd like to start by saying thank you. A senator for the inquiry. This is very interesting. In my answer, I want to begin by referring to a recent report on education for everyone in Iceland, an education without separation, which shows that one of our problems is that we have overinvolved, we really overinvolved, especially children at the elementary school, and maybe we're involved. A senator mentioned here, that the education system is not entrusted with the first step in this, the simplest analysis, when children need minor assistance but is limited to the fact that the analysis occurred, and the rural society does not provide funding to the extent of a formal analysis. This is a system problem that creates an enormous waiting list in the analysis of children who primarily need minor help to get ahead. The answer to the question of whether we intend to take the initiative in this regard is: Yes, we intend to do so. I think it's necessary. This is an unacceptable waiting time. There are hundreds of children waiting for analysis at any given time, but I think a very large part of that problem lies in the system problem, i.e. that, in cooperation with our rural communities, we will change this approach so that education systems themselves will be trusted to perform a first-stage analysis and that we will concentrate on the state analysis and counselling centre and the Development and behavior center on those children who need more extensive resources and will be able to provide them better. Instead of being a well - defined formal analysis, society's finance should be ambitious to intervene quickly, to provide their children with the help they need at once. Whether it is then assessed that the child eventually needs a formal diagnosis or more options, the initial reaction of the education system should not be delayed. This has been pointed out many times, and this is one of the things that are being considered in cooperation with our rural society, how we can change that. The second question focuses on whether a minister intends to add capital. Last year, I think, extra funds were given for development and behavior centres to deal with a major waiting list problem there. The effort was successful. A final analysis is now being asked, which meant that the children who enjoyed the network services increased by almost 300 between years, from 350 to 650, that I think, and managed to shorten a waiting list by 100 individuals during one year, showing that these materials can be successful. We are evaluating this interaction of funds and the emphasis on a short wait list, but we are playing with our rural communities to deal with this systematic problem that helps us deal with it and provide it with a much earlier service. Thank you again for asking.
ParlaMint-IS_2017-03-06-39.u70	Mr. President. A land surgeon's website contains thresholds for what may be considered acceptable requests for health care. The following criteria apply, by permission of the president: ▪ Association with a health center on that day. An interview with a health care professional within 5 days. Inspection by a specialist within 30 days. Anaesthetical intervention/treatment within 90 days of diagnosis A report of February 2016's National Review of Mental Health at the end of 2015 stated that approximately 718 children waited for themselves and lateral surgery for mental health problems. The ADHD Association reports that hundreds of individuals are now awaiting the diagnosis and development of ADHD and the follow-up scan. A fourth hundred children are now in development and behavior, of which a third is in the so-called priority and wait. The ADHD team for adults has about two years of waiting. Clearly, there is a need to promote mental - health services in the paediatric population and to provide better access to the diagnosis and treatments needed. The value of psychotherapy, education and social resources, as well as the support of parents and teachers, must also be increased. It will be expensive for society to continue ignoring these needs and to encourage ministers to take action on this matter. [[The president calls.]]
ParlaMint-IS_2017-03-06-39.u71	Mr. President. Thank you. Mr. Chairman and Minister, the answers. Children are being spoken of as being too bright, and the educational system is not trusting. If I've heard a minister right, he'd like to move it to the school. Not all schools are equipped to tell that many of them are. I ask: Who, then, is it within the school who should perform such an analysis according to the minister's opinion or who can imagine that it will simply be moved out to the community service? Or how should this be done? I think it's also part of the explanation that the pressure in school has been so intense because students have had a lot of problems that often work out without even going directly to the analysis. However, there is a lack of a multidisciplinary team, both within the school and also for health care families. Because there is also a health minister here, it is appropriate to mention what we have discussed over the years, both mental health issues as well as other problems with treatment options that have not been present in the country. [[The president calls.]]
ParlaMint-IS_2017-03-06-39.u72	A respectable president. Thank you again for the verbal vendetta, my ass. paritaprevir Lára Arnardóttir. She's always got her finger on her pulse. I know these matters well from my former career as director of the school. I also know that there is not a simple answer to be found since procedures in analysis procedures differ, e.g. Only within a unit, and much less a national one. I encourage it to the highest. The social and equality minister to investigate early intervention and including the Breinholt model focusing on a whole-scale intervention in which a multidisciplinary team is initiated with work around individuals and their families during the analysis procedure. Often, the result of the final analysis is that it is not necessarily needed, since the intervention was so rapid and professional.
ParlaMint-IS_2017-03-06-39.u73	Mr. President. Thank you. The foreground for this good query. I agree that it is very important for me to strengthen the school itself in having the possibility of professional diagnosis as early as school stages. I'm thinking about like dyslexia, who has been dependent on a lot of people at school, more often than not boys, and may have caused the person to have no skills, abilities, and simply the courage to continue studying because he has dealt with dyslexia and may have been recognized far too late. I think it was so important to identify dyslexia alone as soon as possible at school, and that it can be helped that it can be identified in those schools by professional assistance and that schools are built financially.
ParlaMint-IS_2017-03-06-39.u74	A respectable president. Thank you. A senator for this inquiry and the highest. Minister for the answer. I must admit, though, that I find the decision to increase the budget to shorten the waiting list for analysis to determine the results of the previous analysis. I understood the best. A minister so that the waiting list would have been shortened by about 100 individuals. I would have thought there was an excellent diagnosis on what the project was doing, what we need more? For me, this is a dual, one of the more money to deal with the emergency problems of the waiting list and the other to deal with the suspected system problem if it is present and undergo a permanent system change. Both are necessary, but there must not be any waiting to address the emergency problem of initiating a massive review of the system. How we must want to be careful and built permanently!
ParlaMint-IS_2017-03-06-39.u75	V.E.G. President. I'd like to start by saying thank you. paritaprevir Arnardóttir Arnard's daughter for bringing up this important issue. There's been a long wait here and too long to wait for too many children in trouble. We're experiencing a lot of pressure in school, a change in society from what used to be. We're going to have to deal with an emergency problem, so I'm happy to hear a minister's answers about the planned plans for that subject. What I wanted to do here is a question of more prevention, we need to talk about more cross-cutting work on teamwork involved in the school schools. The schools are filled with talented and good people who are fully able to pursue a basic analysis that could help people. It is shocking that schools have to wait for specific analyses and to be dependent on financial contributions to continue helping people.
ParlaMint-IS_2017-03-06-39.u76	V.E.G. President. First, I'd like to thank you for this good discussion, the good tips as well as any. Councilmen have joined the debate and the highest. Social Ministry for the answers he gave. It is true that the answers were given in the highest. Social Affairs, we need to work on the systematic problem in this system that children need a special diagnosis, that it needs the heavy waiting process so that they can get financial support in the school system. It's a pain in the ass. Then there's what's very hard to see, sometimes children with a variety of problems that go into the grey area all over the system, maybe with four, five, different analyses, but they don't challenge those criteria so that the balance fund's rules will pay off with the individual into the system. These people get a little out of there, so I sure hope that when we've won as soon as possible--and I'm asking the highest. Social minister whether this will be done soon, since the need is greater, that is a real emergency. I certainly hope that the chances are increased that those children who have fallen into this grey system can be helped when we have started a multicenter job that is so important and are, of course, in school as well. I'd like to also remind you of the importance of cross-cutting groups and tars. As a professional professional in school for several years, I personally have found it extremely important that parents, professionals, and a multilingual team of professionals meet and discuss how they have conducted a particular period of time and how to proceed. This will do a great deal of good to see how your child's feelings will go from there. [[The president calls.]]
ParlaMint-IS_2017-03-06-39.u77	A respectable president. Thank you. A senator once again before this fine discussion. The point of the matter is, in fact, that we narrow children through some systematic analysis so that they follow funding. At the same time, however, we are placing a formal recognition of their inadequacies, which may be quite minor, but with them all the way through school. The vast majority of these children need minor assistance, but they still need to drive through a formal route. You don't have to do that. It is already being carried out in the city of Reykjavík as to how we can reduce these references and take this into consideration in other ways. We have developed a very professional and powerful elementary school and nursery. They are fully able to handle much more of this analysis than they do today. This also requires cooperation with the rural communities to ensure that the financial support is immediately available for management, does not have to wait for formal analysis, and then can be directed to the level of force we have in the state's analysis and counselling centre and other institutions to the children who really need assistance. That's what I think this is all about. The fact that we are not spending too much time in an analysis and what has been going well is, of course, a combination that we need to understand better. What can we accomplish by subtracting a number of references, thus using more fully the funds already available, and to what extent do we really need to add? That's what this is about. I assume that results from this analysis should be available soon. How important it is that we do better in these matters, and I thank you again for the time being.
ParlaMint-IS_2017-03-06-39.u78	V.E.G. President. A few months ago, we talked about what happened. Councilmen one of several priorities. Councilmen, called a liquor bill. There is no need for many to comment on the fact that there are conflicting opinions. This bill has also been approved by the General Assembly, but there is also a difference of opinion among people in society on the importance of it. More recently, a major part of the country's survey is in favor of the bill. It's also the case when you review the review of your drinking bill, i.e. when in the material process here during the last terms or during the last terms, there was a lot of conflicting opinions in the subject. The review of the comments shows that health and sociology professionals are all aware of the agreed bill, but many business- and services-related members believe that the bill will be agreed. You can only ask, " What interests are being cared for in this regard? ' I'm not gonna decide, but these reviews make you think. When a bill was reimbursed in the winter, the surgeon's office repeated its stand on the case and in its resolution, according to the President's permission: It is likely that alcohol, which leads to an increase in alcohol consumption, will increase the frequency of individual and social problems with larger social costs. Social effects may include increased distances due to illness, theft, a lack of security from alcohol, accidents, and violence. It shows that it is important to examine the overall picture and to guide health measures before two of the three most active prevention measures in the World Health Organization are removed, i.e. limitation of alcohol and the prohibition on advertising. In addition, the management of Iceland's cancer community has concluded on the subject of the bill. It also says, by permission of the president: ▪ With the bill, access to alcohol is being suggested to increase dramatically as a family problem, social costs, health problems, and the pressures on the health system. Increased marketing will lead to the same. A number of health and social sciences, as well as Society organizations, have given good and practical evidence that such a practice would be bad for public health. For decades, the World Health Organization (WHO) has proposed to its member nations to work progressively to reduce the total consumption of alcohol. A decision that affects alcohol cannot be made on the grounds of normal consumer products. So I'm going to ask the highest. Health Minister if he will agree with you. The position of a surgeon, whether he agrees with them, and the conclusions of the cancer club. Does he have the same concerns as those conclusions? In addition, I ask if he believes the alcohol bill is in harmony with the government's health policy. [[The president calls.]] I also ask him, "System of the highest." Health Minister for the bill or not?
