ParlaMint-IS_2017-05-24-70.u1	The president assumes that there will be a vote at about 1 00 p.m. 15th
ParlaMint-IS_2017-05-24-70.u40	A respectable president. I think the Senator hit his head when he asks if there's a change of direction in numbers instead of lines. I think there are plenty of examples in this text. The Senator mentioned high school. When was the subject of a 4-fold standard for high school in the country to be discussed? When did they talk about it? The financial agendas were all over the place, all of a sudden. The last schedule was 0.5%, now it is suddenly running up to 2%. In addition, the trend in high school budgets is so that, on the contrary, the promise that the shortcut would return to high school in their growth is taken out of the system. If we put it all together, we're losing about 3 billion high school points at the end of the period compared with what we're doing today. There are 10% of the donations for high school that are being weakened by that stage. [[The president calls.]] It's a change of course and it's not presented in text.
ParlaMint-IS_2017-05-24-70.u41	Mr. President. I'd like to talk to you about what. A senator for the presentation, target design, and transparency of the financial program we are discussing here. I'll see it in the review for what it's about. A senator seems to agree that we agree on the lack of transparency and poor coordination between recruitment practices in this financial program and particularly that the Ministry of Justice chose not to mention in general the costs outside the estimated cost of reinvestment of blind-flying equipment, so I testify in the review. Senator. I agree with him on the lack of agreements with the institutions covered by financial programmes, but in the issue of review. A candidate also noted that the district manager's comments in the capital area clearly establishes criticism that agencies have had little consultation, whether they are about to set budgetary needs or to define goals and measures. I'd like to go below. A senator's concern has been taken care of by me. It is that this lack of criticism, this poor production of data and standards will result in the failure of institutions under each topic field to take their place against each other. The review of the foregoing points shows that this lack of fragmentation in the topic areas seems to prompt some institutions to take sides against other institutions within the same topic area to ensure their position in the uncertain financial climate. Thus, under the direction of Iceland's police directors' union, it is stated that the development of national law enforcement is not to be taken into account while the businessman in the capital area is concerned that the increase in financial needs due to the increase in the increase in trustors will be taken care of by the government. Takes it. A senator's subject to the fact that there must be a concern if a lack of transparency causes as much chaos within the administrations as it really is, i.e. the take-off I'm doing here?
ParlaMint-IS_2017-05-24-70.u42	A respectable president. Yeah, I'm worried about a lot of things in this program, including the points the Senator makes. The feeling of not throwing bread holes in institutions and biting on them - I share it. I think institutions are having a very difficult time in this new system because there is no consultation between the Ministry and the institutions in this introduction. It is about to introduce a completely different approach to public finances, and it is not too small to include the institutions in the process. They're somehow out of the way and have to look in and guess where the numbers from the plan are coming from. This is also shown by the fact that we almost had to torture more parts in order to send out the plan for discussion. It is natural to conclude that the Council should agree with a government spending programme for the next five years without properly considering how it deals with the largest and most important institutions in the country. The senator also mentioned a goal, how mistaken it was, and how difficult it was to explain. I may mention one of the details that the Ministry of Justice has overlooked, which is that a newly formed middle court needs somewhere. He is allowed to live in a rented house in Kopavogi, under a provisional judicial statute until 2022. According to these laws, it is quite clear that during the financial program, the court will need to be built. There's no record of that coin in this program. How many billion people are missing there?
ParlaMint-IS_2017-05-24-70.u43	Mr. President. Yeah, that's a good question. A senator proposes. One might ask, " What might be the answer? ' There are things that are missing in the courts. 'In the climate there, a simple sentence can be found that there is no room for financial planning to carry out the work that needs to be done to promote better courts here in Iceland. I'd like to discuss some cultural issues and art found in this program. It's a review of why. A senator shows up, and it's absolutely true, that the Ministry of Education does not really offer any numbers. I'd like to go below. However, a member of the Council of Education, which is increasing the number of members in the youth - oriented activities of KFUM and KFUK over a number of years and actually also in Boy Scouts, although it is not obvious that no other societies are thus favored by the Ministry of Education. I'm sorry. A senator would agree with his political order and good administrative arrangements to make it his goal to increase the number of participants in one kind of youth service rather than all others in this financial program? [[The president calls.]] Is that some kind of standard?
ParlaMint-IS_2017-05-24-70.u44	A respectable president. It is as if most of the criteria in this program were drawn out of a hat. They are either very small and ambitious or somehow vague and difficult to understand. There's obviously a whole lot of progress on how the Ministry is getting closer to this. This is rarely in relation to the policy level in the relevant issues. I don't even know how much powder we're supposed to spend in discussing those criteria. They're almost all nonsense. Whether increasing the number of youths in a certain organisation or in a law enforcement standard is not up to any law enforcement plan. There is no consistentity, however, to this schedule, with other programmes. [[The president calls.]] This plan is still just a plan to think of something that might soon begin to break free. I don't think it's ethic.
ParlaMint-IS_2017-05-24-70.u45	The first step to review the 15 - second goal of speaking is pause. paritaprevir Andrés Ingi Jónsson. Congratulations on that.
ParlaMint-IS_2017-05-24-70.u46	Mr. President. We'll continue 2nd. for the government's financial programme, for 2018,2022. I'm going to make use of my speaking lesson now, in general, to discuss the budget and the information it receives from committees as well as from a number of smaller legal committees, as well as the various comments on the subject. Council members of various committees of the council. I'll start off with this general, but I'll be especially concerned about what I'm saying and what I'm saying. paritaprevir Björk Brynjólfsdóttir's daughter, but we have a seat. A foreign press committee and passed a review there. There will be no escape from talking about the financial plan in general, how it was put in motion, and how it was handled. It's not a good idea for the presentation and setting of the budget as it came from the highest level. Secretary of finance, but I like that it is quite consistent with any of the members of the council, wherever they stand, that the dates of the council and therefore the members of the council were far too short. The financial cover has been small or nothing, and it is difficult to read out, to revise the process, and to strengthen the council so that they can maintain their role in the project. It's been very clear that the council is completely up to the project for information, indiscriminates, and we have to take the evidence that we're right if we call them. The Congress itself has very little opportunity to go to some deeper job itself, and we senators are really just being helped if we're going to get help from the committee's enthusiasm. It seems to me that we all agree that this has been a disaster. Therefore, I have high hopes that this will be improved and that this will be taken into account, that the Council will make it real to improve this process, both in order to increase the time to give careful and detailed coverage of the financial plan and to make the products that come out of it better. Of course, it is also necessary that if it is carried out and carried out at the highest level. A minister will return a better product of his next time, and the numbers will be better put out, for example. The cost of construction has been set apart from the one involved in monotonous operations. They'll be able to separate them so that they're windy. Congress officials do not have to waste their time calling out specific details about this. On the other hand, when I saw at the branch office more part of the legal committee, I thought that financial plans indicate that new more things haven't had enough time to prepare and implement a financial plan for the next year and that it would be a bad idea for the council's work to be replaced by a new government in January. I'm sure there's a grain of truth in it. Indeed, it is unusual in Icelandic politics for a new government to take over at that time. However, I ask: Could it not be that the committee's review of a majority of the legal committees, where there are some criticisms but there are no indications of a change in the plan, is not merely a matter of time to prepare and implement a financial plan for the next few years, but that it simply did not require the debate within the council that constitutes the greater part of the Council and places in the government? There was a lack of the fact that this was the deep political conversation that is needed to achieve a solidarity to contribute such an important piece of paper? I can't help but think about it when I read this committee opinion. As I said before, members of the Synod Committees were too short to give their opinion of the issues of financial programs that hear under the scope of each constant committee's work. I have to say, though, that my friends and I are in trouble. However, a foreign - language committee had more relief than others did. Parliaments who serve on other council committees of the council, where there are, of course, fewer language areas under the foreign committee. So the project was more manageable for us, even though we have had to call for information from the State Department. It turned out that there was a much further breakdown in the figures in the Ministry than in the financial program. I think that's something very thought - provoking to me. If there is more information, even though this is a plan, why don't members of the council just be given access to it right away? Why do we need to call for them in particular? Looking at the financial program carefully, I disagree with its political objective, but the main cause of anxiety is that this is an even clearer point for many of us when we discussed economic policy earlier in the winter. There are plans that, at the time of the financial programme, the development of co-medication will be made as a proportion of GDP falling. I think it's a very worried matter. I think this is particularly bad news, especially for underpayers who are particularly benefiting from the high levels of mutual consumption, that it is strong, that the infrastructure, to form the welfare system and education system, is financed through a common fund. Much has been said about the importance of paying off debts. The emphasis has been placed on the highest priority. Government. I agree that it is important to pay off debt. However, maintenance and structure must not be neglected at the same time. If the infrastructure is neglected, the cost to the generation following us is actually being shifted. I think it's in the financial program that that's exactly what's about to happen. That is why I agree with those who have mentioned this point, that there is a question of the future and that it is evident in generations that will have to face very difficult challenges, including. Because of the change in population age, and especially because of climate change. It's clear to me that there's going to be a lot of social changes in the years to come. It has to do with the contractions of the concordance again to my mind. My main concern is the lack of education in this country. Therefore, the commitment that the educational system is made to fulfill is considered completely wrong political priorities. What a future society needs, a society that needs to deal with climate change, a society that needs to bring all kinds of new solutions to things, is well educated individuals. This is one of the things that is so great in education, can help you deal with new and unexpected situations and to invent new ways, simply new technology to cope with it. That's why I feel that vision coming to my attention at the highest point. A government in which education is not a priority that is extremely bad. I'm worried about her. I just think it's dangerous. Mr. President. Since I have made quite a few use of my speaking class in general, I intend to turn my attention to what is in the foreign field. It is on the committee I have, so I was assigned to discuss it specifically. I'd like to start by mentioning Baltrexit, including Because we had a few days ago a conversation in this hall at the highest. Secretary of state, who has put much emphasis on, natural and fortunately, that Iceland needs to prepare well and achieve good contracts with the British when it comes to their passage from the European Union. I'm a little worried that the plan doesn't have a special earmark in it. It was found at a meeting on the Foreign Affairs Committee not to increase one position in London's foreign service due to Baltrexit, but to find money and sides within the framework. What I'm worried about is that we don't know exactly where to take the money from. There must be something else to be sitting on. We've also had quite a few discussions in this conference about developing European legislation on the interest management of Iceland and past phases. They also need employees and funding. Should these two mailors bite on the money? This is directly linked to verbal exchange. paritaprevir Andrés Ingi Jónsson and Thorfjörður Sunna Ævarsdóttir here that agencies in the media will have to take up money. That's what I'd like to see more clearly. I also need to mention the military issues that usually go under the title of security and defense. It is our assessment in the secondary part of the State Department that there are no exports and there are no complete explanations of how to protect the budget. Although Iceland's contributions to NATO have been increased in recent years during the forwarding period of the advance party and of an independent party, it is not possible to see exactly how much money Iceland itself is going to contribute to this category, nor is there any amount of money to go to institutions such as the Landland Guard. However, it is clear that there should be an increase in the number of inns within the safety area from 200 as they were in 2016 to 300 in 2022. However, there is no evidence of a planned cost. I think it's very strange. This is one of the factors I would have thought would be relatively easy to add. I think it is particularly shocking that there is no further degradation at costs, since it is known from all over the world that security and defenses are one of the most important causes of public management, which is being built on a course where light - headed sums flow from the public's pockets to the manufacturers of equipment or contractors that partners hook in shelter that it is always said that due to the nature of the category, the content of contracts must be kept secret. There's limited invitations and so on. Thus, in many parts of the world, military spending is being held high by enormous economic interests. I'm concerned that the non-warning nation of Iceland, although still a member of NATO, is going to be involved in this use, putting capitals in it, but not to focus on other upbuilding things that I think would be much more likely to increase the security of a nation. Then I will discuss the evolution issues that are just what I think we should emphasize. But I see that for my time I have to ask to be reassigned to the rosary to discuss them in particular, and especially that Iceland, which is among the richest countries of the world, is not going to raise its contributions to development unless about 0.01% of the duration of the programme. [[The president calls.]] Later today or later in this discussion, I will discuss it further.
ParlaMint-IS_2017-05-24-70.u47	Another senator to cover the 15 - second mark of a talk period is quick. 6th. Reykjavík Precinct North, Steinunn Þóra Árnadóttir
ParlaMint-IS_2017-05-24-70.u48	There's a small margin of error.
ParlaMint-IS_2017-05-24-70.u49	President. I want to thank you. A senator for a good review and a good speech. Hv. A senator refers to climate change, which is likely the most important issue of our time and the future and is amazed that it is not being handled better in a financial program. Like what? A senator rightly mentions the priority of education, that there are well - educated people in society. I asked you a question to the highest. The social and equal minister of the unsubstantiated question period earlier asked him about the emphasis and the opportunity to invest in human resources, in the people of the country, or whether people who would need help were just a financial basis for society. I think it's a little mixed up with this. While there are people in Iceland who are in want, there are people who just don't have the ability to look forward to it. That's extremely important, especially since Iceland is among the richest countries in the world. If we cannot keep our people in good care so that no one has financial distress and lacks the opportunity to seek out of course rights, we cannot expect people to have the ability to look to the future. That's extremely important. The world is changing. To cope with these changes, we must work together. We need these men, these people, and we need them on our side. I'd like to ask you what. A senator how she feels about that man.
ParlaMint-IS_2017-05-24-70.u50	V.E.G. President. Thank you. paritaprevir Hellodru Mogensen for a grim question that is about me counting in the basis of the equation within our society, but also the equation on a global scale where we are actually dealing with the same problem, i.e. To the abundance of the multitude there is want. It's actually the same movie here in Iceland and anywhere else in the world, although we're here on a much smaller scale when it comes to Iceland and Icelandic society when we watch the whole world. Of course, as a small community, where all channels are very short, we should easily be able to design the system and activate everyone's human resources. Then it doesn't matter if we talk about people who are moving out here from abroad, people who have limited their ability to work for some reason, disabled people: It's entirely possible in our community to put their arms around them. But it is really the same prince if we consider it on a global scale. In fact, it has been written in a theoretical sense that communities that highlight the equation among their citizens are likely to contribute to the greatest amount of money in developing cooperation. They understand that the emphasis on equation is universal, both at home and on a global scale. I think it's very important that we put it all in perspective, and it'll be so especially urgent now. Hv. A senator began his inquiry by linking with climate change: They do this again even more important. [[The president calls.]]
ParlaMint-IS_2017-05-24-70.u51	President. I appreciate those answers. Now we're in Iceland in such an interesting position because we're so small a country and we're rich, rich in resources. We have the opportunity to rethink our community, our systems up again, experiment, experiment, test and test new things. In that way, we could actually be a guide. We could try new things, and if they work well, others in other parts of the world could adopt these ideas, they could benefit everyone. I just think this financial plan is so much like the way it approaches these problems, as shown in a financial program, by permission of presidents: ▪ During the first few months of the year, weaknesses in the government's finances have been identified that will not be met with an expansion. As a result, increasing numbers of microbes have been observed, the number of trustees has increased, and the costs of health insurance are also considerably higher than expected, especially due to drug costs. These factors, which account for a total of 8.3 billion dollars, have been included in the budget now and create a permanent expansion. To be talking about a permanent problem, I feel that there is an overwhelming lack of imagination and ability to test new things. I think it's very serious if we're going to step forward and expect some change to be important to the people in the country. I'd like to ask you what. A senator if she sees an opportunity to do something new, to try new things, and not to be afraid of doing them. If it doesn't work out, we'll try something else.
ParlaMint-IS_2017-05-24-70.u52	Mr. President. I think there's a perfectly accurate description in there. A senator says this government budget is a little bit of an idea-free. The main idea is to combine. Of course, it means that there will be all kinds of work to be done, all kinds of things that society still needs, but it will have to finance them somehow differently than through the combination. Then again it comes to having little idea: It is a short time to go into private employment or to sell state property, thus making temporary profits. One of the points mentioned in the Committee's list from the 1st small part of the history of the year. The financial programme is referred to as the private access of the Keflavík Airport. I truly agree that this financial program is a failure of thought and seems to be a baloney who needs to rely on the welfare system. Their own personal problem is to try to examine it in a large social context what it is about an Icelandic community that makes it a cause for so many to fall off a work market. There I think we need to think things differently because it's not enough to just change these people, it's the system itself, something in the labour market that needs to be changed, something in the community that needs to be changed. There we need to think things over again, for it would benefit the individual and the community everywhere. That's what we're gonna do. We're gonna get something up the road. [[Let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's ……]]
ParlaMint-IS_2017-05-24-70.u53	Mr. President. Thank you. A senator for the speech. I look forward to hearing a second talk. A senator who is planning to review the development team. She was exactly what I wanted to talk to you about. The United Nations has agreed that contributions to development will be 0.7% of the gross national income. Prior to 2017, we Icelanders, one of the world's richest nations, have proposed 0.25% of the gross national income. This financial strategy allows for the development of 0.26% of the stakement of national income throughout the five-year schedule. There's no ambition there. There's not going the right way. However, when the left greens and the Conspiracy were together in government, a agreed plan was adopted that expected us to reach the UN in 2019 C.E. It rhymes with that as a matter of course. A senator pointed out earlier, that the countries that stress the equation realize that not only are there but they need to be more numerous and understand these matters. The organization has made adjustments in this financial program, heading only in the right direction, although it would have had to be done better, in 2018 it is assumed that 0.29% of the nation's resources will be spent on development cooperation and will have increased to 0.33% in 2022. That means 782 billion in 2018. K. The total increase is 2 billion, by 2022. I want to ask you why. A senator feels that she feels that way and would like to be supportive of her.
ParlaMint-IS_2017-05-24-70.u54	Mr. President. I have to admit that this adjustment proposal from the United States had overlooked me in all the data available in this discussion. So I haven't studied it, but I'll do it after this. I agree with the idea, and I agree that it is quite ambitious not to put more on developing cooperation, although all classes agree with the goal of heading toward these 0.7%. Like what? That is exactly what one member of the United States suggested how to achieve these goals in steps. I've made it a rule not to give out completely clearly whether I'm involved in supporting or not supporting something that I haven't seen any koncret what it looks like. But I agree completely with this idea because I feel so ashamed that there is no greater ambition in these matters. I have to go in and look at this proposal. And even if it's not my place to ask questions. A senator who opposes me to ask questions would be interesting to hear - because we realize that this will cost money - how the Conspiracy sees that we can earn money, or where to take money to implement this idea.
ParlaMint-IS_2017-05-24-70.u55	Mr. President. Now I have to pray. A senator is accepting and reading 3rd less of the legal committee. There are both suggestions for raising expenses to address important issues that the government ignores, but the public has called for. It also explains how to earn money. Hv. A senator speaks of the government's ambition in planning and a vision to the next five years for an Icelandic community, and I want to agree with it. The government does what right governments do, lower taxes, and suggest selling valuables, as the committee's list of items is opened. Of course, it is taken seriously when more of the budget committees, oddly elected, and members of the government council, contributes, opening our only port and into the country. But there it is. In the conversation yesterday, Senator Björt's future spoke of this as being so under discussion. However, the discussion is not taken into consideration about the development of the health system and the effects of personalisation there and whether to continue on that course or whether we need to go back because this is a problem for society. For example, there is no reference to evolution in the high school system, whether or not we should step back with a personalisation plan there, as well as what it will mean for the level of education and the availability of education in the country. This discussion is not opened in these large issues. I want to ask you why. Senator anyway. The Foreign Affairs Commission is considering plans for development cooperation and the focus of Iceland there and has plans and plans in progress.
ParlaMint-IS_2017-05-24-70.u56	V.E.G. President. I have to agree that the discussion is a little strange, I think, when it comes to the tasks that everyone seemed to agree on before elections to have to do, i.e. to strengthen the infrastructure, and when it comes to doing so. Or do not, as this financial program assumes, and as the committee's opinion from the greater part of all committees seems to me, also assumes. The discussion is extremely intense on the surface. Something is mentioned, an idea is presented: This could be done without a complete knowledge of whether it is just something to be thrown into the discussion. Is this so that we are not talking about the main point, which is that funding is lacking in order to run society in a reasonable and sustainable way for the long future? This is what I'm worried about. As for the development issues and the State Department, I know that the Foreign Affairs Committee has received a presentation on a development team with members of the Parliament from all classes at the General Assembly. I'm sorry, but I didn't get to the particular meeting where these matters have been discussed. At least it's been very clear to us in the smaller part of our bed. The Foreign Affairs Committee, that we want to take on the development team and the contributions made to it. [[The president calls.]] Other members of the council have also spoken but not taken place in these suggestions here.
ParlaMint-IS_2017-05-24-70.u57	The plan is that more votes will be held at a new meeting just after.
