ParlaMint-HR_2015-07-09-0.u106685	My colleagues and colleagues, colleague Cain?
ParlaMint-HR_2015-07-09-0.u116162	The answer to the line by Milorad Pupovac.
ParlaMint-HR_2015-07-09-0.u116163	My dear colleague, I speak in the House and everywhere else where I come and publicly and unpublicly and between my public and non-public words, there is no difference. That's how I understand how to talk. So when you say that during the peaceful reintegration of the street, the shops were written with Cyrillic letters, so they weren't just in Vukovar, they were in a number of other environments, they were also in Knin, they were in Lapca, they were... They were in many places. [[The intruder doesn't understand.]] There have been attempts by various types of extremists to make the Cyrillic letter a single letter among Serbs, and it failed because Serbs themselves rejected it. But we're talking about different political circumstances now, fellow Milas. If you allow such political circumstances to be possible today by your perception and perception of your club. In perception there are new regulated relations with new laws and new policies or you would like to measure yourself with those who have established such a regime by '95. in Vukovar, so you would like to establish a similar regime in today's werewolf and answer them with a measure. ... Excuse me, excuse me. [[The intruder doesn't understand.]] Do we have a new frame? Has it been so many years? Can we talk under peaceful circumstances?
ParlaMint-HR_2015-07-09-0.u116164	Like this, it's 13.31. We've got six more lines reported. We'll hear them at 3:00. I'm setting a break.
ParlaMint-HR_2015-07-09-0.u116165	Dear colleagues and respected fellow MPs, we continue the afternoon plenary session. The other lines are written down. Dear Representative Josip Salapic, replica.
ParlaMint-HR_2015-07-09-0.u116166	Thank you very much, President-in-Office of the Parliament. I just don't know who I'm replicating when a colleague who held an argument on behalf of the club isn't here. ... No, I'm not giving up. [[The intruder doesn't understand.]] Thanks for the advice, I wouldn't give up. I've also asked for five minutes on behalf of the promoter, so here after the replica, Mr. President, I'll give my opinion.
ParlaMint-HR_2015-07-09-0.u116167	Thank you very much. There's no response to the replica. Honorable representative Davorin Mlakar, replica.
ParlaMint-HR_2015-07-09-0.u116168	Your Honor, Mr. President, it is convenient, but we will replicate what you would say for the sake of the Croatian public and for the record. We are already used to listening to the lecture of fellow Pupovec on many things, especially when he moralized on issues of members of national minorities or majority people. At this time, he says life - givingly if you like Cyrillic, take a Cyrillic. That's his first statement I've decided to make. We also know the angled verb, so we haven't decided to write with a square verb. We talked more seriously today about the facts concerning these laws, but the de facto of the City of Vukovar than what the colleague of Pupovac decided to react to and then says that it personally calls me to plant a coward's egg on the government because of the fact that we object that the solutions that the government offers in its amendments to the law are not in line with the Croatian Constitution. I will repeat so that one day if he has a chance to talk about other things other than the interest of the Serbian people in Croatia will take those words. It's an anti-constitutional provision when the government takes on powers that do not belong to it but belong to the local self-government, and then it's inadmissible to transfer what you took to someone else, specifically the government's commissioner. You can't give someone more rights than you have or rights that you don't have at all. There's no time for everything else.
ParlaMint-HR_2015-07-09-0.u116169	Thank you very much. No answer, no one with a basic speech. Dear Representative Dragutin Lesar, replica.
ParlaMint-HR_2015-07-09-0.u116170	Although his colleagues are gone, he spoke on behalf of the club of representatives, I will give my replica. Here is one member of the club present and not because of the replica itself but because of what was said. First, I would like to thank their club for saying that the three proposals I made on behalf of the Croatian Labour Club for them are acceptable topics of dialogue, debate. And secondly, if you've been closely following the debate of your fellow buds, he said the following. We are ready for a dialogue on dynamics and are ready for dialogue in the place of implementation of certain disputed provisions of this law. This message that has been given on the readiness of dialogue and on the dynamics and place should, in my view, be the basis of an attempt to reach a second reading to come to a legislative solution that will be acceptable to the majority. I thank you for this message because for the first time I heard it, it points to the possibility and hope that dialogue and the dynamics of the implementation of disputed parts of the law, which are both made possible by Article 6 and by the position of the Constitutional Court. The value of this message was expressed in the name of the club without being heard and remembered.
ParlaMint-HR_2015-07-09-0.u116171	Thank you very much. There's no fellow Pupovci here. We're moving on with the replicas. Honorable representative Kresimir Bubalo, replica.
ParlaMint-HR_2015-07-09-0.u116172	Thank you very much, President. In fact, Mr. Pupovac was talking on behalf of the club about anti-manine moods. I must admit that I remembered after 2007, when I was mayor of Osijek-Baranja County, one of the mayors was Mr. Srb of HSP, and the second mayor was Mr. Horvat of the SDSS. And we just had an anti-human mood in Jagodnjak. Croatians are minorities in Jagodnjak and have asked for teaching in Croatian. But it was just a member of the SDSS that prevented it, did not allow it, and we have been struggling for a long time to establish teaching in Croatian. But I don't remember Mr. Pupovac and the SDSS condemning the behavior of their member. But I also want to say that just before Mr. Pupovac's doctor spoke of Osijek. I am pleased that Osijek has remained an unruly city thanks to all of us who stayed in Osijek, thanks to our hero Branimir Glavas. But I want to say that 2012. Osijek fought for the golden flower of Europe. And that year, in 2012, all the graphite in the city of Osijek was wiped out, cleaned up, and we got the bronze flower of Europe. But what I'm saying is that there was just a graphite of that Ossec or the Ossek. But also four of which I remember well around the city. Therefore, if we want to strive to develop good co-existence, to establish good co-existence in Vukovar, and we have wonderful examples of this very quality co-existence in Osijek-Baranja County and elsewhere. But we all have to understand that Osijek bled, didn't bleed out, remained an unruly city. But right under the Cyrillic, the Chetnik flags entered Vukovar. According to this, Vukovar deserves a special place in Croatian laws as well as a permanent mention of our recent history in Vukovar.
ParlaMint-HR_2015-07-09-0.u116173	Thank you very much. There's also no keynote speaker. Dear representative of Jadranka Kosor, the replica also.
ParlaMint-HR_2015-07-09-0.u116174	Thank you very much, Mr. President. I won't, I'm giving up the replica because the meaning of the replica is a kind of dialogue. And since there is no person who, regardless of what he said on behalf of the club, has no representative who could replicate and exchange opinions and views. I don't want to replicate to the public. Thank you.
ParlaMint-HR_2015-07-09-0.u116175	Thank you, too, dear colleague. Now we have on behalf of the promoter. Excuse me, we have another representative of Josip Boric, a replica. The bookkeeping of replicas was a little complicated.
ParlaMint-HR_2015-07-09-0.u116176	All right. Thank you, Mr. President. Well, that's always the way it is. Someone says something, and then disappears, we can't communicate quality, but I'll say it anyway. Because we at the HDZ Club always have to listen. Mr. Pupovac comes here for a pay phone and then he tells us some of his MPs and constantly assesses the work of a political party of the Croatian Democratic Union. He did the same thing today. I'm not going to evaluate the policy of the SDSS or what he's doing, but I'm going to quote the people who rated it and that politics and the people who run that policy, so I'm going to quote what was said. Pupovac's policy is turning into an ethno business rather than a quality minority policy. The Pod is nowhere near as a big advocate for the reconciliation of Croats and Serbs as it sometimes wishes to show. In many areas, Croatia leads a low-intensity national conflict policy only to show Serbs that they need a protector like him. The former president of the Republic of Croatia, Mr Josipovic, said that. That was the reason and some fighting in public, that was why they might have cracked some lines or connections. But from afar, there was no reason for anyone to behave in this House the way Mr. Pupovac behaves. And I remind you, we have recently held the same debate here about a declaration that also spoke about the great threat of minorities, the great exodus of minorities from the Republic of Croatia, etc. And the fact is that someone really wants to use this relationship between Croats and Serbs for purely daily political purposes, and Mr. Josipovic regards it as a kind of ethnic business. So any further discussion might be excessive here.
ParlaMint-HR_2015-07-09-0.u116177	Thank you very much. There's no basic speaker from a colleague of Popovec, so there's no answer. Now, on behalf of the promoter, respected representative Josip Salapic.
ParlaMint-HR_2015-07-09-0.u116178	Thank you very much, Mr. President. Since I was able to assess Mr. Pupovac will not appear on our replicas, I asked for my business law, which is that as a proponent of the proposal for a conclusion, I speak on behalf of five minutes. And now that I have said and I will repeat here that I am a legalist and that I respect all the laws and international rights and obligations that Croatia has made towards not only the Croatian citizens of Serbian nationality but also all the national minorities. And I believe that in six years of working here in this House of Commons, I have never hurt a single national minority in my own debate. But if any representative, even if he was a longtime representative of the SDSS Club, can be allowed to say whatever he wants here, that his speech is always addressed to the HDSSB at the border of the incident and that deliberately provokes our reaction, I will use my five minutes, not the two I gave him with the right to respond to my replica, to what he said here. If the Constitutional Court of the Republic of Croatia calls on the Croatian Parliament not to interfere in the policy that we are going to implement here, without meddling in the debates that will be, as well as in its own decision that they are sometimes more difficult in nature, and that I may be able to direct someone to some false sense of understanding, I would say that Mr. Pupovac is today's performance in the Croatian Parliament, and calling on us who are members of the Committee on the Constitution, which I am in front of the HDSSB Club and Mr. Mlakar in front of the HDZ Club who did not participate in the Constitution Committee on Monday for other reasons, and not from those he thinks we did not participate. This is Parliament, here it is debated and here amendments are made to any legislative proposal. In his 20-minute speech, I have not heard a single proposal concerning the law that we are discussing, not a single proposal specifically relating to any article of the law other than the fact that the representatives of the HDSSB club wear this badge that we bear with pride, where a hero rather than a criminal writes, and he said something about it and the Constitutional Court of the Republic of Croatia abolished the verdict and returned it to the Supreme Court for review. And the same SDSS representative could afford to carry a tape in the Croatian Parliament, to journalists and the Croatian public, and also to the Croatian court, telling that the court should make a decision in the re-trial. So he can do it. He can wear a tape that's one of the items that's being conducted against Mr. Glavas, which we say is innocent, he's allowed that luxury, and we can't allow ourselves like us seven MPs to do this. Well, you see, we can. And that's the way he behaves here and talks in the Parliament, he leads the conflict, not us. In our conclusion, we called on the Parliament to commit its conclusion to the Government to consider consistent application of Article 8. The Constitutional Law on the Rights of National Minorities, which, apart from listing constitutional rights, speaks of that no constitutional right of the national minority should be used to harm the majority, which is the Croatian people. And we were not talking about the fight against Cyrillic and the ban on Cyrillic in Croatia but about something else, the problem that was created in the explicitly city of Vukovar because it was about the city of Vukovar, the wounds of the city of Vukovar and the situation that took place in 2013. And it's sad that we're talking about it in 2015. This conclusion did not go against the Cyrillic nor against the prohibition of Cyrillic in use in Croatia, nor that any one of us, with our proposal, is belittled. I'll mention what Mr. Bubalo said, for a long time in the use of Cyrillics in Osijek-Baranja County and the parish of the SDSS who worked very well together, I was president of the Council Club for nine years in the Osijek-Baranja County Assembly, no problem with the SDSS council members and I didn't have one with the mayor. The bilingual boards also stood in Erdut for peaceful reintegration, no one broke them, no one destroyed anything that had to do with the Serb national minority in our county. This was about the year 2013 of Vukovar. I commended in my replica Mr. Pupovac's arrival in a memory column in Vukovar, and now invited by his debate that he had afterwards, addressing directly the representatives of the HDSSB club with suspicion, did he come to what he wanted, what he had to or what he provoked? I give it to him that I am an appraisal because he is also a member of this House which Croatian laws and Croatian people have allowed him to do.
ParlaMint-HR_2015-07-09-0.u116179	Thank you very much. Honorable representative Davorin Mlakar, replica.
ParlaMint-HR_2015-07-09-0.u116180	Thank you very much. Dear fellow Salapic, you have now said something that we have already heard from fellow Pupovac. It shows you one constant in his performances. He's always giving moral lectures to everyone, and often exactly the HDZ club, of course, to you, but when it comes to hearing the arguments of the opposite side, he's usually gone. So he's gone even now that he's provoked replicas to his exposure to hear from us what we have to say about it. So he praised the events of a peaceful reintegration period in which some of us participated, and we could talk about it. However, what is interesting he understood his role even as no law in the Republic of Croatia gives him the right, which is that he calls us here in Parliament for the fact that we were present or are not sitting in the Committee on the Constitution, forgetting that there are a whole series of reasons why you can or do not have to be present. And he invites us to the Committee on the Constitution on which we have made our proposals at least 50 times and none of them have ever been accepted to make our proposals there. So, it takes the right to call us working in the working bodies of the Parliament, takes the right to teach all of us here how to protect the interests of minority people while I've never heard Mr. Pupovac raise his voice against politics coming from the native Republic of Serbia and provokes reactions in Croatia. At that time, he usually says he is not a chronicler of the black chronicle of Serbian-Croatian relations. And that's the result of his actions.
ParlaMint-HR_2015-07-09-0.u116181	Thank you very much. Replica response, respected representative Josip Salapic.
ParlaMint-HR_2015-07-09-0.u116182	Thank you, Mr. President. Dear Representative Mlakar, we worked together in 2013 to calm down the situation that was then in Vukovar and it was dramatic, we were there together in that memory column, and together we participated in trying to reconcile international tensions and bring the situation back to dialogue. This dialogue could only be conducted here in the Croatian Parliament. And now we come two years after the Constitutional Court's decision, which was initiated by no free will of anyone but by the collected signatures for a referendum signed by not a small number of citizens. On the basis of this decision, the Constitutional Court also gave instructions to the City Council of Vukovar and the Government of the Republic of Croatia but also stated in its consideration that the rights of the majority people were respected. And now every time you talk here, you make some constructive suggestion we don't have to agree to the disbanding of the representative body in this way. There are other mechanisms that can have control over whether a consistent law on the rights of national minorities is implemented, but the Constitutional Court points out that what Mr. Lesar has suggested is possible in a certain legal solution to the application of the law in certain parts of Croatia, especially the city of Vukovar, to certain parts of Vukovar be delayed until a certain period of time until both tensions and co-existence are realised in the right sense of that word. We are now coming to the conclusion that we, as representatives of the Croatian Assembly with equal rights and obligations, must not say what we want here because everyone finds themselves called to one single sentence that no one personally wanted to insult Mr. Popovec's right to say what he wants here. So if we for six years or 20 years have to suffer that someone who is a national minority can say what they want, and we cannot answer what we will and then it turns out that we are the haters of the Serb national minority, which is not true at all. I personally know how to read Cyrillic, I learned to write Cyrillic. When I was doing my Master's degree, I read numerous textbooks on Cyrillic, when I was doing my work on the history of the Croatian state and of rights and nobody demeaning the right of the Serbian people to use Cyrillic in Croatia. It is a shame that he treats us like this in the Croatian Parliament.
ParlaMint-HR_2015-07-09-0.u116183	Thank you very much. Honorable representative Dragan Montenegrin, replica.
ParlaMint-HR_2015-07-09-0.u116184	Well, the worst part is you say whatever you want, but that's your thing. The truth of the will and of the Committee on Human Rights and the Rights of National Minorities was not present. So not only on the Committee on the Constitution, the Rules of Procedure and the Political System but also on the Committee on Human Rights and the Rights of National Minorities, no one was present either from the members of the HDZ or the HDSSB. Mr. Salapic, I'd like to beg you. I'll give you a chance to tell you if there were any Serbs killed in Osijek. Were there Serb murders in Osijek? The third thing you were saying, that you always respected, and I had correct relations, I can't say it today, and even the former mayor here, Mr. Bubalo, was in the rooms of the joint council of municipalities and the current mayor Šišljagic with former mayor Buric with normal and certainly the former mayor here, but I also remember a time when a mayor denied the right of the Serbian community to the parishioner of the same here Mr. Horvat who was not elected and the legal opinion of the legal department was actually waiting for the United Nations to do so. And of course it came to the opinion that he must appoint a Serbian-run mayor on the proposal of the Serb community, it was still a 97-year-old right. So it's not like you've always respected that right. Remember who that mayor was back then who didn't want to do it? And in the end, I know that politics is worth a vote when one vote decides on a majority, but I will remind you in the city council that one vote now decides and that vote by the HDSSB council. Perhaps it is a problem if you do not accept the statute, or amend and supplement the statutes to disband the city council and to lose such a position. That's pretty valuable. And I understand you absolutely.
ParlaMint-HR_2015-07-09-0.u116185	Thank you very much. Reply to the replica, respected representative Josip Salapic.
ParlaMint-HR_2015-07-09-0.u116186	I am not going to doubt your good intentions, but this is how you told the general Croatian public if there were any Serbian victims in Osijek? So the grenades that went to Serbia, the aggressor, did not choose who was a Serb, who is a Croat, who is Hungarian and who is other national minorities in the City of Osijek. And many of the victims fell from the grenades on this side, not from the shootings of the Republic of Croatia and the defenders, the Assembly of the People's Guard and those of the heroes who defended the City of Osijek. And these are historical facts that one might consider to exist or not exist. A long time has passed in building a joint co-existence, and now we can acknowledge ourselves or not, I repeat to you personally I am for all rights of the national minority of the Republic of Croatia to be respected by the maximum and rights of the Serb national minority if they are not implemented by law, and by the regulations of international agreements that Croatia has adopted. We had a problem that was created in Vukovar and the only reason why we are discussing this law today is the City of Vukovar, circumstances in Vukovar in which only everyone participated and we have seen what is happening. If your intentions and your parties for the dialogue were sincere, he could have been quite accomplished in these two years. Any initiative that came from the Vukovar defenders, any initiative that went on to postpone the application of certain rights and laws for justified reasons has been reduced to conflict with the Serb national minority in Croatia. And if it doesn't stop, neither will this law that is before us today, nor this conclusion, nor long reading of the law, nor will the two-thirds majority change anything unless we respect each other in what we do. And remember the situation when there was that press conference where your club representative Milorad Pupovac spoke about the Glavas case. Remember the situation and the debate in the Parliament, and since when we MPs wanted to come out next to you, you didn't let us through. I think it is absolutely not the behavior that is appropriate here in the Croatian Parliament. You can sit there and say what you want and don't let us walk by you. I think the Croatian public needs to know something and hear about it because it is a behavior that must not be allowed.
ParlaMint-HR_2015-07-09-0.u116187	Thank you very much. We're continuing to discuss the same topic by the representatives' clubs. It is next to the club of Independent Leftists and a respected colleague, Nikola Vuljanić.
ParlaMint-HR_2015-07-09-0.u116188	Thank you, Mr. President. My colleagues and colleagues, a lot of words have been said and they've become more rough and rougher, which actually tells me we didn't come here to agree, but we've come to take the bus, everyone on our side and mobilize their voters, sees us Democrats, sees us good Croats. So of course we won't get anywhere. This isn't about Cyrillic, I guess it's clear to all of us, and to those who possibly listen to us, it's not about Cyrillic, Cyrillic is one of Slaven's civilization achievements. And I think it's an element of literacy, I write Cyrillic as well as Latin, and I'm totally proud of it. Well, for God's sake, there's no harm in it. This is essentially two key things for the future of the Republic of Croatia. It's one thing to respect the law when we don't like them. No one says that the City Council of Vukovar must like this law, that they must be madly in love with it, they don't have to, but they have to carry it out and they have to respect it and the feller is that in the present law, besides carrot cooperation, there wasn't even a beating sentence if it wasn't there. In fact, the second aspect of this debate concerns the protection of minority rights as the obligation of the majority. Most not only can't, but they can't decide to take away and restrict minority rights. It's something that doesn't actually belong to legislation, it's a civilization achievement. If we don't stick to all of the Pandora's boxes, they're open, just like they were in some of the historical times. Here, somewhere, the foundations of what we call European democracy and Western civilization are what we have today and what we must want to live in. We are discussing three acts today, two laws and one conclusion and two positions. The attitudes are diametrically opposite. They come from the legal basis of the Constitutional Court's ruling and from the existing legal frameworks. And what are these opposing views doing in Parliament, what should they find in Parliament? Well, I guess some kind of deal and some kind of compromise. Politics is a compromise. Everything that happens if it's not by force of the hand, and then it'll take a while. All that is happening in society and what is the subject of politics is the result of some kind of compromise. The best political talks are when we both go out perfectly unhappy because we had to give up something of our own. If we are unable to do this here in the Croatian Parliament, then we have a big, big problem. Then we have a really big problem. Honestly, when we passed the Laws on the Rights of National Minorities, and it's similar to other minorities, not just national minorities, I thought honestly without the figs in our pocket that we were all behind it. With this, we boasted in the negotiations, and we boasted in the first days of the EU that the issues of national minorities and not only national minorities in Croatia were actually solved on one level which a good part of European countries are just looking at and trying to get close to it. And it looks like we had a good part of that classic fig in our pocket. We talked to people from the European Commission and the Parliament and the Council who we already told what we knew they wanted to hear, and we wrote it. And the check slowly, now it's come to the conclusion that things need to be done. Who are we trying to cheat on? Maybe under quotes cheat, come on, cheat quasi-civilized attitudes. We can't fool the world. In this white world about us and everything that we're saying here today and what we're doing and what's happening to us, they know more significantly than we think and even we know. When I first came to talk with the president of the Socialists in the European Parliament, he talked for 15 minutes about the political situation in Croatia and knew everything I knew and a little bit more. So we're not cheating on them. Finally, the EU doesn't have to cheat anymore, we're inside, what we have to cheat on now. We cheat as usual on ourselves and then pay the price. Never but never by the criteria of the author of conclusions will come the time of forgiveness, peace, tolerance, style and acceptance of others who are similar to us, but they are not exactly the same as we are, they are not the same tribe. We don't have any problems with the Eskimo or the Banta blacks, of course, they're different, we always have problems with those who are close to us, who are neighbors and who we're similar to because we recognize something of ourselves in them, so it's not very pleasant. Never hate among those who have it, and apparently there is, on one side and on the other, will hate never accept living together with those who think differently, who pray differently, who look different, who speak differently, and yet similar. This hatred is something that this Parliament actually has should have a sacred task of removing it from the minds of the people who live here. There are few of us, if we look at each other in such a way through such glasses, there will be even less of us. And never, but never, ever, ever, should give in to exclusion on any side, fear and xenophobia, and of course, you should never dream of revenge. It destroys the dreams of the one who dreams of that revenge. There's nothing to build on that. It's a tragedy. That's what we have long and fat experiences about. Let's talk, let's find a deal. Here's a colleague, Lesar, who suggested topics that could be discussed, it's the only chance there is no other chance. But the topic for discussion, for negotiation and for compromise cannot be whether or not we will comply with the laws that this Parliament has adopted. We have to respect them completely and always wherever they apply. If not everyone in the entire Republic is equal in front of the law, then there is no law, then it is not a state. It's a monster. There is also no compromise on that, and it seems to me that it is something that still revolves around people's heads to be willing by the majority, because most of them can abolish the right of the minority. You can't do that. You can't do that and you can't do that. That's what's happening here in this House. And now, the party in power has a lot of times crossed over things that are pretty sure people aren't good at, and that's not how they should do it, but they do it. Let's not make it a national principle. It's not a national principle. These amendments to the law are the piece of law that is not carrots, but beatings. I was really hoping, honestly, that this issue of beatings in legislation wouldn't even be necessary. That people would accept it as healthy for granted and I think of it as something that's meant already from the fact that the war ended 20 years ago, that a whole new generation of young people were born, grew up, schooled and went to Australia while we're trying to be like this or like that. What good is that? I can hardly think of that. The law should be implemented not for the sake of the European Union, because of resolutions, declarations, or for some abstract justice, but because it is a prerequisite for civilised survival. If today's law is not implemented which I don't like for this and the reason tomorrow is not going to be implemented by someone who's talking about my rights. And each of us fights for our rights here. If we don't do it wrong. It's not a matter of stressing here again about such ephemeral things as a panel on a wall. That record is just a symbol of the state. The symbol of our government and the symbol of the decisions we've made here. If we do not respect these symbols, we do not respect ourselves, we do not respect our decisions, and then it is no wonder that this Parliament does not consider a good part of the citizens a very serious place. Thank you.
ParlaMint-HR_2015-07-09-0.u116189	Thank you, too. We have a replica of the respected representative Bora Grubisic.
ParlaMint-HR_2015-07-09-0.u116190	Thank you very much. Your colleague Vuljanić also spoke of the gains of European democracy, according to whom, according to you, such things are as you said unimaginable in the European... And now you tell me, and we were together observers in the European Parliament how many national minorities there is a democratic state like France where one Elsas in which all the inscriptions in the German language, you know, we were together, and you know what hotel you were staying in, what's the name of the hotel you're in, or the neighborhood where the hotel was. [[The speaker doesn't understand.]] So France has no national minorities, very democratic state without national minorities, and we know they also have... And in Elsa, so the Germans, up in the north of Valonci, etc. [[The speaker doesn't understand.]] But there are no national minorities with them, all of them, and those who are inhabited are all French, all French, so the Germans who are called Herman are pronounced Erman, the Hoffmans are Ofmans, etc. Secondly, you've quite theoretically and slightly twistedally expressed your position and talked about it if most people's will is limited to the minority it's not democratic. Does it seem to you that in this Croatian Parliament sometimes the gentleman, is not here, is actually acting as if he is the majority and nature of the will and doing restrictions on silent Croatian I do not know what to say to the minority or to the majority. Over all of us, actually, here. That's one thing. You said that democracy rests at the will of the majority, in... So you were a bit contradictory, so if there's a majority of the coalition's corn here in Parliament on Fridays, that's the will of the majority, the democratic one that surveillance has chosen, but I'm saying it's not worth national issues. [[The speaker doesn't understand.]] And now how, for something, does something not apply?
ParlaMint-HR_2015-07-09-0.u116191	Thank you very much. Reply to the replica, respected representative Nikola Vuljanić.
ParlaMint-HR_2015-07-09-0.u116192	Right, France has no national minorities, you forgot to mention the Corsicans who count the same as the nation for themselves, no. Does that mean we don't have to have them? I don't see... They can be considered whatever they want but if we have national communities that feel the way they feel. [[You can't hear the intruder.]] So who are you and I to say if you won't feel that way anymore, you'll feel the way I tell you because there's more of us. Isn't that awesome? The implementation of the majority force in Parliament is the truth that we talked about the other day when we discussed this Law on Children's Compensation, bad actions carried out by force of most hands. But it should neither be a practice in relations with other national communities. If that happens here, we're gonna rebel, we're gonna panic, we're gonna call the media, and I know what we're gonna do. But if this happens in relations with national groups in the Republic of Croatia then the result will be much, much more serious as I say I do not justify what is happening in Parliament. It's not a democracy to raise hands against a well-established procedure and act on it because that's how we are. Of course, it's not democracy. Thank you.
ParlaMint-HR_2015-07-09-0.u116193	Thank you very much. We're continuing the club debate. It is the Club of Representatives of the Independent List and Representatives Damir Cain and Shandor Juhas. Damir Caine first.
ParlaMint-HR_2015-07-09-0.u116194	Your Honor, Mr. President, gentlemen of the Parliament. Right, someone said this to us in some way we might even call the Vukovar Act. Here, normally when we talk about this legal basis, the Constitution and constitutional laws and international agreements that have a logical power above the law are listed. There is also talk about the Constitutional Court's decision, but it is important for us, because Vukovar is a stumbling block, to point out among other things, and no agreement on the peaceful integration of Eastern Slavonia is listed. I'm going to quote just one piece of the argument. The Constitutional Court has obliged the Government of the Republic of Croatia to refer, within 1 year of the date of publication of the decision in the National Journal, to the parliamentary procedure for amending and supplementing the Act on the Official Use of Language and Letters, national minorities in the Republic of Croatia. I would hate for this law for these or those reasons to adopt some dominant electoral goals, not the needs of a minority population. The original foundation of the Constitution of the Republic of Croatia states that the Republic of Croatia is established as a national community of Croatian peoples and states of members of national minorities and then lists Serbs, Czechs, Slovaks, Italians, Hungarians, Jews, Germans, Austrians, Ukrainians, Russians, Bosniaks, Slovenians, Montenegrins, Macedonians, Russians, Bulgarians, Poles, Roma, Romania, Turks, Vlaha, Albanians and others who guarantee equality with the citizens of Croatia, nationality and the achievement of national rights in accordance with the democratic norms of the UN and the countries of the free world. Gentlemen, the problem must be solved. To all national minorities in Croatia, the Constitution guarantees first and foremost freedom of expression of nationality, free use of its own language, thus and by letter and cultural autonomy. The cultural autonomy model, which includes the right to education in language, the letter of national minorities, the official use of minority languages, ensures integration and prevents the assimilation of national minorities into Croatian society. Equal official use of both languages and letters of national minorities in Croatia is achieved in accordance with the provisions of the Constitutional Law on the Rights of National Minorities, then the Framework Convention for the Protection of National Minorities of the Council of Europe, the European Charter on Regional and Minority Languages of the Council of Europe, the Law on the Use of the Language of National Minorities, Constitutional Laws, the Constitutional Court Decisions, and I will also mention this Treaty on the Peaceful Reintegration of Eastern Slavonia. We all know, everyone mentioned it, which happened in one Vukovar in Eastern Slavonia, but the language, Cyrillic, bilingual plates must not be a problem. We all agree that one Vukovar was systematically destroyed, that people were persecuted, evicted, deported to the camps of many, we watched that film recently and raped. Of course, the Serbs suffered as well. Every time I talk about this matter, I pull some parallel with Istria. It may not be the most accurate, but there are similarities. World War II was one bloody war, the period between the two world wars was all but an ideal period. Fascism was not only a threat to the Slavs, Croats, Slovenians, but to all freedomists, I will tell the people there, the Italians. First victim of fascist terror, for example. in Istria was Rovinjan Italian.... The leaders of the Republic of Labin were dominant Italian,... you can't imagine without that Italian component as well as Croatian, Slovenian, etc. And then what happens after World War II? It happened to us or we were struck by a horrible barbaric exodus that struck Istria almost as nearly as the war itself. Of the 186,000 people leaving these premises somewhere, 140,000 people were from Istria. I'm talking about the ones who were optin', etc. And then the fate of Istria was regulated by international contracts, I deliberately apostrophe, because that is why this law is also passed, so the status of Istria is regulated until a peaceful '47. From the quiet mountain to the so-called Trieste, the London Agreement of '54, so here we have... agreement, Roman agreements, etc. Among other things, these agreements specify exactly where and when a minority language or Italian must be used. A few days ago, I received people from Vukovar, and I asked them if the wounds were still so painful. I had the impression that this division was not so expressed as 2008, 2009, or 2010. It is clear that the murdered cannot be forgotten, that the raped remember what happened to them, that the exiles cannot forget the torments, that those who were left without property remember those who did so. Then at one point they told me about it, and neither did you in Istria, as ideal as you think it is, is everything ideal. Says your men are gone. At one point I imagined myself saying yes, and that's exactly what's the biggest tragedy. We ran out of people, half the population there in '45. A year. Many were scared then, democracy was or wasn't, it doesn't matter now. In some parts we certainly had more freedom than we do now, for example when it comes to the independence of the media in Istria. But we still have to be together between ourselves in some way to reconcile, live together and with all those who have moved into those or into our spaces. There were a lot of problems, but over time these problems were somehow trying to solve themselves. Most of the problems were probably with the property, but the question cannot be questioned, although someone should review all the things where individuals who act without a kuna have come to something that neither by human nor by God's laws should belong to them. Now where do you come from? Probably from this disbanding council. I know it's the most radical measure. It might be better to mention a fine instead. This proposal is something I absolutely understand, something I justify but if it turns into some spite then we will have either permanent division or permanent elections or one constant uncertainty, a constant review of some public will, a permanent rise in some political tensions and divisions in society. It is good that the law is adopted by a two-thirds majority, at least I doubt that it will be achieved, and I agree that overzealousness, over-legislative sovereignty, too intense, means when it comes to decommissioning could be counterproductive, and that is where it should be found in some way. I suggest that, in some material way, those responsible for non-compliance with legal norms or for disabling how to express the will of the legislator, i.e. the Constitution, the constitutional law and the law governing this matter. The right minority is something we need to respect, that's what we need to be determined in some way. Repression is something we'll see how it ends in the end. And for the end, equal official use of language, letters of national minorities are generally introduced to the entire area of a particular municipality or city. It can only be introduced in part of the area of the municipality and the city. We in the Republic of Croatia have if I am not mistaken 55 units of regional/regional/ means local self-government that introduced these standards. Of these, more than a third of the population were made up of the 27 units of national minorities, while in 28 units, the official equal use of minority language and letter was introduced by the statute. I am extremely proud that in one Peroje, for example, there are live Montenegrins, so you can also see bilingual inscriptions. I'm talking about Istria, not far from Vodnjana, Fažana, and no one is just bothered by it.
ParlaMint-HR_2015-07-09-0.u116195	Part two, dear colleague Juhas on behalf of the same club.
