ParlaMint-HR_2015-03-12-0.u103936	... [[The speaker is not enabled.]]
ParlaMint-HR_2015-03-12-0.u104020	Miss twilight, replica.
ParlaMint-HR_2015-03-12-0.u104021	Thank you very much, Madam Vice President of the Croatian Parliament. Dear fellow Members, in your debate you have really questioned the reality of how the citizens of us MPs perceive us and why this is the case. Well, because of this government you said well, we are now discussing the law for which some regulations have been passed, and today we are discussing something important. Well, that's the respect of the Parliament by the government, and we know Prime Minister Milanovic, who comes here with the greatest disgust to this House of Highs. Your second question was what family was. Well, I was thinking whether or not to tell you about it, I know that you know that, and the family has always been the foundation of society for us. And what happened to that family now? She's connected, humiliated, and poored. Through all this, and unfortunately this law will not be able to help her until such a family is restored to dignity. And who makes a family? For me, family makes up a man and woman who are married, if God gives and children who will be in that marriage or those closer to blood relatives. It's family to me. And you see, what you should do to that family is stop negative demographic trends. Young people no longer start their families, don't get married, don't live together because they can't buy an apartment, and don't even think about one day having to live with their wife or with their husband a pension like they used to think, and as it is, there will be a future in the work of a new government that will certainly replace this government itself.
ParlaMint-HR_2015-03-12-0.u104022	After four years, someone always replaces the government. Djuro, will you answer? Hope Murganic, replica.
ParlaMint-HR_2015-03-12-0.u104023	Well, here's a fellow Drinker I don't want about the past, I really want to in two or three sentences to potential some parts of your debate. The first fact that we, as a legislative body, have very few opportunities in the right way to discuss some legislative proposals because here yesterday in one debate it was said that out of 700 and some of the laws that were passed during this call over 500 was adopted by an emergency procedure. And lately, we have a lot of laws whose provisions are already in force and where in some ways only what has been solved by the government by the regulation of the law is kind of being verified. However, this is good at least so much that we have opportunities to discuss some issues that we cannot discuss when some laws are passed through such mischievous laws. If we have a debate under the law, then by the ruling and fellow parliamentary representatives of the ruling coalition as blind, we stick to those proposals made by the government, and I will repeat once and for all that the Law on the Single Body of Art and today the subject of this law was not a good law, that the law is not in force, that the single body of art is not working. You mentioned more than 17,000 items that will stand or stand, but if we look through the fates that a fixed person must wait for months, but perhaps a year and more to receive an extra for care and assistance that is 500 kuna, that the help to hire a person with some form of disability that amounts to 350 kn is waiting because of this relationship with people who need to be artificial, that the mother who has a child should wait maternity leave a year, etc. etc. [[Intruder Zgrebec: Thank you.]]
ParlaMint-HR_2015-03-12-0.u104024	Thank you, colleague. Djuro Pupil, reply to the replica.
ParlaMint-HR_2015-03-12-0.u104025	Thank you very much. I was in the Croatian government for two years in a very intense period when we were completing negotiations with the EU and where there was a really very intense need for permanent adoption and legislation and regulations and everything, but I don't remember that we may have just a few articles at a time when the Parliament didn't have a need to bring it up. And it was, of course, explicit, not banning, but the urgency that such things are not done, and I remember the debate on this side when sometimes something like that happened, they were salves, which were said to be attacks that the Croatian government bypassed the Parliament. And now that's the first rule, the second one I don't have any adequate word not to insult anyone to change something into 25% of articles, 49 articles to make a regulation 3 days after the session of the Parliament's work that is indeed an insult to this House of Commons, there's no doubt about it. I have direct concerns, I didn't have time to say everything back then, so this chaos itself and the complete confusion of the inability to organise when something is lifted and something is trying to create something new, and that's where the Office of Arts comes in serious problems in the exercise of rights, and here's one such complaint specifically cited the shortest rights of the healthiest part of the population. Let's say children with special needs and people with a permanent health condition. That's scary. Do we actually know the right situation, the right numbers and what's going on and whether we should have the opportunity to take on such problems both here objectively and honestly Talk and show that urgent things have to change. [[Intruder Zgrebec: Thank you.]] We don't hear anything about that kind of thing. Thank you.
ParlaMint-HR_2015-03-12-0.u104026	Josip Djakic, replica.
ParlaMint-HR_2015-03-12-0.u104027	Thank you very much, Madam Vice President. Well, fellow Popijač, you have well stated that some new dictionary describes the defence population in these amendments and additions to the laws that come after an emergency procedure after three months, after 3 months when the regulation has already made its own and when it is defined that the pensions achieved under special regulations will be harmonised according to the current coefficient, that there will be no change in the amount of pensions itself. While in reality it is said that the single body of art in the next three years will carry out a review of all people with disabilities, as well as the harmonisation of pensions according to the current values that are essentially reduced. And it clearly comes to the conclusion that here in the law is actually a hidden intention that in the next period there will be a real reduction. But thinking that I can derrogate with this law, the Law on the Rights of Croatian Lawyers, is not and cannot happen because the Law on Croatian Defence is a lex specialis, and has built-in mechanisms that have not been amended so far. And all this seems to be a derrogation of the Law on the Rights of Croatian Defences by this Retirement Insurance Act. Special circumstances in which pensions were made, I don't know what that should be. So it should be written that the Homeland War is a specific circumstance and these are the disabled of the Homeland War, the families of the dead, the prisoners, the missing, the parents and children of the deceased defenders. Well, that's how it's supposed to be written in this law if you want to talk about them already. And she is not respected, a conclusion that speaks of how this law should be postponed. [[Intruder Zgrebec: Thank you.]]
ParlaMint-HR_2015-03-12-0.u104028	Thank you. Djuro Pupil, reply to the replica.
ParlaMint-HR_2015-03-12-0.u104029	Thank you very much, Madam Vice President. Well, that's the same key question as how to say someone and dare to essentially make something that was agreed, where the President of the Parliament was present and where they all unanimously made some decision and the conclusion that something completely different was made on the table first in terms of the regulation, and then this legal solution. The legal solution is now done because the regulation is of course already in effect within three months, but it is evident that there are hidden intentions and that in some of these, some of these legal formulations, escapades of course try to do something and put an end to the situation and after that, the thing is over. Obviously, people have recognized it, and apparently every day more and more confirms that they are not without reason there and that it is not really all that the whole public is now trying to convince themselves by the government, I don't know a few such and such banal demands, but it is actually a continuing and real intention that this category of user pensions really be denied and at least worsened the existing status. Thank you.
ParlaMint-HR_2015-03-12-0.u104030	Ivan Grubisic, replica.
ParlaMint-HR_2015-03-12-0.u104031	I signed up for the replica first to commend the fact that Mr. Popioč put out, which is that many jobs disappeared during the Homeland War. That the economy in the entire area of the former state was disturbed and that we felt it perhaps in the most difficult way. But that is why I did not answer for the replica, but when in the second part and at the end of your presentation you advocated, which is your full right, to appeal to the adoption of a special constitutional law on Croatian defenders. As far as I'm concerned, I am for the first category of Croatian defenders who have lost parts of their body for the Homeland to be done to them in the Croatian state and given to them. But I'm not going to deny before the law that we're all equal before the law, and I have to admit if I'm going to vote on that law that I'm going to be against it. We must all be equal before the law, and to the categories of 100% disabled, we must give everything the state can. You have also highlighted one thing that is very important in the debate, we can pass the law as well as in "In the name of the family" about same-sex heterogeneous marriages but in reality nothing has changed. So the same question is will Croatia come into a situation that will not be able to pay what it has promised, and with the Constitution it is bound, and then the question is who will be responsible for it? Will the people pay for what they cannot afford and what is promised by constitutional law? There's just so much.
ParlaMint-HR_2015-03-12-0.u104032	Thank you very much. The answer to the replica of Đuro Popiè.
ParlaMint-HR_2015-03-12-0.u104033	Thank you very much. I am quite certain that defenders in their demands do not express the desire to be more equal among the equals. I don't think that's how it should be understood, watched or understood. And if they had reason to be concerned they're not just material, they're not just so-called. Let's say "beneficiary" rights or what else you're talking about than one true need and that about the Homeland War and their status in the right way society finally and once and for all is determined. Because they feel like it's changing deeply. Of course, they are themselves, and I don't know how many times they've said it, it's not about a few hundred kunas, it's not about benefits, the rights that belong to them at the end, the Croatian state has long recognised it, but it's about one need and one obligation to talk about many other things and to talk about the Homeland War itself, and not just their status once and for all define it in the right way and to be him as the pillar and the foundation of this country. Thank you.
ParlaMint-HR_2015-03-12-0.u104034	On behalf of the SDP Representatives Club, colleague Vanja Posavac.
ParlaMint-HR_2015-03-12-0.u104035	I would like to thank the esteemed vice president, Deputy Minister, colleagues and colleagues. The SDP Club will support the draft law amending and supplementing the Pension Insurance Act. This law defines a provision which adopts the 1997 Council Directive on a short-term framework agreement which removes the possibility of different interpretations in implementation and ensures equal access to pension insurance rights for insurance workers working with incomplete working hours, as provided for in the applicable provisions for insurance workers working full-time. According to that directive, part-time work to obtain certain social security rights is even with full-time work, so the Pension Insurance Act needs to deal with this issue more clearly. the explicit provision must define how work is equalised with part-time with full-time work to acquire pension rights. In addition, these amendments and additions will bring into line with the Law on the Life Partnership of persons of the same sex, i.e. they will allow family pension rights to be granted to insured family members of persons who have concluded a life partnership with the competent authority as well as family members of persons who have not concluded a partnership but their living community can be equated with the extramarital. In addition, the right to extended insurance will also provide life insurance partners who have concluded a life partnership with a person of the same sex under the conditions prescribed for a spouse. Insurance companies, as we already have in the law, insurance companies who are 60 years old and 41 years old are entitled to a retirement pension for long-term insurance companies and so far the customers of early retirement pension due to long-term insurance are translated into retirement pensions for long-term insurance companies for the purpose of single monitoring the number of these users. In addition, disabled persons are allowed to gain the right to a disability pension due to their professional inability to work and disabled persons for part-time loss of employment due to a complete loss of employment regardless of obtaining insurance status after the right to retire. The process of training in pension insurance is also in line with the Law on Professional Rehabilitation and Employment of Persons with Disabilities and the Law on the Single Body of Skills in a way that the competence for skills and physical damage is transferred to the Office for Skills, Professional Rehabilitation and Employment of Persons with Disabilities. The supervision and control procedures for rights established on the basis of reduced working capacity, partial and total loss of working ability and physical damage shall be regulated. Therefore, Croatian defenders from the Homeland War and members of their families are delayed the separation of pensions on 30 June 2015 and the separation mentioned does not have financial effects on the level of defence pension i.e. This does not reduce defence pensions. Therefore, a separate pension in July will be equal to the amount of pension paid in June 2015. The separate parts of the pension are summed up to the total amount of the pension equivalent to the amount of the pension before the separation. For this reason, the SDP club will support the adoption of laws by an urgent procedure, because we believe there really are legitimate reasons for this. The proposed law implements the harmonisation of the provisions of the Pension Insurance Act with the Law on the Single Body of Skills, since the process of skills in the field of pension insurance has been carried out since 1 January 2015 by a single body of art at the Institute of Arts, Professional Rehabilitation and Employment of Persons with Disabilities. Thank you.
ParlaMint-HR_2015-03-12-0.u104036	On behalf of the SDSS representative's club, a colleague of Mile Horvat.
ParlaMint-HR_2015-03-12-0.u104037	My colleagues and colleagues, I welcome the Deputy Minister of Labour and Pension System. The proposal of the Law on Amendments and Supplements to the Pension Insurance Act is one of the fundamental laws that should in some way manifest social sensitivity and social care in our system and put it into practice in life. This law is quite nomotechnically written in our assessment, and when we examine it, we see that you need to be almost a real expert dealing with this very problem to interpret it in the greatest part of the provisions. Therefore, those people to whom this is intended do not have the best message that they can manage in all these powerful formulas, terms, calculations in the article in this article and so on without any specific definition. But okay, I guess that's how it has to be. Here are the questions that are essential. So we can make changes to the law and we can have solutions like this or those that are often conditioned by some kind of short-term economic situation and policies. In our view, it is a fundamental thing of this kind that will allow these provisions to live in the long term, that is, whether we have created assumptions that we can secure funds in the state, in the budget, in the funds that this social component is developing. We talked here about some kind of, a situation in the economy, in one Germany there are 42 million workers, and it's no problem then having a strong social component pension, health care, etc. My colleague Shemper said it very well and we didn't know that data, they're closer to having 1 to 1.13 is our relationship, sometimes it was 3 to 1 is the relationship between the working population and the pensioners and that's the essence of this topic. And these legal provisions are modeling what you'd like to be some kind of social component. I can agree that it wasn't right, but maybe as a craftsman's child has some basis to compare, so I'm saying that socialism wasn't very fond of craftsmen, but I have to figure out at the end of the story if something was happening right now, it wouldn't be destroyable if it didn't have anything to destroy. So the logic of things is that the system that it created is something, it created some kind of mass, some essence of industrial production, etc. that doesn't exist today. And that's the only logic for me without any ideological paints, etc. Without the burden, some of them I'm finding, and some debates some time ago, they told me in Osijek how much of these plants are now dark, how devastated they are, how September they were, and how many years ago they were, and so on. We can also conclude that this is the result of the war, and I agree, but let's also objectively conclude that a German who had been destroyed to the ground for 20 years has completely risen from the ashes, has become the strongest industrial power in Europe. So these are relationships that could be talked about, but I'm not talking about it right now. I think definitely we at the club think that this is the beginning, these stories, about these topics that have a social character, which are a strong pension system, and a strong health system is something that was first hit by a concept of neoliberal capitalism, and the result of that concept will only have opportunities in some time to analyze. I'm afraid it won't be a positive analysis of how it happened in some third-world countries like Latin America today, etc. where this neoliberal capitalism has destroyed all these components of social society. The law itself, the amendments to the law I think are the result of some practice and we support the ministry in its efforts to perfect the basic legal model. It has already been said here what it has come from, that I am not repeating it now, but it is a model of early retirement, basic retirement, a score of disability, deadlines that are likely to be adapted to some real life situation, the art that has proved to be corrected and I think that according to this model of skills is well corrected, that, of course, there remains a problem of breaking deadlines both in the art and in the adoption of these administrative acts relating to the identification of disability, that is something that is the disease of our administration system as well as the judicial system that we have discussed, and of course we should work on. We see that there is also a lot of attention to the category of same-sex marriages, i.e. the same-sex communities that have now received material assumptions from this law that they are equally involved in pension insurance and pension funds. And we think it's a good thing if we go, if we're going that way when we're equating same-sex marriages, then it's logical that the next thing you know, that pension component of those members is being arranged. And we see that we've done it fine. However, I am now at the end, I say, we will accept these amendments to the law but I must open one topic that we all avoid to talk about, which has recently become current in relations between the two states, that is what we received yesterday and in daily politics, as a message after the arrival of the Minister of Foreign Affairs of the Republic of Serbia. So it is among other open issues, it is also about the compensation of the category of pensioners of Croatian citizens who in the period until '97. years that, due to war circumstances and other circumstances, have been suspended for retirement. I have to say here that this is primarily not a political issue, but a property legal issue. There's peace all over the world. There's inalienable law. In this case they are also a particular kind of social category because they are socially sensitive and endangered categories of inhabitants. And most importantly, when it comes to these pensions, it's about Croatian citizens who won that pension before '91. For years, therefore, who paid their entire working life into the funds of money and who, by their work and contributions, alluded to their pensions after '91. ...rejected. It has, of course, been suspended because of its war activities, it has been suspended due to a difficult return, it has been denied because of the fact that many people, that payment traffic has been suspended, postal traffic in certain areas of the Republic of Croatia that have been affected by the war, and that these people, therefore, have been affected by this more force, as well as more force or more major as it is within the legal virtue of international law, could not be held accountable for such circumstances. We have here today the fact that the two countries are discussing it, it is the Republic of Serbia, as I have said, which has its own political reasons, and it insists that we as one of the sides in these negotiations identify the persons who, therefore, determine the number, identify the people who did not receive the pension to calculate what that amount is, to simply create a basic parameter when talking about these users. Of course, as the other side, the Republic of Croatia has its reasons, it is called on, therefore, its reasons not to go to the compensation of these people, mainly calling for administrative categories, to the pension insurance regulation, to practice from '98. the years where debts could not be paid three years back and later regulations were reduced to one year to the fact that people themselves were guilty of not being able to raise their pension, etc., etc. So we want to use certain formal legal reasons, obstacles not to allow these people to acquire what they belong to. Finally, we will find ourselves in a situation where countries will settle this matter with bilateral relations because they will have to be bound by other international categories of Sarajevo Convention and we will have the fact that the Republic of Serbia will point out some 12,000 such requests for Croatian citizens who are still there. However, the issue remains of Croatian citizens, citizens of the Republic of Croatia living here and whose demands no one protects in this case who also did not receive a pension during the period. They're like that somewhere we know about 18 grand. So I know it's one topic that's hot, which is uncomfortable to talk about, which costs but we don't have the right to deny these people in these fundamental, fundamental rights because I repeat pensions is everywhere in all times inalienable property, these people acquired it before the war and alimony with their long-standing work of paying off that pension. And to conclude finally, what is most important, the current Government in its 2011 programme, 2015 positioned the pension system, made it clear that it would take into account the problem of those citizens who, although they regularly paid in pension funds, did not receive pensions for a certain period of time and, in agreement with the damaged, consider the method of compensation. So that's, the solution to the cases of these people I was talking about was part of the plan, or the current government program four years ago. Four years have passed, we have no moves, people are dying, probably those users half of them are no longer a living question is more what the amount of demands is but the fact that we haven't done anything all these years to at least talk about it and start talking about it. Article 37 covers Article 155 of this Law where there was in some way a good will at least to regulate the start of resolving this because here the budget is bound to pay certain amounts in other cases laid down by law. So we could also prepare here a legal assumption to start paying off, or to compensate these people. Thank you very much.
ParlaMint-HR_2015-03-12-0.u104038	Ingrid Antičević-Marinović, replica.
ParlaMint-HR_2015-03-12-0.u104039	Comrade Horvat, at the very beginning you have established and I think that is the way it should always be mentioned, to see how forward and how to improve the system. You say during the war the war met us with three employees of one pensioner, today 1.13:1. You tell the pensioner and you say it's always the essence of this topic, and that's what really happened. While the defenders were liberating Croatia, then the government considered it a duty to have jobs free so that what was once socially almost free of charge for privatisation, in a way that, to this day, even though we have imposed a criminal act of non-determination of such crimes, we have not cleared up the whole situation. But here's today's edition of the government at the time, said Mr. Poppie speaking on behalf of the club, he denies it relatively says it doesn't matter, or all in all it would have been possible to conclude that it was so long ago that it didn't happen in it. Unfortunately, however, the consequences we feel through this system are evident, and this has further traumatised Croatia with war and war casualties.
ParlaMint-HR_2015-03-12-0.u104040	Mile Horvat, reply to the replica.
ParlaMint-HR_2015-03-12-0.u104041	Dear colleagues, Ingrid Anticevic, I agree with your assessment of the situation, but I am not going back so far in the past but simply finding that this system as a pension system as prescribed by law here must absolutely have its perspective in economic categories. So if the relationship between the active and the pensioners is progressive, there's no way that what we've written down here is as a model that's being spent in life. We know there's a lot of bankruptcy and a growing number of bankruptcys, all those people in bankruptcy go where they go, go to the employment bureau again on the burden of the state. We see that it's easier to stimulate people to retire than to restructure public systems, strengthen production, and these people go back to the burden of the state, go back to the burden of the budget. Therefore, these are some things that do not give us optimism that tomorrow we will have a strong economic and stable economic basis for the implementation of the pension policy, and beyond that there will probably be a question of both health policy and education policy, so all of these elements of the social state will be compromised because there is simply no one to fill the budget. In short and plain terms, you can't be happy and satisfied in the house if you don't work and if no one does.
ParlaMint-HR_2015-03-12-0.u104042	Dragutin Lesar, replica.
ParlaMint-HR_2015-03-12-0.u104043	Comrade Horvat, you mentioned in your debate the attack of neoliberal capitalism on this particular case pension system. When someone says neoliberal, they immediately give him ideological value, so instead of neoliberal capitalism, I'll say it's brutal, that some liberals wouldn't be offended by it. However, it is not just about the attack on the pension system, the public pension system. We are exposed to daily attacks and to the public education system, the public health system and always the goal behind this is to actually destroy this public goods, public insurance, public care, public pension system and open the market for private capital. We have introduced a second pillar of pension insurance, and if you notice, the Parliament has never held a debate on the effects of the second pension pillar, the condition in the mandatory second pillar of insurance, nor can you find information in one place in the contributions of those second pillar pension funds. So we often deal with this generation solidarity, and that 5% of the funds, now somewhere around 60 billion goes under the radar of all debates by the legislative authority. But it's not just bankruptcy that puts the public pension system at risk. Work without a working relationship, freeing from the payment of contributions to pension insurance, which, like the infection, caught one and the other government back a few years ago. Contributions and payments on minimum wages to be tolerated in an increasing number of cases do not interest anyone at all and we do not say how many billions of kunas we lose on a monthly basis only because of these three aspects. It is a alignment with European directives. Every alignment with European directives means a few hundred million kunas less in the pension system.
ParlaMint-HR_2015-03-12-0.u104044	Thank you very much. Mile Horvat, reply to the replica.
ParlaMint-HR_2015-03-12-0.u104045	Thank you. Comrade Lesar, I can sign what you said. Very good analysis, even wider than I gave it. I could have fooled it, I'd have taken it under one denominator, so as long as we don't get the industry back to the level that we had, and as long as the workers don't start taking buses to work, and as long as that production doesn't start being the basic thing in society, not consumerism or trade, megamarkets, etc., we'll have a hole in the financing of the pension system. Of course it will reflect on education, health and everything else it does, I repeat again, the social category of a country. The neoliberal capitalism is obviously going to pass here, and it's already gone somewhere. To remind only trends in developed countries is that they are a little limited by this neoliberal capitalism nowadays and that they are still restoring state control on some basic resources, on public systems, on social policy, on health policy. That's what serious states do. So they didn't leave everything to the wild market for private neoliberal capitalism. It is now dominant in the countries of Latin America. We see what's going on. Cultural countries, or rich countries that have a particular strategy of their development, are slowly removed from this world trend.
ParlaMint-HR_2015-03-12-0.u104046	Boro Grubisic, replica.
ParlaMint-HR_2015-03-12-0.u104047	Thank you very much. Comrade Horvath, you know it's since '91. Until '96. Almost a third of the Republic of Croatia was occupied and was not under the jurisdiction of the Republic of Croatia. It was then called the so-called so-called. The SAO landscape, east, west Slavonia, and I don't know what kind of SAOs are. So what you're saying and what you're looking for on behalf of people, you're saying there are 12,000. So, people looking for pensions in '91, '96. I'm not saying they're not human rights inherited from the former state. But when you look at the situation of who was aggressor to Croatia, who produced the war, who led to this, then I ask you and you are constant, to say the demands and demands of your party and to rebuild, and to return apartments and that, arranged apartments, etc. And all of this is paid by the citizens of the Republic of Croatia. And you are also calling on the political will or the decision of the Republic of Serbia as some kind of asset in all of this, in the talks. So how much did the Republic of Serbia help the return of citizens to the Republic of Croatia, as much as it gave for our reconstruction, to restore Serbians to say house in the Republic of Croatia, to demining the mines they set up, Serbia set up. For the people who died in genocide, for 13 children, their parents' compensation for damages. It is immeasurable to understand who died in Slavonski Brod since the attack of the Serbian Chetnik army, which 8,000 civilians died in Croatia right in the Homeland War. So let's watch those fees. There is no Croatia's claim to Serbia. Interesting! And you here are constantly setting up some conditions and nonstop production of new material, so giving the Republic of Croatia which in this situation is and which is exhausting the Republic of Croatia. I don't know how long it'll take. Here.
ParlaMint-HR_2015-03-12-0.u104048	Mile Horvat, reply to the replica.
ParlaMint-HR_2015-03-12-0.u104049	Comrade Grubisic, I expected this character of your replica to be and I don't blame anything. So, I'll try to answer the arguments to a few of the things you've warned. I claim that pensions are inalienable law in all international criteria, the inalienable right of the man who earned it. And I was saying this is about the category of Croatian citizens who were until '91. were retired, so the war found them with a pension. And they, through their working lives in that system, have alimonyd their retirement for 40 years, alimony their retirement for old age. And that part, so I'm talking about that part. So someone took that part of their pension. Someone took that money in that period, didn't give it to them, but directed it somewhere else. So that's what I'm talking about. And besides, besides that I'm right probably either partially right or my intention is fine and the fact that the current government said in my program I said that this thing would work out. Thus, there is likely to be some basis as promised. And third thing, you're saying what Serbia is, I wouldn't involve it. I would say an international factor, international organisations have both given Serbia and Bosnia and Croatia significant funds expressed in millions of euros to get rid of, close the way back and all that. The question is whether we took advantage of it and why we as a state did not use those funds in the way that the European, or the world community offered us. The Sarajevo conference had its own budget, it had its own resources. So, did we use that? Well, I think that's the question. If we're not in the government, I don't think I'd answer that way.
ParlaMint-HR_2015-03-12-0.u104050	On behalf of the Club of Representatives of HSU colleague Zeljko Shemper.
ParlaMint-HR_2015-03-12-0.u104051	I would like to thank Madam Vice President, Your Honor, Deputy, colleagues and colleagues. Although this proposal amends and complements the Pension Insurance Act has the E code as European, few refer to provisions that are in line with the Council Directive. One of these is that part-time work to obtain certain social security rights is equated with full-time work, so the Pension Insurance Act needs to be more precise on this issue, which means that it defines the way of equalisation and two opportunities for obtaining pension insurance rights. Until now, work with reduced working hours on various grounds such as work after maternity leave, work due to increased child care and care has been leveled in terms of the conditions for the exercise of the right under the Pension Insurance Act with full-time work. Since 1 January 2015, the Croatian Pension Insurance Office is no longer performing skills in the first and second stages for the purpose of exercising pension insurance rights. The law on a single body of art requires the establishment of a single body of art which is an integral part of the Institute of Arts, Professional Rehabilitation and Employment of Persons with Disabilities. This single body should be kept up to date on all procedures in which certain rights are exercised, i.e. on the basis of findings and opinions of the body of art. It is therefore necessary to comply with the Pension Insurance Act with that law. We hope that this unique body of art will also affect the number of disability pensions because in early 2008 and 2009 there were 13 thousand pensioners. In the last three years, and even after the discovery of the Rubalo affair, the average of the disability pension is 3.5 thousand. These amendments to the laws will also bring into line with the Law on the Life Partnership of persons of the same sex, which will allow family pension rights to be granted to insured family members of persons who have concluded a life partnership with the competent authority as well as family members of persons who have not concluded a partnership and their life union can be leveled with an extramarital community. As of 1 January, the Croatian Pension Insurance Office shall implement the pension separation procedure according to specific regulations to the section laid down under the general rules, i.e. the Pension Insurance Act and the part determined according to specific or more favourable regulations. According to an earlier agreement in the Croatian Parliament, the separation of Croatian defenders' pensions from the Homeland War is delayed until 30 June 2015. Thus, the harmonisation of pensions according to the current value of pensions which, according to the State Statistics Institute data in the first half of this year, will not be coordinated by each of those parts of pensions in a special manner according to Articles 88, 89 and 94. Pension Insurance Act. For this separation process, I also personally considered at the time of the debate to be a better individual approach, especially for each pensioner, than this particular aggregate conversion factor to the types of pension. My debate will focus most on Article 35, which determines the right to retirement for long-term insurance when he turns 60 and 41. This is a significant provision that allowed workers who entered the world early in the year 17 or 18, and in their 60s have a respectable internship, 41 and several years of internships, and can no longer successfully carry out their professions, to be retired without a pension. So far, it has been an early retirement, but it has been estimated that such long-term insurance is sufficient reason to call it an age pension for long-term insurance. What are the effects, we see already in application in 2014. About 5,000 pensioners with an average pension of 3500 kuna were retired, which was about 61% of the average salary with an average internship of 42 years and 10 months and at an average age of 62.5 years. For these users there is also a bonus of 0.15% for each month after 60 years of life as some balance for age pension users who have achieved a bonus after 65 to 70 years, such as university professors, doctors, lawyers. This provision is also an additional motivation for longer stay at work because only 13.57% in Croatia since 31.12.2014. For me, the disputed interpretation of paragraph 2 of Article 35, which prescribes that a worker of 41 and over years of employment if he retires on his 65th birthday, shall be retired in regular retirement under Article 33 and not in accordance with Article 35. This provision has been difficult, although it is very few pensioners, because the attitude of the European and world institutions, the World Bank, the IMF that we listen to and read daily is known, that when we retire they are more important years of life than years of internships because on their side of the view it is only important that you are as old as possible and that you use your pension as little as possible for less years. I can say that I am very pleased with this provision on annual insurance and internship of 41 and more years of internship because we have managed to restore importance to a longer internship and as much as reward such an internship. I am personally sorry that we have not brought such a provision before because often, every day at the HSU club, we receive comments from those who have the same conditions of training and age retired 3, 4 or 5 years ago. And to them, because of retroactiveness, this provision cannot be applied. Unfortunately, we often change laws, and each law has its own beginning and end of application, and this has negative consequences. The HSU Club will support these changes. Thank you.
ParlaMint-HR_2015-03-12-0.u104052	On behalf of HDSSB representative Boro Grubisic.
