ParlaMint-HR_2015-09-09-0.u117855	Mr. President.
ParlaMint-HR_2015-09-09-0.u117940	Thank you very much. The reply to the replica, the esteemed representative of Shandor Juhas. Your Honor, I'd like you to join us.
ParlaMint-HR_2015-09-09-0.u117941	I'm trying to get involved, but obviously there's a left and right this one. Yeah, yeah, I did it. [[You're doing it, you're doing it.]] So I thank you for warning us about the question and the question of schooling, which is also important. [[Maybe, maybe not.]] Now, as far as that law is concerned, I think that the palatable measures are better than any measure, and that's why we're going to support it, which is why I'm going to support this law most likely. How many results he'll have, so he'll have the results of the previous laws. Less or less all these laws have their own deadline, whether it'll be 2 months, 3 months, 6 months or 2 years we'll see it. We all bring them to last, I don't know 10 years, 12 years. Well, the living have seen it. Most likely another government may think differently, no matter what in this government, not in this government, but in this law talk about some more lasting solutions. But for me, it's a permanent solution, and for us it's a permanent solution that leads to the development of an area. And the area, the plainland area has been neglected, neglected not only for 20 years but even more. We had everything and now we're out of anything. And I say it responsibly. We don't have industry anymore, agriculture goes to hell and we don't have any more young people, we don't have young people anymore. The young are all gone. Look at the primary school records this year. If in one White monastery by 30, 40 students were enrolled in the first grade, and it is known to have been enrolled in 3 classes, so it is 30%. So where did these people go? They're gone, they're gone. And we can't expect it, we can't expect them with their own profits or thus increase the fiscal capacity of these municipalities or cities because they simply don't exist. Write home, it's gone.
ParlaMint-HR_2015-09-09-0.u117942	All right, we're moving on without writing home failed. Dear Representative Josip Boris on behalf of the Croatian Democratic Community club in the Croatian Parliament on behalf of the club.
ParlaMint-HR_2015-09-09-0.u117943	Thank you very much, Mr. President, Your Honor. At the beginning of this debate on this law, given that the end of the term of office of this Assembly is called, it should be looked back a little bit to ensure that this debate is complete and that this bill is not only observed in the light of an article that is modified in 2 or 3 figures. This law simply defines the sources and distribution of funds and we discussed it the last time in 2014 after the amendments to the Regional Development Act and it concerns one section and the Income Tax Act. And when we take a closer look at the Income Tax Act that has only been changed six times in the term of this government, when you look at other tax laws that have also been changed several times, the fact that this government rightly carries an epithet of incompetence is clearly indicated. Because really what kind of path you're going and six times you change the route or what kind of goal you want to achieve and six times you're changing or trying to make it happen, so to do that, here's maybe in the seventh try. We can all still remember that election night in 2011, those great euphoria, the easily spilled promises that this people must not be let down, that they will live well in Croatia, that the new government will not be covered by the alibis and errors of the last government and that the coalition will answer itself for the mistakes it has committed. But let's ask ourselves today if that's the case. The time for collecting results and collecting errors is ahead of us, a few today and the Parliament will disband and we will finally welcome that election date as a privilege that few people in Europe have. Unfortunately, we still don't know the date and we don't know it because the government itself didn't properly assess whether it was successful and whether it took another month or two to confirm its success. For some funny, for some sad. In democracy, however, it is obvious that it is allowed. Because old people say, cheating on everyone around you can make you cheat on yourself, son. I'm thinking about the government here, and I think that's exactly what's gonna happen to them. What we have witnessed in the past four years when we talk about the relationship between local self-government, state or state. politically known as the concept of decentralisation. In order to be able to make a diagnosis for 4 years of success, we need to look at what the government wrote in plan 21 or re-write it into the government's work programme 2011/2015. On page 60, it says nicely, by increasing the authority of lower levels of self-government, regions of cities and municipalities, citizens' motivation to participate in the creation and implementation of local and regional policies will also increase, as well as real, public oversight of public decisions and spending of public money. decentralisation contains a strong note of further democratisation and liberalisation. Our goal is to catch up with developed European Union countries, which are distributed to regional and local communities by 20 to 25% of their public finances. The decentralisation of budgetary positions is one of the real and feasible requirements. So it writes further, regional and local self-government will have powers in spatial planning, governance and space management, in measures to implement environmental protection and implement the principle of sustainable development and counties and significantly greater resources to successfully realise their co-ordination functions for implementing social standard equation measures and to encourage more balanced regional economic development. It was written by the SDP, voted by the majority in the Croatian Parliament. As it is done, here you have a bill of law before you to see how the counties are additionally funded, how we got to these 20, up to 25% of public finances in part of the regional and local community. For us in HDZ, it is only part of the false promises that this government has served Croatian citizens and in reality it has done absolutely anything or nothing or damage to local self-government in particular. When it comes to the relationship of local self-government-state we can freely determine that he was never worse. Local self-government is seen as something marginal, unnecessary, something that should not be discussed and something that should not be negotiated if it is in the HDZ municipality, the Croatian Democratic Community. If the associations of municipalities, cities and counties are led by members of the HDZ then no draft law proposed by the Government should be discussed with either those associations, namely local or regional self-government. That's not an accident. This is the result of one boast of the authorities and those who make up it, which is noticeable in all possible relationships. Is there any institution in the state, any social group with which the SDP government has not come into conflict, and it has come because it does not want to talk and that the conflict has become our daily reality. That this relationship would not be good between local self-government and the state was visible, but at the first session of the Croatian Parliament when the government began to crack down on the previous democratic achievements and rules set to form the government at all. The famous Lex Komadina was a demonstration exercise for all that followed in relation to local government-state. They passed laws that introduced instability into local self-government, which was evident this year by early elections in 20 local self-government. Since the new completely illogical division of statistical regions, the same level of support to the economic operator in Vukovar and the City of Zagreb, so as to amend the laws that imposed new obligations on local self-governments, the Preschool Law, and the laws that touched the incomes of local self-government, so that laws that almost expired the assisted areas, islands, mountainous areas and PPDS. It is a disgraced mountain-mounted law in which the only privilege remains to free harvest forest fruits. So the Regional Development Act, the Economic Areas Act, the Law on funeral services. The peak of hypocrisy is the amendment and addition of the Income Tax Act and those famous 2 billion kunas to local and regional self-government. In the adoption of these laws... in non-communicating with associations of municipalities, cities and counties forcing the principle of the universal and unique mind of this government which is sufficient for itself to lead and lead to dissatisfaction with regard to the local self-government-government of the Republic of Croatia. What could have been the result of such a relationship? The result is the general dissatisfaction of local and regional self-government leaders towards the government and even within the same option of the Social Democratic Party. I don't need to mention what the mayor of Rijeka, the mayor of the coastal-goran. Today, everyone is just in a way and in a fight. In the local elections in 2013 and this 20th election in 2015, precisely because of such a policy, the SDP suffered a major defeat. What does stubbornness, haughtiness, combined with ignorance and incompetence? A year ago in this house, we discussed a set of laws concerning regional development and funding of local regional self-government. At that time, as we speak today about this law, we have made it clear that by passing such laws, the government is doing damage to local self-government and regional self-government. They couldn't be stopped. I remember how many times I said here assisted areas are areas that deserve help, that's just the word talking and we can't take away their funds. But on the other hand it was heard this is just, this is the best, this is what we need. Today we hear a deputy who says only now is this just and long-term. When they returned to our positions it was only now that it was just and long-term. I remember their promises, we're going to look at the development index that everybody's cutting into, we're going to introduce some new possibilities through that index, but it's been over for a year, everything else is on the old one. When did they start? They started the moment the leaders of the mountainous municipalities were most affected by this law and the legal package came to the square before, St. Mark, ahead of the presidential election. It was then that the government began to resolve it in its own way. The close people themselves have resolved in a way that offers them immediately some contracts, and the environments in which they were independent or HDZ have come here to protest on behalf of all Goranes. Today, we need to discuss the urgent procedure of the Law on the financing of local self-government at an extraordinary session in order to welcome the new assembly of the Parliament, the new government of the HDZ and the coalition, and the date of application 1.1.2016. A long time ago I said here in the Parliament that who knows, knows, and who doesn't know he was sitting in this sixth most incompetent government of the world that is in the company of Chad, Mauritania and other countries. What do we need to discuss? Re-playing the authorities with the funds of local and regional self-government, and amending Article 45 is proposed for the distribution of income taxes to areas or cities which, according to specific regulations, have the status of mountain and mountain areas. Now that we've warned them not to take money from mountain-mounted areas I say once again, they've answered us it's just. Today they claim it is fair to pay back 58 million kunas, but in these 58 million kunas, we are bothered by what they have done again, which is that 12 million kunas have taken the counties in whose areas are mountainous and mountainous areas. It's not right, if you took everything, you could have taken it all back. It would be acceptable for us in HDZ to vote in favour of this law. Now why is it urgent to return these funds? Is it because of the election or the policy or is it really the government's intention to make us all feel better? I say it's for the sake of choice, for the sake of the bad situation in that coalition, it's doing VII. the electoral units at the most, and that VII. The constituency includes part of Zagreb, part of the Primorje-Gorski County where the largest part of Gorski Kotar, Karlovak County and part of Zagreb County. I say mountain cotter is the largest part of that mountain-mounted area and should be picked up or bought by the elections because it's clear to everyone that a great defeat is smiling, so let's sort of ease it up. It is allowed in democracy and it may have happened so far and it is not illegal to do so. This government is doing it now. It's not surprising for us in HDZ because we're watching contracts, let's say yesterday for the construction of a hall in Međimurje are signed on the hood of a journalist's car. The Minister of Education signed a contract to build a hall on the hood of a news car. Obviously, the time comes when ministers must be wearing stamps in their pocket and after they have started drinking, plowing, cleaning, giving, going around in advance saying we are not in the campaign it is clear that there is a dynamic period in which those who have deceived us as citizens will convince us that we live better than we feel and can. And to live like that, you have to take credit. When you take credit, it's a period in which, like this government of ours, you convince yourself that you're successful, that you live beyond your means. Because raised 100 billion loans, increasing public debt by so much in these four years means spending almost 5 original budgets of the Republic of Croatia in four years. And in the end, you conclude that everything is growing. But yet it only grows what they single out. No one talks about the growth of new jobs when employees are less. No one is talking about the growth of the number of blocked and their debts, the growth of the number of Croatian citizens evicted, the growth of public debt, the growth of the number of deaths relative to the number of born, the growth of the number of parties provided by public companies, the growth of the cost of life, the rise of prices in all areas. Such a growth of unknowns is for this government and government. How they made their strongest promise to win the election. We all remember that promise. GDP is growing 5% at the end of the mandate, the debt will be 60% of GDP, the deficit will be 3%. That's what Kukuriku promised in 2011. Today, the deficit is about 6%, meaning twice the promised, 90% of GDP, and GDP with 0.5 growth is ten times lower than promised. The peak of some unbelief and hypocrisy we could see yesterday. One party here for 4 years was an opposition, which cut every decision of this government, which almost vomited on every decision that fought with the president, with all of them suddenly becoming a member of the coalition. They filed criminal charges, raised them to the prime minister, threatened criminal charges, because I don't know how to pay or what. Yesterday we're watching everyone in the coalition. Apparently, the prime minister, who for four years resented populism, was also able to infect them with this populism, and now everyone in the coalition is obviously a populist. Obviously, a broad socialist alliance was created, and as far as the ruling one is concerned, we can go to the elections. It is up to us in HDZ to warn the citizens that this year Santa Claus is coming a little earlier, he started early in the year, and gifts will be divided into elections. We warn citizens that these gifts they receive are not free, that some will probably be charged by next year, and one major part will be on long-term payments with certain interest. If a minister you couldn't see anywhere for three and a half years, and now you meet him, to tell you, trust him if he says he's not in a pre-election campaign because really, who would believe today that the ministers are with all their successes and failures, with all their campaign promises. Thank you very much. [[Intruder Zgrebec: Bring the end.]]
ParlaMint-HR_2015-09-09-0.u117944	We're moving on to replicas. Tomislav Klaric.
ParlaMint-HR_2015-09-09-0.u117945	Dear counterpart Boris, when I asked for a break here in the Parliament just over a year ago, protesting a law that has removed the status of mountain-mountan areas to the units of the local self-government of the Gorski Kotar. At that moment, I thought exactly what you were saying was that the government was arrogant, and then I just realized behind it, and this current bill is just proof that this government has no idea what it's doing, that it's doing it unconsciously and that it's clocking, it's doing the laws, and it's doing huge damage not only to Gorski kotar, but to the whole state as well. Some 3, 4 decades ago, when tractors, pluggers started and the Gorski kotar became more of a place where there were no jobs, smart people designed a whole series of factories, furniture, sawmills, everything else to keep those people there. What is this government doing? While the previous governments built highways, connected the Gorski Kotar with Rijeka and Zagreb, when they created the preconditions that this beautiful part of Croatia, Switzerland as someone can say it nicely develops this government takes these units of local self-government not to care for our warnings, benevolent not political, not HDZ, I don't know what kind of but purely benevolent. People, don't do that. The mountain cotter is moving, there are no jobs, young people are leaving and this government is taking away their funds. And only now, after a year, does the same injustice again, not listening to the well-meaning ones again, return to them what you took from them, and that's what we agree. But don't take the county, the county that covers it undermines, and that's exactly what this government does. If the state budget took these 58 million kunas, let the state budget and return them, and the units of the Gorski Kotar lost a year.
ParlaMint-HR_2015-09-09-0.u117946	Thanks, buddy. Time's up. Josip Boric, answer to the line.
ParlaMint-HR_2015-09-09-0.u117947	Thank you very much. My colleague Klaric, I say we have clearly warned about the problem, we know why the relationship is like this, the government has not communicated with the County Association, imposed such a solution as it has imposed and what I simply say is not acceptable, because the state could find those 12 and a half million kunas and return what it had taken from them through previous changes in income tax. What do I say about regional development policy? Yesterday I say I see a minister who signs a contract to build a gym on the hood of a car and then by the way says we're not in a campaign, I came here for my job. For three years now, I and my municipality have been trying to come up with a solution or any solutions with the state regarding the construction of a sports hall, given that in my municipality, the HDZ government is not alike, we must not get close at all. Some competitions that should have been called I think it's a 7.4 measure if I'm not mistaken are not, where you can get some, several million kunas you can't and we've come to the end of the term. Unfortunately, the most injured in 2015 were mountainous municipalities and cities, and they made it clear, even preparing a law called the Law on Gorski Kotar, and they gave up. But as far as we're concerned at HDZ, I say we'll be restrained around this law. It is acceptable for us to repay these 48 million kuna funds. 58 all together with these local self-governments, but we disagree with this part of the county. As HDZ, we have prepared our legal solutions that we will also apply to the mountain-mounted area, the PPDS and the island by coming to power because there are also various other activities that need to be dealt with legally. These are parafiscal inducements, it's winter road maintenance, it's encouraging the economy of small and medium, it's joining those who produce indigenous products etc.
ParlaMint-HR_2015-09-09-0.u117948	Thank you very much. Ada Damian, replica.
ParlaMint-HR_2015-09-09-0.u117949	I thank the esteemed vice president. You tell my friend Boric we're changing the laws, we're supplementing, we're correcting, we're changing the route, you said five, we're changing the route six times. So no matter how many times the route changes, it's important to get to the finish line, and this government's goal is a improvement for all citizens. It's visible that you're bothered by every success of this government. After the chaos you've left behind and the misery you've dragged us into every shift towards a better one is success. This government treats all units of local self-government equally, not selectively. So I think my colleagues from the island will tell you very well while you were secretary of state how you treated some units of local self-government and some motherhood. You're saying because your unit of local self-government of HDZ can't reach the minister. Well, I don't think it's true, you could have come to any minister because the ministers were available on the ground. I'm sure if you called the minister, he'd come to you, and he'd certainly listen to your problem. I repeat, our ministers and our government do not treat local self-government units as selectively as you did. You also mentioned the loans that went up. Well, it's true, the loans were up, I'll say as well as the experience of local self-government when you get to zero phenomenally. But when you come far into debt below zero where you left us, then you need not one mandate but two mandates to correct and return everything that you have assigned us. That's why the loans went up. It is clear that as an opposition you are trying to offend every success but voters know and see, the voters clearly told you in the past elections no and did not repeat HDZ.
ParlaMint-HR_2015-09-09-0.u117950	Time. Josip Boric, answer to the line.
ParlaMint-HR_2015-09-09-0.u117951	Thank you very much. My colleague Damianac I told you what your prime minister promised in 2011, do you want me to read it to you one more time? So after that great euphoria, promises were made that this people must not be let down, that they will live well in Croatia, that the new government will not be covered by alibis and mistakes of the last government and that the coalition that commits the mistake will answer for it itself. For 3.5 years, you have insisted that the HDZ is your fault. That's not why you were chosen by the citizens. Citizens punished this HDZ if they recognized mistakes, and it was up to you to correct these same mistakes and to come before them with these new solutions and successes. If chaos was inherited, the question arises: what are the arguments that generated such chaos when we closed all chapters from 2011 and negotiated everything we needed to join the EU. So the EU didn't accept us in chaos, did it? And you, as an opposition, have also played a very important role in that famous committee that was supposed to be together with the ruling National Committee on Negotiations, and have always taken credit for how you too are responsible for this EU entry and the creation of this chaos that you are now talking about. Well, that's not working with each other. Get rid of these chaoses more because you didn't inherit chaos, the government's handover was legal, they all got their papers neatly, and we'll see what happens now that you're out of power. You all know it's not the same. So this minister wouldn't have signed that contract there in Međimurje County. I personally say I took care of everyone and assisted areas, the islands went differently and developed at that time than in the last four years, and that's what everyone on the island will tell you because there's no need for me to brag about it.
ParlaMint-HR_2015-09-09-0.u117952	Marijan Škurić, replica.
ParlaMint-HR_2015-09-09-0.u117953	Thank you very much, Madam Vice President. My dear colleague, of course, when you started this debate, you talked about everything but this law. And I've said it many times, but I'm really starting to believe in aliens. Because something like this can only be said by someone who falls most likely from Mars and wonders what we now have in our country. But I'd go back to what you said, a few things. The first thing you said was that there was never a worse co-operation between the state and the local self-government units and that, of course, it is now the maximum view of blood cells count and who is who. I've been mayor since 2001, and believe me, I'm not going to tell you everything I've experienced since I came to the Ministry and the agencies where you've been, among other things. So what it is today is honey and milk according to what HDZ was doing. I couldn't get any kuna because it was from a certain gentleman... that he can't do anything for us, especially for the external counties and the north of Croatia. [[The speaker doesn't understand.]] And if it hadn't been for 2003 the Law on the Mountain and Mountain Area was passed where the budget of 3.5 million kunas that Lepoglava had raised to at least 5.5,6 million kunas would have been completely in the dust today, mud, without jobs, without everything. But thanks to the city's innovation and the turn towards the EU funds that I've turned to, we haven't turned our backs then we've succeeded, I've managed my city that I'm running. That we invested more than 50 years ago. So much so that this government and the previous government can specifically say about it. I couldn't get a square metre zone, nor support for the zones, nor for the municipal infrastructure, I couldn't get anything because I was directly told by Croatian Waters, Electricity, Ministry you won't get it while we're in power.
ParlaMint-HR_2015-09-09-0.u117954	Thank you. Josip Boric responds to the replica. ... Get out of the assembly and discuss it. [[You can't hear the intruder.]] Please allow your colleague to respond to the replica. ... A fellow Shuker. [[You can't hear the intruder.]] Here you go.
ParlaMint-HR_2015-09-09-0.u117955	Thank you very much, Madam Vice President. Dear colleague, thank you for saying that I fell from Mars. Here I could answer that, maybe it's time to introduce in this House a nonsense speech unit that could be called One Skvarić. But that would be saying too low then because you explained the successes of this government on your own example. I unfortunately cannot explain the successes of this government on my own example. You can't come, no one will see you if you happen to find someone lower there you can get one promise, so they tell you what's little I promised you, go ahead and wait for the end of the term. And that's it, and let's go to the election and the people will say what they think of this power. You don't have to explain it on your own, you'll explain it, if you're a successful mayor and you're still a successful mayor and it's too much to deal with the government, at least this one I don't think is. It's more up to you than to this government. And I congratulate you on those results you're getting in Leprechaun. Thank you very much.
ParlaMint-HR_2015-09-09-0.u117956	Josip Djakic's replica.
ParlaMint-HR_2015-09-09-0.u117957	Thank you very much, Madam Vice President. Well, fellow Boric, you were talking about how neither alliances nor communities nor cities nor municipalities or counties are respected, that there is no real reason for these institutions which are and which concern this law. If they were there, perhaps because of the political games of HDZ, so they are not appreciated, I would agree, but I will explain to you certain things they say from Krapina-Zagorje County, from which the Primorje-Gorski County and the Varazdin County say. So I wonder who's out there in power, how did the mayors react to this law? And they say this: "Re-declining the original revenues of the county directly challenges its role as a unit of the area i.e. Regional self-government defined by the Law on Local and Regional Regional Self-Government and violates the European Charter in local self-government. In view of the above, the County does not support the draft law in question. Mayor Željko Kolar from Krapina-Zagorska." Equally from Primorje-goranska, also from Varazdinska with the signature of Mayor Predrag Škromar. If these people don't respect who the ruling coalition is, in fact, the mayors and members of the ruling coalition's parties, who made it clear that this law is not right, I don't know who you are then, who the government and the Ministry of Regional Development have advised, who they have agreed with, and what decisions have they made when these people wrote that they absolutely disagree with this proposal? To agree with the return of what has been taken back to mountainous and mountainous areas, but the county is questioning their functioning, their further development and funding of projects that have already been nominated.
ParlaMint-HR_2015-09-09-0.u117958	Time. Josip Boric responds to the replica.
ParlaMint-HR_2015-09-09-0.u117959	Thank you very much. Well, dear fellow Djakic, first of all, it's unusual for us today to have this financial law, this law from the Ministry of Finance defends someone from the Ministry of Regional Development, this law has always come here to defend people from the Ministry of Finance because they write it. Which is why we didn't hear it like that today and we don't know why. That we are right when we talk about the relationship of states and associations testifys to the time when we were the government until 2011 when, for example, the Association of Cities led, for example, the Mayor of the City of Rijeka, was very loud and had to be very careful about what was said, there were always compromises and laws passed. Today, your country comes to you with its final solutions, and why is that? Because the simple party interest has become the primary, general good quite secondary and they rise above the general state, above all and share their policy, lead their policy in the way the party thinks. I don't think they need these spins, this adornment because their members themselves like you said are being denied. What am I supposed to add to that now, except to tell them that simply gentlemen, this is the end of the hour now, not a little break. You have spent your mandate and no spins and beauty, you simply don't need them because you will have citizens, they will have their opinions and will say it clearly in the elections. You don't need to get too much of it, I'm telling you to beaucoup because the facts tell you something else.
ParlaMint-HR_2015-09-09-0.u117960	Damir Little Replica.
ParlaMint-HR_2015-09-09-0.u117961	Thank you. Well, Mr. Boric, it's hard to respond to your exposure when it's so political and so pre-election that it's actually a simple pamphlet. Obviously, as elections get closer to the criteria for you in HDZ are such that whoever's throatier, it's more rude for a pay phone that his place on the list is safer. You mentioned that this government deliberately halts the development of municipalities where HDZ is in power. The proof that this is not the case is precisely these regional laws. In these laws, there are 200 units of local self-government in the Republic of Croatia, the poorest municipalities and cities. So this new distribution of income tax for the first time entered the assisted areas, their budget increased by 20% to 40%. 90% of these units of local self-government are HDZ municipalities and cities, 90%. So you're not telling the truth. Furthermore, your systematic concern for Gorski Kotar, how systematically it proves, and the fact that you were when Racan's government passed the Law on Mountain and Mountain Areas that HDZ voted against the law. What's the ex-wise thing? And finally, when you mention the hoods and the signing of the contract, that contract will be realised, and you, Mr. Boris, signed contracts not on the hood of the car but at the full table of lambs for projects that have never been realised. Thank you.
ParlaMint-HR_2015-09-09-0.u117962	Josip Boric responds to the replica.
ParlaMint-HR_2015-09-09-0.u117963	Obviously, we came to that level and the SDP didn't simply need to form some team that would think about the economy, some team that would think about development. They formed within their structures a team that should spit on everyone who doesn't think the most about HDZ, on HDZ members, on colleagues in the Assembly, and you've done it very skillfully and it's a good way to go to defeat because if you think it's directed to you to move on. I've never signed any contracts before lambs in my life. These are your lies, your lunches and your inventions to be convincing because what you saw yesterday and probably you were uncomfortable. The minister, however, is a minister of education and sports and when he signs one contract to build a single car's hood hall looks really below each level. I put it as an example, I didn't mean to offend anyone about how things are going and what needs to be done. To everything else you've talked about how you've done something for these municipalities and cities and I say the results of the local elections have told you everything, the results of these next elections will also tell you everything because you're going to have to go down and you've already landed in that base, that field you ignored for 3.5 years you haven't noticed it, and the people will tell you clearly he's formed his opinion. You can't show up in the last few months and say here we are now here to share your Christmas presents and go to the election. Allowed in democracy but not something to pass. Thank you.
ParlaMint-HR_2015-09-09-0.u117964	Miss Plancic, replica.
ParlaMint-HR_2015-09-09-0.u117965	Thank you very much. Well, fellow Boric, I've been here for months, and today I've been listening to you moaning over the position of local self-government and us islanders. You point out that this government allocates less and less resources to local self-government and that it does so on a party key. The truth of money is less, but we all know why because money is less in the budget. But here I am a living witness as just you as the Secretary of State for the Islands deployed funds when there were far, far more. So little data, in 4 years from 2008 to 2011, only from your Ministry of Rab, of which 90% of the Municipality of Lopar was allocated 61 million kuna, at the same time to Vis 6.5 million kuna and Hvar 5 million kuna. When other ministries of Croatian forests, roads, water and the Environmental Protection Fund are added to this number, data are even more drastic according to the report on the implementation of the Island Act, I would say scandalously. And so while you're in Lopar with state money... the tennis courts on Hvar we couldn't get a lip for the only and first nursing home that didn't even exist on that island. You see, such an eclectic distribution on the local and party key, we can't accept it, and we'll do everything we can to make sure it doesn't happen again. For your information, this government and the ministry recognises and implements real priorities, and that is why we in Hvar will very quickly open this nursing home regardless of the opposite political option that is in the city. There's so much about your credibility.
ParlaMint-HR_2015-09-09-0.u117966	Josip Boric responds to the replica.
ParlaMint-HR_2015-09-09-0.u117967	Great, and the time has come. I know when we talked that we talked differently when you were mayor, but it doesn't matter. All policies allow and all the wrong figures to be presented. I'd really like to see what 60 million kunas are worth in the municipality where I live, and it's been built. That's what you've added to half of it, what tennis courts. The tennis courts worked if you want to know exactly the government of Ivica Racan through the assistant of the former in Pag, Novalja, etc. Which I didn't get along with, and I have no idea what it was all about being funded by some government at all, but good. It was tennis, okay. What you're saying is a lie. Secondly, as far as you're not dividing by the political key, so look at the 2013 reports, so where those money went from all the ministries, so I think it exists, so we won't lie. I've set an example, maybe that's obviously what hurt you, but that's just the way it is. Ask the local self-government, the leaders why it's like that. I see there's a division in you, there's a dose of panic, but it's allowed you in pre-election time, I know it's hard to admit now that there's been a lot of mistakes, that what the government has promised, and now somehow it needs to be clouded. We simply say we can keep applying to you that famous saying of the gentleman... who said we lied to you during the day, we lied to you at night because we simply had no choice, we messed up, and somehow we should come to the elections.
ParlaMint-HR_2015-09-09-0.u117968	Sasha Djujic, replica.
ParlaMint-HR_2015-09-09-0.u117969	Thank you, Madam Vice President. You told your colleague, Boric, that this government is the worst government in the world, that you were wondering what the results of this government's work were after the last 3.5 years. Well, the results of this government's work after 3.5 years of the worst government in the world, as you say GDP growth, the country's exit from the crisis, rising personal consumption, growing exports, growing investments, growing industrial production, rising wages, unemployment. You're talking about emigration, only in this year, through the Youth Guarantee measure, has 70,000 young people employed up to 30 years of which 36,000 indefinitely. This government finally solves the problem of debt slavery of our citizens who have loans in the Swiss franc that your government has not dared before, what you have ignored. Today you stand for some kind of Montenegrin model, Montenegro in which only 600 citizens of Montenegro have loans in the Swiss franc. You're asking that, yes, that fellow Shucker, don't be nervous, all right. You said this government did damage, and what damage has your government done in the last eight years until we came to power, what have you forgotten? In your vault, the tunnels were painted three times. Your head of customs ran around Croatia with black bags and stole money. State-owned companies served you as an ATM. Air conditioning, no air conditioning, you were all ministers in that government, no one saw anything, no one called. I see everything, don't worry, colleague Shuker. You're talking about saying lies, lies, lies and your motive was stealing, stealing, stealing. But fortunately there is no going back to the old, we are going forward and Croatia is growing. I know it's annoying for you, not to be happy with the good news, we've been seeing anxiety with you these last few days, but don't worry, the citizens can see what's true. Thank you very much.
ParlaMint-HR_2015-09-09-0.u117970	Josip Boric, answer to the line.
ParlaMint-HR_2015-09-09-0.u117971	Thank you very much. All right, it's all right. He's all right. I mean, he's listed on that HDZ spit team and his colleagues from the Parliament. ... [[Intruder: Please, let's save our nerves for future days.]] Yeah. [[You can't hear the intruder.]] I guess that's the way it is, and it's an honor. And you need to know and endure and you need to accept it. I'm saying, this team is obviously some speciality that we're going to go to the polls with, you know, as a member of that, you've probably already caught a beat, and it's an honor. As far as these stories of yours are concerned, you can tell them. But I said in my debate that cheating on others might happen to you to fool yourself. That's what's gonna happen to you. It is not a people foolish, nor a people who do not understand, nor a people who do not see. He gave you a chance, I told you, it's the opposition's task to prepare and criticize for four years and come to power. And the government, the position, it has to do projects, show the citizens what it's done to make them live more successfully, to live better, to live better, and to get to the polls with it. Everything else is games, media spins, etc. You're going to say, explain what's growing. I said in my debate and explained what's growing the same but you don't mention it and it's politics and it's allowed. But that you're going to get the election to go back into some past and again someone was guilty of going against your prime minister who said that all the mistakes you're going to make in your term are your mistakes, if you've listened well. And now we see that they obviously weren't yours, but they're always someone else's. And that's where we have to go back deep into history or back in the four years that I've explained to you that Communism was born on a lie, lives on lies, and dies on lies. You understand? And the methods you use are similar, same. But that's what I'm saying in politics is allowed, politics is allowed, and just keep it up.
ParlaMint-HR_2015-09-09-0.u117972	Tomislav Žagar replica.
ParlaMint-HR_2015-09-09-0.u117973	Thank you, Vice President of the Croatian Parliament. Dear counterpart Boris, you said in your debate that there is no institution and association with which the Government of the Republic of Croatia is not in conflict, so I think I heard you. So in this context, you talked about changes to the laws that the government has often put in the process, and that something is not as good. However, you know well that about any amendments to the law, every law that has been in this House has been opened public debate and the public has participated in these public debates. And I witnessed that many of the proposals were included in the proposals of the law. The second thing is that you as a position didn't use the possibility that you were making your proposals to improve those laws. As far as the development index is concerned, I will again point out, and for the 99 units of local self-government in Slavonia it is a good measure and ultimately the units and in the area of my county were 6 they entered into the process itself. And let's not forget, except for the local self-government units, there are citizens. In particular, at the return of taxes, the citizens felt benefit and now add it up for 10 or 15 years multiply by how many of these, the population of these units were damaged. You said, of course, something like this, everything's growing, and I'm not going to repeat it now after my colleague, Djujic, and he said what are the measures that are growing, but, you know, it's not all growing. One thing does not grow and it is an external trade deficit that is extremely important for the development of the economy and it is also according to the State Statistics Institute and in the first 6 months it has fallen and it is extremely good news. So what's good news, should make you happy. And I hope that you too are looking forward to Croatia coming out of recession and that the citizens will finally live better. Thank you.
ParlaMint-HR_2015-09-09-0.u117974	Josip Boric, answer to the line.
ParlaMint-HR_2015-09-09-0.u117975	Why don't we look forward to it? That doesn't mean we can't say something critical. It's your feeling that we're not looking forward to it or that we're deluded by what you can say. Then I should return in 2011 to the Vice-President of the Parliament who also reacted to a two-quarter growth that it was funny, that it was funny and that these are more or less similar levels and that he urgently requested the prime minister's resignation at the time. Was that a hand to it, then? No, I don't. You went to the election with your program. Then you spoke of no growth, then you said that Croatia is a nice role model if I remember well. Now Croatia is growing, so we'll see where it ends by evening. It just can't undo what I think about this law and I warned about it a year ago. And if we have no right to say that we have then warned that you are not doing it and that it is not good for them, and you now understand and return after a year, so it is your right. We claim that it is a gift from Santa Claus that started there at 1st, 2nd month and moves all over Croatia and shares. And it's okay, let him share. But I told the citizens to be aware that one part of it might pay by next year and a large part through those 100 billion public debt to the wars, perhaps their grandchildren. These are facts that you don't talk about because they don't fit you and you just think they should be ignored. What I notice among you, among your ranks are statements made by people who were part of you or are still part of you. And one mayor says your membership is abandoned, your politics is inconsistencies. And the former president you rewarded with $4 million says alive for the day when the SDP will become a barrier to positive change. Well, you invested $4 million in it, not HDZ. When he says that and what am I supposed to think? What am I supposed to think? Well, you voted for him.
