ParlaMint-NL_2019-05-14-tweedekamer-21.u1	The first speaker is Mr Paternotte on behalf of D66.
ParlaMint-NL_2019-05-14-tweedekamer-21.u84	Yes, I understand. Let me be clear: can the Minister also imagine an Aviation Note without clear limit values?
ParlaMint-NL_2019-05-14-tweedekamer-21.u85	Not all these aspects can easily be quantified and expressed in limit values. For example, we have just had a very extensive AO and a VAO about safety. You can't take that into one limit value. There are a lot of aspects to that. So you can't translate all that one-on-one. But where that can be done, we are going to examine with each other what is realistic and desirable.
ParlaMint-NL_2019-05-14-tweedekamer-21.u86	Therefore, where it is possible and where it is realistic and desirable, limit values are possible in terms of climate, living environment and safety. That's how I read it.
ParlaMint-NL_2019-05-14-tweedekamer-21.u87	We are going to have that debate with each other in the framework of the Aviation Note. That's where all these questions come together.
ParlaMint-NL_2019-05-14-tweedekamer-21.u88	Mr. Van Raan, would you hold the motion?
ParlaMint-NL_2019-05-14-tweedekamer-21.u89	Well, the annoying... What the Minister is doing here is actually quite special. She's dissuading the motion. There is therefore a good chance that the motion will be voted down, with the result that the Minister may no longer feel bound to include clear limit values in the aviation note.
ParlaMint-NL_2019-05-14-tweedekamer-21.u90	I ask you to hold the motion.
ParlaMint-NL_2019-05-14-tweedekamer-21.u91	Yes, the Minister made that request to you. You can still think about that. The Minister continues her speech. We are now at the motion in part No. 601.
ParlaMint-NL_2019-05-14-tweedekamer-21.u92	The motion in part No. 601, also from Mr Van Raan, calls on the government, pending the NLR investigation, to include at least the lower limit of the bandwidth in the aviation statistics. I would also advise against this motion. There is still a great deal of uncertainty, including about the knowledge about this. An investigation is under way, including at European level. So we really have to wait for that. The motion in part No. 602, also from Mr Van Raan, asks the government to establish a CO budget for the aviation sector that fits within the 1.5°C target, so let me just say. The possibilities for this are indeed being studied. That's what I've exchanged with you before. So I would also like to request that the motion be held and that you wait until you receive the draft air transport note.
ParlaMint-NL_2019-05-14-tweedekamer-21.u93	I see that Mr Van Raan wishes to continue this motion.
ParlaMint-NL_2019-05-14-tweedekamer-21.u94	Fine. Then I come to the motion on part No. 603. It's Mr. Amhaouch's hand. It invites the government to make concrete agreements on an ambitious roll-out of electric taxiing at least at airports of national importance and to inform the Chamber in the draft Air Transport Note in the further development of the draft Sustainable Aviation Agreement. I'd be happy to admit that I'll give that a place in the Aviation Note. I can give the motion judgment room.
ParlaMint-NL_2019-05-14-tweedekamer-21.u95	Judgment Room. I know you want to ask me something, Mr. Laçin, but we're not gonna do that. This is a judgment on Mr Amhaouch's motion. I understand why you want to say something, but I won't allow it. I want the Minister to continue her speech. We're running very late and we're having a long debate tonight.
ParlaMint-NL_2019-05-14-tweedekamer-21.u96	But this is really about the trial, Mr. Chairman. On all the other motions, the Minister says it's too early and we're still in the run-up. We can't talk about it until we get the Aeronautics Note. But this motion, which also precedes the Aeronautics Note, is judged Chamber. I think that's really weird.
ParlaMint-NL_2019-05-14-tweedekamer-21.u97	But I can explain that very well. On the other subjects I have already promised that it will be given a place and that we will look at it in the Aviation Note. That's what we're gonna do. I just can't set any precise limit values or anything like that. This is a new subject, of which Mr Amhaouch asks if it can get a place in the Aviation Note. I don't know how that goes, just like the other subjects. I also give the motion only judgment Chamber because he asks for an ambitious role to be played, no more and no less. The motion in part No. 604, by Mr Laçin, the government calls on the sector to come up with a new sector plan with an ambitious CO reduction target based on current emissions or a moment in the past. I should like to advise against this motion, because I am also talking about the targets and measures at the sustainable aviation table. You will also see this in full form in the vision of the Aviation Note. We have already discussed this in detail in the AO. The motion in part No. 605, by Mr Laçin, requests the Government...
ParlaMint-NL_2019-05-14-tweedekamer-21.u98	What was your verdict on the motion in part No. 604?
ParlaMint-NL_2019-05-14-tweedekamer-21.u99	Dissuade.
ParlaMint-NL_2019-05-14-tweedekamer-21.u100	Dissuade, yes.
ParlaMint-NL_2019-05-14-tweedekamer-21.u101	The same applies to the motion in part No. 605, which calls on the Government to include in the Aviation Paper only plans that will reduce CO emissions. I don't know yet exactly what plans are going to be in the Aviation Note. So I cannot promise that there is no plan in it that might not produce a little more CO emissions.
ParlaMint-NL_2019-05-14-tweedekamer-21.u102	The council is just clear. They have said in the technical briefing, which was held on the same day as the second term of the Sustainable Aviation Agency, that from now on, aviation must only make absolute reductions. Does this mean that the Minister is rejecting the Rli's advice?
ParlaMint-NL_2019-05-14-tweedekamer-21.u103	The Minister certainly does not reject the opinion. We're studying it carefully. I'll come to you with a response. The motion in part No. Mr Dijkstra asked the government to provide the Chamber for the summer recess with a clear overview of the above mentioned cost items for the past and next five years. If Mr Dijkstra is holding on to 'before the summer recess', I must advise against the motion, because we are not going to make it. If he made it "before the end of the year," I could give the motion judgment Chamber. Otherwise, it's too fast.
ParlaMint-NL_2019-05-14-tweedekamer-21.u104	Mr Amhaouch, this is up to Mr Dijkstra, because it is his motion.
ParlaMint-NL_2019-05-14-tweedekamer-21.u105	Mr Amhaouch has also said something about this, so I understand.
ParlaMint-NL_2019-05-14-tweedekamer-21.u106	Exactly. What's "before the end of the year"? Shall we make it 'for the budget', so somewhere in November?
ParlaMint-NL_2019-05-14-tweedekamer-21.u107	I don't know exactly when the budget is, but if it's somewhere at the end of November, then...
ParlaMint-NL_2019-05-14-tweedekamer-21.u108	I'd like to modify the motion. How are you gonna do that? Can you do that?
ParlaMint-NL_2019-05-14-tweedekamer-21.u109	You want to file the motion modified. You should do that by e-mail.
ParlaMint-NL_2019-05-14-tweedekamer-21.u110	Okay, fine. Then I will make it 'for the budget' so that we can at least include it in the budget.
ParlaMint-NL_2019-05-14-tweedekamer-21.u111	That's gonna be ambitious, I think, but we're gonna try.
ParlaMint-NL_2019-05-14-tweedekamer-21.u112	Mr. Amhaouch, I have to be strict with you, too. This is a motion by Mr Dijkstra and the Minister has responded to it. And the motion is being changed.
ParlaMint-NL_2019-05-14-tweedekamer-21.u113	That is correct, Mr President, but I had clearly highlighted the accumulation of costs as a concern. The Minister says this is coming at the end of the year, but in the meantime we have a lot of discussions about introducing new taxes, taxes and all kinds of things. So how do we deal with that in the meantime?
ParlaMint-NL_2019-05-14-tweedekamer-21.u114	I think we can promise you that we will have to discuss all aspects of accumulation, which you are talking about, in a timely manner, before the debates in which decisions are to be made. We've seen the new proposal this week. In addition, it is sometimes forgotten that an airport pays for its own infrastructure, for example. I think those are aspects that you would like to see taken with you. Then I come to the motion on part No. 607 by Mrs Kröger. It calls on the government to set an emission ceiling. I'll give you the same response to this. I would ask you to hold this motion because I have indicated that I am currently preparing the EIA plan for the Aviation Note. The option of a CO ceiling, as I said earlier, is one of the possibilities we are considering.
ParlaMint-NL_2019-05-14-tweedekamer-21.u115	I was going to continue the debate on the basis of Mr Paternotte's motion. I find it difficult for us to have a debate with the Minister on sustainable aviation, which is also about the contours of the Aviation Note, but I do not really understand the role that the Minister attaches to the Chamber. The idea is that we have a debate and then we tell the Minister that she has to pay attention here, here and here. That's the purpose of these motions. In fact, the Minister says on all the motions that could do that: you must hold them until the Aviation Note arrives.
ParlaMint-NL_2019-05-14-tweedekamer-21.u116	Well, of course, I have already promised Mrs Kröger that we will take seriously the option of a CO ceiling. But that really requires a little more research. It requires broader consideration. That is what we are making now, in the run-up to the draft Airfaring Note. If it's there, we'll talk about it, of course. I ask you to hold the motion so that you can judge whether I have seriously considered this option and whether I am making the right choice. This is really too early.
ParlaMint-NL_2019-05-14-tweedekamer-21.u117	The Minister continues her speech.
ParlaMint-NL_2019-05-14-tweedekamer-21.u118	Then I'll be at the motion in part No. 608, also by Mrs Kröger. That motion relates to track. It invites the government to identify what is needed on the part of the government, aviation and the rail sector to have a significant part of the journey replaced by the train within two years. And then there's gonna be a whole line. I would actually ask Mrs Kröger to take this motion because the Secretary of State is coming up with her plan at the end of this year and with the broad analysis of what exactly is possible in the context of substitution.
ParlaMint-NL_2019-05-14-tweedekamer-21.u119	I think it came out of the debate that the minister came up with the plan. In the debate it was said that the Minister would come up with a replacement agenda, together with the Secretary of State. What really matters to me is that perhaps the Minister can indicate that she already intends to do so in any case, that there really are quantitative targets in that plan before the end of the year, so: within so many years so many percent of flights. So it should not be a non-binding exercise, because this could just lead to that.
ParlaMint-NL_2019-05-14-tweedekamer-21.u120	That will certainly not be a non-binding exercise. I understand that there may be some confusion about it, because the Secretary of State and I are also fully interchangeable with us at the Ministry, but this plan of action really comes from the Secretary of State at the end of this year. I'll discuss it with her again, but she's the first person to take charge of this plan and the first person to take charge of it. So the request is to hold the motion or else submit it to her again.
ParlaMint-NL_2019-05-14-tweedekamer-21.u121	Then I'll keep these on for now.
ParlaMint-NL_2019-05-14-tweedekamer-21.u122	At the request of Mrs Kröger, I propose her motion (31936), No. That is what is decided.
ParlaMint-NL_2019-05-14-tweedekamer-21.u123	Then I come to the Kröger c.s. motion. in piece No. 609, supported by Mr Paternotte. The request to the government is to make low sulphur kerosene the norm at Dutch airports and to do so in talks with the aviation sector. I also said during the AO that I would like to set this up for the sustainable aviation table, but then we have to see what can and can't be done. You are also saying: low sulphur and not sulphurless, so I do not want to anticipate that. I promised you I'd discuss it with them. I would also like to ask here that it be a bit monotonous to hold the motion because I have a little more clarity on this before the end of the year. In a few months' time, we can discuss this seriously at the sustainable aviation table. I would add that I consider it potentially viable, but I do have to discuss it with the sector first.
ParlaMint-NL_2019-05-14-tweedekamer-21.u124	Would you like to hold that motion? No. The Minister continues her speech.
ParlaMint-NL_2019-05-14-tweedekamer-21.u125	If the motion isn't stopped, it's not recommended. With the motion in part No. 610 is Mrs Kröger again with the wrong leader, who is again talking about kerosene excise duties. That's Secretary of State Snel again.
ParlaMint-NL_2019-05-14-tweedekamer-21.u126	The Minister was really excited about the debate on sustainable aviation. Anyway... On this subject, I have put questions to the Minister and the Secretary of State together. It also has a policy component, of course, and it belongs to this minister, so I ask the Minister to give a written opinion on it together with the Secretary of State.
ParlaMint-NL_2019-05-14-tweedekamer-21.u127	We have a nice conference on this 20 and 21 June, together with the Secretary of State. We are being asked to make concrete agreements with this leading group on excise duties. That's what the rulers who are responsible for taxes do, so I really can't judge this for him.
ParlaMint-NL_2019-05-14-tweedekamer-21.u128	This continues to discourage judgment.
ParlaMint-NL_2019-05-14-tweedekamer-21.u129	Yes.
ParlaMint-NL_2019-05-14-tweedekamer-21.u130	But the Minister can come back to this motion in writing, together with the Secretary of State, because I do not think that the stakes at the moment are being discussed jointly with a leading group to agree on kerosene excise duty. That's exactly what I want a judgment on.
ParlaMint-NL_2019-05-14-tweedekamer-21.u131	The Secretary of State and I have made this divorce very clear in all the debates so far, and I would also like to do so in this case and not make any statements in his area. I really ask you to raise this in the debates with the Secretary of State.
ParlaMint-NL_2019-05-14-tweedekamer-21.u132	Thank you, Minister. This brings us to the end of this continuation of general consultation.
ParlaMint-NL_2019-05-14-tweedekamer-21.u133	On the motions tabled, including the previous VAO, on safe aviation, we are going to vote on Tuesday. I would ask all Members who are still considering whether or not they are holding their motion to conclude that discussion and to report it to the Registry in good time, but that is up to them. I'm suspending the meeting. We're gonna have a dinner break and we're gonna start again at 7:30.
