ParlaMint-NL_2019-06-19-tweedekamer-8.u1	The Minister has the floor.
ParlaMint-NL_2019-06-19-tweedekamer-8.u74	The Minister mentions concrete numbers: a total of around 130,000. The numbers I have are a little higher. However, I am mainly concerned that the regular working stock of the CBR is around 30,000. Now we're talking about 130,000. That's more than four times more, with the problems we're going to talk about later: the medics who run away and the medics who can't be found. How are we going to solve this problem? The working stock has risen tremendously. I would like to know from the Minister how the work stock has developed over the past few months: is it increasing or decreasing in both systems? How are we gonna solve it with the medical exams that go wrong?
ParlaMint-NL_2019-06-19-tweedekamer-8.u75	On the part of the medical examinations I'd like to come back in a moment. I also asked for a plan of action for this. You have quite a point: that is really the heart of the problem. If we do not manage to have enough doctors, but do have a fantastic working system, the working stock will not be reduced. After all, as long as that doctor can't give his judgment, you can't enter that either. I have just given an example, but I would add that these are daily rates. One day the production is much higher in numbers if there are some more easy cases, with the rows of green ticks there very quickly. Then in one day, there's gonna be a lot going on. On another day little comes in and another day more. Those are real daily rates. You can't judge them at the same level throughout the days.
ParlaMint-NL_2019-06-19-tweedekamer-8.u76	We're talking mostly about people, so I wouldn't like to talk about production and daily rates. There are people who really need help. Soon we will be talking about the doctors, because I have asked a number of questions about this, but I am referring to the following question, which I would like to repeat: can the Minister give us an insight into how the work stock has developed in both systems over the last few months, so that we can see whether it is increasing or decreasing?
ParlaMint-NL_2019-06-19-tweedekamer-8.u77	Fine. I can take that with me in the letter you'll get before the summer recess. You will then see how the stock in both systems has developed. In the context of expectations management, I note that I do not yet know how we do that. If you will allow me to show that in a graph, we can outline it to you in broad terms. The most important thing you want to know, I hear, is whether the working stock is decreasing or not.
ParlaMint-NL_2019-06-19-tweedekamer-8.u78	I won't be too faint, but the Minister's math on the working stock was: 90,000 and 40,000 together is 130,000. That gives a bit of a picture to the people who say, "Oh, my file is lost behind the scenes." 'Cause I think you're gonna miss 2,000 out of 132,000. That must have disappeared behind the scenes. But my question is about the Minister's administrative arrangement for the 75-year-olds. How does that number relate to the working stock? I think she'd come back to that. But I have the work stock now and I have just received a number on the administrative arrangement, but I do not yet see how that relationship is putting together. How much of that work stock is now 75 years older and will soon flow out of that work supply? Of course, that's the most interesting thing: how many problems do we solve within the 132,000?
ParlaMint-NL_2019-06-19-tweedekamer-8.u79	I have indicated that the working stock is constantly evolving, because it varies a day. One time this one is really much higher than the other day. The numbers I mentioned have a bandwidth. So you can't really make the sums, because up and down there are some anomalies. That could be in the thousands. I have also indicated to you that we cannot yet assess exactly how many people will be able to benefit from this administrative extension. All over the world, but you can't make a sum of that, I've indicated that there are 200,000. That is a substantial number. If you imagine these people together, four times the Kuip is full of all the people who have been hurt. I think that is a very important number in order to be able to help them. Of them not everyone will be able to be helped, because of course there are people who already had a medical problem; that is perhaps a certain percentage. There may also be people whose license was obtained by the police. You can't pin that exactly on numbers, because we don't know that right now.
ParlaMint-NL_2019-06-19-tweedekamer-8.u80	That's exactly the crux of the story. My point is that this is a bit of a paper tiger. We're a little scared that's already come by... that we're making people happy now with a dead sparrow and that no one's going to be helped at all. The Minister states that the working stock is fluctuating and may be different. Well, the people I've spoken to have been on hold for at least six months to a year. I think that the working stock does not differ so much per six months, because people do not have an answer. How does the minister rhyme with that?
ParlaMint-NL_2019-06-19-tweedekamer-8.u81	That is what I rhyme with each other very well, because I have also informed you that it is not just about helping these people in this category, but at the same time freeing up time and capacity at the CBR to help the other target groups. Of course, I do not know how much acceleration that will lead to, but it is clear that it is getting better and that we can also help those people, for example the self-defense.
ParlaMint-NL_2019-06-19-tweedekamer-8.u82	Let's be honest. I just heard the Minister say that last May there were more people on the waiting list than the number of people who went off there. Well, then I don't have that much faith in it. Doesn't the Minister agree with me? The minister says we're going to clear capacity, but if there's still more to it every month than we're going to go off, we're not gonna free capacity. I assume the Minister also made that calculation.
ParlaMint-NL_2019-06-19-tweedekamer-8.u83	Last May, of course, this arrangement was not in force at all. So you can't take what he's going to do with it. I would also point out that, at some point in time, how long before people are going to apply immediately will end. People may now think: with those 90 days I am not reassured; I am going to start my procedure six months in advance, so to speak. Maybe there are even people who think, "I'm only starting a year in advance." But people are not going to start much longer in advance at some point. So I think that this bow wave is a term that we often use here at some point. But again, this too is of course a topic in the discussion we are going to have with the CBR about this arrangement. Of course, it also has to do with their execution test. I have also indicated to you that if the CBR would tell me that it is not getting any better because of this arrangement and that it is coming from the rain in the drip, I will report it to you. Well, of course we're not gonna do it, but I don't have that expectation.
ParlaMint-NL_2019-06-19-tweedekamer-8.u84	When you just said it was about four or five times the Kuip, I saw a number of people nodding in agreement. So you have calculated that well, but the number is of course partly dependent on the buttons on which you are turning. With the bullets in your letter with the criteria we might think of and which we would use, I can see only one real variable: there should be no relevant driving licence codes with a medical background. So I think that's the button you can dial. Is that right?
ParlaMint-NL_2019-06-19-tweedekamer-8.u85	Well, the buttons you can turn on... I just don't understand how many people fall into what category. Of course, I cannot turn that button on itself, because people have that indication or not, and the driver's license has been recovered by the police or not. There's nothing I can do about that.
ParlaMint-NL_2019-06-19-tweedekamer-8.u86	I understand that, but whether someone's license has been recovered or not, it's very black and white: unfortunately, you don't have a driver's license or you have a driver's license. That's very easy, but of course you can make a choice. You can say: I don't find that medical category A through Z a problem and from Z-A I find it a problem. That's what I'm talking about. So you can certainly send on that.
ParlaMint-NL_2019-06-19-tweedekamer-8.u87	Then we find ourselves in incredibly many additional complications. This will also be very complicated in terms of enforcement. We do want to keep it a little simple and clear. That is exactly what we need to look at in the coming period, including with the JenV Ministry: how do we ensure that as many people as possible can make use of it and that it also remains workable at the same time, both for the CBR and for the prosecution and enforcement?
ParlaMint-NL_2019-06-19-tweedekamer-8.u88	Finishing then, short and pointy.
ParlaMint-NL_2019-06-19-tweedekamer-8.u89	Well, then, rounding it up. Then I expect you to indicate in the letter you send in two weeks' time whether you can at least give an indication of the numbers you are thinking about. Because, of course, we must have a substantial solution. It shouldn't be able to help four or five people.
ParlaMint-NL_2019-06-19-tweedekamer-8.u90	No, I certainly don't expect it to be for four or five people. I just gave you a first rough assessment. I would like to do my best to see if we can fine-tune that in the letter you will receive before the summer recess, but I must point out that, of course, it will always be surrounded by the necessary margin, because different situations may occur in people. But I'm gonna see if we can refine the indication. Mr Stoffer asked about the reporting of the estimates relating to ICT. We have made an agreement with each other about this in the Rijks ICT dashboard. As you know, this happens with all IenW projects above the EUR 5 million limit. That's also the place we're reporting on. So that's where you can find it. You can, of course, use that and you can call me on the budget as well as on the annual report. Ms Van Brenk asked how the approach to meeting the GDPR is going to work. That is also a very important issue. The CBR is in the process of carrying out the activities set out in the plan of approach. It has assured me that it has completed those activities by the end of 2019. The lead time up to the end of the year is partly due to the fact that the CBR had to pick it up over the full width. I think I have indicated to you a number of debates ago that I myself have been concerned about this. I wasn't amused when I found out it wasn't finished. So I really hope that this year will be all right. Because you are absolutely right: it is about vulnerable, privacy-sensitive information. I really shouldn't think that something would go wrong with that. I've already said something about the open system. The CBR has indicated that it expects that around the summer 100% of the new "applications for medical treatment" will also be dealt with in the new system. This is followed by the operationalization of the notification process. That will then happen in the autumn of this year. It is about the communications that come through, for example, through the police. Mr Stoffer asked if the management of the CBR had blinkers when choosing the complex platform. At the time, the CBR requested a wide range of ICT components through a single European tender as usual. Despite this broad application, only a limited number of large market players in particular registered in that tender. If you look at the result now, given the functional requirements and the demands of the past, perhaps a simpler demand could have been placed on the market. Then maybe you could have made a simpler platform. But of course that's always from the now driven. That is also something that we see more widely: the wishes are always huge, but perhaps we should be a little more cautious and keep it a little simpler. Fortunately, it is not a disinvestment, because the new system is indeed... That remains to be seen, I see Mr Laçin thinking. But the system is faster and if everything is in place later, it must produce more decisions in the same effort than in the old system.
ParlaMint-NL_2019-06-19-tweedekamer-8.u91	I don't know, Mr President, but if I go from a budget of 7 million to 38 million, I think maybe I should have chosen something else after all. I do not know, Mr President, but I hope that someone will think somewhere in between: gee, this is getting really out of hand, maybe we have done something wrong and we should start pulling the emergency brake here. How come nothing just happened and we probably haven't finished with the 38 million yet? I'm sure the Minister can answer that. When we look at ZEMBLA, we get a slightly different picture than what the Minister is now sketching here. In my view, it must be the image of ZEMBLA. Could the Minister please take us into this? What's going on here? Because this goes from 7 million to 38 million without ringing the bell. I'm sure you'll come up with the answer to my question as to whether you knew this or not. Go ahead!
ParlaMint-NL_2019-06-19-tweedekamer-8.u92	I am indeed going to speak about this further. As long as we are in the sphere of numbers, I also come to the very specific question, Mrs Van Brenk. At the start of the programme in 2014, the total programme costs including the reorganisation provision amounted to 10 million. The total cost excluding the reorganisation provision amounted to 7 million. The ICT component within that 7 million was then less than 5 million. That was a first rough estimate of the costs. The tender and tender process was completed in the first quarter of 2016. Mrs. Van Brenk mentioned an internal memo. I'm not familiar with a memo like that, but I'll check with the CBR. I do not know whether Mrs Van Brenn herself can make any more clear about this, because we are not aware of such a memo. Maybe the confusion was in him that the total project including reorganisation was 10 million and that the ICT component of that 7 million was under 5 million. This may have caused confusion. That could be it. Otherwise, I don't know.
ParlaMint-NL_2019-06-19-tweedekamer-8.u93	I'll send the information anonymized to the minister. Then she can confront the CBR.
ParlaMint-NL_2019-06-19-tweedekamer-8.u94	Very good. Mr Dijkstra.
ParlaMint-NL_2019-06-19-tweedekamer-8.u95	Maybe it's all explainable in part. It is explained neatly in the letter of 8 May sent by the Minister on ICT at the CBR. If I go back to the big numbers, it is a total programme of which ICT is an important part. It is not about the total package, but you can see that costs have increased exorbitantly in a short time. I've been in the Chamber a little longer and I see every ICT project derailed from the government. Then when I see how it has been tendered and that a large database builder is working on the basis of hours, I think: something has gone wrong with the BIT test, the ICT tests we have and the audit services. It can't be true that we're going from this kind of amount to three, four or five times as much in one go.
ParlaMint-NL_2019-06-19-tweedekamer-8.u96	I fully agree with Mr Dijkstra. I think after the Elias Commission in your Chamber, we'll look at it everywhere. That's gotta be better. I think the dashboard gives more insight, including to the Chamber. I think it's good to combine it with that, because then you have the overall overview. So you can see that in several places it leads to such costs, which over and over and over again. That's where we have to learn lessons from each other. Whether it is in the form of contracting or in the form of unnecessarily complicated systems: I think it is a combination of factors, and I think it is a good thing that we discuss this further with the Chamber. In the case of new systems that we need to set up, I refer to the truck tax, of which fans and less big fans are present in the room. I also think it is important that we are always aware that any complexity we ask makes it more difficult to achieve it in practice.
ParlaMint-NL_2019-06-19-tweedekamer-8.u97	Absolutely. If you had your house remodeled and the contractor said it had become four times more expensive, you'd have been calling the bell long ago and shutting down the construction. The government's going on and on. I think that's a bad thing. Of course we can do a lot in a moment, but we have paid the top prize for it and we are not even finished yet. How is the Minister going to control these costs, which are still running? Who's gonna take care of the setbacks? The own funds of the CBR are also not rosy. I see some problems there in the future.
ParlaMint-NL_2019-06-19-tweedekamer-8.u98	I can agree with Mr Dijkstra that we must pay close attention to this. We see that widely in tenders. In the case of infra-projects where the software side is part of the CBR, we have seen this with each other. Not that long ago, we had to terminate a contract because it just went crazy. In this case, it has always been considered whether we should do something new and whether it would be better. You have to make that judgment every time. Of course, you prefer that you just have a contract in front of you that is properly served.
ParlaMint-NL_2019-06-19-tweedekamer-8.u99	It may be a rhetorical question and a repetition of moves. However, Mr Dijkstra just took the words out of my mouth. He's been here a couple of years. I haven't been here that long. But the Galan report shows that necessary cooperation between business, IT organisation and programme has not been optimal for a long time. Then I think: you see that every time. Did they have no idea what product they wanted at the end, which ultimately results in something that they do not want and what they want to do and what they want to do? Eventually, it costs tens of millions more than was originally intended. I have the feeling that there are always problems, because people do not really know what they want to have. Then people get to work and in the meantime things are getting out of hand.
ParlaMint-NL_2019-06-19-tweedekamer-8.u100	I think we have to conclude, however, that much more contact with the direct workplace is needed in order to specify the requirements with each other. You need to ask further and deeper, so you know exactly if everyone is expecting the same end product. But you'll have to agree on that in front. You know the example of the RIBS at Rijkswaterstaat. Then the demands of high speed and high waves were both in the tender, but unfortunately not in combination with each other. Those are stupid things that you really have to prevent from happening in the future.
ParlaMint-NL_2019-06-19-tweedekamer-8.u101	I did a little digging into that dashboard today. In itself, I think it's a beautiful thing. You see the numbers rise in between and the planning runs out if something doesn't go well, but you still haven't solved that problem in front. I get that this isn't just for IenW, it's much wider, but how do we get to that front? That dashboard is good to have a good debate with each other in between, but it is also about the front in the organisations themselves. Something has to come up for that, and I still don't see it. But perhaps the Minister has a good idea of that.
ParlaMint-NL_2019-06-19-tweedekamer-8.u102	I don't have the ideal solution, but it's part of the statewide trajectory. The problems of the various implementing bodies, as mentioned earlier by Mr Van Dijk, among others, all have the ICT component. That is really part of the process that the ministries of SZW, Finance and BZK are now drawing to look at for the whole government. How can we improve this? The ICT component is a very important pillar in this and the Secretary of State for the Interior is working hard on it from the digitalisation of the government.
ParlaMint-NL_2019-06-19-tweedekamer-8.u103	I would very much like to go to the second term of the Chamber, so if you can do it a little short and pointy. Mr. Van Aalst, you're the best.
ParlaMint-NL_2019-06-19-tweedekamer-8.u104	Certainly, Mr President, I would like to give you the second deadline very quickly, but I still have so many questions that I can fill three deadlines here.
ParlaMint-NL_2019-06-19-tweedekamer-8.u105	Cozy.
ParlaMint-NL_2019-06-19-tweedekamer-8.u106	I have not yet received an answer as to whether or not the Minister was aware of this cost overrun. Overstepping? It's just a tenfold increase! We would have kept it neatly by 7 million, but the Minister spoke of 5 million and we might be 50 million. That is a tenfold increase! The CEO was aware of the situation. What does the Minister think of the image that this has just been promoted and is still in the organization, probably with a good salary?
ParlaMint-NL_2019-06-19-tweedekamer-8.u107	I have that last question in my folder, so I will come back to that. For an answer to the question when what is known, I refer to the letter of 8 May, which describes it. A lot of questions have also been asked about the doctors.
ParlaMint-NL_2019-06-19-tweedekamer-8.u108	Pfff... Mr. Laçin, you have the floor.
ParlaMint-NL_2019-06-19-tweedekamer-8.u109	You don't feel like it, do you, Mr. Chairman?
ParlaMint-NL_2019-06-19-tweedekamer-8.u110	I'm really excited...
ParlaMint-NL_2019-06-19-tweedekamer-8.u111	I don't notice much of it.
ParlaMint-NL_2019-06-19-tweedekamer-8.u112	.. but I see a repetition of moves. You have the floor.
ParlaMint-NL_2019-06-19-tweedekamer-8.u113	I think that Mr Van Aalst's question has been answered too short. It is important for us to know at what point the Minister knew about the cost overrun, what that cost overrun was at the time and whether she shared it with the Chamber at that time. This is separate from the letter of 8 May, because this has, of course, been known to the Minister before. Did she share that with the Chamber then, yes or no?
ParlaMint-NL_2019-06-19-tweedekamer-8.u114	I believe that all this is described in that letter, because of course there has not been one moment of cost overrun. There has been a development and we have indicated to you when what is known and when what is shared with the Chamber. If you have any specific questions about this, I would also like to hear them specifically. I can then take them in the letter for the summer, but I think we shared everything that can be shared with you.
ParlaMint-NL_2019-06-19-tweedekamer-8.u115	The report of the Galan Group, which was delivered last week, contains a bit of cryptic words. "In consultation with the Ministry of IenW in the ownership role, the additional costs will have to be provided with appropriate financial coverage." I'm very curious what that means. I am curious about the amount and what lies behind these words.
ParlaMint-NL_2019-06-19-tweedekamer-8.u116	I don't know exactly which page of the report this is on and exactly what it refers to. Would it be okay if I returned to that in the second term? Do you want to say exactly what sentence on which page you have it so I don't respond at the wrong cost?
ParlaMint-NL_2019-06-19-tweedekamer-8.u117	It's a big report, but I'll take a look. Page 356 or something. I'll take a look.
ParlaMint-NL_2019-06-19-tweedekamer-8.u118	That's what I like to hear, because I can't say this out of my head.
ParlaMint-NL_2019-06-19-tweedekamer-8.u119	I shall come back to that cost aspect. That's where the noise is. There has been a letter, but as far as I am concerned it does not clarify it either. That letter indicates that amounts have been reported at certain times, but it is unclear whether they have also been reported to the Ministry. And if they've been reported to the Ministry, why wasn't the Chamber informed? That's the point. Was the Minister aware of all these exceedances or was half of them reported by the CBR? However, at least the Chamber knows that it has not been fully informed by the Minister or that the CBR needs to be dealt with as it has sent the Minister to the Chamber with insufficient information. Something's going wrong. That's my question.
ParlaMint-NL_2019-06-19-tweedekamer-8.u120	As far as I'm aware, we gave all that information in the letter. If there are any gaps in that, I would like to hear exactly what points they are at, so that we can fill them out carefully in the letter that comes to your Chamber. Mr. Chairman. The next point is the medical examination, the doctors. Mr Laçin asked: have doctors left because of the reorganisation? The answer to that is yes. As part of the reorganisation, there have been a variety of personnel changes. Eighteen doctors have left since the start of the reorganisation in 2018, not all because of the reorganisation, but also because of their own choices, a different career and so on. So 18 of them left. Since then, nineteen new doctors have been recruited, plus a capacity of about 5 fte by the use of external examiners. So the CBR certainly doesn't cut doctors. Moreover, the CBR indicates that it is difficult to find doctors for this job. It has to do with this, and that is quite understandable, that doctors choose this profession out of conviction and like to see people as well. These doctors have no contact with the patients; they assess only the dossiers. Which means that for the average doctor it's not the job he or she's always dreamed of. Then I'll go into the story about the crash course. It was said that the doctors can be retrained in two days. That is really not the case. According to the CBR, the external doctors are indeed receiving a reduced education, but it is only a few weeks, so not a few days. It is also ensured that these doctors can only handle the simpler dossiers. They are also supervised by the Chief Medical Officers of the CBR. So there are no risks taken with people who are not well qualified.
ParlaMint-NL_2019-06-19-tweedekamer-8.u121	Mr President, you are looking a little threatening, but I am going to make an interruption. On page 46 of the report, there is simply another consideration, namely to adapt the reorganisation steps, including the closure of sites, in such a way as to avoid the risk of undesirable loss of scarce capacity. In particular, these doctors are referred to. My question is whether that is something the Minister is considering.
ParlaMint-NL_2019-06-19-tweedekamer-8.u122	I have to check with the CBR how it has dealt with this, but of course I think that is an important point. If by not taking this aspect with you in a location selection you would increase the problems, then we should not do so. So I'd like to check with the CBR on how this is going, whether they're taking sufficient account of this. If that is not the case, you will hear it from me.
ParlaMint-NL_2019-06-19-tweedekamer-8.u123	The Minister states in her initial words that there is certainly no saving. According to the information we have, there are now fewer doctors working at the CBR. But what is most important to me is that the Minister also contradicts my words that it would be a two-day emergency course. She says it would be a few weeks. I have this information directly from people who work there. So I would very much like this Minister, if she is not aware of that, to go after it immediately. I would also like her to confirm here that a regular training course for medical assessors normally lasts three to four months and cannot be completed within two days so that people get to work, to eliminate those delays and, for example, to approve something that was previously rejected in doubt. That's a method that's unacceptable. That the course lasts two days, I have heard of the CBR itself, of people who work there, so can the Minister go into that again?
ParlaMint-NL_2019-06-19-tweedekamer-8.u124	I think that is a very worrying signal from Mr Laçin. It's definitely worth getting to the bottom of this. The CBR gives you the information I just gave you, so I'll ask for clarification on how this is going to be done and how this is compatible with the sounds you hear. But I agree with you: no matter how long someone does about his education, everyone has to meet the requirements. Once again, the information I have is that those with a shortened journey of a few weeks, and certainly not days, should also do easier work under the supervision of the Chief Medical Officer of the CBR. But I'm gonna figure this out, and I suggest I answer you in the same letter for the summer as well.
ParlaMint-NL_2019-06-19-tweedekamer-8.u125	I'd love to. That's what I was gonna ask. Then I would like to ask the Minister whether she would also like to include in that letter those simple files that these doctors get and how they are monitored.
ParlaMint-NL_2019-06-19-tweedekamer-8.u126	I will ask the CBR for an explanation of how it distinguishes between light and heavier dossiers. The new medical advisers must therefore first undergo training of about three months. That's full training. Two classes will start in 2019. Given the lack of results so far, I have asked the CBR for a plan of action to really do more work on this and to get everything out of the closet. I told them I haven't seen a national campaign to interest doctors in this. To the left or to the right, we must have done everything we can to solve this deficit. Then there's the quality differences between the medical examiners. Some of you have also referred to the hearing in the Chamber. We've had conversations with the U.S. Department about the A.E.S. During the period 2019-2020, the review of the Quality, Complaints and Disputes Act will take place. VWS will also pay attention to the accessibility of the complaint law. During the recent interview the CBR had with medical examiners, the doctors themselves also confirmed that the procedures of the medical examiners are not always uniform. To improve this, the CBR will introduce a low-threshold and voluntary system of registration by approved doctors with the aim of also improving communication with these doctors and increasing uniformity. In addition, this system also makes checking the BIG registration of doctors easier. I believe that Mr Schonis has already asked for this in the past.
ParlaMint-NL_2019-06-19-tweedekamer-8.u127	That's right. Anyone with a BIG registration should be able to approve now. If that is checked better, I certainly welcome it. There has also been an enormous amount of work to be done on the costs of approval. I'm thinking of the example of someone who said: in The Hague there's an examiner where you put €25 in the tip jar and you walk out with your proof. Are you going to look into that again, because this cannot be the intention?
ParlaMint-NL_2019-06-19-tweedekamer-8.u128	No, that's definitely not the point. We've already asked for that. I thought I had already informed you of this in writing once. We'll just have to check it out. Otherwise, I will specifically include the results of those talks in the letter on that point.
ParlaMint-NL_2019-06-19-tweedekamer-8.u129	The Minister has indeed sent answers to questions about the medical examiners. It also came out that the example from The Hague, which was outlined, could not be seen. I don't think I've been the only one, but I checked it on the Internet for a while, because we had name, name, address, etc., and it turns out that the gentleman is still active. So I don't know which registry the ministry's been looking for, but if you use Google, it's more than enough.
ParlaMint-NL_2019-06-19-tweedekamer-8.u130	I have just said to Mr Schonis that we will take it with us again in the letter that comes to your Chamber. Perhaps we should check with the CBR on this particular case. I'll get back to you on that. We don't know anything else. Then you talked about the director, that he shouldn't be promoted away. I repeat that the lady is still in office and will not be reappointed. A portfolio change has taken place in consultation between the Supervisory Board and the Executive Board, as I have told you before. Its responsibility now includes specifically the Road Safety Strategic Plan and the role of the CBR in it, the evaluation of the driving licence directive in relation to the CBR tasks, the development of a vision of examinators including data carriers, proposals in the area of corporate social responsibility and environmental analysis. So she's got plenty of work to do. The reward is in line with WNT, as you also know. You also mentioned the Supervisory Board. From the research of the Galan Group, I would like to point out that the supervisory board has been able to adequately fulfil its responsibilities, as has already been noted by PwC during the legal evaluation. In addition, no fewer than three new members have been appointed to the Supervisory Board in the last year, including the Chairperson. So there has already been a very active renewal. And with these three new members, I see no reason to send the Supervisory Board home.
ParlaMint-NL_2019-06-19-tweedekamer-8.u131	I understand somewhat the Minister's reasoning about sending the Supervisory Board home. But in order for us as MPs to be able to carry out our controlling task, the only means of steering a ZBO we have is a supervisory board. And if he refuses to come here and give us that information, I have just said it to Mr Dijkstra once in the first term, then it is exit as far as I am concerned. The only task a supervisory board has is to supervise and assist the Chamber with its controlling task. They didn't. And whether they're there for three months or three weeks, I don't give a shit. If you don't do your duties, you're gonna have to get out of here. And that's what I still think for the principal, by the way.
ParlaMint-NL_2019-06-19-tweedekamer-8.u132	Your opinion is well known to me, Mr Van Aalst, but I have also indicated to you that I understand that the fact that no one on the supervisory board was present was based on a misunderstanding. They also told me that they would like to make it up to you and have a conversation with all of you. I have heard from several Members that they have also spoken with the Supervisory Board. So I think there has just been absolutely no malice in the game on the part of the supervisory board. Then there is the question: what kind of insight do you really have? In addition to the monthly reporting, there is of course intensive contact between the Ministry and the CBR at official level. The Supervisory Board also speaks to the Ministry every six weeks. And as you know, there is also external testing, as recently by the Galan Group. At the end of June, the Gateway Office will also follow up the Gateway Review on the ICT programme. I have also indicated to you that once the system is completed, we will have the entire process around the new ICT system evaluated externally. We're not doing that now, not to increase the problems. But that's definitely going to happen, because we really need to learn from that. Mr Van Aalst also commented on the health statement form. This has been improved since the end of 2018, for example for people who no longer have current ADHD status. I have just given this example in the direction of Mr Schonis. If there are many reports of certain shortcomings in the form, then the CBR must of course ring the bell and adjust the forms. Why is it so CBR so hostile towards driving schools? That was another question from Mr Van Aalst. We don't recognize that image directly. There is constructive consultation between the Ministry, the CBR, the IBKI and the three trade associations. The CBR indicates that driving schools are important partners to help the candidates as well. However, there has been the problem that some driving schools have used robots in the reservation system to cut off other driving schools and score earlier. Those are things that need to be dealt with, but I'm sure you agree with me.
ParlaMint-NL_2019-06-19-tweedekamer-8.u133	I certainly agree with that. But especially when it comes to the image that apparently there is not with the Minister of how the driving school holder is being treated, I have an example here. This is a person who has been working at the CBR for 16 years now. And he gets it in his head to respond to a driving school manager who is critical of the CBR: "This trainer is targeting the CBR on all fronts. We are constantly suffering from this and we need to maintain and tackle him hard." If that is the way the CBR works, then we can have many debates here, but then we are not going to solve that mess. Doesn't the Minister agree with me? This kind of thing can't be tolerated.
ParlaMint-NL_2019-06-19-tweedekamer-8.u134	I don't know this example. We have also just talked about the culture at the CBR and the approach of customers. The CBR itself indicates to be fully engaged in this and will offer additional trainings for this purpose. I want to take away the image that there are all very horny types working at the CBR. A few may not behave quite well, but we must not forget that a lot of people daily do their best to ensure that it all goes as well as possible and are very sensitive to the people with problems. In fact, there are people who are very depressed about it themselves and suffer from the fact that their CBR cannot perform well each time.
ParlaMint-NL_2019-06-19-tweedekamer-8.u135	Fine. Can we get to the second term yet?
ParlaMint-NL_2019-06-19-tweedekamer-8.u136	Almost. Mr Van Aalst had a few more questions. Why does the CBR use the rule of the dog? The CBR doesn't. The trade association BOVAG does make that requirement to its members. In addition, this will be regulated by law on 1 January, as an effect on the request of your Chamber in relation to the WRM.
ParlaMint-NL_2019-06-19-tweedekamer-8.u137	No, it wasn't about the vog, but it was about the VvG. I will not go into detail, because then it will be very complicated. In particular, this is what I have outlined: should the CBR not simply be about examining and should the CBR not take those medical powers externally? That takes the pressure off the boiler at the CBR and then, I think, the CBR can deal with its core tasks: examine and test driving power.
ParlaMint-NL_2019-06-19-tweedekamer-8.u138	Mr Van Aalst is right about that. In fact, I would have liked to explain this to the medical experts. I can imagine Mr Van Aalst's thinking very well, but it is really something else. Mr Schonis has already hinted at this in his speech. The point is that, in order to obtain the medical certificate of fitness, you first need a doctor who confirms the medical image: what can and cannot be done? But that doctor, the specialist or the general practitioner, cannot then judge what that does for someone's driving skills. That is why it is just as well, and that is where Mr Van Aalst also insisted that doctors who have been doctors for a long time and have medical knowledge still have to do training on the significance of driving skills. Does anyone get an ordinary driving licence or a driving licence with a disability, for example, that they can't drive at night or when it's dark? There are all kinds of variations possible, for example that someone can only drive an automatic. Only the medical expert of the CBR can assess such limitations. That's exactly the difference. That is why it does not make much sense to organise it externally.
ParlaMint-NL_2019-06-19-tweedekamer-8.u139	I've got a different picture of that. I think you're going to an outside party where you get a medical statement. Then you go to the CBR to take the exam. In between you will be tested again by the CBR. What's the problem now? You can just stage someone for an exam like that, can't you? Anyone can estimate that it's a different story if someone only has one leg, but with someone who has ADHD, can't they just take an exam? The medical review can take place afterwards, right? Then the pressure is off at the exam institute, the CBR. An outsider can do a great job with that. The moment those people have their two documents together, they're ready to go to City Hall and pick up their driver's license. I see it as a very practical solution to make the CBR work better. In my opinion, the law provides for the CBR to issue driving licences, not medical examinations. I think we have other specialists for that.
ParlaMint-NL_2019-06-19-tweedekamer-8.u140	I'm gonna try again. The bottleneck sits with the medical experts who can assess in which health situation and under what conditions people can or can no longer drive. The CBR is struggling to attract enough people who can. Then you can say that an external institute has to do it, but then those doctors would have to go there and then that institute would have the same trouble to bring those doctors in. As I pointed out, one of the reasons why it is difficult to get enough doctors to do that is that doctors prefer to have daily contact with patients, and that is not the case in this case. That is why I have now asked for a plan of action. Is there any way we can get retired people back? Can we use a broader recruitment action? Can't doctors who do see patients do this one day a week? Think of something. We need to figure something out with each other to get enough of those experts. They have to be properly trained first, and I look at Mr Laçin, but can then be used for that. The last question is also from Mr Van Aalst: does the CBR also deal with RIS? If so, isn't that wrong? The future of RIS and its investment in tasks are part of the policy path leading the strategic plan. I just remembered that maybe not everyone knows what RIS is. That's the Driving Training In Steps. That's it, Mr. Chairman.
ParlaMint-NL_2019-06-19-tweedekamer-8.u141	Thank you. Mr Van Aalst, briefly and pointy?
ParlaMint-NL_2019-06-19-tweedekamer-8.u142	Yes, because my point is that because the CBR is a kind of provider, there is some kind of distortion of competition with other drivers, who may or may not be able to join. I note that there is a distinction in the time limit for driving. Everyone wants to get their driver's license quickly, but it can't be true that you have to wait longer with a driver who is not affiliated to the RIS than you have to apply for an exam via RIS at the CBR. It cannot be that the CBR is going to compete in the market of drivers. Doesn't the Minister agree with me?
ParlaMint-NL_2019-06-19-tweedekamer-8.u143	I'll check the difference in time. The implementation of RIS has been entrusted to the CBR since 2002, so that is basically simply carried out on the basis of the previous request. I'll let you know if it's as you say it is, which is that the CBR lets its own candidates go for it. We will find out and I will come back to that in the letter before the summer. That's it.
