ParlaMint-NL_2019-04-11-tweedekamer-9.u1	The next item is the Medical Devices Act. I give the floor to the Minister for his first answer.
ParlaMint-NL_2019-04-11-tweedekamer-9.u67	Mrs van den Berg's wish is my wish. There will be a single Quality Framework Cosmetic Medicine. But I'm gonna double-check it to make sure every doctor will then commit to it. Mr. Chairman. Then there's the next question. There is no clarity about the requirements of competence and competence. Dentists and general practitioners may be competent for some treatments but without additional knowledge and skills they are not competent. How does the Minister view this? Both the dermatologist and the plastic surgeon are both competent and competent but perform liposuctions according to different guidelines. How can this be made clearer for consumers? This is the answer I have just given: the quality framework describes what is to be understood by good cosmetic care and the competence requirements for the performance of those cosmetic medical practices. This is expected to be adopted by the Quality Council in mid-2019. Then I'll go to the next question. There is a lack of regulation of many medical devices. In the United States, there are only 10 types of fillers and more than 100 in Europe. Are the U.S. doing so well or are we doing something wrong? The safety of the product must, of course, be paramount. A product may only be authorised on the EU market if it meets the requirements and does not pose a risk to public health. At the moment, I have no signals from the European regulators that degradable fillers pose a threat to public health. So the question whether the US is doing so well or whether we are doing something wrong on this point is difficult to answer.
ParlaMint-NL_2019-04-11-tweedekamer-9.u68	Would the Minister then be prepared to check in America what the qualifications are and whether they are so different from the European qualifications which lead to such a large difference in authorised products?
ParlaMint-NL_2019-04-11-tweedekamer-9.u69	I'm quite willing to do that. Then I'm going to America.
ParlaMint-NL_2019-04-11-tweedekamer-9.u70	Maybe there's another way to do it.
ParlaMint-NL_2019-04-11-tweedekamer-9.u71	No, no, I have to go to America for that. I think it's an interesting question. That's what I'm gonna do. Mr. Chairman. Next question. Is there a lack of supervision by the inspection because it is only involved in serious complications and following reports which therefore prevent it from acting on its own and therefore does not monitor counterfeit fillers and parallel imports? The inspection has been working with the cosmetic sector action plan since 2015. This includes that the inspection is risk-driven. This means a reactive attitude for degradable fillers. The inspection shall monitor the products on the Dutch market and shall take place as soon as there are signals that those products do not comply with the requirements of the law, regardless of whether they are concerned by parallel imports or by counterfeiting. Then I'll go to the next question. There is a lack of information and proper information for patients. Many people are guided by experience websites, but they are commercial and their independence is often a question mark. Is it not better to agree, together with the sector and, for example, with the Patient Federation, to set up a single independent experience website for cosmetic treatments so that it can be assumed that this is not controlled and paid for by the sector itself? Yes, I will consult with the Patient Federation to see if cosmetic doctors can be added as a separate category and to see what else can and should be added to Healthcare CardThe Netherlands. Then there is the question of whether proper advertising rules are needed, including for influencers on social media. Since October 2018, rules within the Advertising Code Commission have been agreed but they are not enforced. How does the Minister view this? How far should we go before there is a legal ban on advertising cosmetic interventions, as may be the case in other countries? When advertisers cooperate with an online influencer, the advertising code Cosmetic treatment applies. For example, the advertiser should not work with an influencer with a minor audience. In addition, the advertising code Social media applies to influencers. When an influencer receives a free treatment in exchange for advertising, the influencer must be transparent. The Advertising Code Commission comes into action when someone complains. So far, I've been checking it out. No complaints have been received. I will consult both the Consumers' Union and the Patients' Federation to see if the possibility of complaints can be brought to the attention of the public. I'd like to explore this before thinking about a ban.
ParlaMint-NL_2019-04-11-tweedekamer-9.u72	Before you proceed, Mrs Van den Berg has a question.
ParlaMint-NL_2019-04-11-tweedekamer-9.u73	I have two questions. I may not have understood correctly, but I had also asked if the Minister felt that the sector should only finance an independent institution itself, as is the case with the Financial Markets Authority and the housing corporations. And do I understand correctly that the Minister said in the second part of his reply: I will go into consultation with the Consumers' Association and the Patient Federation, but there is no proactive enforcement now? Will only be maintained on the basis of notifications?
ParlaMint-NL_2019-04-11-tweedekamer-9.u74	That's the system. It is maintained on the basis of reports. I think that's good, too. Not everything can always be checked everywhere, so choices have to be made. I think I am putting the best action on the table here, namely that I should consult with the Consumers' Association and the Patient Federation to see if the possibility of complaining is being brought to the attention and whether something is being done about these complaints. One step further is the question of whether this should be done through an independent institution funded by the sector. That's another question mark for me. I want to start with the question of how we can strengthen the right of complaint. From there, I want to take the next step. Next question. Has the Minister discussed quality registers with the scientific associations in order to achieve what Mrs Van den Berg has called a 'pass or explain' system, a 'comply or explain' system? I haven't had that conversation yet, but I will before the summer. As I said on 21 March, I will report on this in the progress report that you will receive before the summer. Then there's the next question. The Minister has undertaken to examine what initiatives are already in place to organise consumer information on the quality of apps and whether it would be fruitful to take further action. How's that going? The new European legislation lays down requirements for the reliability and safety of apps for medical purposes. Apps that do not meet these requirements should not be placed on the market. That's one category. Another category is health apps that are not covered by legislation, such as apps that focus on healthy nutrition or sports performance. Standards are being developed at European level. These standards include reliability, the burden of proof of claims, privacy, security, quality and user-friendliness. That standard will be ready in the middle of next year. There is hardly anything known about the reliability and effectiveness of all these apps. A part of the LUMC is working on an appchecker in collaboration with Thuisarts.nl, the GGD and the NEN Institute, the Standards Institute. The scaling up takes €100,000. There is cooperation with students from colleges and universities. Is the Minister prepared to look into that? I thought I'd had this question before, but I wasn't sure. I'd like to take a look at that. I will take into account whether the app checker adds value to the NEN standard for apps developed at European level, which I have just spoken about. Also for this I bring homework: before the summer you will get the results of this homework. Then the notified bodies. How is the CE marking adapted to new developments? Manufacturers are required to notify significant changes to the notified body, the notified body, but what if they do not? The answer is: if it appears that the manufacturer does not transmit any changes, notified bodies may withdraw the certificates. This means that a company is no longer allowed to sell its products, which could endanger its business operations. Should there be an independent supervisor for monitoring the publication of research results? Yeah, as far as I'm concerned. Monitoring the publication of research results will be carried out in each Member State with a competent authority. In the Netherlands there are two candidates for this. One is the IGJ, the other is the CCMO. That choice has yet to be made. That will happen during the course of this year.
ParlaMint-NL_2019-04-11-tweedekamer-9.u75	Let me ask you a brief question about the previous point. The Minister says: When a notified body finds out, you will withdraw the certificate. However, there is still a category of products for which a CE marking is sufficient while new insights may emerge. I wonder how that process will come about.
ParlaMint-NL_2019-04-11-tweedekamer-9.u76	Manufacturers of low risk devices may affix this CE marking to the product if they meet the requirements. The IGJ supervises both proactive risk-driven supervision and monitoring in response to reports, i.e. reactive supervision. It is therefore important that healthcare institutions and patients continue to report, so that the inspection can involve them in its supervision. So my first answer was about high risk and Mrs van den Berg's answer is about low risk.
ParlaMint-NL_2019-04-11-tweedekamer-9.u77	This means that if a CE marking imposes new requirements on a low-risk product, this can only be achieved on the basis of a consumer's notification?
ParlaMint-NL_2019-04-11-tweedekamer-9.u78	It is proactive risk-driven supervision on the one hand and monitoring on the other. So it's proactive and reactive, it's both. There are three more questions on the part of the CDA that I have to answer. Is it true that, as a result of these European regulations, the CMO is concentrating its assessment of high-risk studies on a limited number of recognised Medical Ethics Review Committees, the METCs? That's right. This will be concentrated for the high risk studies in nine METCs with the most experience in assessing such studies. What's the result of that? I think that's the juxtaposition of expertise. So I think that's a good choice. Next question. The annual report of the CCMO for 2018 reports that consideration is being given to the use of additional expertise for the assessment of clinical research in order to improve the substantive quality of the assessment. An expert in the field of medical devices will eventually be added as an additional mandatory member to review committees wishing to continue to assess such research. How's that plan coming along? The obligation to include a member with expertise in the field of medical devices in the Review Committee is included in the present legislative proposal. So it looks good with that intention.
ParlaMint-NL_2019-04-11-tweedekamer-9.u79	Let's talk about those notified bodies. We also discussed this in the debate on 21 March. How do we prevent manufacturers from shopping between notified bodies? We do not know exactly what is exchanged in the communication between the notified body and the manufacturer. That's already problematic to me. But one manufacturer can think: well, if you don't approve, I'll go to another. Even though those notified bodies become stricter and there are staff with more expertise, that does not prevent manufacturers from thinking: it is a company and I can also just go to another company.
ParlaMint-NL_2019-04-11-tweedekamer-9.u80	But they can't. A notified body may not take over a package from another notified body. The IGJ will see to that. The manufacturer must therefore report it if he has offered it somewhere else before. And if it's about another product, then there's a good reason. But you can't walk by twice. So it's just not allowed.
ParlaMint-NL_2019-04-11-tweedekamer-9.u81	Thank you for that. Can the Minister indicate where to report this? Are those reports public? Or does it go to the IGJ? How does the IGJ see that? I'm not gonna micromanage, but it's nice to have some idea. Do they do that on a random basis? Do they do that on the basis of reports?
ParlaMint-NL_2019-04-11-tweedekamer-9.u82	I'm gonna have to check that out. Let's make that answer a cliffhanger.
ParlaMint-NL_2019-04-11-tweedekamer-9.u83	Mrs Ploumen owes you that.
ParlaMint-NL_2019-04-11-tweedekamer-9.u84	Yeah, and so am I! Mr. Chairman. One more question from the CDA. What if the CCMO research takes place abroad? Is it not a better idea to have the sector pay its own supervision through an independent supervisor? That's actually a question I'm not ready for. I really need to think about this question. I think I'll include that in that progress report before the summer too. I need to think about this question. I hope that I have answered the questions, with the exception of Mrs Ploumen's one point. Then I come to the questions asked by the PVV. The Minister says that stricter requirements should not hinder availability, but the Minister should say: stricter requirements increase patient safety. Mrs Agema would like my response to that. I agree with the PVV that the importance of the patient is paramount. The regulations are intended to increase patient safety. However, we want patients to have new, innovative tools at their disposal. If we impose too strict requirements before a product is admitted to the market, new tools will no longer be developed. That's not in the patient's best interest. And that is why it is important to keep a close eye on tools after they have been admitted to the market. The regulations therefore include obligations on the manufacturer to actively monitor the product after it has been admitted to the market, the so-called post-market surveillance. This is a theme that the Netherlands has been committed to in recent years.
ParlaMint-NL_2019-04-11-tweedekamer-9.u85	I ask the Minister: why not? Of some products you will just really need to know more before you allow them to enter the market. More important than money and sales for the manufacturer, for example, is that those pelvic floor mats, those mesh mats, are not only inserted into someone's body; they also grow with the environment. So if things turn out to be completely wrong and someone gets a miserable and painful life, then a mat like that can't even get out. So you really would like to set higher quality standards in advance before inserting a medical device. That was my question to the Minister. Is he prepared to take better care that we know more about this before a means is allowed?
ParlaMint-NL_2019-04-11-tweedekamer-9.u86	This new law imposes stricter requirements on medical devices before they are placed on the market. For example, the new law that we are discussing today, as I have just argued, is the fact that even if those resources are on the market, information is being obtained from the manufacturer, but certainly from patients, about experiences they gain with that tool. That's what needs to be learned. This remains, unlike medicines, which you can test very long and comprehensively in advance. With an implant, of course, you can't put it in subjects. That's why post-market surveillance is so important. In general, however, I would like to answer Mrs Agema's question in the affirmative, namely that even before the product enters the market those requirements become stronger. That is the nature of the regulation.
ParlaMint-NL_2019-04-11-tweedekamer-9.u87	Yes, but that is not at all in line with the practice, because these meshes are not only still used under those conditions, as was explained in the debate on the interruption with Mrs Van den Berg. But the technique is also still used in groin fractures and still in stoma's. And there too, the product grows solid with its surroundings. So there are humans, patients, living guinea pigs. That is the current practice. What does that law change about this current practice?
ParlaMint-NL_2019-04-11-tweedekamer-9.u88	The requirements become stricter at the front of the product and also when the product is on the market. That's the general answer. Specifically about the mesh: these can only be applied in extreme cases in the Netherlands in the pelvic floor. Mrs Agema is right to say that the use of mesh for femur fractures and also for abdominal hernias has been taking place for a long time and is not limited either. Of course, complications can always occur. As I have argued before: implants will never be risk-free, but at the moment I have no evidence that there are complications associated with the placement of mesh in the case of groin fracture or abdominal hernias, or that that number is unacceptable as with the use of pelvic bottom mats.
ParlaMint-NL_2019-04-11-tweedekamer-9.u89	I believe that the Minister does not sufficiently explain what the current law is changing in practice. Another example. In his reply to Mr Van Gerven, the Minister said that patients would be much better informed. But what does that really help a patient? You're a layman as a patient, and your doctor has a manufacturer's product. I myself got an implant in my jaw a few weeks ago, but I really didn't talk to my doctor about what implant I got. I'm going to my doctor who tells me that this implant is good and that he wants to put it in my jaw. As a patient, I say, "Okay." I do not know who it has been applied to, who it has been selected for and when it has been admitted to the European market. I'm the layman. My question to the Minister is: what will improve the position of patients, other than that the Minister will better inform them? What if that thing's gonna be really weird?
ParlaMint-NL_2019-04-11-tweedekamer-9.u90	Even now, the doctor is obliged to inform the patient in detail. It's in the Medical Treatment Agreement Act. That obligation to provide information already exists. What do I think the effect is? On the one hand, the information available in EUDAMED. But it may be as important for people in the Netherlands if more is reported at the MEBI, the Meldpunt and Expertise Center Side Effects Implants. But also because of the data collected in the National Implant Register. I believe that this will lead to more information, including for patients, which will strengthen the patient's position and make it easier and better to talk to his doctor. In many cases, doctors also consider this to be important. Not for nothing are actions planned about joint decision-making and outcome-oriented treatments. I think we are developing and I think the introduction of EUDAMED is a step in the right direction.
ParlaMint-NL_2019-04-11-tweedekamer-9.u91	I think the practice is really much more uncomfortable, and that as a patient you just sail on your doctor or dentist. If something goes wrong with a product admitted to the European market, as is the case with 25% of breast implants leaking, then you no longer trust it as a patient with such a breast implant. Then you go to the doctor, who then reports that he's done a blood test, took a photo, examined it again and doesn't see a medical problem. But the patient says: there is something really wrong with that product; with a quarter of people it leaks and I just want to get rid of it! Does the Minister agree with me that the patient should have the last word in that? The patient should be able to request removal of the implant. You can't do that yourself, it's in your body and needs to be surgically removed. There must then be a compensation and will the Minister then just knock on the door to the manufacturer to get that compensation back?
ParlaMint-NL_2019-04-11-tweedekamer-9.u92	There are a few questions in Mrs Agema's speech. I agree that there should be a good conversation between the doctor and the patient. I can imagine in the example we are discussing here this afternoon, the breast implants, that a lot of women are worried about the safety of the implant that has been introduced to them. The best advice is: go to your doctor and the doctor will assess whether there is a medical need to remove the implant. If there is a medical need, there is also compensation under the Health Insurance Act.
ParlaMint-NL_2019-04-11-tweedekamer-9.u93	Mrs Agema has actually already raised a follow-up question that you might be able to answer. Again, Mrs. Agema.
ParlaMint-NL_2019-04-11-tweedekamer-9.u94	The Minister again referred to the criterion of medical necessity, but that was not my question. My question concerns the following. That woman who has breast implants, 50% of which will leak within ten years and who doesn't feel good about it, goes to the doctor, and then the doctor says, "I poked blood, I took a picture, I did all kinds of tests and there's nothing going on." But the woman says this doesn't feel right; I just want to get rid of it now. It is a product that is allowed on the European market. It's a product that was advised by the doctor who brought it in, but now that person isn't feeling well anymore. Then why doesn't the Minister want to settle this because he's always talking about the medical necessity of this person just getting rid of it and getting reimbursed? If it turns out that the product was not good, the Minister can then contact the manufacturer for reimbursement of what he has paid.
ParlaMint-NL_2019-04-11-tweedekamer-9.u95	This is in line with the debate we had yesterday afternoon. I can very well imagine that women feel insecure after the recent attention to implants. That's incredibly annoying. That's why I say and I repeat, go to your doctor. If your doctor says that there is a medical need and that is the reason why the implant should be removed.................................................................................................................................................
ParlaMint-NL_2019-04-11-tweedekamer-9.u96	I do not think that the Minister can make it clear that a certain fear of side effects that still have to occur, so I am referring to the example that Mrs Agema mentions. Five criteria have now been set, but this is still a transitional area. If the doctor considers it medically necessary, is that criterion sufficient?
ParlaMint-NL_2019-04-11-tweedekamer-9.u97	Yes, I think that criterion is sufficient. If the doctor considers it medically necessary, there must be compensation under the Health Insurance Act. I think that's important.
ParlaMint-NL_2019-04-11-tweedekamer-9.u98	The Health Insurance Act now mentions five criteria, but it does not mention the criterion: if the doctor considers it medically necessary. That would be a sixth criterion. If we can add that now, we agree. Is the Minister prepared to agree to that?
ParlaMint-NL_2019-04-11-tweedekamer-9.u99	If Mr Van Gerven and I agree on something, you should always pay attention. However, I said in the debate on 21 March and yesterday that the professional determines whether there is a medical need. It is, and it must remain so. It seems important to me that this professional should rely on guidelines from his profession.
ParlaMint-NL_2019-04-11-tweedekamer-9.u100	That is true, but we also know the concept of "medical necessity" in medicines. That's a big problem. Then the doctor says it's medically necessary, and then it starts messing with the pharmacies and you name it. Then the minister says: no, no, no, it's not like the doctor decides. And then he launches a whole bunch of ifs and buts. Now back to this debate. If, for example, a doctor who has inserted the implant thinks that it is necessary and that it is best for the woman in question to remove it, does the Minister say that it is being reimbursed?
ParlaMint-NL_2019-04-11-tweedekamer-9.u101	Sounds like the main rule to me. The professional can say: there is a medical need for this lady to remove the implant. The qualification, the answer to the question why it is a medical necessity, is up to the professional, to the profession. They work on the basis of rules and guidelines. But if the doctor says there is a medical need, that seems to me to be the reason to remove the implants and the title for reimbursement under the Health Insurance Act.
ParlaMint-NL_2019-04-11-tweedekamer-9.u102	What the Minister is saying now is in line with what he said yesterday, namely that it is the doctor who determines that. Does the Minister agree with me that if a woman suffers psychologically from the worries and complaints she has, a doctor who suffers can also qualify as medical necessity?
ParlaMint-NL_2019-04-11-tweedekamer-9.u103	I could imagine that, but don't ask me to get into the role of a professional, because I'm not. This is also a bit of yesterday's debate: can I lay down criteria to determine what medical need is? I think that's really up to the professionals. I think that decision must lie there.
ParlaMint-NL_2019-04-11-tweedekamer-9.u104	I agree with that, but I also read Mrs Agema's remarks about the fact that there is no compensation for psychological problems caused by breast prostheses in clinics with information to patients. But the minister says he thinks we should be compensated if a doctor says he ranks those problems under medical need.
ParlaMint-NL_2019-04-11-tweedekamer-9.u105	I'm not the one filling out the criterion of medical necessity. Nor do I know exactly which website or information is being referred to. I will be presented with it in a moment, but I still believe that medical necessity should be the criterion for the compensation of the operation that the woman must undergo in order to remove the implants. I consider this qualification "medical necessity" to be important. That is what we exchanged yesterday. Then compensation is possible under the Health Insurance Act and that seems to me to be the steady line of work.
ParlaMint-NL_2019-04-11-tweedekamer-9.u106	It seems the Minister agrees with Mrs. Agema and I. I like to give him this; it's a comparison site. In fact, like us, the Minister says: if a doctor says 'this is medical necessity', then the insurer has nothing to do with it, which means that the doctor has come to that conclusion and has to be reimbursed. I'm going to say it a little sharp, but I think we need to clarify women now.
ParlaMint-NL_2019-04-11-tweedekamer-9.u107	I fully agree that we need to clarify this. I'd like to take a look at what's on that information site, which probably isn't from the government, but from another party.
ParlaMint-NL_2019-04-11-tweedekamer-9.u108	Thank you. You were in the process of answering Mrs Agema's questions, but I think you have already answered a number of them.
ParlaMint-NL_2019-04-11-tweedekamer-9.u109	I think so, too. I hope Mrs Agema agrees with me. Can the Minister explain the compensation procedure for a defective device again? We have already exchanged a great deal about this, but the main line is this: a patient can, as has been changed in the debate with Mr Van Gerven, address the producer or the doctor in the event of damage caused by a defective device. Our Dutch liability law lays down the conditions under which this can be done. The compensation for the removal of implants shall be subject to medically necessary care being reimbursed by the health insurance provider. That is the main rule and I hope that will provide a sound and conclusive answer for Mrs Agema. If there are no symptoms with a patient, but the patient still wants explantation, how does it work? Again, only medically necessary care will be reimbursed. If there is a medical need, the removal of the implants will in principle be chosen. In addition, women can also have breast implants removed at their own request and at their own expense. Doctors would advise against this, because of the risks involved in surgery. That is also what I have just said. Am I prepared to compensate victims for the removal and all post-treatment? No, if there is a medical need, the removal of the implant, including the post-treatment, will be reimbursed by the health insurance companies. Patients can also claim compensation through the court if they are harmed by an implant: at the manufacturer if there is something wrong with the implant, for example a manufacturing error; at the notified body if it has not carried out a proper assessment of the implant and with the healthcare provider if it has made mistakes and can be held liable. I hope I have answered all of Mrs Agema's questions. I still have the questions of Mr Raemakers and Mr Rutte, and I have now answered a large number of the questions. Question one is from Mr. Raemakers of D66. According to this law, the manufacturer may no longer use the clinical data of another product to demonstrate that the product is safe and performing as intended. Does this requirement also apply to the registration of the development of an existing product? The answer is yes. How many tools are we talking about? We don't know exactly. We know that there are about 500,000 different tools on the market. In the future, with the arrival of EUDAMED, we will gain more insight into this. What's the timeline? The regulations provide for a transitional period. By May 2020, all low-risk medical devices will have to comply with the new stricter rules. The higher risk classes must then all meet the new requirements in stages. By 2024, all medical devices placed on the EU market will meet those stricter requirements. That categorization has already been shown. Then there was the question raised in Mr Rutte's speech: are there sufficient notified bodies? Are they sufficiently equipped to carry out their task of re-assessing all the resources? One concern is indeed the available capacity of the notified bodies. I share that concern. The rules for notified bodies have been tightened up with the coming of the regulation. All notified bodies are once again designated by the competent authorities to see if they meet the strict requirements of, among other things, independence and expertise. This is an intensive process, both for the notified bodies and for the competent authorities. This process is under way, and I promised you on 21 March that I will keep you informed of the progress. I will follow closely the issue of notified body capacity, together with European colleagues, but we also shared in the debate on 21 March that it is scarce capacity; it is a scarce resource. What about the independence, knowledge and expertise of the notified bodies? Those notified bodies will need sufficient qualified and independent staff. Can the Minister indicate whether this is already the case in each Member State? For the record, not every Member State has notified bodies. Notified bodies may only offer their activity if they meet strict requirements. Although a notified body is designated by a Member State, the designation path closely involves the European Commission and experts from other Member States. Notified bodies have a particular interest in carrying out a careful assessment. They are responsible for the certificates they issue. Notified bodies and their employees shall not give advice to manufacturers or be involved in the manufacture of devices, or have done so during the last three years. In addition, remuneration should not depend on the number of assessments carried out or their results. This is to keep the quality of the authorities in all countries at the same level. Finally, I would like to address a question from Mr Raemakers. The majority of in vitro diagnostic medical devices, devices used in laboratories, are classified into a higher risk class. Has the Minister received any signals that manufacturers will no longer be offering a product for this reason? If so, will there be sufficient alternatives on the market for those who need it? Is there also a risk that manufacturers will decide to restrict the supply of medical devices as a result of stricter quality requirements? And what does that mean for patients? It is true that the impact of the regulations is particularly significant for in vitro diagnostics. I would stress that the regulations are intended to increase patient safety. Rethinking the products by manufacturers is a matter of day-to-day importance and not just subject to regulatory changes. National and European stakeholders are currently working hard to ensure a smooth transition and implementation of the regulations, so that everyone is ready in time to comply with the new rules. I am structured in consultation with manufacturers, suppliers, healthcare providers and patient organisations. Part of this consultation is the timely reception of signals about possible changes in supply. I emphasise to healthcare providers and healthcare providers that they have a responsibility to talk to their manufacturers and suppliers. I hope I have answered the questions put by Mr D66.
ParlaMint-NL_2019-04-11-tweedekamer-9.u110	On the last point in particular, my question was also what the Minister can do for devices that are only used by a very small group of patients. You might expect manufacturers to think: well, we have very few patients, so we don't make those tools anymore. Does the government see that risk and is it recognised as such?
ParlaMint-NL_2019-04-11-tweedekamer-9.u111	Yeah, I see the risk, and I recognize it. I actually had this subject in Mr Rutte's folder, but I can also answer it in your direction. I spoke a few weeks ago with the three notified bodies active in the Netherlands about this issue to see if there is any possibility on the side of the nobos to give priority to their work. I asked them that in the conversation, and I sent them a letter after it. In the conversation it appeared to me that the notified bodies do not feel the space or that they have to think about whether there is room to put a certain priority in it. It may well be.... but now I am ahead of an answer that I still have to get from the notified bodies.... that they say that this is only possible on the basis of a message from my side, so I have to instruct the notified bodies to carry out certain work earlier.
ParlaMint-NL_2019-04-11-tweedekamer-9.u112	That's clear when it comes to the notified bodies, but what about on the manufacturer's side? Would it be possible for a manufacturer to have fewer incentives in the future to stop making tools for relatively small patient groups, which would be a pity, of course?
ParlaMint-NL_2019-04-11-tweedekamer-9.u113	Mr Raemakers has asked if I have any signs of that. That is not the case. However, I believe that the new regulation and all the work that is done by manufacturers mean that manufacturers will not now be offering some of their products for the new regulation.
ParlaMint-NL_2019-04-11-tweedekamer-9.u114	Finally, Mr Rutte's questions.
ParlaMint-NL_2019-04-11-tweedekamer-9.u115	Mr. Chairman. Mr Rutte's first question was: "I hear signals that notified bodies have a structural shortage of capacity and that this creates a potential shortage of crucial devices such as dialysis fluid. I would like to hear from the Minister whether he would like to enter into consultation with his European colleagues in order to create, if necessary, the possibility of using a perseverance force to give priority to the assessment of a device or implant in the event of a threat to national health." On the one hand, the answer I have indicated to Mr Raemakers is to do what is necessary at national level. In addition, I will also have a discussion with the European colleagues. I think it's important to do that.
ParlaMint-NL_2019-04-11-tweedekamer-9.u116	Thank you very much for the Minister's commitment. In the previous written answer that was all a bit... well, it all seemed to be a bit complicated. The Minister just replied to Mr Raemakers that he had already had a conversation, which I very much welcome, with the notified bodies in the Netherlands to prioritise. They said that perhaps we can only do so if you, the Minister, would draw their attention to them. Is the Minister prepared to do so even before he has spoken to his European colleagues?
ParlaMint-NL_2019-04-11-tweedekamer-9.u117	Yeah, sure. I think that is a good thing: do not wait until after 23 May with the new European colleagues. We can do that sooner.
ParlaMint-NL_2019-04-11-tweedekamer-9.u118	While we are doing so well, does the Minister have any ideas as to where people could go with such a report? Parties say: I really can't get through; I really get into trouble. Is there any place they could go with a report like that? Take, for example, the manufacturers of the dialysis fluid. They say everything's been full for two years, I really don't get in between them anymore and I get in trouble. Is there any way they can get that signal out of there? Is that possible with the IGJ or with another agency?
ParlaMint-NL_2019-04-11-tweedekamer-9.u119	Yes. Indeed, manufacturers can release that signal, or at the notified bodies, or at the IGJ. For a few years there has been a periodic, quarterly consultation with the notified bodies and the inspection at the table. And as you know, I take the liberty of inviting myself to that conversation sometimes. Mr Rutte also asked whether it was true that a university medical center could customize an implant for its own patients, as it is a custom-made implant or tool. The answer is yes, because the hospital does it all by itself. A CE certificate is not required if medical devices are made for one's own patients within a care facility and are used within that care facility. Where the healthcare provider transfers the tool to another legal person, such as another healthcare provider, the rules applicable to manufacturers shall apply. There are separate rules for manufacturers who make customised tools; there is no discussion about this. That was the one question. Now the other question: if a hospital has a medical device adapted by a manufacturer for use in its own patients, should a CE certificate be issued? There is still discussion in Europe as to whether a CE certificate is required in that case. A guidance document is currently being prepared to answer this question.
ParlaMint-NL_2019-04-11-tweedekamer-9.u120	Those are clear answers in themselves. The question is: what does this mean in practice? Let me take the first example. One umc makes a customized tool and supplies it to another hospital. The Minister now says: the umc must obtain a CE certificate. This will not happen again in practice. At least, that's very unlikely. For example, is a solution that the treatment is transferred to the umc in question, so that without a CE certificate this device can still be manufactured and placed with the patient? Or does the Minister see other possibilities?
ParlaMint-NL_2019-04-11-tweedekamer-9.u121	This is what Mr Rutte is asking me about. I see the importance of the subject. We are talking here today about a law which is very much about the larger numbers of medical devices, but I also understand that there are and are made specific, tailor-made tools and that in practice there is a need for them on both sides, i.e. on the side of the healthcare professional and on the side of the patient. I therefore need to consider this in greater detail. I would like to think about it, but if I gave an answer now, that would be a general blow in the air. I'd rather not answer that. I reply in writing and I take this into account as far as I am concerned with the progress report mentioned above.
ParlaMint-NL_2019-04-11-tweedekamer-9.u122	I am also happy to accept that commitment. It may be appropriate to consider contacting the UMCs in particular on this issue. That's what I'm considering.
ParlaMint-NL_2019-04-11-tweedekamer-9.u123	That's a great idea; I will. I have two further questions to answer from Mr Rutte. Is there a decision framework for dealing with known side effects of medical devices and implants? Mr Rutte knows that each profession makes its own clinical directive in which a decision framework for dealing with known side effects is an important part. I encourage the development, maintenance and implementation of quality policies, such as a directive and decision-making framework through quality funds for medical specialists. For example, the Dutch Society for Plastic Surgery is reviewing the directive on breast prosthetic surgery. All aspects that are important about the procedure are dealt with, so not just the intervention itself. A lot of attention is paid to safety, to the advantages and disadvantages, in this case of silicone breast implants, and to what needs to be discussed with the patient. So it's the profession first. If there are any defects in those clinical guidelines, the IGJ will be able to monitor them. And if necessary, the Healthcare Institute can also replace that profession and draw up the clinical guideline itself. That is the framework in which we work. Finally, the question was when an adverse reaction is part of the conversations and thus part of the decision-making process between the physician and the patient. As far as I'm concerned, always. I think it is a very important point that there is always talk of side effects in the conversation between the doctor and the patient. One of Mr Rutte's examples shows how difficult that is to decide together. An update is always the subject of conversation on the basis of the aforementioned WGBO. The WGBO already states that doctors should carefully inform patients about the purpose of a treatment, the likely effects, the risks to health, the alternative research and treatment methods, and the prospects for health. But it always remains a balance between the risks and the benefits of the implant.
ParlaMint-NL_2019-04-11-tweedekamer-9.u124	I totally understand that last piece, but we are talking about the situation where an implant or a tool is available and can be used. Then you can weigh the risks and come together to the question: am I going to do this or not? Now, if we look at those macrotextured breast implants, the case that has been cited several times today, and we assume that the risks are known in themselves, which you can still differ on, there is clearly a time when the minister says "in this case it should not be available anymore, it should be available from the market and should not be used anymore" and another time he says "no, the risks must be mapped out; they are still part of conversation." As we are getting more and more of this kind of information thanks to this new legislation, do we have a good decision-making framework and a good way of working on these considerations? Or do we end up in debates like today's every time?
ParlaMint-NL_2019-04-11-tweedekamer-9.u125	This is a complicated question. On the basis of the Medical Devices Act and on the basis of the criterion "to prevent harm to public health," the inspection may take measures. That's one part. I have looked for some time, but Article 7 of the Medical Devices Act also allows the Minister to take action in the interests of public health. That is not so often used, but the case of the implants, I say it to Mr Rutte after the RIVM, depending on the interpretation of the RIVM, could give rise to the use of the legal framework that already exists.
ParlaMint-NL_2019-04-11-tweedekamer-9.u126	Okay. That's obvious. There is therefore already a legal framework whereby the Minister or the inspection can prohibit a particular implant. That's a good thing, because if it's dangerous, it should be. People need that authority. But what I am asking is whether, as we are probably going to know a lot more about side effects of the implants, a good balancing framework, we have a good decision-making framework to say "this really needs to be known in the office and can still be discussed there, after which patient and doctor can decide for themselves" or to say "now we have to ban." In my opinion, this legislation is changing the playing field and we need to rethink the decision-making frameworks to prevent us from working incredibly incident-driven and every time something goes wrong, standing here in this Chamber asking the Minister to ban or not. That seems very uncomfortable to me.
