ParlaMint-NL_2019-11-21-tweedekamer-4.u1	We are now going to deal with the budget for the States-General (35300-IIA).
ParlaMint-NL_2019-11-21-tweedekamer-4.u95	In any case, I understand that the PVV will not call on the additional support, because they do not need it. They just keep running the low production they have, with some metal fatigue from time to time. And if we can get that extra support, we will make sure that it is housed with us. Thank you.
ParlaMint-NL_2019-11-21-tweedekamer-4.u96	Thank you, Mr. Faster. I now give the floor to Mrs Van der Graaf on behalf of the Christian Union.
ParlaMint-NL_2019-11-21-tweedekamer-4.u97	Thank you, Madam President. The Christian Union believes that we should be proud of the representative democracy that we have in our country, in which there is room for a multitude of parties. It is important that Parliament has sufficient support to carry out its controlling and grass-roots tasks properly. We are therefore very pleased that additional resources will be available to support groups. This is particularly welcome for the smaller groups in the Chamber, which have to keep a lot of balls in the air. My group considers it logical that we should not only look at ourselves, but that some of the additional resources should also be devoted to the House of Representatives and the House of First Instance. Mr. Chairman. I am also pleased that the subsidy to political parties is being increased, with funds also being made available for the next five years to support local parties, in order to further strengthen local democracy. We have also made this plea in the budget of the Ministry of the Interior and Kingdom Relations, and we underline this.
ParlaMint-NL_2019-11-21-tweedekamer-4.u98	Thank you, Mrs Van der Graaf. I now give the floor to Mr Bishop. No, he's shaking his head. Then I will go to Mr Baudet on behalf of the Forum for Democracy.
ParlaMint-NL_2019-11-21-tweedekamer-4.u99	Thank you. Very briefly, two minutes. 99 Professors, Vaterland du bist lost. That is the feeling that I often have here in the Chamber, because of endless bullshit and endless bullshit debates. If you get any more support, the disaster for this country is unseen. You guys need to get your wings cut. The House of Representatives should focus on the main issues and not on all those issues where people are staring blindly at us and who are ignoring the great drama that is hitting our country by climate hysteria, mass immigration and the European seizure of power. The expropriation of our people, our citizens, is taking place under our eyes. But seeing blind, the MP is engaged in endless nose-debate. If there's more support, it's gonna get worse. So this is what we really have to oppose. This is a great danger. And it does not surprise me in that sense either that the party of the baby boomers, the party of the destruction of civilization, D66, made this motion. I would like to raise a second point. However, I will do so after Mr Öztürk has interrupted me.
ParlaMint-NL_2019-11-21-tweedekamer-4.u100	I thought your party, you yourself, had spent $9,000 community money on some plants. And a colleague of yours had given wine to those plants, so those plants no longer exist. The community's money is so, so to speak, a little thrown away.
ParlaMint-NL_2019-11-21-tweedekamer-4.u101	When Mr Öztürk came up with this story in one of the cartel media in response to some slanderous gossip, I said that we, like all the political groups, have spent money on the establishment of our group chambers. We bought desks, bought chairs. All groups get their budget. We have bought computers and indeed some plants and some other decoration. I believe we've also had some posters framed. I do not know the amount, but we have indeed spent so much on the amount mentioned by Mr Öztürk. Other groups that have more members and have bigger spaces to fill will have spent a little more on that; smaller groups might have less. But if Mr Öztürk means that it is very good for us, then so be it. If he ever wants to come by, he'll be very welcome.
ParlaMint-NL_2019-11-21-tweedekamer-4.u102	That's quite a long answer to a question about €9,000 for some plants. That's just wasted community money. Here, keeping a big story about the cartel and becoming the future cartel itself are more or less: that's exactly the story. On the one hand, you are breaking down here that we need additional support to control the cabinet even better. On the other hand, you throw away money by taking a private jet to Ibiza and by giving Henk Otten some money. So it's a little double and hypocritical, Mr. Baudet.
ParlaMint-NL_2019-11-21-tweedekamer-4.u103	My criticism of this proposal has nothing to do with me finding that too much or too little money is being spent, in general terms, on the government. That's not what this is about. That's what the SP says. They can only say a little: the money has to go there. I am concerned about a much more fundamental point. I do not think that the House of Representatives should function as it should. I believe that there are 150 people here who are mostly concerned with covering up what is going on rather than revealing what is going on. They are henchmen of power instead of controllers of power. If we strengthen them, then we will strengthen a trend, a trend, which I regard as detrimental to democracy and society. That's why I'm against it. Then Mr Öztürk can do it twice, and that had already happened before, and start talking about all kinds of slanderous stories about things with plants. He's bringing in all kinds of stuff. That has nothing to do with the point here. My point is that you should not give any more money to a dysfunctional body, namely the House of Representatives.
ParlaMint-NL_2019-11-21-tweedekamer-4.u104	Finally.
ParlaMint-NL_2019-11-21-tweedekamer-4.u105	There are a lot of small groups. They only have two, three or four employees. How can they control so many ministries, so many ministers, with thousands of employees?
ParlaMint-NL_2019-11-21-tweedekamer-4.u106	Because it's going... I get the question. I was expecting this question, too. I can answer that, too.
ParlaMint-NL_2019-11-21-tweedekamer-4.u107	Isn't was yet...
ParlaMint-NL_2019-11-21-tweedekamer-4.u108	Finish your question.
ParlaMint-NL_2019-11-21-tweedekamer-4.u109	We need that backup. We need that expertise. We need those people to be able to handle all those ministries, all those reports, all those files, all those stories. I can imagine Mr Baudet saying that the coalition will get even more money to defend the current power most, but the opposition also needs support to tackle the current power. I would like to hear Mr Baudet again about this. What is the role of the opposition?
ParlaMint-NL_2019-11-21-tweedekamer-4.u110	Yeah, that's exactly what I understood. It's not about endlessly checking every number in every detail. The problem with the events here in the Chamber is that most people no longer see the forest through the trees. They deal with all the details and are endless in the weather. That's what I've experienced in science, by the way. Detailism is a syndrome of a people who are losing their spirituality, which no longer has a direction, which is obsessed with it. That's what you see in neurotic quasi-artifacts in the Islamic world, always that mosaic, that endlessly repeating those neurotic mosaics. That's such a tiresome self-expression! That's what you actually see here; that's what's going on with Western civilization. One is no longer able to question major issues and therefore calls for endless support and all statistics and figures, to figure everything out. Dr. Cijfer calls that Frederik van Eeden. That's what's going on here. One must learn to focus on the main lines again. That is why less support is needed instead of more.
ParlaMint-NL_2019-11-21-tweedekamer-4.u111	Thank you, Mr. Baudet.
ParlaMint-NL_2019-11-21-tweedekamer-4.u112	The second thing I would like to call into question today is the proposed move by our Parliament. I'm against it. I think it would be better to turn halfway around than to go astray. We must avoid being chased out of this house. We must avoid leaving the place open and empty. I am going to table a motion in the second term to reverse the proposed move and stay here in the house. I'm not against remodeling at all. I'm not at all opposed to things changing around here. We have to, but we can do that while we stay in the house. So I also wanted to use this a little bit to...
ParlaMint-NL_2019-11-21-tweedekamer-4.u113	And then roll-call votes, I suppose.
ParlaMint-NL_2019-11-21-tweedekamer-4.u114	That's a good idea! We're going to have a roll-call vote. Why not? Thank you.
ParlaMint-NL_2019-11-21-tweedekamer-4.u115	Thank you.
ParlaMint-NL_2019-11-21-tweedekamer-4.u116	I stayed in time!
ParlaMint-NL_2019-11-21-tweedekamer-4.u117	Nice, neat, you can do it. Finally, I give the floor to Mr Öztürk on behalf of DENK.
ParlaMint-NL_2019-11-21-tweedekamer-4.u118	Mr. Chairman. Counterpower against power and the role of the opposition are very important in our democracy. In particular, the small parties, who are the voice of the people and dare to say what is not going well here, need support. We can't control all the ministries at once. I therefore welcome the fact that an initiative has been taken, with a motion and an amendment, to rectify this. I have argued for this in various meetings over the past few months and years. I'm glad the Chamber is taking over today. Mr. Chairman. But where's the money going? In the D66 amendment, 1.5 million goes to official support, i.e. to the administrative apparatus of the Lower House. I'm kind of worried about that. The works council has also expressed its concerns. Following the departure of director Jan Willem Duijzer, they said: the entire official summit has been replaced in three years. It costs a lot of money to bring back top officials. At the time, the image was created that the direction took place more and more from the political leadership. That's what I'm worried about. The moment you give EUR 1.5 million to the political leadership, the question is where that goes. Is that a court culture of: we only hire people who serve and support the President of the Chamber well? Or are we going to bring in independent top officials so that we can do the work that needs to be done here properly? I'm worried about it. I would like to ask the Minister to talk to the works council and to support the works council in the concerns about political leadership.
ParlaMint-NL_2019-11-21-tweedekamer-4.u119	The latter seems to me to be a really bad idea: to ask the Minister for the Second Chamber of Parliament...
ParlaMint-NL_2019-11-21-tweedekamer-4.u120	...to check.
ParlaMint-NL_2019-11-21-tweedekamer-4.u121	...to check it out. So I hope that Mr Öztürk will take that back. In reply to his questions, the explanatory statement to the amendment, which he co-signed, states that this budget for overhead is directly linked to the expansion of the capacity to support parliamentarians. As I also said to Mr Bosma, this is not just a salary charge, but it is also intended to ensure that those extra staff have a desk and a computer and that someone also calls the phone if you want to contact them for the support of that computer, for example. So I think the word "top officials" is a little misplaced for that.
ParlaMint-NL_2019-11-21-tweedekamer-4.u122	I'm glad there's that support, the security, the ICT and that sort of thing. There must be, but my concern is not that the Chamber of Representatives and the President of the Chamber... The works council out of making sure the money goes to the top. What I am saying here is that it is a good thing that money is being reserved for facilitating, but it should not be the case that the President of the Chamber, like the works council, rightly criticises... It should not be the case that the money goes to the official summit, so that the support does not come to the Members of Parliament. That's what I'm worried about. I didn't ask the Minister to intervene in the Chamber. Here's what I asked you. The works council is worried. Then it might be good to see how we can support the works council in that. So not checking the Chamber or interfering, but trying to hear more the concern of the works council.
ParlaMint-NL_2019-11-21-tweedekamer-4.u123	I am not entirely reassured by this explanatory statement either, so I urge the Minister to completely ignore Mr Öztürk's request. Let's talk about the first point. That is why we wrote together in the explanatory statement that this budget is not intended for this purpose. So let us keep following that, but let us not pretend that there are all kinds of locks or backdoors in this amendment.
ParlaMint-NL_2019-11-21-tweedekamer-4.u124	I agree with you, but I see a newsletter from the works council in which they say that the political leadership has more or less sent home the top officials, the clerks, over the past three years. So that's why I want to share with you the concerns of the works council here. The Presidium does not intervene in that; that is why I do so in the Chamber.
ParlaMint-NL_2019-11-21-tweedekamer-4.u125	I have to say, I find the latter very difficult. We are now having an exceptional debate on extra money for the House of Representatives. That's with the Minister. You come here with all kinds of criticism of the House of Representatives. That really needs to be done at the estimation, if you have it, because...
ParlaMint-NL_2019-11-21-tweedekamer-4.u126	That's what happened.
ParlaMint-NL_2019-11-21-tweedekamer-4.u127	For the President is sitting for this and cannot respond. As a Member of Parliament, I find it extremely uncomfortable that you are here to criticise someone who is unable to respond, so I would ask you not to do so.
ParlaMint-NL_2019-11-21-tweedekamer-4.u128	Well, that happens all the time in this room. And it happens more often that a Member of Parliament is deprived of the floor and, while he has speaking time, someone takes his speaking time. So it happens more often in that respect. Then you can intervene at that time, if you wish.
ParlaMint-NL_2019-11-21-tweedekamer-4.u129	Then I give... No, then we're done with the first term. I'm looking at the minister to see if he can respond immediately. The Minister has the floor.
ParlaMint-NL_2019-11-21-tweedekamer-4.u130	Mr. Chairman. A special figure that has already been noted in the budget of the States-General, which, as far as I know, has not been dealt with recently and certainly not in the presence of the Minister. It is therefore appropriate for me, unlike the defence of our own budget, to adopt an unwieldy attitude in this regard. I have therefore listened carefully to the members of the Chamber and what they have brought in, but for the record, I respect the budgetary right of the Chamber itself. At the moment when amendments are tabled concerning cover to be found elsewhere in the national budget, it is up to me to indicate from the cabinet whether such an amendment can count on a positive opinion. I can already say that this can be done, because the coverage of the amendment is adequately regulated. For the rest, there have been a lot of exchanges that are really up to the Chamber, to conclude with Mr Öztürk's remark to consult with the works council. So I'm not gonna do that. It would be a strange state-law figure to do that. However, a few questions have been asked which touch on the Sneller amendment. Among other things, Mr Bosma asked what was in the 10 million. What's going on out there? I would point out to the Chamber that the 10 million and the wishes set out in the amendment may have consequences for housing and that kind of thing. That has not been taken into account at the moment. I see the amendment as an all-inclusive amendment and then I can give a positive opinion on it. I assume that all the costs arising from the housing of any additional staff will also be included.
ParlaMint-NL_2019-11-21-tweedekamer-4.u131	An all-inclusive amendment!
ParlaMint-NL_2019-11-21-tweedekamer-4.u132	I see that Mr Bosma is calling for all kinds of associations.
ParlaMint-NL_2019-11-21-tweedekamer-4.u133	Something with office gardens and palm trees or something.
ParlaMint-NL_2019-11-21-tweedekamer-4.u134	I am suddenly going to look at this amendment very differently. I'm all-inclusive. But this Secretary of State's recovery, now I make the mistake myself. This minister is also about our housing. The renovation just came up. The amendment will provide for more workers. That's a big deal. I would simply like to ask Mr Sneller: where are they going to work? He says, on the other side of the Square. So that's the Lodge. And he sees some space at the fraction of D66. Well, at least he's thinking positively. That's great. Again, I think it's quite something. You've got a pretty good chance it's about dozens of extra people. Can this minister, who is talking about our housing, tell us where all these extra workers are going to work? How does he think he's gonna take care of that for us?
ParlaMint-NL_2019-11-21-tweedekamer-4.u135	I cannot do that at the moment, and that is exactly why I am making my comment. It will have to be a process in which the House of Representatives, as a user in relation to the renovation, will indicate how it sees the impact of the Sneller amendment, what that will mean in extra FTEs, where these people should be housed and whether this will ultimately have consequences for the way in which we intend to shape the conversion. As far as I'm concerned, that can just get a place in the regular process between the Chamber as a user and the National Real Estate Company as the performer of that renovation. If the idea were to live that this money was only intended for salaries of newly recruited staff and that any consequences for housing were not taken into account, we would have a gap in the budget for the conversion of the House of Representatives. I'm gonna point that out anyway.
ParlaMint-NL_2019-11-21-tweedekamer-4.u136	We have already established that it is an all-inclusive amendment. I'm just trying to imagine. There's 10 million taxpayers' money spent on this. I walk through this building and I think with my amateur eye: gosh, that's pretty full. We also have old-fashioned buildings that are not built according to the state of the law. With my amateur look, I think it's pretty full here and we can't expand. Look around you. Everything is rented and the property around here is quite expensive. Is there any possibility that, thanks to this amendment, we will have employees of the House of Representatives who have to work somewhere in an industrial area in Rijswijk?
ParlaMint-NL_2019-11-21-tweedekamer-4.u137	The question is correct, but I cannot answer it now. That will really have to be the outcome of further elaboration. For this I first look at the Lower House as a user, as a High College of State, to accommodate this myself and see what this amendment will mean in practice. There are all kinds of possibilities. Maybe there's room left, maybe you can dip in, maybe space needs to be created. Well, that depends on a price tag, because that is not currently foreseen in the plan of demands. It seems to me that this can just get an orderly place in that process. The questions put by Mr Bosma, who are quite right, will then be answered.
ParlaMint-NL_2019-11-21-tweedekamer-4.u138	That is worrying: spending 10 million extra on the House of Representatives, while we do not know what it is. If people show up, we don't know where to put them and what the consequences are for the renovation. Those are huge question marks. I wonder what the Minister's positive opinion, his positive assessment of the amendment, is based on, other than the signature.
ParlaMint-NL_2019-11-21-tweedekamer-4.u139	My positive assessment is first of all on the coverage of the amendment. When it comes to the impact, it is really up to the Chamber to give it a good form within the financial frameworks that are in place. Of course, if there are spatial consequences, this will have to be done in conjunction with the National Real Estate Company. This is first and foremost to the Chamber. It is also the budget of the States-General. I have just indicated that I am in fact a marginal position here, because I am not here to defend my own budget, but have been invited to a debate in which you yourself deal with the budget of the States-General.
ParlaMint-NL_2019-11-21-tweedekamer-4.u140	Mr. Van Raak...
ParlaMint-NL_2019-11-21-tweedekamer-4.u141	Moreover, while Mr Van Raak is on the interrupting microphone, he was concerned that this coverage, on which I have just given a positive opinion, would be at the expense of the rent surcharge. That is not the case. What's going on? A change in the tax system has led to a reduction in the self-employed deduction. That's for zzpüpers. This therefore means a higher income for the group concerned and a lower charge on the rent payment. So it is not at the expense of people who are now entitled to rent payments, not at all. There has been room, and some of that space has been used in later years as cover for this amendment.
ParlaMint-NL_2019-11-21-tweedekamer-4.u142	That's what I understood. I always read the Minister's documents very well, and I also read amendments. But if money is released from the rent allowance, you can do two things with it. You can give the money that is released from the rent allowance to the tenants, with a little more rent allowance, or you can put it in support of the politicians here in the Lower House. Well, the SP is bad for the first. But my question was also about the renovation. I want an opinion from the Minister, who knows a lot about renovations in the meantime. How's he gonna see all these people in this building soon? The Minister now also knows this building inside and out in connection with the renovation. Can he advise us where these people can be accommodated, and that in such a way that out of the 10 million there is still something left to hire people?
ParlaMint-NL_2019-11-21-tweedekamer-4.u143	I should then have more information on the distribution envisaged by the authors of the amendment and accepted by the House of Representatives. How many people are we talking about being hired? Do these people have to work here or can they work in another place? Can you work at home? Where are the rooms? Again, I understand the question, but this is really an issue I cannot answer here. This should be given a place in the usual process, in which the House of Representatives as a user, the Construction Guidance Committee and the Bureau take decisions on how they intend to organise the Chamber and what is necessary for that purpose, taking into account the amendment. I'm just saying here's what I'm saying. If that has spatial consequences, then the profit warning is: this cannot be seen from the budget we now have for the conversion of the Binnenhof, read: also the Lower House because it is not provided for. That's gonna have to come out of there. But there are plenty of solutions possible, I think, to accommodate this; hence I am also positive about it. But that will have to be further developed.
ParlaMint-NL_2019-11-21-tweedekamer-4.u144	Finally, Mr Van Raak.
ParlaMint-NL_2019-11-21-tweedekamer-4.u145	So these are very important questions. These are fundamental questions, which are not yet the beginning of a solution. I find it difficult to imagine the Minister saying from the bottom of his heart that this is a fantastic amendment, because there is not yet a beginning to an idea of how we can implement it.
ParlaMint-NL_2019-11-21-tweedekamer-4.u146	Well, I think this is just a normal sequence in a process. An amendment has been tabled. That is, of course, on the main lines. It sets budgetary frameworks and sets political objectives. I see all this in the amendment. That will simply have to be further worked out.
ParlaMint-NL_2019-11-21-tweedekamer-4.u147	Would it make the Minister's life easier if Mr Van Raak says he is not going to use that extra support and not hire additional staff?
ParlaMint-NL_2019-11-21-tweedekamer-4.u148	I don't know. There's nothing wrong with my life. I have a very easy life. That's not what I'm looking for. That budget is ultimately the budget. There are some FTEs against this. This is also the wording of the amendment. Which parties are relevant to the amendment. If they did not come to Mr Van Raak and more to D66, it would still have consequences. So I think that's really something for the Chamber to work out.
ParlaMint-NL_2019-11-21-tweedekamer-4.u149	Did you have any other things?
ParlaMint-NL_2019-11-21-tweedekamer-4.u150	Well, I still have a lot of...
ParlaMint-NL_2019-11-21-tweedekamer-4.u151	It is, isn't it? But perhaps you have already answered a few questions in the event of interruption?
ParlaMint-NL_2019-11-21-tweedekamer-4.u152	I think I've answered all the questions, Mr. Chairman.
ParlaMint-NL_2019-11-21-tweedekamer-4.u153	Well, that sounds very good. Thank you. This brings us to the end of the debate on the budget of the States-General... Or is there a need for a second term? That is the case! Everyone thought this was just a technical treatment, but it's still more than that. Then I'm going to see Mr. Bosma. No? Mr. Van Gent, do you need a second term? No, I didn't. Mr. Smeulders? I'm just going down the line. Mr. Van der Molen? Well.
ParlaMint-NL_2019-11-21-tweedekamer-4.u154	Thank you, Mr President. I have no longer been involved in the debate in order to respond to Mr Baudet's call to stick to the main points. But to depart from that, I shall table a motion, as I announced in the first term. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas Dutch agriculture and horticulture produce a tasty and responsible range in all seasons;]] [[calls on the Bureau to promote the expansion of the range of Dutch (region) products in the restaurants of the House of Representatives,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Van der Molen and Mr Geurts. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-IIA-6]]
ParlaMint-NL_2019-11-21-tweedekamer-4.u155	Thank you, Mr. Chairman.
ParlaMint-NL_2019-11-21-tweedekamer-4.u156	Thank you, Mr. Van der Molen. Who needs a second term? Mr Baudet. No, it doesn't work that way; you shouldn't give wrong advice, Mr. Bosma.
ParlaMint-NL_2019-11-21-tweedekamer-4.u157	Thank you, Madam President. I have a motion. [[Motion]] [[The Chamber,]] [[heard the debate,]] [[Whereas the proposed relocation to facilitate the conversion of the Binnenhof is likely to result in a failure;]] [[Whereas the necessary renovations can be carried out perfectly without moving completely;]] [[decide not to move and also decide to come up with a new plan for phased renovation without the need to move the parliament in its entirety,]] [[and goes to the order of the day.]] [[This motion was tabled by Mr Baudet. It seems to me that their submission is sufficiently supported.]] [[She's getting No. kst-35300-IIA-7]]
ParlaMint-NL_2019-11-21-tweedekamer-4.u158	Then I have one other point that just came to mind when I walked to the printer. The behaviour of Parliament, in all this irrelevantness of its activities, can be compared to override behaviour. This is also seen in prisons, where prisoners, for example, are completely mad about the fact that they are locked up, and where nothing seems to be more important to them than the coercive neurotic justice of their pillows or, in zoos, the exact order of straws. That's because they're unfree, because they're chained, because they can't do anything that's actually relevant. The same goes for the parliamentarians, most of you. You know you can't do anything. You can't do anything, your power is contained, you have to obey the coalition compulsion, and so on, so you're going to deal with the smallest details and the most irrelevant issues. The great tragedy, the demise of the Avondland, which is taking place before our eyes and which is wanted and accomplished by the party cartel, falls outside your field of power. It's out of your sight. Once again, therefore, we need to avoid any more busybodies coming here at any price and even more staff, because we will get even more jump-off behavior, even more micromanagement and even more compulsive neuroses in parliament. Thank you.
ParlaMint-NL_2019-11-21-tweedekamer-4.u159	Thank you. I'll see if I missed anyone. No. The last motion is still being distributed, but the Minister has been listening, so I give the floor to the Minister. Easy, easy, Mr. Baudet, just a minute.
ParlaMint-NL_2019-11-21-tweedekamer-4.u160	Did you really just say that the Minister was listening?
ParlaMint-NL_2019-11-21-tweedekamer-4.u161	Yes.
ParlaMint-NL_2019-11-21-tweedekamer-4.u162	It's not so common for members of the government to actually listen to what we're saying, is it?
ParlaMint-NL_2019-11-21-tweedekamer-4.u163	Of course.
ParlaMint-NL_2019-11-21-tweedekamer-4.u164	Quod erat demonstrantum. That's exactly the point I want to make. They know, too. They're always on their phone, because they're getting bullied here and because nothing relevant can be discussed in parliament. It is already clear what is going to happen, because of the coalition pressure, the coalition agreement, and so on. I'm glad you implicitly confirm my right. We are indeed surprised and I also like it; I very much appreciate the fact that a member of the cabinet once listens to what we say.
ParlaMint-NL_2019-11-21-tweedekamer-4.u165	Thank you. The Minister has the floor.
ParlaMint-NL_2019-11-21-tweedekamer-4.u166	Mr President, this is an extremely interesting debate. However, bearing in mind my limited role in this debate, I would not like to respond to Mr Baudet's words. I was somewhat surprised, because after this a VAO Binnenhof takes place. I would say that Mr Baudet's motion belongs there, but the Chamber has allowed this motion to be dealt with here. I would like to judge her at the next debate so that Mr Baudet can listen.
ParlaMint-NL_2019-11-21-tweedekamer-4.u167	Well, I'd still... Mr. Baudet.
ParlaMint-NL_2019-11-21-tweedekamer-4.u168	I'm aware of that. But the point is that I've noticed a few times that you're not allowed to participate in a VAO if you're due to other things... We're a small fraction and we couldn't do an AO, so I'll do this.
ParlaMint-NL_2019-11-21-tweedekamer-4.u169	I understand.
ParlaMint-NL_2019-11-21-tweedekamer-4.u170	Sometimes you have to slide. If we had more support, it wouldn't matter. It has nothing to do with the Chamber's agenda and it has nothing to do with support.
ParlaMint-NL_2019-11-21-tweedekamer-4.u171	Good. But I was actually about to make a point of order and ask the Minister to give an opinion on the motion. When it comes to the budget of the States-General, it is actually about almost everything.
ParlaMint-NL_2019-11-21-tweedekamer-4.u172	But Mr Baudet and I do have an agreement: if you're not big, you have to be smart. He has put this motion very handy here in this debate and I am going to give an opinion on it. The request is to waive the proposed relocation. It is not entirely clear to me whether this is a request to the parliament itself, but I see it as a request to the government. I must, of course, discourage the motion because of the need to continue the renovation. The deficiencies detected, in particular the risks associated with fire safety, make this necessary. Unfortunately, I had to inform the Chamber that the renovation had been postponed, but certainly not adjusted. It is very important that it continues, so I must discourage this motion.
ParlaMint-NL_2019-11-21-tweedekamer-4.u173	Please continue. You're not gonna ask about the renovation, are you, Mr. Bosma?
ParlaMint-NL_2019-11-21-tweedekamer-4.u174	No, because this motion is not so much about the renovation as about the move.
ParlaMint-NL_2019-11-21-tweedekamer-4.u175	Yeah, but you can't renovate without moving. The idea that the store will continue during the renovation is impossible in this case. Those scenarios have been discussed before. Of course it would be great if that could be done, but that is simply not feasible. Then you're really talking about a long-term construction site where there's still work to be done.
ParlaMint-NL_2019-11-21-tweedekamer-4.u176	Do I hear the Minister say that it would be wonderful if it could be?
ParlaMint-NL_2019-11-21-tweedekamer-4.u177	Yeah, look. If only to hang a few paintings in Mr Baudet's room, if that would be the work...
ParlaMint-NL_2019-11-21-tweedekamer-4.u178	Plants hanged, too.
ParlaMint-NL_2019-11-21-tweedekamer-4.u179	...and to move the planters, it would be clear. Then you could say it's a small-scale renovation. But this is so fundamental, so large-scale, that it can't.
ParlaMint-NL_2019-11-21-tweedekamer-4.u180	I would suggest that we amend the motion as follows. It is always good to consider an alternative scenario before the actual move takes place, and to look again... It has indeed been postponed because we are facing additional complications. We notice here: it is still more complicated, it takes longer to grow the Aponrots, here we run into a number of complications. Can we not do a review, purely a review and not a decision, in the light of a new estimate of the options to stay here during the renovation? Can't anyone be opposed to that if I change the motion that way?
ParlaMint-NL_2019-11-21-tweedekamer-4.u181	If this motion had been tabled a few years ago, I think it would have been entirely within the order. The point is: a number of steps have already been taken. We've got B67. The temporary accommodation of the Lower House would be ready on time. There are other causes: a complex of causes; that is also what I reported to the Chamber in the October letter, which means that the risk that we will have to decide in the coming months to postpone is so great that we have said: we are already going to announce that we are going to do it a year later. The reason for this is that the Chamber can't just move on a weekend, but that you really need a few weeks for that. You can only do that in the summer recess.
ParlaMint-NL_2019-11-21-tweedekamer-4.u182	I'm gonna say something about this.
ParlaMint-NL_2019-11-21-tweedekamer-4.u183	...
ParlaMint-NL_2019-11-21-tweedekamer-4.u184	No, Mr. Baudet. There's something I want to say to you. After this there is a VAO about the renovation.
ParlaMint-NL_2019-11-21-tweedekamer-4.u185	I can't be a part of that.
ParlaMint-NL_2019-11-21-tweedekamer-4.u186	I'm sure you're welcome to join in. Even if you have not been to the general consultation, you can register. Then there will be a debate...
ParlaMint-NL_2019-11-21-tweedekamer-4.u187	Last time, I was turned down at a VAO. I wanted in too, but then the room... I remember very well; there has been a vote on it. All the spokesmen came forward and they wouldn't let me in. If I'm gonna be a part of this, I'm gonna be happy to take advantage of it.
ParlaMint-NL_2019-11-21-tweedekamer-4.u188	But last time it was about something else, Mr. Baudet.
ParlaMint-NL_2019-11-21-tweedekamer-4.u189	It was about the care.
ParlaMint-NL_2019-11-21-tweedekamer-4.u190	Yeah, about the care, about hospital care. That was a debate and you did not take part in it. That's different. It cannot be that we are not taking part in a debate, but that we are interrupting. That's not fair to each other either. When you start the debate with each other, you have to be behind the cathedral here too. But that's something else... No, no, no, just for a second. I'll give you the floor in a minute. But that's different from a general discussion. I also know that small groups cannot be present everywhere. That's why we made that exception. Even if they do not participate in a general consultation, they can register, for two minutes, and also participate.
ParlaMint-NL_2019-11-21-tweedekamer-4.u191	I'm very happy about this. It is not that I was simply not registered, because then I walked to Mr Bishop and said: can I still register? Then he said, "No, you can't." I've seen that as a precedent.
ParlaMint-NL_2019-11-21-tweedekamer-4.u192	No, but... Mr. Baudet...
ParlaMint-NL_2019-11-21-tweedekamer-4.u193	But if that changes now, then I am very pleased. In that case, I will be happy to discuss this in greater depth at the VAO.
ParlaMint-NL_2019-11-21-tweedekamer-4.u194	And I thought it was between you...
ParlaMint-NL_2019-11-21-tweedekamer-4.u195	Mr. Bishop.
ParlaMint-NL_2019-11-21-tweedekamer-4.u196	No, no, no!
ParlaMint-NL_2019-11-21-tweedekamer-4.u197	Mr Baudet...
ParlaMint-NL_2019-11-21-tweedekamer-4.u198	I will give you the floor in a moment, Mr Bishop, because I don't think anyone can follow this discussion anymore. Mr Bishop replaced me then, so he was acting chairman. Mr. Bishop did this neatly. In fact, it is not allowed, but he has asked the Chamber whether it was possible for you to participate at the end of the debate. A majority of them said: either you participate in the whole debate because they were here for hours or not. No, Mr. Baudet. We're not going to... I am going to see Mr Bishop, because he also wanted to say something.
ParlaMint-NL_2019-11-21-tweedekamer-4.u199	Thank you for allowing me to speak here, because according to the rules this would not really be possible. I'm on the list, but for zero minutes. But I do need to outline Mr Baudet's situation for a moment, otherwise it will be completely wrong in the Acts. That was a situation in which Mr Baudet had not registered, had not taken part in the deliberations, even when he was standing here at the interrupting microphone and had made the request to be registered. That is why it was said at the time: this is an exception.
ParlaMint-NL_2019-11-21-tweedekamer-4.u200	And everyone has...
ParlaMint-NL_2019-11-21-tweedekamer-4.u201	Mr Baudet has...
ParlaMint-NL_2019-11-21-tweedekamer-4.u202	No. Wait a minute. Don't talk through it. Why don't we take the three of us for a cup of coffee?
ParlaMint-NL_2019-11-21-tweedekamer-4.u203	That sounds like a brilliant idea.
ParlaMint-NL_2019-11-21-tweedekamer-4.u204	May I ask if it is filter coffee, and not the coffee from the vending machine, which is now being donated more and more here?
ParlaMint-NL_2019-11-21-tweedekamer-4.u205	That's also a form of filter coffee. You can't drink that either.
ParlaMint-NL_2019-11-21-tweedekamer-4.u206	I promise. That's what I'm telling you. The three of us are gonna have a cup of coffee. I think that's very good. There was another motion. Have you assessed it yet?
ParlaMint-NL_2019-11-21-tweedekamer-4.u207	It was addressed to the Chamber.
ParlaMint-NL_2019-11-21-tweedekamer-4.u208	Oh, to the room. That's true. This brings us to the end of the budget of the States-General. A budget that we thought would be ready in 15 minutes, but that is not the case. So today everything ends, I say. I thank the Members of Parliament.
ParlaMint-NL_2019-11-21-tweedekamer-4.u209	We will vote on the motions tabled next week. I'm gonna suspend the meeting, then we're gonna move on to the topic of renovation. Interesting, too.
